[00:00:14.198 --> 00:00:15.479]  Today, that's 1-800-426-6186.
[00:24:19.882 --> 00:24:25.245]  Set that up, because they're getting ready to send out a new album this fall.
[00:24:25.245 --> 00:24:32.949]  And he had one more song to write, and I asked him if he had seen A Bomb Deception yet, and he hadn't, so I gave him a copy.
[00:24:32.949 --> 00:24:33.910]  I had some on my truck.
[00:24:34.938 --> 00:24:43.363]  Also gave him a copy of, uh, Freedom Fascism, 9-11 Road to Tyranny, Terror Storm, and Endgame.
[00:24:43.363 --> 00:24:51.789]  So, uh, sometime this week I'm gonna follow up with him and, uh, see if he'd like to collaborate on a project to reach out to youth.
[00:24:51.789 --> 00:24:56.332]  Because this is something that's very, very deep in my heart.
[00:24:56.332 --> 00:25:03.316]  Yeah, I had Dave Mustang on, uh, because the music is all about One World Government, New World Order, and I remember listening to it,
[00:25:03.831 --> 00:25:03.991]  Not yet.
[00:25:03.991 --> 00:25:05.892]  He said he was going to watch, uh, Bomb Deception that night.
[00:25:34.096 --> 00:25:36.418]  And they might inspire his last song.
[00:25:36.418 --> 00:25:38.480]  So I'm definitely going to follow up.
[00:25:38.480 --> 00:25:43.003]  I've actually got some lyrical ideas that I'd like to bounce off of him.
[00:25:43.003 --> 00:25:44.364]  But that's not why I went.
[00:25:44.364 --> 00:25:46.546]  I just wanted to talk to him.
[00:25:46.546 --> 00:25:47.527]  That's great.
[00:25:47.527 --> 00:25:48.868]  Well, listen, that's how we network.
[00:25:48.868 --> 00:25:49.748]  So stay in touch.
[00:25:49.748 --> 00:25:51.390]  And I appreciate it, Bubba.
[00:25:51.390 --> 00:25:52.851]  I will keep you in touch.
[00:25:52.851 --> 00:25:52.991]  Sure.
[00:25:52.991 --> 00:25:53.851]  Go ahead, Eric.
[00:25:53.851 --> 00:25:54.952]  What else?
[00:25:54.952 --> 00:25:55.593]  Absolutely.
[00:25:55.593 --> 00:25:56.153]  Yeah, you bet.
[00:25:56.153 --> 00:25:57.734]  I'll be talking to him this week.
[00:25:57.734 --> 00:25:58.495]  Hey, thanks a lot, man.
[00:25:58.495 --> 00:25:59.156]  I appreciate it.
[00:25:59.156 --> 00:25:59.476]  Yeah.
[00:25:59.476 --> 00:26:02.098]  You know, the person I'm proudest of waking up is Bruce Willis.
[00:26:03.291 --> 00:26:07.834]  But Bruce is a private guy, so I'm not going to get into it or talk about it.
[00:26:07.834 --> 00:26:12.317]  But according to Bruce, you won't be seeing him work for the neocons anymore.
[00:26:12.317 --> 00:26:15.058]  He still doesn't like the Democrats.
[00:26:15.058 --> 00:26:17.940]  But, well, I can talk about what is known.
[00:26:17.940 --> 00:26:25.805]  I had Rick Linklater on about two years ago when A Scanner Darkly came out, filmed My Men with Keanu Reeves, Winona Ryder, and Woody Harrelson.
[00:26:25.805 --> 00:26:30.168]  Who's the guy from, I don't, who's the, I mean, I met him a bunch.
[00:26:30.168 --> 00:26:31.289]  No, I know Keanu good.
[00:26:32.401 --> 00:26:35.602]  I always have... I always call him Morton Downey Jr.
[00:26:35.602 --> 00:26:36.382]  Robert Downey Jr.
[00:26:36.382 --> 00:26:40.543]  It's not Morton Downey Jr., the guy with the talk show in the 80s screaming and people smoking cigarettes.
[00:26:40.543 --> 00:26:42.724]  Yeah, Robert Downey Jr.
[00:26:42.724 --> 00:26:44.644]  Anyways, I'm in that movie.
[00:26:44.644 --> 00:26:46.805]  Pretty big part, but anyway, side issue.
[00:26:46.805 --> 00:26:47.685]  I never tried to be in it.
[00:26:47.685 --> 00:26:48.805]  Rick Linklater's just a great guy.
[00:26:48.805 --> 00:26:50.946]  Well, I did try once I heard I had a chance to be in it.
[00:26:50.946 --> 00:26:52.546]  I said, absolutely put me in it.
[00:26:52.546 --> 00:26:55.787]  Great guy, Tommy Pallotta and Rick Linklater put me in it.
[00:26:55.787 --> 00:26:59.448]  I don't want to talk about myself all day, so I want to hurry and get back to your calls, but the point is,
[00:27:00.666 --> 00:27:06.931]  I had Rick on about two years ago to promote A Scanner Darkly, and I wasn't bringing up 9-11 to Rick.
[00:27:06.931 --> 00:27:10.453]  And he started saying he thought 9-11 was an inside job on the air.
[00:27:10.453 --> 00:27:13.335]  A lot of courage, you know, big director.
[00:27:13.335 --> 00:27:19.159]  School of Rock, Days of Confused, you know, list goes on and on.
[00:27:19.159 --> 00:27:29.627]  And so I had him on about that, and he said, yeah, I gave your videos to Bruce Willis, and he watched them and came back, and he sent me some of the emails Bruce had sent him.
[00:27:30.393 --> 00:27:31.894]  Saying, yeah, this has really woken me up.
[00:27:31.894 --> 00:27:33.355]  Now I understand the left-right paradigm.
[00:27:33.355 --> 00:27:35.937]  I understand both parties are controlled.
[00:27:35.937 --> 00:27:43.783]  And, uh, then I had a chance later to, uh, talk to... Well, I'm just gonna leave it at that.
[00:27:43.783 --> 00:27:48.107]  The point is, I had a private conversation with somebody after that, about six months later.
[00:27:48.107 --> 00:27:51.029]  And then people didn't believe Rick Linklater when he said it on air.
[00:27:51.029 --> 00:27:53.271]  The Neocon website said, there's no way that's true.
[00:27:53.271 --> 00:27:55.753]  You know, Michelle Malkin and people.
[00:27:55.753 --> 00:27:57.274]  Uh, and then...
[00:27:58.430 --> 00:28:09.237]  He was in Vanity Fair when a big movie came out about a year ago, and he said, yeah, the same people that killed Kennedy are running things today, and I don't believe in the left-right paradigm anymore and all this stuff.
[00:28:09.237 --> 00:28:12.218]  So that is very, very exciting.
[00:28:12.218 --> 00:28:16.401]  I mean, you know, I didn't get into this to meet Charlie Sheen, who I think is the coolest person in Hollywood.
[00:28:16.401 --> 00:28:17.261]  You got to know him in person.
[00:28:17.261 --> 00:28:19.002]  I know him really well.
[00:28:19.002 --> 00:28:19.703]  You've got to know
[00:28:22.261 --> 00:28:23.602]  Well, I'm not going to start dropping names.
[00:28:23.602 --> 00:28:28.464]  There's a lot of folks that are fans of the show, that tune in, that I talk to, that want to be private.
[00:28:28.464 --> 00:28:30.785]  I'm just going to leave it at that.
[00:28:30.785 --> 00:28:31.166]  You know what?
[00:28:31.166 --> 00:28:32.066]  Let's go back to your calls.
[00:28:32.066 --> 00:28:33.207]  Walt in California.
[00:28:33.207 --> 00:28:33.947]  Walt, you're on the air.
[00:28:33.947 --> 00:28:35.368]  Go ahead.
[00:28:35.368 --> 00:28:36.208]  All right.
[00:28:36.208 --> 00:28:37.249]  Can you hear me okay, Alex?
[00:28:37.249 --> 00:28:37.829]  Yes, sir.
[00:28:37.829 --> 00:28:38.249]  I can.
[00:28:38.249 --> 00:28:40.030]  Welcome.
[00:28:40.030 --> 00:28:41.411]  You probably remember me.
[00:28:41.411 --> 00:28:46.313]  I marched with you in the cold, freezing rain in New York City with my brother, 911.
[00:28:50.109 --> 00:28:54.872]  That was 2007.
[00:28:54.872 --> 00:28:59.494]  We bullhorned the Federal Reserve, Larry Silverstein's building, the new Building 7, all of it.
[00:28:59.494 --> 00:29:02.876]  Yeah, it was good to be there with you.
[00:29:02.876 --> 00:29:11.621]  We huddled up in the alleyway and kept each other warm.
[00:29:11.621 --> 00:29:12.521]  Just joking.
[00:29:12.521 --> 00:29:13.142]  Hey, hold on.
[00:29:13.142 --> 00:29:13.462]  Stay there.
[00:29:13.462 --> 00:29:14.642]  I'll come back to you, man.
[00:29:14.642 --> 00:29:15.543]  Hold on just a second.
[00:29:16.502 --> 00:29:17.644]  We gotta do the news here.
[00:29:17.644 --> 00:29:18.365]  It's very important.
[00:29:18.365 --> 00:29:19.447]  Important messages.
[00:29:19.447 --> 00:29:20.710]  Crash commercial messages.
[00:29:20.710 --> 00:29:21.872]  Straight ahead.
[00:29:21.872 --> 00:29:23.134]  Holton Fair Isle.
[00:29:23.134 --> 00:29:24.817]  It's the G. Gordon Liddy Show.
[00:29:24.817 --> 00:29:25.218]  Stay with us.
[00:29:34.239 --> 00:29:45.962]  Today, we cannot afford to ignore the current state of our country, the economy, job layoffs, mass foreclosures, and now we are all at risk of being exposed to this new flu pandemic.
[00:29:45.962 --> 00:29:50.783]  The Center for Disease Control has declared a public health emergency across the United States.
[00:29:50.783 --> 00:29:52.444]  What can you do to prepare yourself?
[00:29:52.444 --> 00:29:54.924]  The answer is ZeroFlu.com.
[00:29:54.924 --> 00:29:58.685]  ZeroFlu.com offers you the very best at air purifiers.
[00:29:58.685 --> 00:30:01.586]  These revolutionary air purifiers protect up to 3,000 square feet of your home
[00:30:02.426 --> 00:30:03.287]  We're good to go.
[00:30:28.510 --> 00:30:36.694]  Hi, this is Peter Kronschnabel with Midas Resources.
[00:30:36.694 --> 00:30:40.495]  As you know, government spending is at an all-time high and inflation is on the rise.
[00:30:40.495 --> 00:30:43.317]  What are you doing right now to protect yourself financially?
[00:30:43.317 --> 00:30:50.500]  As the economy continues to deteriorate due to corporate greed and government intervention, more people will lose their jobs and worse, their life savings.
[00:30:50.640 --> 00:30:51.000]  We're good.
[00:31:07.105 --> 00:31:11.249]  If you've been thinking about investing in the physical possession of precious metals, I can help.
[00:31:11.249 --> 00:31:17.054]  Call me today, Peter Kranchnobel, at 800-686-2237, extension 108.
[00:31:17.054 --> 00:31:22.098]  And I will take the time personally to put together a portfolio designed to protect what you've worked so hard for.
[00:31:22.098 --> 00:31:26.562]  Call Peter, 800-686-2237, extension 108.
[00:31:26.562 --> 00:31:29.204]  You've worked hard your whole life, and I want to work hard for you.
[00:31:29.204 --> 00:31:29.925]  Call 800-686-2237, extension 108.
[00:31:29.925 --> 00:31:30.545]  Ah, springtime.
[00:31:35.231 --> 00:31:40.894]  Now that you've planted your organic garden, how will you keep the bugs away without using toxic chemicals and poisons?
[00:31:40.894 --> 00:31:45.376]  The answer is all-natural insecticides from FreshwaterOrganics.com.
[00:31:45.376 --> 00:31:51.359]  These revolutionary insecticides start with the same organic product that we use in FPP to kill parasites.
[00:31:51.359 --> 00:31:59.984]  We then add a small amount of pyrethrin from chrysanthemum flowers and a mild attractant to offer you the most effective insecticide available anywhere.
[00:31:59.984 --> 00:32:02.625]  It can even be applied up to the day of harvest.
[00:32:02.925 --> 00:32:13.788]  Our natural insecticides work in the home, on plants, and in your garden, killing pests mechanically, not with poisons, so pests can't develop an immunity and they won't harm your children or pets.
[00:32:13.788 --> 00:32:23.631]  It's effective against white flies, moths, bedbugs, fleas, roaches, crickets, and more, and safe enough to use on your pets, ridding them of fleas and other pests.
[00:32:23.631 --> 00:32:25.552]  Order now from FreshWaterOrganics.com
[00:32:26.192 --> 00:32:26.733]  We're good.
[00:32:43.456 --> 00:32:43.957]  We're good to go.
[00:33:03.058 --> 00:33:04.159]  Need something more?
[00:33:04.159 --> 00:33:08.104]  The Scorpion Stun Gun is a great way to take down a potential attacker.
[00:33:08.104 --> 00:33:16.414]  Mr. Defense also carries the largest selection of air tasers, knives, self-defense keychains, swords, batons, survival, spy, and tactical gear.
[00:33:16.414 --> 00:33:20.759]  Mention this ad and receive 10% off of your order and a free self-defense keychain.
[00:33:21.159 --> 00:33:23.940]  I can't get enough of that Jimi Hendrix.
[00:33:23.940 --> 00:33:25.100]  I think this song says it all.
[00:33:52.158 --> 00:34:06.728]  Alright, I'm in a phone blitz and I'm getting into the most hardcore news I've covered in a while.
[00:34:06.728 --> 00:34:13.392]  I mean, I already knew they were training little kids in public school, the Boy Scouts and others, to take on American gun owners.
[00:34:13.392 --> 00:34:14.994]  I mean, I had that in government documents.
[00:34:14.994 --> 00:34:19.897]  But to have it right in the New York Times is just amazing with all these sickening photographs of it.
[00:34:20.526 --> 00:34:25.550]  That's coming up in a breakdown of the 2009-2010 Bilderberg Group agenda.
[00:34:25.550 --> 00:34:33.736]  And this is like looking into a crystal ball in the past, so you'll want to stay tuned for that to know what's coming up on the agenda of Spectre.
[00:34:33.736 --> 00:34:35.417]  That's the best way to describe it.
[00:34:35.417 --> 00:34:38.919]  The bad international private crime syndicate above governments.
[00:34:38.919 --> 00:34:42.442]  The only problem is the intelligence agencies work for Spectre.
[00:34:42.442 --> 00:34:48.006]  And they play the intelligence agencies off against the host nations and their own populations.
[00:34:48.006 --> 00:34:49.567]  That's the big mind trick.
[00:34:50.302 --> 00:34:56.224]  It isn't MI6 and the KGB, the FSB today that are fighting with each other.
[00:34:56.224 --> 00:34:58.505]  They work for Spectre, ladies and gentlemen.
[00:34:58.505 --> 00:35:00.325]  Truth is stranger than fiction.
[00:35:00.325 --> 00:35:03.506]  Call it the Bilderberg Group, call it Spectre, call it whatever you want.
[00:35:03.506 --> 00:35:04.887]  It's the Global Crime Syndicate.
[00:35:04.887 --> 00:35:06.127]  It's the New World Order.
[00:35:06.127 --> 00:35:08.228]  Okay, Walt, I'll get serious here.
[00:35:08.228 --> 00:35:10.768]  Go ahead and make your point, sir.
[00:35:10.768 --> 00:35:11.489]  Okay.
[00:35:11.489 --> 00:35:12.869]  All right.
[00:35:12.869 --> 00:35:19.151]  CPS came to our house on Mother's Day and stole our six-day-old
[00:35:19.887 --> 00:35:21.969]  They'd be away from us.
[00:35:21.969 --> 00:35:23.510]  Well, you know, they've got quotas.
[00:35:23.510 --> 00:35:25.131]  I covered that last Thursday on the show.
[00:35:25.131 --> 00:35:26.512]  I'm sorry to hear that.
[00:35:26.512 --> 00:35:27.613]  They've got quotas.
[00:35:27.613 --> 00:35:29.074]  They do it outside the law.
[00:35:29.074 --> 00:35:30.735]  Tell us what happened.
[00:35:30.735 --> 00:35:47.127]  Well, what happened was there were absolute false allegations made against me concerning child custody for my wife's other two children from another husband, okay?
[00:35:49.204 --> 00:35:55.472]  We were in Florida and her sister and her mother are completely insane.
[00:35:55.472 --> 00:35:58.255]  They tried to commit suicide multiple times.
[00:35:58.255 --> 00:35:59.216]  It's documented.
[00:35:59.216 --> 00:35:59.977]  It's proven.
[00:35:59.977 --> 00:36:00.998]  See, that's the problem.
[00:36:00.998 --> 00:36:09.268]  The state uses people tattling on each other and the TV shows and the sitcoms train people to tattle on each other and do this.
[00:36:10.294 --> 00:36:21.187]  Uh, you know, the biggest culprits, the hospitals are, you know, they catch marijuana in your blood so they seize all your kids and they don't tell you that you were basically in a jail cell when you came in to have a baby and that it would all be used against you.
[00:36:21.187 --> 00:36:26.853]  Uh, or, or your child falls off the jungle gym in front of witnesses and breaks a finger.
[00:36:26.853 --> 00:36:27.514]  So they take them.
[00:36:27.514 --> 00:36:29.937]  But in the case of families ratting each other out,
[00:36:30.589 --> 00:36:37.550]  What the families don't know is when they make something up to get the children, most of the time the state doesn't give them the children to begin with.
[00:36:37.550 --> 00:36:42.431]  A lot of grandparents do this to get the kids and then they get freaked out when it doesn't happen.
[00:36:42.431 --> 00:36:43.271]  That's what it is.
[00:36:43.271 --> 00:36:46.052]  It's grandparents and the sister.
[00:36:46.052 --> 00:36:51.273]  But let me guess, let me guess, the sister and the grandkids haven't gotten the baby?
[00:36:51.273 --> 00:36:53.553]  Yeah, they got the baby now too.
[00:36:53.553 --> 00:36:55.594]  Well listen, that's better than nothing.
[00:36:55.594 --> 00:36:56.834]  Usually they don't get the baby.
[00:36:57.358 --> 00:36:58.439]  No, they got them all.
[00:36:58.439 --> 00:36:59.459]  You don't get it.
[00:36:59.459 --> 00:37:03.982]  I mean, they're horrible people, okay?
[00:37:03.982 --> 00:37:12.907]  And for them to be, for those children to be in their possession is worse than anything we could ever... Well listen, you just have to get a lawyer that's a specialist in this.
[00:37:12.907 --> 00:37:16.229]  There's some organizations... I'm here and I'm sequestering help.
[00:37:16.229 --> 00:37:19.651]  I want to hire Harry Shapiro and Patrick Clancy.
[00:37:19.651 --> 00:37:21.192]  They're two experts, okay?
[00:37:21.192 --> 00:37:22.793]  I'm flat broke.
[00:37:22.793 --> 00:37:25.255]  I'm tossthekitty at yahoo.com.
[00:37:26.076 --> 00:37:28.959]  And on MySpace, toss the key.
[00:37:28.959 --> 00:37:32.203]  I'm the one that wrote the song, 9-11 was an inside job.
[00:37:32.203 --> 00:37:34.105]  Okay?
[00:37:34.105 --> 00:37:35.807]  I have been a longtime patriot.
[00:37:36.639 --> 00:37:41.580]  I'm, I'm, you know, the only thing that I'm guilty of was leaving my wife for another woman.
[00:37:41.580 --> 00:37:42.801]  I'm guilty of that.
[00:37:42.801 --> 00:37:45.402]  But I shouldn't lose my baby over this.
[00:37:45.402 --> 00:37:46.402]  And we're destroyed.
[00:37:46.402 --> 00:37:47.382]  It's destroying us.
[00:37:47.382 --> 00:37:48.522]  Well, sir, sir, you know what?
[00:37:48.522 --> 00:37:49.503]  Listen, let me stop.
[00:37:49.503 --> 00:37:49.883]  Okay.
[00:37:49.883 --> 00:37:50.843]  I appreciate your call.
[00:37:50.843 --> 00:37:51.643]  Okay.
[00:37:51.643 --> 00:37:57.405]  I can sit here and I can take 150 phone calls straight every hour of people that just had their kids taken.
[00:37:57.405 --> 00:37:58.385]  Okay.
[00:37:58.385 --> 00:38:00.066]  They take over a million children a year.
[00:38:00.066 --> 00:38:02.987]  Most of them don't even go to somebody else in the family.
[00:38:02.987 --> 00:38:03.987]  I understand that.
[00:38:04.938 --> 00:38:09.521]  I understand they wanted the other two kids, and so now they've gotten your baby.
[00:38:09.521 --> 00:38:11.683]  And I understand it's criminal and it's sick.
[00:38:11.683 --> 00:38:14.164]  You're going to have to fight it out in the courts.
[00:38:14.164 --> 00:38:17.467]  And what's got to be defeated is these fake criminal family courts.
[00:38:17.467 --> 00:38:26.773]  Everybody's heard about them, where the private adoption agencies and stuff get caught paying the judges under the table millions, and where they have actual orders for blonde-haired and blue-eyed kids.
[00:38:26.773 --> 00:38:29.535]  I had a state senator on earlier this week covering it.
[00:38:29.535 --> 00:38:30.335]  We gave your thing out.
[00:38:30.335 --> 00:38:31.336]  I'd like to help you, sir.
[00:38:34.941 --> 00:38:36.142]  I know how this operates.
[00:38:36.142 --> 00:38:38.784]  It's why I cover it every week on the show.
[00:38:38.784 --> 00:38:42.707]  But it is an innumerable amount of people that we would have to help.
[00:38:42.707 --> 00:38:45.109]  We have to change the system.
[00:38:45.109 --> 00:38:48.972]  And I know you're wanting to hire some type of specialist lawyers or something.
[00:38:48.972 --> 00:38:57.879]  You need to get with the big think tanks and websites that are experts on how to go after the criminal CPS system.
[00:38:57.879 --> 00:38:58.199]  Okay?
[00:38:58.968 --> 00:39:03.890]  And so, the way this criminal system works is it sides with whoever makes the false allegation.
[00:39:03.890 --> 00:39:07.871]  And the family courts aren't real courts, so you have trouble facing your own accuser.
[00:39:07.871 --> 00:39:09.551]  And there's no judge or jury.
[00:39:09.551 --> 00:39:16.714]  All there is is a big, fat, pedophile judge, nine times out of ten, that's sitting there getting kickbacks on money for how many kids they grab.
[00:39:16.714 --> 00:39:20.795]  And I understand your pain, and it's hard for me to sit there and listen to it, because it's very upsetting.
[00:39:20.795 --> 00:39:22.776]  That's why I cover it on the show every week.
[00:39:22.776 --> 00:39:24.676]  But all I can do is give out info.
[00:39:24.676 --> 00:39:27.297]  We're almost powerless when it comes to helping individuals.
[00:39:28.240 --> 00:39:30.221]  We've got to change the system.
[00:39:30.221 --> 00:39:37.265]  And if people wake up universally and realize what a criminal racket the family court system is, then we can start changing it.
[00:39:37.265 --> 00:39:38.706]  Let's talk to Stephen in Texas.
[00:39:38.706 --> 00:39:40.187]  Stephen, you're on the air.
[00:39:40.187 --> 00:39:41.768]  Go ahead.
[00:39:41.768 --> 00:39:44.210]  Yeah, hey, good afternoon, Alex.
[00:39:44.210 --> 00:39:46.391]  First of all, two things I want to cover real quick.
[00:39:46.391 --> 00:39:47.852]  First of all, about the Boy Scouts.
[00:39:49.179 --> 00:40:07.651]  I was in the Boy Scouts for years, and I consider it no coincidence that now what you're bringing out about the Boy Scouts, and what you brought out about Hitler's youth brigades, that our beloved Governor Rick Perry not long ago came out with a book promoting the Boy Scouts.
[00:40:08.471 --> 00:40:21.004]  So, I don't consider that he was defending them against, like, the homosexuals who were trying to infiltrate him, but I see this as a deeper agenda, where it's no coincidence that, you know, just not too long ago he came out of this book.
[00:40:21.004 --> 00:40:23.827]  In other words, to give a positive spin on the Boy Scouts,
[00:40:24.627 --> 00:40:27.688]  In the direction they're going now, you see what I'm getting at?
[00:40:27.688 --> 00:40:36.510]  No, and again, the Boy Scouts admittedly were set up to train youth for military induction and for camping and preparation.
[00:40:36.510 --> 00:40:39.051]  They admit that, and that's fine and dandy.
[00:40:39.051 --> 00:40:43.072]  But what Hitler did in 1933 is they had the German Boy Scouts.
[00:40:43.072 --> 00:40:45.692]  That was the kinder folk.
[00:40:45.692 --> 00:40:48.773]  And this is mainline history for those that don't know.
[00:40:48.773 --> 00:40:50.314]  And I appreciate your call, it's a fine point.
[00:40:50.314 --> 00:40:51.914]  I'm going to start getting into that in the next segment.
[00:40:53.427 --> 00:40:58.850]  And they took over the Boy Scouts, and at first had it just normal Boy Scouts, and then turned it into paramilitary training.
[00:40:58.850 --> 00:41:07.133]  And then they set up the Hitlerjugend out of that, and just a few years later, those 12, 13, 14, 15 year olds, in 1913, I mean in 1933, by 1940, 1941, 42, with the war raging, you know, they were now 20, 21, 22 years old, and were fully indoctrinated.
[00:41:07.133 --> 00:41:11.095]  And that's what this is all about, and that is what is happening here.
[00:41:21.758 --> 00:41:24.540]  You know, torture, secret arrest, youth brigades.
[00:41:24.540 --> 00:41:27.182]  But ladies and gentlemen, it's not just that.
[00:41:27.182 --> 00:41:32.066]  We now know what the global uniform is for these youth.
[00:41:32.066 --> 00:41:37.690]  And Barack Obama has released a Secure Corps video with them doing military drills.
[00:41:37.690 --> 00:41:40.392]  Ladies and gentlemen, this is off the charts.
[00:41:40.392 --> 00:41:42.454]  It's up on InfoWars.com.
[00:41:42.454 --> 00:41:43.315]  You can see it right now.
[00:41:43.315 --> 00:41:46.017]  We're going to play the audio coming up in the next segment when I detail all of this.
[00:41:46.767 --> 00:41:48.267]  George in Texas.
[00:41:48.267 --> 00:42:08.412]  Oh, by the way, to Walt who called earlier, Walt, send an email to robd at Infowars.com with all the facts of the case written out because just to come on here and kind of talk about what happened to you or to start naming people in an extended family, you know, I need to see the documentation first.
[00:42:08.412 --> 00:42:12.113]  I need to consider you for being a guest on the show.
[00:42:12.113 --> 00:42:16.214]  That's how we do that when we do shows on the CPS because it's a very
[00:42:16.638 --> 00:42:19.739]  Very, very serious situation.
[00:42:19.739 --> 00:42:21.820]  Okay, so I appreciate your call.
[00:42:21.820 --> 00:42:24.481]  Let's go ahead and talk to George in Texas.
[00:42:24.481 --> 00:42:25.661]  George, go ahead.
[00:42:25.661 --> 00:42:26.441]  Hey, thank you, Alex.
[00:42:26.441 --> 00:42:27.582]  Thank you for taking my call.
[00:42:27.582 --> 00:42:28.422]  Thank you.
[00:42:28.422 --> 00:42:40.286]  You know, the thing is, I talked to a few military, and you know the thing is, I started to find out that a lot of the children being taken are from fathers that are deployed overseas, and they're not there to protect their homes.
[00:42:40.286 --> 00:42:43.307]  Yes, the CPS does take a lot of the military's children.
[00:42:44.445 --> 00:42:47.066]  Uh, and the government recruiting arms are doing a lot of that.
[00:42:47.066 --> 00:42:54.329]  No, this is all... Folks, they make the troops pay for plane tickets in their back home and their meals when they're in hospitals.
[00:42:54.329 --> 00:42:59.431]  This government is degenerate, but they wrap themselves in the flag and say, we're patriotic.
[00:42:59.431 --> 00:43:02.552]  Go along with the police state or you don't like the police and military.
[00:43:02.552 --> 00:43:06.374]  Police and military, you are dog meat to the New World Order.
[00:43:06.374 --> 00:43:08.855]  Henry Kissinger wrote a book calling you dumb animals.
[00:43:11.446 --> 00:43:12.467]  Yes, Mark.
[00:43:12.467 --> 00:43:13.628]  Alex, can I ask you one more thing?
[00:43:13.628 --> 00:43:15.989]  When are you going to get Mark Kornke on again?
[00:43:15.989 --> 00:43:18.491]  You know, I might get Mark on sometime.
[00:43:18.491 --> 00:43:19.771]  You know, we've had Mark on before.
[00:43:19.771 --> 00:43:22.113]  He hasn't invited me on his show, though.
[00:43:22.113 --> 00:43:27.516]  Listen, we're going to go ahead and go to break and come back with more phone calls.
[00:43:27.516 --> 00:43:31.859]  And I've always defended Mark, and then one day I heard him on the air with some caller, horrible guy saying things about me.
[00:43:31.859 --> 00:43:38.063]  He didn't really defend me, so I've kind of gotten... How would you like to finally be debt-free without paying another cent to creditors?
[00:43:40.814 --> 00:43:41.795]  We're good to go.
[00:44:01.152 --> 00:44:01.632]  We're good to go.
[00:44:25.266 --> 00:44:40.293]  If you've always wanted to experience the amazing benefits from using oil of oregano, the time to act is now!
[00:44:40.293 --> 00:44:46.896]  With so many places to choose from, where can you be 100% certain you're getting the highest quality oil for your dollar?
[00:44:46.896 --> 00:44:48.377]  The answer is simple!
[00:44:48.377 --> 00:44:49.898]  Purebulk.com!
[00:44:49.898 --> 00:44:54.320]  Purebulk.com brings you ultra-pure, non-diluted oil of oregano with
[00:44:54.420 --> 00:44:55.221]  We're good to go.
[00:45:18.459 --> 00:45:19.679]  Absolutely free!
[00:45:19.679 --> 00:45:23.101]  Just enter promotional code IODINE at website checkout.
[00:45:23.101 --> 00:45:24.741]  Visit purebulk.com.
[00:45:24.741 --> 00:45:26.662]  That's purebulk.com.
[00:45:26.662 --> 00:45:27.262]  Or call 406-251-3270.
[00:45:27.262 --> 00:45:27.462]  406-251-3270 today!
[00:45:36.377 --> 00:45:40.879]  If you owe the IRS, you can't make the problem go away without professional help.
[00:45:40.879 --> 00:45:44.241]  But with the help of Dan Pilla, you can get your problem solved.
[00:45:44.241 --> 00:45:49.103]  Hi, I'm Dan Pilla, and I've been solving tax debt problems for 30 years, and I can help you too.
[00:45:49.103 --> 00:45:53.745]  We can stabilize IRS collection action and get your tax debt reduced, sometimes completely eliminated.
[00:45:54.265 --> 00:46:06.113]  And if you received a 1099 from a bank because of mortgage or other debt forgiveness, the vast majority of the time, I can show you how to completely erase it so you pay no taxes on what the IRS will consider to be taxable income.
[00:46:06.113 --> 00:46:09.415]  Call us for a free consultation to discuss the many possibilities.
[00:46:09.415 --> 00:46:12.677]  Call 1-800-34-NO-TAX.
[00:46:12.677 --> 00:46:16.000]  That's 800-34-N-O-T-A-X.
[00:46:16.000 --> 00:46:19.102]  Or go to my website at TaxHelpOnline.com.
[00:46:19.102 --> 00:46:23.865]  Dan Pilla has been protecting taxpayers from the IRS for three decades, and he can help you.
[00:46:24.385 --> 00:46:28.587]  Call us today 800-346-6829.
[00:46:28.587 --> 00:46:33.749]  That's 800-34, no tax.
[00:46:33.749 --> 00:46:36.189]  Americans, do you know where your food comes from?
[00:46:36.189 --> 00:46:38.130]  Is it safe, secure, and healthy?
[00:46:38.130 --> 00:46:42.592]  Did you know most of our food is not contaminated with genetically modified ingredients?
[00:46:42.592 --> 00:46:50.915]  We at Baker Creek Heirloom Seed Company have been helping people get pure garden seed for 12 years and carry over 1,200 varieties of GMO-free heirloom seed.
[00:46:51.596 --> 00:46:55.399]  Go to www.rareseeds.com for more information.
[00:46:55.399 --> 00:46:57.500]  That's rareseeds.com.
[00:46:57.500 --> 00:47:02.544]  Baker Creek Heirloom Seed Company was started in 1998 by a 17-year-old as a hobby.
[00:47:02.544 --> 00:47:06.187]  It was developed out of a passion for preserving our vegetable heritage.
[00:47:06.187 --> 00:47:12.952]  The company now offers the largest selection of pure heirloom seeds strived every year to bring back varieties like our forefathers grew.
[00:47:12.952 --> 00:47:17.115]  In times like these, we can't trust the government to keep our seeds safe.
[00:47:17.115 --> 00:47:20.918]  Every year at Baker Creek, we work to preserve the best of the oldest for future gardeners.
[00:47:21.644 --> 00:47:25.308]  We also offer affordable seed collections for long-term storage.
[00:47:25.308 --> 00:47:30.734]  Go to www.rareseeds.com and get your seeds from America's pure seed source.
[00:47:30.734 --> 00:47:34.418]  That's rareseeds.com.
[00:47:34.418 --> 00:47:38.082]  Are you tired of searching for great talk radio?
[00:47:38.082 --> 00:47:39.583]  Search no more.
[00:47:39.583 --> 00:47:42.567]  We are the GCN Radio Network.
