[00:00:00.734 --> 00:00:04.076]  It's already Thursday, the 16th day of July 2009.
[00:30:10.121 --> 00:30:22.746]  And we've gone from almost, and I know I keep repeating this, no one knowing the Fed was private, being laughed at, to now the enemies had to come out in the open and go, okay, we're private, but we run things for your own good, and if you audit us, we'll cause a depression.
[00:30:23.026 --> 00:30:25.047]  Basically terrorism, economic terrorism.
[00:30:25.927 --> 00:30:38.672]  And we have open announcements of a new Bank of the World we'll pay our carbon taxes to, and now for world government, and hundreds and hundreds of articles a month pushing this on us, and nobody's buying it.
[00:30:39.878 --> 00:30:42.199]  All the things we talked about have come true and are happening.
[00:30:42.239 --> 00:30:54.086]  We're now at this key battle point in history that your brother talked about, that I talked about, that when the crisis came, when the bankers were imploding the world economy by design to bring in their system, that was a weak point for them.
[00:30:54.326 --> 00:31:07.814]  Their great moment of triumph, but also their weak point, if we point out, hey, the emperor's butt naked, this is a fraud, the emperor's new clothes, and now to really see it so viral, this idea of liberty,
[00:31:10.951 --> 00:31:12.752]  I mean, this shows us we can have victory.
[00:31:12.772 --> 00:31:13.633]  This gives us hope.
[00:31:13.913 --> 00:31:23.819]  It shows people that had kind of given up, who had been fighting for decades like yourself, not saying you ever did, that none of this was done for naught.
[00:31:25.139 --> 00:31:30.282]  That the seeds we planted that a lot of people ignored are now sprouting in the minds of men and women everywhere.
[00:31:30.302 --> 00:31:34.625]  Can you speak to just the amazing revolution of liberty and freedom we're seeing?
[00:31:35.485 --> 00:31:39.848]  Well, I have a book sitting in front of me that I continually
[00:31:40.478 --> 00:32:00.195]  Tomorrow when reread it's called the history of our national debt the coming battle it's written by Lorraine and Paul Walters and if somebody really wants to understand where we're at if they read this history
[00:32:01.064 --> 00:32:05.269]  Yeah, didn't they republish that from an 1898 book and they wrote the foreword?
[00:32:05.630 --> 00:32:06.411]  That is correct.
[00:32:06.951 --> 00:32:07.752]  That's an excellent book.
[00:32:09.134 --> 00:32:14.240]  And it is so enlightening that it's worth
[00:32:15.354 --> 00:32:17.656]  Uh, read by anybody interested in it.
[00:32:17.896 --> 00:32:21.259]  I keep reading it because I learn something new every time.
[00:32:21.279 --> 00:32:32.047]  And for those that don't know, this was a guy, I read it 10 years ago when he republished it, in banking, who saw all this coming and said, we're being taken over by bankers, uh, 15 years before they did it.
[00:32:32.808 --> 00:32:33.988]  Yeah, that's correct.
[00:32:35.690 --> 00:32:43.636]  Uh, in Ron's letter to my wife, he says, I want to cut spending, cut taxes,
[00:32:44.770 --> 00:32:45.870]  I want to cut inflation.
[00:32:45.890 --> 00:32:49.711]  I want to have honest money.
[00:32:50.711 --> 00:32:52.351]  I want to cut crime.
[00:32:52.451 --> 00:32:55.692]  I want to let people live in peace and security.
[00:32:56.832 --> 00:33:00.233]  And I want to get rid of government controls and regulations.
[00:33:01.793 --> 00:33:09.494]  And that was basically one sheet of paper that he wrote back in 1974, which was the first time he ran.
[00:33:10.835 --> 00:33:13.235]  And his motto at that time was to say,
[00:33:14.264 --> 00:33:21.151]  Speaking of your brother, let me ask you a question, Wayne Paul.
[00:33:33.237 --> 00:33:39.240]  I challenged him about two months before he announced for president privately on the phone when he was on as a guest during the break.
[00:33:39.260 --> 00:33:40.140]  I said, please run.
[00:33:40.180 --> 00:33:42.381]  You gotta do it just to educate the public.
[00:33:42.701 --> 00:33:44.942]  You morally cannot say no.
[00:33:44.982 --> 00:33:47.503]  I know you don't want to fly around and do the thousands of speeches.
[00:33:47.543 --> 00:33:49.184]  I know you already have an exhausting schedule.
[00:33:49.584 --> 00:33:53.286]  I know you're a real statesman, but I said, you must run for president.
[00:33:53.826 --> 00:33:53.926]  Well,
[00:34:22.179 --> 00:34:40.186]  I think it all boils down to whether the people were ready to hear the message in such a large arena as running for president.
[00:34:41.227 --> 00:34:50.411]  And I think he became amazed at the crowd, the numbers of people, the contributions he
[00:34:52.262 --> 00:35:13.096]  The effort that was put forth by people all over the country, the number of young people that came out and supported him, it actually, I think, blew him away and made him a very humble individual because he never expected it to be as big as it really was.
[00:35:14.737 --> 00:35:19.060]  So I think he was humbled by it.
[00:35:19.080 --> 00:35:20.921]  I think he was in awe by it.
[00:35:21.531 --> 00:35:31.001]  And I think every hour of every moment of every time he's spent doing that, he is absolutely delighted to have done it.
[00:35:31.561 --> 00:35:37.187]  And I think it continues today with his Campaign for Liberty program that he's working on now.
[00:35:38.529 --> 00:35:42.413]  Wayne, I want to talk more about the whole global picture with you and then take some calls.
[00:35:44.238 --> 00:35:55.507]  Some funny or interesting stories about your brother or your family, because people just love to hear them, that you've never told before or that you have never told on the radio before.
[00:35:56.368 --> 00:35:58.650]  Some interesting stuff about the young Ron Paul.
[00:35:59.390 --> 00:36:07.117]  Well, I think one of the most interesting things that I think of is he used to work in a drugstore.
[00:36:07.957 --> 00:36:10.920]  So we called him the soda jerk of the day.
[00:36:12.324 --> 00:36:16.825]  And he would use a bicycle to go a mile, work, and then come home.
[00:36:17.685 --> 00:36:26.027]  And he'd always work late in the evening, up till 10 o'clock, to close the store, and then bike home.
[00:36:26.487 --> 00:36:35.949]  Well, he always had a ritual in his own mind as to how quickly he could get home, so he was always timing himself.
[00:36:38.069 --> 00:36:49.036]  But one evening he was coming home and going up the hill and he was pumping so hard and so fast that he forgot to look in front of him and he ran into a parked car.
[00:36:51.277 --> 00:36:54.939]  And that parked car demolished the front of his bike.
[00:36:56.380 --> 00:37:05.986]  But he picked up the bike and walked the other half mile to get home and when he got home his collarbone was sticking outside of his shirt.
[00:37:07.928 --> 00:37:16.455]  That's just the type of person he was, and he wanted to make sure nobody took his bike, so he dragged it home with him.
[00:37:18.456 --> 00:37:24.481]  That's just the way he is, and most of the five of us are fairly competitive.
[00:37:25.282 --> 00:37:28.864]  My oldest brother has his PhD in mathematics.
[00:37:29.985 --> 00:37:37.411]  The next brother is a doctor of divinity, and of course Ron has three different degrees in medicine.
[00:37:38.416 --> 00:37:48.398]  My next brother has a Doctor of Divinity also, so I have a brother who's a Lutheran minister and one that's a Presbyterian minister.
[00:37:48.998 --> 00:37:52.499]  Good quality salt of the earth, and you're a CPA, right?
[00:37:52.799 --> 00:37:53.459]  That's correct.
[00:37:53.559 --> 00:38:01.201]  They wanted me to be an undertaker so that they could take care of everybody, bring them into the world, raise them, educate them, and I could bury them.
[00:38:01.221 --> 00:38:08.102]  So we decided that if I did that, I would have a monopoly on life and the government wouldn't let me do it.
[00:38:11.668 --> 00:38:14.629]  Just amazing stories, hearing that.
[00:38:18.249 --> 00:38:21.970]  Some of the family background, is the family on both sides German?
[00:38:22.690 --> 00:38:23.830]  Where do the Pauls come from?
[00:38:24.070 --> 00:38:33.452]  Well, my grandfather came to this country as a 12 year old from Germany, and came after his father came here before him.
[00:38:35.532 --> 00:38:39.453]  My mother was French-Irish from Alsace-Lorraine.
[00:38:40.963 --> 00:38:52.852]  But I think it was the close-knit family and our Christian ties that really was a bulwark of our life.
[00:38:54.613 --> 00:39:07.644]  One of the other interesting things about my brother, and he still has it, when he first went to Congress, he bought a little Chevy Chevette to go from his apartment to Congress every day.
[00:39:08.590 --> 00:39:12.192]  And that Chevette was two doors green.
[00:39:12.212 --> 00:39:14.233]  He still has it, by the way.
[00:39:14.253 --> 00:39:21.477]  There's pictures out of that Chevette next to Tip O'Neill's limousine.
[00:39:22.337 --> 00:39:27.860]  And he obviously was proud of showing that in his congressional office or at home.
[00:39:28.060 --> 00:39:37.985]  So it's the interesting contrast between a very liberal individual spending your money and a very conservative just trying to represent you.
[00:39:38.733 --> 00:39:39.375]  Absolutely.
[00:39:39.396 --> 00:39:42.891]  I want to take calls in the next segment, but shifting gears to the big picture...
[00:39:44.125 --> 00:39:44.685]  Eugenics.
[00:39:44.745 --> 00:39:50.328]  I know you study banking, the Federal Reserve, but the overall plans of the global issue.
[00:39:50.428 --> 00:39:52.609]  You told me you've seen the Obama section that you're in.
[00:39:53.049 --> 00:40:00.193]  Give me your view on eugenics, the master plan, the type of people that are the collectivists and the type of societies they build.
[00:40:00.613 --> 00:40:10.778]  You know, really as an illustration of what the price is to pay if we that aren't parasites don't get things under control, we leave the world to these people.
[00:40:12.353 --> 00:40:41.649]  Yes, and that's difficult to really discuss and talk about because it's in an area that, you know, I look at my life and our family's life and as long as we stay the course and understand our responsibility, we believe that those types of things will get settled by a much higher power than us and that it is just something
[00:40:42.503 --> 00:40:56.515]  That at this stage of our life, we have to talk about, learn about, and try to understand, but it's difficult to determine how we might fight it.
[00:40:57.956 --> 00:41:04.962]  It's just incredible to really see the new world order come out in the open and uncloak itself, but it's even more incredible to see the people rise against it.
[00:41:05.402 --> 00:41:06.303]  It's just so exciting.
[00:41:06.784 --> 00:41:10.807]  Oh, I think we live in the most exciting times of our life.
[00:41:11.643 --> 00:41:14.485]  And I just, I'm looking forward to it.
[00:41:33.809 --> 00:41:41.030]  I am vaguely aware of it and saw a little bit of it but I often sit back and admire my brother because he believes as long as you're telling the truth
[00:42:03.010 --> 00:42:10.294]  And as long as you're putting forth the right effort, those types of attacks won't last very long.
[00:42:10.914 --> 00:42:12.735]  I kind of like seeing him get mad, though.
[00:42:13.156 --> 00:42:15.737]  For those that don't know, we haven't played it here because we're not being given any attention.
[00:42:15.797 --> 00:42:16.317]  I might, though.
[00:42:16.718 --> 00:42:18.038]  I mean, his video's out now.
[00:42:18.459 --> 00:42:21.120]  Ron Paul almost pops him, and it looks like shoves him.
[00:42:21.360 --> 00:42:22.341]  He's like, get out of here!
[00:42:22.361 --> 00:42:24.942]  It's kind of like you tell a cow to get out in the middle of the road.
[00:42:24.962 --> 00:42:27.784]  Uh, just, just, just incredible.
[00:42:28.124 --> 00:42:29.905]  Let the media try to demonize him for that.
[00:42:32.057 --> 00:42:39.123]  As you already know, drinking pure high alkaline pH water is the most important factor in maintaining high energy and vibrant health.
[00:42:39.464 --> 00:42:43.847]  Most experts agree that the water you drink should be at a pH level of 8 or higher.
[00:42:44.128 --> 00:42:48.992]  Alkavision Plasma pH Drops combine a unique formula of the most alkaline ingredients.
[00:42:49.352 --> 00:42:49.632]  I'm good.
[00:43:05.640 --> 00:43:05.980]  This is great!
[00:43:32.501 --> 00:43:37.806]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:43:38.307 --> 00:43:45.294]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well funded.
[00:43:45.895 --> 00:43:52.061]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:43:52.421 --> 00:43:54.302]  Well, Obama's already fudging.
[00:43:54.443 --> 00:43:56.844]  He's fudged since day one in this election.
[00:43:56.944 --> 00:44:07.872]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:44:08.512 --> 00:44:09.813]  It's not about left or right.
[00:44:10.193 --> 00:44:11.574]  It's about a one-world government.
[00:44:12.055 --> 00:44:18.279]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:44:18.951 --> 00:44:26.736]  Get your copy of the Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:44:27.217 --> 00:44:28.377]  The Obama Deception.
[00:44:28.798 --> 00:44:30.058]  The people strike back.
[00:44:31.940 --> 00:44:33.901]  It's a new year full of uncertainties.
[00:44:34.461 --> 00:44:36.523]  People are being laid off in record numbers.
[00:44:36.803 --> 00:44:38.404]  The price of food continues to rise.
[00:44:42.073 --> 00:44:42.934]  You need to prepare.
[00:44:43.334 --> 00:44:46.797]  And maybe you've been putting it off, but the time to act is now.
[00:44:47.117 --> 00:44:50.299]  That's why you need to visit OrganicaSeed.com.
[00:44:50.720 --> 00:45:02.809]  At OrganicaSeed.com you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[00:45:03.109 --> 00:45:08.253]  Imagine growing your very own fresh vegetables, wheatgrass, fruits, herbs, rice,
[00:45:08.493 --> 00:45:09.033]  I think so.
[00:45:35.484 --> 00:45:38.546]  It seemed like yesterday, but it was long ago.
[00:45:38.566 --> 00:45:41.148]  Started this fight against the Federal Reserve.
[00:45:41.809 --> 00:45:44.711]  They even kidnapped congressman's kids and killed them to try to shut it down.
[00:45:44.731 --> 00:45:46.092]  But here we are.
[00:45:46.793 --> 00:45:48.174]  You can feel the momentum shifting.
[00:45:48.194 --> 00:45:55.399]  No matter what events the private bank stays, no matter what scams they run, their days are numbered.
[00:45:56.120 --> 00:46:00.263]  The momentum has shifted against them and they know their destruction, their defeat is inevitable.
[00:46:02.486 --> 00:46:05.807]  Let's take a few final calls here for Wayne Paul.
[00:46:06.307 --> 00:46:09.449]  Let's talk to Ronnie in Texas, Steve, Jay, Kay, Philippe, and others.
[00:46:09.749 --> 00:46:11.109]  Ronnie, you're on the air with Wayne Paul.
[00:46:11.129 --> 00:46:11.469]  Go ahead.
[00:46:12.010 --> 00:46:12.430]  Thank you.
[00:46:12.490 --> 00:46:12.990]  Thank you, sir.
[00:46:13.130 --> 00:46:15.671]  Wayne Paul, you're number four for me.
[00:46:15.691 --> 00:46:16.831]  I'm so honored to speak to you.
[00:46:17.712 --> 00:46:29.456]  I spoke with obviously Dr. Paul and Carol and his other brother Randy and you, but I have a question for you and a couple of comments, but one, a photo that I saw while I was campaigning in Iowa for Dr. Paul.
[00:46:30.117 --> 00:46:51.074]  Well, that was a Congressional baseball game that the Congress took on, I think it was the Washington Senators, and Ron got the Astros to send him a uniform.
[00:46:51.975 --> 00:46:54.797]  And oddly enough, in that ball game, Ron hit a home run.
[00:46:57.366 --> 00:46:58.107]  Well, thank you.
[00:46:58.207 --> 00:47:00.008]  As you know, he's the founding father among us now.
[00:47:00.368 --> 00:47:04.091]  The force is with him!
[00:47:04.811 --> 00:47:13.817]  My major question, though, is like you, sir, I know he is not in favor of, or I'm assuming like you, he's not in favor, generally, of people doing drugs.
[00:47:13.917 --> 00:47:21.062]  But Dr. Paul is more vehemently opposed to our own continually counterproductive war on pot smokers and hemp enthusiasts.
[00:47:21.482 --> 00:47:22.943]  So equating alcohol with
[00:47:23.513 --> 00:47:27.997]  THC is a lie, and alcohol is, you know, with the fetal alcohol syndrome, etc.
[00:47:28.517 --> 00:47:31.700]  It's a toxic poison, and THC is non-toxic medicine.
[00:47:32.200 --> 00:47:33.862]  Okay, listen, I appreciate your call.
[00:47:34.622 --> 00:47:44.771]  Yeah, your comments on drug decriminalization, not legalization like Soros wants, decriminalization, so that we don't spend all our time and energy locking up people that need treatment.
[00:47:46.312 --> 00:47:47.473]  And I agree with that.
[00:47:47.573 --> 00:47:51.637]  I think Ron's beliefs and my beliefs are very similar in that
[00:47:52.256 --> 00:47:58.618]  That that is a moral issue that is a personal choice of people.
[00:47:59.398 --> 00:48:02.379]  It doesn't mean that we condone it.
[00:48:02.539 --> 00:48:14.482]  It only means that we should help that individual so that those things do not become addictive and they do not start to control their life.
[00:48:15.083 --> 00:48:16.623]  Well... And that's the issue.
[00:48:18.075 --> 00:48:22.518]  Look, areas of Europe have decriminalized heroin and in some areas it's cut it by half.
[00:48:22.678 --> 00:48:23.918]  Everywhere it's gone down at least by 25%.
[00:48:24.419 --> 00:48:26.320]  People can pull those numbers up.
[00:48:26.340 --> 00:48:30.642]  There's different numbers per country, different cities, but it's all a massive decrease.
[00:48:30.922 --> 00:48:38.667]  And people stop robbing your house for your stereo and computer because the stuff is super cheap and it's from a kind of government or city dispensary.
[00:48:39.147 --> 00:48:46.091]  And probably 80% of those people behind bars in prisons would not be there if it wasn't for that.
[00:48:47.128 --> 00:48:52.171]  Well, plus they admit our troops guard the poppy fields in Afghanistan, and it's up nine times.
[00:48:52.231 --> 00:48:53.913]  I mean, they're shipping it in.
[00:48:54.393 --> 00:48:55.894]  I mean, of course the elites do that.
[00:48:56.054 --> 00:49:01.838]  We're talking about hundreds of millions a year of secret money they get to fractionally reserve loan out.
[00:49:02.278 --> 00:49:05.300]  Let's take one more call here right in this hour, and we'll come back in five more minutes.
[00:49:05.881 --> 00:49:06.741]  Steve in Canada.
[00:49:07.242 --> 00:49:07.822]  You're on the air.
[00:49:07.842 --> 00:49:08.402]  Go ahead.
[00:49:09.883 --> 00:49:10.324]  Hi there, Alex.
[00:49:10.764 --> 00:49:12.485]  I'm a long-time listener, big-time fan.
[00:49:14.488 --> 00:49:17.991]  I got a comment which will lead into a question for Mr. Paul there.
[00:49:18.431 --> 00:49:21.894]  My comment is about the H.R.
[00:49:21.914 --> 00:49:27.519]  2454, the Climate Change Act that just got passed there in the states.
[00:49:28.120 --> 00:49:30.021]  It hasn't passed the House, it hasn't passed the Senate.
[00:49:30.061 --> 00:49:31.503]  It hasn't yet, eh?
[00:49:31.963 --> 00:49:33.164]  That was actually one of my questions.
[00:49:34.645 --> 00:49:41.151]  If that does pass, I just want your listeners to know that there's a great video out there called the Great Global Warming Swindle.
[00:49:42.200 --> 00:49:45.041]  And it's available on YouTube and Google Video and all those places.
[00:49:45.581 --> 00:49:46.261]  Yeah, it's free.
[00:49:46.301 --> 00:49:46.882]  It's incredible.
[00:49:46.902 --> 00:49:48.742]  It's got all the climatologists and scientists.
[00:49:49.603 --> 00:49:49.963]  Thank you.
[00:49:50.003 --> 00:49:50.623]  I'm going to jump.
[00:49:50.983 --> 00:49:51.503]  Great points.
[00:49:51.523 --> 00:49:58.265]  We're going to come back in 70 seconds with Wayne Paul, Ron Paul's brother and an activist against tyranny as well.
[00:49:58.285 --> 00:50:03.527]  And I guess we can say chip off the old block because he is Ron's younger brother, one of his younger brothers.
[00:50:04.427 --> 00:50:08.929]  And we will ask him about the global warming tax.
[00:50:13.700 --> 00:50:15.782]  Thank you for listening to GCN.
[00:50:16.323 --> 00:50:19.507]  Be sure to visit GCNlive.com today!
[00:50:21.681 --> 00:50:25.662]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:50:25.923 --> 00:50:27.683]  Do you really know what's in your tap water?
[00:50:27.903 --> 00:50:36.186]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:50:36.426 --> 00:50:41.668]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:50:41.988 --> 00:50:43.609]  Now what are you going to do about it?
[00:50:43.849 --> 00:50:50.195]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:50:50.375 --> 00:51:01.125]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere, and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:51:01.405 --> 00:51:01.925]  That's right.
[00:51:02.186 --> 00:51:04.488]  Clean water, right from the air you breathe.
[00:51:04.748 --> 00:51:06.349]  Order today by calling 1-800-691-8255.
[00:51:08.891 --> 00:51:10.011]  That's 1-800-691-6043.
[00:51:10.091 --> 00:51:19.254]  Or visit A Cola Blue on the web at www.ecoloble.com today.
[00:51:19.434 --> 00:51:20.774]  That's A Cola Blue dot com.
[00:51:24.695 --> 00:51:26.615]  Waging war on corruption.
[00:51:27.075 --> 00:51:29.856]  Alex Jones on the GCN Radio Network.
[00:51:42.779 --> 00:51:50.243]  All right, final minutes with Wayne Paul, a few more of your phone calls, then General Stubblebine and Dr. Lambo will be joining us to talk about eugenics.
[00:51:52.804 --> 00:52:01.728]  Wayne, global warming tax over every facet of our lives, federal inspections, total federalization, eugenics agenda for the control freaks around our lives.
[00:52:02.028 --> 00:52:05.590]  Your take on the global warming cap and trade and on eugenics.
[00:52:11.536 --> 00:52:13.096]  Wayne, are you there?
[00:52:13.437 --> 00:52:13.917]  Yes, sir.
[00:52:14.397 --> 00:52:14.857]  Okay, great.
[00:52:15.097 --> 00:52:17.558]  Your take on the global warming tax and eugenics?
[00:52:18.358 --> 00:52:30.102]  Well, as far as global warming is concerned, I do think the cat is out of the bag, that a lot of that is hoped.
[00:52:31.202 --> 00:52:34.763]  I think if we learned anything from it,
[00:52:35.626 --> 00:52:40.712]  We should be more aware of our environment and take better care of it.
[00:52:40.993 --> 00:52:47.080]  But I don't I think global warming is coming gone over the last 200 years.
[00:52:48.826 --> 00:52:53.407]  That I don't think there's anything different today than it was when we settled this country back then.
[00:52:53.447 --> 00:52:59.849]  Well I agree with you, and they piggyback legitimate environmental issues that could be handled civilly.
[00:53:00.049 --> 00:53:05.411]  You do some toxic waste dumping on somebody, they can take you to the cleaners or get you put in prison.
[00:53:06.911 --> 00:53:12.853]  But they love these new systems that are extrajudicial outside the system, and they mean business.
[00:53:12.873 --> 00:53:13.173]  Go ahead.
[00:53:13.593 --> 00:53:15.375]  Well, and it's cold.
[00:53:15.616 --> 00:53:17.879]  I don't have enough of your property.
[00:53:17.979 --> 00:53:22.304]  I want a little bit more, so they try different ways to plunder your property.
[00:53:22.965 --> 00:53:25.448]  And that's, in effect, what Cap and Trade's gonna do.
[00:53:25.969 --> 00:53:28.553]  And then look at government being the biggest polluter out there.
[00:53:29.472 --> 00:53:29.772]  Absolutely.
[00:53:30.332 --> 00:53:35.474]  I mean, this is, like, CPS is five to seven times more likely, depending on what state, to abuse your children.
[00:53:35.494 --> 00:53:38.735]  They're the most dangerous people out there, so they're the ones that watch the kids.
[00:53:38.775 --> 00:53:39.456]  I mean, give me a break.
[00:53:39.756 --> 00:53:43.017]  Every pedophile in the world wants to be a CPS worker.
[00:53:43.037 --> 00:53:44.457]  I mean, put two and two together, of course.
[00:53:44.817 --> 00:53:47.919]  Jay in Oregon, last caller for our guest, Wayne Paul, Ron Paul's brother.
[00:53:47.959 --> 00:53:48.259]  Go ahead.
[00:53:48.839 --> 00:53:49.199]  Hi, Wayne.
[00:53:49.599 --> 00:53:50.079]  Hi, Jay.
[00:53:51.680 --> 00:53:54.001]  Actually, I've got two questions for you.
[00:53:54.021 --> 00:53:55.021]  Go ahead.
[00:53:56.021 --> 00:53:56.502]  Question one.
[00:53:58.208 --> 00:54:12.533]  How do you reconcile the cognitive dissonance of working to quell what you guys are calling the rise of the One World Government, One World Economy, One World Currency, when it's clear in the Word of God that this is going to happen?
[00:54:14.431 --> 00:54:15.851]  Yeah, it was clear in 70 A.D.
[00:54:16.032 --> 00:54:18.992]  they thought it was the end of the world when Jerusalem was sacked.
[00:54:19.032 --> 00:54:21.213]  They thought it was the end of the world when Hitler was killing people.
[00:54:21.233 --> 00:54:23.394]  You've got all these different empires.
[00:54:23.734 --> 00:54:31.096]  How do you reconcile in the word of God that it's our job to fight evil, whatever the cost may be?
[00:54:33.357 --> 00:54:36.718]  It's not to us to choose, it's us to do the right thing.
[00:54:38.278 --> 00:54:40.379]  Duty is ours, consequence belongs to God.
[00:54:40.399 --> 00:54:41.339]  I mean, is that what you're saying?
[00:54:41.359 --> 00:54:42.840]  Or what are you getting at?
[00:54:43.516 --> 00:54:45.918]  Well, Alex, I know your position real well.
[00:54:45.958 --> 00:54:47.099]  I was asking Mr. Paul.
[00:54:47.119 --> 00:54:48.660]  Okay, go ahead.
[00:54:48.680 --> 00:54:49.260]  We'll let you go.
[00:54:49.280 --> 00:54:50.401]  Mr. Paul, go ahead.
[00:54:50.781 --> 00:54:51.182]  Okay.
[00:54:51.882 --> 00:55:04.751]  My answer to that question is it doesn't change my Christian obligation as to how I live and how I am a steward of the property I've been entrusted with.
[00:55:06.052 --> 00:55:11.316]  Regardless of what may be God's will, I have
[00:55:12.714 --> 00:55:37.809]  I have been instructed by the Word to live a life that is a stewardship life in terms of the property I have, in terms of the people I associate with, my peer group, and my responsibility is to do it according to God's Word, and God's going to take care of the rest of the thing.
[00:55:38.464 --> 00:55:39.904]  So I'm not going to worry about it.
[00:55:40.404 --> 00:55:49.386]  I still have to fight the battle that the Federal Reserve System is an evil system and needs to be abolished.
[00:55:50.306 --> 00:55:51.647]  It doesn't change the fact.
[00:55:51.707 --> 00:56:00.469]  It was the pastors that led the Revolutionary War against England and a few of the pastors did say it's God's will, lay down Romans 13 out of context.
[00:56:00.729 --> 00:56:02.429]  Look at the prophets, look at the whole Bible.
[00:56:02.609 --> 00:56:04.770]  It's about standing up against evil and fighting evil.
[00:56:05.150 --> 00:56:06.690]  Caller, does that answer your question Jay?
[00:56:07.918 --> 00:56:08.419]  It does enough.
[00:56:08.699 --> 00:56:09.039]  Thank you.
[00:56:09.600 --> 00:56:09.940]  You bet.
[00:56:09.980 --> 00:56:16.326]  I mean, these devil churches funded by the Rockefellers publicly, World Council of Churches, are telling people stand down.
[00:56:17.247 --> 00:56:19.369]  And, uh, it's incredible.
[00:56:19.529 --> 00:56:21.390]  Wayne Paul, amazing having you on.
[00:56:21.450 --> 00:56:21.871]  Thank you.
[00:56:22.832 --> 00:56:23.332]  Thank you.
[00:56:23.472 --> 00:56:24.273]  I appreciate it.
[00:56:24.814 --> 00:56:27.436]  We appreciate you being on, and he's in the Obama Deception, folks.
[00:56:27.656 --> 00:56:29.238]  Let me say bye to you during the break, Wayne.
[00:56:30.178 --> 00:56:30.579]  Stay with us.
[00:56:31.701 --> 00:56:37.263]  This is Alex Jones and I want to tell you again about a company that has supported us in the truth movement for years.
[00:56:37.563 --> 00:56:38.724]  Inner Health Botanicals.
[00:56:38.864 --> 00:56:42.825]  This company produces the highest quality superfood around, called Inner Food.
[00:56:43.145 --> 00:56:44.686]  My wife just loves the stuff.
[00:56:44.986 --> 00:56:51.289]  And now, the health ranger Mike Adams has awarded Inner Food his Editor's Choice Award for Best Superfood of 2009.
[00:56:52.429 --> 00:56:54.990]  Inner Food is loaded with 20 great organic ingredients.
[00:56:55.310 --> 00:56:56.791]  No fillers, no sweeteners.
[00:56:57.051 --> 00:56:59.832]  It would be impossible to blend this up for a better price.
[00:57:00.052 --> 00:57:01.492]  And their formula really works.
[00:57:01.772 --> 00:57:04.313]  This is the real thing for the great health you need.
[00:57:04.593 --> 00:57:05.834]  Try the NutriCafe.
[00:57:06.074 --> 00:57:10.435]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[00:57:10.836 --> 00:57:13.036]  A truly healthy coffee that tastes great.
[00:57:13.256 --> 00:57:15.517]  And take it from me folks, it really does taste great.
[00:57:15.717 --> 00:57:17.458]  Don't forget to try their other great products.
[00:57:17.818 --> 00:57:18.939]  Go to www.
[00:57:20.839 --> 00:57:23.161]  We're good to go.
[00:57:31.872 --> 00:57:36.876]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:57:37.076 --> 00:57:40.880]  Number one, new climate legislation could easily double or triple your electric bill.
[00:57:41.100 --> 00:57:46.725]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:57:47.025 --> 00:57:51.889]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:57:52.089 --> 00:57:52.590]  Number three,
[00:57:52.990 --> 00:57:58.437]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:57:59.278 --> 00:58:01.941]  The hurricane and dangerous summer storm season is here again.
[00:58:02.182 --> 00:58:05.626]  Every year, thousands of families lose their power from weather-related outages.
[00:58:06.707 --> 00:58:10.332]  A solar power generator provides powerful backup insurance and peace of mind.
[00:58:10.552 --> 00:58:16.036]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:58:16.276 --> 00:58:20.840]  You can get more information at www.mysolarbackup.com.
[00:58:20.980 --> 00:58:22.521]  That's mysolarbackup.com.
[00:58:22.761 --> 00:58:25.103]  Remember, the government doesn't own the sun yet.
[00:58:25.323 --> 00:58:27.965]  So go to mysolarbackup.com or call toll free 877-327-0365.
[00:58:32.082 --> 00:58:34.843]  State of the economy is severely impacting your life.
[00:58:35.083 --> 00:58:38.445]  This might be some of the most important information you will ever hear.
[00:58:38.785 --> 00:58:46.489]  As the economy continues to spiral out of control, many people just like you wonder how they will support their family and pay their bills.
[00:58:46.769 --> 00:58:50.131]  The government is not going to help out the people who desperately need it.
