[00:00:04.696 --> 00:00:06.177]  Thank you, Mr. Chairman.
[00:58:34.459 --> 00:58:36.683]  Infowars.com is our website.
[00:58:36.683 --> 00:58:38.706]  DrTenpenny.com is hers.
[00:58:38.706 --> 00:58:39.087]  Stay with us.
[00:58:40.949 --> 00:58:46.593]  America's number one source for independent talk radio for over a decade.
[00:58:46.593 --> 00:58:50.436]  We are the GCN Radio Network.
[00:58:50.436 --> 00:58:53.839]  Have you ever wanted to generate your own supply of electrical power?
[00:58:53.839 --> 00:58:57.461]  If so, this is going to be the most important message you will ever hear.
[00:58:57.461 --> 00:59:02.025]  Solar power generators are now available from Solutions from Science in Thompson, Illinois.
[00:59:02.025 --> 00:59:03.446]  These emergency backup systems
[00:59:03.686 --> 00:59:06.568]  Provide life-saving electrical power when you need it most.
[00:59:06.568 --> 00:59:12.693]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity for free.
[00:59:12.693 --> 00:59:16.296]  It's like having an electric power plant running quietly in your own home.
[00:59:16.296 --> 00:59:21.119]  Run sump pumps, shortwave radios, computers, and even keep food from spoiling.
[00:59:21.119 --> 00:59:27.684]  Whether it's hurricanes, ice storms, brownouts, or blackouts, you'll never have to suffer through painful power outages again.
[00:59:27.684 --> 00:59:29.646]  When the power goes out, you'll be ready.
[00:59:30.126 --> 00:59:33.328]  With a solar-powered generator from Solutions from Science.
[00:59:33.328 --> 00:59:37.811]  Go to MySolarBackup.com and get off the grid today.
[00:59:37.811 --> 00:59:39.612]  That's MySolarBackup.com.
[00:59:39.612 --> 00:59:40.032]  Or call 877-327-0365.
[00:59:40.032 --> 00:59:40.352]  877-327-0365.
[00:59:40.352 --> 00:59:40.593]  Don't wait.
[00:59:40.593 --> 00:59:41.213]  Call today.
[00:59:41.213 --> 00:59:42.254]  Waging war on corruption.
[00:59:42.254 --> 00:59:43.534]  Alex Jones on the GCM Radio Network.
[01:00:17.985 --> 01:00:26.170]  We're having trouble getting a hold of my crew in the middle of a demonstration in Pittsburgh beating for the G20.
[01:00:26.170 --> 01:00:27.772]  I hope they'll be here in 30 minutes.
[01:00:27.772 --> 01:00:29.032]  Stay with us for that.
[01:00:29.032 --> 01:00:32.135]  Dr. Sherry Tenpenny, are you ready to go to calls?
[01:00:32.135 --> 01:00:33.195]  I am.
[01:00:33.195 --> 01:00:35.237]  Let's talk to Aaron in Utah.
[01:00:35.237 --> 01:00:36.237]  Aaron, you're on the air.
[01:00:36.237 --> 01:00:36.658]  Go ahead.
[01:00:36.658 --> 01:00:40.040]  Hi, Alex.
[01:00:40.040 --> 01:00:41.181]  Hello, sir.
[01:00:41.181 --> 01:00:41.461]  How are you?
[01:00:42.065 --> 01:00:42.345]  Good.
[01:00:42.345 --> 01:00:43.486]  What's on your mind?
[01:00:43.486 --> 01:00:43.807]  Good.
[01:00:43.807 --> 01:00:46.209]  Hey, just real quick question for you.
[01:00:46.209 --> 01:01:04.427]  I was listening to your show and another show, you know, RBN with Dr. Chua, and he just released some information from Bob Chapman saying that the, uh, there's a naval vessel somewhere off the coast that's been fully quarantined now because the ship's captain and petty officer and many others have died from swine flu injections.
[01:01:06.144 --> 01:01:07.085]  Well, that's amazing.
[01:01:07.085 --> 01:01:12.091]  We'll check that, email it to ridersandinfowars.com.
[01:01:12.091 --> 01:01:22.643]  But that's, you know, always with the 1918, 1976, 77, it always, the deadly thing only happens on a base, and then, and then they try to force inoculation.
[01:01:22.643 --> 01:01:24.245]  Dr. Sherry Tenpenny, comments on that?
[01:01:24.850 --> 01:01:28.195]  Well, that would be pretty interesting to track that down to find out if that's true.
[01:01:28.195 --> 01:01:30.698]  But, you know, I think they're suspecting those things, Alex.
[01:01:30.698 --> 01:01:40.272]  I'm sure you reported a couple of days ago when the Canadian government sent swine flu vaccine and syringes in body bags to the Indians in northern Manitoba.
[01:01:40.785 --> 01:01:42.246]  The Indian Reservation's up there.
[01:01:42.246 --> 01:01:46.469]  So, was that the message that if you die from the flu, here's your body bags?
[01:01:46.469 --> 01:01:51.413]  Or was that the message, if you get your flu shot, you're going to die, you're going to die and here's your body bags?
[01:01:51.413 --> 01:02:01.420]  Yeah, that was in the National Post newspaper, just off the charts, bizarre, and there's been body bag purchases, the British News reports and the U.S.
[01:02:01.420 --> 01:02:08.625]  News, and all those plastic FEMA coffins, they admit, were purchased by the CDC that are kept in Georgia, Alabama, Colorado, California,
[01:02:09.267 --> 01:02:10.768]  And Oklahoma.
[01:02:10.768 --> 01:02:12.429]  Thank you so much for that tip, Aaron.
[01:02:12.429 --> 01:02:13.690]  Tom in California.
[01:02:13.690 --> 01:02:14.591]  Tom, you're on the air.
[01:02:14.591 --> 01:02:17.552]  Alex, thank you for your work and for having me on.
[01:02:17.552 --> 01:02:24.257]  I had some information from Professor Garth Nicholson that's written hundreds of peer-reviewed medical journal articles.
[01:02:25.325 --> 01:02:27.447]  Yes, he used to work at the MD Anderson facility.
[01:02:27.447 --> 01:02:28.048]  We've had him on.
[01:02:28.048 --> 01:02:31.492]  In fact, it's a good idea to get Nicholson on about the microplasm incognitus.
[01:02:31.492 --> 01:02:32.053]  Go ahead.
[01:02:32.053 --> 01:02:35.597]  Well, some of his videos I posted on my MySpace pages.
[01:02:35.597 --> 01:02:38.820]  MySpace.com, slant, toxic, irreverent.
[01:02:38.820 --> 01:02:40.122]  I'm an environmental technologist.
[01:02:40.734 --> 01:02:44.317]  But next to my icon, which is a red skull and bones, is a little link to his videos.
[01:02:44.317 --> 01:02:45.718]  You click on that and he has two.
[01:02:45.718 --> 01:02:52.303]  I've posted two of his videos on the dangers of vaccines and another one on the biological weapons experiments on the American public.
[01:02:52.303 --> 01:02:54.184]  Yeah, he's a scientific medical doctor.
[01:02:54.184 --> 01:02:55.566]  Very prestigious.
[01:02:55.566 --> 01:02:56.126]  Right.
[01:02:56.126 --> 01:02:59.729]  And one of the things he talked about was how they don't screen for these mycoplasmas.
[01:03:00.249 --> 01:03:03.892]  They're now incapacitating agents, non-lethal bioweapons.
[01:03:03.892 --> 01:03:10.777]  Well, that's why all the studies in rats show vaccines are causing in rodents just incredible arthritis.
[01:03:10.777 --> 01:03:11.757]  I appreciate your call.
[01:03:11.757 --> 01:03:19.963]  Dr. Tenpenny, can you comment on the RNA, the viruses, the German news reporting cancer viruses in the shots?
[01:03:19.963 --> 01:03:21.844]  Well, yes, I can on two points.
[01:03:21.844 --> 01:03:24.206]  One is just to acknowledge what the caller said.
[01:03:24.608 --> 01:03:34.031]  We've known for years that at least 6% of all vaccines, and these are also childhood vaccines, up to 6% of vaccines have mycoplasma in them.
[01:03:34.031 --> 01:03:35.371]  They're not screened out for that.
[01:03:35.371 --> 01:03:38.852]  So that's not even the swine flu and the regular flu.
[01:03:38.852 --> 01:03:42.854]  So mycoplasma's been getting into the population for a long time.
[01:03:42.854 --> 01:03:45.354]  And describe people who don't know what that is.
[01:03:45.354 --> 01:03:53.497]  It's like a... So mycoplasma is an organism that kind of lives somewhere between a virus and a bacteria is the best way to explain it.
[01:03:53.977 --> 01:03:59.940]  It's susceptible to antibiotics, but it hides inside of your cells, so the antibiotics aren't always affected.
[01:03:59.940 --> 01:04:04.543]  And when it goes inside the cells, it acts more like a virus in terms of replication.
[01:04:04.543 --> 01:04:11.327]  And it's a very nasty bug, and it can cause a lot of problems, and a lot of health problems, a lot of different health problems.
[01:04:11.327 --> 01:04:13.848]  And there's a whole host of different types of mycoplasma, too.
[01:04:15.296 --> 01:04:16.756]  Just a big breaking news.
[01:04:16.756 --> 01:04:21.037]  I'm going to get Kurt Nemo and Paul Watson to post this right now, but you can just Google it.
[01:04:21.037 --> 01:04:24.058]  Navy ships under swine flu quarantine, AP.
[01:04:24.058 --> 01:04:29.019]  Group of Navy ships under quarantine after several dozen sailors and Marines on board tested positive for swine flu.
[01:04:29.019 --> 01:04:31.099]  So they're just fear mongering over that.
[01:04:31.099 --> 01:04:33.040]  Doesn't look like anybody died.
[01:04:33.040 --> 01:04:36.561]  Health officials say at least 69 people have been confirmed with the virus.
[01:04:36.561 --> 01:04:41.642]  So they make much ado about nothing when 37% of the population already has it and aren't even sick.
[01:04:41.642 --> 01:04:43.042]  And all of them have since recovered.
[01:04:43.772 --> 01:04:45.074]  So, nobody's dead.
[01:04:45.074 --> 01:04:46.095]  Key point there.
[01:04:46.095 --> 01:04:47.036]  Everyone be covered.
[01:04:47.036 --> 01:04:48.258]  There's the key point.
[01:04:48.258 --> 01:04:50.461]  Nobody's dead on the USS Boxer.
[01:04:50.461 --> 01:04:59.252]  Navy officials say they now quarantine an undetermined number of crew members with flu-like symptoms on four ships that are part of the USS Boxer Amphibious Ready Group.
[01:05:00.694 --> 01:05:08.438]  Have you heard that millionaire, entrepreneur, businessman, your congressional candidate, and author Robert Beatles wrote a new book called Here's What You Do.
[01:05:08.438 --> 01:05:17.183]  You can buy it at Here'sWhatYouDo.net as an e-book for six bucks or the book for ten bucks and we have an audio book on its way for you commuters as well.
[01:05:17.463 --> 01:05:23.748]  Here's What You Do tells you exactly what to do to survive and thrive in these harsh economic times.
[01:05:23.748 --> 01:05:27.812]  This book will work for anyone, rich, poor, middle class, it doesn't matter.
[01:05:27.812 --> 01:05:33.196]  This book truly has the information that can make you wealthy and it will tell you how to protect your wealth as well.
[01:05:33.436 --> 01:05:35.516]  You know the government isn't looking out for you.
[01:05:35.516 --> 01:05:37.277]  You need to look out for yourself.
[01:05:37.277 --> 01:05:39.797]  The economy is bad, but it's probably going to get worse.
[01:05:39.797 --> 01:05:44.518]  You must prepare and make sure you are able to financially take care of yourself and your loved ones.
[01:05:44.518 --> 01:05:48.219]  Go to here'swhatyoudo.net and start today.
[01:05:48.219 --> 01:05:51.360]  Again, it is here'swhatyoudo.net.
[01:05:51.360 --> 01:05:53.240]  That's here'swhatyoudo.net.
[01:05:53.240 --> 01:05:55.481]  One last time, it's here'swhatyoudo.net.
[01:06:00.899 --> 01:06:03.901]  Hello, this is Alex Jones with some important questions.
[01:06:03.901 --> 01:06:09.246]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[01:06:09.246 --> 01:06:11.287]  My answer would be all I can get.
[01:06:11.287 --> 01:06:16.291]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[01:06:16.291 --> 01:06:17.192]  How much do you want?
[01:06:17.452 --> 01:06:18.593]  When do you want it?
[01:06:18.593 --> 01:06:20.474]  Now or after the battle starts?
[01:06:20.474 --> 01:06:21.535]  When will you need it?
[01:06:21.535 --> 01:06:23.737]  Can you buy it without proper identification?
[01:06:23.737 --> 01:06:25.078]  Will there be any food?
[01:06:25.078 --> 01:06:26.619]  Will it make your children sick?
[01:06:26.619 --> 01:06:31.883]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[01:06:31.883 --> 01:06:35.466]  You wipe out all these problems if you have a good food supply.
[01:06:35.466 --> 01:06:38.929]  Food is your ammunition to fight for your freedom and your life.
[01:06:39.269 --> 01:06:40.510]  How much will you need?
[01:06:40.510 --> 01:06:41.411]  We don't know.
[01:06:41.411 --> 01:06:42.511]  How much do you want?
[01:06:42.511 --> 01:06:43.432]  All you can get.
[01:06:43.432 --> 01:06:44.533]  I'm Alex Jones.
[01:06:44.533 --> 01:06:47.595]  I want all of you good guys to live to fight another day.
[01:06:47.595 --> 01:06:50.437]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[01:06:50.437 --> 01:06:51.257]  Again, that number 1-800-409-5633.
[01:06:51.257 --> 01:06:54.079]  Toxins are in our foods and chemicals are in our air.
[01:07:09.537 --> 01:07:11.798]  Chemicals are in our water supply.
[01:07:11.798 --> 01:07:17.680]  We purify our air and we purify our water, and yet we forget to purify our bodies.
[01:07:17.680 --> 01:07:22.821]  Funny, our bodies continue to absorb these deadly toxins and chemicals every day.
[01:07:22.821 --> 01:07:24.722]  Isn't it time to make a change?
[01:07:24.722 --> 01:07:26.302]  Maybe a life change?
[01:07:26.302 --> 01:07:28.463]  Get rid of toxins and chemicals.
[01:07:29.127 --> 01:07:30.648]  GetTheTee.com.
[01:07:30.648 --> 01:07:34.610]  Log on to GetTheTee.com and order your protection today.
[01:07:34.610 --> 01:07:36.411]  Our testimonies tell the truth.
[01:07:36.411 --> 01:07:38.231]  GetTheTee.com.
[01:07:38.231 --> 01:07:40.653]  Or you can call us at 928-308-0408.
[01:07:40.653 --> 01:07:47.596]  That's 928-308-0408.
[01:07:47.596 --> 01:07:53.399]  Cleanse from toxins and chemicals, lose some weight, and get free from unhealthy living.
[01:07:53.399 --> 01:07:55.580]  Order today at GetTheTee.com.
[01:08:01.852 --> 01:08:16.045]  Ladies and gentlemen, this is breaking news!
[01:08:16.045 --> 01:08:21.811]  Do you know why my crew is not live with us right now while they're out of contact?
[01:08:21.811 --> 01:08:24.994]  They are under sustained LRAD sound cannon attack.
[01:08:24.994 --> 01:08:25.935]  You know they roll these out
[01:08:26.750 --> 01:08:28.832]  at tea parties in California and other places.
[01:08:28.832 --> 01:08:31.254]  First time I saw him was 2004 in New York.
[01:08:31.254 --> 01:08:39.140]  They have the National Guard engaging American citizens right now with deadly acoustic weapons that damage the middle ear.
[01:08:39.140 --> 01:08:41.903]  They might just talk to them all.
[01:08:41.903 --> 01:08:45.005]  In fact, get Mike Nelson in here right now and they go, we can't hear you.
[01:08:45.005 --> 01:08:45.726]  It's painful.
[01:08:45.726 --> 01:08:45.806]  It's
[01:08:47.768 --> 01:08:54.551]  And we're text messaging him, telling him just to call in right now, but it's blindingly loud.
[01:08:54.551 --> 01:08:55.712]  Get Mike in here right now.
[01:08:55.712 --> 01:08:57.113]  Mike heard it.
[01:08:57.113 --> 01:09:10.039]  This is happening right now in Pittsburgh, Pennsylvania, while the G20 and mainstream news is getting rid of the dollar, bringing in world government against everybody right now.
[01:09:10.039 --> 01:09:11.540]  Mike Nelson just talked to
[01:09:13.890 --> 01:09:18.693]  He said that they can't hear anything that I'm saying because they're under sound weapon
[01:09:39.602 --> 01:09:39.883]  That's right.
[01:09:52.842 --> 01:09:56.988]  And then I hear a voice every so often... A voice saying, get back, get back!
[01:09:56.988 --> 01:09:58.149]  ...to leave the area.
[01:09:58.149 --> 01:10:00.172]  But you, you... Holy mackerel!
[01:10:00.172 --> 01:10:01.694]  Put on CNN right now!
[01:10:01.694 --> 01:10:04.457]  But I can't hear... I'll guarantee you this is gonna be on the news.
[01:10:04.457 --> 01:10:10.966]  We've got reporters in the zone right now in Pittsburgh, Pennsylvania, as the bastard bankers totally take everything over.
[01:10:11.610 --> 01:10:12.690]  Are they texting you back?
[01:10:12.690 --> 01:10:14.391]  I mean, we've got to get them on now!
[01:10:14.391 --> 01:10:15.752]  No one's texted me back.
[01:10:15.752 --> 01:10:17.112]  Oh, man!
[01:10:17.112 --> 01:10:20.793]  We should have had the operating procedure that if they got hit with a sound weapon, immediately call in.
[01:10:20.793 --> 01:10:24.855]  Tell them in the text, get out of the area, and then call in.
[01:10:24.855 --> 01:10:24.995]  Ah!
[01:10:24.995 --> 01:10:27.956]  Well, no doubt they've got video of this incredible event.
[01:10:27.956 --> 01:10:28.496]  Oh, man!
[01:10:28.496 --> 01:10:32.998]  Dr. Sherry Tinpenny, I tell you, this brings new meaning to the word info war.
[01:10:32.998 --> 01:10:36.939]  Wow, Alex, that's pretty scary, isn't it?
[01:10:36.939 --> 01:10:40.761]  I'm telling you, I'm telling you, I mean, my life is like a Twilight Zone episode.
[01:10:41.508 --> 01:10:55.000]  Alex, do you know, have you heard reports from other parts of the world, I mean other than the U.S., are these sorts of things, these sound wave technologies, these mandatory vaccines, FEMA camps, all this other stuff, in other countries are these the same?
[01:10:55.000 --> 01:10:56.061]  Simultaneously.
[01:10:56.681 --> 01:11:02.344]  The Air Force said, well, we can't use this in Iraq in 2004 until we use it in America.
[01:11:02.344 --> 01:11:05.306]  So they started using it here, then saying it was no big deal.
[01:11:05.306 --> 01:11:07.808]  Now they're rolling out microwave guns.
[01:11:07.808 --> 01:11:11.390]  We've gotten confirmed reports, and I saw this in Denver, but it was in a police area.
[01:11:11.390 --> 01:11:15.312]  When they saw me videoing it, they brought it in a garage.
[01:11:15.312 --> 01:11:17.514]  They have microwave guns.
[01:11:17.514 --> 01:11:19.075]  Big, big, mounted on Humvees.
[01:11:23.804 --> 01:11:29.672]  Listen, this is such a police state there that they tried to talk to the military and talk to a spokesman last night.
[01:11:29.672 --> 01:11:34.418]  Defense Link put a press release out and they said, no, we're not going to talk to you, get out of here.
[01:11:34.418 --> 01:11:41.707]  Then they got their license number, had the police pose as Alamo rental car people from the county there, Allegheny County in Pennsylvania.
[01:11:41.707 --> 01:11:42.368]  They called them.
[01:11:43.542 --> 01:11:45.824]  And said, oh, your car's got no brakes.
[01:11:45.824 --> 01:11:46.885]  Bring it in.
[01:11:46.885 --> 01:11:48.707]  And they said, well, we're in the coordinate G20.
[01:11:48.707 --> 01:11:50.168]  We're news reporters.
[01:11:50.168 --> 01:11:51.930]  We can't get out till tomorrow.
[01:11:51.930 --> 01:11:58.095]  And they said, well, that's fine, because I'm a police officer with the Army and FBI, and you've all been put on terror list, and your life's over, boy.
[01:11:58.095 --> 01:12:02.119]  And we know you're a terrorist, and you were sneaking around the military base and ran.
[01:12:02.119 --> 01:12:03.841]  All lies, Sherry.
[01:12:03.841 --> 01:12:06.143]  Just, I mean, and they just think of us as dirt.
[01:12:08.072 --> 01:12:12.816]  Well, and here's the thing, Alex, is that you say they just think of us.
[01:12:12.816 --> 01:12:14.758]  They are our neighbors.
[01:12:14.758 --> 01:12:17.520]  They are people who live in our communities.
[01:12:17.520 --> 01:12:20.402]  Their job is working for the other side.
[01:12:20.402 --> 01:12:29.670]  We have to get through to these people that, wait a minute, I'm your friend, I'm your neighbor, I'm an American, I vote for presidents and other people just like you do.
[01:12:29.670 --> 01:12:30.611]  Why are you doing this?
[01:12:31.781 --> 01:12:33.402]  I mean, there has to be a way.
[01:12:33.402 --> 01:12:35.123]  We have to learn from history.
[01:12:35.123 --> 01:12:43.849]  That, you know, when Nazi people, when Germans started assaulting fellow Germans, I mean, all the Jews that they dragged away were all Germans.
[01:12:43.849 --> 01:12:45.550]  And that they hurt other Germans.
[01:12:45.550 --> 01:12:48.632]  I mean, we've got to let people get through to them.
[01:12:48.632 --> 01:12:52.475]  Stand there and say, wait a minute, you're in America, why are you doing this?
[01:12:52.475 --> 01:13:00.480]  And I think that passive resistance, handing out flyers and trying to, when you're standing there in the gap, if it comes to that, to remember that, to remind these people that
[01:13:00.911 --> 01:13:02.552]  Hey, we're on the same team.
[01:13:02.552 --> 01:13:09.055]  It should be us against the people that are telling you what to do, not you against me.
[01:13:09.055 --> 01:13:10.716]  We should be doing this differently.
[01:13:10.716 --> 01:13:12.517]  Why are you doing this?
[01:13:12.517 --> 01:13:16.839]  And I think that we have got to start using those passive resistance tools.
[01:13:16.839 --> 01:13:24.963]  We have to use all the mind games that they try to play on us and turn the tables around and get people to understand that we're all Americans.
[01:13:25.495 --> 01:13:32.542]  And if who's ever giving those orders against Americans, that's the enemy, not the person standing in front of you.
[01:13:32.542 --> 01:13:44.674]  And somehow, somehow, and I don't have all the answers, Alex, and I know you don't either, but we've got to come up with some solutions for people who may be standing in the gap of what can they do in that moment in terms of resistance other than violence.
[01:13:44.674 --> 01:13:45.435]  What else can they do?
[01:13:46.325 --> 01:13:47.346]  Well, I want to say this.
[01:13:47.346 --> 01:13:52.328]  Approximately eight minutes ago, we got on the phone with Douglas and he said, I can hear nothing.
[01:13:52.328 --> 01:13:53.469]  They're using sound weapons.
[01:13:53.469 --> 01:13:54.549]  They're telling us to disperse.
[01:13:54.549 --> 01:14:00.193]  Mike Nelson heard the wah and then troops stopping every 30 seconds, you know, saying disperse, disperse.
[01:14:00.193 --> 01:14:00.913]  We've got them.
[01:14:00.913 --> 01:14:01.954]  Let's go to live now.
[01:14:01.954 --> 01:14:03.274]  Here they are from Pittsburgh.
[01:14:03.274 --> 01:14:05.816]  G20 under attack.
[01:14:05.816 --> 01:14:08.997]  Wait, Mike just said they had them.
[01:14:08.997 --> 01:14:10.398]  Put them on the system.
[01:14:10.398 --> 01:14:11.879]  That's why we punch them up.
[01:14:12.543 --> 01:14:13.483]  Can you hear me, Alex?
[01:14:13.483 --> 01:14:14.123]  Yes, yes.
[01:14:14.123 --> 01:14:15.404]  Is this Rob Dood?
[01:14:15.404 --> 01:14:21.025]  Yeah, we're on 33rd and Liberty in kind of a downtown part of Pittsburgh.
[01:14:21.025 --> 01:14:25.966]  We just passed a, they had a block, a tree blocked off and they were using the sonic weapon on us.
[01:14:25.966 --> 01:14:33.107]  They were using it to broadcast and then they would ramp up the signal for a brief second to let them know that they could, you know, blow some eardrums out.
[01:14:33.107 --> 01:14:34.648]  It got pretty loud.
[01:14:34.648 --> 01:14:37.989]  And people were crouching down behind... Who were they using this on?
[01:14:37.989 --> 01:14:39.609]  Was this on a protest or just you?
[01:14:40.229 --> 01:14:41.311]  No, this is a protest.
[01:14:41.311 --> 01:14:42.272]  This is a protest.
[01:14:42.272 --> 01:14:49.683]  We were walking with the protesters downtown and, um... Tell me you've got video of this, the first time U.S.
[01:14:49.683 --> 01:14:51.946]  military uses weapons on the U.S.
[01:14:51.946 --> 01:14:53.308]  since, like, Kent State.
[01:14:53.308 --> 01:14:56.413]  You're telling me you guys had camera rolling under attack?
[01:14:57.023 --> 01:14:59.604]  We had a camera rolling while the sonic weapons were going off.
[01:14:59.604 --> 01:15:03.927]  Oh my god, you gotta send somebody back up to grab it, upload it to YouTube.
[01:15:03.927 --> 01:15:05.567]  Did we get, oh my god.
[01:15:05.567 --> 01:15:08.849]  This, you guys are definitely getting hazard pay for this.
[01:15:08.849 --> 01:15:13.812]  I am, you, you have definitely earned stripes in the info war that I've never even gotten.
[01:15:13.812 --> 01:15:16.853]  You got a medal on your chest that I haven't gotten, I'm envious.
[01:15:16.853 --> 01:15:17.293]  Man.
[01:15:17.293 --> 01:15:18.834]  It's pretty wild, it's pretty wild right now.
[01:15:18.834 --> 01:15:24.017]  It seems like everybody dispersed though, and I saw it happen in the one group, the largest group went through an alleyway.
[01:15:24.497 --> 01:15:30.266]  Well why don't you, why don't you go back and film the troops with pleasure up there with their gun?
[01:15:30.266 --> 01:15:31.127]  Okay.
[01:15:31.127 --> 01:15:32.729]  I mean, listen, do whatever you want.
[01:15:32.729 --> 01:15:34.913]  They're dropping right past me right now.
[01:15:34.913 --> 01:15:35.974]  Get them on tape.
[01:15:35.974 --> 01:15:36.795]  With the gun.
[01:15:38.194 --> 01:15:39.014]  There's two of them.
[01:15:39.014 --> 01:15:42.916]  They're using them to broadcast messages in Spanish and English.
[01:15:42.916 --> 01:15:44.116]  That's the engine right now.
[01:15:44.116 --> 01:15:45.237]  You can hear it pass to me.
[01:15:45.237 --> 01:15:47.317]  And there's a guy sitting on top.
[01:15:47.317 --> 01:15:53.660]  And they would broadcast a message from the chief of police that we were in an unlawful march and they said don't arrest anybody.
[01:15:53.660 --> 01:15:55.400]  It doesn't matter if you're press or not.
[01:15:55.400 --> 01:15:57.441]  Maybe you didn't disperse and then they started launching the weapon.
[01:15:59.842 --> 01:16:04.324]  So, people don't have a permit at March, violating the First Amendment, you don't need to have a permit.
[01:16:04.324 --> 01:16:06.245]  What was the March doing when you were attacked?
[01:16:06.245 --> 01:16:08.586]  Was it National Guard or police?
[01:16:08.586 --> 01:16:09.727]  It was police.
[01:16:09.727 --> 01:16:12.028]  Everybody has police on their chest.
[01:16:12.028 --> 01:16:13.089]  I haven't seen... I do see...
[01:16:14.139 --> 01:16:18.865]  There's, uh, they're wearing dark outfits, you know, the Darth Vader looking outfits, and then they have the camo.
[01:16:18.865 --> 01:16:26.414]  But the news is reporting, and you guys say you talked to National Guard this morning, you were saying they're together, and the National Guard are in like a police uniform.
[01:16:26.414 --> 01:16:32.382]  The National Guard was not armed at all in terms of with billy clubs or anything, but they were working with police to cordon off areas.
[01:16:33.081 --> 01:16:34.341]  And they had Humvees.
[01:16:34.341 --> 01:16:40.043]  Right now I'm looking at a line of police stretched on there in full riot gear, too.
[01:16:40.043 --> 01:16:42.144]  The police I'm seeing now are in full riot gear.
[01:16:42.144 --> 01:16:45.585]  Are they the police, though, wearing the National Guard bottoms?
[01:16:45.585 --> 01:16:46.005]  No.
[01:16:46.005 --> 01:16:49.286]  No, they're all wearing dark, although there are some.
[01:16:49.286 --> 01:16:50.746]  They look like Border Patrol.
[01:16:50.746 --> 01:16:52.547]  I've seen Border Patrol here, too.
[01:16:52.547 --> 01:16:55.488]  They have the dark green Border Patrol uniforms.
[01:16:55.488 --> 01:16:59.549]  So, federal police in the middle of Pennsylvania.
[01:16:59.549 --> 01:17:02.690]  Again, and Dr. Sherry Timpeny, I'm going to come back to you in the next segment, okay?
[01:17:04.258 --> 01:17:05.542]  Okay, we'll put you on hold for five minutes.
[01:17:05.542 --> 01:17:06.945]  Okay, I'm gonna shut up.
[01:17:06.945 --> 01:17:09.532]  Give me a complete report of what happened to you.
[01:17:10.296 --> 01:17:28.964]  Okay, we were walking down Liberty Street, and right as we were getting to 34th, they had the street blocked off, and they were talking to us through the little sound cannon thing, and then they would press them, you know, just into a beep, and we'd be like, beep, beep, beep, beep, beep, but it would get really loud for a split second, and then they would turn it down, and then bring it back up again, and then turn it down, just to let you know that they could do that.
[01:17:28.964 --> 01:17:35.767]  You know, it was definitely a show of force, and there's probably, I'm looking at about 300 military right now.
[01:17:35.767 --> 01:17:37.268]  And Douglas said it was painful.
[01:17:40.330 --> 01:17:42.232]  Was it painful?
[01:17:42.232 --> 01:17:43.413]  Um, it got loud.
[01:17:43.413 --> 01:17:45.454]  It didn't get loud to where it was painful, but it got loud.
[01:17:45.454 --> 01:17:46.995]  And you know they could turn it up louder.
[01:17:46.995 --> 01:17:54.782]  They were throwing it up at us just to let us know, and people started crouching down behind cars and mailboxes because they thought they were going to do the real thing on us.
[01:17:54.782 --> 01:17:55.302]  What were they?
[01:17:55.302 --> 01:17:57.364]  I think they did do the real thing on you, buddy.
[01:17:57.364 --> 01:18:01.127]  That's what Douglas said, but do always as a cheerful person.
[01:18:01.127 --> 01:18:03.629]  Uh, do, uh, whatever.
[01:18:03.629 --> 01:18:09.694]  The point is, uh, Rob, specifically, what were they broadcasting in English?
[01:18:10.818 --> 01:18:22.002]  Uh, and I have that on tape, and basically what they're saying is that we're in an unlawful, uh, assembly, and the Chief of Police ordered us to disperse, and if we don't disperse, you'll be arrested, and they may use, uh, non, uh, they say non-lethal means.
[01:18:22.002 --> 01:18:23.243]  Non-lethal means where you could be...
[01:18:24.227 --> 01:18:26.688]  Hey, I want to be clear about this.
[01:18:26.688 --> 01:18:28.508]  They were shooting you guys with this.
[01:18:28.508 --> 01:18:30.149]  Douglas was saying it was hurting.
[01:18:30.149 --> 01:18:30.669]  What was this like?
[01:18:48.095 --> 01:18:50.156]  The decibel level was very, very high.
[01:18:50.156 --> 01:18:52.817]  One moment, I was covering in front of a protest.
[01:18:52.817 --> 01:18:55.098]  The next moment, my eardrums were blasting.
[01:18:55.098 --> 01:19:03.182]  And as that happened, I basically turned around, saw about 40 riot police assisted by military, and I ran up and I got all the footage I could.
[01:19:03.182 --> 01:19:04.443]  Every once in a while, I'd have to take a few steps back.
[01:19:04.443 --> 01:19:05.003]  There you go.
[01:19:05.003 --> 01:19:06.384]  Assisted by military.
[01:19:06.384 --> 01:19:09.425]  So this is the military attacking the American people.
[01:19:09.425 --> 01:19:12.026]  Because in every news article I see, they're together.
[01:19:12.026 --> 01:19:14.267]  So that's key for the article Watson's doing.
[01:19:14.267 --> 01:19:15.488]  The military was with them.
[01:19:16.181 --> 01:19:16.901]  Yeah, absolutely.
[01:19:16.901 --> 01:19:19.282]  I mean, they were in military fatigue.
