[00:00:07.333 --> 00:00:09.055]  BeNatural.com.
[00:25:09.140 --> 00:25:12.062]  They're openly announcing they're going to use the military against us here in the U.S.
[00:25:12.082 --> 00:25:16.546]  They've hired felons, aggravated felons, illegal aliens, aggravated illegal aliens.
[00:25:17.267 --> 00:25:19.428]  Not just criminals, but illegal aliens that are criminals.
[00:25:19.729 --> 00:25:21.270]  That's what's making up the military.
[00:25:21.530 --> 00:25:23.572]  That's how they're making our military a foreign force.
[00:25:27.155 --> 00:25:29.177]  The country has been captured by offshore banks.
[00:25:29.637 --> 00:25:33.040]  Now, if you love the illusion of we're the good guys and everything's fine and
[00:25:34.130 --> 00:25:35.191]  You're going to lose your pension fund.
[00:25:35.211 --> 00:25:36.312]  You're going to lose your stock market.
[00:25:36.512 --> 00:25:37.833]  You're going to lose your 401k.
[00:25:38.234 --> 00:25:41.957]  The IMF, the World Bank, openly say they're going to make us a third world country.
[00:25:41.997 --> 00:25:43.999]  They don't like there being middle classes.
[00:25:44.019 --> 00:25:48.783]  They're going to use the carbon taxes over every facet of your life to break you!
[00:25:48.883 --> 00:25:49.764]  To break me!
[00:25:50.284 --> 00:25:51.765]  This is going to happen!
[00:25:51.945 --> 00:25:54.928]  How many things do I have to be right about over the years?
[00:25:55.168 --> 00:25:56.990]  I have their own battle plans!
[00:26:00.683 --> 00:26:01.864]  By the way, I'm making a film.
[00:26:01.884 --> 00:26:04.585]  It's basically done today, and it's going out to be manufactured tomorrow.
[00:26:06.285 --> 00:26:12.008]  And I finally wrote the back cover last night for the film, The Obama Deception, and I think this sums up what's happening.
[00:26:12.688 --> 00:26:18.611]  The Obama Deception is a hard-hitting film that completely destroys the myth that Barack Obama is working for the best interest of the American people.
[00:26:19.031 --> 00:26:22.873]  The Obama phenomenon is a hoax, carefully crafted by the captains of the New World Order.
[00:26:23.293 --> 00:26:27.955]  He is being pushed as savior in an attempt to con the American people into accepting global slavery.
[00:26:29.414 --> 00:26:31.715]  We have reached a critical juncture in the New World Order's plans.
[00:26:32.256 --> 00:26:34.897]  It's not about left or right, it's about a one-world government.
[00:26:35.858 --> 00:26:37.259]  Being openly announced, I would add.
[00:26:37.759 --> 00:26:42.982]  International bankers plan to loot the people of the United States and turn them into slaves on a global plantation.
[00:26:43.443 --> 00:26:48.686]  Covered in this film, who Obama works for, what lies he is told, and the real agenda.
[00:26:49.506 --> 00:26:53.049]  If you want to know the facts and cut through all the hype, then this is the film for you.
[00:26:53.089 --> 00:26:58.592]  That's right, if you don't want to be a sucker and want to know reality, not what you make up in your head or the TV tells you, this is the film.
[00:26:59.460 --> 00:27:01.080]  Watch the Obama deception and learn how.
[00:27:01.240 --> 00:27:13.703]  Obama is continuing the process of transforming America into something that resembles Nazi Germany, which forces national service, domestic civilian spies, warrantless wiretaps, the destruction of the Second Amendment, FEMA camps, and martial law.
[00:27:14.684 --> 00:27:15.804]  All of that's now mainstream news.
[00:27:15.824 --> 00:27:18.244]  It's not just Alex telling you 12 years ago it was being set up.
[00:27:18.645 --> 00:27:19.305]  It's now public.
[00:27:19.325 --> 00:27:20.685]  Because they're getting ready to go with it.
[00:27:21.548 --> 00:27:28.931]  Obama's handlers are openly announcing the creation of a new bank of the world that will dominate every nation on earth through carbon taxes and military force.
[00:27:28.951 --> 00:27:35.213]  International bankers are purposefully engineering the worldwide financial meltdown to bankrupt the nations of the planet and bring in world government.
[00:27:35.733 --> 00:27:42.175]  Obama plans to loot the middle class, destroy pensions, and federalize the state so the population is completely dependent on the central government.
[00:27:43.092 --> 00:27:53.338]  The elite are using Obama to pacify the public, so they can usher in the North American Union by stealth, launch a new Cold War, and continue the occupation of Iraq and Afghanistan.
[00:27:54.518 --> 00:27:58.781]  The information contained in this film is vital to the future of the Republic and to freedom worldwide.
[00:27:58.821 --> 00:28:01.722]  President Obama is only the tool of a larger agenda.
[00:28:02.242 --> 00:28:12.408]  Until... Until all are made aware, humanity will remain captive to the masters of the New World Order.
[00:28:13.676 --> 00:28:17.500]  And I got a calls about this Friday and I YouTubed it and did find it.
[00:28:18.180 --> 00:28:19.101]  I meant to bring it in, guys.
[00:28:19.121 --> 00:28:20.042]  We'll look for it during a break.
[00:28:20.663 --> 00:28:27.930]  Rush Limbaugh, Friday, said, yes, there's a world government, a bank of the world, a new world order is going to run America, but the liberals are behind it.
[00:28:29.091 --> 00:28:30.772]  All those years he said it didn't exist.
[00:28:30.993 --> 00:28:32.514]  All those years he said it wasn't real.
[00:28:32.754 --> 00:28:36.378]  And I was asking on the air a few weeks ago, how is Hannity and Limbaugh and all of them
[00:28:37.185 --> 00:28:52.715]  Still saying there's no plan for a world government when the Wall Street Journal, the New York Times, the Washington Post, the Associated Press, Reuters, the Times of London, the Financial Times of London, hundreds of... Time Magazine Newsweek announcing world government with a world bank ruling us.
[00:28:54.497 --> 00:28:55.477]  How would they deny that?
[00:28:56.138 --> 00:28:56.938]  They can't deny it.
[00:28:57.298 --> 00:28:59.320]  See, now they think it's too late for us to stop it.
[00:28:59.560 --> 00:29:00.701]  Now it's going public.
[00:29:00.901 --> 00:29:02.522]  So they're having to admit it's real.
[00:29:03.937 --> 00:29:05.938]  Ladies and gentlemen, we can still defeat this.
[00:29:05.998 --> 00:29:09.298]  If you will wake up, face the facts, get the word out.
[00:29:10.639 --> 00:29:11.599]  Stay with us, ladies and gentlemen.
[00:29:11.619 --> 00:29:13.119]  Don't forget the obamadeception.net.
[00:29:17.661 --> 00:29:18.461]  Newsflash!
[00:29:18.861 --> 00:29:21.322]  Unemployment is soaring over 10%.
[00:29:21.682 --> 00:29:25.703]  The dollar is plummeting and banks are beginning to close their doors.
[00:29:27.137 --> 00:29:31.059]  Financial experts are saying we are headed for an economic depression.
[00:29:31.099 --> 00:29:35.301]  The world is on the brink of total meltdown.
[00:29:35.721 --> 00:29:42.544]  Unless you expect the government to bail you out, you must be able to grow your own healthy food.
[00:29:42.725 --> 00:29:50.808]  Survivalistseeds.com has just released a brand new heirloom seed pack at a dramatically reduced price.
[00:29:51.069 --> 00:29:54.890]  So you and your family have a long-term food solution.
[00:29:56.371 --> 00:30:00.035]  The choice between starvation and freedom is made by you.
[00:30:00.155 --> 00:30:01.276]  Right now.
[00:30:01.316 --> 00:30:03.658]  Go to survivalistseeds.com.
[00:30:03.838 --> 00:30:06.140]  That's survivalistseeds.com.
[00:30:06.160 --> 00:30:09.463]  Because you are almost out of time.
[00:30:09.563 --> 00:30:10.624]  survivalistseeds.com
[00:30:16.132 --> 00:30:18.114]  It's a new year full of uncertainties.
[00:30:18.695 --> 00:30:21.197]  People are being laid off in record numbers.
[00:30:21.778 --> 00:30:25.982]  The price of food continues to rise, and the economy continues to falter.
[00:30:26.723 --> 00:30:31.527]  You know that you need to prepare, and maybe you've been putting it off, but the time to act is now.
[00:30:32.208 --> 00:30:35.169]  That's why you need to visit OrganicaSeed.com.
[00:30:35.509 --> 00:30:46.913]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds and survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[00:30:47.293 --> 00:30:53.775]  Imagine growing your very own fresh vegetables, wheatgrass, fruits, herbs, rice, tea, coffee, and tobacco.
[00:30:54.075 --> 00:30:59.777]  With detailed growing guides available to you at no charge, you can maximize your harvest and investment.
[00:31:00.117 --> 00:31:00.818]  And the best part?
[00:31:01.158 --> 00:31:03.419]  All orders ship within 24 hours.
[00:31:03.880 --> 00:31:06.601]  So head over to OrganicaSeed.com.
[00:31:06.882 --> 00:31:11.425]  That's O-R-G-A-N-I-C-A Seed.com.
[00:31:11.865 --> 00:31:13.646]  OrganicaSeed.com today.
[00:31:13.966 --> 00:31:19.150]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins, or herbal supplements?
[00:31:19.410 --> 00:31:22.812]  Did you know that most skin creams, body lotions, shampoos, and toothpastes
[00:31:22.952 --> 00:31:28.376]  Are full of chemical additives such as sodium lauryl sulfate, the same type of detergent used in dish soap?
[00:31:28.596 --> 00:31:32.059]  Did you know that most multivitamin supplements are made from synthetic vitamins?
[00:31:32.199 --> 00:31:36.122]  Did you know that many herbal remedies contain unwanted additives and fillers?
[00:31:36.202 --> 00:31:38.364]  Have you ever tested your body's pH level?
[00:31:38.504 --> 00:31:41.806]  Make the change to only organic health and beauty products.
[00:31:41.946 --> 00:31:43.287]  Visit 2Bnatural.com.
[00:31:44.088 --> 00:31:53.634]  In order today, 2benatural.com carries 100% natural and chemical-free skincare, whole food vitamins, herbal remedies, and alkaline body balance supplement.
[00:31:53.974 --> 00:31:56.676]  Visit t-o-b-e-natural.com.
[00:31:56.736 --> 00:31:59.538]  That's t-o-b-e-natural.com.
[00:31:59.938 --> 00:32:01.279]  2benatural.com.
[00:32:01.439 --> 00:32:04.121]  Use coupon code GCN and receive a 10% discount.
[00:32:04.281 --> 00:32:04.521]  Call 1-888-417-1375.
[00:32:04.561 --> 00:32:06.683]  That's 1-888-417-1375 to order or request your free catalog today.
[00:32:13.877 --> 00:32:23.985]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:32:24.466 --> 00:32:25.507]  Garden in a Can.
[00:32:25.887 --> 00:32:29.450]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:32:30.030 --> 00:32:31.792]  Garden in a Can is ready when you are.
[00:32:32.032 --> 00:32:34.334]  Plant them now or store them for when you really need them.
[00:32:34.795 --> 00:32:43.811]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:32:44.463 --> 00:32:45.484]  Garden in a Can.
[00:32:45.884 --> 00:32:46.744]  It's that simple.
[00:32:47.084 --> 00:32:48.965]  Fresh, healthy, easy.
[00:32:49.486 --> 00:32:53.448]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:32:53.828 --> 00:32:54.748]  Ready when you are.
[00:32:55.409 --> 00:32:59.030]  Stop procrastinating and start preparing with Garden in a Can.
[00:32:59.491 --> 00:33:02.572]  For more details visit GardenInACan.com today.
[00:33:02.972 --> 00:33:05.474]  That's GardenInACan.com or call 866-598-7396.
[00:33:05.494 --> 00:33:05.534]  866-598-7396.
[00:33:18.200 --> 00:33:26.828]  You're listening to GCN, the Genesis Communications Radio Network.
[00:33:27.008 --> 00:33:31.972]  Waging war on corruption, crashing for the lies and disinformation.
[00:33:32.553 --> 00:33:34.734]  We're here every Sunday, 4 to 6 p.m.
[00:33:35.235 --> 00:33:36.416]  Central Standard Time.
[00:33:36.456 --> 00:33:39.919]  So much news that I don't just do four hours a day, Monday through Friday.
[00:33:40.640 --> 00:33:42.081]  I come in and do the Sunday show.
[00:33:46.414 --> 00:33:47.795]  Alright, I want to go to your phone calls.
[00:33:47.875 --> 00:33:51.438]  Loaded phones here, but you can call in after you hear a caller hang up at 877-590-5525.
[00:33:51.658 --> 00:33:59.205]  Going to go to the Mojave, Alaska, Indiana, California, Austin, Indiana, you name it.
[00:33:59.245 --> 00:34:03.628]  But before we do that, see, it's simple in psychological warfare.
[00:34:03.768 --> 00:34:15.338]  As the globalists were setting up world government, the IMF, the World Bank, the World Trade Organization, having Congress sign away its authority, other nations sign away their authority, having Europe sign away their authority to these unelected global bodies.
[00:34:16.892 --> 00:34:18.036]  They would say it doesn't exist.
[00:34:18.076 --> 00:34:18.678]  It's not happening.
[00:34:18.698 --> 00:34:19.802]  There's no plan for a new world order.
[00:34:20.043 --> 00:34:21.448]  There's no plan for a carbon tax.
[00:34:23.095 --> 00:34:29.417]  And then there's a lot of people in society that if the establishment says something isn't kosher or proper to talk about, they won't discuss it.
[00:34:29.757 --> 00:34:37.839]  Now the establishment comes out and admits they're setting up world government, but says it's the solution to the global meltdown caused by the global central banks.
[00:34:38.219 --> 00:34:44.060]  But they say the global central banks will fix it all if we just give up all of our freedoms to them, a new bank of the world.
[00:34:44.480 --> 00:34:47.061]  And they're publicizing it as a global new deal.
[00:34:49.264 --> 00:34:50.885]  A giant power grab.
[00:34:50.985 --> 00:35:05.756]  And so a lot of people, even though it's now admitted that world government's real, the New World Order's real, that it's tyrannical, I mean, the Times of London, Sunday Times, wrote a big story, and now for world government, and said, yeah, it's been secret, yeah, it's tyrannical, but it's for your own interest we kept it secret.
[00:35:06.437 --> 00:35:10.140]  And then I still have people writing news articles about me, attacking me, saying it doesn't exist.
[00:35:10.920 --> 00:35:13.262]  Folks, they're treating you like children, like idiots.
[00:35:14.503 --> 00:35:16.845]  Powerful men and groups always want to dominate.
[00:35:16.865 --> 00:35:18.566]  The globalists are just offshore pirates,
[00:35:19.005 --> 00:35:28.451]  That are outside nations' rules, that control the nations through their bureaucracy, through their lobbyists, and who use those tools to implode those nations' wealth and transfer it offshore.
[00:35:28.832 --> 00:35:30.773]  That's what the New World Order is.
[00:35:31.954 --> 00:35:38.018]  Coming up, Democrats introduce public national service bills, forced national service bills.
[00:35:38.078 --> 00:35:38.979]  That is coming up.
[00:35:39.519 --> 00:35:42.701]  Also, BBC, more seeds for Doomsday Vault.
[00:35:44.162 --> 00:35:48.185]  They've got giant UN bases all over the world, including the Arctic.
[00:35:50.623 --> 00:35:53.885]  Filled with tens of thousands of varieties of heirloom seeds.
[00:35:54.405 --> 00:35:56.266]  They know what their genetic engineering is doing.
[00:35:56.887 --> 00:35:59.989]  And that dovetails with this story, later I'll tell you how, out of The Statesman.
[00:36:00.429 --> 00:36:02.930]  Texans unknowingly donate children's blood to research.
[00:36:03.351 --> 00:36:03.831]  Well, yeah.
[00:36:04.231 --> 00:36:12.136]  Every major industrialized nation, for 36 years, secretly takes the child's blood and puts it in an illegal DNA database.
[00:36:12.696 --> 00:36:19.160]  Australia, England, and Canada are now announcing they're going to use the illegal database to keep a DNA database on everyone for crimes.
[00:36:20.629 --> 00:36:21.510]  Just amazing.
[00:36:22.572 --> 00:36:24.615]  Just to show you how stealthily they did this.
[00:36:24.655 --> 00:36:27.119]  And I was the kook talking about it 13 years ago.
[00:36:27.179 --> 00:36:28.180]  Now it's mainstream news.
[00:36:29.723 --> 00:36:34.530]  Also, on usaservice.org, Obama's private, but has government funding,
[00:36:35.771 --> 00:36:38.972]  Volunteer National Service, his little Stasi force.
[00:36:39.353 --> 00:36:43.915]  They have all these gun buyback programs and one of them was in Dallas.
[00:36:43.995 --> 00:36:46.996]  Dallas sites turning 147 guns in exchange for grocery cards.
[00:36:47.316 --> 00:36:49.697]  That sells the image that guns are evil, guns are bad.
[00:36:49.977 --> 00:36:55.540]  They have the local newscast showing people handing their guns in, acclimating the public for national gun confiscation.
[00:36:55.800 --> 00:36:58.561]  That happened in England, Australia and other countries that did ban guns.
[00:36:58.861 --> 00:37:00.982]  This is a shake-and-bake operation.
[00:37:01.002 --> 00:37:03.523]  This is a recipe that's being followed.
[00:37:04.051 --> 00:37:05.893]  Let's go to Barron in Mojave.
[00:37:06.414 --> 00:37:07.154]  Mojave Desert.
[00:37:07.194 --> 00:37:08.536]  Is that in Mexico or the U.S.?
[00:37:08.556 --> 00:37:09.156]  We'll find out.
[00:37:09.857 --> 00:37:11.079]  Barron, good to have you calling.
[00:37:11.099 --> 00:37:11.739]  What's on your mind?
[00:37:13.041 --> 00:37:13.481]  Not much.
[00:37:13.621 --> 00:37:15.023]  It's in the United States.
[00:37:15.083 --> 00:37:16.344]  It's the Mojave Desert.
[00:37:17.105 --> 00:37:17.826]  West Nevada.
[00:37:17.846 --> 00:37:19.968]  About 75 degrees.
[00:37:20.048 --> 00:37:21.489]  It wasn't for the chemtrails falling on me.
[00:37:23.171 --> 00:37:24.553]  There goes his call.
[00:37:25.093 --> 00:37:25.934]  Didn't let him go.
[00:37:25.994 --> 00:37:26.575]  He hung up.
[00:37:27.738 --> 00:37:29.839]  I'm not able to drop this call for some reason.
[00:37:29.959 --> 00:37:31.159]  Okay, there, I was able to drop it.
[00:37:31.519 --> 00:37:33.160]  Let's go to Paul in California.
[00:37:33.480 --> 00:37:35.600]  He says he disagrees, so he goes ahead of the line.
[00:37:35.940 --> 00:37:36.821]  Paul, you're on the air.
[00:37:37.381 --> 00:37:37.881]  Hey, Alex.
[00:37:38.181 --> 00:37:38.461]  Hi.
[00:37:39.221 --> 00:37:39.701]  How you doing?
[00:37:39.881 --> 00:37:40.201]  I'm alright.
[00:37:40.221 --> 00:37:41.042]  Go ahead and disagree, sir.
[00:37:41.522 --> 00:37:43.122]  Okay, yeah, it's already too late.
[00:37:44.022 --> 00:37:47.063]  We're in such a downward spiral.
[00:37:47.203 --> 00:37:49.464]  The snowball is out of control.
[00:37:50.749 --> 00:37:57.687]  The only way that we can win this is if the federal government was closed down completely, but that's never going to happen.
[00:37:58.559 --> 00:38:03.701]  So, my question to you is, what are you personally doing for protection?
[00:38:03.761 --> 00:38:04.821]  Okay, I know you have guns.
[00:38:04.841 --> 00:38:06.822]  I'm talking about land.
[00:38:07.202 --> 00:38:09.143]  Are you planning on moving?
[00:38:09.443 --> 00:38:09.803]  When?
[00:38:10.623 --> 00:38:19.506]  Last week, when Art Bell was on his show, he mentioned something that he's taking precautions, and then the guy doesn't say what he's actually doing.
[00:38:19.526 --> 00:38:20.367]  Do you follow me?
[00:38:20.487 --> 00:38:21.787]  No, I've got the questions.
[00:38:21.907 --> 00:38:22.647]  It's two-parter.
[00:38:23.608 --> 00:38:27.029]  Number one, what did Colonel William Travis at the Alamo say?
[00:38:27.861 --> 00:38:32.482]  Just days after he dropped off his son with my family in Central Texas.
[00:38:32.642 --> 00:38:34.482]  You know, my family the heirs on my mom's side.
[00:38:34.642 --> 00:38:35.423]  Raised Colonel Travis.
[00:38:35.463 --> 00:38:36.163]  I'm proud of that fact.
[00:38:36.463 --> 00:38:40.744]  He wrote a letter out saying we've all decided to stand and fight and victory or death.
[00:38:41.584 --> 00:38:44.364]  So in the Info War, I'm not going anywhere.
[00:38:44.845 --> 00:38:45.745]  I'm staying here.
[00:38:46.305 --> 00:38:49.285]  I'm defending and I know we have a chance to defeat the New World Order.
[00:38:49.686 --> 00:38:50.466]  How am I preparing?
[00:38:50.486 --> 00:38:53.726]  I thank God from Mexican land grants in 1829.
[00:38:53.946 --> 00:38:56.367]  We still have some property in East Texas.
[00:38:57.254 --> 00:38:58.996]  And if I have to, I've got a place I can go to there.
[00:38:59.016 --> 00:39:06.262]  I also have a small piece of land out in the German Hill Country out by Fredericksburg, a very small piece, where I can go to if I have to if society totally breaks down.
[00:39:06.602 --> 00:39:11.306]  As the Feds are hoping and will, we can stop that, and we can stop them from continuing their banker takeover.
[00:39:11.406 --> 00:39:12.207]  They'll give us no quarter.
[00:39:12.227 --> 00:39:13.468]  They do this in third world countries all the time.
[00:39:13.488 --> 00:39:16.050]  Look at Argentina in 2000, folks, if you want to know what's happening.
[00:39:17.951 --> 00:39:19.613]  I do have the Second Amendment to defend myself.
[00:39:20.669 --> 00:39:25.172]  I do, of course, have storable food, things like that, but that's just my insurance policy.
[00:39:25.232 --> 00:39:31.737]  I am proactively trying to rally the people to believe that we can defeat this new world order.
[00:39:32.558 --> 00:39:36.320]  Now, here's a story that's up on Infowars.com.
[00:39:37.081 --> 00:39:38.022]  Majority of U.S.
[00:39:38.062 --> 00:39:39.903]  states joined sovereignty movement
[00:39:40.558 --> 00:39:55.602]  Assert 10th Amendment rights, and if you read the bill in Texas, the bills in New Hampshire, and the bills in Colorado, and the bill they just passed in Oklahoma out of the House, and other states are passing it, they say, you feds, you cannot ban any more guns, we're just nullifying your anti-gun bills.
[00:39:56.583 --> 00:39:59.544]  You can't put us in FEMA camps, and they list the FEMA camps that have been built.
[00:39:59.584 --> 00:40:00.664]  People now know this is real!
[00:40:01.344 --> 00:40:02.784]  Not just Alex crying in the wilderness here.
[00:40:04.065 --> 00:40:06.886]  They say you're not going to have forced national conscription, or service.
[00:40:07.006 --> 00:40:07.646]  The states
[00:40:09.184 --> 00:40:10.945]  Created the federal government.
[00:40:12.126 --> 00:40:14.147]  The states created it under the Constitution.
[00:40:14.488 --> 00:40:18.871]  They convened it under the Declaration of Independence, Constitution, Bill of Rights, Ninth and Tenth Amendment.
[00:40:19.191 --> 00:40:20.932]  The states created the feds.
[00:40:21.532 --> 00:40:29.098]  That's why you see all this worship of the feds and how the feds are king and how great Lincoln is on the news to sell people on the idea they've got to put down a rebellion.
[00:40:29.338 --> 00:40:33.921]  The Pentagon, the Army War College, says NORTHCOM is a military jurisdiction over the U.S.
[00:40:34.785 --> 00:40:37.327]  set up for the design collapse of the U.S.
[00:40:37.367 --> 00:40:38.488]  to bring us into the New World Order.
[00:40:38.869 --> 00:40:42.772]  I mean, I've written all these articles linked to the Army War College, linked to their public directives.
[00:40:42.812 --> 00:40:43.573]  This is public!
[00:40:43.893 --> 00:40:44.994]  No more denying it!
[00:40:45.354 --> 00:40:55.423]  The military, just like a third world nation, is to be used as a rear guard to make the people stand down when the globalists extract our pension funds, our money, at the barrel of a gun.
[00:40:56.348 --> 00:41:00.311]  But as riots break out, they're going to sell us on that it's a good idea.
[00:41:00.591 --> 00:41:01.372]  It'll look good.
[00:41:01.632 --> 00:41:06.756]  The military will quell riots at first to set the precedent, to sell everybody that that's how we stay safe.
[00:41:08.878 --> 00:41:11.700]  So, the answer is, what does NORTHCOM say?
[00:41:11.740 --> 00:41:13.662]  What does the John Warren Defense Authorization Act say?
[00:41:13.682 --> 00:41:14.242]  What does PD51 say?
[00:41:16.152 --> 00:41:21.273]  It says that not just the presidency is a dictatorship, but the Congress has no authority federally.
[00:41:21.613 --> 00:41:22.574]  Well, that's treason.
[00:41:22.694 --> 00:41:23.314]  That's ridiculous.
[00:41:23.334 --> 00:41:24.574]  The Congress is above the President.
[00:41:24.814 --> 00:41:25.534]  Not just co-equal.
[00:41:25.554 --> 00:41:27.775]  If you read the founding fathers' statements in the record.
[00:41:28.815 --> 00:41:30.416]  Not just co-equal, but above.
[00:41:30.436 --> 00:41:32.256]  Well, they're saying that no, Congress is under the President.
[00:41:33.096 --> 00:41:34.377]  And the National Security Council.
[00:41:35.057 --> 00:41:40.558]  Mainline senators are now coming out and saying that this is a Pentagon power grab.
[00:41:41.378 --> 00:41:43.379]  West Virginia, Senator Byrd of all people.
[00:41:44.151 --> 00:41:45.512]  Saying it's a Pentagon takeover.
[00:41:45.712 --> 00:41:47.052]  It is, ladies and gentlemen.
[00:41:47.312 --> 00:41:50.273]  This happens 99% of the time in other countries.
[00:41:50.553 --> 00:42:00.116]  I have a Council on Foreign Relations meeting that was public with top professors reading out of the Army War College about how they're going to have a military coup in the United States in the next three years.
[00:42:00.717 --> 00:42:02.137]  I'm going to get a guest on about that this week.
[00:42:02.397 --> 00:42:04.558]  I mean, that's up on InfoWars.com right now.
[00:42:04.858 --> 00:42:06.999]  This is being discussed everywhere.
[00:42:07.439 --> 00:42:10.660]  And the fact is that people are waking up means we can stop it.
[00:42:12.062 --> 00:42:13.222]  We don't go out and start shooting.
[00:42:13.242 --> 00:42:14.163]  We don't go out and start fighting.
[00:42:14.463 --> 00:42:17.204]  The military is waking up, those that aren't illegal aliens and felons.
[00:42:17.964 --> 00:42:18.904]  Literally, that's who they're hiring.
[00:42:19.465 --> 00:42:21.906]  The police are waking up all over the place.
[00:42:21.966 --> 00:42:22.986]  Sheriffs are waking up.
[00:42:23.046 --> 00:42:24.406]  Grand juries are waking up.
[00:42:24.787 --> 00:42:33.690]  And the states are saying, we're not going along with offshore banks coming in through the federal government and fully taking over the United States.
[00:42:34.590 --> 00:42:34.910]  Okay?
[00:42:36.791 --> 00:42:39.692]  So this is very, very exciting.
[00:42:42.355 --> 00:42:48.340]  Now the feds are pulling all sorts of scams like Bill seeks to withhold highway funds to states who don't comply with real ID.
[00:42:48.360 --> 00:42:49.341]  That's a world ID.
[00:42:49.621 --> 00:42:50.462]  A federal ID.
[00:42:52.124 --> 00:42:53.845]  So see, they're trying to put pressure on the states.
[00:42:53.905 --> 00:42:54.586]  It's treason.
[00:42:54.966 --> 00:42:56.407]  You have to get to your legislatures.
[00:42:56.487 --> 00:42:57.428]  You have to get involved.
[00:42:57.689 --> 00:42:59.630]  You have to tell the truth about what's happening.
[00:42:59.830 --> 00:43:08.118]  Because what's happening is so off the charts corrupt, so off the charts evil, that if we just expose how bad it is, they'll never get away with it.
[00:43:08.198 --> 00:43:09.319]  Many coups fail.
[00:43:10.356 --> 00:43:11.060]  We'll be right back.
[00:43:11.120 --> 00:43:11.522]  Stay with us.
[00:43:11.562 --> 00:43:12.768]  More of your calls straight ahead.
[00:43:14.065 --> 00:43:18.648]  Phase 1 of the Insiders' plan for a One World Government has been initiated with the recent bailout.
[00:43:18.988 --> 00:43:26.154]  International bankers and power brokers have engineered the current crisis to create a new currency and a new World Bank to act as savior.
[00:43:26.174 --> 00:43:27.835]  But we've only seen the beginning.
[00:43:28.035 --> 00:43:31.938]  Their next engineered crisis will be on a scale never before seen in modern times.
[00:43:32.198 --> 00:43:35.800]  Shortages and empty shelves will spread fear and panic across the land.
[00:43:36.020 --> 00:43:40.123]  The Insiders have discovered that they must control two things to seize total power.
[00:43:40.504 --> 00:43:42.465]  Phase 1 is a One World Currency.
[00:43:42.605 --> 00:43:44.486]  Which we are currently being prepared to accept.
[00:43:44.826 --> 00:43:48.609]  Phase 2 of their insidious plan is complete control of our food supplies.
[00:43:48.929 --> 00:43:53.232]  Go to www.foodshortageusa.com for the details.
[00:43:53.612 --> 00:44:00.637]  That's www.foodshortageusa.com To learn how to prepare for the unthinkable, don't wait for empty shelves.
[00:44:00.937 --> 00:44:03.839]  Learn how to make your own survival foods for pennies on the dollar.
[00:44:03.979 --> 00:44:06.361]  Go to foodshortageusa.com or call 877-327-0365.
[00:44:06.421 --> 00:44:06.721]  That's 877-327-0365.
[00:44:14.686 --> 00:44:18.509]  You don't have to be in the military to enjoy military surplus savings.
[00:44:18.829 --> 00:44:24.613]  Right now at MainMilitary.com you'll find savings on the top must-have military supplies.
[00:44:24.994 --> 00:44:26.975]  M10 gas masks for $12 or 3 for $30.
[00:44:27.095 --> 00:44:28.056]  Gas mask hoods $4 or 3 for $10.
[00:44:28.576 --> 00:44:29.597]  Mask filters $6 or 3 for $15.
[00:44:29.637 --> 00:44:31.198]  Save big on British chemical suits only $12.
[00:44:31.238 --> 00:44:31.618]  Israeli gas masks $20.
[00:44:38.703 --> 00:44:42.084]  Trigger finger gloves, $5 a pair or $36 a dozen.
[00:44:42.344 --> 00:44:45.485]  Snowshoe binding for $8 or $48 a dozen.
[00:44:45.665 --> 00:44:46.705]  And so much more.
[00:44:46.985 --> 00:44:50.406]  Even hard to find surplus items, all at surplus prices.
[00:44:50.686 --> 00:44:55.428]  Preparing the whole family has never been so affordable at MainMilitary.com.
[00:44:55.748 --> 00:44:57.168]  MainMilitary.com.
[00:44:57.368 --> 00:45:00.209]  One of the last surviving true surplus stores in the country.
[00:45:00.569 --> 00:45:05.154]  Shop now at MAINEMILITARY.COM or call 877-608-0179.
[00:45:05.194 --> 00:45:05.615]  That's 877-608-0179 today!
[00:45:14.509 --> 00:45:17.751]  What are you going to do if your family has no food in the event of an emergency?
[00:45:17.951 --> 00:45:20.973]  Do you really want to find out and gamble with your family's lives?
[00:45:21.193 --> 00:45:23.774]  Order a one-year supply that will feed four to five people for only $39.95.
[00:45:23.814 --> 00:45:29.257]  That's right, a one-year supply for under $4,000 from YourFoodStorage.com.
[00:45:29.297 --> 00:45:30.998]  We've been helping families prepare for more than
[00:45:31.178 --> 00:45:32.099]  We're good to go.
[00:45:52.310 --> 00:45:52.570]  I think so.
[00:46:14.017 --> 00:46:17.300]  The United States is bankrupt and the bankers want you bankrupt also.
[00:46:17.560 --> 00:46:19.901]  How would you like to be debt free in 90 days?
[00:46:20.022 --> 00:46:20.682]  Guaranteed!
