[00:00:00.049 --> 00:00:01.229]  Welcome ladies and gentlemen, welcome.
[00:44:15.674 --> 00:44:24.201]  Whitman, EPA director on the 18th, made a statement that the air was safe to breathe.
[00:44:24.571 --> 00:44:31.373]  This film follows the growing momentum of 9-11 Truth as brave souls throughout the world take action against their global masters.
[00:44:31.673 --> 00:44:34.734]  He had his hand over the radio while he was getting a countdown.
[00:44:34.854 --> 00:44:40.056]  He takes his hand off and you hear 3, 2, 1, and it was boom, boom, boom, boom, boom!
[00:44:40.616 --> 00:44:43.257]  This is an emergency transmission worldwide.
[00:44:43.697 --> 00:44:49.539]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide.
[00:44:49.739 --> 00:44:50.920]  Or order the DVD at
[00:44:53.183 --> 00:44:53.584]  I don't know.
[00:44:59.409 --> 00:45:06.451]  Attention landscapers, house painters, carpet cleaners, pet sitters, gutter cleaners, and anyone who has their own home service business.
[00:45:06.691 --> 00:45:09.912]  Would you love to build a huge and loyal customer base fast?
[00:45:10.092 --> 00:45:11.013]  Well, now you can.
[00:45:11.253 --> 00:45:13.233]  Introducing the Magic Yellow Flyer.
[00:45:13.433 --> 00:45:21.636]  The Magic Yellow Flyer marketing system is the most effective and inexpensive way to build a referral-only service business in a short period of time.
[00:45:21.856 --> 00:45:24.817]  Get new customers and build a solid customer base.
[00:45:25.077 --> 00:45:30.562]  To throw away all of the other ineffective and expensive advertising methods, you need the Magic Yellow Flyer.
[00:45:30.682 --> 00:45:35.466]  Corporate America is destroying our country and it's time to rebuild the backbone of America.
[00:45:35.666 --> 00:45:40.291]  No matter what business you're in, the Magic Yellow Flyer marketing system will work for you.
[00:45:40.551 --> 00:45:41.572]  Don't have a home business?
[00:45:41.812 --> 00:45:47.377]  The Magic Yellow Flyer comes with 15 hot home businesses that you can start at a minimum cost.
[00:45:47.657 --> 00:45:49.698]  Visit MagicYellowFlyer.com.
[00:45:49.878 --> 00:45:52.120]  That's MagicYellowFlyer.com.
[00:45:52.280 --> 00:45:55.481]  Put the Magic Yellow Flyer to work for you today!
[00:45:55.722 --> 00:45:57.383]  Visit MagicYellowFlyer.com.
[00:46:24.565 --> 00:46:26.446]  We're going to continue with your phone calls.
[00:46:26.506 --> 00:46:28.668]  Charlie Sheen is coming up in about 30 minutes.
[00:46:28.688 --> 00:46:30.609]  I was just talking to him on the phone.
[00:46:31.169 --> 00:46:34.451]  Wild stuff going on behind the scenes.
[00:46:35.412 --> 00:46:42.756]  I wanted to bring Ted Anderson up, though, just for a few minutes, because gold is at $1,003 right now.
[00:46:44.297 --> 00:46:46.819]  And the dollar has been going up and down.
[00:46:47.459 --> 00:46:51.622]  The banks are now putting tens of trillions on the streets as they buy up assets.
[00:46:52.794 --> 00:46:52.994]  I think?
[00:47:13.422 --> 00:47:15.624]  The smart money is in gold and silver.
[00:47:15.904 --> 00:47:17.785]  The smart money is getting out of the paper.
[00:47:18.245 --> 00:47:21.408]  I told you to get into gold five, six years ago and it was $300 an ounce.
[00:47:21.908 --> 00:47:22.528]  Now it's above $3,000.
[00:47:23.169 --> 00:47:29.733]  And all I know is it's one of the only smart investments where you can actually hold on to what you have.
[00:47:29.913 --> 00:47:34.196]  I believe in physically holding metals, physically holding silver and gold in your hands.
[00:47:34.597 --> 00:47:36.378]  Ted Anderson, tell us the latest developments.
[00:47:36.710 --> 00:47:40.251]  Well, sure, I'll just correct you on the spot price of gold right now, and it's at $1,009.10.
[00:47:40.471 --> 00:47:44.293]  Oh, excuse me, it was $103 an hour ago.
[00:47:44.313 --> 00:47:46.273]  $1,003, you're right about that.
[00:47:46.594 --> 00:47:49.194]  Anyways, yeah, the markets are going nuts right now.
[00:47:49.295 --> 00:47:53.636]  I mean, obviously, like we talked about yesterday, the prices are going to be going up.
[00:47:53.656 --> 00:47:55.777]  They did on the franc and the British sovereign.
[00:47:56.117 --> 00:47:59.038]  There are just one or two things left that haven't increased yet.
[00:47:59.617 --> 00:48:01.918]  One is that walking Liberty half at $8.69.
[00:48:02.398 --> 00:48:06.461]  The $10 Liberty right now is at $8.18.
[00:48:07.021 --> 00:48:08.642]  Both of those are still at the same price.
[00:48:08.662 --> 00:48:10.162]  They're going to go shooting up as well.
[00:48:10.603 --> 00:48:12.143]  Everything in this market is hot.
[00:48:12.444 --> 00:48:15.045]  Alex, we're going to have a market like we had just a few years ago.
[00:48:15.445 --> 00:48:25.449]  Where the supply of gold is going to become so tight, places like Kitco are going to have to put disclaimers on the front of their website saying they can't deliver right now.
[00:48:25.690 --> 00:48:30.412]  I mean Barrick had to default on their futures contracts because they sold too much gold.
[00:48:30.452 --> 00:48:35.254]  So the gold and silver is running out, but you're saying the deal from a month ago.
[00:48:35.894 --> 00:48:41.701]  Or three weeks ago, where it's at $9.45, you're saying you're at the very end, you've sold out of most of it.
[00:48:42.041 --> 00:48:48.369]  What coins do you have left when the gold market was $55 or more, dollars less?
[00:48:48.700 --> 00:48:59.329]  Well, the coins that reflect those prices right now are going to be the $10 Liberty, which is at $8.1850, and the Walking Liberty Half, which is at $8.69.
[00:48:59.489 --> 00:49:10.959]  Both of those coins right now are the same coins that I priced, I mean, the same quote that I said three weeks ago when gold was down at that $9.45 level, and we're just coming up off of $9.11.
[00:49:12.720 --> 00:49:15.922]  There is definitely a strong market going on right now.
[00:49:15.982 --> 00:49:17.643]  That stuff will go up in price, too.
[00:49:18.643 --> 00:49:21.545]  All I can say, Alex, is that people should be taking heed right now.
[00:49:21.945 --> 00:49:25.307]  Plus, also, I was looking at Stiglitz right now, his article from yesterday.
[00:49:25.967 --> 00:49:33.791]  He's talking about the banks having a major problem, much larger than it was a couple years ago, when Paulson was trying to bail out the banks.
[00:49:34.051 --> 00:49:36.172]  In fact, Ted, we're going to break in one minute.
[00:49:36.292 --> 00:49:36.832]  Come back.
[00:49:36.872 --> 00:49:38.513]  I'm going to give you the floor for five minutes.
[00:49:38.533 --> 00:49:45.335]  I want to sit back, because you've been doing this 30 years, and you are an expert in your own right, at a caliber of Chapman.
[00:49:45.375 --> 00:49:52.838]  I mean, you've really got good insights on what Stiglitz is saying, other economists saying we may have a dollar death like Argentina.
[00:49:52.918 --> 00:49:54.059]  Forbes is saying that.
[00:49:54.159 --> 00:49:56.420]  I hope that isn't the case, but regardless,
[00:49:58.121 --> 00:49:58.581]  945, now 1009.
[00:49:58.741 --> 00:50:03.723]  That's $64 more gold prices.
[00:50:04.183 --> 00:50:06.324]  You're doing this at a deal nobody can do.
[00:50:06.824 --> 00:50:10.146]  You've got silver at the price when it was a couple bucks less.
[00:50:10.186 --> 00:50:11.106]  That's below spot.
[00:50:11.346 --> 00:50:12.167]  Almost gone.
[00:50:12.187 --> 00:50:12.227]  800-686-2237.
[00:50:12.247 --> 00:50:12.287]  800-686-2237.
[00:50:22.171 --> 00:50:23.692]  And I hope you'll call the brokers.
[00:50:23.732 --> 00:50:25.293]  Ted, how long can you hold that deal?
[00:50:25.353 --> 00:50:26.793]  I mean, you keep extending it.
[00:50:27.033 --> 00:50:27.474]  Yeah, I know.
[00:50:27.514 --> 00:50:33.256]  Well, I couldn't extend the British Sovereigns or the Franks, so right now we're going to hold this deal until midnight tonight.
[00:50:33.377 --> 00:50:35.698]  Oh, so this is the only deal, so you've run out of those.
[00:50:35.738 --> 00:50:37.398]  Okay, explain it to me when we get back.
[00:50:40.740 --> 00:50:42.781]  Thank you for listening to GCN.
[00:50:43.341 --> 00:50:46.563]  Be sure to visit GCNlive.com today.
[00:50:48.643 --> 00:50:52.624]  Hello friends, this is Alex Jones, and I want each of you to ask yourself this question.
[00:50:52.884 --> 00:50:54.664]  Do you really know what's in your tap water?
[00:50:54.884 --> 00:51:03.166]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:51:03.406 --> 00:51:08.628]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:51:08.948 --> 00:51:10.568]  Now, what are you going to do about it?
[00:51:10.808 --> 00:51:17.134]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:51:17.334 --> 00:51:28.084]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere, and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:51:28.385 --> 00:51:28.905]  That's right.
[00:51:29.165 --> 00:51:31.468]  Clean water, right from the air you breathe.
[00:51:31.728 --> 00:51:33.289]  Order today by calling 1-800-691.
[00:51:35.231 --> 00:51:35.691]  Big Brother.
[00:52:04.685 --> 00:52:05.706]  Mainstream media.
[00:52:06.447 --> 00:52:07.568]  Government cover-ups.
[00:52:08.208 --> 00:52:09.029]  You want answers?
[00:52:09.789 --> 00:52:10.710]  Well, so does he.
[00:52:10.730 --> 00:52:15.014]  He's Alex Jones on the GCN Radio Network.
[00:52:15.534 --> 00:52:19.658]  And now, live from Austin, Texas, Alex Jones.
[00:52:21.780 --> 00:52:26.304]  Charlie Sheen coming up in T-minus 30 minutes live with huge developments.
[00:52:27.731 --> 00:52:33.600]  Ted Anderson, I want you to sit back, go over the financial numbers, tell people the offer you've got.
[00:52:33.640 --> 00:52:35.644]  The other gold and silver at that lower price has run out.
[00:52:35.664 --> 00:52:38.889]  You've got a little bit left now of one offering, so this is the end.
[00:52:40.400 --> 00:52:43.881]  But you've got the next four minutes till we go to break, and I'm going to come back and take calls.
[00:52:44.201 --> 00:52:46.522]  You take us out to break, Ted Anderson.
[00:52:46.882 --> 00:52:47.942]  You've got the floor.
[00:52:47.962 --> 00:52:49.462]  Well, I'd be happy to do it.
[00:52:49.502 --> 00:52:53.823]  I mean, probably the first thing that we should talk about is what happened over at Barrick Gold.
[00:52:55.004 --> 00:53:00.705]  If people understand, what they need to understand is that gold mines will sell the gold that they have in the ground.
[00:53:00.745 --> 00:53:03.926]  They know that they can produce so much gold in a certain period of time.
[00:53:04.466 --> 00:53:17.011]  So what they'll do is they'll lock in on the prices today and they'll basically deliver the gold later because that's how the futures contract works and they expect to be able to pull the gold out of the ore from the ground in their mine.
[00:53:17.792 --> 00:53:20.493]  Farmers do this with corn and beans.
[00:53:21.053 --> 00:53:32.138]  They'll sell their crop even before they have picked their crop and harvested it through the futures market and then deliver the grain at the fall and that satisfies the contract.
[00:53:32.498 --> 00:53:39.224]  Well, American Barrick or Barrick Gold, they changed their name, Barrick Gold, when I was promoting them and I had a Series 7, it was American Barrick.
[00:53:39.644 --> 00:53:51.534]  When Barrick Gold decided to default on its short contracts, what that meant is that all this gold that they're going to be selling into the marketplace, which equated to gold sold into the market and driving the price down,
[00:53:51.994 --> 00:53:58.216]  Was just taken off the marketplace, which is probably a lot of the reason why we're seeing it jump up into the thousand dollar range right now.
[00:53:58.616 --> 00:54:17.801]  But what Stiglitz was talking about is that we're going to have a banking crisis that is much greater in ferocity than we had in the year 2007, when Hank Paulson and President Bush were trying to put together the 700 trillion dollar bailout plan for that thing, the TARP money.
[00:54:18.201 --> 00:54:33.053]  And what he's trying to recommend to President Barack Obama is that they break down the larger banks into smaller banks so when there is a crisis, one of these things topple, they're not too big to fail and they don't need to be bailed out quite so hard.
[00:54:33.093 --> 00:54:37.317]  Well, the exact opposite is happening right now because when Barack Obama
[00:54:37.697 --> 00:54:40.779]  Is talking about throwing more power to the Federal Reserve System.
[00:54:41.199 --> 00:54:45.782]  That means that their member banks are going to be the ones that get bailed out.
[00:54:46.122 --> 00:54:50.204]  And when they get bailed out, they take that money and they use it to buy up toxic assets.
[00:54:50.624 --> 00:54:55.427]  Or banks that are failing, they use our tax dollars to bail out these smaller companies.
[00:54:55.507 --> 00:54:59.329]  And that's just going to create more havoc and more ruckus into the marketplace.
[00:54:59.729 --> 00:55:01.150]  And it's not good for the U.S.
[00:55:01.210 --> 00:55:06.193]  dollar because the Chinese right now are watching us do this and the printing press running full-time.
[00:55:06.673 --> 00:55:10.216]  And they're thinking about selling off their 3.3 trillion dollars worth of U.S.
[00:55:10.256 --> 00:55:16.981]  government securities, and obviously that's driving down the value of the dollar, but at the same time it's driving up the price of gold.
[00:55:17.321 --> 00:55:19.362]  There's another thing that they did at this time, too.
[00:55:19.423 --> 00:55:32.132]  They want to make sure that they have enough gold in reserves in their nation, so they're allowing their own private citizens to buy gold at this particular time, which is driving up the demand even further, and that's why we're seeing gold rise
[00:55:32.572 --> 00:55:41.014]  At the same time, where we have a credit implosion here in the United States and inflation actually is being held at bay just due to the fact that there's so much unemployment.
[00:55:41.354 --> 00:55:47.375]  So really, right at this particular time, Alex, as I can see it, we really need to be looking at precious metals.
[00:55:47.795 --> 00:56:00.618]  And the 35, it was like 35 to 1 of the insider traders that are selling actually the stock market right now, you know, one bullish, 35 bearish,
[00:56:01.977 --> 00:56:04.918]  These people know what's going on out there in the real world.
[00:56:05.358 --> 00:56:08.080]  And even Warren Buffett himself is getting out of that market.
[00:56:08.100 --> 00:56:14.683]  So, you know, I just know where the stage is being set right now for a big plummet in the stock market.
[00:56:14.723 --> 00:56:17.284]  I don't know exactly when and how far that's going to go.
[00:56:17.704 --> 00:56:24.967]  But, you know, with the gold prices going up into the thousands, all I can say is the timing right now to be getting into the gold is right.
[00:56:25.367 --> 00:56:31.210]  And I do believe that there will be time in the future, when we're looking back at a thousand five, a thousand seven, a thousand nine,
[00:56:31.770 --> 00:56:33.611]  I'm thinking that that is a really good buy.
[00:56:33.952 --> 00:56:41.457]  So if you have the chance to do it, if you look at your portfolio, call us at 800-686-2237.
[00:56:41.477 --> 00:56:54.726]  Again, 800-686-2237, and take a serious look at what you're doing, because right now there's a lot of trouble out there in the economy, and you just can't, you know, there's just no way that this thing is going to be turned around.
[00:56:55.687 --> 00:57:03.894]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:57:04.114 --> 00:57:07.917]  Number one, new climate legislation could easily double or triple your electric bill.
[00:57:08.137 --> 00:57:13.742]  Number two, our new Energy Czar wants to control how much power your electric company allows you to have.
[00:57:14.042 --> 00:57:14.482]  It's true.
[00:57:14.683 --> 00:57:19.626]  Total government control of electricity in the name of smart grid technology is coming.
[00:57:20.027 --> 00:57:25.471]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:57:26.331 --> 00:57:28.974]  The hurricane and dangerous summer storm season is here again.
[00:57:29.234 --> 00:57:33.437]  Every year, thousands of families lose their power from weather-related outages.
[00:57:33.737 --> 00:57:37.360]  A solar power generator provides powerful backup insurance and peace of mind.
[00:57:37.580 --> 00:57:43.082]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:57:43.302 --> 00:57:47.883]  You can get more information at www.mysolarbackup.com.
[00:57:48.023 --> 00:57:49.564]  That's mysolarbackup.com.
[00:57:49.784 --> 00:57:52.124]  Remember, the government doesn't own the sun yet.
[00:57:52.364 --> 00:57:54.985]  So go to mysolarbackup.com or call toll-free 877-327-0365.
[00:57:58.666 --> 00:58:06.135]  Have you heard that millionaire, entrepreneur, businessman, your congressional candidate, and author Robert Beatles wrote a new book called Here's What You Do.
[00:58:06.416 --> 00:58:12.203]  You can buy it at here'swhatyoudo.net as an e-book for six bucks or the book for ten bucks.
[00:58:12.503 --> 00:58:15.167]  And we have an audio book on its way for you commuters as well.
[00:58:15.447 --> 00:58:21.373]  Here's what you do tells you exactly what to do to survive and thrive in these harsh economic times.
[00:58:21.733 --> 00:58:25.597]  This book will work for anyone, rich, poor, middle class, it doesn't matter.
[00:58:25.797 --> 00:58:31.183]  This book truly has the information that can make you wealthy and it will tell you how to protect your wealth as well.
[00:58:31.403 --> 00:58:33.244]  You know the government isn't looking out for you.
[00:58:33.484 --> 00:58:34.884]  You need to look out for yourself.
[00:58:35.244 --> 00:58:37.485]  The economy is bad, but it's probably going to get worse.
[00:58:37.765 --> 00:58:42.126]  You must prepare and make sure you are able to financially take care of yourself and your loved ones.
[00:58:42.486 --> 00:58:45.867]  Go to here'swhatyoudo.net and start today.
[00:58:46.208 --> 00:58:48.828]  Again, it is here'swhatyoudo.net.
[00:58:49.329 --> 00:58:50.749]  That's here'swhatyoudo.net.
[00:58:51.209 --> 00:58:53.330]  One last time, it's here'swhatyoudo.net.
[00:58:58.888 --> 00:59:01.469]  Hello, this is Alex Jones with some important questions.
[00:59:01.889 --> 00:59:06.850]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:59:07.211 --> 00:59:08.951]  My answer would be all I can get.
[00:59:09.251 --> 00:59:14.073]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:59:14.253 --> 00:59:15.233]  How much do you want?
[00:59:15.453 --> 00:59:16.193]  When do you want it?
[00:59:16.573 --> 00:59:18.154]  Now or after the battle starts?
[00:59:18.454 --> 00:59:19.274]  When will you need it?
[00:59:19.534 --> 00:59:21.535]  Can you buy it without proper identification?
[00:59:21.735 --> 00:59:22.837]  Will there be any food?
[00:59:23.057 --> 00:59:24.399]  Will it make your children sick?
[00:59:24.599 --> 00:59:29.666]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[00:59:29.866 --> 00:59:33.050]  You wipe out all these problems if you have a good food supply.
[00:59:33.451 --> 00:59:36.916]  Food is your ammunition to fight for your freedom and your life.
[00:59:37.256 --> 00:59:38.237]  How much will you need?
[00:59:38.477 --> 00:59:39.097]  We don't know.
[00:59:39.377 --> 00:59:40.298]  How much do you want?
[00:59:40.498 --> 00:59:41.218]  All you can get.
[00:59:41.418 --> 00:59:42.259]  I'm Alex Jones.
[00:59:42.519 --> 00:59:45.280]  I want all of you good guys to live to fight another day.
[00:59:45.561 --> 00:59:47.322]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[00:59:47.342 --> 00:59:48.262]  Again, that number 1-800-409-5633.
[01:00:10.449 --> 01:00:13.030]  Man, I was just talking to Charlie Sheen again during the break.
[01:00:13.070 --> 01:00:15.151]  A lot of crazy stuff going on behind the scenes.
[01:00:15.571 --> 01:00:22.095]  Coming up at the bottom of the hour, he's going to be on with us covering a host of big developments and issues, so stay with us for that.
[01:00:23.376 --> 01:00:27.558]  In fact, cue up that piece of trash from Fox News.
[01:00:29.707 --> 01:00:30.327]  Q him up.
[01:00:30.408 --> 01:00:33.090]  I mean, talk about a slimy guy.
[01:00:33.790 --> 01:00:37.213]  Misrepresenting what Charlie Sheen said.
[01:00:37.313 --> 01:00:43.037]  Charlie is bringing up the Commissioner members, six of the ten, saying the official story is a lie, a fraud, and a cover-up.
[01:00:43.557 --> 01:00:50.943]  Charlie's bringing up Sybil Edmonds, the FBI translator, coming out and saying Bin Laden and Al Qaeda were working for the U.S.
[01:00:50.983 --> 01:00:52.564]  government up until the day of 9-11.
[01:00:53.104 --> 01:00:55.426]  She testified secretly to Congress on that.
[01:00:56.887 --> 01:00:57.908]  Charlie's bringing up
[01:00:59.139 --> 01:01:04.400]  All these real issues, and he is being demonized like I have never seen.
[01:01:05.041 --> 01:01:13.443]  And then these cowards, like John McCain's daughter, she goes on The View and demonizes him, and then Charlie directly challenges her.
[01:01:14.183 --> 01:01:16.243]  And we directly challenged her and emailed her.
[01:01:16.824 --> 01:01:22.485]  And say, fine, you come out, name the place and time live to debate Charlie, and they won't do it.
[01:01:24.929 --> 01:01:28.311]  Just absolutely amazing to see them do that type of stuff.
[01:01:28.331 --> 01:01:30.153]  If you want that video, it's actually on YouTube.
[01:01:30.193 --> 01:01:35.476]  But yeah, here is that program, Greg Gutfield.
[01:01:35.496 --> 01:01:43.241]  And I will let you know, old Greg Gutfield's really asking for the lawyers to take the gloves off, I'll tell you that.
[01:01:44.442 --> 01:01:46.103]  Because this is libel and slander.
[01:01:46.724 --> 01:01:51.407]  And if it's done with malice of forethought, to cause harm to somebody, you got a big problem.
[01:01:53.123 --> 01:01:55.424]  Totally distorting what Charlie has had to say.
[01:01:56.245 --> 01:01:59.327]  Absolutely distorting the reality of it.
[01:02:00.268 --> 01:02:03.049]  Charlie makes tens of millions of dollars a year.
[01:02:03.410 --> 01:02:04.710]  He has a lot to lose doing this.
[01:02:04.730 --> 01:02:09.453]  He did this because he can't let the continual lie of 9-11 just keep going on.
[01:02:09.473 --> 01:02:14.036]  And you can't just call us names and demonize us and have it go away.
[01:02:16.278 --> 01:02:17.098]  Let's go ahead and play it.
[01:02:17.498 --> 01:02:17.819]  Here it is.
[01:02:18.669 --> 01:02:23.792]  So Charlie Sheen has penned a fictitious conversation with President Obama regarding the 9-11 attack.
[01:02:24.352 --> 01:02:37.718]  See, the star of Scary Movie 3 and Scary Movie 4 believes that Bush Cheney planned it all and feels Obama should investigate it immediately in an effort to answer a, quote, bottomless warren of unanswered questions.
[01:02:37.758 --> 01:02:38.239]  Bottomless.
[01:02:38.519 --> 01:02:42.381]  Now, never mind how repulsive this is to anyone personally affected by the terror attack.
[01:02:42.841 --> 01:02:46.883]  Sheen is just awesome for revealing what makes conspiracy theorists so...
[01:02:48.797 --> 01:02:51.239]  Notice, he misrepresents what Sheen has said.
[01:02:51.679 --> 01:02:53.960]  Sheen's saying, I have questions that need to be investigated.
[01:02:56.062 --> 01:02:58.103]  Then he says, Sheen is hurting the families.
[01:02:58.923 --> 01:03:02.185]  That's the slander and libel right there in the defamation.
[01:03:03.386 --> 01:03:05.507]  This was also put out in text, so it's libel.
[01:03:08.269 --> 01:03:10.210]  Implying that it's hurting the families.
[01:03:10.310 --> 01:03:16.094]  Saying Charlie Sheen is hurting families when the majority of the families are on record
[01:03:17.463 --> 01:03:20.225]  Saying they believe 9-11 is an inside job.
[01:03:20.566 --> 01:03:25.570]  This guy misrepresents the families and says Charlie is hurting them.
[01:03:28.412 --> 01:03:32.656]  Charlie is hurting the families.
[01:03:34.638 --> 01:03:40.062]  And then he tries to imply like Charlie Sheen's got this big head because he writes in the piece the President likes two and a half men.
[01:03:40.463 --> 01:03:43.806]  Charlie was writing that saying, well let's write this like me and the President are being friendly.
[01:03:44.782 --> 01:03:47.183]  And, uh, you know, make the president look cool.
[01:03:47.203 --> 01:03:49.224]  It wasn't to make Charlie look big.
[01:03:49.524 --> 01:03:50.905]  But, but, here's the distortion.
[01:03:52.166 --> 01:03:52.526]  Bottomless.
[01:03:52.806 --> 01:03:56.668]  Now, never mind how repulsive this is to anyone personally affected by the terror attack.
[01:03:57.128 --> 01:04:04.091]  Sheen is just awesome for revealing what makes a conspiracy theorist... How repulsive it is to anyone.
[01:04:04.771 --> 01:04:11.815]  See, this guy's representing everyone who was attacked, doesn't like Sheen, and Sheen's basically with the terrorists now.
[01:04:13.066 --> 01:04:18.157]  This little slimeball thinks he's smart reading off that teleprompter what was written up for him by Psyops.
[01:04:18.658 --> 01:04:19.420]  Like he's cute.
[01:04:19.480 --> 01:04:21.304]  It's fun to manipulate his audience.
[01:04:21.965 --> 01:04:22.847]  What a deceiver.
[01:04:22.907 --> 01:04:23.409]  Back to it.
[01:04:24.997 --> 01:04:26.197]  First, the egomania.
[01:04:26.797 --> 01:04:31.278]  In this open letter he wrote, he writes that the president admits liking two and a half men.
[01:04:31.718 --> 01:04:34.259]  And here I thought Martin was the crazy one in the family.
[01:04:34.719 --> 01:04:36.619]  Second, there's the mental masturbation.
[01:04:36.639 --> 01:04:37.900]  I apologize for using that word.
[01:04:38.140 --> 01:04:43.721]  But when it comes to truth or obsession, the questioning will always be, as Sheen says, bottomless.
[01:04:45.781 --> 01:04:47.822]  It is bottomless when you look at all the evidence.
[01:04:49.422 --> 01:04:52.503]  You called us conspiracy theorists that Gulf of Tonkin wasn't staged.
[01:04:52.543 --> 01:04:53.543]  Now declassified.
[01:04:54.696 --> 01:04:57.238]  Now declassified the CIA was involved with Kennedy.
[01:04:57.838 --> 01:04:59.640]  And the head shooter's gone public.
[01:05:01.001 --> 01:05:04.423]  In Rolling Stone, and on this radio show, with the audio tape and video.
[01:05:05.824 --> 01:05:06.525]  E. Howard Hunt.
[01:05:08.627 --> 01:05:10.808]  We now know Cheney did lie about WMDs.
[01:05:10.828 --> 01:05:13.951]  We now know Cheney wanted to bomb our own ships and blame it on foreign governments.
[01:05:14.351 --> 01:05:19.695]  Even the Daily Mail in England is saying they think this new Al-Qaeda tape, bin Laden tape, is fake.
[01:05:22.037 --> 01:05:23.784]  Even conservative publications.
[01:05:24.346 --> 01:05:27.015]  You... He's just so sniveling and cowardly.
[01:05:27.055 --> 01:05:27.537]  Go back to him.
[01:05:29.439 --> 01:05:37.261]  It's an endless bag of Doritos, except instead of chips, you get comebacks like, oh, that's what they want you to think, and open your eyes, dude.
[01:05:37.541 --> 01:05:39.441]  It'd be funny if it wasn't so sad.
[01:05:39.801 --> 01:05:41.622]  And my favorite, the contradictions.
[01:05:42.062 --> 01:05:47.263]  Sheen claims that 9-11 was the pretext for systematic dismantling of our Constitution.
[01:05:47.683 --> 01:05:52.364]  He says this without realizing that since 9-11, not a single person has shut him up!
[01:05:52.844 --> 01:05:57.125]  His relentless babble has done more to prove there's no cover-up than anything ever!
[01:05:57.705 --> 01:06:02.626]  Damn, I wish the government would silence him, or at least give him a better haircut suited for a middle-aged man.
[01:06:02.666 --> 01:06:03.927]  It's strange, I tell you.
[01:06:03.947 --> 01:06:08.468]  But look, I love Sheen because he's a man unencumbered by self-awareness.
[01:06:08.708 --> 01:06:09.228]  Think about it.
[01:06:09.488 --> 01:06:19.471]  The man's, he's the world's most clueless, druggy, gambling-addicted whore-banger, and he thinks he's uncovered a conspiracy and that we should all believe him.
[01:06:19.891 --> 01:06:20.731]  How cute is that?
[01:06:21.311 --> 01:06:23.252]  And if you disagree with me, then you're probably a racist.
[01:06:26.761 --> 01:06:31.304]  So he just threw everything, including the kitchen sink, at people.
[01:06:34.586 --> 01:06:37.968]  They've introduced bills that have passed the House to ban free speech.
[01:06:38.008 --> 01:06:39.589]  They've reintroduced the Fairness Doctrine.
[01:06:39.609 --> 01:06:40.569]  They're trying to implement it.
[01:06:40.829 --> 01:06:44.572]  The diversity chief on tape said he wants Venezuelan-type controls.
[01:06:46.112 --> 01:06:55.098]  They are on the verge of passing the Cybersecurity Act that in the New York Times they admit will, quote, have a kindler, gentler internet with government gatekeepers.
[01:06:57.096 --> 01:07:00.983]  Charlie Sheen behind the scenes is under all sorts of heat to shut up.
[01:07:01.424 --> 01:07:03.147]  You may hear about that soon here on the air.
[01:07:06.576 --> 01:07:20.524]  Mark Cuban, the New York Times now admits, had the White House email him and call him, the Securities and Exchange Commission, and say, if you don't shut up and not make that loose change final cut film, we're going to indict you for something.
[01:07:20.784 --> 01:07:22.005]  And a year later, they did it.
[01:07:22.505 --> 01:07:26.787]  Cuban used the email and the phone call to defeat the phony case.
[01:07:28.228 --> 01:07:28.988]  You understand?
[01:07:29.008 --> 01:07:35.212]  This guy's making jokes about how our free speech isn't under attack when it publicly is?
[01:07:40.200 --> 01:07:41.301]  Absolutely incredible.
[01:07:42.482 --> 01:07:43.864]  Absolutely amazing.
[01:07:46.166 --> 01:07:51.991]  Let's go ahead and talk to Stephen in Mexico City.
[01:07:52.411 --> 01:07:53.312]  Stephen, you're on the air.
[01:07:53.352 --> 01:07:53.713]  Welcome.
[01:07:54.493 --> 01:07:55.354]  Hey, Alex.
[01:07:55.614 --> 01:07:55.955]  Wow.
[01:07:57.196 --> 01:07:58.537]  Greetings from Mexico.
[01:07:58.577 --> 01:08:00.859]  You're our lifeline of truth here, huh?
[01:08:00.939 --> 01:08:03.001]  For Wi-Fi radio.
[01:08:03.442 --> 01:08:04.422]  Well, God bless you, sir.
[01:08:04.483 --> 01:08:05.203]  Thanks for tuning in.
[01:08:05.223 --> 01:08:05.804]  What's on your mind?
[01:08:06.647 --> 01:08:11.351]  Listen, I just want to give you some quick bullets of what's going on down here that affects you and concerns you.
