[00:00:05.714 --> 00:00:07.334]  Watch me!
[00:30:17.670 --> 00:30:22.092]  Total government control of electricity in the name of smart grid technology is coming.
[00:30:22.092 --> 00:30:23.012]  Number 3.
[00:30:23.012 --> 00:30:28.635]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:30:28.635 --> 00:30:29.315]  Number 4.
[00:30:29.315 --> 00:30:31.936]  The hurricane and dangerous summer storm season is here again.
[00:30:32.076 --> 00:30:32.716]  We're good to go.
[00:31:01.567 --> 00:31:02.948]  This is Alex Jones.
[00:31:02.948 --> 00:31:04.930]  Have you heard of the Millionaire Patriot?
[00:31:04.930 --> 00:31:05.911]  Well, you should.
[00:31:05.911 --> 00:31:10.416]  He has a free handgun and five days of firearms training waiting for you.
[00:31:10.416 --> 00:31:11.217]  That's right.
[00:31:11.217 --> 00:31:19.885]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:31:19.885 --> 00:31:21.247]  All for pennies on the dollar.
[00:31:21.247 --> 00:31:22.388]  Plus, if you act fast.
[00:31:22.588 --> 00:31:28.571]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:31:28.571 --> 00:31:35.454]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:31:35.454 --> 00:31:40.656]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:31:40.976 --> 00:31:42.437]  This is real.
[00:31:42.437 --> 00:31:43.498]  Don't miss out.
[00:31:43.498 --> 00:31:52.064]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:31:52.064 --> 00:31:54.425]  Go to FrontSight.com today.
[00:31:54.425 --> 00:31:58.128]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:31:58.128 --> 00:32:01.030]  Go to FrontSight.com for your training and free gun.
[00:32:01.906 --> 00:32:03.567]  Hello friends, this is Alex Jones.
[00:32:03.567 --> 00:32:08.328]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:32:08.328 --> 00:32:11.290]  We need to be independent, and food and water is the key.
[00:32:11.290 --> 00:32:14.311]  You'll never have to stand in a bread line if you have your own bread.
[00:32:14.311 --> 00:32:20.173]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:32:20.413 --> 00:32:23.636]  No one is going to take care of your family in the final equation but you.
[00:32:23.636 --> 00:32:30.641]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:32:30.641 --> 00:32:33.904]  And they do it at almost half the cost of last year's grocery prices.
[00:32:33.904 --> 00:32:35.805]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com
[00:32:39.068 --> 00:32:45.311]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-stride, and dehydrated foods they have to offer.
[00:32:45.311 --> 00:32:49.192]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:32:49.192 --> 00:32:51.073]  Again, 1-800-409-5633 or on the web at eFoodsDirect.com.
[00:32:51.073 --> 00:32:52.134]  Take action today.
[00:32:52.134 --> 00:32:53.914]  The first step is getting storable food.
[00:33:24.226 --> 00:33:28.989]  There's a man going around taking names.
[00:33:28.989 --> 00:33:34.572]  And he decides who to free and who to blame.
[00:33:34.572 --> 00:33:37.374]  Everybody won't be treated all the same.
[00:33:39.252 --> 00:33:42.797]  There'll be a golden letter reaching down.
[00:33:42.797 --> 00:33:44.720]  You know what Revelation talks about?
[00:33:44.720 --> 00:33:48.986]  How the kings of the earth traffic in the souls of men.
[00:33:50.919 --> 00:33:58.684]  And, you know, you read the old fables, and it describes kingdoms that were under spells, where they couldn't see corruption, couldn't see lies.
[00:33:58.684 --> 00:34:03.468]  And once you've committed to lies, little lies, then you start buying into the bigger ones.
[00:34:03.468 --> 00:34:04.488]  Torture's okay.
[00:34:04.488 --> 00:34:06.550]  Secret arrest is okay.
[00:34:06.550 --> 00:34:10.272]  You know, we're the good guys, but we're a country that loves death and destruction.
[00:34:10.272 --> 00:34:15.616]  And when you read the psychologists, the psychologists, the, the, the,
[00:34:17.366 --> 00:34:26.899]  The sociologist, the anthropologist, the psychiatrist, the Edward Bernays 80-90 years ago, they all brag how we're dumb slaves.
[00:34:26.899 --> 00:34:32.587]  They all brag how they're programming us, how they're manipulating us, how they control everything we do.
[00:34:33.348 --> 00:34:41.610]  They're on incredible power trips, and they put on this fake liberal facade, but they're a bunch of cold-blooded trash breaking up the family.
[00:34:41.610 --> 00:34:45.451]  All their major textbooks that we've shown you here say the family's their enemy.
[00:34:45.451 --> 00:34:49.613]  You know, and people say, oh, they want to break the family up, or oh, they want to dumb us down.
[00:34:49.613 --> 00:34:52.113]  That isn't just a figment of imagination.
[00:34:52.113 --> 00:34:57.575]  That's not just a statement or a verbal fancy.
[00:34:59.696 --> 00:35:01.337]  It's the reality.
[00:35:01.337 --> 00:35:09.219]  And it's a group of humans setting up a predatory system where they engage in their predator hunting mode against their own people.
[00:35:09.219 --> 00:35:12.740]  And they're breeding us and dumbing us down to be more easily controlled.
[00:35:12.740 --> 00:35:13.900]  That's what David Icke's talking about.
[00:35:13.900 --> 00:35:16.261]  I just took two years of RTF.
[00:35:16.781 --> 00:35:17.702]  Radio, television, film.
[00:35:17.702 --> 00:35:31.133]  The first textbook was all about subliminal messages on radio 80 years ago, and TV 60 years ago, and in movie theaters, and how the billboards have it, and how they use sex to sell, and how they're hitting the reptilian brain.
[00:35:31.133 --> 00:35:35.817]  This is a fact, and so they're feeding through this virtual matrix
[00:35:36.678 --> 00:35:37.699]  And that's what it is.
[00:35:37.699 --> 00:35:40.420]  It's not a physical matrix with us in tanks.
[00:35:40.420 --> 00:35:53.966]  It's our brain in a tank inside this body suit being programmed by the false world, by the image makers of television in Madison Avenue to keep us off the real world and the whole universe around us.
[00:35:53.966 --> 00:35:58.468]  Through fear, through the desire for money, sex, survival, all of this.
[00:35:58.468 --> 00:36:02.890]  But when you do what Christ said and turn loose, he that gives up his life gains his life.
[00:36:02.890 --> 00:36:04.251]  He that tries to save it loses it.
[00:36:05.558 --> 00:36:13.345]  That means when you're ready to give it all up and just don't care anymore, and stop letting that program totally control you, then you go to the next level.
[00:36:13.345 --> 00:36:26.417]  And that doesn't mean we don't bounce back and forth between the higher mind, the cerebral cortex, where they say the cognitive and the soul's dwelling, and if you don't believe that, fine, that's your issue, and the animal brain.
[00:36:26.417 --> 00:36:27.578]  Regardless, through this
[00:36:29.011 --> 00:36:56.717]  Electrochemical computer, we are being programmed and manipulated, and the establishment brags about it, and they put compulsions and mental blocks in you, through culture, through television, through the jokes they make on TV, that then are repeated by people on the ground, giving it reality, in this plane of existence, not in the cyber world, the make-believe TV world, that's now becoming reality, that it's not kosher to talk about these things, and so people are in a prison for their mind.
[00:36:56.717 --> 00:36:57.797]  David Icke, please continue.
[00:36:59.390 --> 00:37:12.045]  I've got a piece of paper in front of me and I've just been ticking off little things, issues that you brought up and they come under one heading, reptilian brain.
[00:37:12.045 --> 00:37:15.209]  From the reptilian brain we get all the survival mechanisms, yes, for which
[00:37:16.354 --> 00:37:17.314]  We're good to go.
[00:37:40.979 --> 00:37:43.722]  Of course, a big time into their satanic rituals.
[00:37:43.722 --> 00:37:52.990]  But if you look at human society, Alex, it's just a daily repeating of ritual repeating behavior.
[00:37:52.990 --> 00:37:57.854]  The reptilian brain, we get the desire for top down hierarchical structures of power.
[00:37:57.854 --> 00:37:58.575]  Look at the world.
[00:37:58.615 --> 00:37:59.656]  No, I don't.
[00:38:14.283 --> 00:38:19.105]  The survival mechanisms and how they play out through problem-reaction-solution.
[00:38:19.105 --> 00:38:25.687]  When they say, oh, swine flu, pandemic, what are they saying that to?
[00:38:25.687 --> 00:38:34.469]  They're saying it to the survival responses in the reptilian brain of, oh my god, survival, do something, yes, compulsory vaccination, yes, anything.
[00:38:34.469 --> 00:38:37.210]  Terrorism, oh yes, war on terror.
[00:38:37.210 --> 00:38:39.991]  Weapons of mass destruction, yes, invade Iraq, oh yes, anything.
[00:38:40.091 --> 00:38:53.306]  Oh my god, it's all through the reptilian brain, because they understand how it works, and we need to understand how it works, because once we do that, the defense mechanisms start to go up, and also we can start to observe our own behavior.
[00:38:53.306 --> 00:39:01.295]  When we're reacting to things in an emotional way without calm thinking, then
[00:39:02.162 --> 00:39:03.063]  We can stop.
[00:39:03.063 --> 00:39:06.604]  I mean, I've been working on this for years now in myself.
[00:39:06.604 --> 00:39:12.087]  You get halfway through a sentence and you stop and you think, no, that's the reptilian brain being activated.
[00:39:12.087 --> 00:39:25.994]  And what you're doing as you do that, as you recognize it, is you're stopping it having that reactive power over you that it had before, and you move into other parts of the brain in terms of the way that you filter reality and information.
[00:39:27.613 --> 00:39:29.375]  And those get more developed.
[00:39:29.375 --> 00:39:38.302]  You start seeing the universe more and more through the higher levels of the brain, and then knowledge just explosively opens where you can't even describe it.
[00:39:38.302 --> 00:39:47.149]  Well, how can you accumulate real knowledge and awareness when you're spending the day reacting emotionally all the time?
[00:39:47.149 --> 00:39:52.633]  And I would say to people, because I'm not sitting cross-legged on a mountain here saying, here, I'm the Buddha.
[00:39:52.633 --> 00:39:54.695]  I'm telling you all how it is, and I'm perfect.
[00:39:55.135 --> 00:39:59.698]  We all are in these biological computers.
[00:39:59.698 --> 00:40:03.781]  The question is, are we going to let them live us, or are we going to live them?
[00:40:03.781 --> 00:40:06.403]  Are we going to live life, or are we going to allow life to live us?
[00:40:06.403 --> 00:40:10.145]  Because most people allow life to live them because of these reactive processes.
[00:40:10.325 --> 00:40:16.932]  Well, that's what John Carpenter is saying is they live, the controllers, we sleep.
[00:40:16.932 --> 00:40:21.437]  We're sleeping when we're in the reptilian brain, also tied into sleep.
[00:40:21.437 --> 00:40:22.719]  We are unconscious.
[00:40:22.719 --> 00:40:24.320]  We're really dead.
[00:40:24.320 --> 00:40:25.221]  And they live.
[00:40:25.221 --> 00:40:26.603]  It's all a big joke to them.
[00:40:27.509 --> 00:40:56.312]  Yeah, and if we can start to take control of our reactions, and when you kind of come from this point of view, and you just observe yourself for a few days, just observe yourself and the way you react, and you'll see how many conflicts between individuals, arguments, emotional responses that are right over the top, and the way that we immediately react to something instead of saying, hold on a second,
[00:40:57.313 --> 00:40:58.254]  Take a deep breath.
[00:40:58.254 --> 00:41:01.856]  Let's just calmly look at this before we start making instant decisions.
[00:41:01.856 --> 00:41:09.361]  When you do that, you realize how many times a day the reptilian brain decides your decisions for you.
[00:41:09.361 --> 00:41:11.883]  It's unbelievable the number of times it happens.
[00:41:11.883 --> 00:41:24.511]  And collectively, of course, there's a collective version of this where you have the mob rule and all the rest of it, where the reptilian brain is manipulated collectively to have a collective response and emotional reaction.
[00:41:24.511 --> 00:41:27.033]  And we've got to get control of the computer system.
[00:41:27.413 --> 00:41:28.374]  Alright, let me expand on that.
[00:41:46.806 --> 00:42:01.105]  Because it's been scientifically proven, as you know, but for listeners who may not, by thousands of universities for over 100 years, that mice and other animals know when a hurricane or an earthquake's coming days or sometimes weeks beforehand.
[00:42:01.846 --> 00:42:18.118]  They can also do double-blind studies where there's a 20-foot wall, you can't hear what's going on in the next room, but if people are agitated in the next room or being hurt, brainwaves go into a pattern of disarray or being upset yourself.
[00:42:20.198 --> 00:42:20.719]  100th Monkey.
[00:42:32.119 --> 00:42:33.920]  When it comes to the use of their brain.
[00:42:33.920 --> 00:42:40.422]  So, that's why they're putting the fluoride in the water, that's why they're injecting us with mercury, that's why they're feeding us the GMO food.
[00:42:40.422 --> 00:42:46.785]  All of this, and that's why the television's dumbing everything down, lowering everything down.
[00:42:46.785 --> 00:42:50.886]  How do you see this battle shaking out, David Icke?
[00:42:50.886 --> 00:42:59.690]  Well, if we don't become conscious and get out of control by computer programs, then it's gonna go on.
[00:43:01.820 --> 00:43:07.683]  This is Alex Jones, and I want to tell you again about a company that has supported us and the Truth Movement for years.
[00:43:07.683 --> 00:43:08.983]  Inner Health Botanicals.
[00:43:08.983 --> 00:43:13.265]  This company produces the highest quality superfood around, called Inner Food.
[00:43:13.265 --> 00:43:15.126]  My wife just loves the stuff.
[00:43:15.126 --> 00:43:21.429]  And now, the health ranger Mike Adams has awarded Inner Food his Editor's Choice Award for Best Superfood of 2009.
[00:43:22.569 --> 00:43:25.430]  Inner Food is loaded with 20 great organic ingredients.
[00:43:25.430 --> 00:43:27.171]  No fillers, no sweeteners.
[00:43:27.171 --> 00:43:30.171]  It would be impossible to blend this up for a better price.
[00:43:30.171 --> 00:43:31.892]  And their formula really works.
[00:43:31.892 --> 00:43:34.713]  This is the real thing for the great health you need.
[00:43:34.713 --> 00:43:36.193]  Try the NutriCafe.
[00:43:36.193 --> 00:43:40.975]  Their great organic coffee infused with polysaccharides that boost the immune system.
[00:43:40.975 --> 00:43:43.376]  A truly healthy coffee that tastes great.
[00:43:43.376 --> 00:43:45.837]  And take it from me folks, it really does taste great.
[00:43:45.837 --> 00:43:47.937]  Don't forget to try their other great products.
[00:43:47.937 --> 00:43:49.518]  Go to www.
[00:43:50.538 --> 00:43:53.620]  E-N-E-R-F-O-O-D dot com.
[00:43:53.620 --> 00:43:58.284]  That's W-W-W dot E-N-E-R-F-O-O-D dot com.
[00:43:58.284 --> 00:44:01.746]  Or just click on their banner on Infowars.com for special pricing.
[00:44:01.746 --> 00:44:05.989]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:44:05.989 --> 00:44:07.991]  Do you really know what's in your tap water?
[00:44:07.991 --> 00:44:16.257]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:44:16.497 --> 00:44:22.039]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:44:22.039 --> 00:44:23.919]  Now what are you going to do about it?
[00:44:23.919 --> 00:44:30.421]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:44:30.421 --> 00:44:34.962]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere.
[00:44:35.202 --> 00:44:35.602]  That's right.
[00:45:01.667 --> 00:45:03.049]  This is Alex Jones.
[00:45:03.049 --> 00:45:05.031]  Have you heard of the Millionaire Patriot?
[00:45:05.031 --> 00:45:06.012]  Well, you should.
[00:45:06.012 --> 00:45:10.517]  He has a free handgun and five days of firearms training waiting for you.
[00:45:10.517 --> 00:45:11.318]  That's right.
[00:45:11.318 --> 00:45:19.988]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:45:19.988 --> 00:45:21.349]  All for pennies on the dollar.
[00:45:21.349 --> 00:45:22.491]  Plus, if you act fast.
[00:45:22.691 --> 00:45:28.674]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:45:28.674 --> 00:45:35.558]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:45:35.558 --> 00:45:40.761]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:45:41.081 --> 00:45:42.542]  This is real.
[00:45:42.542 --> 00:45:43.583]  Don't miss out.
[00:45:43.583 --> 00:45:52.170]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:45:52.170 --> 00:45:54.531]  Go to FrontSight.com today.
[00:45:54.531 --> 00:45:58.214]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:45:58.214 --> 00:46:01.136]  Go to FrontSight.com for your training and free gun.
[00:46:01.917 --> 00:46:07.142]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:46:07.142 --> 00:46:11.165]  Number one, new climate legislation could easily double or triple your electric bill.
[00:46:11.165 --> 00:46:17.070]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:46:17.070 --> 00:46:22.134]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:46:22.134 --> 00:46:22.595]  Number three,
[00:46:23.035 --> 00:46:29.337]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:46:29.337 --> 00:46:32.238]  The hurricane and dangerous summer storm season is here again.
[00:46:32.238 --> 00:46:36.759]  Every year, thousands of families lose their power from weather-related outages.
[00:46:36.759 --> 00:46:40.360]  A solar power generator provides powerful backup insurance and peace of mind.
[00:46:40.600 --> 00:46:46.342]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:46:46.342 --> 00:46:51.044]  You can get more information at www.mysolarbackup.com.
[00:46:51.044 --> 00:46:52.804]  That's mysolarbackup.com.
[00:46:52.804 --> 00:46:55.365]  Remember, the government doesn't own the sun yet.
[00:46:55.365 --> 00:46:58.006]  So go to mysolarbackup.com or call toll free 877-327-0365.
[00:47:14.253 --> 00:47:17.037]  He's the T-Rex of political talk.
[00:47:17.037 --> 00:47:19.840]  Alex Jones on the GCN Radio Network.
[00:47:29.873 --> 00:47:32.175]  We're talking to the folks involved with the 2012 film.
[00:47:32.175 --> 00:47:32.875]  That's all I can say.
[00:47:32.875 --> 00:47:34.977]  I'm not even allowed to show the revision numbers of this.
[00:47:34.977 --> 00:47:36.418]  But I have the 2012 script with Woody Harrelson.
[00:47:36.418 --> 00:47:37.239]  I will just tell you that.
[00:47:37.239 --> 00:47:38.039]  That just came in the mail.
[00:47:38.039 --> 00:47:39.180]  I want to thank folks for that.
[00:47:39.180 --> 00:47:40.601]  Going back to David Icke.
[00:47:57.919 --> 00:48:04.264]  You got cut off there talking about the frequency, talking about how the globalists, the controllers, keep us dialed into one point.
[00:48:04.264 --> 00:48:13.391]  How do you see their New World Order plan, their goals, to build this extermination grid, this planetary government, then carry out the population reduction?
[00:48:13.391 --> 00:48:20.076]  To me, it looks like things aren't going well for them and we're having victory after victory and that there's an awakening accelerating.
[00:48:20.076 --> 00:48:22.198]  Do you think I'm too close?
[00:48:23.018 --> 00:48:35.910]  To the fact that we are going to win in the end, and that I have a lot of faith because I'm deeper into this, and is that distorting my vision, in your opinion, that so many others aren't awake yet or are going deeper into the control?
[00:48:35.910 --> 00:48:37.532]  I mean, do you get the point I'm making?
[00:48:38.152 --> 00:48:42.835]  Yeah, I've never doubted that it would turn out fine in the end.
[00:48:42.835 --> 00:48:53.060]  But the nature of the manipulation and the programming means that a lot of people have got to go a long way down the road before they actually see it.
[00:48:53.060 --> 00:49:01.305]  And it's a case of how deeply programmed you are before you actually see it and start to realize what's happening.
[00:49:01.305 --> 00:49:07.148]  And what I've seen over the last 20 years is an exponential curve without any question.
[00:49:07.708 --> 00:49:08.369]  We're good to go.
[00:49:32.151 --> 00:49:43.974]  And it was named Truth Vibrations because it was based on the fact that I was understanding at the time that there was a vibrational change coming that was going to act like an alarm clock.
[00:49:43.974 --> 00:49:45.094]  It was going to wake them up.
[00:49:45.094 --> 00:49:48.655]  It was going to tease open their minds so consciousness could enter.
[00:49:48.655 --> 00:49:52.336]  And at the time, of course, I'm thinking, well, there's no evidence of this whatsoever.
[00:49:52.336 --> 00:49:53.616]  And there wasn't for a few years.
[00:49:53.916 --> 00:49:59.722]  But with the turn into the 21st century, I'm seeing it happening more and more and more.
[00:49:59.722 --> 00:50:00.984]  And it needs to happen.
[00:50:00.984 --> 00:50:04.067]  This is the way we're going to turn this around.
[00:50:04.067 --> 00:50:11.375]  But they're going to push it, obviously, as much as they can to get their structure in place.
[00:50:11.375 --> 00:50:15.479]  But I do sense a feeling of increasing panic.
[00:50:16.480 --> 00:50:29.977]  Every day they take to do it, more and more people are waking up, and I'm very optimistic, not that there's not going to be some enormous, real big challenges to come, but I'm getting more and more optimistic.
[00:50:29.977 --> 00:50:34.663]  And you know, it's a phrase I use from time to time.
[00:50:35.698 --> 00:50:40.642]  Life tends to give us our greatest gifts brilliantly disguised as our worst nightmares.
[00:50:40.642 --> 00:50:50.749]  You know, sometimes what appears to be our worst nightmare turns out to be our greatest gift, like massive ridicule for me in the early 1990s right up to, you know, almost the year 2000.
[00:50:50.749 --> 00:51:00.837]  I went through incredible ridicule in Britain, but it set me free because it set me free of concern about what people thought of me, which allowed me to open my mind and allow consciousness in.
[00:51:01.497 --> 00:51:10.825]  And some of these challenges, you know, which we don't like, I mean, who does, are actually going to wake a lot of people up and set them free.
[00:51:10.825 --> 00:51:17.751]  There's a line in a song which goes, um, freedom's just another word for nothing left to lose.
[00:51:17.751 --> 00:51:24.297]  And you know, when we think we've got something to lose, that reptilian brain survival mechanism is controlling us.
[00:51:24.297 --> 00:51:26.819]  Oh my goodness, yes, anything, I don't want to lose anything.
[00:51:27.339 --> 00:51:30.260]  But when you lose it, then you go, well, hold on a second.
[00:51:30.260 --> 00:51:31.501]  What have I actually lost?
[00:51:31.501 --> 00:51:32.441]  This is okay.
[00:51:32.441 --> 00:51:33.582]  I can deal with this.
[00:51:33.582 --> 00:51:34.883]  And actually, life's nicer.
[00:51:34.883 --> 00:51:45.468]  And it's funny that people... I talk to so many people who lived through the Second World War in Britain who say life was much nicer during the war, because people were nicer to each other and all the rest of it.
[00:51:45.468 --> 00:51:52.591]  They never had much, but they were helping each other because they never had much, in ways that as soon as the war was over, every man for himself, all that stopped.
[00:51:52.591 --> 00:51:54.712]  And my goodness me, has it stopped now?
[00:51:54.872 --> 00:52:00.575]  And it also made them enjoy things more because they had less... They smelled the roses.
[00:52:00.575 --> 00:52:05.557]  They smelled the roses because they thought they didn't know how long the roses were going to be there to be smelled.
[00:52:05.557 --> 00:52:10.540]  And, you know, there's so many challenges, Alex, which, and I've had some big ones in my life.
[00:52:10.540 --> 00:52:11.600]  We all have.
[00:52:11.600 --> 00:52:19.384]  When I look back, I think I didn't like it at the time, but I wouldn't change a thing because I am what I am, not despite that, but to a large extent because of it.
[00:52:19.824 --> 00:52:21.205]  Well, there's that.
[00:52:21.205 --> 00:52:38.076]  If we see that, if we experience these challenges from that perspective rather than, oh my god, reptilian brain, then not only are we going to get through them with less pain and all the rest of it, we're actually going to think straight in a way that's going to allow us to get through them in a much more effective way.
[00:52:38.988 --> 00:52:55.285]  Absolutely and the point I was going to add is that so many people in these pyramidal power structures, they are just as imprisoned as lowly little minions of the system and more and more I'm talking to people that think of themselves as the elite and they're beginning to realize
[00:52:55.905 --> 00:52:57.066]  This is a prison.
[00:52:57.066 --> 00:52:59.608]  They're beginning to realize they're drinking sodium fluoride.
[00:52:59.608 --> 00:53:00.970]  Their kids are drinking it.
[00:53:00.970 --> 00:53:06.434]  They're beginning to realize that this system affects everybody.
[00:53:06.434 --> 00:53:14.581]  And they're beginning to realize that the television and the culture and the dumbing down is taking their children from them and destroying their own destiny.
[00:53:15.262 --> 00:53:29.011]  So I'd like you to speak to that, and then I want to bring up Rolling Stone Magazine that I just happened to see laying there on the Commons table at the Emmes building where I was doing the Sunday radio show, syndicated show.
[00:53:29.011 --> 00:53:41.798]  I want to break this down, what Ray Kurzweil is saying, and we've got our vision of the future, liberty, freedom, you know, dynamic human spirit, and a new renaissance, you know, to the power of a trillion, versus
[00:53:42.799 --> 00:53:47.626]  Versus their renaissance, a very dark renaissance in their own words.
[00:53:47.626 --> 00:53:51.772]  They just say that it's beautiful, but clearly it's quite ugly.
[00:53:51.772 --> 00:53:53.395]  But I mean, can you speak to the point I just made?
[00:53:55.293 --> 00:54:17.466]  That's a point I make as often as I can, because we go back to the sheep policing the herd, the sheep policing themselves, because when you're talking about people in full awareness of this agenda and in full support of advancing it, you're talking about a dramatically fewer
[00:54:18.827 --> 00:54:32.835]  You're certainly not looking at enough to administer the institutions of control that we see across global society, so you need people in your target population to
[00:54:33.875 --> 00:54:35.476]  Do the administration for you.
[00:54:35.476 --> 00:54:48.264]  This is why when you look at the pyramid structure of these organizations and these secret societies, whatever, you're looking at the few at the top in full awareness of what it's all about.
[00:54:48.264 --> 00:54:55.709]  And as you go further and further down the pyramid, you each step down, know less and less and less and less about the big picture, only their part in it.
[00:54:55.709 --> 00:54:59.372]  And so they've got, right across the system, people in dark suits and
[00:55:00.502 --> 00:55:15.120]  And they're like, who are administering this system, and are worlded to it in terms of their subordination to it, or don't rock the boat, or don't step out of line, don't say anything.
[00:55:15.120 --> 00:55:19.405]  They get to dominate those under them, and they get dominated from those above them.
[00:55:19.405 --> 00:55:20.466]  It's a psycho system.
[00:55:20.706 --> 00:55:33.191]  Yes it is, and what we need to do, this is a very important area, is to get those people to actually, again, look around them, take a deep breath, and just look at it again.
[00:55:33.191 --> 00:55:45.316]  And by connecting dots, you can let people who are in those systems realise how their dot connects with everyone else's, because stopping them realising that is how they're
[00:55:45.536 --> 00:55:45.896]  I don't know.
[00:55:45.896 --> 00:55:46.376]  I don't know.
[00:56:14.531 --> 00:56:28.896]  And administered around the world to build this police state is done by people who are themselves and their children and grandchildren are going to be subjected to that police state that they're helping to build.
[00:56:28.896 --> 00:56:29.396]  And talk about a fraud!
[00:56:29.396 --> 00:56:35.158]  They need to protect their own families, you know, and they need to start stepping out of that pyramid.
[00:56:35.158 --> 00:56:42.840]  Because when they do, and refusing to play a part in it, because when they do the pyramid collapses because they're holding it up.
[00:56:43.240 --> 00:56:45.641]  Let me throw a point in here, David.
[00:56:45.641 --> 00:56:46.462]  Let me throw a point in.
[00:56:46.462 --> 00:57:02.550]  I mean, to talk about how it's all a facade and all a matrix illusion, look at the world banking system out of fiat currency with a handful of less than 15 families who rule the planet because they bought off governments to say that they issued the backing of the money.
[00:57:02.550 --> 00:57:08.753]  I mean, it's all just a fraud and then out of that, what they're doing right now economically, trying to bankrupt things,
[00:57:09.073 --> 00:57:13.777]  So we have to defend, depend on the state, and have to be under their control.
[00:57:13.777 --> 00:57:15.659]  Looks like a desperate gamble.
[00:57:15.659 --> 00:57:22.305]  Yeah, we have to say, we have to say, no, we're not building our own prison anymore, and then something fantastic happens.
[00:57:22.305 --> 00:57:27.409]  We stop building our own prison, and the next thing is, the prison isn't being built, and there is no prison.
[00:57:27.409 --> 00:57:34.055]  Look how many people work for the banking system, and administer it, and make it happen, compared with the number of people that own it.
[00:57:34.055 --> 00:57:34.896]  It's fantastic.
[00:57:36.587 --> 00:57:40.671]  David Icke, let's come back and talk about solutions, and at the bottom of the hour, start taking phone calls.
[00:57:40.671 --> 00:57:43.715]  I'm also going to get into this.
[00:57:43.715 --> 00:57:46.618]  They say the elite are going to live forever in Rolling Stone.
[00:57:46.618 --> 00:57:48.640]  Oh, I thought I heard that in Endgame.
[00:57:48.640 --> 00:57:49.320]  We'll break it down.
[00:57:52.605 --> 00:57:54.266]  Hello friends, this is Alex Jones.
[00:57:54.266 --> 00:57:59.008]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:57:59.008 --> 00:58:01.969]  We need to be independent, and food and water is the key.
[00:58:01.969 --> 00:58:05.030]  You'll never have to stand in a bread line if you have your own bread.
[00:58:05.030 --> 00:58:08.652]  You'll never have to go to the Superdome and beg for FEMA to take care of your family.
[00:58:08.832 --> 00:58:14.337]  In any emergency, if you simply prepare, no one is going to take care of your family in the final equation but you.
[00:58:14.337 --> 00:58:21.323]  You know, efoodsdirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:58:21.323 --> 00:58:24.606]  And they do it at almost half the cost of last year's grocery prices.
[00:58:24.606 --> 00:58:24.866]  Call 1-800-409-5633.
[00:58:24.866 --> 00:58:26.487]  Or on the web, go to efoodsdirect.com.
[00:58:29.750 --> 00:58:36.014]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-stride, and dehydrated foods they have to offer.
[00:58:36.014 --> 00:58:39.776]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:58:39.776 --> 00:58:41.177]  Again, 800-409-5633, or on the web at eFoodsDirect.com.
