[00:00:12.599 --> 00:00:14.121]  Or call 888-766-6066.
[00:24:38.912 --> 00:24:43.633]  All of this going on and happening, saying, no, we're going to keep the secret tribunals, all of this.
[00:24:44.463 --> 00:24:45.644]  Now it's not in the news.
[00:24:46.064 --> 00:24:47.185]  Now it's not being discussed.
[00:24:47.205 --> 00:24:50.908]  I'm going to take a lot of calls today with your take on this situation.
[00:24:50.928 --> 00:24:50.968]  877-590-5525.
[00:24:50.988 --> 00:24:51.028]  877-590-5525.
[00:24:51.048 --> 00:24:53.190]  Now I know folks in Mexico have trouble calling toll-free numbers.
[00:25:00.416 --> 00:25:09.060]  So dial 512-836-0590 for our namesake, the station we broadcast out of, syndicate out of, News Radio 590 KLBJ.
[00:25:09.760 --> 00:25:15.122]  It's 512-836-0590 from folks in Mexico.
[00:25:15.162 --> 00:25:23.265]  We did get some YouTube videos posted from reporters known by me as being credible in the past, up on Infowars.com for Godlike Productions and others.
[00:25:24.065 --> 00:25:25.106]  And they're down there.
[00:25:26.351 --> 00:25:31.936]  Reporting that, and then I did confirm, my wife speaks and reads Spanish, so I printed off some articles, showed them to her.
[00:25:32.477 --> 00:25:39.844]  I did confirm that you have Mexico City locked down in areas for food and water getting in.
[00:25:39.864 --> 00:25:47.391]  The stores are empty in many cases, and people began demonstrating and had some small riots over the fact that there's running out of food and water.
[00:25:48.815 --> 00:25:54.239]  And there's video of the riot police marching off to go after them in Mexico City up on Infowars.com.
[00:25:54.299 --> 00:25:56.701]  And that was about 36 hours ago.
[00:25:57.021 --> 00:25:57.962]  That broke Friday night.
[00:25:58.943 --> 00:26:00.984]  So all of this is going on.
[00:26:01.445 --> 00:26:04.027]  So it's a man-made crisis out of this hysteria.
[00:26:04.147 --> 00:26:08.170]  And they're pulling people off planes who are sweating and have a fever.
[00:26:09.420 --> 00:26:15.484]  They are in the United States, they're in North Carolina have checkpoints and if you're sick you disappear at the border.
[00:26:15.824 --> 00:26:16.705]  If you're sick as U.S.
[00:26:16.725 --> 00:26:18.245]  citizens, they drag you off to quarantine.
[00:26:18.446 --> 00:26:22.088]  They're quarantining hotels in Canada, the U.S., Europe, China.
[00:26:22.748 --> 00:26:25.010]  All of this fear-mongering for something that's killed.
[00:26:27.051 --> 00:26:28.652]  The documented number is 12 people.
[00:26:28.692 --> 00:26:30.433]  They say it might have killed a couple hundred worldwide.
[00:26:30.453 --> 00:26:31.934]  There's a few thousand cases worldwide.
[00:26:32.334 --> 00:26:34.275]  This is ridiculous.
[00:26:35.916 --> 00:26:36.657]  But meanwhile,
[00:26:37.970 --> 00:26:39.792]  They're announcing to you the new rules.
[00:26:40.593 --> 00:26:41.674]  Okay, Americans.
[00:26:41.814 --> 00:26:42.795]  Okay, Canadians.
[00:26:42.915 --> 00:26:43.976]  Okay, Australians.
[00:26:44.777 --> 00:26:45.938]  Australia is really fairmongering.
[00:26:49.101 --> 00:26:50.723]  We may have to lock down the cities.
[00:26:50.763 --> 00:26:53.065]  You may have to get 14-day supply of food and water.
[00:26:53.786 --> 00:26:55.388]  We may lock down buildings.
[00:26:55.528 --> 00:26:56.188]  They've already done that.
[00:26:56.769 --> 00:26:58.571]  Towns, counties, cities, states.
[00:27:00.072 --> 00:27:07.395]  And forcibly inoculate you, and they're telling you the executive orders of the news, and you're going to have to lose your rights under martial law.
[00:27:07.855 --> 00:27:11.136]  That term is being used on Fox and CBS and CNN.
[00:27:11.156 --> 00:27:11.976]  We've got all the clips.
[00:27:11.996 --> 00:27:13.117]  I think I'll play one later.
[00:27:14.497 --> 00:27:15.917]  All of this is going on.
[00:27:16.118 --> 00:27:17.318]  All of this is happening.
[00:27:18.427 --> 00:27:18.907]  For nothing.
[00:27:18.967 --> 00:27:19.588]  It's a psyop.
[00:27:20.188 --> 00:27:23.551]  And they said, we think this flu may mutate in the fall.
[00:27:23.951 --> 00:27:25.673]  So you better take your forced inoculation in.
[00:27:25.693 --> 00:27:27.074]  So this is kind of a primer.
[00:27:27.574 --> 00:27:36.902]  And then we also noticed they had unprecedented FEMA drills all over the United States, from Austin, Texas to New York City, just everywhere, of forced inoculations at schools.
[00:27:36.982 --> 00:27:39.024]  From Alaska to Dallas, Texas.
[00:27:39.324 --> 00:27:40.905]  Drills of forced inoculations.
[00:27:40.945 --> 00:27:42.426]  You just Google inoculation drill.
[00:27:43.047 --> 00:27:47.090]  That were scheduled months ago for this last week and next week so people would comply.
[00:27:49.164 --> 00:27:49.804]  And be part of it.
[00:27:50.324 --> 00:27:51.965]  They've had drills everywhere.
[00:27:52.005 --> 00:27:56.226]  They've had mass FEMA camp drills and mass grave drills.
[00:27:56.266 --> 00:27:57.106]  And they've been calling.
[00:27:57.907 --> 00:28:01.388]  We've documented and linked up the mainstream news articles and the internal documents.
[00:28:03.308 --> 00:28:04.369]  Mass graves confirmed.
[00:28:04.409 --> 00:28:05.089]  Infowars.com.
[00:28:05.129 --> 00:28:05.849]  Just Google that.
[00:28:05.869 --> 00:28:06.329]  It'll come up.
[00:28:06.349 --> 00:28:08.030]  We have a data page with all the mainstream links.
[00:28:08.330 --> 00:28:09.590]  Rocky Mountain News admitting.
[00:28:09.890 --> 00:28:11.131]  Mobile incinerators.
[00:28:11.251 --> 00:28:12.671]  Mass graves being prepared.
[00:28:13.111 --> 00:28:15.632]  All of this for months and months and months and months before this.
[00:28:15.912 --> 00:28:18.073]  At a level of activity we've never seen before.
[00:28:20.649 --> 00:28:33.013]  Because they decided to just hype some man-made virus that no doubt some government lab or private lab put out so they can now hype that they've got the vaccine in the fall and then reintroduce something new or maybe they know it's going to mutate.
[00:28:33.253 --> 00:28:40.275]  We don't know, but I'm telling you, this has got all the hallmarks of a total operation and there's no doubt that virus is manufactured, period.
[00:28:41.912 --> 00:28:42.772]  So am I ranting?
[00:28:42.812 --> 00:28:43.092]  Yes.
[00:28:43.273 --> 00:28:56.757]  I'm upset about this because I've been telling you for years, I believe their next move will be a staged bioweapons release and I said on record, I know these people, they'll have some false flag, false start beta tests first to practice their federal takeovers.
[00:28:58.358 --> 00:29:02.460]  And most of the political scientists say that by next fall, next winter, definitely by next summer.
[00:29:02.740 --> 00:29:03.480]  Maybe even this summer.
[00:29:04.963 --> 00:29:07.144]  They're already happening in Europe, Eastern Europe, Asia.
[00:29:07.244 --> 00:29:09.225]  Riots over the collapsing economy.
[00:29:09.745 --> 00:29:10.866]  Over the police state, all this.
[00:29:11.166 --> 00:29:23.531]  And then every time you try to go out and take over your government, take your government back, they'll release a bio-weapon or a bio-sim, that's what this clearly is, and lock everything down in the name of keeping everybody safe.
[00:29:24.211 --> 00:29:31.374]  Okay, now when we come back, I'm gonna take phone calls, but next hour, I'm gonna let you know about the latest gun grab, and this is serious, and a lot more.
[00:29:31.414 --> 00:29:32.475]  Your call, straight ahead.
[00:29:33.561 --> 00:29:36.583]  Would you give someone $100 for a $10 bill?
[00:29:36.964 --> 00:29:41.187]  If you're taking vitamins and minerals in a pill form, that's exactly what you're doing.
[00:29:41.407 --> 00:29:43.589]  Hello, my name is Dr. David Friedman.
[00:29:43.929 --> 00:29:49.874]  According to the physician's desk reference, many vitamins and minerals in a pill form are 10% absorbed.
[00:29:50.194 --> 00:29:56.519]  It doesn't take a mathematician to figure out for every $100 you spend on these pills, you're flushing $90 down the toilet.
[00:29:57.740 --> 00:29:59.764]  Start absorbing the nutrients you swallow.
[00:30:00.024 --> 00:30:07.135]  Introducing Chews for Health, a delicious tasting chewable containing 16 super fruits, seed vegetables, and antioxidants.
[00:30:07.395 --> 00:30:09.298]  You know, you work hard for your money.
[00:30:09.559 --> 00:30:11.802]  Isn't it time to start getting what you pay for?
[00:30:12.143 --> 00:30:12.764]  Order today!
[00:30:12.944 --> 00:30:13.164]  1-800-210-1922.
[00:30:13.184 --> 00:30:19.771]  With Choose for Health, your body gets to keep the nutrients you swallow.
[00:30:19.992 --> 00:30:26.439]  The first 300 callers are going to receive a free copy of my best-selling CD, America's Unbalanced Diet.
[00:30:26.459 --> 00:30:26.519]  1-800-210-1922.
[00:30:26.539 --> 00:30:27.440]  Or go to orderchoose.com.
[00:30:33.698 --> 00:30:35.580]  The world appears to be on the brink of collapse.
[00:30:35.880 --> 00:30:42.746]  Experts say a pinch of heirloom vegetable seed could soon be the most valuable resource on earth because it will provide healthy food now and every year after.
[00:30:43.006 --> 00:30:48.851]  Survivalistseeds.com now has the heirloom garden seed time capsule, allowing you to store your seeds for the future anywhere.
[00:30:48.991 --> 00:30:49.852]  Even underground.
[00:30:49.912 --> 00:31:02.122]  For 100 years, the Heirloom Garden Seed Time Capsule can withstand 3 tons of weight, is 100% roto-proof, waterproof, and comes with a whopping 6,000 healthy vegetable seeds from 20 varieties that will grow anywhere in the USA.
[00:31:02.302 --> 00:31:03.523]  Unless you trust the government.
[00:31:03.563 --> 00:31:08.848]  The Heirloom Garden Seed Time Capsule and Heirloom Seeds from survivalistseeds.com is your long-term food solution.
[00:31:09.088 --> 00:31:13.669]  Our competition charges $0.10 to $1.25 per seed for these same heirloom varieties.
[00:31:13.709 --> 00:31:21.371]  But you can now have a head of lettuce, a bundle of carrots, a basket of tomatoes, a giant watermelon, and 16 other varieties for about a penny a seed each!
[00:31:21.391 --> 00:31:22.111]  Be prepared!
[00:31:22.191 --> 00:31:27.312]  Buy your heirloom seeds today from SurvivalistSeeds.com and have food insurance for your family forever!
[00:31:27.412 --> 00:31:29.172]  Visit SurvivalistSeeds.com.
[00:31:29.232 --> 00:31:33.153]  SurvivalistSeeds.com is owned by Big John Lipscomb, host of the Don't Tread on Me radio show.
[00:31:33.513 --> 00:31:35.015]  Alex Jones here with a question.
[00:31:35.195 --> 00:31:36.657]  What does humidity mean to you?
[00:31:36.938 --> 00:31:39.180]  Most people think of hot and sticky summer days.
[00:31:39.621 --> 00:31:44.387]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:31:44.767 --> 00:31:47.631]  That's why I'd like you to visit acolablue.com.
[00:31:47.971 --> 00:31:51.496]  Acolablue is a state-of-the-art atmospheric water generator.
[00:31:51.856 --> 00:32:03.868]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:32:04.408 --> 00:32:06.390]  Finally, drinking water that you control.
[00:32:06.410 --> 00:32:07.711]  I use one every day.
[00:32:08.132 --> 00:32:10.594]  Say goodbye to expensive water delivery services.
[00:32:10.894 --> 00:32:12.375]  Call Ecolablue right now at 1-800-691-6043.
[00:32:12.395 --> 00:32:12.715]  That's 1-800-691-6043.
[00:32:12.735 --> 00:32:14.756]  Or visit Ecolablue at E-C-L-L-O-B-L-U-E dot com today.
[00:32:35.803 --> 00:32:37.303]  Is it safe, secure, and healthy?
[00:32:37.743 --> 00:32:41.644]  Did you know most of our food is now contaminated with genetically modified ingredients?
[00:32:42.205 --> 00:32:50.587]  We at Baker Creek Heirloom Seed Company have been helping people get pure garden seed for 12 years and carry over 1,200 varieties of GMO-free heirloom seed.
[00:32:51.207 --> 00:32:54.567]  Go to www.rareseeds.com for more information.
[00:32:55.028 --> 00:32:56.348]  That's rareseeds.com.
[00:32:57.108 --> 00:33:01.729]  Baker Creek Heirloom Seed Company was started in 1998 by a 17-year-old as a hobby.
[00:33:02.169 --> 00:33:05.090]  It was developed out of a passion for preserving our vegetable heritage.
[00:33:05.794 --> 00:33:11.855]  The company now offers the largest selection of pure heirloom seeds strive every year to bring back varieties like our forefathers grew.
[00:33:12.556 --> 00:33:16.036]  In times like these we can't trust the government to keep our seeds safe.
[00:33:16.717 --> 00:33:20.557]  Every year at Baker Creek we work to preserve the best of the oldest for future gardeners.
[00:33:21.258 --> 00:33:24.498]  We also offer affordable seed collections for long-term storage.
[00:33:24.918 --> 00:33:29.860]  Go to www.rareseeds.com and get your seeds from America's pure seed source.
[00:33:30.340 --> 00:33:31.800]  That's rareseeds.com.
[00:33:34.780 --> 00:33:41.106]  You're listening to GCN, the Genesis Communications Radio Network.
[00:33:43.148 --> 00:33:47.652]  Mama told me when I was young, she sat beside me.
[00:34:02.961 --> 00:34:03.722]  Read the treaty.
[00:34:03.782 --> 00:34:05.243]  Go up to Infowars.com.
[00:34:05.303 --> 00:34:07.164]  You can go read it for yourself.
[00:34:07.224 --> 00:34:14.529]  It states that civilian ownership of firearms will be completely curtailed for a power monopoly of the state.
[00:34:15.050 --> 00:34:18.512]  Power monopoly of the state is a nice way to say dictatorship.
[00:34:19.673 --> 00:34:22.355]  That's the criminal UN bought and paid for by the big banks.
[00:34:23.016 --> 00:34:25.898]  Openly setting up a new bank of the world you'll pay your carbon taxes to.
[00:34:26.844 --> 00:34:31.067]  It'll be just like China is today, or Nazi Germany was, or Soviet Russia.
[00:34:31.447 --> 00:34:40.673]  When you're disarmed, the government can suck everything it wants off of you, while the offshore banks sit outside the tyrannical nations and play them off against each other.
[00:34:41.853 --> 00:34:49.478]  And yes, it's 112 co-sponsors, so far on record at Thomas.gov, titled to amend
[00:34:51.542 --> 00:35:03.405]  Title 31 United States Code to reform the manner in which the Board of Governors of the Federal Reserve System is audited by the Comptroller General of the United States, and the manner in which such audits are reported, and for other purposes.
[00:35:04.166 --> 00:35:06.166]  And that's written by Ron Paul.
[00:35:06.206 --> 00:35:11.468]  Congressman Ron Paul now has 112 sponsors, up from 80-something a couple weeks ago.
[00:35:11.488 --> 00:35:14.448]  He had, what, 87 sponsors when he was on the show a week and a half ago?
[00:35:15.409 --> 00:35:19.730]  Just absolutely amazing to have that going on and happening.
[00:35:21.030 --> 00:35:22.970]  Back in the 80's there was a big fracas.
[00:35:23.150 --> 00:35:25.831]  Ron Paul talked about this a few weeks ago on the show about auditing the Fed.
[00:35:25.911 --> 00:35:27.431]  So the Fed did a trick.
[00:35:27.471 --> 00:35:31.492]  They passed a law saying audit it that said it was illegal to audit it.
[00:35:31.772 --> 00:35:33.973]  And the only audit could be of office supplies.
[00:35:34.093 --> 00:35:35.653]  So the pencils and chairs.
[00:35:36.553 --> 00:35:37.813]  Not what the money does!
[00:35:38.273 --> 00:35:49.016]  And so now congressmen during these hearings will ask the private Fed head Bernanke who's stolen $12.8 trillion so far going to Bloomberg and AP to give it to offshore private banks that you pay your taxes to the IRS.
[00:35:49.116 --> 00:35:50.676]  That's where the money goes directly.
[00:35:51.283 --> 00:35:55.144]  As Reagan said, not one cent of your tax money, of income tax, goes around the nation.
[00:35:55.625 --> 00:35:56.745]  It's all the other taxes that do.
[00:35:57.285 --> 00:36:00.746]  Literally goes to these private bankers, and Bernanke says, I won't answer the question.
[00:36:00.786 --> 00:36:01.747]  I won't say where the money is.
[00:36:02.127 --> 00:36:02.767]  I don't have to.
[00:36:03.027 --> 00:36:04.368]  In fact, folks don't believe that.
[00:36:05.228 --> 00:36:06.288]  Let's play this again later.
[00:36:06.709 --> 00:36:11.130]  Google on YouTube for me, Alan Greenspan says Fed above the law from Laird NewsHour.
[00:36:11.530 --> 00:36:15.492]  We're going to play that later, but I promise, I'm going to your calls for the rest of the hour.
[00:36:16.474 --> 00:36:27.642]  Next hour, I'm going to get into the gun ban treaty, ban reloading, ban changing anything on your gun, ban the sale of many types of firearms, and it'll all be under U.N.
[00:36:27.682 --> 00:36:28.262]  control.
[00:36:28.362 --> 00:36:34.447]  See, that's a blank check approach, where they just, just like under NAFTA and GATT, the World Trade Organization controls all U.S.
[00:36:34.467 --> 00:36:35.227]  trade issues now.
[00:36:35.587 --> 00:36:36.928]  Congress signed away its authority.
[00:36:37.188 --> 00:36:38.369]  Well, that's what this does.
[00:36:38.890 --> 00:36:41.191]  And Obama has said that he wants this.
[00:36:41.251 --> 00:36:44.934]  So, remember, this is a guy who, when he was in the Senate,
[00:36:46.600 --> 00:36:50.904]  of the state of Illinois wrote bills for the complete gun ban statewide.
[00:36:50.944 --> 00:36:52.465]  They want a Chicago-style gun ban.
[00:36:52.505 --> 00:36:54.847]  Then his Attorney General argued last year in the D.C.
[00:36:54.867 --> 00:36:56.848]  gun ban case before the Supreme Court.
[00:36:57.349 --> 00:36:58.270]  He's such a gun grabber.
[00:36:58.310 --> 00:37:00.291]  He was the lawyer arguing against the Second Amendment.
[00:37:00.351 --> 00:37:03.454]  He said, I agree with total gun ban of the citizens.
[00:37:03.514 --> 00:37:06.196]  Only police and military should own any firearms.
[00:37:06.536 --> 00:37:08.858]  Black powder, single shot, they don't care.
[00:37:09.258 --> 00:37:10.419]  Now they rule America.
[00:37:10.779 --> 00:37:12.541]  These are parasites for foreign banks.
[00:37:13.141 --> 00:37:13.241]  Hello.
[00:37:38.237 --> 00:37:46.240]  I was going to talk about some of the teenagers and stuff like that, how they're taking an effort to bring the message into their high schools.
[00:37:47.720 --> 00:37:49.241]  What, the message of liberty and freedom?
[00:37:49.281 --> 00:37:50.341]  Or the message of slavery?
[00:37:50.981 --> 00:37:52.001]  No, of truth.
[00:37:52.482 --> 00:37:53.742]  Good.
[00:37:53.842 --> 00:38:00.964]  I'm trying to compile a massive report about the truth movement, everything you mentioned.
[00:38:01.504 --> 00:38:03.605]  And I'm trying to go into
[00:38:04.375 --> 00:38:08.039]  Yeah, go in front of the teachers and go in front of the class and start speaking about this.
[00:38:21.104 --> 00:38:28.968]  Dumb down and stupefy the public where they have no basic understanding of anything, history, nothing in these government training camps.
[00:38:29.408 --> 00:38:32.029]  The federal testing is to make sure the dumbing down is working.
[00:38:32.530 --> 00:38:33.970]  And it is.
[00:38:34.551 --> 00:38:36.992]  And so use these camps against them.
[00:38:37.112 --> 00:38:42.535]  Fight back in the gulag where they have the cameras and the surveillance and the brainwashing.
[00:38:42.895 --> 00:38:47.417]  Fight back and educate inside the government indoctrination camp.
[00:38:48.155 --> 00:38:49.056]  Exactly, exactly.
[00:38:49.076 --> 00:38:50.977]  I have that book, actually.
[00:38:51.717 --> 00:38:55.339]  I haven't read all of it yet, but I'm trying to look through different books.
[00:38:55.540 --> 00:38:57.581]  It's the size of a phone book.
[00:38:57.621 --> 00:38:58.742]  It's mainly government documents.
[00:38:59.122 --> 00:39:01.443]  How they scientifically annihilate young minds.
[00:39:04.245 --> 00:39:12.370]  I gave the Obama deception, I gave the disc to Congressman Tim Ryan for 17th District.
[00:39:13.831 --> 00:39:14.491]  I gave it to him.
[00:39:16.590 --> 00:39:17.630]  I'm hoping he looks at that.
[00:39:17.750 --> 00:39:19.191]  That was a great video by the way.
[00:39:35.094 --> 00:39:42.436]  I heard about it, I think, before you mentioned it or something like that, and, uh, you know, I know it was a man-made virus.
[00:39:42.477 --> 00:39:45.438]  Well, notice how it's tailored to be completely engineered.
[00:39:45.838 --> 00:39:50.219]  And now the scientists are admitting that's what freaked them out, is this sucker has never before been seen.
[00:39:51.500 --> 00:39:51.740]  Yeah.
[00:39:53.100 --> 00:39:55.221]  Um, let's just see, uh... Hey, listen, I got a job.
[00:39:55.261 --> 00:39:55.921]  It's good to hear from you.
[00:39:55.941 --> 00:39:56.521]  I appreciate it.
[00:39:56.581 --> 00:39:57.682]  Chris in Florida.
[00:39:57.962 --> 00:39:58.662]  Chris, you're on the air.
[00:39:59.648 --> 00:40:08.372]  It's totally amazing that after a hundred days, which might be coincidental in the recent events of the bird flu, that our great leader is so calm during a crisis.
[00:40:10.132 --> 00:40:12.253]  Well, absolutely, and it's interesting.
[00:40:12.373 --> 00:40:15.835]  It doesn't deflect at all, I don't think, from the President.
[00:40:16.175 --> 00:40:18.196]  Sir, are you angry at Chairman Obama?
[00:40:19.856 --> 00:40:20.537]  No, I'm not.
[00:40:20.557 --> 00:40:22.517]  You know, he has a little blue book, his people.
[00:40:22.537 --> 00:40:26.379]  Literally, they have a little Obama book that looks just like the Mao one, but it's blue.
[00:40:26.439 --> 00:40:26.919]  It's not red.
[00:40:29.908 --> 00:40:34.814]  Oh, and by the way, we've confirmed the Obama acorn people, with billions of dollars of U.S.
[00:40:34.854 --> 00:40:42.663]  funding, go around to people's doors knocking on them, saying, if you support Obama, and then they GPS your house and mark down whether you're a supporter or not.
[00:40:42.883 --> 00:40:44.706]  His own private army marking us!
[00:40:45.046 --> 00:40:48.250]  Soon we'll be wearing yellow stars if he doesn't like us!
[00:40:49.417 --> 00:41:04.547]  Well, I was amazed to hear on my local community-sponsored station, WMNF.org today, so many of the former Obama apologists were calling in that I was expecting to continue apologizing because the subject was the first 100 days.
[00:41:06.088 --> 00:41:12.093]  I would credit you mainly with them saying that Obama is a front man for the, quote, New World Order, end quote.
[00:41:12.153 --> 00:41:19.119]  And I just, you know, I don't use those words very often when I call in, and there are a few, very few other callers of like mind who call in.
[00:41:19.139 --> 00:41:23.822]  And so suddenly you're hearing the very points we make here over and over again from the Obama deception.
[00:41:23.863 --> 00:41:26.665]  Number one on the web, five weeks running, very exciting.
[00:41:27.005 --> 00:41:30.228]  We are breaking the paradigm, and I am really asking for him to crush me.
[00:41:31.028 --> 00:41:35.472]  But I'm too committed to this now to care, and I am, again, in through and beyond.
[00:41:35.492 --> 00:41:36.293]  That's exciting to hear.
[00:41:36.313 --> 00:41:39.956]  Well, I'm worried about these other community-sponsored stations around the country.
[00:41:39.976 --> 00:41:43.899]  I've heard they've been victims of arson in the past, and I heard... Wow.
[00:41:49.804 --> 00:41:55.989]  Okay, let's go ahead and take a call from Robert in Texas.
[00:41:56.450 --> 00:41:57.911]  Robert in Texas, you're on the air.
[00:41:58.877 --> 00:42:00.158]  The legendary Alex Jones.
[00:42:00.178 --> 00:42:00.778]  How are you doing?
[00:42:01.198 --> 00:42:01.518]  Good, sir.
[00:42:01.538 --> 00:42:02.178]  Good to talk to you.
[00:42:02.198 --> 00:42:03.699]  The legendary Robert from Texas.
[00:42:04.039 --> 00:42:05.160]  Well, hey, you know, whatever.
[00:42:05.200 --> 00:42:06.360]  Hey, we are all legend.
[00:42:06.380 --> 00:42:15.304]  We're living on an awesome planet with weird green trees growing and big crystal clear lakes and stars at night and clouds and... And crazy guys worshiping owls.
[00:42:15.764 --> 00:42:17.525]  And crazy guys in a bohemian grove.
[00:42:17.545 --> 00:42:19.926]  Christian conservatives having homosexual orgies.
[00:42:19.966 --> 00:42:20.186]  Yes.
[00:42:20.826 --> 00:42:21.666]  It's very bizarre.
[00:42:39.031 --> 00:42:47.499]  And I looked back while I was loading my car up, and I didn't see anybody before, but when I looked back, there was this lady standing there with the GPS thing and a little U.S.
[00:42:47.539 --> 00:42:48.239]  Census bag.
[00:42:48.279 --> 00:42:48.599]  No, no, no.
[00:42:48.660 --> 00:42:49.300]  It's confirmed.
[00:42:49.340 --> 00:42:52.443]  What they've done is they've hired acorn people and others with $2 billion.
[00:42:52.683 --> 00:42:54.164]  This is admitted with the stimulus money.
[00:42:54.485 --> 00:42:55.786]  Another group that got $3 billion.
[00:42:56.446 --> 00:42:59.909]  And they are going around GPS-ing whether or not you support Obama.
[00:43:00.570 --> 00:43:03.653]  Yeah, and it was... I just think it's weird because... What did you say to this scumbag?
[00:43:04.298 --> 00:43:13.361]  Yeah, there was an article that you had that said there's some kind of coinciding pattern with the swine flu word out where it breaks out and then where they're doing the details.
[00:43:13.381 --> 00:43:15.241]  I mean, what did you say to this little Stasi?
[00:43:15.602 --> 00:43:28.646]  What did you say to this Nazi, this Shycom, this Imperial Guard, this thug, this traitor to freedom, this dirty government agent, this piece of filth, this un-American piece of trash, everything that's bad about the planet?
[00:43:28.686 --> 00:43:30.086]  What did you say to this little minion of evil?
[00:43:30.966 --> 00:43:32.427]  Hold on, stay there, we'll come back to you.
[00:43:33.619 --> 00:43:34.500]  Ah, springtime.
[00:43:34.940 --> 00:43:40.143]  Now that you've planted your organic garden, how will you keep the bugs away without using toxic chemicals and poisons?
[00:43:40.443 --> 00:43:44.925]  Well, the answer is all-natural insecticides from FreshwaterOrganics.com.
[00:43:45.065 --> 00:43:50.809]  These revolutionary insecticides start with the same organic product that we use in FPP to kill parasites.
[00:43:51.049 --> 00:43:59.373]  We then add a small amount of pyrethrin from chrysanthemum flowers and are mild attracted to offer you the most effective insecticide available anywhere.
[00:43:59.673 --> 00:44:02.315]  It can even be applied up to the day of harvest.
[00:44:02.635 --> 00:44:08.839]  Our natural insecticides work in the home, on plants, and in your garden, killing pests mechanically, not with poisons.
[00:44:09.099 --> 00:44:13.102]  So pests can't develop an immunity, and they won't harm your children or pets.
[00:44:13.482 --> 00:44:22.988]  It's effective against white flies, moths, bedbugs, fleas, roaches, crickets, and more, and safe enough to use on your pets, ridding them of fleas and other pests.
[00:44:23.328 --> 00:44:26.435]  Order now from FreshwaterOrganics.com or call 888-949-3570.
[00:44:26.456 --> 00:44:26.656]  888-949-3570 today!
[00:44:33.797 --> 00:44:39.763]  If you've always wanted to experience the amazing benefits from using oil of oregano, the time to act is now!
[00:44:40.024 --> 00:44:46.470]  With so many places to choose from, where can you be 100% certain you're getting the highest quality oil for your dollar?
[00:44:46.650 --> 00:44:47.912]  The answer is simple.
[00:44:48.112 --> 00:44:49.433]  PureBulk.com!
[00:44:49.633 --> 00:44:54.058]  PureBulk.com brings you ultra-pure, non-diluted oil of oregano with
[00:44:54.158 --> 00:44:54.958]  We're good to go.
[00:45:11.983 --> 00:45:19.165]  With each order, PureBulk.com will send you one dram of Atomic Iodine, a 150-day supply, absolutely free!
[00:45:19.405 --> 00:45:22.707]  Just enter promotional code IODINE at website checkout.
[00:45:22.847 --> 00:45:26.908]  Visit PureBulk.com, that's PureBulk.com, or call 406-251-3270.
[00:45:26.928 --> 00:45:27.188]  406-251-3270 today!
[00:45:33.829 --> 00:45:39.694]  How would you like to finally be debt free without paying another cent to creditors and not have to file bankruptcy?
[00:45:39.994 --> 00:45:43.437]  DebtCrisisSolutions.com can help free you from the debt trap.
[00:45:43.618 --> 00:45:48.342]  This is not a debt settlement program which has tax consequences or debt consolidation.
[00:45:48.482 --> 00:45:51.945]  With our program, there are no more payments to creditors or collectors.
[00:45:52.185 --> 00:45:52.685]  We're good.
[00:46:09.557 --> 00:46:10.177]  I think so.
[00:46:33.562 --> 00:46:34.083]  You worry.
[00:46:34.243 --> 00:46:36.325]  If you don't, you don't understand the situation.
[00:46:36.585 --> 00:46:36.865]  Hi.
[00:46:37.145 --> 00:46:39.607]  Summer's coming, and now's the time to learn self-sufficiency.
[00:46:39.927 --> 00:46:44.171]  If you're going to eat from nature's bounty of wild edible plants, remember, there's a learning curve.
[00:46:44.471 --> 00:46:46.653]  Experience is the best teacher, but that means time.
[00:46:46.933 --> 00:46:49.956]  To speed it up, you'll need to build on the wisdom of a teacher who has lived it.
[00:46:50.276 --> 00:46:52.017]  Author Linda Runyon is that teacher.
[00:46:52.218 --> 00:46:54.739]  Her Wild Food Knowledge Package is the crash course.
[00:46:55.000 --> 00:46:58.422]  The DVD gives you a three-hour overview of her world directly from her.
[00:46:58.723 --> 00:47:02.826]  The book gives you an in-depth reference with all of the insider know-how you'll ever need.
[00:47:03.146 --> 00:47:06.929]  And her Wild Cards are your portable summary and cheat sheet for your fieldwork.
[00:47:07.229 --> 00:47:13.234]  This three-pronged learning system will take you from spectator to scholar to gourmet survivalist in weeks, not years.
[00:47:13.574 --> 00:47:15.716]  Folks, I can vouch that Linda's the real deal.
[00:47:15.936 --> 00:47:17.597]  She's my mom and I watched her do it.
[00:47:18.037 --> 00:47:19.999]  So go to ofthefield.com or call
[00:47:21.259 --> 00:47:22.220]  888-51-EAT-FREE.
[00:47:22.680 --> 00:47:23.300]  Start now.
[00:47:23.580 --> 00:47:24.540]  Knowledge is power.
[00:47:25.301 --> 00:47:26.121]  Better take action.
[00:47:26.321 --> 00:47:27.321]  I think a storm's coming.
[00:47:33.803 --> 00:47:39.125]  The GCN Radio Network, providing the world with hard-hitting talk radio.
[00:47:39.685 --> 00:47:40.406]  GCN.
[00:47:40.846 --> 00:47:42.806]  Great talk radio starts here.
