[00:00:04.821 --> 00:00:05.461]  It is Monday.
[00:56:46.086 --> 00:56:50.749]  Yes, we've got to expose them and fight them and stand up to them and bring them to justice.
[00:56:50.749 --> 00:56:56.533]  But, purely hating them, we begin to fall to their level.
[00:56:56.533 --> 00:56:58.154]  God help you what you've been part of.
[00:56:58.154 --> 00:56:59.655]  God help you what you've become.
[00:56:59.655 --> 00:57:01.776]  God help you on what you're missing out being good.
[00:57:03.541 --> 00:57:05.802]  We're going to take your calls as I start the next hour.
[00:57:05.802 --> 00:57:08.824]  Mike, Ted, Dennis, Roman, Annie, and others.
[00:57:08.824 --> 00:57:14.807]  About 15 after, we're going to get Kurt and Paul, everybody off the rest of the hour.
[00:57:14.807 --> 00:57:20.550]  I do want to encourage listeners, because of the way things are going, this could be the last film we ever release.
[00:57:20.550 --> 00:57:22.772]  Things are getting dark.
[00:57:22.772 --> 00:57:28.335]  They're talking about shutting off the web, and I know we're getting pretty much surrounded here.
[00:57:28.335 --> 00:57:32.197]  Fall of the Republic, according to
[00:57:33.866 --> 00:57:40.552]  Matt and other people that saw a screening of it Friday night here, they say it is definitely the most powerful film I've ever produced.
[00:57:40.552 --> 00:57:46.476]  Films get better each time, but this is a whole quantum level better and more powerful.
[00:57:46.476 --> 00:57:51.080]  You can pre-order it right now at InfoWars.com and we'll ship them out as the orders come in.
[00:57:51.080 --> 00:57:56.144]  We'll probably be able to ship them a few days before its official release date at PrisonPlanet.tv.
[00:57:56.144 --> 00:57:58.987]  Get the high quality DVD at InfoWars.com.
[00:57:58.987 --> 00:58:00.568]  You pre-order it, it'll be shipped to you first.
[00:58:02.278 --> 00:58:06.601]  We're probably going to have these on the Friday before the 21st.
[00:58:06.601 --> 00:58:07.842]  What is that?
[00:58:07.842 --> 00:58:09.123]  Like the 17th or something?
[00:58:09.123 --> 00:58:09.163]  18th?
[00:58:11.385 --> 00:58:12.046]  We'll be right back.
[00:58:12.046 --> 00:58:12.486]  Stay with us.
[00:58:40.833 --> 00:58:45.589]  America's number one source for independent talk radio for over a decade.
[00:58:48.703 --> 00:58:54.585]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:58:54.585 --> 00:58:56.586]  Do you really know what's in your tap water?
[00:58:56.586 --> 00:59:05.109]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:59:05.109 --> 00:59:10.651]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:59:10.651 --> 00:59:12.272]  Now what are you going to do about it?
[00:59:12.512 --> 00:59:19.034]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:59:19.034 --> 00:59:30.078]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:59:30.078 --> 00:59:30.858]  That's right.
[00:59:30.858 --> 00:59:33.419]  Clean water, right from the air you breathe.
[00:59:33.419 --> 00:59:34.999]  Order today by calling 1-800-691-8255.
[00:59:36.940 --> 00:59:37.400]  Big Brother.
[01:00:06.371 --> 01:00:08.152]  Mainstream media.
[01:00:08.152 --> 01:00:09.894]  Government cover-ups.
[01:00:09.894 --> 01:00:11.475]  You want answers?
[01:00:11.475 --> 01:00:12.396]  Well, so does he.
[01:00:12.396 --> 01:00:17.240]  He's Alex Jones on the GCN Radio Network.
[01:00:17.240 --> 01:00:24.885]  And now, live from Austin, Texas, Alex Jones.
[01:00:24.885 --> 01:00:28.568]  We're gonna be taking your calls throughout the next three hours of broadcast 1-800-259-9231.
[01:00:32.739 --> 01:00:41.561]  We're going to cover extensively the open announcements of the plan to go ahead and strike Iran, the frame-up that is taking place on that front.
[01:00:41.561 --> 01:00:43.302]  Right now, let's go to Mike in Connecticut.
[01:00:43.302 --> 01:00:45.502]  Mike, thanks for holding her on the air.
[01:00:45.502 --> 01:00:46.362]  Hey, how's it going, Alex?
[01:00:46.362 --> 01:00:48.563]  Thank you very much for what you've been doing lately.
[01:00:48.563 --> 01:00:49.763]  Thank you.
[01:00:49.763 --> 01:00:54.484]  I live in a small town in Farmington, the suburbs, and I'm always out and about, you know?
[01:00:54.484 --> 01:00:59.585]  And on the highway, for the past month and a half, I've been seeing so much military activity going on.
[01:00:59.585 --> 01:01:01.786]  I have a bunch of videos I want to send you.
[01:01:02.276 --> 01:01:06.361]  Armored light tanks coming in, a trail of about 13 of them I have recorded.
[01:01:06.361 --> 01:01:09.384]  Military convoys coming in.
[01:01:09.384 --> 01:01:12.648]  Hueys going up by the old military base by us.
[01:01:12.648 --> 01:01:15.071]  And they're getting, it seems like they're getting everything ready for something.
[01:01:15.071 --> 01:01:16.953]  And we've never seen it.
[01:01:16.953 --> 01:01:19.075]  I lived here for 24 years.
[01:01:19.075 --> 01:01:21.959]  And my mother and father never seen any of this happen before in their life.
[01:01:23.386 --> 01:01:25.607]  And I mean, I don't know what's going on.
[01:01:42.079 --> 01:01:46.082]  They first took over part of it, now they've taken over the whole thing.
[01:01:46.082 --> 01:01:56.590]  Helicopters all over the place, military checkpoint videos, pouring in of military coming up to people's cars, asking them if they've had their flu shot.
[01:01:56.590 --> 01:02:06.297]  Clearly they're going to try to use the flu while an Iran attack goes on, if they believe the public will buy it, as the pretext for a domestic clampdown.
[01:02:06.297 --> 01:02:11.421]  Right, and speaking of that too, we live maybe about a thousand feet from the Yukon Medical Center.
[01:02:12.151 --> 01:02:14.993]  And there is so much National Guard there.
[01:02:14.993 --> 01:02:18.455]  I mean, they're giving out in Hartford, the city.
[01:02:18.455 --> 01:02:20.516]  They're giving out vaccines for money.
[01:02:20.516 --> 01:02:22.697]  If you take the vaccine shot, you'll get $50.
[01:02:22.697 --> 01:02:29.081]  And you can clearly see the signs at Walgreens, CVS, everywhere.
[01:02:29.081 --> 01:02:31.983]  And all the local cops, too, even suburb cops.
[01:02:31.983 --> 01:02:34.384]  They're all armed with M16A2s.
[01:02:34.384 --> 01:02:36.786]  I mean, you can clearly see them inside the cop cars.
[01:02:37.541 --> 01:02:42.706]  And they have new BDUs now, and just two weeks ago I recorded... You know what?
[01:02:42.706 --> 01:02:47.510]  They're not just planning to hit Iran and do all these horrible things.
[01:02:47.510 --> 01:02:52.354]  They're gonna, very soon, they're saying they're planning on it, devalue the dollar.
[01:02:52.354 --> 01:02:56.458]  And when that happens, we'll be in a depression overnight.
[01:02:56.458 --> 01:02:57.359]  And that's the whole point.
[01:02:57.359 --> 01:03:01.342]  From a military standpoint, they're openly arming and building up
[01:03:02.130 --> 01:03:04.272]  Well, I've taken pictures and I used to have a nice camera and I was filming
[01:03:30.507 --> 01:03:39.172]  On the National Guard doing training at Central Connecticut, and a military person walked up to me, took my camera, threw me on the ground, zip-tied me, and broke the camera.
[01:03:39.172 --> 01:03:40.893]  And now I'm considered a domestic terrorist.
[01:03:40.893 --> 01:03:43.135]  I can never go out and buy another firearm ever again.
[01:03:43.135 --> 01:03:46.117]  Have you tried?
[01:03:46.117 --> 01:03:49.919]  Oh, I went down actually yesterday.
[01:03:50.638 --> 01:03:54.701]  Um, to go down to Newington Gun Exchange to go try to buy another rifle and they denied me right away.
[01:03:54.701 --> 01:03:57.483]  Red flag popped up on the computer and said, you're not allowed to.
[01:03:57.483 --> 01:04:05.109]  No judge, no jury, you're just put on a list and the Attorney General has claimed this power.
[01:04:05.109 --> 01:04:08.172]  If we give in to this chilling effect, we've already lost.
[01:04:08.172 --> 01:04:12.775]  This is the most vicious form of tyranny when you're put on secret list.
[01:04:12.775 --> 01:04:13.255]  My guys,
[01:04:14.238 --> 01:04:29.564]  Rob Due got arrested, and it was the military and FBI running the state penitentiary they were putting people in, and just for asking the military for an interview, Jason Douglas was told he was going to be put on a list, so they're reveling
[01:04:30.624 --> 01:04:37.047]  In their Fallujah-type list, just like everybody in Fallujah got put on a list, this is the occupation of our country.
[01:04:37.047 --> 01:04:42.529]  You need to call your congressman, you need to sue over this, you need to demand that this be removed.
[01:04:42.529 --> 01:04:43.790]  We need to stand up and fight this.
[01:04:43.790 --> 01:04:44.690]  God bless you.
[01:04:44.690 --> 01:04:47.491]  Mike, I'm sorry the secret police got you.
[01:04:47.491 --> 01:04:52.433]  But if we give in to this through fear, and then don't ask questions or speak out, they win and it's over.
[01:04:52.433 --> 01:04:55.514]  They're getting ready to bankrupt everything, ladies and gentlemen.
[01:04:55.514 --> 01:04:56.435]  More calls straight ahead.
[01:05:00.273 --> 01:05:05.580]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[01:05:05.580 --> 01:05:10.126]  Will you continue to be their profit center, buying their processed food that makes you sick?
[01:05:10.126 --> 01:05:12.389]  Go to the doctor and buy their drugs?
[01:05:12.389 --> 01:05:14.011]  You don't have to cooperate.
[01:05:14.011 --> 01:05:15.053]  There is a solution.
[01:05:15.273 --> 01:05:23.699]  Inner Health Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[01:05:23.699 --> 01:05:31.164]  Try their inner food with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[01:05:31.164 --> 01:05:36.808]  It even won the award for best superfood of 2009 from our friend Mike Adams, the health ranger.
[01:05:37.188 --> 01:05:43.213]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[01:05:43.213 --> 01:05:47.376]  Try all of their truly honest products that will keep you alive and healthy.
[01:05:47.376 --> 01:05:54.821]  Go to enerfood.com or give them a call right now, 866-762-9238.
[01:05:54.821 --> 01:05:58.144]  Click on their banner at infowars.com to see all the available discounts.
[01:06:00.287 --> 01:06:03.669]  Have you ever wanted to generate your own supply of electrical power?
[01:06:03.669 --> 01:06:07.291]  If so, this is going to be the most important message you will ever hear.
[01:06:07.291 --> 01:06:11.874]  Solar-powered generators are now available from Solutions from Science in Thompson, Illinois.
[01:06:11.874 --> 01:06:17.457]  These emergency backup systems provide life-saving electrical power when you need it most, unlike gas generators.
[01:06:17.757 --> 01:06:22.521]  A solar generator runs quietly, emits no fumes, and produces electricity for free.
[01:06:22.521 --> 01:06:26.144]  It's like having an electric power plant running quietly in your own home.
[01:06:26.144 --> 01:06:30.968]  Run sump pumps, shortwave radios, computers, and even keep food from spoiling.
[01:06:30.968 --> 01:06:37.533]  Whether it's hurricanes, ice storms, brownouts, or blackouts, you'll never have to suffer through painful power outages again.
[01:06:37.533 --> 01:06:39.475]  When the power goes out, you'll be ready.
[01:06:39.955 --> 01:06:43.159]  With a solar power generator from Solutions from Science.
[01:06:43.159 --> 01:06:47.664]  Go to MySolarBackup.com and get off the grid today!
[01:06:47.664 --> 01:06:49.887]  That's MySolarBackup.com or call 877-327-0365.
[01:06:49.887 --> 01:06:50.187]  877-327-0365.
[01:06:50.187 --> 01:06:50.888]  Don't wait, call today!
[01:07:02.307 --> 01:07:04.309]  Remain in your houses.
[01:07:04.309 --> 01:07:10.096]  The President of the United States has declared martial law under Executive Order 11004.
[01:07:10.096 --> 01:07:11.457]  Will they do it?
[01:07:11.457 --> 01:07:14.060]  Will they pull the trigger this time?
[01:07:14.060 --> 01:07:20.007]  We all pray they stand down, but an engineered crisis seems more likely with each passing day.
[01:07:20.507 --> 01:07:22.708]  Think it can't happen here?
[01:07:22.708 --> 01:07:26.989]  Executive Order 10-990 locks down all highways.
[01:07:26.989 --> 01:07:31.870]  Executive Order 10-995 seizes control of all media outlets.
[01:07:31.870 --> 01:07:36.771]  Executive Order 10-998 controls all farms and food supplies.
[01:07:36.771 --> 01:07:41.592]  All these executive orders are now cocked, loaded, and waiting for the right crisis.
[01:07:42.512 --> 01:07:50.934]  So if you're worried about the possibility of martial law here in America, or have questions about how to survive it, go to MartialLawSurvival.com.
[01:07:50.934 --> 01:07:53.434]  That's MartialLawSurvival.com.
[01:07:53.434 --> 01:07:56.495]  Go to MartialLawSurvival.com right now.
[01:07:56.495 --> 01:08:05.577]  You must remain in your houses until your bracelets are scanned.
[01:08:05.577 --> 01:08:06.157]  Big Brother.
[01:08:06.875 --> 01:08:08.636]  Mainstream media.
[01:08:08.636 --> 01:08:10.398]  Government cover-ups.
[01:08:10.398 --> 01:08:11.979]  You want answers?
[01:08:11.979 --> 01:08:12.899]  Well, so does he.
[01:08:12.899 --> 01:08:17.723]  He's Alex Jones on the GCN Radio Network.
[01:08:17.723 --> 01:08:22.686]  And now, live from Austin, Texas, Alex Jones.
[01:08:22.686 --> 01:08:26.069]  Alright, we're one hour, eight minutes into this four-hour transmission.
[01:08:26.069 --> 01:08:32.393]  We just began simulcasting the Seneca Radio Show on the web via television at prisonplanet.tv.
[01:08:34.599 --> 01:08:43.106]  I do want to just point out that coming out October 21st, I will release Fall of the Republic.
[01:08:43.106 --> 01:08:47.270]  Each film gets better, but this is a whole quantum level above any film I've ever made.
[01:08:47.270 --> 01:08:50.133]  You can pre-order those at InfoWars.com.
[01:08:50.133 --> 01:08:52.374]  And as things deteriorate and as things fall apart...
[01:08:53.548 --> 01:09:01.577]  Uh, we will, uh, release the film at PrisonPlanet.TV early if we have to and start shipping the DVDs early.
[01:09:01.577 --> 01:09:05.481]  So whoever gets their orders in first will have them shipped to them in order.
[01:09:05.481 --> 01:09:13.049]  So the pre-ordering going on now and we're only 21, 22 days out from the film being released and being shipped.
[01:09:13.049 --> 01:09:13.830]  So PrisonPlanet.TV.
[01:09:15.720 --> 01:09:19.122]  All right, ladies and gentlemen, I know we have Ted, Dennis, Roman, Annie, Louis.
[01:09:19.122 --> 01:09:24.264]  We're going to get to all of you at the bottom of the hour with both of our guests on any issue you want to discuss.
[01:09:24.264 --> 01:09:33.648]  But for these next two little short segments with our guest, I wanted to go over the Iran situation.
[01:09:33.648 --> 01:09:42.732]  Three weeks ago, three and a half weeks ago, a secret mission by Benjamin Netanyahu was sent to Russia to meet with Putin and Medvedev, the president and prime minister.
[01:09:44.403 --> 01:09:49.467]  We clearly pointed out that that was about getting the green light to strike Iran.
[01:09:49.467 --> 01:09:55.852]  A few weeks later, Russia came out and said, yes, we may have to support a strike on Iran and sanctions.
[01:09:55.852 --> 01:09:56.672]  A big shift.
[01:09:56.672 --> 01:10:06.620]  The deal was to, at least for now, pull the missile systems out of Western Europe, Eastern Europe, to get that concession that Russia will be left alone.
[01:10:08.834 --> 01:10:15.237]  The bargaining chip, I guess, was launching the sneak attack on Russia on 888 to say, we're serious, you better let us have Iran.
[01:10:15.237 --> 01:10:21.079]  Israel helped, of course, launch that attack, according to Jerusalem Post and Haaretz, along with NATO and U.S.
[01:10:21.079 --> 01:10:27.682]  forces on 888 in Georgian areas of South Ossetia and Abkhazia.
[01:10:27.682 --> 01:10:30.223]  So we have all of that going on.
[01:10:36.840 --> 01:10:41.242]  We have the open announcements of troops being deployed all over the country.
[01:10:41.242 --> 01:10:42.623]  Searching people at checkpoints.
[01:10:42.623 --> 01:10:44.804]  New videos coming in every day.
[01:10:44.804 --> 01:10:45.664]  Very chilling.
[01:10:45.664 --> 01:10:47.365]  Open talk of forced inoculation.
[01:10:47.365 --> 01:10:50.686]  If we don't get the word out, that's going to end up happening.
[01:10:50.686 --> 01:10:54.968]  Open discussion of the dollar being completely devalued any time in the next two years.
[01:10:54.968 --> 01:10:57.189]  Maybe even quicker.
[01:10:57.189 --> 01:11:00.871]  Ladies and gentlemen, we are going into receivership.
[01:11:00.871 --> 01:11:05.513]  A foreign group of banks by fraud, by fraudulent means, has seized control of our government.
[01:11:06.394 --> 01:11:09.015]  They have threatened the Congress with martial law on record.
[01:11:09.015 --> 01:11:11.816]  Senator Inhofe's on record.
[01:11:11.816 --> 01:11:13.997]  Many other congressmen are on record.
[01:11:13.997 --> 01:11:16.378]  We cover that in the Obama deception.
[01:11:16.378 --> 01:11:18.818]  It's on record that they've been threatened with martial law.
[01:11:18.818 --> 01:11:22.860]  Ron Paul has talked about that here on the show.
[01:11:22.860 --> 01:11:24.600]  This is a very, very serious time.
[01:11:24.600 --> 01:11:29.602]  And the military and police have shown themselves on the heels of what happened at the G20.
[01:11:29.602 --> 01:11:32.103]  I'm going to talk about that in the fourth hour today.
[01:11:32.103 --> 01:11:34.104]  One of my camera guys being arrested, Rob Dub.
[01:11:35.123 --> 01:11:43.410]  They were taken to a military facility run by the military and the FBI at the state penitentiary.
[01:11:43.410 --> 01:11:49.776]  They pepper sprayed people and tear gassed them once they were handcuffed on the ground.
[01:11:49.776 --> 01:11:57.583]  They tortured Luke Rodowski, stripped him down, made fun of him, made fun of Rob Dues' body.
[01:11:57.583 --> 01:11:59.604]  That's what they did to everybody when you go to the bathroom.
[01:12:00.869 --> 01:12:01.209]  I don't
[01:12:23.424 --> 01:12:35.994]  This is high treason, and the military and police have shown themselves that in a mob psychology, in the heat of the moment, they will take your guns, they will take your children, they will forcibly inoculate you.
[01:12:35.994 --> 01:12:41.799]  Now, are they going to stage a new war, as the RAND Corporation document showed they wanted to do eight months ago that Paul Watson wrote about?
[01:12:42.731 --> 01:12:45.113]  Is it going to be mixed with the flu outbreak?
[01:12:45.113 --> 01:12:47.134]  Is it going to be mixed with the dollar devaluation?
[01:12:47.134 --> 01:12:48.335]  We don't know.
[01:12:48.335 --> 01:12:51.438]  But the assets are in place, the legislation's in place.
[01:12:51.438 --> 01:12:56.041]  This appears to not be a tabletop exercise where it's a drill on paper.
[01:12:56.041 --> 01:13:11.993]  It appears, well it doesn't appear, it's a fact that the real hardware assets and training is in place and they're drilling openly at a level conservatively 20, 30, 40 times anything we've ever seen.
[01:13:15.990 --> 01:13:23.234]  I want to now go to Kurt Nemo of Infowars.com, Paul Watson of PrisonPlanet.com, both my main editors of those sites.
[01:13:23.234 --> 01:13:28.776]  Kurt, let's tackle Iran first, and then we'll go through all of this, and then Paul, I want to get Paul's take on it.
[01:13:28.776 --> 01:13:40.782]  You've written two excellent articles, Building a Pretext for Mass Murder, Iran's Secret Enrichment Facility, and then you read in, the US launched a sneak attack on Russia, but they said Russia launched it, and then later they had to admit it was a lie.
[01:13:42.481 --> 01:13:46.025]  Iraq had WMDs, yellow cake, aluminum tubes, that was a lie.
[01:13:46.025 --> 01:14:05.284]  You prove this is just one of many enrichment facilities on record, and that this is another huge hoax, just like Iraq, and they only do this, and then now they put out the fake Patsy's being busted that the FBI created, founded, gave them the bombs, same MO as usual, so they're creating the terror fear again, ahead of a staged terror attack.
[01:14:06.005 --> 01:14:07.386]  Everything is happening.
[01:14:07.386 --> 01:14:15.309]  They're demonizing the Patriot gun-owning movement, admitting Homeland Security's for us, claiming the American people have linked up with Al-Qaeda.
[01:14:15.309 --> 01:14:17.289]  It doesn't look good, Curt Nemo.
[01:14:17.289 --> 01:14:18.770]  Yeah, it doesn't look good at all.
[01:14:18.770 --> 01:14:33.856]  On Friday, Obama went before the G20, flanked by Brown and Sarkozy, and accused Iran of building a new uranium enrichment plant to produce weapons-grade uranium.
[01:14:34.716 --> 01:14:36.617]  Turns out this is total nonsense.
[01:14:36.617 --> 01:14:40.960]  The United States knew about this plant being under construction for two years.
[01:14:40.960 --> 01:14:48.605]  And also, Iran doesn't have the capability to enrich uranium to 95%, which is needed for weapons-grade bombs.
[01:14:48.605 --> 01:14:51.827]  So, in essence, this is just another pretext.
[01:14:51.827 --> 01:14:55.609]  You know, the corporate media spun it as, you know, they're building an atomic bomb.
[01:14:55.609 --> 01:15:00.212]  So it's just more nonsense, you know, getting ready for an attack on Iran.
[01:15:01.795 --> 01:15:10.883]  Just like it was later declassified that the girl who testified about seeing Republican Guard throw babies out of incubators turned out she'd never been to Kuwait.
[01:15:10.883 --> 01:15:15.648]  Her family owned the big PR firm that was paid to put the story out.
[01:15:15.648 --> 01:15:22.254]  It's just classic and they wouldn't be going with a lie this big and this bold if they weren't planning to hit Iran.
[01:15:23.050 --> 01:15:24.691]  Absolutely, they're planning on hitting it.
[01:15:24.691 --> 01:15:39.861]  Also, Depka today reported that, and of course that's a suspicious news source, but they reported, if you can believe them, that the United States is in the process of developing a new bunker buster that's going to be able to take out these, you know, reinforced bunkers.
[01:15:39.861 --> 01:15:42.282]  No, no, that was admitted six years ago.
[01:15:42.282 --> 01:15:48.847]  That's a McDonnell Douglas, and they have several other big bunker buster, smaller nukes, so yes.
[01:15:48.847 --> 01:15:52.329]  Yeah, and these are nuclear-tipped bunker busters, which is
[01:15:53.058 --> 01:15:56.743]  Pretty scary.
[01:15:56.743 --> 01:16:05.613]  Well, you accuse the country of about to nuke people when you nuke them and all the good old boys get a extension, Phil Manley, through it even though they can't find it on a map.
[01:16:06.417 --> 01:16:10.278]  And of course we'll all breathe that as it rains back down on us.
[01:16:10.278 --> 01:16:11.579]  Your article breaks this down.
[01:16:11.579 --> 01:16:13.659]  I mean, they've built these things all over the country.
[01:16:13.659 --> 01:16:15.300]  They haven't come clean.
[01:16:15.300 --> 01:16:19.081]  They said, OK, we finish a new enrichment center, come inspect.
[01:16:19.081 --> 01:16:22.803]  As it opened, they've got them all over the country.
[01:16:22.803 --> 01:16:25.463]  This is just another mass lie.
[01:16:25.463 --> 01:16:25.804]  Right.
[01:16:25.804 --> 01:16:31.285]  And also, Iran is not anywhere near bringing this plant online.
[01:16:31.285 --> 01:16:34.547]  So they have followed the rules that are set up by the IAEA.
[01:16:36.440 --> 01:16:44.902]  As far as under the NPT to supposedly come clean as Obama put it.
[01:16:44.902 --> 01:16:51.964]  But Israel doesn't come clean about its 400 to 800 high-tech nukes and submarines and ICBMs to deliver it and cruise missiles.
[01:16:51.964 --> 01:16:57.065]  I mean, why can Israel have all this and then no one's supposed to talk about it, but Iran can't have anything?
[01:16:57.065 --> 01:16:58.846]  Well, Israel's a preferred client state.
[01:16:58.846 --> 01:17:01.467]  They're allowed to do that.
[01:17:01.467 --> 01:17:03.227]  In the same way that Pakistan is allowed to do it.
[01:17:05.828 --> 01:17:09.452]  Paul Watson, another giant hoax.
[01:17:09.452 --> 01:17:12.355]  We need a headline explaining that this is a hoax.
[01:17:12.355 --> 01:17:16.699]  Just like they announced that Russia snuck attack Georgia.
[01:17:16.699 --> 01:17:20.323]  I mean, this is a giant hoax.
[01:17:20.323 --> 01:17:21.224]  That's right Alex.
[01:17:21.224 --> 01:17:28.392]  I mean, if you remember, Obama won the nomination against Hillary by posing as
[01:17:29.170 --> 01:17:38.914]  This peacenik, because Hillary kept saying in debates how she wanted to go after Iran, and Obama was positioning himself as the opposite of that.
[01:17:38.914 --> 01:17:41.475]  You know, he would seek talks with Iran.
[01:17:41.475 --> 01:17:44.536]  He was this ambassador for peace.
[01:17:44.536 --> 01:17:57.722]  And now he's involved in one of the biggest stage-managed and contrived inventions that we've seen in years, which is acting as a pretext for hostility against Iran.
[01:17:57.722 --> 01:17:58.262]  You know, I mean,
[01:17:59.301 --> 01:18:20.227]  The fact is that, as Kurt lays out in his article, Obama claimed that Iran was breaking these rules, but under the March 2007 agreement that Iran had with the IAEA, they're not required to report a nuclear processing installation when it's first being constructed.
[01:18:20.227 --> 01:18:27.149]  They're only required to report it six months before any nuclear materials are brought onto the site.
[01:18:27.748 --> 01:18:33.972]  So Iran reported it, as would be routine, to the IAEA early last week.
[01:18:33.972 --> 01:18:47.822]  And then Obama seized upon that as if Iran's cover had been blown and that they were trying to come clean after the fact, when they were just reporting it six months before the nuclear material was going to be on site.
[01:18:47.822 --> 01:18:53.325]  And the plan itself is 18 months away from even being completed.
[01:18:53.325 --> 01:18:55.627]  Obama himself knew
[01:18:56.394 --> 01:18:56.594]  Of course.
[01:19:20.905 --> 01:19:24.807]  Well, just like last time, I want to talk about that when we come back.
[01:19:24.807 --> 01:19:29.730]  He says, I want to be friends with you right when they launch the CIA destabilization.
[01:19:29.730 --> 01:19:31.711]  He says, I want to be your friend.
[01:19:31.711 --> 01:19:33.812]  They go, OK, we're going to open this plant.
[01:19:33.812 --> 01:19:36.313]  And they go, oh, my God, we found a secret plant.
[01:19:36.313 --> 01:19:38.895]  Then you read down deeper, it says Iran announced it.
[01:19:40.049 --> 01:19:50.679]  I mean it's just, but just like the public loves to be lied to about how the banks were going to use the bailout money to unfreeze the mortgages and then they get the money and say they're not going to day one.
[01:19:50.679 --> 01:19:54.543]  It's all about hoaxes, all about giant lies.
[01:19:54.543 --> 01:19:55.224]  Stay there.
[01:19:55.224 --> 01:19:57.286]  Let's talk about the timetable for hitting Iran.
[01:19:57.286 --> 01:19:59.368]  Israel says they can do it any time now.
[01:19:59.368 --> 01:19:59.968]  God help us.
[01:20:00.829 --> 01:20:07.535]  e-cigarettesnational.com would like to introduce an alternative to smoking regular cigarettes to all GCN listeners.
[01:20:07.535 --> 01:20:09.217]  It's called the e-cigarette.
[01:20:09.217 --> 01:20:13.801]  It looks, feels, tastes, and delivers nicotine like a regular cigarette.
[01:20:13.801 --> 01:20:21.468]  But because this is not a cigarette, you don't have to worry about more than 3,900 toxic chemicals and tar entering your body.
[01:20:21.468 --> 01:20:23.930]  There's no flame, so there's no risk of fire.
[01:20:24.070 --> 01:20:24.671]  We're good to go!
[01:20:49.172 --> 01:20:52.234]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[01:20:52.234 --> 01:20:57.256]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well funded.
[01:21:14.750 --> 01:21:21.336]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:21:21.336 --> 01:21:23.298]  Well, Obama's already fudging.
[01:21:23.298 --> 01:21:25.800]  He's fudged since day one in this election.
[01:21:25.800 --> 01:21:36.771]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[01:21:37.381 --> 01:21:39.043]  It's not about left or right.
[01:21:39.043 --> 01:21:40.904]  It's about a one world government.
[01:21:40.904 --> 01:21:47.811]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:21:47.811 --> 01:21:56.078]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[01:21:56.078 --> 01:21:57.660]  The Obama Deception.
[01:21:57.660 --> 01:21:58.861]  The people strike back.
[01:22:02.677 --> 01:22:04.138]  Hi, this is Ted Anderson.
[01:22:04.138 --> 01:22:10.183]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[01:22:10.183 --> 01:22:11.003]  That's right.
[01:22:11.003 --> 01:22:13.605]  Gold has been available to be placed in IRAs since 1986.
[01:22:13.605 --> 01:22:20.771]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[01:22:21.331 --> 01:22:29.461]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds, and CDs, yet no word about IRAs.
[01:22:29.461 --> 01:22:34.967]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
[01:22:34.967 --> 01:22:37.991]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[01:22:40.754 --> 01:22:45.278]  Don't get left behind by rising inflation and low return on your paper investments.
[01:22:45.278 --> 01:22:45.558]  Call 800-686-2237.
[01:22:45.558 --> 01:22:47.520]  Make sure that you secure your future.
[01:22:47.520 --> 01:22:47.860]  Call 800-686-2237.
[01:22:47.860 --> 01:22:48.401]  That's 1-800-686-2237.
[01:23:01.317 --> 01:23:08.599]  Attention landscapers, house painters, carpet cleaners, pet sitters, gutter cleaners, and anyone who has their own home service business.
[01:23:08.599 --> 01:23:12.020]  Would you love to build a huge and loyal customer base fast?
[01:23:12.020 --> 01:23:13.181]  Well, now you can.
[01:23:13.181 --> 01:23:15.361]  Introducing the Magic Yellow Flyer.
[01:23:15.361 --> 01:23:23.764]  The Magic Yellow Flyer marketing system is the most effective and inexpensive way to build a referral-only service business in a short period of time.
[01:23:23.764 --> 01:23:26.725]  Get new customers and build a solid customer base.
[01:23:27.025 --> 01:23:30.848]  Throw away all of the other ineffective and expensive advertising methods.
