[00:00:00.792 --> 00:00:02.733]  Hit it boys!
[00:26:06.782 --> 00:26:08.023]  Well, you can't do this now.
[00:26:08.543 --> 00:26:09.484]  Then we gave you this.
[00:26:09.644 --> 00:26:12.666]  I got this from the Division of Cemeteries.
[00:26:12.726 --> 00:26:15.328]  I don't want to go into too much more detail.
[00:26:15.508 --> 00:26:19.311]  I was sent this from the state of New York.
[00:26:19.371 --> 00:26:24.955]  This is a secret document saying get... This was just one little cemetery.
[00:26:25.799 --> 00:26:27.541]  Get ready for hundreds of thousands of dead.
[00:26:27.701 --> 00:26:28.743]  Look, it's got phone numbers.
[00:26:28.763 --> 00:26:29.764]  You can call the phone numbers.
[00:26:29.824 --> 00:26:32.287]  Colleen Kelly, 518-474-1860.
[00:26:32.307 --> 00:26:37.553]  You can call Richard D. Fishman, director.
[00:26:37.754 --> 00:26:38.274]  We called.
[00:26:38.294 --> 00:26:40.577]  They said, you're not supposed to have this, and who is this?
[00:26:40.597 --> 00:26:41.398]  And I told them who I was.
[00:26:41.678 --> 00:26:43.120]  I confirmed the document was real.
[00:26:48.820 --> 00:26:52.363]  Here, now, is the Associated Press today.
[00:26:52.403 --> 00:26:54.084]  There's also one out of AFP.
[00:26:54.344 --> 00:26:56.646]  Zoom in on this for the PrisonPlanet.tv viewers, please.
[00:26:57.106 --> 00:26:58.788]  If not, you don't have to go to InfoWars to read this.
[00:26:59.028 --> 00:27:00.149]  It's on Drudge Report today.
[00:27:00.549 --> 00:27:03.872]  Citi plans to use catacombs for swine flu victims.
[00:27:05.113 --> 00:27:06.494]  This is going on all over the world.
[00:27:06.514 --> 00:27:07.414]  They're getting ready for this.
[00:27:08.475 --> 00:27:08.955]  Why?
[00:27:09.456 --> 00:27:10.577]  Regular flu kills 37,000 people.
[00:27:13.382 --> 00:27:15.844]  Upwards of half a million die every year of the regular flu.
[00:27:16.124 --> 00:27:20.888]  What's going to happen in the fall when tens of thousands are dying of the regular flu?
[00:27:21.869 --> 00:27:25.772]  If they almost shut America down for a couple deaths, what is going to happen?
[00:27:26.713 --> 00:27:29.055]  I'm asking you, what do they know we don't know?
[00:27:29.535 --> 00:27:39.063]  Why were they gearing up for this in January and February and March, and then magically in April they come out in fear monger like it's the end of the world,
[00:27:41.354 --> 00:27:46.038]  I get Secret State of Texas documents basically telling them it's the end of the world, telling you we're already at level 6.
[00:27:46.499 --> 00:27:47.940]  It comes out later, that's confirmed.
[00:27:48.240 --> 00:27:49.321]  What is going on here?
[00:27:49.641 --> 00:27:52.724]  They clearly knew this was coming.
[00:27:53.264 --> 00:28:05.855]  And then I have all these top epidemiologists and virologists on the show, months before it's mainstream news, telling you this is manufactured, two parts human, of the four parts, two parts human, one part bird, one part swine.
[00:28:06.716 --> 00:28:07.897]  Nothing to do with swine flu.
[00:28:07.917 --> 00:28:08.757]  That's a cover story.
[00:28:09.117 --> 00:28:12.579]  Now you can Google swine flu made in laboratory.
[00:28:12.639 --> 00:28:14.020]  Do it right now, Forum Hoosh.
[00:28:14.601 --> 00:28:19.363]  It'll be CBC, AP, Reuters, BBC.
[00:28:19.463 --> 00:28:20.044]  It's a fact.
[00:28:20.104 --> 00:28:21.064]  It's manufactured.
[00:28:21.425 --> 00:28:22.345]  Just like we told you.
[00:28:22.665 --> 00:28:24.046]  Because it had no pedigree.
[00:28:24.887 --> 00:28:27.688]  Regular, normally mutating flus have a pedigree.
[00:28:27.888 --> 00:28:30.190]  But see, this one isn't even dangerous.
[00:28:30.210 --> 00:28:32.231]  This is an ultra-mild flu.
[00:28:33.919 --> 00:28:35.940]  Well then why are they gearing up for mass graves?
[00:28:36.080 --> 00:28:37.100]  Why are they getting ready?
[00:28:38.320 --> 00:28:41.421]  City plans to use catacombs for swine flu victims.
[00:28:41.801 --> 00:28:44.982]  A city council said Saturday it was considering using underground burial chambers.
[00:28:45.422 --> 00:28:48.203]  Currently a tourist attraction to store corpses of swine flu victims.
[00:28:48.523 --> 00:28:49.483]  The pandemic worsens.
[00:28:50.543 --> 00:28:56.625]  Exeter City Council said the empty 19th century catacombs could become an emergency morgue.
[00:28:57.385 --> 00:29:00.185]  A council spokesman... See, that's not just in England though.
[00:29:00.866 --> 00:29:01.626]  I then have
[00:29:02.699 --> 00:29:07.241]  Out of Colorado, where they say they're getting ready for mass graves and incinerators.
[00:29:07.902 --> 00:29:08.402]  Stay with us.
[00:29:12.044 --> 00:29:17.226]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[00:29:17.346 --> 00:29:21.728]  Will you continue to be their profit center, buying their processed food that makes you sick?
[00:29:21.868 --> 00:29:23.769]  Go to the doctor and buy their drugs?
[00:29:24.150 --> 00:29:25.550]  You don't have to cooperate.
[00:29:25.770 --> 00:29:26.811]  There is a solution.
[00:29:27.031 --> 00:29:35.054]  InterHealth Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[00:29:35.454 --> 00:29:42.517]  Try their InterFood with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[00:29:42.917 --> 00:29:48.519]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the health major.
[00:29:48.959 --> 00:29:54.541]  I love their NutriCafe, great organic coffee infused with herbal extracts to boost your immune system.
[00:29:54.961 --> 00:29:58.783]  Try all of their truly honest products that will keep you alive and healthy.
[00:29:59.103 --> 00:30:03.465]  Go to enerfood.com or give them a call right now.
[00:30:03.485 --> 00:30:05.306]  866-762-9238.
[00:30:05.626 --> 00:30:09.888]  Click on their banner at infowars.com to see all the available discounts.
[00:30:12.230 --> 00:30:17.233]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:30:17.453 --> 00:30:21.236]  Number one, new climate legislation could easily double or triple your electric bill.
[00:30:21.476 --> 00:30:27.079]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:30:27.379 --> 00:30:32.242]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:30:32.443 --> 00:30:32.943]  Number three,
[00:30:33.343 --> 00:30:38.804]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:30:38.965 --> 00:30:39.465]  Number 4.
[00:30:39.645 --> 00:30:42.305]  The hurricane and dangerous summer storm season is here again.
[00:30:42.545 --> 00:30:45.966]  Every year, thousands of families lose their power from weather-related outages.
[00:30:46.206 --> 00:30:46.747]  Number 5.
[00:30:47.047 --> 00:30:50.688]  A solar power generator provides powerful backup insurance and peace of mind.
[00:30:50.908 --> 00:30:56.409]  Folks, I really believe in the solar power generators offered by Solutions from Science, a long-time sponsor of ours.
[00:30:56.629 --> 00:30:59.770]  You can get more information at www.mysolarpower.com.
[00:30:59.810 --> 00:31:01.212]  MySolarBackup.com.
[00:31:01.332 --> 00:31:02.873]  That's MySolarBackup.com.
[00:31:03.114 --> 00:31:05.456]  Remember, the government doesn't own the sun yet.
[00:31:05.677 --> 00:31:09.120]  So go to MySolarBackup.com or call toll-free 877-327-0365.
[00:31:09.241 --> 00:31:12.965]  This is Alex Jones.
[00:31:13.245 --> 00:31:15.027]  Have you heard of the Millionaire Patriot?
[00:31:15.247 --> 00:31:15.928]  Well, you should.
[00:31:16.228 --> 00:31:20.473]  He has a free handgun and five days of firearms training waiting for you.
[00:31:20.713 --> 00:31:21.154]  That's right.
[00:31:21.494 --> 00:31:31.399]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit, all for pennies on the dollar.
[00:31:31.519 --> 00:31:38.503]  Plus, if you act fast, the Millionaire Patriot will give you a free Springfield Armory XV pistol in the caliber of your choice.
[00:31:38.863 --> 00:31:45.366]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:31:45.746 --> 00:31:50.929]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:31:51.269 --> 00:31:52.410]  This is real.
[00:31:52.711 --> 00:31:53.452]  Don't miss out.
[00:31:53.772 --> 00:32:02.161]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:32:02.341 --> 00:32:04.504]  Go to FrontSight.com today.
[00:32:04.704 --> 00:32:08.228]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:32:08.408 --> 00:32:11.312]  Go to FrontSight.com for your training and free gun.
[00:32:12.227 --> 00:32:13.789]  Hello friends, this is Alex Jones.
[00:32:13.909 --> 00:32:18.575]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:32:18.655 --> 00:32:21.419]  We need to be independent, and food and water is the key.
[00:32:21.619 --> 00:32:24.483]  You'll never have to stand in a bread line if you have your own bread.
[00:32:24.643 --> 00:32:30.531]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:32:30.751 --> 00:32:33.675]  No one is going to take care of your family in the final equation but you.
[00:32:33.975 --> 00:32:40.884]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:32:41.064 --> 00:32:44.088]  They do it at almost half the cost of last year's grocery prices.
[00:32:44.249 --> 00:32:46.151]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com.
[00:32:49.395 --> 00:32:55.458]  Visit efoodsdirect.com and look over the fine list of high quality, pre-scribed, dehydrated foods they have to offer.
[00:32:55.658 --> 00:32:59.400]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:32:59.420 --> 00:33:00.761]  Again, 800-409-5633, or on the web at efoodsdirect.com.
[00:33:00.781 --> 00:33:01.361]  Take action today.
[00:33:01.401 --> 00:33:03.382]  The first step is getting storable food.
[00:33:26.929 --> 00:33:51.566]  So, let us hope here that the World Health Organization, run by a bunch of eugenicists at the UN, is just using this man-made flu to fearmonger and hype for drug companies to sell tens of billions of dollars of useless vaccine
[00:33:53.502 --> 00:33:55.183]  And to expand their power and control.
[00:33:55.363 --> 00:34:15.214]  As bad as that is, it's a lot better than the headline today out of Reuters, scientists at CDC say that swine flu may be mutating and normally flus mutate to something least lethal, less effective.
[00:34:15.234 --> 00:34:19.397]  Because it's very rare for something to really be deadly, so normally a mutation
[00:34:20.404 --> 00:34:27.468]  It's like rolling the dice is going to make a flu that's deadly harmless or less harmful.
[00:34:28.028 --> 00:34:30.930]  But magically they're saying, oh, looks like it may get more deadly.
[00:34:31.410 --> 00:34:32.491]  Better take your shot.
[00:34:32.511 --> 00:34:35.853]  And then you look at the history of all of this.
[00:34:36.513 --> 00:34:38.535]  Look, I want to go to your phone calls here.
[00:34:40.396 --> 00:34:49.441]  It's just that government started making its move in
[00:34:57.833 --> 00:35:03.667]  Government started hyping this in a big, big, big way.
[00:35:08.467 --> 00:35:10.188]  Before this even showed up on the scene.
[00:35:10.529 --> 00:35:20.877]  And then it shows up on the scene and had killed one person in Texas, in the entire United States, and the media was acting like it was the end of the world.
[00:35:21.177 --> 00:35:24.340]  But not just media, government was coming in and doing this.
[00:35:24.901 --> 00:35:32.547]  And then months before, they've been preparing mass graves and getting counties and cities ready to fight the American people and to
[00:35:34.875 --> 00:35:40.860]  Secure and armor the police and fire facilities for revolution.
[00:35:41.621 --> 00:35:48.807]  So I guess the social engineers knew that the American people were going to be rebelling and resisting.
[00:35:51.178 --> 00:36:03.709]  The banking takeover, the depression, the recession, the tyranny, the corruption, the looting, and I guess they're going to use flu, whether it is deadly or not, as a cover story to put troops on the streets and lock down America.
[00:36:04.429 --> 00:36:06.151]  Because that's where all of this is going.
[00:36:08.473 --> 00:36:11.816]  That's what's happening with all of this in the final equation.
[00:36:13.143 --> 00:36:16.686]  So, it is confirmed they have mass graves all over the United States.
[00:36:17.106 --> 00:36:22.190]  It is confirmed in the Denver Post and Rocky Mountain News that they have mass graves and incinerators ready.
[00:36:22.550 --> 00:36:27.855]  That's mainstream news linked up on InfoWars.com if you want to find one place to easily find it.
[00:36:28.775 --> 00:36:31.758]  Or I can give you here, I can give you the exact headline here.
[00:36:37.273 --> 00:36:45.838]  State of Colorado issues executive order asserting its authority to bury victims in mass graves and or cremate bodies under emergency situations.
[00:36:46.378 --> 00:36:58.045]  Rocky Mountain News, the state of Colorado could seize antibiotics, cremate disease-ridden corpses and under extreme circumstances dig mass graves under executive orders in the event of a bioterrorist attack.
[00:36:58.085 --> 00:37:04.709]  So they are implementing all of this and here's AFP getting the mass graves ready.
[00:37:05.169 --> 00:37:06.190]  There's that headline.
[00:37:08.308 --> 00:37:10.008]  This is in today's news.
[00:37:11.729 --> 00:37:13.189]  I mean, what do you say to all of this?
[00:37:14.850 --> 00:37:15.410]  And then look at this.
[00:37:15.510 --> 00:37:20.171]  Swine flu tally halted as school year fears loom.
[00:37:20.471 --> 00:37:25.532]  Official stop counting cases focus on possible mutation of new virus MSNBC.
[00:37:28.793 --> 00:37:34.074]  I mean, this thing has killed maybe a few thousand people worldwide.
[00:37:36.590 --> 00:37:39.052]  Again, why are they acting like it's the end of the world?
[00:37:39.172 --> 00:37:40.733]  What do they know that we don't know?
[00:37:41.134 --> 00:37:43.936]  Why were they gearing up before it even appeared on the scene?
[00:37:44.296 --> 00:37:52.402]  Why did it come out of nowhere in Mexico on the wrong side of the planet for a flu pandemic to break out in the wrong time of the year?
[00:37:53.323 --> 00:37:55.484]  Why is it clearly a manufactured virus?
[00:37:55.764 --> 00:37:57.105]  Why is it more made of that?
[00:37:57.485 --> 00:38:02.507]  Why isn't it killing a lot of people compared to regular flus, but they're acting like it's the end of the world?
[00:38:02.787 --> 00:38:22.355]  Because if they're going to move with some other bioweapon release, or if they know this is going to mutate, or they're going to release some other variant that they know is going to mutate, they need to get all their ducks in a row, and they know that's something they can't do secretly, because this is such a widespread movement that makes D-Day look tiny, and so they need to go ahead and fearmonger for an earlier strain
[00:38:23.419 --> 00:38:37.406]  as their cover to get all this in place or they're just fear-mongering to sell a bunch of vaccines and federalize and globalize everything as the United States and hundreds of other countries admittedly take their orders on how to respond to this from the United Nations.
[00:38:38.586 --> 00:38:50.752]  That's why I'm taking phone calls in the next segment and throughout the entire next hour to get your take, your perspective, your view on what you think is going on here and to bring up your points because there are so many
[00:38:52.190 --> 00:38:54.331]  All I know is this is coming out of nowhere.
[00:38:54.351 --> 00:38:56.351]  They have been gearing up for this.
[00:38:56.711 --> 00:39:06.294]  There is no reason for them to be acting like this with this flu that, according to the CDC, has killed a maximum of 197 people when they stopped counting in the United States.
[00:39:06.954 --> 00:39:08.234]  And then you go look at those cases.
[00:39:08.594 --> 00:39:10.475]  Most of those, it says, were possible.
[00:39:10.975 --> 00:39:12.255]  And then you go track them back.
[00:39:12.495 --> 00:39:14.176]  They'll say, oh, we were wrong.
[00:39:14.216 --> 00:39:18.137]  They died of other causes or of a stroke or of another flu.
[00:39:19.161 --> 00:39:26.564]  But regardless, what's going to happen when 37,000 people die in the fall and winter during the regular flu season that do every year?
[00:39:29.045 --> 00:39:40.289]  If they can get the American people ready to take forth inoculations and lay down all their liberties and freedoms for nothing, for just a couple dead people, what's going to happen when the regular flu hits?
[00:39:41.009 --> 00:39:44.691]  Now, that's the next huge issue.
[00:39:46.127 --> 00:39:48.308]  And if you haven't heard this, you've been hiding under a rock.
[00:39:48.349 --> 00:39:57.314]  Because of time constraints, I'm not going to play Good Morning America, and CNN, and Fox, and Friends, and all these programs that we've played the clips here in the last three months.
[00:39:58.475 --> 00:39:59.276]  You can just Google
[00:40:00.529 --> 00:40:03.511]  Country preparing for martial law, Fox News for flu.
[00:40:03.791 --> 00:40:04.812]  And you'll get Fox News.
[00:40:05.112 --> 00:40:07.834]  Or you can type in, Good Morning America, forced inoculations.
[00:40:08.194 --> 00:40:21.183]  It's all over the news, with the head of the CDC and the head of the World Health Organization saying, forced inoculations, and they've gotten ready 195 million doses, and that they're going to force all school children to take it.
[00:40:21.383 --> 00:40:25.644]  There's no law your kids have got to take Gardasil or flu shots or anything else.
[00:40:25.864 --> 00:40:30.525]  They're trying to set the precedent under color of law to order people to take it.
[00:40:30.766 --> 00:40:43.109]  And under the Model States Health Emergency Powers Act of 2002-2003, they tried to get 14 million first responders, nurses, doctors, firemen, police, city workers, county workers,
[00:40:43.905 --> 00:40:46.487]  To take the smallpox shot, and they wouldn't do it.
[00:40:46.727 --> 00:40:52.212]  So they went ahead and just had local drills with them, where they don't have to take it, but they drill to force us to take it.
[00:40:52.452 --> 00:40:53.713]  And that's the next big issue.
[00:40:53.953 --> 00:40:55.895]  Not just, is this a staged bioweapon?
[00:40:56.075 --> 00:40:57.336]  We know it was manufactured.
[00:40:57.556 --> 00:40:59.838]  Why are they hyping it when it hadn't killed hardly anybody?
[00:41:00.238 --> 00:41:01.259]  That's another issue.
[00:41:01.299 --> 00:41:02.761]  Why are they getting mass graves ready?
[00:41:02.981 --> 00:41:04.642]  Why were they gearing up for this beforehand?
[00:41:04.902 --> 00:41:11.388]  Why was Baxter Pharmaceutical filing patent for the exact same swine flu vaccine an entire year before outbreak?
[00:41:11.828 --> 00:41:12.689]  There's that headline.
[00:41:14.025 --> 00:41:24.650]  The same company, Baxter, that in 18 countries mixed live, weaponized bird flu that kills over 90% of people that come in contact with it, with vaccines to be shipped out worldwide.
[00:41:24.690 --> 00:41:26.191]  Pull that up for people on screen.
[00:41:26.411 --> 00:41:35.115]  Then they had a trial with other pharma companies, the police won't say in Poland, gave a bunch of homeless people a flu shot and it killed them, but they admit it was a bird flu trial.
[00:41:37.025 --> 00:41:40.706]  Now the scientists we've had on think it was other big flu companies, not even Baxter.
[00:41:41.166 --> 00:41:42.266]  The police won't say.
[00:41:42.286 --> 00:41:48.187]  They just said a secret program with biotech and vaccine companies that killed a bunch of people.
[00:41:49.207 --> 00:41:50.207]  Tamiflu developer.
[00:41:51.027 --> 00:41:54.468]  Swine flu could have come from bio-experiment lab.
[00:41:54.908 --> 00:41:56.668]  There is ABC News for you.
[00:41:58.429 --> 00:42:03.730]  Put up the headline by the London Telegraph of all the homeless dying after they took the experimental bird flu shot.
[00:42:03.750 --> 00:42:04.810]  These bastards mixed up.
[00:42:05.615 --> 00:42:07.256]  Look, here's the bigger issue.
[00:42:07.856 --> 00:42:09.377]  Not just who set it up.
[00:42:09.557 --> 00:42:10.677]  It's clearly engineered.
[00:42:10.797 --> 00:42:14.499]  Why were they getting ready secretly before this stuff showed up in April?
[00:42:14.739 --> 00:42:21.161]  Why did they hype it as if it was the end of the world over just a few deaths of kids on ventilators and old people on ventilators?
[00:42:21.441 --> 00:42:24.102]  First two people that killed in Texas were on ventilators!
[00:42:25.103 --> 00:42:26.743]  They had compromised immune systems!
[00:42:29.484 --> 00:42:30.525]  That's not the issue.
[00:42:31.769 --> 00:42:35.073]  And folks, I know I'm upset about this, and that's seen as abnormal.
[00:42:35.093 --> 00:42:37.336]  You're only supposed to get upset about football games and stuff.
[00:42:37.536 --> 00:42:40.160]  But I got three children, and a wife, and family I love.
[00:42:40.400 --> 00:42:41.501]  And I'm sick of this crap.
[00:42:41.762 --> 00:42:49.251]  And I know that they forcibly inoculated troops in 1918, and mainstream media admits that's where the deadly swine flu that killed 40 million.
[00:42:50.434 --> 00:42:57.476]  The Spanish flu came from in 1918 and then in 1976 they forcibly injected troops at a US military base that died.
[00:42:57.996 --> 00:42:58.877]  Then it spread.
[00:42:59.077 --> 00:43:02.998]  They forcibly inoculated a bunch of our citizens and then it killed them!
[00:43:03.658 --> 00:43:05.659]  That's 60 Minutes, not me reporting that.
[00:43:06.319 --> 00:43:08.680]  We'll come back and talk about the forced inoculation.
[00:43:08.700 --> 00:43:09.760]  Are you going to take the shots?
[00:43:12.168 --> 00:43:17.355]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[00:43:17.475 --> 00:43:21.881]  Will you continue to be their profit center, buying their processed food that makes you sick?
[00:43:22.021 --> 00:43:23.864]  Go to the doctor and buy their drugs?
[00:43:24.284 --> 00:43:25.646]  You don't have to cooperate.
[00:43:25.906 --> 00:43:26.948]  There is a solution.
[00:43:27.168 --> 00:43:35.193]  Inner Health Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[00:43:35.593 --> 00:43:42.658]  Try their Inner Food with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[00:43:43.058 --> 00:43:48.702]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the health major.
[00:43:49.102 --> 00:43:54.686]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[00:43:55.086 --> 00:43:58.907]  Try all of their truly honest products that will keep you alive and healthy.
[00:43:59.247 --> 00:44:03.589]  Go to enerfood.com or give them a call right now.
[00:44:03.609 --> 00:44:05.449]  866-762-9238.
[00:44:06.710 --> 00:44:10.031]  Click on their banner at infowars.com to see all the available discounts.
[00:44:12.159 --> 00:44:16.142]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:44:16.403 --> 00:44:18.184]  Do you really know what's in your tap water?
[00:44:18.404 --> 00:44:26.691]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:44:26.932 --> 00:44:32.156]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:44:32.476 --> 00:44:34.098]  Now what are you going to do about it?
[00:44:34.338 --> 00:44:40.680]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:44:40.840 --> 00:44:51.604]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:44:51.884 --> 00:44:52.404]  That's right.
[00:44:52.664 --> 00:44:54.965]  Clean water, right from the air you breathe.
[00:44:55.225 --> 00:44:56.805]  Order today by calling 1-800-691.
[00:44:58.766 --> 00:44:59.387]  We're good to go.
[00:45:12.025 --> 00:45:13.146]  This is Alex Jones.
[00:45:13.426 --> 00:45:15.208]  Have you heard of the Millionaire Patriot?
[00:45:15.408 --> 00:45:16.049]  Well, you should.
[00:45:16.389 --> 00:45:20.634]  He has a free handgun and five days of firearms training waiting for you.
[00:45:20.874 --> 00:45:21.374]  That's right.
[00:45:21.695 --> 00:45:30.143]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:45:30.343 --> 00:45:31.605]  All for pennies on the dollar.
[00:45:31.725 --> 00:45:32.866]  Plus, if you act fast.
[00:45:33.046 --> 00:45:38.689]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:45:39.050 --> 00:45:45.574]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:45:45.934 --> 00:45:51.117]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:45:51.437 --> 00:45:52.598]  This is real.
[00:45:52.918 --> 00:45:53.658]  Don't miss out.
[00:45:53.959 --> 00:46:02.344]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:46:02.524 --> 00:46:04.705]  Go to FrontSight.com today.
[00:46:04.885 --> 00:46:08.408]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:46:08.588 --> 00:46:11.490]  Go to FrontSight.com for your training and free gun.
[00:46:12.301 --> 00:46:17.304]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:46:17.504 --> 00:46:21.326]  Number one, new climate legislation could easily double or triple your electric bill.
[00:46:21.526 --> 00:46:27.129]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:46:27.429 --> 00:46:27.889]  It's true.
[00:46:28.090 --> 00:46:33.033]  Total government control of electricity in the name of smart grid technology is coming.
[00:46:33.433 --> 00:46:38.877]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:46:39.718 --> 00:46:42.360]  The hurricane and dangerous summer storm season is here again.
[00:46:42.620 --> 00:46:45.981]  Every year, thousands of families lose their power from weather-related outages.
[00:47:31.860 --> 00:47:33.621]  Okay, look, I'm gonna go to your phone calls.
[00:47:35.022 --> 00:47:36.724]  It's just, I'm very angry.
[00:47:39.005 --> 00:47:40.446]  I'm not even a rocket scientist.
[00:47:40.907 --> 00:47:49.453]  And I can see secret government documents and mass graves and preparations to harden government buildings against the citizens and to train for gun confiscation.
[00:47:49.833 --> 00:47:50.494]  All confirmed!
[00:47:51.986 --> 00:48:00.649]  And I can see government using this flu as a cover story to pass their hate crimes legislation to restrict the First Amendment openly.
[00:48:01.209 --> 00:48:05.110]  Bills to federalize all water above and below ground, all land in the U.S.
[00:48:05.490 --> 00:48:10.292]  Bills to hand over all control of our industries, jobs, houses under the carbon tax.
[00:48:12.293 --> 00:48:16.574]  All of this stuff, they're trying to pass it coming up during the fall and winter.
[00:48:18.266 --> 00:48:19.607]  And this is the takeover.
[00:48:19.727 --> 00:48:28.473]  And even if the flu doesn't kill a bunch of people, which I hope it doesn't, even if it's just a big hoax they're launching, still, it's all premeditated.
[00:48:28.913 --> 00:48:29.513]  And it's sick.
[00:48:32.295 --> 00:48:39.420]  This is the cover so they can pass the banking takeover of the Federal Reserve, the water bill, all these anti-gun bills, the hate bills, the climate bill.
[00:48:39.480 --> 00:48:40.801]  This is the stage crisis.
[00:48:42.705 --> 00:48:45.206]  Look at the history of these people running our society.
[00:48:45.326 --> 00:48:51.269]  Look at the chemical and biological testing, killing our own troops and foster children and black men with syphilis.
[00:48:51.589 --> 00:48:53.050]  Think about what you know.
[00:48:53.070 --> 00:48:57.192]  And then go do research and it's a thousand times worse.
[00:48:58.873 --> 00:49:05.016]  Think about how they're now on the news saying they're going to forcibly inoculate every American.
[00:49:05.256 --> 00:49:08.357]  And they're going to start all over the country, 12,000 U.S.
[00:49:08.737 --> 00:49:11.759]  children to be swine flu vaccine guinea pigs.
[00:49:13.851 --> 00:49:15.052]  That's the Daily Oklahoman.
[00:49:15.092 --> 00:49:17.873]  Here's one out of MSNBC.
[00:49:17.933 --> 00:49:18.213]  U.S.
[00:49:18.233 --> 00:49:22.935]  buys 195 million doses of swine flu vaccine.
[00:49:24.556 --> 00:49:28.538]  And it says they're testing it ahead of making it mandatory in the fall.
[00:49:30.819 --> 00:49:31.940]  That's what level 6 is.
[00:49:32.020 --> 00:49:34.881]  Forced inoculations, forced quarantines, lockdowns.
[00:49:35.161 --> 00:49:36.022]  For a flu
[00:49:39.036 --> 00:49:44.343]  That's killed less people than sporting accidents, football accidents in the last year.
[00:49:44.744 --> 00:49:48.168]  I mean, it is unbelievable, ladies and gentlemen.
[00:49:48.609 --> 00:49:49.169]  And here's another one.
[00:49:49.189 --> 00:49:51.432]  Volunteers needed to test H1N1 vaccine.
[00:49:51.953 --> 00:49:56.159]  And then you've got the fact that these flu vaccine tests have been killing a bunch of people.
[00:49:57.267 --> 00:50:15.674]  I mean, my God, we have a government that approves the Gardasil shot, and then they try to engage in another hoax, saying it's the law to take it, because Rick Perry wants to get vaccine immunity for Merck, that basically funded the whole Texas legislature.
[00:50:15.954 --> 00:50:21.556]  Because when a governor says it's on the list of mandatory vaccines, that is mandatory, that they put it on the list, they push.
[00:50:22.685 --> 00:50:25.186]  Then, liability protection kicks in.
[00:50:25.547 --> 00:50:29.368]  Merck that gave you Vioxx with the heart attacks and all the other garbage.
[00:50:29.989 --> 00:50:35.472]  Merck knows that Gardasil's killed a whole bunch of the girls that take it.
[00:50:36.472 --> 00:50:38.773]  And it doesn't even protect you from the papillomavirus.
[00:50:39.013 --> 00:50:41.235]  Read the drug insert for Gardasil.
[00:50:42.275 --> 00:50:43.416]  It just makes my head spin.
[00:50:43.476 --> 00:50:51.280]  So, do you think that they're going to get away with, because they're openly announcing they're going to forcibly inoculate us in the fall.
[00:50:52.145 --> 00:51:00.813]  And they'll find a bunch of cowards and hypochondriacs and people that trust whatever this government's shoveling, and they're going to go out there and take the shots!
