[00:00:00.309 --> 00:00:04.473]  ["The Star-Spangled Banner"]
[00:23:16.304 --> 00:23:18.327]  Many companies do not even offer a catalog.
[00:23:18.487 --> 00:23:20.730]  We will be more than happy to send a catalog to you.
[00:23:21.070 --> 00:23:21.851]  Free of charge.
[00:23:22.151 --> 00:23:22.471]  Dial 1-800-453-2202.
[00:23:22.491 --> 00:23:22.551]  1-800-453-2202.
[00:23:22.571 --> 00:23:24.092]  Or visit our website at readyreservefoods.com.
[00:23:24.112 --> 00:23:24.673]  Factory direct.
[00:23:24.693 --> 00:23:26.234]  Wholesale pricing from Ready Reserve Foods.
[00:23:26.254 --> 00:23:26.614]  Call us at 1-800-453-2202.
[00:23:50.592 --> 00:23:58.658]  Cyrus Jones from 1810 to 1913 made his great-grandchildren believe you could live to 103.
[00:23:58.778 --> 00:24:05.222]  103 is forever when you're just a little kid.
[00:24:06.883 --> 00:24:10.346]  So, Cyrus Jones lived forever.
[00:24:12.027 --> 00:24:13.348]  Great, you digger.
[00:24:13.368 --> 00:24:16.030]  Alright, I am continuing here.
[00:24:17.523 --> 00:24:19.284]  Okay, I'm not sure what that means, but...
[00:24:43.810 --> 00:24:48.933]  Well, what I see is I see a lot of kids brainwashed nowadays.
[00:24:49.093 --> 00:24:51.774]  Kids are all in dumb shit.
[00:24:51.814 --> 00:24:52.334]  Let him go.
[00:24:52.354 --> 00:24:53.015]  I appreciate it.
[00:24:53.075 --> 00:24:54.075]  Figured you were a pothead.
[00:24:54.655 --> 00:24:57.177]  This is not the show for people to call in and talk like that, son.
[00:24:58.237 --> 00:25:00.819]  Up next is Steve in Tennessee.
[00:25:01.259 --> 00:25:02.059]  Steve, you're on the air.
[00:25:02.099 --> 00:25:02.539]  Go ahead.
[00:25:02.559 --> 00:25:04.120]  How's it going, Alex?
[00:25:04.800 --> 00:25:05.081]  Good.
[00:25:05.161 --> 00:25:05.481]  Welcome.
[00:25:06.581 --> 00:25:09.363]  I'm calling to represent FirefightersForNotLivingTruth.org.
[00:25:10.464 --> 00:25:11.224]  Okay, go ahead.
[00:25:12.185 --> 00:25:23.430]  If we can get more and more listeners to go to that site and sign the petition, and if we can get firefighters to join the site, I think that would help things out a lot in getting a reinvestigation of 9-11.
[00:25:25.131 --> 00:25:26.691]  That's one chance we might have.
[00:25:28.672 --> 00:25:30.333]  I created a MySpace page for them.
[00:25:30.613 --> 00:25:34.035]  It's MySpace.com forward slash FirefightersFor911Truth.org.
[00:25:35.734 --> 00:25:36.635]  Yeah, for those that don't know...
[00:25:51.923 --> 00:25:55.364]  There's architects and engineers for 9-11 Truth, over 700 members.
[00:25:55.724 --> 00:25:57.424]  There's physicists for 9-11 Truth.
[00:25:57.444 --> 00:26:00.585]  There's pilots for 9-11 Truth.
[00:26:00.705 --> 00:26:02.405]  Air traffic controllers for 9-11 Truth.
[00:26:02.765 --> 00:26:04.606]  Victims' families for 9-11 Truth.
[00:26:04.886 --> 00:26:05.686]  We've had them on.
[00:26:06.006 --> 00:26:12.028]  The heads of the majority, biggest 9-11 family groups saying the majority of them believe it's an inside job.
[00:26:12.808 --> 00:26:15.268]  There's military veterans for 9-11 Truth.
[00:26:15.368 --> 00:26:17.009]  I mean, we have the facts.
[00:26:17.069 --> 00:26:17.969]  We have the science.
[00:26:18.729 --> 00:26:19.549]  And it's real simple.
[00:26:19.589 --> 00:26:28.513]  Your gas-powered stove doesn't melt with those temperatures that are hundreds and hundreds and hundreds and hundreds of degrees higher than the hottest those buildings could burn.
[00:26:28.793 --> 00:26:30.714]  Those buildings were blown to kingdom come.
[00:26:32.075 --> 00:26:32.575]  Exactly.
[00:26:33.095 --> 00:26:33.575]  Exactly.
[00:26:33.635 --> 00:26:36.596]  And you know, there's facts to glore.
[00:26:36.616 --> 00:26:42.559]  I mean, you know, they have it on their sites, buildings that literally burnt for days, and they're still standing.
[00:26:43.559 --> 00:26:49.643]  Uh, you know, when those buildings falling, you know, faster than free fall, I mean, that should be a big red flag, but people just don't want to hear it.
[00:26:50.263 --> 00:26:55.627]  And then when you throw in firefighters for 9-11 Truth, that really grabs the attention of people.
[00:26:55.707 --> 00:26:57.148]  I've been surprised.
[00:26:57.208 --> 00:27:00.230]  I mean, there's been people I've talked to in the past that just didn't want to hear about it.
[00:27:00.790 --> 00:27:04.513]  And then I mentioned firefighters for 9-11 Truth, and all of a sudden, they're interested.
[00:27:04.893 --> 00:27:07.895]  So, that seems to be a good avenue on waking people up.
[00:27:10.096 --> 00:27:11.557]  Absolutely, it certainly is.
[00:27:11.877 --> 00:27:12.558]  Anything else, sir?
[00:27:13.447 --> 00:27:17.549]  Yeah, you were talking about the vaccines and how they're going to make it mandatory.
[00:27:17.649 --> 00:27:27.633]  And I'll tell you one interesting fact on the vaccines is if you look into nanotechnology and the capabilities they have these days of inserting nano-sized chips.
[00:27:28.514 --> 00:27:30.795]  So that could be what's to come.
[00:27:31.955 --> 00:27:32.776]  Well, absolutely.
[00:27:32.856 --> 00:27:34.496]  I agree with you and I appreciate your call.
[00:27:35.117 --> 00:27:37.658]  Actually, we already have nanotech.
[00:27:40.382 --> 00:27:49.088]  Along the lines of Incredible Journey, where they shrink the little submarine down to the tiny size of a grain of sand and inject it into the body?
[00:27:49.448 --> 00:27:49.668]  No.
[00:27:51.129 --> 00:27:57.914]  But most nanotech is going along the lines of biological now, where they program biological systems.
[00:27:57.954 --> 00:27:58.955]  I mean, what are bacteria?
[00:27:59.315 --> 00:28:00.235]  They start dividing.
[00:28:01.356 --> 00:28:02.077]  They multiply.
[00:28:02.117 --> 00:28:05.839]  That's a form of nanotech, a self-replicating micro-machine.
[00:28:06.299 --> 00:28:07.740]  It's just a biological machine.
[00:28:10.435 --> 00:28:18.919]  There's a whole class, several classes of vaccines, and we've had medical doctors and virologists and epidemiologists on to talk about this.
[00:28:19.259 --> 00:28:25.502]  There's whole classes of vaccines that, quote, cure, these are the new high-tech vaccines, cure drug addiction.
[00:28:27.623 --> 00:28:33.126]  And you can Google a story like, new vaccine to cure cocaine addiction or to cure smoking.
[00:28:33.927 --> 00:28:44.473]  And what they say these do is they go in and create plaques, viruses, live viruses, go in in some of these drugs and attack the brain and actually create a type of lobotomy.
[00:28:45.174 --> 00:28:48.696]  A lobotomy is just doing surgery to change the makeup of the brain.
[00:28:49.807 --> 00:28:58.753]  And they go in and they create plaques at the neuro-receptor sites in the neurons of the brain in the electrochemical areas.
[00:28:59.734 --> 00:29:09.581]  And then the body can't pass the drugs on, the cocaine, the heroin, the nicotine, but also your regular endorphins that your body creates naturally can't get there.
[00:29:09.982 --> 00:29:11.623]  So yes, they have viruses.
[00:29:13.083 --> 00:29:17.184]  That they can program to go in and do whatever they want to your brain.
[00:29:17.424 --> 00:29:25.986]  That means kill you, make you a vegetable, make you blind, make you not be able to enjoy a cigarette, make you not be able to taste the taste of chocolate.
[00:29:26.206 --> 00:29:28.046]  They can program you to do whatever they want.
[00:29:28.906 --> 00:29:29.827]  We're on the march.
[00:29:29.847 --> 00:29:31.907]  The Empire's on the run.
[00:29:32.807 --> 00:29:35.508]  Alex Jones and the GCN Radio Network.
[00:29:38.507 --> 00:29:40.089]  Hello friends, this is Alex Jones.
[00:29:40.209 --> 00:29:44.816]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:29:44.936 --> 00:29:47.700]  We need to be independent, and food and water is the key.
[00:29:47.920 --> 00:29:50.764]  You'll never have to stand in a bread line if you have your own bread.
[00:29:50.964 --> 00:29:55.691]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:29:55.891 --> 00:29:56.832]  If you simply prepare.
[00:29:57.032 --> 00:29:59.955]  No one is going to take care of your family in the final equation but you.
[00:30:00.255 --> 00:30:07.161]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration or Chinese imports.
[00:30:07.261 --> 00:30:10.384]  And they do it at almost half the cost of last year's grocery prices.
[00:30:10.544 --> 00:30:12.086]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com
[00:30:15.669 --> 00:30:21.753]  Visit eFoodsDirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[00:30:21.933 --> 00:30:25.775]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:30:25.795 --> 00:30:27.657]  Again, 1-800-409-5633 or on the web at eFoodsDirect.com.
[00:30:27.697 --> 00:30:28.697]  Take action today.
[00:30:28.757 --> 00:30:30.398]  The first step is getting storable food.
[00:30:38.601 --> 00:30:43.905]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:30:44.445 --> 00:30:52.832]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[00:30:53.012 --> 00:30:59.797]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:31:00.117 --> 00:31:05.619]  This new technology has proven itself to be a formidable weapon against bio threats of today and tomorrow.
[00:31:05.880 --> 00:31:11.862]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[00:31:12.182 --> 00:31:18.465]  The new silver solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[00:31:18.845 --> 00:31:23.247]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[00:31:23.508 --> 00:31:26.469]  Check out the patented new silver solution today.
[00:31:26.869 --> 00:31:30.152]  Click on the link and check out the uses for New Silver Solution.
[00:31:30.553 --> 00:31:35.218]  Order this extra line of defense today by going to supernaturalsilver.com.
[00:31:35.378 --> 00:31:37.520]  That's supernaturalsilver.com today.
[00:31:38.181 --> 00:31:43.726]  This is Alex Jones and I want to tell you again about a company that has supported us in the truth movement for years.
[00:31:44.027 --> 00:31:45.188]  Inner Health Botanicals.
[00:31:45.348 --> 00:31:48.111]  This company produces the highest quality superfood around.
[00:31:48.331 --> 00:31:49.312]  Called InnerFood.
[00:31:49.593 --> 00:31:51.154]  My wife just loves the stuff.
[00:31:51.455 --> 00:31:57.762]  And now, the health ranger Mike Adams has awarded InnerFood his Editor's Choice Award for Best Superfood of 2009.
[00:31:58.523 --> 00:32:01.466]  InnerFood is loaded with 20 great organic ingredients.
[00:32:01.786 --> 00:32:03.188]  No fillers, no sweeteners.
[00:32:03.508 --> 00:32:07.971]  It would be impossible to blend this up for a better price, and their formula really works.
[00:32:08.231 --> 00:32:10.772]  This is the real thing for the great health you need.
[00:32:11.052 --> 00:32:16.896]  Try the NutriCafe, their great organic coffee infused with polysaccharides that boosts the immune system.
[00:32:17.296 --> 00:32:19.497]  A truly healthy coffee that tastes great.
[00:32:19.717 --> 00:32:21.978]  And take it from me folks, it really does taste great.
[00:32:22.178 --> 00:32:23.939]  Don't forget to try their other great products.
[00:32:24.280 --> 00:32:26.641]  Go to www.nutricafe.com.
[00:32:26.781 --> 00:32:30.224]  We will not be forgotten.
[00:32:30.684 --> 00:32:33.786]  We won't be left behind.
[00:32:33.946 --> 00:32:35.768]  Our memories live on in Port-au-Prince.
[00:32:35.808 --> 00:32:36.688]  And for history's sake,
[00:32:54.606 --> 00:32:56.348]  We'll ride again.
[00:32:57.588 --> 00:33:01.691]  I am a Midwest farmer.
[00:33:02.112 --> 00:33:03.973]  I make a living off the land.
[00:33:04.814 --> 00:33:06.455]  I ride a John Deere tractor.
[00:33:07.015 --> 00:33:08.657]  I'm a liberated man.
[00:33:09.357 --> 00:33:13.480]  The rain, it hasn't fallen since the middle of July.
[00:33:14.221 --> 00:33:17.083]  And if it don't come soon, my crops will die.
[00:33:18.899 --> 00:33:21.301]  Coming up, life on the edge of a bubble.
[00:33:21.321 --> 00:33:23.282]  Blowing the American Dream.
[00:33:23.302 --> 00:33:24.262]  With director William Lewis.
[00:33:24.282 --> 00:33:26.224]  Very important film dealing with the economy.
[00:33:43.390 --> 00:33:46.512]  Have we talked to William yet about what clips he wants to play coming up on the show?
[00:33:46.932 --> 00:33:50.354]  Because we're rapidly accelerating towards the time to have him on.
[00:33:53.795 --> 00:33:54.276]  Okay, good.
[00:33:54.696 --> 00:33:56.677]  And any clips he wants to play, too.
[00:33:57.297 --> 00:33:58.638]  Ask when there's a good party he wants to play.
[00:33:59.178 --> 00:34:00.259]  Okay, fantastic.
[00:34:00.899 --> 00:34:02.940]  I'm continuing with your phone calls here.
[00:34:02.960 --> 00:34:10.704]  I'm going to go to some other news and recap some top stories ahead of our guest being in studio with us.
[00:34:12.179 --> 00:34:15.223]  Before I do that, I want to thank a couple of the sponsors.
[00:34:16.404 --> 00:34:18.286]  eFoodsDirect.com.
[00:34:20.408 --> 00:34:25.594]  And eFoodsDirect.com is the name of Storable Foods, non-GMO, non-hybrid.
[00:34:26.752 --> 00:34:30.135]  This is who I have trusted with my storable food.
[00:34:30.155 --> 00:34:31.937]  This is where I bought my storable food.
[00:34:31.997 --> 00:34:34.559]  This is what I believe the best prices are, the highest quality.
[00:34:34.819 --> 00:34:35.880]  This is who I use.
[00:34:36.421 --> 00:34:38.743]  The website is efoodsdirect.com.
[00:34:38.783 --> 00:34:40.765]  The letter E, foodsdirect.com, or 1-800-409-5633.
[00:34:40.785 --> 00:34:40.885]  1-800-409-5633.
[00:34:40.905 --> 00:34:42.226]  Or again, the website, efoodsdirect.com.
[00:34:49.906 --> 00:34:51.927]  We don't have to remind you that you need food to survive.
[00:34:52.808 --> 00:34:54.709]  And one of our great sponsors is eFoods Direct.
[00:34:54.729 --> 00:34:57.191]  It's the longest continually operating horrible foods company in the country.
[00:34:57.551 --> 00:35:01.414]  They also happen to be true patriots and have supported the freedom movement for years and years.
[00:35:02.214 --> 00:35:09.719]  With the looming depression, all the uncertainty and the wars and the rest of it, even if there's a small chance we're going to have a serious depression, you should have a horrible food.
[00:35:09.759 --> 00:35:13.742]  And unfortunately, folks, for all of us, it's more than just a small chance.
[00:35:15.786 --> 00:35:20.953]  Continuing also with another one of our fine sponsors, and we're going to go back to your calls, Front Sight!
[00:35:21.053 --> 00:35:22.415]  FrontSight.com!
[00:35:22.755 --> 00:35:24.237]  Have you heard of the Millionaire Patriot?
[00:35:24.277 --> 00:35:32.708]  Dr. Ignatius Piazza, the founder of the Front Sight Firearms Training Institute, is offering a free handgun and five days of firearms training to my listeners.
[00:35:33.108 --> 00:35:34.229]  And my listeners only right now.
[00:35:34.730 --> 00:35:41.738]  The offer is only available for a limited time because Dr. Piazza is literally paying his own money out of his pocket to be able to offer you this deal.
[00:35:41.758 --> 00:35:43.100]  And it won't last forever, so listen up.
[00:35:43.640 --> 00:35:52.331]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapon permit, all for pennies on the dollar.
[00:35:52.871 --> 00:35:58.094]  Act fast, and they will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:35:58.674 --> 00:36:06.118]  I believe now is the time for you and your family to be armed and trained to levels that exceed even law enforcement and military standards.
[00:36:06.699 --> 00:36:08.580]  From front-site providers such as training,
[00:36:09.820 --> 00:36:13.862]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:36:14.343 --> 00:36:17.384]  Thousands have already taken advantage of this opportunity and you should too.
[00:36:17.444 --> 00:36:18.105]  Don't miss out.
[00:36:18.365 --> 00:36:23.147]  Go to FrontSight.com and get your free training today.
[00:36:23.448 --> 00:36:25.669]  Get your training and free gun today.
[00:36:26.049 --> 00:36:30.351]  And basically what it comes out to is you pay half price for the training and get a free gun on top of it.
[00:36:30.371 --> 00:36:33.013]  It's very inexpensive and Front Sight is the name
[00:36:33.673 --> 00:36:35.355]  in personal defense.
[00:36:35.395 --> 00:36:44.182]  I mean, I heard about these people ten years ago as the creme de la creme from police and people I know and friends I have and people in the patriot movement.
[00:36:44.522 --> 00:36:45.123]  Frontside.
[00:36:45.303 --> 00:36:47.865]  F-R-O-N-T-S-I-G-H-T dot com.
[00:36:48.205 --> 00:36:51.868]  Or visit them by clicking the banner on InfoWars.com or PrisonPlanet.com.
[00:36:52.208 --> 00:36:52.609]  Okay.
[00:36:53.509 --> 00:36:56.212]  I want to move quickly through your calls now because I've got some news I want to get to.
[00:36:56.632 --> 00:36:59.955]  Let's go ahead and talk to Collin in Texas.
[00:36:59.995 --> 00:37:00.896]  Collin, you're on the air.
[00:37:00.936 --> 00:37:01.236]  Welcome.
[00:37:02.168 --> 00:37:03.129]  Thank you so much, Alex.
[00:37:03.189 --> 00:37:04.530]  We love you for speaking the truth.
[00:37:05.471 --> 00:37:12.977]  The reason I'm calling is I've been a diabetic for 17 years and I now realize they're putting metacresol in the insulin as a preservative.
[00:37:13.117 --> 00:37:14.419]  It's a known carcinogenic.
[00:37:15.259 --> 00:37:16.660]  It causes renal failure.
[00:37:17.381 --> 00:37:23.366]  It kills your lungs, your liver, attacks your central nervous system, and it equals almost half the amount of the insulin.
[00:37:23.967 --> 00:37:24.767]  Who makes the product?
[00:37:24.928 --> 00:37:27.550]  Eli Lilly, who also makes Prozac and methadone.
[00:37:28.214 --> 00:37:38.802]  But, uh, I was just scared to speak out because I'm a legal immigrant to this country from Canada, and I was worried about my family and the repercussions of it, but they've just given all diabetics a death sentence with this product.
[00:37:39.483 --> 00:37:40.924]  So, what are your thoughts?
[00:37:41.164 --> 00:37:41.804]  I don't know what to do.
[00:37:41.844 --> 00:37:54.134]  Well, I don't specifically know the details of that particular additive to the drug you were talking about, but I do know that Bayer Pharmaceutical knowingly shipped out over a million dosages of Factor VIII,
[00:37:55.720 --> 00:38:06.610]  A blood drug, knowing it would kill every hemophiliac and person that took it, and then that came out in court documents, MSNBC's reported even, that they knowingly shipped it out, knowing it would kill the people.
[00:38:07.131 --> 00:38:14.218]  I know that Merck, who made Vioxx, they knew was going to kill people, knew that the Gardasil HPV shot for girls
[00:38:14.958 --> 00:38:18.622]  Uh, was going to kill and maim a lot of people because their own trial showed that.
[00:38:19.002 --> 00:38:22.806]  And now we have the headlines out of the Australian newspapers and the U.S.
[00:38:22.846 --> 00:38:23.206]  papers.
[00:38:23.646 --> 00:38:30.613]  Merck planned to send out hit teams, quote, to where they live and liquidate doctors and scientists that expose them, i.e.
[00:38:30.693 --> 00:38:31.013]  kill.
[00:38:31.654 --> 00:38:33.355]  I covered that last, uh, last Monday.
[00:38:34.429 --> 00:38:38.230]  So, yes, Big Pharma is eugenicist.
[00:38:39.171 --> 00:38:45.913]  And eugenicists are the same folks with the black men and syphilis, Tuskegee, the radiation of the foster kids in the 40s and 50s and 60s.
[00:38:46.694 --> 00:38:48.234]  That has all just intensified.
[00:38:48.254 --> 00:38:53.776]  The UN has been caught putting HIV in vaccines all over the world, Asia, Africa, Latin America.
[00:38:54.177 --> 00:38:57.458]  They've been caught, State Department ran them 200, ordering people.
[00:38:58.218 --> 00:39:03.342]  Ordering third-world countries that they want IMF and World Bank loans to have one-child policies and to sterilize their women.
[00:39:03.702 --> 00:39:04.442]  This is real!
[00:39:05.043 --> 00:39:13.828]  And the UN's been caught in Africa and India adding female hormones to tetanus shots that cause an autoimmune response to the hormone release, thus sterilizing the women violently.
[00:39:14.689 --> 00:39:18.732]  That is, they have miscarriages each time, so effectively it's a sterilization.
[00:39:19.812 --> 00:39:26.197]  So, yes, we know that through Big Pharma and through the water supplies that this is being done to us.
[00:39:27.338 --> 00:39:29.801]  We know that all of this is unfolding.
[00:39:30.221 --> 00:39:31.743]  We know all of this is happening.
[00:39:32.584 --> 00:39:35.408]  And we just have to have the will to face up to what's going on.
[00:39:36.790 --> 00:39:39.754]  And under socialized health care and government corporate
[00:39:41.257 --> 00:39:43.999]  Kind of monopoly capitalism health care, they're going to call it socialist.
[00:39:44.399 --> 00:39:51.444]  They will force you to take the drugs and the products they want and they are going to medicalize vitamins and minerals, already doing it.
[00:39:51.764 --> 00:39:55.266]  Making fish oil now, they want to make it a drug and be over, not over the counter.
[00:39:55.786 --> 00:39:58.368]  Vitamin C, they want it to be a drug where you can't get it over the counter.
[00:39:58.788 --> 00:40:02.411]  This is their, they're shutting down the farms and ranches, animal ID, premises ID.
[00:40:02.751 --> 00:40:05.713]  This is a total control grid coming into place, Colin.
[00:40:07.079 --> 00:40:09.700]  Yes, and the doctors are basically McDonald's order takers.
[00:40:09.740 --> 00:40:11.821]  Would you like to supersize your drug size with that?
[00:40:11.861 --> 00:40:12.641]  Here, have some more.
[00:40:12.681 --> 00:40:13.641]  It'll kill you faster.
[00:40:13.681 --> 00:40:16.562]  You know, nobody's doing any class action lawsuits.
[00:40:17.323 --> 00:40:21.804]  We know that people who are dependent on insulin, 24 million diabetics in the U.S.
[00:40:22.324 --> 00:40:26.566]  I mean, they're all losing their kidneys and their eyesight because of this drug.
[00:40:26.586 --> 00:40:28.006]  No, that's just how it is.
[00:40:28.967 --> 00:40:30.827]  I know that's how it is when you have your Genesis running things.
[00:40:31.227 --> 00:40:32.148]  I'll check into it.
[00:40:32.168 --> 00:40:35.049]  Send me a blurb on it and we'll look into it, sir.
[00:40:35.069 --> 00:40:35.589]  God bless you.
[00:40:36.443 --> 00:40:46.002]  All I know is the chemical process and the molecular makeup of corn syrup destroys the pancreas.
[00:40:47.287 --> 00:40:50.510]  Which then, in turn, causes diabetes.
[00:40:51.130 --> 00:40:52.811]  Vaccines are linked to diabetes.
[00:40:53.672 --> 00:40:54.773]  By major government studies.
[00:40:54.813 --> 00:40:55.433]  They just hide them.
[00:40:56.694 --> 00:41:00.117]  I know that they're putting corn syrup in over 50,000 products.
[00:41:00.637 --> 00:41:03.540]  So, it's not just what corn syrup is bad.
[00:41:04.200 --> 00:41:07.263]  Let's Google, half of corn syrup has mercury.
[00:41:07.303 --> 00:41:07.923]  Google that.
[00:41:08.344 --> 00:41:09.504]  It'll be Washington Post.
[00:41:10.045 --> 00:41:11.566]  And then I could sit here right now.
[00:41:12.967 --> 00:41:27.050]  Googling vaccines, autism, vaccines, diabetes, vaccines, cancer, fluoride, cancer, and you will see government reports admitting it.
[00:41:28.030 --> 00:41:28.831]  This is an opinion.
[00:41:29.291 --> 00:41:32.371]  I could Google Gardasil deaths and show you all the dead kids.
[00:41:33.252 --> 00:41:34.872]  In the trials, they admit it killed people.
[00:41:35.792 --> 00:41:38.653]  And that it doesn't even protect you from that type of cancer.
[00:41:39.704 --> 00:41:40.825]  There it is, Washington Post.
[00:41:40.865 --> 00:41:44.006]  Study finds high fructose corn syrup contains mercury.
[00:41:45.107 --> 00:41:52.851]  January 26, almost half of tested samples of commercial... I just hit reload on the page for some reason.
[00:41:53.915 --> 00:41:54.695]  Let me look over here.
[00:41:54.715 --> 00:42:12.659]  There's almost half of tested samples of commercial high fructose corn syrup contain mercury, which also found in nearly a third of 55 popular brand name food and beverage products, where HFCS is the first or second highest labeled ingredient, according to two new U.S.
[00:42:12.679 --> 00:42:13.079]  studies.
[00:42:15.300 --> 00:42:16.300]  And it goes on from there.
[00:42:16.320 --> 00:42:19.381]  And then they go on to say, we don't know why mercury's in here.
[00:42:19.421 --> 00:42:20.701]  It's not involved in manufacturing.
[00:42:22.785 --> 00:42:24.087]  In fact, people don't believe me right now.
[00:42:24.428 --> 00:42:25.689]  Let's go ahead and put another one up.
[00:42:27.011 --> 00:42:32.159]  Google, fluoridation of water, bone cancer.
[00:42:33.061 --> 00:42:38.368]  Absolute fact, more than doubles bone cancer in adolescent boys.
[00:42:39.505 --> 00:42:49.167]  In fact, 50 years ago, bone cancer in children was like finding a leprechaun or a leprechaun riding a magical unicorn.
[00:42:49.247 --> 00:42:49.987]  Didn't exist.
[00:42:50.267 --> 00:42:50.707]  Unknown.
[00:42:50.867 --> 00:42:51.688]  Not found anywhere.
[00:42:52.368 --> 00:43:02.190]  Now, we've gone from one person out of 40 plus people with cancer, dying of cancer,
[00:43:03.465 --> 00:43:06.527]  Uh, to 1 in 3 dying of cancer.
[00:43:06.567 --> 00:43:07.508]  It's about to be 1 in 2.
[00:43:08.229 --> 00:43:10.630]  Fluoride water causes cancer.
[00:43:11.211 --> 00:43:12.091]  London Guardian.
[00:43:12.152 --> 00:43:14.073]  Boys at risk from bone tumors.
[00:43:15.194 --> 00:43:16.295]  Shock research reveals.
[00:43:16.355 --> 00:43:18.576]  Folks, they knew in the 20s it was causing bone cancer.
[00:43:18.977 --> 00:43:19.797]  University of Texas.
[00:43:19.817 --> 00:43:22.239]  But it's this toxic sterilizer.
[00:43:22.399 --> 00:43:25.141]  It also is a toxic, it's a wonder chemical.
[00:43:25.661 --> 00:43:27.883]  It attacks all the glands, all the organs of the brain.
[00:43:28.183 --> 00:43:30.565]  Has a calming and brain damaging effect.
[00:43:33.550 --> 00:43:34.971]  Look, I'm going for hours here with you.
[00:43:36.551 --> 00:43:39.232]  I mean, if you care about your kids, quit showering in fluoride water.
[00:43:39.792 --> 00:43:40.452]  Quit drinking it.
[00:43:41.633 --> 00:43:42.353]  But I know you can't.
[00:43:42.393 --> 00:43:43.553]  You're so brain damaged by it.
[00:43:43.614 --> 00:43:44.074]  I am too.
[00:43:44.134 --> 00:43:46.655]  I've been hitting it hard that you're almost unable to respond.
[00:43:47.755 --> 00:43:49.376]  Let me think of some other ones to pull up for people.
[00:43:51.236 --> 00:43:52.997]  Vaccines linked to diabetes.
[00:43:54.198 --> 00:43:56.060]  And you know why vaccines are linked to diabetes?
[00:43:56.401 --> 00:43:58.804]  Because they cause an autoimmune response.
[00:43:58.824 --> 00:43:59.985]  That's why they cause brain damage.
[00:44:00.246 --> 00:44:01.026]  This isn't just the mercury.
[00:44:01.287 --> 00:44:04.090]  The brain swells up, the baby gets bleeding on the brain.
[00:44:04.110 --> 00:44:06.914]  Sometimes they have a convulsion in the hospital so the parents don't get in trouble.
[00:44:07.154 --> 00:44:09.837]  But if they have it in the car or normally overnight...
[00:44:10.919 --> 00:44:13.920]  Mama comes in and the 18 month old is just like a zombie now.
[00:44:14.400 --> 00:44:20.443]  You go to the hospital and they call in the police and take you to jail for hurting the baby because the CAT scan shows blood on the brain.
[00:44:21.063 --> 00:44:24.464]  Now the diabolical bastards that do this, the doctor doesn't know, he's compartmentalized.
[00:44:24.905 --> 00:44:30.487]  They know it's even better because then they get even more federal funds with CPS grabbing a special needs brain damaged kid.
[00:44:31.167 --> 00:44:35.151]  Then they run up the money, drugging the kid out until they normally die by age 15.
[00:44:35.811 --> 00:44:37.393]  They kill all the foster kids with over-drugging.
[00:44:37.553 --> 00:44:39.535]  They'll get them on 20, 30, 40 drugs sometimes.
[00:44:39.955 --> 00:44:41.116]  Oh, I can show that to you right now.
[00:44:41.296 --> 00:44:42.417]  W-O-A-I Investigation.
[00:44:43.838 --> 00:44:44.239]  Oh, let me see.
[00:44:44.279 --> 00:44:47.321]  Vaccine dangers linked between diabetes.
[00:44:47.342 --> 00:44:48.783]  That's the NCCN.
[00:44:49.724 --> 00:44:50.885]  Let's go ahead and click on that.
[00:44:50.905 --> 00:44:51.906]  There's WebMD.
[00:44:52.926 --> 00:44:53.267]  Go ahead.
[00:44:54.554 --> 00:44:59.518]  Childhood vaccinations, juvenile onset, and it's got all these medical doctors, PhD reports.
[00:44:59.558 --> 00:45:01.540]  You can read that for yourself right there, medical reports.
[00:45:02.741 --> 00:45:03.201]  Oh, let me think.
[00:45:03.221 --> 00:45:04.902]  I can just sit here and just keep throwing it at you.
[00:45:04.942 --> 00:45:06.784]  These, this isn't done by accident.
[00:45:06.804 --> 00:45:09.406]  This is scientific soft kill.
[00:45:09.826 --> 00:45:13.949]  Silent weapons for quiet wars done by design.
[00:45:15.531 --> 00:45:15.891]  Period.
[00:45:18.553 --> 00:45:19.834]  And so that's how they operate.
[00:45:19.874 --> 00:45:20.695]  That's how they do this.
[00:45:23.154 --> 00:45:25.296]  And so we'll go over some more of that.
[00:45:26.057 --> 00:45:29.080]  But let's continue right now with a few more of your phone calls here.
