[00:00:00.141 --> 00:00:00.588]  I'm scumming.
[00:59:16.569 --> 00:59:19.453]  You'll never have to stand in a bread line if you have your own bread.
[00:59:19.633 --> 00:59:24.360]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:59:24.640 --> 00:59:24.941]  We're good.
[00:59:40.182 --> 00:59:40.682]  I think so.
[01:00:26.461 --> 01:00:31.645]  Okay, we got Cindy Sheehan in studio with us right now for the next 45 minutes or so.
[01:00:31.665 --> 01:00:33.206]  I'm going to open the phones up again.
[01:00:33.226 --> 01:00:36.669]  We'll open the phones up while she's here with us, but not in this segment.
[01:00:37.049 --> 01:00:39.851]  Her body is patiently holding on the line.
[01:00:39.871 --> 01:00:40.872]  The toll free number to join us is 1-800-259-9231.
[01:00:40.892 --> 01:00:41.232]  Look, 12 months ago...
[01:00:46.266 --> 01:00:49.367]  We had listeners have the idea for a money bomb.
[01:00:49.387 --> 01:00:50.548]  They saw Ron Paul do it.
[01:00:50.588 --> 01:00:51.688]  They saw Democrats do it.
[01:00:51.728 --> 01:00:52.909]  They saw Republicans do it.
[01:00:53.389 --> 01:00:54.629]  Tens of millions of dollars raised.
[01:00:54.649 --> 01:00:58.371]  They said, Alex, you need to get a bigger studio, get bigger offices, make more films.
[01:00:58.951 --> 01:01:00.151]  You need to do a TV show.
[01:01:00.191 --> 01:01:01.812]  You need to get on direct TV dish.
[01:01:01.872 --> 01:01:03.312]  Well, this is what we did in a year.
[01:01:03.513 --> 01:01:03.953]  It took me
[01:01:05.100 --> 01:01:09.246]  Three months to find a studio after the money bomb.
[01:01:09.266 --> 01:01:09.926]  That's pretty quick.
[01:01:10.327 --> 01:01:12.390]  You know, find a building.
[01:01:12.410 --> 01:01:13.171]  7,800 square feet.
[01:01:13.191 --> 01:01:16.375]  A couple months to get moved in, to get it renovated.
[01:01:16.395 --> 01:01:17.597]  A couple months to build the studios.
[01:01:17.837 --> 01:01:19.239]  We've been in here about five, six months.
[01:01:20.140 --> 01:01:25.904]  And we built the radio slash TV studios, and I thought I'd build a little studio out there for TV, but it's not really big enough, I've been told.
[01:01:25.924 --> 01:01:26.865]  It's very small out there.
[01:01:26.885 --> 01:01:29.967]  We did a tour in the videos on InfoWars of me explaining that.
[01:01:30.388 --> 01:01:39.374]  And the space right next to us is available, and unfortunately, but also fortunately, because the economy's imploding, it's the same amount of square feet as this, but for about 35-40% of the cost.
[01:01:42.342 --> 01:01:44.806]  7,000 plus square feet for $3,000 a month.
[01:01:45.267 --> 01:01:53.921]  So, we've already got enough from the money bomb to do that, but we're in negotiations with them, and then when they figure out you want it, then they, you know, but we're probably getting the space right next to us.
[01:01:55.029 --> 01:01:56.750]  We may get something else in this complex.
[01:01:56.930 --> 01:01:59.571]  The point is, is already $100,000 has come in.
[01:01:59.611 --> 01:02:00.292]  It's up on the board.
[01:02:00.312 --> 01:02:04.534]  You can watch it changing every few minutes as it goes up at InfoWarsMoneyBomb.com.
[01:02:05.335 --> 01:02:07.035]  But our bandwidth a year costs over $300,000.
[01:02:07.276 --> 01:02:10.837]  And that's very inexpensive bandwidth we're buying from big CDNs.
[01:02:11.278 --> 01:02:12.719]  Same folks Google gets theirs from.
[01:02:13.099 --> 01:02:14.259]  That's how big we've gotten.
[01:02:14.279 --> 01:02:14.900]  $30,000 a month in bandwidth.
[01:02:14.960 --> 01:02:17.001]  That's about $22,000 in bandwidth and then IT total.
[01:02:17.021 --> 01:02:17.501]  It's about $30,000 a month.
[01:02:23.044 --> 01:02:29.747]  That is a very hard nut to crack, and I don't like getting up here on the air every day and this product, that product, get this, get that, but that's what funds us.
[01:02:29.767 --> 01:02:35.509]  You know, I put my films out for free, and that's why they go so viral, is because I put them out for free and I promote they're free.
[01:02:36.089 --> 01:02:38.790]  Endgame, The Obama Deception, Truth Rising, Terrorist Storm.
[01:02:39.350 --> 01:02:43.752]  These are the number one films online, week in, week out, month in, month out, year in, year out.
[01:02:44.807 --> 01:02:55.213]  Well, we're going to start putting out more and more films, and we're going to get more aggressive and hire a couple more video editors, a couple more webmasters, get a bigger space, do the full TV deal, and, you know, fund that with other funds I have coming in.
[01:02:55.333 --> 01:02:56.894]  $250,000 is very small.
[01:02:57.215 --> 01:02:59.056]  Most real studios, each camera is $50,000.
[01:02:59.096 --> 01:03:01.517]  You only have four cameras, so that's $200,000 right there.
[01:03:01.537 --> 01:03:03.198]  We've got little $4,000, $5,000 cameras, but we're doing it on the cheaps.
[01:03:07.042 --> 01:03:13.685]  The issue is we need $250,000 minimum to be able to really go to the next level, and hopefully folks are going to do that.
[01:03:13.705 --> 01:03:15.285]  It looks like you are stepping up to the plate.
[01:03:16.146 --> 01:03:16.666]  But the P.O.
[01:03:16.706 --> 01:03:17.606]  Box is up there.
[01:03:17.946 --> 01:03:19.267]  You can still mail stuff to us.
[01:03:19.287 --> 01:03:22.368]  You can call the toll-free number to donate today.
[01:03:22.748 --> 01:03:24.249]  This is running through from 11 a.m.
[01:03:24.289 --> 01:03:25.309]  today to 11 a.m.
[01:03:25.349 --> 01:03:30.611]  tomorrow, and almost $100,000 has come in in just the last few hours.
[01:03:31.032 --> 01:03:32.092]  Very, very exciting.
[01:03:32.112 --> 01:03:32.972]  So God bless you.
[01:03:33.392 --> 01:03:33.933]  I thank you.
[01:03:34.833 --> 01:03:47.026]  We're not the government that takes your money and then gives it to bomb makers and pays three times what a cruise missile's worth to GE that owns NBC and then NBC puts out pro-war propaganda.
[01:03:47.526 --> 01:03:48.587]  That's government paid for.
[01:03:48.988 --> 01:03:52.511]  Or the open government money that is paid
[01:03:54.313 --> 01:03:54.774]  We're good to go.
[01:04:10.317 --> 01:04:15.804]  Nobody like Infowars.com and PrisonPlanet.com and the films and books and all the things we do and all the things we've expanded here.
[01:04:15.844 --> 01:04:25.597]  So I want to thank all of you that have supported us, the PrisonPlanet.tv members, folks that have bought the books and videos, people that support the sponsors, and people that give on the once a year money bomb.
[01:04:25.617 --> 01:04:26.659]  This is our second annual.
[01:04:27.199 --> 01:04:36.584]  I want to thank listeners like Eric Nordstrom who had the idea to do this a year ago because in the past I would shrink from asking for money and I kind of liked staying small and didn't like the responsibility.
[01:04:37.004 --> 01:04:48.730]  Now I've decided just to go all the way, grow as fast as I can, do as much as I can, reach as many people as I can and pump all the profits right back into expanding our fight against the globalists and the New World Order because my children have no future.
[01:04:49.150 --> 01:04:50.251]  And your children have no future.
[01:04:50.311 --> 01:04:51.953]  None of us have any future if we don't turn this around.
[01:04:51.993 --> 01:04:56.697]  So, InfoWarsMoneyBomb.com or InfoWars.com.
[01:04:56.757 --> 01:05:00.441]  Link through and give in the June 11, 2009 Money Bomb.
[01:05:00.721 --> 01:05:01.582]  It is going right now.
[01:05:01.822 --> 01:05:05.866]  I'm going to do an hour of overdrive today to take calls just on the Money Bomb from listeners.
[01:05:05.886 --> 01:05:08.248]  So, we'll be going live until 4 o'clock Central Standard Time today.
[01:05:08.268 --> 01:05:14.234]  And I'll be back tonight, 9 to midnight, sitting in the command chair with Jason Bermas, 9 to midnight tonight.
[01:05:14.474 --> 01:05:14.894]  We're good to go.
[01:05:37.874 --> 01:05:43.478]  And you were really that focal point that really made the war unpopular.
[01:05:44.239 --> 01:05:48.042]  If people can touch one zeitgeist or one pillar, one point,
[01:05:50.626 --> 01:05:58.628]  You know, one Rosetta Stone that really exposed this war, it's Cindy Sheehan and her great supporters in your story.
[01:05:59.088 --> 01:06:13.112]  The other problem and sad problem is, if anybody can touch a zeitgeist or a keystone and say, what has allowed it to continue and actually expand and really destroyed a lot of your work, is Barack Obama.
[01:06:13.712 --> 01:06:16.413]  And I want to get your take on that statement I just made, but it's great to have you here with us.
[01:06:17.057 --> 01:06:20.341]  Oh Alex, it's nice to be finally in studio with you.
[01:06:20.762 --> 01:06:21.502]  It is good.
[01:06:21.523 --> 01:06:28.310]  I feel like I've met you many times on the road and at Crawford and Denver and California and places, but to be here now in studio with you is so great.
[01:06:28.571 --> 01:06:34.558]  You've got the floor, but I'd like you to speak about the statement I just made about the parties, the betrayal, the false hope, where this country's going.
[01:06:34.895 --> 01:06:40.998]  Well, of course, you know, I think you're perfectly correct when you say that.
[01:06:41.458 --> 01:06:49.222]  I think in the summer of 2005, many people recognized that that was going to be, you know, the point that
[01:06:52.761 --> 01:06:54.262]  You know, what am I trying to say?
[01:06:54.322 --> 01:06:59.285]  The popularity of the war, of George Bush, was going to turn.
[01:06:59.605 --> 01:07:00.445]  It was going to turn there.
[01:07:00.465 --> 01:07:01.386]  The tipping point.
[01:07:01.466 --> 01:07:02.727]  Right, the tipping point, right.
[01:07:02.927 --> 01:07:07.469]  And so, many organizations came out to try and co-opt that movement.
[01:07:07.549 --> 01:07:08.890]  And they did co-opt the movement.
[01:07:09.450 --> 01:07:18.215]  MoveOn.org is one of the biggest organizations, is the biggest organization that came out and co-opted it and used it to just elect Democrats.
[01:07:18.735 --> 01:07:20.796]  And now we see we have a...
[01:07:48.855 --> 01:07:49.516]  Well, they did.
[01:07:49.576 --> 01:07:55.859]  Move On did give me a chance to sell out my position on Troops Home immediately and completely.
[01:07:55.879 --> 01:08:01.503]  And it was in my trailer in Crawford, Texas, one of the last days of Camp Casey.
[01:08:01.923 --> 01:08:05.045]  And of course, I refused them, and so they cut all ties with me.
[01:08:05.065 --> 01:08:06.566]  Describe that story for those that don't know.
[01:08:06.586 --> 01:08:06.966]  This is key.
[01:08:07.486 --> 01:08:07.766]  Right.
[01:08:07.786 --> 01:08:08.467]  This is history.
[01:08:08.687 --> 01:08:10.649]  Yeah, well... I mean, the war is collapsing.
[01:08:11.450 --> 01:08:12.371]  80% are against it.
[01:08:12.431 --> 01:08:13.252]  It's totally a fraud.
[01:08:13.292 --> 01:08:13.973]  Millions dead.
[01:08:13.993 --> 01:08:17.776]  And, you know, Bush has tried to demonize you.
[01:08:17.796 --> 01:08:18.657]  The neocons had it.
[01:08:18.737 --> 01:08:19.378]  It failed.
[01:08:20.259 --> 01:08:21.460]  And then here come the Judas Goats.
[01:08:21.500 --> 01:08:22.241]  Tell people that story.
[01:08:22.421 --> 01:08:27.226]  Well then, you know, they sent out their big guns from Washington, D.C.
[01:08:27.667 --> 01:08:34.655]  to try and convince me to support, you know, a troops home eventually bill that the Democrats were trying to push through.
[01:08:34.775 --> 01:08:42.263]  And me and the very dedicated people, we refused to support that and we wanted to keep our
[01:08:44.485 --> 01:08:47.626]  You know, our position of troops out completely.
[01:08:47.966 --> 01:08:53.107]  And now we know that the Democrats were only co-opting Camp Casey to get back in power.
[01:08:53.147 --> 01:08:55.607]  They had no intention of ending the war.
[01:08:55.627 --> 01:08:57.288]  Just look what's happening right now.
[01:08:57.688 --> 01:09:09.050]  Nancy Pelosi is literally browbeating her caucus to vote for the war funding, because every Republican is going to vote against it, and so she needs every Democratic vote.
[01:09:09.090 --> 01:09:09.490]  I don't know.
[01:09:31.116 --> 01:09:34.097]  Ran against Nancy Pelosi in her district as an independent.
[01:09:34.897 --> 01:09:39.818]  And the system is definitely stacked against us and our voices for sure.
[01:09:40.459 --> 01:09:42.039]  Now that was a rig deal.
[01:09:42.079 --> 01:09:42.539]  No kidding.
[01:09:42.939 --> 01:09:51.362]  So I'm more into, you know, like you were talking about before, you just mentioned something that there's really no left or right.
[01:09:51.382 --> 01:09:53.482]  There's no liberal or conservative.
[01:09:53.522 --> 01:09:57.383]  Those things, those labels don't make sense anymore at all.
[01:09:57.863 --> 01:09:59.004]  If Obama's left,
[01:09:59.784 --> 01:10:00.405]  Then what am I?
[01:10:00.425 --> 01:10:02.926]  If Hillary's left, then what am I?
[01:10:02.946 --> 01:10:08.631]  You know, if you're far right, then what is Bill O'Reilly?
[01:10:09.011 --> 01:10:11.973]  You know, these labels just don't make sense to us anymore.
[01:10:12.433 --> 01:10:19.579]  So, Alex, I want to ask you a question, because I do have my own radio show now, also, so a lot of times I get to ask questions.
[01:10:19.599 --> 01:10:20.319]  Oh, good, yeah.
[01:10:20.519 --> 01:10:21.240]  I like being interviewed.
[01:10:21.260 --> 01:10:22.701]  I actually do better when I get interviewed, yeah.
[01:10:22.921 --> 01:10:27.807]  Well, I'm going to be on the air in Dallas on Sundays at 3 now, so I'm very excited about that.
[01:10:27.908 --> 01:10:28.288]  Oh, good.
[01:10:28.428 --> 01:10:29.329]  On Rational Radio.
[01:10:29.349 --> 01:10:30.631]  Yeah, they need to hear this voice.
[01:10:31.012 --> 01:10:31.632]  What do you call yourself?
[01:10:31.873 --> 01:10:33.054]  Politically, economically, socially?
[01:10:33.074 --> 01:10:33.335]  Anti-slavery.
[01:10:39.122 --> 01:10:41.405]  I don't want to be under corporate slavery, government slavery.
[01:10:41.525 --> 01:10:47.492]  I understand anything big that's undemocratic and un-libertarian is going to be hijacked by special interests.
[01:10:48.032 --> 01:10:49.354]  And so I'm pro-education.
[01:10:49.374 --> 01:10:51.236]  I want people to know how the world really works.
[01:10:51.897 --> 01:10:54.039]  And I want the ten amendments.
[01:10:54.120 --> 01:10:54.700]  I want them all.
[01:10:55.461 --> 01:10:58.224]  And I know that there may have been differences in the parties before.
[01:10:59.806 --> 01:11:02.369]  And there were sometimes in history, but now there certainly isn't.
[01:11:02.909 --> 01:11:19.443]  And special interests, I mean, we've had Democratic and Republican leaders in the House and Senate come out and say that foreign banks, offshore banks, they're not even foreign, they're offshore, they have no country, pirates, pirates are on the sea, they're not in any nation, that they own and run Congress completely.
[01:11:19.523 --> 01:11:22.585]  Well, one of our senators just said that a couple weeks ago, right?
[01:11:22.645 --> 01:11:24.967]  It was Carl Levin, was it Carl Levin?
[01:11:25.167 --> 01:11:25.588]  He said it.
[01:11:25.608 --> 01:11:27.669]  He said bankers still own Congress.
[01:11:28.918 --> 01:11:31.460]  That's what he said, and he told the truth.
[01:11:31.720 --> 01:11:33.261]  But now I have another question for you.
[01:11:33.721 --> 01:11:36.322]  You don't ever advocate any violence, do you?
[01:11:36.602 --> 01:11:36.742]  No.
[01:11:36.762 --> 01:11:39.024]  I've never heard you advocate any violence.
[01:11:39.124 --> 01:11:41.365]  I wouldn't be on your show.
[01:11:41.385 --> 01:11:42.666]  What, people say I do?
[01:11:42.826 --> 01:11:44.907]  Yeah, you know, I've heard that.
[01:11:47.248 --> 01:11:53.853]  I think, because you said you support all the amendments from one to ten, and this is the problem in our country.
[01:11:53.873 --> 01:12:00.697]  We think that we can pick and choose what amendments that we like, and then we don't have to like the other ones.
[01:12:00.717 --> 01:12:01.898]  I don't like guns.
[01:12:02.538 --> 01:12:03.159]  I hate guns.
[01:12:03.219 --> 01:12:10.944]  I don't own guns, but the second amendment gives us the right to keep and bear arms, doesn't it?
[01:12:11.184 --> 01:12:11.524]  Yes.
[01:12:11.925 --> 01:12:16.448]  And, you know, all the amendments have laws that have passed to restrict
[01:12:17.068 --> 01:12:20.069]  The amendments, and as long as they're not too draconian.
[01:12:20.569 --> 01:12:30.630]  But the thing is, is that we are trying to support this Constitution that our leaders and the banks and the corporations have destroyed.
[01:12:30.650 --> 01:12:40.352]  Well that's what they do, they sell one person, one group, I'm getting rid of this one, and then let's get rid of that one, or let's restrict this one, let's restrict that one, and pretty soon they're all gone.
[01:12:40.952 --> 01:12:44.133]  But no, that's what they do, and that's the new media tactic.
[01:12:45.530 --> 01:12:46.070]  is that
[01:13:15.470 --> 01:13:15.630]  I think?
[01:13:33.635 --> 01:13:38.238]  Let's talk about this media, left and right, that supported the murder of over a million Iraqis.
[01:13:38.298 --> 01:13:45.563]  See, they always want to get it off of them and onto us, when clearly there's torture going on.
[01:13:45.704 --> 01:13:48.566]  Clearly Obama said he wouldn't hire any lobbyists, and that's all he did.
[01:13:48.946 --> 01:13:54.630]  Clearly he said he was going to make all the bailout money and the stimulus money public, and he's made it a secret.
[01:13:55.050 --> 01:13:59.834]  So clearly this guy is on the telephone, they admit, every week with Bush still.
[01:14:00.274 --> 01:14:05.156]  I mean, you saw him hugging and kissing, literally, when he got on the helicopter, and I'll call you next week.
[01:14:05.176 --> 01:14:06.016]  I was reading their lips.
[01:14:06.036 --> 01:14:07.236]  I mean, you could see it.
[01:14:07.637 --> 01:14:11.418]  And this is a big, sick joke in keeping all of Bush's people and Clinton's people coming in.
[01:14:11.738 --> 01:14:13.259]  I mean, talk about false hope.
[01:14:13.279 --> 01:14:18.240]  You know, that's like kidnapping a little kid with the hope he's going to get some candy when he gets in the van.
[01:14:18.820 --> 01:14:20.081]  And then now the little kid's kidnapped.
[01:14:20.161 --> 01:14:21.401]  It hasn't dawned on him yet.
[01:14:21.701 --> 01:14:22.882]  He's in the car with a monster.
[01:14:23.502 --> 01:14:26.243]  And so you've got a lot of Democrats now saying, what's wrong with torture?
[01:14:26.263 --> 01:14:27.444]  What's wrong with secret arrest?
[01:14:27.704 --> 01:14:29.544]  What's wrong with keeping the war going?
[01:14:29.924 --> 01:14:32.565]  And so of course they've got to say we're immoral or we're violent.
[01:14:32.685 --> 01:14:35.386]  And that's what's wrong with the so-called anti-war movement.
[01:14:35.727 --> 01:14:38.368]  They're only an anti-Republican war movement.
[01:14:38.748 --> 01:14:43.790]  And Obama has put half of the country to sleep thinking that if he's doing it, it's okay.
[01:14:45.851 --> 01:14:47.212]  Sonny, let's talk about Obama.
[01:14:47.252 --> 01:14:48.273]  I mean, I'd like to hear in your own words.
[01:14:48.293 --> 01:14:51.756]  I've heard you talk about the two parties being twins and challenging Democrats.
[01:14:51.816 --> 01:14:54.018]  A lot of them are getting this illusion as approval ratings drop.
[01:14:54.579 --> 01:14:55.880]  But the Democrats said, well, what are we going to do?
[01:14:55.920 --> 01:14:56.741]  Put a Republican in?
[01:14:57.321 --> 01:15:01.405]  No, what we do is make it about issues and say we're not voting for anybody that supports the war.
[01:15:02.266 --> 01:15:06.650]  And we're going to try to impeach anybody that doesn't sign a pledge that when you get elected, you're going to vote against it.
[01:15:07.570 --> 01:15:14.753]  Uh, and it's like that on all these issues where the people are all over here, and whatever the people want happens to be also in the Bill of Rights Constitution on most issues.
[01:15:15.033 --> 01:15:17.014]  And then over here, the government's always doing the opposite.
[01:15:17.074 --> 01:15:19.115]  So, I mean, call him out here on air.
[01:15:19.135 --> 01:15:23.317]  I mean, looking at the camera out there, what does Cindy Sheehan say to these Democrats?
[01:15:23.617 --> 01:15:27.858]  Because I've been on the streets talking to them, and they say, first it was, oh, he's God, he's gonna fix it all.
[01:15:28.159 --> 01:15:31.460]  Now it's, yeah, I know he had to lie to get in, but at least he's not Bush.
[01:15:32.869 --> 01:15:33.710]  Well, you know what?
[01:15:33.830 --> 01:15:34.391]  But that's true.
[01:15:34.431 --> 01:15:35.132]  He's not Bush.
[01:15:35.833 --> 01:15:36.294]  Who is?
[01:15:36.434 --> 01:15:37.135]  Bush is Bush.
[01:15:37.575 --> 01:15:40.119]  But he's continuing the policies of Bush.
[01:15:40.639 --> 01:15:48.189]  I have people on the so-called right email me and say, you're a hypocrite because you oppose Bush's wars but you don't oppose Obama's wars.
[01:15:48.209 --> 01:15:49.171]  They're doing the same thing.
[01:15:49.611 --> 01:15:56.678]  And I say, first of all, I do oppose Obama's wars, but you're the hypocrite if you don't support Obama's wars, because you supported Bush wars.
[01:15:57.018 --> 01:16:00.642]  But now on the Democratic left, it's the same thing.
[01:16:01.182 --> 01:16:06.247]  If you oppose Bush's policies and you support Obama's, that's hypocritical.
[01:16:06.568 --> 01:16:10.111]  And that's what allows our leaders to literally get away with murder.
[01:16:10.231 --> 01:16:11.552]  Murder and torture.
[01:16:12.253 --> 01:16:14.575]  They play us off in this left-right paradigm.
[01:16:14.715 --> 01:16:17.697]  It's like tag team wrestling, but they're both owned by the same company.
[01:16:17.818 --> 01:16:18.498]  It's a game.
[01:16:18.818 --> 01:16:27.485]  You know, and then the Democrats were really upset with Obama when he voted for the FISA legislation, but they won't go so far to say, I'm going to withhold my vote from you.
[01:16:27.786 --> 01:16:29.127]  You didn't earn my vote.
[01:16:29.547 --> 01:16:33.030]  I'm going to vote for somebody who stands up for the Constitution.
[01:16:33.490 --> 01:16:39.333]  Somebody who stands up for our rights, like Cynthia McKinney or Ralph Nader, that would be the Democrats' choice, right?
[01:16:39.373 --> 01:16:43.135]  The Republicans would have had the choice of Ron Paul.
[01:16:43.155 --> 01:16:49.558]  And so they don't, but they don't do that because they believe in this Democrat-Republican paradigm.
[01:16:49.898 --> 01:16:53.800]  So the Democrats just very arrogantly say, who are you going to vote for?
[01:16:53.820 --> 01:16:55.261]  Are you going to vote for McCain?
[01:16:56.081 --> 01:16:57.862]  You know, like that's the only two choices.
[01:16:58.262 --> 01:17:01.083]  That our only two choices were McCain or Obama.
[01:17:01.943 --> 01:17:05.184]  And in reality, those are the only two choices.
[01:17:05.224 --> 01:17:07.425]  Those are the only two people that are going to win.
[01:17:07.985 --> 01:17:10.766]  And they're really on the same team working against the people.
[01:17:10.786 --> 01:17:12.446]  In fact, I see this constantly.
[01:17:12.466 --> 01:17:13.326]  Yeah, absolutely.
[01:17:13.386 --> 01:17:14.867]  In hundreds of emails and calls.
[01:17:14.927 --> 01:17:17.107]  I look at, say, the Obama deception on YouTube.
[01:17:17.428 --> 01:17:19.648]  There's a version with two and a half million views.
[01:17:19.928 --> 01:17:21.749]  And I'll check it once they just see what the comments are.
[01:17:22.229 --> 01:17:25.190]  And usually it's, you're just a racist that doesn't like black people.
[01:17:25.450 --> 01:17:25.810]  Oh yeah.
[01:17:25.871 --> 01:17:28.073]  And then you click on their channel, it's always a white guy saying it.
[01:17:28.393 --> 01:17:29.634]  And it gets worse.
[01:17:29.794 --> 01:17:31.116]  It's kind of a high and mighty thing.
[01:17:32.177 --> 01:17:33.178]  But then it's worse.
[01:17:33.218 --> 01:17:37.162]  They say, oh you didn't bash Bush when he was doing all this.
[01:17:37.302 --> 01:17:40.625]  And they don't even know that all I did was go after Bush.
[01:17:40.725 --> 01:17:46.108]  That's not true, because we're going after the policies and the principles, not the person, right?
[01:17:46.588 --> 01:17:59.174]  So now, when we went to George Bush's home in Preston Hollow in Dallas on Monday to protest him, I got as much crap from the left, the so-called left, as I did from the right, because... They want to... Stay there.
[01:17:59.194 --> 01:18:00.174]  They want... Let me guess.
[01:18:00.194 --> 01:18:01.275]  They want it all to end.
[01:18:01.315 --> 01:18:01.535]  They do.
[01:18:01.555 --> 01:18:06.137]  They want to shut up about the war, move on, feel good about themselves, while the Iraqis die.
[01:18:06.177 --> 01:18:06.958]  Stay with us.
[01:18:07.685 --> 01:18:12.637]  The word catastrophe is defined as a sudden and widespread disaster.
[01:18:12.918 --> 01:18:16.126]  The only way to be truly ready is to prepare yourself now.
[01:18:19.312 --> 01:18:19.912]  We're good to go.
[01:18:46.049 --> 01:18:46.770]  We're good to go.
[01:19:07.648 --> 01:19:08.989]  Hey folks, Alex Jones here.
[01:19:09.150 --> 01:19:14.135]  I'm sending out a special alert to all those out there listening with credit card debt and struggling to make payments.
[01:19:14.535 --> 01:19:16.617]  I'm going to give you a very important phone number.
[01:19:16.958 --> 01:19:26.067]  Due to a declining economy and credit crisis, you now have the power to settle your debt and lower your payments by up to 60% or more by calling the bailout group.
[01:19:26.067 --> 01:19:26.987]  We're good to go.
[01:19:56.032 --> 01:19:56.252]  We're good.
[01:20:08.940 --> 01:20:09.840]  Spring is here.
[01:20:10.080 --> 01:20:10.860]  Growing season.
[01:20:11.041 --> 01:20:13.021]  The economy is not getting any better.
[01:20:13.241 --> 01:20:14.641]  In fact, it's getting worse.
[01:20:14.941 --> 01:20:15.602]  Think about it.
[01:20:15.922 --> 01:20:19.763]  At this rate, how will your life be in a month or even a year?
[01:20:20.003 --> 01:20:23.483]  Maybe you've been putting things off, but the time to act is now.
[01:20:23.704 --> 01:20:26.264]  You need to get your seeds before it's too late.
[01:20:26.524 --> 01:20:38.387]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[01:20:38.627 --> 01:20:38.987]  I think so.
[01:21:17.076 --> 01:21:17.436]  Yeah.
[01:21:24.793 --> 01:21:25.774]  You're on a book tour.
[01:21:25.894 --> 01:21:27.615]  You started a new radio show.
[01:21:27.635 --> 01:21:28.436]  Tell us about that.
[01:21:28.496 --> 01:21:29.917]  Calls are coming up in the next half hour.
[01:21:29.937 --> 01:21:36.361]  But first off, you went to our beloved president, George W. Bush, because that's what the Obama people say now.
[01:21:36.401 --> 01:21:37.102]  You love Bush.
[01:21:37.442 --> 01:21:38.503]  Sidney Sheehan loves Bush.
[01:21:38.583 --> 01:21:39.644]  Alex Jones loves Bush.
[01:21:39.864 --> 01:21:41.565]  When you criticize Obama, you're a right-winger.
[01:21:41.825 --> 01:21:53.273]  So as a right-wing extremist, even though you say you're against the left and right paradigm, but for Move On and George Soros, you went to protest your dear leader, George W. Bush.
[01:21:53.293 --> 01:21:54.274]  Tell us about that in Dallas.
[01:21:54.614 --> 01:21:57.315]  Well, of course, we just want accountability.
[01:21:57.395 --> 01:22:01.476]  We want the Obama administration to appoint a special prosecutor.
[01:22:02.076 --> 01:22:04.577]  But the people on the left are screaming because they do.
[01:22:04.617 --> 01:22:06.598]  They just say, let's move forward.
[01:22:06.658 --> 01:22:08.599]  Let's forget about the last eight years.
[01:22:09.239 --> 01:22:10.499]  But we can't move forward.
[01:22:10.539 --> 01:22:11.299]  We can't heal.
[01:22:11.379 --> 01:22:15.541]  We can't be anywhere near healthy if we don't hold these people accountable.
[01:22:16.261 --> 01:22:25.968]  But the thing the left, the so-called left, wants to stop my voice about is that Obama is doing the exact same thing.
[01:22:26.389 --> 01:22:36.896]  So if it was wrong under Bush and if there were war crimes and crimes against the Constitution under George Bush, then there are war crimes and crimes against the Constitution under Barack Obama.
[01:22:38.077 --> 01:22:39.779]  And then the right has always been against me.
[01:22:40.559 --> 01:22:44.422]  So, you know, they have the same criticisms of being anti-American.
[01:22:44.742 --> 01:22:53.027]  They claim to be so patriotic, hold their flags and wear their little lapel pins, but they want to deny me my First Amendment right.
[01:22:53.936 --> 01:22:55.217]  Well, look at the Democrats.
[01:22:55.297 --> 01:22:59.961]  They are just as warmongering because they're bought and paid for by the same military-industrial-banking complex.
[01:23:00.481 --> 01:23:01.962]  I mean, look at Clinton in Serbia.
[01:23:02.422 --> 01:23:05.265]  Look at LBJ in Vietnam.
[01:23:05.825 --> 01:23:06.746]  I mean, go back.
[01:23:08.027 --> 01:23:08.907]  It's really a fraud.
[01:23:08.927 --> 01:23:13.130]  They want to feel like they're good, feel like they're liberal, feel like they're anti-war.
[01:23:14.291 --> 01:23:17.833]  But in a way, that's even worse, because then people don't mount a resistance.
[01:23:18.073 --> 01:23:26.498]  When it's Bush arrogantly walking around with a chainsaw and a cowboy hat, acting tough, scared of cows and horses, it's obviously outrageous and disgusting.
[01:23:26.778 --> 01:23:30.700]  But when it's Obama reading off a teleprompter in slick, and he's got a...
[01:23:32.734 --> 01:23:34.175]  He's bounding around.
[01:23:34.235 --> 01:23:45.458]  He can read a pretty speech, but he's obviously going this way and this way and reading and he knows how to deliver a speech that somebody wrote for him, but all they are is pretty words.
[01:23:46.079 --> 01:23:49.820]  You know, his actions are speaking way louder than his words.
[01:23:50.200 --> 01:23:53.901]  We're killing more people in Pakistan, displacing people in Pakistan.
[01:23:55.262 --> 01:23:56.742]  Afghanistan is increasing.
[01:23:56.802 --> 01:23:58.363]  May was the deadliest month for Iraq.
[01:23:59.683 --> 01:24:22.073]  For our soldiers and for the Iraqi people in in months and You know his other policies of continuing military commissions and You know the FISA Modernization Act everything is pointing towards just a complete, you know fascistic takeover of our by our government Yeah, how about that already happened?
