[00:00:09.810 --> 00:00:10.250]  Oh, Willie.
[00:33:50.984 --> 00:33:52.145]  The Obama Deception.
[00:33:52.566 --> 00:33:53.747]  The people strike back.
[00:33:55.936 --> 00:33:59.940]  Less than a century ago, half of the American public grew much of their own food.
[00:34:00.220 --> 00:34:04.324]  Today, it's been estimated that only 1% of Americans still grow their own food.
[00:34:04.624 --> 00:34:08.909]  During the Great Depression, over 18 million people suffered from starvation.
[00:34:09.089 --> 00:34:15.315]  And as America continues down its current path, for many, the reality of another depression is a very serious concern.
[00:34:15.835 --> 00:34:16.897]  We're good to go.
[00:34:30.592 --> 00:34:30.872]  I think so.
[00:35:00.402 --> 00:35:01.023]  Big Brother.
[00:35:01.703 --> 00:35:02.724]  Mainstream media.
[00:35:03.465 --> 00:35:04.566]  Government cover-ups.
[00:35:05.226 --> 00:35:06.047]  You want answers?
[00:35:06.808 --> 00:35:07.789]  Well, so does he.
[00:35:08.369 --> 00:35:12.053]  He's Alex Jones on the GCN Radio Network.
[00:35:12.553 --> 00:35:16.597]  And now, live from Austin, Texas, Alex Jones.
[00:35:20.276 --> 00:35:23.718]  We are back, it's the Alex Jones Show, and Rob Dew, the producer, is in.
[00:35:23.878 --> 00:35:25.599]  And of course, Alex is still on the line.
[00:35:25.799 --> 00:35:26.779]  Rob, what's the latest?
[00:35:27.180 --> 00:35:33.523]  Alright, well, I talked to the reporter from the Oklahoma News 9, and his name is Dave Jordan.
[00:35:33.623 --> 00:35:37.005]  Real nice guy, he's actually, when I called him, I said I'm from the Alex Jones Show.
[00:35:37.025 --> 00:35:38.105]  He goes, you mean InfoWars?
[00:35:38.185 --> 00:35:38.506]  I said, yeah.
[00:35:38.526 --> 00:35:39.886]  He goes, I go on there every day.
[00:35:40.247 --> 00:35:41.427]  I couldn't believe it, that was funny.
[00:35:41.987 --> 00:35:48.391]  So we talked, he got me the guy's name, who took the video, his name is Kenyatta Davis, which is in the news report.
[00:35:49.636 --> 00:35:56.038]  And he's a former football coach at Dartmouth College who moved back to be close to his family.
[00:35:56.519 --> 00:35:58.659]  And he's the one taking the cell phone video.
[00:35:58.719 --> 00:36:00.320]  He's the one who took the cell phone video.
[00:36:00.500 --> 00:36:05.082]  He apparently, I don't think he's going to press charges at this time.
[00:36:05.182 --> 00:36:06.982]  He says he just... I'm going to press charges on him.
[00:36:07.022 --> 00:36:08.843]  I want to say something and then I'm going to get off here.
[00:36:09.143 --> 00:36:10.564]  I'm going to get Lew Rockwell on.
[00:36:11.204 --> 00:36:12.784]  But I want Rob Bill to finish up.
[00:36:13.205 --> 00:36:17.226]  Notice how the citizen whose mother
[00:36:18.050 --> 00:36:19.010]  We're good to go.
[00:36:40.658 --> 00:36:41.639]  It's the New World Order.
[00:36:41.919 --> 00:36:43.620]  So, I want to get down.
[00:36:43.660 --> 00:36:45.681]  We've talked to the EMT, I heard, dude.
[00:36:45.721 --> 00:36:46.621]  Tell folks about that.
[00:36:46.942 --> 00:36:48.022]  You talked to Mr. White.
[00:36:48.383 --> 00:36:50.144]  He is scared to come on the show.
[00:36:50.444 --> 00:36:51.504]  Well, listen, sir.
[00:36:51.865 --> 00:36:59.689]  They're going to destroy your life unless you stand up against these thugs, these people that attacked you and now want to ruin your life and make you lose your job.
[00:36:59.749 --> 00:37:04.572]  We need to get a fighting spirit, legally, against these pieces of filth.
[00:37:05.032 --> 00:37:06.433]  And folks, look.
[00:37:07.006 --> 00:37:09.788]  I'm not against the police, but I want to make it clear when I say this.
[00:37:09.868 --> 00:37:11.449]  I don't say that to grovel to them.
[00:37:11.690 --> 00:37:13.631]  It's because I know there's some good police out there.
[00:37:13.911 --> 00:37:27.021]  But the system is rotten, and when you don't speak up and say it's wrong to pull over an ambulance and then harass people, and then talk about fraudulently shooting people, that is the height of tyranny and it's disgusting.
[00:37:27.061 --> 00:37:28.222]  Tell us about Mr. White.
[00:37:28.863 --> 00:37:34.028]  Yeah, because I know you're making him on, making the reporter on, making the son on.
[00:37:34.048 --> 00:37:38.633]  But let's get Lew Rockwell on, and I apologize to him for getting him on late.
[00:37:39.153 --> 00:37:39.413]  Right.
[00:37:40.434 --> 00:37:45.639]  The only information I have now is that Dave is writing a couple, Dave Johns, Jordan, at
[00:37:47.050 --> 00:37:47.770]  at News 9.
[00:37:47.970 --> 00:37:51.212]  He's writing a couple more articles about this.
[00:37:51.292 --> 00:37:54.313]  This story has some more legs to it, because there's some more interesting angles.
[00:37:54.733 --> 00:37:58.434]  He's doing some fact-checking, so he doesn't want me to say anything on the air.
[00:37:59.175 --> 00:38:07.778]  But as soon as he releases his new article, he said he'll come on and talk about it, because there's definitely a lot more going on in this story.
[00:38:07.898 --> 00:38:09.398]  So we will keep everybody informed.
[00:38:09.458 --> 00:38:13.560]  Rob, Rob, Rob, you're saying it's worse than we're saying?
[00:38:14.708 --> 00:38:15.488]  Uh, well, I do.
[00:38:15.948 --> 00:38:16.409]  Yeah, yeah.
[00:38:16.649 --> 00:38:17.609]  It is pretty worse.
[00:38:17.649 --> 00:38:20.110]  And I don't want to say anything until the facts come in.
[00:38:20.130 --> 00:38:21.890]  Who are the police?
[00:38:22.250 --> 00:38:30.513]  I couldn't... If I was writing a Kurt Vonnegut satire about the worst police state in the galaxy, it would be stuff like this.
[00:38:30.693 --> 00:38:32.434]  I mean, what is their problem?
[00:38:32.834 --> 00:38:35.915]  Why are you so... They are so... Get Lou Rockwell on.
[00:38:35.995 --> 00:38:36.975]  Great job, Rod New.
[00:38:37.035 --> 00:38:38.495]  Great job, Jason Berman.
[00:38:38.515 --> 00:38:41.636]  This has got me about to get back in the car and drive back up there.
[00:38:41.676 --> 00:38:42.377]  God bless you, man.
[00:38:42.417 --> 00:38:43.477]  Stay and enjoy your weekend.
[00:38:44.338 --> 00:38:45.058]  All right, guys.
[00:38:45.098 --> 00:38:47.100]  I'll be calling in tomorrow and on the Sunday show.
[00:38:47.320 --> 00:38:48.040]  Barber, you're the best.
[00:38:48.060 --> 00:38:48.840]  Get Lou Rockwell on.
[00:38:48.860 --> 00:38:49.861]  All right, you got it.
[00:38:49.881 --> 00:38:50.421]  Thank you, sir.
[00:38:50.922 --> 00:38:55.044]  That is the great Alex Jones taking some well-deserved time off.
[00:38:55.484 --> 00:38:57.225]  Do we have Lou on the line yet?
[00:38:57.245 --> 00:38:59.586]  We're going to be getting Lou Rockwell in a moment.
[00:39:00.106 --> 00:39:04.128]  And if you don't know who Lou Rockwell is, it's lourockwell.com.
[00:39:04.168 --> 00:39:10.452]  He's a formal congressional chief of staff to Ron Paul and founder and chairman of the Ludwig von Mies Institute.
[00:39:11.292 --> 00:39:12.013]  We're good to go.
[00:39:25.213 --> 00:39:29.275]  For more on Rockwell, go check his interview in Spintech Magazine.
[00:39:29.815 --> 00:39:30.735]  He's been on the show before.
[00:39:30.775 --> 00:39:44.521]  He's got a great website and we're going to be talking about the economy, the imminent collapse of GM, Peter Schiff talking about the imminent collapse of the dollar, these reports that perhaps this last Bilderberg meeting
[00:39:44.941 --> 00:39:45.902]  I'm fine, thank you.
[00:39:45.922 --> 00:39:46.642]  How are you doing, Jason?
[00:40:01.331 --> 00:40:01.791]  Very good.
[00:40:02.451 --> 00:40:08.273]  Why don't you just give a brief overview of where you think the economy is going in the next six months.
[00:40:08.293 --> 00:40:09.654]  I mean, I'm watching the news right now.
[00:40:09.694 --> 00:40:12.035]  They're saying, all right, GM is definitely going under.
[00:40:12.255 --> 00:40:14.276]  You know, the dollar seems to be going under.
[00:40:14.316 --> 00:40:15.436]  I mean, it's getting lower and lower.
[00:40:15.756 --> 00:40:17.817]  Gold's having kind of an explosion right now.
[00:40:17.877 --> 00:40:18.417]  It's up around 960.
[00:40:19.798 --> 00:40:20.778]  A month ago, it was at about 890, 880.
[00:40:22.338 --> 00:40:23.079]  That's going up.
[00:40:23.479 --> 00:40:26.340]  Meanwhile, Peter Schiff is saying the dollar is about to collapse
[00:40:26.840 --> 00:40:27.140]  Fully.
[00:40:27.440 --> 00:40:30.302]  You have Brazil, you know, dumping it as the world currency.
[00:40:31.243 --> 00:40:32.343]  Russia following suit.
[00:40:32.383 --> 00:40:33.344]  China talking about it.
[00:40:33.544 --> 00:40:34.485]  I mean, what's next?
[00:40:34.585 --> 00:40:35.465]  What are your predictions?
[00:40:36.246 --> 00:40:38.627]  Well, the only world currency ought to be a gold standard.
[00:40:39.528 --> 00:40:41.049]  As it was in the 19th century.
[00:40:41.329 --> 00:40:50.334]  So, it was a big mistake under the evil John Maynard Keynes when the United States in 1944 set up the dollar as the world currency.
[00:40:51.195 --> 00:40:53.236]  And it's enabled us
[00:40:54.022 --> 00:40:54.522]  I think so.
[00:41:15.632 --> 00:41:16.793]  This terrible operation.
[00:41:17.273 --> 00:41:27.822]  But they injected something like 11 trillion dollars in newly created money into the world economy, in terms of new dollars, in order to protect Wall Street and the banks.
[00:41:28.803 --> 00:41:32.566]  So, what they've done is they've, in other words, vastly increased the money supply.
[00:41:33.486 --> 00:41:36.108]  So far, that money has gone into reserves in the banks.
[00:41:36.169 --> 00:41:41.193]  The banks are running almost 100% reserves, which is what Murray Rothbard would have liked.
[00:41:41.253 --> 00:41:44.195]  I mean, fractional reserves are always
[00:41:44.835 --> 00:41:50.999]  Source of much evil and economic disaster.
[00:41:52.140 --> 00:42:07.029]  When the recovery, when people perceive the recovery is starting, and people and businessmen start borrowing again, banks, in other words, start lending, because right now that lending and borrowing is not going on, thank goodness, because we've just been through a period of crazed borrowing and lending.
[00:42:07.490 --> 00:42:14.194]  But when that lending and borrowing starts again, then we're going to see very high inflation rates, maybe hyperinflation.
[00:42:14.887 --> 00:42:16.368]  And it's a very scary business.
[00:42:17.048 --> 00:42:24.273]  Well, let's talk about the IMF and their role in all of this, and the SDR units, or the Special Drawing Rights Units, and where they come into play.
[00:42:24.593 --> 00:42:28.155]  I mean, they started really hyping these up after the G20.
[00:42:28.675 --> 00:42:32.378]  We know trillions were fused into the economy through these SDRs.
[00:42:32.438 --> 00:42:37.841]  We know that Mexico took $47 billion from the IMF because of the swine flu outbreak.
[00:42:38.201 --> 00:42:40.102]  What are these SDR units?
[00:42:41.143 --> 00:42:44.345]  Well, the International Monetary Fund, like the World Bank, was set up
[00:42:45.029 --> 00:42:53.713]  Ironically, as part of what we're talking about, Keynes and the Bretton Woods Conference in 1944, you can think of these sort of like the U.N.
[00:42:54.033 --> 00:42:56.535]  It's the disguise for U.S.
[00:42:56.615 --> 00:42:57.255]  operations.
[00:42:57.395 --> 00:42:59.456]  It makes it seem like the whole world is doing things.
[00:42:59.916 --> 00:43:12.022]  So the IMF is one of these institutions set up by Franklin Roosevelt and the rest of the boys back in 1944, and it serves as a way to give foreign aid without directly coming from the U.S.
[00:43:13.019 --> 00:43:16.040]  So yeah, they can give money to Mexico, they can give money to various places.
[00:43:16.060 --> 00:43:27.122]  They also created, a long time ago, these special drawing rights, which were just another fiat currency, but this time created by the IMF.
[00:43:28.102 --> 00:43:29.142]  It doesn't mean anything.
[00:43:29.162 --> 00:43:30.323]  It's not a good thing.
[00:43:30.743 --> 00:43:36.404]  It may engender more inflation, which is a great evil always, always and everywhere.
[00:43:36.424 --> 00:43:42.405]  And this is, inflation is a benefit to the government, it's a benefit to the big banks, it's a benefit to
[00:43:43.166 --> 00:43:50.431]  Government contractors, military industrial complex, all the rest of the flies that hang around the garbage can in Washington, D.C.
[00:43:50.972 --> 00:43:56.235]  But it's not good for the rest of us, this devaluation of the dollar.
[00:43:56.796 --> 00:44:00.298]  So the IMF is part of the deal, just like the Federal Reserve.
[00:44:00.799 --> 00:44:06.623]  These are all bad agencies, and what we actually need is the money that can't be depreciated by the government.
[00:44:07.083 --> 00:44:08.344]  We don't need that money.
[00:44:10.006 --> 00:44:16.228]  That a bunch of guys with a counterfeiting press, which is exactly what the Federal Reserve is, can just print them up at will.
[00:44:17.048 --> 00:44:24.771]  We've had that kind of money since 1971 and Richard Nixon's abolition of the final tiny tie to the gold standard.
[00:44:25.631 --> 00:44:31.333]  And we're in very serious trouble, not just us, the whole world, because of what the Federal Reserve and its
[00:44:31.989 --> 00:44:41.873]  And it's Assistant Central Banks in Britain and Germany and elsewhere that did during this recent boom after 9-11 when Bush and Greenspan turned the monetary spigot on full.
[00:44:42.634 --> 00:44:50.537]  So we are only beginning to pay the price and I think we've got very serious troubles ahead of us and I just hope we know who to blame.
[00:44:50.577 --> 00:44:52.078]  We need to blame the Federal Reserve.
[00:44:52.771 --> 00:45:17.571]  And sure, the IMF and all those other agencies, but the key evil is the Central Bank, the Federal Reserve, that has made possible, ever since its establishment in 1913, the diminution of American liberty, the vast increase in growth of the federal government, world wars, every kind of disaster you can think of, made possible by this monster, as Andrew Jackson called one of its predecessors, the Central Bank, the Federal Reserve.
[00:45:18.424 --> 00:45:21.868]  Well let me get your take on this latest article then out of the Associated Press.
[00:45:21.888 --> 00:45:26.092]  Federal Reserve would serve as risk regulator under Obama plan.
[00:45:26.393 --> 00:45:33.881]  More self-regulation by the Federal Reserve as if they don't have enough self-regulation and secrecy behind what they do.
[00:45:34.922 --> 00:45:36.963]  I mean, the Obama administration is proposing that the U.S.
[00:45:36.983 --> 00:45:44.430]  Federal Reserve serve as an all-seeing regulator to detect activities that could pose risks to the entire financial system.
[00:45:44.770 --> 00:45:49.355]  That's like saying, you know, Don Corleone is going to investigate the Mafia.
[00:45:49.875 --> 00:45:51.136]  It's absolutely insane!
[00:45:51.997 --> 00:45:56.441]  Well, one of the things that happened after the government crisis, I mean, it is a
[00:45:57.202 --> 00:46:00.005]  Is what the Federal Reserve caused this economic crisis.
[00:46:00.385 --> 00:46:04.148]  It caused the artificial boom, the housing boom, and so forth, that caused the bust.
[00:46:04.589 --> 00:46:16.479]  But then there's a bust and, you know, with every institution in society, if any institution, a church, a business, or whatever, flops on its face in a total embarrassing disaster, nobody says, you know what?
[00:46:16.860 --> 00:46:19.002]  We need to give those people more money and more power.
[00:46:19.402 --> 00:46:20.363]  But with the government,
[00:46:21.221 --> 00:46:23.463]  The answer always, of course, is more money and more power.
[00:46:23.483 --> 00:46:27.086]  So the Federal Reserve wrecks the economy and wrecks the world economy.
[00:46:27.607 --> 00:46:29.848]  So now we're supposed to give them more regulatory power.
[00:46:29.888 --> 00:46:34.512]  Indeed, you can think of this crisis as the Federal Reserve taking over.
[00:46:34.873 --> 00:46:40.757]  I guess Wall Street entirely taking over the Treasury, the Federal Reserve taking over all regulation of financial markets.
[00:46:41.098 --> 00:46:43.059]  We're going to talk about it more on the other side.
[00:46:43.099 --> 00:46:44.701]  To me, it's the height of insanity.
[00:46:44.741 --> 00:46:45.622]  It's the Alex Jones Show.
[00:46:45.682 --> 00:46:47.043]  I'm Jason Bermas, back after this.
[00:46:55.703 --> 00:46:57.905]  This is Alex Jones for American Tax Settlement.
[00:46:58.065 --> 00:47:07.191]  We have received news that the IRS is currently accepting reduced settlements on back taxes, and millions of consumers may be eligible for this reduction to save thousands of dollars.
[00:47:07.572 --> 00:47:15.417]  If any of you out there owe $10,000 or more in back taxes to the IRS, we have created an open phone line with American Tax Settlement.
[00:47:15.597 --> 00:47:21.522]  For all Alex Jones listeners to see if you qualify for a settlement with the IRS to save thousands, the number to call is 1-800.
[00:47:22.382 --> 00:47:22.842]  We're good.
[00:47:40.674 --> 00:47:41.795]  Hi, this is Ted Anderson.
[00:47:41.855 --> 00:47:45.578]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[00:47:45.598 --> 00:47:46.098]  That's right.
[00:47:46.118 --> 00:47:48.320]  Gold has been available to be placed in IRAs since 1986.
[00:48:09.502 --> 00:48:15.604]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[00:48:16.144 --> 00:48:23.826]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds, and CDs, yet no word about IRAs.
[00:48:24.267 --> 00:48:29.128]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
[00:48:29.748 --> 00:48:32.769]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[00:48:35.560 --> 00:48:39.681]  Don't get left behind by rising inflation and low return on your paper investments.
[00:48:40.062 --> 00:48:40.282]  Call 800-686-2237.
[00:48:40.302 --> 00:48:42.262]  Make sure that you secure your future.
[00:48:42.322 --> 00:48:42.642]  Call 800-686-2237.
[00:48:42.923 --> 00:48:43.463]  That's 1-800-686-2237.
[00:48:43.483 --> 00:48:48.144]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:49:02.200 --> 00:49:07.522]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:49:08.062 --> 00:49:14.265]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:49:14.585 --> 00:49:16.386]  Well, Obama's already fudging.
[00:49:16.546 --> 00:49:18.927]  He's fudged since day one of this election.
[00:49:19.007 --> 00:49:29.811]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:49:32.182 --> 00:49:33.462]  It's not about left or right.
[00:49:33.842 --> 00:49:35.243]  It's about a one world government.
[00:49:35.703 --> 00:49:42.065]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:49:42.625 --> 00:49:50.387]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:49:50.867 --> 00:49:52.027]  The Obama Deception.
[00:49:52.448 --> 00:49:53.648]  The people strike back.
[00:49:55.197 --> 00:50:01.180]  We are surrounded by harmful indoor air that can easily deliver many harmful toxins straight into our bodies.
[00:50:01.420 --> 00:50:02.280]  Take a deep breath.
[00:50:02.561 --> 00:50:09.504]  Can you actually feel the airborne influenza, viruses, mold, bacteria, and dangerous ozone entering your lungs?
[00:50:09.724 --> 00:50:10.765]  Have a glass of water.
[00:50:11.285 --> 00:50:15.927]  Can you taste the harmful chlorine, fluoride, lead, pharmaceutical drugs, and numerous other
[00:50:18.322 --> 00:50:18.482]  I think?
[00:50:37.512 --> 00:50:37.852]  I think so.
[00:51:03.362 --> 00:51:04.524]  We are back, folks.
[00:51:04.564 --> 00:51:05.465]  It's the Alex Jones Show.
[00:51:05.485 --> 00:51:10.032]  I'm Jason Burmess, sitting in with Lou Rockwell of lourockwell.com.
[00:51:10.052 --> 00:51:13.316]  We're talking Federal Reserve, IMF, SDRs, you name it.
[00:51:13.577 --> 00:51:19.185]  And now they want the Federal Reserve to basically regulate itself after they've caused all of these issues.
[00:51:20.731 --> 00:51:35.818]  In this segment, can you just give us just a brief synopsis of what the Federal Reserve is, what its origins are, and then the latest bill that apparently has a lot of co-sponsors by Ron Paul to audit the Federal Reserve and why that is so important.
[00:51:36.958 --> 00:51:38.359]  Well, the Federal Reserve was founded in 1913.
[00:51:38.699 --> 00:51:44.462]  The Federal Reserve Act was written at J.P.
[00:51:44.482 --> 00:51:48.964]  Morgan's private club in Jekyll Island, Georgia by a group of bankers.
[00:51:49.674 --> 00:51:50.115]  I think so.
[00:52:06.075 --> 00:52:09.056]  There are people associated with the Fed who are against inflation.
[00:52:09.076 --> 00:52:10.816]  They call them inflation hawks or whatever.
[00:52:11.356 --> 00:52:12.456]  This is just ridiculous.
[00:52:12.816 --> 00:52:16.477]  The central bank, the Federal Reserve, its job is to inflate.
[00:52:16.557 --> 00:52:17.477]  That's what it does.
[00:52:17.537 --> 00:52:27.719]  And you can think of it, it's a different process than this, but morally and economically, it's no different than just putting up a bunch of hundred dollar bills in your basement.
[00:52:28.319 --> 00:52:30.919]  Except, of course, on a vast, vast scale.
[00:52:31.740 --> 00:52:33.460]  Now with the Federal Reserve, so they do that,
[00:52:34.785 --> 00:52:55.789]  And it was set out to benefit the big banks, allow them to inflate, and be the so-called lender of last resort, so that during a boom, when the boom went bust, Federal Reserves cause a boom when it goes bust, they would give money to the banks to make sure they didn't suffer any damage, just as the Federal Reserve did in this most recent crisis.
[00:52:56.249 --> 00:53:02.090]  So that's what the Federal Reserve was set up to do with, say, an agency of the banks, for the banks, by the banks.
[00:53:02.865 --> 00:53:04.225]  Um, set up by the U.S.
[00:53:04.265 --> 00:53:12.908]  government, uh, like many other regulatory agencies, actually working for the interests of, for special interests as well as for the interests of the state itself.
[00:53:13.428 --> 00:53:15.788]  So the, so it, it causes inflation.
[00:53:15.828 --> 00:53:17.349]  It also causes business cycles.
[00:53:18.049 --> 00:53:22.750]  Because the money is injected into the, through the, through the banking system for the benefit of the bank.
[00:53:23.596 --> 00:53:29.419]  It causes the business cycle, that is, it causes artificial booms and busts, just like we've seen since 9-11.
[00:53:29.779 --> 00:53:31.540]  These things are horrendously damaging.
[00:53:32.340 --> 00:53:36.022]  Some people make money out of them, but, you know, the average person is, of course, only harmed.
[00:53:36.703 --> 00:53:37.803]  And we've all been harmed.
[00:53:38.243 --> 00:53:51.470]  And thank goodness for Ron Paul, who his entire career in public life has been dedicated to found money and to exposing what the Federal Reserve does, and doing everything he can to stop the Federal Reserve from hurting us all.
[00:53:52.170 --> 00:53:56.055]  So he's got this bill, which is getting a humongous number of co-sponsors.
[00:53:56.336 --> 00:53:59.120]  I think it's up to more than 180 other members of Congress.
[00:53:59.821 --> 00:54:04.667]  And it's relatively close to actually being able to force hearings and a vote on this bill.
[00:54:05.108 --> 00:54:06.510]  And it's for more transparency.
[00:54:06.530 --> 00:54:08.993]  The Federal Reserve is more secret than the CIA.
[00:54:10.040 --> 00:54:15.283]  I'm no fan of the CIA either, by the way, but the Federal Reserve is totally secret.
[00:54:16.483 --> 00:54:17.544]  Tell people how that works.
[00:54:17.564 --> 00:54:22.766]  Tell people about the Federal Reserve Board, because a lot of people think, well, we elect the Federal Reserve Board.
[00:54:22.806 --> 00:54:26.468]  No, our elected officials appoint these people, and then what are they?
[00:54:26.688 --> 00:54:29.510]  I think they're, what, 13 members, and it's eight-year appointments each?
[00:54:31.045 --> 00:54:33.206]  I believe it's 16-year appointments.
[00:54:33.607 --> 00:54:34.527]  Oh wow.
[00:54:34.547 --> 00:54:39.791]  And they are appointed by the President and approved by the Congress.
[00:54:39.831 --> 00:54:42.153]  These are people who serve the interests of the banking industry.
[00:54:42.473 --> 00:54:48.138]  Sometimes they're ex-bankers, sometimes they're economists who are, in effect, bank economists.
[00:54:48.718 --> 00:54:51.741]  And I mean not because they study banks, but because they're owned by the banks.
[00:54:52.541 --> 00:54:56.585]  And it's an institution that nobody knows anything about.
[00:54:56.685 --> 00:54:59.427]  One of the great things Ron Paul has done in the Ron Paul campaign
[00:55:00.234 --> 00:55:03.917]  And I've been interested in this, I must say, all, you know, for many years myself.
[00:55:04.597 --> 00:55:10.081]  But for most Americans, the Federal Reserve is just like a name on the bill in their pocket, and it's sort of boring, makes your eyes glaze over.
[00:55:10.542 --> 00:55:13.524]  That was all deliberate to make it seem boring, but it's not boring.
[00:55:13.844 --> 00:55:14.925]  They're ripping us off.
[00:55:15.754 --> 00:55:21.015]  So, because of Ron Paul and his campaign, now more and more Americans are interested in this.
[00:55:21.695 --> 00:55:29.976]  And Ludwig von Mises wrote about this in 1912, even before the establishment of the Federal Reserve, that such an institution could only bring disaster.
[00:55:30.617 --> 00:55:34.937]  And, of course, Murray Rothbard, Henry Hazlitt, F.A.
[00:55:34.977 --> 00:55:44.999]  Hayek, all the great economists, the great Austrian economists, opposed to the institution of central banking and an institution like the Fed, which again is just a special interest rip-off.
[00:55:45.842 --> 00:55:48.264]  They have a marble palace on Constitution Avenue.
[00:55:48.684 --> 00:55:54.008]  They speak in a language that's unintelligible to the average person, deliberately so.
[00:55:54.908 --> 00:55:58.030]  You don't know that they really are no different from the Mafia.
[00:55:58.751 --> 00:56:02.253]  Although at least the Mafia supplies services people would actually like to buy.
[00:56:02.273 --> 00:56:05.055]  The federal government, you know, doesn't do that.
[00:56:05.115 --> 00:56:09.358]  They just take our money by force and use it to punish us.
[00:56:09.818 --> 00:56:12.120]  Yeah, to support things like, uh... Yeah.
[00:56:12.600 --> 00:56:13.961]  But it's just as good as the Federal Reserve.
[00:56:14.639 --> 00:56:23.727]  Yeah, and then to create, you know, big money for AmeriCorps so they can pump up City Year and literally the Red Jackets, the new civilian security force.
[00:56:23.767 --> 00:56:25.068]  I mean, have you seen these commercials?
[00:56:25.088 --> 00:56:25.669]  I want to get into that.
[00:56:25.709 --> 00:56:26.029]  I haven't.
[00:56:26.049 --> 00:56:29.172]  Of course, the police state is growing at an alarming rate.
[00:56:29.452 --> 00:56:31.233]  We're going to get into that on the other side.
[00:56:32.034 --> 00:56:33.435]  More news with Lou Rockwell.
[00:56:33.956 --> 00:56:34.817]  It's the Alex Jones Show.
[00:56:34.837 --> 00:56:35.617]  I'm Jason Burmess.
[00:56:35.657 --> 00:56:38.039]  Back after this, PrisonPlanet.tv, InfoWars.com.
[00:56:46.081 --> 00:56:49.082]  We're on the march, the empire's on the run.
[00:56:50.003 --> 00:56:52.824]  Alex Jones and the GCN Radio Network.
[00:56:56.125 --> 00:57:01.387]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:57:01.946 --> 00:57:10.331]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[00:57:10.531 --> 00:57:17.315]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:57:17.655 --> 00:57:23.158]  This new technology has proven itself to be a formidable weapon against bio-threats of today and tomorrow.
[00:57:23.418 --> 00:57:29.342]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[00:57:29.662 --> 00:57:30.142]  We're good to go.
[00:57:55.817 --> 00:58:01.146]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:58:01.647 --> 00:58:08.659]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:58:09.210 --> 00:58:15.412]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:58:15.793 --> 00:58:17.633]  Well, Obama's already fudging.
[00:58:17.773 --> 00:58:20.194]  He's fudged since day one in this election.
[00:58:20.274 --> 00:58:31.219]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:58:31.839 --> 00:58:33.119]  It's not about left or right.
[00:58:33.519 --> 00:58:34.880]  It's about a one-world government.
[00:58:35.367 --> 00:58:41.729]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:58:42.269 --> 00:58:50.071]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:58:50.531 --> 00:58:51.691]  The Obama Deception.
[00:58:52.112 --> 00:58:53.292]  The people strike back.
[00:58:55.009 --> 00:58:59.311]  There's a guy named MZ in Santa Cruz, California who owns one of our affiliate radio stations.
[00:58:59.531 --> 00:59:01.933]  He got laid off from a job he loved many years ago.
[00:59:02.093 --> 00:59:11.578]  He was devastated, but it taught him a lesson very early in life that even when you do a great job for someone and your boss tells you how much he appreciates you every day, there is no job security.
[00:59:11.578 --> 00:59:12.058]  We're good to go.
[00:59:30.724 --> 00:59:31.264]  I think so.
[01:00:14.955 --> 01:00:16.575]  We are back at the Alex Jones Show.
[01:00:16.595 --> 01:00:18.236]  I'm Jason Burma, sitting in for Alex Jones.
[01:00:18.636 --> 01:00:19.736]  We're talking to Lew Rockwell.
[01:00:19.756 --> 01:00:22.316]  We were just talking about the audit of the Fed bill.
[01:00:22.336 --> 01:00:25.097]  The last I knew, there was over 170 co-sponsors.
[01:00:25.137 --> 01:00:26.457]  He's now telling us over 180.
[01:00:26.657 --> 01:00:30.358]  I want to get what happens next.
[01:00:30.698 --> 01:00:33.718]  If this goes to the House, they do discuss it.
[01:00:33.738 --> 01:00:35.038]  It gets more talk.
[01:00:35.158 --> 01:00:35.979]  What happens after that?
