[00:00:00.009 --> 00:00:01.150]  Great videos we carry.
[00:22:01.500 --> 00:22:14.729]  If any of you out there owe $10,000 or more in back taxes to the IRS, we have created an open phone line with American Tax Settlement for all GCN listeners to see if you qualify for a settlement with the IRS to save thousands.
[00:22:15.009 --> 00:22:16.030]  The number to call is 1-800-506-5904.
[00:22:19.432 --> 00:22:23.753]  Millions of taxpayers now may be eligible for this settlement to save thousands of dollars.
[00:22:24.093 --> 00:22:28.855]  Don't risk the IRS coming after you and garnishing your wages or seizing your property.
[00:22:29.055 --> 00:22:37.797]  American Tax Settlement specializes in negotiating with the IRS on your behalf, keeping the IRS off your back and saving consumers millions of dollars.
[00:22:38.157 --> 00:22:41.538]  If you owe $10,000 or more in taxes to the IRS,
[00:22:41.898 --> 00:22:46.379]  The number to call is 1-800-506-5904.
[00:22:46.519 --> 00:22:47.820]  That's 1-800-506-5904.
[00:22:50.500 --> 00:22:51.301]  Call today.
[00:22:51.321 --> 00:22:56.602]  Hi, this is John Swenson again at Midas Resources and let me ask just one question.
[00:22:57.342 --> 00:23:00.403]  What would you list as the things that the federal government does really well?
[00:23:01.043 --> 00:23:03.404]  The armed forces and printing bogus money doesn't count.
[00:23:03.944 --> 00:23:09.886]  Now take that blank page of yours and list the ways that you have to protect your assets and escape the paper markets.
[00:23:10.526 --> 00:23:18.618]  The only real option is precious metals for your retirement, your kid's education, or just plain survival when the whole Obama mess comes crashing down.
[00:23:19.539 --> 00:23:26.609]  You are the only one you can count on for a stimulus package, and I'd like to discuss a proven strategy to create that safety net for you and your family.
[00:23:27.168 --> 00:23:31.551]  Please give me a call at 800-686-2237, extension 128.
[00:23:32.672 --> 00:23:36.515]  That's 800-686-2237, extension 128.
[00:23:37.195 --> 00:23:40.478]  And together we can develop a Make Sense program before the clock runs out.
[00:23:41.098 --> 00:23:45.682]  Once more, John Swenson at 800-686-2237, extension 128.
[00:23:46.682 --> 00:23:48.564]  And take charge of your future and thank you.
[00:23:52.667 --> 00:23:55.229]  In the New World Order's war against humanity,
[00:23:55.851 --> 00:23:57.972]  Barack Obama is the tip of the spear.
[00:23:58.692 --> 00:24:04.033]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:24:04.553 --> 00:24:10.755]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:24:11.075 --> 00:24:12.875]  Well, Obama's already fudging.
[00:24:13.035 --> 00:24:15.416]  He's fudged since day one in this election.
[00:24:15.496 --> 00:24:25.218]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs
[00:24:25.700 --> 00:24:26.401]  That's fascist.
[00:24:28.683 --> 00:24:29.964]  It's not about left or right.
[00:24:30.344 --> 00:24:31.746]  It's about a one world government.
[00:24:32.206 --> 00:24:38.552]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:24:39.112 --> 00:24:46.900]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:24:47.380 --> 00:24:48.541]  The Obama Deception.
[00:24:48.962 --> 00:24:50.143]  The people strike back.
[00:24:51.934 --> 00:25:02.022]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh nutritious vegetables will make it to your dinner table?
[00:25:02.503 --> 00:25:03.544]  Garden in a Can!
[00:25:03.924 --> 00:25:07.487]  Garden in a Can is your source for premium long-term storable seeds.
[00:25:08.067 --> 00:25:09.829]  Garden in a Can is ready when you are.
[00:25:10.069 --> 00:25:12.371]  Plant them now or store them for when you really need them.
[00:25:12.832 --> 00:25:21.848]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:25:22.518 --> 00:25:23.519]  Garden in a Can.
[00:25:23.919 --> 00:25:24.779]  It's that simple.
[00:25:25.140 --> 00:25:27.001]  Fresh, healthy, easy.
[00:25:27.521 --> 00:25:31.483]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:25:31.863 --> 00:25:32.784]  Ready when you are.
[00:25:33.444 --> 00:25:37.067]  Stop procrastinating and start preparing with Garden in a Can.
[00:25:37.527 --> 00:25:40.629]  For more details visit GardenInACan.com today.
[00:25:41.009 --> 00:25:43.590]  That's GardenInACan.com or call 866-598-7396 866-598-7396
[00:26:04.587 --> 00:26:11.070]  It's kind of good how they always cut to me right when I get in my chair.
[00:26:11.090 --> 00:26:13.211]  I can do the radio show like this now.
[00:26:13.311 --> 00:26:20.634]  I can't wait to have carbon taxes and have every facet of my life micromanaged by government-controlled freaks run by offshore banks.
[00:26:21.114 --> 00:26:23.355]  I can't wait to have what's left of industry shut down.
[00:26:23.375 --> 00:26:25.495]  I always wanted to be a slave.
[00:26:25.515 --> 00:26:26.276]  This is fun!
[00:26:26.296 --> 00:26:26.816]  I like it!
[00:26:26.836 --> 00:26:27.616]  I like the government!
[00:26:33.564 --> 00:26:35.165]  That'll definitely be looped on the internet.
[00:26:35.185 --> 00:26:36.245]  That'll be another classic.
[00:26:38.526 --> 00:26:39.567]  I'm actually exhausted.
[00:26:41.768 --> 00:26:43.129]  I'm trying to have a good attitude.
[00:26:46.430 --> 00:26:47.931]  I'm trying to be nice about all this.
[00:26:49.812 --> 00:26:51.673]  It's just this other piece of news I have.
[00:26:52.953 --> 00:26:56.595]  Let me analyze this first, then I'll get into the others and your calls.
[00:26:58.176 --> 00:26:58.816]  Tony Blair.
[00:27:00.700 --> 00:27:02.661]  I'm a planet-saving kind of guy.
[00:27:02.741 --> 00:27:05.021]  That's the name of the article, Times of London.
[00:27:05.902 --> 00:27:10.143]  The former Prime Minister has a new green master plan.
[00:27:12.004 --> 00:27:16.765]  It won't mean giving up our energy-rich lifestyle, but it will cost us billions.
[00:27:17.846 --> 00:27:20.587]  Oh, we get to keep the fireplace!
[00:27:21.067 --> 00:27:23.588]  His people are going to come inspect and tax.
[00:27:24.908 --> 00:27:25.908]  And again, zoom in on him.
[00:27:25.928 --> 00:27:27.149]  He is such a nice man.
[00:27:28.772 --> 00:27:50.139]  Now, this is their favorite type of article, and I need to create some type of psychological lexicon to explain all of this, to put it into definitions and terms, but the way the pro-global warming crowd always pushes that we have to have this global tax is by criticizing the politicians that are proposing it.
[00:27:52.355 --> 00:27:54.117]  You go, well, how is that promoting it?
[00:27:54.958 --> 00:27:57.442]  They know the politicians are incredibly unpopular.
[00:27:57.462 --> 00:27:59.544]  They know the people don't trust them and don't like them.
[00:28:01.267 --> 00:28:02.348]  So the trick is...
[00:28:03.479 --> 00:28:22.514]  They always come out and talk about, yeah, the earth is in trouble, but these politicians, they play the class card, are flying on private jets, and have 8,000 square foot homes like Al Gore, and have huge carbon footprints bigger than the average person.
[00:28:22.554 --> 00:28:29.380]  And so, that's the issue, is that Arnold Schwarzenegger is for the global carbon tax, because he's so conservative.
[00:28:30.100 --> 00:28:34.982]  But he flies to Sacramento every day from L.A., from Beverly Hills.
[00:28:35.982 --> 00:28:44.105]  And, oh, the Prince Charles is for global taxes, but he still flies around the world.
[00:28:44.165 --> 00:28:48.727]  So now he hologrammed into Austin last year to push for the carbon tax.
[00:28:48.747 --> 00:28:51.968]  So now he appears via hologram to save the Earth.
[00:28:52.828 --> 00:28:57.229]  And so, see, it takes the debate off of... They know the human mind wants a debate.
[00:28:57.269 --> 00:28:58.529]  The human mind wants a choice.
[00:28:58.970 --> 00:29:02.430]  The human mind wants to be able to make a choice.
[00:29:03.010 --> 00:29:05.391]  And so, instead of saying, is global warming man-made?
[00:29:05.971 --> 00:29:07.592]  Is global warming man-made and real?
[00:29:07.992 --> 00:29:21.375]  Is global warming a naturally occurring sun cycle that's being hijacked by a group of scammers that want to micromanage and control all industry and set up a worldwide monopoly under their control?
[00:29:22.500 --> 00:29:23.441]  And of course, that's the answer.
[00:29:24.121 --> 00:29:25.342]  So they give you a false choice.
[00:29:25.783 --> 00:29:28.885]  Yes, global warming's real and man-made and very horrible.
[00:29:29.225 --> 00:29:30.406]  We've got to do something about it.
[00:29:30.827 --> 00:29:34.330]  But Tony Blair has too big a carbon footprint and is a hypocrite.
[00:29:34.630 --> 00:29:36.531]  We've got to cut his carbon allotment.
[00:29:36.932 --> 00:29:42.336]  And then they use class warfare with the public going, yeah, get those rich jet-setters.
[00:29:42.897 --> 00:29:44.918]  You understand how that psychological game works, guys?
[00:29:44.938 --> 00:29:45.539]  Does that make sense?
[00:29:47.580 --> 00:29:48.721]  And it's a shake and bake.
[00:29:48.781 --> 00:29:49.881]  It's always the same article.
[00:29:49.941 --> 00:29:52.663]  I've seen this article probably 500 times if I've seen it once.
[00:29:54.744 --> 00:29:57.185]  It says, the silence from Tony Blair.
[00:29:58.456 --> 00:30:00.438]  is so long it's embarrassing.
[00:30:00.558 --> 00:30:02.359]  Ooh, everybody's winning.
[00:30:02.439 --> 00:30:06.483]  See, by getting involved and believing in carbon taxes, you get the rich people.
[00:30:06.863 --> 00:30:07.664]  That's the message.
[00:30:08.004 --> 00:30:09.205]  Yes, we're going to tax everybody.
[00:30:09.245 --> 00:30:09.605]  Don't worry.
[00:30:09.625 --> 00:30:11.046]  We're going to get that rich guy.
[00:30:11.467 --> 00:30:12.587]  Oh, look, he's embarrassed.
[00:30:12.808 --> 00:30:14.749]  We're now getting him with the carbon tax.
[00:30:14.769 --> 00:30:16.070]  We're now teaching him.
[00:30:16.110 --> 00:30:17.231]  We're now showing him.
[00:30:17.592 --> 00:30:20.414]  Oh, please don't throw me in the briar patch, Tony Blair says.
[00:30:22.215 --> 00:30:23.736]  He has just spent 15 minutes
[00:30:25.720 --> 00:30:31.121]  Enthusing about his new global report about how technology can help the world to combat global climate change.
[00:30:31.321 --> 00:30:32.042]  That's another lie.
[00:30:32.062 --> 00:30:34.462]  That, oh, this is technological jump forward.
[00:30:34.682 --> 00:30:35.683]  This is new jobs.
[00:30:35.763 --> 00:30:36.203]  No, it's not.
[00:30:36.243 --> 00:30:37.443]  It's freezing the economy.
[00:30:37.663 --> 00:30:39.644]  It's a wet blanket on the already dead economy.
[00:30:40.124 --> 00:30:41.044]  Another lie right there.
[00:30:41.064 --> 00:30:42.624]  It's all just scientifically written.
[00:30:42.644 --> 00:30:45.065]  This Jonathan Leak knows what he's doing.
[00:30:48.447 --> 00:30:56.851]  About how technology can help the world combat climate change, and when the obvious question rose, what has he done to make his own life more sustainable?
[00:30:58.192 --> 00:31:00.073]  Err, long silence?
[00:31:01.633 --> 00:31:03.234]  Oh, he's not doing enough!
[00:31:03.334 --> 00:31:05.115]  See, that's the control paradigm.
[00:31:05.555 --> 00:31:09.137]  Give up everything to the bankers and be a slave, or kill yourself.
[00:31:10.239 --> 00:31:12.061]  Really prove you take one for the team.
[00:31:12.362 --> 00:31:15.886]  Put back on screen, ABC News tells kids to commit suicide.
[00:31:16.306 --> 00:31:17.367]  I'm not kidding when I say that.
[00:31:17.828 --> 00:31:19.089]  Really prove you're for the earth.
[00:31:19.590 --> 00:31:20.331]  Kill yourself.
[00:31:20.872 --> 00:31:22.554]  Oh, how good of you.
[00:31:23.114 --> 00:31:24.756]  Well, Elitist, why don't you kill yourself?
[00:31:25.217 --> 00:31:26.939]  Oh, we have to oversee the death.
[00:31:28.803 --> 00:31:30.885]  We have to be the guardians of the system.
[00:31:31.385 --> 00:31:32.085]  Tony Blair.
[00:31:32.726 --> 00:31:34.387]  I'm a planet-saving kind of guy.
[00:31:34.407 --> 00:31:40.392]  When we get back, climate change alarmist claims arrival of summer is really global warming.
[00:31:40.992 --> 00:31:41.452]  Oh yes!
[00:31:42.133 --> 00:31:43.034]  We're on the march.
[00:31:43.534 --> 00:31:45.115]  The empire's on the run.
[00:31:46.056 --> 00:31:48.738]  Alex Jones and the GCN Radio Network.
[00:31:51.735 --> 00:31:56.722]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:31:56.942 --> 00:32:00.747]  Number one, new climate legislation could easily double or triple your electric bill.
[00:32:00.967 --> 00:32:06.555]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:32:06.855 --> 00:32:07.316]  It's true.
[00:32:07.516 --> 00:32:12.460]  Total government control of electricity in the name of smart grid technology is coming.
[00:32:12.860 --> 00:32:18.305]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:32:19.146 --> 00:32:21.828]  The hurricane and dangerous summer storm season is here again.
[00:32:22.049 --> 00:32:25.452]  Every year, thousands of families lose their power from weather-related outages.
[00:32:26.573 --> 00:32:30.176]  A solar power generator provides powerful backup insurance and peace of mind.
[00:32:30.416 --> 00:32:35.901]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:32:36.141 --> 00:32:40.705]  You can get more information at www.mysolarbackup.com.
[00:32:40.846 --> 00:32:42.387]  That's mysolarbackup.com.
[00:32:42.607 --> 00:32:44.949]  Remember, the government doesn't own the sun yet.
[00:32:45.190 --> 00:32:47.832]  So go to mysolarbackup.com or call toll free 877-327-0365.
[00:32:51.479 --> 00:32:52.580]  This is Alex Jones.
[00:32:52.860 --> 00:32:54.661]  Have you heard of the Millionaire Patriot?
[00:32:54.861 --> 00:32:55.502]  Well, you should.
[00:32:55.842 --> 00:33:00.084]  He has a free handgun and five days of firearms training waiting for you.
[00:33:00.325 --> 00:33:00.805]  That's right.
[00:33:01.145 --> 00:33:11.031]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit, all for pennies on the dollar.
[00:33:11.151 --> 00:33:16.555]  Plus, if you act fast, the Millionaire Patriot will give you a free Springfield Armory XD pistol
[00:33:16.795 --> 00:33:25.001]  In the caliber of your choice, I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:33:25.361 --> 00:33:30.585]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:33:30.905 --> 00:33:32.046]  This is real.
[00:33:32.366 --> 00:33:33.107]  Don't miss out.
[00:33:33.427 --> 00:33:41.793]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:33:41.973 --> 00:33:44.095]  Go to FrontSight.com today.
[00:33:44.335 --> 00:33:47.858]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:33:48.038 --> 00:33:51.001]  Go to FrontSite.com for your training and free gun.
[00:33:51.741 --> 00:33:53.303]  Hello friends, this is Alex Jones.
[00:33:53.443 --> 00:33:58.007]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:33:58.187 --> 00:34:00.969]  We need to be independent, and food and water is the key.
[00:34:01.149 --> 00:34:04.012]  You'll never have to stand in a bread line if you have your own bread.
[00:34:04.192 --> 00:34:08.896]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:34:09.116 --> 00:34:10.057]  If you simply prepare.
[00:34:10.257 --> 00:34:13.200]  No one is going to take care of your family in the final equation but you.
[00:34:13.500 --> 00:34:20.386]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. Coli, Salmonella, genetic alteration or Chinese imports.
[00:34:20.486 --> 00:34:23.629]  And they do it at almost half the cost of last year's grocery prices.
[00:34:23.769 --> 00:34:25.311]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com
[00:34:28.894 --> 00:34:34.981]  Visit eFoodsDirect.com and look over the fine list of high quality, prescribed, and dehydrated foods they have to offer.
[00:34:35.161 --> 00:34:38.906]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:34:38.926 --> 00:34:40.427]  Again, 1-800-409-5633 or on the web at eFoodsDirect.com.
[00:34:40.467 --> 00:34:40.888]  Take action today.
[00:34:40.928 --> 00:34:42.710]  The first step is getting storable food.
[00:35:05.822 --> 00:35:21.690]  All right, your phone calls, Craig, Gary, Danny, Bill, Kelly, Michael, they're all coming up.
[00:35:21.911 --> 00:35:23.872]  I'm going to get into the hate crime legislation.
[00:35:24.512 --> 00:35:26.113]  I mean, I can't believe this is happening.
[00:35:26.193 --> 00:35:30.215]  I can't believe the House has passed a bill that says basically no free speech in America.
[00:35:31.462 --> 00:35:33.063]  I mean, this is like the Soviet Union.
[00:35:33.523 --> 00:35:34.443]  It's really happening.
[00:35:34.523 --> 00:35:35.784]  And I'm not gonna shut up.
[00:35:37.004 --> 00:35:40.685]  And at the point they're trying to send cops around to arrest people for their speech, we gotta do something.
[00:35:42.106 --> 00:35:44.987]  And they always sell it in the name of, oh, it's to shut up a Nazi.
[00:35:45.387 --> 00:35:48.308]  Yeah, but if you shut up a Nazi, you just shut yourself up.
[00:35:50.149 --> 00:35:50.929]  So that's coming up.
[00:35:54.585 --> 00:35:56.106]  Punch that up on screen for folks.
[00:35:56.146 --> 00:35:59.229]  I want them to see this at PrisonPlanet.tv and also hear the headline.
[00:35:59.650 --> 00:36:12.722]  When I tell you that Dr. Eric Pianca and it seems like every other major biology professor we look into who's tenured, they're calling for 90% of us to be killed.
[00:36:13.263 --> 00:36:18.668]  This whole thing is about eugenics, about saying that they're the elite and they decide who lives and who dies.
[00:36:20.183 --> 00:36:27.750]  And you can go to ABC News Australia, where they put out a kids video game, teaching kids how to kill themselves.
[00:36:28.411 --> 00:36:28.951]  Punch it up!
[00:36:30.573 --> 00:36:30.973]  There it is.
[00:36:31.073 --> 00:36:33.616]  ABC website tells kids when they should die.
[00:36:34.577 --> 00:36:35.378]  And then punch it up!
[00:36:35.758 --> 00:36:36.919]  Pools of blood.
[00:36:37.379 --> 00:36:44.106]  It teaches them, oh, you have a certain carbon footprint, and when it runs out, you've got to die with pools of blood.
[00:36:48.735 --> 00:36:50.497]  Based on your greenhouse emissions.
[00:36:51.559 --> 00:37:01.692]  Now, that said, I've seen them building towards saying that seasons aren't normal.
[00:37:03.595 --> 00:37:08.036]  Because first it was global, first it was global freezing back in the 60s when we had a cold spell.
[00:37:08.236 --> 00:37:11.417]  They said, oh my God, the Earth's freezing, we've got to have a global tax on carbon dioxide.
[00:37:12.037 --> 00:37:16.118]  Then they said, oh my gosh, in the 70s it's a warming trend, we've got to have a global warming tax.
[00:37:16.778 --> 00:37:21.699]  And then the last few years there's been a global cooling trend and the UN and others have been caught on record.
[00:37:22.059 --> 00:37:24.120]  Steve Watts in this article he wrote has links
[00:37:24.600 --> 00:37:25.721]  To the mainstream news admitting it.
[00:37:26.181 --> 00:37:32.466]  Lying about what the buoys in the ocean getting temperature and what weather stations worldwide were showing.
[00:37:32.786 --> 00:37:38.691]  They just lied and added five to ten degrees on every buoy and thermostat in the world they were measuring from.
[00:37:38.911 --> 00:37:39.671]  They're just liars.
[00:37:39.691 --> 00:37:40.592]  They're scam artists.
[00:37:41.172 --> 00:37:43.314]  Enron came up with this carbon tax idea.
[00:37:44.215 --> 00:37:49.338]  This is a tax everything you do and put it into a private derivatives account of a bunch of offshore banks.
[00:37:50.359 --> 00:37:52.421]  So of course all the big corporations are for it.
[00:37:53.374 --> 00:37:53.794]  I don't know.
[00:37:53.814 --> 00:37:55.436]  The NFL came out and said it's real.
[00:37:55.496 --> 00:37:55.956]  I like it.
[00:37:56.176 --> 00:37:57.297]  It's tough and manly.
[00:37:59.880 --> 00:38:01.181]  You're not against football, are you?
[00:38:01.221 --> 00:38:02.121]  Some kind of commie?
[00:38:02.742 --> 00:38:04.023]  We need home inspections.
[00:38:05.404 --> 00:38:08.207]  We need the kids to learn how to commit suicide.
[00:38:08.647 --> 00:38:09.448]  It's tough.
[00:38:11.009 --> 00:38:13.951]  It's conservative to pay 95% taxes.
[00:38:16.774 --> 00:38:18.215]  Man, I'm really obnoxious today.
[00:38:18.255 --> 00:38:20.517]  I'm just getting sick of everything, ladies and gentlemen.
[00:38:21.775 --> 00:38:24.817]  So great story by Steve Watson up on Infowars.net.
[00:38:25.197 --> 00:38:29.801]  Climate change alarmist claims arrival of summer is really global warming.
[00:38:30.461 --> 00:38:34.224]  The same Guardian newspaper that says ban fireworks because they create carbon.
[00:38:36.265 --> 00:38:37.126]  Deadly carbon.
[00:38:39.653 --> 00:38:52.500]  In what amounts a little more than a three-paragraph rant, a well-known British climate change alarmist has announced that the onset of a glorious spell of summer weather has uniformly silenced climate change deniers.
[00:38:52.740 --> 00:38:53.620]  It's the same every summer.
[00:38:53.640 --> 00:38:55.281]  They go, notice things are hot.
[00:38:55.441 --> 00:38:56.322]  That's global warming.
[00:38:57.543 --> 00:38:58.963]  And they're saying record heat.
[00:38:59.143 --> 00:39:00.504]  Austin has never been hotter.
[00:39:01.124 --> 00:39:02.665]  I went and looked up the record temperatures.
[00:39:03.166 --> 00:39:04.126]  Austin has been 112 degrees.
[00:39:06.380 --> 00:39:06.720]  Before.
[00:39:06.980 --> 00:39:09.601]  They're saying 105 is the hottest ever recorded.
[00:39:09.621 --> 00:39:11.862]  In fact, I heard that on the news this morning.
[00:39:12.462 --> 00:39:16.843]  Hey guys, search the term Austin record temperature.
[00:39:17.183 --> 00:39:19.104]  Austin, Texas, record temperature.
[00:39:20.064 --> 00:39:22.005]  We'll see if it's the 105 like they're saying.
[00:39:22.825 --> 00:39:23.425]  In July.
[00:39:23.865 --> 00:39:24.966]  It's been a lot hotter than 105 in July.
[00:39:27.432 --> 00:39:28.932]  But they go, my god, it's hot!
[00:39:28.952 --> 00:39:30.353]  And the kids are like, what is it, mommy?
[00:39:30.433 --> 00:39:32.154]  It's something called global warming.
[00:39:32.174 --> 00:39:34.174]  It used to always be snow on the ground, honey.
[00:39:34.794 --> 00:39:35.575]  Oh, okay, mommy.
[00:39:35.815 --> 00:39:36.495]  How do I fix it?
[00:39:36.935 --> 00:39:45.698]  Well, you pay money to offshore banks to fund eugenics and kill people in third world countries, and then we lose all our jobs here and are dependent on them and we live homeless on the street.
[00:39:46.826 --> 00:39:48.707]  Now, record temperatures seize Austin.
[00:39:49.188 --> 00:39:50.869]  Again, medics warn of heat dangers.
[00:39:51.729 --> 00:39:55.812]  Every year, the local news, there's KI.com, total baloney.
[00:39:56.412 --> 00:39:57.813]  It's not record temperatures!
[00:39:58.394 --> 00:40:01.616]  Now, you got a news item with them saying it's record temperatures.
[00:40:01.976 --> 00:40:03.497]  What I actually saw on TV this morning.
[00:40:04.778 --> 00:40:06.179]  Go, I saw it on News 8.
[00:40:07.279 --> 00:40:09.481]  Go now and put in
[00:40:11.411 --> 00:40:15.272]  Temperature records Austin, Texas, and you'll get federal or state government.
[00:40:15.612 --> 00:40:17.693]  And I guarantee you it's higher than 105.
[00:40:17.933 --> 00:40:20.573]  I want to say it's 112 or 14.
[00:40:21.354 --> 00:40:33.037]  I remember a summer when I was about nine years old in Dallas, when all the grass died, the ground was cracked, the sun was like red every day in the sky, and they were saying it was 110, 114 some days.
[00:40:33.057 --> 00:40:34.117]  And trees were all dying everywhere.
[00:40:38.880 --> 00:40:42.821]  It's the sun, nothing to do with your SUVs.
[00:40:44.321 --> 00:40:44.961]  Did you find it?
[00:40:46.601 --> 00:40:48.322]  That's monthly averages from the Weather Channel.
[00:40:49.082 --> 00:40:54.083]  Find like Austin record, Austin, Texas record summer temperature.
[00:40:57.063 --> 00:40:59.124]  All time record temperature, Austin, Texas.
[00:41:00.024 --> 00:41:00.404]  Find that.
[00:41:02.284 --> 00:41:03.705]  I know I heard 114 growing up in Dallas.
[00:41:08.188 --> 00:41:22.946]  I remember doing two-a-days for a week straight one time in August when it was 109 degrees, and they still wouldn't cancel the Rockwall Yellow Jackets one, but Dallas was canceling theirs because some of the kids were dying, and our coaches were all
[00:41:24.636 --> 00:41:28.838]  Former Marines from Korea and stuff, they're like, you little bastard, you're gonna run!
[00:41:29.258 --> 00:41:30.459]  Here, let me see what it says here.
[00:41:31.159 --> 00:41:35.421]  Record heat prompts weather advisories, all-time energy consumption.
[00:41:35.681 --> 00:41:41.304]  Now that's a News 8 putting out the local lie, saying 105 is the all-time record heat for July.
[00:41:41.364 --> 00:41:43.445]  That is not true in Texas!
[00:41:45.026 --> 00:41:45.847]  I guarantee it.
[00:41:48.488 --> 00:41:49.568]  See, you're getting current weather.
[00:41:49.628 --> 00:41:52.530]  You want all-time heat record, Austin, Texas.
[00:41:53.860 --> 00:41:56.262]  Or Heat Records, Texas will get it for you.
[00:41:57.423 --> 00:42:01.566]  See, the reason I do this now on air a lot is it's all about the experience, just learning data.
[00:42:01.586 --> 00:42:06.209]  Here, I'm going to say the news is lying to you about 105 being the record on July 4th.
[00:42:06.989 --> 00:42:10.992]  And so I'm going to go show you now that it's not record temperatures.
[00:42:15.135 --> 00:42:15.836]  The highest is 120.
[00:42:15.876 --> 00:42:16.516]  Yeah, but is that Austin?
[00:42:20.566 --> 00:42:23.208]  San Marcos, 1954, 110.
[00:42:24.249 --> 00:42:25.469]  That's basically Austin.
[00:42:25.509 --> 00:42:27.091]  That's South Austin now, San Marcos.
[00:42:29.192 --> 00:42:31.534]  Okay, there's San Marcos right there.
[00:42:31.554 --> 00:42:31.534]  110, 1954.
[00:42:32.314 --> 00:42:35.076]  You gotta find the date on that.
[00:42:35.677 --> 00:42:39.059]  Find me record temperatures Texas in month of July.
[00:42:39.459 --> 00:42:40.020]  I want that.
[00:42:40.100 --> 00:42:42.842]  I guarantee it's gonna be over 105 in Austin.
[00:42:43.222 --> 00:42:44.723]  I'll bet my right arm.
[00:42:46.445 --> 00:42:47.245]  Man, I'm obnoxious.
[00:42:47.425 --> 00:42:47.725]  Okay.
[00:42:49.166 --> 00:42:53.687]  Anyways, let me just go ahead and, uh... Anyways.
[00:42:54.907 --> 00:42:55.508]  Here's the article.
[00:42:55.548 --> 00:42:58.588]  Now they're saying basically summer doesn't exist, and they teach kids this in school.
[00:42:58.608 --> 00:43:07.811]  They go, it's hot outside, and the little five-year-olds are like, uh-huh, you're gonna die, and the atmosphere's gonna boil off the planet, and you're all gonna burn to death if we don't have global warming.
[00:43:08.071 --> 00:43:11.052]  Now you go tell mommy, here's a list of carbon crimes,
[00:43:11.792 --> 00:43:13.373]  And of course, they don't tell the five-year-olds that.
[00:43:13.413 --> 00:43:14.494]  They just scare them when they're five.
[00:43:14.514 --> 00:43:23.479]  But by the time they're in the third, fourth grade, they have them with little clipboards going, Mommy, you're getting a ticket from me for the hot bath and you left the light on.
[00:43:23.859 --> 00:43:26.620]  Mommy, you left the water on while you were brushing your teeth.
[00:43:26.660 --> 00:43:27.561]  That's wasteful.
[00:43:27.901 --> 00:43:31.243]  My grandmother was basically doing that to me at my parents' house.
[00:43:33.684 --> 00:43:34.925]  Fourth of July, Saturday.
[00:43:36.266 --> 00:43:38.207]  God bless her heart, I'm over there and she's like,
[00:43:41.437 --> 00:43:45.300]  Telling me that we shouldn't water our yard, it's a devil crime that water's not renewable.
[00:43:45.600 --> 00:43:48.742]  I mean, they've got, the body snatchers have got everybody, folks, basically.
[00:43:51.444 --> 00:43:53.465]  Did we find the record temperatures for Austin?
[00:44:00.050 --> 00:44:08.095]  Yeah, well, they're saying a record high temperature of 104 degrees was set in Austin Camp Mabry today, airport weather, July 2009.
[00:44:12.486 --> 00:44:13.666]  I don't know what they're talking about.
[00:44:13.686 --> 00:44:14.447]  We're going to find it.
[00:44:15.347 --> 00:44:16.627]  Anyways, that's yesterday.
[00:44:16.647 --> 00:44:17.827]  That's them saying it's the record.
[00:44:18.828 --> 00:44:25.269]  Okay, Climate Change Alarmist claims arrival of summer is really global warming.
[00:44:25.769 --> 00:44:28.970]  Some people seem to have forgotten what seasons are.
[00:44:30.270 --> 00:44:32.551]  Now see, Steve Watts has now become a conspiracy theorist.
[00:44:32.591 --> 00:44:34.411]  He's saying there's something called seasons, folks.
[00:44:35.632 --> 00:44:38.372]  I've heard that guy's a wild nut.
[00:44:38.872 --> 00:44:41.213]  The Wall Street Journal ought to write a story about how he's crazy.
