[00:00:01.553 --> 00:00:02.133]  Initiate!
[00:26:06.515 --> 00:26:20.799]  And yes, quite frankly, the police departments across this country, whether it's sheriff's offices or police departments, have been brought into this mode of and been inculcated, if not brainwashed, into believing that all laws must be enforced.
[00:26:21.582 --> 00:26:26.586]  And that no matter what, it comes down from the pike from Washington, D.C.
[00:26:26.686 --> 00:26:28.567]  or from the state capitol must be enforced.
[00:26:28.627 --> 00:26:42.216]  But that really, and the book talks about that very issue of that lack of principle behind that, because that's actually, as Thomas Jefferson called it, laws were nothing more but tools of the tyrant.
[00:26:43.117 --> 00:26:44.778]  And that's what laws have become today.
[00:26:44.878 --> 00:26:47.420]  And so all this photo radar crap
[00:26:48.187 --> 00:26:55.429]  And the multi-billion dollar industry of wholesale distribution of traffic tickets, especially radar tickets.
[00:26:56.989 --> 00:26:57.869]  You can go on and on.
[00:26:57.909 --> 00:27:04.170]  The drug war, the drug war is something else I have preached against for the last 10 years.
[00:27:05.491 --> 00:27:08.111]  I'm one of the speakers for law enforcement against prohibition.
[00:27:08.531 --> 00:27:12.152]  Prohibition does not work unless you're promoting
[00:27:12.911 --> 00:27:14.953]  A police state and big brother government.
[00:27:15.173 --> 00:27:19.716]  And more drugs because then there's so much profit and in every case of prohibition it increases.
[00:27:19.756 --> 00:27:20.196]  Of course.
[00:27:21.116 --> 00:27:21.517]  Of course.
[00:27:21.677 --> 00:27:22.497]  I mean, let's be real.
[00:27:22.938 --> 00:27:23.998]  Prohibition doesn't work.
[00:27:24.519 --> 00:27:34.145]  Abraham Lincoln said prohibition is an insane law and an insane practice and makes crimes out of things that were never crimes at all.
[00:27:35.325 --> 00:27:36.706]  Prohibition isn't anything new.
[00:27:38.481 --> 00:27:39.762]  It goes way, way back.
[00:27:39.822 --> 00:27:45.425]  In fact, back during the Scottish Rebellion against the King of England during Braveheart.
[00:27:45.465 --> 00:27:58.251]  You can even see in that movie of Braveheart where the King of England outlawed bagpipe music because it promoted patriotism and feelings of wanting to be free.
[00:27:58.972 --> 00:28:01.133]  And so, you know, Prohibition is nothing new.
[00:28:01.313 --> 00:28:05.435]  And now, isn't it insane that we have hemp
[00:28:06.587 --> 00:28:15.990]  Illegal when we could use hemp to restore the economy of this country and make oil and fuel and all sorts of things that we could get from this hemp plant.
[00:28:16.010 --> 00:28:19.711]  And let's be clear, almost all the hemp varieties don't have THC.
[00:28:20.031 --> 00:28:21.512]  No, they don't.
[00:28:21.592 --> 00:28:24.493]  It's better than cotton, better for rope, but it's banned.
[00:28:25.033 --> 00:28:26.113]  Yeah, exactly.
[00:28:26.213 --> 00:28:28.674]  And I don't even care if they have THC in it.
[00:28:28.734 --> 00:28:29.214]  Who cares?
[00:28:29.274 --> 00:28:30.194]  But it doesn't.
[00:28:30.755 --> 00:28:33.355]  And hemp has been used in our country way back.
[00:28:33.415 --> 00:28:35.096]  The Declaration of Independence was written on it.
[00:28:35.954 --> 00:28:36.975]  So is the Constitution.
[00:28:37.896 --> 00:28:45.801]  But it's absurd what our government does and then turns right around and lies to us and says stuff like, but there's no earmarks in this bill.
[00:28:46.842 --> 00:28:58.671]  You know, it's amazing that people, we have so many Kool-Aid drinkers in this country and I'm afraid that the police have been part of the Kool-Aid drinkers and we've got to stand up and recognize our oath of office.
[00:28:59.452 --> 00:29:04.075]  The book points out and starts with this principle that James Madison said that
[00:29:04.748 --> 00:29:13.311]  Uh, we, the states, as we, you and I were talking earlier, states and counties are supposed to erect barriers against the encroachments of the national authority.
[00:29:13.971 --> 00:29:15.171]  Well, that's what this is about.
[00:29:15.451 --> 00:29:31.936]  And if we could depend on the 600 some odd thousand peace officers in this country to keep their oath of office, to uphold and defend the constitution, instead of being red coats for the central government and sometimes for the state.
[00:29:32.814 --> 00:29:34.535]  We could get our country back.
[00:29:34.956 --> 00:29:38.018]  The people of this country could have their freedom back tomorrow.
[00:29:38.538 --> 00:29:39.779]  Sheriff Richard Mack, stay there.
[00:29:39.859 --> 00:29:41.220]  Final segment with you coming up.
[00:29:42.121 --> 00:29:46.785]  And if police and military people don't like hearing this from Sheriff Richard Mack, you don't like the United States.
[00:29:47.385 --> 00:29:49.146]  Because this is what this country was founded on.
[00:29:49.447 --> 00:29:57.272]  It was set up to stop a powerful central government because they always are bad, they always go bad, and they always hurt the people big time.
[00:29:57.573 --> 00:29:59.034]  Stay with us, we'll be right back.
[00:30:01.195 --> 00:30:04.182]  We're on the march, the Empire's on the run.
[00:30:05.124 --> 00:30:07.810]  Alex Jones and the GCN Radio Network.
[00:30:11.155 --> 00:30:14.458]  The United States is bankrupt and the bankers want you bankrupt also.
[00:30:14.719 --> 00:30:17.061]  How would you like to be debt free in 90 days?
[00:30:17.181 --> 00:30:17.842]  Guaranteed!
[00:30:18.242 --> 00:30:24.869]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[00:30:25.169 --> 00:30:32.877]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies and liens and you won't pay one dime to creditors.
[00:30:33.117 --> 00:30:33.557]  We're good to go.
[00:30:56.957 --> 00:31:00.519]  On September 11, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:31:00.539 --> 00:31:01.479]  And we knew what to do.
[00:31:01.559 --> 00:31:02.940]  Or at least we thought we did.
[00:31:03.000 --> 00:31:07.963]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:31:27.307 --> 00:31:35.890]  Whitman, EPA director on the 18th made a statement that the air was safe to breathe.
[00:31:36.211 --> 00:31:43.013]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:31:43.313 --> 00:31:46.375]  He had his hand over the radio while he was getting a countdown.
[00:31:46.475 --> 00:31:51.717]  He takes his hand off and you hear three, two, one, and it was boom, boom, boom, boom, boom.
[00:31:52.257 --> 00:31:54.798]  This is an emergency transmission worldwide.
[00:31:55.316 --> 00:32:01.177]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide.
[00:32:01.357 --> 00:32:03.898]  Or order the DVD at Infowars.com.
[00:32:04.278 --> 00:32:09.319]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[00:32:10.679 --> 00:32:12.159]  Alex Jones here with a question.
[00:32:12.359 --> 00:32:13.800]  What does humidity mean to you?
[00:32:14.100 --> 00:32:16.320]  Most people think of hot and sticky summer days.
[00:32:16.780 --> 00:32:21.501]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:32:21.917 --> 00:32:24.758]  That's why I'd like you to visit acolablue.com.
[00:32:25.099 --> 00:32:41.007]  Acolablue is a state-of-the-art atmospheric water generator producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:32:41.567 --> 00:32:43.568]  Finally, drinking water that you control.
[00:32:43.588 --> 00:32:44.869]  I use one every day.
[00:32:45.289 --> 00:32:47.730]  Say goodbye to expensive water delivery services.
[00:32:47.990 --> 00:32:48.551]  We're good.
[00:33:23.762 --> 00:33:28.288]  By the way, ladies and gentlemen, we're going to start pre-sales of the Obama Deception today.
[00:33:30.230 --> 00:33:34.675]  I'll be done with the film in a few weeks and it'll be mass-produced and ship out on
[00:33:36.218 --> 00:33:39.861]  March 15th, and we'll also be at PrisonPlanet.tv in super high quality.
[00:33:40.382 --> 00:33:42.123]  We're getting an amazing response.
[00:33:42.183 --> 00:33:43.384]  People are freaking out wanting it.
[00:33:43.945 --> 00:33:47.208]  This doesn't attack him for the Kenya stuff, or is he really a proper U.S.
[00:33:47.248 --> 00:33:48.068]  citizen and all that.
[00:33:48.449 --> 00:33:50.951]  We're not saying that that's not an issue, just we're not getting into that.
[00:33:50.971 --> 00:34:01.260]  We're getting into who he's appointing, what he's doing, his history, the gun control, the open borders, the FEMA camps, and how he's controlled by the very Wall Street group that engineered the implosion by design.
[00:34:01.660 --> 00:34:03.362]  This film is dynamic.
[00:34:03.942 --> 00:34:05.043]  This film is dynamic.
[00:34:05.143 --> 00:34:07.305]  I was up here again until midnight last night.
[00:34:07.365 --> 00:34:11.048]  I'm working on this tirelessly with my team.
[00:34:11.088 --> 00:34:14.330]  TheObamaDeception.net is the website.
[00:34:14.830 --> 00:34:16.252]  And it's now up on the shopping cart.
[00:34:16.292 --> 00:34:18.513]  We have it linked to it on the main page of InfoWars.com.
[00:34:19.474 --> 00:34:24.318]  PrisonPlanet.com yet, but why should you pre-order?
[00:34:24.779 --> 00:34:31.345]  Well, when you pre-order, the orders come in in a stack, and the first person to order is the first person to have it shipped to them by UPS.
[00:34:31.905 --> 00:34:32.706]  And it's vital.
[00:34:32.746 --> 00:34:34.568]  That's why I usually make a film in six months.
[00:34:34.608 --> 00:34:42.935]  I make this one in like three, because I have been racing and racing and racing, but it's just as much quality or more than my other films.
[00:34:42.955 --> 00:34:44.096]  We're getting better and better at this.
[00:34:46.638 --> 00:34:47.779]  And it's just an unbelievable film.
[00:34:47.819 --> 00:34:49.260]  It's obviously dangerous for us to do this.
[00:34:49.280 --> 00:34:50.541]  They come after everybody that fights them.
[00:34:50.982 --> 00:34:51.942]  But we're telling it like it is.
[00:34:52.003 --> 00:34:53.204]  He's a front man for the New World Order.
[00:34:53.244 --> 00:34:57.027]  So, the Obama Deception is on sale right now at Infowars.com.
[00:34:57.387 --> 00:34:59.849]  We've got to get the toll-free line ready to take orders.
[00:35:00.249 --> 00:35:01.771]  In fact, let's call them and get that set up.
[00:35:02.231 --> 00:35:03.132]  The Obama Deception, 1995.
[00:35:04.032 --> 00:35:07.836]  I want you to make unlimited copies of this and give it out to everybody you know.
[00:35:08.276 --> 00:35:10.198]  Going back to Sheriff Richard Mack.
[00:35:14.267 --> 00:35:19.329]  There was a story in the San Antonio Express News two days ago, and I see these every couple days and don't even cover them.
[00:35:19.389 --> 00:35:20.689]  I don't like bashing police.
[00:35:20.789 --> 00:35:25.271]  I know in psychology it actually makes them get more into a gang mentality group.
[00:35:26.711 --> 00:35:33.474]  I know that most beat cops are good people, good men and women, but I know that these boss hog towns in a lot of these big cities are criminal.
[00:35:33.554 --> 00:35:34.134]  I've seen it.
[00:35:35.484 --> 00:35:44.192]  And they just talk about all over Texas, I mean, just county after county, they just pull you over and take your watch, take your wallet, under acid forfeiture, no drugs, no nothing found illegal.
[00:35:44.412 --> 00:35:45.453]  They rob old ladies.
[00:35:45.833 --> 00:35:46.654]  It's all in the news.
[00:35:47.295 --> 00:35:52.119]  I mean, it's not just bad cops or bad corrupt systems or violating the Bill of Rights Constitution.
[00:35:52.759 --> 00:35:55.502]  We're seeing what happens in Mexico and most other nations.
[00:35:55.562 --> 00:35:57.744]  They are just going completely criminal.
[00:35:58.204 --> 00:36:01.867]  And they're now recruiting more and more criminals into the police force, the military.
[00:36:02.728 --> 00:36:05.790]  We've got to turn this around now, or the whole society will collapse like Mexico.
[00:36:06.750 --> 00:36:10.172]  Well, we do, and we all have a responsibility with this.
[00:36:11.052 --> 00:36:12.373]  We're off track in our country.
[00:36:12.513 --> 00:36:13.914]  We've forgotten our roots.
[00:36:14.934 --> 00:36:17.135]  We have gotten off our constitutional basics.
[00:36:17.956 --> 00:36:21.357]  We don't teach fundamentals in the police academies.
[00:36:22.718 --> 00:36:24.659]  They do hire people that should not be in there.
[00:36:25.079 --> 00:36:27.960]  And I'm grateful, too, just as you said, that these are
[00:36:29.488 --> 00:36:32.290]  The exceptions and not the norm, but it's happening too much.
[00:36:32.790 --> 00:36:36.313]  And we need people to be vigilant.
[00:36:36.453 --> 00:36:39.495]  And you know, the price of freedom is eternal vigilance.
[00:36:39.555 --> 00:36:42.537]  And we've got to get a handle on all of this.
[00:36:43.818 --> 00:36:50.462]  You know, in my first book, The Proper Role of Law Enforcement, it addresses that issue and it addresses how I was converted to the Constitution.
[00:36:51.002 --> 00:36:53.284]  And I wasn't born a constitutional cop.
[00:36:54.411 --> 00:37:02.252]  You know, it came from looking at my oath of office one day that I swore to uphold independent constitution, but I had never read it, so I started reading it.
[00:37:02.793 --> 00:37:13.014]  And I believe that when these fundamental documents come to life for police officers and peace officers and sheriffs in this country, that they will have the same conversion.
[00:37:13.674 --> 00:37:23.356]  I believe, just as you said, that most of these men and women are good people, but they have to be given proper and good information or they're never going to change.
[00:37:24.142 --> 00:37:38.526]  I believe this change is possible, and in my book it addresses that, like I told you, it documents a large portion of my case that was endorsed by the Supreme Court, and it's a landmark decision, and it needs to be used.
[00:37:39.527 --> 00:37:48.810]  And Madison, James Madison is quoted against, again talking about states standing up, and counties standing up against the federal government.
[00:37:49.170 --> 00:37:52.991]  And it says, hence, a double security arises to the rights of the people.
[00:37:53.772 --> 00:37:58.614]  The different governments will control each other at the same time that each will be controlled by itself.
[00:37:59.114 --> 00:38:01.415]  That's a quote from Madison, which is in the decision.
[00:38:01.435 --> 00:38:01.515]  Yeah.
[00:38:01.875 --> 00:38:04.816]  Each, each, each binding down the others to the Constitution.
[00:38:04.836 --> 00:38:05.116]  Correct.
[00:38:05.536 --> 00:38:05.896]  Correct.
[00:38:06.317 --> 00:38:09.038]  And so now this is the only place in the book that it does this.
[00:38:09.438 --> 00:38:18.661]  So it says to the reader, so who is charged with safeguarding the people from the federal government when it refuses to control itself?
[00:38:19.081 --> 00:38:20.722]  And then in parentheses, it says,
[00:38:21.385 --> 00:38:24.028]  Please write the answer in the space provided.
[00:38:24.088 --> 00:38:28.133]  And there's an empty slide right there for the reader to put that in there.
[00:38:28.193 --> 00:38:32.498]  And you want your sheriff to realize the answer.
[00:38:32.598 --> 00:38:33.879]  And there could be several answers.
[00:38:33.959 --> 00:38:35.041]  It could be the sheriff.
[00:38:35.081 --> 00:38:36.222]  It could be you.
[00:38:36.302 --> 00:38:37.724]  The answer is we are.
[00:38:38.420 --> 00:38:39.962]  Or the Sheriff, or I am!
[00:38:40.443 --> 00:38:54.058]  And that goes into the grand juries, the juries, how they've been made these kept, enslaved, in the dark creatures who were told how to rule and told what to do when the founders in history in the Magna Carta states even before that, 1215 in England,
[00:38:55.319 --> 00:39:18.296]  That it is the jury that judges the law and the case, and if they think a law is unconstitutional or it's tyranny, or they don't respect it, and they knew not to trust the police and the government, that they were even above the king, and our ancestors fought incredible wars to get this basic right, and that's what everything is based on, and now they're abolishing the Magna Carta in England, and crowing and trumpeting they've done this.
[00:39:18.356 --> 00:39:22.359]  So, bottom line, if you don't stand up, you will be run over.
[00:39:23.100 --> 00:39:23.440]  Correct.
[00:39:23.780 --> 00:39:35.828]  And the overall question, and it asks the question specifically, to your sheriff, to your favorite peace officer, will you stand against tyranny?
[00:39:36.388 --> 00:39:37.469]  Well, there's only two answers.
[00:39:38.470 --> 00:39:39.771]  Yes, I will or no, I won't.
[00:39:39.951 --> 00:39:46.715]  If he won't, especially after you give him this information, then you've got to get rid of him or you've got to move somewhere else.
[00:39:47.395 --> 00:39:49.076]  The second one is, yes, I will.
[00:39:49.417 --> 00:39:51.458]  Then you convince him and show him
[00:39:52.384 --> 00:39:54.507]  When and where he should do that.
[00:39:55.189 --> 00:39:57.512]  We've got to stand behind the sheriff on this.
[00:40:02.008 --> 00:40:06.271]  You know, my life, I was a happy person, but I, you know, there was this emptiness.
[00:40:06.351 --> 00:40:10.714]  And when I studied history and studied what was happening, my life is so fulfilled, so dynamic.
[00:40:11.214 --> 00:40:12.435]  It is what you're meant to do.
[00:40:12.675 --> 00:40:16.177]  Men are meant to guard their hut, guard their village, guard their county.
[00:40:16.618 --> 00:40:17.658]  This is what humans do.
[00:40:17.678 --> 00:40:29.787]  I mean, it's the natural law that you become usurped or killed or enslaved if you don't stand up and aren't strong, and if you don't have justice, and that justice is what creates milk and honey and wonderful societies.
[00:40:30.107 --> 00:40:31.588]  How has your life changed
[00:40:32.348 --> 00:40:40.230]  Since you were a constitutional police officer and a constitutional sheriff and the fights you've led and the victories you've had, most of the time we fight back, we have victories.
[00:40:40.250 --> 00:40:41.070]  That's the big secret.
[00:40:42.431 --> 00:40:49.773]  And I just feel sorry for those that are involved in tyranny and rationalize it because they don't know that it isn't money or treasure or anything that life is about.
[00:40:50.413 --> 00:41:10.006]  It is literally about being a servant, and being a protector, and being a guardian, and that all of us, whether we're a police officer, or a sheriff's deputy, or a firefighter, or a military person, or a shopkeeper, we are all guardians, and that we have a job in life to be involved to fight evil, because evil is always in our society.
[00:41:10.026 --> 00:41:11.968]  So, what has that journey been like for you?
[00:41:12.988 --> 00:41:19.553]  Well, the first thing that I thought of when you said that, and I've even asked that question before, it's been a real rollercoaster ride.
[00:41:20.089 --> 00:41:22.210]  It has been lots of ups and lots of downs.
[00:41:22.570 --> 00:41:23.390]  Very exciting.
[00:41:24.251 --> 00:41:24.771]  Thrills.
[00:41:25.311 --> 00:41:32.834]  I thought I was going to die a few times, but my wife is hung with me and my kids have also, and I've got a good family.
[00:41:33.614 --> 00:41:35.535]  And it's brought us all fulfillment.
[00:41:35.955 --> 00:41:41.177]  And I've got the respect of my kids because they know that I stood for what I believed in.
[00:41:42.419 --> 00:41:47.840]  Even though it didn't bring us any money, in fact it did quite the opposite of that, but this has never been about money.
[00:41:47.900 --> 00:41:56.522]  It's been about one thing, and one thing only, and that is standing and fighting for what I truly believe in, and this is what it has accomplished.
[00:41:56.762 --> 00:42:03.863]  Personally, I really feel that I've been able to make a little difference, and the good Lord put me on earth to make a difference.
[00:42:04.984 --> 00:42:07.024]  I believe that He's called me to this work.
[00:42:08.104 --> 00:42:09.865]  And I'm not going to turn my back on it.
[00:42:09.945 --> 00:42:10.786]  I'm not going to stop.
[00:42:11.346 --> 00:42:12.727]  I'm only 56 years old.
[00:42:13.348 --> 00:42:20.992]  I've got plenty of time left to stand and fight for this holy cause, just as Patrick Henry called it, the holy cause of liberty.
[00:42:21.713 --> 00:42:22.774]  We cannot give up.
[00:42:23.254 --> 00:42:27.417]  Friends and neighbors and everybody listening to this, do not give up.
[00:42:27.597 --> 00:42:35.602]  I've got speaking engagements about this very thing in Texas where people are inviting their sheriffs and favorite cops and deputies.
[00:42:36.109 --> 00:42:37.750]  I've got another one lined up in Ohio.
[00:42:38.551 --> 00:42:43.335]  I want to be doing this every weekend, so get on the website, sheriffmack.com.
[00:42:44.536 --> 00:42:50.481]  I'm going to try to put my schedule on there so you know, but anyway, give me an email, sheriffmack.hotmail.com.
[00:42:50.541 --> 00:42:51.522]  It's on my website.
[00:42:52.022 --> 00:42:52.763]  Give me a call.
[00:42:54.144 --> 00:42:56.025]  Drop me a line and let's make this movement.
[00:42:56.626 --> 00:43:03.011]  This movement can stop the New World Order, but we have got to get this information out
[00:43:03.702 --> 00:43:08.509]  Get the book for yourself, get one for your favorite cop, and definitely get one for your sheriff.
[00:43:09.029 --> 00:43:10.371]  And let's get this thing rolling.
[00:43:11.232 --> 00:43:13.515]  Alright, Sheriff Mack, I would just say this.
[00:43:15.000 --> 00:43:16.341]  It isn't just physical courage.
[00:43:16.381 --> 00:43:22.783]  All the psychological studies show it's moral courage to admit you've been manipulated, to admit you've been indoctrinated and inculcated.
[00:43:24.004 --> 00:43:25.684]  We don't even ask people to think the way we do.
[00:43:25.724 --> 00:43:36.109]  Just look at history, look at what you're doing, look at what you're involved in, whether you're a business person or a police officer, whatever it is, and ask if this country's going in the right direction, and ask what you're doing.
[00:43:36.129 --> 00:43:43.792]  And all you silly yuppies that giggle and smirk and laugh about all this stuff, I told you the bankers were going to take everything you had because we had their own IMF World Bank documents.
[00:43:44.292 --> 00:43:45.432]  You know, this isn't a game.
[00:43:45.452 --> 00:43:46.933]  These guys aren't playing patty cake.
[00:43:47.833 --> 00:43:51.134]  The people running this new world order killed 200 plus million people last century, okay?
[00:43:51.614 --> 00:43:55.556]  So we don't stand up and fight these creatures, you know, just for fun.
[00:43:55.616 --> 00:44:02.518]  We do this because we know that there's no other choice and it is the best feeling and the most fulfilling thing in the world
[00:44:03.078 --> 00:44:06.321]  To just gut up, get past the fear, then you won't have it anymore.
[00:44:06.701 --> 00:44:08.583]  Once you go through fear, it's gone.
[00:44:09.104 --> 00:44:10.365]  And it is animating.
[00:44:10.405 --> 00:44:12.086]  The animating contest of liberty.
[00:44:12.147 --> 00:44:13.408]  You aren't living.
[00:44:13.848 --> 00:44:16.170]  Bungee jumping, you're not going to find this exhilaration.
[00:44:16.471 --> 00:44:17.752]  Partying, having sex.
[00:44:18.152 --> 00:44:22.774]  Doing drugs, getting drunk, you know, none of that is going to fulfill you.
[00:44:22.814 --> 00:44:31.618]  Being rich, being powerful, nothing is going to fulfill you like helping others and knowing what's going on in the world and not being a sucker and a chump.
[00:44:32.038 --> 00:44:36.320]  And we just really want to salute you Sheriff Richard Mack and we'll talk to you in the near future.
[00:44:37.001 --> 00:44:40.222]  Thanks a lot Alex and God bless you and thanks again for having me on.
[00:44:40.562 --> 00:44:41.563]  Thank you for joining us.
[00:44:43.504 --> 00:44:50.566]  Absolutely, you know, I think about how they can set me up, imprison me, how evil the feds are, how evil most of the states are now, and I'm not even worried about it.
[00:44:51.987 --> 00:44:58.168]  I worry about my little sweet, dear, darling, angelic children, but, you know, if nothing bad happens to them, that's the new world order, that's not me.
[00:44:58.869 --> 00:45:04.991]  I put it in God's hands, because they have no future, and other children have no future, if we don't stand up.
[00:45:05.091 --> 00:45:07.151]  If we give in to the fear, they win.
[00:45:07.271 --> 00:45:09.452]  If we fight, they lose.
[00:45:11.102 --> 00:45:13.704]  All you have to do is put yourself in motion.
[00:45:14.665 --> 00:45:18.808]  All you have to do is make the commitment to fight tyranny.
[00:45:19.369 --> 00:45:21.750]  In small ways, it will grow into great things.
[00:45:22.431 --> 00:45:23.632]  Victory is ours.
[00:45:24.092 --> 00:45:25.914]  Resistance is victory.
[00:45:27.031 --> 00:45:30.833]  Now, that said, we need your financial support here.
[00:45:31.534 --> 00:45:37.177]  And the ways we ask for financial support are buying the books and videos, making all the copies you want, getting PrisonPlanet.tv memberships, all of that.
[00:45:37.197 --> 00:45:43.260]  Because people say, Alex, you need to do this, you need to do that, you need to expand, you need to take action in all these ways.
[00:45:43.580 --> 00:45:46.062]  And a lot of times I'd say, you know, what are you telling me to do more?
[00:45:47.128 --> 00:45:47.568]  But you know what?
[00:45:47.608 --> 00:45:48.389]  I'm taking the challenge.
[00:45:48.549 --> 00:45:49.189]  I am doing more.
[00:45:49.229 --> 00:45:51.610]  But if you ask me to do more, you have to support more.
[00:45:52.290 --> 00:46:01.214]  And the number one thing is telling your email list, your friends, your family, your neighbors, your community, about AM and FM stations we're on in your area, shortwave, internet, satellite, the free podcast.
[00:46:01.514 --> 00:46:02.855]  That's how this show grows!
[00:46:03.475 --> 00:46:04.256]  Are you doing that?
[00:46:04.396 --> 00:46:06.456]  I mean, it's one thing to almost take action.
[00:46:06.997 --> 00:46:08.297]  It's another thing to take action.
[00:46:08.597 --> 00:46:09.218]  That's the biggest thing.
[00:46:09.238 --> 00:46:11.479]  I think the show's the most effective, the best guest, the best info.
[00:46:11.659 --> 00:46:13.780]  We bring all these great activists that have had success.
[00:46:14.600 --> 00:46:18.323]  At the state level, federal level, he's won at the Supreme Court, held back a lot of gun grabbing.
[00:46:19.504 --> 00:46:22.467]  And it's all because you, the core listeners, have supported these other people.
[00:46:22.487 --> 00:46:30.754]  We bring on here as a larger platform, but we need the platform itself to grow so that we can launch others.
[00:46:30.854 --> 00:46:36.939]  This, literally, we're like a Cape Canaveral rocket base, and we are launching, you know, ICBMs at the enemy.
[00:46:37.580 --> 00:46:42.544]  And we're trying to produce more info weapons and more powerful weapons to blow holes in the enemy.
[00:46:44.875 --> 00:46:46.617]  And we are going straight into the enemy.
[00:46:46.657 --> 00:46:47.678]  We are committed.
[00:46:48.098 --> 00:46:48.899]  We are focused.
[00:46:48.979 --> 00:46:56.126]  Now, I bring Ted Anderson up a couple times a week now because gold was $280 an ounce when I first started plugging it.
[00:46:59.108 --> 00:47:02.572]  Now it's gone up into $930, $940, $950 today.
[00:47:02.632 --> 00:47:03.993]  I haven't looked in the last few minutes.
[00:47:04.013 --> 00:47:07.276]  It's up at $940 something, $930 something and rising.
[00:47:08.918 --> 00:47:09.418]  And Ted
[00:47:10.620 --> 00:47:12.401]  Doesn't really even make money doing this.
[00:47:12.742 --> 00:47:17.905]  He buys the gold and silver when it's low, and he sells it when it's low, and he sells it when it's high.
[00:47:18.326 --> 00:47:21.468]  And he is at the very tail end of a purchase he made three weeks ago when gold was at $830.
[00:47:23.670 --> 00:47:26.052]  And Ted is the owner of this Genesis Network.
[00:47:26.932 --> 00:47:28.473]  By the way, Ted, I've been so busy I keep forgetting.
[00:47:28.493 --> 00:47:32.336]  Have you gotten my new Star Guide feed yet?
[00:47:32.356 --> 00:47:33.856]  I'm working on that right now.
[00:47:33.876 --> 00:47:36.978]  We just sent the equipment up to ABC so we can get that going.
[00:47:37.559 --> 00:47:38.399]  Leasing that feed?
[00:47:38.419 --> 00:47:40.481]  Yeah.
[00:47:40.561 --> 00:47:47.305]  We've got a T1 connection there, but we have to break it up with an AdTran modem-type unit.
[00:47:47.694 --> 00:47:55.161]  that can do that, and then we put the codex up there in order to transcode and get your voice back over to... Well, that's an example of what I'm saying.
[00:47:55.601 --> 00:48:13.116]  I'm on one ABC feed, but we're going to go, this radio show, 24 hours a day, except for Jason Bermas, on our own system with Ted, and it's Ted stepping up to pay the $5,000 a month, and the feds, a side issue, I want to bring this up now, Tim, and we'll hold you over to the next segment, the feds put out this line, we know they're feds,
[00:48:14.078 --> 00:48:17.791]  That we're owned by ABC and owned by the Saudi Arabians and that...
[00:48:19.528 --> 00:48:22.069]  This is the kind of lies they do, and that we're on ABC.
[00:48:22.109 --> 00:48:31.454]  Yes, you go out and you lease a Clear Channel, an ABC receiver, or a Jones receiver, those are the three, and radio station owners are laughing, and so are managers, they know.
[00:48:31.735 --> 00:48:37.698]  That's the piece of equipment, like you, you know, you contract for an ISDN line, you get it from AT&T, we're not owned by AT&T.
[00:48:38.178 --> 00:48:40.699]  But that shows how the feds operate, right?
[00:48:40.719 --> 00:48:42.680]  They're going, oh look, they're owned by ABC.
[00:48:42.741 --> 00:48:46.803]  No, this, any of you can call ABC and lease your own feed.
[00:48:47.563 --> 00:48:51.046]  And the reason we go with ABC is they don't restrict the fee.
[00:48:51.066 --> 00:48:56.091]  You can lease one from Clear Channel, but they won't let the stations have the encoders to get you off unless you're a Clear Channel show.
[00:48:56.591 --> 00:49:09.843]  And it's just so sick how I think of the fact that we're trying to get another satellite for the stations out there to deliver my show 24 hours a day so they can air it more, and then the enemy gets upset by that and lies to people and says that we're ABC.
[00:49:10.223 --> 00:49:11.705]  Can you explain that to folks, Ted?
[00:49:12.085 --> 00:49:13.609]  Well, yeah, I mean, as simple as this.
[00:49:13.689 --> 00:49:18.862]  I mean, it's the delivery mechanism that's used by all the radio shows out there in the marketplace.
[00:49:19.298 --> 00:49:20.058]  You're right about that.
[00:49:20.098 --> 00:49:32.162]  I did lease from Clear Channel for a little while, and unless if you're a premier group radio show like Sean Hannity or Rush Limbaugh or some of these others that they produce, they won't open up their receivers.
[00:49:32.182 --> 00:49:33.962]  And they didn't tell you that when they leased it to you?
[00:49:34.202 --> 00:49:34.622]  Oh, no.
[00:49:34.702 --> 00:49:39.224]  I mean, I had to get out of a five-year contract, and I had to buy my way out of it.
[00:49:39.264 --> 00:49:39.964]  It was crazy.
[00:49:40.204 --> 00:49:43.045]  ABC just happens to open it up.
[00:49:43.185 --> 00:49:47.846]  Anybody that's picking up Paul Harvey or ABC News has a receiver.
[00:49:48.325 --> 00:49:50.305]  That can pick up the Alex Jones Show.
[00:49:50.626 --> 00:50:05.549]  And if you want to syndicate in the marketplace, if you want to make any kind of a dent in the terrestrial market, meaning licensed AM and FM stations out there, you have to have an ABC Star Guide 3 feed, which is now developing into this new XDS receiver.
