[00:00:01.869 --> 00:00:02.489]  Engage!
[00:34:45.976 --> 00:34:52.387]  As soon as Ron Paul gets on with us, that's what we're going to discuss, is the bill that he's introduced.
[00:34:52.487 --> 00:34:54.471]  It's now got over 200 sponsors.
[00:34:54.972 --> 00:34:56.534]  Bill to Audit Federal Reserve now has 207 co-sponsors.
[00:34:58.410 --> 00:35:02.954]  New names being added every day, momentum building for Ron Paul and the American people.
[00:35:03.554 --> 00:35:09.839]  Identifying the outside criminal organization, the private bankers that have engineered the collapse, that have taken over our society.
[00:35:09.899 --> 00:35:10.940]  This is the new world order.
[00:35:11.361 --> 00:35:14.243]  We have their minutes, we have their documents, we have it all.
[00:35:14.283 --> 00:35:22.810]  We understand what they're doing, and what they're setting up, and what they are creating.
[00:35:26.348 --> 00:35:29.412]  Bill to Audit Federal Reserve now has 207 co-sponsors.
[00:35:29.873 --> 00:35:30.954]  New names being added every day.
[00:35:31.014 --> 00:35:32.837]  Momentum building for the American people.
[00:35:33.257 --> 00:35:36.722]  Thanks to Ron Paul and all of your phone calls to Congress, all the letters to Congress.
[00:35:37.950 --> 00:35:48.939]  At a time of writing, a bill that would see the Federal Reserve Bank audited for the first time in 59 years has 207 co-sponsors in the House and is gaining traction with every single day.
[00:35:48.979 --> 00:35:51.361]  Now we've seen numbers of 200 is what we confirm.
[00:35:51.802 --> 00:35:53.043]  Daily Pulse saying 207.
[00:35:53.783 --> 00:36:00.889]  We can talk to the man himself, Congressman Ron Paul, the hardest working man in Congress, Dr. Ron Paul, hailing from Texas.
[00:36:00.949 --> 00:36:02.350]  I'm so honored to be a Texan with him.
[00:36:03.011 --> 00:36:05.073]  Congressman, how many sponsors does it really have?
[00:36:05.816 --> 00:36:08.638]  Well, it's actually 209 right now.
[00:36:08.979 --> 00:36:10.380]  Yeah, you heard it here first!
[00:36:10.400 --> 00:36:10.380]  209!
[00:36:10.420 --> 00:36:15.785]  So we have to almost check minute by minute, and they're coming in faster and easier now.
[00:36:15.905 --> 00:36:23.131]  And the percentage of the new people are Democrats, because a lot of the Republicans are already on.
[00:36:23.191 --> 00:36:24.412]  So it is spreading.
[00:36:24.492 --> 00:36:27.495]  I think the people at the grassroots have done the job that they need to do.
[00:36:28.375 --> 00:36:38.988]  And when we feel really depressed about how slow Congress works, we do have a system that will respond if we wake up enough people, but that's the tough job.
[00:36:39.008 --> 00:36:41.370]  But they will respond when they hear from the people.
[00:36:42.051 --> 00:36:46.116]  Congressman, how long have you worked to get this many sponsors?
[00:36:46.136 --> 00:36:48.659]  I mean, you've been introducing this bill for a decade, haven't you?
[00:36:49.522 --> 00:36:52.363]  Yes, it's been probably ever since I've been in Congress.
[00:36:52.383 --> 00:36:58.285]  I don't know if I've ever skipped any, but there's never been any general support from the public.
[00:36:58.345 --> 00:37:04.547]  But because of the financial crisis, because of the presidential campaign, and the interest in the Federal Reserve, all of a sudden it's come together.
[00:37:05.423 --> 00:37:15.009]  So this is by far the most interest that we've had, and quite frankly I think it's the most interest anybody's ever had since the Federal Reserve has been established in 1913.
[00:37:15.550 --> 00:37:27.297]  But you know, even though the Fed contributed significantly if they didn't cause the whole depression of the 30s, nobody was calling for, you know, auditing the Fed and abolishing the Fed today.
[00:37:27.577 --> 00:37:29.739]  Those are routine chants that we hear.
[00:37:30.659 --> 00:37:37.161]  And therefore, I think we're making great progress only because they've created such a chaotic mess that we're dealing with.
[00:37:37.701 --> 00:37:44.063]  Well, we'll have to change the headline at InfoWars.com and PrisonPlanet.com to 209 from Congressman Ron Paul.
[00:37:44.083 --> 00:37:45.824]  So you heard it here first, sir.
[00:37:46.304 --> 00:37:51.085]  I don't want listeners to blink or viewers to blink because they may miss history.
[00:37:52.025 --> 00:37:57.207]  I don't think even our own movement realizes the gravity of the fact that it looks like
[00:37:58.092 --> 00:38:02.378]  This bill has a good chance of passing if we get another ten or so sponsors.
[00:38:02.418 --> 00:38:04.942]  And the Federal Reserve has hired lobbyists to try to block this.
[00:38:05.282 --> 00:38:10.549]  Their arrogance, their veneer of invincibility, their cloak of invincibility is falling away.
[00:38:10.810 --> 00:38:12.352]  People see that they can be beat.
[00:38:12.632 --> 00:38:14.395]  They see that they are not above the law.
[00:38:14.895 --> 00:38:24.301]  It's viral videos with the former Fed Chairman and current Fed Chairman saying they're above the law and no one can look into them and no agency of government of the three branches can.
[00:38:24.561 --> 00:38:30.685]  That is asinine on its face for even an uneducated, uninformed public on our system of government.
[00:38:31.166 --> 00:38:32.967]  And so I just want to get your take on
[00:38:34.562 --> 00:38:39.247]  What is it like for you to know you're the leader of something that is so amazingly historical?
[00:38:39.287 --> 00:38:45.734]  Because even if they somehow beat this this time, then the question is, how were we not able to audit you?
[00:38:46.114 --> 00:38:51.820]  And so you can see that the momentum has changed and the pendulum is really shifting.
[00:38:51.960 --> 00:38:54.743]  I sense destiny of the level of 1776 here, sir.
[00:38:56.952 --> 00:38:58.173]  I think there's no doubt about it.
[00:38:58.213 --> 00:39:06.979]  They can't put the genie back in the bottle because the odds are still, you know, iffy about where this is going to go.
[00:39:06.999 --> 00:39:12.643]  I mean, the powers that be have a lot of tools that they can use.
[00:39:12.763 --> 00:39:15.485]  Conference committees, they might block it in the Senate.
[00:39:16.626 --> 00:39:18.469]  They can do all sorts of things.
[00:39:19.631 --> 00:39:24.178]  So I remain cautiously optimistic because I know it has a long way to go.
[00:39:24.278 --> 00:39:27.283]  But the issue will not be quieted down.
[00:39:27.323 --> 00:39:28.825]  I mean, the issue is out there.
[00:39:30.768 --> 00:39:40.531]  You know, in some ways, let's say we have all this attention and this bill and we get the majority in the Congress to endorse it and it never gets out and never goes anywhere.
[00:39:40.971 --> 00:39:44.633]  It's proof positive that we really need to do it.
[00:39:44.773 --> 00:39:49.194]  That means the incentive will be that much greater to get a handle on all this.
[00:39:49.254 --> 00:39:54.316]  So, I think we win either way because we've gotten the attention of such a large number of people.
[00:39:54.916 --> 00:40:07.325]  It's not only the very, very hardcore Constitutionalists, because the grassroots are talking to the very average Republican, the very average Democrat, the moderate, the liberal, the progressive, and they're all joining it.
[00:40:07.645 --> 00:40:11.428]  But the issue really here is reigning in government and transparency.
[00:40:12.389 --> 00:40:19.794]  We should not be fooled into believing that they have a strong belief in the monetary policies that we might want.
[00:40:19.874 --> 00:40:22.716]  I mean, they're not old gold standard people or anything else.
[00:40:22.756 --> 00:40:23.537]  What's driving this
[00:40:24.137 --> 00:40:39.723]  Is that Congress has created a mess, the Federal Reserve has been doing a lot secretly, and the American people want to know what's happening because they've seen too many special interests bailed out, not only by Congress and the Treasury but by the Federal Reserve as well, and they're demanding answers.
[00:40:41.178 --> 00:40:46.064]  Congressman, in the 12 minutes or so we have left with you, I've got so many important questions concerning this.
[00:40:46.824 --> 00:40:52.971]  How do we explain to some of the public out there that this is all a process of liberty?
[00:40:53.372 --> 00:40:59.459]  Tyranny wasn't born overnight in this country, and liberty isn't going to take back over overnight.
[00:40:59.499 --> 00:41:01.080]  It's a constant battle between those two.
[00:41:02.389 --> 00:41:06.530]  Title forces, as you know, but people said, oh, Ron Paul didn't win, so boo-hoo.
[00:41:06.570 --> 00:41:08.811]  I said, no, it built this giant movement.
[00:41:08.851 --> 00:41:15.633]  Now the biggest thing on campus isn't liberal or fake conservative, it's libertarian, it's freedom, it's constitutionalist.
[00:41:16.293 --> 00:41:20.455]  And now people are finally seeing that a year later, that it's building in strength
[00:41:22.296 --> 00:41:30.460]  And that it's a process that even, as you just said, even if they defeat it this time, then people say, well, why can't we audit it?
[00:41:30.980 --> 00:41:40.404]  It's almost better if they do engage in chicanery and pull out the stops and beat it this time, because then everybody's going to want to know what they're hiding.
[00:41:40.624 --> 00:41:47.868]  Yep, that's exactly right, and that'll just energize our group of young people especially, even more so.
[00:41:48.502 --> 00:41:53.443]  But I think it's an issue whose time has come, and it's not going to go away.
[00:41:54.643 --> 00:42:10.407]  And I don't know if you saw Jim Grant's quote today on the business station, but he said that if we ever got that auditing bill passed, that it would be a declaration that the Federal Reserve is in a lot worse shape than any of the banks that went bankrupt.
[00:42:11.387 --> 00:42:16.172]  Technically, you know, in conventional terms, the Federal Reserve does not have the assets.
[00:42:16.233 --> 00:42:20.137]  All they have are credits, and obviously that's what we would expect.
[00:42:20.597 --> 00:42:26.744]  But that goes to prove why they can't be the salvation of this country.
[00:42:26.824 --> 00:42:33.671]  I mean, just counterfeiting money and doing mischief and serving the interests of their friends, that can't work.
[00:42:34.031 --> 00:42:40.017]  I think it's going to come to an end whether we win this legislative victory or not, because their system is deeply flawed.
[00:42:40.217 --> 00:42:49.125]  Ultimately, I think the solution comes if we're well prepared to offer it up when the system totally collapses.
[00:42:49.145 --> 00:42:51.908]  The financial structure has come unglued.
[00:42:53.021 --> 00:42:56.882]  But the dollar still works to a degree.
[00:42:57.103 --> 00:42:59.904]  People still are buying dollars and they don't know what to do with them.
[00:43:00.384 --> 00:43:07.426]  But when they get discouraged and they don't hold dollars anymore, and then they start buying up hard assets, they're starting to buy oil now more than they did a month or so ago.
[00:43:07.446 --> 00:43:09.367]  And they continue to buy gold.
[00:43:10.167 --> 00:43:12.129]  You know, China continues to buy gold.
[00:43:12.189 --> 00:43:13.811]  I mean, there's a lot of things.
[00:43:14.252 --> 00:43:19.897]  But the end stages of a situation like this goes very, very rapidly once the sentiment changes.
[00:43:20.378 --> 00:43:27.926]  Just like when the financial system collapsed, everybody rushed to dollars and interest rates went down to 1%, along with what the Fed was doing.
[00:43:28.426 --> 00:43:34.910]  But when a currency crisis hit, people went, holy man, let's get out of the dollar.
[00:43:35.291 --> 00:43:36.551]  And then you'll see the fireworks.
[00:43:36.751 --> 00:43:40.274]  Then we have to be prepared to say, don't just give us a U.N.
[00:43:40.354 --> 00:43:40.974]  central bank.
[00:43:40.994 --> 00:43:47.338]  I mean, the international planners are, they know what we know, and they're making their plans.
[00:43:47.378 --> 00:43:48.799]  They know their days are numbered.
[00:43:49.219 --> 00:43:53.202]  But the contest is between totalitarianism and liberty and
[00:43:53.895 --> 00:44:01.779]  And whoever wants the totalitarian approach has to have government-monopolized money, and that's what we have to stop.
[00:44:02.379 --> 00:44:08.482]  In your gut, and we all know what the gut is, it's thousands of pieces of data integrated in and the mind comes up with a prime projection.
[00:44:08.863 --> 00:44:23.070]  In your gut, Congressman, do you agree with me that in the last two months we were about to get the title shift or the flip to our side, but I can almost spiritually feel it at a DNA level that the shift has happened?
[00:44:23.712 --> 00:44:24.352]  Toward our way?
[00:44:24.752 --> 00:44:24.972]  Yes.
[00:44:25.393 --> 00:44:28.273]  Well, when I'm out of Washington, I have two perspectives.
[00:44:28.314 --> 00:44:38.137]  You know, when I go to a college campus, and you represent and talk to people outside of Washington, and there should be reason why you're seeing signs of optimism.
[00:44:38.657 --> 00:44:40.037]  I come up here every single day.
[00:44:40.137 --> 00:44:46.059]  Right now, we're dealing with the State Department authorization bill, and it's atrocious.
[00:44:46.079 --> 00:44:50.721]  You know, it's $18 billion and more mischief and more militarism.
[00:44:51.501 --> 00:44:56.104]  And the Republicans this time are going to oppose it, but it's just a partisan thing.
[00:44:56.144 --> 00:44:57.845]  But it'll go sailing right through.
[00:44:57.865 --> 00:45:03.569]  So you're saying there's two different worlds, and more and more it's getting separated and that gulf is widening.
[00:45:03.976 --> 00:45:12.301]  Right, and like this week, and I just got off the floor, I gave my all of two minutes, and I said, you know, our president has asked us to go with PAYGO.
[00:45:12.441 --> 00:45:13.822]  Pay the bills as you go along.
[00:45:13.842 --> 00:45:16.503]  Of course, for the liberal, that means raise taxes.
[00:45:16.563 --> 00:45:17.964]  Well, how can they raise taxes?
[00:45:18.304 --> 00:45:22.047]  There's no businesses out there that can pay.
[00:45:22.527 --> 00:45:25.969]  But they're not going to pay for this if they're incapable.
[00:45:27.208 --> 00:45:27.749]  We're good to go.
[00:45:46.732 --> 00:45:49.835]  In two years from now, we're in a, you know, cut way back.
[00:45:49.875 --> 00:45:52.116]  We'll deal with the problems later on.
[00:45:52.136 --> 00:45:57.880]  And, you know, I think though our crowd is probably like young people around the world.
[00:45:57.900 --> 00:46:06.767]  Think of those young people in China when Geithner goes over there and says, oh yeah, we're going to get things under control and we're going to rein back our spending.
[00:46:07.047 --> 00:46:08.608]  And those students just laughed at them.
[00:46:08.968 --> 00:46:24.085]  Well, I imagine there's a lot of students around the country and a lot of other people now who just laugh at us up here in Washington, but the people here in Washington are still in charge and we haven't converted them and we're just seeing
[00:46:24.545 --> 00:46:25.305]  Well, I don't know.
[00:46:46.511 --> 00:46:48.213]  Absolutely, things are certainly deepening.
[00:46:48.233 --> 00:46:54.258]  When do you see the next big plunge downward, deeper into this globally engineered depression?
[00:46:56.801 --> 00:47:04.148]  I think it's really going down now, but the government statistics are giving people a false sense of security, so I think we're still slipping.
[00:47:04.850 --> 00:47:14.598]  But there will be more announcements and more bankruptcies and probably more commercial property problems and more states going bankrupt and more unemployment.
[00:47:14.998 --> 00:47:23.725]  Then finally, the euphoria on Wall Street over the last four months, it'll dissipate and that'll feed into a lot of disappointments.
[00:47:23.745 --> 00:47:28.989]  But you know, even though Wall Street has done a little bit better by these prices going up a little bit,
[00:47:29.449 --> 00:47:34.253]  I don't think the average guy out there that's lost his job has started to feel any better yet.
[00:47:36.074 --> 00:47:43.299]  I was impressed the other day that some of the news media have reported that the real rate of unemployment isn't 9%.
[00:47:44.600 --> 00:47:51.407]  It's like 18 percent, you know, when you add up all the people who don't look for jobs anymore or who work a couple hours a week.
[00:47:51.487 --> 00:47:53.950]  So it's a very serious problem.
[00:47:54.470 --> 00:47:54.910]  Exactly.
[00:47:54.951 --> 00:48:00.636]  The mainstream media is now having to admit more and more that the government is lying and spinning because they want to keep some credibility.
[00:48:01.037 --> 00:48:03.759]  Sir, I want to specifically ask you in the time we have left.
[00:48:04.760 --> 00:48:08.002]  How do we help you get this bill passed?
[00:48:08.042 --> 00:48:17.729]  How do we help you get HR 1207 that has 209 sponsors now as of June 10, 2009 on this Wednesday edition?
[00:48:18.129 --> 00:48:19.910]  What can we do to get this passed?
[00:48:20.010 --> 00:48:20.691]  What can we do
[00:48:22.051 --> 00:48:35.453]  Because going back to you at McKinney-Ruff's when you gave a speech, after I did, five years ago, it's in my film Matrix of Evil, you talked about how the key was when the global crisis came in, the establishment would try to
[00:48:37.305 --> 00:48:40.607]  Use the crisis to bring in their bank of the world, their world currency.
[00:48:40.747 --> 00:48:42.668]  Because you were reading the same global documents I was.
[00:48:43.528 --> 00:48:49.431]  And then now it's all over the news and they're posing as the saviors and the public is going, wait a minute, you're the guys that did this.
[00:48:49.692 --> 00:48:51.132]  So they are looking to you and others.
[00:48:52.153 --> 00:48:54.214]  So there's this vacuum that's about to happen.
[00:48:54.654 --> 00:48:59.977]  And I mean, just speaking to the fact that, as you always said, when this happened, we had to put in the maximum effort.
[00:49:00.017 --> 00:49:01.838]  So we want to put in the maximum effort.
[00:49:02.078 --> 00:49:02.799]  You're the general.
[00:49:02.839 --> 00:49:04.179]  You're the George Washington, sir.
[00:49:04.539 --> 00:49:05.140]  What do we do?
[00:49:05.808 --> 00:49:09.230]  I think we just do more of what we're doing now and building our numbers.
[00:49:09.330 --> 00:49:13.551]  I mean, you have a large number of people that listen to you, and you continue to do the things that you're best at.
[00:49:14.132 --> 00:49:22.635]  Now, following up from our campaign, we started the Campaign for Liberty, and that website helps bring people together, and our numbers continue to grow.
[00:49:23.176 --> 00:49:32.880]  But right now, in a more specific way, they need to go to Campaign for Liberty, get the names of those who've signed on, and find out exactly the congressmen who have not.
[00:49:33.513 --> 00:49:45.661]  And then instead, if your congressman has already signed on, go to the neighboring congressman and organize and find out where the meetup group is and list these people on the internet.
[00:49:45.801 --> 00:49:46.742]  And go to their office!
[00:49:46.882 --> 00:49:48.583]  I mean, you could go shake their hand, couldn't you?
[00:49:48.783 --> 00:49:49.544]  Yeah, that's it!
[00:49:51.585 --> 00:49:58.088]  When the members come and talk to him and they say, they'll come up and they'll be very nice and they're just trying to do their job.
[00:49:58.128 --> 00:50:02.249]  They say, what is this bill that the grassroots are all riled up about 1200 and something?
[00:50:02.269 --> 00:50:06.371]  And I said, well it has to do with transparency of the feds so we know what they're doing.
[00:50:06.391 --> 00:50:07.531]  Oh, I'm for that!
[00:50:07.551 --> 00:50:08.672]  Then they signed on.
[00:50:08.992 --> 00:50:13.454]  But they came to me not because they wanted to be on a Ron Paul bill.
[00:50:13.994 --> 00:50:15.656]  But because the grassroots were telling him.
[00:50:15.996 --> 00:50:18.799]  Actually, politically, I have to take a little credit.
[00:50:18.879 --> 00:50:22.823]  It is a little more popular being on a Ron Paul bill now than it used to be.
[00:50:22.843 --> 00:50:27.908]  Oh yeah, you're out there setting bushfires in the minds of men and women everywhere.
[00:50:27.948 --> 00:50:28.849]  You've been introducing this.
[00:50:29.210 --> 00:50:33.234]  What, I mean, I remember ten, twelve years ago you'd get like five, six sponsors for this.
[00:50:33.474 --> 00:50:34.275]  It's changing now.
[00:50:34.615 --> 00:50:36.057]  And it's politics, I mean.
[00:50:36.797 --> 00:50:43.119]  Especially marginal Democrats and marginal Republicans when they need this 10 or 15 percent of the vote.
[00:50:44.200 --> 00:50:51.042]  If there's a Democrat in a Republican seat, boy, they really want to pay attention to what's going on.
[00:50:52.342 --> 00:50:56.985]  Congressman, in closing, I want to ask you two quick questions.
[00:50:57.025 --> 00:51:01.388]  Number one, there's a domino effect, isn't there, from what you've been doing?
[00:51:01.628 --> 00:51:16.638]  Because as you move to audit the Fed, other agencies and groups and governments start thinking, here's AP today, Congress subpoenas the Fed about where all the billions of dollars to Bank of America went, because they won't tell Senator Sanders and Congressman Paul and others, yourself.
[00:51:17.399 --> 00:51:20.841]  So again, here's this idea of holding these guys accountable.
[00:51:20.861 --> 00:51:21.902]  It's starting to happen, isn't it?
[00:51:22.222 --> 00:51:26.506]  Oh yeah, it'll be contagious, and that is very good.
[00:51:27.246 --> 00:51:37.735]  I think that fortunately we can get all political groups together on transparency, and then we can argue out what we want to do.
[00:51:37.895 --> 00:51:44.501]  And as a matter of fact, Barney Frank has been helpful to me on this, but he wanted to make sure I knew.
[00:51:45.362 --> 00:51:47.744]  He didn't agree with me on the ultimate monetary policy.
[00:51:48.344 --> 00:51:48.964]  That's okay.
[00:51:49.284 --> 00:51:52.065]  If they believe in transparency, then open debate.
[00:51:52.426 --> 00:51:59.508]  But I just strongly feel that if we get transparency of the Fed and the people know what they've done, I think their days are numbered.
[00:52:00.008 --> 00:52:07.551]  Well, it's been said that an audit of the Fed will abolish the Fed, because as soon as all the admitted criminality, we can see them doing openly.
[00:52:07.571 --> 00:52:12.553]  I mean, what do you expect to find if we do get the audit, or how will they fight that?
[00:52:13.038 --> 00:52:27.172]  I think there'll be some surprises, but I'd be most interested in what they've done with the international organization, which countries they've bailed out, and which central banks they've helped, what they've done with gold, and whether or not they've loaned out and sold gold, and how they manipulate markets.
[00:52:28.073 --> 00:52:31.196]  I would imagine they even manipulate stock markets, for that matter.
[00:52:32.096 --> 00:52:34.678]  Uh, and how they do it would be the thing.
[00:52:35.359 --> 00:52:37.040]  I think it would be a big audit.
[00:52:37.320 --> 00:52:44.565]  You know, I think once they get in there to trace that thing through, it may be a big complex matter because it's international as well.
[00:52:44.966 --> 00:52:48.148]  I see my time is running out and I have to take
[00:52:48.772 --> 00:52:49.652]  Congressman, thank you.
[00:52:49.712 --> 00:52:53.253]  In closing, you'll hear about the news in the next few days.
[00:52:53.313 --> 00:52:57.894]  We broke it, just like the DHS documents, demonizing yourself and others.
[00:52:58.314 --> 00:53:11.097]  The government is demanding an inventory of even hundred-year-old cannons at all VFW posts, and threatening to have BATF raids if the Veterans of Foreign Wars doesn't basically become their little snitches.
[00:53:11.377 --> 00:53:14.657]  So I hope you'll look into this, Congressman, on top of everything else you're doing.
[00:53:14.697 --> 00:53:16.038]  Thank you so much for spending... Okay, very good.
[00:53:16.458 --> 00:53:17.558]  Thank you so much, Congressman.
[00:53:18.218 --> 00:53:18.598]  Take care.
[00:53:18.638 --> 00:53:19.899]  There he goes, ladies and gentlemen.
[00:53:20.119 --> 00:53:21.300]  On to the next matter.
[00:53:21.320 --> 00:53:22.061]  A very busy man.
[00:53:22.541 --> 00:53:24.042]  Congressman Ron Paul.
[00:53:24.482 --> 00:53:30.126]  And we skipped that break because he got on with us a little bit late running off of the floor to join us.
[00:53:30.966 --> 00:53:32.067]  Okay, ladies and gentlemen.
[00:53:32.307 --> 00:53:36.670]  I know some stations probably went to break then, even though it's not a local station break.
[00:53:36.770 --> 00:53:37.130]  It is a...
[00:53:38.351 --> 00:53:39.793]  It is a network break that we skip.
[00:53:39.813 --> 00:53:50.863]  We only skip network breaks occasionally when we have somebody like Charlie Sheen or Jesse Ventura or Ron Paul or somebody of that, Willie Nelson, on the show and I've got limited time with them.
[00:53:50.943 --> 00:53:59.731]  So there went Congressman Ron Paul and I got that info out to him just like I called their office.
[00:54:00.952 --> 00:54:02.113]  We're going to join some stations now.
[00:54:02.154 --> 00:54:02.374]  Here we go.
[00:54:04.485 --> 00:54:08.650]  Well, I just had Congressman Ron Paul on with us for some stations that may have gone to break.
[00:54:08.990 --> 00:54:10.151]  That was a network break.
[00:54:10.171 --> 00:54:13.074]  Some stations still take breaks they're not supposed to.
[00:54:14.195 --> 00:54:22.424]  But regardless, we just had him on during that last little segment with us as well, talking about a host of issues.
[00:54:22.484 --> 00:54:24.987]  Very, very exciting interview with him.
[00:54:25.968 --> 00:54:34.141]  And when we broke the MIAC report, we broke the DHS report, listeners would call Ron Paul's office saying, hey, you've been listed as a terrorist.
[00:54:35.263 --> 00:54:38.128]  And Ron Paul didn't say this, but his office said that can't be true.
[00:54:38.148 --> 00:54:39.490]  And then later they said, oh my God, it is.
[00:54:40.424 --> 00:54:46.687]  So I wanted to let Ron Paul know personally, I know he's going to hear about this, from me, that it's from us and it's true.
[00:54:47.227 --> 00:54:58.412]  VFW is, BATF is threatening to raid them and confiscate even World War I, Spanish-American War, and also they were given Civil War cannons.
[00:54:58.432 --> 00:55:02.554]  They're saying you have to register all those with us or we're going to SWAT team you with the BATF.
[00:55:03.414 --> 00:55:09.039]  And that is a fact, and we have broken it, and I have confirmed it, and it is absolutely massive news.
[00:55:09.619 --> 00:55:13.142]  Okay, I have just done an interview with Ron Paul.
[00:55:13.422 --> 00:55:17.666]  I want to get back to your calls on this VFW situation, get into the economy and a host of other
[00:55:18.934 --> 00:55:25.919]  Issues, but I also want listeners to know that the money bomb is coming up tomorrow and we're getting a huge response already.
[00:55:25.939 --> 00:55:27.000]  People are really excited.
[00:55:27.781 --> 00:55:30.263]  Thousands of people have signed up and pledged to give.
[00:55:30.543 --> 00:55:31.864]  This is your chance to be part of history.
[00:55:31.924 --> 00:55:32.905]  Think of everything we're doing.
[00:55:32.925 --> 00:55:34.065]  Think of everything we're going through.
[00:55:34.326 --> 00:55:35.727]  Think of everything we're trying to build here.
[00:55:36.906 --> 00:55:41.188]  You know, I make these high-quality, expensive films, and then I release them for free on Google and YouTube.
[00:55:41.388 --> 00:55:46.710]  Now, they're in higher quality at PrisonPlanet.tv, and PrisonPlanet.tv members and their memberships make that possible.
[00:55:47.350 --> 00:55:52.512]  And they also get the live TV show and all the other films and books and things, being PrisonPlanet.tv members.
[00:55:52.552 --> 00:56:04.477]  But we need to raise more capital to hire a couple more video editors, another webmaster or two, some more personnel, some people to moderate the comments so the death threats aren't on there, so the FBI doesn't come subpoena me.
[00:56:05.297 --> 00:56:08.059]  As Wired Magazine's reporting on yesterday, and AP as well.
[00:56:09.000 --> 00:56:10.882]  So, we need funds here.
[00:56:10.922 --> 00:56:11.402]  I mean, think.
[00:56:11.582 --> 00:56:12.803]  This is a little operation.
[00:56:13.224 --> 00:56:21.090]  There are about 14 people in this office, and the Watson brothers, and Kurt Nemo in New Mexico, and a few other people.
[00:56:21.270 --> 00:56:23.492]  A few contract IT guys.
[00:56:23.892 --> 00:56:24.653]  I mean, that's it.
[00:56:26.855 --> 00:56:29.657]  And I need more personnel to go to the next level.
[00:56:31.889 --> 00:56:34.793]  There's nothing bang for the buck like this radio show.
[00:56:35.434 --> 00:56:38.318]  When you buy books, buy videos, support our sponsors, that funds us.
[00:56:38.558 --> 00:56:47.951]  When you donate on the 2nd Annual 2009 Money Bomb at Infowarsmoneybomb.com tomorrow, starting in the morning, it's going to start up and run until Friday when the show starts.
[00:56:50.114 --> 00:56:52.035]  You know, we've got on there the $20,000 have come in.
[00:56:52.075 --> 00:56:52.516]  It's more like $60,000.
[00:56:54.097 --> 00:56:58.120]  We have to manually enter the money, but about $60,000 has come in so far.
[00:56:58.180 --> 00:56:59.140]  I want to go well above $250,000.
[00:56:59.601 --> 00:57:01.722]  Sounds like a lot.
[00:57:01.802 --> 00:57:05.385]  It's not when you're trying to do TV and finish our TV studio.
[00:57:05.945 --> 00:57:07.907]  Look at all we've done in a year.
[00:57:08.127 --> 00:57:10.989]  Found the office, moved in, built the studio.
[00:57:11.029 --> 00:57:12.390]  It was a gutted warehouse in here.
[00:57:13.230 --> 00:57:16.213]  Had to haggle companies to build it and try to get a good deal.
[00:57:16.613 --> 00:57:19.014]  Found the cheapest area in Austin.
[00:57:20.535 --> 00:57:22.076]  We're actually kind of out on the edge of Austin.
[00:57:23.517 --> 00:57:27.059]  I'm proud of my crew and what they did, and the people that built the studio, everybody.
[00:57:27.440 --> 00:57:34.224]  So we found a place, moved into it, launched it, made the Obama deception in other films while we were doing it, on top of the radio show and everything.
[00:57:34.704 --> 00:57:43.409]  And it's so hard to go from 10 people in your office to a bigger office in 14 or 15, and then we want to go to the next level of 20, 25, 30 people.
[00:57:43.829 --> 00:57:46.271]  It gets easier once you have the foundation.
[00:57:47.131 --> 00:57:48.654]  And we're now at that launch pad.
[00:57:48.674 --> 00:57:49.596]  We built the rocket.
[00:57:49.636 --> 00:57:50.157]  It's loaded.
[00:57:50.217 --> 00:57:50.758]  It's fueled.
[00:57:51.099 --> 00:57:52.301]  It's got the gantry on it.
[00:57:53.644 --> 00:57:55.648]  As they say, you ain't seen nothing yet.
[00:57:56.963 --> 00:58:03.945]  And, you know, all the big interviews we have, all the activist groups we have on, all the legislation we battle that's bad, all the good legislation we push.
[00:58:04.385 --> 00:58:08.027]  This is really a fulcrum, or one of the main centers.
[00:58:08.347 --> 00:58:18.290]  I would say the anti-new order movement is a bipolar or double-polar, dose-polar system, with the Ron Paul and then the Alex Jones.
[00:58:18.870 --> 00:58:20.911]  And that's been recognized by many even mainstream writers.
[00:58:20.931 --> 00:58:23.752]  There's that, you know, those title systems.
[00:58:25.177 --> 00:58:35.282]  And Ron Paul is really the gateway into the deeper information we cover, and we are a gateway to people from the more extreme liberty into the Ron Paul revolution.
[00:58:35.722 --> 00:58:37.843]  It is a great symbiotic relationship.
[00:58:38.063 --> 00:58:38.723]  We'll be back.
[00:58:38.783 --> 00:58:39.344]  Stay with us.
[00:58:41.625 --> 00:58:43.385]  Thank you for listening to GCN.
[00:58:46.307 --> 00:58:48.168]  Visit GCNlive.com today.
[00:58:50.973 --> 00:58:56.274]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:58:56.815 --> 00:59:05.197]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[00:59:05.397 --> 00:59:12.178]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:59:12.499 --> 00:59:17.940]  This new technology has proven itself to be a formidable weapon against bio-threats of today and tomorrow.
[00:59:18.260 --> 00:59:24.224]  The New Silver Solution Gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[00:59:24.564 --> 00:59:30.827]  The New Silver Solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
