[00:00:06.149 --> 00:00:11.693]  ...set off all ceramic filter systems and ship all orders over $50 free of charge.
[00:25:16.471 --> 00:25:21.076]  Nine times out of ten in surveys they do with women, they say, why do you leave your husband or why do you start fights with him?
[00:25:21.076 --> 00:25:27.323]  Oh, because I think I'm ugly and he, you know, doesn't empower me and I'm bored and my life isn't good and I'm a princess.
[00:25:27.323 --> 00:25:29.004]  You're not supposed to be a princess.
[00:25:29.004 --> 00:25:32.909]  You're supposed to live on this planet and help other people and build something.
[00:25:32.909 --> 00:25:35.872]  And leave it a better planet when you die.
[00:25:38.809 --> 00:25:40.330]  Than when you first got here.
[00:25:40.330 --> 00:25:41.530]  Same thing for men.
[00:25:41.530 --> 00:25:47.834]  Men think their whole life's supposed to be about partying and enjoyment and lots of sex and lots of women and no responsibility.
[00:25:47.834 --> 00:25:50.535]  And we wonder why everything's falling apart.
[00:25:50.535 --> 00:25:52.976]  This planet's been a hard planet to live on.
[00:25:52.976 --> 00:25:59.640]  Our ancestors had to fight with every ounce of energy they had just to survive and then to build civilizations.
[00:26:00.649 --> 00:26:08.414]  And as soon as they built a civilization and our numbers grew, then we had to fight with each other for different powerful groups always trying to enslave us.
[00:26:08.414 --> 00:26:15.919]  And now in the modern day, we've been convinced by Madison Avenue and the mainstream media and the map makers of the mind, the political...
[00:26:16.937 --> 00:26:24.498]  Controllers, the engineers of society and our psyches that, oh, don't be involved, don't have responsibilities, be a big kid for your whole life.
[00:26:24.498 --> 00:26:25.419]  Don't be involved.
[00:26:25.419 --> 00:26:27.859]  Let the establishment, let the experts run things.
[00:26:27.859 --> 00:26:31.160]  Just accept the way the world's set up around you like it's a rat maze.
[00:26:31.160 --> 00:26:33.160]  Don't ever try to change the world around you.
[00:26:33.160 --> 00:26:35.080]  Don't ever try to leave your mark in any way.
[00:26:35.080 --> 00:26:43.202]  Just regurgitate and conform into these little boxes and then be scared to death to ever get out of that little comfort zone bubble.
[00:26:43.602 --> 00:26:48.365]  Don't ever talk about politics, or don't ever say anything that might be strange to your neighbor.
[00:26:48.365 --> 00:26:51.967]  Oh my God, if your neighbor's a little strange, never talk to them.
[00:26:51.967 --> 00:26:56.390]  So we're all isolated watching the glowing television sets at night.
[00:26:56.390 --> 00:27:04.996]  You go to a restaurant, and there's TVs everywhere, and your wife, your children, you, all you stop talking, all you do is watch the TVs, or play on your iPhones.
[00:27:05.636 --> 00:27:22.590]  We're losing our humanity being sucked in to these media devices that are pre-programmed by the establishment with their images and their messages to distort what true human development and society is supposed to be all about.
[00:27:22.590 --> 00:27:26.393]  People say, well you're on the media, you're on the internet, you make films, you're on the radio.
[00:27:26.393 --> 00:27:31.737]  Absolutely, and I make those films and I explain that this is kind of a culture jamming.
[00:27:33.180 --> 00:27:39.682]  Or that I'm going in there trying to warn people and wake them up using the establishment's own medium.
[00:27:39.682 --> 00:27:49.104]  And I will go further that all the major studies that we've sourced and cited here show that reading actually increases your IQ and your critical thinking and so does listening to radio.
[00:27:49.104 --> 00:27:50.485]  And why is that?
[00:27:50.485 --> 00:27:58.167]  Because with reading, your brain has to interpret the symbols and then reconstruct them in your mind and create a three-dimensional
[00:27:59.091 --> 00:28:00.372]  Hologram to image.
[00:28:00.372 --> 00:28:02.513]  If I say yellow bicycle, you see yellow bicycle.
[00:28:02.513 --> 00:28:04.994]  If I say Marilyn Monroe, you see Marilyn Monroe.
[00:28:04.994 --> 00:28:10.516]  If I say Gulfstream jet, your brain has to then analyze for a few seconds and pull up a Gulfstream jet.
[00:28:10.516 --> 00:28:16.139]  If I say NFL, then you have to conjure up NFL.
[00:28:16.139 --> 00:28:19.800]  If I say Roger Stalbach, you've got to conjure up Roger Stalbach.
[00:28:19.800 --> 00:28:23.162]  But if you're watching TV, it's all done for you.
[00:28:23.749 --> 00:28:26.931]  So with reading and radio, you have to develop it.
[00:28:26.931 --> 00:28:28.812]  All the studies... Google it!
[00:28:28.812 --> 00:28:31.134]  Studies show radio and reading increase IQ.
[00:28:31.134 --> 00:28:33.335]  And you will see the government and universities own studies.
[00:28:33.335 --> 00:28:36.657]  And they know that.
[00:28:36.657 --> 00:28:41.960]  That's why people that read books and magazines and even newspapers make more money.
[00:28:41.960 --> 00:28:43.041]  They have higher IQs.
[00:28:43.041 --> 00:28:43.841]  They're more fulfilled.
[00:28:43.841 --> 00:28:44.622]  They're more happy.
[00:28:44.622 --> 00:28:46.903]  That's why radio... talk radio listeners.
[00:28:46.903 --> 00:28:50.946]  They're not perfect, but statistically they have higher IQs, higher education,
[00:28:54.110 --> 00:28:56.231]  They're more fulfilled.
[00:28:56.231 --> 00:29:01.594]  You see, we're always here fighting with the mainstream media, which has all its lies and disinformation in it.
[00:29:01.594 --> 00:29:04.595]  And talk radio and print's got it in it, too.
[00:29:04.595 --> 00:29:07.737]  But think about how most of the public doesn't even read the newspaper.
[00:29:07.737 --> 00:29:09.017]  They don't even watch the news.
[00:29:09.017 --> 00:29:13.280]  If they do, it's for five minutes, when somebody like Michael Jackson dies.
[00:29:13.280 --> 00:29:14.540]  It's a diversion.
[00:29:14.540 --> 00:29:15.721]  It's a distraction.
[00:29:15.721 --> 00:29:20.203]  Don't let that guy enter into your psyche as an archetype and take over your mind.
[00:29:20.203 --> 00:29:23.745]  Push Batboy, who had a poor, pathetic life,
[00:29:24.591 --> 00:29:30.256]  Out of your mind and move on to real issues like total tyranny coming down on you and your family.
[00:29:30.256 --> 00:29:31.797]  Break your mental chains.
[00:29:31.797 --> 00:29:34.079]  We'll be right back with key analysis and math.
[00:29:34.079 --> 00:29:39.064]  Studies have shown that many people do not get the proper vitamins and minerals necessary to maintain good health.
[00:29:42.276 --> 00:29:46.237]  The answer is simple.
[00:29:46.237 --> 00:29:47.798]  PureBulk.com.
[00:29:47.798 --> 00:29:56.901]  PureBulk.com has over 150 bulk wholesale nutritional products in stock, including vitamins, super antioxidants, amino acids, and herbal extracts.
[00:29:56.901 --> 00:30:06.504]  PureBulk.com's products contain no fillers, no additives, no fancy retail packaging, and no minimum purchase, allowing you to save 50 to 90% over store-bought supplements.
[00:30:06.504 --> 00:30:11.606]  PureBulk.com carries atomic iodine, red wine extract, gingko biloba, oil of oregano,
[00:30:11.846 --> 00:30:20.574]  Natural Coffee Caffeine, L-Arginine, Resveratrol, Hyaluronic Acid, Creatine, Curcumin, Pine Bark Extract, Grape Seed Extract, and more.
[00:30:20.574 --> 00:30:24.617]  For prices, additional products, and more information, visit purebulk.com.
[00:30:24.617 --> 00:30:26.439]  That's purebulk.com.
[00:30:26.439 --> 00:30:26.879]  Or call 406-251-3270.
[00:30:26.879 --> 00:30:27.260]  That's 406-251-3270 today.
[00:30:33.999 --> 00:30:42.703]  Of the 3 million plus edible food plants that grow on earth, no other single plant can compare with the nutritional value of the powder, seeds, and oil of the hemp plant.
[00:30:42.703 --> 00:30:48.686]  At hempusa.org, we ship worldwide these nutritional products with free shipping to the US and Canada.
[00:30:48.686 --> 00:30:55.790]  At hempusa.org, we want to educate our listeners that edible hemp is not marijuana and is certified THC-free.
[00:30:55.790 --> 00:30:59.192]  Our powder is 50% protein and does not contain gluten.
[00:30:59.192 --> 00:31:01.433]  Gluten impairs the cells from absorbing nutrients.
[00:31:01.633 --> 00:31:08.217]  This nutrient-dense food can be stored up to 5 years when vacuum-packed and is priced affordably to be used as a storable food.
[00:31:08.217 --> 00:31:11.739]  HempUSA.org is a bulk shipper starting with 5 pounds and up.
[00:31:11.739 --> 00:31:18.803]  To allow this food to work for you, call 908-691-2608 or go to HempUSA.org and order today.
[00:31:18.803 --> 00:31:21.965]  The body will react and heal itself given the proper nutrition.
[00:31:21.965 --> 00:31:25.067]  This superfood will be your greatest asset, so try it today!
[00:31:25.447 --> 00:31:27.828]  Store it today and change your life.
[00:31:27.828 --> 00:31:33.252]  Call 908-691-2608 or order from hempusa.org.
[00:31:33.252 --> 00:31:33.932]  You worry.
[00:31:33.932 --> 00:31:36.293]  If you don't, you don't understand the situation.
[00:31:36.293 --> 00:31:36.834]  Hi.
[00:31:36.834 --> 00:31:39.615]  Summer's coming and now's the time to learn self-sufficiency.
[00:31:39.615 --> 00:31:44.158]  If you're going to eat from nature's bounty of wild edible plants, remember, there's a learning curve.
[00:31:44.158 --> 00:31:46.619]  Experience is the best teacher, but that means time.
[00:31:46.619 --> 00:31:49.641]  To speed it up, you'll need to build on the wisdom of a teacher who has lived it.
[00:31:49.961 --> 00:31:51.902]  Author Linda Runyon is that teacher.
[00:31:51.902 --> 00:31:54.683]  Her Wild Food Knowledge Package is the crash course.
[00:31:54.683 --> 00:31:58.405]  The DVD gives you a three-hour overview of her world directly from her.
[00:31:58.405 --> 00:32:02.827]  The book gives you an in-depth reference with all of the insider know-how you'll ever need.
[00:32:02.827 --> 00:32:06.908]  And her Wild Cards are your portable summary and cheat sheet for your fieldwork.
[00:32:06.908 --> 00:32:12.891]  This three-pronged learning system will take you from spectator to scholar to gourmet survivalist in weeks, not years.
[00:32:13.251 --> 00:32:15.592]  Folks, I can vouch that Linda's the real deal.
[00:32:15.592 --> 00:32:17.713]  She's my mom, and I watched her do it.
[00:32:17.713 --> 00:32:22.376]  So go to OfTheField.com or call 888-51-EAT-FREE.
[00:32:22.376 --> 00:32:23.276]  Start now.
[00:32:23.276 --> 00:32:24.997]  Knowledge is power.
[00:32:24.997 --> 00:32:25.997]  Better take action.
[00:32:25.997 --> 00:32:26.958]  I think a storm's coming.
[00:32:33.240 --> 00:32:43.808]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:32:43.808 --> 00:32:45.229]  Garden in a Can.
[00:32:45.229 --> 00:32:48.772]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:32:49.352 --> 00:32:51.373]  Garden in a Can is ready when you are.
[00:32:51.373 --> 00:32:54.133]  Plant them now or store them for when you really need them.
[00:32:54.133 --> 00:33:03.816]  There are 16 large, hermetically sealed, non-hybrid, open-pollinated packets of seeds, along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:33:03.816 --> 00:33:05.236]  Garden in a Can.
[00:33:05.236 --> 00:33:06.437]  It's that simple.
[00:33:06.437 --> 00:33:07.137]  Fresh.
[00:33:07.137 --> 00:33:07.997]  Healthy.
[00:33:07.997 --> 00:33:08.837]  Easy.
[00:33:08.837 --> 00:33:13.179]  Only $69.95 for over a half acre of safe, fresh vegetables.
[00:33:13.179 --> 00:33:14.059]  Ready when you are.
[00:33:14.739 --> 00:33:18.822]  Stop procrastinating and start preparing with Garden In A Can.
[00:33:18.822 --> 00:33:22.305]  For more details, visit GardenInACan.com today.
[00:33:22.305 --> 00:33:24.447]  That's GardenInACan.com.
[00:33:24.447 --> 00:33:24.847]  Or call 866-598-7396.
[00:33:24.847 --> 00:33:24.967]  866-598-7396.
[00:33:24.967 --> 00:33:26.529]  The GCN Radio Network.
[00:33:26.529 --> 00:33:29.191]  Providing the world with hard-hitting talk radio.
[00:33:29.191 --> 00:33:29.331]  GCN.
[00:33:29.331 --> 00:33:30.372]  Great talk radio starts here.
[00:33:50.295 --> 00:33:57.400]  Okay, so I want to apologize to all the listeners.
[00:33:57.400 --> 00:34:04.205]  I'm not going to talk about somebody so drugged out of their mind they couldn't walk most of the time.
[00:34:09.312 --> 00:34:12.595]  He had all sorts of people's kids in a bed with him giving them wine.
[00:34:12.595 --> 00:34:19.581]  I'm sorry, I'm not going to talk about how great he is or how good a dancer he is or how sad it is that he's dead.
[00:34:19.581 --> 00:34:22.523]  Because the mainstream media wants to cram this down our throats.
[00:34:22.523 --> 00:34:32.672]  That circus for four hours as the press conference built up and helicopters picking him up like he was Jesus rising, you know, back into heaven.
[00:34:32.672 --> 00:34:34.694]  I mean, this is ridiculous.
[00:34:36.109 --> 00:34:41.752]  And I am just tired of being assaulted and assailed with images of Michael Jackson.
[00:34:41.752 --> 00:34:44.073]  I can't stand Michael Jackson.
[00:34:44.073 --> 00:34:47.275]  I remember when he was really big, in the early 1980s, when I was like 8, 9, 10 years old.
[00:34:47.275 --> 00:34:47.435]  I'm 35 now.
[00:34:50.248 --> 00:34:54.949]  And the neighborhood kids were running around dressed like Michael Jackson with glitter gloves on.
[00:34:54.949 --> 00:34:59.250]  And I wasn't some little kid who was hip, or cool, or into the cool clothes.
[00:34:59.250 --> 00:35:00.490]  I just was cool.
[00:35:00.490 --> 00:35:02.810]  And I was like, that guy is a twit.
[00:35:02.810 --> 00:35:04.230]  That guy's embarrassing.
[00:35:04.230 --> 00:35:07.591]  Your sequined glove looks stupid.
[00:35:07.591 --> 00:35:09.711]  I've never liked Michael Jackson.
[00:35:09.711 --> 00:35:15.412]  And I'd see these full-grown women at office parties my parents would take me to, and I was like 10, going, don't you just love Michael Jackson?
[00:35:15.412 --> 00:35:16.112]  Don't you just love him?
[00:35:16.112 --> 00:35:17.873]  And I'd go, no, and they'd get all angry.
[00:35:17.873 --> 00:35:19.373]  I mean, what is it with you freaks?
[00:35:20.205 --> 00:35:22.826]  So some kind of weirdo Michael Jackson cult?
[00:35:22.826 --> 00:35:27.168]  I don't like your cult, and I don't like seeing Batboy on the news every day.
[00:35:27.168 --> 00:35:31.089]  Alright, that's it.
[00:35:31.089 --> 00:35:32.670]  Ladies and gentlemen, here's the issue.
[00:35:32.670 --> 00:35:35.971]  The country is going to hell in a handbasket.
[00:35:35.971 --> 00:35:39.252]  I've done these sources on air, you can Google it.
[00:35:39.252 --> 00:35:41.573]  Real inflation, over 20%.
[00:35:41.573 --> 00:35:44.654]  The different brokerage firms and banks that gauge it, they've got it at 20.4, 20.8, 20.9.
[00:35:48.928 --> 00:35:49.648]  In fact, Google that.
[00:35:49.648 --> 00:35:50.749]  I want to give them an actual headline.
[00:35:50.749 --> 00:35:51.449]  I forgot to bring it.
[00:35:51.449 --> 00:35:55.451]  Just Google for everybody and print it for me during the break and I'll cover it next segment.
[00:35:55.451 --> 00:35:57.612]  Just so people can see I don't just throw this out.
[00:35:57.612 --> 00:35:59.093]  Real inflation above 20%.
[00:35:59.093 --> 00:36:03.695]  That'll give you hundreds of headlines, but just print me two big mainstream headlines on that for them.
[00:36:03.695 --> 00:36:06.376]  I'll give that to them later.
[00:36:06.376 --> 00:36:12.459]  So the issue here is you got the cooked government with cooked numbers telling you that it's 10%.
[00:36:12.459 --> 00:36:16.521]  No, ladies and gentlemen, it's over 20 and every top economist I have on
[00:36:17.719 --> 00:36:30.910]  Former head of the Treasury Department, head of policy, former Wall Street Journal editor, Dr. Paul Craig Roberts, and all these other people, Joseph Stiklitz, Nobel Prize winner, Chief Economist, World Bank, they all say the same thing.
[00:36:30.910 --> 00:36:36.895]  It's at least 20% and they're talking about 30% in another year?
[00:36:36.895 --> 00:36:38.176]  They're talking about 25% by early 2010.
[00:36:38.176 --> 00:36:42.239]  I can't believe I just said that.
[00:36:42.239 --> 00:36:44.421]  I can't believe 2009 is already halfway over.
[00:36:49.778 --> 00:36:54.560]  The point here is, this economy is in free fall.
[00:36:54.560 --> 00:37:02.304]  The federal government is openly abolishing the entire Bill of Rights and Constitution in front of everybody's eyes.
[00:37:02.304 --> 00:37:16.751]  The left that was so upset about Bush and warrantless secret detention and warrantless wiretapping and lying about WMDs and wars and everything else he was doing in the Patriot Act suddenly love it when Obama's doing it.
[00:37:16.751 --> 00:37:18.992]  And after I take some calls, I'm gonna go over
[00:37:20.695 --> 00:37:25.919]  The real news, the crisis, the takeover, this is it.
[00:37:25.919 --> 00:37:28.061]  Total complete blanket amnesty.
[00:37:28.061 --> 00:37:30.403]  Total complete carbon taxes passed.
[00:37:30.403 --> 00:37:47.596]  Now they're going to try to pass total amnesty, the health care takeover, the gun grab takeover, the police state takeover, the takeover of the entire United States, every square inch of land being federalized under this Clean Water Restoration Act.
[00:37:48.607 --> 00:37:50.548]  I'm not kidding, I'm not exaggerating.
[00:37:50.548 --> 00:37:57.410]  Last week we had the local news people in here reporting on it, and the state officials are running around saying it's a total federal takeover.
[00:37:57.410 --> 00:38:00.812]  Read the bill!
[00:38:00.812 --> 00:38:16.298]  You know, we told you this whole global warming hype was about a tax, and they said, no it's not, no it's not, and then wouldn't let anybody read the bill until 30 minutes before when the minority leader, Bonner, demanded to see the bill, and then he did an illegal filibuster.
[00:38:17.295 --> 00:38:26.057]  Because in the House, only leaders can do a filibuster, and Waxman tried to say it was unauthorized, but they said, no, actually it is authorized, so it's not illegal, but they implied it was.
[00:38:26.057 --> 00:38:29.217]  The Senate, anybody can filibuster.
[00:38:29.217 --> 00:38:32.558]  And God knows we need one, ladies and gentlemen.
[00:38:32.558 --> 00:38:34.138]  And then he starts reading through the bill.
[00:38:34.138 --> 00:38:35.659]  It was worse than even we thought.
[00:38:35.659 --> 00:38:37.799]  Now I've had a chance to look at it!
[00:38:37.799 --> 00:38:40.119]  All 1,300 pages!
[00:38:40.119 --> 00:38:42.940]  It was over 1,500, then they pulled some out, added some in.
[00:38:45.805 --> 00:38:46.445]  That's right.
[00:38:46.445 --> 00:38:53.850]  The Congress wasn't allowed to read it until 30 minutes before, and then one copy, because the minority leader demanded it, was given to him.
[00:38:53.850 --> 00:38:56.311]  He's handed it on the floor, and he goes, okay.
[00:38:56.311 --> 00:38:57.212]  They go, you have two minutes.
[00:38:57.212 --> 00:38:58.993]  He goes, no, I've got to read this.
[00:38:58.993 --> 00:39:03.655]  We've got the video, the whole hour where he filibustered on Infowars.com.
[00:39:03.655 --> 00:39:07.177]  Go watch it, where he's reading the stinking thing.
[00:39:07.177 --> 00:39:11.840]  I should just air that here today, so Americans can hear him reading from it.
[00:39:11.840 --> 00:39:15.002]  Home inspectors, everything selectively enforced.
[00:39:15.799 --> 00:39:18.381]  Ladies and gentlemen, it is so off the charts.
[00:39:18.381 --> 00:39:21.864]  They're saying 2,500 to 2,800 more per person in the country.
[00:39:21.864 --> 00:39:23.145]  It's way more than that.
[00:39:23.145 --> 00:39:27.348]  Because it allows these unelected boards to do whatever they want.
[00:39:27.348 --> 00:39:29.690]  Including taxing human respiration.
[00:39:29.690 --> 00:39:33.813]  Did you know you put off two and a half pounds on average of carbon dioxide a day?
[00:39:35.000 --> 00:39:36.281]  It's what plants breathe.
[00:39:36.281 --> 00:39:37.381]  It's the life cycle.
[00:39:37.381 --> 00:39:38.822]  They're taxing the life cycle.
[00:39:38.822 --> 00:39:43.004]  It is the sickest, most diabolical tax ever thought of.
[00:39:43.004 --> 00:39:46.505]  So I'm going to go over the entire takeover next hour in detail.
[00:39:46.505 --> 00:39:48.206]  Right now, let's go to your phone calls.
[00:39:48.206 --> 00:39:52.248]  Barbara in Alabama, you're on the air.
[00:39:52.248 --> 00:39:52.528]  Hello?
[00:39:52.970 --> 00:39:54.131]  Yes, go ahead.
[00:39:54.131 --> 00:39:56.694]  Okay, well, this is Scott in Washington State.
[00:39:56.694 --> 00:39:59.236]  Okay, well, they got me the phone lines wrong, but just go ahead, Scott.
[00:39:59.236 --> 00:40:11.767]  Okay, yeah, I wanted to share with you a little bit of my experience when I tried to call those numbers that you guys gave out, telling them to say no on that 2454.
[00:40:11.767 --> 00:40:18.654]  Yeah, for those that don't know, and then they changed the bill number again last minute, that was the total complete
[00:40:19.469 --> 00:40:28.735]  Gigantic, thousand-plus page secret bill that no one could read until 30 minutes before, and one copy was given to the opposition.
[00:40:28.735 --> 00:40:32.577]  And it is worse than we even said.
[00:40:32.577 --> 00:40:35.099]  Total dictatorship.
[00:40:35.099 --> 00:40:38.621]  The Soviet Union wasn't this harsh over everything we do.
[00:40:38.621 --> 00:40:40.202]  And yes, tell folks what happened.
[00:40:40.202 --> 00:40:41.083]  I've been getting calls.
[00:40:41.083 --> 00:40:44.425]  Most people got laughed at when they called the Congress, but go ahead.
[00:40:45.054 --> 00:40:53.479]  Well, first of all, I called the switchboard in Washington, and it asked you for your area code to type in, you know, who your representative is.
[00:40:53.479 --> 00:40:56.000]  I knew what it was, but I typed it in anyway.
[00:40:56.000 --> 00:40:59.742]  You should be able to talk to whoever you want, by the way, but now they're trying to shut people off, yeah.
[00:40:59.742 --> 00:41:12.349]  Yeah, and then it patches you through to a number, and then I got this, well, the number you just called has been disconnected, so it gave me, well, it didn't route me back, but it gave me my local number to the local office.
[00:41:12.349 --> 00:41:13.730]  Yeah, let me be clear, exactly.
[00:41:14.250 --> 00:41:20.214]  What they do now is they just constantly, because a number be working for five minutes and it wouldn't be.
[00:41:20.214 --> 00:41:24.037]  They admit they have hundreds of numbers and they just keep flipping them back and forth.
[00:41:24.037 --> 00:41:27.939]  But I've talked to people I know who called, who just got laughed at and hung up on.
[00:41:27.939 --> 00:41:29.240]  Go ahead.
[00:41:29.240 --> 00:41:34.724]  So anyway, so then I called the local number and I got a hold of one of the staffers or anyway.
[00:41:34.724 --> 00:41:41.729]  First the guy tries to tell me, because I told him about the, you know, the hundreds of pages that were flipped in and the fact that this was not
[00:41:42.384 --> 00:41:43.626]  Made available to the public.
[00:41:43.626 --> 00:41:47.310]  Well, first the guy tries to tell me, you know, that those reports were over-exaggerated.
[00:41:47.310 --> 00:41:47.751]  Now, stop.
[00:41:47.751 --> 00:41:48.432]  That's what I was about to say.
[00:41:48.432 --> 00:41:49.473]  They always lie.
[00:41:49.473 --> 00:41:52.537]  In fact, I'm surprised he just didn't say that wasn't true.
[00:41:52.537 --> 00:41:59.265]  It doesn't matter if they have the Speaker of the House on the podium saying, we're not going to give it to you.
[00:42:00.833 --> 00:42:03.416]  They are lying, degenerate scum.
[00:42:03.416 --> 00:42:05.077]  I'm sorry, go ahead.
[00:42:05.077 --> 00:42:07.459]  Well, he tried to tell me it was only 300 pages.
[00:42:07.459 --> 00:42:11.042]  Well, he was off by about a thousand pages, at least.
[00:42:11.042 --> 00:42:15.366]  It's only 300 and we only slipped in 300 and nobody can read it.
[00:42:15.366 --> 00:42:18.569]  I'm surprised they didn't laugh at you and say, sir, there's no Congress.
[00:42:18.569 --> 00:42:19.410]  You're mentally ill.
[00:42:20.146 --> 00:42:35.461]  And then he tried to tell me, well, they had been debating on it for weeks, and I told him, I said, well, according to the sources I got, that's not what I heard, and how come it hasn't been made available to the public, if this is such a wonderful bill, which, well, wasn't my main objective.
[00:42:35.461 --> 00:42:36.482]  Well, what did he say?
[00:42:36.482 --> 00:42:37.823]  More lies?
[00:42:37.823 --> 00:42:41.347]  Well, no, he said, well, you know, I'll take that in note, you know, and
[00:42:41.747 --> 00:42:42.848]  Well, look at what Bush did.
[00:42:42.848 --> 00:42:47.772]  Look at how Bush rushed the Patriot Act through while the Capitol was under anthrax attack to where nobody could even read it.
[00:42:47.772 --> 00:42:49.633]  All these really bad bills are passed.
[00:43:10.938 --> 00:43:13.161]  Uh, when they don't let people read the bill.
[00:43:13.161 --> 00:43:15.483]  So how did the conversation end, quickly?
[00:43:15.483 --> 00:43:27.176]  Oh, well basically that, what I just said, that he said that, you know, he'd take my name and number and that, you know, he was gonna, the congressman was gonna send out some kind of a... Yeah, so basically he pushed you off.
[00:43:27.176 --> 00:43:29.318]  Look, the Congress is criminal.
[00:43:29.318 --> 00:43:30.660]  They know they're criminal.
[00:43:30.660 --> 00:43:31.721]  We'll break it down when we get back.
[00:43:31.721 --> 00:43:32.462]  More calls, stay with me.
[00:43:33.700 --> 00:43:36.782]  Did you know that you can be tracked and traced when you're online?
[00:43:36.782 --> 00:43:44.907]  With identity theft and cyber crimes on the rise, your passwords, your identity, and even your physical location can be revealed to complete strangers.
[00:43:44.907 --> 00:43:48.850]  Would you like to surf the internet anonymously and not have to worry about these threats?
[00:43:48.850 --> 00:43:52.012]  Well, now you can by visiting patriotinternet.com.
[00:43:52.012 --> 00:43:52.773]  For about $2 per month,
[00:43:53.533 --> 00:44:01.718]  PatriotInternet.com will conceal your IP address and your physical location, allowing you to browse the web, send emails, and instant message anonymously.
[00:44:01.718 --> 00:44:06.020]  PatriotInternet.com will bypass filters, block sites, and keyword blocking.
[00:44:06.020 --> 00:44:09.382]  You can also bypass logging by your router and your ISP.
[00:44:09.382 --> 00:44:16.246]  With PatriotInternet.com, there is no software to install and uses 128-bit encryption for your protection.
[00:44:16.246 --> 00:44:17.707]  When using wireless hotspots,
[00:44:17.987 --> 00:44:24.634]  PatriotInternet.com shields your information from identity thieves and is compatible with Windows, Mac, and Linux.
[00:44:24.634 --> 00:44:30.760]  Protect your identity and your freedom with anonymous internet access from PatriotInternet.com.
[00:44:30.760 --> 00:44:32.962]  Visit PatriotInternet.com today!
[00:44:34.127 --> 00:44:36.288]  The world appears to be on the brink of collapse.
[00:44:36.288 --> 00:44:43.433]  Experts say a pinch of heirloom vegetable seed could soon be the most valuable resource on earth because it will provide healthy food now and every year after.
[00:44:43.433 --> 00:44:49.277]  Survivalistseeds.com now has the heirloom garden seed time capsule, allowing you to store your seeds for the future anywhere.
[00:44:49.397 --> 00:45:02.729]  Even underground for 100 years, the Heirloom Garden Seed Time Capsule can withstand 3 tons of weight, is 100% rodent-proof, waterproof, and comes with a whopping 6,000 healthy vegetable seeds from 20 varieties that will grow anywhere in the USA.
[00:45:02.729 --> 00:45:09.275]  Unless you trust the government, the Heirloom Garden Seed Time Capsule and Heirloom Seeds from survivalistseeds.com is your long-term food solution.
[00:45:09.515 --> 00:45:14.116]  Our competition charges $0.10 to $1.25 per seed for these same heirloom varieties.
[00:45:14.116 --> 00:45:21.819]  But you can now have a head of lettuce, a bundle of carrots, a basket of tomatoes, a giant watermelon, and 16 other varieties for about a penny a seed each!
[00:45:21.819 --> 00:45:22.599]  Be prepared!
[00:45:22.599 --> 00:45:27.841]  Buy your heirloom seeds today from SurvivalistSeeds.com and have food insurance for your family forever!
[00:45:27.841 --> 00:45:29.661]  Visit SurvivalistSeeds.com.
[00:45:29.661 --> 00:45:31.842]  SurvivalistSeeds.com is owned by Big John Lipscomb.
[00:45:34.253 --> 00:45:39.599]  You've probably heard about the incredible, powerful, and natural antioxidants found in red wine.
[00:45:39.599 --> 00:45:44.064]  Unfortunately, not everyone is able to drink a glass of wine each day.
[00:45:44.064 --> 00:45:48.509]  Now, you don't have to drink even a single drop, thanks to NuRev.
[00:45:48.509 --> 00:45:54.376]  NuRev is America's number one anti-aging supplement, thanks to its active ingredient resveratrol.
[00:45:54.676 --> 00:46:06.713]  Resveratrol is the main nutrient found in red wine and has been proven to help slow down the aging process, help you lose weight, override an unhealthy lifestyle, boost your energy level, and so much more.
[00:46:06.713 --> 00:46:11.580]  New Rev has been the subject of some of the most exciting anti-aging research in decades.
[00:46:11.880 --> 00:46:12.180]  I think so.
[00:46:34.278 --> 00:46:37.301]  Hello, this is Alex Jones with some important questions.
[00:46:37.301 --> 00:46:42.626]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:46:42.626 --> 00:46:44.668]  My answer would be all I can get.
[00:46:44.668 --> 00:46:49.673]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:46:49.673 --> 00:46:50.594]  How much do you want?
[00:46:50.854 --> 00:46:51.975]  When do you want it?
[00:46:51.975 --> 00:46:53.856]  Now or after the battle starts?
[00:46:53.856 --> 00:46:54.937]  When will you need it?
[00:46:54.937 --> 00:46:57.138]  Can you buy it without proper identification?
[00:46:57.138 --> 00:46:58.479]  Will there be any food?
[00:46:58.479 --> 00:47:00.000]  Will it make your children sick?
[00:47:00.000 --> 00:47:05.263]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[00:47:05.263 --> 00:47:08.866]  You wipe out all these problems if you have a good food supply.
[00:47:08.866 --> 00:47:12.328]  Food is your ammunition to fight for your freedom and your life.
[00:47:12.668 --> 00:47:13.888]  How much will you need?
[00:47:13.888 --> 00:47:14.789]  We don't know.
[00:47:14.789 --> 00:47:15.889]  How much do you want?
[00:47:15.889 --> 00:47:16.829]  All you can get.
