[00:00:01.283 --> 00:00:01.723]  Engage.
[00:28:31.863 --> 00:28:59.671]  China, the poor families have their kids live in dormitories, and then work in fireworks factories and other factories five, six hours a day, and then go to government training and the rest of the day learning how to worship the state, learning how to turn in their parents, and then as this gets worse and worse, and the kids are already showing up in red and black uniforms, these city year groups run by David Gergen who gets all this money from the feds to do it, under-swearing allegiance to Obama, hiring felons and criminals to join it,
[00:29:00.916 --> 00:29:03.479]  This is in the New York Times, but they're reporting it like it's good.
[00:29:03.880 --> 00:29:06.503]  Then the kids come home with these tickets.
[00:29:06.563 --> 00:29:08.765]  They write mock tickets to their parents.
[00:29:08.805 --> 00:29:09.726]  You took a hot bath.
[00:29:09.766 --> 00:29:10.708]  That's a green crime.
[00:29:11.028 --> 00:29:13.851]  And then they give a copy to the parents and then take it.
[00:29:14.051 --> 00:29:15.093]  This is in the New York Times.
[00:29:15.593 --> 00:29:18.276]  And the parents are, oh, I'm so glad my daughter's reporting me.
[00:29:19.281 --> 00:29:21.123]  So see, it's for this, oh, it's for the Earth.
[00:29:21.463 --> 00:29:30.812]  Yes, there's spies, but, oh, and, and, and the, you know, by the time you're 12, you get a uniform, and then they show up in black boots and sit back and start bossing their parents around.
[00:29:30.832 --> 00:29:32.734]  The parents are now scared of the kids.
[00:29:33.275 --> 00:29:35.877]  And the kids are just on power trips, loving the state.
[00:29:36.117 --> 00:29:40.562]  And the Boy Scouts are training with machine guns to take on the, quote, veterans and gun owners.
[00:29:40.842 --> 00:29:44.826]  And the Homeland Security documents say the veterans and the gun owners are the number one threat.
[00:29:44.846 --> 00:29:51.311]  Now the official Army training manual, public, not even classified, says all protest is terrorism and illegal.
[00:29:51.712 --> 00:29:54.815]  I mean, they are just really coming out in the open.
[00:29:55.215 --> 00:29:57.817]  We have a criminal, rogue government period.
[00:29:58.158 --> 00:29:59.959]  We'll tell you about them trying to kidnap your kids coming up.
[00:30:00.520 --> 00:30:01.421]  We're on the march.
[00:30:01.901 --> 00:30:03.502]  The Empire's on the run.
[00:30:04.443 --> 00:30:07.126]  Alex Jones and the GCN Radio Network.
[00:30:10.011 --> 00:30:15.017]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:30:15.237 --> 00:30:19.021]  Number one, new climate legislation could easily double or triple your electric bill.
[00:30:19.262 --> 00:30:24.868]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:30:25.168 --> 00:30:30.034]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:30:30.234 --> 00:30:30.735]  Number three,
[00:30:31.135 --> 00:30:36.581]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:30:37.422 --> 00:30:40.085]  The hurricane and dangerous summer storm season is here again.
[00:30:40.326 --> 00:30:43.750]  Every year, thousands of families lose their power from weather-related outages.
[00:30:44.851 --> 00:30:48.455]  A solar power generator provides powerful backup insurance and peace of mind.
[00:30:48.695 --> 00:30:54.180]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:30:54.420 --> 00:30:58.984]  You can get more information at www.mysolarbackup.com.
[00:30:59.125 --> 00:31:00.666]  That's mysolarbackup.com.
[00:31:00.886 --> 00:31:03.228]  Remember, the government doesn't own the sun yet.
[00:31:03.469 --> 00:31:06.111]  So go to mysolarbackup.com or call toll free 877-327-0365.
[00:31:09.594 --> 00:31:10.675]  This is Alex Jones.
[00:31:10.975 --> 00:31:12.756]  Have you heard of the Millionaire Patriot?
[00:31:12.956 --> 00:31:13.597]  Well, you should.
[00:31:13.937 --> 00:31:18.200]  He has a free handgun and five days of firearms training waiting for you.
[00:31:18.440 --> 00:31:18.921]  That's right.
[00:31:19.241 --> 00:31:27.687]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:31:27.907 --> 00:31:29.188]  All for pennies on the dollar.
[00:31:29.268 --> 00:31:30.409]  Plus, if you act fast.
[00:31:30.609 --> 00:31:36.233]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:31:36.594 --> 00:31:43.118]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:31:43.479 --> 00:31:48.703]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:31:49.003 --> 00:31:50.144]  This is real.
[00:31:50.464 --> 00:31:51.205]  Don't miss out.
[00:31:51.525 --> 00:31:58.390]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar.
[00:31:58.610 --> 00:31:59.891]  And get your free handgun.
[00:32:00.071 --> 00:32:02.252]  Go to FrontSight.com today.
[00:32:02.432 --> 00:32:05.953]  That's F-R-O-N-T-S-I-G-H-T.com.
[00:32:06.133 --> 00:32:09.094]  Go to FrontSight.com for your training and free gun.
[00:32:09.875 --> 00:32:10.455]  Hello, friends.
[00:32:10.515 --> 00:32:11.415]  This is Alex Jones.
[00:32:11.575 --> 00:32:16.177]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:32:16.317 --> 00:32:19.099]  We need to be independent, and food and water is the key.
[00:32:19.279 --> 00:32:22.140]  You'll never have to stand in a bread line if you have your own bread.
[00:32:22.320 --> 00:32:25.962]  You'll never have to go to the Superdome and beg for FEMA to take care of your family.
[00:32:26.122 --> 00:32:27.042]  In any emergency,
[00:32:27.262 --> 00:32:28.183]  If you simply prepare.
[00:32:28.383 --> 00:32:31.325]  No one is going to take care of your family in the final equation but you.
[00:32:31.625 --> 00:32:38.529]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:32:38.629 --> 00:32:41.751]  And they do it at almost half the cost of last year's grocery prices.
[00:32:41.891 --> 00:32:43.792]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com
[00:32:47.034 --> 00:32:53.117]  Visit efoodsdirect.com and look over the fine list of high-quality, pre-scribed, and dehydrated foods they have to offer.
[00:32:53.297 --> 00:32:57.059]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:32:57.079 --> 00:32:58.399]  Again, 800-409-5633, or on the web at efoodsdirect.com.
[00:32:58.419 --> 00:32:58.940]  Take action today.
[00:32:58.960 --> 00:33:00.200]  The first step is getting storable food.
[00:33:15.721 --> 00:33:30.874]  Alright, for the rest of the hour, we're going to be talking to Joanna Scott and Jerry Lynn Ward, both activists, I believe they're both lawyers, down at the press conference last week fighting the Senate Bill 1440.
[00:33:31.254 --> 00:33:36.478]  They have similar bills around the country to kidnap people's children.
[00:33:37.895 --> 00:33:43.477]  Without a warrant, without a court order, without a judge's order, just to come grab them for any reason that they want to.
[00:33:43.497 --> 00:33:47.398]  Because they got in trouble kidnapping those 400 plus kids from those Mormons.
[00:33:47.438 --> 00:33:48.879]  It turned out it was all made up lies.
[00:33:49.579 --> 00:33:51.700]  And the Supreme Court said they did wrong.
[00:33:51.720 --> 00:33:52.540]  So they just said, you know what?
[00:33:52.960 --> 00:33:56.221]  We'll just pass a law saying there's no more Fourth Amendment in Texas.
[00:33:56.962 --> 00:33:59.282]  And of course you can say, well, they've got to do this to keep kids safe.
[00:33:59.843 --> 00:34:06.005]  Depending on which federal numbers you look at, five to seven times more likely for CPS to abuse children than any other group.
[00:34:06.923 --> 00:34:08.804]  I mean, this is a very dangerous crew of people.
[00:34:09.145 --> 00:34:11.706]  So we'll talk to those folks coming up here in just one moment.
[00:34:12.087 --> 00:34:17.150]  Before we do that, I want to tell you about a few of the sponsors that have made this radio show possible today, and sponsors I believe in.
[00:34:18.451 --> 00:34:23.955]  When you're on InfoWars.com, look for Max the Little Orange Gorilla.
[00:34:25.256 --> 00:34:31.420]  And Max the Little Orange Gorilla is a banner that will lead you to HomeGain.com.
[00:34:31.460 --> 00:34:31.821]  That's their
[00:34:32.614 --> 00:34:33.074]  Mascot.
[00:34:33.394 --> 00:34:35.735]  H-O-M-E-G-A-I-N dot com.
[00:34:36.555 --> 00:34:37.695]  And it's a free site.
[00:34:37.855 --> 00:34:39.155]  Been around for more than ten years.
[00:34:39.596 --> 00:34:41.976]  You enter in your street address or address of a house you're looking at.
[00:34:41.996 --> 00:34:50.638]  It will tell you internally what the realtors are seeing, what the market really thinks your house is worth or what the house you're looking at is worth.
[00:34:50.658 --> 00:34:51.478]  An invaluable tool.
[00:34:51.778 --> 00:34:54.199]  Bunch of other free tools like the home sale maximizer.
[00:34:54.579 --> 00:34:55.399]  You enter into that.
[00:34:56.199 --> 00:34:59.300]  Some of the more less expensive upgrades you could do.
[00:35:00.040 --> 00:35:00.340]  I don't know.
[00:35:20.294 --> 00:35:20.976]  Power unit.
[00:35:21.016 --> 00:35:24.881]  It's got 1800 watts of power on demand in the event of any disaster or outage.
[00:35:25.522 --> 00:35:30.810]  And so with the depression, with the talk of war, with the government wanting to restrict.
[00:35:31.892 --> 00:35:33.252]  How much power you can have.
[00:35:33.873 --> 00:35:35.133]  I'm willing to jack up prices.
[00:35:35.173 --> 00:35:36.973]  It's just great to start getting off the grid.
[00:35:37.473 --> 00:35:41.174]  And these are great little solar power generators that will help you start in that direction.
[00:35:41.515 --> 00:35:42.775]  MySolarBackup.com.
[00:35:42.795 --> 00:35:45.096]  The website's MySolarBackup.com.
[00:35:45.116 --> 00:35:45.676]  That's one word.
[00:35:45.716 --> 00:35:46.296]  MySolarBackup.com.
[00:35:46.356 --> 00:35:46.516]  Or 877-327-0365.
[00:35:46.536 --> 00:35:46.576]  877-327-0365.
[00:35:46.616 --> 00:35:47.436]  MySolarBackup.com.
[00:35:47.456 --> 00:35:50.897]  And in closing, while we're talking about what supports the show and makes it all possible,
[00:35:58.459 --> 00:36:02.623]  I'm slashing the price of Endgame to $9.95, because this film is so important.
[00:36:02.963 --> 00:36:04.244]  Two hours, 40 minutes long.
[00:36:04.504 --> 00:36:08.248]  The globalist master plan, the architecture of the New World Order, how they operate.
[00:36:09.129 --> 00:36:17.716]  It is slashed in price, and if you get Moffa 21, Black Genocide, the 21st Century America, I guess that's...
[00:36:19.159 --> 00:36:23.020]  Zulu for murder or genocide.
[00:36:23.620 --> 00:36:29.922]  This uses some of the work of Endgame to document just how the eugenicists are using the family courts.
[00:36:30.323 --> 00:36:31.923]  The family courts were set up in the U.S.
[00:36:31.943 --> 00:36:35.264]  to sterilize blacks, kill blacks, euthanize black babies.
[00:36:36.124 --> 00:36:39.365]  That's also covered in Endgame, but only like five minutes of Endgame gets into that.
[00:36:39.385 --> 00:36:40.866]  I cover the whole spectrum of
[00:36:41.346 --> 00:36:42.927]  The CPS courts are illegitimate.
[00:36:42.947 --> 00:36:46.570]  They don't have due process because they were set up as race hygiene courts.
[00:36:46.850 --> 00:36:49.012]  Then Hitler picked them up from the US and England.
[00:36:50.133 --> 00:36:59.620]  So we hope you get that because Endgame is only $9.95 when you get it with this new Eugenics film and also life on the edge of a bubble documenting what the bankers are doing, how they're running all this.
[00:36:59.961 --> 00:37:05.285]  Okay, I apologize to Jerry Lynn Ward and Joanna Scott because
[00:37:05.865 --> 00:37:15.213]  Our power went out last week, and we had battery backup, but we weren't sure if we'd be able to stay up, and sure enough, the batteries ran out in 20 minutes, so it was a good thing we went to rebroadcast, because we couldn't have the show disrupted.
[00:37:15.433 --> 00:37:26.682]  But they're here now, covering SB 1440, and Jerry Lynn Warren, introduce yourself briefly, and then we'll get Joanna Scott to introduce herself, and then let's break down what this bill does.
[00:37:27.443 --> 00:37:29.145]  Yes, thank you Alex for having me on.
[00:37:29.305 --> 00:37:48.023]  I'm an attorney here in Austin, Texas and I got involved in this because a year ago I became so outraged about CPS taking those 400 some FLDS kids and I decided to volunteer to help one of the dads fight CPS and I entered a world that I didn't even know existed before that time.
[00:37:48.670 --> 00:37:53.014]  And I'm as horrified as you at these CPS courts, and at the whole system.
[00:37:53.415 --> 00:38:04.526]  I've practiced law for 29 years, and I did civil trial in other areas, and they think that they don't have to follow the rules of due process in these courts, and with regard to CPS.
[00:38:04.626 --> 00:38:05.847]  It's just horrifying.
[00:38:06.820 --> 00:38:22.993]  Well, 34 states by 1930 had passed the eugenics race laws, and I'm just telling you this because, see, you were in the real court system, and then you entered the constitutional system, then you entered the parallel universe of the family court, the health department, racial hygiene,
[00:38:23.653 --> 00:38:30.399]  And this is the Max Keiser, Keiser-Vilhelm, not Max Keiser, the Keiser-Vilhelm Institute.
[00:38:31.500 --> 00:38:35.183]  This is that whole system the Rockefellers funded for race hygiene.
[00:38:35.203 --> 00:38:38.465]  So that's why these courts don't operate with due process.
[00:38:38.485 --> 00:38:41.608]  But now they want to, I guess, remove the final link.
[00:38:42.469 --> 00:38:45.911]  So let's bring up Joanna Scott.
[00:38:46.312 --> 00:38:47.553]  Joanna, tell us about yourself.
[00:38:48.154 --> 00:38:50.017]  Well, I am actually not an attorney.
[00:38:50.137 --> 00:38:51.179]  I am a parent advocate.
[00:38:51.299 --> 00:39:01.535]  I'm executive director for a 501c3 organization that I founded with my sister called Parent Guidance Center and we exclusively advocate for these parents that are involved with the Child Protective
[00:39:02.816 --> 00:39:05.858]  Boy, I bet you get flooded with the millions of kids they're stanching every year.
[00:39:05.878 --> 00:39:10.661]  Okay, let's go back to Jerry Lynn Ward, and then we'll go back to Joanna.
[00:39:11.001 --> 00:39:19.806]  Jerry, for about five minutes, break down what you've seen in the courts, what this new bill does, it's on the Governor's desk, how we defeat it, then we'll get Joanna's take on it.
[00:39:20.379 --> 00:39:30.584]  Well, what happened is that CPS got slapped down pretty good in the Supreme Court case, in the Third Court of Appeals case, in the FLDS case, but also in the Gary Gates case.
[00:39:31.264 --> 00:39:36.846]  And I believe that what this law is, is an attempt to get around the Gary Gates case.
[00:39:36.886 --> 00:39:46.851]  Now, they claim that the reason they introduced this bill was to affect what the Fifth Circuit said in the Gary Gates case.
[00:39:47.338 --> 00:39:47.538]  That's
[00:40:02.824 --> 00:40:03.264]  I don't
[00:40:20.162 --> 00:40:20.362]  Absolutely.
[00:40:20.382 --> 00:40:22.363]  It's a fake search warrant, a fake order.
[00:40:22.403 --> 00:40:25.886]  They can also use it to steal people's children out of the school, the way I've read the bill.
[00:40:39.594 --> 00:40:46.945]  Then there's a whole other area of discussion of how this passed, how Kirk Watson tagged it on a bill that wasn't as bad.
[00:40:47.525 --> 00:40:50.009]  Kirk Watson, of course, a great fount of wickedness.
[00:40:50.389 --> 00:40:54.075]  I've known him of old as the former Austin mayor snatching people's property.
[00:40:55.353 --> 00:41:00.077]  And Johanna can speak to that because she's the one that detected the problem and immediately reacted.
[00:41:00.097 --> 00:41:02.779]  Yeah, let's go back to Johanna then.
[00:41:02.959 --> 00:41:03.539]  Scott here.
[00:41:04.260 --> 00:41:06.321]  Tell us, so you ferreted this out.
[00:41:06.381 --> 00:41:08.743]  You detected the skullduggery.
[00:41:08.783 --> 00:41:09.384]  Tell us about it.
[00:41:09.504 --> 00:41:18.591]  Yes, originally it was Senate Bill 1064, which was just to access a child's medical or mental records during an investigation.
[00:41:19.411 --> 00:41:20.292]  We watched it.
[00:41:20.412 --> 00:41:21.333]  It didn't have any
[00:41:22.337 --> 00:41:23.278]  It wasn't that bad.
[00:41:23.338 --> 00:41:24.960]  I mean, it was just kind of a normal thing.
[00:41:25.000 --> 00:41:26.441]  Yeah, they kind of do this anyway.
[00:41:26.621 --> 00:41:30.084]  But they also had to leave to get those records.
[00:41:30.124 --> 00:41:32.947]  They had good cause shown and the parents could have a hearing.
[00:41:33.807 --> 00:41:34.628]  And it was fine.
[00:41:35.109 --> 00:41:36.129]  I mean, it had due process.
[00:41:36.270 --> 00:41:39.452]  But the problem is they always fill out fake reports anyways and lie.
[00:41:39.472 --> 00:41:41.714]  And like you said, they're already ignoring the law.
[00:41:41.935 --> 00:41:46.539]  They're trying to retroactively get rid of the Bill of Rights because people are pointing out they're not following it.
[00:41:46.559 --> 00:41:46.939]  But go ahead.
[00:41:48.769 --> 00:41:56.392]  The original Senate hearing is they did a committee substitute which was nothing like the original and it's what we see today.
[00:41:56.412 --> 00:42:07.456]  It was completely different and all the players, they already knew that they had to have known that the substitute was coming because they were already willing and able to testify about it right then and there.
[00:42:08.216 --> 00:42:15.059]  We weren't at the hearing on the Senate side because, like I said, we didn't know about the committee substitute.
[00:42:15.099 --> 00:42:17.960]  We caught the committee substitute when it went to the House side.
[00:42:18.419 --> 00:42:34.006]  And that's where the skullduggery or whatever you want to call it began, because we did have testimony at the House hearing before Patrick Rose's subcommittee on Human Services, and our testimony has apparently disappeared.
[00:42:34.826 --> 00:42:39.608]  We are on the film showing, here's our cards being turned in, here's our written testimony.
[00:42:39.948 --> 00:42:41.349]  The hearing didn't happen that day.
[00:42:42.304 --> 00:42:45.105]  They didn't finish that hearing.
[00:42:45.826 --> 00:42:50.328]  So regardless, he tagged this on by knowing it's now gone to the governor's desk.
[00:42:50.668 --> 00:42:58.251]  Are we getting anything out of Perry with the thousands of phone calls he's gotten and knowing it's going to be thrown out of court, but tens of thousands of kidnapped kids later?
[00:43:00.212 --> 00:43:02.753]  We've heard crickets chirping so far.
[00:43:03.013 --> 00:43:05.754]  Yeah, unfortunately.
[00:43:06.074 --> 00:43:07.035]  You have to remember this.
[00:43:08.291 --> 00:43:13.552]  This is something that certain people, including legislators, were told had to happen.
[00:43:13.832 --> 00:43:18.494]  The department was told... The department itself did not ask for this.
[00:43:19.054 --> 00:43:25.756]  The Department of Family Protective Services did not go, you know, their administrative people, the commissioner, go, oh, the Gary Gates decision is horrible.
[00:43:25.896 --> 00:43:29.177]  Oh, the FLDS should've never... They didn't go say, what can we do about this?
[00:43:29.617 --> 00:43:34.558]  This was a group, TexProtects out of Dallas brought this bill.
[00:43:36.740 --> 00:43:47.583]  Also, the way to go after Watson and people is, they've had a lot of judges and people get in trouble for taking money from the foster parent lobbies and the child trafficking lobbies.
[00:43:47.643 --> 00:43:48.263]  It's what they are.
[00:43:48.303 --> 00:43:49.503]  They even have bounties.
[00:43:49.563 --> 00:43:54.624]  I've had a state senator from Georgia on where she listed how they say, we need a blonde-haired, blue-eyed kid.
[00:43:55.064 --> 00:43:55.785]  A family wants it.
[00:43:55.805 --> 00:43:58.825]  They're going to pay $400,000 for it through these adoption agencies.
[00:43:58.865 --> 00:44:05.547]  So if we can catch Watson or others, and we know this goes on, Judge Jean Muir and whoever getting money from these groups
[00:44:06.167 --> 00:44:12.055]  We need to go ahead and go to the grand jury and call for indictments, because this is done all over the country, and I'm saying play hardball with these people.
[00:44:12.316 --> 00:44:13.738]  But let's talk about the bill.
[00:44:13.758 --> 00:44:14.779]  I keep digressing.
[00:44:15.440 --> 00:44:17.183]  Jerry Lynn Ward, I believe you were just speaking.
[00:44:17.703 --> 00:44:22.890]  So you're saying it looks like Watson's going to, excuse me, not Kirk Watson, it looks like Governor Perry's going to sign this?
[00:44:24.521 --> 00:44:25.442]  Well, we don't know.
[00:44:25.462 --> 00:44:45.872]  What I'm saying is that we don't... I know of no one, or no one's contacted me to say that they've heard anything with respect to what he's going to do with this bill, which is pretty amazing to me because the groups that have come out against this bill are essentially his core constituency, so I don't know what he's doing with respect to this.
[00:44:46.522 --> 00:44:50.086]  I mean, like Johanna said, this is a special interest bill.
[00:44:51.167 --> 00:44:55.633]  Now this is being pushed by the foster parent consortium.
[00:44:55.833 --> 00:45:02.581]  Actually, interestingly enough, we've gotten word there's a bunch of foster parent groups that are actually against this bill.
[00:45:02.821 --> 00:45:05.304]  Well, I mean, by that I meant the big adoption combine.
[00:45:06.605 --> 00:45:13.754]  Well, also Scott McCown, you know, the former district judge who was the Robin Hood judge, he's probably one of the ones who wrote it.
[00:45:13.774 --> 00:45:21.844]  This was written by special interest groups who benefit by feeding on the carcasses of destroyed families who wrote this bill.
[00:45:22.325 --> 00:45:23.867]  And no parent advocate
[00:45:24.389 --> 00:45:27.870]  Was given any input into this bill.
[00:45:28.410 --> 00:45:30.871]  So it's really a disgusting situation.
[00:45:31.171 --> 00:45:38.693]  I've heard that the Permanent Judicial Commission on Children, Youth and Families supports this bill and that's a piece of work in itself.
[00:45:39.033 --> 00:45:52.396]  What that is, is a commission where judges who hear these cases sit down with CPS and sit down with special interest groups that benefit from the destruction of these families and make policy.
[00:45:52.856 --> 00:45:56.840]  That's right, they benefit because there's federal bounties, federal money to grab these kids.
[00:45:56.860 --> 00:46:04.106]  That's why they put 68% of them on drugs instantly, because then it's a special needs child, and these groups get even more money.
[00:46:05.728 --> 00:46:11.473]  So this is going to the governor's desk, and the way I read it then, you won't even be notified when they snatch your kid.
[00:46:11.493 --> 00:46:17.419]  I mean, they already do this a lot, and then tell them, you get to see mommy if you tell us mommy touched you or hurt you.
[00:46:17.679 --> 00:46:17.919]  Yeah.
[00:46:18.019 --> 00:46:20.781]  They usually have to have an emergency situation.
[00:46:20.821 --> 00:46:34.549]  When they go to the school, which they can right now, and that's what we're trying to tell people, if there's really a kid out there that's black and blue and bleeding, you can still take them at that moment without a hearing because you need to.
[00:46:34.569 --> 00:46:39.452]  This does not take that right away from the department in those cases.
[00:46:39.613 --> 00:46:42.234]  What this is, this is a fishing expedition.
[00:46:42.254 --> 00:46:45.556]  This is, hmm, I wonder what's going on in that house.
[00:46:45.696 --> 00:46:46.537]  Do those people have
[00:46:47.352 --> 00:46:49.574]  Perhaps guns, I wonder?
[00:46:50.414 --> 00:46:52.436]  Well, let me tell you what already happened in my office.
[00:46:52.456 --> 00:46:57.839]  I mean, did you hear about the big case with the lady in Hays County?
[00:46:58.160 --> 00:46:59.120]  Yes.
[00:46:59.260 --> 00:47:16.753]  And literally, they called the kids in, they sent them in to the counselor, she was wearing shorts, saw a bruise down her leg, and they brought in the police and they told her, don't tell your parents, made her take her pants off and look for more bruises, there weren't, and then they were going to go try to force their way into her house.
[00:47:17.313 --> 00:47:22.959]  But the issue is, they literally have bounties, they have quotas, and it's just so monstrous.
[00:47:23.039 --> 00:47:30.526]  What type of stuff have you seen, Jerry Lynn Ward, and then of course also Joanna Scott, as you've been fighting this in Texas?
[00:47:30.566 --> 00:47:35.451]  I don't think the general public, until they get hit by these people, realizes just how serious this is.
[00:47:36.144 --> 00:47:40.926]  Well, what I've seen has been based on research and getting to know some of the attorneys who fight this every day.
[00:47:41.067 --> 00:47:47.450]  And as Johanna said, one of the big problems is they're going to use this to force their way into people's houses, especially homeschoolers.
[00:47:48.030 --> 00:47:57.415]  And a lawyer who practices in this area much more extensively than I do told me of an instance where CPS went into a homeschooler's house where they actually
[00:47:57.715 --> 00:47:59.456]  Absolutely, for those that don't know...
[00:48:16.448 --> 00:48:24.690]  Yeah, for those that don't know, I have the official manual they gave Janet here in our office for her daughter, and it says if you raise your voice, that is abuse we're going to take them.
[00:48:24.710 --> 00:48:26.631]  There's no law saying that.
[00:48:26.651 --> 00:48:28.351]  There's not even a law against spanking.
[00:48:28.371 --> 00:48:29.911]  You just can't do serious bodily harm.
[00:48:30.191 --> 00:48:37.693]  So they're creating all over the country, I notice all the groups fighting CPS are the homeschooler groups because they're hunting these kids.
[00:48:37.733 --> 00:48:40.254]  They hate it they're winning all the spelling bees and getting all the big
[00:48:41.455 --> 00:48:59.578]  uh... you know awards and uh... the scholarships and the cps handbooks behave as if these are cults and they also call it slave labor to make your kids do chores uh... in fact under the uh... u n charter of the children you're not supposed to tell your kids take the trash out
[00:49:00.276 --> 00:49:07.043]  Well, Alex, what they hate is that families traditionally and religiously have certain authority.
[00:49:07.464 --> 00:49:08.965]  They want to take away that authority.
[00:49:09.306 --> 00:49:16.634]  They hate that these Christian homeschooling families consider the sovereignty of God to be before the authority of the state.
[00:49:16.974 --> 00:49:18.535]  They want to destroy families.
[00:49:18.795 --> 00:49:22.598]  They want to bring every aspect of our lives under government control.
[00:49:23.059 --> 00:49:24.259]  And this is how they do it.
[00:49:24.620 --> 00:49:36.168]  These attorneys who work in this system, who are part of the advocacy for taking children away, do not believe that parents should have authority over their children.
[00:49:36.448 --> 00:49:37.549]  This is what this is about.
[00:49:38.070 --> 00:49:39.871]  And this is going to destroy families.
[00:49:39.891 --> 00:49:45.015]  It's going to destroy our entire nation because families have always been the backbone of liberty.
[00:49:45.635 --> 00:49:46.216]  Absolutely.
[00:49:46.416 --> 00:49:46.776]  Absolutely.
[00:49:46.796 --> 00:49:53.941]  I mean, have you seen the official textbooks that they have where it calls the family mentally ill and a disease?
[00:49:54.601 --> 00:49:55.482]  I've read about that.
[00:49:55.802 --> 00:49:56.963]  No, I mean, I have the textbooks.
[00:49:57.003 --> 00:49:59.785]  We scan them and put them up at PrisonPlanet.com.
[00:50:00.065 --> 00:50:01.846]  People never believe it and they go look at it and can't.
[00:50:01.886 --> 00:50:09.252]  That's what's taught at UT for social workers is that, quote, families belong to the age of barbarism and must be eradicated.
[00:50:10.252 --> 00:50:17.416]  And most of these CPS workers, if they're not pedophiles, they were abused as children, so they think they're punishing mommy and daddy.
[00:50:17.436 --> 00:50:18.536]  They're very mentally ill.
[00:50:20.877 --> 00:50:21.698]  I'm not kidding.
[00:50:22.978 --> 00:50:24.459]  I have seen that myself.
[00:50:25.039 --> 00:50:26.100]  Hold on, hold on, hold on.
[00:50:26.480 --> 00:50:27.680]  This is Joanna Scott.
[00:50:27.700 --> 00:50:28.601]  You're saying you've seen that?
[00:50:29.361 --> 00:50:37.625]  I have actually watched as very good people get into this field, and within six months,
[00:50:38.410 --> 00:50:44.111]  They have turned into the most vile and hateful people, and I don't know what does it to them.
[00:50:44.151 --> 00:50:46.312]  I don't know if it's what's being asked of them.
[00:50:46.392 --> 00:50:48.892]  They either decide to do it or they quit.
[00:50:49.573 --> 00:50:59.975]  But I have watched it myself, the transformation of a caseworker that comes in as a very good, well-meaning person that's turned into a person that just destroys families.
[00:51:01.380 --> 00:51:05.103]  Well, I mean, they have the biggest turnover of any government job.
[00:51:05.123 --> 00:51:06.324]  50% or more.
[00:51:06.764 --> 00:51:09.247]  And so all that gets left is just psychos.
[00:51:10.127 --> 00:51:15.072]  The word catastrophe is defined as a sudden and widespread disaster.
[00:51:15.352 --> 00:51:18.555]  The only way to be truly ready is to prepare yourself now.
[00:51:19.033 --> 00:51:25.035]  The7store.net is here to make sure you are fully prepared in the event of any catastrophe.
[00:51:25.295 --> 00:51:37.078]  The7store.net carries high-quality storable MREs, storable and freeze-dried foods, survival gear, terror and pandemic kits, water storage, self-reliant items, and more.
[00:51:37.498 --> 00:51:39.518]  All with a low price guarantee.
[00:51:39.839 --> 00:51:44.920]  We are ready to answer your questions and offer advice on preparedness, food storage, and more.
[00:51:45.200 --> 00:51:53.021]  See why The7Store.net is one of the nation's most trusted emergency preparedness companies for home, business, and schools.
[00:51:53.301 --> 00:51:59.422]  Take the first responsible step in preparing for the next inevitable catastrophe by visiting The7Store.net.
[00:51:59.502 --> 00:52:00.123]  That's The7Store.net.
[00:52:00.143 --> 00:52:00.543]  Or call 1-888-654-3447.
[00:52:00.563 --> 00:52:00.903]  That's 1-888-654-3447.
[00:52:08.345 --> 00:52:11.406]  Hey folks, Alex Jones here.
[00:52:11.586 --> 00:52:16.569]  I'm sending out a special alert to all those out there listening with credit card debt and struggling to make payments.
[00:52:16.969 --> 00:52:19.050]  I'm going to give you a very important phone number.
[00:52:19.390 --> 00:52:28.555]  Due to a declining economy and credit crisis, you now have the power to settle your debt and lower your payments by up to 60% or more by calling the bailout group.
[00:52:28.835 --> 00:52:29.015]  I think?
[00:52:58.715 --> 00:52:59.075]  We're good.
[00:53:11.514 --> 00:53:12.394]  Spring is here.
[00:53:12.634 --> 00:53:13.415]  Growing season.
[00:53:13.595 --> 00:53:15.576]  The economy is not getting any better.
[00:53:15.796 --> 00:53:17.196]  In fact, it's getting worse.
[00:53:17.516 --> 00:53:18.176]  Think about it.
[00:53:18.477 --> 00:53:22.338]  At this rate, how will your life be in a month or even a year?
