[00:00:00.908 --> 00:00:11.013]  Prepare yourself for a talk radio experience like no other.
[00:29:05.099 --> 00:29:07.020]  You're going to have to register all those.
[00:29:07.020 --> 00:29:10.423]  The chickens for $20 apiece, the cows for $100 apiece.
[00:29:10.423 --> 00:29:14.065]  But then all the big farms and big agribusiness, they're all exempted.
[00:29:14.065 --> 00:29:16.587]  So, it's not about animal welfare.
[00:29:16.587 --> 00:29:21.831]  In fact, his new head of regulations, who wrote these papers about animals being able to sue you, says
[00:29:22.267 --> 00:29:24.809]  The government will represent the animals.
[00:29:24.809 --> 00:29:29.012]  And they say that then, in a democracy, the animals will outvote the people.
[00:29:29.012 --> 00:29:32.395]  But again, it'll be the government saying they represent animals.
[00:29:32.395 --> 00:29:38.840]  That's a way to get around the quote, people's popular will, and say, well, we're representing these animals.
[00:29:38.840 --> 00:29:47.426]  It's the same thing where they'll, all over the country, they've been caught planting, and I appreciate your call, planting endangered species.
[00:29:47.426 --> 00:29:51.049]  Just Google environmentalists caught planting endangered species.
[00:29:52.160 --> 00:29:56.946]  There was a famous case in South Dakota where they were caught planting cougars.
[00:29:56.946 --> 00:29:58.347]  They've been caught planting birds.
[00:29:58.347 --> 00:30:05.595]  The government's been caught planting fish in ponds that, again, regionally are endangered.
[00:30:05.595 --> 00:30:08.278]  It means in that area there's not a lot of them.
[00:30:08.278 --> 00:30:10.841]  They've been caught planting cave bugs in Central Texas.
[00:30:12.016 --> 00:30:23.098]  So again, it's not about saving the environment, it's about, well take the case of the city of Austin, stole tens of thousands of acres, claimed it was going to be parkland, turned around and built million dollar ranchette houses all over it.
[00:30:23.098 --> 00:30:29.839]  And it turned out it was all these different city council people involved with the very banks that would then finance selling the property once they had control of it.
[00:30:29.839 --> 00:30:31.880]  So it's bad.
[00:30:31.880 --> 00:30:33.660]  It's all about regulation and control.
[00:30:33.660 --> 00:30:37.001]  Dan in Connecticut, you're on the air.
[00:30:37.001 --> 00:30:38.081]  Hey, how are you today?
[00:30:38.081 --> 00:30:38.401]  Good, Dan.
[00:30:39.349 --> 00:30:40.791]  I actually have good news for you.
[00:30:40.791 --> 00:30:44.134]  You know that case that got Barry Cooper into Odessa, Texas?
[00:30:45.379 --> 00:30:55.924]  I actually talked to Yolanda Madden's father and I got a case narrative and I talked with one of your previous guests about it, Randy Kelton, he does a show called... Let me just stop you.
[00:30:55.924 --> 00:31:13.133]  A lot of folks that call in, we don't screen your calls, think we're having a private discussion and so a lot of people don't know that Barry Cooper is a former narcotics officer that has reported that 85% of narcotics officers plant drugs on people, he's done stings, now that he quit being a police officer,
[00:31:13.853 --> 00:31:21.197]  Of the police doing things like this or not having warrants, and so now you've brought people up to speed.
[00:31:21.197 --> 00:31:22.358]  Okay, excellent.
[00:31:22.358 --> 00:31:32.164]  Aside from the merits of the case, which I'm sure you're familiar with, the due process violations alone should be enough to get Yolanda out of jail.
[00:31:32.164 --> 00:31:35.726]  Yes, well let me tell people specifically about Yolanda's case.
[00:31:35.726 --> 00:31:39.928]  Well, Yolanda actually had a judge interfere with counsel
[00:31:40.780 --> 00:31:55.754]  And basically what happened is the judge ordered the counsel that she'd actually fired to file motions on her behalf anyway, did nothing through the trial, said file a motion for continuance, and the guy did it anyway and the judge denied it anyway.
[00:31:55.754 --> 00:32:05.944]  Well yeah, I mean routinely in these court cases, that's just one specific one, they cheat and violate every rule and that's why the judicial system is so corrupt now.
[00:32:06.405 --> 00:32:08.006]  I appreciate your call.
[00:32:08.006 --> 00:32:10.768]  Let's go ahead and talk to Steve in Pennsylvania.
[00:32:10.768 --> 00:32:12.289]  Steve, you're on the air.
[00:32:12.289 --> 00:32:13.670]  Good afternoon, Alex.
[00:32:13.670 --> 00:32:15.251]  Hi.
[00:32:15.251 --> 00:32:21.095]  In just seven days, on February 1st, 2009, in Tampa, Florida, they'll be playing the Super Bowl.
[00:32:21.095 --> 00:32:24.558]  Steelers will be going after the sixth Super Bowl ring.
[00:32:26.203 --> 00:32:29.725]  Years ago a movie came out called The Sum of All Fears.
[00:32:29.725 --> 00:32:30.466]  Yes.
[00:32:30.466 --> 00:32:35.989]  And to get the people's minds off the banking crisis.
[00:32:35.989 --> 00:32:39.691]  A major disruption at a Super Bowl event.
[00:32:39.691 --> 00:32:45.615]  Like say if we find out a couple days later they say Osama had a ticket to the Super Bowl.
[00:32:45.615 --> 00:32:53.319]  Wouldn't that be their perfect opportunity to get our mind off the banking crisis and for the New World Order to take a major step forward?
[00:32:54.164 --> 00:32:55.805]  Well, I hear what you're saying.
[00:32:55.805 --> 00:32:58.206]  The globalists like to brag before they do something.
[00:32:58.206 --> 00:33:12.435]  That's why, and I talked to the producers of the X-Files, that they were approached by the CIA, had plots planted on them, and six months before 9-11, they had an episode where a hijacked jet is hijacked by the Pentagon.
[00:33:12.435 --> 00:33:20.119]  They use a drill to make the rest of NORAD stand down, saying it's a drill to fly it into the World Trade Center by remote control to blame it on Afghan terrorists.
[00:33:20.953 --> 00:33:40.862]  But when we start seeing every plot in a movie or television and thinking then... I mean it's true on FX they had a show called Oil Storm that even had the mayor of New Orleans in it where the city floods and exactly what happened in the film Oil Storm that aired on FX one year before it actually happened in New Orleans.
[00:33:40.862 --> 00:33:41.783]  So it is bizarre.
[00:33:41.783 --> 00:33:43.064]  Is it coincidence?
[00:33:43.064 --> 00:33:43.544]  I don't know.
[00:33:43.544 --> 00:33:50.307]  What we do know is it's declassified that elements of the Pentagon have staged hundreds of terror attacks worldwide
[00:33:50.802 --> 00:33:50.982]  I think
[00:34:12.307 --> 00:34:19.293]  A private think tank that they need a huge theater war bigger than the Iraq war as a diversion for the economy.
[00:34:19.293 --> 00:34:22.956]  So what you say has a lot of validity.
[00:34:22.956 --> 00:34:26.099]  You just can't put a name or a date or a time on it.
[00:34:26.099 --> 00:34:36.908]  But do I think that the establishment to get the people to go along and to be distracted from the foreign banks taking over or openly the US going into receivership to private banks and a world government bank openly being set up
[00:34:38.151 --> 00:34:39.431]  Will they stage a terror attack?
[00:34:39.431 --> 00:34:40.772]  Will they provocateur something?
[00:34:40.772 --> 00:34:46.334]  I had Congressman Ron Paul on the radio show Tuesday.
[00:34:46.334 --> 00:34:54.416]  Literally during the inauguration, he was on the show, and he agreed and said he believes it's a very serious danger that they will stage some type of event.
[00:34:54.416 --> 00:34:59.478]  And he said in the past, a Gulf of Tonkin-style event is what he thought Dick Cheney would do to go after Iran.
[00:34:59.478 --> 00:35:04.080]  He said that about two years ago, then it came out about eight months ago in New Yorker magazine.
[00:35:04.080 --> 00:35:05.420]  Cy Hirsch gave an interview and admitted
[00:35:05.970 --> 00:35:09.496]  That White House sources... Seymour Hersh, Pulitzer Prize winner, doesn't lie, folks.
[00:35:09.496 --> 00:35:10.718]  He's always been proven right.
[00:35:10.718 --> 00:35:11.960]  Back to Vietnam.
[00:35:11.960 --> 00:35:15.626]  That the White House wanted to stage a terror attack in the Strait of Hormuz.
[00:35:17.461 --> 00:35:19.102]  Hey Alex, how are you doing?
[00:35:41.036 --> 00:35:49.762]  I just wanted to talk about a possible civil war in the United States and I guess I wanted your input on it.
[00:35:49.762 --> 00:36:03.611]  I was on the internet last night and apparently there's a former KGB agent who was under, who 10 years ago he claimed, because everyone laughed at him.
[00:36:03.611 --> 00:36:05.132]  More than 10 years ago, he said it in 92.
[00:36:06.810 --> 00:36:16.638]  He said that the United States will collapse and break into six parts, and that it's part of the New Order plan.
[00:36:16.638 --> 00:36:19.540]  That's the piece of the issue you don't hear in our news.
[00:36:19.540 --> 00:36:22.382]  But it's not just him.
[00:36:22.382 --> 00:36:26.786]  The Army War College came out a month ago and said the United States could break up unless they put troops on the streets, basically.
[00:36:37.428 --> 00:36:42.750]  Uh, the British Ministry of Defense report in late 2007 said the same thing.
[00:36:42.750 --> 00:36:47.512]  Uh, the RAND Corporation, speak of the devil, said the same thing as well.
[00:36:47.512 --> 00:36:48.172]  We'll be right back.
[00:36:48.172 --> 00:36:51.154]  The news websites are InfoWars.com and PrisonPlanet.com.
[00:36:51.154 --> 00:36:51.534]  Stay with us.
[00:36:53.075 --> 00:37:03.637]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:37:03.637 --> 00:37:05.058]  Garden in a can.
[00:37:05.058 --> 00:37:09.199]  Garden in a can is your source for premium, long-term, storable seeds.
[00:37:09.199 --> 00:37:11.199]  Garden in a can is ready when you are.
[00:37:11.199 --> 00:37:13.980]  Plant them now or store them for when you really need them.
[00:37:13.980 --> 00:37:19.561]  There are 16 large, hermetically sealed, non-hybrid, open-pollinated packets of seeds, along with detailed
[00:37:19.701 --> 00:37:22.966]  Lighting instructions sealed in a can for ultimate long term protection.
[00:37:23.644 --> 00:37:25.064]  Garden in a Can.
[00:37:25.064 --> 00:37:26.264]  It's that simple.
[00:37:26.264 --> 00:37:28.665]  Fresh, healthy, easy.
[00:37:28.665 --> 00:37:33.006]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:37:33.006 --> 00:37:34.586]  Ready when you are.
[00:37:34.586 --> 00:37:38.647]  Stop procrastinating and start preparing with Garden in a Can.
[00:37:38.647 --> 00:37:42.127]  For more details visit Gardeninacan.com today.
[00:37:42.127 --> 00:37:44.688]  That's Gardeninacan.com or call 866-598-7396.
[00:37:44.688 --> 00:37:44.728]  866-598-7396.
[00:37:56.198 --> 00:37:59.260]  Are you one of the millions of people who make New Year's resolutions?
[00:37:59.260 --> 00:38:03.222]  Are you also one of the millions who wind up breaking those resolutions?
[00:38:03.222 --> 00:38:06.324]  Would you like to keep at least one of those resolutions this year?
[00:38:06.324 --> 00:38:09.446]  Well, right now, success is one click away.
[00:38:09.446 --> 00:38:13.369]  Let this be the year you are going to protect yourself year-round.
[00:38:13.369 --> 00:38:18.552]  Pepperspray.com can help keep you safe by offering you the largest assortment of pepper spray.
[00:38:18.612 --> 00:38:18.972]  I think so.
[00:38:38.456 --> 00:38:38.636]  1-800-908-9988.
[00:38:38.636 --> 00:38:38.937]  That's 1-800-908-9988.
[00:38:38.937 --> 00:38:41.220]  Pepperspray.com wishes you and yours a safe and happy 2009!
[00:38:53.307 --> 00:38:56.849]  The United States is bankrupt and the bankers want you bankrupt also.
[00:38:56.849 --> 00:39:00.371]  How would you like to be debt-free and 90 days guaranteed?
[00:39:00.371 --> 00:39:07.295]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[00:39:07.295 --> 00:39:15.260]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies and liens and you won't pay one dime to creditors.
[00:39:15.260 --> 00:39:18.962]  With Debt Crisis Solutions program, you'll also restore your credit history
[00:39:19.102 --> 00:39:19.562]  We're good to go.
[00:39:41.010 --> 00:39:45.777]  Phase one of the insider's plan for a one-world government has been initiated with the recent bailout.
[00:39:57.794 --> 00:40:05.238]  International bankers and power brokers have engineered the current crisis to create a new currency and a new world bank to act as savior.
[00:40:05.238 --> 00:40:06.839]  But we've only seen the beginning.
[00:40:06.839 --> 00:40:11.001]  Their next engineered crisis will be on a scale never before seen in modern times.
[00:40:11.001 --> 00:40:14.843]  Shortages and empty shelves will spread fear and panic across the land.
[00:40:14.843 --> 00:40:19.305]  The insiders have discovered that they must control two things to seize total power.
[00:40:19.305 --> 00:40:23.647]  Phase one is a one world currency which we are currently being prepared to accept.
[00:40:23.647 --> 00:40:26.869]  Phase two of their insidious plan is complete control of our food
[00:40:27.089 --> 00:40:28.049]  We're good.
[00:40:54.980 --> 00:40:57.602]  Thank you for listening to GCN.
[00:40:57.602 --> 00:41:01.124]  Be sure to visit GCNlive.com today.
[00:41:01.124 --> 00:41:10.451]  Yeah, I do a four-hour radio show Monday through Friday from 11 to 3 central.
[00:41:10.451 --> 00:41:14.173]  That isn't enough, because so much happens on the weekend and the new week before us.
[00:41:14.173 --> 00:41:17.055]  I come in for two hours, 4 to 6 p.m.
[00:41:17.055 --> 00:41:19.477]  with this abbreviated final edition here.
[00:41:19.477 --> 00:41:22.960]  I'm taking your phone calls right now.
[00:41:22.960 --> 00:41:23.200]  Next hour,
[00:41:25.239 --> 00:41:32.460]  I'm going to get into Coast Guard can't start a rescue until they fill out a health and safety assessment form.
[00:41:32.460 --> 00:41:35.461]  Ebola may have passed from pigs to a human.
[00:41:35.461 --> 00:41:39.942]  Unreturned library book for $13 lands woman in jail.
[00:41:39.942 --> 00:41:41.922]  FDA says no to GMO labels.
[00:41:41.922 --> 00:41:45.103]  But first, I'm going to get into what's happening on the financial front in the United States.
[00:41:45.103 --> 00:41:48.904]  As you're noticing, the establishment's known for many years they were going to implode the economy.
[00:41:48.904 --> 00:41:53.305]  They just keep lying to you saying, go along with our next policy, our next plan, and everything will be okay.
[00:41:53.305 --> 00:41:54.905]  And a few months later, give us even more power.
[00:41:55.509 --> 00:41:59.211]  Give us even more anonymity and secrecy and everything will be okay and then it just gets worse.
[00:41:59.211 --> 00:42:13.936]  That is being done by design and they hope their frontman Barack Obama can fool the public long enough where they stand down so that Congress doesn't rightfully take the power back from the executive which has been sold out to foreign offshore banks and financial institutions.
[00:42:13.936 --> 00:42:21.900]  It's really that simple and Congress has been threatened with martial law if they try to do their job and say no to all of this.
[00:42:21.900 --> 00:42:24.140]  Going back to your phone calls.
[00:42:26.445 --> 00:42:32.690]  Let's go ahead and talk to Rob in Pennsylvania.
[00:42:32.690 --> 00:42:33.591]  Rob, you're on the air.
[00:42:33.591 --> 00:42:35.172]  How you doing, Alex?
[00:42:35.172 --> 00:42:35.433]  Good, sir.
[00:42:35.433 --> 00:42:37.654]  I appreciate all the hard work that you do.
[00:42:37.654 --> 00:42:39.016]  Thank you.
[00:42:39.016 --> 00:42:52.146]  I wanted to report here in Allentown, PA, we have digital billboards through the Adams Outdoor Advertising Company, and I am seeing a plethora of these billboards.
[00:42:52.146 --> 00:42:53.768]  They are rotating advertisements.
[00:42:54.460 --> 00:42:59.102]  Which means support the agenda of starting more wars and keeping them in harm's way.
[00:42:59.102 --> 00:43:01.464]  I've been talking about this all week.
[00:43:24.909 --> 00:43:28.151]  This is what's happening and it's totally illegal.
[00:43:28.151 --> 00:43:34.395]  They're taking the Ad Council money, that's tax money, and then most stations run them for free, but the production costs money.
[00:43:34.395 --> 00:43:36.537]  It's billions of dollars a year.
[00:43:36.537 --> 00:43:43.221]  And Obama has set up usaservice.org, which is non-governmental.
[00:43:43.221 --> 00:43:49.906]  It's private under him and the Democratic Party, but they run the ads as if it's governmental, saying, come sign up with us to volunteer.
[00:43:51.092 --> 00:43:54.333]  And then separately, they're going to have compulsory service within the government.
[00:43:54.333 --> 00:43:57.173]  So they're setting up their own domestic squads.
[00:43:57.173 --> 00:44:00.294]  And they're now running Obama propaganda ads.
[00:44:00.294 --> 00:44:03.794]  And Bush got in trouble for this, but this is a lot more than what Bush did.
[00:44:03.794 --> 00:44:06.295]  And we criticized it then with the fake newscast and stuff.
[00:44:06.295 --> 00:44:07.715]  But this is overt.
[00:44:07.715 --> 00:44:16.517]  With these Obama ads all about Obama, all over the government paid-for billboards, all over TV, all over radio, all over newsprint.
[00:44:17.262 --> 00:44:19.505]  And again, that's not what happens in free societies.
[00:44:19.505 --> 00:44:24.732]  They have lots of propaganda about how great the leader is in North Korea, or even in Iran.
[00:44:24.732 --> 00:44:27.275]  This is not what a free society does or has.
[00:44:27.275 --> 00:44:29.178]  And so, yeah, it's just incredible.
[00:44:30.171 --> 00:44:45.243]  Yeah, and this is what I've been trying to convey to some people who I try to relate the information to, I try to, you know, report and just disseminate some of the things that I learned from you and I'm beginning to understand more and more fully.
[00:44:45.243 --> 00:44:55.331]  A, it's creeping me out because it's such overt propaganda, and B, it's pissing me off because the American taxpayer is his foot in the bill for these billboards.
[00:44:55.331 --> 00:44:57.573]  Absolutely, and it's not even pushing people
[00:44:59.090 --> 00:45:07.112]  I mean, literal giant... They started paying for signs about two years ago that would just say, George W. Bush, our leader, like we were in North Korea or something.
[00:45:07.112 --> 00:45:10.373]  Again, in a free society, there aren't big billboards with the leader's face.
[00:45:10.373 --> 00:45:16.555]  I mean, if the party wants to pay to put those up during campaigns, it's still a little creepy.
[00:45:16.555 --> 00:45:20.676]  But now there are billboards, TV ads, billions of dollars.
[00:45:23.024 --> 00:45:27.087]  of our tax money to put these up and then to recruit people into his own private army.
[00:45:27.087 --> 00:45:30.050]  I mean, I'm telling you folks, we're in a lot of trouble.
[00:45:30.050 --> 00:45:34.013]  Let's go ahead and talk to Hilde in Vermont.
[00:45:34.013 --> 00:45:36.115]  Welcome to the Airwaves.
[00:45:36.115 --> 00:45:36.896]  Hi Alex.
[00:45:36.896 --> 00:45:37.596]  Yes.
[00:45:37.596 --> 00:45:38.857]  Hi Alex, this is Hilde.
[00:45:38.857 --> 00:45:39.558]  How are you?
[00:45:39.558 --> 00:45:40.138]  Good.
[00:45:40.138 --> 00:45:40.759]  Good, good.
[00:45:40.759 --> 00:45:47.224]  I really wanted to talk to you about the FOCA Act that is coming up, the bill.
[00:45:47.224 --> 00:45:50.267]  It's really in opposition to human life.
[00:45:50.267 --> 00:45:51.808]  It's a radical threat to human life.
[00:45:52.248 --> 00:45:55.351]  It's in opposition to all of... Well, tell folks specifically what it is.
[00:45:55.351 --> 00:45:58.073]  A lot of people... And I just wanted to... A lot of people want to know what the acronym is.
[00:45:58.073 --> 00:45:58.874]  Tell them.
[00:45:58.874 --> 00:46:05.299]  Well, it is the Elimination of Regulations to Protect Women from Unsafe and Unscrupulous Abortionists.
[00:46:05.299 --> 00:46:08.422]  It forces American taxpayers to fund abortions.
[00:46:08.422 --> 00:46:18.270]  It's for... Yeah, what's happening is... And also, too... All the Planned Parenthood... Let me just tell you, we watched a movie, which I recommend, Judgment at Nuremberg, and it was about five judges
[00:46:20.477 --> 00:46:34.735]  Yeah, they said I was just following the law, I was just following orders, and it's based on the transcripts from the Nuremberg trials.
[00:46:34.735 --> 00:46:35.275]  Yes.
[00:46:35.275 --> 00:46:35.856]  That's excellent.
[00:46:36.607 --> 00:46:42.712]  Yes, and this FOCA is doing the same thing and it's taking away human rights from people.
[00:46:42.712 --> 00:46:54.402]  Well, that's the first thing Obama did was double the amount of funding for forced abortions in China and abortions and eugenics operations known as family planning in Africa and Latin America and Asia.
[00:46:54.402 --> 00:46:55.043]  Great points.
[00:46:55.043 --> 00:46:57.485]  I'm just moving quicker to get to everybody.
[00:46:57.485 --> 00:46:59.486]  Let's go ahead and talk to Pam in Canada.
[00:46:59.486 --> 00:47:00.187]  Pam, you're on the air.
[00:47:02.156 --> 00:47:02.656]  Hi.
[00:47:02.656 --> 00:47:03.177]  Hey, Pam.
[00:47:03.177 --> 00:47:04.457]  Welcome.
[00:47:04.457 --> 00:47:05.658]  Hi.
[00:47:05.658 --> 00:47:06.838]  Good to talk to you.
[00:47:06.838 --> 00:47:07.759]  Thank you.
[00:47:07.759 --> 00:47:09.200]  Thank you, Alex.
[00:47:09.200 --> 00:47:11.301]  Thank you for taking my call.
[00:47:11.301 --> 00:47:11.601]  You bet.
[00:47:11.601 --> 00:47:12.741]  Let my dog go to the room.
[00:47:12.741 --> 00:47:14.262]  There you go.
[00:47:14.262 --> 00:47:17.184]  There you go, love.
[00:47:17.184 --> 00:47:28.870]  I'd like to say I have been listening to you for about two years, and I've only had a computer for that long myself.
[00:47:28.870 --> 00:47:29.210]  I'm a lover.
[00:47:29.210 --> 00:47:31.011]  So you're listening on the internet?
[00:47:31.011 --> 00:47:31.251]  Yeah.
[00:47:32.003 --> 00:47:32.723]  Exactly.
[00:47:32.723 --> 00:47:34.584]  Okay, what's on your mind today?
[00:47:34.584 --> 00:47:49.611]  Well, I'd like to talk about microcosm tyranny in that I lived next door to a person who worked for the city of Edmonton for 33 years.
[00:47:49.611 --> 00:47:51.832]  And they're on a power trip?
[00:47:51.832 --> 00:47:54.953]  And got away with everything.
[00:47:54.953 --> 00:47:56.194]  And I was harassed.
[00:47:57.488 --> 00:48:10.132]  Well, that's what tyrannies do, is they empower all these little petty nobodies that don't have skills, that don't have ideas, who can't operate in the free market, and they just run around parasiting on the public.
[00:48:10.132 --> 00:48:11.512]  Exactly.
[00:48:11.512 --> 00:48:18.854]  Like, I was threatened for years, five years, because of this man who worked for the city.
[00:48:18.854 --> 00:48:22.135]  He didn't like me because I wouldn't talk to him.
[00:48:24.597 --> 00:48:32.743]  It was amazing because when he almost died he went to the hospital and the police actually guarded his house.
[00:48:32.743 --> 00:48:43.732]  They sat five houses across the street from us and guarded the house against all the riffraff which would visit him.
[00:48:43.732 --> 00:48:49.116]  Which previously before visited him for two years.
[00:48:49.116 --> 00:48:49.736]  I hear you ma'am.
[00:48:49.736 --> 00:48:51.498]  You ought to write it up in an email and send me the story.
[00:48:51.498 --> 00:48:54.200]  We don't really have the time to get into all the problems you're having with your
[00:48:54.847 --> 00:48:58.389]  With your neighbor.
[00:48:58.389 --> 00:49:01.731]  You just popped in my ear and said something and I didn't understand it.
[00:49:01.731 --> 00:49:02.392]  Okay, good.
[00:49:02.392 --> 00:49:04.613]  We're going to have Bob Chapman on The Economy with us.
[00:49:04.613 --> 00:49:11.278]  I've been having him on a lot lately because his track record of predicting what's happening in the economy has been more accurate than most.
[00:49:11.278 --> 00:49:12.779]  I'd say 95% accuracy.
[00:49:12.779 --> 00:49:16.541]  And of course, he's had one of the biggest financial newsletters in the world until he retired.
[00:49:17.356 --> 00:49:20.639]  And he was the largest private silver and gold broker as well.
[00:49:20.639 --> 00:49:22.800]  And he's been fighting the globalists for 45 years.
[00:49:22.800 --> 00:49:28.545]  He helped produce and publish an undercover conspiracy with Gary Allen, his partner.
[00:49:28.545 --> 00:49:31.147]  Worked with so many other leaders in the fight against the globalists.
[00:49:31.147 --> 00:49:38.993]  I wanted to get him on to get into the economy and what this bank nationalization, which isn't really nationalization, it's privatization, hijacking really means.
[00:49:38.993 --> 00:49:41.035]  But let's go ahead and go back to the calls.
[00:49:41.035 --> 00:49:42.836]  Let's talk to Nate in Maine.
[00:49:42.836 --> 00:49:43.537]  Nate, you're on the air.
[00:49:45.298 --> 00:49:47.220]  Okay, good to talk to you.
[00:49:47.220 --> 00:49:47.580]  Go ahead.
[00:49:47.580 --> 00:49:52.705]  I just wanted to congratulate you on that interview with KRS-One.
[00:49:52.705 --> 00:49:54.987]  That was a groundbreaking interview.
[00:49:54.987 --> 00:49:58.790]  Very, very informative and insightful.
[00:49:58.790 --> 00:50:04.816]  The other thing I wanted to talk about was Barack Obama's inauguration when he swore in.
[00:50:04.816 --> 00:50:09.180]  I noticed that George Bush Jr., when he did his inauguration, he messed up a part of it too.
[00:50:10.825 --> 00:50:13.027]  I wouldn't be surprised if Clinton messed his up.
[00:50:13.027 --> 00:50:20.713]  Yeah, for those that don't know, the inauguration isn't official, the swearing in, unless they do it properly.
[00:50:20.713 --> 00:50:31.862]  We pointed that out, so Obama then, two days later, because he didn't do large parts of it, he then was sworn in again, but this time they said secretly.
[00:50:32.512 --> 00:50:38.295]  But they had one camera person there, and secretly he wouldn't let him record it, and he didn't swear in on a Bible.
[00:50:38.295 --> 00:50:40.536]  And that was in the mainstream news.
[00:50:40.536 --> 00:50:44.699]  So they did that on purpose, so he could then go have a private one and not do it on the Bible.
[00:50:44.699 --> 00:50:52.603]  I guarantee you, there was all these big debates about would he swear in on a Bible, you know, was he really a Muslim, all this other stuff, and I kind of poo-pooed that.
[00:50:52.603 --> 00:50:54.624]  But now you've got to ask yourself the question.
[00:50:54.624 --> 00:50:59.467]  I mean, he messes it up once, then they have it again, and they let a White House pool photographer
[00:51:00.277 --> 00:51:06.299]  I mean, in-house White House photographer was the only person allowed to take photos and there's no Bible.
[00:51:06.299 --> 00:51:08.240]  And they say, well, we just didn't use the Bible.
[00:51:08.240 --> 00:51:09.440]  And they put that in the newspaper.
[00:51:09.440 --> 00:51:12.981]  So, he can't get it right twice.
[00:51:12.981 --> 00:51:15.162]  Didn't get sworn in on George Washington's Bible.
[00:51:15.999 --> 00:51:23.686]  My theory also is that, uh, I think they do this on purpose so that that'll negate the oath, so they don't have to stand true to the Constitution.
[00:51:23.686 --> 00:51:30.012]  Oh, most police and government bureaucrats now don't even do their oaths, and there's big lawsuits about that because they're not duly sworn officers if they don't.
[00:51:30.012 --> 00:51:32.014]  Good to hear from you, appreciate the call.
[00:51:32.014 --> 00:51:36.518]  Here comes the news, ladies and gentlemen, and after the news and important messages, we'll come...
[00:51:42.310 --> 00:51:43.933]  Back with a second hour.
[00:51:43.933 --> 00:51:46.237]  Bob Chapman, your phone calls and a lot more.
[00:51:46.237 --> 00:51:46.818]  Stay with me.
[00:51:46.818 --> 00:51:48.060]  The website's InfoWars.com.
[00:51:48.883 --> 00:51:53.244]  It's no secret that Genesis Communications Network depends on listeners like you.
[00:51:53.244 --> 00:51:56.125]  Now you can do even more to hear Genesis shows in your area.
[00:51:56.125 --> 00:52:00.686]  Simply call your local radio stations and tell them about your favorite GCN programs.
[00:52:00.686 --> 00:52:01.386]  It's easy.
[00:52:01.386 --> 00:52:08.008]  Log on to GCNlive.com or call us toll free 877-807-4048.
[00:52:08.008 --> 00:52:08.768]  Make a difference.
[00:52:08.768 --> 00:52:14.149]  Call your local stations and contact us through affiliate relations at GCNlive.com or call 877-807-4048.
[00:52:14.149 --> 00:52:14.509]  Call today.
[00:52:18.550 --> 00:52:20.172]  Wondering about your retirement portfolio?
[00:52:20.172 --> 00:52:24.696]  Is your financial advisor experienced enough to combat rising interest rates, taxes, and inflation?
[00:52:24.696 --> 00:52:28.820]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:52:28.820 --> 00:52:33.184]  With 45 years of experience and concise investment recommendations, who needs sugar-coated excuses?
[00:52:33.184 --> 00:52:35.586]  Get the cold, hard facts and a proven investment strategy.
[00:52:35.766 --> 00:52:39.808]  For a free introductory copy to The International Forecaster, call 877-479-8178 or go to TheInternationalForecaster.com.
[00:52:39.808 --> 00:52:40.128]  That's 877-479-8178.
[00:52:40.128 --> 00:52:40.229]  877-479-8178.
[00:52:40.229 --> 00:52:43.110]  SouthSummit.com is the place for top name brand knives such as Kershaw, Spyder,
[00:52:54.036 --> 00:52:55.377]  We're good to go.
[00:53:18.865 --> 00:53:19.225]  I think so.
[00:53:48.467 --> 00:53:55.936]  You are listening to GCN, the Genesis Communications Radio Network.
[00:54:03.312 --> 00:54:05.074]  IRN USA Radio News.
[00:54:05.074 --> 00:54:06.374]  I'm Jody Jordan.
[00:54:06.374 --> 00:54:10.778]  Vice President Joe Biden was interviewed on the CBS program Face the Nation.
[00:54:10.778 --> 00:54:13.280]  I don't see myself as the deputy president.
[00:54:13.280 --> 00:54:16.402]  I see myself as the president's confidant.
[00:54:16.402 --> 00:54:19.184]  Hopefully I can help shape policy with him.
[00:54:19.184 --> 00:54:20.965]  Hopefully I'm one of those people.
[00:54:20.965 --> 00:54:24.968]  Hopefully I'm the last person in the room with every important decision he makes.
[00:54:24.968 --> 00:54:26.289]  He also says more U.S.
[00:54:26.289 --> 00:54:28.611]  troops are likely to see action in Afghanistan.
[00:54:29.332 --> 00:54:35.696]  And President Barack Obama's plan to jumpstart the economy carries an $825 billion price tag.
[00:54:35.696 --> 00:54:39.478]  But economic advisor Larry Summers says the nation can handle it.
[00:54:39.478 --> 00:54:52.105]  It's balanced between very substantial new investments that are referred to, between very important protections to prevent teachers and cops from being laid off, and also tax cuts.
[00:54:52.105 --> 00:54:56.268]  Summers tells NBC's Meet the Press that big spending is needed now.
[00:54:56.268 --> 00:54:58.289]  This is IRN USA Radio News.
[00:54:59.833 --> 00:55:02.034]  Is your credit card debt out of control?
[00:55:02.034 --> 00:55:04.534]  Are you in over your head dealing with monthly payments?
