[00:00:19.180 --> 00:00:20.163]  We are back live.
[00:38:03.290 --> 00:38:11.996]  Yeah, they've been having in big cities like Dallas and New York, and I've been in New York where it happens, they've been having the air raid sirens go, which haven't been on in decades.
[00:38:12.036 --> 00:38:13.017]  It's all part of the fear.
[00:38:13.837 --> 00:38:15.518]  Well, interesting to let you know.
[00:38:15.558 --> 00:38:17.700]  I just heard this off the newscast this morning.
[00:38:18.510 --> 00:38:33.523]  That Coronado, which is a big military town, they have not, uh, they said the reason they were going to let their, their sirens off were to, uh, because they didn't know if the system was working or not, but I find it, uh, quite interesting that this is happening around the whole United States.
[00:38:36.087 --> 00:38:36.908]  Absolutely, sir.
[00:38:36.928 --> 00:38:40.331]  They're practicing taking over the FEMA control boxes and radio TV.
[00:38:41.031 --> 00:38:51.020]  They're now telling stations, oh, the government's going to be popping in with announcements now, not just about old ladies or kids that are lost, but also terrorists and the weather and other service announcements.
[00:38:51.461 --> 00:38:54.223]  All radio, all TV, Internet's controlled by them.
[00:38:54.683 --> 00:39:01.710]  They're now publicly not just going to have control of the big Internet hubs, but all the small hubs to, quote, shut the web down for our safety, New York Times.
[00:39:02.230 --> 00:39:03.450]  They're making their move, sir.
[00:39:03.490 --> 00:39:04.751]  They've stolen everything.
[00:39:05.151 --> 00:39:06.772]  They've destroyed us financially.
[00:39:07.172 --> 00:39:13.454]  But Liberty could re-energize and regenerate all this in a matter of years.
[00:39:14.194 --> 00:39:18.556]  But once they kill Liberty, see, they're threatened by new wealth.
[00:39:18.736 --> 00:39:19.796]  They issue the money.
[00:39:20.036 --> 00:39:21.277]  They want to end wealth.
[00:39:21.317 --> 00:39:21.677]  Go ahead.
[00:39:22.972 --> 00:39:24.853]  I'm a Christian, and I've got to say something.
[00:39:24.873 --> 00:39:27.194]  I attended a new... I won't name the church out here.
[00:39:27.214 --> 00:39:33.597]  It's a typical Judeo-Christian church, and I was listening to one of the messages online.
[00:39:33.617 --> 00:39:34.518]  I went to the website.
[00:39:34.558 --> 00:39:38.100]  I missed a couple weeks and wanted to see where the pastor's head was at.
[00:39:39.440 --> 00:39:40.781]  He's up there on the net.
[00:39:41.385 --> 00:39:48.290]  Talking about this church that he had always went out to speak to, and how they were not prospering.
[00:39:49.451 --> 00:39:52.513]  But to them, prospering is having a big, huge church.
[00:39:52.573 --> 00:39:59.257]  That's what, instead of the gospel and the good news of Jesus Christ, who defeated these evil bastards.
[00:39:59.297 --> 00:40:02.059]  Most Christian searches are voodoo.
[00:40:03.280 --> 00:40:06.883]  They do rituals, they chant, and they demand from God what they want.
[00:40:07.743 --> 00:40:09.184]  That's what magic is.
[00:40:09.945 --> 00:40:13.088]  Magic is, I'm going to do a ritual and have a little demon give me a piece of gold.
[00:40:13.548 --> 00:40:14.669]  Or, you know, give me power.
[00:40:15.570 --> 00:40:23.657]  And so most of these churches are New World Order, big phallus symbols out front, satanic worship centers.
[00:40:23.697 --> 00:40:25.299]  I mean, and the pastors know that.
[00:40:25.659 --> 00:40:28.723]  They know Easter isn't Easter, it's Ishtar-ia, Ishtar.
[00:40:29.284 --> 00:40:36.272]  They know the eggs and the rabbit, Playboy, you know, is a symbol of sex, the goddess of fertility, they know all that.
[00:40:36.532 --> 00:40:38.094]  These are Satan worshippers!
[00:40:38.475 --> 00:40:40.277]  Of course they're going to sit there and tell you that.
[00:40:40.317 --> 00:40:40.758]  Go ahead.
[00:40:41.567 --> 00:40:45.933]  That's the old Canaanite religion of Balaam.
[00:40:45.953 --> 00:40:46.754]  Oh yeah, and the word...
[00:40:58.679 --> 00:41:00.620]  Folks, that's how Matrix-like it is.
[00:41:00.840 --> 00:41:07.483]  The churches are satanic worship centers for Ishtar, and it's even called Ishtar!
[00:41:08.084 --> 00:41:12.085]  And it's on all the Sun Cycle dates, and they know that, and they don't care!
[00:41:12.586 --> 00:41:13.546]  It's a big joke!
[00:41:13.606 --> 00:41:16.948]  They are Satan worshipers, and they know it!
[00:41:17.008 --> 00:41:17.408]  Go ahead.
[00:41:18.550 --> 00:41:36.389]  Well you're 100% correct, but I went on to their website and I'm listening to this pastor and so he goes out and he visits this church and now all of a sudden this new church is big and he asked the pastor, he said, you know, tell me what was the difference of the church becoming as big as it is with you guys?
[00:41:36.829 --> 00:41:41.014]  He goes, well we had some anti-government people in our church and
[00:41:41.733 --> 00:41:49.054]  I finally came out and said, you know, Romans 13, you're to, you know, that God ordains governments and you're to obey God.
[00:41:49.514 --> 00:41:51.875]  And we've been prospering, you know, prospering ever since.
[00:41:52.015 --> 00:41:52.995]  Bunch of nonsense.
[00:41:53.095 --> 00:41:56.016]  And I told my wife, I said, we are not going to... That means government money.
[00:41:56.456 --> 00:41:57.476]  Go ahead and say the name of the church.
[00:41:57.516 --> 00:41:58.416]  That means government money.
[00:41:59.236 --> 00:42:03.937]  Well, this is a church in San Diego and it's called the City Church.
[00:42:04.417 --> 00:42:09.538]  And I heard it online and after I heard that, I told myself I will not be going back.
[00:42:10.464 --> 00:42:11.244]  Back to that church.
[00:42:11.264 --> 00:42:32.256]  You know, I listen to a lot of stuff online, Pastor Butch Paul, there's Pastor Peters, there's a bunch of preachers that are not controlled by the New World Order, and that's where I get, you know, most of it, unless I'm, you know, reading my Bible for myself, and these small churches, gatherings of people doing home churches, we were doing that back in the 90s.
[00:42:32.896 --> 00:42:35.237]  And one quick thing before I go, Alex, I have a question for you.
[00:42:35.277 --> 00:42:39.640]  I was watching these chemical trails, and we're in a heat wave right now in California,
[00:42:40.487 --> 00:42:44.890]  Is there a chance this garbage that they're putting in the air is making the weather hotter?
[00:42:45.171 --> 00:42:45.431]  No, no.
[00:42:45.471 --> 00:42:47.172]  That's what all the scientists say.
[00:42:47.352 --> 00:42:51.796]  They're trying to create global warming, and you notice when a storm comes in, they block it with the trails.
[00:42:52.076 --> 00:42:53.337]  It's weather modification.
[00:42:53.377 --> 00:42:54.257]  They're now admitting it.
[00:42:54.438 --> 00:42:54.678]  No, no.
[00:42:54.738 --> 00:42:55.939]  They're creating droughts.
[00:42:56.219 --> 00:42:57.460]  They're creating heat waves.
[00:42:57.480 --> 00:42:58.541]  We'll be right back.
[00:43:00.077 --> 00:43:01.938]  Heart disease is on the rise.
[00:43:02.058 --> 00:43:07.239]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:43:07.420 --> 00:43:08.740]  But the symptoms are there.
[00:43:09.020 --> 00:43:17.183]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:43:17.423 --> 00:43:23.145]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:43:23.325 --> 00:43:25.107]  My blood pressure has normalized.
[00:43:25.167 --> 00:43:27.348]  My diabetes has totally improved.
[00:43:27.469 --> 00:43:31.712]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:43:31.872 --> 00:43:33.994]  I recommend Heart and Body Extract to everyone.
[00:43:34.094 --> 00:43:41.861]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:43:42.361 --> 00:43:46.604]  In the New World Order's War Against Humanity, Barack Obama is the tip of the spear.
[00:44:06.412 --> 00:44:11.775]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:44:12.295 --> 00:44:18.478]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:44:18.698 --> 00:44:20.599]  Well, Obama's already fudging.
[00:44:20.759 --> 00:44:23.140]  He's fudged since day one in this election.
[00:44:23.221 --> 00:44:34.106]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:44:36.397 --> 00:44:37.658]  It's not about left or right.
[00:44:38.058 --> 00:44:39.438]  It's about a one world government.
[00:44:39.919 --> 00:44:46.281]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:44:46.841 --> 00:44:54.605]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:44:55.105 --> 00:44:56.245]  The Obama Deception.
[00:44:56.665 --> 00:44:57.846]  The people strike back.
[00:44:59.597 --> 00:45:02.758]  Before you throw away your used batteries, you need to listen to this.
[00:45:03.098 --> 00:45:04.838]  Now, going green can save money.
[00:45:05.018 --> 00:45:10.359]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[00:45:10.579 --> 00:45:18.300]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends a life of new batteries and gives new life to used batteries.
[00:45:18.600 --> 00:45:28.882]  Invented by legendary audio genius John Bedini, this unique and patented charging system rejuvenates the electrochemical plate structure in the battery without additives, increasing capacity
[00:45:28.902 --> 00:45:29.382]  I'm good.
[00:45:44.551 --> 00:45:45.931]  Visit us online at r-charge.com.
[00:45:45.971 --> 00:45:46.831]  That's r-charge.com.
[00:45:46.871 --> 00:45:47.512]  Or call us at 989-637-4179.
[00:45:47.572 --> 00:45:48.032]  That's 989-637-4179.
[00:45:48.072 --> 00:45:49.352]  Be a part of the revolution today.
[00:45:49.372 --> 00:45:50.332]  Waging war on corruption.
[00:45:50.352 --> 00:45:51.552]  Alex Jones on the GCN Radio Network.
[00:45:51.572 --> 00:45:52.712]  Man, I am so fired up right now!
[00:46:15.503 --> 00:46:20.127]  Let's go ahead and just get Steve Quayle right at the start of this next hour.
[00:46:20.147 --> 00:46:22.269]  Go ahead and get him on the line there, John.
[00:46:24.411 --> 00:46:25.932]  Oh man, I am fired up today.
[00:46:28.454 --> 00:46:30.736]  Because I'm past the fear.
[00:46:30.796 --> 00:46:32.057]  I'm going up against the tyranny.
[00:46:32.117 --> 00:46:33.018]  I know I'm in the right.
[00:46:33.298 --> 00:46:34.119]  I've studied the enemy.
[00:46:34.139 --> 00:46:35.160]  I know they're scum.
[00:46:35.180 --> 00:46:41.085]  I know we don't have any choice but to just really get angry at these people and get focused and get aggressive.
[00:46:42.734 --> 00:46:44.495]  It's our spirit that needs to be fixed.
[00:46:44.535 --> 00:46:48.416]  We need to be fired up, focused, aggressive, and love liberty and goodness.
[00:46:49.236 --> 00:46:58.499]  Instead of having this giggling, slack-jawed, smart-mouthed, you know, worldly, lethargic, know-it-all, arrogant spirit.
[00:46:58.519 --> 00:46:59.480]  You know what I'm talking about.
[00:46:59.500 --> 00:47:05.102]  The people are hungry for the truth, and we gotta give it to them.
[00:47:05.642 --> 00:47:08.203]  Now, before I go back to your calls and Steve Quayle,
[00:47:09.684 --> 00:47:13.006]  I'll tell you about a few of the sponsors that make this world-wide transmission possible.
[00:47:15.687 --> 00:47:16.387]  A Cola Blue.
[00:47:16.487 --> 00:47:17.428]  ColaBlue.com.
[00:47:17.488 --> 00:47:19.129]  Atmospheric water generator for the home.
[00:47:19.189 --> 00:47:22.170]  Pays for itself within one year if you buy your water from the store.
[00:47:22.790 --> 00:47:24.411]  Pure, clean water without the fluoride.
[00:47:24.451 --> 00:47:26.012]  Unlimited water for the humidity in the air.
[00:47:26.412 --> 00:47:27.613]  Knows exactly what you're drinking.
[00:47:27.633 --> 00:47:30.414]  Machine produces up to 28 liters of water in 24 hours, or 7.5 gallons.
[00:47:33.052 --> 00:47:36.956]  The generated water is passed through seven filters, including reverse, osmosis, and carbon.
[00:47:37.436 --> 00:47:39.918]  Simple to use, no chemicals, pollutants, or toxins.
[00:47:40.399 --> 00:47:41.360]  Neutral pH.
[00:47:42.261 --> 00:47:44.322]  Your own source of clean drinking water.
[00:47:44.903 --> 00:47:58.816]  How the filtering process works, the water passes through an activated carbon filter, and then a silver impregnated carbon filter, then a reverse osmosis system, and it takes an odor removal filter, and it's stored in a tank illuminated by antibacterial, antifungal, UV radiation.
[00:48:01.189 --> 00:48:01.731]  UV light.
[00:48:01.751 --> 00:48:04.939]  I'd like to give you technically what it is.
[00:48:04.959 --> 00:48:06.243]  Nutritive.
[00:48:06.323 --> 00:48:07.466]  Blasting any impurities.
[00:48:08.129 --> 00:48:09.610]  Also SurvivalSeedBank.com
[00:48:38.389 --> 00:48:46.994]  And then in closing for this hour... Man, I'm fired up!
[00:48:47.955 --> 00:48:52.517]  This is what happens when I start making myself go to bed at 11 or 12 at night instead of 2 or 3 in the morning.
[00:48:52.958 --> 00:48:54.158]  And what happens when I start jogging?
[00:48:55.719 --> 00:49:00.242]  That's why it's almost good to not be... My testosterone starts boosting, folks.
[00:49:01.462 --> 00:49:09.686]  I get pretty fired up on air, as I'm naturally just hired in a kite, especially when I'm fighting tyranny and focusing in on the effect we're having on what we're doing.
[00:49:10.926 --> 00:49:11.406]  Listen to me.
[00:49:13.067 --> 00:49:16.809]  We can defeat the New World Order, and just look at the Obama deception.
[00:49:17.209 --> 00:49:23.092]  More than 15 million views, last time I counted it up a week and a half ago, for free on Google and YouTube and everywhere else.
[00:49:23.132 --> 00:49:25.333]  There's one YouTube with a million and a half views that's the best.
[00:49:25.353 --> 00:49:27.874]  It says, Obama deception, high quality.
[00:49:28.234 --> 00:49:33.256]  But why not have the DVD in the very highest quality?
[00:49:33.476 --> 00:49:35.417]  Why not have it and make copies of it?
[00:49:35.457 --> 00:49:38.498]  You know the power of the people being turned loose.
[00:49:38.538 --> 00:49:46.081]  We can beat these bastards if you just believe in history and take action and get a DVD duplicator and buy at least a hundred or two hundred.
[00:49:46.901 --> 00:49:53.204]  blank DVDs and just savagely make copies and give them to people and know that it will shatter the left-right paradigm.
[00:49:53.444 --> 00:49:59.446]  It will show them how both parties are controlled and they won't be able to keep the people divided and confused in the left-right system.
[00:49:59.526 --> 00:50:03.307]  You shatter that, we're very close to defeating these people.
[00:50:03.568 --> 00:50:06.309]  It's their divide and conquer that allows them to control us.
[00:50:06.349 --> 00:50:11.031]  So again, InfoWars.com to order the DVD or all the other great books and films and materials that are there.
[00:50:11.371 --> 00:50:14.332]  Check out all the new t-shirts we've got that are great for tea parties and events.
[00:50:15.192 --> 00:50:15.933]  You are listening to GCN.
[00:50:44.395 --> 00:50:47.818]  Visit GCNlive.com today.
[00:50:49.439 --> 00:50:50.039]  Hello, friends.
[00:50:50.079 --> 00:50:51.020]  This is Alex Jones.
[00:50:51.140 --> 00:50:55.763]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:50:55.883 --> 00:50:58.645]  We need to be independent, and food and water is the key.
[00:50:58.845 --> 00:51:01.728]  You'll never have to stand in a bread line if you have your own bread.
[00:51:01.888 --> 00:51:07.752]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:51:07.952 --> 00:51:10.954]  No one is going to take care of your family in the final equation but you.
[00:51:11.195 --> 00:51:18.120]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:51:18.200 --> 00:51:21.323]  And they do it at almost half the cost of last year's grocery prices.
[00:51:21.483 --> 00:51:23.024]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com.
[00:51:26.607 --> 00:51:32.692]  Visit efoodsdirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[00:51:32.872 --> 00:51:36.194]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:51:36.234 --> 00:51:37.335]  Again, 800-409-5633, or on the web at efoodsdirect.com.
[00:51:37.355 --> 00:51:38.036]  Take action today.
[00:51:38.056 --> 00:51:39.557]  The first step is getting storable food.
[00:51:52.245 --> 00:51:54.167]  Waging war on corruption.
[00:51:54.647 --> 00:51:57.509]  Alex Jones on the GCN Radio Network.
[00:52:03.854 --> 00:52:04.515]  Big Brother.
[00:52:05.175 --> 00:52:06.236]  Mainstream media.
[00:52:06.937 --> 00:52:08.117]  Government cover-ups.
[00:52:08.698 --> 00:52:09.539]  You want answers?
[00:52:10.279 --> 00:52:11.240]  Well, so does he.
[00:52:11.840 --> 00:52:15.423]  He's Alex Jones on the GCN Radio Network.
[00:52:16.024 --> 00:52:20.087]  And now, live from Austin, Texas, Alex Jones.
[00:52:21.602 --> 00:52:27.170]  Alright, Steve Quayle has a lot of military and police sources, but what he's about to tell you is already confirmed.
[00:52:27.230 --> 00:52:33.999]  Maryland and California papers reported regular army was spying on the tea parties all over the country.
[00:52:35.250 --> 00:52:37.431]  The FBI was out there putting people in databases.
[00:52:37.451 --> 00:52:43.152]  They're even announcing this on the news to create a chilling effect so you think you're not allowed to protest or demonstrate.
[00:52:43.212 --> 00:52:43.812]  It doesn't matter.
[00:52:43.852 --> 00:52:44.812]  Get past the fear.
[00:52:45.172 --> 00:52:46.053]  We're the majority.
[00:52:46.093 --> 00:52:51.794]  If they get us to cower and act all... You know, that's when the Berlin Wall finally fell and folks just didn't care anymore.
[00:52:52.554 --> 00:52:59.176]  We can do this, but this is a cowing, a psi-op, calling the troops terrorists, uh, you know, uh...
[00:53:00.117 --> 00:53:03.438]  Canada Free Press is reporting an FBI spy on Tea Party Americans.
[00:53:04.218 --> 00:53:09.740]  We've posted reports as well about the Army doing this up on PrisonPlanet.com and InfoWars.com.
[00:53:10.000 --> 00:53:12.381]  We're going to get into that and so much more for the next hour.
[00:53:12.681 --> 00:53:14.002]  Then Gerald Cilente joins us.
[00:53:14.342 --> 00:53:16.302]  Steve Quayle from SteveQuayle.com.
[00:53:16.562 --> 00:53:18.303]  We'll get his website up on screen as well.
[00:53:18.323 --> 00:53:20.904]  We're simulcasting at PrisonPlanet.tv.
[00:53:21.244 --> 00:53:25.345]  Steve Quayle, it was a powerful show we did last Thursday on your show.
[00:53:25.385 --> 00:53:26.046]  Thanks for having me.
[00:53:26.286 --> 00:53:27.046]  It's good to have you here.
[00:53:27.651 --> 00:53:35.616]  Well, Alex, I think the synergy that was present on the show that you did with me was the one that had to get as much information in the shortest amount of time out.
[00:53:35.656 --> 00:53:51.485]  Because, again, what you have done and what I'm trying to do, and together we're doing it, is giving different sources and combining our sources and our intel-gathering abilities and presenting, I'd say, the most realistic picture to the people that they could ever hope for.
[00:53:51.505 --> 00:53:57.089]  And if they listen to mainstream news, Alex, I'm telling them they're already mind-controlled dead zombies.
[00:53:57.689 --> 00:54:02.632]  Because the mainstream news is nothing more than the mouthpiece of the Illuminati.
[00:54:02.672 --> 00:54:06.375]  And let me go to immediately the story of the FBI spying on the Tea Party Americans.
[00:54:06.975 --> 00:54:17.142]  What most people don't understand is that there's compartmentalized intelligence within all of the areas of the military and all of the national security agencies and their offshoots.
[00:54:17.302 --> 00:54:24.407]  And even to some extent, obviously, the FBI has compartmentalizers, special compartmentalized intelligence.
[00:54:24.907 --> 00:54:40.204]  What happened is a directive went out to the 56 special agents in charge across the country to basically film and to put into the database in Washington, and we'll talk about the restricted access to that database in a moment.
[00:54:40.584 --> 00:54:43.066]  But everybody is basically being targeted.
[00:54:43.106 --> 00:54:47.430]  In other words, the Obama administration is going to quell all First Amendment rights.
[00:54:47.830 --> 00:54:56.837]  I've been told by my sources deep inside that the entire, if you will, patriot movement is to be categorized, is to be cataloged.
[00:54:56.857 --> 00:54:57.798]  And we've known this, Alex.
[00:54:57.838 --> 00:54:58.798]  We've told people this.
[00:54:59.119 --> 00:54:59.939]  But they don't believe us.
[00:55:00.019 --> 00:55:02.982]  Now it's basically mainstream news.
[00:55:03.662 --> 00:55:07.525]  And police should know, they've been categorized, they don't just say troops.
[00:55:07.926 --> 00:55:16.773]  In the more internal documents that I've talked to sources and you don't have to see, but they're so classified, you know, we can't even bring them out here because that's the agreement with sources.
[00:55:17.353 --> 00:55:18.895]  They're classifying police.
[00:55:18.915 --> 00:55:25.620]  I mean, don't just think for a minute they're saying number one threat is veterans and gun owners and leaving cops out that aren't going to play along with this.
[00:55:25.680 --> 00:55:30.704]  When the Soviet takeover, Nazi takeover happens, they always have purges of the military and police.
[00:55:30.744 --> 00:55:31.105]  Go ahead.
[00:55:31.665 --> 00:55:43.252]  Absolutely, and I want to make it clear, the police and all corresponding people that go along with the purges of the people that were listed by Janet Napolitano are absolutely, they're the blue list.
[00:55:43.272 --> 00:55:44.172]  They get taken out.
[00:55:44.212 --> 00:55:50.676]  That means liquidated, exterminated within 30 to 60 days after helping the powers that be, the New World Order people, to go after us.
[00:55:50.716 --> 00:55:52.697]  Now let me read something because this is important, Alex.
[00:55:52.717 --> 00:55:54.078]  This is really critical, okay?
[00:55:55.330 --> 00:56:00.014]  The information that was collected by the special agents in charge was submitted to Washington.
[00:56:00.054 --> 00:56:02.477]  We're at the level of the National Security Branch.
[00:56:02.517 --> 00:56:14.147]  This information was to include the Office of the Director of Intelligence, the DI, and integrated with a restricted access database, one that reportedly is accessible by only two agencies of the 14 agencies that comprise the U.S.
[00:56:14.207 --> 00:56:16.009]  intelligence community, according to the source.
[00:56:16.744 --> 00:56:22.067]  Over the years, when I have talked about the red and blue list, people always say, well, I want a copy of the list.
[00:56:22.107 --> 00:56:27.210]  Well, it's probably some of the most controlled information or data out there.
[00:56:27.230 --> 00:56:33.574]  It even goes on to say that not all special agents in charge, they weren't to inform everybody within their department.
[00:56:33.594 --> 00:56:42.320]  So this was a national security-directed, intel-gathering event to put into the database to basically come after everybody.
[00:56:42.940 --> 00:56:44.941]  Steve Quill dot com, InfoWars dot com.
[00:56:44.981 --> 00:56:45.862]  Steve, stay there.
[00:56:46.783 --> 00:56:47.644]  We'll be right back.
[00:56:47.964 --> 00:56:52.547]  They're attempting to have a punch, a takeover of the United States.
[00:56:53.248 --> 00:56:54.769]  Then they will kill at least half the country.
[00:56:55.069 --> 00:56:55.910]  Will they get away with it?
[00:56:59.793 --> 00:57:00.333]  You worry.
[00:57:00.693 --> 00:57:02.434]  You see the signs and worry about the future.
[00:57:02.775 --> 00:57:04.996]  You worry about economic turmoil and food shortages.
[00:57:05.417 --> 00:57:07.198]  How to be prepared while preserving your sanity.
[00:57:11.059 --> 00:57:17.607]  Isolated from civilization, she knows that as long as the sun shines, there will be plenty of free food all over God's green earth.
[00:57:17.968 --> 00:57:21.292]  Perhaps the only sane insurance is knowledge of wild edible plants.
[00:57:21.933 --> 00:57:23.274]  The cost of learning is minimal.
[00:57:23.635 --> 00:57:26.238]  Wild food grows everywhere and you will see it everywhere.
[00:57:26.538 --> 00:57:29.482]  It's every bit organic and more nutritious than our modern diets.
[00:57:29.983 --> 00:57:38.149]  Well respected in her field, Linda's approach to teaching this subject includes books, flashcards, and video with an emphasis on health, safety, practicality, and joy.
[00:57:38.630 --> 00:57:43.013]  Learn how to identify it, where and when to find it, how to prepare, use, and store it.
[00:57:43.433 --> 00:57:47.136]  Go to Linda's website, ofthefield.com, and take advantage of special offers.
[00:57:47.456 --> 00:57:51.459]  Or if you're not online, call her 24-hour, toll-free order line at 888-51-EAT-FREE.
[00:57:51.479 --> 00:57:52.840]  That number again, 888-51-EAT-FREE.
[00:57:52.860 --> 00:57:54.582]  A little knowledge makes starvation impossible.
[00:58:00.049 --> 00:58:05.278]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:58:06.085 --> 00:58:11.429]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:58:11.969 --> 00:58:18.154]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:58:18.454 --> 00:58:20.275]  Well, Obama's already fudging.
[00:58:20.435 --> 00:58:22.817]  He's fudged since day one of this election.
[00:58:22.897 --> 00:58:33.765]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:58:36.073 --> 00:58:37.313]  It's not about left or right.
[00:58:37.733 --> 00:58:39.134]  It's about a one world government.
[00:58:39.594 --> 00:58:45.955]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:58:46.495 --> 00:58:54.277]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:58:54.757 --> 00:58:55.918]  The Obama Deception.
[00:58:56.338 --> 00:58:57.518]  The people strike back.
[00:58:59.344 --> 00:59:06.311]  You already know that drinking pure high alkaline pH water is the most important factor in maintaining high energy and vibrant health.
[00:59:06.551 --> 00:59:10.855]  Most experts agree that the water you drink should be at a pH level of 8 or higher.
[00:59:11.116 --> 00:59:16.220]  AlkaVision Plasma pH Drops combine a unique formula of the most alkaline ingredients.
[00:59:16.721 --> 00:59:23.788]  Using Plasma pH Drops is one of the best ways to make your water alkaline, to help you get rid of acid and regain your health and energy.
[00:59:24.248 --> 00:59:29.194]  Simply put, 10 drops per liter of water you drink to raise the pH to the ultimate level.
[00:59:29.635 --> 00:59:35.082]  Alkalizing water helps your body rid itself of acidic waste and increases the oxygen content of your body.
[00:59:35.502 --> 00:59:40.949]  Disease organisms like bacteria and cancer cannot survive in an alkaline, high pH environment.
[00:59:41.269 --> 00:59:46.972]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to AlkaVision.com.
[00:59:47.212 --> 00:59:49.714]  That's A-L-K-A Vision dot com.
[00:59:49.994 --> 00:59:50.794]  Or by calling 269-216-9767.
[00:59:50.814 --> 00:59:51.154]  269-216-9767 today!
[00:59:51.194 --> 00:59:53.095]  He's the T-Rex of political talk.
[00:59:53.115 --> 00:59:54.656]  Alex Jones on the GCN Radio Network.
[01:00:12.830 --> 01:00:15.535]  Okay, some stations don't hear that first five minutes.
[01:00:15.555 --> 01:00:20.704]  Steve Quayle, recap who you are, what you do for... I've got a lot of new affiliates lately.
[01:00:20.724 --> 01:00:21.846]  Some folks may not know who you are.
[01:00:21.866 --> 01:00:25.211]  Um, just like a lot of folks don't know who I am when I'm on your show.
[01:00:27.062 --> 01:00:28.262]  Tell us a little bit about yourself.
[01:00:28.302 --> 01:00:36.865]  The intel you've got integrates a hundred percent everything you were saying when I was on your show last Thursday was clicking and making connections and we've got all the pieces of the puzzle.
[01:00:37.586 --> 01:00:45.308]  We know it's classic tyranny but the most virulent form ever and we know it's a fast-growing viral infection of tyranny.
[01:00:45.689 --> 01:00:52.051]  We know this is the virulent signature or wavelength or type
[01:00:54.152 --> 01:01:05.522]  I mean, no doubt, this is... Folks, when I get up here and I tell you, they're going to set up a Bank of the World with world carbon taxes on everything you do and ban fireplaces.
[01:01:05.642 --> 01:01:07.184]  It's already happening in many states.
[01:01:08.505 --> 01:01:09.866]  All I'm doing is reading their documents.
[01:01:10.426 --> 01:01:13.849]  You have to understand, these are the people that funded Stalin, Hitler, Mao, Pol Pot.
[01:01:14.670 --> 01:01:15.991]  They are vicious.
[01:01:17.307 --> 01:01:24.831]  Okay, and we have always been who they want to take down, and they want to do a Ukrainian-type takedown of this nation.
[01:01:24.871 --> 01:01:26.152]  Steve Quayle, you've got the floor.
[01:01:27.933 --> 01:01:28.493]  You've got the floor.
[01:01:28.513 --> 01:01:29.314]  I'm going to just sit back.
[01:01:29.354 --> 01:01:29.494]  Go.
[01:01:30.492 --> 01:01:34.994]  Well, the idea is that you nailed it so correctly, Alex.
[01:01:35.034 --> 01:01:38.836]  This is a slaughter in the preparation mode, okay?
[01:01:39.356 --> 01:01:45.259]  And we've got to basically make as many duplicates of copies of your videos and get them out to everybody.
[01:01:45.299 --> 01:01:47.780]  But here's the thing I think that people need to understand.
[01:01:48.300 --> 01:01:58.585]  While there is yet a whisper of time to make a difference, you've got to seriously write your Senators, Congresswomen, scream at the top of your lungs, write editorials, get on talk shows, and demand
[01:01:59.165 --> 01:01:59.465]  Yeah, I
[01:02:19.138 --> 01:02:19.718]  We're good to go.
[01:02:46.983 --> 01:02:52.726]  I'm getting half a dozen emails a day from people all around the world that listen to you, listen to I would that people put us up on YouTube.
[01:02:52.766 --> 01:02:53.586]  You're up on YouTube.
[01:02:53.606 --> 01:02:54.326]  I'm up on YouTube.
[01:02:54.666 --> 01:03:06.792]  But the deal is is that people have got to understand this is when you've drawn the attention of the world's population to the occult nature of the Illuminati and the Bohemian Grove and everything.
