[00:00:00.369 --> 00:00:06.454]  We are changed.
[00:41:58.478 --> 00:42:01.259]  But I mean, he just runs up and shows an empty train.
[00:42:02.259 --> 00:42:05.300]  And then Glenn Beck will show this and say, we made it up.
[00:42:06.485 --> 00:42:07.686]  And that's how the video ends.
[00:42:07.986 --> 00:42:12.929]  So this is how the hysteria and the insaneness to where people don't know what's true anymore.
[00:42:12.969 --> 00:42:13.989]  Can you guys play without the audio?
[00:42:14.009 --> 00:42:17.191]  I just want folks to see the proof.
[00:42:17.231 --> 00:42:20.013]  I mean, what does this have to do with bird flu and silos?
[00:42:28.376 --> 00:42:29.637]  And it goes on and on.
[00:42:29.658 --> 00:42:33.542]  I mean, this is the footage shot Blair Witch style on purpose.
[00:42:34.303 --> 00:42:36.405]  Water all over the lens.
[00:42:36.646 --> 00:42:37.747]  This is a psyop, folks.
[00:42:39.609 --> 00:42:41.812]  And then he runs up into a train.
[00:42:43.734 --> 00:42:48.059]  And it's a Union Pacific train just sitting there waiting to go to a factory to be loaded.
[00:42:49.827 --> 00:42:55.231]  I mean, you know, but... Meanwhile, we've got all the real stuff going on in plain view and nobody cares.
[00:42:55.251 --> 00:42:56.972]  Gardeners, you have the seeds.
[00:42:57.213 --> 00:42:59.494]  Now let us help you create the ultimate garden.
[00:42:59.674 --> 00:43:02.917]  And whether or not you've got good soil, we've got just the solution.
[00:43:03.177 --> 00:43:07.500]  Add Grand Liquid Organic Fertilizer at liquidorganicfertilizer.com.
[00:43:07.680 --> 00:43:10.883]  Restore life to your soil or apply directly to the crop.
[00:43:11.043 --> 00:43:12.764]  Visit liquidorganicfertilizer.com.
[00:43:13.905 --> 00:43:14.205]  I think so.
[00:43:33.803 --> 00:43:34.263]  Call 1-800-579-0580.
[00:43:34.404 --> 00:43:38.187]  That's 1-800-579-0580.
[00:43:39.908 --> 00:43:42.830]  Or visit liquidorganicfertilizer.com.
[00:43:43.091 --> 00:43:47.314]  Enhance and protect your garden now with natural organic fertilizer.
[00:43:47.594 --> 00:43:50.116]  Low cost and increases hay yields too.
[00:43:50.376 --> 00:43:53.078]  That's liquidorganicfertilizer.com.
[00:43:53.239 --> 00:43:54.460]  For sale in Canada too.
[00:43:55.801 --> 00:44:01.025]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:44:01.807 --> 00:44:07.149]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:44:07.690 --> 00:44:13.892]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:44:14.092 --> 00:44:15.993]  Well, Obama's already fudging.
[00:44:16.153 --> 00:44:18.534]  He's fudged since day one of this election.
[00:44:18.614 --> 00:44:29.499]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:44:31.804 --> 00:44:33.045]  It's not about left or right.
[00:44:33.465 --> 00:44:34.866]  It's about a one world government.
[00:44:35.326 --> 00:44:41.669]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:44:42.229 --> 00:44:50.013]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:44:50.493 --> 00:44:51.654]  The Obama Deception.
[00:44:52.074 --> 00:44:53.255]  The people strike back.
[00:44:55.387 --> 00:44:57.227]  Heart disease is on the rise.
[00:44:57.367 --> 00:45:02.549]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:45:02.729 --> 00:45:04.049]  But the symptoms are there.
[00:45:04.329 --> 00:45:12.491]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:45:12.711 --> 00:45:18.432]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:45:18.612 --> 00:45:20.413]  My blood pressure has normalized.
[00:45:20.453 --> 00:45:22.614]  My diabetes has totally improved.
[00:45:22.634 --> 00:45:27.016]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:45:27.176 --> 00:45:29.297]  I recommend Heart and Body Extract to everyone.
[00:45:29.397 --> 00:45:37.221]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:45:37.381 --> 00:45:40.183]  Earlier in the show, I mentioned how Newsweek reported that Russians
[00:46:06.368 --> 00:46:13.991]  We're in Waco with a quote, white noise machine and some subliminal machine, some mind control system.
[00:46:14.931 --> 00:46:18.993]  And then Tim, who works here in the office, comes back and goes, look what we just got in the mail.
[00:46:19.813 --> 00:46:20.713]  I had this years ago.
[00:46:21.133 --> 00:46:22.034]  This is from 1994.
[00:46:22.674 --> 00:46:25.135]  Beyond Prozac is the cover story.
[00:46:26.656 --> 00:46:30.840]  And February 7th, 1994, and it talks about the Russians and mind control.
[00:46:30.860 --> 00:46:35.865]  The techniques used include transmissions that could have convinced Koresh he was hearing the voice of God inside his head.
[00:46:36.406 --> 00:46:39.308]  The Air Force offered a top secret non-lethal system, and it goes on.
[00:46:42.051 --> 00:46:44.634]  And it describes it on a bunch of the pages in here.
[00:46:46.956 --> 00:46:47.937]  So this is interesting.
[00:46:47.957 --> 00:46:50.960]  I want to thank the listener that sent us this.
[00:46:52.312 --> 00:46:54.152]  Because I had that years ago and lost it.
[00:46:54.513 --> 00:46:55.793]  Now it goes back into the pile.
[00:46:56.393 --> 00:47:04.075]  But, uh, look, I don't like policing what people say and do here on air.
[00:47:04.475 --> 00:47:09.996]  It's just when I get hundreds and hundreds of emails and phone calls going, oh my God, run to the hills, they're releasing bird flu.
[00:47:12.117 --> 00:47:14.057]  I go, wait a minute.
[00:47:14.237 --> 00:47:15.798]  You might want to run to the hills.
[00:47:15.858 --> 00:47:19.278]  I mean, I've actually thought about moving to the country because stuff's getting so crazy.
[00:47:19.459 --> 00:47:21.199]  In the event something like this happens,
[00:47:23.567 --> 00:47:29.409]  Because... I mean, they are shipping bird flu around the world.
[00:47:29.489 --> 00:47:31.309]  They are shooting people up with it.
[00:47:31.349 --> 00:47:32.450]  People are dying!
[00:47:32.890 --> 00:47:34.190]  And that's mainstream news!
[00:47:34.230 --> 00:47:40.012]  And then I post mainstream news and then people... the news calls me bad for even reporting on it.
[00:47:41.252 --> 00:47:46.094]  So I understand why people are freaking out and thinking everything is bird flu being shipped around to kill them.
[00:47:47.495 --> 00:47:57.680]  I just never understand why the craziest stuff and the most uncredible stuff is what's put to the forefront instead of all the serious stuff.
[00:47:58.740 --> 00:48:00.461]  And that's what we cover here, it's what can be proven.
[00:48:01.041 --> 00:48:07.204]  But again, I don't blame people, Not For Respect and others, for posting this and asking because
[00:48:09.053 --> 00:48:14.056]  When you've got a government this corrupt, this evil, this bad, who's been caught doing these things over and over again.
[00:48:14.076 --> 00:48:16.778]  I mean, I'll use one example of literally thousands.
[00:48:16.838 --> 00:48:18.760]  We put some of these examples in my film, Endgame.
[00:48:19.040 --> 00:48:21.141]  You know, all mainstream government documents, mainstream news.
[00:48:21.582 --> 00:48:22.282]  Imagine the U.S.
[00:48:22.322 --> 00:48:30.628]  government taking 4,000 plus foster children and putting them in radiation chambers and flipping a switch and killing them just to test radiation.
[00:48:32.315 --> 00:48:35.858]  And some of them they gave him a dose that killed him in a month, some of them gave him doses that killed him in an hour.
[00:48:35.878 --> 00:48:42.042]  You know, the reports would be the child cried and bled from every orifice for one week and then died.
[00:48:42.062 --> 00:48:47.467]  I mean, they'd have film cameras filming, you know, the sores coming up, the teeth falling out, the blood.
[00:48:47.487 --> 00:48:49.108]  I mean, this is zombie stuff!
[00:48:49.128 --> 00:49:00.576]  Picture the kids being radiated and then the doctors having them, you know, chained down watching how they die or giving pregnant GIs, wives, uranium and plutonium pills.
[00:49:01.377 --> 00:49:05.720]  And saying this is vitamins and then have film cameras there when they had the miscarriage to see what it would do.
[00:49:06.100 --> 00:49:07.701]  This is all Joseph Mingala stuff.
[00:49:07.741 --> 00:49:10.983]  So, do I think they can be shipping bird flu around and doing all this?
[00:49:11.103 --> 00:49:12.244]  Well, yeah, I know they are!
[00:49:12.664 --> 00:49:15.226]  FedEx trucks crash and it dumps out all over the street!
[00:49:15.246 --> 00:49:17.928]  In fact, Google, uh...
[00:49:19.261 --> 00:49:22.203]  Car crash, bird flu, or truck crashes with bird flu.
[00:49:22.223 --> 00:49:23.243]  That was like four years ago.
[00:49:23.264 --> 00:49:24.604]  It made the news.
[00:49:25.265 --> 00:49:31.629]  But instead it's all this, I can't tell you, silos, missiles, iced, they pay them in cash.
[00:49:31.649 --> 00:49:32.549]  That's not how the government does it.
[00:49:32.569 --> 00:49:34.571]  They all do it nonchalant.
[00:49:34.751 --> 00:49:36.031]  It's government trucks doing that.
[00:49:36.412 --> 00:49:41.595]  Or if it's research facilities shipping bird flu out to hundreds of universities and institutions, it's done by FedEx.
[00:49:43.916 --> 00:49:44.717]  Which is crazy.
[00:49:46.687 --> 00:49:49.549]  And so I just ask people, stick with what you can prove.
[00:49:50.870 --> 00:49:57.755]  Please, get it out to people that they're shipping out bird flu all over the place and shooting people up with it.
[00:49:58.996 --> 00:50:03.059]  I mean, this isn't something that's speculative.
[00:50:03.099 --> 00:50:03.979]  This is proven.
[00:50:04.019 --> 00:50:05.080]  This is documented.
[00:50:05.440 --> 00:50:06.401]  This is admitted.
[00:50:06.421 --> 00:50:11.445]  Alright, I'm going to come back and do five focused minutes.
[00:50:11.885 --> 00:50:14.407]  I should have spent all day on this, but I got sidetracked.
[00:50:16.861 --> 00:50:20.523]  On the latest, this isn't a federally written report at the state level.
[00:50:20.724 --> 00:50:23.085]  This is an internal Homeland Security document.
[00:50:23.565 --> 00:50:25.567]  Up on InfoWars.com, gun owners are terrorists.
[00:50:25.847 --> 00:50:27.748]  Then we got Naomi Wolf coming up and then Joe Bannister.
[00:50:29.049 --> 00:50:29.769]  This is key.
[00:50:30.890 --> 00:50:31.450]  This is key.
[00:50:31.590 --> 00:50:33.892]  But we had to cover the other thing because it's discrediting.
[00:50:36.433 --> 00:50:38.314]  You are listening to GCN.
[00:50:39.975 --> 00:50:41.817]  Visit GCNlive.com today.
[00:50:44.980 --> 00:50:46.562]  Hello friends, this is Alex Jones.
[00:50:46.662 --> 00:50:51.266]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:50:51.406 --> 00:50:54.169]  We need to be independent, and food and water is the key.
[00:50:54.369 --> 00:50:57.232]  You'll never have to stand in a bread line if you have your own bread.
[00:50:57.412 --> 00:51:03.318]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:51:03.498 --> 00:51:06.401]  No one is going to take care of your family in the final equation but you.
[00:51:06.721 --> 00:51:13.628]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:51:13.728 --> 00:51:16.691]  And they do it at almost half the cost of last year's grocery prices.
[00:51:16.711 --> 00:51:17.952]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com
[00:51:22.136 --> 00:51:28.222]  Visit efoodsdirect.com and look over the fine list of high-quality, freeze-dried, and dehydrated foods they have to offer.
[00:51:28.402 --> 00:51:32.145]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:51:32.165 --> 00:51:33.486]  Again, 800-409-5633, or on the web at efoodsdirect.com.
[00:51:33.526 --> 00:51:34.127]  Take action today.
[00:51:34.147 --> 00:51:36.129]  The first step is getting storable food.
[00:51:47.788 --> 00:51:49.709]  Waging war on corruption.
[00:51:50.190 --> 00:51:53.092]  Alex Jones on the GCN Radio Network.
[00:51:59.596 --> 00:52:00.256]  Big Brother.
[00:52:00.897 --> 00:52:01.978]  Mainstream media.
[00:52:02.678 --> 00:52:03.879]  Government cover-ups.
[00:52:04.439 --> 00:52:05.260]  You want answers?
[00:52:06.000 --> 00:52:07.501]  Well, so does he.
[00:52:07.561 --> 00:52:11.224]  He's Alex Jones on the GCN Radio Network.
[00:52:11.744 --> 00:52:15.827]  And now, live from Austin, Texas, Alex Jones.
[00:52:17.944 --> 00:52:29.749]  Okay, I'm going to bring this up to Joe Bannister, coming up later, former Treasury officer in enforcement, because he's been listed in MIAC reports and others.
[00:52:30.610 --> 00:52:33.351]  They also list mainline libertarian groups as terrorists.
[00:52:33.371 --> 00:52:40.214]  So we'll cover this more in the last hour today when Joe Bannister joins us to talk about the IRS and a lot of other issues.
[00:52:40.554 --> 00:52:42.655]  Naomi Wolf's coming up, but right now I'm going to get into it.
[00:52:43.968 --> 00:52:53.234]  Unclassified for official use only, right-wing extremism, current economic and political climate, fueling resurgence in radicalization and recruitment.
[00:52:54.535 --> 00:52:57.937]  And this story is up on Infowars.com, a story written by Curt Nemo.
[00:52:58.297 --> 00:53:11.386]  I called the FBI, I called the different organizations that are here in the document, the NICC, the National Information Coordinating Center,
[00:53:13.058 --> 00:53:14.259]  I called them and confirmed it.
[00:53:14.279 --> 00:53:18.122]  You can call the phone numbers on here if you'd like to talk to the FBI and others.
[00:53:18.182 --> 00:53:19.603]  You are certainly welcome to this show.
[00:53:20.343 --> 00:53:22.244]  And what does the document say?
[00:53:24.906 --> 00:53:26.187]  That's not my marked copy.
[00:53:26.227 --> 00:53:27.208]  Here's my marked copy.
[00:53:29.329 --> 00:53:34.473]  They were pulling these copies down off the web last night before we got it put on our server, so I had a couple copies printed.
[00:53:35.623 --> 00:53:44.168]  Okay, it says the same exact wording that are on the state documents written by the feds about this is secret, you can't release it, and any cops that release it will get in big trouble.
[00:53:45.649 --> 00:53:56.516]  This is section U, key findings, the economic downturn in the election of the first African-American president, present unique drivers for right-wing radicalization and recruitment, so they imply everybody's racist.
[00:53:57.780 --> 00:54:07.349]  Uh, it says, uh, right-wing extremists have capitalized on the election of the first American president and are focusing their efforts on to recruit new members, mobilize existing supporters.
[00:54:07.409 --> 00:54:08.930]  Well, yeah, you're supposed to do that in America.
[00:54:09.270 --> 00:54:10.291]  And mobilize against tyranny.
[00:54:10.912 --> 00:54:13.254]  And broaden their scope and appeal through propaganda.
[00:54:13.754 --> 00:54:16.456]  But they have not yet turned to their attack plan.
[00:54:16.737 --> 00:54:18.558]  Then they go into listing mainline gun groups.
[00:54:18.598 --> 00:54:20.380]  We haven't yet turned to the attack plan.
[00:54:22.278 --> 00:54:25.661]  You haven't burned up any churches lately, Feds, huh?
[00:54:25.701 --> 00:54:35.491]  The possible passage of new restrictions on firearms and the return of militia veterans, military veterans, excuse me, facing significant challenges reintegrating into their communities.
[00:54:35.511 --> 00:54:36.932]  So it goes on to attack veterans.
[00:54:38.374 --> 00:54:38.814]  Big time.
[00:54:40.155 --> 00:54:41.477]  Here is page three.
[00:54:44.456 --> 00:54:57.903]  Proposed imposition of firearms restrictions, that's introduced bills, and weapons bans are attracting new members into the ranks of right-wing extremist groups, as well as potential spur some of them to begin planning and training for violence against the government.
[00:54:58.383 --> 00:55:11.549]  The high volume of purchases, now this is the key, the high volume of purchases and stockpiling of weapons and ammunition by right-wing extremists in anticipation of restrictions and bans in some parts of the country continue to be a primary concern to law enforcement.
[00:55:13.134 --> 00:55:16.316]  So their primary concern is the fact that you're buying guns and ammo.
[00:55:16.336 --> 00:55:19.359]  And they say later that everybody buying guns and ammo is basically a terrorist.
[00:55:22.321 --> 00:55:25.123]  Their primary concern to law enforcement is that you're buying guns and ammo.
[00:55:26.804 --> 00:55:34.830]  In addition, the historical election of an African-American president, the prospect of policy changes are providing to be a driving force for right-wing extremist recruitment and radicalization.
[00:55:35.051 --> 00:55:36.211]  And they go on to talk about terrorism.
[00:55:39.394 --> 00:55:41.596]  They say anti-government ideology is racist.
[00:55:42.284 --> 00:55:42.905]  Nothing to do with it.
[00:55:44.026 --> 00:55:46.848]  It goes on to say, exploiting economic downturn.
[00:55:47.089 --> 00:55:48.610]  The perceived loss of U.S.
[00:55:48.650 --> 00:55:53.354]  jobs in manufacturing and construction sectors and home foreclosures is anti-Semitic.
[00:55:53.955 --> 00:55:55.717]  So, I just quoted that.
[00:55:56.137 --> 00:56:01.242]  They say the perceived loss, and they're going to say it's propaganda, that we're lying about the economy and that we're terrorists.
[00:56:04.639 --> 00:56:06.801]  It goes on to say, historical presidential election.
[00:56:07.721 --> 00:56:13.005]  Social programs to non-minorities and firearms restrictions being the policies of Barack Obama.
[00:56:13.185 --> 00:56:16.367]  So they're saying, we're coming after your guns and the terrorists don't want that.
[00:56:16.407 --> 00:56:17.608]  The terrorists are buying guns and ammo.
[00:56:19.349 --> 00:56:25.553]  It goes on to say, economic hardship and extremism.
[00:56:26.134 --> 00:56:33.659]  It says, prominent anti-government conspiracy theorists have incorporated aspects of the impending economic collapse to intensify fear and paranoia.
[00:56:36.772 --> 00:56:38.393]  Says we're making up detention camps.
[00:56:40.015 --> 00:56:41.696]  In the MIAC, though, they admit they've built them.
[00:56:42.356 --> 00:56:44.538]  And then it gets into they may have to restrict free speech.
[00:56:44.558 --> 00:56:45.699]  We'll cover that when we come back.
[00:56:45.719 --> 00:56:47.461]  So, uh, stay with us.
[00:56:48.061 --> 00:56:50.203]  This is a federal document from the very top.
[00:56:55.219 --> 00:57:00.320]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins, or herbal supplements?
[00:57:00.600 --> 00:57:08.882]  Did you know that most skin creams, body lotions, shampoos, and toothpastes contain chemical additives such as sodium lauryl sulfate, the same type of detergent used in dish soap?
[00:57:09.162 --> 00:57:12.463]  Did you know that many multivitamin supplements are made from synthetic vitamins?
[00:57:12.743 --> 00:57:15.684]  Do your herbal remedies have unwanted additives and fillers?
[00:57:15.964 --> 00:57:18.085]  Have you ever tested your body's pH level?
[00:57:18.465 --> 00:57:21.165]  Make the change to organic health and beauty products.
[00:57:21.445 --> 00:57:24.186]  Visit tubienatural.com and order today!
[00:57:24.574 --> 00:57:33.478]  TwoBeNatural.com carries exclusive all-natural chemical-free skin care, hair care, whole food vitamins, herbal remedies, and alkaline body balance supplements.
[00:57:33.838 --> 00:57:35.739]  Visit TwoBeNatural.com.
[00:57:35.939 --> 00:57:38.540]  That's T-O-B-E-Natural.com.
[00:57:38.720 --> 00:57:40.301]  TwoBeNatural.com.
[00:57:40.621 --> 00:57:44.943]  Use coupon code radio for 15% discount and free alkaline food chart.
[00:57:45.203 --> 00:57:45.463]  Call 1-888-417-1375.
[00:57:45.483 --> 00:57:47.424]  That's 1-888-417-1375 to order or request your free catalog.
[00:57:47.525 --> 00:57:51.547]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:58:02.012 --> 00:58:07.354]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:58:07.875 --> 00:58:14.077]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:58:14.397 --> 00:58:16.198]  Well, Obama's already fudging.
[00:58:16.358 --> 00:58:18.739]  He's fudged since day one in this election.
[00:58:18.819 --> 00:58:29.704]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:58:32.012 --> 00:58:33.273]  It's not about left or right.
[00:58:33.674 --> 00:58:35.015]  It's about a one world government.
[00:58:35.536 --> 00:58:41.862]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:58:42.443 --> 00:58:50.210]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:58:50.711 --> 00:58:51.852]  The Obama Deception.
[00:58:52.272 --> 00:58:53.454]  The people strike back.
[00:58:55.211 --> 00:59:02.196]  You already know that drinking pure high alkaline pH water is the most important factor in maintaining high energy and vibrant health.
[00:59:02.436 --> 00:59:06.739]  Most experts agree that the water you drink should be at a pH level of 8 or higher.
[00:59:06.979 --> 00:59:12.102]  AlkaVision Plasma pH Drops combine a unique formula of the most alkaline ingredients.
[00:59:12.603 --> 00:59:19.707]  Using Plasma pH Drops is one of the best ways to make your water alkaline, to help you get rid of acid and regain your health and energy.
[00:59:20.128 --> 00:59:25.031]  Simply put 10 drops per liter of water you drink to raise the pH to the ultimate level.
[00:59:25.511 --> 00:59:30.953]  Alkalizing water helps your body rid itself of acidic waste and increases the oxygen content of your body.
[00:59:31.353 --> 00:59:36.854]  Disease organisms like bacteria and cancer cannot survive in an alkaline, high pH environment.
[00:59:37.134 --> 00:59:42.856]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to AlkaVision.com.
[00:59:43.096 --> 00:59:45.597]  That's A-L-K-A Vision dot com.
[00:59:45.877 --> 00:59:46.577]  Or by calling 269-216-9767.
[00:59:46.597 --> 00:59:46.777]  269-216-9767 today!
[00:59:55.613 --> 01:00:01.215]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[01:00:13.178 --> 01:00:21.260]  Okay, coming up here in about three minutes, we have best-selling author and the new filmmaker who made the documentary, The End of America.
[01:00:22.762 --> 01:00:23.823]  Two DVD set.
[01:00:23.863 --> 01:00:29.325]  Naomi Wolf is the author of seven books, including the New York Times bestseller, The Beauty Myth, The End of America, and Give Me Liberty.
[01:00:29.805 --> 01:00:37.649]  She has toured the speaking world to audiences of all walks of life in gender, equity, social justice, and most recently, the defense of liberty in America internationally.
[01:00:38.089 --> 01:00:43.813]  He's a co-founder of the Woodhull Institute for Ethical Leadership, who teaches ethics and empowerment of young women leaders.
[01:00:44.374 --> 01:00:44.934]  And it goes on.
[01:00:44.954 --> 01:00:46.375]  She really doesn't need any introduction.
[01:00:46.395 --> 01:00:48.397]  That's coming up here in just a few minutes.
[01:00:48.937 --> 01:00:52.900]  I've got to finish this, and I'm going to get more into it with Joe Bannister coming up in the next hour.
[01:00:52.920 --> 01:00:58.064]  I've got this newest secret federal document that I call the FBI, confirmed as theirs.
[01:00:59.728 --> 01:01:08.410]  And it goes on to basically say, if you don't want to hand your guns in, you don't like what the banks are doing to you, you don't like Barack Obama, it's because he's black.
[01:01:08.450 --> 01:01:09.090]  You're racist.
[01:01:09.830 --> 01:01:12.870]  And that gun owners buying ammo and guns are terrorists.
[01:01:12.930 --> 01:01:17.011]  It says that these are terrorists and that our number one threat is the American people.
[01:01:17.031 --> 01:01:19.392]  So here they are saying, your gun owners are terrorists.
[01:01:20.312 --> 01:01:25.833]  Debates over appropriate legislation levels and enforcement policy generally fall in the realm of protected political speech.
[01:01:26.033 --> 01:01:26.493]  Generally.
[01:01:27.276 --> 01:01:28.117]  Under the First Amendment.
[01:01:28.317 --> 01:01:34.981]  But in some cases, anti-immigration or strident pro-enforcement fervor has been directed against specific groups and has the potential to turn violent.
[01:01:35.321 --> 01:01:41.506]  That means when the illegal aliens, on hundreds of videos I've seen, beat up old ladies with two-by-fours, then they arrest the old ladies.
[01:01:41.526 --> 01:01:42.706]  And you can Google those videos.
[01:01:43.047 --> 01:01:46.289]  The illegal aliens... Well, it's in my film, Endgame.
[01:01:46.789 --> 01:01:56.755]  We have a little bonus 17-minute film, Battle for the Republic, and it shows illegal aliens blocking traffic without a permit, and a guy, you know, is waving his hand out of the car saying, ah, shut up.
[01:01:57.095 --> 01:02:01.518]  The cops come over, knock his teeth out, bloody his face, and the illegals come over and celebrate with him.
[01:02:01.778 --> 01:02:05.540]  The officers celebrate the death of freedom, and this is how the tyranny works.
[01:02:05.640 --> 01:02:07.161]  So that's in my film.
[01:02:07.741 --> 01:02:10.003]  In fact, Google Battle for the Republic.
[01:02:10.843 --> 01:02:13.285]  And, uh, Alex Jones, Battle for the Republic.
[01:02:13.325 --> 01:02:14.406]  It's an extra from Endgame.
[01:02:14.426 --> 01:02:15.026]  It's all over the web.
[01:02:15.687 --> 01:02:19.670]  And, uh, just while we're talking to Naomi, let's just play the video.
[01:02:20.620 --> 01:02:23.821]  Of the cops and illegals beating up citizens that dare do anything.
[01:02:24.661 --> 01:02:25.522]  So that's coming up.
[01:02:25.942 --> 01:02:29.463]  And then it says legislative and judicial drivers, they admit they've introduced gun bans.
[01:02:29.743 --> 01:02:33.004]  They say when they ban the guns, the American terrorist gun owner will fight back.
[01:02:33.404 --> 01:02:34.285]  You can go read that.
[01:02:35.065 --> 01:02:40.547]  They say stockpiling weapons and ammunition is right-wing terror and that they're terrorists.
[01:02:41.519 --> 01:02:46.101]  They say you have a right to keep and bear arms, but that that means that they can ban your guns.
[01:02:46.141 --> 01:02:48.082]  They say, yes, it's a right for us to ban your guns.
[01:02:48.862 --> 01:02:50.783]  That's in the section under legislative.
[01:02:50.803 --> 01:03:02.268]  It says the court reaffirmed the individual's right to keep and bear arms under the Second Amendment to the Constitution, but left open the debate, no it didn't, to precise contours of that right, and it goes on to say they can restrict it.
[01:03:04.208 --> 01:03:05.649]  So we'll be covering that.
[01:03:06.669 --> 01:03:09.070]  Disgruntled military veterans, says they gotta stop them.
[01:03:12.768 --> 01:03:14.249]  It just goes on from there on out.
[01:03:14.749 --> 01:03:18.330]  So, we go out and protest the private Federal Reserve.
[01:03:18.731 --> 01:03:21.392]  We have the Army spying on us at those events.
[01:03:22.212 --> 01:03:22.832]  And it's now admitted.
[01:03:22.852 --> 01:03:25.894]  You know, we don't like offshore banks stealing everything.
[01:03:26.234 --> 01:03:29.115]  Well, the Army was up there watching me and Ron Paul's brother in Dallas.
[01:03:29.355 --> 01:03:33.737]  And it said, in the document published at Infowars.com, that we are terrorists.
[01:03:33.797 --> 01:03:36.018]  It says, be careful, these terrorists may attack you.
[01:03:36.398 --> 01:03:41.981]  It tells the military to be in plain clothes, how to arrive, separate cars, to watch out, we may kill them any moment.
[01:03:43.240 --> 01:03:45.984]  This is the secret police takeover, and did it go away under Obama?
[01:03:46.224 --> 01:03:46.765]  No, it expanded.
[01:03:46.825 --> 01:03:47.646]  So we're going to Naomi Wolf.
[01:03:47.686 --> 01:03:49.969]  I appreciate joining us here in just one moment.
[01:03:50.210 --> 01:03:51.111]  Had to finish that, though.
[01:03:52.533 --> 01:03:53.254]  Just outrageous.
[01:03:55.060 --> 01:03:56.560]  I want to tell you about Pepperspray.com.
[01:03:56.580 --> 01:03:59.641]  We live in an unpredictable world, and as everyone knows, I'm all about preparedness.
[01:03:59.941 --> 01:04:01.982]  Remember, an ounce of prevention is worth a pound of cure.
[01:04:02.222 --> 01:04:10.284]  That's why I want you to visit our new sponsor, Pepperspray.com, to check out their wide variety of personal safety products they have available on their website since 1994.
[01:04:10.344 --> 01:04:11.424]  Pepperspray.com.
[01:04:12.144 --> 01:04:19.686]  And you send your daughters off, you send your sons off, totally disarmed to be raped and killed, and call 9-1-1, well, at least have a taser or a big can of Pepperspray.
[01:04:20.146 --> 01:04:22.827]  I know a lot of the victim disarmament people want to train you to not have that.
[01:04:22.847 --> 01:04:26.388]  In England, they would arrest you, because you've got to be trained to be victims of the state and the criminals.
[01:04:26.789 --> 01:04:32.191]  But I say, real empowerment is women, especially, getting tasers and firearms as well.
[01:04:32.231 --> 01:04:36.292]  But also, you know, this is a lot safer if you don't have firearms training.
[01:04:36.693 --> 01:04:38.053]  Pepper Spray of all kinds of strengths.
[01:04:38.073 --> 01:04:38.993]  Stun guns and tasers.
[01:04:39.354 --> 01:04:40.054]  Animal repellents.
[01:04:40.094 --> 01:04:40.634]  Home safety.
[01:04:40.674 --> 01:04:41.394]  Personal alarms.
[01:04:41.654 --> 01:04:42.535]  Pepperspray.com.
[01:04:44.227 --> 01:04:47.168]  And, uh, one other sponsor I want to tell you about is Ecolablue.com.
[01:04:47.508 --> 01:04:49.068]  Atmospheric water generator from the home.
[01:04:49.389 --> 01:04:51.549]  Pays for itself in one year if you buy your water from the store.
[01:04:51.829 --> 01:04:53.310]  Pure, clean water without the fluoride.
[01:04:53.330 --> 01:04:54.890]  Unlimited water from the humidity in the air.
[01:04:55.210 --> 01:04:56.451]  Knows exactly what you're drinking.
[01:04:56.891 --> 01:04:59.692]  Machine produces 28 liters of water in 24 hours.
[01:05:00.052 --> 01:05:01.332]  7.5 gallon generator.
