[00:00:00.049 --> 00:00:01.361]  Moron for your mind.
[00:28:18.179 --> 00:28:20.880]  They were belligerent to callers.
[00:28:20.900 --> 00:28:24.101]  Apparently no one wants to talk about it at the Telegraph.
[00:28:25.701 --> 00:28:32.043]  Readers have been interrogated as to why they care what the piece is supposed to be.
[00:28:32.904 --> 00:28:34.084]  People have hung up on them.
[00:28:35.562 --> 00:28:44.684]  Basically, the paper won't advise, you know... Oh yeah, asking questions or even being able to read now is seen as like out being Al-Qaeda.
[00:28:44.704 --> 00:28:45.284]  I mean, literally.
[00:28:45.744 --> 00:28:50.645]  It's like, you're asking questions, you're taking photos of the police, you're a terrorist.
[00:28:51.325 --> 00:28:53.045]  They're trying that in England now too, aren't they?
[00:28:54.605 --> 00:28:55.366]  Well, exactly.
[00:28:55.446 --> 00:29:03.407]  I mean, the paper just got angry, basically, and wouldn't give an explanation at all as to the content that they're supplying their readers.
[00:29:04.904 --> 00:29:08.045]  So I suppose that's where we are with it really.
[00:29:08.125 --> 00:29:12.347]  I'm sure there'll be more developments.
[00:29:13.568 --> 00:29:23.972]  Some people on other forums claim to have identified who the author is, but I haven't checked that and I don't think there's any direct evidence of that at the moment.
[00:29:24.212 --> 00:29:31.935]  So we're still... That's another thing, normally in an art section they would tell you who the artist was, but the way this is... Well exactly, that's the point of an art section, isn't it?
[00:29:32.936 --> 00:30:01.316]  artists to gain recognition and that's what the readers were concerned about but you know they wouldn't even tell the readers who the artist was so what is the point of the piece that shows everybody going into FEMA camps and nukes going off and the government staging the attacks and setting up a North American Union and merging it with England which which they say the England's actually merged with the North American Union as the Anglo-American establishment airstrip one
[00:30:05.595 --> 00:30:06.535]  Boy, they are nasty.
[00:30:06.775 --> 00:30:12.796]  Normally, when they do stuff like this, and we're seeing a lot of this pop up on TV and shows like Jericho and others, it means they're planning it.
[00:30:14.817 --> 00:30:17.757]  When they nuke, I'm going to have to watch the public run around and worship the government.
[00:30:17.817 --> 00:30:18.657]  It just never ends.
[00:30:19.857 --> 00:30:21.298]  I just want to lose everything, I guess.
[00:30:22.698 --> 00:30:23.058]  Go ahead.
[00:30:23.378 --> 00:30:32.420]  I mean, going back to the propaganda thing, you can see it as an effort to frame the subconscious, because that's what propaganda essentially is.
[00:30:32.460 --> 00:30:33.620]  That's what Bernays wrote.
[00:30:36.159 --> 00:30:51.366]  It's a mass manipulation, a framing of the world that you live in, and then, you know, creating the appearance that you're, you have free will within that, but you're always trapped within the framed world around you.
[00:30:51.386 --> 00:31:05.193]  It's like, I suppose the best example is the prisoner with Patrick McGoohan who escapes the village, but he's still, you know, he's still within the village because the village has been crafted over
[00:31:05.862 --> 00:31:07.523]  Over centuries, all around us.
[00:31:08.463 --> 00:31:10.204]  And that's essentially what propaganda is.
[00:31:11.264 --> 00:31:13.005]  Bernays wrote Organizing Chaos.
[00:31:15.526 --> 00:31:16.366]  Well, that's it.
[00:31:16.446 --> 00:31:17.246]  I understand.
[00:31:18.027 --> 00:31:18.347]  Go ahead.
[00:31:18.387 --> 00:31:22.328]  This black jacket doesn't seem to be a social commentary.
[00:31:22.348 --> 00:31:23.669]  It's just a cold piece.
[00:31:24.689 --> 00:31:34.613]  And in that sense, it's got the hallmarks of propaganda, of social manipulation, bringing a sort of standard to bear for the masses.
[00:31:37.338 --> 00:31:42.039]  Yeah, it's a flaunting in our face what they may do to us.
[00:31:42.419 --> 00:31:46.520]  But this action itself is a form of terrorism, the threat of violence.
[00:31:46.560 --> 00:31:50.161]  Well, they know, they've seen the statistics, the polls, the numbers in England, the U.S.
[00:31:50.201 --> 00:31:55.382]  and Europe, where the majority of people believe that the 9-11 was an inside job or that there's a cover-up.
[00:31:55.922 --> 00:31:57.423]  And I think this is a message to us.
[00:31:57.943 --> 00:32:02.204]  The New World Order crowd loves multi-dimensional images.
[00:32:02.284 --> 00:32:05.805]  They love something that has different effects on different classes.
[00:32:06.405 --> 00:32:09.087]  And they see themselves as real artists at this art form.
[00:32:10.067 --> 00:32:12.109]  And so, it's also a threat to everyone.
[00:32:12.169 --> 00:32:13.350]  It's an inside joke to them.
[00:32:13.370 --> 00:32:16.131]  It further conditions and creates anxiety in the public.
[00:32:16.391 --> 00:32:19.794]  Then when we talk about real government-sponsored terror, they'll say, oh, you saw that in a cartoon.
[00:32:22.575 --> 00:32:26.038]  Yeah, it's always gonna, it's always gonna evolve the propaganda as well.
[00:32:26.418 --> 00:32:30.080]  But I'll read you a quote from Bernays, his sort of end quote in propaganda.
[00:32:30.621 --> 00:32:34.283]  He says, if the public becomes more intelligent in its commercial demands,
[00:32:34.793 --> 00:32:42.114]  Commercial firms will meet the new standards if it becomes aware of the old methods used to persuade it to accept a given idea or commodity.
[00:32:42.534 --> 00:32:45.155]  Its leaders will present their appeals more intelligently.
[00:32:45.675 --> 00:32:47.095]  Propaganda will never die out.
[00:32:47.175 --> 00:32:54.056]  Intelligent men must realize that propaganda is the modern instrument by which they can fight for productive ends and help to bring order out of chaos.
[00:32:55.497 --> 00:33:03.938]  So it's always going to be evolving and changing and multi-dimensional levels of it, but in the end it's all about framing the society we live in, we know.
[00:33:05.251 --> 00:33:09.052]  That's, you know, that's what their agenda is, that's what they're about.
[00:33:11.033 --> 00:33:12.313]  These are some sick people.
[00:33:12.333 --> 00:33:18.494]  I mean, these are some really, really sick people.
[00:33:20.335 --> 00:33:32.758]  I mean, but, you know, other people, other readers are saying it may be somebody who's sending a warning, and that's perfectly fine for them to, it's a valid point for them to bring that up, but it's not
[00:33:33.211 --> 00:33:36.416]  Though we can give our opinions, it's not to us to tell them what to think.
[00:33:49.034 --> 00:33:50.775]  In fact, I'm really 100 percent, but I'll just say 90.
[00:33:51.856 --> 00:33:55.077]  And because they didn't put who the artist is, there's a lot of issues here.
[00:33:55.417 --> 00:34:02.041]  See, when you see an article in a newspaper and it doesn't have a name, that automatically means from the editorial board of the paper.
[00:34:02.501 --> 00:34:04.702]  And you'll see articles that don't even say from the editorial board.
[00:34:04.722 --> 00:34:05.522]  It'll just be there.
[00:34:06.463 --> 00:34:08.104]  And this is from the editorial board.
[00:34:08.184 --> 00:34:10.465]  That's the language of a newspaper.
[00:34:11.405 --> 00:34:16.628]  That if it doesn't say who it's from, it's just an article, that is the sense of the paper.
[00:34:18.325 --> 00:34:20.887]  And so in the language of this, that's what we're dealing with.
[00:34:21.647 --> 00:34:23.308]  And people say, well, why are you focusing in on this?
[00:34:23.368 --> 00:34:31.312]  Because so many times, what they put out is what they end up doing.
[00:34:32.233 --> 00:34:40.717]  And people say, oh, the lone government episode of the government flying a hijacked jet in the World Trade Center to get martial law and, you know, attack Afghanistan and using a drill to make them stand down.
[00:34:41.337 --> 00:34:42.398]  That's just a coincidence.
[00:34:42.858 --> 00:34:51.722]  We happen to have folks from the X-Files, Dean Hagelin, one came to my house, you know, opened the door and it's the TV guy, to say, no, the CIA planted this stuff on us.
[00:34:54.838 --> 00:34:56.502]  This tells us a lot about the globalists.
[00:34:56.522 --> 00:34:58.688]  They're very intelligent, but they're also psychopathic.
[00:34:59.170 --> 00:35:02.198]  They're very intelligent psychopaths, sadistic psychopaths.
[00:35:03.343 --> 00:35:04.883]  And they're very bored.
[00:35:04.923 --> 00:35:10.145]  This is, you know, what all these aristocrats having too much time on their hands turns into.
[00:35:11.125 --> 00:35:14.345]  And this is what they giggle and snicker about in their little secret meetings.
[00:35:15.146 --> 00:35:17.446]  And they think the revelation of the method is funny.
[00:35:17.846 --> 00:35:25.388]  And they also say they're God, they're the new man, because they can scientifically coldly understand their own human intellect.
[00:35:25.828 --> 00:35:37.936]  And then so they can kill a baby and not feel any emotions, or they can blow up a country and not feel emotions, or they can kill 3,000 people in two towers and not feel anything, and it's only us that are primitive and weak that let our emotions control us.
[00:35:38.136 --> 00:35:38.456]  No!
[00:35:38.476 --> 00:35:40.918]  I am a human being.
[00:35:41.038 --> 00:35:42.359]  I was developed on this planet.
[00:35:42.579 --> 00:35:43.359]  I have children.
[00:35:44.500 --> 00:35:46.101]  I am a reproductive creature.
[00:35:46.221 --> 00:35:47.382]  I am meant to be nurturative.
[00:35:47.442 --> 00:35:48.563]  I am meant to defend my family.
[00:35:48.603 --> 00:35:49.423]  I am meant to build.
[00:35:49.723 --> 00:35:50.764]  This is who I am.
[00:35:51.144 --> 00:35:52.065]  This is the species.
[00:35:52.125 --> 00:35:53.166]  This is what we are.
[00:35:54.174 --> 00:36:01.129]  And watching what the globalists do, it's a horrible, aberrant form of humanity.
[00:36:05.469 --> 00:36:10.093]  You know, their whole social Darwinistic view, everything they do, it's really just selfishness.
[00:36:10.313 --> 00:36:12.756]  And the proof is, they're holding humanity back.
[00:36:12.796 --> 00:36:18.361]  If they were so slick and so powerful, they wouldn't be trying to poison people and dumb them down so we'd be more manageable.
[00:36:18.641 --> 00:36:27.149]  If they're such God-men, they would be trying to empower everyone and trying to build us to the highest level because they're so much higher than us.
[00:36:30.192 --> 00:36:31.253]  But they've got this sick
[00:36:32.577 --> 00:36:33.398]  Well, exactly, yeah.
[00:36:33.438 --> 00:36:37.640]  If you want to put it a different way, it's a total lack of any sort of spirituality or belief in the rest of the human race, really.
[00:36:37.660 --> 00:36:39.981]  They want it all, and they want to control it all.
[00:37:04.445 --> 00:37:05.466]  Well, they don't just want it all.
[00:37:05.506 --> 00:37:07.207]  They want to desecrate it all.
[00:37:07.227 --> 00:37:08.268]  They want to mutilate it all.
[00:37:08.288 --> 00:37:10.190]  They want to vandalize it all.
[00:37:10.230 --> 00:37:14.954]  They want to kill everything beautiful, pull down everything decent.
[00:37:15.815 --> 00:37:19.158]  They boil with hatred at youth and life and goodness.
[00:37:19.978 --> 00:37:29.587]  Because by its very nature, it's a bunch of old, demonic creatures who are totally given over to evil by the choices they've made in life that are in control of it.
[00:37:35.248 --> 00:37:35.568]  I agree.
[00:37:36.749 --> 00:37:37.170]  You agree?
[00:37:37.870 --> 00:37:40.913]  Yeah.
[00:37:41.894 --> 00:37:43.635]  What's going on over in England?
[00:37:44.756 --> 00:37:45.977]  How's the economy going over there?
[00:37:46.017 --> 00:37:48.539]  I've seen your jobless numbers are about as bad as ours or worse.
[00:37:50.113 --> 00:37:54.818]  Iceland's, the government's fallen, but British banks own Iceland, so people can't even get their money out of the banks.
[00:37:55.538 --> 00:37:57.140]  Europe's in 20% unemployment.
[00:37:57.680 --> 00:38:03.385]  We're reading about riots all over Europe, but we're being told that the level of the riots is being suppressed.
[00:38:04.126 --> 00:38:06.087]  Your take on Madoff, all of this.
[00:38:07.649 --> 00:38:10.892]  Well, the economy is the same as over there.
[00:38:10.912 --> 00:38:11.712]  It's on its knees.
[00:38:11.732 --> 00:38:16.777]  I mean, basically because we've got the same policies over here, you know.
[00:38:18.021 --> 00:38:28.367]  Bailouts, we had a recent bailout to the tune of, um, well it was a guarantee, the government guaranteeing bank loans to the tune of 200 billion.
[00:38:29.687 --> 00:38:41.354]  Um, all this printing excessive money, they've just, the Bank of England's just dropped rates to the lowest, you know, they've ever been since the, since the initiation of the Bank of England.
[00:38:41.454 --> 00:38:45.196]  So, keeping all the, it's all the same policies that,
[00:38:45.868 --> 00:38:57.677]  You know, your government's got over there, and that's because by proxy, both governments are run by the international bankers and corporations out of London.
[00:38:58.518 --> 00:39:13.930]  So yeah, it's exactly the same over here as it is over there, and while there are some, you know, protests and riots and things over here, they're not getting any sort of mainstream coverage, and they're nowhere near
[00:39:14.497 --> 00:39:17.258]  On as big a scale as they are in Europe at the moment.
[00:39:19.559 --> 00:39:22.820]  But, you know, it remains to be seen whether that will change.
[00:39:25.602 --> 00:39:38.627]  In other news, watching Obama not just go back on every promise, but arrogantly say, we're getting all the CEO pay capped, which then they can selectively put caps on other people, and then all the big CEOs in banking
[00:39:40.846 --> 00:39:41.606]  No, they're not.
[00:39:41.647 --> 00:39:43.487]  To be honest, at the moment, they're still...
[00:40:10.609 --> 00:40:24.674]  I mean, the estimation of what we're getting in our media is still the sort of messianic image of the great new leader, Obama.
[00:40:25.514 --> 00:40:33.617]  There's very little focus on the nightly news, on the actual nuts and bolts of the
[00:40:34.463 --> 00:40:36.424]  Executive orders that he's been issuing.
[00:40:36.864 --> 00:40:41.525]  So it's just all part of ongoing hype to make everybody feel good while the looting is completed?
[00:40:42.645 --> 00:40:43.885]  Yeah, it's still going on.
[00:40:44.166 --> 00:40:48.447]  And I think it'll go on for the foreseeable future.
[00:40:48.467 --> 00:40:54.188]  I mean, you know, there's no investigation of what he's doing already.
[00:40:56.689 --> 00:41:01.370]  It's going to take something significant, I think, for that to change over here.
[00:41:03.612 --> 00:41:09.094]  Well, I love how the mainstream media keeps saying, Obama, you know, he wasn't part of the bailout, that was Bush.
[00:41:09.194 --> 00:41:29.180]  Obama went and cheerleaded for it, they're all together in on it, and Obama's camp followers... I'm just so tired of watching the left-right bait-and-switch over and over again, and that's why we're enslaved, because the public loves to feel like they're important, loves to feel like they've had a hollow victory, instead of a real victory.
[00:41:31.889 --> 00:41:41.273]  Yeah, I mean, the big one was his executive order which protected continuation of CIA renditions.
[00:41:42.493 --> 00:41:53.138]  And, you know, a good, an article I wrote about that a few days ago, good quote in there, was from a British, a British Labour member of the European Parliament.
[00:41:53.818 --> 00:41:58.520]  And the European Parliament was responsible for investigating the renditions and he said,
[00:41:59.943 --> 00:42:05.227]  You know, he directly said you can't criticise Obama because at the moment he's got a god-like status.
[00:42:06.448 --> 00:42:25.864]  Um, you know, he said on the surface it looks like he's closing all his secret prisons and everything, but... You know, people have got to look further into what he's actually... his actual executive orders say, and it says directly in there that he's leaving open the door for, uh...
[00:42:26.894 --> 00:42:33.956]  Both rendition and the continuation of the secret facilities, military facilities, which we know they use for torture.
[00:42:35.296 --> 00:42:40.898]  Steve Watson, I want to appreciate you and the great job you're doing at PrisonPlanet.com and InfoWars.net.
[00:42:41.558 --> 00:42:43.019]  We'll talk to you again in the near future.
[00:42:43.399 --> 00:42:44.319]  Keep up the great work.
[00:42:45.459 --> 00:42:46.079]  Thanks a lot, Alex.
[00:42:46.139 --> 00:42:46.380]  Cheers.
[00:42:46.800 --> 00:42:47.140]  You bet.
[00:42:47.420 --> 00:42:50.041]  We'll be back with a ton of news, your phone calls, and a lot more.
[00:42:50.081 --> 00:42:51.281]  We've got an hour and ten minutes left.
[00:42:54.875 --> 00:42:58.158]  Silver is mankind's oldest natural antibiotic.
[00:42:58.319 --> 00:43:02.403]  This very special mineral has been used for centuries by most cultures throughout the world.
[00:43:02.583 --> 00:43:10.551]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water
[00:43:10.811 --> 00:43:14.012]  Without use of animal protein, nitrates, or saline solutions.
[00:43:14.232 --> 00:43:24.734]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level, and germs can't mutate to be resistant like they can to modern-day antibiotics.
[00:43:25.014 --> 00:43:33.036]  Utopia Silver has a broad range of health supplements, including colloidal silver, gold, and copper, with a money-back guarantee on the colloidal products we produce.
[00:43:33.216 --> 00:43:40.518]  For four years, Utopia Silver has been fighting in the Texas courts against agencies that would steal our God-given rights of healthcare and freedom of
[00:43:43.715 --> 00:43:48.176]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:43:48.436 --> 00:43:49.817]  The enemy struck America on September 11th.
[00:44:04.116 --> 00:44:05.137]  But who is the enemy?
[00:44:05.657 --> 00:44:06.158]  Bin Laden.
[00:44:06.458 --> 00:44:07.439]  This is his M.O.
[00:44:07.459 --> 00:44:08.760]  We have to look to the Middle East.
[00:44:08.820 --> 00:44:10.462]  We have to look to Osama Bin Laden.
[00:44:10.822 --> 00:44:17.568]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:44:17.968 --> 00:44:18.409]  Some U.S.
[00:44:18.449 --> 00:44:24.094]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:44:24.794 --> 00:44:28.275]  I'm aware that some Israeli citizens have been detained.
[00:44:28.295 --> 00:44:31.096]  Either you are with us, or you are with the terrorists.
[00:44:54.560 --> 00:45:00.223]  Doctors around the world claim that cancer and other diseases cannot live in a pH-balanced alkaline environment.
[00:45:00.403 --> 00:45:05.566]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[00:45:05.826 --> 00:45:10.909]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[00:45:11.209 --> 00:45:14.791]  People who alkalize the water they drink experience normalized blood sugar.
[00:45:15.071 --> 00:45:16.792]  Mental clarity and loss of weight.
[00:45:17.113 --> 00:45:23.097]  It was intended for human beings to drink alkaline water, but due to modern way of life, most people are overly acidic.
[00:45:23.338 --> 00:45:26.880]  The fact is that disease simply cannot exist in an alkaline environment.
[00:45:27.120 --> 00:45:31.664]  Fat accumulates if a person consumes too much acid on a regular basis and doesn't neutralize it.
[00:45:31.944 --> 00:45:32.725]  Do your part.
[00:45:32.985 --> 00:45:35.267]  Alkalize and supercharge your body now!
[00:45:35.607 --> 00:45:41.732]  AlkaVision Plasma pH Drops contain a special mineral salt concentrate that raises the pH of the water you drink
[00:45:42.052 --> 00:45:44.433]  Up to the pH of 10, with only 10 drops.
[00:45:44.813 --> 00:45:50.996]  Order your bottle of AlkaVision Plasma pH Drops now, by going directly to alkavision.com.
[00:45:51.276 --> 00:45:53.297]  Again, that's alkavision.com.
[00:46:00.640 --> 00:46:08.283]  Woah, boom, bop-a-boom Woah, boom, bop-a-boom Woah, boom
[00:46:12.196 --> 00:46:15.437]  Okay, we are back live here, ladies and gentlemen.
[00:46:15.537 --> 00:46:20.119]  I'm going to go through the big stack of news and take your phone calls in the next hour.
[00:46:20.139 --> 00:46:20.379]  1-800-259-9231.
[00:46:20.399 --> 00:46:30.062]  And we'll also play some video clips that I've got coming up.
[00:46:31.242 --> 00:46:34.183]  We got a videotape order in the mail from Germany.
[00:46:34.223 --> 00:46:35.484]  I'm not going to say the guy's name.
[00:46:37.524 --> 00:46:39.165]  This is his first name's Rainer.
[00:46:40.640 --> 00:46:44.761]  And he sent me a 1923 Weimar Republic Deutsche Mark.
[00:46:44.801 --> 00:46:49.963]  These are the ones they had wheelbarrows to buy a loaf of bread with.
[00:46:51.363 --> 00:46:58.806]  So we'll cut over there to this camera and I'll give folks watching on PrisonPlanet.tv a close-up shot of that.
[00:46:58.846 --> 00:47:05.348]  It says that this is a Fiat Mark.
[00:47:07.318 --> 00:47:14.241]  The 1923 mark note from the town of Ogersheim, Scheme, where the former Chancellor Helmut Kohl was born.
[00:47:16.202 --> 00:47:18.863]  And we appreciate the present, we appreciate the gift.
[00:47:18.943 --> 00:47:24.926]  And this one is for 1, 10, 100, 1,000, 100,000, 20 million Deutschmarks!
[00:47:24.946 --> 00:47:26.587]  That's 20 million, right?
[00:47:26.607 --> 00:47:28.728]  Yeah, 20 million Deutschmarks.
[00:47:29.848 --> 00:47:30.148]  And you could
[00:47:36.770 --> 00:47:40.773]  Maybe, at one point, maybe a slice of bread with this, maybe if you were lucky.
[00:47:41.614 --> 00:47:45.476]  So that's what could happen to your fiat currency, and that's what they're doing.
[00:47:45.536 --> 00:47:50.820]  As soon as the confidence is lost in the dollar, there's pretty much no way that this isn't going to happen.
[00:47:50.880 --> 00:47:54.803]  Massive, massive inflation and devaluation of the currency.
[00:47:55.143 --> 00:47:56.524]  Well, they had prettier money than we do.
[00:47:57.565 --> 00:48:01.648]  Even though, this piece of paper, you couldn't, at one point in Germany,
[00:48:03.126 --> 00:48:09.749]  You couldn't buy the paper to print this on for twenty million Deutschmarks.
[00:48:10.410 --> 00:48:12.731]  To give you an idea of it.
[00:48:13.271 --> 00:48:22.336]  Perhaps we should scan this in and put it up on the web for just the regular radio listeners who aren't watching right now live at PrisonPlanet.tv or when we archive the show.
[00:48:23.396 --> 00:48:24.857]  But I'm staying here going down with the ship.
[00:48:24.897 --> 00:48:28.059]  I'm not running off to our little farm out in the countryside.
[00:48:29.158 --> 00:48:30.378]  Though I think about it every day.
[00:48:31.178 --> 00:48:37.080]  We're actually expanding in the midst of this storm and doing our best because people are tuning in more than ever.
[00:48:37.120 --> 00:48:46.042]  They know we're telling the truth more than ever and folks definitely are concerned and want to get involved in the fight more.
[00:48:46.122 --> 00:48:50.583]  Speaking of sponsors, who makes this radio show possible?
[00:48:51.380 --> 00:48:54.341]  Well, it's people like eFoodsDirect.com.
[00:48:54.481 --> 00:49:00.802]  eFoodsDirect.com, that's the website of the longest continually operating storable foods company in the United States.
[00:49:00.842 --> 00:49:05.163]  It's where I get my storable foods, non-GMO, no MSG, no aspartame in it.
[00:49:05.643 --> 00:49:08.764]  eFoodsDirect.com, 800-409-5633.
[00:49:09.104 --> 00:49:13.085]  Go to eFoodsDirect.com and check out their new three-day, one adult food supply for only $21.95.
[00:49:13.125 --> 00:49:13.585]  It's a good sampler.
[00:49:15.245 --> 00:49:33.321]  To check out just a small selection of some of the great storable foods they have that last 10 years in un-climate controlled, more than 10 years in climate controlled conditions, efoodsdirect.com, 800-409-5633, or again, check them out on the web at efoodsdirect.com.
[00:49:34.162 --> 00:49:38.425]  Another sponsor along the same line of preparedness is mysolarbackup.com.
[00:49:39.688 --> 00:49:44.131]  It is designed to provide 800 watts of power on demand in the event of any disaster or outage.
[00:49:44.451 --> 00:49:51.235]  You get an emergency power backup kit which consists of the power source, 1800 power plant, and high efficiency solar panel designed to provide endless electricity.
[00:49:51.575 --> 00:49:52.815]  That's right, it generates free electricity.
[00:49:52.856 --> 00:49:56.658]  Remember too that gas generators need gas, but in a blackout gas pumps can...
[00:49:57.338 --> 00:50:00.081]  Pump gas, because you can't pump gas because they run on electricity.
[00:50:00.101 --> 00:50:03.043]  The solar generator is like having a silent power plant hidden in your home.
[00:50:03.364 --> 00:50:05.265]  It's perfect for emergency backup for troubled times.
[00:50:05.726 --> 00:50:07.167]  MySolarBackup.com.
[00:50:07.187 --> 00:50:08.749]  That's www.MySolarBackup.com.
[00:50:08.849 --> 00:50:09.509]  Or give them a call at 877-327-0365.
[00:50:09.529 --> 00:50:09.589]  877-327-0365.
[00:50:09.609 --> 00:50:11.331]  The great folks from Solutions from Science.
[00:50:20.239 --> 00:50:31.128]  We're going to come back and take a few phone calls and continue with calls and I've got to go through my giant stack of news I've got disheveled here so that we can go through all the important headlines and information we haven't covered yet.
[00:50:31.508 --> 00:50:32.109]  Stay with us.
[00:50:35.812 --> 00:50:37.373]  Thank you for listening to GCN.
[00:50:38.314 --> 00:50:40.616]  Be sure to visit GCNlive.com today.
[00:50:43.595 --> 00:50:45.177]  Hello friends, this is Alex Jones.
[00:50:45.277 --> 00:50:49.903]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:50:50.043 --> 00:50:52.786]  We need to be independent, and food and water is the key.
[00:50:53.006 --> 00:50:55.850]  You'll never have to stand in a bread line if you have your own bread.
[00:50:56.050 --> 00:51:00.776]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:51:00.976 --> 00:51:01.916]  If you simply prepare.
[00:51:02.116 --> 00:51:05.038]  No one is going to take care of your family in the final equation but you.
[00:51:05.358 --> 00:51:12.241]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:51:12.341 --> 00:51:15.462]  And they do it at almost half the cost of last year's grocery prices.
[00:51:15.622 --> 00:51:15.882]  Call 1-800-409-5633.
[00:51:18.303 --> 00:51:20.544]  Or, on the web, go to eFoodsDirect.com.
[00:51:20.764 --> 00:51:26.847]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-scribed, and dehydrated foods they have to offer.
[00:51:27.027 --> 00:51:30.768]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:51:30.808 --> 00:51:32.289]  Again, 800-409-5633, or on the web at eFoodsDirect.com.
[00:51:32.329 --> 00:51:32.749]  Take action today.
[00:51:32.769 --> 00:51:34.590]  The first step is getting storable food.
[00:51:46.408 --> 00:51:48.289]  Waging war on corruption.
[00:51:48.769 --> 00:51:51.510]  Alex Jones on the GCN Radio Network.
[00:52:14.366 --> 00:52:19.473]  All right, we are back live here, ladies and gentlemen, and I had a headphone malfunction.
[00:52:19.493 --> 00:52:20.514]  I couldn't fix it in one minute.
[00:52:20.534 --> 00:52:22.196]  The earpiece broke off.
[00:52:22.216 --> 00:52:23.017]  In fact, you know what?
[00:52:23.097 --> 00:52:23.738]  It'll take too long.
[00:52:23.798 --> 00:52:25.921]  I can just do it live on air, under the pressure.
[00:52:25.961 --> 00:52:31.508]  I had about 30 seconds to do it, and I was unable, and if you guys can't, I can just fix it right now on air.
[00:52:31.528 --> 00:52:33.069]  Or they've got more headsets down the hall.
[00:52:34.184 --> 00:52:34.765]  And I can do that.
[00:52:35.265 --> 00:52:39.250]  Doing a live radio show for four hours a day is a lot of fun, ladies and gentlemen.
[00:52:39.290 --> 00:52:41.393]  Sometimes interesting stuff happens.
[00:52:41.553 --> 00:52:42.975]  You're not able to go to the phone call.
[00:52:42.995 --> 00:52:45.999]  But we'll take a lot of phone calls coming up in this hour.
[00:52:46.679 --> 00:52:51.726]  And there's an important piece of news that I have not gotten to yet.
[00:52:53.780 --> 00:53:15.407]  Stabenow, Dems May Hold Talk Radio Accountability Hearings, and it's a clip with her on the radio host Bill Press, formerly of Crossfire, and in this piece, I'm going to play a clip of, she just says, yeah, we want to bring back something like the Fairness Doctrine, the Fairness Doctrine, another Orwellian term.
[00:53:15.827 --> 00:53:21.489]  You know, if they pull troops out of a place, they call it a build-down,
[00:53:23.038 --> 00:53:30.580]  If they're increasing troops, you know they have a different term for it, they call the Patriot Act patriotic.
[00:53:36.402 --> 00:53:46.745]  There's just all sorts of little word manipulations that they engage in, so we're going to be playing that coming up just a little bit later in this radio transmission.
[00:53:47.665 --> 00:53:49.925]  And I guess up next is Patrick in Canada.
[00:53:49.945 --> 00:53:51.526]  Thanks for holding Patrick, you're on the air.
[00:53:53.882 --> 00:53:54.502]  How you doing, brother?
[00:53:54.522 --> 00:53:55.162]  Good, sir.
[00:53:55.202 --> 00:53:55.782]  Thanks for holding.
[00:53:56.283 --> 00:53:56.603]  Good.
[00:53:56.723 --> 00:54:00.323]  I just wanted to let you know of a story that I heard yesterday from one of my customers.
[00:54:00.483 --> 00:54:01.744]  Absolutely made my head shake.
[00:54:02.624 --> 00:54:10.946]  Him and his wife, they were leaving a couple weeks ago to go on a trip to the Caribbean, flying Air Canada, which is basically the largest airline in Canada.
[00:54:11.826 --> 00:54:22.528]  And upon getting to the booth where they basically checked their tickets, the ticket agent told him that due to his name, he was on a terror list and unable to board the plane.
[00:54:23.325 --> 00:54:26.746]  He's got one of those weird names where the first and last name are the same, i.e.
[00:54:26.766 --> 00:54:28.507]  William William type of thing.
[00:54:29.407 --> 00:54:34.069]  And they said that that type of name is very common to use by terrorists.
[00:54:34.689 --> 00:54:40.812]  But what was even more puzzling was that the agent said to him, if you want to sign up for frequent flyer,
[00:54:41.536 --> 00:54:43.518]  We can remove your name from the list.
[00:54:43.939 --> 00:54:44.679]  Yeah, no, no.
[00:54:44.980 --> 00:54:46.842]  Let me explain this and I'll hold you over if need be.
[00:54:47.583 --> 00:54:49.665]  There's over a million Americans on the no-fly list.
[00:54:49.845 --> 00:54:51.026]  25,000 added a month plus.
[00:54:51.447 --> 00:54:52.488]  England's got 2 million.
[00:54:52.508 --> 00:54:55.511]  You're not gonna be able to own a gun, anything.
[00:54:56.432 --> 00:54:58.334]  And they know with your driver's license number.
[00:54:58.354 --> 00:54:59.976]  They know who you are, where you live.
[00:55:00.016 --> 00:55:01.097]  They know you're not a terrorist.
[00:55:01.818 --> 00:55:05.000]  It's about getting us all used to, oh, I've got to go away with you.
[00:55:05.060 --> 00:55:05.700]  I'm a terrorist.
