[00:00:05.805 --> 00:00:07.366]  Hello, my friends!
[00:40:55.986 --> 00:40:56.367]  It's true.
[00:40:56.387 --> 00:40:58.048]  Thanks for the call, Patrick.
[00:40:58.508 --> 00:41:07.556]  I mean, I understand that our whole language, that's what 1984 talks about, is how each successive New World Order empire changes the definitions and names.
[00:41:08.797 --> 00:41:13.781]  Of course, it's impossible to even communicate with each other, you know, with the true terms.
[00:41:14.002 --> 00:41:20.427]  But, again, a lot of people get caught up in the names and all of this.
[00:41:22.569 --> 00:41:24.831]  Again, this is not a biblical broadcast.
[00:41:25.747 --> 00:41:34.934]  I simply cover news and information and then make no secret about the fact that I am a follower of the person, the individual, you can call him Yeshua, Jesus.
[00:41:36.715 --> 00:41:37.856]  God knows who we're talking about!
[00:41:39.537 --> 00:41:41.198]  Let's talk to John in Texas.
[00:41:41.278 --> 00:41:42.239]  John, you're on the air.
[00:41:42.299 --> 00:41:42.699]  Go ahead.
[00:41:43.200 --> 00:41:43.600]  Hello, Alex.
[00:41:43.980 --> 00:41:44.321]  Welcome.
[00:41:45.161 --> 00:41:49.925]  Bill Takeda, I hope this whole dual order business is always going to be the Second Amendment.
[00:41:50.905 --> 00:41:51.145]  I mean,
[00:41:52.105 --> 00:42:00.030]  When I came back from the infantry, when I was an infantryman in Vietnam in 1971, I joined the John Birch Society and seen why we weren't winning in Vietnam.
[00:42:00.991 --> 00:42:04.633]  They've come a long way, but they still keep bumping up against the Second Amendment.
[00:42:04.673 --> 00:42:14.580]  Henry Kissinger openly said, we're not meant to win Vietnam, it was meant to go on for a decade, create division in this country, and make hundreds of billions of dollars for select companies.
[00:42:15.340 --> 00:42:15.720]  Very true.
[00:42:17.202 --> 00:42:20.866]  The thing that the stone is hard for them to swallow is the Second Amendment.
[00:42:20.886 --> 00:42:29.314]  They've got 90 million people under arms, and it's hard for them to start the rough stuff, throwing people into concentration camps, as long as they've got 90 million people under arms.
[00:42:29.434 --> 00:42:35.420]  That's why they want to incrementally build more and more prisons, arrest people for more and more petty false charges.
[00:42:35.800 --> 00:42:38.483]  That's how it's going to work instead of just mass arrests.
[00:42:38.963 --> 00:42:40.565]  Unless there's massive disasters.
[00:42:41.472 --> 00:42:43.633]  And the good news is most our troops are good people.
[00:42:43.653 --> 00:42:46.374]  They're not going to go along with mass arrests and internment.
[00:42:46.714 --> 00:42:48.795]  That's why the government openly says foreign troops.
[00:42:49.815 --> 00:42:54.677]  Before they can really start the rough stuff, they've got to get us disarmed.
[00:42:54.697 --> 00:42:57.218]  So far it's been a tough nut for them to crack.
[00:42:57.318 --> 00:43:02.240]  And I don't know what to think of the Congress and the Senate in the last election.
[00:43:02.260 --> 00:43:03.661]  I mean, I know the Republicans control it.
[00:43:03.681 --> 00:43:04.521]  The fire is a pro-gun.
[00:43:05.205 --> 00:43:12.977]  But, uh, they said that the reason Bush didn't sign the assault weapons ban last time was Tom DeLay and the pro-gun people in the House and Senate kept it off his desk.
[00:43:13.741 --> 00:43:14.241]  Exactly.
[00:43:14.281 --> 00:43:17.442]  That's why the Feds are racing to put in electronic voting machines.
[00:43:17.823 --> 00:43:21.344]  That way we can't vote out phony conservatives when they don't do the right thing.
[00:43:21.824 --> 00:43:30.627]  Now Bush is supporting Senator Arlen Specter, the man who came up with the magic bullet theory 40 years ago as a staffer with a Kennedy cover-up.
[00:43:31.147 --> 00:43:39.950]  This guy openly is pro-abortion and says he's going to block judges to judge ships federally and at the Supreme Court level if they're not pro-abortion.
[00:43:40.370 --> 00:43:41.811]  And Bush is still supporting him.
[00:43:42.441 --> 00:43:43.581]  How is he on a gun issue?
[00:43:44.381 --> 00:43:45.422]  Is he sold?
[00:43:45.522 --> 00:43:46.642]  Spector's a gun grabber.
[00:43:47.222 --> 00:43:47.522]  Okay.
[00:43:48.602 --> 00:43:50.323]  And Bush is promoting him then, right?
[00:43:50.663 --> 00:43:52.863]  Yeah, Bush said he wanted to sign the Assault Weapons Ban.
[00:43:53.283 --> 00:43:53.483]  Yeah.
[00:43:54.784 --> 00:43:57.044]  Well, like I said, Alex, that's the only thing I believe.
[00:43:57.484 --> 00:44:00.165]  If we have a chance of winning against this, we've got to keep the Second Amendment.
[00:44:00.225 --> 00:44:05.546]  If everybody caves in like they did in Britain, Canada, and Australia, well, the game's over as far as I'm concerned.
[00:44:05.906 --> 00:44:10.727]  Well, three years ago, Josh Sugarman, in the local Austin paper,
[00:44:12.469 --> 00:44:21.817]  openly said that we've got your children in the public schools we will ban guns in another generation and that's where they're doing it.
[00:44:22.217 --> 00:44:25.500]  The children in this country now they're banning toy guns in New York.
[00:44:26.469 --> 00:44:27.870]  Uh, they're banning the symbol of guns.
[00:44:27.970 --> 00:44:30.672]  A child can't, in an essay, write about guns.
[00:44:30.692 --> 00:44:36.256]  I mean, I used to, they used to say in English class, write a fictional account, a ten-page fictional story.
[00:44:36.276 --> 00:44:41.020]  And it was always one about cowboys or soldiers and, you know, because that's what kids are into.
[00:44:41.680 --> 00:44:43.662]  And, you know, I would write an article about, um,
[00:44:44.492 --> 00:44:54.940]  A hunting trip where I'd write an article about cowboys and Indians fighting, or I'd write an article about soldiers in World War II taking a hill from the Nazis.
[00:44:56.001 --> 00:45:02.005]  And nowadays you do that, you are instantly arrested, psychiatric care, you name it.
[00:45:02.085 --> 00:45:03.686]  And so see, it's a thought crime.
[00:45:03.706 --> 00:45:05.508]  I'll tell you a real quick story, Alex.
[00:45:05.548 --> 00:45:06.468]  When I grew up in the fifties,
[00:45:07.489 --> 00:45:12.654]  We used to have the Mattel Tommy Guns and the War Toys and the Davy Crockett hunting knives.
[00:45:13.175 --> 00:45:13.915]  We took all that to school.
[00:45:13.935 --> 00:45:14.996]  We used to play with it on the playground.
[00:45:15.016 --> 00:45:15.957]  Nobody said anything about it.
[00:45:16.017 --> 00:45:18.280]  Well, my father is 54 years old.
[00:45:19.601 --> 00:45:22.664]  My father went to a rural but also very populous school.
[00:45:24.421 --> 00:45:32.023]  And they would, he got driven to school in the morning because his mother was a teacher, but sometimes he'd ride to friends' houses in the country on the bus, and it wasn't just him.
[00:45:32.103 --> 00:45:44.967]  He said during dove or quail season or deer season, when he was going to somebody else's ranch for the weekend or something, he would openly carry a .243 Savage, he'd openly carry a shotgun, he'd walk right in with a box of shells,
[00:45:46.027 --> 00:45:48.168]  He'd go hunting with the coaches after school.
[00:45:48.928 --> 00:45:52.789]  They don't pile on a bus with the coaches and drive out somewhere to go hunting with the coaches.
[00:45:53.209 --> 00:45:54.990]  Never an accident, never a problem.
[00:45:55.370 --> 00:46:00.112]  Because let me tell you how I was trained, how my father was trained at a very young age.
[00:46:00.132 --> 00:46:02.032]  And by the way, families get in trouble for this now.
[00:46:02.872 --> 00:46:05.513]  You take your child out, you teach them safety very, very young.
[00:46:05.753 --> 00:46:07.994]  This is how it was done going back to the frontier days.
[00:46:08.661 --> 00:46:12.724]  And that's why when I was 14, I could shoot a squirrel at 200 yards.
[00:46:12.744 --> 00:46:14.705]  This is not an exaggeration, folks, with a .22.
[00:46:14.945 --> 00:46:17.647]  I mean, I was like sharpshooter legend.
[00:46:18.127 --> 00:46:21.930]  Now, because I don't shoot but a few times a year because I'm so busy, you know, I'm lucky.
[00:46:21.970 --> 00:46:26.353]  At 200 yards, I can shoot bullseye with a .308, or used to.
[00:46:26.453 --> 00:46:28.915]  I mean, I could shoot at 1,000 yards bullseye with a .308.
[00:46:30.196 --> 00:46:30.776]  So I've lost
[00:46:31.891 --> 00:46:50.864]  Half my skills, but I mean, you know, going out, training, getting out the .22, loading it, learning everything about it, drilling with it, you know, ten times a year when we go out to the ranch, we drive down from Dallas to, you know, the homestead, going over how to use it, what to do, always point it at the ground, toy guns.
[00:46:51.004 --> 00:46:55.887]  If I ever pointed a toy gun at somebody just a few times, my dad would go, that's it!
[00:46:56.667 --> 00:47:01.149]  And he'd take the toy gun, and he'd take it outside, and he'd break it with a hammer and throw it in the trash.
[00:47:01.570 --> 00:47:03.310]  And he'd go, now you go to bed without dinner.
[00:47:04.491 --> 00:47:06.652]  And you don't get to play with your toy guns for a month.
[00:47:07.713 --> 00:47:08.313]  And you know what?
[00:47:08.373 --> 00:47:09.574]  That only happened a few times.
[00:47:09.774 --> 00:47:12.255]  Now these kids run around pointing the toy guns, the rest of it.
[00:47:12.890 --> 00:47:15.611]  And that's why when America had to go to war, we were unstoppable.
[00:47:15.971 --> 00:47:17.412]  Because we had the sharpshooters.
[00:47:17.612 --> 00:47:19.693]  These Europeans didn't know how to use guns.
[00:47:19.913 --> 00:47:26.015]  You can't hand somebody a gun when they're 18 years old for the German Army and say, now go out and learn how to use it.
[00:47:26.335 --> 00:47:27.855]  That's why our snipers are the best.
[00:47:28.376 --> 00:47:28.756]  Go ahead.
[00:47:28.776 --> 00:47:31.697]  Yeah, but I had the same thought.
[00:47:31.717 --> 00:47:32.397]  I grew up in the country.
[00:47:32.477 --> 00:47:34.078]  We used to take our guns to school.
[00:47:34.098 --> 00:47:37.519]  We used to leave them in the trunk of the car in the parking lot and then we'd go pheasant hunting, deer hunting.
[00:47:38.270 --> 00:47:39.971]  And like I said, it's times of change.
[00:47:39.991 --> 00:47:40.891]  Let me tell you something.
[00:47:40.951 --> 00:47:45.253]  Kids wear a Guns N' Roses t-shirt, a rock and roll t-shirt to school.
[00:47:45.553 --> 00:47:47.654]  The teacher doesn't say anything because it could be a threat.
[00:47:47.914 --> 00:47:49.294]  The SWAT team is called.
[00:47:49.814 --> 00:47:51.615]  Then they bust in and drag the child out.
[00:47:51.655 --> 00:47:52.916]  I mean, this is insanity.
[00:47:52.936 --> 00:47:53.336]  Go ahead.
[00:47:54.456 --> 00:47:56.657]  I'm just saying, you can tell where the times have changed.
[00:47:56.677 --> 00:48:01.719]  Where I grew up in the fifties as a kid, in the early sixties, and what's going on now is just like night and day.
[00:48:03.060 --> 00:48:16.529]  How many high school juniors and seniors are putting on dinners for charity or dinners for the after-school reading club?
[00:48:17.590 --> 00:48:21.533]  I've seen cases where valedictorians are moving out of home.
[00:48:21.833 --> 00:48:22.914]  It's the last month of school.
[00:48:23.721 --> 00:48:31.925]  And they're about to go to college and they've got their car full of plates and a set of steak knives and knives and spoons.
[00:48:32.385 --> 00:48:35.887]  And the SWAT team comes and criminally charges them and they lose their degree.
[00:48:36.367 --> 00:48:38.688]  Oh, the new state law says we can take your diploma from you now.
[00:48:39.849 --> 00:48:41.169]  That was three or four years ago.
[00:48:41.269 --> 00:48:46.952]  Now, they find people with a package that was a few months ago of Dixie knives and spoons.
[00:48:47.812 --> 00:48:48.653]  It was actually last year.
[00:48:49.424 --> 00:48:49.624]  Yep.
[00:48:49.644 --> 00:48:50.005]  Like I said,
[00:49:17.079 --> 00:49:21.342]  When I was in 3rd or 4th grade, I had a Roy Rogers check and I used to take it to school all the time.
[00:49:21.362 --> 00:49:22.743]  Nobody said anything.
[00:49:22.803 --> 00:49:25.084]  Hey, sir, I'm 30 years old.
[00:49:26.225 --> 00:49:42.556]  And when I was in high school in Dallas, until I was 16 and we moved here to Austin my last two years of high school, we, uh, if you were rude to a teacher or didn't do something or were late to practice or whatever, but it wasn't just the football players, they'd take you in there with a paddle, they'd paddle you,
[00:49:43.551 --> 00:49:53.398]  And, uh, everybody carried pocket knives, and you'd pull your pocket knife out and be picking your fingernails, and the coach would go, you know, for the history teacher, let me see that, that's a nice pocket knife.
[00:49:53.698 --> 00:49:54.959]  I got one of these old-timers.
[00:49:55.620 --> 00:49:55.980]  Again.
[00:49:56.620 --> 00:50:00.383]  And, uh, kids would get in fistfights occasionally, and they'd kind of look the other way.
[00:50:00.643 --> 00:50:03.745]  Well, now fistfighting isn't allowed, so the kids just blow each other away.
[00:50:03.985 --> 00:50:06.367]  But if you do fistfight, they charge you with a felony.
[00:50:07.990 --> 00:50:08.791]  Different times, Alex.
[00:50:09.191 --> 00:50:10.151]  Different times!
[00:50:10.352 --> 00:50:12.613]  We're not allowed to learn how to be men.
[00:50:12.633 --> 00:50:14.314]  We're not allowed to learn how to grow up.
[00:50:15.295 --> 00:50:16.175]  We're a joke!
[00:50:16.356 --> 00:50:17.716]  Our society's a joke!
[00:50:18.217 --> 00:50:20.558]  We're standing in the gateway to hell, as far as I'm concerned.
[00:50:21.439 --> 00:50:22.239]  But that's all I've got, Alex.
[00:50:22.259 --> 00:50:22.680]  I've got to go.
[00:50:22.880 --> 00:50:24.901]  Hey, I appreciate you joining us.
[00:50:24.921 --> 00:50:25.562]  Good to hear from you.
[00:50:25.622 --> 00:50:30.205]  Danny, or is it David and Danny and others, your calls are up next.
[00:50:30.225 --> 00:50:30.665]  I'm kind of
[00:50:32.481 --> 00:50:37.843]  Not going slow here today, but I'm giving the callers a lot of time and I'm making a lot of comments here, but we got a guest coming up.
[00:50:39.144 --> 00:50:39.644]  A doctor.
[00:50:40.844 --> 00:50:42.465]  Arrested for complaining to the VA.
[00:50:42.485 --> 00:50:48.507]  It just says he kept complaining and that's harassment and he was arrested by Homeland Security along with some other person who was complaining.
[00:50:49.487 --> 00:50:50.868]  So don't complain to the VA.
[00:50:52.568 --> 00:50:53.709]  You better watch yourself.
[00:50:53.729 --> 00:50:56.410]  It's all part of the new freedom.
[00:50:56.490 --> 00:50:57.710]  PrisonPlanet.tv.
[00:50:57.750 --> 00:50:58.791]  InfoWars.com.
[00:50:58.811 --> 00:50:59.211]  Stay with us.
[00:51:02.432 --> 00:51:09.838]  Hey folks, Alex Jones here, announcing the release of my most comprehensive documentary exposing the New World Order's orchestration of the September 11th attacks yet.
[00:51:10.098 --> 00:51:14.822]  In my new film, The Masters of Terror, we chronicle the globalist master plan for world domination.
[00:51:15.062 --> 00:51:20.707]  The Masters of Terror details how the elite are using manufactured terrorism to drive the world population into accepting tyranny.
[00:51:20.947 --> 00:51:21.667]  We're good to go.
[00:51:46.220 --> 00:51:46.800]  We're good to go.
[00:52:01.539 --> 00:52:03.140]  Hello folks, Alex Jones here.
[00:52:03.280 --> 00:52:07.402]  You know murky water filters have been removing pathogenic bacteria for years.
[00:52:07.522 --> 00:52:10.424]  But what about those unhealthy chemicals and heavy metals in your water?
[00:52:10.484 --> 00:52:17.207]  The powerful black murky purification elements fit most gravity filters and dramatically increase their power to extract waterborne contaminants.
[00:52:17.387 --> 00:52:20.389]  Best of all, they filter much faster than ordinary gravity elements.
[00:52:20.609 --> 00:52:22.990]  This means it takes much less time to filter your water.
[00:52:23.110 --> 00:52:31.014]  Black murky elements not only remove pathogenic bacteria, cysts and parasites, but also remove trihalomethanes and volatile organic elements such as
[00:52:31.294 --> 00:52:42.596]  Atmosine, benzene, chloride and chloroform, MTBE, radon-222, foul taste and obnoxious odors like sulfur, even nitrates and unwanted heavy metals such as lead, mercury and aluminum are extracted.
[00:52:42.736 --> 00:52:49.117]  Supercharge your gravity filter today and order a 2-pack of Black Berkey Purification Elements for only $96 or a 4-pack for only $175 by calling New Millennium at 888-803-4438.
[00:52:49.137 --> 00:52:49.337]  That's 888-803-4438.
[00:52:49.357 --> 00:52:50.617]  Or order on the web at berkeywater.com.
[00:53:02.458 --> 00:53:08.407]  Herbal Healer Academy is the global supplier of the finest natural medicine that you may need in these troubled times.
[00:53:08.628 --> 00:53:10.891]  We specialize in keeping you alive and healthy.
[00:53:11.072 --> 00:53:17.442]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[00:53:17.762 --> 00:53:18.422]  We're good to go.
[00:53:33.311 --> 00:53:39.996]  For a limited time, you can sign up on the website and receive our 104-page catalog and a current Herbal Healer newsletter free.
[00:53:40.376 --> 00:53:42.457]  Simply log on to HerbalHealer.com.
[00:53:42.637 --> 00:53:47.080]  Check out our online member testimonials and our hundreds of exceptional products.
[00:53:47.301 --> 00:53:50.383]  We have been working hard since 1988 to save the remnant.
[00:53:50.543 --> 00:53:56.407]  That's HerbalHealer.com, your website for safe, effective natural alternatives and education.
[00:54:01.760 --> 00:54:03.962]  He's the T-Rex of Political Talk.
[00:54:04.502 --> 00:54:07.404]  Alex Jones on the GCN Radio Network.
[00:54:16.931 --> 00:54:18.092]  All right, my friends.
[00:54:19.774 --> 00:54:23.336]  Danny and Fred and others, your calls are coming up, and I said I'd read this article.
[00:54:25.358 --> 00:54:27.019]  This is the change in mindset.
[00:54:29.016 --> 00:54:33.478]  This is out of the London Telegraph today, up on PrisonPlanet.com.
[00:54:35.438 --> 00:54:46.223]  Tony Harden in Fallujah observes American soldiers on the 1st Infantry Division Task Force avenging their fallen comrades as battle begins.
[00:54:46.823 --> 00:54:55.306]  After seven months in Iraq's Sunni Triangle for many American soldiers, the opportunity to avenge dead friends, obtaining a life was a moment of sheer exhilaration.
[00:54:57.834 --> 00:55:06.803]  As they approached their holding position from where, hours later, they would advance into the city, they picked off insurgents on the rooftops and in windows.
[00:55:09.045 --> 00:55:21.557]  I got myself a real juicy target, shouted Sergeant James Annette, peering through the thermal sight of a long-range acquisition system, or LRAS, mounted on one of the platformed Humvees.
[00:55:22.518 --> 00:55:24.580]  Yeah, that's uh... I've seen that system.
[00:55:24.600 --> 00:55:28.103]  It's a big old... If this is a system I've seen when they were doing drills here in the U.S.
[00:55:28.163 --> 00:55:35.430]  It's a big old .50 cal mounted up high and they're down in the seat and it's infrared looking around and you fire it from down inside the vehicle.
[00:55:35.510 --> 00:55:36.271]  It's like robotic.
[00:55:36.711 --> 00:55:37.632]  Prepare to copy that.
[00:55:37.652 --> 00:55:37.632]  89089226.
[00:55:37.672 --> 00:55:38.213]  Detection.
[00:55:38.233 --> 00:55:38.533]  202 degrees.
[00:55:38.553 --> 00:55:38.973]  Range 950 meters.
[00:55:38.993 --> 00:55:41.736]  I've got five mother bleepers in a building with weapons.
[00:55:48.556 --> 00:55:54.059]  Captain Kirk Mayfield, commander of the Phantoms, called for fire from the task force mortar team.
[00:55:54.940 --> 00:55:57.321]  But Sergeant Annette didn't want to wait.
[00:55:57.701 --> 00:55:59.422]  Dude, give me that sniper rifle.
[00:55:59.642 --> 00:56:00.483]  I can take them out.
[00:56:00.543 --> 00:56:01.683]  I'm from Alabama.
[00:56:02.784 --> 00:56:04.105]  Two minutes ticked by.
[00:56:04.385 --> 00:56:06.326]  They're moving deep, shouted Sergeant Annette.
[00:56:06.626 --> 00:56:13.930]  With disappointment, a dozen loud booms rattled the sky and smoke rose as mortars rained down on the coordinates the sergeant had given.
[00:56:14.682 --> 00:56:15.562]  Yeah, he yelled.
[00:56:15.662 --> 00:56:16.763]  Battle damage assessment.
[00:56:17.143 --> 00:56:17.523]  Nothing.
[00:56:17.663 --> 00:56:18.403]  Building's gone.
[00:56:18.964 --> 00:56:19.864]  I got my skills.
[00:56:19.944 --> 00:56:20.704]  I'm coming down.
[00:56:20.804 --> 00:56:22.225]  I just love my job.
[00:56:22.705 --> 00:56:26.467]  Phantom Troop had rolled out of Camp Fallujah, the main U.S.
[00:56:26.507 --> 00:56:28.787]  military base, shortly before 4 a.m.
[00:56:28.927 --> 00:56:29.528]  all morning.
[00:56:29.588 --> 00:56:34.870]  They took fire from Al-Asarki District in Fallujah's northeast.
[00:56:34.890 --> 00:56:37.991]  Their target for the invasion, Probert.
[00:56:38.911 --> 00:56:42.654]  The insurgents, not understanding the capabilities of the L.A.R.S.'
[00:56:42.634 --> 00:56:45.776]  's, crept along rooftops and poked their heads out of windows.
[00:56:46.296 --> 00:56:51.159]  Even when they were more than a mile away, the soldiers of Phantom Troop had their eyes on them.
[00:56:51.600 --> 00:56:53.381]  Lieutenant Jack Farley, U.S.
[00:56:53.401 --> 00:56:59.005]  Marines officer, sauntered over to compare notes with the Phantoms.
[00:56:59.045 --> 00:57:01.827]  You guys get to do all the fun stuff, he said.
[00:57:02.267 --> 00:57:03.588]  It's like a video game.
[00:57:04.508 --> 00:57:05.249]  And he continues.
[00:57:06.641 --> 00:57:09.042]  We've taken small arms fire here all day.
[00:57:09.122 --> 00:57:11.083]  It just sounds like popcorn going off.
[00:57:11.123 --> 00:57:16.226]  Another Marine stepped forward and began to fire an M4 rifle as the city.
[00:57:17.106 --> 00:57:19.228]  He's a reservist in San Diego Police.
[00:57:19.268 --> 00:57:22.409]  He wants a place and a piece of the action too.
[00:57:23.050 --> 00:57:27.752]  A Phantom Abrams tank moved up the road running along the high ground.
[00:57:27.812 --> 00:57:33.295]  It's a barrel stenciled with the words, Alibaba under three thieves.
[00:57:34.289 --> 00:57:41.477]  And it says, swiveled towards the city and then fired a 120mm round at a house where two men with AK-47s had been pinpointed.
[00:57:42.017 --> 00:57:45.601]  Ain't nobody moving now, shouted the soldier as the dust cleared.
[00:57:45.621 --> 00:57:49.105]  He rocked that guy's world.
[00:57:50.366 --> 00:57:54.911]  Now again, folks, in all our other wars, we've generally faced people with similar weapons.
[00:57:55.672 --> 00:57:56.713]  And, again,
[00:57:58.667 --> 00:58:04.270]  This is what we're going to face domestically here if the Marines can be conditioned to engage the American people.
[00:58:04.530 --> 00:58:06.271]  And I've been there where they're training them to do it.
[00:58:07.812 --> 00:58:16.737]  We're going to be facing hover drones, which they admit they have, with weapons bristling, small, armored, remote-controlled tanks about the size of a Volkswagen.
[00:58:17.677 --> 00:58:24.001]  And the problem with this type of system is that domestically it allows people to not actually see what they're doing up close.
[00:58:25.399 --> 00:58:30.344]  But obviously, it saves Marines' lives and soldiers' lives and the Army.
[00:58:31.304 --> 00:58:44.576]  And these are more precision weapons than the five-day bombardment by heavy artillery and jet bombers, which Rumsfeld called precision, which is a joke.
[00:58:45.437 --> 00:58:46.038]  So interesting.
[00:58:46.158 --> 00:58:49.541]  We'll read more of this later after your calls, and as guests, stay with us, we'll be right back.
[00:58:58.084 --> 00:58:58.744]  Big Brother.
[00:58:59.384 --> 00:59:00.445]  Mainstream media.
[00:59:01.165 --> 00:59:02.245]  Government cover-ups.
[00:59:02.905 --> 00:59:03.746]  You want answers?
[00:59:04.486 --> 00:59:05.366]  Well, so does he.
[00:59:05.386 --> 00:59:09.687]  He's Alex Jones on the GCN Radio Network.
[00:59:10.247 --> 00:59:14.368]  And now, live from Austin, Texas, Alex Jones.
[00:59:16.449 --> 00:59:19.630]  The battle for Fallujah is raging.
[00:59:20.270 --> 00:59:24.631]  Looks like even from the foreign Arab reports, it's going well for the
[00:59:26.045 --> 00:59:26.385]  U.S.
[00:59:26.625 --> 00:59:31.387]  forces, the coalition of one, that are taking part in this battle.
[00:59:32.308 --> 00:59:33.608]  We'll be covering that later.
[00:59:34.269 --> 00:59:36.450]  Also, Danny, Fred, and others, we're going to get your calls.
[00:59:36.470 --> 00:59:37.850]  We'll take a lot of calls in this hour.
[00:59:37.870 --> 00:59:41.092]  A bunch of news on the plunging dollar and the economy.
[00:59:42.832 --> 00:59:50.656]  But we've got a guest on with us that is, well, a really important issue and story.
[00:59:52.236 --> 01:00:03.178]  You've heard about the woman with the toy store selling knockoff Rubik's Cubes that are admittedly legal, and Homeland Security came and threatened her to take them off her shelves, but the border stays wide open.
[01:00:03.918 --> 01:00:11.819]  You've heard about people in bed rigging for more parking spaces, $4,000 bribes being charged under the Patriot Act, and having their rights stripped.
[01:00:12.559 --> 01:00:15.980]  We have all that posted on InfoWars.com and PrisonPlanet.com.
[01:00:17.580 --> 01:00:21.301]  But this new one was out of the Quad City Times, and it's up on the sites as well,
[01:00:22.646 --> 01:00:24.708]  Agents arrest man in threats.
[01:00:26.089 --> 01:00:40.662]  Inspectors from the Federal Protective Services, a branch of Homeland Security Department, arrested a Beddarford chiropractor Friday accused of making harassing phone calls to the
[01:00:42.822 --> 01:00:47.024]  Defense Department, Department of Veterans Affairs Office in Des Moines.
[01:00:47.465 --> 01:00:49.886]  And we have other examples of these arrests taking place.
[01:00:49.906 --> 01:00:54.329]  I have another article with somebody else on the East Coast complaining being arrested.
[01:00:54.889 --> 01:01:00.752]  He had been harassing them for the past three years, says Calvi.
[01:01:00.872 --> 01:01:05.335]  Calvi is one of these FPS, Homeland Security Officers.
[01:01:06.941 --> 01:01:15.263]  We were looking at the messages and while they were no direct threats, the language was abusive and derogatory and seems to be getting worse.
[01:01:15.283 --> 01:01:21.084]  And they go on to say after 9-11 we gotta take all this serious and we're under Homeland Security.
[01:01:22.264 --> 01:01:29.886]  And so he was arrested in front of his family for this supposed crime of complaining.
[01:01:31.046 --> 01:01:32.026]  And joining us
[01:01:33.506 --> 01:01:41.530]  Here on the air is Kenneth C. Tennant, 45, of Polk County, Iowa.
[01:01:41.590 --> 01:01:43.511]  Kenneth, doctor, good to have you on with us.
[01:01:44.751 --> 01:01:46.692]  Yes, good afternoon.
[01:01:47.252 --> 01:01:49.533]  I'd like to just say I'm not from Polk County.
[01:01:49.853 --> 01:01:52.815]  Polk County is where the Iowa capital is.
[01:01:52.895 --> 01:01:55.596]  I'm from Bettendorf, which is in Scott County.
[01:01:56.388 --> 01:02:03.550]  Okay, well that's just what the newspaper said, so... Okay, just to straighten that out, I'd like to give you a little background on this.
[01:02:03.650 --> 01:02:11.933]  I had served this country, I was in the military, and I received the military's mass vaccination program, which is pretty much at issue.
[01:02:12.613 --> 01:02:21.956]  The fact that a lot of these vaccines were administered in a way contrary to established procedures and safe practices.
[01:02:22.908 --> 01:02:26.089]  I've been complaining about these vaccines for a long time.
[01:02:26.330 --> 01:02:32.072]  If anyone cares to look at the Washington Post, Thursday, October 28th, you see a U.S.
[01:02:32.092 --> 01:02:41.816]  District Court judge, basically Emmett Sullivan, saying that these mandatory vaccination programs, you know, a lot of them, a lot of it is illegal.
[01:02:42.296 --> 01:02:43.177]  They're experimental.
[01:02:43.197 --> 01:02:43.457]  Well, it is.
[01:02:43.477 --> 01:02:47.418]  These are experimental vaccines where you have to get the victim's consent.
[01:02:47.919 --> 01:02:49.479]  Well, the troops, they don't get consent.
[01:02:49.499 --> 01:02:51.240]  They just say, take it to your court-martialed.
[01:02:52.202 --> 01:02:59.629]  That's correct, and it's my understanding some of them have even been imprisoned after returning from their tour of duty in Iraq.
[01:03:00.129 --> 01:03:01.190]  Well, I'll tell you what, doctor.
[01:03:01.410 --> 01:03:02.071]  We're going to break here.
[01:03:02.091 --> 01:03:02.892]  We're going to come back.
[01:03:02.912 --> 01:03:04.373]  I want to recap what you just said.
[01:03:04.393 --> 01:03:06.715]  Then I want to get into what happened to you last week.
[01:03:07.696 --> 01:03:10.899]  And how you were arrested, you told me this morning, in front of your family.
[01:03:11.219 --> 01:03:13.321]  And the federal officer over all this
[01:03:14.282 --> 01:03:23.527]  admits in the paper you didn't threaten anybody, so now complaining as a veteran to the VA with the admitted horrible things they do gets you arrested.
[01:03:23.567 --> 01:03:26.408]  So when we break, sir, we'll come right back to you, okay?
[01:03:26.628 --> 01:03:27.008]  Okay.
[01:03:27.849 --> 01:03:35.473]  We're talking to Kenneth C. Tennant about how he was arrested by Homeland Security admittedly for complaining.
[01:03:36.293 --> 01:03:37.354]  They just can't allow that.
[01:03:37.394 --> 01:03:38.074]  That's just evil.
[01:03:39.281 --> 01:03:49.387]  And we'll read some more of the quotes by the feds in this article out of the Quad City Times that's on Infowars.com right now.
[01:03:50.207 --> 01:03:50.787]  We'll be back.
[01:03:50.807 --> 01:03:51.968]  Your calls are coming up as well.
[01:03:53.509 --> 01:03:57.851]  Alex Jones here announcing the release of my new film, Police State 3 Total Enslavement.
[01:03:58.031 --> 01:04:02.494]  Police State 3 details the architecture, goals and operations of the New World Order.
[01:04:02.594 --> 01:04:06.996]  There is a chance to use this disaster for the New World Order.
[01:04:07.016 --> 01:04:08.337]  The New World Order.
[01:04:09.293 --> 01:04:10.936]  You will lose your liberty.
[01:04:23.933 --> 01:04:34.320]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
