[00:00:00.792 --> 00:00:01.395]  Sunday Night!
[00:25:17.082 --> 00:25:18.222]  They're not coming with blue helmets.
[00:25:18.442 --> 00:25:26.984]  They're coming with black rock regulators to turn off our energy and brainwash our kids and secretly teach your five-year-old how to cut their penis off.
[00:25:27.324 --> 00:25:34.786]  I mean, did you see, and I meant to cover this last week, the doctor in Texas, where they had kids as young as seven secretly having their breasts and genitals cut off?
[00:25:35.286 --> 00:25:39.127]  He exposed a crime under state law, and then now the feds have indicted him?
[00:25:39.187 --> 00:25:39.947]  The guy's a hero!
[00:25:41.818 --> 00:25:48.403]  That's real war, people, is being a doctor in a hospital where they're mutilating children and going public.
[00:25:48.443 --> 00:25:50.005]  Let them charge him with HIPAA violation.
[00:25:50.165 --> 00:25:51.166]  He released the names of the kids.
[00:25:51.426 --> 00:25:53.688]  He exposed pre-existing crimes happening.
[00:25:56.390 --> 00:25:59.613]  And if the crimes get exposed, that's it for the New World Order.
[00:26:01.674 --> 00:26:06.318]  The real soldier... I meant to give this guy attention and talk about him, but I never got to it last week.
[00:26:07.919 --> 00:26:08.440]  Print that for me.
[00:26:09.650 --> 00:26:18.854]  Just type in Texas doctor charged, Texas doctor facing prison for exposing illegal sex change surgeries.
[00:26:20.995 --> 00:26:23.176]  I mean, it's just, it's massive.
[00:26:23.236 --> 00:26:24.457]  That's what we need.
[00:26:25.217 --> 00:26:27.158]  We need information warfare.
[00:26:28.199 --> 00:26:29.840]  And yeah, you might get attacked for it.
[00:26:29.860 --> 00:26:31.340]  I mean, the point is though, that's how you win.
[00:26:31.560 --> 00:26:33.982]  You know, the doctor will get off, you know, he'll get pardoned.
[00:26:34.642 --> 00:26:36.363]  You know, he just saved a bunch of children's lives.
[00:26:36.423 --> 00:26:38.564]  So don't, don't, don't, don't, don't, don't think about this.
[00:26:39.651 --> 00:26:40.791]  As a military operation.
[00:26:41.272 --> 00:26:45.213]  Here's the converse of it, or the inverse of it, or a parallel to it.
[00:26:45.953 --> 00:26:51.755]  Swalwell famously said, we're going to take all your guns, we try to fight, we'll drop nuclear weapons on you.
[00:26:52.535 --> 00:26:53.956]  Now, nuclear weapons blow up whole cities.
[00:26:53.996 --> 00:26:55.016]  The cities are mainly blue.
[00:26:56.777 --> 00:26:58.137]  So, they kill their own people.
[00:26:58.177 --> 00:26:59.978]  You don't use nuclear weapons to take people's guns.
[00:27:00.718 --> 00:27:01.078]  The U.S.
[00:27:01.118 --> 00:27:03.019]  had nuclear weapons and Vietnam couldn't take their guns.
[00:27:04.437 --> 00:27:12.523]  So see how dumb militarily Swallowsville sounds, who doesn't know basic military systems and methodology?
[00:27:12.963 --> 00:27:17.686]  Well, it's just as dumb to say, I'm going to kill the Blue Helmets.
[00:27:17.726 --> 00:27:19.567]  You're never going to see Blue Helmets, folks.
[00:27:19.988 --> 00:27:20.968]  They're not going to come like that.
[00:27:21.168 --> 00:27:23.850]  They're going to legalize illegal aliens being military and police.
[00:27:24.391 --> 00:27:29.174]  They're going to make it illegal for your free speech and then come after you that way.
[00:27:31.756 --> 00:27:33.197]  Our criminal government created the U.N.
[00:27:33.277 --> 00:27:34.697]  All right, I'm going to shift gears.
[00:27:34.717 --> 00:27:40.680]  I'm going to come back with the Maxine Waters Club, get into all this, and then rats leaving the sinking ship.
[00:27:40.740 --> 00:27:44.121]  All these top Democrats coming out now basically admitting Trump's going to win.
[00:27:44.562 --> 00:27:47.263]  Trump now in major polls is set to win by massive numbers.
[00:27:47.523 --> 00:27:50.124]  All swing states, including Minnesota.
[00:27:50.784 --> 00:27:52.005]  It's all coming out of Alex Jones.
[00:27:51.825 --> 00:28:04.705]  Stay with it.
[00:28:04.705 --> 00:28:09.699]   *Sigh* Deep State's planned terror attacks to blame on us.
[00:28:09.719 --> 00:28:10.199]  Guaranteed.
[00:28:11.120 --> 00:28:13.561]  The Alex Jones Show.
[00:28:14.021 --> 00:28:15.561]  Because there is a war on.
[00:28:16.001 --> 00:28:17.002]  Or you're mine.
[00:28:17.662 --> 00:28:20.643]  And they don't want us on air ahead of this to warn the people.
[00:28:20.663 --> 00:28:21.383]  They're desperate.
[00:28:22.504 --> 00:28:24.245]  They don't want us on air when they carry it out.
[00:28:25.605 --> 00:28:27.546]  They'll have to have an internet kill switch in place.
[00:28:28.683 --> 00:28:34.846]  Basically kill all other major media and websites and only force you to government sites to keep us quiet.
[00:28:35.366 --> 00:28:35.806]  They failed.
[00:28:35.826 --> 00:28:37.587]  We got backups.
[00:28:37.647 --> 00:28:38.107]  We're ready.
[00:28:39.288 --> 00:28:41.089]  We've been busy little beavers.
[00:28:44.270 --> 00:28:45.331]  But I mentioned Waters.
[00:28:45.351 --> 00:28:46.531]  It's just the latest.
[00:28:48.232 --> 00:28:49.933]  But basically all the Democrats are saying this.
[00:28:49.953 --> 00:28:51.514]  They're worried Trump's going to be violent.
[00:28:51.534 --> 00:28:52.274]  He's going to kill people.
[00:28:54.312 --> 00:28:55.634]  Trump's the anti-war guy.
[00:28:55.734 --> 00:28:56.696]  Trump's the businessman.
[00:28:56.756 --> 00:28:59.441]  Trump didn't do anything to them during four years of persecution.
[00:28:59.741 --> 00:29:04.469]  They're the ones doing all this, and then they're everywhere saying, secret militias are training in the woods.
[00:29:04.489 --> 00:29:05.711]  They're gonna kill black people.
[00:29:06.693 --> 00:29:07.674]  Come on, you know what that means.
[00:29:08.803 --> 00:29:13.084]  They are souping up and preparing the groups to attack black people.
[00:29:13.424 --> 00:29:18.365]  And I've been saying that for years, the last few years, before they started the hype.
[00:29:19.005 --> 00:29:21.706]  Because I could see the National Security Directive getting the FBI ready.
[00:29:22.086 --> 00:29:26.067]  The number one terror threat in America is white people that are going to kill black people.
[00:29:29.107 --> 00:29:30.528]  The statistics show the opposite of that.
[00:29:32.728 --> 00:29:37.129]  The rarest thing in America is an Asian killing somebody.
[00:29:41.383 --> 00:29:42.604]  And when they do, it's other Asians.
[00:29:42.624 --> 00:29:42.984]  Look it up.
[00:29:43.424 --> 00:29:45.366]  What's the next rarest thing?
[00:29:46.806 --> 00:29:48.648]  A white person killing a black person.
[00:29:48.728 --> 00:29:50.929]  White people actually kill quite a few folks.
[00:29:50.969 --> 00:29:52.010]  They mainly kill white people.
[00:29:53.030 --> 00:29:54.431]  It's like Hispanics kill a lot of people.
[00:29:54.471 --> 00:29:55.432]  They mainly kill Hispanics.
[00:29:55.692 --> 00:29:56.212]  People they know.
[00:29:56.232 --> 00:29:57.013]  People they're pissed off at.
[00:29:59.875 --> 00:30:02.096]  Black folks, it's just the statistics.
[00:30:02.996 --> 00:30:13.039]  They're the number one threat to black folks, they're the number one threat to other people, and it's a very small minority of black males doing it, but they're responsible for 60% of the violent crime in America.
[00:30:13.059 --> 00:30:22.562]  About 1% of the population is responsible for close to 60%, and that's black males 24 and under.
[00:30:23.905 --> 00:30:25.206]  I'm sorry, it's a fact.
[00:30:25.266 --> 00:30:25.787]  Can't deny it.
[00:30:26.307 --> 00:30:27.588]  Don't blame most black people for it.
[00:30:28.269 --> 00:30:36.055]  But when you sit there and you constantly hear white people are the number one terror threat, it is ridiculous.
[00:30:38.057 --> 00:30:39.158]  But they're gonna make it true.
[00:30:40.238 --> 00:30:42.981]  So you gotta ask yourself, what are they planning right now?
[00:30:43.881 --> 00:30:48.105]  There isn't a Trump supporter in his right mind who wants to go kill some black people.
[00:30:50.896 --> 00:30:54.539]  If anything, you go to a Trump rally and you're black and you're carried around on folks' shoulders.
[00:30:54.679 --> 00:30:55.480]  And everybody knows that.
[00:30:55.920 --> 00:30:56.581]  Just pay attention.
[00:30:58.342 --> 00:30:59.903]  So I want to play you Maxine Waters.
[00:30:59.923 --> 00:31:01.564]  I don't want to get into why they're so scared.
[00:31:02.105 --> 00:31:02.605]  Here she is.
[00:31:04.727 --> 00:31:09.631]  How concerned are you, Congresswoman, about your safety if Donald Trump is re-elected?
[00:31:11.121 --> 00:31:23.393]  Well, I'm very concerned, not only about my safety, and not only about the safety of members of Congress, I'm concerned about the safety of so many people in this country, particularly people of color.
[00:31:23.713 --> 00:31:32.079]   Donald Trump has said That if he does not win, it's going to be fraud.
[00:31:32.539 --> 00:31:36.220]  And because it's going to be fraud, there's going to be blood in the streets.
[00:31:36.540 --> 00:31:40.742]  He threatens about a civil war, and he threatens there's going to be violence.
[00:31:41.002 --> 00:31:54.187]  So I say all of this talk is motivational with many of those who are racist, who are sitting at home listening to him, and they're taking him up on his threats even before the elections take place.
[00:31:54.527 --> 00:32:08.071]   And so it's about Thousands, maybe millions of people, you know, being threatened and being at risk because of Donald Trump and his desire to wreak revenge on anything and everybody.
[00:32:08.091 --> 00:32:09.371]  All right, that's enough.
[00:32:09.431 --> 00:32:09.991]  It goes on.
[00:32:10.011 --> 00:32:11.431]  It goes on for five minutes.
[00:32:11.491 --> 00:32:12.852]  I'm not going to subject everybody to it.
[00:32:12.872 --> 00:32:14.012]  You want the full clip?
[00:32:14.032 --> 00:32:17.033]  There's an article on Infowars.com with Maxine Waters.
[00:32:17.653 --> 00:32:20.173]  There will be violence and more killings if Trump wins election.
[00:32:20.754 --> 00:32:22.274]  Notice she called him Donald Threat.
[00:32:27.048 --> 00:32:29.710]  And then she said, he's promised blood in the streets.
[00:32:31.992 --> 00:32:34.894]  He said, if U.S.
[00:32:34.934 --> 00:32:43.861]  car companies move their car companies to Mexico to build electric cars, he's going to put a 100% tariff on it, and there's going to be a bloodbath.
[00:32:44.801 --> 00:32:48.564]  That's a corporate term for insolvency and bankruptcy.
[00:32:48.584 --> 00:32:56.802]   And you look up what definition of bloodbath, and it's The first definition is corporate collapse.
[00:32:58.364 --> 00:33:00.525]  So, she's mixing all this in here.
[00:33:01.426 --> 00:33:02.967]  Trump's trying to keep jobs in America?
[00:33:03.147 --> 00:33:04.228]  That's going to kill black people.
[00:33:04.308 --> 00:33:05.889]  What the hell does that even mean?
[00:33:08.090 --> 00:33:14.995]  If you look at factory workers, for high-skilled folks, who's the second largest group working in car factories?
[00:33:15.075 --> 00:33:16.256]  It's black people.
[00:33:17.697 --> 00:33:20.859]  So in reality, Trump is trying to get jobs in U.S.
[00:33:20.899 --> 00:33:24.100]  factories, and she turns that into he's gonna kill black people.
[00:33:24.801 --> 00:33:28.903]  I mean, show us a clip, Maxine, where he threatened a bloodbath.
[00:33:30.023 --> 00:33:30.503]  Didn't do it.
[00:33:31.544 --> 00:33:36.666]  The quote is, you move our car companies to Mexico with U.S.
[00:33:36.707 --> 00:33:42.249]  subsidies for electric cars, and I get elected, I will put 100% tariff on you, and there'll be a bloodbath.
[00:33:43.930 --> 00:33:47.012]   It's like when Macron put a bunch of Tariffs on our stuff.
[00:33:47.032 --> 00:33:50.013]  And Trump called him and said, fine, I'm putting a 100% tariff on wine tomorrow.
[00:33:50.914 --> 00:33:52.775]  He called back three minutes later and said, we're done.
[00:33:52.795 --> 00:33:53.455]  We're not going to do it.
[00:33:57.116 --> 00:33:58.117]  Definition of bloodbath.
[00:33:58.317 --> 00:34:01.398]  Informal, a period of disastrous loss of or reversal.
[00:34:02.178 --> 00:34:06.240]  A few mutual funds performed well in the general bloodbath of the stock market.
[00:34:08.040 --> 00:34:09.221]  That's the bloodbath.
[00:34:10.973 --> 00:34:14.014]  I'm not like the media, the corporate media, that tells you something and doesn't show it.
[00:34:14.034 --> 00:34:17.315]  Guys, pull up Trump bloodbath, Trump electric car bloodbath.
[00:34:17.335 --> 00:34:20.995]  Just type in Trump electric car bloodbath, but let's just show it to people for new viewers.
[00:34:22.776 --> 00:34:24.236]  Oh my God, this woman is such a liar.
[00:34:24.456 --> 00:34:30.918]  So, that's where we are, but here's the latest exclusive.
[00:34:31.058 --> 00:34:39.200]  New docs from disbanded DHS Deep State group reveal the Biden administration views Trump supporters as domestic terror threats.
[00:34:40.638 --> 00:34:57.124]  And today's America First legal has sued, and just got the documents last week, where the Biden administration is secretly training DHS that if you're a Trump supporter, you are a terrorist, or if you're religious, you are a terrorist, or quote, in the military, overhead shot, you are a terrorist.
[00:34:57.384 --> 00:34:58.745]  These are quotes from the document.
[00:34:59.305 --> 00:35:02.026]  You cannot make this up.
[00:35:02.807 --> 00:35:09.149]  You're in the military, you're religious, you're a domestic violent extremist, if you support Trump.
[00:35:10.626 --> 00:35:12.667]  And what came out last week in Congress?
[00:35:13.787 --> 00:35:18.129]  There's a loyalty test at the FBI going on for three years.
[00:35:18.169 --> 00:35:19.149]  We just learned about it last week.
[00:35:19.169 --> 00:35:20.270]  I could tell you it was going on.
[00:35:20.290 --> 00:35:20.970]  I could see it.
[00:35:22.251 --> 00:35:25.272]  Not as critical race theory, not as transgenderism, not all that crap.
[00:35:25.572 --> 00:35:26.152]  That's bad enough.
[00:35:28.833 --> 00:35:32.935]  Asking FBI agents, anybody that works the FBI, did you support Trump?
[00:35:33.235 --> 00:35:34.135]  What is it your business?
[00:35:34.155 --> 00:35:35.016]  You can vote for who you want.
[00:35:35.076 --> 00:35:37.877]  Did you support Trump in the last election or in 2016?
[00:35:39.639 --> 00:35:40.639]  And are you pro-gun?
[00:35:45.580 --> 00:35:47.060]  So these are loyalty tests, folks.
[00:35:47.780 --> 00:35:49.781]  And they're getting ready for this right now.
[00:35:49.981 --> 00:35:50.761]  Then we've got this clip.
[00:35:54.362 --> 00:36:08.164]  Michigan State Senator Jim Rundstad is furious today after Democrats passed a bill that changes a 70-year-old law and prevents the Board of Canvassers from investigating election fraud.
[00:36:12.461 --> 00:36:15.842]  Think they're getting ready to try to steal it again?
[00:36:15.862 --> 00:36:18.003]  They're trying to make it illegal to question it.
[00:36:19.463 --> 00:36:22.724]  Trump, resurgent.
[00:36:23.284 --> 00:36:25.425]  Joe Biden's fundraising lead vanishes.
[00:36:25.945 --> 00:36:27.946]  Biden campaign reportedly despondent.
[00:36:28.546 --> 00:36:33.007]  So Biden was three to one ahead of Trump until the conviction.
[00:36:33.307 --> 00:36:42.628]  And now Trump's raised $800 million in 23 days.
[00:36:42.628 --> 00:36:45.987]  [BLANK_AUDIO]
[00:36:46.217 --> 00:36:47.017]  One trick pony.
[00:36:47.057 --> 00:36:49.659]  Biden blames Trump for everything, accepts responsibility for nothing.
[00:36:51.100 --> 00:36:54.682]  Trump's no tax on tips movement exploding.
[00:36:56.423 --> 00:37:00.525]  LGBTQ Dems of Maryland leader caught in child predator sting.
[00:37:01.946 --> 00:37:03.247]  Trying to rape a 14 year old boy.
[00:37:05.168 --> 00:37:10.469]  And then Sanders gets up on TV and goes, Donald Trump is getting money from the billionaires.
[00:37:10.809 --> 00:37:12.350]  He's funded by the rich people.
[00:37:12.650 --> 00:37:18.831]  No, Trump's gotten record small donations and over 90% of his donations are smaller than $50.
[00:37:21.252 --> 00:37:24.753]  By the way, they found the clip of Trump's bloodbath comment.
[00:37:24.773 --> 00:37:25.053]  Here it is.
[00:37:26.144 --> 00:37:34.429]  Mexico has taken over a period of 30 years, 34% of the automobile manufacturing business in our country.
[00:37:34.469 --> 00:37:34.950]  Think of it.
[00:37:35.330 --> 00:37:36.170]  Went to Mexico.
[00:37:36.651 --> 00:37:48.158]  China now is building a couple of massive plants where they're going to build the cars in Mexico and think, they think, that they're going to sell those cars into the United States with no tax at the border.
[00:37:48.438 --> 00:37:49.939]  Let me tell you something to China.
[00:37:50.359 --> 00:37:54.881]  If you're listening, President Xi, and you and I are friends, but he understands the way I deal.
[00:37:55.321 --> 00:38:06.986]  Those big monster car manufacturing plants that you're building in Mexico right now, and you think you're going to get that, you're going to not hire Americans, and you're going to sell the cars to us?
[00:38:07.026 --> 00:38:07.246]  No.
[00:38:07.706 --> 00:38:14.989]  We're going to put a 100% tariff on every single car that comes across the line, and you're not going to be able to sell those cars.
[00:38:15.309 --> 00:38:22.227]   If I get elected, Now, if I don't get elected, it's gonna be a bloodbath for the whole... That's gonna be the least of it.
[00:38:22.287 --> 00:38:24.007]  It's gonna be a bloodbath for the country.
[00:38:24.047 --> 00:38:25.147]  That'll be the least of it.
[00:38:25.708 --> 00:38:27.268]  But they're not gonna sell those cars.
[00:38:27.288 --> 00:38:28.829]  They're building massive factories.
[00:38:28.869 --> 00:38:33.910]  A friend of mine... So... That's what he said.
[00:38:34.870 --> 00:38:36.131]  A bloodbath for the car industry.
[00:38:36.231 --> 00:38:36.531]  Okay.
[00:38:37.091 --> 00:38:47.248]   So... We have... CNN host, ABC host, CBS host, We have Andrew Cuomo, the former governor of New York.
[00:38:47.308 --> 00:38:49.169]  We have Bill Maher.
[00:38:49.269 --> 00:38:50.149]  We have Judge Judy.
[00:38:50.890 --> 00:38:55.493]  All these Democrats coming out and saying we should have left Trump alone.
[00:38:55.973 --> 00:38:56.854]  This needs to stop.
[00:38:56.894 --> 00:38:58.495]  Now, why are they doing that?
[00:38:58.575 --> 00:39:02.677]  Because they know that even New Jersey is in play to go Trump now.
[00:39:02.958 --> 00:39:03.818]  The landslide's so big.
[00:39:04.338 --> 00:39:06.600]  Real polls, he's 20 plus points ahead nationwide.
[00:39:07.741 --> 00:39:09.122]  But battlegrounds are key.
[00:39:09.242 --> 00:39:11.103]  He's 13 to 15 points ahead in those.
[00:39:11.383 --> 00:39:14.165]  There's more polls out Friday on that, two days ago.
[00:39:15.618 --> 00:39:18.699]  And so, they're in complete panic mode.
[00:39:20.479 --> 00:39:28.462]  And Americans love an underdog, and they love somebody who isn't a criminal, who the media keeps telling them is criminals.
[00:39:29.522 --> 00:39:38.685]  And we watch the establishment commit all these crimes, do all these terrible things, and then point their finger at Trump, or myself, or other people, and try to throw us in prison.
[00:39:38.845 --> 00:39:39.905]  It just doesn't work!
[00:39:40.706 --> 00:39:44.107]  Americans are smarter than the system gives them credit.
[00:39:44.127 --> 00:39:44.847]  I'll be honest with you.
[00:39:45.563 --> 00:39:49.645]  Americans have been asleep, Americans have been decadent, myself included, Americans have been lazy.
[00:39:51.006 --> 00:39:52.267]  But Americans are not pussies.
[00:39:53.487 --> 00:39:59.991]  And when you mess with us enough, and you bully us enough, strangely, we don't start bowing down at that.
[00:40:00.011 --> 00:40:01.492]  We're like, alright, alright.
[00:40:02.872 --> 00:40:05.354]  Okay, if you want to fight, you're going to get one, politically.
[00:40:06.634 --> 00:40:07.815]  That's the smart way to do this.
[00:40:07.935 --> 00:40:11.257]  But the system tries to bully me all the time, as you know.
[00:40:12.248 --> 00:40:16.872]  And it is a pleasure to be persecuted to fight these people.
[00:40:17.052 --> 00:40:19.494]  It's not a, it's not like, oh, I'm tough, I can take it.
[00:40:19.855 --> 00:40:21.336]  No, I like it.
[00:40:21.997 --> 00:40:23.238]  And I'll talk more about that in a moment.
[00:40:24.479 --> 00:40:27.241]  But since I mentioned it, oh, there's another clip too.
[00:40:27.281 --> 00:40:28.742]  I forgot to send the crew, but they're grabbing it right now.
[00:40:29.283 --> 00:40:29.743]  It's up on it.
[00:40:30.284 --> 00:40:31.525]  It's up on InfoWars.com.
[00:40:31.585 --> 00:40:31.985]  Oh, it's ready.
[00:40:32.005 --> 00:40:32.666]  We'll get to that first.
[00:40:33.426 --> 00:40:36.429]  MSNBC's twisted take on illegal alien killings goes viral.
[00:40:37.230 --> 00:40:38.591]  Even Elon Musk weighs in.
[00:40:42.591 --> 00:40:48.113]  There's several clips actually where they make jokes and laugh about raped people and dead people.
[00:40:51.194 --> 00:40:57.016]  I mean, this is getting insane.
[00:40:59.677 --> 00:41:01.397]  This is, this is, this is out of control.
[00:41:03.578 --> 00:41:09.235]   MSNBC hosts make joke and laugh About illegal aliens raping a little girl.
[00:41:09.835 --> 00:41:13.218]  Guys, I meant to send you that clip, this one's another clip of them making jokes.
[00:41:13.998 --> 00:41:23.866]  Just send it, I don't know why we don't, maybe it's on my list, I missed it, but it's just a clip where, from Friday, headline, Democrats laugh about girl raped by illegal in New York.
[00:41:24.246 --> 00:41:25.928]  And then you found this other one too, so good.
[00:41:27.389 --> 00:41:32.533]  That's the problem here, there's like too much, I'm like a dog in a butcher shop, I mean these people are crazy.
[00:41:34.119 --> 00:41:37.900]  So let's get to these, these Bill Maher clubs.
[00:41:38.501 --> 00:41:56.347]  So Bill Maher asked how the heck Biden is ahead of Trump in the polls when he lost 14 points among Hispanics, 43 points among black voters, under 50 favorability and among student debt holders.
[00:41:58.991 --> 00:42:01.492]  Because a lot of polls are scientific.
[00:42:01.512 --> 00:42:04.513]  You look at the company, the methodology, you have to read the methodology how they did it.
[00:42:05.734 --> 00:42:10.656]  So in the scientific polls, he's 20 points ahead nationwide, 13, 15, depending where you're at.
[00:42:11.116 --> 00:42:14.657]  In the battleground states, you can't override that with fraud.
[00:42:14.977 --> 00:42:16.438]  Not enough dead people get that job done.
[00:42:18.279 --> 00:42:29.333]   And at the same time, You've got all these other weird little polls they do where they're showing Biden ahead of Trump.
[00:42:29.893 --> 00:42:31.594]  And you look at the methodology, there's no methodology.
[00:42:31.614 --> 00:42:32.254]  They just claim it.
[00:42:33.434 --> 00:42:47.577]  So Bill Maher goes, well, how is Trump getting double the support on average he got just three and a half years ago in these other polls with blacks and women and Hispanics?
[00:42:48.417 --> 00:42:50.918]  And then how now is Biden still ahead?
[00:42:50.938 --> 00:42:52.118]  There's only so many people.
[00:42:53.680 --> 00:42:54.220]  That's a fraud!
[00:42:55.680 --> 00:43:04.263]  And then he talks to Cuomo about the criminal conviction, and Cuomo says, yeah, it's total crap.
[00:43:06.683 --> 00:43:08.684]  But Fox News is always the Judas Goat.
[00:43:08.704 --> 00:43:18.266]  Remember Fox News was the group that in 2020 declared, before the polls were even close to closing, that Biden was the winner of Arizona.
[00:43:19.625 --> 00:43:21.947]  And so, where are the fake polls coming from?
[00:43:22.347 --> 00:43:23.228]  Fox News.
[00:43:23.848 --> 00:43:25.870]  You keep your friends close, your enemies closer.
[00:43:26.270 --> 00:43:30.774]  Fox News is there to keep conservatives close, so they can stab you in the back at the right time.
[00:43:30.794 --> 00:43:33.736]  But first, here's Bill Maher.
[00:43:33.776 --> 00:43:37.579]  And the full clip is on Infowars.com if you want to see it.
[00:43:37.599 --> 00:43:44.524]  I'm not going to play the whole thing, but Maher audience silenced after Andrew Cuomo admits to New York City Trump trials should have never happened.
[00:43:44.544 --> 00:43:45.765]  We'll play that secondarily.
[00:43:46.145 --> 00:43:49.348]  First, here is Bill Maher on the polls not making sense.
[00:43:51.310 --> 00:43:54.854]  45% of Hispanic voters prefer Biden compared to 39% for Trump.
[00:43:55.174 --> 00:43:55.955]  Last time he won, 59%.
[00:43:57.576 --> 00:43:58.197]  That was 2020.
[00:43:58.557 --> 00:44:00.279]  So he's lost 14 points there.
[00:44:01.300 --> 00:44:02.221]  He went to Morehouse.
[00:44:02.261 --> 00:44:07.226]  He said, what is democracy if you have to be 10 times better than anyone else to get a fair shot?
[00:44:07.286 --> 00:44:08.808]  That seemed like pandering to me.
[00:44:09.228 --> 00:44:10.089]  Black voters under 50.
[00:44:11.735 --> 00:44:22.025]  He led by 80 points in 2020, now by 37, still a lot, but he's lost 43 points off the key constituency, student loans.
[00:44:22.205 --> 00:44:25.945]  He's forgiven $144 billion in student loans.
[00:44:25.945 --> 00:44:31.205]  Only 36% of student debt holders like it.
[00:44:31.201 --> 00:44:34.042]  I mean, if you can't win the people you're pandering to.
[00:44:34.342 --> 00:44:35.043]  I mean, I get it.
[00:44:35.103 --> 00:44:36.744]  Politics is somewhat about pandering.
[00:44:36.764 --> 00:44:37.784]  That's not even an insult.
[00:44:37.804 --> 00:44:40.966]  You're supposed to do what people want to a certain degree, also be a leader.
[00:44:41.406 --> 00:44:47.049]  But if you're not winning these groups, and he's lost 8% off women since 2020.
[00:44:47.869 --> 00:44:50.571]  And yet I read in the polls, he pulled ahead this week.
[00:44:51.611 --> 00:44:52.332]  Explain that to me.
[00:44:52.472 --> 00:44:56.054]  The trial in New York, the one he got convicted for.
[00:44:57.455 --> 00:44:59.396]  Was the greatest fundraising bonanza ever.
[00:44:59.576 --> 00:45:03.538]  He's now, he was lagging behind Biden and now he's pulled quite a bit ahead.
[00:45:03.938 --> 00:45:12.863]  That trial was the greatest reason people had to send their checks for 5, 10, 25, whatever dollars to Donald Trump.
[00:45:13.223 --> 00:45:17.005]  So I was always with you on the one in New York, the hush money trial.
[00:45:17.025 --> 00:45:18.386]  I don't think they should have brought that one.
[00:45:18.766 --> 00:45:23.449]  It was just always going to look like a sex case and people were always just going to look at it that way.
[00:45:24.929 --> 00:45:29.012]  That case, the Attorney General's case in New York, frankly, should have never been brought.
[00:45:29.472 --> 00:45:37.437]  And if his name was not Donald Trump, and if he wasn't running for president from the former AG in New York, I'm telling you that case would have never been brought.
[00:45:38.077 --> 00:45:40.098]  And that's what is offensive to people.
[00:45:40.859 --> 00:45:41.579]  And it should be.
[00:45:42.159 --> 00:45:46.062]  Because if there's anything left, it's belief in the justice system.
[00:45:48.123 --> 00:45:51.325]  So, Cuomo and Maher are not doing this as good people.
[00:45:52.405 --> 00:45:55.813]   They know The majority of America supports Trump.
[00:45:57.354 --> 00:45:59.496]  And they know no amount of election fraud is going to fix this.
[00:45:59.516 --> 00:46:01.638]  So they're getting on the right side of history, they think.
[00:46:02.759 --> 00:46:04.801]  So this is rats leaving a sinking ship.
[00:46:05.181 --> 00:46:06.122]  Here's Judge Judy.
[00:46:07.918 --> 00:46:31.687]  I would be happier, as someone who owns property in Manhattan, if the District Attorney of New York County would take care of criminals who are making it impossible for citizens to walk in the streets and use the subway, to use his efforts to keep those people off the street, than to spend $5 million or $10 million of taxpayers' money trying Donald Trump on this nonsense.
[00:46:32.367 --> 00:46:32.988]  That's my view.
[00:46:34.088 --> 00:46:44.434]  But I, as a taxpayer in this country, resent using the system for your own personal self-aggrandizement.
[00:46:45.655 --> 00:46:49.857]  Now, if you didn't know... And that's what you think the DA did in Manhattan?
[00:46:50.233 --> 00:46:50.873]  That's what I think.
[00:46:51.314 --> 00:46:56.897]  I mean, if you look, he had to twist yourself into a pretzel to figure out what the crime was.
[00:46:57.697 --> 00:46:58.458]  He doesn't like him.
[00:46:59.298 --> 00:47:01.799]  New York City didn't like him for a while.
[00:47:01.979 --> 00:47:02.260]  Trump.
[00:47:02.280 --> 00:47:02.480]  Trump.
[00:47:02.780 --> 00:47:04.041]  What do you think of Donald Trump?
[00:47:06.642 --> 00:47:07.442]  What do I think of him?
[00:47:11.044 --> 00:47:21.259]   I think he was A good businessman, a real estate guy, and he was certainly terrific on The Apprentice.
[00:47:24.602 --> 00:47:36.551]  Alright, here's a couple clips of Joy Reid on MSNBC and some of the other hosts just absolutely behaving disgustingly about the illegal alien crime wave, where all over the world they're dumping their criminals on us.
[00:47:37.371 --> 00:47:45.086]   So here's Joy Reid making jokes about Little girls being raped, and then we've got other clips of them making jokes about dead people.
[00:47:45.126 --> 00:47:45.407]  Here it is.
[00:47:46.186 --> 00:47:48.167]  But there's a lot of fear-mongering.
[00:47:48.187 --> 00:47:49.688]  There's a lot of fear-mongering, absolutely.
[00:47:49.908 --> 00:47:57.373]  And I think it's kind of remarkable that the polls I look at, the national polls, actually Americans still support immigrants.
[00:47:57.393 --> 00:47:58.574]  They support immigration.
[00:47:58.914 --> 00:48:04.918]  It's just that they would like to see a system that actually works and that can keep them safe and secure.
[00:48:05.399 --> 00:48:06.379]  And all of us want that.
[00:48:06.540 --> 00:48:11.723]  And you know, I've been working on this issue for 20 years, since before I came to Congress, in the streets as an activist.
[00:48:11.783 --> 00:48:16.207]  Let me show you, this is one of the reasons that people have this sort of thinking.
[00:48:16.547 --> 00:48:20.151]  Here's the three cable networks reporting on this.
[00:48:20.271 --> 00:48:25.436]  Our banner said, soon Biden announces legal protections for undocumented spouses via citizens.
[00:48:25.476 --> 00:48:29.239]  CNN's banner said, Biden announces new protections for some undocumented spouses.
[00:48:29.640 --> 00:48:32.863]  Here was Fox's banner, migrant arrested for raping 13-year-old New York City.
