[00:00:02.809 --> 00:00:05.009]  Ladies and gentlemen, it is The Alex Jones Show.
[00:26:10.859 --> 00:26:23.990]  They admit they're losing control and their plan that they thought for this technocracy and this things to come that kind of H.G. Wells is one of the progenitors I think?
[00:26:34.780 --> 00:26:38.960]  So now their plan is actually not working.
[00:26:39.380 --> 00:26:48.359]  They also said corporate world government would be administered to end war and to redistribute wealth, not through communism, but through kind of a crony capitalist system.
[00:26:48.640 --> 00:26:51.440]  But of course, we've seen a bigger vertical integration of wealth.
[00:26:51.829 --> 00:26:52.849]  We've never seen in history.
[00:26:53.150 --> 00:26:55.470]  And these greedy groups basically pay no taxes.
[00:26:55.710 --> 00:26:57.430]  And so they have all this altruistic talk.
[00:26:57.890 --> 00:27:01.349]  They even admit it's falling apart because they all just ran off with the money.
[00:27:01.630 --> 00:27:05.089]  And now they think things are falling apart so bad that it's even mainstream news.
[00:27:05.210 --> 00:27:06.569]  I broke this, you know, decades ago.
[00:27:09.059 --> 00:27:12.480]  These top billionaires are all building huge bunkers in the middle of nowhere.
[00:27:13.160 --> 00:27:22.160]  Zuckerberg's got his in Kauai, and they are all, you know, just waiting to run to the hills and all have these huge escape yachts that aren't just for entertaining.
[00:27:23.019 --> 00:27:26.779]  And I mean, I knew from sources I talked about this almost 18 years ago.
[00:27:27.039 --> 00:27:34.980]  I was with a big producer in Hollywood, and he went around and showed me the studios of James Cameron, making a movie with him.
[00:27:35.119 --> 00:27:39.420]  They said, oh, Cameron probably won't make many more movies, which he really hasn't, because he thinks the end of the world's coming.
[00:27:39.440 --> 00:27:45.259]  He's gone to New Zealand, and he was going to roll out all the hologram movie theaters and all this, but he just doesn't think it's going to matter.
[00:27:45.779 --> 00:27:49.680]  And then they told me later, I saw pieces of the news that, oh, yeah, Cameron...
[00:27:51.230 --> 00:27:54.630]  Cameron, you know, has this fleet of ships, he says, looking for sunken ships.
[00:27:54.730 --> 00:27:56.509]  But really, that's the tax write-off.
[00:27:56.690 --> 00:27:59.109]  So when everything collapses, he can escape to the ocean.
[00:27:59.329 --> 00:28:00.730]  Well, then now you see the headlines.
[00:28:00.930 --> 00:28:02.170]  Elites, you know, have the...
[00:28:02.170 --> 00:28:04.150]  Right, I hear what you're saying.
[00:28:04.150 --> 00:28:05.509]  And so that's my question.
[00:28:05.630 --> 00:28:09.170]  I'm asking you actually to kind of predict the future, what you're feeling about the future.
[00:28:09.349 --> 00:28:18.549]  Because I'm not really... I'm hearing you say that they think it's going to be a catastrophe or they think they're going to be able to centralize and end war and distribute wealth, that kind of thing.
[00:28:19.480 --> 00:28:28.140]  So my question to you is, is one of those outcomes likely in your opinion, or are they just going to fail?
[00:28:28.259 --> 00:28:37.200]  Are they just going to fail, and people are going to get back to taking care of their own families and their own communities and become hyper-localized, which is really the bromide for all this?
[00:28:37.420 --> 00:28:40.559]  What's your prediction? Well...
[00:28:41.940 --> 00:28:49.920]  I don't think that the establishment, which act like they're all unified, and they'll agree on certain policies and power grabs, but they're actually fighting with each other.
[00:28:50.660 --> 00:28:53.420]  They call themselves the Anglo-American establishment.
[00:28:54.360 --> 00:28:56.900]  And notice when Putin talks about the West, he calls it that.
[00:28:57.039 --> 00:29:03.519]  And that's an old term, but that's what they call themselves, kind of the British Empire merged with America and the West, and then kind of the EU is in the middle.
[00:29:03.839 --> 00:29:10.859]  And then China is the other big power block, and then Russia, junior to that, and you've got the Arab states and, you know, all the things that are happening.
[00:29:11.000 --> 00:29:12.920]  But absolutely, that really is the question.
[00:29:13.220 --> 00:29:14.799]  I believe we control our destiny.
[00:29:14.799 --> 00:29:18.019]  I'm seeing major signs everywhere of not just...
[00:29:18.779 --> 00:29:29.299]  The globalist plan for world government failing, and then there being giant wars due to, you know, the issues that are there, and not just problems they've caused.
[00:29:29.339 --> 00:29:40.720]  We've got plenty of problems the globalists didn't cause, and the technocrats didn't cause, versus people like Elon Musk coming in, admitting, you know, at the World Government Summit last year, put on with the WEF. He said, we want firewalls.
[00:29:40.740 --> 00:29:42.960]  We want, you know, bulkheads and ships.
[00:29:43.059 --> 00:29:45.059]  We don't want a one-world government with centralized stuff.
[00:29:45.079 --> 00:29:51.880]  That always creates a nightmare. We want decentralization and then good ideas Globally, but also locally, that people then adopt.
[00:29:51.940 --> 00:29:53.799]  Is that going to win? Is that going to happen?
[00:29:55.180 --> 00:29:57.779]  What's your prediction? I want you to put a bet down.
[00:29:57.900 --> 00:30:17.309]  I want to bet. I would give us about a 60% chance that we're able to stabilize the planet and be honest and release all these advanced technologies and things that the globalists see as disruptive and really not try to dumb people down and not try to have a destabilized population as easy to control.
[00:30:17.569 --> 00:30:21.710]  I believe we can turn the ship around so there's going to be some major crises, some serious wars.
[00:30:22.289 --> 00:30:27.529]  But I'd say about a 60% chance we don't kill each other in a bioweapon war or a nuclear war.
[00:30:27.809 --> 00:30:32.829]  And there's not going to be some utopia that I'm predicting like, you know, the left or the globalists do.
[00:30:32.869 --> 00:30:47.430]  That's all a lie. But definitely a better course and way more positive, amazing times if people just get informed about issues and demand their rights and also work hard and get excited about innovation and excited about the future.
[00:30:47.430 --> 00:30:49.069]  I see a golden age, quite frankly.
[00:30:50.359 --> 00:30:51.799]  Well, you know, it's funny.
[00:30:51.900 --> 00:30:53.539]  I've heard that from various sources.
[00:30:53.779 --> 00:31:04.160]  And theoretically, your fourth turning, the book you described, that's kind of what they suggest, is that the generation that comes into the fourth turning is a heroic generation and will cause...
[00:31:04.160 --> 00:31:17.799]  I don't see the road out myself, but I do know that the enemy is over-centralization and that taking care of your own family, your own neighborhood, your own community has always been the answer.
[00:31:17.980 --> 00:31:19.359]  That's how humans have evolved.
[00:31:20.819 --> 00:31:28.099]  And notice, everything the WEF does, it's just a mouthpiece to the biggest Fortune 100, is you can't have your own organic farm.
[00:31:28.200 --> 00:31:29.579]  It's bad. Eating meat's bad.
[00:31:29.880 --> 00:31:30.900]  Having a car's bad.
[00:31:31.039 --> 00:31:32.099]  Going anywhere's bad.
[00:31:32.319 --> 00:31:34.980]  You're bad. Let us take your life under our control.
[00:31:35.279 --> 00:31:36.900]  Your life force, your instinct's bad.
[00:31:37.000 --> 00:31:45.900]  Don't have children. They just want us to give up and turn history over to them and just let them be captains of the ship to the point where they don't even realize that we're on a ship or there are captains.
[00:31:46.059 --> 00:31:47.420]  They just want us out of the way.
[00:31:47.819 --> 00:31:49.839]  Definitely that power structure's imploding.
[00:31:51.959 --> 00:32:07.859]  We're good to go.
[00:32:18.140 --> 00:32:21.880]  I would get 95% love over the years, but wasn't super famous.
[00:32:21.980 --> 00:32:26.839]  People knew who I was, but I would shake hands at the grocery store when I'd walk the dog, when I'd go to church, you know, anywhere.
[00:32:26.980 --> 00:32:29.180]  I ran into a lot of people that liked the show or seen my work.
[00:32:29.740 --> 00:32:42.519]  When Trump got in, it went from, you know, 99% love, because people don't like you, aren't going to say anything usually, to, you know, 90% love, 10% being yelled at on the street, yelled at in restaurants, yelled at in grocery stores, yelled at at the mall, yelled at at the doctor's office.
[00:32:43.059 --> 00:32:51.890]  And then when they started indicting Trump and people saw how bad Biden was, I get yelled at every six months now in public or something.
[00:32:52.069 --> 00:32:54.730]  And even people that shake their heads at me and go, you know, actually, you're right.
[00:32:54.829 --> 00:32:56.930]  You know, I was wrong about you. And it's not about me.
[00:32:57.009 --> 00:33:03.950]  It's just that I'm seen as a bellwether that the system said is the most evil person since Satan and, you know, since Adolf Hitler.
[00:33:04.190 --> 00:33:09.049]  And the system's so discredited that their attack on me is the endorsement I could never do.
[00:33:09.390 --> 00:33:13.390]  And so that, to me, is emblematic of how big the...
[00:33:13.390 --> 00:33:15.569]  Yeah. Yeah. You just made me think.
[00:33:15.670 --> 00:33:17.210]  I'm so committed to free speech.
[00:33:17.390 --> 00:33:19.289]  If you were Satan, I would still talk to you.
[00:33:20.329 --> 00:33:23.509]  I would love to.
[00:33:24.170 --> 00:33:26.049]  Right? I would love to interview Satan.
[00:33:26.450 --> 00:33:28.029]  Sure. Right, me too.
[00:33:28.410 --> 00:33:29.549]  But two things.
[00:33:29.869 --> 00:33:32.710]  And then, Caleb, you're going to come in here because my...
[00:33:33.049 --> 00:33:38.029]  My technical director is a big, big Alex Jones fan.
[00:33:38.130 --> 00:33:39.750]  He had a couple questions. I want to give him a chance.
[00:33:39.970 --> 00:33:42.730]  But two comments of what you just said before we do.
[00:33:43.069 --> 00:33:51.289]  It was either Peter Thiel or Mark Dandresen said, be careful with the darkest before the dawn because another way to look at it is it's darkest before it's pitch black.
[00:33:51.930 --> 00:33:53.450]  So be careful.
[00:33:53.650 --> 00:33:56.589]  It can get a lot worse before it gets better.
[00:33:56.630 --> 00:33:58.430]  I agree. I don't think we've hit bottom yet.
[00:33:59.509 --> 00:34:00.690]  I don't think we've hit bottom yet.
[00:34:00.950 --> 00:34:02.450]  Go ahead. Okay, fair enough.
[00:34:02.569 --> 00:34:04.269]  Fair enough. I'll quote you on that.
[00:34:04.789 --> 00:34:12.050]  And as far as captains, you know, these centralizing captains, how much of a student of history do you have to be to understand how bad that turns out?
[00:34:12.349 --> 00:34:14.469]  Every time. Every time.
[00:34:14.710 --> 00:34:15.750]  You name it.
[00:34:15.829 --> 00:34:17.150]  It ends badly.
[00:34:17.409 --> 00:34:19.590]  You name it. Any historical sweep.
[00:34:19.750 --> 00:34:25.469]  And when there's a centralization of history, Anything, it ends badly.
[00:34:25.730 --> 00:34:27.210]  So I just want to point that out again.
[00:34:27.389 --> 00:34:29.469]  But, Caleb, you have some questions for Alex, I assume?
[00:34:29.900 --> 00:34:38.420]  Yeah, hi, Alex. I grew up in Austin, Texas, actually, so I remember listening to you on my dad's radio decades and decades ago, and you probably remember this as well.
[00:34:38.639 --> 00:34:46.960]  Back then, all of us were just, like, the crazy anti-vaxxer, homeschooler, farm prepper people, like the real outcasts of society.
[00:34:47.219 --> 00:34:48.980]  But now you fast-forward to the day...
[00:34:48.980 --> 00:34:50.840]  That was you, Al. That was Caleb. He's describing himself.
[00:34:50.840 --> 00:34:55.460]  That was back then. But, I mean, a lot of us, like, you show up at these events, and it's, like, kind of the same type of people.
[00:34:55.599 --> 00:34:58.579]  But that was 20, 30 years ago, the outcasts.
[00:34:58.840 --> 00:35:02.460]  But now you fast forward to today and all of a sudden, like, Alex Jones, that's a household name.
[00:35:02.539 --> 00:35:03.739]  Everybody knows who Alex Jones is.
[00:35:03.860 --> 00:35:07.480]  And now you have Dr. Drew talking about this rational revolution stuff.
[00:35:07.639 --> 00:35:11.500]  So it's not my mother's fringe group anymore.
[00:35:11.880 --> 00:35:13.820]  But then with that, what's happening...
[00:35:14.440 --> 00:35:16.119]  But Caleb, hold on.
[00:35:16.280 --> 00:35:27.079]  You bring up something interesting, which I'll let you finish your question, but I hope Alex can also point out, which is I worry about people becoming paranoid or conspiratorial and detaching from reality.
[00:35:27.260 --> 00:35:28.739]  I really worry about that.
[00:35:28.780 --> 00:35:32.880]  I also worry about the delusionality and aggression on the left, because I'm so moderate.
[00:35:33.039 --> 00:35:34.559]  I sit in the middle and see the excesses on both sides.
[00:35:34.900 --> 00:35:38.579]  But finish your—we'll let him contextualize your question with that.
[00:35:38.679 --> 00:35:43.869]  Go ahead, finish. Actually, what I'm talking about is something that goes even further than that.
[00:35:44.010 --> 00:35:53.690]  It's a step beyond into deeper into this anxiety spiral where it's the movement that's inside of our movement that's now saying, wait a second, something is so suspicious.
[00:35:54.210 --> 00:35:59.849]  Why are the powers that be that have all the power in the world allowing people like Alex Jones or Dr.
[00:36:00.010 --> 00:36:03.789]  Drew to speak freely about globalism and the NSA and big pharma?
[00:36:04.380 --> 00:36:07.260]  Unless they're controlled opposition, that's the new term.
[00:36:07.539 --> 00:36:16.199]  So how do you respond to, like, the allies that should be your allies who suddenly think that you're the enemy just because people are finally listening to you after all these years?
[00:36:16.420 --> 00:36:20.059]  It's a great question because that is all about the paranoia I was talking about.
[00:36:20.159 --> 00:36:21.599]  So let's let Alex answer that.
[00:36:22.509 --> 00:36:28.250]  Absolutely. And by the way, I told you guys I had to go in 45 minutes because I have to sign a document because my bankruptcy is ending in the next few days.
[00:36:28.369 --> 00:36:29.610]  But I've got time.
[00:36:29.750 --> 00:36:31.190]  I can do another 20 minutes or whatever you want.
[00:36:31.389 --> 00:36:32.909]  Or if you want to kick me out of here in five, I can stay.
[00:36:33.010 --> 00:36:35.409]  But this is a really important question.
[00:36:35.510 --> 00:36:37.110]  I'm glad you asked the best I've heard.
[00:36:37.449 --> 00:36:41.010]  And I could literally talk for 10 hours about this, but let me try to boil this down for people.
[00:36:42.239 --> 00:36:46.219]  I know 100% that I'm a real person, organic, self-trained.
[00:36:46.380 --> 00:36:47.579]  I really care about people.
[00:36:47.800 --> 00:36:48.880]  I care about my children.
[00:36:49.000 --> 00:36:51.239]  If you care about your children, you care about the world they're going to grow up in.
[00:36:51.420 --> 00:36:54.940]  You don't have the sociopathic idea that you get ahead by hurting people.
[00:36:55.079 --> 00:36:59.239]  It's the opposite. So that said, let me answer the question this way.
[00:37:00.300 --> 00:37:03.039]  Elon Musk's brother got really sick from the COVID shot.
[00:37:03.460 --> 00:37:04.639]  Elon Musk's son...
[00:37:05.570 --> 00:37:22.789]  We're good to go.
[00:37:22.820 --> 00:37:23.920]  The current power structure.
[00:37:24.000 --> 00:37:28.219]  And you can say he sees them going down and he wants to position himself in the future.
[00:37:28.599 --> 00:37:36.659]  Okay, fine. The point is, is that all the top talk show hosts, you know, whether it's Tucker Carlson or Joe Rogan or Dr.
[00:37:36.760 --> 00:37:40.789]  Drew or, you know, you name it, I mean, I could name hundreds of really big people.
[00:37:41.150 --> 00:37:53.949]  All the top shows are anti-globalist, pro-human decentralization because we're sane and don't want to destroy the world and don't want to centralize tyranny and don't want a universal credit score and don't want our medical freedom taken away.
[00:37:54.150 --> 00:38:00.170]  And so... There's a strong life force to be free and be successful.
[00:38:00.469 --> 00:38:02.329]  So that's the pull, but you're right.
[00:38:02.590 --> 00:38:07.050]  People get red-pilled, and then they go out there, and there's a lot of stuff.
[00:38:07.150 --> 00:38:14.070]  Just because there's extreme lying by Kamala Harris denying she's against fracking or wants to take your guns or just next-level lying...
[00:38:14.849 --> 00:38:27.449]  I think?
[00:38:31.599 --> 00:38:38.440]  And so that's, but at the end of the day, that can get unhealthy, but it's less unhealthy than believing everything you're told.
[00:38:38.619 --> 00:38:39.780]  And I think that's a process.
[00:38:39.940 --> 00:38:55.400]  So you have red pill, you have black pill that thinks everything's doomed, and then you've got people that are awake and trying to learn that a red pill, you've got black pill that thinks everything's screwed, everybody's bad but them, and then you've got the white pill that thinks everything's, you know, Fine, either with the establishment or you think it's all going to turn out okay.
[00:38:55.559 --> 00:38:57.420]  I'm not red pill, black pill, or white pill.
[00:38:57.559 --> 00:39:01.099]  I invented a term called, just recently, green pill.
[00:39:01.559 --> 00:39:14.639]  And by that, I know we go through processes, birth, growth, development, speaking, declining, dying, in civilizations, in people, in life, in the universe, in stars, in galaxies, in everything.
[00:39:14.960 --> 00:39:20.260]  And so it's more about knowing the processes It's not like I know how the world works.
[00:39:20.400 --> 00:39:33.920]  I can see the processes in history and laws and tendencies and how the ripples in the pond from the pebble and the Hegelian dialect and how these systems work and how the establishment thinks trying to get full control.
[00:39:34.139 --> 00:39:35.159]  They're not omnipresent.
[00:39:35.340 --> 00:39:38.320]  All the propaganda and censorship would not be necessary.
[00:39:38.320 --> 00:39:39.340]  It's been said a million times.
[00:39:39.829 --> 00:39:41.110]  We didn't have power.
[00:39:41.389 --> 00:39:43.849]  So people need to have faith in humanity.
[00:39:44.070 --> 00:39:45.289]  We go through these cycles.
[00:39:45.409 --> 00:39:49.210]  There's not just evil, not just corruption, not just ignorance, not just selfishness.
[00:39:49.690 --> 00:39:51.110]  And most of it's not organized evil.
[00:39:51.210 --> 00:39:55.269]  It's lazy people just doing whatever's easy and going with the flow and stagnation.
[00:39:55.789 --> 00:40:01.130]  And so people have to make them feel more superior to claim I'm loyal opposition to God knows what, fine.
[00:40:01.530 --> 00:40:07.989]  But I have the establishment literally trying to destroy me, the Justice Department, in the news, calling for me to be shut down.
[00:40:08.429 --> 00:40:12.170]  And so I am a maverick, and I am a person that believes in humanity.
[00:40:12.590 --> 00:40:15.510]  And so it doesn't mean I'm perfect.
[00:40:15.550 --> 00:40:18.610]  I've made plenty of mistakes. But the difference is I know that I know nothing.
[00:40:18.969 --> 00:40:24.010]  These people that think they know everything know absolutely nothing.
[00:40:24.650 --> 00:40:31.250]  Right, right. And I mean, that's the biggest sign for me is like you literally you just said a minute ago, you have to leave our show soon to go sign some bankruptcy documents.
[00:40:31.250 --> 00:40:34.969]  Like if you were a CIA asset, that would have gone away a long time ago.
[00:40:35.090 --> 00:40:42.289]  And I know Drew isn't controlled opposition, because I'd be getting those sweet little CIA commission checks like I'd have a lot more stuff.
[00:40:42.519 --> 00:40:43.599]  I'd get commissions on that.
[00:40:43.760 --> 00:40:49.559]  So I know internally, I don't know how to prove it, but I know absolutely certain that he's not a CIA asset.
[00:40:50.119 --> 00:40:53.119]  One of the things about delusions is they can't be reasoned with.
[00:40:53.519 --> 00:41:09.599]  So I'd be careful. And that's why it drives me crazy is because it seems like it's such a defeatist attitude because for me as someone who grew up And as an outcast, because of my family was like this, I understand the suspicions, because for so long we were exclusively outsiders.
[00:41:09.880 --> 00:41:15.960]  And it reminds me of, there was a guy, I don't know if you're familiar with Hal Turner from back in 2008, where he was an FBI informant.
[00:41:16.059 --> 00:41:22.880]  Like, this has happened before with people who are radio hosts, that they get turned by the CIA or the FBI and they infiltrate the movements.
[00:41:23.460 --> 00:41:25.519]  I'm sure it's happening right now with some people.
[00:41:25.519 --> 00:41:33.780]  And it's very easy to spot those people, like that Michigan militia that the FBI created to try to get to kidnap Whitmer.
[00:41:34.199 --> 00:41:41.539]  I mean, Hal Turner was openly stirring stuff up and then trying to get crazies to organize things so the FBI would have a setup.
[00:41:41.639 --> 00:41:49.260]  Even like the New York Times back when it was half-decent 20 years ago ran the headline, the majority of terror plots are hatched and run by the FBI. I think that's the exact...
[00:41:55.329 --> 00:41:56.730]  Right.
[00:42:10.329 --> 00:42:29.409]  We're good to go.
[00:42:29.440 --> 00:42:38.699]  He showed him a video of computer graphics of hotels and golf courses, and Kim Jong Un reportedly cried, but China, you know, basically controls North Korea, so he couldn't do it.
[00:42:38.780 --> 00:42:40.079]  He said, why have slaves?
[00:42:40.219 --> 00:42:41.800]  Why don't you have golf courses?
[00:42:42.019 --> 00:42:43.360]  Why don't you be a rock star?
[00:42:43.559 --> 00:42:49.239]  And that's what Trump wants is, is like Santa Claus, to have fun and believe in humanity.
[00:42:49.460 --> 00:42:51.860]  And so you can judge him by what he does.
[00:42:52.099 --> 00:42:54.139]  You can judge me. I'm the same type of guy.
[00:42:54.300 --> 00:42:57.630]  I just want, you know, Open, free, great society.
[00:42:58.550 --> 00:43:00.610]  Masculinity, femininity, if you want to be whatever, something.
[00:43:00.889 --> 00:43:02.110]  You want to say you're a dog, that's fine.
[00:43:02.309 --> 00:43:04.730]  Just don't try to teach my kid at school to crap in a cat box.
[00:43:04.989 --> 00:43:08.650]  We don't want to be part of the mental illness, but you can go be mentally ill if you want.
[00:43:09.050 --> 00:43:10.750]  So, come from Access Television.
[00:43:11.010 --> 00:43:12.489]  Hold on. I'm real. So that's my question.
[00:43:12.750 --> 00:43:24.889]  That's what that leads to. So as someone who's been in this, and you've seen a lot of actual controlled opposition go in and out of this whole movement, what are some signs of actual controlled opposition agents that are infiltrating?
[00:43:24.989 --> 00:43:28.710]  Because I can pick two or three out right now that are pretty clear.
[00:43:28.750 --> 00:43:30.530]  Caleb, I'm going to kick you off.
[00:43:30.610 --> 00:43:34.090]  I've got to finish with Alex after that, so I'll let him answer your question.
[00:43:34.659 --> 00:43:36.119]  Because I know it's bothering you.
[00:43:36.340 --> 00:43:39.039]  But I'd be happy to have your producer on.
[00:43:39.179 --> 00:43:43.360]  We should have this discussion on my show and be two hours commercial free or simulcasting.
[00:43:43.480 --> 00:43:45.219]  This is great. There you go.
[00:43:45.400 --> 00:43:47.360]  I like that idea.
[00:43:48.079 --> 00:43:49.320]  Yeah. Caleb, simulcast.
[00:43:49.519 --> 00:43:50.619]  There you go. We'll figure that out.
[00:43:50.780 --> 00:43:52.099]  Absolutely. I would absolutely do it.
[00:43:53.739 --> 00:43:56.019]  Yeah, I mean, one thing I've never done is infight.
[00:43:57.320 --> 00:44:02.940]  I've never tried to be territorial or like the gatekeeper like the left, like I'm a fact checker and I say what's real and what's not.
[00:44:03.780 --> 00:44:10.139]  Most of these government plants and people reveal themselves, or they're not government plants, but they get in trouble, then they flip to the other side.
[00:44:10.340 --> 00:44:18.659]  Look, I've had the Justice Department in the mediations, which I couldn't talk about until they said it openly outside of mediation, and my lawyer said, no, go ahead and talk about it.
[00:44:19.099 --> 00:44:24.280]  They have federal prosecutors and people running these fake lawsuits against me, and they literally say...
[00:44:25.099 --> 00:44:29.719]  They're in federal court in places with a judge in federal mediation and state mediation.
[00:44:30.079 --> 00:44:32.400]  Look, just we'll drop all this.
[00:44:32.559 --> 00:44:34.960]  We just have a we want you to come out against the Second Amendment.
[00:44:35.460 --> 00:44:37.519]  And I say, OK, let me guess.
[00:44:37.639 --> 00:44:39.219]  There's more. They go, actually, there is.
[00:44:39.360 --> 00:44:42.000]  Are you open? And I said, no, of course, there's more.
[00:44:42.159 --> 00:44:43.780]  I wouldn't come out against the Second Amendment.
[00:44:43.920 --> 00:44:52.989]  We left alone. But I said, plus I know once I feed the pirate, once I feed the crocodile, it's always going to come back for more, like a social credit score.
[00:44:53.130 --> 00:44:54.210]  They're always going to raise the bar.
[00:44:54.349 --> 00:44:56.349]  And so I said, no, I know how this works.
[00:44:57.070 --> 00:45:05.789]  So I've literally had them say, we will drop all this before they had their show trials and after.
[00:45:06.429 --> 00:45:08.289]  Give you bend the knee.
[00:45:08.849 --> 00:45:10.030]  And they just can't believe...
[00:45:10.030 --> 00:45:11.369]  So, I mean, you talk about the deep state.
[00:45:11.570 --> 00:45:25.550]  I am saying these Democrat Party law firms run by Senator Blumenthal, the same ones that sue Trump and Giuliani and all of them, they spent $70 million, that's in court filings, the last seven years suing me and attacking me and lying about me, trying to get...
[00:45:25.550 --> 00:45:27.550]  I've spent $15 million fighting them, okay?
[00:45:27.809 --> 00:45:32.920]  And literally, I break bombshells that are confirmed I've said this on air.
[00:45:33.039 --> 00:45:34.380]  Notice they don't say it's not true.
[00:45:34.579 --> 00:45:35.699]  They don't respond back.
[00:45:35.880 --> 00:45:37.659]  They literally politically did all this.
[00:45:37.760 --> 00:45:40.000]  On the courthouse steps, they say, we want him off the air.
[00:45:40.239 --> 00:45:42.639]  They refuse a $70 million settlement with me.
[00:45:42.800 --> 00:45:46.440]  Over 10 years, I have to bust my ass to pay him that, more than I ever made personally before.
[00:45:46.739 --> 00:45:48.599]  They lie and say I have $4 million in the bank.
[00:45:48.820 --> 00:45:52.059]  All of it was BS, and they said it's not about money, no settlement.
[00:45:52.260 --> 00:45:59.250]  So they can now, with a non-dischargeable judgment of a billion and a half dollars, Chase me around and harass me for the rest of my life.
[00:45:59.389 --> 00:46:02.610]  Well, good. I love it. If that's the cost of telling the truth, I don't care.
[00:46:02.829 --> 00:46:05.110]  It's fun to be the rebel. It's fun to be the maverick.
[00:46:05.210 --> 00:46:06.250]  And I just love it.
[00:46:06.329 --> 00:46:09.170]  I love it. I love the fact that they hate me so much.
[00:46:09.590 --> 00:46:12.530]  Both my grandfathers were in World War II. One was a fighter pilot.
[00:46:12.590 --> 00:46:15.469]  The other was a B-17 pilot flying across whole nine yards.
[00:46:15.670 --> 00:46:17.789]  And they didn't have really good radar then.
[00:46:17.869 --> 00:46:19.170]  They had it on the ground, but not in the planes.
[00:46:19.349 --> 00:46:21.590]  And they didn't have good topography maps.
[00:46:22.030 --> 00:46:30.550]  But they knew to go to the factories and military bases because the Germans put up their flak guns and they saw the flak, the explosions of shrapnel, and they flew into it.
[00:46:30.710 --> 00:46:37.250]  But just like my grandfather Jerry Jones flew into the flak over Italy and Germany, I'm flying into the flak and I love it.
[00:46:37.530 --> 00:46:39.150]  And their attacks are my radar.
[00:46:39.429 --> 00:46:42.809]  I go to where I'm being punched in the face and attack the hardest.
[00:46:43.030 --> 00:46:46.050]  That is my heat-seeking missile and I love it.
[00:46:46.110 --> 00:46:47.449]  I love it. I love it.
[00:46:48.809 --> 00:46:50.690]  Alex, I appreciate you being here.
[00:46:50.829 --> 00:46:56.949]  You mentioned GWF Hagel a few minutes ago, and I will just finish with an interpretation.
[00:46:57.110 --> 00:47:12.150]  He spoke in a lot of—his language was sort of impenetrable, but one of the things he said about history is history is—he said this, the owl of Minerva spreads its wings only with the setting of dusk.
[00:47:12.739 --> 00:47:23.340]  The owl of Minerva spreads its wings only with the setting of dusk, which means that the wisdom of history reveals itself only once it's passed.
[00:47:23.679 --> 00:47:28.400]  So we will see where this all goes, you and I, and we will have more conversations, I hope.
[00:47:28.599 --> 00:47:32.760]  And I appreciate you being here, and good luck with your paperwork today.
[00:47:32.900 --> 00:47:36.940]  It sounds unpleasant, but I get that you're over the target.
[00:47:37.119 --> 00:47:39.280]  So I appreciate you being here.
[00:47:40.400 --> 00:47:56.900]  Appreciate you. If people can find The Forbidden Show at realalexjonesonx, please follow me there at infowars.com until the 13th, where it goes up on the chopping block, and the patriots are trying to buy it, but Soros, through Media Matters, is probably going to buy it to shut it down as some celebration, and they're going to try to, you know, like a Roman standard they've captured,
[00:47:57.039 --> 00:48:00.019]  mount it on the wall. It's only going to make us bigger because we know we're winning.
[00:48:00.179 --> 00:48:02.639]  We only lose if they convince us that we've lost.
[00:48:02.920 --> 00:48:04.519]  We're winning. Humanity's turning the tide.
[00:48:04.880 --> 00:48:06.460]  Dr. Drew and crew, look forward to talking to you soon.
[00:48:06.739 --> 00:48:09.300]  Ladies and gentlemen, it is The Alex Jones Show.
[00:48:09.340 --> 00:48:10.820]  I'm your host this evening, Chase Geiser.
[00:48:11.099 --> 00:48:12.719]  It is almost 5 p.m.
[00:48:12.820 --> 00:48:15.400]  Central. We will be on the air for the next three hours together.
[00:48:15.539 --> 00:48:20.280]  Two hours of news and clips, one hour of calls per usual.
[00:48:21.039 --> 00:48:24.099]  We've got just three short minutes left of this segment, folks.
[00:48:24.400 --> 00:48:30.239]  This week on thealexjonesstore.com, we had an amazing blowout sale.
[00:48:30.239 --> 00:48:31.380]  We sold out of the gummies.
[00:48:32.340 --> 00:48:35.960]  Basically in like 48 hours, even though we ordered thousands of units.
[00:48:36.139 --> 00:48:42.400]  We have more coming in of the gummies that will be available on the 25th of October.
[00:48:42.739 --> 00:48:49.300]  Until then, we have launched the CMOS capsules, which are supposed to be even more potent than the gummies.
[00:48:50.920 --> 00:48:55.460]  For reasons I do not understand, but the capsules are available now for purchase.
[00:48:55.599 --> 00:49:05.119]  So if you just really want the CMOS in your life and you don't want to wait till the 25th for the gummies, which were one of our most popular products ever, then I highly recommend checking out the CMOS capsules.
[00:49:06.659 --> 00:49:08.380]  Everything's the same. The only difference is the medium.
[00:49:08.639 --> 00:49:10.400]  It's the capsule version of the gummies.
[00:49:10.519 --> 00:49:15.300]  Please check it out now at thealexjonesstore.com because we don't know what's going to happen to Infowars.
[00:49:15.400 --> 00:49:34.519]  We don't know if it's going to be bought by Soros through Media Matters and shut down, if we're going to be able to have some patriots wrangle together and buy Infowars so that we can stay on the air and they keep Alex Jones as CEO and they keep all the crew and some miraculous turn of events akin to what happens at the end of Star Wars with the Death Star exploding and Han Solo coming back just in the nick of time to make it possible.
[00:49:35.030 --> 00:49:36.170]  We're hoping for a miracle.
