[00:00:08.158 --> 00:00:08.658]  That's right.
[00:27:51.389 --> 00:27:53.611]  Make sure you tune in starting at 8 a.m.
[00:27:53.671 --> 00:28:03.559]  on weekdays for the American Journal, hosted by the great Harrison Smith, immediately followed by the Alex Jones Show, hosted by, of course, Alex Jones, and then the War Room, hosted by Owen Schroer.
[00:28:03.579 --> 00:28:07.943]  We've got nine hours, 10 hours a day of original content live streamed, covering the news.
[00:28:08.283 --> 00:28:11.386]  Not only what's happening now, but what's going to happen next every single day.
[00:28:11.946 --> 00:28:19.874]  And the more you listen, the more informed you will be and the more support we can get to stay on the air and save InfoWars and consequently save humanity.
[00:28:20.014 --> 00:28:22.396]  Because ultimately that's what this broadcast is about.
[00:28:22.676 --> 00:28:23.997]  That's what this network is about.
[00:28:24.017 --> 00:28:32.425]  It's about saving humanity for those anti-humanist, depopulation, genocidal sociopaths
[00:28:33.345 --> 00:28:49.992]  Within our own political class and the political class of the world who seek to conglomerate all political power into one globalist new world order, new world government for the sake of subjugating all of humanity and eradicating those humans who they deem unfit or unvaluable to their political agenda.
[00:28:50.352 --> 00:28:55.674]  That's what's coming if InfoWars shuts down, if Donald Trump loses this election in 2024, literally the end of the world.
[00:29:00.720 --> 00:29:03.561]  And if you don't believe me, just listen to this clip.
[00:29:03.581 --> 00:29:03.561]  33.
[00:29:03.901 --> 00:29:04.681]  Diabolical.
[00:29:04.721 --> 00:29:10.462]  Kamala Harris says that reducing population to save children during Green Agenda Run is the way to go.
[00:29:10.482 --> 00:29:12.402]  That population reduction is necessary.
[00:29:12.442 --> 00:29:16.003]  How do you, tell me, how do you reduce the population without committing a Kamala cost?
[00:29:16.043 --> 00:29:17.463]  Kamala, clip number 33.
[00:29:19.663 --> 00:29:29.725]  When we invest in clean energy and electric vehicles and reduce population, more of our children can breathe clean air and drink clean water.
[00:29:30.307 --> 00:29:36.210]  And she walked that back later, saying that she was misunderstood or she misspoke about the depopulation, but that doesn't just come out of nowhere.
[00:29:36.591 --> 00:29:55.942]  You say that because of the meetings that you've had with climate change activists, with Green New Deal activists, with the types of people that were responsible for the creation, establishment, building of the Georgia Guidestones, which advocated for a population on the earth of 500 million people, meaning that, what, 11 twelfths of the planet would have to be eradicated?
[00:29:56.362 --> 00:29:56.822]  At least?
[00:29:56.842 --> 00:29:57.483]  11 out of 12 people?
[00:29:59.448 --> 00:30:09.520]  We are talking about a political philosophy that advocates for the mass destruction, murder, and genocide of the vast majority of human beings on the planet.
[00:30:09.541 --> 00:30:14.206]  And all of their policies promote this, improve this, because if you look at what happens...
[00:30:14.887 --> 00:30:22.572]  If we eradicate so-called fossil fuels from the economy tomorrow, everybody in third world countries dies within like a year.
[00:30:23.173 --> 00:30:41.625]  If you look at what happens when there's an EMP attack on the United States of America, estimates from reputable studies conducted by our own government have determined that 90% of the population in the United States of America would die within 12 months if power was totally taken away from our population, if there was no electrical power whatsoever.
[00:30:41.965 --> 00:30:44.307]  This is the type of world that the leftists want,
[00:30:45.027 --> 00:30:54.670]  Because they understand that the more suffering that people face, the more liberties, rights, freedoms they hand over for the sake of any relief from that suffering.
[00:30:55.470 --> 00:31:00.992]  They want to slow walk us into a slaughter because they are so power drunk and satanic whether they know it or not.
[00:31:01.272 --> 00:31:04.473]  And not only are they satanic and power drunk, but they're abundantly stupid.
[00:31:05.113 --> 00:31:05.834]  Just look at clip number 12.
[00:31:06.394 --> 00:31:12.636]  This is a savage clip that Trump played, which is a compilation of Kamala Harris's incoherent word salads during the rally.
[00:31:12.656 --> 00:31:12.936]  Clip number 12.
[00:31:14.500 --> 00:31:18.763]  Kamala is grossly incompetent and, in my opinion, has a very low IQ.
[00:31:18.983 --> 00:31:21.844]  But we'll find out about her IQ during the debate, okay?
[00:31:21.864 --> 00:31:23.385]  Let's find out about her IQ.
[00:31:28.729 --> 00:31:31.070]  So, you know, we have this great system.
[00:31:31.470 --> 00:31:33.512]  I want to show you just one other thing, please.
[00:31:33.532 --> 00:31:34.952]  Do you mind putting it up, please?
[00:31:35.052 --> 00:31:35.453]  Thank you.
[00:31:36.013 --> 00:31:37.014]  We've been to the border.
[00:31:37.054 --> 00:31:37.894]  You haven't been to the border.
[00:31:39.255 --> 00:31:40.476]  And I haven't been to Europe.
[00:31:42.535 --> 00:31:44.456]  I don't understand the point that you're making.
[00:31:44.496 --> 00:31:46.756]  I'm talking about the significance of the passage of time.
[00:31:47.796 --> 00:31:48.076]  Right?
[00:31:48.116 --> 00:31:50.257]  The significance of the passage of time.
[00:31:50.977 --> 00:31:55.038]  So when you think about it, there is great significance to the passage of time.
[00:31:55.238 --> 00:31:58.939]  Ukraine is a country in Europe.
[00:31:59.279 --> 00:32:02.619]  It exists next to another country called Russia.
[00:32:02.820 --> 00:32:04.360]  Russia is a bigger country.
[00:32:04.380 --> 00:32:06.020]  Russia is a power country.
[00:32:06.180 --> 00:32:09.701]  Russia decided to invade a smaller country called Ukraine.
[00:32:09.981 --> 00:32:12.304]  So basically that's wrong.
[00:32:12.464 --> 00:32:20.755]  So you're now no longer are you necessarily keeping those private files in some file cabinet that's locked in the basement of the house.
[00:32:21.957 --> 00:32:27.444]  It's on your laptop and it's then therefore up here in this cloud.
[00:32:28.465 --> 00:32:30.525]  That exists above us, right?
[00:32:30.545 --> 00:32:36.086]  The Caribbean nations, island nations, in the Western Hemisphere.
[00:32:36.827 --> 00:32:38.107]  That is where the Caribbean is.
[00:32:38.247 --> 00:32:39.927]  We are also in the Western Hemisphere.
[00:32:39.987 --> 00:32:41.067]  They are our neighbors.
[00:32:41.367 --> 00:32:50.949]  I am here, standing here, on the northern flank, on the eastern flank, talking about what we have in terms of the eastern flank.
[00:32:51.049 --> 00:32:54.130]  I can imagine what can be and be unburdened by what has been.
[00:32:54.890 --> 00:32:55.171]  You know?
[00:32:55.832 --> 00:32:57.054]  Space is exciting!
[00:32:57.074 --> 00:33:02.722]  It is time for us to do what we have been doing and that time is every day.
[00:33:04.244 --> 00:33:13.168]  Every day it is time for us to agree that there are things and tools that are available to us to slow this thing down.
[00:33:13.288 --> 00:33:23.273]  We will work together and continue to work together to address these issues, to tackle these challenges, and to work together as we continue to work.
[00:33:23.293 --> 00:33:24.993]  Do you ban plastic straws?
[00:33:25.334 --> 00:33:25.934]  I think we should.
[00:33:26.494 --> 00:33:26.774]  Yes.
[00:33:27.075 --> 00:33:28.456]  I mean, look, I'm going to be honest.
[00:33:28.636 --> 00:33:35.021]  It's really difficult to drink out of a paper straw when you had, if you just, like, if you don't gulp it down immediately, it starts to bend.
[00:33:35.961 --> 00:33:37.823]  And then, you know, the little thing catches it.
[00:33:37.863 --> 00:33:42.786]  And then, you know, so we got to kind of perfect that one a little bit more.
[00:33:42.887 --> 00:33:45.348]  Do you know, okay, a bit of a history lesson.
[00:33:45.649 --> 00:33:51.693]  Do you know that women were not, the women's teams were not allowed to have brackets until 2022?
[00:33:51.733 --> 00:33:52.234]  So the United States
[00:33:55.716 --> 00:34:01.381]  Shares a very important relationship, which is an alliance with the Republic of North Korea.
[00:34:01.501 --> 00:34:03.262]  AI is kind of fancy things.
[00:34:03.442 --> 00:34:04.563]  First of all, it's two layers.
[00:34:05.063 --> 00:34:06.965]  It means artificial intelligence.
[00:34:07.085 --> 00:34:07.585]  As a woman.
[00:34:09.206 --> 00:34:15.711]  There's a balance to be struck between being tough and being a ****.
[00:34:35.768 --> 00:34:41.815]  I swear to God, so if you watching her speak is like is like watching the intro to 2001 A Space Odyssey.
[00:34:42.616 --> 00:34:47.382]  It's just babbling violence in vitriol and incoherent sociopathy.
[00:34:47.822 --> 00:34:49.164]  That's that's what Kamala Harris is.
[00:34:49.184 --> 00:34:52.988]  And if you don't believe that she's just dumb and now you believe she's dumb, but maybe she's got the right.
[00:34:53.989 --> 00:35:13.175]  ...character or mentality for office, then just watch clip number 42 where she brags about her power as Attorney General with the stroke of a pen, what she could accomplish in order to ruin the lives of anyone that she wanted by charging them with misdemeanors, and just extrapolate what you think this means for any right-wing patriotic American who supported Trump.
[00:35:13.755 --> 00:35:26.906]  Up until this point, what do you think if she did this in clip number 42, if she did this in California to her political opponents or those she saw as inferior in the state, what do you think she will do to you, who she hates more than anything in the world, mind you?
[00:35:27.187 --> 00:35:36.675]  She hates you, the patriotic listener of InfoWars, more than perhaps any other demographic in the entire world, more than any other section of the population of the entire planet.
[00:35:37.015 --> 00:35:37.916]  She hates you the most.
[00:35:37.936 --> 00:35:40.838]  So what do you think she's going to do to you if she's bragging like this in clip 42?
[00:35:42.298 --> 00:35:52.328]  You know, the power I have as a prosecutor is that with a swipe of my pen, I can charge someone with a misdemeanor, the lowest level offense possible.
[00:35:53.469 --> 00:35:55.331]  And by virtue of that swipe of my pen,
[00:35:56.533 --> 00:35:59.475]  You will have to go to a courthouse and stand in line.
[00:36:00.096 --> 00:36:02.377]  You will have to come out of pocket and hire an attorney.
[00:36:02.778 --> 00:36:04.519]  You may get arrested for a few hours.
[00:36:04.839 --> 00:36:07.181]  You will be embarrassed in your community.
[00:36:07.581 --> 00:36:10.544]  You will miss time from coming onto the Google campus.
[00:36:11.484 --> 00:36:17.129]  All because with the swipe of my pen I've charged you with a crime, which I may choose to dismiss two weeks later.
[00:36:18.610 --> 00:36:20.311]  It's an incredible amount of power.
[00:36:20.331 --> 00:36:21.312]  Unbelievable.
[00:36:22.335 --> 00:36:24.982]  How you would just wave your sword like that.
[00:36:25.162 --> 00:36:29.834]  How you would just brandish your political power like that to threaten and intimidate anybody.
[00:36:30.683 --> 00:36:31.584]  In your population.
[00:36:31.604 --> 00:36:37.388]  I mean, this is very similar to what we've seen from the United Kingdom over the course of the last couple of weeks, especially the last week with.
[00:36:38.249 --> 00:36:50.398]  Administrators, prime ministers, other law enforcement officials coming out and just bragging about the level of prosecution, persecution and imprisonment that will be conducted against anybody who stands up for their rights, their country and what they believe in.
[00:36:50.799 --> 00:36:58.765]  This is tyrannical BS coming straight from Kamala Harris, and I can't believe that so many of our population are falling for it.
[00:36:59.065 --> 00:36:59.886]  And supporting this person.
[00:36:59.926 --> 00:37:15.597]  And clip number seven, just look at what the family of slain San Francisco cop has to say as they speak out over Kamala's role in sparing the killer of their family member, this San Francisco cop, sparing the killer of their family, the death penalty here.
[00:37:15.637 --> 00:37:16.258]  Clip number seven.
[00:37:17.378 --> 00:37:18.379]  My little girl.
[00:37:19.160 --> 00:37:20.381]  Isaac Espinosa.
[00:37:20.541 --> 00:37:21.862]  Yay!
[00:37:22.362 --> 00:37:23.203]  Young father.
[00:37:23.223 --> 00:37:24.323]  Come on to daddy.
[00:37:24.343 --> 00:37:25.805]  There you go!
[00:37:27.563 --> 00:37:28.744]  Devoted husband.
[00:37:31.647 --> 00:37:33.409]  And San Francisco police officer.
[00:37:33.909 --> 00:37:36.111]  Until his end of watch, April 10th, 2004.
[00:37:36.672 --> 00:37:42.237]  His captain comes over and I'm just sitting there and he hands me his star.
[00:37:43.919 --> 00:37:48.664]  I remember I walk into this room and he still had blood here.
[00:37:49.064 --> 00:37:51.847]  He was laying there with his eyes closed and I saw the blood here.
[00:37:53.539 --> 00:37:56.601]  And I walked over to him and I was just like, wake up.
[00:37:59.762 --> 00:38:06.746]  Just 29, Espinoza was gunned down with an AK-47 by a 21-year-old gang member.
[00:38:07.487 --> 00:38:13.410]  A new district attorney had just been elected in San Francisco, Kamala Harris, her first elected position.
[00:38:14.266 --> 00:38:21.791]  Three days after Officer Espinoza's death, Harris held a news conference, pledging to keep a campaign promise.
[00:38:22.332 --> 00:38:23.733]  No death penalty.
[00:38:24.213 --> 00:38:37.502]  In San Francisco, it is the will, I believe, of a majority of people that the most severe crimes be met with the most severe consequences, and that life without possibility of parole is a severe consequence.
[00:38:37.742 --> 00:38:41.728]  I felt like she had just taken something from us.
[00:38:41.909 --> 00:38:44.252]  She had just taken justice from us.
[00:38:44.673 --> 00:38:45.474]  From Isaac.
[00:38:45.735 --> 00:38:46.416]  Did she call you?
[00:38:47.197 --> 00:38:47.377]  No.
[00:38:47.678 --> 00:38:48.559]  She never called me.
[00:38:48.980 --> 00:38:51.444]  I just don't understand how or why she would...
[00:38:52.927 --> 00:38:55.088]  You can't even wait till he's buried.
[00:38:55.108 --> 00:38:58.110]  You can't even wait to talk to the family.
[00:38:58.130 --> 00:39:05.053]  You can't just wait and, you know, have some compassion and check in on the family.
[00:39:05.193 --> 00:39:07.714]  And I'm standing there and I'm going, oh my god.
[00:39:07.955 --> 00:39:14.618]  Gary Delanus, the man standing next to Harris, was the president of the San Francisco Police Officers Association at the time.
[00:39:14.978 --> 00:39:21.220]  You're thinking to yourself, okay, is she sorry that this kid died or is this just a political opportunity?
[00:39:21.701 --> 00:39:25.922]  Is this just an opportunity for her to double down on the fact she's not going to pursue the death penalty?
[00:39:26.222 --> 00:39:30.764]  What would her motives be to do this so soon after the death?
[00:39:33.246 --> 00:39:36.189]  The political blowback for Harris was enormous.
[00:39:38.031 --> 00:39:41.675]  At Espinosa's funeral, as Harris sat in the pews, U.S.
[00:39:41.715 --> 00:39:47.621]  Senator Dianne Feinstein indirectly rebuked the new DA for not seeking the death penalty.
[00:39:48.162 --> 00:39:52.547]  The hundreds of officers gave Feinstein a standing ovation.
[00:39:53.587 --> 00:39:56.468]  But as far as the Harris voters are concerned, this is absolutely no problem.
[00:39:56.488 --> 00:39:57.748]  We're going to run clip 10 next.
[00:39:57.849 --> 00:39:58.209]  Watch.
[00:39:58.369 --> 00:40:00.889]  Are people really voting for Kamala Harris?
[00:40:00.909 --> 00:40:04.411]  We're going to show you some man-in-the-street footage of people being approached.
[00:40:04.451 --> 00:40:05.951]  Let's see if they actually support Harris.
[00:40:05.971 --> 00:40:13.033]  And then we'll show you another video, clip 36, in a moment of some actual Harris supporters and how maniacal they seem.
[00:40:13.053 --> 00:40:15.454]  But first off, let's look at clip number 10 here and see what people think.
[00:40:16.863 --> 00:40:17.524]  What's up, guys?
[00:40:17.624 --> 00:40:18.385]  Alex Stranger here.
[00:40:18.405 --> 00:40:30.597]  We are out on 6th Street in Austin, Texas asking people how they feel about a Kamala Harris presidency in order to determine whether or not there has actually been a vibe shift these past few weeks.
[00:40:30.657 --> 00:40:32.199]  So, uh, let's see what happens.
[00:40:32.859 --> 00:40:35.841]  How do you feel about Kamala Harris being President of the United States?
[00:40:36.121 --> 00:40:39.143]  I'd rather kill myself than have her be the President, if I'm being honest.
[00:40:39.843 --> 00:40:43.906]  How excited are you about Kamala Harris being the President of the United States?
[00:40:44.306 --> 00:40:47.668]  I don't know shit about politics, but if it's a girl, hell no.
[00:40:47.908 --> 00:40:48.349]  Why not?
[00:40:48.749 --> 00:40:50.010]  Because girls are too emotional.
[00:40:52.501 --> 00:40:55.022]  If they own a period one day we might go to war.
[00:40:55.522 --> 00:41:05.907]  How would you feel if you were dating somebody for four years and your boyfriend decided to break up with you over text message and then recommend a new partner for you?
[00:41:07.128 --> 00:41:09.409]  No, I think I'd be really pissed.
[00:41:10.089 --> 00:41:11.290]  I don't think that's okay.
[00:41:11.490 --> 00:41:15.012]  And I'm only asking this because it's kind of similar to like
[00:41:15.772 --> 00:41:17.873]  Do you think that we should repeal the 19th Amendment?
[00:41:17.893 --> 00:41:19.554]  What is the 19th Amendment?
[00:41:19.614 --> 00:41:20.874]  It gives women the right to vote.
[00:41:43.092 --> 00:41:43.713]  Probably.
[00:41:44.093 --> 00:41:46.494]  What makes you excited about Kamala Harris?
[00:41:47.054 --> 00:41:49.355]  Because she is far more better than Donald Trump.
[00:41:49.515 --> 00:41:50.275]  Far more better.
[00:41:50.315 --> 00:41:53.716]  What do you think Make America Great Again says about bring back slavery?
[00:41:53.776 --> 00:41:57.938]  How excited are you about Kamala Harris being president of the United States?
[00:41:57.978 --> 00:41:58.598]  Fuck that bitch!
[00:41:58.678 --> 00:41:59.819]  Fuck that bitch!
[00:41:59.859 --> 00:42:02.199]  If we vote for Kamala, you're a piece of shit!
[00:42:02.580 --> 00:42:03.500]  Get out of our country!
[00:42:03.840 --> 00:42:07.462]  Now this next clip, clip number 36, absolutely blew my mind.
[00:42:07.522 --> 00:42:26.691]  Let's look at what these Kamala voters have to say and just observe and let me know maybe in the last hour today when we take calls what you think of this mentality, this culture, these types of people who are based on just reason and logic and emotionless mental clarity and sanity and mental health supporting Kamala Harris for President of the United States.
[00:42:26.731 --> 00:42:26.891]  Clip 36.
[00:42:28.447 --> 00:42:30.129]  Why are y'all voting for Kamala Harris?
[00:42:30.469 --> 00:42:31.490]  I don't want to lose my rights.
[00:42:31.770 --> 00:42:38.737]  Like, I'm a trans man and I'm gay and I have been pregnant and I've had an abortion before and I don't want to lose that.
[00:42:39.158 --> 00:42:45.064]  I'm afraid of not being able to be myself anymore because from what I've heard, Trump's America doesn't want me to look like this.
[00:42:45.624 --> 00:42:48.948]  So, that's why I'm here today and that's why I'm voting blue.
[00:42:49.608 --> 00:42:50.349]  What about you?
[00:42:50.449 --> 00:42:52.471]  I've also been pregnant and had an abortion before.
[00:42:52.491 --> 00:43:01.400]  I was a minor and it would have been dangerous for me to properly, like, it would have been dangerous for me to carry a baby with, like, personal reasons and everything.
[00:43:02.701 --> 00:43:05.303]  I also, like, I'm very, you know,
[00:43:06.621 --> 00:43:07.141]  Alternative.
[00:43:07.201 --> 00:43:07.822]  Alternative.
[00:43:07.862 --> 00:43:13.106]  And I feel like if Trump were to win, I wouldn't be able to express myself through my looks and everything.
[00:43:13.166 --> 00:43:17.289]  I wouldn't be able to have the piercings or the dyed hair or the tattoos that I want.
[00:43:17.629 --> 00:43:19.290]  I would be able to be myself.
[00:43:20.671 --> 00:43:22.672]  My dad's very pro-Trump and I'm just very...
[00:43:23.693 --> 00:43:25.814]  Oh my god, her poor father.
[00:43:26.054 --> 00:43:29.436]  I mean, the fact that she thinks she wouldn't even be able to have a piercing.
[00:43:44.403 --> 00:43:46.624]  If Donald Trump was elected, it's just asinine.
[00:43:46.804 --> 00:43:59.467]  You gotta keep in mind, folks, I believe that Donald Trump was the first president of the United States who actually went into office pro-gay marriage in favor of gay people being allowed to be married or their marriages recognized by the state.
[00:43:59.507 --> 00:44:04.849]  You can argue about whether or not it's a legitimate marriage on a religious standpoint, but from the perspective of the state,
[00:44:06.826 --> 00:44:07.988]  Gays are legally allowed to be married.
[00:44:08.008 --> 00:44:11.353]  Now, he was the first president that went into office pro-gay marriage.
[00:44:11.373 --> 00:44:14.879]  When Barack Obama went into office, he thought that marriage was between a man and a woman.
[00:44:14.899 --> 00:44:18.765]  When Hillary Clinton was in the Senate, she said that marriage was between a man and a woman.
[00:44:20.819 --> 00:44:44.694]  And for some reason the leftists are so brainwashed that they believe that the Republican Party or populism or Donald Trump himself are the antithesis of personal liberty when every single example of leftist versus Republican, true Republican, I'm not talking about rhinos or neocons who get us into war after war, every single example of policy goes to show that Republicanism
[00:44:45.970 --> 00:44:49.091]  Conservatism is actually the political philosophy of freedom.
[00:44:49.111 --> 00:45:03.035]  The only difference between Republican political philosophy and Democratic political philosophy, the only real difference, is that Republicans have failed to win the emotional argument.
[00:45:03.095 --> 00:45:15.098]  Obviously, there's stark differences in the outcomes of the policies themselves, but in terms of the eyes of the voters, everything that leftists say that they want, in terms of personal liberty and the ability to make decisions for themselves and freedom,
[00:45:16.809 --> 00:45:30.739]  Our policies that are far more supported by the Republican Party or true conservatism or true constitutional liberty, leftists only seek to impede and subjugate and impede and subjugate time and time again.
[00:45:30.759 --> 00:45:33.161]  I mean, here's a famous example.
[00:45:33.601 --> 00:45:46.090]  This week, former YouTube CEO Susan Wojcicki dies at 56 of lung cancer after being warned repeatedly by Infowars, by others who tried to tell the truth on her platform and were censored, warned repeatedly
[00:45:46.750 --> 00:45:52.354]  That mRNA vaccines cause turbo cancer, that boosters cause turbo cancer, that the more vaccinated you are, the more likely you are to get cancer.
[00:45:52.595 --> 00:46:02.082]  She censors these videos for years, brags about wanting to take Alex Jones off the platform entirely, succeeds in doing so, and then dies of cancer.
[00:46:02.122 --> 00:46:06.545]  Maybe she should have listened to those who she censored because listening to that advice might have saved her life.
[00:46:06.605 --> 00:46:06.906]  Clip number 17.
[00:46:09.537 --> 00:46:17.105]  When it comes to vaccines, vaccine hesitancy, videos that cause a public health risk, where do you want to see YouTube do better?
[00:46:17.806 --> 00:46:22.311]  Well, first of all, we've taken responsibility very seriously.
[00:46:22.952 --> 00:46:24.434]  It's been one of my top priorities.
[00:46:25.635 --> 00:46:30.541]  And with regard to COVID and with regard to vaccines, that has been a top priority for us.
[00:46:31.942 --> 00:46:35.845]  And we have we have a number of different ways that we address that.
[00:46:35.925 --> 00:46:42.009]  So first of all, we want to make sure that if there's information that violates our policies, we came up with 10 different policies around COVID.
[00:46:42.870 --> 00:46:45.772]  Then if that's a violation of policies, then that's something that we'll remove.
[00:46:46.813 --> 00:46:49.715]  We removed over a million videos associated with COVID.
[00:46:50.476 --> 00:46:57.101]  But we also want to make sure that we're raising up information that we think would be that come from trusted and authoritative sources.
[00:46:57.521 --> 00:46:59.803]  And we've really been able to do that.
[00:46:59.983 --> 00:47:05.091]  Have you talked to the Biden administration at all about vaccine hesitancy or vaccine misinformation?
[00:47:06.024 --> 00:47:15.271]  Well, we did an event actually with the Biden administration, including President Biden himself, with a number of creators, Fauci as well.
[00:47:16.091 --> 00:47:31.262]  And we really saw that as an opportunity to be able to help and spread the information that was coming from the administration and coming from experts to using creators and those channels to be able to distribute authoritative, trusted information.
[00:47:31.482 --> 00:47:36.845]  I wonder if there's anything that you see in, you know, the way that anti-vaxxers behave on the platform.
[00:47:36.885 --> 00:47:42.588]  If there are any data or insights there that could be helpful to people understanding where they're coming from.
[00:47:42.608 --> 00:47:48.192]  I mean, we try to understand what are the different ways that we can break through.
[00:47:49.192 --> 00:47:54.237]  Um, so we talked about in this campaign that we did about getting back to the things that you love.
[00:47:54.778 --> 00:47:59.622]  Um, we talked about, we had people that represented all different backgrounds.
[00:47:59.682 --> 00:48:04.247]  We had people, like one of them was actually featuring, um, her mom.
[00:48:05.067 --> 00:48:06.569]  Well, there you go, folks.
[00:48:31.502 --> 00:48:32.503]  Unfortunately, she's dead.
[00:48:32.643 --> 00:48:33.563]  Unfortunately, she's dead.
[00:48:33.583 --> 00:48:36.685]  I don't wish harm to even these evil leftists.
[00:48:36.725 --> 00:48:37.685]  I feel bad for her family.
[00:48:37.705 --> 00:48:39.266]  She should be in our prayers.
[00:48:41.007 --> 00:48:54.574]  But this is the death of somebody who advocated misinformation and disinformation and censorship at the highest levels of the internet in the most influential platforms that exist on the planet.
[00:48:56.295 --> 00:48:57.275]  And censorship kills.
[00:48:57.375 --> 00:48:58.776]  It leads to death, ultimately.
[00:49:00.131 --> 00:49:04.054]  Keep in mind, no amount of lying can cover up the truth.
[00:49:04.615 --> 00:49:11.900]  And censorship can only serve, whether it has good intentions or not, it can either intentionally or inadvertently silence the truth only.
[00:49:12.541 --> 00:49:19.627]  Because the truth will always survive in the context of lies, so you don't need censorship to eradicate the lies and let the truth shine through.
[00:49:19.667 --> 00:49:24.851]  Censorship is only ever used for the purpose of censoring an inconvenient truth.
[00:49:27.290 --> 00:49:29.831]  Minimizing an inconvenient truth.
[00:49:30.472 --> 00:49:32.492]  Reducing an inconvenient truth.
[00:49:32.793 --> 00:49:39.796]  Silencing political opposition when they raise questions or make good points or make the case or argue for
[00:49:41.636 --> 00:49:49.041]  The reason that your political agenda or your policies are bad or failures or unjust or corrupt or criminal, that is the only purpose of censorship.
[00:49:49.101 --> 00:50:07.054]  And one of the best examples of this, one of the most outstanding examples of this, despite the pandemic and all the censorship that we saw there on virtually every platform, was the fact that even Mark Zuckerberg himself, when he went on Joe Rogan, bragged, didn't brag, admitted that the CIA called him, called Facebook personally, and warned them about the Hunter Biden laptop story.
[00:50:08.806 --> 00:50:14.390]  Gave them disinformation saying that the story was Russian misinformation.
[00:50:15.671 --> 00:50:18.313]  Caused them to censor everything before the last election cycle.
[00:50:18.613 --> 00:50:19.754]  We know that it's true now.
[00:50:19.994 --> 00:50:22.556]  We've been reporting on this for years that the laptop was true.
[00:50:22.576 --> 00:50:24.398]  We've been reporting the details of the laptop.
[00:50:25.037 --> 00:50:27.399]  For years as well, just as I showed you at the beginning of this show.
[00:50:27.679 --> 00:50:34.543]  The fact of the matter is, it was all real, and the corruption wasn't just example after example of Hunter Biden banging whores and using crack.
[00:50:35.084 --> 00:50:54.317]  It was example after example of how Hunter Biden created an investment firm, Rosemont Seneca, for the purpose of leveraging his position as the son of the Vice President of the United States to see inordinate gains in all of his investments, whether it's MetaBiota, which received $23.7 million after at least a half a million dollars from Rosemont Seneca was investment in it.
[00:50:55.117 --> 00:51:04.199]  Or this other corruption that we've seen come out this week and on my podcast two years ago and before that many times on the War Room and other platforms with this Romanian oligarch.
[00:51:05.159 --> 00:51:18.302]  So this level of censorship from this dead woman is an example of, whether it was intentional or not, the damage done when the truth is censored because you don't need to censor.
[00:51:19.304 --> 00:51:20.946]  Lies in order for the truth to prevail.
[00:51:21.166 --> 00:51:23.889]  But you have to censor truth in order for lies to prevail.
[00:51:24.250 --> 00:51:27.854]  That is the disproportionate injustice of a policy of censorship.
[00:51:28.114 --> 00:51:32.479]  It kills, it harms, it misinforms, and it brainwashes every single time.
[00:51:32.719 --> 00:51:33.921]  I would take a bullet
[00:51:35.575 --> 00:51:43.000]  For anyone's right to say anything, even if they were advocating for communism or things that I absolutely hate, Kamala Harris should be able to do a rally and advocate for depopulation.
[00:51:43.040 --> 00:51:49.284]  We should fight against her advocacy for depopulation and genocide, but she should have a right to say what she wants, what she thinks.
[00:51:50.612 --> 00:52:02.882]  Because her right to say it is imperative because if I censor her, if we censor her, if we censor other opponents of the interests of the American people, it will always come back around to bite us and it will only harm the truth in the long term.
[00:52:03.062 --> 00:52:11.088]  And if we want humanity to live despite this globalist subjugation and genocide and depopulation of our people, then we have to fight censorship.
[00:52:17.190 --> 00:52:29.553]  What we are seeing across the United States is funded in large part by corporations engaging in Chinese slave labor and the notorious unchallenged usurpation strategy of George Soros.
[00:52:29.793 --> 00:52:37.915]  And like the sublime perfect masters of old, Soros will take nothing less than the collapse of the United States at any cost.
[00:52:38.255 --> 00:52:39.115]  President Trump
[00:52:40.174 --> 00:52:47.736]  He's a con man and the ultimate narcissist who wants the world to revolve around him.
[00:52:48.216 --> 00:53:09.800]  Soros' network is massive, where a league of outlaws fueled by an endless stream of funding, Marxist ideology and peer pressure answer to centralized radical left organizations that in turn receive public support from communist-leaning democratic leaders and mockingbird media, all tied into Soros' grand strategy.
[00:53:10.280 --> 00:53:12.782]  They put us on a thing of syrup!
[00:53:13.363 --> 00:53:15.385]  Aunt Jemima!
[00:53:15.945 --> 00:53:16.646]  Miss Butterworth!
[00:53:16.686 --> 00:53:17.506]  Say her name!
[00:53:17.747 --> 00:53:19.108]  Miss Butterworth!
[00:53:19.268 --> 00:53:20.589]  Say her name!
[00:53:21.830 --> 00:53:32.339]  Portland, Oregon is ground zero, and its liberal mayor, Ted Wheeler, found out firsthand that his civil rights rhetoric is useless against the Marxist maelstrom.
[00:53:36.568 --> 00:53:40.553]  A egregious overreaction on the part of the federal officers.
[00:53:53.493 --> 00:54:00.638]  The president has been on a campaign now for some time against Democratic mayors across the country.
[00:54:01.118 --> 00:54:09.663]  Whether it's me, whether it's Keisha Lance Bottoms in Atlanta, whether it's Muriel Bowser in Washington, D.C., whether it's Jenny Durkan in Seattle.
[00:54:09.683 --> 00:54:11.605]  Do you see a common theme here?
[00:54:12.355 --> 00:54:15.137]  And our justice system is equally compromised.
[00:54:15.397 --> 00:54:24.344]  As Bloomberg reported, Philadelphia District Attorney Larry Krasner said in a statement, This network of Marxist cultural revolutionaries, which is roughly 90% white, has fully exposed itself.
