[00:00:03.001 --> 00:00:03.581]  We're live.
[00:24:34.185 --> 00:24:35.125]  Just save this right now.
[00:24:36.826 --> 00:24:38.107]  The minute Trump gets in.
[00:24:40.623 --> 00:24:45.349]  You're going to hear all these stories about the collapsing economy and the problems and all the rest of it.
[00:24:45.569 --> 00:24:47.051]  Now, Trump is such an optimist.
[00:24:47.151 --> 00:24:49.794]  He's so good at getting foreign investment and doing other deals.
[00:24:49.854 --> 00:24:56.602]  He may be able, in announcing Keystone's back open and all these, he may be able, optimistically, to defeat that.
[00:24:57.603 --> 00:25:07.711]  I'm just telling everybody that I would give it a 90% chance, currently on our trajectory, and we don't talk about this a lot for sure, that they're going to crash the economy when Trump gets in.
[00:25:07.931 --> 00:25:12.414]  And you've heard him, five times I know of, the last six months, say they're going to do this.
[00:25:12.995 --> 00:25:17.258]  So yeah, Trump knows, I know, but I don't hear Republican politicos.
[00:25:17.278 --> 00:25:20.421]  I mean, they're all measuring drapes at the White House.
[00:25:21.360 --> 00:25:24.722]  They're all counting how much political insider control they can have.
[00:25:24.962 --> 00:25:29.666]  They're all getting their lobbying groups tuned up and preparing to buy their yellow Lamborghinis.
[00:25:30.927 --> 00:25:32.508]  I'm not mad to look like Lamborghinis.
[00:25:32.648 --> 00:25:36.330]  I just, my point is, you know, like the last guys in the Trump administration he brought in.
[00:25:36.770 --> 00:25:41.354]  And it's just, they're just partying and, you know, Lamborghinis and all this shit.
[00:25:42.174 --> 00:25:49.761]   And all I'm telling you is, I'm trying to stop Viggo Mortensen's the road level stuff.
[00:25:49.941 --> 00:25:57.085]  I'm trying to stop total collapse, war in the streets, cannibalism, mass death, burning cities, nuclear war.
[00:25:57.485 --> 00:26:04.108]  Great, if everything was fixed, everything's fine, and our kids aren't dying of fentanyl, and the borders aren't totally open, great, get yourself a red Ferrari, great.
[00:26:04.389 --> 00:26:06.970]  If everything was fine, I had a ton of money, hell, I'd probably get one.
[00:26:07.770 --> 00:26:11.452]  But I just can't, it's demonic.
[00:26:13.333 --> 00:26:21.666]   When the ship is sinking, And we're all on board to be polishing our Rolex.
[00:26:22.966 --> 00:26:29.308]  And that's what I'm trying to say is, people better get their priorities straight, and they better do it right now.
[00:26:30.168 --> 00:26:37.170]  Because I'm telling you folks, you don't need me to tell you, but I'm telling you, we are in deep, you know what, we are in deep shit.
[00:26:38.010 --> 00:26:41.231]  We better be praying to God, morning, noon, and night.
[00:26:41.511 --> 00:26:43.352]  I've prayed at least five times today.
[00:26:44.764 --> 00:26:46.988]  I got up at like 6 a.m.
[00:26:47.008 --> 00:26:50.214]  My wife and two younger daughters got up.
[00:26:50.755 --> 00:26:52.379]  I asked them to pray around the table.
[00:26:53.328 --> 00:27:03.272]  And then I did it again, I did it again, and I went and had lunch with my parents, I did it again, and then when I got here to the office, I went in my office real fast, another prayer, and right before I went on air, I said another prayer.
[00:27:03.612 --> 00:27:06.513]  And let me tell you, I usually say, you know, like a focused prayer once a day.
[00:27:07.033 --> 00:27:10.515]  I'll probably pray three more times a day, folks, because I've got to get close to God.
[00:27:10.675 --> 00:27:11.635]  I've got to get dialed in.
[00:27:12.075 --> 00:27:26.403]   Because the fact that I'm not running off to some redoubt in Utah or Montana or Wyoming, and believe me, I've got folks that are ready to take us right now, The fact that I'm not evacuating, every moment it's like, I'm not evacuating, I gotta save the ship.
[00:27:26.783 --> 00:27:28.824]  And there's a chance to get the ship into port, folks.
[00:27:29.404 --> 00:27:31.984]  Use that analogy, a sinking ship in frozen water coming into port.
[00:27:32.264 --> 00:27:38.066]  It's five miles out, the ship's sinking fast, we're bailing as quick as we can, got the engines up as far as we can, and that ship's going under.
[00:27:38.106 --> 00:27:38.986]  I'm like, get the port!
[00:27:39.246 --> 00:27:40.927]  Get the port, we're trying to save the whole ship!
[00:27:41.327 --> 00:27:45.148]  I could have already jumped in the lifeboats and gotten out of here, but the whole ship will go down if we do that.
[00:27:45.388 --> 00:27:46.488]  And that's even more dangerous.
[00:27:47.108 --> 00:27:49.070]  I'm fighting for my life, people!
[00:27:49.129 --> 00:27:52.488]   And you better realize that's what you're doing and get serious.
[00:27:53.489 --> 00:27:57.888]   All right, I want to be 100% clear. I don't say this to boast. In fact, that's bad luck.
[00:27:57.888 --> 00:28:04.929]   And luck is just stuff God, you know, likes. Bad luck's the things God doesn't like.
[00:28:04.929 --> 00:28:12.909]   But when I tell you that the globalists out of any talk show host, any operation,
[00:28:12.909 --> 00:28:17.488]   they hate this operation the most because I've got their number. Our guests have their number.
[00:28:17.571 --> 00:28:18.593]  Our listeners have their number.
[00:28:19.033 --> 00:28:21.657]  And they listen to the show and they're like, how the hell does this guy know all this?
[00:28:22.779 --> 00:28:30.229]  And when the feds, the CIA and the FBI funded all these big Democrat law firms to sue us the last six years, and depositions, they're like, who funds you?
[00:28:30.309 --> 00:28:30.990]  Who runs you?
[00:28:31.290 --> 00:28:32.132]  Who gives you orders?
[00:28:33.618 --> 00:28:39.861]  Because they could not imagine that someone knew all of this and wasn't being given it by some federal agency.
[00:28:40.221 --> 00:28:45.563]  You federal agencies, the stuff leaks, it comes out, you brag, you've got all these whistleblowers that have come out.
[00:28:45.603 --> 00:28:46.964]  I've been on there 30 years!
[00:28:46.984 --> 00:28:48.884]  I've been watching you!
[00:28:48.904 --> 00:28:50.885]  And I had family.
[00:28:51.185 --> 00:28:53.606]  People always spend this, oh God, Jones admits he works for them.
[00:28:53.906 --> 00:28:55.727]  He had family that worked in some agencies.
[00:28:56.027 --> 00:28:58.008]  No, they all told me how evil the government was.
[00:28:59.369 --> 00:29:02.570]  When I was a kid, a teenager, a little kid, then a teenager.
[00:29:04.431 --> 00:29:07.773]  My uncle worked for Army Special Operations in the CIA, high up.
[00:29:08.213 --> 00:29:08.813]  Iran-Contra.
[00:29:08.833 --> 00:29:10.874]  He was in charge of building airfields and communications.
[00:29:11.235 --> 00:29:13.136]  And found out they were smuggling kids out of Guatemala.
[00:29:13.716 --> 00:29:14.336]  He was a great guy.
[00:29:14.376 --> 00:29:14.917]  He got out of it.
[00:29:15.377 --> 00:29:16.097]  He told me about it.
[00:29:17.418 --> 00:29:19.559]  Didn't tell me a lot of it until he was dying.
[00:29:20.620 --> 00:29:21.460]  And he was a great man.
[00:29:22.521 --> 00:29:25.002]  But the point is, is this stuff is going on.
[00:29:25.042 --> 00:29:26.743]  It's been going on a long time.
[00:29:27.123 --> 00:29:28.904]  This is as serious as a heart attack.
[00:29:31.181 --> 00:29:32.346]  I'm gonna get into the news right now.
[00:29:32.427 --> 00:29:34.837]  It's just that people have to understand, folks, this is real.
[00:29:35.674 --> 00:29:39.135]  There's all these thousands of channels and all this BS and all these lightweights.
[00:29:39.715 --> 00:29:41.375]  And believe me, I don't want to be the heavyweight.
[00:29:41.516 --> 00:29:42.896]  I don't want to be the most accurate guy.
[00:29:43.016 --> 00:29:44.496]  I don't want to be the guy that's the main target.
[00:29:44.756 --> 00:29:45.797]  I just want to stop these people.
[00:29:46.077 --> 00:29:48.677]  And the good news is folks are getting how it works now.
[00:29:49.157 --> 00:29:59.740]  And I see all these great talk show hosts and really smart people that finally aren't naive and finally aren't asleep who can see it even better than I can and articulate it better than I can.
[00:30:00.100 --> 00:30:02.581]  Tucker Carlson, Joe Rogan has a way with doing it.
[00:30:03.968 --> 00:30:04.949]  The list goes on and on.
[00:30:04.989 --> 00:30:05.629]  Jimmy Dore.
[00:30:06.230 --> 00:30:06.971]  Russell Brand.
[00:30:07.851 --> 00:30:10.774]  I mean, the Heritage Foundation used to be established with Republicans.
[00:30:10.794 --> 00:30:11.735]  They sound just like me now.
[00:30:13.976 --> 00:30:14.897]  And it's not about me.
[00:30:14.957 --> 00:30:20.121]  It's about understanding the broadcast, my films, the books, the information.
[00:30:20.322 --> 00:30:22.143]  It's dead on, folks.
[00:30:23.424 --> 00:30:25.025]  We don't hit a hole in one every time.
[00:30:25.186 --> 00:30:25.926]  Just most of the time.
[00:30:26.887 --> 00:30:29.029]  But we get really close to the hole every time.
[00:30:30.054 --> 00:30:30.714]  We were golfers.
[00:30:30.754 --> 00:30:40.379]  If this show was a program, if this broadcast was a golfer, we would be sinking the ball on average with two shots every time.
[00:30:40.839 --> 00:30:41.079]  Okay?
[00:30:42.780 --> 00:30:45.341]  So, just understand that analogy.
[00:30:45.381 --> 00:30:46.401]  And that's why they don't like us.
[00:30:46.421 --> 00:30:47.582]  Because I've got their number.
[00:30:47.662 --> 00:30:48.502]  I've got their name.
[00:30:48.802 --> 00:30:49.783]  I've got their ass.
[00:30:50.523 --> 00:30:51.524]  And so can you!
[00:30:53.424 --> 00:30:54.225]  It's all right there!
[00:30:55.785 --> 00:31:05.377]  It's all the Carnegie and the Tavistock Institute, MI6 documents in the 70s, how they were going to create the transgender movement and make sterilizing kids fashionable and cool.
[00:31:05.397 --> 00:31:12.986]  I mean, you just go down the line and if you'll admit the horror of what you're facing, you can then beat it.
[00:31:13.286 --> 00:31:14.308]  But it's so horrible.
[00:31:15.953 --> 00:31:17.454]  People don't want to admit it.
[00:31:18.294 --> 00:31:22.036]  So, you know, I talked at the start of the broadcast about things that have blown up in the establishment's face.
[00:31:22.297 --> 00:31:30.801]  The COVID, the borders, the transgenderism, just all their claims of, you know, we're going to give you free stuff, them trying to cover up inflation.
[00:31:30.922 --> 00:31:38.526]  Everything the establishment's touching is failing because the public doesn't trust them anymore and is investigating and is learning.
[00:31:39.724 --> 00:31:41.025]  But another big one is Joe Biden.
[00:31:41.585 --> 00:31:49.191]  They wanted a corrupt pedophile who'd always been easy to control, on a very short leash, who'd do whatever they told him.
[00:31:50.032 --> 00:31:59.959]  And we told you with Roger Stone three plus years ago, the word was there was a deal that Biden would step down coming up to the convention when they told him to, so he'd get all the heat.
[00:32:00.219 --> 00:32:04.923]  And they could then just quickly, like Indiana Jones moves the idol and puts the sand on the lever.
[00:32:06.632 --> 00:32:07.494]  And that they would do that.
[00:32:08.115 --> 00:32:10.118]  But Biden was the guy they thought he could go a few more years.
[00:32:11.139 --> 00:32:12.141]  He's refusing to step down.
[00:32:12.461 --> 00:32:18.571]  Just like I told you, and Roger Stone told you, and other sources told you, hundreds of times here on this show the last three and a half years.
[00:32:19.844 --> 00:32:20.544]  And now it's admitted.
[00:32:20.604 --> 00:32:21.785]  Jill was telling him not to leave.
[00:32:22.065 --> 00:32:22.845]  His family's in there.
[00:32:22.865 --> 00:32:24.306]  And they're like, dude, you're not really the president.
[00:32:24.326 --> 00:32:26.467]  You're a puppet of Obama and the deep state.
[00:32:26.507 --> 00:32:27.807]  You need to give up.
[00:32:27.867 --> 00:32:28.648]  You need to go away.
[00:32:28.948 --> 00:32:30.268]  So they're applying more and more pressure.
[00:32:30.288 --> 00:32:31.029]  Indicting his son.
[00:32:31.049 --> 00:32:31.789]  Convicting his son.
[00:32:32.169 --> 00:32:32.829]  All these attacks.
[00:32:33.230 --> 00:32:35.210]  Letting Trump have a somewhat fair debate with him.
[00:32:35.791 --> 00:32:37.351]  Showing him stumble down the stage.
[00:32:37.992 --> 00:32:42.133]  They're taking the protection away right now to get him to step down.
[00:32:42.173 --> 00:32:44.154]  And he's arrogantly saying, I'll never step down.
[00:32:44.174 --> 00:32:44.955]  He can barely talk.
[00:32:45.255 --> 00:32:45.795]  Worse than ever.
[00:32:47.588 --> 00:32:50.893]  But they're trying to spin this like, oh, it's a discrediting of the Bidens.
[00:32:52.015 --> 00:32:57.964]  No, it's a discrediting of the corporate media and the politicos and the systems that protected him and covered this up.
[00:32:58.024 --> 00:32:59.766]  It's another giant blow.
[00:33:00.387 --> 00:33:03.332]  Not as big as COVID discrediting them, but it's big.
[00:33:04.383 --> 00:33:15.930]  Not as important, obviously, as COVID, but it's still right up there, close to it, because everybody for years said this guy's a doddering idiot with dementia and Alzheimer's and Parkinson's and a whole mix of those.
[00:33:16.150 --> 00:33:16.951]  And now it's all come out.
[00:33:17.171 --> 00:33:18.012]  He has all that stuff.
[00:33:18.852 --> 00:33:19.913]  His brain is rotting.
[00:33:20.994 --> 00:33:30.059]  He's like, you ever have an extra refrigerator in the garage, and you haven't really filled it in a while for whatever reason, and you go in there, and there's a half gallon of milk's been in there for six months.
[00:33:30.079 --> 00:33:30.660]  This happened once.
[00:33:31.704 --> 00:33:33.786]  I don't know why I do this, but you dump it down the sink.
[00:33:33.806 --> 00:33:34.807]  You don't just throw it in the trash.
[00:33:35.387 --> 00:33:36.208]  Because you're recycling.
[00:33:36.628 --> 00:33:42.473]  But I remember a couple years ago, actually my dad has a ranch and he's got a little shack for deer hunting in it.
[00:33:42.493 --> 00:33:43.414]  That was the last time I did this.
[00:33:43.694 --> 00:33:46.016]  There was like an old thing of milk in there like six months or longer.
[00:33:46.036 --> 00:33:47.677]  And it was pure solid.
[00:33:47.717 --> 00:33:48.698]  It wasn't just rotten milk.
[00:33:49.038 --> 00:33:50.520]  It was pure solid.
[00:33:50.560 --> 00:33:53.682]  You take the top off, big stinking chunks come out of it.
[00:33:53.702 --> 00:33:54.543]  I'm like, why did I do that?
[00:33:54.563 --> 00:33:55.404]  Why don't I throw this away?
[00:33:57.005 --> 00:34:00.401]   Biden isn't like, Rancid milk.
[00:34:00.441 --> 00:34:02.843]  He's not like turned milk, which is a little bit of a taste.
[00:34:03.983 --> 00:34:08.146]  Biden is like a solid, green container of rotting milk.
[00:34:09.266 --> 00:34:16.250]  And now, either they're doing this to discredit him as his handler since they want him to quit, but I don't think that's the case.
[00:34:16.290 --> 00:34:18.612]  It's the little people around him want to keep him in power because they control him.
[00:34:18.952 --> 00:34:24.435]  They're trying to shove him out at multiple events a day now, and he is being even a bigger of a fool.
[00:34:25.748 --> 00:34:33.911]  He's absolutely discrediting himself and the whole system right in front of him, and they think they can suddenly discover that he has a rotten brain.
[00:34:33.931 --> 00:34:38.412]  They think they can suddenly discover that he's totally brain dead.
[00:34:40.533 --> 00:34:42.374]  And go, oh, we're not part of this.
[00:34:43.034 --> 00:34:49.256]  Like, the most famous clip now is Scarborough saying, if you don't believe me and you don't think this is true, F you.
[00:34:50.592 --> 00:34:51.592]  This is the best Biden.
[00:34:52.033 --> 00:34:52.993]  He's just a genius.
[00:34:53.033 --> 00:34:53.753]  He's so smart.
[00:34:54.073 --> 00:34:54.813]  He's so incredible.
[00:34:54.854 --> 00:34:55.574]  He's so amazing.
[00:34:56.854 --> 00:35:03.837]  The fact that they just arrogantly gaslight and say, this shot 100% protects you and is totally safe.
[00:35:04.397 --> 00:35:06.037]  And then now they admit, oh, I never said that.
[00:35:06.077 --> 00:35:06.818]  It's really good for you.
[00:35:08.338 --> 00:35:09.139]  Or it's really bad for you.
[00:35:11.619 --> 00:35:15.801]   And it's the same thing that They're out of ammo.
[00:35:15.821 --> 00:35:17.502]  Their lives don't work anymore.
[00:35:17.542 --> 00:35:22.284]  They've got tricks, and they've got scams, and they've got the money, but they don't have the people.
[00:35:22.344 --> 00:35:26.226]  Just like sand running out of an hourglass.
[00:35:27.166 --> 00:35:36.471]  Every day they continue on, they become more hated, more ridiculed, more reviled, and the public then discovers every policy they support, every program they're behind.
[00:35:37.091 --> 00:35:40.212]  And so, this is not the decline of the globalist establishment.
[00:35:40.612 --> 00:35:43.954]  This is them discovering they're already dead.
[00:35:45.046 --> 00:35:45.547]  Politically.
[00:35:47.750 --> 00:35:51.957]  So let's start getting the clips because I've already done 41 minutes of preaching here.
[00:35:53.680 --> 00:35:58.949]  Here is a Biden two clips back to back at a church in Philadelphia.
[00:36:00.970 --> 00:36:03.711]  He says it's good to be home, and it's just an incoherent mess.
[00:36:03.811 --> 00:36:04.831]  I watched the whole speech.
[00:36:05.271 --> 00:36:07.231]  I could hear the whole five-minute speech.
[00:36:07.251 --> 00:36:08.492]  It's just incoherent babbling.
[00:36:09.052 --> 00:36:13.293]  And then he sits down, they start singing the main hymnal, and they say, please rise.
[00:36:13.913 --> 00:36:19.434]  And Biden sits there when the rest of the church stands up, and he starts pointing at his handlers saying, do I get up?
[00:36:19.494 --> 00:36:20.034]  Do I get up?
[00:36:20.315 --> 00:36:24.355]  But he can't hear what they're saying, so he just sits there like a deer in the headlights.
[00:36:24.375 --> 00:36:26.276]  This is the guy in control of the nuclear codes, folks.
[00:36:27.489 --> 00:36:30.191]  And this is them in the morning thinking, well, it's the morning.
[00:36:30.211 --> 00:36:32.293]  Everybody knows about folks with dementia.
[00:36:32.553 --> 00:36:34.735]  They're a lot better in the morning, and then they sundown.
[00:36:36.096 --> 00:36:39.659]  Well, he's sundowning at 10 a.m.
[00:36:39.679 --> 00:36:42.441]  in the morning in Philadelphia, Pennsylvania.
[00:36:42.802 --> 00:36:43.202]  Here he is.
[00:36:44.763 --> 00:36:53.150]  And I want to thank you for, you know, I said this, it's good to be home.
[00:36:54.551 --> 00:36:55.112]  Please sit down.
[00:36:56.561 --> 00:36:58.842]  Radio listeners.
[00:36:58.702 --> 00:37:23.862]   me. Oh I was lost. Now I found. Now I never radio listeners together. He's just sitting
[00:37:23.862 --> 00:37:30.102]   there not knowing where he is vacant stare like an Alzheimer's patient.
[00:37:30.051 --> 00:37:33.918]  When you go to visit grandma at the nursing home and you see the Alzheimer's patient sitting in the lobby.
[00:37:35.180 --> 00:37:37.885]  And then he keeps looking and pointing at himself saying, am I supposed to get up?
[00:37:39.913 --> 00:37:41.814]  And there's wide shots of this too, this is a close shot.
[00:37:42.574 --> 00:37:44.735]  And everybody else stands up and he doesn't.
[00:37:45.456 --> 00:37:48.217]  I mean, this is supposedly the guy that beat Trump.
[00:37:49.018 --> 00:37:53.260]  By the way, Biden gave another speech and said, I don't care about the polls, I'm going to win.
[00:37:53.860 --> 00:37:55.421]  I'm going to beat Trump just like I beat him in 2020.
[00:37:55.541 --> 00:37:56.701]  No, no, sorry.
[00:37:57.101 --> 00:37:58.822]  He said, I'm going to beat Trump again in 2020.
[00:37:59.302 --> 00:38:04.245]  I mean, you can't even keep track of this guy.
[00:38:06.533 --> 00:38:12.379]  So here's David Axelrod, the establishment globalist, saying these are the facts of life.
[00:38:13.901 --> 00:38:15.642]  What's happened to Biden is the facts of life.
[00:38:15.682 --> 00:38:16.343]  He's got to go.
[00:38:16.744 --> 00:38:18.065]  Oh, like two men can have a baby?
[00:38:18.085 --> 00:38:21.308]  And all the other facts of life you say don't exist?
[00:38:21.749 --> 00:38:23.330]  But again, they can't suspend reality.
[00:38:23.390 --> 00:38:23.691]  Here it is.
[00:38:26.270 --> 00:38:38.340]  It's just there are certain immutable facts of life and those were painfully obvious on that debate stage and the President just doesn't seem to come to, he hasn't come to grips with it.
[00:38:38.981 --> 00:38:40.502]  He's not winning this race.
[00:38:40.883 --> 00:38:53.733]  He's more likely, if you just look at the data and talk to people around the country, political people around the country, it's more likely that he'll lose by a landslide than win narrowly this race.
[00:38:54.847 --> 00:39:02.193]  Now here's Fox News host complaining that no major Democrat, including Barack Obama, Bill Clinton, Hillary, will come on to defend Biden.
[00:39:03.815 --> 00:39:09.840]  Obama put out a statement last week saying, well, it's a bad night, but he's still our guy, while his own attack dogs try to get him to step down.
[00:39:11.121 --> 00:39:17.346]  So, that's why I say, I believe Biden will resign, I think I said by the 20th, yeah, I did.
[00:39:19.446 --> 00:39:20.887]  So I said the 22nd.
[00:39:20.907 --> 00:39:22.289]  Remember what I said Friday?
[00:39:22.689 --> 00:39:25.471]  I said two weeks, so however long that was.
[00:39:26.572 --> 00:39:28.794]  So I believe he will resign.
[00:39:28.814 --> 00:39:33.879]  To be clear, he will resign being the nominee.
[00:39:34.860 --> 00:39:42.527]  He will remain puppet president until the new inauguration, but that he will say that he is not going to be the nominee.
[00:39:43.857 --> 00:39:45.119]  And then he will let others come in.
[00:39:45.159 --> 00:39:50.507]  Probably looks like more and more Kamala, you know, Roger says Big Mike and he's rarely wrong and you know the rest of it.
[00:39:50.527 --> 00:39:55.353]  So there's a lot of moving parts here, but here's Fox News.
[00:39:55.714 --> 00:39:58.338]  Not a single guest was able to come on to defend Biden.
[00:39:59.781 --> 00:40:03.482]  Now, before we get to our guests, I want you, the viewers at home, to know something.
[00:40:03.882 --> 00:40:08.983]  Our team has spent days reaching out to dozens of lawmakers and Biden advocates and allies.
[00:40:09.383 --> 00:40:20.325]  We've had numerous interactions with the Biden-Harris campaign, but not a single potential guest was either able or willing to join us on today's show to defend the president and his decision to stay on the ticket.
[00:40:20.425 --> 00:40:27.026]  So, we will be having a conversation without that voice, which we have been working around the clock to avoid.
[00:40:28.180 --> 00:40:30.722]  All right, so they've left him out in the cold.
[00:40:31.743 --> 00:40:43.092]  Now here is the press secretary, the evil Raggedy Ann, saying that he had a bad debate because he was suffering from jet lag, his last trip being weeks before the debate.
[00:40:43.112 --> 00:40:43.472]  Here it is.
[00:40:44.838 --> 00:40:47.199]  There's no question that international travel can be rigorous.
[00:40:47.279 --> 00:40:52.621]  I think the confusion is that he's still suffering from the effects of that nearly two weeks later.
[00:40:53.081 --> 00:40:59.883]  So can you articulate a little bit about, like, do you guys usually have accommodations for him after he does a trip?
[00:41:00.664 --> 00:41:03.847]  That he's going to have jet lag for that long a period of time?
[00:41:04.148 --> 00:41:06.851]  So can you, when you say two weeks later, what do you mean?
[00:41:06.871 --> 00:41:11.476]  Well the debate, he arrives back in the United States 12 or 13 days before the debate.
[00:41:11.676 --> 00:41:14.840]  So his explanation for a poor debate performance is jet lag.
[00:41:15.120 --> 00:41:20.122]  So what I want to say is it's the jet lag and also the cold, right?
[00:41:20.262 --> 00:41:23.823]  It is the two things and that occurred.
[00:41:25.243 --> 00:41:28.604]  And you all heard it in his voice when he did the debate, right?
[00:41:28.804 --> 00:41:31.205]  And it is not even something that we shared ahead of time.
[00:41:31.305 --> 00:41:33.425]  You heard it in his voice and we confirmed it.
[00:41:34.326 --> 00:41:36.146]  And I think that's important to note as well.
[00:41:36.186 --> 00:41:38.327]  Like it is the jet lag and the cold.
[00:41:39.387 --> 00:41:41.428]  This is the same layer that tells us there's no inflation.
[00:41:42.617 --> 00:41:45.679]  So here is a compilation of Biden in 2020 versus 2024.
[00:41:45.819 --> 00:41:56.026]  I'm going to go through some of these headlines where the Democrats are now calling for using AI to create a fake, young, smart Biden to fool the voters.
[00:41:56.406 --> 00:42:00.609]  They're that crazy that they're in major publications saying, let's just lie to the public.
[00:42:01.129 --> 00:42:07.693]  We know you've been lying for a long time, but now you think your secret weapon of AI is going to save you?
[00:42:08.214 --> 00:42:08.574]  Here it is.
[00:42:09.525 --> 00:42:15.530]  Nobody making less than $400,000 will pay a penny more in tax under my proposal.
[00:42:15.610 --> 00:42:16.291]  That's a promise?
[00:42:16.331 --> 00:42:17.351]  That's a guarantee.
[00:42:17.512 --> 00:42:17.992]  A promise.
[00:42:18.032 --> 00:42:19.213]  I give you my word as a Biden.
[00:42:19.393 --> 00:42:20.694]  That's an absolute guarantee.
[00:42:20.934 --> 00:42:24.457]  And you think it's a good idea to raise taxes when the economy's in dire straits?
[00:42:24.978 --> 00:42:26.339]  Depending who you're raising them on.
[00:42:26.559 --> 00:42:30.802]  Look, if you're raising somebody who's making a billion dollars a year, it's not a problem.
[00:42:30.863 --> 00:42:35.226]  If they pay 39.6%, which everybody should pay, raise another $90 billion.
[00:42:35.266 --> 00:42:37.288]  Did you ever watch the debate afterwards?
[00:42:39.412 --> 00:42:41.895]  I don't think I did, no.
[00:42:41.915 --> 00:42:45.760]  What I want to get at is, what were you experiencing as you were going through the debate?
[00:42:45.800 --> 00:42:47.522]  Did you know how badly it was going?
[00:42:48.083 --> 00:42:48.604]  Yeah, look.
[00:42:51.868 --> 00:42:54.271]  The whole way I prepared, nobody's fault, mine.
[00:42:55.132 --> 00:42:56.053]  Nobody's fault but mine.
[00:42:58.527 --> 00:43:07.795]  I prepared what I usually would do, sitting down, as I did come back with foreign leaders or the National Security Council, for explicit detail.
[00:43:08.635 --> 00:43:19.284]  And I realized about partway through that, you know, although I get quoted, the New York Times had me down at ten points before the debate, nine now or whatever the hell it is.
[00:43:20.064 --> 00:43:26.249]  The fact of the matter is that what I looked at is that he also lied 28 times.
[00:43:26.269 --> 00:43:29.672]   I couldn't I mean, the way the debate ran.
[00:43:32.857 --> 00:43:40.589]  Just three days ago, Biden said he's probably the first black woman VP to serve with a black president.
[00:43:41.831 --> 00:43:42.232]  Here he is.
[00:43:43.405 --> 00:43:47.690]  I remember as a Catholic kid growing up in an area where we didn't like, Catholics didn't get elected.
[00:43:47.770 --> 00:43:52.356]  I'm the first president elected statewide in the state of Delaware when I was a kid.
[00:43:52.916 --> 00:43:57.882]  Well, you know, I was, I looked at John Kennedy and said, well, he, God, he got elected.
[00:43:57.962 --> 00:43:59.003]  Why can't I get elected?
[00:43:59.324 --> 00:44:03.248]  By the way, I'm proud to be, as I said, the first vice president.
[00:44:03.989 --> 00:44:11.291]  And then there's Stephanopoulos, who he normally goes to for support, literally stabbing him, not in the back, but to his face, like Brutus, in the Roman Senate.
[00:44:11.131 --> 00:44:15.850]   There's just so much that we can do because together we can do nothing.
[00:44:15.850 --> 00:44:19.531]  Look, this is the United States of America.
[00:44:19.531 --> 00:44:24.851]   And then there's Stephanopoulos who he normally goes to for support, literally stabbing him,
[00:44:24.851 --> 00:44:30.330]   not in the back, but to his face like Brutus in the Roman Senate.
[00:44:30.330 --> 00:44:31.330]  Here's Stephanopoulos.
[00:44:31.330 --> 00:44:33.810]  Let's start with the debate.
[00:44:33.817 --> 00:44:36.197]  You and your team have said you had a bad night.
[00:44:38.298 --> 00:44:42.339]  But your friend Nancy Pelosi actually framed the question that I think is on the minds of millions of Americans.
[00:44:42.959 --> 00:44:46.740]  Was this a bad episode or the sign of a more serious condition?
[00:44:48.021 --> 00:44:49.021]  It was a bad episode.
[00:44:50.501 --> 00:44:52.062]  No indication of any serious condition.
[00:44:52.102 --> 00:44:52.902]  I was exhausted.
[00:44:53.922 --> 00:44:57.303]  I didn't listen to my instincts in terms of preparing.
[00:44:57.704 --> 00:44:58.664]  And it was a bad night.
[00:44:59.434 --> 00:45:11.778]  You know, you say you were exhausted, and I know you've said that before as well, but you came, and you did have a tough month, but you came home from Europe about 11 or 12 days before the debate, spent six days in Camp David.
[00:45:11.978 --> 00:45:14.459]  Why wasn't that enough rest time, enough recovery time?
[00:45:14.859 --> 00:45:15.739]  Because I was sick.
[00:45:15.820 --> 00:45:16.840]  I was feeling terrible.
[00:45:16.900 --> 00:45:21.081]  Matter of fact, the docs with me, I asked if they did a COVID test, because they were trying to figure out what was wrong.
[00:45:21.661 --> 00:45:26.303]  They did a test to see whether or not I had some infection, you know, a virus.
[00:45:26.723 --> 00:45:27.163]  I didn't.
[00:45:27.683 --> 00:45:28.964]  I just had a really bad cold.
[00:45:30.572 --> 00:45:33.013]  And did you ever watch the debate afterwards?
[00:45:35.133 --> 00:45:37.594]  I don't think I did, no.
[00:45:37.614 --> 00:45:41.474]  What I want to get at is, what were you experiencing as you were going through the debate?
[00:45:41.494 --> 00:45:43.235]  Did you know how badly it was going?
[00:45:43.775 --> 00:45:44.315]  Yeah, look.
[00:45:47.576 --> 00:45:49.976]  The whole way I prepared, nobody's fault, mind.
[00:45:50.836 --> 00:45:51.757]  Nobody's fault but mine.
[00:45:54.244 --> 00:46:03.506]  I prepared what I usually would do, sitting down, as I did come back with foreign leaders or the National Security Council, for explicit detail.
[00:46:04.347 --> 00:46:15.009]  And I realized about partway through that, you know, all the, I get quoted, the New York Times had me down at ten points before the debate, nine now or whatever the hell it is.
[00:46:15.769 --> 00:46:21.331]  The fact of the matter is that, what I looked at, is that he also lied 28 times.
[00:46:21.371 --> 00:46:27.372]   I couldn't I mean, the way the debate ran, not my fault, no one else's fault.
[00:46:27.932 --> 00:46:29.353]  No one else's fault.
[00:46:29.373 --> 00:46:31.775]  But it seemed like you were having trouble from the first question in.
