[00:00:00.000 --> 00:00:06.960]  The World Health Organization pandemic treaty is still not approved.
[00:46:52.320 --> 00:46:54.039]  This is the future of inoculation.
[00:46:54.039 --> 00:46:57.480]  It's not getting in a line and getting a jab in your arm.
[00:46:57.599 --> 00:47:02.780]  It's not presidents of the United States getting jabs, whether fake or not, on TV and fake sets.
[00:47:02.940 --> 00:47:08.340]  It's not politicians or executives or influencers showing you a picture of the Band-Aid on their arm.
[00:47:08.500 --> 00:47:16.139]  It's simply a bunch of chickens and cows being inoculated, big pharma being paid, the federal government paying for it.
[00:47:16.280 --> 00:47:17.460]  You don't even have to hear about it.
[00:47:17.539 --> 00:47:20.739]  And then you take a bite out of it and boom, you are vaccinated.
[00:47:20.800 --> 00:47:21.960]  That is what's going on.
[00:47:25.019 --> 00:47:26.260]  Big Pharma makes a bunch of money.
[00:47:26.420 --> 00:47:27.840]  You don't even know you're getting vaccinated.
[00:47:28.059 --> 00:47:31.539]  The state loves it because they can spend your money and they can get kickback on all the spending.
[00:47:33.219 --> 00:47:35.820]  Everybody wins except for you.
[00:47:36.079 --> 00:47:41.480]  And that's why they've come out so hard against things like raw milk, raw eggs, raw meat.
[00:47:41.679 --> 00:47:44.199]  They've been pushing this artificial meat too as well.
[00:47:44.239 --> 00:47:45.280]  We know it's loaded with sodium.
[00:47:45.420 --> 00:47:46.380]  It's totally unhealthy for you.
[00:47:46.460 --> 00:47:51.460]  I mean, just anybody with common sense can look at what a fake hamburger is made out of and know that it's worse for you than a regular beef hamburger.
[00:47:52.550 --> 00:47:55.070]  But they're coming out against all of this alternative food.
[00:47:55.150 --> 00:47:56.510]  They don't want you raising your own chickens.
[00:48:19.290 --> 00:48:19.869]  I don't know.
[00:48:19.949 --> 00:48:20.789]  Maybe the crew can look it up.
[00:48:20.849 --> 00:48:22.389]  I believe our milk...
[00:48:22.559 --> 00:48:26.780]  In the United States, not the raw milk, but the standard stuff that they have in the store, the name brand stuff.
[00:48:26.960 --> 00:48:31.840]  I believe our milk is actually illegal in many nations throughout the world.
[00:48:32.119 --> 00:48:35.340]  Or the way in which we do our milk is illegal in many nations throughout the world.
[00:48:35.420 --> 00:48:36.559]  Please look that up.
[00:48:37.219 --> 00:48:52.699]  So while the rest of the world acknowledges that what we're doing to our food is poisoning our populace, that fluoride in the water is making us retarded, that atrazine in the water is turning the frogs gay, That the food dyes and Froot Loops are making kids have behavior issues,
[00:48:53.059 --> 00:48:57.940]  ADD, cognitive issues, anxiety, mental illness.
[00:49:00.639 --> 00:49:13.719]  While the rest of the world knows that what we do to our population through the food and the water and the air is a major human rights violation, a major health issue.
[00:49:16.380 --> 00:49:24.019]  Our government is still able to get away with doing this and to get away with saying that raw milk is the real problem because you'll get salmonella.
[00:49:25.840 --> 00:49:43.940]  Look, folks, I don't know what the odds are of you getting salmonella from a raw egg or from drinking raw milk, but the odds of you having an IQ, a whole standard deviation lower than what you're genetically capable of because you've been drinking tap water with fluoride in it your entire life are virtually guaranteed.
[00:49:44.599 --> 00:49:50.679]  So they're happy Guaranteeing that you will have diminished cognitive functioning.
[00:49:51.039 --> 00:49:59.199]  They're happy guaranteeing that you will have depression and ADD and mental illness and anxiety through all the stuff that they put in the food and they allow to be put in the food.
[00:49:59.360 --> 00:50:07.380]  They're happy guaranteeing that you'll be obese because the high fructose corn syrup, which has replaced sugar in virtually all of our food, whether it's soda or anything else.
[00:50:08.639 --> 00:50:12.199]  But they don't want you to eat a grass-fed cow.
[00:50:12.420 --> 00:50:14.880]  They don't want you to eat a happy chicken.
[00:50:15.079 --> 00:50:17.039]  They don't want you to eat a raw egg.
[00:50:17.159 --> 00:50:19.059]  They don't want you to drink raw milk.
[00:50:19.239 --> 00:50:21.239]  We have to come down on this raw milk.
[00:50:22.440 --> 00:50:28.639]  Even though the odds of getting sick from it are so minuscule, so minute, so just negligible, nominal.
[00:50:30.550 --> 00:50:39.449]  Why is it that they care so much about your health when it comes to those odds, but not at all about your health when it comes to virtually everything else about our civilization, our society?
[00:50:39.570 --> 00:50:45.409]  I mean, we had Michelle Obama doing the Let's Move campaign until some of her movements were a little too revealing.
[00:50:45.889 --> 00:50:53.309]  Back when I was in high school, 2008, I remember, suddenly all the sodas disappeared from the vending machines because they were unhealthy, and they were unhealthy.
[00:50:53.829 --> 00:50:55.369]  But they didn't replace them.
[00:50:56.900 --> 00:51:01.340]  With fluoride-free water in glass bottles so you didn't get microplastics.
[00:51:01.500 --> 00:51:04.519]  They didn't replace them with vitamin drinks.
[00:51:04.639 --> 00:51:12.280]  They didn't replace them with Ultimate Hydro Force from the AlexJonesStore.com or Vitamin Mineral Fusion from DrJonesNaturals.com.
[00:51:12.360 --> 00:51:20.000]  They replaced them with these diet sodas that have cancer-causing, Alzheimer's-causing ingredients and artificial sweeteners in it.
[00:51:20.300 --> 00:51:22.679]  So instead of drinking a Coca-Cola, you're drinking a Diet Coke.
[00:51:22.800 --> 00:51:24.079]  Sorry, you're going to get Alzheimer's.
[00:51:24.239 --> 00:51:25.239]  Sorry, you're going to get cancer.
[00:51:26.980 --> 00:51:29.219]  See, the thing is, they don't care about your health at all.
[00:51:29.760 --> 00:51:33.500]  It's not just the government that doesn't care about your health, it's also the pharmaceutical companies that don't care about your health.
[00:51:33.739 --> 00:51:37.500]  They definitely don't want you healthy because when you're healthy, you don't pay for healthcare.
[00:51:39.699 --> 00:51:46.460]  And what's more is, the health insurance companies, because of the great Affordable Care Act, they don't want you to be healthy either.
[00:51:48.780 --> 00:51:51.780]  And I'll explain to you why, but think about it like this.
[00:51:53.139 --> 00:52:02.269]  When it comes to car insurance, Your car insurance company does not want you to get into car accidents because they lose money.
[00:52:02.869 --> 00:52:03.949]  Very obvious, right?
[00:52:04.389 --> 00:52:07.250]  Get in a car accident, your insurance company has to pay for it.
[00:52:07.730 --> 00:52:08.889]  That's how they lose money.
[00:52:09.010 --> 00:52:09.809]  That's their overhead.
[00:52:11.250 --> 00:52:17.309]  And many insurance companies like Progressive and others, they even have apps that you can install on your phone that monitor your driving.
[00:52:17.590 --> 00:52:24.389]  And the safer you drive, the lower your rate is because they don't want you to get into accidents.
[00:52:25.400 --> 00:52:28.840]  Same process for life insurance companies.
[00:52:29.039 --> 00:52:31.199]  Same process for homeowners insurance companies.
[00:52:31.340 --> 00:52:42.239]  Basically, every single type of insurance company does not want you to file a claim except for the health insurance industry thanks to the Affordable Care Act.
[00:52:42.320 --> 00:52:42.940]  And here's why.
[00:52:43.199 --> 00:52:54.460]  Health insurance companies are legally prohibited from making more than 15% to 20%, depending on the type of coverage, above the cost of health care.
[00:52:56.130 --> 00:53:06.469]  So if healthcare costs a million dollars, they can only make $200,000 over that.
[00:53:09.090 --> 00:53:14.110]  So what are they supposed to do if they want to make more than $200,000?
[00:53:15.590 --> 00:53:18.630]  Well, we got to have more people making claims.
[00:53:19.409 --> 00:53:26.579]  And we got to make sure that that surgery that you paid a million dollars for for It's worth 1.5 next year.
[00:53:26.739 --> 00:53:28.460]  That's why the premiums go up every year.
[00:53:28.739 --> 00:53:33.420]  That's why the health insurance companies actually want the cost of healthcare to get more and more expensive.
[00:53:33.659 --> 00:53:35.139]  They don't want you healthy.
[00:53:35.239 --> 00:53:36.579]  The insurance companies don't want you healthy.
[00:53:36.719 --> 00:53:38.239]  The doctors don't want you healthy.
[00:53:38.420 --> 00:53:39.980]  The pharmaceutical companies don't want you healthy.
[00:53:40.119 --> 00:53:49.099]  And the members of our political class who are personally invested in all these publicly traded big pharmaceutical companies don't want you healthy whatsoever because they don't make any money if you're healthy.
[00:53:50.179 --> 00:53:51.340]  That's why there's no cure.
[00:53:51.460 --> 00:53:52.119]  There's only treatment.
[00:53:53.150 --> 00:53:54.210]  They're only dealing with symptoms.
[00:53:54.349 --> 00:53:55.690]  They want to solve these problems.
[00:53:56.570 --> 00:53:58.829]  That's happened before in other industries.
[00:53:59.050 --> 00:54:05.070]  I'm told that the Germans may have engineered a tire that never wore out in World War II. Where did that go?
[00:54:06.469 --> 00:54:10.510]  What, have there been three people who have invented an automobile that can run on water?
[00:54:10.590 --> 00:54:11.889]  They've all died mysteriously.
[00:54:12.570 --> 00:54:13.630]  Am I right about that?
[00:54:15.750 --> 00:54:16.929]  It's just the nature of things.
[00:54:17.070 --> 00:54:18.329]  Everything is incentive-based.
[00:54:22.139 --> 00:54:29.840]  And the nice thing about vaccines for these pharmaceutical companies is it's a great way to get people to pay for your service even when they are healthy.
[00:54:30.380 --> 00:54:35.980]  See, the vaccine thing was a brilliant part of this marketing strategy, this business strategy for Big Pharma.
[00:54:36.639 --> 00:54:42.699]  Because they ran into this problem that, hey, we have reached total market saturation.
[00:54:44.159 --> 00:54:46.480]  Only sick people are paying for our services.
[00:54:47.570 --> 00:54:51.730]  How can we branch into the healthy market?
[00:54:52.909 --> 00:54:55.010]  Obviously, you're not going to the doctor and getting drugs.
[00:54:55.150 --> 00:54:56.690]  If you're healthy, you go when you're sick.
[00:54:56.869 --> 00:55:03.449]  So how can we make money off of healthy people, given that people only need our services when they're sick, our products when they're sick?
[00:55:03.989 --> 00:55:05.610]  Well, let's do vaccine.
[00:55:06.070 --> 00:55:14.210]  We can ensure that people will get vaccines on a predictable schedule, whether it's children, whether it's a new flu shot that never works every single year.
[00:55:15.500 --> 00:55:19.000]  They're healthy, they're not sick, they're always paying for our services.
[00:55:19.000 --> 00:55:20.719]  It's called reoccurring revenue, folks.
[00:55:20.860 --> 00:55:23.400]  It's basically a subscription model for big pharma.
[00:55:23.519 --> 00:55:24.800]  That's what the vaccine industry was.
[00:55:29.119 --> 00:55:36.039]  And now that they've lost that recurring revenue because of lack of faith in their products, their services, what they've done because they lied and it's so dangerous.
[00:55:39.159 --> 00:55:40.800]  Keep that up on the screen, I'm gonna read it in a second.
[00:55:42.780 --> 00:55:45.079]  They have to inoculate us through the food supply.
[00:55:46.360 --> 00:55:50.159]  How can veterinary vaccines adversely affect human health?
[00:55:50.480 --> 00:55:51.880]  News Medical Life Sciences.
[00:55:52.440 --> 00:56:00.300]  Increased use of veterinary vaccines may increase human exposure to vaccine strains which in turn can adversely affect human health.
[00:56:01.309 --> 00:56:03.150]  And there's study after study after study.
[00:56:03.309 --> 00:56:04.510]  This is what it is.
[00:56:04.730 --> 00:56:09.429]  It's a max vaccination strategy, and it's not gonna stop with just the bird flu.
[00:56:09.650 --> 00:56:15.170]  It's gonna be every illness, and it's gonna be experimental MKUltra-type stuff from the government as well.
[00:56:15.769 --> 00:56:24.489]  We have intelligence, reliable, credible intelligence that Russia is developing this strain of this virus, and that China is developing this strain of this virus.
[00:56:25.190 --> 00:56:37.369]  And so we need to vaccinate our populace unwittingly in the event of an escalation to World War III. So we're going to mass inoculate all of the livestock, all the chickens, all the cows, and then when people eat, they'll be vaccinated.
[00:56:39.849 --> 00:56:41.210]  But here's where it gets really ugly.
[00:56:41.349 --> 00:56:51.590]  If you're worried about euthanasia causing death panels like they have in Canada, I think it was at one in 20 deaths last year in Canada for euthanasia.
[00:56:53.190 --> 00:56:57.769]  Just imagine what they'll inoculate you with if they're in bed with pharmaceutical companies.
[00:56:57.889 --> 00:57:05.130]  What if these new cancer drugs are really profitable for pharmaceutical companies that our politicians are invested in?
[00:57:05.289 --> 00:57:16.869]  Why can't we sneak a little mRNA vaccine in all of the livestock that we know is going to cause turbo cancer with a latent onset so it's not suspicious?
[00:57:17.010 --> 00:57:18.889]  People won't even know they got the vaccine.
[00:57:19.030 --> 00:57:20.449]  They'll just have chicken dinner.
[00:57:21.739 --> 00:57:24.440]  And then we can make a lot of money off of giving people cancer.
[00:57:24.579 --> 00:57:26.840]  We can make a lot of money off of making people sick.
[00:57:26.940 --> 00:57:27.960]  Now they want you sick.
[00:57:28.099 --> 00:57:32.500]  Not only are they not trying to keep you healthy, now they actually want you sick in a whole other level, folks.
[00:57:32.719 --> 00:57:33.199]  Stay tuned.
[00:57:33.619 --> 00:57:34.820]  It's time to take action.
[00:57:35.179 --> 00:57:40.980]  So for a lot of you out there, this is free and you can make supplemental money very easily.
[00:57:41.360 --> 00:57:44.460]  I mean, I would imagine most people can make hundreds of bucks a month with their eyes closed.
[00:57:44.789 --> 00:57:50.349]  And if you really kick ass, thousands of dollars, even if you have a tiny, you know, X account or Facebook or whatever.
[00:57:50.650 --> 00:57:59.050]  But if you're a talk show host, I mean, you can make a living and finance your show and maybe even, you know, hire reporters or whatever.
[00:57:59.190 --> 00:58:00.469]  I mean, this is exciting.
[00:58:00.690 --> 00:58:03.769]  So, go now to thelshostore.com.
[00:58:03.909 --> 00:58:04.829]  And one other thing.
[00:58:05.090 --> 00:58:07.869]  There are five limited edition fundraiser posters.
[00:58:08.070 --> 00:58:09.809]  And by fundraiser, everything raises funds there.
[00:58:09.869 --> 00:58:13.510]  But the t-shirts cost like 16, 17 bucks a piece before you buy them.
[00:58:13.650 --> 00:58:16.190]  And then the sponsor gets half and we get half.
[00:58:16.309 --> 00:58:20.630]  And to run all this and build a new network as a backup, you know, we're squeaking by.
[00:58:20.849 --> 00:58:27.690]  But when something says fundraiser on it, like a t-shirt that's cost double or a poster, yeah, the poster costs five, six bucks.
[00:58:28.110 --> 00:58:31.449]  I mean, the shipping, we ship it in the special packaging costs as much as the poster itself.
[00:58:32.019 --> 00:58:37.579]  So, you know, $6, $7, $8, $9 for the poster cost with the packaging, and then we're selling it for $25, $30.
[00:58:37.920 --> 00:58:39.820]  That's because there's some real markup in there to fund it.
[00:58:39.880 --> 00:58:41.239]  So you know you're buying something.
[00:58:41.400 --> 00:58:43.579]  It's a memento that you really back what we're doing.
[00:58:44.119 --> 00:58:47.380]  The campaign coins, challenge coins, they're all there.
[00:58:48.619 --> 00:58:54.940]  So the posters run from $19.95 to $29.95, and we'll have new limited edition posters after that.
[00:58:55.420 --> 00:59:00.760]  But the posters on January 6th will be no more.
[00:59:01.619 --> 00:59:06.360]  They're limited edition, so if you get your order in by then, you will get the poster because they're print on demand.
[00:59:06.360 --> 00:59:07.019]  They're in Arkansas.
[00:59:07.599 --> 00:59:09.800]  If you want one of these posters, there they are.
[00:59:10.340 --> 00:59:14.199]  And again, you've got until January 6th to get your order in.
[00:59:14.340 --> 00:59:15.539]  They look great hanging on the wall.
[00:59:15.619 --> 00:59:17.699]  We got them hanging here in the office.
[00:59:17.739 --> 00:59:20.239]  And I designed all of these.
[00:59:20.420 --> 00:59:25.699]  My favorite is the Trump graph that I showed the day before the election that predicted the election.
[00:59:25.840 --> 00:59:27.880]  I said, she's going to try to steal it, but it's going to fail.
[00:59:28.099 --> 00:59:33.139]  So the blue line goes up and goes straight up, but it's not enough fraud to overpower the landslide.
[00:59:33.239 --> 00:59:35.280]  And that's actually the graph that actually happened.
[00:59:35.659 --> 00:59:36.760]  The key battlegrounds.
[00:59:36.920 --> 00:59:38.699]  So you talk about nailing it, baby.
[00:59:39.000 --> 00:59:39.920]  That's my favorite.
[00:59:40.019 --> 00:59:40.840]  I designed that one.
[00:59:41.000 --> 00:59:43.119]  And then the 47th one I designed as well.
[00:59:43.280 --> 00:59:44.400]  So I designed those.
[00:59:45.039 --> 00:59:47.320]  I did not design the Darkest Hour one, but there it is.
[00:59:47.420 --> 00:59:48.099]  Thank you for the support.
[00:59:48.199 --> 00:59:48.800]  I'm done plugging.
[00:59:49.239 --> 00:59:59.559]  I've just been looking at all the attacks and our victories in court, and I realized how much money it takes to take these people on, and they are so pissed we're still on air, and I have hired high-powered lawyers.
[00:59:59.659 --> 01:00:00.380]  That's why we're winning.
[01:00:06.519 --> 01:00:10.780]  My lawyers are working seven days a week.
[01:00:11.380 --> 01:00:12.980]  Because I go and meet with them almost every day.
[01:00:13.139 --> 01:00:16.760]  I mean, they call me at midnight and say, come to the office, I want you to read this and sign it, make sure it's accurate.
[01:00:16.920 --> 01:00:17.980]  I mean, we are...
[01:00:17.980 --> 01:00:25.579]  If I told you all the suits we followed on and all the craft we're doing to bloom, you know, to the whole deep state, because I can't be on defense anymore.
[01:00:25.639 --> 01:00:26.300]  I got to go on offense.
[01:00:26.980 --> 01:00:28.420]  It would take an hour to go over it all.
[01:00:29.460 --> 01:00:31.340]  But you want me to fight, I'm fighting.
[01:00:32.119 --> 01:00:32.420]  So...
[01:00:33.949 --> 01:00:42.409]  You're financing the current operation, you're financing the Backup Palace Jokes Network if it gets shut down, and that's still getting built and expanded, not, you know, a larger studio, almost done.
[01:00:43.530 --> 01:00:45.530]  And you're financing the legal defense and offense.
[01:00:45.769 --> 01:00:46.690]  I mean, this is a war.
[01:00:46.809 --> 01:00:47.869]  You want somebody to fight for you?
[01:00:48.369 --> 01:00:49.269]  I love it.
[01:00:49.889 --> 01:00:52.650]  I mean, I'm begging for you to keep me in the game, keep me in the fight, Coach.
[01:00:52.829 --> 01:00:54.250]  But I'm here, you're serving.
[01:00:54.590 --> 01:00:55.590]  You commission me.
[01:00:56.650 --> 01:01:02.570]  Look, I won't stop regardless of what happens, but I'm asking you to empower me, and I will give you everything I got.
[01:01:02.949 --> 01:01:09.250]  I'm so focused right now and so sick of this crap and the stuff they've been doing to my family behind the scenes, just absolutely criminal.
[01:01:09.869 --> 01:01:12.610]  And so all I'm asking for is the support to keep fighting.
[01:01:13.210 --> 01:01:14.730]  And we make it easy with incredible products, okay?
[01:01:14.849 --> 01:01:15.309]  I'm done.
[01:01:34.210 --> 01:01:35.630]  2025 is going to suck.
[01:01:35.969 --> 01:01:37.510]  So I said it's time to get fucked up.
[01:01:41.610 --> 01:01:42.889]  You said always.
[01:02:06.820 --> 01:02:17.280]  I'm in love with the coke, coke, coke, coke I got it for the lolo.
[01:02:18.719 --> 01:02:21.179]  I'm in love with the coco.
[01:02:22.699 --> 01:02:25.199]  I'm in love with the coco.
[01:02:25.659 --> 01:02:33.300]  I got it for the lolo.
[01:02:33.659 --> 01:02:34.360]  Turn up!
[01:02:35.139 --> 01:02:37.179]  I'm in love with the coco.
[01:02:38.539 --> 01:02:41.179]  Hit my plug, that's my cholo.
[01:02:42.989 --> 01:02:45.289]  Cause he got it for the lolo.
[01:02:46.590 --> 01:02:49.349]  If you snitching, I go loco.
[01:02:50.550 --> 01:02:57.190]  Hit you with that 38. Thinking that I'm solo.
[01:02:58.929 --> 01:03:01.269]  50 deep, they like, oh no.
[01:03:03.070 --> 01:03:05.150]  Heard the fans taking photos.
[01:03:07.070 --> 01:03:09.210]  I know nothing the bobo.
[01:03:11.070 --> 01:03:13.449]  Baking soda, I got baking soda.
[01:03:14.809 --> 01:03:17.489]  Baking soda, I got baking soda.
[01:03:19.170 --> 01:03:21.090]  Whip it through the glass.
[01:03:22.809 --> 01:03:24.929]  I'm blowing money fast.
[01:03:26.650 --> 01:03:29.210]  I'm in love with the cocoa.
[01:03:30.630 --> 01:03:33.190]  I'm in love with the cocoa.
[01:03:34.710 --> 01:03:37.210]  I got it for the lolo.
[01:03:39.030 --> 01:03:41.190]  I'm in love with the coco.
[01:03:42.670 --> 01:03:45.230]  I'm in love with the coco.
[01:03:46.650 --> 01:03:49.210]  I'm in love with the coco.
[01:03:50.730 --> 01:03:53.329]  I got it for the lolo.
[01:03:54.690 --> 01:03:57.230]  I'm in love with the coco.
[01:03:58.789 --> 01:04:01.130]  36, that's a kilo.
[01:04:04.800 --> 01:04:11.280]  Does the president have the stamina, physically and mentally, do you think to continue on even after 2024?
[01:04:11.579 --> 01:04:13.380]  Don, you're asking me this question.
[01:04:13.639 --> 01:04:15.940]  Oh my gosh, he's the president of the United States.
[01:04:16.139 --> 01:04:19.119]  You know, he, I can't even keep up with him.
[01:04:19.500 --> 01:04:31.539]  The most difficult part about a meeting with President Biden is preparing for it, because he is sharp, intensely probing, and detail-oriented and focused.
[01:04:31.719 --> 01:04:35.500]  I can testify, because I've been working very closely with this president for the past two years.
[01:04:35.500 --> 01:04:36.760]  I've been knowing him for 30 years.
[01:04:36.920 --> 01:04:40.639]  And I'm telling you, this guy's tough, he's smart, he's on his game.
[01:04:40.739 --> 01:04:46.150]  Joe Biden has vision, he has knowledge, he has He's a strategic thinker.
[01:04:46.230 --> 01:04:48.230]  The president is focused.
[01:04:48.550 --> 01:04:49.710]  He's detail-oriented.
[01:04:49.989 --> 01:04:52.309]  He's always thinking about the big picture.
[01:04:52.469 --> 01:04:53.110]  He's engaging.
[01:04:53.349 --> 01:04:54.210]  He is capable.
[01:04:54.510 --> 01:04:56.710]  He has an incredible record as president.
[01:04:57.059 --> 01:05:00.440]  And I'm often with him on foreign trips.
[01:05:00.679 --> 01:05:02.559]  He's at the top of his game.
[01:05:02.699 --> 01:05:03.579]  So he has a vision.
[01:05:03.679 --> 01:05:04.380]  He has knowledge.
[01:05:04.579 --> 01:05:05.739]  He has judgment.
[01:05:06.119 --> 01:05:08.099]  He has a strategic thinking.
[01:05:08.300 --> 01:05:12.820]  I met with the president, I don't know, five or six weeks ago, and he seemed fine to me.
[01:05:12.960 --> 01:05:14.699]  I have complete confidence in the president.
[01:05:14.920 --> 01:05:21.519]  I have watched him expertly guide meetings of staff and cabinet members.
[01:05:21.699 --> 01:05:24.280]  I could not have more confidence in the president.
[01:05:24.449 --> 01:05:33.130]  I would just tell you that I meet frequently with the president, and every single time I meet with him, he is just fine.
[01:05:33.369 --> 01:05:37.530]  But he is, again, knowledgeable, wise.
[01:05:37.989 --> 01:05:43.090]  Incredibly sharp, incredibly probing, incredible command of the details.
[01:05:43.409 --> 01:05:44.309]  He is sharp.
[01:05:44.510 --> 01:05:46.010]  He is on top of things.
[01:05:46.349 --> 01:05:52.190]  There is nothing to these challenges, these suggestions that somehow he's not sharp and he's not capable.
[01:05:52.309 --> 01:05:54.190]  We see Joe Biden up close.
[01:05:54.349 --> 01:05:57.389]  We know how attuned he is to the issue.
[01:05:57.469 --> 01:06:00.650]  And you're gonna see how smart he is and the experience he has.
[01:06:00.849 --> 01:06:02.909]  I say his age is an asset.
[01:06:03.860 --> 01:06:04.699]  He's wise.
[01:06:04.920 --> 01:06:06.159]  Yes, he's wise.
[01:06:06.280 --> 01:06:07.019]  He has wisdom.
[01:06:07.199 --> 01:06:07.900]  He has experience.
[01:06:08.079 --> 01:06:15.000]  And his experience because of his age and his wisdom has been invaluable to this country.
[01:06:15.159 --> 01:06:20.239]  A lot of countries, people who've been in office a longer period of time are praised for their wisdom.
[01:06:20.500 --> 01:06:27.480]  I have seen a lot of 72-year-olds not as capable as this 80-year-old.
[01:06:27.639 --> 01:06:30.300]  It is hard for us to keep up with this president.
[01:06:30.619 --> 01:06:32.380]  His mental acuity is great.
[01:06:33.199 --> 01:06:35.679]  2024 is almost over.
[01:06:36.139 --> 01:06:39.400]  And I was looking back on the last 365 days.
[01:06:40.610 --> 01:06:44.050]  And thinking about a report that I wanted to shoot describing what's happened this year.
[01:06:44.650 --> 01:06:46.489]  And it's just amazing.
[01:06:46.670 --> 01:06:49.190]  And I think you'll all agree the evidence is there for everybody.
[01:06:49.909 --> 01:07:01.070]  This is the year that the globalist, BlackRock, New World Order, transhumanist, Anglo-American establishment plan for global government was mortally wounded.
[01:07:02.070 --> 01:07:15.849]  Now that doesn't mean it's dead yet, but it's like if you're deer hunting, and this is an analogy, I'm not calling for violence, and you shoot a big buck from 300 yards away and you even get him in the heart, he'll still run 20, 30, 50 yards, sometimes 100 yards into the woods.
[01:07:16.630 --> 01:07:17.789]  But he's mortally wounded.
[01:07:20.889 --> 01:07:23.829]  The death throes of their system is what's going to be dangerous.
[01:07:23.949 --> 01:07:24.449]  We're in that right now.
[01:07:24.550 --> 01:07:33.170]  They're trying to accelerate global war to keep control, new pandemics with the H5N1, which top scientists have come out and proven it was made in a lab.
[01:07:34.190 --> 01:07:36.110]  They're continuing to try to implode borders.
[01:07:36.449 --> 01:07:40.889]  They're continuing to engage in economic warfare to put people into debt to control them.
[01:07:40.969 --> 01:07:48.210]  But it's all coming out now, so the old tricks don't work anymore and only enrage the global population to what they're doing.
[01:07:48.980 --> 01:07:50.639]  Populists are being elected everywhere.
[01:07:51.460 --> 01:07:56.260]  Globalists are having to try to cancel elections or engage in all sorts of manipulations to even stay in power.
[01:07:56.380 --> 01:08:04.699]  That only wakes people up more in the UK, in Canada, and in Germany with the AFD. There is just so many exciting things.
[01:08:04.780 --> 01:08:16.899]  And of course, the ultimate comeback story in modern history, President Trump, the American people against the deep state, their whole attempted rollout of the new bird flu hysteria is derailing in front of everyone.
[01:08:17.840 --> 01:08:19.680]  This is an incredible time to be alive.
[01:08:19.880 --> 01:08:25.039]  But the big World War III issue is still the problem with Ukraine and the things that are happening there.
[01:08:25.140 --> 01:08:28.760]  But Biden's now announced that they're stopping or cutting back bombing Russia.
[01:08:29.119 --> 01:08:30.699]  Trump's in in 21 days.
[01:08:31.140 --> 01:08:32.300]  So pray for peace.
[01:08:32.420 --> 01:08:33.579]  Pray for the awakening to continue.
[01:08:34.380 --> 01:08:36.159]  And pray we can stabilize civilization.
[01:08:36.260 --> 01:08:37.239]  But it's really starting to happen.
[01:08:37.380 --> 01:08:40.439]  And the big game changer has really been Trump not backing down.
[01:08:41.140 --> 01:08:42.220]  The Patriots not backing down.
[01:08:42.380 --> 01:08:43.439]  Elon Musk coming in.
[01:08:43.739 --> 01:08:47.000]  I'd like to do sex, you know, to really magnify the Great Awakening.
[01:08:47.199 --> 01:08:49.939]  This is an exciting time, so God bless you all, and Happy New Year.
[01:08:50.140 --> 01:08:53.579]  Ladies and gentlemen, I am Chase Geiser, your host of the Alex Jones Show today.
[01:08:53.600 --> 01:08:55.939]  Alex Jones will be back in studio on Thursday.
[01:08:57.579 --> 01:09:01.199]  I'll be hosting the War Room on Thursday and Friday while Owen is out for vacation.
[01:09:02.039 --> 01:09:06.779]  We will be broadcasting Thursday, Friday, Saturday, and Sunday.
[01:09:07.640 --> 01:09:10.680]  Coming into this new year, happy new year to you.
[01:09:10.880 --> 01:09:14.899]  Thank God we're going into a new chapter because the last one has been very taxing.
[01:09:14.979 --> 01:09:28.779]  But in the last segment, we were breaking down how this bird flu really does seem to be, frankly, a conspiracy, a concerted effort, a strategy to inoculate, to vaccinate the populace through the food supply.
[01:09:29.159 --> 01:09:49.840]  They create the shortages in the food supply by burning 200% more poultry farms than have ever burned the four years prior to that, coupled with putting gain of function into this bird flu so that it can spread from flock to flock to flock through mallard ducks,
[01:09:50.039 --> 01:09:54.739]  infecting more chickens so they die of the bird flu.
[01:09:56.340 --> 01:10:00.079]  Then the shortage creates the price increase.
[01:10:00.960 --> 01:10:02.720]  When the supply goes down, the prices go up.
[01:10:02.840 --> 01:10:08.920]  When the prices go up, that creates the public support for ending the shortage.
[01:10:09.180 --> 01:10:15.560]  The proposed solution to ending the shortage is vaccinating all of the poultry.
[01:10:17.020 --> 01:10:27.920]  But what they're not going to tell you is that when they vaccinate the poultry, when they open up the legal mechanism to force inoculate all of the food, those vaccines will then be transmissible to you.
[01:10:28.000 --> 01:10:31.220]  They will inoculate you When you eat the vaccinated food.
[01:10:31.380 --> 01:10:35.239]  That's why the mRNA technology is so important.
[01:10:36.479 --> 01:10:44.920]  That's why they pushed the mRNA vaccine in 2020. And that's why they're pushing the mRNA vaccines now instead of traditional vaccines.
[01:10:45.420 --> 01:10:55.760]  Because the mRNA technology allows for these vaccines to spread from host to host.
[01:10:59.000 --> 01:11:04.300]  To spread from the directly inoculated chicken to you when you eat it.
[01:11:04.420 --> 01:11:08.000]  From the directly inoculated cow to you when you eat it.
[01:11:10.390 --> 01:11:14.210]  We're good to go.
[01:11:29.489 --> 01:11:37.590]  To ensure that they will have the same vaccine revenue into the future despite the fact that no one is volunteering to get vaccines anymore.
[01:11:37.770 --> 01:11:40.750]  Certainly not to the same extent as four or five years ago.
[01:11:41.569 --> 01:11:45.210]  They've lost all trust in vaccines because of the tens of millions that they killed.
