[00:00:07.543 --> 00:00:08.624]  ...government cover-ups.
[00:44:54.710 --> 00:44:56.130]  I mean that is just unbelievable.
[00:44:56.391 --> 00:44:58.832]  Initially they were of dubious legality.
[00:44:58.952 --> 00:45:04.455]  President Bush in early 2002 gave the CIA executive authority for
[00:45:05.137 --> 00:45:12.403]  A dozen so-called enhanced interrogation techniques that include, most importantly, a technique called waterboarding.
[00:45:13.104 --> 00:45:16.907]  And this is actually a 16th century torture technique.
[00:45:18.589 --> 00:45:26.115]  I found an extract in a 1541 Parisian judicial manual which has a graphic of
[00:45:27.655 --> 00:45:28.516]  of waterboarding.
[00:45:28.836 --> 00:45:31.078]  Sir, they actually have a graphic at the Tower of London.
[00:45:31.338 --> 00:45:32.399]  I was just there last year.
[00:45:32.599 --> 00:45:41.625]  Right, and that was called in 1541 in the French Interrogation Manual for the French Inquisition, Tortura Gallicae Ordinariae, Standard French Torture.
[00:45:42.206 --> 00:45:47.629]  In March 2005, the director of the CIA, Porter Goss, came before the U.S.
[00:45:47.689 --> 00:45:53.313]  Congress and he called that exact same technique a professional interrogation technique.
[00:45:53.353 --> 00:45:55.435]  So in 1541, it's Standard French Torture.
[00:45:55.908 --> 00:46:06.412]  In 2005, the Bush administration rebranded it into a professional interrogation technique, and I would submit that in the 16th century, they knew what was torture and what wasn't torture.
[00:46:07.292 --> 00:46:08.013]  Well, exactly.
[00:46:08.753 --> 00:46:11.354]  400 plus years ago, they were calling it torture.
[00:46:11.394 --> 00:46:16.316]  Now we're calling it professional interrogation technique, and that actually goes right to the core.
[00:46:17.263 --> 00:46:24.489]  The question of what is torture and what is not torture in this government has really revolved around definitions.
[00:46:24.569 --> 00:46:45.486]  Most notoriously, in August 2005, when an Assistant Attorney General in the Justice Department, Jay Bybee, now a federal judge, wrote a famous memo in which he allowed, he said that basically he parsed some obscure and irrelevant laws and administrative codes, actually relating to Medicare,
[00:46:45.919 --> 00:46:46.260]  Thank you.
[00:47:00.635 --> 00:47:06.539]  Through this redefinition, the Bush administration allowed torture right up to, but not including, death.
[00:47:31.696 --> 00:47:37.521]  Well, it really comes down to, in a certain sense, the foundational law in the United States.
[00:47:37.541 --> 00:47:38.162]  Let me explain.
[00:47:38.602 --> 00:47:49.272]  If you look at the law, the Military Commission's law, signed by President Bush today in Washington, D.C., okay, you look there, okay, there's two aspects, okay?
[00:47:49.292 --> 00:47:53.356]  The law clearly bans brutal physical torture, alright?
[00:47:53.772 --> 00:47:55.273]  We've always done that, okay?
[00:47:55.613 --> 00:48:05.579]  But the distinctively American doctrine of torture developed by the CIA during the 1950s and propagated throughout the US intelligence community and among our allies in the third world throughout the Cold War is a
[00:48:06.164 --> 00:48:09.427]  Very different, distinctively American techniques, psychological torture.
[00:48:09.587 --> 00:48:31.146]  Well, I've interviewed former Special Forces Green Beret commandos, colonels, who would openly on the show admitted, you know, hooking electrodes to women, electrocuting them, doing all of this, and then he even got sued for going public, and then he beat the Special Forces Association in court, and it was all documented.
[00:48:31.186 --> 00:48:32.527]  So, I mean, it's incredible.
[00:48:34.408 --> 00:48:37.589]  If you look at that law, the Military Commission's Law, signed by President Bush, okay?
[00:48:38.009 --> 00:48:50.372]  When it comes, there's a paragraph called Definitions, and it says, you know, the definition of severe mental pain under this law is as prescribed in Section 2340 of the U.S.
[00:48:50.432 --> 00:48:51.572]  Federal Code, okay?
[00:48:52.292 --> 00:48:56.013]  And that's the one that says, sure, go ahead.
[00:48:56.253 --> 00:48:58.734]  Okay, that was actually adopted back in 1995, okay?
[00:49:00.336 --> 00:49:10.386]  In 1994, the United States ratified the UN Convention Against Torture, abolishing all practices that inflict severe mental and physical pain upon a detainee.
[00:49:10.566 --> 00:49:10.846]  Okay?
[00:49:11.487 --> 00:49:24.900]  Then the United States, that same year, said, we ratify this convention, but we also did so subject to four detailed paragraphs of diplomatic reservation, saying, in effect, we ratify this treaty except.
[00:49:26.252 --> 00:49:29.154]  Basically signing statements by the State Department.
[00:49:29.254 --> 00:49:30.254]  Well, it's by the U.S.
[00:49:30.274 --> 00:49:30.574]  Government.
[00:49:30.594 --> 00:49:32.115]  I mean, it's a standard diplomatic practice.
[00:49:32.155 --> 00:49:41.000]  Now, if you look at those four paragraphs of diplomatic reservation, what they do is basically they're all focused on a single word in the 26 printed pages of the U.N.
[00:49:41.020 --> 00:49:41.280]  Treaty.
[00:49:41.320 --> 00:49:42.160]  That word is mental.
[00:49:42.420 --> 00:49:53.646]  And basically what we did is we said, look, we accept that severe physical pain is outlawed, but we are going to redefine psychological, severe mental pain in order to protect
[00:49:53.996 --> 00:49:54.596]  This is a great question.
[00:50:08.954 --> 00:50:11.497]  Under Section 2340, everything else is permissible.
[00:50:12.037 --> 00:50:15.020]  Those practices are, for example, forcible injection of drugs.
[00:50:15.200 --> 00:50:17.322]  Well, the CIA hasn't done that since the 1950s.
[00:50:18.924 --> 00:50:21.026]  Severe threats against a third person.
[00:50:22.067 --> 00:50:23.268]  Severe physical pain.
[00:50:23.769 --> 00:50:25.090]  We don't do any of those things.
[00:50:25.150 --> 00:50:30.796]  So, in effect, Section 2340 bans four practices that we don't use.
[00:50:31.360 --> 00:50:32.101]  And everything else.
[00:50:32.181 --> 00:50:39.126]  Well, see, I don't even agree with the definition that dunking somebody's head in water or putting a bag over their head and pouring water into it doesn't cause pain.
[00:50:39.166 --> 00:50:43.310]  The panic, the sucking the water down the nose, that's extremely painful.
[00:50:43.430 --> 00:50:43.870]  Right, it is.
[00:50:43.930 --> 00:50:48.474]  I mean, the water torture simulates death.
[00:50:48.634 --> 00:50:52.617]  There is nothing more painful to the body than nearly dying, okay?
[00:50:52.958 --> 00:50:55.620]  And it's perfectly legal under this law signed by President Bush.
[00:50:57.301 --> 00:50:58.903]  But it's... I mean...
[00:50:59.702 --> 00:51:03.324]  Professor, one time I'll segment with you, I'm gonna go through some more of these forms of torture.
[00:51:04.685 --> 00:51:07.946]  But folks, torturing children's good, it's of the Lord.
[00:51:08.767 --> 00:51:10.508]  All the TV shows, well they do it on 24.
[00:51:17.190 --> 00:51:20.133]  It's here, after a year in production and traveling to distant lands.
[00:51:20.633 --> 00:51:22.615]  My new film, Terror Storm, is complete.
[00:51:22.975 --> 00:51:30.661]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:51:31.342 --> 00:51:38.428]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:51:38.828 --> 00:51:45.774]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spies,
[00:51:46.232 --> 00:51:50.294]  Secret police torture, the latest 9-11 information, and much, much more.
[00:51:50.614 --> 00:51:54.095]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:51:54.595 --> 00:51:56.476]  It's an anthology of government crimes.
[00:51:56.856 --> 00:52:00.777]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:52:01.338 --> 00:52:08.360]  Get your copy today on InfoWars.com or PrisonPlanet.com or by calling toll-free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[00:52:14.091 --> 00:52:16.994]  Are terrorist cells or prime terror targets located near you?
[00:52:17.334 --> 00:52:20.237]  Where are military bases and hazardous waste sites located?
[00:52:20.457 --> 00:52:26.683]  How do you find the best area for solar, average rainfall, fish contamination advisories, and major transportation routes?
[00:52:27.063 --> 00:52:34.410]  In the new interactive CD book, Prudent Places USA, you will find the information you want with over 50 interactive parameters that you control.
[00:52:34.610 --> 00:52:38.714]  Find everything from housing prices and taxes to brewing environmental catastrophes.
[00:52:38.974 --> 00:52:44.538]  Locate billion-dollar disaster-prone areas, the safest cities, ideal solar locations, and much, much more.
[00:52:44.738 --> 00:52:57.906]  Complete with over 3 gigabytes of detailed information on each of the 3,000-plus counties in the U.S., including 550 high-resolution, full-color maps and full-color photographs, as well as detailed information and analysis that you need.
[00:52:58.106 --> 00:53:01.949]  Get this hard-to-find information by ordering Food and Places U.S.A.
[00:53:02.149 --> 00:53:06.712]  now for only $29, plus shipping and handling, by calling New Millennium at 888
[00:53:13.635 --> 00:53:15.275]  Hello, this is Amy Bjorklund.
[00:53:15.596 --> 00:53:23.019]  Thanks to a quantum leap in garlic research, the health benefits of 20 fresh garlic cloves are now available in one tiny capsule.
[00:53:23.179 --> 00:53:31.002]  With stabilized allicin, the proven power of garlic has been transformed into what is perhaps the most important medicinal product ever developed.
[00:53:31.202 --> 00:53:32.283]  And there's no odor.
[00:53:32.523 --> 00:53:42.585]  Stabilized Allicin gives you and your family a safe, natural weapon that kills harmful bacteria, viruses, and funguses, all without harming the friendly bacteria in the digestive tract.
[00:53:42.645 --> 00:53:50.927]  This means strong immunity, fewer and shorter colds, and the best possible protection from deadly diseases, none of which prescription drugs can offer.
[00:53:51.207 --> 00:53:56.788]  What's more, this product can deter mosquitoes from biting you and safely keep fleas and ticks off your pets.
[00:53:57.268 --> 00:53:57.748]  We're good to go.
[00:54:18.320 --> 00:54:18.841]  Don't worry.
[00:54:19.281 --> 00:54:20.882]  This show is documented.
[00:54:21.342 --> 00:54:24.665]  Alex Jones on the GCN Radio Network.
[00:54:24.885 --> 00:54:40.336]  We have about a two minute clip of Lord Bush's signing statement today on top of the legislation basically making him God Emperor of the United States and the rest of the planet.
[00:54:41.437 --> 00:54:44.979]  But again, they can pass laws saying black people aren't human beings as they've done before.
[00:54:44.999 --> 00:54:46.120]  It doesn't mean it's a real law.
[00:54:47.322 --> 00:54:47.803]  Sure, okay.
[00:54:47.863 --> 00:54:49.724]  First of all, what's going on right now?
[00:55:11.059 --> 00:55:15.721]  Look, at the start of the war on terror, the Bush administration gave orders for these enhanced techniques.
[00:55:16.281 --> 00:55:32.446]  The Defense Department and Adonald Rumsfeld simultaneously, in late 2002, issued parallel orders that turned Guantanamo basically into an ad-hoc behavioral laboratory for the perfection of the CIA's psychological torture paradigm.
[00:55:33.086 --> 00:55:38.788]  These techniques and the general signal that the gloves were off were ramified around the globe
[00:55:39.480 --> 00:55:41.902]  And reached even conventional U.S.
[00:55:41.962 --> 00:55:50.169]  combat units in Afghanistan, units like the 82nd Airborne in Iraq, and so that the abuse became really widespread.
[00:55:50.710 --> 00:55:59.817]  Ordinary soldiers were doing brutal tactical interrogations using basically CIA-sophisticated techniques with sensory deprivation and self-inflicted pain.
[00:55:59.837 --> 00:56:04.161]  Hoodings, dress positions, short shackling, long shackling, all of that.
[00:56:04.645 --> 00:56:06.806]  This is all part of a comprehensive doctrine.
[00:56:07.747 --> 00:56:32.061]  Now, what's happened is that, actually, the yield was, despite what President Bush has said, in September 6th, when he introduced this current legislation, the Military Commission Law 2006, into Congress, despite his claims that it works, the yield has been very low, and the revelations about the torture has been politically disastrous, so we're basically pulling back.
[00:56:32.816 --> 00:56:40.004]  President Bush announced on September 6th that he's closing all of the CIA black sites and transferring 14 top al-Qaeda to Guantanamo.
[00:56:40.665 --> 00:56:43.328]  Moreover, we're now moving away from the harsh
[00:56:45.072 --> 00:56:46.493]  Less controlled interrogation.
[00:56:46.533 --> 00:56:48.794]  We're talking about basically we've had the same batch.
[00:56:49.114 --> 00:56:58.439]  But my point is you can't believe any of these people now who go to trial and say they did it because some of them have been in torture camps for four to five years.
[00:56:58.920 --> 00:57:10.886]  Yeah, but right now what's going to happen is that under the Military Commission's law, 2006, that this coerced testimony, particularly old testimony... It's allowed.
[00:57:11.146 --> 00:57:11.586]  It's allowed.
[00:57:11.606 --> 00:57:12.227]  Okay?
[00:57:12.667 --> 00:57:14.148]  They have to assess
[00:57:14.727 --> 00:57:15.847]  The probative value.
[00:57:16.148 --> 00:57:17.448]  But basically, it's allowed.
[00:57:17.808 --> 00:57:19.909]  And here's another thing that's truly appalling.
[00:57:19.949 --> 00:57:20.709]  I mean, truly appalling.
[00:57:20.729 --> 00:57:28.412]  So we've got kangaroo courts with people that were publicly tortured, and that was the point of these all along, as they admitted, for a laboratory of torture and to get fake confessions.
[00:57:28.452 --> 00:57:28.792]  Go ahead.
[00:57:29.092 --> 00:57:40.756]  No, the other thing is, is that under the Military Commission's law, that when somebody is convicted before the Military Commission's in Guantanamo, whose regulations, by the way, have yet to be defined,
[00:57:42.121 --> 00:57:47.125]  Then they can appeal upon the conviction to the U.S.
[00:57:47.225 --> 00:57:49.307]  Court of Appeals in Washington, D.C.
[00:57:50.254 --> 00:57:50.795]  And the U.S.
[00:57:50.835 --> 00:57:57.020]  Court of Appeals will then be asked to evaluate the probative value of coerced or tortured testimony.
[00:57:57.060 --> 00:58:05.186]  In other words, for the first time in the 200-year history of the American Republic... We're going to be entering torture evidence into evidence.
[00:58:05.286 --> 00:58:10.651]  Right, which is absolutely barred, for example, under the Fifth Amendment, okay, which bans self-incrimination.
[00:58:10.731 --> 00:58:11.051]  Why in 1791?
[00:58:12.608 --> 00:58:15.631]  Did the framers of the Constitution ban self-incrimination?
[00:58:15.671 --> 00:58:19.915]  Well, it wasn't so that the mafia could stand up 200 years later and refuse to testify.
[00:58:19.995 --> 00:58:20.175]  No.
[00:58:20.675 --> 00:58:28.422]  In 1791, the only form of self-incrimination was that people, when tortured, would testify against themselves.
[00:58:28.563 --> 00:58:28.883]  Okay?
[00:58:29.403 --> 00:58:32.306]  And so, in order to block torture testimony in the U.S.
[00:58:32.386 --> 00:58:34.368]  courts, we have the Fifth Amendment
[00:58:34.815 --> 00:58:36.536]  Ban on self-incrimination in the U.S.
[00:58:36.576 --> 00:58:37.016]  Constitution.
[00:58:37.036 --> 00:58:42.038]  Well, because of this, Professor, we can't believe any testimony ever coming out of these dungeons.
[00:58:42.378 --> 00:58:48.381]  And the courts, to begin with, are kangaroo courts, and even if the court finds them not guilty, the President can still keep them.
[00:58:48.441 --> 00:58:50.802]  Professor, it sounds like you've got a little more to add.
[00:58:50.822 --> 00:58:54.904]  Let me talk to you during the break for just one moment, because I want you to be able to finish this thought.
[00:58:56.585 --> 00:59:01.187]  Copies of the preceding broadcast are available at GCNlive.com or call toll-free 877-376-45.
[00:59:06.579 --> 00:59:11.821]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[00:59:11.981 --> 00:59:20.103]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[00:59:20.363 --> 00:59:27.445]  Medical course potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident.
[00:59:27.625 --> 00:59:28.906]  Radioactive poisoning.
[00:59:28.986 --> 00:59:34.909]  Potassium iodate can protect against radioactive poisoning by filling the thyroid with good iodine.
[00:59:35.109 --> 00:59:40.212]  This shields the thyroid and prevents it from absorbing the harmful radioactive iodine.
[00:59:40.332 --> 00:59:49.238]  Potassium iodate is better than the iodide form because it is not as likely to cause upset stomachs in children, the elderly, the sick and pets.
[00:59:49.518 --> 00:59:52.840]  Order the official potassium iodate for only $24 and save $5.
[00:59:54.921 --> 00:59:55.961]  This is the GCN Radio Network.
[00:59:55.981 --> 00:59:56.562]  Big Brother.
[01:00:24.779 --> 01:00:25.840]  Mainstream media.
[01:00:26.541 --> 01:00:27.641]  Government cover-ups.
[01:00:28.302 --> 01:00:29.123]  You want answers?
[01:00:29.883 --> 01:00:30.804]  Well, so does he.
[01:00:31.445 --> 01:00:35.068]  He's Alex Jones on the GCN Radio Network.
[01:00:35.628 --> 01:00:42.474]  And now, live from Austin, Texas, Alex Jones.
[01:00:43.254 --> 01:00:44.876]  Now, into the second hour.
[01:00:44.936 --> 01:00:52.382]  Just got five minutes left with Professor Alfred W. McCoy, best-selling author, professor, researcher,
[01:00:54.241 --> 01:00:58.103]  And he was just going over the Military Commissions Act that Bush finally signed today.
[01:00:58.143 --> 01:00:59.024]  It has been signed.
[01:01:01.285 --> 01:01:06.768]  Coming up after the break, I'm going to play a clip of Bush and a disgusting signing statement by him.
[01:01:07.268 --> 01:01:11.451]  And we were just covering the key fact that it's codified in the Fifth Amendment against self-incrimination.
[01:01:11.971 --> 01:01:21.256]  Torture, of course, is banned in criminal law because common sense in history shows that torture doesn't work for really getting answers out of people that are really, quote, criminals or
[01:01:22.941 --> 01:01:25.282]  Whatever super criminal term they use like terrorist.
[01:01:25.962 --> 01:01:30.363]  It's only good for terror by the state against the population and to get fake confessions.
[01:01:30.423 --> 01:01:34.503]  And that is what all the scholars, we've interviewed scores of them, have come to that opinion.
[01:01:35.224 --> 01:01:38.784]  Former JAG officers, special forces commanders, you name it.
[01:01:39.404 --> 01:01:39.785]  History.
[01:01:40.665 --> 01:01:44.486]  And Mr. McCoy was getting into some of the final facets of this, but think about it.
[01:01:44.526 --> 01:01:49.046]  This Military Commissions Act allows them to use torture evidence in court.
[01:01:49.927 --> 01:01:51.427]  It's just unbelievable.
[01:01:52.336 --> 01:01:54.877]  So you can believe nothing that comes out of these people's mouths.
[01:01:55.277 --> 01:01:56.917]  Now let's go back to Mr. McCoy.
[01:01:57.077 --> 01:01:58.457]  Professor, please finish up your statement.
[01:01:58.917 --> 01:01:59.137]  Sure.
[01:02:00.198 --> 01:02:03.398]  The implications of tortured evidence, not just for the U.S.
[01:02:03.478 --> 01:02:05.519]  courts, but more broadly for the U.S.
[01:02:05.559 --> 01:02:07.539]  intelligence community, is really quite upsetting.
[01:02:08.199 --> 01:02:21.802]  Look, 1,800 years ago, a Roman jurist named Opian, who dealt with torture as a daily event in his practice, said, torture is a difficult, delicate,
[01:02:22.313 --> 01:02:23.413]  and deceptive thing.
[01:02:23.433 --> 01:02:30.134]  Before, he said, the strong will resist, but the weak will say anything to end the pain.
[01:02:30.875 --> 01:02:37.216]  And everything we've learned in the 1,800 years about torture, your sources as well, tell us that that's really true.
[01:02:37.276 --> 01:02:39.876]  The strong, men like John McCain, when tortured he resisted.
[01:02:40.416 --> 01:02:43.377]  And the weak, people like Ibn al-Shaykh al-Liby.
[01:02:43.757 --> 01:02:45.497]  He cracked and he started saying anything.
[01:02:46.157 --> 01:02:50.398]  Ibn al-Shaykh al-Liby was picked up by US forces in Afghanistan
[01:02:50.996 --> 01:03:04.146]  During our invasion in late 2001, he was initially interrogated by the FBI, the CIA took him over, they rendered him to Egypt where he was brutally tortured, and he began giving evidence saying that Saddam Hussein's government had trained al-Qaeda in weapons of mass destruction.
[01:03:04.866 --> 01:03:19.397]  This evidence worked its way through the intelligence community, wound up in Colin Powell's desk, and standing up in front of the United Nations, speaking as Secretary of State in early 2003, February 2003, Colin Powell said that we had verified intelligence
[01:03:19.915 --> 01:03:23.297]  that Saddam Hussein had trained al-Qaeda in weapons of mass destruction.
[01:03:23.357 --> 01:03:26.158]  Colin Powell's source was Ibn al-Shaikh al-Libi.
[01:03:26.599 --> 01:03:28.840]  Well, Colin Powell now repudiates that statement.
[01:03:28.860 --> 01:03:35.683]  A year later, the CIA branded him a fabricator and retracted formally all statements made by al-Libi.
[01:03:36.144 --> 01:03:37.825]  Okay, now let's expand on this.
[01:03:37.845 --> 01:03:39.726]  Let me just make... We've only got one minute left.
[01:03:39.746 --> 01:03:40.346]  Sure, go ahead.
[01:03:40.386 --> 01:03:41.687]  Here's the serious point, okay?
[01:03:42.087 --> 01:03:46.689]  Why did he make those particular statements at a time when forces inside the U.S.
[01:03:46.729 --> 01:03:47.570]  intelligence community
[01:03:48.075 --> 01:03:51.098]  We're basically looking for just that evidence, okay?
[01:03:59.301 --> 01:04:00.081]  The intelligence community.
[01:04:00.101 --> 01:04:06.985]  In other words, when you allow torture inside your intelligence process, you're polluting the entire integrity of the intelligence process.
[01:04:07.245 --> 01:04:08.246]  Nothing is credible.
[01:04:08.706 --> 01:04:15.950]  And it's very dangerous for a country, and at the same time, now when our troops get captured, how are we going to complain when they get tortured?
[01:04:16.750 --> 01:04:23.273]  There are half-dozen, sorry, four senior judge advocate general officers, admirals and generals, who appeared before the U.S.
[01:04:23.333 --> 01:04:24.234]  Congress when this bill
[01:04:24.734 --> 01:04:28.776]  The Military Commission's Law 2006 was being debated, and saying, don't do it.
[01:04:28.996 --> 01:04:30.137]  Don't pass this law.
[01:04:30.197 --> 01:04:32.158]  And in closing, Professor, we're out of time.
[01:04:32.458 --> 01:04:34.739]  This has now sanctioned it, though, worldwide.
[01:04:34.759 --> 01:04:39.781]  A new dark age has begun, because land of the free, home of the brave, is now land of the torture dungeon.
[01:04:40.181 --> 01:04:43.043]  This is going to be one of the worst acts of the U.S.
[01:04:43.103 --> 01:04:43.563]  Congress.
[01:04:43.943 --> 01:04:49.786]  This is going to be something we're going to look back on like the Korematsu decision, the incarceration of the Japanese-Americans during World War II.
[01:04:50.286 --> 01:04:53.688]  This is a decredit to the United States, and the sooner it's undone, the better.
[01:04:54.549 --> 01:04:55.250]  Absolutely.
[01:04:55.290 --> 01:05:00.393]  Well, I really appreciate you joining us today, Professor Alfred W. McCoy.
[01:05:00.993 --> 01:05:05.016]  And folks can just type your name into Google and find out about your books and websites and writings.
[01:05:05.076 --> 01:05:07.378]  We have links to it at infowarriors.com.
[01:05:07.418 --> 01:05:07.818]  Take care.
[01:05:08.198 --> 01:05:10.199]  All right, we appreciate his time.
[01:05:10.219 --> 01:05:12.161]  We're going to come back and get into the news.
[01:05:12.961 --> 01:05:14.442]  The Asian Union has been announced.
[01:05:14.762 --> 01:05:16.323]  Net censorship, big time.
[01:05:16.744 --> 01:05:18.685]  Bush's signing statement on the new torture bill.
[01:05:22.216 --> 01:05:25.397]  It's here, after a year in production and traveling to distant lands.
[01:05:25.717 --> 01:05:27.638]  My new film, Terror Storm, is complete.
[01:05:28.038 --> 01:05:35.700]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:05:36.380 --> 01:05:43.423]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:05:43.823 --> 01:05:50.705]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying,
[01:05:51.198 --> 01:05:55.241]  Secret police torture, the latest 9-11 information, and much, much more.
[01:05:55.562 --> 01:05:59.044]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:05:59.525 --> 01:06:01.426]  It's an anthology of government crimes.
[01:06:01.787 --> 01:06:05.730]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:06:06.230 --> 01:06:13.676]  Get your copy today on InfoWars.com or PrisonPlanet.com or by calling toll-free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:06:18.982 --> 01:06:19.743]  Terrorism!
[01:06:19.903 --> 01:06:20.643]  Terrorism!
[01:06:20.743 --> 01:06:26.808]  Chemical attacks, dirty bombs, fallout, biological attack, anthrax, and to top it all off, duct tape and plastic!
[01:06:27.068 --> 01:06:28.669]  Alarming words for our time!
[01:06:28.909 --> 01:06:31.391]  But how do you protect your family during such a crisis?
[01:06:31.791 --> 01:06:46.361]  The video sheltering in place surviving acts of terrorism from biological, chemical, and radioactive fallout was developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[01:06:46.381 --> 01:06:46.722]  government.
[01:06:46.882 --> 01:06:48.683]  Anyone can follow the simple instructions.
[01:06:49.043 --> 01:06:54.965]  It's presented by a housewife as they walk you step-by-step through the process of preparing your home as a shelter.
[01:06:55.105 --> 01:06:59.586]  If you're not the type who waits till it's too late, then you need the video Sheltering in Place.
[01:06:59.846 --> 01:07:05.248]  Get the critical information you need now for only $29 plus shipping by calling New Millennium at 888-803-4438.
[01:07:05.348 --> 01:07:06.568]  And tell them Alex Jones sent you.
[01:07:06.628 --> 01:07:07.148]  That's 888-803-4438.
[01:07:07.208 --> 01:07:09.269]  Or order on the web at murkywater.com.
[01:07:19.068 --> 01:07:21.549]  This is Jack Blood with the Genesis Radio Network.
[01:07:21.670 --> 01:07:24.031]  I have an urgent message for all of our listeners.
[01:07:24.091 --> 01:07:31.175]  The mass media keeps telling us that we are the richest, most powerful economy in the world, quote-unquote.
[01:07:31.755 --> 01:07:34.057]  If this is true, why can't we pay our bills?
[01:07:34.717 --> 01:07:38.259]  Why is the United States the world's largest debtor nation?
[01:07:38.799 --> 01:07:42.942]  The truth is that we are in the worst debt bubble in our nation's history.
[01:07:43.522 --> 01:07:46.464]  When the bubble bursts, will you be able to feed your family?
[01:07:47.446 --> 01:07:50.367]  When the inevitable crash occurs, will you be ready?
[01:07:51.107 --> 01:07:57.108]  Call Whitehurst International at 1-888-892-6238.
[01:07:57.588 --> 01:08:00.189]  That's 1-888-892-6238.
[01:08:00.429 --> 01:08:03.850]  For the following two free reports.
[01:08:04.730 --> 01:08:05.010]  U.S.
[01:08:05.110 --> 01:08:08.011]  Debt Bubble, Red Alert, and Real Estate Crash.
[01:08:08.971 --> 01:08:11.272]  Call 888-XANADU.
[01:08:11.332 --> 01:08:15.513]  That's 888-XANADU.
[01:08:15.853 --> 01:08:16.813]  And ask for George.
[01:08:19.294 --> 01:08:24.939]  He's the T-Rex of political talk, Alex Jones, on the GCN Radio Network.
[01:08:27.281 --> 01:08:30.443]  Okay, we're going to open the phones up in the second and third hour.
[01:08:30.604 --> 01:08:38.170]  Wide open phones today, and with heavy news, it's all of the highest level of importance.
[01:08:40.076 --> 01:08:40.997]  It's a quickening.
[01:08:41.057 --> 01:08:42.839]  It just gets wilder every day.
[01:08:43.399 --> 01:08:51.466]  North Korea sanctions are a declaration of war, North Korea is saying, and they have threatened to nuke the United States and Japan yet again.
[01:08:52.647 --> 01:08:54.809]  And the sanctions are somewhat weak.
[01:08:55.650 --> 01:08:59.333]  The answer by the Bush administration is, let's leave North Korea alone.
[01:08:59.413 --> 01:09:03.496]  Let's attack Iran, who has no nukes and no missiles and has done nothing to us.
[01:09:03.516 --> 01:09:05.298]  And the neocons are all screaming with joy.
[01:09:06.616 --> 01:09:10.038]  Begging for gun control, running around worshiping Rush Limbaugh.
[01:09:10.999 --> 01:09:13.561]  North Korea sanctions are war declaration.
[01:09:14.061 --> 01:09:26.309]  North Korea said today it considered UN sanctions aimed at punishing the country for its nuclear test declaration of war as Japan and South Korea reported the communist nation might be preparing a second nuclear test.
[01:09:26.729 --> 01:09:29.711]  Of course the neocons for a week said it wasn't a real nuke test.
[01:09:30.131 --> 01:09:33.874]  Now Japan, the US, and other countries have picked up the radiation.
[01:09:34.194 --> 01:09:35.915]  It was a successful A-bomb test.
[01:09:36.866 --> 01:09:49.597]  The North broke two days of silence about the UN resolution adopted after its October 9th nuclear test with a statement on the official state news agency as China warned the capital against stoking tensions.
[01:09:50.858 --> 01:09:54.221]  Of course, over the weekend, the North also threatened to test a hydrogen bomb now.
[01:09:54.761 --> 01:09:56.003]  They had tested an A-bomb.
[01:09:56.043 --> 01:09:58.705]  I guess they've been emboldened now and want to test the more complex weapon.
[01:09:59.532 --> 01:10:04.695]  The resolution cannot be construed otherwise on a declaration of war against the North.
[01:10:04.735 --> 01:10:09.618]  The statement said the North is known officially as the Democratic People's Republic of Korea.
[01:10:10.018 --> 01:10:11.118]  Yeah, it's real democratic.
[01:10:12.439 --> 01:10:13.139]  The Chief U.S.
[01:10:13.179 --> 01:10:18.462]  Nuclear Envoy, Assistant Secretary of State Christopher Hill said the North's response was not very helpful.
[01:10:18.682 --> 01:10:21.484]  So you read this AP article and it's, oh, they're saying declaration of war.
[01:10:22.193 --> 01:10:23.754]  You go read the actual statements.
[01:10:23.774 --> 01:10:29.738]  They're threatening to hit the US, Japan, South Korea with nuclear weapons as they threatened last week.
[01:10:29.778 --> 01:10:33.461]  They said, we will attack you and hit you if you put sanctions on us.
[01:10:35.082 --> 01:10:35.942]  That was the headline.
[01:10:37.383 --> 01:10:42.667]  Their statement was, their official newspaper, we will nuke you if you do these sanctions.
[01:10:42.687 --> 01:10:51.553]  Well, they've done the sanctions and they're out there... I mean, the minute the North, and the problem is you can't trust our government,
