[00:00:03.814 --> 00:00:04.015]  I'm
[00:27:13.300 --> 00:27:19.862]  And he's going, boy, I'd sure be afraid if I was one of these pedophiles that America's Most Wanted is out there.
[00:27:19.862 --> 00:27:20.862]  Can you believe this?
[00:27:20.862 --> 00:27:23.423]  It's just so fake, man.
[00:27:23.423 --> 00:27:26.884]  But again, this is how these spiders operate.
[00:27:26.884 --> 00:27:28.765]  They're being too kind.
[00:27:28.765 --> 00:27:32.146]  And they've got to be sick to know there's terror attacks and know they're putting
[00:27:32.950 --> 00:27:37.833]  Cancer viruses and mercuries in the vaccines, and to know they're doing all this evil?
[00:27:37.833 --> 00:27:39.254]  They know all of it.
[00:27:39.254 --> 00:27:44.818]  Name one head of state of any so-called Western country, Western nation who speaks up.
[00:27:44.818 --> 00:27:57.627]  That's why I put on my website, I don't know if you probably didn't see, you're awfully busy, there was a photograph of Chavez and Ahmadinejad together holding, you know, their hand up together between them, cheering.
[00:27:58.562 --> 00:28:03.705]  And I put it up there, this picture of both of them, and I put men of the year?
[00:28:03.705 --> 00:28:04.806]  Are they the men of the year?
[00:28:04.806 --> 00:28:07.368]  Are they the canaries in our coal mine?
[00:28:07.368 --> 00:28:08.889]  Are they the ones to watch?
[00:28:08.889 --> 00:28:13.592]  They're the only ones with the guts to stand up and at least begin to confront some of this evil.
[00:28:13.592 --> 00:28:16.554]  I'm not saying they're both perfect or both right.
[00:28:16.554 --> 00:28:18.175]  But they're standing up and doing something.
[00:28:18.175 --> 00:28:19.516]  No, I agree they are men of the year.
[00:28:19.516 --> 00:28:20.857]  I saw that.
[00:28:20.857 --> 00:28:23.338]  Well, that's my vote.
[00:28:23.338 --> 00:28:24.739]  Okay.
[00:28:24.739 --> 00:28:25.580]  Back in a minute.
[00:28:44.181 --> 00:28:46.723]  We're good.
[00:29:08.893 --> 00:29:09.754]  Try this.
[00:29:34.071 --> 00:29:35.652]  Okay, right back with all of you.
[00:29:35.652 --> 00:29:39.534]  Alex and Jeff here as we kick off the month of October.
[00:29:39.534 --> 00:29:44.196]  Alex will be back in four weeks as we have five Mondays in October.
[00:29:44.196 --> 00:29:45.877]  God only knows what will happen by then.
[00:29:45.877 --> 00:29:50.439]  Everyone talks a lot about October Surprise, October Surprise.
[00:29:50.439 --> 00:29:52.680]  I don't know.
[00:29:52.680 --> 00:29:56.982]  Personally, I steer clear of those predictive kinds of stories.
[00:29:56.982 --> 00:30:00.104]  Well, you know, Jeff, I've only made one other prediction.
[00:30:00.894 --> 00:30:08.879]  Two months before 9-11 that the military industrial complex would attack the World Trade Centers and blame it on their asset bin Laden.
[00:30:08.879 --> 00:30:23.808]  This time I'm saying there's a prime confluence of all the different indicators that from when I made the prediction back right before September 11th through late October and I'm saying if we get the word out
[00:30:24.722 --> 00:30:30.729]  We may be able to short-circuit it, but their October surprise may be an attack on Iran, it could be an imploding economy.
[00:30:30.729 --> 00:30:33.892]  It doesn't have to be a nuke of a city here in the United States, not at all.
[00:30:33.892 --> 00:30:36.455]  Exactly, and that's what I stated in my written prediction.
[00:30:36.455 --> 00:30:38.598]  They could crash the market, they could do anything.
[00:30:38.598 --> 00:30:40.059]  I'm not saying they will, but they could do anything.
[00:30:40.059 --> 00:30:44.104]  Well, I mean, they're releasing new fake videos with no audio because they can't have the voice print.
[00:30:44.104 --> 00:30:46.926]  How about a few hundred bird flu fatalities here in the United States?
[00:30:46.926 --> 00:30:47.926]  Can you imagine the panic, folks?
[00:30:47.926 --> 00:30:48.887]  Oh my gosh, that's what I'm saying.
[00:30:48.887 --> 00:30:54.790]  Or botulism, or it could be smallpox, it could be anthrax again.
[00:30:54.790 --> 00:30:58.352]  And let me tell you something about the spinach issue.
[00:30:58.352 --> 00:31:01.074]  A lot of people are saying, ah, they're smart.
[00:31:01.074 --> 00:31:03.455]  They say, look here, what is this going to do?
[00:31:03.455 --> 00:31:09.339]  It's going to usher in the spring of viruses on vegetables, spinach, iceberg lettuce, right, that eat E. coli.
[00:31:14.215 --> 00:31:20.659]  No, that's exactly, remember a month ago they approved for meats, the basting them in these viruses.
[00:31:20.659 --> 00:31:22.801]  And the worst kind of meats imaginable, by the way.
[00:31:22.801 --> 00:31:28.164]  Exactly, and now they said, oh don't worry, we have stuff to make vegetables clean.
[00:31:28.164 --> 00:31:38.811]  In fact, you reminded me Jeff, on the show, I said they've got things to make the vegetables clean with the bacteria that get on them, and that's another type of eater.
[00:31:38.811 --> 00:31:41.813]  Because in Greek it translates over to bacteria eater.
[00:31:44.715 --> 00:31:45.256]  Exactly.
[00:31:45.256 --> 00:31:48.658]  They're even talking about irradiating fruits and vegetables, which totally kills them.
[00:31:48.658 --> 00:31:49.598]  They've been doing that for years.
[00:31:49.598 --> 00:31:58.324]  That's another way to make money off nuclear waste, to truck it around to independent contractors who set up hundreds of these little irradiation plants around the country.
[00:31:58.324 --> 00:32:00.225]  No oversight, no regulation, nothing.
[00:32:00.225 --> 00:32:02.787]  They just ship them the nuclear waste, run everything through it.
[00:32:02.787 --> 00:32:13.314]  Of course, you run one fruit or vegetable through an irradiation process in one of these plants, and admittedly, that process creates between 30 and 40 new compounds which don't even have names.
[00:32:13.854 --> 00:32:15.114]  You don't even have a name.
[00:32:15.114 --> 00:32:17.975]  It kills it and then it makes it totally worthless.
[00:32:17.975 --> 00:32:20.956]  It destroys the ring structures, the trace elements.
[00:32:20.956 --> 00:32:23.636]  It breaks up how your body absorbs it.
[00:32:23.636 --> 00:32:28.017]  Speaking of the devil, here is that Foley clip.
[00:32:28.017 --> 00:32:29.898]  I keep pushing to play this.
[00:32:29.898 --> 00:32:35.319]  This is someone on America's Most Wanted last year talking to the host of the show.
[00:32:35.319 --> 00:32:36.820]  Is the guy named Walton?
[00:32:36.820 --> 00:32:37.480]  Yeah, whatever.
[00:32:37.480 --> 00:32:38.440]  I forget the twit's name.
[00:32:39.341 --> 00:32:41.423]  But here he is talking to America's Most Wanted.
[00:32:41.423 --> 00:32:46.406]  He's frolly saying, let's take the rights away from the pedophiles because they lose their rights.
[00:32:46.406 --> 00:32:47.267]  Well, wait a minute.
[00:32:47.267 --> 00:32:50.469]  Already a convicted pedophile has to give a DNA sample.
[00:32:50.469 --> 00:32:54.552]  So he's talking about people who are just in the system.
[00:32:54.552 --> 00:32:57.994]  And again, and then he's actually involved in all this.
[00:32:57.994 --> 00:33:01.717]  Here it is.
[00:33:01.717 --> 00:33:04.098]  Jason, you have that clip?
[00:33:04.098 --> 00:33:06.080]  Okay, at the Wondrous Computers.
[00:33:06.080 --> 00:33:06.720]  We have computers.
[00:33:08.524 --> 00:33:13.866]  I believe that every convicted felon should be mandated nationwide to give his DNA.
[00:33:13.866 --> 00:33:20.368]  It solves crimes, it gets innocent people out of prison, and it will eliminate the ability of these people to roam state to state in this country and rape people.
[00:33:37.165 --> 00:33:42.188]  From my view, when you rape a person, when you violate a child, you lose your civil liberties.
[00:33:42.188 --> 00:33:46.551]  So anybody that says we shouldn't take DNA samples, absolutely wrong.
[00:33:46.551 --> 00:33:53.135]  You commit the crime, you will supply the sample, and we'll be able to track it, and hopefully solve a lot of crimes.
[00:33:53.135 --> 00:33:59.319]  Well, good luck with your piece of legislation, because you're right, it will put some teeth into these registries.
[00:33:59.319 --> 00:34:04.903]  Well, if I were one of these sickos, I'd be nervous with America's Most Wanted on my trail.
[00:34:04.903 --> 00:34:06.204]  I think I've got you all of them.
[00:34:08.106 --> 00:34:11.307]  I knew you'd laugh at that joke.
[00:34:11.307 --> 00:34:11.827]  That's him.
[00:34:11.827 --> 00:34:17.569]  If I was one of these sickos, I'd be nervous with America's Most Wanted on my tail.
[00:34:17.569 --> 00:34:22.530]  Good luck with your pages and your pieces and all the rest of it.
[00:34:22.530 --> 00:34:24.750]  Well, that's the thing.
[00:34:24.750 --> 00:34:32.232]  Folks, again, why are they burning him, which they should, when Barney Frank ran an underage slave brothel?
[00:34:32.232 --> 00:34:33.873]  These were fourteen, twelve-year-old boys.
[00:34:35.021 --> 00:34:37.003]  How are they allowed to do that?
[00:34:37.003 --> 00:34:41.888]  I mean, remember folks, Barney Frank got caught and nothing happened?
[00:34:41.888 --> 00:34:42.749]  Zero happened.
[00:34:42.749 --> 00:34:44.310]  It's the same thing with DynCorp.
[00:34:44.310 --> 00:34:45.151]  He's a hero.
[00:34:45.151 --> 00:34:48.375]  Because of the gay mafia, basically.
[00:34:48.375 --> 00:34:49.456]  Yeah, that's it.
[00:34:49.456 --> 00:34:52.198]  Gay pedophile mafia.
[00:34:52.198 --> 00:34:53.500]  Yeah, that's what these people are.
[00:34:56.540 --> 00:35:00.022]  They must have so much stuff on people.
[00:35:00.022 --> 00:35:04.404]  You know, they talk about this GHB date rape stuff.
[00:35:04.404 --> 00:35:12.048]  They can take a congressman or a congresswoman out, nail her with that stuff, take a bunch of photos of her in compromised positions.
[00:35:12.048 --> 00:35:12.808]  They're done.
[00:35:12.808 --> 00:35:14.689]  Finished.
[00:35:14.689 --> 00:35:16.330]  They're compromised forever.
[00:35:16.330 --> 00:35:17.271]  It's so easy to do.
[00:35:19.134 --> 00:35:21.236]  I'll bet you it happens all the time.
[00:35:21.236 --> 00:35:23.078]  I don't mean to sound melodramatic.
[00:35:23.078 --> 00:35:25.861]  And then they release it, they leak it out.
[00:35:25.861 --> 00:35:29.765]  Oh, the prostitute sold these to the Enquirer.
[00:35:29.765 --> 00:35:30.646]  Right.
[00:35:30.646 --> 00:35:31.047]  Or me.
[00:35:31.047 --> 00:35:34.730]  It doesn't take much.
[00:35:34.730 --> 00:35:35.531]  It's late and lamented.
[00:35:39.744 --> 00:35:44.149]  We lost a great one, and agree or disagree, Sherman Skolnick was one of a kind.
[00:35:44.149 --> 00:35:44.910]  Oh, great guy!
[00:35:44.910 --> 00:35:59.347]  He told you and told me on our programs for years that the level of perversion, pedophilia, homosexuality, blackmail, bribery, you name it, has never been more rampant.
[00:36:00.327 --> 00:36:06.370]  Well, it's total, because they have to have you compromised to let you get in.
[00:36:06.370 --> 00:36:10.713]  There's a few like Tom Tancredo, Ron Paul, who they're constantly attacking.
[00:36:10.713 --> 00:36:17.676]  But 98% of them, if they're not into that, they're into just hookers, or they're into arms deals.
[00:36:17.676 --> 00:36:19.938]  Well, I mean, take the CIA director, Porter Goss.
[00:36:19.938 --> 00:36:25.941]  He'd never been CIA, and they made him CIA director, and then it came out he'd been secret CIA.
[00:36:26.741 --> 00:36:30.143]  Since college, in Congress he was CIA.
[00:36:30.143 --> 00:36:31.483]  It's like Anderson Cooper.
[00:36:31.483 --> 00:36:33.584]  Oh yeah, there's another one.
[00:36:33.584 --> 00:36:34.545]  That little aster.
[00:36:34.545 --> 00:36:36.165]  Oh yeah, they're all government.
[00:36:36.165 --> 00:36:36.906]  They're all shills.
[00:36:36.906 --> 00:36:37.846]  They're not CIA.
[00:36:37.846 --> 00:36:41.508]  They're one of the other 14 intelligence agencies.
[00:36:41.508 --> 00:36:48.771]  And then it turned out at the Watergate Hotel, in one room they had all the prostitutes on one floor, several suites.
[00:36:48.771 --> 00:36:52.293]  Then they had gambling, and then they had the payoffs right next to that.
[00:36:52.293 --> 00:36:53.914]  And he was all there in the middle of that.
[00:36:54.594 --> 00:37:09.018]  I mean, it's literally just like, you know, and he's one of the more normal ones, you know, just up there with all the blondes are in here and the Asian chicks are in there, and it's still incredibly corrupt, and then he had to resign over that because it started coming out.
[00:37:09.018 --> 00:37:10.559]  But he didn't get in trouble for all the hookers.
[00:37:11.420 --> 00:37:18.345]  Porter Goss got in trouble, and this all came out at the back of the paper, he got in trouble for taking huge amounts of cash.
[00:37:18.345 --> 00:37:20.966]  There was huge amounts of payments being made there.
[00:37:20.966 --> 00:37:21.967]  I read it.
[00:37:21.967 --> 00:37:23.288]  I mean, think about these people.
[00:37:23.288 --> 00:37:25.730]  Don't forget the drugs and the cocaine too, folks.
[00:37:25.730 --> 00:37:27.711]  Oh yeah, I forgot they have the drug rooms.
[00:37:27.711 --> 00:37:34.535]  So I mean, imagine you go to the Watergate and it's drugs in these rooms, hookers, and I mean, we're talking $2,000 an hour, folks.
[00:37:34.535 --> 00:37:40.419]  We're talking beautiful, all those young girls that go there to get jobs, think they're going to be actresses, think they're going to be this and that.
[00:37:40.419 --> 00:37:41.220]  Uh-uh, folks.
[00:37:41.981 --> 00:37:42.982]  No, no.
[00:37:42.982 --> 00:37:46.386]  A lot of your daughters that you think are working in D.C.
[00:37:46.386 --> 00:37:49.610]  They're working alright.
[00:37:49.610 --> 00:37:53.315]  I had a great looking girlfriend in junior high and then when I was a freshman.
[00:37:53.894 --> 00:37:58.996]  And then I saw her years later here in Austin, and she goes, oh, I'm not going to UT anymore.
[00:37:58.996 --> 00:38:00.416]  She'd grown up in Dallas.
[00:38:00.416 --> 00:38:04.238]  She goes, I do work in DC.
[00:38:04.238 --> 00:38:06.398]  And I could tell the way she was acting, the way she was working me.
[00:38:06.398 --> 00:38:08.339]  I go, oh, what do you do in DC?
[00:38:08.339 --> 00:38:09.339]  Oh, I do this and that.
[00:38:09.339 --> 00:38:10.780]  And I said, oh.
[00:38:10.780 --> 00:38:11.880]  And I asked her a few questions.
[00:38:11.880 --> 00:38:13.281]  She kind of got mad.
[00:38:13.281 --> 00:38:15.421]  She goes, how do you know about that?
[00:38:15.421 --> 00:38:17.782]  And so, yeah, I mean, folks, this country's gone.
[00:38:17.782 --> 00:38:19.523]  I mean, this country's gone.
[00:38:19.523 --> 00:38:21.703]  She's a great looking girl, by the way.
[00:38:21.703 --> 00:38:22.284]  I mean, really a 10.
[00:38:23.624 --> 00:38:43.941]  Well, I'll tell you, I've said it for years, I don't see any way through the mechanisms that we have, and I know I'm not advocating something that could get me in trouble here, I just don't see logically, pragmatically, intellectually, any way to rehabilitate this country in the state it's in now with the tools that we allegedly had past tense.
[00:38:45.577 --> 00:38:46.938]  Well, they're afraid.
[00:38:46.938 --> 00:38:48.119]  They know they're a criminal.
[00:38:48.119 --> 00:38:52.761]  Again, tyranny is put in to protect the criminals that don't want to get caught.
[00:38:52.761 --> 00:39:01.306]  This is their way of shutting up and controlling a system where they can carry out their criminal enterprises on a greater and wider scale.
[00:39:01.306 --> 00:39:02.347]  So they're afraid of us.
[00:39:02.347 --> 00:39:03.208]  They know we're mad.
[00:39:03.208 --> 00:39:04.428]  They know we're waking up to them.
[00:39:06.417 --> 00:39:12.121]  Jeff, as you know, you and I would talk about electronic voting machines being a scam three years ago, and we're laughed at.
[00:39:12.121 --> 00:39:17.606]  Now, what is it, 91% of Americans in a national poll don't trust it?
[00:39:17.606 --> 00:39:19.187]  And everybody's mad about it?
[00:39:19.187 --> 00:39:23.010]  Well, you see, Alex and I are not patting ourselves on the back.
[00:39:23.670 --> 00:39:24.570]  We're good to go.
[00:39:42.492 --> 00:39:47.914]  And there are folks out there in America, somehow, thank God, through the Internet, found out about it.
[00:39:47.914 --> 00:39:50.235]  They weren't going to find out about it anywhere else, really.
[00:39:50.235 --> 00:39:51.216]  Well, that's it, Jeff.
[00:39:51.216 --> 00:39:53.757]  So, I'm not trying to give people hope.
[00:39:53.757 --> 00:39:55.177]  I'm giving you a real report.
[00:39:55.177 --> 00:39:56.878]  All this bad stuff's happened.
[00:39:56.878 --> 00:39:59.239]  But, we're winning the hearts and minds.
[00:39:59.239 --> 00:40:05.142]  The problem is, as Jeff said earlier, they put the police state in, so they just say, hey, it's out in the open.
[00:40:05.982 --> 00:40:06.943]  Couldn't agree more, my friend.
[00:40:06.943 --> 00:40:07.644]  Thanks for being here tonight.
[00:40:29.532 --> 00:40:31.714]  I'll tell you what, Alex and I are not going to leave.
[00:40:31.714 --> 00:40:32.394]  We're going to be here.
[00:40:32.394 --> 00:40:34.196]  As long as you're there, we'll be here.
[00:40:34.196 --> 00:40:37.639]  Yeah, we're going to go down with the good old shit, but we may be able to resuscitate.
[00:40:37.639 --> 00:40:40.101]  Hey, Jeff, what Monday am I on with you?
[00:40:40.101 --> 00:40:44.264]  The twenty... On this... twenty-third.
[00:40:44.264 --> 00:40:52.210]  Okay, I'm going to write it on the wall here, and I'll be honored to be back with you in just twenty short days, and you're going to be back in twenty-one hours.
[00:40:52.210 --> 00:40:53.671]  Thank you, my friend.
[00:40:53.671 --> 00:40:54.252]  Will, indeed.
[00:40:54.252 --> 00:40:55.553]  Talk to you soon.
[00:40:56.172 --> 00:40:56.812]  Thanks, Jeff.
[00:40:56.812 --> 00:40:58.293]  Good night, Alex.
[00:40:58.293 --> 00:41:01.095]  Alex Jones.
[00:41:01.095 --> 00:41:02.196]  You know the websites.
[00:41:02.196 --> 00:41:09.440]  Infowars.com, PrisonPlanet.com, PrisonPlanet.tv, and my own Rents.com.
[00:41:09.440 --> 00:41:10.901]  And his new video.
[00:41:10.901 --> 00:41:11.501]  Fabulous.
[00:41:11.501 --> 00:41:12.942]  Terror Storm.
[00:41:12.942 --> 00:41:14.883]  Get it.
[00:41:14.883 --> 00:41:16.905]  Be back, as the man said, in 21 hours.
