[00:00:00.407 --> 00:00:00.887]  Your debt.
[00:26:14.881 --> 00:26:21.005]  Using a similar principle, Royal Raymond Rife discovered that disease organisms can be destroyed using different resonant frequencies.
[00:26:21.245 --> 00:26:27.269]  The BioSolutions frequency instrument uses the same technology for relief or elimination of pain and disease conditions.
[00:26:27.569 --> 00:26:33.972]  With no side effects, the 2006 BioSolutions Plus is the easiest to operate frequency instrument ever developed.
[00:26:34.112 --> 00:26:37.653]  Its easy reference guide will allow you to begin using the instrument within minutes.
[00:26:37.954 --> 00:26:41.655]  Simple step-by-step instructions using pictures are easy to follow.
[00:26:41.855 --> 00:26:44.376]  Customer satisfaction is guaranteed or your money back.
[00:26:44.516 --> 00:26:45.557]  Don't just treat symptoms.
[00:26:45.857 --> 00:26:48.098]  Thank you for listening to GCN.
[00:26:48.138 --> 00:26:49.078]  Visit GCNlive.com today.
[00:26:49.098 --> 00:26:50.059]  Agree or disagree?
[00:27:14.449 --> 00:27:18.190]  Alex wants to hear from you right now at 877-590-5525.
[00:27:18.650 --> 00:27:23.712]  Now, here's Alex Jones.
[00:27:25.772 --> 00:27:27.173]  Yes, callers, and I know you're there.
[00:27:27.233 --> 00:27:38.216]  We'll be taking calls at the end of this hour and into the next hour, but right now I'm continuing with my treatise on Apocalypto, the most powerful film I've ever seen, the best produced film, the best...
[00:27:39.292 --> 00:27:39.872]  We're good to go.
[00:28:03.451 --> 00:28:10.754]  ...to capture and enslave neighbors, mainly so they could force them to supply human sacrifices.
[00:28:11.334 --> 00:28:25.239]  And this debates the population down by hundreds of thousands of people from what it had previously been by the time 500 years ago when the Spanish conquistadors arrived.
[00:28:26.147 --> 00:28:26.767]  Cortez.
[00:28:27.268 --> 00:28:33.311]  And when they got there, it was already just in complete squalor.
[00:28:33.712 --> 00:28:34.752]  I mean, the descriptions.
[00:28:35.333 --> 00:28:46.920]  Imagine the different tribes would take glass on a rope and draw it through their tongues for pain-induced hallucinations while taking hallucinogenic compounds.
[00:28:47.200 --> 00:28:54.004]  They would put ropes through their male genitals and pull glass across them to have
[00:28:54.591 --> 00:28:56.032]  Pain-induced hallucinations.
[00:28:57.233 --> 00:29:04.297]  And, of course, this UT assistant professor says, well, it also shows women involved in the rituals from what we know they weren't.
[00:29:04.437 --> 00:29:04.857]  Oh, really?
[00:29:05.217 --> 00:29:09.660]  Quite a few of the other scholars that actually live down there and study it say women were involved.
[00:29:09.920 --> 00:29:11.381]  Let me tell you how they were involved.
[00:29:11.861 --> 00:29:20.546]  They would, every morning, at different cenotes, that's those caved-in, underground rivers, and I've swum in them,
[00:29:21.033 --> 00:29:21.433]  I think?
[00:29:47.449 --> 00:29:51.571]  And for thousands of years being thrown in, it's now petrified in a gravel.
[00:29:52.012 --> 00:29:52.272]  Okay?
[00:29:52.292 --> 00:29:54.013]  Okay, you can go to the cenotes.
[00:29:54.033 --> 00:30:00.016]  You can walk in the human bones, ladies and gentlemen, that have become calcified.
[00:30:00.396 --> 00:30:02.958]  So, oh, I'm sorry, UT professor, you're wrong.
[00:30:03.198 --> 00:30:06.400]  The women were involved in the rituals, and they were sacrificed.
[00:30:06.440 --> 00:30:12.923]  Now, the amazing accuracy of this film is it shows the number one thing they like to sacrifice is the warriors.
[00:30:13.123 --> 00:30:15.725]  The taller you were, the tougher you were.
[00:30:16.596 --> 00:30:22.360]  The meaner you were, and a lot of times even nobility would get sacrificed if things did get bad.
[00:30:23.020 --> 00:30:28.864]  They would go out and capture, and the leaders of the enemy, the strongest warriors, they were the ones that they would torture.
[00:30:29.244 --> 00:30:30.345]  They didn't just cut hearts out.
[00:30:30.385 --> 00:30:31.686]  They would peel the skin off.
[00:30:32.086 --> 00:30:35.768]  Now, when a noble was being sacrificed, and sometimes they would be, they would be happy.
[00:30:35.788 --> 00:30:38.650]  They were so brainwashed in the culture, they would be happy to be sacrificed.
[00:30:38.890 --> 00:30:39.531]  They would take a...
[00:30:40.271 --> 00:30:41.532]  We're good to go.
[00:31:05.732 --> 00:31:09.275]  There was a population and a group of people known as the Mayan.
[00:31:09.515 --> 00:31:18.423]  You had all the different tribes and kingdoms and groups that came and went, but it was a Mayan culture where this was done, where this developed over the thousands of years.
[00:31:20.024 --> 00:31:22.226]  This is what the governments developed.
[00:31:22.306 --> 00:31:31.414]  Now, if you were to be teleported back in time today, if you could do that and you told them, oh, don't sacrifice me or don't kill your people, it's crazy.
[00:31:31.694 --> 00:31:33.936]  They would look at you like it's crazy.
[00:31:34.577 --> 00:31:44.203]  Just like Americans think it's normal to have SWAT teams kicking down our doors and cameras everywhere and CPS grabbing 1.4 million kids a year and forcing vaccines on people full of mercury.
[00:31:44.443 --> 00:31:47.966]  You see, that's normal because we're brainwashed.
[00:31:48.126 --> 00:32:00.994]  Just like for Nazis, it was normal to torture people and kill people and do medical experiments and engage in eugenics, which is now being brought back under the bioethicist movement in this country.
[00:32:02.035 --> 00:32:03.836]  So the film has a very good message.
[00:32:05.577 --> 00:32:08.378]  And it shows you how rough being a human has been in the past.
[00:32:08.718 --> 00:32:13.181]  It shows you what enslavement and insane government is like.
[00:32:13.961 --> 00:32:23.827]  And it also has a message of not having fear and getting over fear, because fear is a sickness, and the government today uses fear to control you.
[00:32:25.048 --> 00:32:27.089]  After seeing the film, I felt buoyed.
[00:32:28.090 --> 00:32:29.050]  I felt uplifted.
[00:32:29.310 --> 00:32:30.511]  This was substantial.
[00:32:30.611 --> 00:32:35.152]  You know, you go see something like Barat, you laugh at it, but after you leave, you feel dirty.
[00:32:35.172 --> 00:32:36.272]  And it's a shorter film.
[00:32:36.492 --> 00:32:37.492]  This is a long film.
[00:32:37.852 --> 00:32:39.833]  You come out of this, you feel buoyed.
[00:32:40.173 --> 00:32:49.515]  And there's very few films that make me feel enlightened, like I have just partaken in something that is very well done and has a very good message.
[00:32:49.595 --> 00:32:51.936]  And you've just got to see it to pick up on it.
[00:32:53.331 --> 00:32:56.073]  The message of perseverance, the message of courage.
[00:32:56.714 --> 00:32:57.474]  It's just amazing.
[00:32:57.514 --> 00:33:01.678]  And then there's the view that an anthropologist would have of this.
[00:33:02.238 --> 00:33:06.922]  Northern Native Americans versus Southern Native Americans.
[00:33:07.642 --> 00:33:16.609]  The average North American Asian that came across the Bering Strait ice bridge, they can debate how long ago, but between 10 and 20,000 years ago,
[00:33:19.031 --> 00:33:23.735]  The average Asian, and if you blood type them, they have the Mongolian spots on their backs.
[00:33:24.135 --> 00:33:25.016]  It looks like bruises.
[00:33:25.036 --> 00:33:28.679]  A lot of times CPS grab Hispanics' children or other people's because they don't know.
[00:33:28.719 --> 00:33:32.241]  They're so ignorant that until they're about five, they have purple spots on their back.
[00:33:33.242 --> 00:33:35.324]  Japanese, Chinese, Vietnamese have that.
[00:33:35.584 --> 00:33:37.786]  So do all of your Native Americans.
[00:33:38.666 --> 00:33:43.310]  And, of course, the Mexican population is Native American and Spanish predominantly.
[00:33:43.780 --> 00:33:46.582]  There's also some other European, but predominantly Spanish.
[00:33:47.203 --> 00:33:58.191]  But my point is that you look at when Westerners got here 500 years ago, Plains Indians, Coastal Indians were about 6'1 on average.
[00:33:58.231 --> 00:34:01.553]  The average European male was about 5'4".
[00:34:03.251 --> 00:34:03.571]  We're good to go.
[00:34:03.591 --> 00:34:04.372]  We're good to go.
[00:34:25.177 --> 00:34:26.997]  Okay, if you were an albino, look out.
[00:34:27.097 --> 00:34:44.901]  Anything different got killed, too, because they thought you were some kind of god, so you had to be tortured particularly long and painfully so the gods could get your blood and get your power and be fed again so the gods wouldn't wake up from the dream they were having and destroy the world because the world was just the gods' dreams, and in 2012 it all ends.
[00:34:45.161 --> 00:34:46.441]  Well, no, it actually ended about 500 years ago.
[00:34:49.853 --> 00:34:52.055]  So that's amazing in the film.
[00:34:52.475 --> 00:34:57.679]  And again, this started thousands of years before because they thought that a brain was basically useless.
[00:34:57.699 --> 00:34:59.881]  But they thought your heart was your mind and your strength.
[00:34:59.921 --> 00:35:02.502]  So they thought if you ate a warrior's heart, you got strength.
[00:35:02.763 --> 00:35:11.829]  And for primitive Asian tribes believing that, primitive cannibalism, ritualized cannibalism, it grew into this.
[00:35:11.869 --> 00:35:12.430]  The only...
[00:35:14.685 --> 00:35:29.350]  Central North American tribe that engaged in human sacrifice and cannibalism that wasn't Mesoamerican was the Caroncalaj of the Texas Gulf Coast today.
[00:35:30.050 --> 00:35:32.651]  And they did eat humans.
[00:35:33.011 --> 00:35:34.592]  They did sacrifice people.
[00:35:34.912 --> 00:35:45.195]  But it was because they were, anthropologists believe and archaeologists believe, an offshoot of a southern North American tribe that did migrate into Texas.
[00:35:45.495 --> 00:35:48.256]  That's about the only anthropological evidence.
[00:35:49.009 --> 00:35:57.335]  ...of a Aslan type, because it's a myth, and they've been polled with most indigenous Mexican populations that have come up here.
[00:35:57.515 --> 00:36:04.680]  This is truly an Aztec kingdom, and that in between Texas and New Mexico, there was the mythical home place of the Aztecs.
[00:36:04.880 --> 00:36:17.548]  And there may be a little bit of truth in that, anthropologists say, because it may not have just been Caracolas coming back up north, but that after the societies broke down and fell apart because of massive human sacrifice and other activities...
[00:36:18.387 --> 00:36:38.381]  In Central South America up into Southern North America that then tribes that hadn't destroyed their bloodlines then came back down into the South and that the Aztecs may have actually come from this region.
[00:36:39.062 --> 00:36:39.442]  Alright.
[00:36:40.903 --> 00:36:46.347]  I've got a little bit more to say about this film when we get back and then we will...
[00:36:47.541 --> 00:36:48.323]  Go to your calls.
[00:36:48.383 --> 00:36:53.652]  I want to talk about this UT assistant professor who shoots her mouth off about Mel Gibson.
[00:36:55.336 --> 00:36:57.139]  I mean, just, it's unbelievable.
[00:36:57.159 --> 00:36:58.321]  All right, we'll be right back.
[00:36:58.341 --> 00:36:58.682]  Stay with us.
[00:37:00.505 --> 00:37:08.448]  For years, you've been hearing about Herbal Healer Academy and how it's remained the leader in effective alternative and natural medicine and education.
[00:37:08.909 --> 00:37:12.070]  But how can they continue to hold that title for years on end?
[00:37:12.450 --> 00:37:15.491]  The answer is high quality and huge selection.
[00:37:15.892 --> 00:37:20.674]  Just visit HerbalHealer.com and shop online or request a free catalog.
[00:37:21.134 --> 00:37:23.455]  You're bound to find the alternative you're looking for.
[00:37:24.207 --> 00:37:28.892]  Did you know that Herbal Healer carries the latest, safest, and effective weight loss products?
[00:37:29.392 --> 00:37:35.278]  You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children.
[00:37:35.598 --> 00:37:36.740]  And don't forget your pet.
[00:37:37.220 --> 00:37:42.886]  Herbal Healer even has natural mineral supplements for all your animals, including horses, cows, and birds.
[00:37:43.326 --> 00:37:49.671]  Take a peek at their online calendar and you're sure to find everything you need and maybe something you didn't realize you needed.
[00:37:50.211 --> 00:37:55.075]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter.
[00:37:55.615 --> 00:37:58.978]  HerbalHealer.com Working with the power of nature.
[00:38:00.436 --> 00:38:02.097]  Shelly, you look exhausted.
[00:38:02.177 --> 00:38:02.978]  What's wrong?
[00:38:02.998 --> 00:38:04.279]  I am so tired.
[00:38:04.339 --> 00:38:06.820]  I just get so hot at night and can't sleep.
[00:38:06.940 --> 00:38:08.021]  I have tried everything.
[00:38:08.101 --> 00:38:09.842]  All kinds of fans, sheets, pillows.
[00:38:10.002 --> 00:38:11.143]  You name it, I've tried it.
[00:38:11.283 --> 00:38:13.585]  My husband has always been a hot sleeper.
[00:38:13.745 --> 00:38:15.306]  He's never had a good night's sleep.
[00:38:15.526 --> 00:38:17.588]  Then we discovered something that really helps.
[00:38:17.688 --> 00:38:19.929]  It's called the BedFan Personal Cooling System.
[00:38:20.089 --> 00:38:20.630]  The what?
[00:38:20.890 --> 00:38:22.951]  The BedFan Personal Cooling System.
[00:38:23.091 --> 00:38:28.375]  It will keep you cool all night long and will work for everyone that sleeps hot, no matter what the reason.
[00:38:30.716 --> 00:38:31.857]  How well are you sleeping?
[00:38:32.077 --> 00:38:33.719]  Are you getting the rest your body needs?
[00:38:34.099 --> 00:38:38.422]  Sleep disorder centers across the country recommend that you must stay cool to get a good night's sleep.
[00:38:38.662 --> 00:38:41.965]  The Bed Fan will keep you cool and give you the restful sleep you deserve.
[00:38:42.205 --> 00:38:45.367]  With our 30-day 100% guarantee, you risk nothing.
[00:38:45.728 --> 00:38:46.588]  Are you a hot sleeper?
[00:38:46.808 --> 00:38:48.049]  Is your partner a hot sleeper?
[00:38:48.069 --> 00:38:51.292]  Or are you looking for the perfect gift for that person who has everything?
[00:38:51.552 --> 00:38:52.833]  The Bed Fan is the answer.
[00:38:53.053 --> 00:38:54.454]  Visit BedFan.com.
[00:38:54.734 --> 00:38:57.116]  That's BedFan.com.
[00:39:01.437 --> 00:39:03.458]  Could you be the next high-tech millionaire?
[00:39:03.938 --> 00:39:14.962]  The inventor of caller ID, the digital answering machine, and picture-in-picture has taken his newest, unique, cutting-edge inventions and removed them from corporate America and is looking for people like you to market these products.
[00:39:15.262 --> 00:39:25.645]  Paul Zane Pilzer, the author of the book The Next Millionaires, the predictor of the dot-com and the boom of the wellness industry, has now said there will be 10 million millionaires created between 2006 and 2016 in the technology industry.
[00:39:27.606 --> 00:39:31.427]  Those that work from home distributing technology products will have the first shot at success.
[00:39:31.687 --> 00:39:38.489]  This company has a successful 23-year track record and needs people like you who want to earn a considerable extra sum of money each month.
[00:39:38.670 --> 00:39:44.171]  Check out our solid, reputable company and learn how you can tap into this trillion-dollar industry.
[00:39:44.331 --> 00:39:46.112]  Don't let this opportunity pass you by.
[00:39:46.312 --> 00:39:46.852]  Call today, 682-518-0096.
[00:39:49.873 --> 00:39:50.874]  We're good to go.
[00:40:15.316 --> 00:40:16.077]  We're good to go.
[00:40:36.715 --> 00:40:38.295]  This is the GCN Radio Network.
[00:41:14.176 --> 00:41:16.137]  It's not about right versus left.
[00:41:16.657 --> 00:41:18.778]  It's about right versus wrong.
[00:41:19.138 --> 00:41:21.059]  This is the Alex Jones Show.
[00:41:21.340 --> 00:41:22.560]  Call Alex now at 1-877-590-5525.
[00:41:22.580 --> 00:41:23.461]  Now, here's Alex Jones.
[00:41:31.696 --> 00:41:33.137]  Yes, and your calls are coming up.
[00:41:33.197 --> 00:41:40.300]  I'll get into David Lynch, the legendary director and, of course, producer, going public on 9-11, inside job, questioning the official story.
[00:41:40.740 --> 00:41:42.841]  Dr. James Brolin has done the same thing this week.
[00:41:43.381 --> 00:41:47.062]  Then we'll get into impeachment against Bush introduced in the House.
[00:41:48.103 --> 00:41:54.866]  Also, top-level insiders cashing in their stocks at a level that hadn't happened in 20 years.
[00:41:56.606 --> 00:42:00.708]  Also, we'll get into FDA rejects new limits on mercury in vaccines.
[00:42:01.363 --> 00:42:01.723]  That's right.
[00:42:01.743 --> 00:42:02.744]  They didn't take the mercury out.
[00:42:02.764 --> 00:42:04.225]  They actually increased the levels of it.
[00:42:04.566 --> 00:42:05.847]  And we'll tell you why they did that.
[00:42:06.307 --> 00:42:08.029]  I'll also comment on the Iraq study group.
[00:42:08.049 --> 00:42:08.909]  It's total fraud.
[00:42:09.830 --> 00:42:10.631]  It's smoke and mirrors.
[00:42:10.651 --> 00:42:11.412]  You're being conned.
[00:42:11.832 --> 00:42:12.693]  Good cop, bad cop.
[00:42:12.713 --> 00:42:14.574]  But first, we'll get to those calls.
[00:42:14.634 --> 00:42:15.935]  In fact, I've got somebody that disagrees with me.
[00:42:16.296 --> 00:42:18.458]  Jeff, I'm going to get to you, but I've got to finish up with Apocalypto.
[00:42:18.958 --> 00:42:24.823]  You don't hear me come on the air and talk about movies for 45 minutes, but this is the most powerful film I've ever seen.
[00:42:24.863 --> 00:42:25.784]  And just in closing...
[00:42:26.920 --> 00:42:28.221]  It shows the priest class.
[00:42:28.261 --> 00:42:43.533]  If you study anthropology, study human history, you know, all over the world, certain guilds, you know, the scientists of the day, but they'd mix it in with a lot of religious mumbo-jumbo, would learn to track the stars and would know when there would be a solar eclipse or a lunar eclipse.
[00:42:43.553 --> 00:42:50.579]  And they would tell the people, well, you've got to bring me food, you've got to take care of me, you have to build me the biggest hut, you've got to give me all the best women.
[00:42:50.859 --> 00:42:52.260]  And it was little guilds.
[00:42:52.340 --> 00:42:54.242]  Even when you had small bands of a few hundred people,
[00:42:55.173 --> 00:43:00.098]  Or the snake god won't spit out the sun when he eats it next year.
[00:43:00.578 --> 00:43:09.346]  And the people would learn that, boy, the high priest, because he was keeping track of things, could make the snake god or the monster.
[00:43:09.707 --> 00:43:15.612]  The Greeks thought it was a kraken, and the Aztecs thought it was a snake, the winged serpent, on and on and on.
[00:43:15.892 --> 00:43:20.076]  And then, boy, if you submitted to the priest class, they would make the sun or the moon come back.
[00:43:21.380 --> 00:43:22.621]  And that's what government does today.
[00:43:22.661 --> 00:43:30.766]  They con you, they manipulate you, they make you think that they basically made the planet and everything good flows from the government when we're living in a false reality, basically.
[00:43:31.506 --> 00:43:32.387]  So it covers that.
[00:43:33.107 --> 00:43:37.030]  It also shows how the government goes after and kills the strong, snatches people's children.
[00:43:37.470 --> 00:43:38.571]  Same thing they do today.
[00:43:39.375 --> 00:43:39.835]  We're good to go.
[00:44:01.193 --> 00:44:02.034]  We're good to go.
[00:44:21.491 --> 00:44:29.114]  And expend them on defending your family or making war in business or being strong and being a father figure.
[00:44:29.134 --> 00:44:31.714]  The media and the culture wants to destroy the father figure.
[00:44:31.875 --> 00:44:35.396]  That's why every sitcom and every drama shows the male as a driveling idiot.
[00:44:35.696 --> 00:44:36.296]  We have the U.S.
[00:44:36.316 --> 00:44:39.217]  government documents showing they're destroying the image of a male.
[00:44:39.477 --> 00:44:41.838]  The CIA created Miss Magazine.
[00:44:41.858 --> 00:44:45.400]  They admit that to break up the family, to turn women against men.
[00:44:45.660 --> 00:44:49.723]  This is because the state doesn't want coherent families that will defend each other.
[00:44:49.943 --> 00:44:51.964]  They don't want a middle class that is independent.
[00:44:52.984 --> 00:44:54.305]  This is broken down in the film.
[00:44:54.845 --> 00:44:56.306]  It's very sophisticated.
[00:44:57.347 --> 00:45:03.250]  Mel Gibson is what filmmaking should be, regardless of what you think of his politics or things he said.
[00:45:04.791 --> 00:45:07.212]  And bottom line, the world is not a safe place
[00:45:08.132 --> 00:45:13.495]  And history shows that the most dangerous force is government and the crime syndicates that grow up around it.
[00:45:13.815 --> 00:45:15.996]  But today the threat is camouflaged.
[00:45:16.296 --> 00:45:23.560]  The elites are very good at controlling PR firms and basically selling you on your enslavement like never before.
[00:45:24.432 --> 00:45:32.434]  And for the general public, again, the biggest threat in their life is not being able to look cool or act cool or having to stand in a line when you're paying for something.
[00:45:32.814 --> 00:45:34.535]  That's the stress we're under today.
[00:45:34.555 --> 00:45:41.577]  You need to see Apocalypto to see the stress that humans have been under under the tyranny of governments and the sick priest class.
[00:45:42.077 --> 00:45:42.518]  We're good to go.
[00:45:56.613 --> 00:46:00.174]  So that's basically what I have to say about Apocalypto.
[00:46:00.274 --> 00:46:01.435]  I salute Mel Gibson.
[00:46:02.315 --> 00:46:04.916]  It is just such an amazing film.
[00:46:05.276 --> 00:46:08.937]  And then now, let me get into the statesman viciously attacking him.
[00:46:09.637 --> 00:46:17.840]  Chris Garcia just never ceases to amaze me with the type of dribble and dribble that he writes.
[00:46:18.280 --> 00:46:21.341]  Apocalypto is an insult to Mayan culture.
[00:46:22.062 --> 00:46:23.102]  One expert says...
[00:46:24.798 --> 00:46:25.739]  I knew this would happen.
[00:46:26.099 --> 00:46:31.421]  A history professor explains why Mel Gibson got it very, very wrong, and then goes on to nitpick.
[00:46:31.841 --> 00:46:37.463]  Oh, one of the cave drawings they show shows a head getting cut off from a different period.
[00:46:38.604 --> 00:46:40.765]  And, well, you know, women weren't involved in the rituals.
[00:46:40.905 --> 00:46:41.605]  Yes, they were.
[00:46:41.625 --> 00:46:44.406]  I don't know what you're talking about, but they were in the rituals.
[00:46:44.426 --> 00:46:45.967]  They were being killed in the rituals.
[00:46:47.226 --> 00:46:48.346]  Mel Gibson holds back.
[00:46:48.386 --> 00:46:49.767]  It doesn't show the cannibalism.
[00:46:50.428 --> 00:46:53.169]  The main meat source was the sacrificed dead bodies.
[00:46:53.390 --> 00:46:58.373]  Didn't get into how the winner in the ball playing court and the sports event, the winner got to be killed.
[00:46:58.593 --> 00:46:59.774]  That's how brainwashed they were.
[00:46:59.874 --> 00:47:00.954]  Oh good, I get to be killed.
[00:47:02.395 --> 00:47:03.576]  I mean, that's how sick this is.
[00:47:03.596 --> 00:47:04.917]  And here's the most telling thing.
[00:47:04.937 --> 00:47:12.562]  Because she goes on, this junior professor of art goes on to say,
[00:47:13.252 --> 00:47:20.858]  And I remember being in art class in school and being on a field trip from high school to UT, and they had this thing about Aztecs and how wonderful they were.
[00:47:20.878 --> 00:47:22.840]  And I said, well, they killed tens of thousands.
[00:47:22.860 --> 00:47:23.641]  Well, yes, they did.
[00:47:23.881 --> 00:47:24.662]  I go, well, that's evil.
[00:47:24.902 --> 00:47:25.963]  Oh, no, that's racist.
[00:47:25.983 --> 00:47:26.903]  This is their culture.
[00:47:27.464 --> 00:47:31.747]  And I said back then, when I was 17 years old, I said, well, I think the Nazis had an evil culture.
[00:47:31.767 --> 00:47:33.129]  And they went, oh, you've got a point.
[00:47:33.989 --> 00:47:35.671]  You've got to be able to make moral judgments.
[00:47:35.891 --> 00:47:36.411]  Listen to this.
[00:47:37.552 --> 00:47:39.874]  You just hate this movie, Garcia said.
[00:47:40.294 --> 00:47:40.715]  I hate it.
[00:47:41.535 --> 00:47:42.136]  I despise it.
[00:47:42.492 --> 00:47:43.353]  I think it's despicable.
[00:47:43.473 --> 00:47:44.313]  Never giving any evidence.
[00:47:44.754 --> 00:47:45.974]  It's offensive to Mayan people.
[00:47:46.295 --> 00:47:49.997]  Really, I've been down there with the Mayan tour guides with degrees in archaeology.
[00:47:50.017 --> 00:47:51.358]  I'm very proud of the human sacrifice.
[00:47:52.159 --> 00:47:55.061]  In fact, I videotaped one just a few months ago when I was down there admitting it.
[00:47:55.661 --> 00:47:56.101]  I hate it.
[00:47:56.201 --> 00:47:56.842]  I despise it.
[00:47:56.862 --> 00:47:57.642]  I think it's despicable.
[00:47:58.023 --> 00:47:59.284]  It's offensive to Mayan people.
[00:47:59.704 --> 00:48:07.109]  It's offensive to those of us who try to teach cultural sensitivity and alternative worldviews that might not match our 21st century.
[00:48:08.170 --> 00:48:10.471]  Western ones, but are nonetheless valid.
[00:48:10.971 --> 00:48:11.572]  Valid!
[00:48:12.620 --> 00:48:12.960]  Okay.
[00:48:13.241 --> 00:48:14.922]  And then she goes on to talk about human sacrifice.
[00:48:14.962 --> 00:48:17.404]  So it just shows too much of that.
[00:48:17.424 --> 00:48:18.805]  It doesn't put it into context.
[00:48:19.086 --> 00:48:22.389]  She goes on to say, she says it was a very, let me find the thing she says here.
[00:48:23.389 --> 00:48:24.470]  It's very pious.
[00:48:24.550 --> 00:48:26.973]  It's very, you know, this is revered.
[00:48:27.253 --> 00:48:28.074]  Well, it's in the article.
[00:48:28.094 --> 00:48:32.758]  I got it up on, I got links to it up on Infowars.com and PrisonPundit.com.
[00:48:32.798 --> 00:48:35.460]  I'm writing a big article about this right now, as the Watson brothers are.
[00:48:36.267 --> 00:48:38.589]  And, again, this is what they do.
[00:48:38.990 --> 00:48:46.136]  Whenever the government and its minions are doing something, they tell us, oh, well, what are you to say America going bye-bye and the North American Union being set up?
[00:48:46.536 --> 00:48:47.998]  You know, that's just the next step.
[00:48:48.098 --> 00:48:49.399]  It's just diversity.
[00:48:51.436 --> 00:48:55.100]  We're not allowed to have a cultural view on abortion or anything else.
[00:48:56.201 --> 00:49:04.048]  It's only the higher-ups, the modern priest class, the professors and psychiatrists and psychologists and law enforcement specialists.
[00:49:04.088 --> 00:49:05.450]  They're the new priest guild.
[00:49:05.710 --> 00:49:06.751]  They know everything.
[00:49:06.811 --> 00:49:07.552]  We know nothing.
[00:49:08.192 --> 00:49:12.036]  And it just goes on to tax Mel Gibson with this type of drivel.
[00:49:13.542 --> 00:49:20.067]  I'm sorry, bounding small children every morning and throwing them into cenotes for the water gods, for the fertility gods, is wrong.
[00:49:21.328 --> 00:49:25.831]  Cutting somebody's heart out every morning at sunrise and sunset is wrong.
[00:49:26.311 --> 00:49:26.932]  It's sick.
[00:49:26.992 --> 00:49:29.073]  It's a culture gone crazy.
[00:49:29.894 --> 00:49:31.915]  Well, crazy is from your particular point of view.
[00:49:32.175 --> 00:49:32.916]  Well, then fine!
[00:49:32.936 --> 00:49:33.677]  Hitler's good.
[00:49:33.697 --> 00:49:37.359]  I don't think he is, because I'm able to make a moral determination.
[00:49:38.760 --> 00:49:39.221]  All right, um...
[00:49:40.615 --> 00:49:41.556]  I'm done talking about it.
[00:49:42.016 --> 00:49:43.857]  It's just, what a shameful piece.
[00:49:43.877 --> 00:49:52.103]  I'm going to try to get this Julia Guernsey on, this assistant professor, if she wants to come on and debate me.
[00:49:52.283 --> 00:49:55.345]  Let's go ahead and go to somebody who disagrees, been holding since the start of the show.
[00:49:56.445 --> 00:49:58.927]  Let's talk to Jeff in Pennsylvania.
[00:49:59.708 --> 00:50:06.792]  And Jeff, he says he disagrees with me about the child destroying services, I mean CPS.
[00:50:07.573 --> 00:50:09.374]  Go ahead, you're on the air from Pennsylvania, Jeff.
[00:50:10.952 --> 00:50:36.354]  I had the pleasure of being over at Buddy's house and he was listening to your show and I heard you celebrating about something and going, ooh, I was thinking it couldn't get much kookier, but I tried to look into some of the claims that you had made on Google and tried to do some searches for some articles and the only websites I came across were
[00:50:37.828 --> 00:50:40.709]  Supposed victims, ones of CPS.
[00:50:41.670 --> 00:50:42.730]  What do you work for, CPS?
[00:50:44.111 --> 00:50:45.992]  Yeah.
[00:50:46.452 --> 00:50:54.315]  Sir, sir, sir, sir, the cover of Time Magazine was six years ago said the shame of foster care.
[00:50:54.895 --> 00:50:59.217]  Okay, and it had the federal statistics five times more likely...
[00:50:59.755 --> 00:51:07.721]  Well, there's a big scandal in Texas and Florida right now where they're having to shut down all these homes because here in Texas it's six times more likely.
[00:51:07.881 --> 00:51:13.906]  Over two-thirds of the children are put on psychotropic drugs by you guys, and you're just calling in claiming I'm making that up.
[00:51:14.567 --> 00:51:17.689]  Well, you know statistics can... Let me guess.
[00:51:17.749 --> 00:51:18.810]  You were going to say that next.
[00:51:19.070 --> 00:51:21.112]  You were going to say my statistic was wrong.
[00:51:22.293 --> 00:51:22.553]  Right?
[00:51:22.673 --> 00:51:24.835]  And then I preempted you because I know how your brain works.
[00:51:24.875 --> 00:51:25.155]  Go ahead.
[00:51:25.175 --> 00:51:25.435]  Try it.
[00:51:26.956 --> 00:51:27.377]  Well, um...
[00:51:30.161 --> 00:51:35.446]  There's... It doesn't show that... Okay, I'll tell you what.
[00:51:35.486 --> 00:51:35.926]  Stay there.
[00:51:36.467 --> 00:51:38.168]  Hold again because you've been holding a long time.
[00:51:39.449 --> 00:51:40.290]  Hit me with your best shot.
[00:51:40.850 --> 00:51:41.010]  Okay?
[00:51:42.191 --> 00:51:42.612]  All right, buddy.
[00:51:43.172 --> 00:51:45.514]  We'll be right back after the news with the second hour.
[00:51:45.915 --> 00:51:47.656]  We'll talk to this guy and many others.
[00:51:47.776 --> 00:51:48.637]  PrisonPlanet.com.
[00:51:50.376 --> 00:51:51.577]  For more information, that's 877-996-4327, extension 101.
[00:52:21.440 --> 00:52:21.660]  That's 1-800-686-2237.
[00:52:50.211 --> 00:52:52.732]  Businesses is wonderful.
[00:52:52.752 --> 00:53:00.856]  9430300 Prepare yourself for a talk radio experience like no other.
[00:53:00.876 --> 00:53:02.637]  Strap yourselves in and hold on.
[00:53:03.618 --> 00:53:05.099]  He stands for truth.
[00:53:05.299 --> 00:53:06.259]  Defending our borders.
