[00:00:18.612 --> 00:00:19.312]  People of the day!
[00:23:34.321 --> 00:23:39.662]  The widely researched natural herbal supplement for regulating blood pressure and maintaining optimum heart health.
[00:23:39.982 --> 00:23:46.063]  Did you know that the safety and effectiveness of heart care is backed by over a hundred clinical trials and experimental studies?
[00:23:46.463 --> 00:23:46.903]  Act now!
[00:23:47.003 --> 00:23:53.525]  Visit us online at researchedherbs.com or call us at 1-800-845-3841 to start protecting yourself from the silent killer.
[00:23:53.545 --> 00:23:53.865]  That's 1-800-845-3841.
[00:24:00.780 --> 00:24:03.422]  Is your child disrespectful, defiant, or obnoxious?
[00:24:03.742 --> 00:24:05.943]  Does everything turn into an argument with your kid?
[00:24:06.243 --> 00:24:07.964]  I'm behavioral therapist James Lehman.
[00:24:08.184 --> 00:24:12.327]  I'll help you turn your child's behavior around right now with the Total Transformation.
[00:24:12.827 --> 00:24:17.730]  After the Total Transformation, there's no more arguing, no more lecturing, no more backtalking.
[00:24:18.090 --> 00:24:20.011]  Now when I ask him to do something, he does it.
[00:24:20.391 --> 00:24:25.514]  We've learned verbiage from the Total Transformation program, and it's almost like magic.
[00:24:25.854 --> 00:24:28.295]  If you say those words, they stop arguing.
[00:24:28.375 --> 00:24:33.637]  Defiance, back talking, lying, acting out in school, even problems with ADD and ADHD.
[00:24:33.857 --> 00:24:37.359]  The Total Transformation will help you solve even the worst behavior problems.
[00:24:37.759 --> 00:24:42.261]  I guarantee your child will listen to you again and you'll get peace and sanity back in your home.
[00:24:42.641 --> 00:24:46.883]  Call now and get how to turn your child's attitude around in one minute or less free with your order.
[00:24:47.363 --> 00:24:47.763]  1-800-373-0402 1-800-373-0402 Call now!
[00:24:47.783 --> 00:24:47.924]  1-800-373-0402 1-800-373-0402
[00:24:59.952 --> 00:25:01.053]  Ted Anderson for Midas.
[00:25:01.093 --> 00:25:01.933]  Today is November 17, 2006.
[00:25:02.013 --> 00:25:06.056]  Gold opened at $614.40 an ounce and one ounce gold coins can be purchased for $634.84 and $319.97 for half ounce coins.
[00:25:06.076 --> 00:25:06.416]  That's $634.84 and $319.97.
[00:25:06.476 --> 00:25:10.279]  On June 4, 1963, an unknown presidential decree, Executive Order 11110 was signed with the authority to strip the Federal Reserve Bank
[00:25:25.789 --> 00:25:28.992]  ...of its power to lend money to the United States government and interest.
[00:25:29.112 --> 00:25:32.374]  With the stroke of a pen, Kennedy would have put the Fed out of business.
[00:25:32.455 --> 00:25:35.877]  The November assassination quieted the production of the new currency.
[00:25:35.957 --> 00:25:38.940]  However, the executive order still stands unrepealed.
[00:25:39.220 --> 00:25:42.102]  Midas has the Kennedy vs. Fed document.
[00:25:42.162 --> 00:25:42.603]  Call 800-686-2237.
[00:25:42.683 --> 00:25:44.264]  Unlike your liberty, the paper is free.
[00:25:44.304 --> 00:25:44.484]  Call 800-686-2237.
[00:25:50.649 --> 00:25:54.518]  If you're interested in breaking the bondage of taxation and debt, call 800-686-2237.
[00:25:54.558 --> 00:25:54.739]  That's 800-686-2237.
[00:26:00.720 --> 00:26:03.082]  Hello friends, Alex Jones here with an important question.
[00:26:03.322 --> 00:26:05.364]  What was the last time you used pure soap?
[00:26:05.504 --> 00:26:12.589]  I mean real hard to find all natural pure soap that contains no dyes, perfumes, deodorants, detergents, or other dangerous toxins.
[00:26:12.809 --> 00:26:21.356]  The Calvin Pure Soap Company, for the past 57 years, has been making triple concentrated pure soaps exclusively for healthcare professionals and hospitals.
[00:26:21.716 --> 00:26:26.399]  Now for the first time, Calbin Pure Soap is available factory direct to you and your family.
[00:26:26.539 --> 00:26:30.582]  That's great news because Calbin Pure Soap is made from all natural ingredients.
[00:26:30.782 --> 00:26:33.223]  It's earth friendly and completely environmentally safe.
[00:26:33.383 --> 00:26:37.746]  So if you want yesterday's values today for good old-fashioned pure soap, call 1-800-340-7091.
[00:26:41.128 --> 00:26:44.709]  Save up to 85% off supermarket and retail store prices.
[00:26:44.849 --> 00:26:48.190]  Call today for a Calvin Soap catalog at 1-800-340-7091.
[00:26:48.210 --> 00:26:51.050]  That's 1-800-340-7091.
[00:26:51.610 --> 00:26:55.411]  Or on the web at CalvinPureSoap.com.
[00:26:55.551 --> 00:26:58.772]  Try Pure Soap once and I'll guarantee you'll never use anything else.
[00:27:03.153 --> 00:27:04.933]  Thank you for listening to GCN.
[00:27:06.693 --> 00:27:08.994]  Be sure to visit GCNlive.com today.
[00:27:11.613 --> 00:27:16.097]  Alex Jones is deep in the heart of Texas, and he wants to talk to you.
[00:27:16.117 --> 00:27:17.919]  Toll free at 877-590-5525.
[00:27:17.959 --> 00:27:19.520]  Now, here's Alex Jones.
[00:27:29.056 --> 00:27:29.716]  Welcome back.
[00:27:29.736 --> 00:27:31.978]  We're going to be taking your calls here in just a moment.
[00:27:31.998 --> 00:27:32.518]  877-590-5525.
[00:27:33.999 --> 00:27:39.382]  That's 877-590-5525 or locally here in Central Texas.
[00:27:39.963 --> 00:27:46.066]  If you're a KLBJ 590 listener, 836-0590 will get you up and on the air.
[00:27:46.427 --> 00:27:47.747]  Let's roll through some of your calls.
[00:27:47.787 --> 00:27:49.648]  They're coming in about the election a few weeks ago.
[00:27:49.668 --> 00:27:53.551]  They're coming in about Bush's comments about, you know, don't give up.
[00:27:53.651 --> 00:27:55.032]  That's the lesson of Vietnam.
[00:27:55.392 --> 00:27:57.053]  I guess you can interpret that however you like.
[00:27:57.859 --> 00:28:08.945]  You can comment on the Fox News special attacking my office last night with my radio producer who I dispatched to New York City to Fox News Center who, by the way, did a great job.
[00:28:10.586 --> 00:28:11.726]  You can talk about whatever you'd like.
[00:28:12.466 --> 00:28:17.769]  Let's go ahead and take a call from Mark in Chicago.
[00:28:18.409 --> 00:28:19.530]  Mark, thank you for holding.
[00:28:19.590 --> 00:28:19.910]  Welcome.
[00:28:21.211 --> 00:28:21.591]  Hi, Alex.
[00:28:21.651 --> 00:28:22.471]  Always great to talk to you.
[00:28:22.531 --> 00:28:27.374]  I spoke with you before on your show and I just want to talk about Mankow here and Rush and Hannity and all these guys.
[00:28:28.129 --> 00:28:35.472]  I think that the paradigm that people don't understand is that a lot of these people are compromised, or they're paid a lot of money to have the opinions that they have.
[00:28:35.932 --> 00:28:47.356]  And I think when you watch them go off like, man, Kyle was a joke, we would really like to know here in Chicago why someone like he has to be so negative against you and not have any proof to back anything he says.
[00:28:47.857 --> 00:28:50.218]  Now, I run a website, 911essential.com.
[00:28:50.278 --> 00:28:51.878]  I've featured you since day one.
[00:28:51.938 --> 00:28:53.499]  I've got all your videos up there.
[00:28:54.401 --> 00:28:55.102]  I don't think so.
[00:29:20.037 --> 00:29:29.721]  And the reason they know is because when things change here, and it's going to change, they're going to find out what they're going to be looked at in a way maybe Goebbels was looked at, let's say.
[00:29:29.961 --> 00:29:32.302]  Did you see the Fox News piece last night?
[00:29:32.342 --> 00:29:35.343]  If you didn't, we have it posted on PrisonPlanet.com.
[00:29:35.503 --> 00:29:36.624]  I don't own a TV, Alex.
[00:29:36.664 --> 00:29:37.104]  How's that?
[00:29:37.804 --> 00:29:40.205]  Hey, I don't blame you, and I appreciate your call.
[00:29:40.846 --> 00:29:43.367]  Let's go ahead and talk to Mark in Atlanta.
[00:29:43.447 --> 00:29:44.707]  Mark, welcome to the airwaves.
[00:29:45.968 --> 00:29:46.448]  Hello!
[00:29:46.728 --> 00:29:47.128]  Hello, sir.
[00:29:50.127 --> 00:30:14.245]  I'm following, I don't know if John Connor is his actual name given at birth or if it's his nom de guerre, but I checked out his thing about Georgia Guidestones, went out there, took pictures, emptied my bladder upon it, and I've been amazed at how these people in the Mini Truth Media cartel seem to have all taken, they all seem to have in common that they've all taken the blue pill.
[00:30:14.887 --> 00:30:17.089]  All right, let me just stop you for a moment.
[00:30:17.109 --> 00:30:19.752]  I love your call, but we're not having a private conversation.
[00:30:19.812 --> 00:30:25.338]  You have to remember, most people listening to you right now don't know I interviewed John Connor last week.
[00:30:25.358 --> 00:30:26.720]  Yes, it's a pen name.
[00:30:29.746 --> 00:30:35.772]  He goes into major universities, big events, and starts screaming 9-11 is an inside job very effectively.
[00:30:36.172 --> 00:30:43.559]  He goes into college libraries and does it, and hands out thousands of 9-11 DVDs like Loose Change and Terror Storm and others.
[00:30:43.939 --> 00:30:47.282]  He's a good friend of mine, and he's doing a wonderful job out on the West Coast.
[00:30:47.302 --> 00:30:52.587]  He also calls into all the big national shows and brings up Bohemian Grove, Skull & Bones,
[00:30:53.127 --> 00:30:54.809]  9-11, and we should all do that.
[00:30:54.869 --> 00:30:59.994]  Now, for those who don't know what the Georgia Guidestones are, a globalist organization put these up.
[00:31:00.454 --> 00:31:17.690]  I actually have to fly up there, and I was about to ask listeners to go shoot good video of the Georgia Guidestones for me, and I'd use it in a new film I'm making, or I may have to go to Georgia, and this is where they say they're going to kill 90 plus percent of us, one world government, this is their religious, I guess, totem,
[00:31:18.399 --> 00:31:22.761]  Well, regarding the Guidestones, I'll be happy to email you or send you a CD of the pictures I took.
[00:31:22.781 --> 00:31:25.622]  If you want me to go borrow a camcorder, that's fine too.
[00:31:45.945 --> 00:31:52.806]  Well, I mean, that would be wonderful, but whoever does it, if the video isn't... I mean, I need like a wide shot with the Georgia Guidestones and the clouds rolling by.
[00:31:53.027 --> 00:31:57.547]  I mean, if I went there, I'd probably shoot like a... Oh, what's it called?
[00:31:58.148 --> 00:32:00.448]  I make these films and I forget what the term is.
[00:32:00.668 --> 00:32:01.348]  Documentary.
[00:32:01.828 --> 00:32:03.449]  No, I'm not talking about a documentary.
[00:32:03.549 --> 00:32:05.289]  I'm talking about a time-lapse.
[00:32:05.329 --> 00:32:06.629]  I would probably do a time-lapse of it.
[00:32:06.929 --> 00:32:09.410]  I would show all the close-ups of the ten planks of it.
[00:32:10.273 --> 00:32:10.513]  Right.
[00:32:11.014 --> 00:32:26.245]  Well, the point is that one of the things I want to call into these various people, and one of the major points I want to get across to these people, is that I went to a cult awareness conference some years ago, and they explained a tactic that cults use.
[00:32:26.545 --> 00:32:29.748]  And I don't think they're consciously aware of the tactic.
[00:32:29.788 --> 00:32:33.130]  They just do it, and it works for them, and that reinforces it.
[00:32:33.190 --> 00:32:34.311]  It's called loaded language.
[00:32:34.907 --> 00:32:41.974]  And basically, it is a tongue that has a subconscious charge to stop people from thinking in a logical direction.
[00:32:42.875 --> 00:32:54.746]  In debate it's called an ad hominem attack, or it's calling us a conspiracy theorist makes us subhuman, or calling us liars with no proof, and then never actually responding with a real intellectual argument.
[00:32:55.307 --> 00:32:58.250]  Well, the point I would get at is that basically,
[00:32:59.000 --> 00:33:01.142]  I wasn't thinking of it so much in those directions.
[00:33:01.202 --> 00:33:05.644]  I agree with your... that's the other point that I'd get across to these people like Neil Bortz.
[00:33:06.025 --> 00:33:11.088]  Hannity, I respected until I found out that he'd been invited to the Bohemian Grove, and I'm, whoa!
[00:33:11.548 --> 00:33:14.170]  You know, it's like, if they trust you, it means we can't.
[00:33:14.610 --> 00:33:15.091]  You know?
[00:33:15.371 --> 00:33:28.159]  But the thing is, basically, what people... the subconscious charge that people have with the term conspiracy theorist is to... that if they bother to examine the evidence at all,
[00:33:28.857 --> 00:33:29.878]  Then usually they don't.
[00:33:30.098 --> 00:33:39.744]  They will do so with a presupposition that it is all just a theory rather than the fact that a theory is defined as an explanation for a set of observed facts.
[00:33:39.764 --> 00:33:41.845]  Yes, they look at it with a jaundiced eye.
[00:33:41.945 --> 00:33:42.686]  Great call.
[00:33:42.786 --> 00:33:44.627]  I really appreciate your comments.
[00:33:44.667 --> 00:33:46.028]  And yeah, send us some photos of those.
[00:33:46.068 --> 00:33:50.311]  At the bare minimum, we'll put them up on PrisonPlanet.com or InfoWars.com.
[00:33:53.058 --> 00:34:04.665]  Later, in the hour and in the next hour, I'm going to play segments of the 10 minutes that Kevin Smith was on the show, and I'm also going to play a clip of Shatner, just because I like Shatner, for no reason at all.
[00:34:04.845 --> 00:34:05.626]  Friends with Mancow.
[00:34:06.706 --> 00:34:09.208]  But you'll notice, he claims we're just trying to make money.
[00:34:09.428 --> 00:34:11.809]  A. Then he says we're liars.
[00:34:12.210 --> 00:34:14.211]  Then he says we're against the firefighters.
[00:34:14.990 --> 00:34:18.991]  What does the government being involved in 9-11 have to do with the firefighters?
[00:34:19.031 --> 00:34:21.792]  He tries to imply we're against the firefighters.
[00:34:21.892 --> 00:34:30.754]  In fact, I've been on talk shows where these guys, and it's always the big national ones who are slick, good liars, or know psychology, they go, why do you think the firefighters carried it out?
[00:34:31.455 --> 00:34:32.855]  And I go, I've never said that.
[00:34:33.755 --> 00:34:34.996]  Oh yeah, you think the government did?
[00:34:35.036 --> 00:34:35.756]  They're the government.
[00:34:36.116 --> 00:34:36.636]  No, no, no, no.
[00:34:36.716 --> 00:34:38.317]  It's criminal elements.
[00:34:38.637 --> 00:34:41.717]  It's because of the firefighters we know about the bombs.
[00:34:41.938 --> 00:34:43.318]  They're our biggest witnesses!
[00:34:44.091 --> 00:34:47.032]  Again, we cannot fight them off of us in New York!
[00:34:47.072 --> 00:34:51.613]  I can be in a restaurant, a bar, on the street, at Ground Zero, and the firefighters come over.
[00:34:52.294 --> 00:34:59.716]  Firefighter Engineering, the biggest and oldest firefighting publication in the country, said clearly that fire didn't bring down either of those three buildings.
[00:35:00.416 --> 00:35:00.756]  Okay?
[00:35:00.976 --> 00:35:04.257]  And clearly there's been a, quote, criminal cover-up of what happened.
[00:35:04.457 --> 00:35:05.838]  The firefighters are for us.
[00:35:05.858 --> 00:35:10.999]  And by the way, when I refused to go on Fox, because, again, I'm going anywhere, anytime, if it's live.
[00:35:11.279 --> 00:35:12.900]  I had a family engagement coming up.
[00:35:14.068 --> 00:35:15.251]  So I said, you know what, I'm not going.
[00:35:15.271 --> 00:35:16.233]  They said, well give it to somebody else.
[00:35:16.553 --> 00:35:17.515]  I gave them firefighters.
[00:35:17.555 --> 00:35:18.578]  I gave them emergency workers.
[00:35:18.838 --> 00:35:20.301]  I gave them National Guard that was there.
[00:35:20.321 --> 00:35:21.824]  I gave them a member of Homeland Security.
[00:35:22.386 --> 00:35:24.911]  That's right, they had Homeland Security before 9-11, ladies and gentlemen.
[00:35:25.610 --> 00:35:27.991]  In the Hazardous Materials Disposal, Mike McCormick.
[00:35:28.552 --> 00:35:31.053]  I gave them all these people and they didn't want them.
[00:35:31.513 --> 00:35:33.855]  They wanted one of our people to attack me.
[00:35:34.075 --> 00:35:35.716]  So I said, fine, Kevin Smith will go.
[00:35:35.796 --> 00:35:36.316]  Kevin went.
[00:35:36.516 --> 00:35:39.818]  He did as good a job as I did, as I would have done.
[00:35:39.878 --> 00:35:41.119]  He did it maybe even better.
[00:35:41.539 --> 00:35:43.900]  He did a wonderful job and you're going to hear that.
[00:35:44.781 --> 00:35:51.544]  But they wanted to have us versus the firefighter and they fell flat on their faces in a pathetic fashion.
[00:35:51.564 --> 00:35:52.625]  Do I have time to go to a call here?
[00:35:54.033 --> 00:35:54.333]  I don't.
[00:35:54.353 --> 00:35:55.374]  Yeah, we've got about a minute and a half.
[00:35:55.394 --> 00:35:56.214]  We'll go to Megan.
[00:35:56.555 --> 00:35:57.635]  We'll go to Joanne.
[00:35:58.656 --> 00:35:59.516]  Ladies, stay there.
[00:35:59.596 --> 00:36:00.397]  We will get to you.
[00:36:00.417 --> 00:36:02.258]  We'd love to hear from you.
[00:36:02.278 --> 00:36:02.638]  877-590-5525.
[00:36:04.099 --> 00:36:14.526]  By the way, every broadcast here on air, I challenge you, if you disagree with me, call into the show and tell me why you disagree.
[00:36:14.586 --> 00:36:15.406]  Tell me why I'm wrong.
[00:36:15.686 --> 00:36:16.547]  And we have a rule here.
[00:36:17.387 --> 00:36:18.828]  We don't just screen your calls.
[00:36:19.168 --> 00:36:20.369]  There's no screening going on.
[00:36:20.489 --> 00:36:21.570]  We don't stop there, though.
[00:36:22.839 --> 00:36:29.682]  If you volunteer that you disagree with us, you go to the head of the line.
[00:36:30.682 --> 00:36:31.082]  Okay?
[00:36:31.682 --> 00:36:32.283]  Here's the number.
[00:36:32.303 --> 00:36:33.123]  877-590-5525.
[00:36:33.343 --> 00:36:41.366]  Maybe you're a neocon, a person who thinks gun control is conservative, who's listening out there, or thinks open borders is conservative.
[00:36:42.006 --> 00:36:45.327]  You're a George Bush jock snipper, basically.
[00:36:45.367 --> 00:36:46.288]  I'm sorry to have to say that.
[00:36:47.188 --> 00:36:48.989]  If you want to call in, 877-590-5525, we'll be right back.
[00:36:49.009 --> 00:36:49.369]  Stay with us.
[00:37:00.229 --> 00:37:05.091]  The Japanese have used magnetic therapy for thousands of years, and it's more popular today than ever before.
[00:37:05.291 --> 00:37:13.555]  Established in 2000, Arizona Unipol Magnetics, AUM, is the number one online source for the superb Dr. Philpott-approved polar power magnetics.
[00:37:13.915 --> 00:37:18.017]  Now offering a complete line of these fine magnetics in an easy-to-read mail-order catalog.
[00:37:18.217 --> 00:37:21.379]  No hyped-up product descriptions to waste your time, just the facts.
[00:37:21.719 --> 00:37:22.079]  I think so.
[00:37:41.971 --> 00:37:44.073]  Visit azunimegs.com.
[00:37:44.393 --> 00:37:47.395]  That's A-Z-U-N as in North.
[00:37:47.415 --> 00:37:49.276]  I-M-A-G-S dot com.
[00:37:49.496 --> 00:37:51.818]  Or call toll free to order and request a catalog.
[00:37:51.838 --> 00:37:52.118]  888-442-0449.
[00:37:52.178 --> 00:37:52.378]  That's 888-442-0449.
[00:37:52.399 --> 00:37:53.739]  Times are tough right now.
[00:38:01.425 --> 00:38:04.486]  But there are a lot of different ways to get ourselves out of this mess.
[00:38:04.706 --> 00:38:08.688]  Providing for our own food, water and power are a good start.
[00:38:08.948 --> 00:38:15.250]  As you may have heard by now, Ken Solar has been configuring alternative energy packages for over a decade.
[00:38:15.490 --> 00:38:19.872]  One of Ken's most popular items right now is the new solar powered generator.
[00:38:20.072 --> 00:38:25.394]  For a lot less than you'd expect, this portable system can chop up nearly a third of your electric bill.
[00:38:25.634 --> 00:38:30.176]  Getting yourself onto solar power is one of the most liberating things you can do for yourself.
[00:38:30.356 --> 00:38:31.136]  And your family!
[00:38:31.297 --> 00:38:39.041]  The Solar Powered Generator will run your lights, fan, electric blanket, your refrigerator, and a whole slew of household items.
[00:38:39.361 --> 00:38:48.067]  Visit Ken's website at KenSolar.com for free downloads, free videos and how-tos, and of course, the new Solar Powered Generator.
[00:38:48.327 --> 00:38:51.869]  Enter the GCN coupon code during your order and save an additional 10%.
[00:38:52.789 --> 00:38:56.752]  Get a Solar Powered Generator now from KenSolar.com.
[00:38:56.872 --> 00:38:58.132]  That's KenSolar.com.
[00:39:00.602 --> 00:39:02.563]  Sometimes you feel like you're just a number.
[00:39:02.823 --> 00:39:08.145]  To the banks, the credit card companies, the lenders and financial institutions, you are just a number.
[00:39:08.426 --> 00:39:09.506]  Your credit score.
[00:39:09.786 --> 00:39:14.428]  And unless that number is above their standards, you get stuck paying more for everything.
[00:39:14.668 --> 00:39:18.470]  Hi, I'm John Komuta, creator of the Transforming Debt Into Wealth System.
[00:39:18.790 --> 00:39:23.592]  If you don't have perfect credit, banks will either take advantage of you or slam the door in your face.
[00:39:23.772 --> 00:39:29.557]  Yes, but I want to send you a free tape that shows you how my proven system will wipe the slate clean once and for all.
[00:39:29.877 --> 00:39:36.823]  My system doesn't just raise your credit score, it will permanently insulate your credit status so it can never come back to haunt you again.
[00:39:37.103 --> 00:39:40.066]  It works no matter how bad your credit is or how much debt you have.
[00:39:40.306 --> 00:39:43.909]  Call today and I'll send you a free tape showing you the power of my proven system.
[00:39:44.129 --> 00:39:48.193]  You can hit the reset button on your credit score and wipe the slate clean.
[00:39:48.493 --> 00:39:49.414]  Let me show you how.
[00:39:49.694 --> 00:39:52.756]  Call right now to get my free tape.
[00:39:52.776 --> 00:39:53.376]  1-800-400-8498.
[00:39:53.816 --> 00:39:54.657]  That's 1-800-400-8498.
[00:39:54.677 --> 00:39:54.937]  1-800-400-8498.
[00:39:55.037 --> 00:40:08.025]  For years, you've been hearing about Herbal Healer Academy and how it's remained a leader in effective alternative and natural medicine and education.
[00:40:08.486 --> 00:40:11.608]  But how can they continue to hold that title for years on end?
[00:40:12.028 --> 00:40:15.030]  The answer is high quality and huge selection.
[00:40:15.450 --> 00:40:20.233]  Just visit HerbalHealer.com and shop online or request a free catalog.
[00:40:20.694 --> 00:40:23.095]  You're bound to find the alternative you're looking for.
[00:40:23.796 --> 00:40:28.459]  Did you know that Herbal Healer carries the latest, safest, and effective weight loss products?
[00:40:28.959 --> 00:40:34.863]  You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children.
[00:40:35.183 --> 00:40:36.324]  And don't forget your pets.
[00:40:36.784 --> 00:40:42.448]  Herbal Healer even has natural mineral supplements for all your animals, including horses, cows, and birds.
[00:40:42.908 --> 00:40:49.273]  Take a peek at their online calendar and you're sure to find everything you need and maybe something you didn't realize you needed.
[00:40:49.793 --> 00:40:54.656]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter.
[00:40:55.177 --> 00:40:58.599]  HerbalHealer.com, working with the power of nature.
[00:41:01.441 --> 00:41:03.242]  Thank you for listening to GCN.
[00:41:06.104 --> 00:41:08.346]  Visit GCNlive.com today.
[00:41:11.340 --> 00:41:13.301]  It's not about right versus left.
[00:41:13.821 --> 00:41:15.942]  It's about right versus wrong.
[00:41:16.642 --> 00:41:18.623]  This is the Alex Jones Show.
[00:41:19.263 --> 00:41:23.625]  Call Alex now, toll free at 877-590-5525.
[00:41:23.705 --> 00:41:29.407]  Now live from Austin, Texas.
[00:41:30.228 --> 00:41:31.928]  Here's Alex Jones.
[00:41:36.430 --> 00:41:38.711]  Thank you again for joining us on this Sunday.
[00:41:39.986 --> 00:41:45.447]  I'm going to go back to your calls, and then before we end this hour, I'm going to play a little bit of the Fox News attack piece last night.
[00:41:46.087 --> 00:41:49.848]  Starting the next hour, I'll play the rest of it, and we'll take your calls on this issue and others.
[00:41:50.468 --> 00:42:02.351]  But later in the next hour, you'll definitely want to stay tuned, because I'm going to break down the five different options that the Pentagon Study Group, run by James Baker, George Bush Sr.'
[00:42:02.331 --> 00:42:09.152]  's cover-up or cleaner, a Pentagon cleaner back from the Iran-Contra days, the former Secretary of State,
[00:42:11.293 --> 00:42:16.876]  What is the Pentagon Study Group really calling for?
[00:42:17.157 --> 00:42:22.160]  Well, they've now made the recommendation and we'll break down exactly what that means.
[00:42:23.501 --> 00:42:25.863]  Right now, let's go ahead and go back to the calls.
[00:42:25.883 --> 00:42:27.544]  Let's talk to Megan in Canada.
[00:42:27.784 --> 00:42:29.285]  Thanks for holding her on the air, Megan.
[00:42:30.486 --> 00:42:31.867]  Hi, Alex.
[00:42:32.087 --> 00:42:35.029]  I just want to say thank you very much for all the work that you're doing.
[00:42:37.903 --> 00:42:54.208]  For years after September 11th, I thought that all the Constitutionalists had disappeared, and I found you a few months ago, and I'm just relieved that there are people like you out there doing what you're doing.
[00:42:58.294 --> 00:42:59.075]  Well, that's exciting.
[00:42:59.095 --> 00:43:01.096]  I mean, it's always good to know there are like-minded people.
[00:43:01.136 --> 00:43:02.937]  But really, we are the majority.
[00:43:03.297 --> 00:43:07.960]  People all over the country are saying that the issue is globalism.
[00:43:08.000 --> 00:43:09.541]  The issue is the loss of freedom.
[00:43:09.841 --> 00:43:13.403]  The issue are these transnational banks taking over our society.
[00:43:13.443 --> 00:43:14.384]  What's on your mind, Megan?
[00:43:15.044 --> 00:43:24.450]  Well, there's an interesting quote that was made on the Chris Matthews Show on October 26th that I thought you might be interested in.
[00:43:25.545 --> 00:43:35.147]  Tony Snow was on, and he said that basically, to quote him, General George Casey, today in briefing the press, made a very important point.
[00:43:35.227 --> 00:43:38.247]  He said, you know, in three years we haven't lost a single engagement.
[00:43:39.248 --> 00:43:49.509]  Now, look, I notice that you're very big on history, and I've watched a lot of your films where you're teaching people history, which is so very important, because history is a study of consequences.
[00:43:50.610 --> 00:43:52.530]  They never lost engagements in Vietnam.
[00:43:53.828 --> 00:43:55.670]  That's absolutely right.
[00:43:55.770 --> 00:44:10.481]  In the mid-70s, one Colonel Harry G. Summers had occasion to speak with Vietnam War Colonel II of the North Vietnamese Army, and Summers said to him, you know, you never defeated us on the battlefield, and he replied, that's true, but it's also irrelevant.
[00:44:11.081 --> 00:44:16.305]  Well, I mean, everything about asymmetrical guerrilla warfare is that it's a war of attrition.
[00:44:18.679 --> 00:44:22.623]  You're simply trying to wear out the enemy and wear out their resolve.
[00:44:22.843 --> 00:44:31.231]  And bottom line, if you take the aims of this government at face value, we're losing the war.
[00:44:32.424 --> 00:44:35.066]  But in reality, we're really, quote, winning it.
[00:44:35.526 --> 00:44:39.769]  And by we, we're not really part of this system, but we always think of ourselves psychologically.
[00:44:40.029 --> 00:44:49.595]  The big private banks that own and run this country as their private, you know, ball-headed stepchild, they basically are winning because they're going to be there for decades.
[00:44:49.775 --> 00:44:51.276]  They're going to make hundreds of billions a year.
[00:44:51.936 --> 00:45:04.560]  And they'll just keep double-teaming us with good cop, bad cop, like WWF Wrestling, putting Democrats, Republicans, Democrats, Republicans in, and they'll just keep rolling on for 15 years, 20 years, like Vietnam.
[00:45:05.520 --> 00:45:11.582]  What do you think of Bush's comment about, we need to take a lesson from the Vietnamese and not give up?
[00:45:11.842 --> 00:45:16.784]  That's what I take from a Vietnam with the Iraq situation.
[00:45:16.804 --> 00:45:17.824]  I mean, that's incredible.
[00:45:18.719 --> 00:45:19.440]  Well, it's stupid.
[00:45:19.480 --> 00:45:21.982]  I mean, this whole, this whole, uh, quote, cut and run.
[00:45:22.403 --> 00:45:28.528]  You know, at a certain point, you know, you cut your losses and get out if you're losing.
[00:45:28.768 --> 00:45:31.811]  If you're, if you're, if you're... But again, they're not losing.
[00:45:31.911 --> 00:45:34.993]  The defense contractors don't care how many our boys and girls die.
[00:45:35.294 --> 00:45:36.975]  They don't care how many legs get blown off.
[00:45:36.995 --> 00:45:42.340]  They don't care how many of the troops have to pay for their flight home, as they do, or four dollars a day for their meals in the hospitals.
[00:45:42.560 --> 00:45:42.920]  That's right.
[00:45:42.940 --> 00:45:44.121]  They rape the troops.
[00:45:44.141 --> 00:45:45.522]  And I appreciate your call.
[00:45:45.582 --> 00:45:47.944]  It's really great to hear from you, Joanne.
[00:45:47.964 --> 00:45:48.284]  Yeah, yeah.
[00:45:48.584 --> 00:46:01.373]  Sticking an I Support the Troops sticker on your car, for many, means you actually forget about them, you don't care about them, you just feel good and associate your personal power with cluster bombs dropping on women and children.
[00:46:01.992 --> 00:46:05.055]  Okay, most people who are for this war don't know where Iraq is.
[00:46:05.115 --> 00:46:07.698]  They don't know any of the geopolitical histories of it.
[00:46:07.938 --> 00:46:15.486]  They don't know that the Pentagon wants urban warfare, wants strife, wants to kill as many Iraqis as possible.
[00:46:15.566 --> 00:46:19.350]  By the way, two plus million Iraqis are gone.
[00:46:19.630 --> 00:46:21.893]  Guess how many our own government admits?
[00:46:22.353 --> 00:46:23.935]  Guess how many Iraqis are dead?
[00:46:24.605 --> 00:46:36.473]  Since late 1990, through the Gulf War I, through the invasion in March 23rd of 2003, through till November of this month, November 19th today.
[00:46:37.113 --> 00:46:38.834]  And this number is about a month old.
[00:46:39.275 --> 00:46:40.476]  So it's far worse.
[00:46:40.516 --> 00:46:41.957]  Now, guess how many are dead?
[00:46:42.637 --> 00:46:45.919]  One point... Now, this is key.
[00:46:46.359 --> 00:46:50.182]  Well, let me just give you the numbers broken down before I put them into the big number.
[00:46:50.757 --> 00:46:53.922]  I'm sure you heard the British Medical Journal who had people there covering it.
[00:46:53.982 --> 00:46:55.104]  Very highly respected.
[00:46:55.685 --> 00:46:56.566]  Non-political.
[00:46:57.447 --> 00:46:59.190]  They said that 654,000 Iraqis are dead.
