[00:00:26.592 --> 00:00:29.534]  It is Friday.
[00:38:45.956 --> 00:38:50.998]  And then later, of course, now they announce it's all scanning your plates, your face, your car, everything.
[00:38:51.238 --> 00:38:51.939]  Now it's all admitted.
[00:38:51.959 --> 00:38:55.300]  But the point is, you see, we can tell with a draft because they're gearing it all up.
[00:38:56.000 --> 00:38:59.362]  And draft board heads will shoot their mouths off and go, We need it!
[00:38:59.602 --> 00:39:01.223]  We're desperately undermanned!
[00:39:01.483 --> 00:39:04.684]  Yes, we're getting ready, but it's going to be more of a top of national service.
[00:39:04.704 --> 00:39:06.365]  It's not a draft.
[00:39:06.425 --> 00:39:07.646]  It's a national service.
[00:39:10.487 --> 00:39:11.607]  It's like David Rockefeller.
[00:39:11.667 --> 00:39:13.448]  Oh, we're not setting up global government.
[00:39:13.488 --> 00:39:15.289]  We're setting up global governance.
[00:39:18.382 --> 00:39:19.442]  The exact same thing.
[00:39:20.883 --> 00:39:22.203]  It's like tomato, tomato.
[00:39:22.563 --> 00:39:23.163]  No, no, no.
[00:39:23.183 --> 00:39:30.264]  There's no tomatoes in... No, there's no tomatoes in this sauce for your spaghetti.
[00:39:30.744 --> 00:39:33.725]  There's tomatoes.
[00:39:34.445 --> 00:39:35.285]  There's no tomatoes.
[00:39:37.666 --> 00:39:38.046]  Okay.
[00:39:38.346 --> 00:39:38.726]  All right.
[00:39:38.986 --> 00:39:39.806]  There's no tomatoes.
[00:39:39.826 --> 00:39:40.446]  There's tomatoes.
[00:39:40.987 --> 00:39:41.647]  I got you.
[00:39:42.067 --> 00:39:42.887]  I understand.
[00:39:46.206 --> 00:39:49.187]  You know, it's like, well, our police wear black ski masks to protect them.
[00:39:49.748 --> 00:39:53.129]  Yeah, it's not to hide their identity like an executioner or an inquisitor.
[00:39:55.090 --> 00:39:56.091]  It's not for terror.
[00:39:56.111 --> 00:40:03.775]  Of course, you can read their actual manuals, and it's for intimidation more than anything, and to hide their identity.
[00:40:03.795 --> 00:40:06.756]  But let's just, again, just believe them when they tell us a black ski mask is loving.
[00:40:08.177 --> 00:40:09.217]  Again, it's not amnesty.
[00:40:09.297 --> 00:40:10.318]  It's just total amnesty.
[00:40:10.338 --> 00:40:13.339]  All right, let's go to calls.
[00:40:13.379 --> 00:40:14.820]  I said I'd go to your calls, and I want to take them.
[00:40:16.843 --> 00:40:17.203]  Take them.
[00:40:19.165 --> 00:40:21.287]  Let's go ahead and talk to Johnny in Hawaii.
[00:40:21.327 --> 00:40:22.588]  How are you doing, Johnny?
[00:40:23.068 --> 00:40:24.129]  Hey, thanks a lot, Alex.
[00:40:24.869 --> 00:40:30.173]  About three weeks ago, I sent you a PowerPoint presentation that we used at the facility I work with.
[00:40:30.193 --> 00:40:30.994]  It's an Army facility.
[00:40:31.054 --> 00:40:33.536]  It's on depleted uranium training.
[00:40:36.358 --> 00:40:37.779]  It's watered down.
[00:40:37.799 --> 00:40:42.303]  There's some false information and a few truths, but most of it is false.
[00:40:43.422 --> 00:40:46.224]  And basically what they're doing is... I'll ask my people where it is.
[00:40:46.284 --> 00:40:49.086]  They show me a lot of things and I get busy and don't see them.
[00:40:49.366 --> 00:40:51.608]  Yeah, I think it's the tips at InfoWars.com.
[00:40:51.928 --> 00:40:53.409]  Oh, you sent it to an email.
[00:40:53.449 --> 00:40:54.050]  You didn't mail it.
[00:40:54.070 --> 00:40:54.190]  Yeah.
[00:40:54.790 --> 00:41:00.034]  No, no, I just... You might send it again to, say, Aaron at InfoWars or Kevin at InfoWars.
[00:41:00.574 --> 00:41:00.895]  Okay.
[00:41:01.455 --> 00:41:02.596]  And feel free to use it.
[00:41:02.636 --> 00:41:03.997]  Just don't mention my name.
[00:41:04.017 --> 00:41:06.939]  But I work at an Army medical facility here in Hawaii.
[00:41:07.779 --> 00:41:11.262]  And basically we treat people coming back from...
[00:41:11.883 --> 00:41:18.045]  I like Afghanistan with various sicknesses, but they keep it pretty well secluded.
[00:41:18.105 --> 00:41:20.486]  You don't really get to talk to them or see them that often.
[00:41:20.666 --> 00:41:21.506]  Well, that's freedom.
[00:41:22.686 --> 00:41:23.907]  Yeah.
[00:41:24.387 --> 00:41:25.467]  Sicklety is good.
[00:41:25.547 --> 00:41:26.587]  It's good.
[00:41:26.607 --> 00:41:28.528]  You're talking about keeping people over there.
[00:41:29.268 --> 00:41:32.089]  I had a coworker whose husband was in the Air Force.
[00:41:32.549 --> 00:41:33.870]  He's just in the reserves.
[00:41:33.990 --> 00:41:38.611]  He's been extended enough time to be on active duty for four years now.
[00:41:39.477 --> 00:41:42.038]  And he keeps getting three-month extensions, six-month extensions.
[00:41:42.058 --> 00:41:44.599]  Yeah, let's be clear about it.
[00:41:44.619 --> 00:41:45.460]  Let's be clear about it.
[00:41:46.500 --> 00:41:48.081]  The American people don't want the war.
[00:41:48.641 --> 00:41:49.922]  It's unconstitutional.
[00:41:51.143 --> 00:41:53.784]  About 22% of the public does want it.
[00:41:54.304 --> 00:41:56.625]  And so when you're in an argument with them, go, hey, isn't this a free country?
[00:41:56.665 --> 00:41:57.446]  We don't want the war.
[00:41:57.466 --> 00:42:01.167]  And they go, President knows best.
[00:42:01.187 --> 00:42:02.448]  I mean, this is the attitude.
[00:42:02.468 --> 00:42:03.168]  I'm sorry, go ahead.
[00:42:03.789 --> 00:42:04.889]  Yeah, that's exactly right.
[00:42:05.309 --> 00:42:08.871]  But this depleted uranium is an enormous, enormous problem
[00:42:12.058 --> 00:42:12.578]  They admit it.
[00:42:12.838 --> 00:42:14.500]  We've got top scientists, doctors on.
[00:42:14.540 --> 00:42:15.120]  It's killing them.
[00:42:16.141 --> 00:42:19.243]  But a lot of these parents actually get off on their kids dying.
[00:42:19.283 --> 00:42:24.487]  They want to be given the little triangle flag, and they want to hang their dead kids' picture up and feel powerful.
[00:42:24.507 --> 00:42:26.248]  I'm telling you, it's human sacrifice.
[00:42:26.528 --> 00:42:27.869]  Deep down, they want their kids dead.
[00:42:28.510 --> 00:42:32.573]  Yeah, and they're keeping people over there that are still sick on active duty.
[00:42:33.257 --> 00:42:37.260]  And making them fight, you know, pretty much what they're doing in a lot of cases.
[00:42:37.300 --> 00:42:38.541]  That's how you abuse the troops.
[00:42:38.601 --> 00:42:40.943]  And again, abusing them is supporting them.
[00:42:41.183 --> 00:42:42.884]  Cutting them loose is good.
[00:42:43.184 --> 00:42:43.765]  And by the way...
[00:42:45.347 --> 00:42:49.049]  Folks, I know parents of troops, and they do get off on it.
[00:42:49.149 --> 00:42:50.310]  They get off on it.
[00:42:50.710 --> 00:42:51.790]  They think it's manly.
[00:42:51.830 --> 00:42:52.731]  They think it's tough.
[00:42:53.011 --> 00:42:55.252]  They think their sons and daughters are Rambo.
[00:42:55.672 --> 00:42:56.733]  They get off on it.
[00:42:56.993 --> 00:43:01.835]  The people that launched this war are dissolving our borders and dissolving our country.
[00:43:02.156 --> 00:43:04.797]  The people that launched this war are killing America.
[00:43:05.177 --> 00:43:06.638]  Your children should be here.
[00:43:07.318 --> 00:43:09.760]  They should be fighting for this country right now.
[00:43:10.120 --> 00:43:10.440]  Go ahead.
[00:43:10.979 --> 00:43:12.060]  Exactly right.
[00:43:12.100 --> 00:43:15.243]  This new draft has been in process for about three years or so.
[00:43:15.963 --> 00:43:20.868]  I believe that's going to also have people working in the U.S., just like the Nazi brown shirts were.
[00:43:21.328 --> 00:43:22.970]  Oh, no.
[00:43:23.430 --> 00:43:28.094]  Sir, we've written articles, and everything we claim we source with mainstream admissions.
[00:43:29.675 --> 00:43:34.940]  Sixty percent of the people in the new national service will serve domestically.
[00:43:35.607 --> 00:43:42.919]  In industries, it says you'll be assigned to companies, and the government will pay you to work inside critical infrastructure.
[00:43:43.300 --> 00:43:44.802]  We'll all have ID cards.
[00:43:45.283 --> 00:43:45.763]  It's going to be...
[00:43:47.066 --> 00:43:53.490]  Similar to what the make-work programs that Roosevelt had, but instead it's all going to be militarized.
[00:43:53.550 --> 00:44:02.416]  Look, ITT Technical Institute now is having to shut down teaching electronics because there aren't jobs in that, and it's cop and security guard.
[00:44:02.736 --> 00:44:04.037]  We're going into tyranny.
[00:44:04.417 --> 00:44:06.878]  The banks already own almost everything, folks.
[00:44:06.938 --> 00:44:07.939]  It isn't free market.
[00:44:08.299 --> 00:44:14.083]  Now it's about them controlling you, and they're going to gear the economy where they pay people in fiat money
[00:44:15.467 --> 00:44:16.567]  Yeah, that's exactly right, Alex.
[00:44:16.667 --> 00:44:19.108]  And one other thing about Timothy McVeigh, that is him.
[00:44:19.128 --> 00:44:21.989]  I mean, there's no question about it.
[00:44:22.229 --> 00:44:23.969]  That's Timothy McVeigh in those pictures.
[00:44:24.169 --> 00:44:27.950]  And that person you had on talking about meeting Timothy McVeigh, that's just...
[00:44:43.790 --> 00:44:50.595]  Well, you know, people say, well, his eyes look brown.
[00:44:50.615 --> 00:44:56.400]  If you go look at his official Army photo, and you go look at all the other admitted photos of him, even on national TV...
[00:44:57.561 --> 00:45:01.684]  On most cameras, unless you're right up close, you look at photos of me, my eyes look dark brown.
[00:45:01.704 --> 00:45:02.264]  They're blue.
[00:45:02.824 --> 00:45:05.006]  They're as blue as the Atlantic Ocean.
[00:45:05.566 --> 00:45:05.946]  Okay?
[00:45:06.266 --> 00:45:07.267]  I have dark blue eyes.
[00:45:07.307 --> 00:45:13.691]  The point is, first they say that, then we show all these side-by-side photos that are admittedly him, where they look brown.
[00:45:14.514 --> 00:45:15.995]  Then they say his ears aren't right.
[00:45:16.355 --> 00:45:17.556]  I hoped it wasn't right.
[00:45:17.836 --> 00:45:18.396]  I went and looked.
[00:45:18.456 --> 00:45:21.058]  It's the exact same ears, exact same teeth.
[00:45:21.418 --> 00:45:23.819]  And then we showed Army photos of him where he looks young.
[00:45:24.139 --> 00:45:25.260]  It is a spitting image.
[00:45:25.280 --> 00:45:26.401]  Did you see those new photos?
[00:45:26.801 --> 00:45:27.701]  Oh, yes, I sure did.
[00:45:27.721 --> 00:45:28.822]  Yeah, on your website.
[00:45:29.682 --> 00:45:31.164]  And another thing, he could still be alive.
[00:45:31.184 --> 00:45:32.325]  That might have just been a setup.
[00:45:32.446 --> 00:45:33.707]  You know, he may be somewhere.
[00:45:33.827 --> 00:45:38.273]  Well, mainstream reporters, two different ones, one out of Indiana and another national TV.
[00:45:38.313 --> 00:45:40.436]  I forget, one of them is a big famous black reporter.
[00:45:40.676 --> 00:45:41.297]  I forget his name.
[00:45:41.317 --> 00:45:42.198]  It'll pop in my head in a minute.
[00:45:42.218 --> 00:45:43.420]  But we have the articles posted.
[00:45:43.740 --> 00:45:45.022]  That was a few years ago, they supposedly.
[00:45:45.102 --> 00:45:47.605]  And he said when McVeigh rolled out, he was breathing.
[00:45:48.921 --> 00:45:51.242]  Another reporter said, yeah, he was breathing.
[00:45:51.602 --> 00:45:53.862]  Oh, yeah, they stage deaths, stage executions.
[00:45:54.382 --> 00:46:01.444]  They stage, quote, Al-Qaeda arrests all the time and claim they execute them in Pakistan, and they admit, oh, he's really a CIA operative, and they let him go.
[00:46:01.464 --> 00:46:03.965]  Oh, yeah, look, there's hundreds of cases.
[00:46:04.265 --> 00:46:05.465]  That's classic black-off.
[00:46:05.485 --> 00:46:07.525]  But look, we don't know.
[00:46:08.145 --> 00:46:09.146]  All I know is this.
[00:46:09.246 --> 00:46:10.326]  They did a voice test.
[00:46:11.084 --> 00:46:11.904]  High match.
[00:46:12.365 --> 00:46:16.166]  The scientist at a major university says that he would testify at McVeigh.
[00:46:16.686 --> 00:46:18.167]  We have those documents posted.
[00:46:18.487 --> 00:46:19.428]  It looks just like him.
[00:46:19.468 --> 00:46:21.688]  People say, well, he's a grade lower.
[00:46:22.889 --> 00:46:26.410]  Well, if he's in a black-off, he probably even had a fake name.
[00:46:27.051 --> 00:46:27.751]  Of course, yeah.
[00:46:28.231 --> 00:46:32.913]  He probably has a different face now, too, if he's still alive, and a new identity.
[00:46:34.114 --> 00:46:37.035]  You know, he could still be working for the government in some capacity.
[00:46:37.155 --> 00:46:37.555]  Who knows?
[00:46:38.616 --> 00:46:39.276]  Just the way they work.
[00:46:41.477 --> 00:46:42.578]  It's how they roll.
[00:46:42.638 --> 00:46:44.920]  Anything else from Hawaii?
[00:46:46.140 --> 00:46:47.001]  Well, one sideline.
[00:46:47.021 --> 00:46:49.803]  I did get one of those shortwave radios, and it's great.
[00:46:49.863 --> 00:46:52.845]  I got the Kato KA-08, I believe it is.
[00:46:53.846 --> 00:46:55.707]  And the sound is just tremendous.
[00:46:55.807 --> 00:46:57.648]  I'm really glad you're selling those.
[00:46:57.808 --> 00:46:57.968]  Good.
[00:46:58.008 --> 00:46:59.930]  How long did it take you to get it after you ordered it?
[00:47:00.990 --> 00:47:02.732]  Only about six, seven days.
[00:47:03.012 --> 00:47:03.512]  I was surprised.
[00:47:03.532 --> 00:47:04.393]  It came pretty fast.
[00:47:04.633 --> 00:47:05.133]  Okay.
[00:47:05.193 --> 00:47:05.974]  Over here, you know.
[00:47:06.214 --> 00:47:08.536]  Yeah, that's quick from here to Hawaii.
[00:47:08.816 --> 00:47:09.136]  Okay.
[00:47:09.156 --> 00:47:10.497]  Well, thank you, sir, for your support.
[00:47:12.199 --> 00:47:15.763]  Yeah, we're really trying to get our shipping down to the day of.
[00:47:17.425 --> 00:47:19.307]  But frankly, it's usually the day after.
[00:47:19.427 --> 00:47:20.689]  We have a small operation.
[00:47:21.630 --> 00:47:26.095]  But instead of being a week behind, we've really tried to bust our hind ends and get up to the day.
[00:47:26.475 --> 00:47:29.198]  Sometimes we ship stuff the day it comes in, usually the day after.
[00:47:32.007 --> 00:47:34.468]  So I hope that makes everybody happy.
[00:47:34.488 --> 00:47:41.430]  People have been demanding that because they're used to eBay and Amazon.com, this instant gratification.
[00:47:41.470 --> 00:47:42.410]  We're a small operation.
[00:47:42.450 --> 00:47:46.172]  We're trying to do what you want.
[00:47:47.152 --> 00:47:51.513]  We've actually had to hire another person on top of it just with our little bit of shipping.
[00:47:52.213 --> 00:47:53.974]  It's cost us a lot, but that's okay.
[00:47:54.414 --> 00:47:56.115]  As long as that makes you happy, that's good.
[00:47:57.395 --> 00:47:58.175]  But here's an example.
[00:47:58.695 --> 00:48:00.496]  Everybody's going to be off Monday and Tuesday.
[00:48:01.030 --> 00:48:04.012]  So then, you know, orders that come over the weekend aren't going to be shipped until Wednesday and Thursday.
[00:48:04.032 --> 00:48:09.056]  But, you know, the point is we're always getting caught right back up to the day shipping is our goal.
[00:48:09.516 --> 00:48:10.837]  And folks are really liking that.
[00:48:11.637 --> 00:48:14.059]  So that's what we've been trying to do.
[00:48:14.579 --> 00:48:17.461]  Let's talk to Omar in Toronto, Canada.
[00:48:17.501 --> 00:48:18.082]  Go ahead, Omar.
[00:48:18.642 --> 00:48:19.343]  Hey, how you doing, Alex?
[00:48:19.463 --> 00:48:19.783]  Good, sir.
[00:48:20.363 --> 00:48:23.485]  I know you're going to talk about the FEMA camps a little later.
[00:48:23.505 --> 00:48:30.070]  And just an observation, you know, one thing I never come across or hear too much is
[00:48:30.799 --> 00:48:34.281]  Well, there have actually been Japanese groups.
[00:48:34.301 --> 00:48:35.061]  Who's the star?
[00:48:35.581 --> 00:48:37.722]  What's the name of the Japanese actor from Star Trek?
[00:48:37.802 --> 00:48:39.523]  I need to get him on.
[00:48:39.543 --> 00:48:40.804]  I know he's been on some other shows.
[00:48:59.352 --> 00:49:00.873]  But, you know, just the average person.
[00:49:00.893 --> 00:49:02.694]  I just never hear too many.
[00:49:02.714 --> 00:49:15.041]  Well, culturally, and this isn't... Culturally, compared to what Americans were like 100 years ago, Asians generally are more passive to government corruption because they've been under it longer.
[00:49:15.521 --> 00:49:20.644]  But if you compare Asians in South Korea or even China, they're now less docile than Americans.
[00:49:21.064 --> 00:49:23.666]  They'll actually riot and fight and take on the police and win.
[00:49:24.466 --> 00:49:25.426]  I mean, not really.
[00:49:25.467 --> 00:49:27.948]  When I say land of the cowards, home of the slaves, folks...
[00:49:28.883 --> 00:49:31.424]  I'm saying that because that's really what we've become.
[00:49:31.444 --> 00:49:32.884]  That doesn't mean you individually.
[00:49:33.344 --> 00:49:39.046]  But as a nation, land of the coward, home of the slaves, and home of the surveilled, we need to turn that around.
[00:49:39.066 --> 00:49:42.387]  That's for sure.
[00:49:42.847 --> 00:49:46.468]  It's an uphill fight because there's so many different facets of this.
[00:49:46.568 --> 00:49:51.269]  I just can't stop thinking about when people always call and say, well, what can we do?
[00:49:51.409 --> 00:49:52.049]  What can we do?
[00:49:52.069 --> 00:49:57.431]  To me, I think really it's the Federal Reserve or the fiat system.
[00:49:57.451 --> 00:49:57.991]  We've got to
[00:49:58.891 --> 00:50:07.337]  Truncate it from there because without that, without the money to dangle the carrot in front of people, you know, they can't carry out their agenda.
[00:50:07.457 --> 00:50:07.977]  Exactly.
[00:50:08.037 --> 00:50:08.478]  It's simple.
[00:50:08.498 --> 00:50:13.301]  You've got private families that own a big private banking system worldwide who control the issuance of money.
[00:50:13.381 --> 00:50:14.562]  Of course they're going to run things.
[00:50:15.182 --> 00:50:16.483]  And they don't like free market.
[00:50:16.923 --> 00:50:17.844]  They're not capitalists.
[00:50:17.884 --> 00:50:23.688]  Everything they do is about monopoly and using their capital to smash competition.
[00:50:24.801 --> 00:50:31.903]  Well, I don't think there's just not a lot of Joe Bannisters, people like that, who are willing to walk away from a good job and make a stand.
[00:50:31.963 --> 00:50:33.004]  And it's going to get worse.
[00:50:33.104 --> 00:50:35.064]  See, that's another reason you want to make the economy bad.
[00:50:35.324 --> 00:50:37.425]  You've got plenty of people that do want to join the military.
[00:50:38.025 --> 00:50:41.907]  And as things get worse, you have to join the government to have a job.
[00:50:42.607 --> 00:50:44.167]  Well, up here, it's ridiculous.
[00:50:45.068 --> 00:50:46.068]  I'm in construction.
[00:50:46.208 --> 00:50:49.129]  I can't get people to show up for $30 an hour to start.
[00:50:50.549 --> 00:50:52.790]  That's how lazy people are up here.
[00:50:53.956 --> 00:51:03.864]  The Bible says, and I forget the exact passage, but Paul always reads it, says that the devil destroys civilizations with plenty.
[00:51:05.805 --> 00:51:06.566]  And I think that's true.
[00:51:06.606 --> 00:51:10.249]  We are destroyed by the incredible hard work of our ancestors.
[00:51:10.629 --> 00:51:12.030]  We're living off what they built.
[00:51:16.187 --> 00:51:19.349]  It's here, after a year in production and traveling to distant lands.
[00:51:19.729 --> 00:51:21.670]  My new film, Terror Storm, is complete.
[00:51:22.030 --> 00:51:29.734]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:51:30.414 --> 00:51:37.477]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:51:37.898 --> 00:51:40.819]  Terror Storm chronicles the lies that took us to war in Iran.
[00:51:41.199 --> 00:51:43.580]  The White House probing to disseminate fake news.
[00:51:43.981 --> 00:51:44.801]  NSA spies.
[00:51:46.251 --> 00:51:49.373]  The latest 9-11 information and much, much more.
[00:51:49.674 --> 00:51:53.176]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:51:53.657 --> 00:51:55.598]  It's an anthology of government crimes.
[00:51:55.939 --> 00:51:59.862]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:52:00.402 --> 00:52:07.768]  Get your copy today at Infowars.com or PrisonPlanet.com or by calling toll-free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[00:52:12.990 --> 00:52:13.771]  Terrorism.
[00:52:13.911 --> 00:52:14.671]  Terrorism.
[00:52:14.771 --> 00:52:15.612]  Chemical attacks.
[00:52:15.672 --> 00:52:16.352]  Dirty bombs.
[00:52:16.452 --> 00:52:16.853]  Fallout.
[00:52:16.953 --> 00:52:17.933]  Biological attack.
[00:52:18.133 --> 00:52:18.654]  Anthrax.
[00:52:18.734 --> 00:52:20.855]  And to top it all off, duct tape and plastic.
[00:52:21.115 --> 00:52:22.717]  Alarming words for our time.
[00:52:22.957 --> 00:52:25.458]  But how do you protect your family during such a crisis?
[00:52:25.859 --> 00:52:40.488]  The video, Sheltering in Place, Surviving Acts of Terrorism from Biological, Chemical, and Radioactive Fallout, was developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:52:40.528 --> 00:52:40.849]  government.
[00:52:41.009 --> 00:52:42.830]  Anyone can follow the simple instructions.
[00:52:43.190 --> 00:52:49.131]  It's presented by a housewife as they walk you step-by-step through the process of preparing your home as a shelter.
[00:52:49.271 --> 00:52:53.792]  If you're not the type who waits till it's too late, then you need the video sheltering in place.
[00:52:54.052 --> 00:53:01.533]  Get the critical information you need now for only $29 plus shipping by calling New Millennium at 888-803-4438 and tell them Alex Jones sent you.
[00:53:01.553 --> 00:53:03.514]  That's 888-803-4438 or order on the web at murkywater.com.
[00:53:13.160 --> 00:53:15.503]  Hello friends, Alex Jones here with an important question.
[00:53:15.763 --> 00:53:17.785]  When was the last time you used pure soap?
[00:53:17.945 --> 00:53:25.033]  I mean real hard to find all natural pure soap that contains no dyes, perfumes, deodorants, detergents, or other dangerous toxins.
[00:53:25.293 --> 00:53:33.882]  The Calvin Pure Soap Company, for the past 57 years, has been making triple concentrated pure soaps exclusively for healthcare professionals and hospitals.
[00:53:34.242 --> 00:53:38.945]  Now for the first time, Calvin Pure Soap is available factory direct to you and your family.
[00:53:39.085 --> 00:53:43.147]  That's great news because Calvin Pure Soap is made from all natural ingredients.
[00:53:43.347 --> 00:53:45.789]  It's earth-friendly and completely environmentally safe.
[00:53:45.969 --> 00:53:50.331]  So if you want yesterday's values today for good old-fashioned pure soap, call 1-800-340-7091.
[00:53:53.753 --> 00:53:54.253]  We're good to go.
[00:54:27.555 --> 00:54:54.071]  Have a holly jolly Christmas It's the best time of the year I don't know if there'll be snow But have a cup of cheer Have a holly jolly Christmas And when you walk down the street Say hello to friends you know And everyone you meet
[00:54:55.706 --> 00:54:57.327]  Welcome back.
[00:54:57.347 --> 00:55:09.095]  Yeah, I really shouldn't be... I really shouldn't be here looking at this news article about a
[00:55:23.635 --> 00:55:25.697]  FEMA camp, running outside Austin, Texas.
[00:55:29.520 --> 00:55:32.502]  I really shouldn't be upset about all this.
[00:55:33.663 --> 00:55:34.123]  It's good.
[00:55:34.764 --> 00:55:35.104]  It's good.
[00:55:36.025 --> 00:55:37.766]  The trip's filled with DU.
[00:55:39.267 --> 00:55:40.909]  It's a vitamin.
[00:55:40.989 --> 00:55:43.431]  It's a mineral.
[00:55:43.531 --> 00:55:45.612]  It's a bone-boosting fortification.
[00:55:45.793 --> 00:55:47.514]  And I've been wrong.
[00:55:49.095 --> 00:55:50.276]  The government doesn't lie to us.
[00:55:50.336 --> 00:55:50.676]  It's good.
[00:55:50.716 --> 00:55:51.557]  It's run by good people.
[00:55:51.837 --> 00:55:52.617]  There's no corruption.
[00:55:52.637 --> 00:55:53.618]  There's no stealing going on.
[00:55:53.638 --> 00:55:54.758]  There's not trillions missing.
[00:55:55.739 --> 00:55:57.420]  They're not building FEMA camps everywhere.
[00:55:57.460 --> 00:55:58.681]  The border isn't being destroyed.
[00:55:58.901 --> 00:55:59.621]  Everything's fine.
[00:55:59.741 --> 00:56:00.221]  I'm wrong.
[00:56:02.383 --> 00:56:02.823]  I admit it.
[00:56:02.843 --> 00:56:04.444]  George Bush is a good Christian man.
[00:56:04.504 --> 00:56:08.606]  There aren't gay prostitutes being brought in continually to the White House or to Bohemian Grove.
[00:56:09.487 --> 00:56:10.767]  And Bohemian Grove doesn't exist.
[00:56:10.787 --> 00:56:11.948]  Skull and Bones doesn't exist.
[00:56:12.268 --> 00:56:13.449]  The Capitol isn't a giant...
[00:56:14.128 --> 00:56:14.568]  We're good to go.
[00:56:14.588 --> 00:56:15.008]  We're good to go.
[00:56:15.028 --> 00:56:15.849]  We're good to go.
[00:56:41.272 --> 00:56:42.353]  Holly jolly Christmas.
[00:56:42.413 --> 00:56:43.734]  I do think it's a nice time of the year.
[00:56:43.754 --> 00:56:46.316]  I have to try to save my country.
[00:56:48.898 --> 00:56:53.541]  You did hear a caller earlier from Hawaii talk about how great his Kato radio is.
[00:56:54.141 --> 00:56:56.303]  These are really excellent radios.
[00:56:56.343 --> 00:56:58.104]  They're as good or better than Sanjian.
[00:56:58.124 --> 00:57:00.206]  I think they're kind of like Sanjian clones.
[00:57:02.327 --> 00:57:03.728]  And they're a lot less.
[00:57:04.028 --> 00:57:06.530]  Let's say a $109 radio would normally be about $150 if it was Sanjian.
[00:57:06.550 --> 00:57:06.610]  And...
[00:57:11.687 --> 00:57:14.528]  We sell them for less than anybody else I know of out there.
[00:57:14.568 --> 00:57:15.629]  You can go check the prices.
[00:57:16.949 --> 00:57:23.652]  Really big discounts on these Kato radios we're carrying.
[00:57:23.672 --> 00:57:26.753]  We carry five different ones up on InfoWars.com.
[00:57:26.793 --> 00:57:30.395]  And that way, when you're away from your computer, or you don't have an AM or FM in your area, you can tune in.
[00:57:30.495 --> 00:57:32.195]  WWCR is a great four-way station.
[00:57:32.215 --> 00:57:34.736]  It comes in grade 11 to 2 during the day, 9 to midnight.
[00:57:34.756 --> 00:57:37.998]  We've got frequencies posted on the website, InfoWars.com.
[00:57:40.330 --> 00:57:41.511]  And it's good to have an emergency.
[00:57:41.531 --> 00:57:44.554]  You get hundreds of foreign radio stations, many of them in English.
[00:57:45.254 --> 00:57:47.256]  The Dutch and the French have English services.
[00:57:47.696 --> 00:57:50.238]  The British have a lot of radio stations on shortwave.
[00:57:50.699 --> 00:57:56.884]  You can hear a whole world of Patriot and Truth Radio information on shortwave as well.
[00:57:58.085 --> 00:58:01.007]  So I would encourage you to get some of these radios.
[00:58:01.047 --> 00:58:01.988]  Go peruse the website.
[00:58:03.121 --> 00:58:08.646]  Also, all of my films, the first seven that I never got on DVD, kept saying, put them on DVD, put them on DVD.
[00:58:08.666 --> 00:58:14.571]  The Matrix of Evil, the Police State Films, America Destroyed by Design, The Masters of Terror.
[00:58:15.032 --> 00:58:16.453]  They're all on DVD now.
[00:58:16.513 --> 00:58:24.260]  In fact, you can get all three of my Police State Films, about seven hours, three different discs in one box set for $34.95.
[00:58:26.021 --> 00:58:27.022]  That's almost half off.
[00:58:27.062 --> 00:58:27.342]  It's 45% off.
[00:58:29.714 --> 00:58:39.723]  So take advantage of that up on Infowars.com or call toll free 888-253-3139.
[00:58:39.743 --> 00:58:42.285]  888-253-3139.
[00:58:42.305 --> 00:58:48.130]  And you can get those Cato radios at Infowars.com as well.
[00:58:48.871 --> 00:58:50.032]  All right, we'll start the second hour.
[00:58:50.072 --> 00:58:50.893]  Go to some of your calls.
[00:58:50.913 --> 00:58:53.375]  Then we'll get Dr. Jerome Corsi on about the North American Union.
[00:58:55.788 --> 00:59:01.450]  This broadcast is available on MP3 CD format at GCNlive.com or call toll free 877-300-7645.
[00:59:01.590 --> 00:59:02.570]  Terrorism!
[00:59:02.750 --> 00:59:07.191]  Terrorism!
[00:59:07.311 --> 00:59:08.191]  Chemical attacks!
[00:59:08.231 --> 00:59:08.912]  Dirty bombs!
[00:59:08.992 --> 00:59:09.432]  Fallout!
[00:59:09.492 --> 00:59:10.512]  Biological attack!
[00:59:10.672 --> 00:59:11.212]  Anthrax!
[00:59:11.292 --> 00:59:13.433]  And to top it all off, duct tape and plastic!
[00:59:13.673 --> 00:59:15.273]  Alarming words for our time!
[00:59:15.513 --> 00:59:22.715]  But how do you... Big Brother.
[00:59:23.336 --> 00:59:24.276]  Mainstream Media.
[00:59:25.109 --> 00:59:26.209]  Government cover-ups.
[00:59:26.850 --> 00:59:27.670]  You want answers?
[00:59:28.430 --> 00:59:29.310]  Well, so does he.
[00:59:29.330 --> 00:59:33.731]  He's Alex Jones on the GCN Radio Network.
