[00:00:00.129 --> 00:00:00.569]  D.I.C.
[00:21:44.250 --> 00:21:47.671]  I have the article right here, my friends.
[00:21:48.271 --> 00:21:55.333]  Okay, go to PrisonPlanet.com if you want to read this, if you want to see this, if you want to find out the truth and the reality.
[00:21:55.513 --> 00:21:57.874]  If you'd like to join us on air and talk about this, toll free 877-590-5525.
[00:21:57.894 --> 00:21:59.074]  That's 877-590-KLBJ or 836-0590 here in Central Tejas.
[00:22:09.904 --> 00:22:11.425]  This is amazing!
[00:22:11.505 --> 00:22:13.466]  Do you hear what we're telling you?
[00:22:13.506 --> 00:22:15.347]  Do you hear what was just reported?
[00:22:15.667 --> 00:22:20.750]  Later when we get back, just briefly, and then we'll go to your calls, I will actually read to you what the poll question was exactly.
[00:22:21.651 --> 00:22:24.373]  In case you don't have internet or aren't going to have the time to go look this up.
[00:22:24.753 --> 00:22:33.278]  And then again later, towards the end of the show in the second hour, just teasing you now, Rush Limbaugh attacks Democratic cook Alex Jones on 9-11.
[00:22:33.358 --> 00:22:33.578]  Oh yeah!
[00:22:36.081 --> 00:22:36.682]  So that's coming up.
[00:22:36.702 --> 00:22:41.145]  I also did confront John Ashcroft, former Attorney General, earlier this week on 9-11.
[00:22:41.165 --> 00:22:41.866]  We'll play that.
[00:22:43.066 --> 00:22:47.090]  And we're going to... Well, there's just so much coming up.
[00:22:47.690 --> 00:22:49.832]  It is a true information overload.
[00:22:49.852 --> 00:22:52.754]  We're talking blood pumping, nuclear powered, enlightenment.
[00:22:52.774 --> 00:22:53.214]  Stay with us.
[00:23:01.181 --> 00:23:04.323]  We understand that decisions related to health can be overwhelming.
[00:23:04.563 --> 00:23:11.367]  That is why at ResearchedHerbs.com we take pride in offering you herbs whose safety and effectiveness have been proven time and time again.
[00:23:11.827 --> 00:23:25.175]  For example, did you know that Live 52, the top-selling natural herbal supplement for liver diseases since 1930, is backed by over 300 research studies and clinical trials and prescribed by more than 200,000 health professionals worldwide?
[00:23:25.495 --> 00:23:29.217]  In fact, the effectiveness of all the herbs featured on ResearchedHerbs.com
[00:23:29.631 --> 00:23:37.773]  Including those for cholesterol, blood pressure, diabetes, arthritis, cirrhosis, and hepatitis, among others, is extremely well documented.
[00:23:38.213 --> 00:23:45.055]  Our website, researchedherbs.com, was created to empower you with the information and answers you need to make the right health decisions.
[00:23:45.475 --> 00:23:47.816]  Researched and proven herbs at great prices.
[00:23:47.996 --> 00:23:51.337]  Visit us online at researchedherbs.com or call 1-800-845-3841 for more information.
[00:23:51.357 --> 00:23:51.617]  That's 1-800-845-3841.
[00:24:01.434 --> 00:24:03.796]  Hello friends, Alex Jones here with an important question.
[00:24:04.036 --> 00:24:06.058]  When was the last time you used pure soap?
[00:24:06.218 --> 00:24:13.365]  I mean real hard to find all natural pure soap that contains no dyes, perfumes, deodorants, detergents, or other dangerous toxins.
[00:24:13.525 --> 00:24:22.053]  The Calvin Pure Soap Company, for the past 57 years, has been making triple concentrated pure soaps exclusively for healthcare professionals and hospitals.
[00:24:22.193 --> 00:24:22.413]  Yes!
[00:24:22.433 --> 00:24:27.118]  Now for the first time, Calvin Pure Soap is available factory direct to you and your family.
[00:24:27.258 --> 00:24:33.944]  That's great news because Calvin Pure Soap is made from all natural ingredients, is earth friendly, and completely environmentally safe.
[00:24:34.105 --> 00:24:38.449]  So if you want yesterday's values today for good old-fashioned pure soap, call 1-800-340-7091.
[00:24:41.852 --> 00:24:45.374]  Save up to 85% off supermarket and retail store prices.
[00:24:45.574 --> 00:24:48.015]  Call today for a Calbin Soap catalog at 1-800-340-7091.
[00:24:48.035 --> 00:24:48.996]  That's 1-800-340-7091 or on the web at CalbinPureSoap.com.
[00:24:49.016 --> 00:24:51.597]  Try Pure Soap once and I'll guarantee you'll never use anything else.
[00:25:00.794 --> 00:25:03.437]  Is your child disrespectful, defiant, or obnoxious?
[00:25:03.757 --> 00:25:05.940]  Does everything turn into an argument with your kid?
[00:25:06.280 --> 00:25:07.982]  I'm behavioral therapist James Lehman.
[00:25:08.202 --> 00:25:12.347]  I'll help you turn your child's behavior around right now with the Total Transformation.
[00:25:12.848 --> 00:25:17.753]  After the Total Transformation, there's no more arguing, no more lecturing, no more backtalking.
[00:25:18.134 --> 00:25:20.036]  Now when I ask him to do something, he does it.
[00:25:20.396 --> 00:25:25.559]  We've learned verbiage from the Total Transformation Program, and it's almost like magic.
[00:25:25.879 --> 00:25:28.301]  If you say those words, they stop arguing.
[00:25:28.381 --> 00:25:33.664]  Defiance, backtalking, lying, acting out in school, even problems with ADD and ADHD.
[00:25:33.884 --> 00:25:37.366]  The Total Transformation will help you solve even the worst behavior problems.
[00:25:37.766 --> 00:25:42.248]  I guarantee your child will listen to you again and you'll get peace and sanity back in your home.
[00:25:42.648 --> 00:25:47.550]  Call now and get how to turn your child's attitude around in one minute or less free with your order 1-800-373-0402 1-800-373-0402 Call now 1-800-373-0402 1-800-373-0402
[00:26:00.442 --> 00:26:04.024]  Do you know where the 78 potentially active volcanoes in the U.S.
[00:26:04.064 --> 00:26:04.564]  are located?
[00:26:04.764 --> 00:26:08.165]  And do you know the locations of the top 300 prime terrorist targets?
[00:26:08.386 --> 00:26:13.088]  You can find these answers and more in the new interactive CD book, Prudent Places USA.
[00:26:13.368 --> 00:26:18.370]  With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas.
[00:26:18.630 --> 00:26:24.652]  Brewing environmental catastrophes, the safest cities, the best places for solar and wind energy, and much, much more.
[00:26:24.932 --> 00:26:39.358]  Complete with three gigabytes of detailed information on each of 3,000 plus counties in the U.S., including 550 high-resolution full-color maps and full-color photographs, as well as detailed information and analysis to help you zero in on the best places to live.
[00:26:39.598 --> 00:26:44.220]  The ideal location for cabins and vacation homes, as well as safe and unsafe areas.
[00:26:44.520 --> 00:26:50.465]  Get Prudent Places USA for only $49 plus shipping by calling New Millennium at 888-803-4438.
[00:26:50.926 --> 00:26:53.408]  That's 888-803-4438.
[00:26:53.848 --> 00:26:58.472]  To order on the web or at berkeywater.com.
[00:27:00.434 --> 00:27:05.699]  Thank you for listening to GCN.
[00:27:05.719 --> 00:27:07.580]  Visit GCNlive.com today.
[00:27:26.312 --> 00:27:29.638]  Again, I want to welcome all of our new affiliates that turned us on this week.
[00:27:29.858 --> 00:27:34.527]  And to tell them we're going to even have more liners and fancy bells and whistles for you next week.
[00:27:35.680 --> 00:27:41.106]  WLUV 1520, and that's down in Love Park, Illinois, covering much of Chicago.
[00:27:41.727 --> 00:27:42.408]  Great folks.
[00:27:42.888 --> 00:27:48.415]  WCER radio out of Canton, Ohio, covering part of four states and a lot of major cities.
[00:27:48.835 --> 00:27:49.596]  Huge station.
[00:27:50.177 --> 00:27:53.061]  WCER 900 AM KCCT.
[00:27:53.381 --> 00:27:54.643]  It's down in Corpus Christi.
[00:27:55.443 --> 00:28:05.707]  Also, KGEZ Z600 AM in Kalispell, Montana, and a lot of other stations that are going to be turning us on, but this is really our first official syndicated show.
[00:28:05.747 --> 00:28:13.150]  We did the public test run last week by the first syndicated program out of the studios of NewsRadio 590, KLBJ.
[00:28:13.170 --> 00:28:21.393]  We're very thankful for all the affiliates, especially KLBJ for the open door and all the hospitality that Mark Caesar and everybody else has shown us here.
[00:28:22.541 --> 00:28:22.902]  All right.
[00:28:23.362 --> 00:28:25.584]  I know we've got pretty much loaded phone lines.
[00:28:25.604 --> 00:28:32.692]  The toll-free number to join us is 877-590-5525 or 877-590-KLBJ, locally, 836-0590.
[00:28:33.413 --> 00:28:39.860]  Let me just recap and cover a little bit more of our top story for you today, then I'll mention a few others and go to your calls.
[00:28:40.400 --> 00:28:47.024]  A scientific poll, 84% reject official 9-11 story, only 16% now believe official fable.
[00:28:47.304 --> 00:28:52.166]  According to the New York Times CBS News Poll, Truth Movement has the huge majority of opinion.
[00:28:52.466 --> 00:28:54.627]  How will the Bush Cabal react?
[00:28:55.868 --> 00:28:57.229]  By Steve Watson and Alex Jones.
[00:28:57.249 --> 00:29:02.432]  This was picked up, of course, by the New York Times and CBS News, but they seem to bury it on the newscast and in the Times.
[00:29:02.472 --> 00:29:03.592]  This is big news, folks.
[00:29:04.152 --> 00:29:05.173]  Now here was the question.
[00:29:06.036 --> 00:29:14.502]  Do you think members of the Bush Administration are telling the truth, are mostly telling the truth, but hiding something, or are they mostly lying?
[00:29:14.522 --> 00:29:16.423]  16% said telling the truth.
[00:29:16.443 --> 00:29:17.404]  53% said hiding something.
[00:29:17.924 --> 00:29:18.544]  Mostly lying said 28%.
[00:29:18.584 --> 00:29:19.025]  Not sure said 3%.
[00:29:19.065 --> 00:29:21.506]  84% do not abide the official story.
[00:29:30.572 --> 00:29:32.613]  And it's only going to get worse.
[00:29:32.673 --> 00:29:35.235]  Now, a few months ago, you notice this is sliding quickly.
[00:29:35.275 --> 00:29:36.155]  This is exponential.
[00:29:36.175 --> 00:29:37.096]  This is geometric.
[00:29:37.536 --> 00:29:43.779]  Just a few months ago, it was 36% believe criminal elements of the government orchestrated the attack.
[00:29:43.819 --> 00:29:45.600]  That was the question.
[00:29:45.881 --> 00:29:48.202]  68% believe they're covering up and could be involved.
[00:29:48.829 --> 00:29:50.290]  Your goose is cooked, okay?
[00:29:50.730 --> 00:29:53.392]  You can sit up there and call us kooks and make fun of us.
[00:29:53.432 --> 00:30:04.398]  We've got former Air Force generals and former CIA section chiefs and Reagan administration officials and German defense ministers and number three in Blair's government and official U.S.
[00:30:04.418 --> 00:30:06.560]  government documents calling for carrying out the attacks.
[00:30:07.020 --> 00:30:15.485]  Vanity Fair, South Park, The Washington Post, Lord Limbaugh, the liberals, the conservatives, they're all attacking us.
[00:30:16.025 --> 00:30:20.827]  Because we know the facts, we know the evidence, and we're informed about government-sponsored terrorism.
[00:30:21.167 --> 00:30:22.887]  We know Al-Qaeda is CIA.
[00:30:23.628 --> 00:30:24.488]  That's mainstream.
[00:30:24.548 --> 00:30:29.490]  I mean, there's a best-selling book out, a new one out, by Brzezinski calling it Operation Cyclone.
[00:30:29.670 --> 00:30:30.790]  They created the whole thing!
[00:30:31.528 --> 00:30:33.130]  And by the way, they never turned loose of it.
[00:30:33.330 --> 00:30:49.906]  The Republicans' own Senate report from 1999 admits that Bill Clinton's State Department hired bin Laden to attack the Serbs and blow up Serb schools and school buses, and when the Serbs fought back, we went in there and blew them to bits and used DU on them, depleted uranium, and took over their country.
[00:30:50.627 --> 00:30:50.887]  Again.
[00:30:51.843 --> 00:30:54.385]  Now, in that case, they really used Al-Qaeda.
[00:30:54.445 --> 00:30:55.146]  Not in the case of 9-11.
[00:30:55.166 --> 00:30:57.849]  Al-Qaeda operatives, who were double U.S.
[00:30:57.969 --> 00:31:01.632]  agents, believed they were taking part in drills on those aircraft, were nerve-gassed.
[00:31:01.852 --> 00:31:03.734]  The planes were then flown by remote control in the buildings.
[00:31:03.934 --> 00:31:04.875]  And then we have an official U.S.
[00:31:04.895 --> 00:31:07.758]  government document, Northwoods, that breaks down how they would do things like that.
[00:31:08.218 --> 00:31:10.180]  ABC News, Baltimore Sun have reported on it.
[00:31:10.220 --> 00:31:10.941]  It is not denied.
[00:31:11.221 --> 00:31:12.982]  Again, hidden in plain view.
[00:31:14.617 --> 00:31:16.600]  This is huge, ladies and gentlemen.
[00:31:16.640 --> 00:31:19.725]  And again, I'd like to get your response directly on this.
[00:31:19.785 --> 00:31:21.027]  I see calls about North Korea.
[00:31:21.528 --> 00:31:22.810]  I see calls about Ground Zero.
[00:31:22.890 --> 00:31:25.394]  I see calls about One World Government.
[00:31:25.915 --> 00:31:27.157]  I see calls about Iraq.
[00:31:27.197 --> 00:31:28.499]  And we'll talk about whatever you want.
[00:31:28.559 --> 00:31:29.561]  I don't screen your calls.
[00:31:30.214 --> 00:31:34.437]  But I would like to hear from people on this subject, because I'm excited about it.
[00:31:34.717 --> 00:31:35.938]  Later, I'll get into North Korea.
[00:31:35.978 --> 00:31:37.198]  They conducted another nuclear test.
[00:31:37.218 --> 00:31:39.660]  There's questions on whether this test was truly atomic.
[00:31:40.280 --> 00:31:43.562]  Also, the Bush has now changed the reason that we went to war in Iraq for the fourth time.
[00:31:43.923 --> 00:31:45.223]  AP even has pointed this out.
[00:31:45.244 --> 00:31:49.026]  We'll get into the Associated Press, which is not normally critical, but they're just reporting the facts.
[00:31:49.486 --> 00:31:51.787]  And the White House says they're upbeat about GOP prospects.
[00:31:52.227 --> 00:31:59.949]  All the polls show they're going to lose 30 plus seats in the House, 5 to 7 seats in the Senate, but they don't have to worry because they have the special Diebold machines.
[00:31:59.989 --> 00:32:00.369]  That's why.
[00:32:00.389 --> 00:32:05.050]  I've been caught red-handed stealing elections coast-to-coast, so we'll cover that later too.
[00:32:05.130 --> 00:32:07.871]  Also, they're saying 9-11 freethers should be arrested now.
[00:32:07.931 --> 00:32:09.352]  Bill O'Reilly is out saying that.
[00:32:11.112 --> 00:32:12.512]  Wow, that's freedom!
[00:32:12.532 --> 00:32:14.593]  86% of us need to be arrested for asking questions?
[00:32:14.673 --> 00:32:14.953]  Okay.
[00:32:15.633 --> 00:32:16.334]  Sounds about right.
[00:32:16.674 --> 00:32:17.914]  So that's coming up too.
[00:32:18.894 --> 00:32:21.615]  Let's go ahead and take a couple calls.
[00:32:22.395 --> 00:32:27.757]  Let's talk to Clay in Southern California.
[00:32:27.797 --> 00:32:29.458]  Clay, thank you for joining us.
[00:32:31.079 --> 00:32:31.899]  Hey Alex, how are you doing?
[00:32:31.959 --> 00:32:32.239]  Good, sir.
[00:32:34.040 --> 00:32:36.581]  I wanted to talk about North Korea and Iran.
[00:32:37.741 --> 00:32:39.842]  Sure, go ahead, hit me.
[00:32:40.122 --> 00:32:47.525]  I wanted to ask you if you thought, since North Korea did the nuclear test, if they would just
[00:32:48.354 --> 00:32:51.555]  Go ahead and attack both North Korea and Iran.
[00:32:52.615 --> 00:33:02.036]  Well, the neocons, and it's even in the AP article I mentioned, are spinning it like, this proves we need to be in Iraq, because North Korea tested a nuke and is threatening to nuke us.
[00:33:02.417 --> 00:33:16.339]  By the way, the day after they tested it, last Sunday, as we were here on air, they were basically testing it right around that time, they then came out the next day and said, if you have sanctions on us, we are targeting the northern United States, because they'll shoot the Taepung Dong-2 missiles over the ice cap.
[00:33:16.679 --> 00:33:20.321]  And our government's response is, oh, we'll grovel, we love you, oh!
[00:33:20.541 --> 00:33:23.903]  And then they spun it and said, this shows it's good that we're in Iraq.
[00:33:24.203 --> 00:33:24.423]  What?
[00:33:24.543 --> 00:33:26.945]  Iraq's done nothing, had no weapons, they knew it.
[00:33:27.265 --> 00:33:30.707]  Their own White House memo says they knew they didn't have it, would never get it.
[00:33:31.127 --> 00:33:40.972]  Now they want to go into Iran, that their own national intelligence assessment by 14 federal intelligence agencies, excuse me, 15, says that they won't have it for nine plus years.
[00:33:41.801 --> 00:33:42.902]  And they don't care.
[00:33:43.182 --> 00:33:44.543]  No, we've got to go into Iran.
[00:33:44.643 --> 00:33:46.144]  Eisenhower's steaming there.
[00:33:46.164 --> 00:33:47.185]  There's other aircraft carriers.
[00:33:47.205 --> 00:33:48.546]  They want to attack them anytime.
[00:33:49.206 --> 00:33:51.848]  Oh, but, oh no, North Korea's not a threat.
[00:33:52.508 --> 00:33:59.093]  I mean, how can they say we've got to attack Iran, but North Korea's threatening to nuke us and just tested a nuke.
[00:33:59.633 --> 00:34:05.017]  China threatens to nuke us, so we give them all of our factories, because they're not going into those countries because they're not pushovers.
[00:34:05.217 --> 00:34:11.061]  They want to go into Iran because compared to North Korea and China, they are pushovers, and it's totally disgusting.
[00:34:11.081 --> 00:34:11.621]  Your take on it.
[00:34:13.322 --> 00:34:14.763]  I mean, you pretty much got it.
[00:34:14.783 --> 00:34:19.826]  I'm just kind of curious, you know, when are they going to attack Iran?
[00:34:19.986 --> 00:34:26.871]  Either they're going to attack them late this month, or they'll attack them in the next year, or they may be forced to back off of it.
[00:34:27.111 --> 00:34:35.897]  But the prime, new moon, no moon, perfect for night vision, perfect for stealth bombers, perfect to attack, would be in late October.
[00:34:35.937 --> 00:34:37.338]  So we'll find out real soon.
[00:34:37.358 --> 00:34:39.939]  You know, I don't have my new clock in front of me.
[00:34:39.959 --> 00:34:40.800]  I should have brought it in here.
[00:34:41.986 --> 00:34:42.566]  It's a new show.
[00:34:43.066 --> 00:34:43.406]  Two and a half.
[00:34:43.426 --> 00:34:44.787]  Let's try to get one more in here.
[00:34:45.147 --> 00:34:46.387]  Dan, calling from New York.
[00:34:46.407 --> 00:34:48.308]  He says he was at Ground Zero with me.
[00:34:48.628 --> 00:34:49.948]  Dan, good to have you on board with us.
[00:34:49.968 --> 00:34:50.269]  Welcome.
[00:34:50.929 --> 00:34:52.209]  Thank you, Alex.
[00:34:52.269 --> 00:34:53.870]  Yes, I was down there on 9-11.
[00:34:54.150 --> 00:34:58.651]  It was probably the most significant thing that I've ever done in my life.
[00:34:59.071 --> 00:35:01.932]  It was amazing to be down there alongside you.
[00:35:02.312 --> 00:35:09.835]  And just for anyone who is listening in the New York, New Jersey, Connecticut area, we do go back down there every Saturday from one to four.
[00:35:11.570 --> 00:35:12.954]  There's usually about 15 to 25 of us and um...
[00:35:15.362 --> 00:35:21.726]  To reiterate properly, the poll results, that is exactly the reaction that I get from anyone who I speak to.
[00:35:21.766 --> 00:35:23.888]  Yeah, yeah, let's be clear, let's be clear.
[00:35:23.908 --> 00:35:38.358]  2,000 of us down there, over those two days, literally, I would say 70% of the police, and we have this on video by the way, a new film I'm making, and what, 99% of the firefighters, I mean, I have like police captains going, hey, do you know about Northwoods and Inside John?
[00:35:38.378 --> 00:35:40.919]  They're going, yes, thank you, keep it up, we know!
[00:35:41.120 --> 00:35:44.322]  And I'm like going, my God, cops on video are seeing this?
[00:35:44.935 --> 00:35:45.115]  Yeah.
[00:35:45.135 --> 00:35:48.959]  I mean, Austin cops may not be awake, but let me tell you, New York cops are.
[00:35:49.680 --> 00:35:50.361]  Oh, absolutely.
[00:35:50.401 --> 00:35:56.327]  I mean, I'm from Long Island, actually, and on the way home from the city, I sat and talked to a fellow police, um, fireman.
[00:35:57.284 --> 00:35:57.904]  We're good to go.
[00:36:20.822 --> 00:36:24.704]  You know, and be responsible, technically, for the death of... No, I hear you.
[00:36:24.744 --> 00:36:27.606]  Hey, be sure and say hi to Luke for me when you're out there at those demonstrations.
[00:36:28.106 --> 00:36:28.806]  Absolutely, man.
[00:36:28.826 --> 00:36:29.747]  I see him every weekend.
[00:36:29.767 --> 00:36:30.827]  Alright, God bless you.
[00:36:31.287 --> 00:36:32.368]  Good to have you on board with us.
[00:36:32.588 --> 00:36:33.509]  More calls on the other side.
[00:36:33.529 --> 00:36:34.009]  Tons of news.
[00:36:34.862 --> 00:36:36.043]  Uh, let me just give you a little tidbit here.
[00:36:36.103 --> 00:36:38.604]  I didn't mention that it was Donald Rumsfeld and Butch Sr.
[00:36:38.644 --> 00:36:43.066]  and James Baker that armed North Korea with the nuke materials, the reactors, the missile secrets.
[00:36:43.266 --> 00:36:44.646]  Oh, by the way, that's APBBC.
[00:36:44.666 --> 00:36:45.847]  It's all over the news now.
[00:36:46.127 --> 00:36:50.689]  They've armed them, they're threatening to nuke us, but that's not the threat, and our president's good.
[00:36:50.849 --> 00:36:52.050]  Let's attack Iran!
[00:36:52.370 --> 00:36:54.051]  Give me a break, we'll be back!
[00:36:56.872 --> 00:36:59.273]  Yo, top of the crown, raise the queen to fame.
[00:37:00.566 --> 00:37:04.474]  People who use Cardivite know about the pollutants in our body and want them out.
[00:37:04.695 --> 00:37:08.102]  For over five years, Cardivite has proven itself time-tested.
[00:37:08.262 --> 00:37:11.709]  Here's Dr. Mattson, a naturopathic doctor's thoughts on Cardivite.
[00:37:12.003 --> 00:37:15.225]  In our mind, there isn't such a great big mystery to disease anymore.
[00:37:15.245 --> 00:37:20.748]  It's basic tenet of yeast in the gut and metals in the liver covers at least 70-80% of the disease that we see.
[00:37:20.768 --> 00:37:30.393]  When we do our program, you know, in herbal formulas like cardivite and you see someone who could barely walk up a hill now going for regular jog a few months later, we know we're doing something right.
[00:37:30.533 --> 00:37:31.834]  It's a well thought out formula.
[00:37:31.854 --> 00:37:37.317]  I mean, the idea of it working on yeast and metals both at the same time and liver function is dead on.
[00:37:37.797 --> 00:37:42.240]  You'll find I think that it'll work more than just on heart problems and circulation problems.
[00:37:42.260 --> 00:37:43.681]  It'll work on other problems as well.
[00:37:43.861 --> 00:37:48.243]  For more information call 1-877-928-8822 or visit our website at www.heartdrop.com.
[00:37:48.403 --> 00:37:49.824]  That toll free number again 1-877-928-8822.
[00:38:00.328 --> 00:38:04.669]  If you're tired of spending a small fortune every time you fill up, now you can do something about it!
[00:38:04.889 --> 00:38:11.091]  Ethos FR, a product used all over the world, has reported savings of up to 19% on gas, and even reduced emissions of up to 30%!
[00:38:11.191 --> 00:38:16.833]  Ethos FR is easy to use, and works with any kind of fuel, including gasoline, diesel, and ethanol!
[00:38:16.993 --> 00:38:24.295]  Ethos FR works by reformulating the gas in your tank to burn more completely, resulting in a cleaner engine, better mileage, more power, and fewer emissions!
[00:38:24.575 --> 00:38:27.516]  So visit ctsafegas.com and start saving today!
[00:38:27.636 --> 00:38:29.337]  That's ctsafegas.com!
[00:38:30.945 --> 00:38:33.425]  Are your Federal Reserve notes looking for a safe haven?
[00:38:33.886 --> 00:38:35.806]  Mine found it in precious metals.
[00:38:36.506 --> 00:38:39.667]  Not paper promises, but actual gold in my possession.
[00:38:40.327 --> 00:38:46.788]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[00:38:47.568 --> 00:38:49.768]  Find your answer at Midas Resources.
[00:38:50.149 --> 00:38:50.589]  That's 1-800-686-2237.
[00:38:50.649 --> 00:38:51.949]  The answer is at 1-800-686-2237.
[00:39:01.076 --> 00:39:03.218]  Admit it, the moral rot in America runs deep.
[00:39:03.638 --> 00:39:10.243]  Massive debt, rampant materialism, pedophilia by clergy, endless war, and yes, the sin of religious cannibalism.
[00:39:10.503 --> 00:39:16.888]  Communion was practiced by the Aztecs, Egyptians, Babylonians, and Gnostics of the mystery schools long before the Messiah was born.
[00:39:17.248 --> 00:39:21.831]  Due to carefully placed forgeries within the New Covenant texts, the worship of pagan gods prevailed.
[00:39:22.111 --> 00:39:27.575]  The Church's sacred cannibalism service, known as Communion, is based upon words the Messiah never said.
[00:39:27.795 --> 00:39:29.136]  The Savior was no cannibal.
[00:39:29.376 --> 00:39:30.537]  He lived and taught the Torah.
[00:39:30.877 --> 00:39:31.337]  See proof?
[00:39:31.638 --> 00:39:34.319]  Get the book, Communion, the Bloodfest of Babylon today.
[00:39:34.619 --> 00:39:36.361]  Write to Two Witnesses Ministries, P.O.
[00:39:36.401 --> 00:39:37.141]  Box 2453, Abilene, Texas, 79604.
[00:39:37.301 --> 00:39:37.541]  Or call 325-572-3913.
[00:39:46.087 --> 00:39:47.648]  This is Jack Blood with the Genesis Radio Network.
[00:39:47.668 --> 00:39:49.468]  I have an urgent message for all of our listeners.
[00:39:49.568 --> 00:39:55.070]  The mass media keeps telling us that we are the richest, most powerful economy in the world, quote unquote.
[00:39:55.170 --> 00:39:57.071]  If this is true, why can't we pay our bills?
[00:40:16.497 --> 00:40:20.018]  Why is the United States the world's largest debtor nation?
[00:40:20.578 --> 00:40:24.698]  The truth is that we are in the worst debt bubble in our nation's history.
[00:40:25.279 --> 00:40:28.259]  When the bubble bursts, will you be able to feed your family?
[00:40:29.239 --> 00:40:32.160]  When the inevitable crash occurs, will you be ready?
[00:40:32.880 --> 00:40:35.340]  Call Whitehurst International at 1-888-892-6238.
[00:40:35.380 --> 00:40:37.321]  That's 1-888-892-6238 for the following two free reports.
[00:40:46.488 --> 00:40:46.808]  U.S.
[00:40:46.868 --> 00:40:49.770]  debt bubble, red alert, and real estate crash.
[00:40:50.750 --> 00:40:58.634]  Call 888-8XANADU, that's 888-8XANADU, and ask for George.
[00:41:04.317 --> 00:41:08.279]  This is GCN, the Genesis Communications Radio Network.
[00:41:12.066 --> 00:41:13.347]  Agree or disagree?
[00:41:13.787 --> 00:41:16.549]  Alex wants to hear from you right now at 877-590-5525.
[00:41:17.409 --> 00:41:21.552]  Now, here's Alex Jones.
[00:41:24.514 --> 00:41:25.334]  What is this site?
[00:41:26.315 --> 00:41:28.256]  Prisonplanet.com.
[00:41:29.317 --> 00:41:31.278]  It's an article here by Alex Jones.
[00:41:32.059 --> 00:41:34.240]  Now, I'm told, I don't know this for certain,
[00:41:36.610 --> 00:41:43.454]  I'm told that Alex Jones is one of the leaders of the 9-11 was a government conspiracy campaign.
[00:41:43.774 --> 00:41:51.279]  One of the leaders of the movement trying to prove that 9-11 was not what it was, the Bush administration was behind it for whatever nefarious purpose.
[00:41:51.319 --> 00:41:52.259]  Let me just read this to you.
[00:41:52.419 --> 00:41:52.720]  All right.
[00:41:53.320 --> 00:42:01.585]  We're going to play the rest of this coming up near the end of the second hour, in the next hour, so stay with us for that.
[00:42:01.645 --> 00:42:05.047]  And then I'll actually go over what our article said
[00:42:06.171 --> 00:42:08.452]  That Rush Limbaugh was reading from.
[00:42:09.913 --> 00:42:10.994]  Okay?
[00:42:11.014 --> 00:42:18.217]  And what his concern is, and we're just here trying to help El Rushbo, trying to help him deal with his liberalness.
[00:42:18.457 --> 00:42:19.918]  I'm just having fun, folks.
[00:42:20.638 --> 00:42:22.079]  None of these terms mean anything to me.
[00:42:22.419 --> 00:42:29.823]  I want freedom, I want sovereignty, I want the Bill of Rights, and you just get into this partisan stuff, but Rush does help us expose the liberals.
[00:42:29.843 --> 00:42:30.523]  They are very dangerous.
[00:42:30.998 --> 00:42:33.679]  The problem is the Republican leadership is also very dangerous.
[00:42:33.959 --> 00:42:36.979]  Power is dangerous, as our founding fathers told us.
[00:42:37.299 --> 00:42:41.040]  So we're watching both sides of the fence here for you, ladies and gentlemen.
[00:42:42.480 --> 00:42:45.601]  We are not wedded to the party system.
[00:42:46.481 --> 00:42:51.902]  Let me just mention a few of the other things that are coming up in the next hour.
[00:42:51.922 --> 00:42:55.143]  I am going to play an incredible clip from C-SPAN.
[00:42:55.163 --> 00:42:55.983]  I had a chance to interview
[00:42:57.113 --> 00:43:04.537]  Stan Jones, a libertarian, former Air Force officer, who's running for the Senate and has a good chance of winning there in Montana.
[00:43:04.697 --> 00:43:06.478]  We have a lot of great listeners listening right now.
[00:43:07.325 --> 00:43:16.412]  And he got up on C-SPAN and PBS there in Montana and really broke down this North American Union, this end of the country, who the real terrorists are in our government.
[00:43:16.432 --> 00:43:18.854]  So that's coming up in the next hour.
[00:43:19.474 --> 00:43:22.196]  And again, I just keep leaving everything for the next hour.
[00:43:22.216 --> 00:43:23.237]  You've got to stay with us for it.
[00:43:23.677 --> 00:43:26.539]  I got a bizarre phone call at my home, unlisted number.
[00:43:26.659 --> 00:43:28.441]  Is it George Bush or isn't it?
[00:43:28.721 --> 00:43:35.246]  We have discovered the mystery since I got this call last Thursday and played it on my syndicated show, the weekday syndicated show.
[00:43:35.526 --> 00:43:39.368]  We're going to be playing that clip of Bush as well.
[00:43:39.388 --> 00:43:43.611]  You know, the more I think about it, why don't we just air this clip of Bush right now?
[00:43:44.289 --> 00:43:51.914]  And then I'll tell people in the next hour, and we'll play it again because it's short, this call to my home answering machine, we'll tell people who made the phone call.
[00:43:51.954 --> 00:43:52.595]  Was it Bush?
[00:43:52.655 --> 00:43:55.037]  Was it one of the top comedians in the country?
[00:43:55.497 --> 00:43:57.959]  Or was it somebody editing clips of Bush together?
[00:43:59.940 --> 00:44:02.462]  It turned out that I was right about what this was.
[00:44:02.782 --> 00:44:05.304]  Most of my listeners were seeming to think it was really George Bush.
[00:44:06.465 --> 00:44:10.608]  Well, we'll just leave that for next hour, but go ahead and roll George Bush.
