[00:00:01.561 --> 00:00:06.522]  Hello PrisonPlanet.TV subscribers and welcome to this special video report.
[00:33:21.974 --> 00:33:25.716]  They've rejected the help from the Belgians, saying we can stop it in two to four months.
[00:33:26.037 --> 00:33:27.598]  Oh no, four years!
[00:33:29.864 --> 00:33:36.268]  And you know, there's a lot of sound research from the Russians into the abiotic nature of oil, especially in the Gulf region.
[00:33:37.529 --> 00:33:41.112]  So if that's true, I mean, God help us, because it could never end!
[00:33:41.952 --> 00:33:45.955]  If the oil down there is naturally occurring, this spill's never going to end!
[00:33:46.315 --> 00:33:52.940]  Unless... we expose the fact that the federal government's response has been to deliberately botch the whole thing!
[00:33:56.403 --> 00:33:57.964]  So we've run through the evidence.
[00:33:58.565 --> 00:33:59.546]  It's monumental.
[00:33:59.586 --> 00:34:00.267]  It's mammoth.
[00:34:00.707 --> 00:34:01.748]  It's in triplicate.
[00:34:02.108 --> 00:34:18.403]  There's a plethora of evidence to directly implicate BP, Halliburton and the federal government with foreknowledge, motivation for sabotage, and deliberate malfeasance, and in the very least, negligence.
[00:34:20.024 --> 00:34:20.625]  This is clear.
[00:34:22.011 --> 00:34:28.793]  We've waited on this for weeks, for months, for the evidence to build up and it's all pointing in this direction.
[00:34:30.233 --> 00:34:47.758]  Governors of Florida, Louisiana, Mississippi, Alabama, we need an immediate criminal investigation into the role of BP, Halliburton and the federal government in causing the oil spill disaster, as well as their continuing cover-up of what's going on
[00:34:49.099 --> 00:34:58.603]  In addition to their efforts to block not only foreign companies from helping clean up the spill, but blocking local authorities from merely helping clean up the beaches.
[00:35:01.365 --> 00:35:21.945]  Now in the article posted on PrisonPlanet.com today, and this is going to be up all week in the News in Focus section, we've got the email addresses, we've got the phone numbers, we've got the addresses for the Governor of Florida, Charlie Crist, Louisiana Governor Bobby Jindal, and Mississippi Governor Haley Barber.
[00:35:21.965 --> 00:35:25.328]  We've got all the contact details, email, telephone numbers.
[00:35:26.509 --> 00:35:31.914]  Please help us in bringing this information to light, because we need an investigation into this.
[00:35:32.874 --> 00:35:34.415]  We need it done at the state level.
[00:35:34.696 --> 00:35:46.825]  We also need those local legislatures to conduct emergency sessions to usurp that power back that the Feds have taken from them, because they're not being allowed to clean up their own environment.
[00:35:47.345 --> 00:35:51.769]  It's the same thing that happened with Katrina, and you know where that led.
[00:35:53.055 --> 00:36:12.724]  Remember we talked about at the start of this broadcast, Aaron Broussard, remembering crying on Meet the Press saying, you know, I couldn't get to my grandmother, I couldn't get to my mother, they ended up dying, FEMA cut their communication lines, it was deliberately sabotaged by the federal government, that's proven!
[00:36:13.705 --> 00:36:20.588]  And every indication from this oil spill suggests that they're doing exactly the same, for all the reasons that I've just outlined.
[00:36:22.543 --> 00:36:40.522]  So please, contact the governor of these states, contact the local legislative bodies, be polite, but point them to the information contained in this article and demand that they institute an immediate and full criminal investigation into the role of BP
[00:36:41.943 --> 00:37:03.558]  Halliburton and the federal government in causing the oil spill and indeed exploiting it allowing the crisis to worsen in order to pursue their political and financial agendas to the detriment of the people in those areas people of America and ultimately in terms of the economy everybody around the globe.
[00:37:03.838 --> 00:37:09.301]  This is a criminal matter and all the evidence points directly towards in the very least negligence
[00:37:10.822 --> 00:37:14.365]  And the majority of it points towards sabotage.
[00:37:16.746 --> 00:37:19.328]  So we're going to leave this special video report for now.
[00:37:20.248 --> 00:37:33.657]  PrisonPlanet.tv members, of course, if you're not a subscriber, if you're watching this later on YouTube, which will probably come out on YouTube a few days after PrisonPlanet.tv members have viewed it,
[00:37:35.919 --> 00:37:37.400]  We're really beefing up PrisonPlanet.TV.
[00:37:37.420 --> 00:37:40.182]  You're going to have my special reports once a week.
[00:37:40.202 --> 00:37:47.107]  You're going to have special reports from Alex Jones at least once a week, which will only be available to PrisonPlanet.TV subscribers.
[00:37:47.927 --> 00:37:50.869]  You've got all Alex Jones' videos on there already.
[00:37:51.450 --> 00:37:56.933]  Daily archives of the video and audio archives for the Alex Jones Show.
[00:37:57.214 --> 00:37:59.815]  The live video stream of the Alex Jones Show.
[00:38:00.236 --> 00:38:05.059]  All of this is exclusively available for PrisonPlanet.TV members, including
[00:38:07.455 --> 00:38:13.300]  Don't tread on me, Camp FEMA and all these other excellent documentary films from other filmmakers.
[00:38:13.860 --> 00:38:25.849]  So it's a library of material and as you know it funds us, it allows us to put out these videos, it allows us to take the mammoth bandwidth bills for the website which are only increasing.
[00:38:26.670 --> 00:38:35.353]  So please check out all the material on offer at PrisonPlanet.tv and as I said, my name is Paul Joseph Watson.
[00:38:36.113 --> 00:38:42.415]  This is the first of a weekly video report I will be doing on a whole plethora of topics.
[00:38:42.815 --> 00:38:47.677]  Today we're talking about the BP oil spill, we're talking about the need for criminal investigations
[00:38:48.277 --> 00:38:56.906]  And now it's up to you to contact the local authorities in those areas, point them towards this evidence that I presented in today's show.
[00:38:57.267 --> 00:39:05.255]  The article's on the website, entitled State Needs to Launch Criminal Investigation into BP, Federal Government's Role in the Oil Spill.
[00:39:06.116 --> 00:39:07.358]  And we'll sign off for there.
[00:39:07.758 --> 00:39:10.121]  Thanks to all the PrisonPlanet.tv members.
[00:39:10.781 --> 00:39:22.314]  Take care and get active in getting this information out about BP Halliburton and the federal government's role in causing and prolonging this crisis.
[00:39:23.195 --> 00:39:24.536]  My name's Paul Joseph Watson.
[00:39:24.556 --> 00:39:25.898]  Thanks for watching and goodbye.
