[00:00:00.009 --> 00:00:00.489]  We're live, my friends.
[00:23:32.985 --> 00:23:35.507]  They're going to take us over and feed us into their system.
[00:23:36.187 --> 00:23:39.830]  And that's exactly what's in the legislation that's now passed a month ago.
[00:23:41.992 --> 00:23:49.819]  Bipartisan support for that, giving the private Federal Reserve even more power over our economy.
[00:23:50.140 --> 00:23:59.048]  But let's go back a hundred years ago, to the few years right before World War I. On record, the big megabanks of Europe and the United States
[00:24:00.350 --> 00:24:04.793]  Both countries lose people and money and go deeply into debt to these bankers.
[00:24:12.921 --> 00:24:14.522]  So today, what do they fund?
[00:24:14.562 --> 00:24:22.324]  They fund the Mujahideen to fight the Russians, then they get out of control, they use them as a pretext to invade those countries and take our liberties here at home.
[00:24:23.004 --> 00:24:26.806]  They create Saddam Hussein, and then use him as a pretext to go in and invade.
[00:24:27.226 --> 00:24:39.590]  Now again, they don't completely control them, they finance them, they psychologically assess them, they know what they're going to do, and then they put them into power.
[00:24:40.583 --> 00:24:43.204]  And then they have a war against them.
[00:24:43.424 --> 00:24:46.304]  And at the end of the day, we lose our liberties.
[00:24:46.744 --> 00:24:53.746]  And so this weekend, on Friday and Saturday and Sunday, I see the flags all over Austin, Texas, where I live, at half-mast.
[00:24:55.346 --> 00:24:59.887]  And I think they should be at half-mast for the 3,000 poor people that died on 9-11.
[00:25:00.787 --> 00:25:01.828]  But on September 12th,
[00:25:03.564 --> 00:25:07.145]  The EPA came out and said there's asbestos and deadly dust everywhere.
[00:25:07.565 --> 00:25:09.126]  Don't go in lower Manhattan.
[00:25:09.706 --> 00:25:15.387]  But on September 13th, the White House ordered that reversed, and so they came out and said the dust is safe.
[00:25:15.747 --> 00:25:20.829]  You don't even have to wear an apparatus, a breathing apparatus, a respirator, or even a paper mask.
[00:25:22.825 --> 00:25:23.906]  Everything is fine.
[00:25:24.486 --> 00:25:25.547]  Everything is okay.
[00:25:25.587 --> 00:25:28.970]  Because if they were to wear masks, they couldn't open Wall Street again.
[00:25:29.290 --> 00:25:32.093]  So they cold-bloodedly told the workers, you don't need masks.
[00:25:32.513 --> 00:25:33.594]  Everything is fine.
[00:25:35.643 --> 00:25:43.328]  Now, shouldn't we have the flags at half-mast for the thousand-plus people that have died of lung cancer from the deadly dust?
[00:25:43.548 --> 00:25:43.768]  No.
[00:25:44.449 --> 00:25:53.215]  Congress still hasn't given them the funding, and instead we see New York Post articles out calling them ambulance chasers, people trying to get medical care, the police, the firefighters, and others.
[00:25:53.854 --> 00:26:01.699]  And it's going to be the same thing a few years down the road with the core exit and other dispersants by the tens of millions of gallons used in the Gulf.
[00:26:02.359 --> 00:26:06.622]  The average life expectancy of a worker in the Exxon Valdez back in the 80s is 51.
[00:26:08.820 --> 00:26:12.221]  You lose 24 years of your average life expectancy.
[00:26:12.541 --> 00:26:17.043]  You lose almost a quarter century of your lifespan when you work with this stuff.
[00:26:17.823 --> 00:26:19.064]  And what has Obama said?
[00:26:19.444 --> 00:26:20.644]  And what has the EPA said?
[00:26:20.704 --> 00:26:21.304]  Repeatedly.
[00:26:21.344 --> 00:26:22.345]  You've seen it on the news.
[00:26:22.745 --> 00:26:27.907]  Don't worry, there's no health problems, and Corexit's not hurting anybody, and you don't need to wear a mask.
[00:26:27.927 --> 00:26:34.889]  Because if they have them wear a mask, they'll have to admit it's toxic, and later they might have to actually give them medical care.
[00:26:35.109 --> 00:26:40.372]  Or they might not get people who are willing to work out there if they know it's dangerous.
[00:26:41.772 --> 00:26:42.973]  Are you seeing the parallel here?
[00:26:43.493 --> 00:26:51.457]  They didn't care nine years ago about those police, firefighters, military people, and doctors, and nurses, and valiant heroes.
[00:26:52.358 --> 00:26:54.199]  They told them it was just fine for them to breathe.
[00:26:55.419 --> 00:26:58.581]  And it's the same thing nine years later with the Gulf oil spill.
[00:26:59.639 --> 00:27:07.243]  Hey, but you go back to the 1990s, the Army admitted that depleted uranium was so deadly that if you breathed any of it, it would kill you.
[00:27:07.343 --> 00:27:09.704]  It's radioactive and very poisonous.
[00:27:10.124 --> 00:27:18.928]  Now, it doesn't matter if the Army admits it's deadly, they tell the troops there's no health problems, and they use it all over the United States in proving grounds, in firing ranges.
[00:27:20.389 --> 00:27:26.252]  See, there's been a shift in government from just being corrupt to being downright dastardly.
[00:27:27.250 --> 00:27:28.972]  DU's not bad for the troops.
[00:27:29.313 --> 00:27:31.175]  Corex, it's not bad for people in the Gulf.
[00:27:31.536 --> 00:27:39.487]  Asbestos and pulverized glass and concrete and mercury from the computers and the thermostats and all the rest of it, it's not a problem.
[00:27:40.660 --> 00:27:46.503]  The bottom line is, ladies and gentlemen, you can't trust the crooks that run government.
[00:27:47.043 --> 00:27:51.145]  And it doesn't matter if it's Barack Obama or George W. Bush.
[00:27:51.526 --> 00:27:52.906]  It doesn't matter who it is.
[00:27:53.747 --> 00:28:02.651]  It doesn't matter if it's somebody from Kennebunkport, Maine with a fake Texas accent or some slick Harvard lawyer like Barry Sitaro, aka Barack Obama.
[00:28:02.911 --> 00:28:03.972]  They're just front men
[00:28:04.372 --> 00:28:16.278]  reading off teleprompters and they represent a bunch of offshore global corporations that are completely and totally cutthroat and are only looking at short-term profits and your life means nothing.
[00:28:16.578 --> 00:28:29.465]  If they'll march firefighters and police into deadly dust, or they'll march minimum wage workers out into core exit, or they'll march our young privates from Iowa and Detroit and everywhere else into DU,
[00:28:30.640 --> 00:28:32.402]  Of course they'll steal tens of trillions.
[00:28:32.442 --> 00:28:34.103]  Of course they'll take your pension funds.
[00:28:34.343 --> 00:28:35.984]  Of course they'll bankrupt this country.
[00:28:37.205 --> 00:28:37.806]  Why not?
[00:28:38.066 --> 00:28:39.287]  They see you as trash.
[00:28:39.347 --> 00:28:40.688]  They see you as garbage.
[00:28:41.369 --> 00:28:47.514]  And if you think the Republican Party's going to save you, I got a bridge I want to sell you on the surface of the moon.
[00:28:47.894 --> 00:28:52.057]  Now we're going to come back and walk through all of this, then fire the number out to take your call.
[00:28:52.097 --> 00:28:52.618]  Stay with us.
[00:28:55.316 --> 00:28:56.918]  Hello friends, this is Alex Jones.
[00:28:56.958 --> 00:28:59.760]  You've heard me talk about Cal Bend 5 Star Soaps for years.
[00:29:00.321 --> 00:29:05.246]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[00:29:05.546 --> 00:29:08.729]  You can buy factory direct, shipped via UPS right to your door.
[00:29:08.989 --> 00:29:11.331]  Check them out on the web at 5starsoap.com.
[00:29:11.952 --> 00:29:12.833]  Or call 800-340-7091.
[00:29:15.495 --> 00:29:16.435]  Take my word for it.
[00:29:16.615 --> 00:29:18.957]  Once you've used pure soap, you won't buy anything else.
[00:29:19.277 --> 00:29:25.482]  Since 1947, Calvin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[00:29:25.802 --> 00:29:27.203]  Buy American and stay clean.
[00:29:27.303 --> 00:29:30.485]  As well as support InfoWars, visit 5starsoap.com today.
[00:29:30.605 --> 00:29:30.986]  Or call 1-800-340-7091.
[00:29:31.026 --> 00:29:32.327]  Well, Marty, what do you have to say?
[00:29:35.609 --> 00:29:42.854]  As founder and owner for over 63 years, satisfaction is guaranteed on W Dirtback.
[00:29:43.535 --> 00:29:48.599]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[00:29:48.659 --> 00:29:49.099]  Thank you!
[00:29:54.858 --> 00:29:57.621]  Listen up friends, this is Alex Jones with key information.
[00:29:58.002 --> 00:30:01.526]  The mainstream media is now admitting that we're going into a depression.
[00:30:01.806 --> 00:30:04.449]  Don't be dependent on the government for you and your family.
[00:30:04.689 --> 00:30:09.595]  You need to get your own supply of high quality storable foods from efoodsdirect.com.
[00:30:10.055 --> 00:30:15.678]  They're the best company out there, the longest continually operating, with a ton of great food to choose from.
[00:30:15.998 --> 00:30:21.341]  It's all fresh, made on a monthly basis, not some old cruddy food they're selling you like some of the other guys.
[00:30:21.661 --> 00:30:25.943]  Try their new evacuation pack, a two-week supply of delicious, easy-to-fix food.
[00:30:26.203 --> 00:30:34.328]  It comes with all the equipment you need to prepare it, with open talk of a strike on Iran in the next three months, the crisis in the Gulf, and possible evacuations.
[00:30:34.688 --> 00:30:36.469]  Get yourself and your family ready today.
[00:30:36.889 --> 00:30:38.931]  The place to go is efoodsdirect.com.
[00:30:39.272 --> 00:30:46.761]  Go to their website online right now, efoodsdirect.com forward slash Alex, or call 800-409-5633.
[00:30:47.101 --> 00:30:52.147]  Again, on the web, efoodsdirect.com forward slash Alex, or give them a call at 800-409-5633.
[00:30:54.810 --> 00:30:58.814]  Alex Jones here with urgent information concerning TrendsResearch.com.
[00:30:59.274 --> 00:31:06.201]  The Trends Journal distills the voluminous ongoing research of the Trends Research Institute into a concise, readily accessible form.
[00:31:06.761 --> 00:31:10.205]  By tracking 300 separately defined domestic and international trends,
[00:31:10.805 --> 00:31:15.109]  The Trends Journal establishes the connections that others fail to see or misinterpret.
[00:31:15.329 --> 00:31:22.535]  Gerald Salente's Trends Journal allows you to anticipate change, recognize the implications, and take protective strategies.
[00:31:23.196 --> 00:31:30.402]  Individual readers from every walk of life can put the Trends Journal Trends Forecast and Trends Analysis to practical use.
[00:31:30.962 --> 00:31:33.524]  Extra information to keep you well informed throughout the year.
[00:31:33.764 --> 00:31:40.789]  When any current event of major social, economic, or political significance occurs, Trends Journal notifies its subscribers of their implications.
[00:31:41.290 --> 00:31:45.273]  When you subscribe to the Trends Journal, you'll also receive trends alerts.
[00:31:45.553 --> 00:31:47.394]  Visit TrendsResearch.com today.
[00:31:47.714 --> 00:31:49.696]  That's TrendsResearch.com.
[00:31:50.016 --> 00:31:51.537]  Subscribe to the Trends Journal.
[00:31:51.878 --> 00:31:53.619]  This information is too important to wait.
[00:31:58.843 --> 00:31:59.764]  Tyranny is here.
[00:32:00.104 --> 00:32:03.647]  The grim future foretold in 1984 has become reality.
[00:32:04.027 --> 00:32:06.249]  It really says that the state is God.
[00:32:06.429 --> 00:32:11.713]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:32:12.133 --> 00:32:18.398]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:32:18.818 --> 00:32:24.363]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:32:24.783 --> 00:32:28.486]  Police State 4 chronicles the sickening depth to which our Republic has fallen.
[00:32:28.946 --> 00:32:32.927]  Prepare to enter the secretive world of emergency dictatorship.
[00:32:33.228 --> 00:32:38.729]  Body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[00:32:39.189 --> 00:32:42.150]  It's only the beginning of the New World Order's hellish plan.
[00:32:42.731 --> 00:32:44.151]  The police state isn't coming.
[00:32:44.711 --> 00:32:45.211]  It's here.
[00:32:45.832 --> 00:32:52.634]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:32:56.024 --> 00:32:58.847]  Coast to Coast, direct from Austin.
[00:32:58.867 --> 00:33:03.711]  You're listening to the Alex Jones Broadcasting Network.
[00:33:05.953 --> 00:33:10.317]  You walk into this room at your own risk, because it leads to the future.
[00:33:11.098 --> 00:33:13.420]  Not a future that will be, but one that might be.
[00:33:14.541 --> 00:33:15.642]  This is not a new world.
[00:33:16.803 --> 00:33:20.066]  It is simply an extension of what began in the old one.
[00:33:21.169 --> 00:33:28.654]  It has patterned itself after every dictator who has ever planted the ripping imprint of a boot on the pages of history since the beginning of time.
[00:33:29.594 --> 00:33:36.518]  It has refinements, technological advances and a more sophisticated approach to the destruction of human freedom.
[00:33:37.659 --> 00:33:42.242]  But like every one of the super states that preceded it, it has one iron rule.
[00:33:43.382 --> 00:33:45.724]  Logic is an enemy and truth is a menace.
[00:33:55.325 --> 00:33:57.267]  The answer to 1984 is 1776.
[00:33:57.347 --> 00:34:03.512]  You're listening to the Alex Jones Show.
[00:34:08.596 --> 00:34:11.979]  The answer to 1984 is 1776.
[00:34:12.179 --> 00:34:16.423]  Every time we play that liner, I get emails saying, what does that mean?
[00:34:17.464 --> 00:34:19.646]  But most people get the simple riddle.
[00:34:23.059 --> 00:34:27.942]  1984 is the epitome of a boot-stomping on human individuality and liberty.
[00:34:28.882 --> 00:34:31.023]  Forever.
[00:34:31.043 --> 00:34:37.086]  1776 is the greatest expression of human liberty and the destiny to be free.
[00:34:37.986 --> 00:34:39.267]  So the answer to 1984 is 1776!
[00:34:39.367 --> 00:34:40.987]  The spirit of liberty rising!
[00:34:47.543 --> 00:34:53.545]  Animating the hearts and minds of men and women, not just in the United States, but worldwide.
[00:34:54.205 --> 00:35:03.608]  And my radio show, my films, my work, is a testament to what the individual can do linking up with others who love freedom and love the truth.
[00:35:04.849 --> 00:35:05.729]  Here's the bottom line.
[00:35:06.653 --> 00:35:08.995]  The flags are at half-mast for those that died.
[00:35:09.796 --> 00:35:20.444]  But the attacks of 9-11, any way you slice it, were used to stab the Republic, the Bill of Rights, the Constitution, in the heart, over and over again.
[00:35:20.785 --> 00:35:26.910]  And here we are, almost a decade later, nine plus years, nine years and a day, after those attacks on that morning.
[00:35:28.447 --> 00:35:32.931]  And this entire system of oppression is pointed at free people.
[00:35:33.031 --> 00:35:36.173]  It has nothing to do with terrorists.
[00:35:36.213 --> 00:35:40.516]  And in most cases, they open the door for the terrorist, they protect the terrorist, or...
[00:35:41.758 --> 00:35:44.760]  Governments are staging events and blaming it on an enemy.
[00:35:45.341 --> 00:35:59.131]  I was called a conspiracy theorist a decade ago by major newspapers repeatedly for having guests on who were on board the destroyers in 1964 in the Gulf of Tonkin off the coast of northern Vietnam.
[00:36:01.035 --> 00:36:04.578]  But four years ago, the CIA declassified what we already knew.
[00:36:05.179 --> 00:36:06.840]  The entire event was staged.
[00:36:07.241 --> 00:36:08.502]  Our ships were not attacked.
[00:36:09.122 --> 00:36:25.898]  And that lie, that Reichstag event, that staged terror attack, led to the deaths of 58,000 Americans, over a quarter million maimed Americans, arms, legs, faces blown off, and over a million dead Vietnamese, conservatively, on each side.
[00:36:29.500 --> 00:36:40.543]  Now, once you understand that, and once we have the MIAC and Homeland Security reports that were leaked to us by law enforcement, it's almost all aimed at you.
[00:36:41.363 --> 00:36:47.025]  And what did the former heads of the 9-11 Commission call for?
[00:36:47.205 --> 00:36:50.526]  They were previously the head of the CFR Commission, who proposed Homeland Security in 1993.
[00:36:52.173 --> 00:36:53.974]  Oh yeah, they write all the major laws.
[00:36:54.014 --> 00:36:56.036]  Immigration reform, all of it.
[00:36:56.876 --> 00:36:57.777]  That's the real government.
[00:36:58.037 --> 00:37:01.579]  They propose a domestic agency for domestic extremists.
[00:37:02.740 --> 00:37:04.301]  That's what Homeland Security is.
[00:37:04.681 --> 00:37:06.923]  They're now just announcing what it is.
[00:37:08.308 --> 00:37:14.795]  And so we need our flags at half-mast every 4th of July to understand our country's in crisis.
[00:37:15.276 --> 00:37:18.179]  Under the flag code, we should fly the flag upside down.
[00:37:18.700 --> 00:37:20.141]  Idiots think it's disrespectful.
[00:37:20.261 --> 00:37:20.482]  No.
[00:37:21.182 --> 00:37:28.631]  When your country is in a crisis, when the heart of your nation is burning down to the ground, you fly your flag upside down.
[00:37:29.738 --> 00:37:34.399]  When your ship's taking on water and sinking, you fly it upside down, calling for aid.
[00:37:35.099 --> 00:37:38.399]  When your country's imploding, you fly the flag upside down.
[00:37:39.940 --> 00:37:45.301]  But when patriots do that to try to point it out, their neighbors call the police on them because they're so ignorant.
[00:37:45.681 --> 00:37:55.762]  Or when I wear a Gadsden flag don't tread on me shirt, people get mad at me in grocery stores because MSNBC has told them it's a symbol of racism when it has nothing to do with that.
[00:37:56.423 --> 00:37:57.643]  You don't like government health care?
[00:37:57.683 --> 00:37:58.423]  You're a racist.
[00:38:00.009 --> 00:38:01.110]  You don't like big government?
[00:38:01.130 --> 00:38:01.831]  You're a racist.
[00:38:01.871 --> 00:38:03.032]  You don't like losing your rights?
[00:38:03.072 --> 00:38:03.713]  You're a racist.
[00:38:04.013 --> 00:38:09.598]  They use these tools to demonize patriots and people that love this country.
[00:38:10.820 --> 00:38:16.085]  And so nine years later, here we are with the ashes of our once free republic all around us.
[00:38:16.385 --> 00:38:19.748]  How do we have the republic rise like a phoenix out of the ashes?
[00:38:22.179 --> 00:38:25.802]  Three plus years ago, the Ron Paul Liberty Movement founded the Tea Parties.
[00:38:25.982 --> 00:38:31.187]  In the last year and a half, the Republican Party, led by Dick Armey and others, have come in and taken it over.
[00:38:31.948 --> 00:38:33.309]  And they'll give you all the rhetoric.
[00:38:33.329 --> 00:38:34.490]  They'll say the right things.
[00:38:35.571 --> 00:38:37.372]  And on the surface, they're better than Democrats.
[00:38:37.653 --> 00:38:41.016]  But I'd rather have a slimy, socialist, communist...
[00:38:42.093 --> 00:38:42.693]  We're good to go.
[00:39:06.761 --> 00:39:15.475]  Is nothing compared to an enemy within, who knows your language, who wears your uniform, that poses that they're with you.
[00:39:18.079 --> 00:39:19.902]  That is treason from within.
[00:39:22.927 --> 00:39:27.090]  And I'm going to tell you again, ladies and gentlemen, our Republic is in free fall.
[00:39:27.831 --> 00:39:48.087]  If they don't care about the 9-11 responders and the deadly dust, if they don't care about the Gulf workers and the core exit and other dispersants, if they don't care about the troops and depleted uranium, when the Army's own manuals admit it's deadly, if they cover up their illnesses when it happens, when they do all of this, what does that tell you about the mindset of the people on top?
[00:39:48.962 --> 00:39:57.490]  Oh, your average cop's great, your average person in the military's wonderful, has joined because they want to give to their nation, because they're warriors, they want to protect, they want to defend.
[00:39:58.250 --> 00:40:00.052]  The average government bureaucrat's not bad.
[00:40:00.633 --> 00:40:03.475]  The average person working at a Fortune 100 corporation's not bad.
[00:40:04.076 --> 00:40:07.299]  But the people captaining this ship of state globally,
[00:40:08.248 --> 00:40:10.070]  are the enemies of sovereignty.
[00:40:10.190 --> 00:40:16.375]  We are being financially conquered by Goldman Sachs and JP Morgan and others.
[00:40:16.435 --> 00:40:22.760]  They are openly funding all of the major land-grabbing environmental groups that are out there.
[00:40:23.500 --> 00:40:30.586]  They are setting the precedent to bring in hundreds of new taxes that are then paid to them through government bailouts and corporate welfare.
[00:40:31.867 --> 00:40:33.749]  And they're openly changing the rules.
[00:40:34.673 --> 00:40:44.001]  They changed them five years ago, but now the Chicago Tribune comes out a few weeks ago and says, oh, they've changed the state rules to take public pension funds from police, fire, and teachers.
[00:40:45.382 --> 00:40:46.463]  To take all or part.
[00:40:46.983 --> 00:40:51.367]  The feds have changed the rules to allow private corporations to take your pension funds.
[00:40:51.868 --> 00:40:54.730]  I told you this years ago, now it's in Bloomberg.
[00:40:56.171 --> 00:41:02.517]  Headline, federal regulators ordering private pension fund controllers to invest in failed banks.
[00:41:03.479 --> 00:41:06.040]  Your social security's already been stolen.
[00:41:07.020 --> 00:41:09.021]  Your bank account is next.
[00:41:10.101 --> 00:41:11.561]  This is a Ponzi scheme.
[00:41:12.122 --> 00:41:18.003]  No matter how much money you put into it, these Ken Lay, Bernie Madoff types are gonna rip you off.
[00:41:18.243 --> 00:41:23.985]  We've got global, white-collar criminals, so powerful, they've gotten away with so many scams.
[00:41:25.266 --> 00:41:26.446]  They've gotten away with murder.
[00:41:27.639 --> 00:41:49.908]  That they are now openly establishing world government based on carbon taxes, and it's in the Financial Times of London, it's in the AP, it's in Reuters, and then I get Nightline making fun of me last week, saying I'm a kook, none of this exists, when I'm reading out of the newspaper, but the Financial Times of London
[00:41:50.908 --> 00:42:01.455]  And the AP, they say global government is great, unelected bankers we pay taxes to, hand our roads, our water districts, everything over to them in quote privatization.
[00:42:02.276 --> 00:42:03.357]  And it's not even privatization.
[00:42:03.577 --> 00:42:04.157]  It's looting.
[00:42:04.477 --> 00:42:05.198]  It's robbery.
[00:42:06.118 --> 00:42:09.860]  So they can't have it both ways, saying none of this exists, but it does exist.
[00:42:10.320 --> 00:42:12.581]  If you're for world government, it exists, and you're smart.
[00:42:12.821 --> 00:42:16.183]  If you're against world government, it doesn't exist, and you're looney tunes.
[00:42:16.823 --> 00:42:20.885]  They are counting on you being stupid, and we don't have much more time.
[00:42:21.225 --> 00:42:23.166]  I'm going to open the phones up and continue with news.
[00:42:23.206 --> 00:42:24.827]  The toll-free number to join us is 888-201-2244.
[00:42:24.847 --> 00:42:24.907]  888-201-2244.
[00:42:24.927 --> 00:42:27.768]  I want to discuss all of these issues with you, but I want to mine in
[00:42:34.631 --> 00:42:39.477]  To the economy, to the Republican sweep that's about to happen in the House and Senate.
[00:42:40.338 --> 00:42:45.084]  I want to get into the Ground Zero Moss being a CIA government front, now mainstream news.
[00:42:45.725 --> 00:42:48.589]  I want to get into Mexican government firing at Border Patrol agents.
[00:42:49.310 --> 00:42:52.814]  I want to get into all of it on the other side of this quick break.
[00:42:52.834 --> 00:42:53.315]  Stay with us.
[00:42:55.185 --> 00:42:59.148]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[00:42:59.388 --> 00:43:05.432]  Not detergents, but good old-fashioned pure soap made by the Cal Bend Soap Company, a family-owned and operated American company.
[00:43:05.792 --> 00:43:12.897]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, hair, laundry, and dishes.
[00:43:13.177 --> 00:43:17.760]  There is nothing like these factory-direct, big-money-saving, triple-concentrated soaps anywhere.
[00:43:18.061 --> 00:43:20.202]  Get a free, detailed catalog by calling 800-340-7091.
[00:43:23.004 --> 00:43:26.507]  As founder and owner for over 63 years, people keep asking me, how's business?
[00:43:26.747 --> 00:43:29.009]  I'm happy to say our business is going down the drain.
[00:43:29.049 --> 00:43:29.370]  Call us!
[00:43:54.211 --> 00:44:10.283]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:44:11.297 --> 00:44:15.019]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:44:15.999 --> 00:44:28.006]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:44:28.766 --> 00:44:36.030]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:44:36.710 --> 00:44:46.293]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:44:47.073 --> 00:44:50.335]  As well, we are always ready to answer any questions you may have.
[00:44:50.995 --> 00:44:54.116]  That's www.SilverLungs.com
[00:44:54.736 --> 00:44:58.979]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:44:59.279 --> 00:44:59.900]  Number one.
[00:45:00.200 --> 00:45:03.362]  New climate legislation could easily double or triple your electric bill.
[00:45:03.623 --> 00:45:04.203]  Number two.
[00:45:04.483 --> 00:45:09.047]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:45:09.387 --> 00:45:09.827]  It's true.
[00:45:10.127 --> 00:45:14.691]  Total government control of electricity in the name of smart grid technology is coming.
[00:45:14.991 --> 00:45:15.551]  Number three.
[00:45:15.832 --> 00:45:19.114]  In some areas of the country, the power grid is dangerously overloaded.
[00:45:19.414 --> 00:45:23.097]  And now, new socialist legislation is only compounding the problem.
[00:45:23.297 --> 00:45:23.838]  Number 4.
[00:45:24.098 --> 00:45:26.460]  Dangerous weather is always a threat to local grids.
[00:45:26.860 --> 00:45:30.243]  Every year, thousands of families lose their power from weather-related outages.
[00:45:30.543 --> 00:45:30.764]  Number 5.
[00:45:31.324 --> 00:45:35.267]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:45:35.488 --> 00:45:40.252]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:45:40.532 --> 00:45:44.553]  You can get more information at www.mysolarbackup.com.
[00:45:44.693 --> 00:45:46.254]  That's mysolarbackup.com.
[00:45:46.474 --> 00:45:48.574]  Remember, the government doesn't own the sun.
[00:45:48.734 --> 00:45:51.335]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:45:51.355 --> 00:45:55.196]  Listen up, friends.
[00:45:55.236 --> 00:45:57.197]  This is Alex Jones with key information.
[00:45:57.577 --> 00:46:01.098]  The mainstream media is now admitting that we're going into a depression.
[00:46:01.378 --> 00:46:03.979]  Don't be dependent on the government for you and your family.
[00:46:04.239 --> 00:46:09.242]  You need to get your own supply of high-quality storable foods from efoodsdirect.com.
[00:46:09.623 --> 00:46:15.287]  They're the best company out there, the longest continually operating, with a ton of great food to choose from.
[00:46:15.567 --> 00:46:20.910]  It's all fresh, made on a monthly basis, not some old cruddy food they're selling you like some of the other guys.
[00:46:21.230 --> 00:46:25.513]  Try their new evacuation pack, a two-week supply of delicious, easy-to-fix food.
[00:46:25.774 --> 00:46:33.879]  It comes with all the equipment you need to prepare it, with open talk of a strike on Iran in the next three months, the crisis in the Gulf, and possible evacuations.
[00:46:34.259 --> 00:46:36.081]  Get yourself and your family ready today.
[00:46:36.461 --> 00:46:38.482]  The place to go is efoodsdirect.com.
[00:46:38.843 --> 00:46:46.328]  Go to their website online right now, efoodsdirect.com forward slash Alex, or call 800-409-5633.
[00:46:46.669 --> 00:46:54.034]  Again, on the web, efoodsdirect.com forward slash Alex, or give them a call at 800-409-5633.
[00:46:56.076 --> 00:46:59.018]  Coast to Coast, direct from Austin.
[00:46:59.679 --> 00:47:02.881]  You're listening to the Alex Jones Broadcasting Network.
[00:47:05.256 --> 00:47:10.341]  From the front lines of the information war, it's Alex Jones.
[00:47:14.885 --> 00:47:18.888]  Every time I look at my children, I get angry.
[00:47:19.189 --> 00:47:23.452]  They're wonderful, they're innocent, they're good, and I care about their future.
[00:47:24.413 --> 00:47:29.117]  And I know this great republic, the greatest nation that's ever existed on this planet,
[00:47:29.906 --> 00:47:33.288]  Full of wealth and ideas and virtue compared to every other country.
[00:47:33.548 --> 00:47:35.190]  It hadn't been perfect, but it's been the best.
[00:47:35.590 --> 00:47:41.674]  Has been taken over by criminal elements that own both parties and are flushing our future down the toilet.
[00:47:42.895 --> 00:47:49.801]  Now, when we start the second hour, I'm going to take your calls and go to a bunch of news, but I want to finish up on the issues and points that I've been making.
[00:47:49.821 --> 00:47:53.244]  I also want to thank all the new affiliates picking us up.
[00:47:53.264 --> 00:47:56.367]  We've had five new stations in the last week pick us up.
[00:47:56.707 --> 00:48:02.132]  One of them picking up the Sunday Show and re-airing it, what, at 6 Central, is KLIF570AM, the Juggernaut.
[00:48:05.154 --> 00:48:20.069]  Number one station there in Dallas and I grew up in Dallas great to be on KLIF 570 and of course coming to you here in Austin on 590 KLBJ so very very exciting on that front as well because again
[00:48:20.609 --> 00:48:25.033]  My friends, we've got to reach as many people as we can, as fast as we can.
[00:48:25.353 --> 00:48:28.515]  We've got to get them up to PrisonPlanet.com and InfoWars.com.
[00:48:28.776 --> 00:48:38.644]  We've got to get them to read the actual stories we're reporting on, and to see the legislation we're reporting on, so they understand just how serious this situation is.
[00:48:38.964 --> 00:48:44.588]  The police in your town are being federalized, and they're not being trained to take on the supposed radical Muslims.
[00:48:44.989 --> 00:48:46.970]  They're being trained to take you and your family on.
[00:48:47.350 --> 00:48:48.852]  Let's get into those headlines right now.
[00:48:49.752 --> 00:48:53.015]  9 years after 9-11, few see terrorism as top U.S.
[00:48:53.055 --> 00:48:53.516]  problem.
[00:48:53.836 --> 00:48:55.397]  That's the good news.
[00:48:55.417 --> 00:49:00.682]  1% in a national Gallup poll think it's the number one issue.
[00:49:01.823 --> 00:49:02.283]  It was 46%
[00:49:04.961 --> 00:49:09.742]  I thought it was the biggest issue just two years ago.
[00:49:10.643 --> 00:49:14.924]  So people understand, ladies and gentlemen, let's say the terror is not manufactured.
[00:49:14.944 --> 00:49:15.764]  Let's say it's real.
