[00:00:00.849 --> 00:00:05.891]  Rosalind Peterson is an environmental impact analyst and founder of California Skywatch.
[00:33:47.739 --> 00:34:08.328]  They don't say how they turn into man-made clouds, if it's chemical or whatever, and then they discuss the fact that in these clouds that it's causing certain types of problems, covering us in cloud cover, dimming the sun, and then it's changing our climate and negatively impacting natural resources.
[00:34:09.409 --> 00:34:24.064]  The spiking in these chemicals, the state of California and all water districts across the United States and the EPA all require water testing and they test for chemicals in the water that are hazardous to human health in some way.
[00:34:24.785 --> 00:34:31.392]  If they figure that a chemical is not hazardous to human health or animals, etc., they normally don't test for it.
[00:34:32.012 --> 00:34:43.602]  But the minute that they think that it's going to get up above a certain level that it would be injurious, they test for it to make sure that they try to keep it below that standard or to keep it out of our drinking water supplies altogether.
[00:34:44.949 --> 00:34:58.161]  So the concern is that when we're seeing these spikes over stated health, you know, when they go up above any acceptable level that the EPA has put in place for these chemicals, we know they're dangerous.
[00:34:58.181 --> 00:35:00.023]  They're going to have a human health impact.
[00:35:00.543 --> 00:35:08.210]  And they're going to have a human health impact on animals, humans, anybody that is coming in contact with these chemicals.
[00:35:09.011 --> 00:35:15.377]  So this is what we know is that the EPA and all these government agencies wouldn't be testing unless there was a problem.
[00:35:16.478 --> 00:35:22.664]  What impact they're going to have is each chemical has a different property to it and they have synergistic effects.
[00:35:23.165 --> 00:35:29.231]  So it's hard to say that if you are exposed to a whole source of chemicals, what the synergistic effect.
[00:35:29.451 --> 00:35:32.194]  In other words, each chemical will have one property.
[00:35:33.194 --> 00:35:41.802]  For example, barium can raise blood pressure just as one, but when you combine that with other chemicals, then what kind of reaction are you going to get?
[00:35:42.202 --> 00:35:44.184]  How much are you exposed to, etc.?
[00:35:45.024 --> 00:35:57.274]  So, we have that element of it, but persistent jet contrails, on the other hand, are changing our climate and they're changing the agriculture part of what's going on with us.
[00:35:57.955 --> 00:36:04.521]  When you change the climate and you change the microclimates and you put in more cloud cover, you're going to lower crop production.
[00:36:05.221 --> 00:36:08.404]  And they know this from University of Illinois corn crop studies.
[00:36:08.845 --> 00:36:13.589]  That if you have normal rainfall but you have more cloud cover, crop production drops.
[00:36:14.069 --> 00:36:20.055]  In areas where you had direct sunlight mixed with normal weather, then you would have increased crop production.
[00:36:20.695 --> 00:36:29.679]  So, just putting and saying that these are ice crystals and water vapor, it's benign in the environment, not true because it can heat us up.
[00:36:30.600 --> 00:36:42.426]  It can change the amount of sunlight reaching the earth, so it can affect the health of crops, health of your trees, because without photosynthesis, trees and plants can't grow strong enough to produce.
[00:36:43.546 --> 00:36:44.287]  I think?
[00:37:03.263 --> 00:37:06.546]  Any chemicals added would have consequences on our water supply.
[00:37:07.026 --> 00:37:08.828]  So there's a broad impact here.
[00:37:09.348 --> 00:37:22.118]  So whether I know what, if jets are spraying anything in particular, what I do know is that they're already harming the environment and that there's a lot of studies that talk about the impact in coming years will be tremendous.
[00:37:23.064 --> 00:37:25.347]  In some cases, they don't know what the effects are.
[00:37:25.407 --> 00:37:26.648]  They want to experiment.
[00:37:26.888 --> 00:37:28.810]  And they readily admitted that.
[00:37:28.870 --> 00:37:29.531]  That was one.
[00:37:30.372 --> 00:37:37.639]  Two, they want to be able to continue with their work, because that's job security for a lot of university professors.
[00:37:38.400 --> 00:37:49.107]  Three, several of them have stated, well, you know, the public, we're going to be who the world turns to when global warming becomes this big problem.
[00:37:49.148 --> 00:37:51.789]  They're going to ask us to save the world.
[00:37:52.150 --> 00:38:01.156]  We're going to be the new stewards of the environment and our programs are going to be the ones that will be initiated to save the world from global warming or whatever catastrophe.
[00:38:01.676 --> 00:38:13.580]  So therefore we have to experiment now, get the funding and experiment now or continue our experiments so that we are ready to be the new stewards of the environment.
[00:38:14.080 --> 00:38:28.084]  But the problem is when you start putting up chemicals and you start doing atmospheric experiments, you start to impact agriculture, food supplies, watersheds, you start to impact everything that we depend upon for
[00:38:29.953 --> 00:38:30.114]  I think?
[00:38:47.933 --> 00:39:09.382]  And Professor Benford actually wrote a program about the Arctic and they said, in his article, he even said, well, if something goes wrong, why, it will wash out eventually in the long term and if you have to sacrifice a few people or an area like the Arctic, then that's okay because it's all in the realm of scientific study.
[00:39:10.103 --> 00:39:12.064]  So, it's a fascinating article to read.
[00:39:13.224 --> 00:39:20.389]  I think it's actually the underlying cause of all of this and some of the funding is military funding.
[00:39:20.889 --> 00:39:23.570]  Because the military wants to be able to control the weather.
[00:39:23.590 --> 00:39:26.572]  The military has got an agenda.
[00:39:27.093 --> 00:39:32.096]  That if they control the weather, they can control any country to make it do whatever they want.
[00:39:32.976 --> 00:39:53.631]  And many documents on the Weather 2025, there's several documents in which they talk about how rather than having some weapons of mass destruction, in other words bombs or something, if they could control the weather in a country they could actually force them and say look we will put you in drought, we will put you in floods.
[00:39:54.292 --> 00:39:59.636]  So some of the experiments with the weather modification and other things that the geoengineers are doing
[00:40:00.316 --> 00:40:06.882]  Would mean that they would have, it would be a military application and a lot of money comes from the military sector for this.
[00:40:07.423 --> 00:40:10.745]  I've looked at some of the universities and I looked at the funding chain.
[00:40:11.306 --> 00:40:13.067]  In other words, who's funding these?
[00:40:13.127 --> 00:40:19.771]  Because it has to be public and we know that the military is also initiating programs and paying for funding.
[00:40:19.811 --> 00:40:25.595]  So when you look at the funding stream, you can see that it's private corporations, you can see that it's the military.
[00:40:26.236 --> 00:40:31.059]  So there's a lot of funding in there that's not coming from you and I because we couldn't afford it.
[00:40:31.819 --> 00:40:37.143]  And the big military budget is where there's a lot of extra money for experimentation.
[00:40:37.823 --> 00:40:38.043]  Thank you.
[00:40:57.493 --> 00:41:05.277]  When they were sending up these canisters loaded with chemicals to superheat, well, that was a NASA budget, that's the U.S.
[00:41:05.337 --> 00:41:08.099]  Air Force budget, and then they do ionospheric testing.
[00:41:08.819 --> 00:41:13.962]  Well, how do we know what impact that had on the environment that protects us around the Earth?
[00:41:14.582 --> 00:41:15.943]  We don't really know.
[00:41:15.963 --> 00:41:17.704]  We just don't really know.
[00:41:18.809 --> 00:41:26.034]  The first thing that we started to notice about jets and these engines is they would leave a small contrail, very small.
[00:41:26.935 --> 00:41:30.557]  You would see it behind the plane, it would disappear within seconds and be gone.
[00:41:31.978 --> 00:41:39.684]  All of a sudden, this new phenomenon began to appear somewhere in the late 1980s, as far as I can document from Mendocino County.
[00:41:40.151 --> 00:41:54.387]  Looking at pictures and weather documents and cloud pictures, old cloud pictures, all of a sudden there seemed to be a time when NASA and other agencies began to realize that contrails were beginning to persist.
[00:41:55.692 --> 00:42:03.555]  So NASA started studying jet contrails and they started to see that they were persisting for up to 20 hours.
[00:42:05.116 --> 00:42:08.997]  They could cover 4,000 square kilometers.
[00:42:09.637 --> 00:42:11.558]  So they could cover huge areas.
[00:42:11.798 --> 00:42:13.219]  One contrail this is.
[00:42:14.199 --> 00:42:20.464]  So, NASA studies began to show that they were exacerbating warming, starting around 1975.
[00:42:21.464 --> 00:42:36.095]  They began to show that there was a new phenomenon, which they didn't have before, had not seen before, where these contrails persisting, rather than dissipating very quickly, began to be something that they talked about, studied, etc.
[00:42:38.174 --> 00:42:41.717]  We don't know, in other words, why they began to persist.
[00:42:41.937 --> 00:42:43.798]  This is one of the curiosities here.
[00:42:44.419 --> 00:42:55.366]  And we just know that the studies, that they were studying them, but they didn't study what they were composed of, why they would be forming and, in other words, expanding to such huge sizes.
[00:42:56.627 --> 00:43:06.514]  But my curiosity with NASA became that when they were talking about persistent jet contrails, they didn't talk about the fact that there were all these different varieties.
[00:43:07.275 --> 00:43:14.921]  In other words, one side of the jet having one type of contrail, the other jet engine on the other side leaving a different type of contrail.
[00:43:15.021 --> 00:43:18.564]  One would dissipate quickly, the other could leave a large plume.
[00:43:19.324 --> 00:43:22.227]  We had black contrails that we were seeing here.
[00:43:22.767 --> 00:43:27.652]  We had contrails that would turn into, it looked like toothpaste on a tube.
[00:43:28.372 --> 00:43:31.575]  And when you saw these, we call them, I call them toothpaste trails.
[00:43:31.936 --> 00:43:37.721]  When we saw them, what we noticed is that they would dissipate relatively quickly.
[00:43:37.781 --> 00:43:40.383]  They'd break up into unusual configurations.
[00:43:41.284 --> 00:43:58.679]  So, what I did is, in order to have people understand that what they were looking at were different types of trails that had different dissipation rates or would turn into haze, and also that these contrails that we were seeing would turn into different types of man-made clouds.
[00:43:59.540 --> 00:44:07.828]  NASA just talks about jet contrails turning into mountain may clouds in their studies, but they don't tell you about the brown clouds.
[00:44:07.908 --> 00:44:12.952]  They don't tell you about the different cloud configurations that these contrails turn into.
[00:44:13.653 --> 00:44:21.640]  So one of the things I did from my pictures and from videotape and looking at different times is I compiled this index
[00:44:23.062 --> 00:44:46.245]  In 2006 of some of the different types of contrails that we were seeing and I named them The reason I named them is people were telling me what they were seeing but they had no vocabulary so in naming them People would tell me that they would see toothpaste trails or they would see knots on a rope where you'd have a straight line with little bulges in it that looked like someone had tied knots in a rope and
[00:44:46.445 --> 00:44:48.286]  You would have black contrails.
[00:44:48.847 --> 00:45:00.695]  So this particular document, poster, I created to put on the internet and to give to people so that they could see that this was different than anything that they had seen before.
[00:45:01.636 --> 00:45:20.640]  So, when I started to document this, I took and I would find that there were things called bursts, where a jet would fly in leaving a contrail, and then all of a sudden you'd see this huge burst, no contrail leaving, but you would get this kind of configuration, and I go, well, what happened here?
[00:45:21.220 --> 00:45:27.181]  Why did this create a burst which then expands for miles and miles and miles over the sky above us?
[00:45:28.221 --> 00:45:32.325]  And why would this part of the trail turn into this type of configuration?
[00:45:33.025 --> 00:45:33.806]  So this was odd.
[00:45:35.327 --> 00:45:36.267]  So we had bursts.
[00:45:36.827 --> 00:45:52.891]  Then this configuration on the same day we'd see other jets flying in and it would leave bursts that look like this and after a period of time they would turn into these kind of little cloud formations that would hang out in the sky around this bigger burst.
[00:45:53.912 --> 00:45:58.053]  Now other trails that would be left would be absolutely huge.
[00:46:00.154 --> 00:46:02.835]  And they'd start small, like up here.
[00:46:03.075 --> 00:46:05.836]  Every one of these contrails started very small.
[00:46:05.896 --> 00:46:07.377]  This is a fine line.
[00:46:08.097 --> 00:46:14.180]  But then after watching for a minute or two, we would figure out that it would turn into one of these other configurations.
[00:46:14.760 --> 00:46:25.205]  So some of them, we can tell right away, would turn into this type of a plume, which would turn into this white, in other words, kind of a cloud-like formation, but not a real cloud.
[00:46:25.965 --> 00:46:30.848]  It's a man-made cloud according to NASA, and it would cover the whole entire sky.
[00:46:31.489 --> 00:46:39.754]  So these configurations, if we saw anything that looked like this after a short period of time, we knew that this would cover the whole sky.
[00:46:40.515 --> 00:46:55.305]  Now, other configurations, knots on a rope, you'd have something that looked like waves, you would have what we call mushroom type of contrail, where part of the contrail turned into mushroom-like, it looked like mushrooms growing.
[00:46:56.145 --> 00:47:00.269]  On one side of it and the other side would not have that configuration.
[00:47:00.830 --> 00:47:08.877]  So the two sides of the jet engine would release a different type of plume, which would turn into on either side of the jet.
[00:47:09.638 --> 00:47:14.102]  One plume could dissipate quickly, the other plume could turn into a different configuration.
[00:47:14.702 --> 00:47:16.002]  So we thought it odd.
[00:47:16.283 --> 00:47:23.885]  Then we'd have black contrails that would expand and look, expand like the white ones, but look like black.
[00:47:24.125 --> 00:47:27.766]  So we thought, well, what's being released that would turn black?
[00:47:28.707 --> 00:47:35.509]  So all of these contrails I put into this poster so that people could see the feathers and the different ones.
[00:47:36.169 --> 00:47:42.932]  And as this was on the internet, people began to say, we're seeing this type of plume today.
[00:47:42.972 --> 00:47:47.274]  We're seeing a twist, where it looked like there's a twist on one end and then this big plume would come up.
[00:47:48.094 --> 00:47:51.716]  So, they could name the trails, how long they were seeing them.
[00:47:51.756 --> 00:47:55.898]  So, when I talk to people from around the world and in the United States,
[00:47:56.578 --> 00:48:02.741]  And we can discuss what type of trails that they're seeing and then they tell me about more and send pictures of different ones.
[00:48:03.501 --> 00:48:16.187]  Now, this one, this colorful one right here, almost looks like an aurora and this type of contrail is usually laid out before we see this kind of configuration.
[00:48:16.247 --> 00:48:23.090]  Now, without this, you can't see the color in the background unless you have the contrail here.
[00:48:25.191 --> 00:48:27.032]  Show you what it looks like against the cloud.
[00:48:27.072 --> 00:48:29.674]  You can't watch the experiment or whatever's going on.
[00:48:30.094 --> 00:48:32.556]  We never saw anything like this when we were growing up.
[00:48:33.236 --> 00:48:42.602]  My mother, who first saw these when we were back, first seeing this in 2002, said, never saw anything like this.
[00:48:43.082 --> 00:48:43.923]  We would have noticed.
[00:48:44.203 --> 00:48:46.284]  Somebody would have been taking pictures of this.
[00:48:46.384 --> 00:48:50.447]  Someone, see, it has to be new because there were no pictures of this.
[00:48:51.207 --> 00:48:58.617]  So, this is why I invented this particular poster, just so that people could get an idea of the different types.
[00:48:58.737 --> 00:49:00.820]  Well, then, what happens?
[00:49:01.020 --> 00:49:02.782]  Why would you get different types?
[00:49:03.063 --> 00:49:06.487]  And so, the standard answer is, well, there's different atmospheric conditions.
[00:49:07.228 --> 00:49:17.533]  But then we found that one jet would lay a short contrail, another jet right behind it would be leaving one that turned into a huge plume, another one would leave white haze.
[00:49:18.113 --> 00:49:22.556]  So we're saying it can't be just atmospheric conditions, there has to be something else going on.
[00:49:22.996 --> 00:49:30.039]  Then we saw X's and stop and go's, where a jet like this would leave a plume and then all of a sudden it would stop.
[00:49:30.860 --> 00:49:35.162]  We saw spray apparatuses where there was a wingtip to wingtip
[00:49:36.562 --> 00:49:36.982]  Spraying.
[00:49:37.823 --> 00:49:41.704]  So that you could see that there was spray coming off the entire length of the wing.
[00:49:42.264 --> 00:49:44.165]  Stop for a while, then start again.
[00:49:44.265 --> 00:49:45.845]  Stop for a while, start again.
[00:49:46.485 --> 00:49:57.549]  So all of these things were going on and we're saying, this isn't just normal, something that we've seen since 1919, before we even had the equipment and no jet engines.
[00:49:58.009 --> 00:50:04.751]  So when NASA says they've seen contrails, for example, since 1919, not from jet engines because they weren't in existence.
[00:50:05.620 --> 00:50:14.892]  Many times, in recent years, we have seen this configuration, this aurora type configuration here.
[00:50:15.573 --> 00:50:20.940]  However, when you go back into recorded history, people have been taking pictures for a long time.
[00:50:21.621 --> 00:50:47.650]  People have been addressing this issue for a long time and there would have been pictures somewhere somewhere in the sixties and in the fifties someone would have been taking these kind of pictures looking at these type of clouds seeing these configurations and so that's why this is a new phenomenon and this is something we have to address because it's impacting agriculture and the amount of sunlight reaching the earth as these expand.
[00:50:48.290 --> 00:50:51.033]  So, we know that they're having certain problems.
[00:50:51.053 --> 00:50:59.600]  So, we have to get our elected officials to begin to address these issues of how they're impacting our environment and are we going to allow this to continue?
[00:51:00.060 --> 00:51:03.263]  And that's another issue here to be dealt with somewhere down the road.
[00:51:03.723 --> 00:51:05.945]  But this is why I'm bringing all of this to attention.
[00:51:06.425 --> 00:51:12.410]  Now, the other thing is up in these pictures up here, a lot of pictures we have white haze.
[00:51:13.371 --> 00:51:15.612]  And we never had white haze here.
[00:51:15.652 --> 00:51:17.493]  We had clear, deep blue skies.
[00:51:17.533 --> 00:51:18.933]  We could see the stars.
[00:51:19.653 --> 00:51:27.997]  Now we have studies showing that telescopes are going to be worthless, because we're either going to have the white haze, or we're going to have these man-made clouds.
[00:51:28.037 --> 00:51:36.240]  You won't be able to see the stars, which we can't a lot at night, because we've got all of this cloud cover and white haze going on.
[00:51:37.335 --> 00:51:48.005]  But, a lot of times the jets will quit spraying here if they say there's some celestial event going on or there's going to be some sort of fireworks or an air show.
[00:51:48.485 --> 00:51:50.467]  All of a sudden, how come we have blue skies?
[00:51:51.848 --> 00:51:57.893]  Jets aren't leaving contrails anymore just because there's an air show or because some event is taking place.
[00:51:58.574 --> 00:52:00.315]  So, sometimes we have no jets.
[00:52:00.996 --> 00:52:10.180]  And our skies start to go back to blue and the white haze begins to dissipate, but then the minute that they start again, then we go back into having our skies look like this.
[00:52:11.280 --> 00:52:19.164]  That leads us to questions on why rickets is on the rise, where children now in the United States are suffering from rickets, according to the CDC.
[00:52:19.744 --> 00:52:25.867]  University of California at Berkeley, Kaiser Permanente Hospital, are all studying an increase in rickets.
[00:52:26.727 --> 00:52:28.448]  Why are we having rickets?
[00:52:29.352 --> 00:52:36.696]  Well, it's the turn of the century and when children worked in coal mines in the United States, those children suffered with this bone disease called rickets.
[00:52:37.616 --> 00:52:53.204]  Now it's on the rise in the United States and could it be that we're having so much cloud cover from these persistent jet contrails that turn into man-made clouds and haze that we're getting less sunlight and therefore we're not getting enough vitamin D and we're getting cases of rickets.
[00:52:53.745 --> 00:52:55.786]  No one is looking at this subject
[00:52:56.246 --> 00:52:58.169]  With regard to when they're studying rickets.
[00:52:58.229 --> 00:53:08.822]  When I look at their studies, they're studying a lot of other things but they're not studying what's happening in our skies to determine if this is one of the causes and this is something that should be addressed.
[00:53:09.628 --> 00:53:13.471]  What we see from the ground is we'll see a plume and then it expands.
[00:53:14.231 --> 00:53:22.658]  And satellite pictures do show, and I have a lot of them, other people have a lot of them, we've seen them, do show the contrails and they show the cross hatching.
[00:53:23.158 --> 00:53:24.919]  They show that they're expanding.
[00:53:25.100 --> 00:53:32.825]  You can watch them over time on satellite pictures and you can see as there's flights going around over certain areas that they expand.
[00:53:33.426 --> 00:53:34.567]  So we can see them.
[00:53:34.687 --> 00:53:38.590]  So they can see them from space, they can see them from the ground.
[00:53:39.190 --> 00:53:42.752]  So there's no secret here about who's flying the jets.
[00:53:42.832 --> 00:53:44.313]  The FAA keeps records.
[00:53:44.373 --> 00:53:46.674]  Homeland Security keeps records.
[00:53:46.734 --> 00:53:47.914]  Everybody keeps records.
[00:53:48.295 --> 00:53:49.615]  Who's leaving the contrails.
[00:53:50.075 --> 00:53:54.618]  Where these planes take off from because they have to file a flight pass.
[00:53:55.358 --> 00:54:00.921]  And they can see them and they can follow them at the National Weather Service to see how the plume expands.
[00:54:01.681 --> 00:54:03.621]  So this is not a secret.
[00:54:03.661 --> 00:54:09.503]  So the satellite pictures are very revealing and they're very good with looking at this type of phenomenon.
[00:54:10.243 --> 00:54:21.245]  Global dimming just means that the amount of sunlight reaching the earth is beginning to be reduced by cloud cover, by haze, by pollutants.
[00:54:21.945 --> 00:54:29.707]  So the studies have been going on for quite some time now showing that the amount of sunlight reaching the earth is being reduced.
[00:54:30.567 --> 00:54:52.281]  Now, the catch-22 here is, if we're already reducing the amount of sunlight reaching the Earth, then when the geoengineering community says, we need to put particulates up and we need to put other things in the atmosphere to reduce the amount of sunlight reaching the Earth, we are already subjecting ourselves to global dimming from some of our activities and the jets.
[00:54:53.002 --> 00:54:59.266]  So, wouldn't this cause a worse problem because we're not cooling down, technically?
[00:55:00.366 --> 00:55:06.430]  Because we're in a global dimming cycle which is getting... the amount of sunlight reaching the earth is getting less and less.
[00:55:07.050 --> 00:55:19.177]  So I have some questions about global dimming and also about scientists putting more things in the air to stop sunlight reaching the earth because if you don't have the sunlight then you don't have crop production as well.
[00:55:19.297 --> 00:55:28.043]  So human health decline, you know, mental aid, depression, all kinds of things can happen because we obscure the sunlight from reaching the earth.
[00:55:28.783 --> 00:55:44.812]  Weather modification means that someone puts a chemical or particulate, something into the air to seed clouds to get them to rain out or to snow in areas where they may not rain out or snow if left on the normal weather cycles.
[00:55:45.752 --> 00:55:49.956]  So weather modification is done throughout the United States.
[00:55:51.217 --> 00:56:02.646]  Anyone can modify the weather at any time without any congressional oversight, no state oversight, for the most part except for Texas has an advisory body.
[00:56:03.126 --> 00:56:05.488]  But people can go and modify the weather.
[00:56:06.309 --> 00:56:25.417]  They may or may not have to report to the federal government, NOAA, and if they have to report to NOAA, NOAA can probably waive any requirements for reporting, and that's why we think that we don't see a lot of ongoing weather modification reported in the eastern part of the United States, is because they may be waiving the requirement.
[00:56:25.557 --> 00:56:26.598]  We're not sure about this.
[00:56:27.338 --> 00:56:29.600]  But that's another level of investigation.
[00:56:30.100 --> 00:56:45.413]  However, documents that I obtained from NOAA, they're all public record, anyone can obtain them, show that there's over 60 ongoing weather modification programs in the states that are marked in yellow.
[00:56:46.293 --> 00:56:49.016]  Now, I designed this because of NOAA documents.
[00:56:50.174 --> 00:56:59.684]  And documents from Canada and documents from weather modification companies who were openly talking about doing weather modifications in other countries.
[00:57:00.344 --> 00:57:06.991]  So the yellow part of this section is all ongoing weather modification programs.
[00:57:07.611 --> 00:57:11.315]  They can use rockets, small planes, large planes,
[00:57:12.276 --> 00:57:19.403]  They can use any method to ground-based applications, sending shooting things into the air.
[00:57:20.144 --> 00:57:29.293]  All these can be used in weather modification by companies or states or cities, private companies, private individuals, anyone can modify your weather.
[00:57:30.174 --> 00:57:33.256]  Now, they don't need public consent, public permission.
[00:57:33.356 --> 00:57:39.799]  They can use any chemical that they choose, experimental or servo-iodide, which has been around for a long time.
[00:57:40.719 --> 00:57:43.940]  And so, all of these programs are ongoing.
[00:57:44.861 --> 00:57:53.245]  One weather modification can modify 184,000 square miles at one time, and that's bigger than the square miles of the state of California.
[00:57:53.985 --> 00:57:54.205]  Here.
[00:57:55.987 --> 00:57:58.749]  California is only 164,000 square miles and yet one state is modifying 184,000 square miles.
[00:57:58.769 --> 00:58:03.612]  That's bigger than Idaho, is modifying, only has 63,000 square miles, but they can modify 184,000 square miles.
[00:58:03.632 --> 00:58:08.136]  So the range that they're modifying is into other states.
[00:58:19.404 --> 00:58:20.524]  Over other areas.
[00:58:21.264 --> 00:58:31.007]  Now, you can have rain enhancement, snow enhancement, you can have hail suppression, they can dissipate fog, all kinds of programs are going on.
[00:58:31.567 --> 00:58:39.029]  But most of it is involved in putting rainfall or snow, more of it, or into areas where it doesn't usually get very much.
[00:58:39.769 --> 00:58:44.170]  So you can, the impacts, the major impacts are agriculture,
[00:58:44.930 --> 00:58:46.431]  We're good to go.
[00:59:05.010 --> 00:59:12.419]  Um, decided in 2006 to put more snow into the Wyoming mountains than ever in recorded history.
[00:59:13.039 --> 00:59:20.268]  And what they intended to do with that extra is to run it all into Southern California to feed Southern California's thirst here.
[00:59:21.756 --> 00:59:25.538]  So, they implemented the program and they were extremely successful.
[00:59:25.638 --> 00:59:28.419]  Never had Wyoming had so much snow in its mountains.
[00:59:28.959 --> 00:59:36.023]  However, since that time, Colorado and surrounding counties in Wyoming have on and off suffered drought.
[00:59:37.315 --> 00:59:38.216]  We're good to go.
[00:59:57.894 --> 00:59:58.094]  I think?
[01:00:18.628 --> 01:00:19.969]  We're good to go.
[01:00:39.474 --> 01:01:08.954]  Are complaining bitterly that weather and their snow and rainfall is being redirected into other areas by weather modification programs and that the grass isn't growing so that they either have to feed their cattle or go out of business and there's an online discussion of that on March 6, 2008 that you can download from the Texas regulatory body here to listen to their complaints and they even feel that some of the weather modification programs have triggered tornadoes.
[01:01:10.215 --> 01:01:16.459]  So, this is what it looks like here.
[01:01:17.220 --> 01:01:19.041]  Canada modifies the weather here.
[01:01:20.382 --> 01:01:28.008]  You're having some experiments in Florida, and you're having some experiments in Alaska, and Mexico is modifying the weather.
[01:01:28.589 --> 01:01:31.531]  So, as the jet stream moves from west to east,
[01:01:34.369 --> 01:01:46.481]  California and PG&E says, well, if we need extra water, we can take an extra 10% of the water from one of our programs and keep the water from traveling into Nevada.
[01:01:46.521 --> 01:01:54.248]  We will have it rain out and put it in snow, and we will do that so that Nevada could get less water.
[01:01:55.089 --> 01:02:13.234]  So, as the jet stream moves this way, and people are putting in more and more weather modification programs, it's going to affect agriculture, watersheds, water supplies, as it goes this way, because you're going to be putting it in places that don't need it for private gain, commercial gain.
[01:02:13.254 --> 01:02:22.737]  A ski resort could have a weather modification over their ski resort, which might take water from somewhere else, or snow, from some other location.
[01:02:23.817 --> 01:02:39.747]  We need to get Senator Kay Bailey Hutchison's bill, number 601, defeated this year because it allows anyone to mitigate or modify the weather with very little definition of mitigation in order to do what?
[01:02:41.028 --> 01:02:48.811]  So, but all these government agencies would be allowed without congressional oversight or public consent to modify the weather.
[01:02:48.871 --> 01:02:52.052]  So what happens to crop production?
[01:02:52.872 --> 01:02:55.713]  What happens to normal climates?
[01:02:55.753 --> 01:02:57.453]  We can disrupt the microclimates.
[01:02:58.133 --> 01:02:59.394]  And we add to this
[01:03:00.054 --> 01:03:00.454]  Thank you.
[01:03:18.746 --> 01:03:25.629]  All across the United States we're having weird weather events or lightning events because there's lots of experiments.
[01:03:25.709 --> 01:03:27.950]  We have lightning experiments as well going on.
[01:03:28.670 --> 01:03:37.254]  So there's lots of things going on which impact all of us, but it's our food supply and our water supply that is going to be impacted the most from all of this.
[01:03:38.638 --> 01:03:47.464]  I'm not sure to what extent, but we're becoming more and more sophisticated in being able to possibly manipulate the jet stream.
[01:03:48.445 --> 01:03:59.153]  We're being more sophisticated in what MIT professor Emmanuel said in a television program that I saw on the Discovery Channel that was talking about this issue.
[01:03:59.593 --> 01:04:02.996]  He was saying that what we can do is we can take carbon black
[01:04:04.153 --> 01:04:30.847]  Okay and we can take jets and we can release carbon black on the west coast and as it heats up going across the United States it creates these weather fronts that grow in intensity and what it can do is it can these weather fronts grow in intensity so that when there's a hurricane coming in over here the jet stream and these fronts are moving this way and it would push the hurricanes off the coast.
[01:04:32.273 --> 01:04:42.184]  Now, he talked about a fleet of jet airplanes releasing carbon black that would create these disturbances or perturbances, as he calls them, or fronts.
[01:04:42.745 --> 01:04:48.511]  My question is, what happens to the weather as this carbon black, which is soot,
[01:04:49.252 --> 01:04:53.455]  Which is a pollutant that we don't like in our cars and automobiles and jets.
[01:04:54.035 --> 01:04:58.237]  Starts being released by a series of jets and what happens to the weather?
[01:04:58.858 --> 01:05:01.619]  What happens to the air quality as this is happening?
[01:05:02.280 --> 01:05:15.828]  What happens to agriculture as you change the fronts and the weather that's going on across the United States just to redirect a hurricane off, in other words, from Florida or some area on the East Coast?
[01:05:16.588 --> 01:05:21.814]  So these are being proposed, these geoengineering projects are being proposed.
[01:05:22.515 --> 01:05:33.586]  We kind of feel that since we're seeing black contrails here every so often, that they may be starting to practice with this so that they could determine and see if this particular project would work.
[01:05:34.602 --> 01:05:38.523]  There's a treaty against using, manipulating the weather for warfare.
[01:05:38.883 --> 01:05:44.285]  There's also a treaty against having weather modification programs that last more than so many days, etc.
[01:05:44.945 --> 01:05:50.527]  But everyone is engaged here, as you can see from this map, in modifying the weather.
[01:05:50.927 --> 01:05:52.528]  There's something going on all over.
[01:05:52.588 --> 01:05:54.929]  The programs can last as long as they want.
[01:05:55.569 --> 01:06:16.502]  All this is going on, and as we perfect this, and do studies and research, and they perfect, more and more they will be able to control the weather, change what's happening, and when they do that, they disrupt your watersheds, the water supplies to your watersheds, and they disrupt agriculture and the microclimates needed to produce crops.
[01:06:17.162 --> 01:06:20.303]  And so the detrimental effect is on all of us.
[01:06:20.503 --> 01:06:25.364]  And I think that they're at some point with these weather modification programs experimenting on us.
[01:06:25.844 --> 01:06:31.285]  In other words, we're the guinea pigs to see that if we do this, then we may have this effect.
[01:06:31.925 --> 01:06:34.286]  And we could be used to perfect it.
[01:06:34.346 --> 01:06:39.607]  And since there's no oversight, no rules, any chemicals can be used, any experiment,
[01:06:40.307 --> 01:06:50.153]  With regard to the atmosphere and that the public has no say, then this is a dangerous thing that we're experimenting with because we could be destroying our own food supplies.
[01:06:59.508 --> 01:07:01.989]  Visit InfoWars.com and PrisonPlanet.com.
[01:07:02.449 --> 01:07:07.612]  When you're on the site, you can also tune in 24 hours a day to my daily radio broadcast.
[01:07:07.792 --> 01:07:11.614]  There's also a free iPhone app to listen to the syndicated radio show when and where you want.
