[00:00:00.709 --> 00:00:03.691]  On that number, 1-800-409-5633.
[00:27:11.588 --> 00:27:17.852]  Okay, and we get so many intellectuals on here and researchers who say, oh no, the elite are short-sighted.
[00:27:18.133 --> 00:27:25.257]  But when you look at their long-term plans, their admitted Ford Foundation operations, Brzezinski's 25- and 50-year plans, no!
[00:27:26.999 --> 00:27:31.922]  Of course, the political science head at Georgetown, Carol Quigley, he says 30-year, 50-year plans.
[00:27:32.342 --> 00:27:33.323]  So no, it is
[00:27:33.643 --> 00:27:34.583]  We should be very concerned.
[00:27:34.603 --> 00:27:38.325]  If we want to keep our republic, and the United States is not a democracy, it's a republic.
[00:27:38.345 --> 00:27:39.586]  Let me make that clear.
[00:28:02.341 --> 00:28:07.824]  You cannot have a democracy in a confederated republic.
[00:28:07.884 --> 00:28:12.406]  Our principles may be democratic, but our actual form of government is republican.
[00:28:13.647 --> 00:28:15.087]  That should settle that question.
[00:28:15.808 --> 00:28:21.290]  And of course we ought to be concerned, because here you have an organization that's permeated every strata of our society.
[00:28:23.208 --> 00:28:23.728]  We're good to go.
[00:28:47.018 --> 00:28:49.480]  In 1972, they told me to go and hang myself.
[00:28:49.581 --> 00:28:51.322]  It did all kinds of nasty things to me.
[00:28:51.702 --> 00:28:57.888]  But if you look back at my record, you'll find that I've made over 500 predictions.
[00:28:57.948 --> 00:29:07.616]  I hate to use the word, but I said these things were going to happen in the future, and I think that most of them, we went through them just the other day, and most of them,
[00:29:08.740 --> 00:29:09.560]  I've come to pass.
[00:29:09.741 --> 00:29:12.082]  So I think I've got a fairly good record.
[00:29:27.651 --> 00:29:40.402]  And of course, would you agree with some of the other historians we've had on that this ties into England, Germany, the Dutch, but also the model that the British picked up out of some of the Italian families?
[00:29:41.203 --> 00:29:41.984]  Oh, absolutely.
[00:29:42.684 --> 00:29:49.811]  The Italian families, like the Bernatis, they were the model of this organization and most of these people.
[00:29:50.313 --> 00:30:02.601]  The old Florentine and Venetian black nobility, they were not black, their skins weren't black, but they were known as black nobility by the people of the cities because their deeds were so evil that they could not stand the light of day.
[00:30:03.522 --> 00:30:05.723]  And they didn't take too much trouble to hide them either.
[00:30:05.763 --> 00:30:07.705]  That's why they called them the black nobility.
[00:30:08.585 --> 00:30:11.827]  And you know, that's the dynasty that Queen Victoria of England sprang from.
[00:30:11.847 --> 00:30:18.472]  So I'll give you some idea just how big these organizations have grown.
[00:30:20.185 --> 00:30:29.532]  Yeah, I've seen a lot of people now that are out there that have basically taken your work on the Black Nobility and basically declare it as their own.
[00:30:29.592 --> 00:30:33.115]  But that's the greatest form of flattery, is imitation.
[00:30:33.916 --> 00:30:40.180]  I know that, and I think my work might well be in the United States anyway.
[00:30:40.441 --> 00:30:46.765]  This type of information, the most plagiarized of all books of the conspiracy theories.
[00:30:47.626 --> 00:30:49.888]  But that's alright, as long as we get the news out there.
[00:30:50.694 --> 00:30:51.454]  That's the main thing.
[00:30:51.654 --> 00:30:52.875]  Well, let's continue.
[00:30:52.895 --> 00:30:55.535]  You talk about an autocratic, oppressive world government.
[00:30:56.856 --> 00:31:00.217]  So from their documents, from the research, are they on schedule?
[00:31:00.917 --> 00:31:06.438]  Brzezinski two weeks ago told the CFR, for the first time the world is awake to their world government, that they're in trouble.
[00:31:06.959 --> 00:31:07.979]  A. Do you agree with that?
[00:31:08.539 --> 00:31:12.880]  And B. Flesh out from your research the type of world they want to build.
[00:31:13.680 --> 00:31:16.581]  Well, they have been uncovered.
[00:31:16.621 --> 00:31:17.401]  That's the whole thing.
[00:31:17.722 --> 00:31:19.282]  That's not something they bargained for.
[00:31:20.279 --> 00:31:22.640]  They certainly didn't bargain for that at all.
[00:31:23.680 --> 00:31:27.421]  It strives, as I said, for a one-world government.
[00:31:28.021 --> 00:31:30.161]  A new world order inside a one-world government.
[00:31:30.201 --> 00:31:31.102]  That's the ultimate.
[00:31:31.862 --> 00:31:40.004]  Where you have a few people at the very top, and you have the middle management, and then you have the lower management, and then you have what's called the masses.
[00:31:40.044 --> 00:31:40.484]  That's us.
[00:31:40.524 --> 00:31:41.044]  That's me.
[00:31:41.104 --> 00:31:41.504]  That's you.
[00:31:42.524 --> 00:31:49.046]  We are destined to be controlled, the population controlled, by various measures worldwide.
[00:31:49.648 --> 00:31:51.149]  Uh, disease and wars.
[00:31:51.769 --> 00:31:56.512]  But Bertrand Russell, a senior statesman, once said that wars seem to have been disappointing.
[00:31:56.753 --> 00:31:57.993]  They haven't killed enough people.
[00:31:58.714 --> 00:32:09.440]  So what he said, we need to reintroduce periodically plagues like the Black Plague, where millions of people get wiped out until we get to our optimum size population.
[00:32:10.141 --> 00:32:12.002]  These are the things that are very, very real.
[00:32:12.702 --> 00:32:15.144]  They're not the pigments of my imagination, believe me.
[00:32:17.233 --> 00:32:22.775]  No, I've read, I've actually got the Marshall and Russell books where he talks about that, and then he's hailed as a liberal!
[00:32:23.876 --> 00:32:33.320]  And he talks about the scientific dictatorship, where a revolt of the commoners will be as impossible as a revolt of sheep against the practice of eating mutton.
[00:32:34.080 --> 00:32:39.222]  Exactly, that's exactly what, that's exactly what their intention was.
[00:32:39.842 --> 00:32:45.645]  And you know, I had to bring Hitler into the thing, but Hitler's, Mr. German eugenics program was actually
[00:32:46.477 --> 00:32:51.322]  Started in America by the mother of the late Admiral Harriman.
[00:32:51.762 --> 00:32:54.685]  She had a eugenic society based in Upper New York State.
[00:32:55.366 --> 00:33:10.881]  And she had a huge meeting in 19, uh, when I think it was about 1921, I'm not sure of the date, of the eugenic societies and a lot of German dignitaries came and that's actually where Hitler got his extermination policies.
[00:33:11.206 --> 00:33:15.629]  Well, the Kaiser Wilhelm Institute was fully bankrolled by the Rockefeller family on record.
[00:33:16.069 --> 00:33:19.491]  Absolutely correct.
[00:33:19.571 --> 00:33:24.614]  Let me throw this curveball in because, you know, there's big debates on the internet by people that don't do research.
[00:33:24.995 --> 00:33:30.818]  I understand it's an imperial, corporate, letter-of-mark, you know, commerce system.
[00:33:31.098 --> 00:33:35.981]  And that's how the globalists describe themselves, because I actually read their documents like you do.
[00:33:36.422 --> 00:33:39.844]  But there's this obsession with, it's Catholics that run it all.
[00:33:40.424 --> 00:33:42.485]  It's Jews that run it all, or it's this group.
[00:33:42.786 --> 00:33:54.273]  But when you look at it, it doesn't matter if it's Jews, Protestants, Catholics, Hindus, Japanese, Chinese, the top families are all part of this power structure and all push for the same thing.
[00:33:54.293 --> 00:34:07.782]  And I see it as very destructive, but I see this major eugenics, I don't want to say Nazi, because as you mentioned, it was just an off-growth of this, this scientific dictatorship, eugenics movement is at the heart of it, that's what it's all about, a super race,
[00:34:08.542 --> 00:34:13.326]  And then you have this big movement that, no, it's Rothschilds, it's Jews, they run it all.
[00:34:14.027 --> 00:34:19.832]  And then you do see powerful Jewish families supporting the eugenics movement, even though they get stung by it.
[00:34:20.172 --> 00:34:25.497]  So this is a very, I don't want to call it Nazi death cult, because, again, it predates that.
[00:34:26.578 --> 00:34:30.602]  So what is the main power makeup of the New World Order?
[00:34:31.636 --> 00:34:34.677]  Well, it's a one-world government.
[00:34:35.197 --> 00:34:50.562]  A one-world government composed of the members of the Committee of 300 inside a New World Order, where they propose to change every government in the world and make it submit to this New World Order government, and that's the one-world government.
[00:34:50.642 --> 00:34:52.163]  That's exactly what they're trying to do.
[00:34:55.091 --> 00:34:57.933]  They just want to have countries like the United States and China.
[00:34:57.973 --> 00:35:03.417]  They want a one world government where loyalty to nationality will no longer be an issue.
[00:35:05.799 --> 00:35:08.821]  And so it's not, from your research, a racial conspiracy.
[00:35:08.881 --> 00:35:09.582]  It's an idea.
[00:35:09.602 --> 00:35:10.843]  It's an idea.
[00:35:10.863 --> 00:35:14.085]  It's an idea that they said has come.
[00:35:14.506 --> 00:35:15.186]  Time has come.
[00:35:15.847 --> 00:35:19.630]  And they're running behind their timetable because they've been thought of opposition.
[00:35:19.670 --> 00:35:20.550]  For instance, Stalin.
[00:35:21.391 --> 00:35:22.572]  As bad a guy as he was.
[00:35:23.769 --> 00:35:24.669]  He had his good points.
[00:35:24.709 --> 00:35:26.290]  He threw a spanner in the works of this.
[00:35:26.330 --> 00:35:33.233]  He said, I'm not going to be beheld in a great country like Russia to a bunch of cosmopolitans meeting in New York.
[00:35:33.933 --> 00:35:35.474]  And he said, we'll fight them to the end.
[00:35:35.674 --> 00:35:36.974]  And that's exactly what he did.
[00:35:37.074 --> 00:35:43.037]  And of course, Russia today is still a thorn in the side of the flesh of this organization because they have not joined it.
[00:35:43.497 --> 00:35:48.759]  In spite of the pressure to wreck their economy, which very nearly succeeded at one stage, but
[00:35:49.395 --> 00:35:53.437]  Thanks to Putin coming in, they managed to pull themselves around.
[00:35:54.098 --> 00:35:57.579]  And you can know that they're vast, vast natural resources.
[00:35:57.640 --> 00:35:59.921]  Russia should be one of the greatest countries in the world.
[00:36:00.841 --> 00:36:05.624]  But they've been robbed blind by people in the past, these enormous, powerful combines.
[00:36:06.994 --> 00:36:24.446]  Well, I mean, specifically from my research, when the globalist puppet was kicked out, then you got the drunken semi-puppet who was then replaced by his Vice President Putin.
[00:36:25.066 --> 00:36:30.310]  So Boris Yeltsin, from my research, was a puppet, did let the banking oligarchs come in and take over.
[00:36:31.350 --> 00:36:31.711]  He did.
[00:36:32.331 --> 00:36:35.993]  But then Putin kicked them out of the nation.
[00:36:37.514 --> 00:36:38.234]  That's what he did.
[00:36:38.695 --> 00:36:38.935]  Yes.
[00:36:39.335 --> 00:36:40.615]  That's exactly what happened.
[00:36:41.196 --> 00:36:42.816]  Yeltsin was a drunken puppet.
[00:36:43.556 --> 00:36:47.258]  And he lived in a fog of alcoholic haze all of his life.
[00:36:47.798 --> 00:36:49.039]  His adult life, anyway.
[00:36:49.639 --> 00:36:53.940]  And Russia was teetering on the very, very brink when Putin came to power.
[00:36:54.541 --> 00:36:58.282]  And he cancelled all his monopolies and all of these international bankers fled.
[00:36:58.942 --> 00:37:00.123]  Many of them fled to England.
[00:37:00.463 --> 00:37:02.003]  Most of them went to Israel.
[00:37:04.488 --> 00:37:08.670]  Berezovsky is the big man in England who runs the show there.
[00:37:09.311 --> 00:37:11.992]  He owns football clubs and enormous property holdings.
[00:37:12.012 --> 00:37:13.533]  He's an extremely wealthy man.
[00:37:13.894 --> 00:37:19.397]  And the Russians have asked repeatedly for him to extradite him to Russia, and they refused to do so.
[00:37:21.458 --> 00:37:26.081]  You know, you'd think for all of Russia's power, they could do something about Mr. Berezovsky.
[00:37:26.581 --> 00:37:30.023]  Well, they did go over and assassinate one guy who was close to him.
[00:37:30.043 --> 00:37:33.205]  They poisoned him with plutonium, a terrible death.
[00:37:34.028 --> 00:37:36.009]  But they've not been able to get near to him.
[00:37:36.109 --> 00:37:38.351]  He lives in a guarded compound.
[00:37:38.911 --> 00:37:42.113]  And he never goes around except with about 10 or 12 bodyguards.
[00:37:43.073 --> 00:37:50.958]  And usually, Russia does not like to commit atrocities in public if they're going to assassinate a guy done in secret.
[00:37:52.079 --> 00:37:56.241]  And I spoke to one of the Russian generals myself once.
[00:37:56.981 --> 00:37:58.963]  He didn't want to say too much about it.
[00:37:58.983 --> 00:38:01.384]  He said, but they don't believe in making a spectacle.
[00:38:02.119 --> 00:38:04.100]  When they want to get rid of somebody.
[00:38:07.261 --> 00:38:11.263]  Though the Committee of 300 does like to make a spectacle, I've noticed.
[00:38:12.023 --> 00:38:12.884]  Oh yes, it does.
[00:38:13.024 --> 00:38:18.606]  But as I said, Russia's been on the thwarted side of the Committee of 300 for many, many years.
[00:38:18.866 --> 00:38:22.648]  From Stalin's days, they refused to obey the dictates of the Committee.
[00:38:23.989 --> 00:38:24.989]  And it cost them dearly.
[00:38:28.110 --> 00:38:31.572]  You know, it's interesting, Albert Gore's been in the news lately.
[00:38:32.765 --> 00:38:42.008]  And his father actually got many of the concessions that were given out by Yeltsin, and he was extremely rich from that.
[00:38:45.330 --> 00:38:46.190]  It's amazing.
[00:38:47.090 --> 00:38:53.453]  Now, again, going back to Russia, this has got to be upsetting, the New World Order clan.
[00:38:53.833 --> 00:38:56.414]  Now, for my research, though, the committee did help
[00:38:57.358 --> 00:39:04.604]  Knock off their cousin, the Tsar, and did help put the Bolsheviks in, or is that incorrect from your research?
[00:39:04.624 --> 00:39:06.025]  No, that's absolutely correct.
[00:39:06.045 --> 00:39:06.866]  They did do that.
[00:39:07.666 --> 00:39:16.874]  They did get rid of the royal family of the Tsars, because the Tsars were trying to Christianize Russia, and that they didn't want.
[00:39:16.934 --> 00:39:24.880]  They wanted a nation of non-Christian people, so that they could easily get in and
[00:39:25.620 --> 00:39:27.721]  Completely compromised the whole situation.
[00:39:28.221 --> 00:39:36.203]  Because they found that statistically real Christians will create amazing independent local wealth and strong families, correct?
[00:39:36.443 --> 00:39:38.323]  That's exactly why they want to get rid of them.
[00:39:38.723 --> 00:39:43.624]  And if you notice that all of the Bolshevik leaders were actually non-Russian people.
[00:39:43.985 --> 00:39:44.645]  Every one of them.
[00:39:45.665 --> 00:39:50.046]  All the people who fomented the Bolshevik Revolution were non-Russian nationals.
[00:39:50.146 --> 00:39:53.767]  In other words, they were not... They were born in Russia, but they were
[00:39:54.659 --> 00:39:57.234]  They were able to speak Russian, but they were not of the soil of Russia.
[00:39:57.314 --> 00:39:58.380]  They were not actually Russian.
[00:40:00.020 --> 00:40:04.661]  All right, shifting gears yet again in the time we've got, and I want to get you back up in the next few weeks.
[00:40:04.701 --> 00:40:08.242]  I don't know how it's been years, years, I think eight years since we've had you on.
[00:40:09.643 --> 00:40:21.466]  You just blink and decades flash past, but in the time we've got left, you do concur with many of the other experts we have on and the Globalist on statements that they're in trouble.
[00:40:21.786 --> 00:40:27.888]  How much trouble from your expert analysis are they in, and what are you concerned about being their next move?
[00:40:29.301 --> 00:40:36.383]  The next move I'm afraid of being concerned that they will try to bring in totalitarian government in through the back door.
[00:40:37.003 --> 00:40:48.106]  And if you look at many of the bills and measures that Obama has passed, these smack of socialism to a degree I've never seen before in American politics.
[00:40:49.006 --> 00:40:52.327]  And this is the kind of sneaky backdoor entrance that they hope to make.
[00:40:53.507 --> 00:40:56.208]  You know, an alert populace.
[00:40:56.826 --> 00:41:01.647]  We'll resist whatever is trying to upset their way of life.
[00:41:01.767 --> 00:41:08.568]  But a sleeping giant like the American people would not easily stop this.
[00:41:09.288 --> 00:41:12.029]  So they're trying to lull them into a false sense of security.
[00:41:13.089 --> 00:41:25.631]  And I think that the pronouncements and the measures that have been passed by the Obama administration are the most socialistic I've ever encountered in America's history.
[00:41:27.386 --> 00:41:31.308]  Well, we're seeing open pushes to shut down free speech.
[00:41:31.388 --> 00:41:36.991]  We're seeing naked body scanners where they admit they record your naked body now to break our will.
[00:41:38.271 --> 00:41:40.272]  The paramilitarization of police.
[00:41:40.312 --> 00:41:41.973]  The open federalization of police.
[00:41:42.833 --> 00:41:45.835]  All these leaders pushing for the secret arrest of citizens.
[00:41:46.275 --> 00:41:48.616]  The extrajudicial stripping of our citizenship.
[00:41:48.876 --> 00:41:49.777]  I mean, that's 110% bona fide tyranny.
[00:41:53.038 --> 00:41:53.398]  It is.
[00:41:53.918 --> 00:41:59.460]  But you see, what they are striving to do is to abolish the Constitution altogether.
[00:41:59.920 --> 00:42:06.663]  But if they can't do that in one fell swoop, then what they're trying to do is abolish the state right, the 10th Amendment.
[00:42:07.463 --> 00:42:15.546]  And they think that this way, people will be much less powerful, and they'll be much more vulnerable for a takeover.
[00:42:16.326 --> 00:42:21.088]  And if you look at all the measures that have been aimed against state government, it's very, very alarming.
[00:42:21.803 --> 00:42:26.624]  Well, it's all designed to bankrupt them and turn them into vassal serfs who are going to break.
[00:42:26.944 --> 00:42:35.466]  That's why it's so important people get the film, Don't Tread on Me, Rise of the Republic, with myself, Michael Magneric, Richard Mack, Charles Key, Cynthia Davis, Edwin Vieira, and others.
[00:42:35.826 --> 00:42:38.647]  This will teach you the difference between a republic and a democracy.
[00:42:39.087 --> 00:42:42.628]  This will show you how we get sheriffs elected, how we take the states back.
[00:42:43.808 --> 00:42:47.930]  As Victor Hugo said, no army can stop an idea whose time has come.
[00:42:49.351 --> 00:42:52.572]  If you will simply carry the ball, folks, we are unstoppable.
[00:42:52.612 --> 00:42:55.313]  Get Don't Tread on Me at InfoWars.com.
[00:42:55.594 --> 00:42:59.295]  Get the book Committee of 300 at Coleman300.com.
[00:42:59.735 --> 00:43:02.837]  Final amazing segment with our guest, straight ahead.
[00:43:05.734 --> 00:43:08.895]  Hounded by debt collectors with phone calls and letters?
[00:43:09.275 --> 00:43:11.115]  Thinking of calling a debt relief company?
[00:43:11.555 --> 00:43:11.975]  Don't!
[00:43:12.415 --> 00:43:15.456]  Greedy lawyers and debt companies charge thousands.
[00:43:15.856 --> 00:43:22.998]  Why pay when you can get their solution absolutely free with New York Times best-selling author Herb K.'
[00:43:22.978 --> 00:43:24.638]  's number one debt secret.
[00:43:24.958 --> 00:43:28.619]  The how-to on stopping the calls without paying the debt companies.
[00:43:29.019 --> 00:43:31.742]  Yes, free for a very limited time.
[00:43:31.762 --> 00:43:39.211]  Here's Herb K. Don't get ripped off by credit repair companies when I can give you the information you need to do it yourself for free.
[00:43:39.531 --> 00:43:40.532]  Herb K was right.
[00:43:40.732 --> 00:43:43.776]  His free information helped me stop the calls and settle my debt.
[00:43:43.956 --> 00:43:44.957]  What have you got to lose?
[00:43:45.357 --> 00:43:46.338]  Stop the calls now!
[00:43:46.639 --> 00:43:48.340]  Get out of debt and have more money!
[00:43:48.640 --> 00:43:49.321]  Get Herb K.'
[00:43:49.221 --> 00:43:51.723]  's number one death secret absolutely free now!
[00:43:51.883 --> 00:43:52.244]  Call 800-822-1291.
[00:43:52.544 --> 00:43:53.065]  That's 800-822-1291.
[00:43:53.085 --> 00:43:53.125]  800-822-1291.
[00:44:05.549 --> 00:44:10.411]  The question is, where should the American people draw their line in the sand?
[00:44:10.511 --> 00:44:11.291]  What have we got?
[00:44:11.492 --> 00:44:13.632]  A republic or a monarchy?
[00:44:13.953 --> 00:44:14.673]  A republic.
[00:44:14.973 --> 00:44:17.534]  It's based on a constitution which protects minority rights.
[00:44:17.614 --> 00:44:19.515]  Not democracy, not mob rule.
[00:44:19.875 --> 00:44:21.776]  Two wolves and a sheep voting on what's for dinner.
[00:44:21.896 --> 00:44:23.177]  So they think they own our land?
[00:44:23.577 --> 00:44:24.697]  They think they own our water?
[00:44:24.897 --> 00:44:25.297]  Children?
[00:44:25.498 --> 00:44:26.298]  Our education?
[00:44:26.618 --> 00:44:27.258]  Our money?
[00:44:27.458 --> 00:44:31.100]  We have to define who we are and what we will tolerate.
[00:44:31.480 --> 00:44:35.126]  Somebody's gonna ask you what you did during the Patriot Uprising.
[00:44:36.448 --> 00:44:37.289]  We have the facts.
[00:44:37.469 --> 00:44:38.591]  We have the Constitution.
[00:44:38.631 --> 00:44:39.512]  We have the Bill of Rights.
[00:44:39.552 --> 00:44:40.373]  We have common law.
[00:44:40.434 --> 00:44:42.677]  Knowledge is power, ladies and gentlemen.
[00:44:42.957 --> 00:44:46.723]  And I'm so excited to be able to offer you Don't Tread on Me, Rise of the Republic.
[00:44:46.823 --> 00:44:51.607]  Tyranny is upon us, but liberty and the sleeping giant that is the American people is rising.
[00:44:51.787 --> 00:44:53.149]  A new tool in the Info War.
[00:44:53.289 --> 00:44:54.129]  Don't tread on me.
[00:44:54.370 --> 00:45:01.236]  Order it at InfoWars.com or PrisonPlanet.com or call toll free 888-253-3139 and support independent patriotic liberty films.
[00:45:05.501 --> 00:45:08.404]  If you suffer from poor sleep, you've gotta try MyPillow!
[00:45:08.704 --> 00:45:12.188]  Introducing the most revolutionary, most comfortable, and coolest pillow ever!
[00:45:12.448 --> 00:45:13.068]  MyPillow!
[00:45:13.309 --> 00:45:15.351]  Imagine your very own custom fit pillow!
[00:45:15.611 --> 00:45:19.315]  MyPillow is the only pillow of its kind on the market that uses a patented fill!
[00:45:19.555 --> 00:45:21.617]  Custom made to your exact individual needs!
[00:45:21.937 --> 00:45:27.660]  MyPillow is 100% made in the USA and has a natural built-in cooling effect that keeps your cervical nerves cool.
[00:45:27.900 --> 00:45:30.382]  And that helps you get the best REM sleep possible.
[00:45:30.642 --> 00:45:34.764]  MyPillow helps alleviate snoring, migraine, sleep apnea and other sleeping disorders.
[00:45:34.984 --> 00:45:42.088]  MyPillow is antimicrobial, non-allergenic, dust mite resistant, machine washable and dryable, comes in many sizes and will not go flat.
[00:45:42.268 --> 00:45:46.711]  And best of all, MyPillow comes with a 10-year warranty and a 60-day money-back guarantee.
[00:45:46.991 --> 00:45:49.032]  So what do you have to lose except poor sleep?
[00:45:49.432 --> 00:45:51.034]  Go to MyPillowShop.com.
[00:45:51.174 --> 00:45:54.357]  Mention coupon code GCN and receive up to $40 off.
[00:45:54.477 --> 00:45:56.078]  That's MyPillowShop.com.
[00:45:56.278 --> 00:45:56.619]  Or call 952-442-6199.
[00:45:56.639 --> 00:45:56.979]  That's 952-442-6199.
[00:45:57.019 --> 00:45:57.339]  MyPillow.
[00:45:57.419 --> 00:45:58.340]  For the rest of your life.
[00:46:09.304 --> 00:46:11.486]  You know, I've said it many times, I'll say it again.
[00:46:11.506 --> 00:46:14.187]  I'm not your slave, ladies and gentlemen.
[00:46:15.168 --> 00:46:16.749]  I'm not the slave of the New World Order.
[00:46:16.769 --> 00:46:20.652]  We all need to basically declare that information publicly.
[00:46:22.230 --> 00:46:23.650]  Dr. John Coleman is our guest.
[00:46:24.911 --> 00:46:25.751]  This isn't a game.
[00:46:25.811 --> 00:46:26.631]  It's not a joke.
[00:46:26.711 --> 00:46:28.511]  It's not a drill.
[00:46:28.972 --> 00:46:30.252]  There is a world government.
[00:46:30.292 --> 00:46:31.212]  It's out in the open.
[00:46:31.312 --> 00:46:32.432]  The denial is over.
[00:46:33.032 --> 00:46:36.493]  We are going into high-tech slavery unless we turn this around.
[00:46:37.193 --> 00:46:45.695]  And the way these controllers get away with this is they have so many dumbed-down minions that serve them in compartmentalized positions who feel like they're part of the winning team.
[00:46:46.276 --> 00:46:47.756]  But this oppressive system
[00:46:48.556 --> 00:46:49.017]  I do, absolutely.
[00:46:49.037 --> 00:46:50.358]  That's only the beginning of the nightmare.
[00:47:07.065 --> 00:47:12.830]  Let's briefly talk about the nightmare, and then you're going to join us coming up in about a week and a half on Monday the 14th for part two.
[00:47:12.890 --> 00:47:20.236]  But if they are able to get their scientific dictatorship in place, which they're very close to, what is the nightmare?
[00:47:21.037 --> 00:47:25.300]  The nightmare will be that you will have no more rights of any kind.
[00:47:25.761 --> 00:47:28.003]  You'll be told exactly what to do, when to do.
[00:47:28.023 --> 00:47:31.225]  You'll be told what type of employment you can have or not have.
[00:47:32.126 --> 00:47:34.368]  And it just goes on and on and on.
[00:47:35.802 --> 00:47:41.904]  In other words, every individual in the United States will be fully controlled and told exactly what he can and cannot do.
[00:47:41.964 --> 00:47:52.308]  Yeah, I saw Bill Gates a few weeks ago bragging that he loves China because they're now deciding what children will be off of their DNA.
[00:47:52.608 --> 00:47:57.610]  But of course, in the state can claim whatever they want and say that your DNA shows this or that.
[00:47:58.110 --> 00:47:59.450]  I mean, this is total control.
[00:47:59.510 --> 00:48:04.632]  This is them taking control of the human species, of our evolutionary development.
[00:48:05.683 --> 00:48:07.084]  That's exactly what they're doing.
[00:48:07.164 --> 00:48:11.487]  They've always said that man is nothing more than a mind and matter.
[00:48:11.507 --> 00:48:19.812]  He's not an intelligent being, even, and he is born to be controlled, and we're the people who are going to do the controlling.
[00:48:21.433 --> 00:48:26.156]  So, that's more or less the situation with him.
[00:48:26.536 --> 00:48:28.857]  But we can take heart, though, in the awakening.
[00:48:29.958 --> 00:48:32.720]  Are they concerned about the awakening that's happening, Doctor?
[00:48:35.708 --> 00:48:38.121]  Excuse me a minute, there's another phone ringing in my office.
[00:48:38.141 --> 00:48:39.226]  I'm trying to disconnect it.
[00:48:40.034 --> 00:48:40.895]  All right, I understand.
[00:48:40.915 --> 00:48:51.604]  Again, we're going to have him back up with us next week, or not next week, the Monday following next week, about 10-11 days from now for a Part 2 interview.
[00:48:51.644 --> 00:48:52.985]  So many great patriots out there.
[00:48:53.025 --> 00:48:56.388]  And I remember over a decade ago reading his book and learning so much.
[00:48:56.428 --> 00:49:04.755]  And since then, you know, I've done my own research separately into many areas and just continue to realize how groundbreaking this information is.
[00:49:05.976 --> 00:49:13.098]  For those that just joined us, it's so important for people to see the film in-game, Blueprint for Global Enslavement, so they understand the agenda we're facing.
[00:49:13.718 --> 00:49:22.021]  Sir, you were finishing up with commenting on the fact that they've been exposed and they are concerned.
[00:49:22.081 --> 00:49:23.221]  How concerned are they?
[00:49:23.901 --> 00:49:29.583]  They're very concerned because you've got... You know, Stalin knew about this game to happen a long time ago.
[00:49:29.603 --> 00:49:34.144]  That's why he demanded to get the atom bomb from the United States.
[00:49:34.966 --> 00:49:45.134]  Because he said he didn't tell his friends, Roosevelt and company, what he wanted them for, but he said that this would definitely be needed for him to cooperate with them.
[00:49:45.194 --> 00:49:50.018]  He wanted, said, to defend Russia, but he really was going to defend Russia against the New World Order.
[00:49:50.899 --> 00:49:55.203]  And he did not wish the people in Russia to be subject to that.
[00:49:55.823 --> 00:49:56.984]  So he wasn't all bad.
[00:49:57.064 --> 00:49:58.465]  Of course, he wasn't really a Russian.
[00:49:58.485 --> 00:49:59.266]  He was a Georgian.
[00:50:00.167 --> 00:50:02.709]  But that is basically
[00:50:03.385 --> 00:50:07.508]  The intent to enslave everybody in a new world order, one world government system.
[00:50:08.088 --> 00:50:17.674]  Now it sounds very far-fetched, but there's a great deal of logic behind it, and there's a great deal of information that I was managed, I managed on Earth.
[00:50:17.734 --> 00:50:19.975]  Well, sir, you've been talking about this for decades.
[00:50:20.015 --> 00:50:21.276]  Now it's out in the open.
[00:50:21.336 --> 00:50:21.937]  It is H.G.
[00:50:22.397 --> 00:50:23.618]  Wells' open conspiracy.
[00:50:23.638 --> 00:50:24.698]  It is now.
[00:50:24.878 --> 00:50:25.279]  It is now.
[00:50:25.299 --> 00:50:30.082]  And as I was saying in the beginning, people said I was off the wall and I belonged in lunatic asylum.
[00:50:30.102 --> 00:50:31.943]  I had many insults hurled at me.
[00:50:38.773 --> 00:50:43.136]  And we've gone from almost no one knowing about this to the whole world being awake.
[00:50:43.196 --> 00:50:45.157]  God bless you sir, we'll talk to you in a week and a half.
[00:50:45.898 --> 00:50:50.862]  America's number one source for independent talk radio for over a decade.
[00:50:51.502 --> 00:50:54.725]  We are the GCN Radio Network.
[00:50:55.245 --> 00:50:56.506]  Hi, this is Alex Jones.
[00:50:56.546 --> 00:51:01.890]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:51:02.131 --> 00:51:06.754]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:51:07.155 --> 00:51:07.555]  It's true.
[00:51:07.635 --> 00:51:10.217]  Seeds have outperformed even gold and silver before in this country.
[00:51:10.437 --> 00:51:12.199]  And it's possible that could even happen again.
[00:51:12.719 --> 00:51:17.422]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:51:17.943 --> 00:51:19.864]  They call it a Survival Seed Bank.
[00:51:20.264 --> 00:51:24.867]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:51:25.067 --> 00:51:25.968]  And here's the best part.
[00:51:26.188 --> 00:51:28.950]  These seeds have not been genetically modified in any way.
[00:51:29.250 --> 00:51:32.552]  And you actually get enough seeds to plant a full acre crisis garden.
[00:51:32.873 --> 00:51:35.714]  So visit them today at SurvivalSeedBank.com.
[00:51:36.055 --> 00:51:37.956]  That's SurvivalSeedBank.com.
[00:51:38.296 --> 00:51:39.217]  Or give them a call at 877-327-0365.
