[00:00:05.455 --> 00:00:08.937]  Bruce Levine is a clinical psychologist living in Cincinnati, Ohio.
[00:28:26.898 --> 00:28:29.079]  They won't admit this, but I see this all the time.
[00:28:29.379 --> 00:28:37.044]  And so, when you take a look at the reliability of paper and pencil subjective tests, it's going to be very low.
[00:28:37.364 --> 00:28:39.245]  Or you move towards depression.
[00:28:39.385 --> 00:28:40.586]  How is that diagnosed?
[00:28:41.462 --> 00:28:55.508]  You know, if you take a look at these drug studies that assess people as being severely depressed and assess their remission rate, they're often used, the most common measurements that's used is something called the Hamilton Rating Scale for depression.
[00:28:55.688 --> 00:28:57.029]  It's within the public domain.
[00:28:57.049 --> 00:28:59.350]  You know, people can look it up on the internet.
[00:28:59.390 --> 00:29:01.271]  They can look at these questions themselves.
[00:29:01.671 --> 00:29:01.931]  I think so.
[00:29:21.616 --> 00:29:26.761]  Which is almost enough points to make you declare like you're in remission or out of remission.
[00:29:27.021 --> 00:29:30.904]  How many points do you get if you're, like, thinking seriously about killing yourself?
[00:29:31.224 --> 00:29:32.505]  You know, only a couple of points.
[00:29:32.986 --> 00:29:33.847]  You know, why is that?
[00:29:33.927 --> 00:29:40.292]  Well, these tests are loaded up so that it's more likely, you know, these drugs are going to affect things like your sleeping.
[00:29:40.492 --> 00:29:41.633]  Drugs can make you sleep better.
[00:29:41.653 --> 00:29:43.975]  Are they going to make you feel less suicidal or not?
[00:29:44.296 --> 00:29:49.280]  Well, they set up these tests, these evaluations, these measurements, so it doesn't matter so much.
[00:29:49.620 --> 00:30:08.156]  So in fact, you've got antidepressants, and this is not Bruce Levine saying this, this is finally now the Food and Drug Administration, the FDA, black box warnings, saying that these antidepressants, Prozac, Paxil, Zoloft, make it more likely that a young person, a kid, a teenager, a young adult, will have suicidal thoughts.
[00:30:08.376 --> 00:30:10.138]  Then if they're not taking them, okay?
[00:30:10.338 --> 00:30:13.723]  Twice as likely, actually, if you take a look at the statistics.
[00:30:14.063 --> 00:30:24.796]  And so, you have to ask, what kind of population buys into the fact that something is an antidepressant, an antidepressant drug, that actually makes it more likely you have suicidal thoughts and feelings?
[00:30:25.116 --> 00:30:27.659]  That seems to me more like a pro-depressant drug.
[00:30:28.140 --> 00:30:36.868]  But, you know, it doesn't seem that way, I guess, to a lot of doctors out there who are being told that just because, you know, the FDA approves something for something, you can use it.
[00:30:37.148 --> 00:30:42.373]  The whole idea of what off-label prescribing means is that there are many, many drugs out there
[00:30:43.294 --> 00:30:43.794]  That's right.
[00:30:58.804 --> 00:31:06.687]  For somebody, they can decide somebody's like, well, they're laughing too much out there in life, you know, or they're having too good a time, or they're, you know, or whatever.
[00:31:07.168 --> 00:31:09.148]  They decided that somebody's in a grief state.
[00:31:09.168 --> 00:31:11.809]  Their father died a month ago and they should have gotten over it.
[00:31:12.190 --> 00:31:14.731]  And so we can prescribe anything that's approved.
[00:31:15.111 --> 00:31:19.913]  And so the interesting thing that drug companies have gotten in trouble for lately
[00:31:20.573 --> 00:31:21.393]  Major fines.
[00:31:21.493 --> 00:31:36.839]  Eli Lilly, a lot of the other major drug companies, Eli Lilly makes Niprexa, makes Prozac, a lot of the other drug companies, what they have gotten in trouble for, in some cases multi-million dollar, in some cases even billion dollar fines, is for marketing
[00:31:37.819 --> 00:31:38.260]  I think so.
[00:31:54.737 --> 00:32:15.935]  So, for example, Zyprexa being one of Eli Lilly's drugs, they've had off-label marketing for that to sedate old people who weren't psychotic, okay, or sedate young people who weren't labeled with psychoses, and their salespeople were caught doing this kind of stuff, and so that's one thing that they are really not allowed to do.
[00:32:16.235 --> 00:32:17.956]  Drug companies often
[00:32:18.837 --> 00:32:33.509]  When they start messing around with a drug, it's routine, a lot of these psychiatric drugs that become famous psychiatric drugs originally, they weren't being planned for the use that they were given, that they ultimately had.
[00:32:33.889 --> 00:32:43.738]  One of the things that people, when you're talking about drug development, is that a lot of people don't know that the Food and Drug Administration does not do any independent tests on these drugs.
[00:32:44.747 --> 00:32:51.669]  That these drugs, every drug that's approved, the drug company themselves does the testing on these drugs.
[00:32:52.229 --> 00:32:56.470]  So, some people immediately, they get shocked and they say, that sounds like, you know, the fox guarding the house.
[00:32:56.710 --> 00:33:01.571]  You mean we're using all drugs off of the data that was furnished, that was drug company data?
[00:33:01.751 --> 00:33:02.151]  I said, yeah.
[00:33:02.171 --> 00:33:11.354]  I mean, what happens is the drug companies do tests on these drugs and then they are registered, these tests are registered with the FDA
[00:33:12.194 --> 00:33:12.495]  I think.
[00:33:30.054 --> 00:33:32.855]  We know from experience that that's been a bad idea.
[00:33:33.355 --> 00:33:49.021]  Okay, so these drugs get submitted to the FDA, and then evaluators from the FDA, the drug tests, supposedly for a drug to win approval, the drug company can have done 10, 20 different tests, and the drug has been found to be ineffective, no better than a placebo.
[00:33:49.821 --> 00:33:56.446]  But all they need to do is find a couple of these studies that the drug does a little bit better than a placebo.
[00:33:56.726 --> 00:34:02.850]  And so the drug companies, what they want to do all the time is there's two ways to make a drug do better than a placebo.
[00:34:03.311 --> 00:34:05.332]  One is to have a really great drug, but that's hard.
[00:34:05.712 --> 00:34:07.974]  It's much easier to have a really crappy placebo.
[00:34:08.174 --> 00:34:08.735]  That's easy.
[00:34:09.115 --> 00:34:18.802]  And so what they do for the case of antidepressants, when you do real science, you find that there's almost no difference between the antidepressants Prozac, Paxil, Zoloft,
[00:34:19.142 --> 00:34:20.043]  Thanks for watching!
[00:34:35.974 --> 00:34:37.776]  But they do lots of dice-loading.
[00:34:38.016 --> 00:34:43.841]  One is what I mentioned before, the actual research instrument that they use to assess whether a drug is effective.
[00:34:44.061 --> 00:34:55.190]  Something like the Hamilton Rating Scale for depression, which is heavily loaded in items influenced by the drug and don't talk about whether people are feeling more meaningful and more satisfying in their lives and that kind of thing.
[00:34:55.510 --> 00:34:56.610]  So you load it that way.
[00:34:56.650 --> 00:35:13.937]  Another interesting way that the drug testing is loaded is that in real science, the whole idea of giving a placebo is to have something what we call a double-blind control, which means that neither the researcher nor the subject knows
[00:35:14.517 --> 00:35:18.099]  You know, who's getting the drug and who's getting the sugar pill placebo?
[00:35:18.179 --> 00:35:27.725]  You do that because we know from science, especially when you're talking about things like depression, people's expectations are hugely important in determining whether they're going to get better or not.
[00:35:28.245 --> 00:35:38.471]  So, you try to tease out whether somebody's getting better just because of their expectations, or they're getting better because this drug actually has something therapeutic about it.
[00:35:38.511 --> 00:35:40.193]  That's why you do these kinds of things.
[00:35:40.633 --> 00:35:42.314]  So in real science, what you would do
[00:35:42.774 --> 00:35:43.135]  I think?
[00:36:01.836 --> 00:36:02.216]  I think.
[00:36:21.067 --> 00:36:21.387]  I think so.
[00:36:40.447 --> 00:36:43.708]  But with all their dice-loading, it hasn't worked out that well.
[00:36:43.928 --> 00:36:59.714]  And so we've got a lot of, been in the mainstream press over the last few years, that there's a lot of stuff out there showing that these research, when you look at it in aggregate, the placebos do as well or better than the drugs.
[00:36:59.894 --> 00:37:00.994]  Why don't doctors know that?
[00:37:01.014 --> 00:37:07.957]  Well, one of the reasons why doctors don't know that is drug companies have control over what gets published in journal articles or not.
[00:37:08.237 --> 00:37:13.460]  They make sure that the things that get published in journal articles are the studies that show these drugs are effective.
[00:37:13.540 --> 00:37:22.285]  Over 90% of the studies that showed these drugs to be effective, these antidepressants to be effective, were published in journal articles.
[00:37:22.925 --> 00:37:30.309]  But if you took a look at all the studies registered with the FDA, none of the ones that were showing them to be ineffective were getting published.
[00:37:30.329 --> 00:37:31.570]  So there was really only about
[00:37:32.290 --> 00:37:38.136]  Half of the studies registered with the FDA show these drugs to be effective, but 90% of them were getting published.
[00:37:38.176 --> 00:37:42.580]  The drug companies are paying the folks who are doing the research.
[00:37:43.341 --> 00:37:52.670]  That's how you make big money if you're a psychiatrist, you're a consultant, you're a researcher, or any doctor, not just psychiatrists, physicians in general, that you're getting paid by drug companies to do the research.
[00:37:53.090 --> 00:38:04.040]  I mean, what's the likelihood of a drug company paying a researcher a second time after that researcher has done a study that showed the drug not to be effective and they published it in a prestigious journal?
[00:38:04.061 --> 00:38:07.904]  You think that researcher is going to get paid again by that drug company to do another study?
[00:38:08.144 --> 00:38:08.685]  Why should they?
[00:38:08.805 --> 00:38:10.567]  It wouldn't be in their best corporate interests.
[00:38:10.967 --> 00:38:12.648]  I mean, they're spending money to make money.
[00:38:12.908 --> 00:38:22.871]  And when they do a study, you know, and when they're paying a researcher, they're hoping that the thing has some credibility with the FDA and the general public, but it's good for them financially.
[00:38:23.031 --> 00:38:34.895]  You could make these drug companies, the major pharmaceutical companies, who make enormous amounts of profits, higher on average than any other industry out there, contribute to a pool for the Food and Drug Administration.
[00:38:35.156 --> 00:38:36.256]  Or you wouldn't even do that.
[00:38:36.636 --> 00:38:45.063]  Even a better way to do it, if we're going to have things that are any kind of a Food and Drug Administration, that it would be financed by the public.
[00:38:45.543 --> 00:38:54.270]  Because the way it's set up now, the way the Food and Drug Administration is set up now, it really is almost like winning the Oscars or winning the Grammys.
[00:38:54.491 --> 00:38:58.474]  It's a revolving door industry, the Food and Drug Administration,
[00:38:58.954 --> 00:39:04.319]  The people who are favorable to pharmaceutical companies, they leave out and they get good jobs at the pharmaceutical companies.
[00:39:04.599 --> 00:39:07.782]  No different than the military industrial complex or the energy industrial complex.
[00:39:08.022 --> 00:39:10.584]  All these industrial complexes are boringly the same.
[00:39:11.765 --> 00:39:18.150]  And so there's all kinds of incentives when you are in the Food and Drug Administration.
[00:39:19.231 --> 00:39:19.712]  I think?
[00:39:33.968 --> 00:39:41.333]  If you're a CEO or you're an executive in a pharmaceutical company, you know, your loyalty is not to the patients, customers out there.
[00:39:41.353 --> 00:39:42.934]  Your loyalty is to your shareholders.
[00:39:43.154 --> 00:39:45.515]  That's who your official loyalty is.
[00:39:45.715 --> 00:39:54.541]  You're going to do everything you can to make sure that if you put a certain amount of money down on a product, that it's going to become one of these blockbuster drugs.
[00:39:54.781 --> 00:39:56.622]  So there's every disincentive in the world.
[00:39:56.722 --> 00:39:57.583]  Once you've done some
[00:39:58.243 --> 00:39:58.603]  We're good to go.
[00:40:18.835 --> 00:40:30.485]  And in the FDA who have integrity, but the whole system is set up to disincentivize that and to incentivize people doing things that are going to create unsafe and ineffective drugs.
[00:40:30.925 --> 00:40:38.912]  Once these drugs become approved, then there's every incentive for these pharmaceutical companies to want to use these drugs for as many things as possible.
[00:40:39.413 --> 00:40:44.237]  So for example, way back, the whole anti-psychotic industry
[00:40:45.507 --> 00:40:52.276]  Um, 20-25 years ago, drugs like Haldol or Thorazine or Trilofan, it was only a $200 million a year industry.
[00:40:52.296 --> 00:41:02.590]  It was very rare that people would be labeled as crazy enough or wild enough or psychotic enough to be medicated, um, with these major tranquilizing drugs.
[00:41:03.365 --> 00:41:19.182]  But the drug industry discovered that we could use a lot of these newer drugs that don't have these drugs called Zyprexa and Risperdal and Seroquel, that we don't have to just use them for people who've been labeled psychotically agitated.
[00:41:19.462 --> 00:41:20.223]  We can use them
[00:41:20.783 --> 00:41:25.066]  For all kinds of people who we'd like to control a lot more, so some kid in the classroom.
[00:41:25.346 --> 00:41:35.092]  And so all of a sudden you went from an industry, a total industry of anti-psychotic drugs being a $200-$250 million dollar industry, to Zyprexor a couple years back.
[00:41:35.852 --> 00:41:47.519]  One anti-psychotic drug alone topping $3 billion dollars a year, okay, by being used for all kinds of ways, including, you know, chilling out people, you know, old folks in nursing homes who
[00:41:47.779 --> 00:41:54.003]  You know, we're understaffed, you know, chilling out, kids in classrooms here who are driving their teachers maybe a little bit crazy.
[00:41:54.263 --> 00:41:57.846]  So you can just expand the usage of these things.
[00:41:58.106 --> 00:42:01.749]  How does that zombify and pacify a population?
[00:42:02.149 --> 00:42:03.310]  Well, it's quite obvious.
[00:42:03.350 --> 00:42:10.575]  I mean, you know, it's literally write pages out of Brave New World, Huxley's Brave New World.
[00:42:10.875 --> 00:42:12.216]  You've got a population
[00:42:12.876 --> 00:42:22.979]  Where you've got giant pharmaceutical companies who are incentivized to create drugs that are used for more and more populations that are creating some degree of havoc.
[00:42:23.239 --> 00:42:25.540]  There's no institutions that are stopping that.
[00:42:25.620 --> 00:42:31.421]  The American Psychiatric Association, they work in financial partnership with pharmaceutical companies.
[00:42:31.681 --> 00:42:37.943]  National Alliance for the Mental Ill, so-called a family group, they take millions of dollars from drug companies in grants.
[00:42:39.024 --> 00:42:42.106]  National Institute of Mental Health, which is the government agency.
[00:42:42.586 --> 00:42:47.170]  There's a revolving door of employment between the NIMH and the drug companies.
[00:42:47.210 --> 00:42:48.691]  Same with the Food and Drug Administration.
[00:42:48.871 --> 00:42:58.338]  So there's no major institutions blocking this huge growth of drugs for people out there.
[00:42:59.238 --> 00:43:05.243]  It's become almost mainstream to see the similarities between SOMA, the drug used in Brave New World,
[00:43:05.743 --> 00:43:08.824]  And all the psychiatric drugs that are being used now.
[00:43:09.084 --> 00:43:12.325]  It's a drug to kind of, you know, drugs to kind of get people to chill out.
[00:43:12.445 --> 00:43:24.328]  I ask kids all the time, what's the actual effect on you of that ADHD drug, that Ritalin, that Adderall, you know, all these other drugs, Dexedrine that they've used, you know, what's the actual effect?
[00:43:24.348 --> 00:43:30.369]  Well, for many of them, and their parents and their teachers, you know, agree that it doesn't have any kind of effect in making them pay more attention.
[00:43:30.609 --> 00:43:31.750]  But for some of them it does.
[00:43:32.090 --> 00:43:32.530]  Some of them,
[00:43:33.711 --> 00:43:36.993]  Superficially, they look like they are paying attention.
[00:43:37.013 --> 00:43:40.156]  They're certainly more manageable and more compliant in a classroom.
[00:43:40.196 --> 00:43:41.437]  That does, in fact, happen.
[00:43:41.517 --> 00:43:43.439]  And those are the kids I'm really interested in.
[00:43:43.679 --> 00:43:45.480]  I say, well, what's happening?
[00:43:45.760 --> 00:43:46.641]  What's happening to you?
[00:43:47.482 --> 00:43:49.504]  And they're saying, well, you know what happens to me, Bruce?
[00:43:50.144 --> 00:43:55.448]  I know at some level I'm just as bored as ever, but I don't care as much.
[00:43:56.389 --> 00:44:00.753]  And I'm just not as antsy or as agitated about being bored.
[00:44:01.073 --> 00:44:07.218]  Sort of in similar ways to people who use nicotine and smoke cigarettes on crappy jobs that they're in.
[00:44:07.238 --> 00:44:13.743]  They know they're just as bored as ever, but if they could get their nicotine hit, it takes the edge away from that.
[00:44:13.783 --> 00:44:16.585]  And so that's in lots of ways what psychotropic drugs do.
[00:44:18.929 --> 00:44:25.673]  Illegal drugs are psychotropic drugs, like marijuana and heroin, and psychiatric drugs are all psychotropic drugs.
[00:44:25.713 --> 00:44:29.495]  And what that means is that they're drugs that affect your neurotransmitters.
[00:44:29.776 --> 00:44:39.721]  Some of the famous neurotransmitters nowadays are serotonin and dopamine and norepinephrine, which, by the way, are the neurotransmitters that cocaine affects.
[00:44:40.222 --> 00:44:43.724]  And they're the same neurotransmitters that amphetamines affect.
[00:44:44.144 --> 00:44:46.125]  Which are kind of synthetic cocaine.
[00:44:46.606 --> 00:44:49.307]  And that's what you give to kids with ADHD.
[00:44:49.547 --> 00:44:51.489]  These synthetic cocaine amphetamines.
[00:44:51.509 --> 00:44:52.870]  That's what they're being given.
[00:44:52.890 --> 00:44:58.973]  It doesn't have the same effect when you're taking something in pill form as it is when you're snorting it or when you're IVing something.
[00:44:59.194 --> 00:45:01.575]  But these drugs are very, very much similar.
[00:45:02.196 --> 00:45:05.438]  And almost all of these drugs that are psychotropic drugs
[00:45:06.298 --> 00:45:08.438]  Some of them are more likely to be uppers, right?
[00:45:08.738 --> 00:45:09.619]  You know, the amphetamines.
[00:45:09.659 --> 00:45:11.279]  Some of them are more likely to be downers.
[00:45:11.299 --> 00:45:16.600]  But what they all have in common is, is they disconnect you from what you're really feeling.
[00:45:16.700 --> 00:45:23.921]  And so you ask people all the time, when we're on these stuff, or you ask kids, it's like, you know, they'll say stuff like, well, I think I used to care about that.
[00:45:24.041 --> 00:45:27.782]  And I kind of, I think I still care about it, but I don't feel as much caring.
[00:45:28.002 --> 00:45:29.742]  You know, I think I hate that person.
[00:45:29.982 --> 00:45:33.623]  You know, I think I hate that guy who's mean to me, but I don't feel that hate as much.
[00:45:33.963 --> 00:45:36.484]  It takes the edge off of negative emotions.
[00:45:36.585 --> 00:45:39.006]  It takes the edge off of positive emotions here.
[00:45:39.466 --> 00:45:43.608]  And for some people, they call that successful treatment.
[00:45:44.129 --> 00:45:46.030]  For guys like me, this is like Brave New World.
[00:45:46.050 --> 00:45:49.652]  Visit InfoWars.com and PrisonPlanet.com.
[00:45:50.132 --> 00:45:55.255]  When you're on the site, you can also tune in 24 hours a day to my daily radio broadcast.
[00:45:55.435 --> 00:45:59.277]  There's also a free iPhone app to listen to the syndicated radio show when and where you want.
