[00:00:02.970 --> 00:00:03.511]  We've got him.
[00:27:27.293 --> 00:27:31.517]  They're supposed to protect us from foreign invasion or foreign powers.
[00:27:31.977 --> 00:27:37.802]  But it seems they're becoming too much involved internally in our country, which I think, Alex, is part of the plan.
[00:27:38.516 --> 00:27:40.077]  And your book covers a lot of this.
[00:27:40.157 --> 00:27:45.099]  It's so jam-packed, American Conspiracies, and incidentally, it's available at InfoWars.com.
[00:27:45.139 --> 00:27:49.521]  You get a free film of your choice when you get the book, American Conspiracies, at InfoWars.com.
[00:27:49.541 --> 00:27:52.182]  It just covers basically all the key issues.
[00:27:52.242 --> 00:27:57.785]  I think it's Jesse Ventura's best book and is a New York Times Top Ten bestseller.
[00:27:58.145 --> 00:27:59.926]  We've only got about two minutes left, Gov.
[00:28:00.346 --> 00:28:07.309]  So much is happening, but it sounds like this second season is even more adventure and action-packed than the last one.
[00:28:07.629 --> 00:28:08.711]  I think it's going to be.
[00:28:08.791 --> 00:28:11.534]  It certainly is being more adventurous in doing it.
[00:28:11.554 --> 00:28:19.905]  I guess we were under the radar the first year we did it, but now it's aired on TV, so we've obviously gotten the attention of the United States government.
[00:28:19.945 --> 00:28:21.126]  There's no doubt about that.
[00:28:22.679 --> 00:28:24.960]  And what, 8 to 10 episodes this season?
[00:28:25.040 --> 00:28:26.841]  Yeah, 8 for sure and possibly 10.
[00:28:27.181 --> 00:28:28.502]  We're doing 8 for sure.
[00:28:28.842 --> 00:28:44.529]  We've almost completed half of them now, so half of them are just about ready to go into the editing room and be put together into a final form and then we got the other 4 to do before October and it should be on the air I'm guessing around mid-October sometime.
[00:28:45.660 --> 00:28:47.542]  That is, Alex, unless Mr. Haas has something to say about it.
[00:28:47.582 --> 00:28:50.124]  I'm sure if they ask for his input, my show will be censored and not allowed on television.
[00:28:50.525 --> 00:28:50.885]  I don't know.
[00:28:50.945 --> 00:28:51.305]  You tell me.
[00:28:51.325 --> 00:28:55.930]  To me, they're overreaching their bounds dramatically, and this Ken Haas guy should be relieved of whatever his duty is.
[00:29:11.308 --> 00:29:14.410]  Well, we talked last time, a month or so ago, about an awakening.
[00:29:14.430 --> 00:29:19.534]  I am seeing an awakening, so I hope the pendulum starts really swinging against all this tyranny.
[00:29:19.554 --> 00:29:20.735]  Me too.
[00:29:20.775 --> 00:29:21.896]  Alex, I gotta run.
[00:29:21.956 --> 00:29:25.759]  You take care, and I'll keep in touch, and I'll let you know anything else that goes on.
[00:29:25.939 --> 00:29:28.822]  Alright, Governor Jesse Ventura, thanks for keeping us abreast of the situation.
[00:29:29.082 --> 00:29:31.003]  Thanks for defending the First Amendment.
[00:29:31.023 --> 00:29:31.404]  Take care.
[00:29:31.704 --> 00:29:31.824]  Okay.
[00:29:31.864 --> 00:29:32.525]  Goodbye, Alex.
[00:29:32.885 --> 00:29:36.147]  Alright, there goes Governor Jesse Ventura, about to go do a big interview on his JFK.
[00:29:37.248 --> 00:29:38.228]  Uh, investigation.
[00:29:38.629 --> 00:29:43.430]  We appreciate him contacting us and giving us this exclusive breakdown of what's going on with the production.
[00:29:43.630 --> 00:29:47.151]  There's a lot more happening behind the scenes, but I'm not at liberty to talk about it.
[00:29:47.552 --> 00:29:49.532]  But it'll be coming out on the TV show in the fall.
[00:29:49.592 --> 00:29:50.012]  Stay with us.
[00:29:50.893 --> 00:29:51.793]  We're on the march.
[00:29:52.273 --> 00:29:53.874]  The Empire's on the run.
[00:29:54.814 --> 00:29:57.495]  Alex Jones and the GCN Radio Network.
[00:30:04.457 --> 00:30:05.378]  Tyranny is here.
[00:30:05.738 --> 00:30:09.642]  The grim future foretold in 1984 has become reality.
[00:30:09.662 --> 00:30:11.884]  It really says that the state is God.
[00:30:12.064 --> 00:30:17.329]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:30:17.769 --> 00:30:23.995]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:30:24.415 --> 00:30:29.957]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:30:30.397 --> 00:30:34.078]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:30:34.578 --> 00:30:38.579]  Prepare to enter the secretive world of emergency dictatorship.
[00:30:38.859 --> 00:30:44.381]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:30:44.801 --> 00:30:47.782]  It's only the beginning of the New World Order's hellish plan.
[00:30:48.362 --> 00:30:49.763]  The police state isn't coming.
[00:30:50.343 --> 00:30:50.783]  It's here.
[00:30:51.443 --> 00:30:58.276]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv
[00:31:00.188 --> 00:31:04.131]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[00:31:04.371 --> 00:31:10.416]  Not detergents, but good old-fashioned pure soap made by the Cal Bend Soap Company, a family-owned and operated American company.
[00:31:10.776 --> 00:31:17.882]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, hair, laundry, and dishes.
[00:31:18.162 --> 00:31:22.746]  There is nothing like these factory-direct, big-money-saving, triple-concentrated soaps anywhere.
[00:31:23.046 --> 00:31:25.168]  Get a free, detailed catalog by calling 800-340-7091.
[00:31:27.970 --> 00:31:31.518]  Or see them online at FiveStarSoap.com or InfoWars.com.
[00:31:31.699 --> 00:31:35.427]  Let's talk to the owner of Five Star Soap, Marty Schachter, and see what he has to say.
[00:31:35.959 --> 00:31:42.100]  As founder and owner for over 63 years, people keep asking me, how's business?
[00:31:42.700 --> 00:31:46.121]  I'm happy to say our business is going down the drain.
[00:31:46.601 --> 00:31:53.923]  Call us at 1-800-340-7091 or visit our website 5starsoap.com for buying a 1-2 month soap sampler.
[00:31:54.023 --> 00:31:54.483]  Thank you.
[00:32:01.786 --> 00:32:05.407]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:32:05.747 --> 00:32:13.870]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:32:14.610 --> 00:32:18.631]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:32:19.231 --> 00:32:30.055]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:32:30.675 --> 00:32:39.703]  With continued legislation threatening the sale of nano-silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:32:40.204 --> 00:32:45.288]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:32:45.629 --> 00:32:52.815]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:32:53.115 --> 00:32:55.878]  That's www.silverlungs.com.
[00:33:20.981 --> 00:33:34.169]  I'm going to get into a bunch of news right now before I go any further.
[00:33:36.531 --> 00:33:47.198]  This radio show, our news websites, everything we do at Infowars.net, PrisonPlanet.tv, JonesReport.com, all of it is having a bigger and bigger effect and we are
[00:33:48.382 --> 00:33:49.663]  Targets of the establishment.
[00:33:49.683 --> 00:33:50.804]  We are being demonized.
[00:33:50.844 --> 00:33:58.068]  We are being attacked in in many ways that I'm looking at revealing in the next week or so here on air.
[00:33:58.248 --> 00:33:58.848]  I'm not sure.
[00:33:58.868 --> 00:34:01.230]  I'm having to talk to council about it.
[00:34:01.410 --> 00:34:05.732]  I was doing that this morning, but we've always wanted to have a big effect.
[00:34:05.752 --> 00:34:08.814]  We wanted to try to save this republic, save this nation.
[00:34:11.216 --> 00:34:11.396]  But
[00:34:13.319 --> 00:34:14.579]  Things are getting so real.
[00:34:14.920 --> 00:34:15.560]  I mean, you know that.
[00:34:15.580 --> 00:34:37.008]  There is a quickening happening, and I want to thank everyone who has made our work here possible, who have made PrisonPlanet.tv and the websites and the radio show and the films possible, and I want to encourage everybody, now more than ever, to get all the different books and videos and materials we carry at InfoWars.com, because your purchase supports us financially and allows us to do what we do, but that's really secondary.
[00:34:37.048 --> 00:34:40.909]  The main mission is waking people up, and the American people need to see fall of the Republic.
[00:34:42.742 --> 00:34:46.083]  And Invisible Empire, New Order Defined, and of course the Obama deception.
[00:34:46.623 --> 00:34:50.023]  The system does not want you to see this information.
[00:34:50.063 --> 00:34:58.605]  They do not want you to go to prisonplanet.tv and to download my films and to burn them to disk and to give them to everyone you know, because the truth is contained in these documentaries.
[00:34:59.705 --> 00:35:02.546]  And it's having a really big effect.
[00:35:03.626 --> 00:35:06.226]  It's having a giant effect right now.
[00:35:07.226 --> 00:35:09.907]  And we need to continue what we're doing and expand it.
[00:35:10.953 --> 00:35:18.378]  Because rock and ruin is where we're going if we don't reverse what's happening in this world.
[00:35:18.438 --> 00:35:22.200]  And we know if we lay down and do nothing, the bad guys are going to win.
[00:35:23.221 --> 00:35:32.707]  I shot a video a few days ago that we posted titled, The Road, an Allegory for Life, and it's...
[00:35:35.219 --> 00:35:43.323]  Gotten tens of thousands of views, but I wanted to get hundreds of thousands and then millions subsequently because I think it's some of the most eloquent information I've ever laid out.
[00:35:44.423 --> 00:35:48.545]  So I would encourage everybody to go to our YouTube channel and to get that video for everybody.
[00:35:48.565 --> 00:35:50.586]  In fact, guys, will you pull that video up?
[00:35:50.986 --> 00:35:53.247]  The road and allegory for life.
[00:35:53.327 --> 00:35:59.390]  It's up on InfoWars.com, PrisonPanda.com and on the Alex Jones Channel at YouTube.
[00:35:59.610 --> 00:35:59.990]  What was that?
[00:36:02.898 --> 00:36:17.450]  In fact, I had meant to air that today, and then I'd forgotten that I wanted to air that, so we're going to play that coming up here in just a few minutes, because it ties into the film The Road, but also ties into everything else we face as a society.
[00:36:17.470 --> 00:36:24.376]  I mean, we openly have the NSA running around
[00:36:25.859 --> 00:36:32.805]  Spying on everything we do and giving corporate governance, governmental power over our society.
[00:36:34.306 --> 00:36:36.508]  This is absolutely untenable.
[00:36:39.550 --> 00:36:42.513]  And it's something that we must resist and face up to.
[00:36:43.033 --> 00:36:46.596]  We know real tyranny when we're facing it.
[00:36:47.377 --> 00:36:49.999]  We know what bonafide tyranny and corruption is.
[00:36:53.072 --> 00:37:06.517]  And it is a very strange feeling to be here on air and to know that of all the people out there fighting the New World Order, we're in the top two or three organizations.
[00:37:08.078 --> 00:37:12.799]  It's amazing to know that all of this is going on and all of this is happening.
[00:37:12.820 --> 00:37:13.800]  Were you guys able to find it?
[00:37:18.602 --> 00:37:19.302]  Are we ready for it?
[00:37:21.715 --> 00:37:25.858]  Alright, I'm gonna go ahead and play this clip, this video clip, The Road, an allegory for life.
[00:37:26.419 --> 00:37:29.041]  We'll come back and hit some very important top stories.
[00:37:29.681 --> 00:37:31.022]  But, uh, here it is.
[00:37:44.113 --> 00:37:50.778]  I recently had a chance to watch the film, The Road, based on the novel by Carmack McCarthy.
[00:37:52.165 --> 00:37:56.349]  And to say that this film is a masterwork is an understatement.
[00:37:57.289 --> 00:38:01.913]  This is probably the most powerful film I have ever seen.
[00:38:02.874 --> 00:38:06.557]  And it has so many different messages that operate on so many different levels.
[00:38:07.057 --> 00:38:12.862]  It has archetypal snapshots from things that have happened throughout human history.
[00:38:13.403 --> 00:38:16.926]  And it really is a story about the good guys versus the bad guys.
[00:38:17.885 --> 00:38:23.390]  And how tyranny and barbarism is the great enemy of civilization and humanity.
[00:38:24.191 --> 00:38:27.934]  And how love is such a wonderful virtue.
[00:38:28.335 --> 00:38:36.382]  And that it isn't until times of great adversity that we see the worst and the best in humankind being expressed.
[00:38:36.442 --> 00:38:40.566]  It made me think of a Victor Hugo quote from the French philosopher.
[00:38:40.966 --> 00:38:42.467]  Adversity makes men
[00:38:43.248 --> 00:38:45.409]  And another quote by John Quincy Adams.
[00:38:45.869 --> 00:38:49.950]  Being a student of history, this dystopic near future film was very unsettling.
[00:39:05.135 --> 00:39:07.938]  I don't have nightmares about Big Brother coming to get me.
[00:39:07.998 --> 00:39:11.200]  I don't have nightmares about my children dying in car wrecks.
[00:39:11.801 --> 00:39:12.941]  I don't really have nightmares.
[00:39:13.662 --> 00:39:17.025]  And I've been having very disquieted dreams.
[00:39:17.045 --> 00:39:20.007]  I wouldn't even call them nightmares since watching this film.
[00:39:20.808 --> 00:39:25.732]  Because I have studied Leningrad and the close to a million people that died in that siege.
[00:39:26.352 --> 00:39:32.137]  And the years of cannibalism that sustained the population under the Nazi onslaught.
[00:39:33.013 --> 00:39:38.255]  I have studied what happened, of course, in Rome and during the different phases of its collapse.
[00:39:39.576 --> 00:39:45.058]  I've looked at Hiroshima and Nagasaki and the hundreds of thousands killed by the A-bombs at the end of World War II.
[00:39:49.438 --> 00:39:53.020]  And this film has a pro-Second Amendment message.
[00:39:53.100 --> 00:39:55.822]  I mean, if you don't have a gun during this collapse, you're in deep trouble.
[00:39:56.202 --> 00:40:07.429]  I've seen that Hollywood meme of victim disarmament being pushed over and over again where you always see these horror movies and things where nobody's got guns to fight back against the killer, which is just asinine.
[00:40:07.469 --> 00:40:18.016]  It never really telegraphs that message of how important the gun is and how it could be used in the hands of bad people for oppression or in the hands of the good guys to protect themselves and their family.
[00:40:18.436 --> 00:40:33.213]  But the overall message in this film is intense love and commitment and the love that a parent can only have for their children and really a growing experience that you have that's built into us in our very genetic code.
[00:40:33.553 --> 00:40:33.773]  I think?
[00:40:54.850 --> 00:41:01.774]  And then if you love your children today, don't you love your unborn great-great-great-grandchildren just as much if you could hold them in your arms?
[00:41:02.494 --> 00:41:08.458]  Why then would you go along with illegal wars of aggression like Iraq and Afghanistan?
[00:41:08.798 --> 00:41:16.242]  Why would we accept the new good guys on shows like 24 torturing people's children in front of their parents to get answers?
[00:41:16.782 --> 00:41:20.625]  Why are we basically being dehumanized by design?
[00:41:21.445 --> 00:41:30.484]  And the modern system that we're all living under right now is a form of creeping death, where the social engineers literally traffic in our psyches, in our souls.
[00:41:32.731 --> 00:41:43.215]  And people have lost their empathy and their humanity and they've been made so envious and jealous and so self-centered that they lose the greater sense of community.
[00:41:43.596 --> 00:41:55.761]  And we are literally submerged in toxins and additives and GMO, all of which on record have been designed to reduce our fertility and to cause increases in cancers.
[00:41:56.201 --> 00:41:58.002]  And the entire world population
[00:41:59.422 --> 00:42:13.086]  ...is fascinated now with catastrophe and collapse films because at a subconscious level, the subconscious mind is much more powerful than the conscious mind, and the human computer knows that humanity is in a crisis on so many levels.
[00:42:13.586 --> 00:42:21.289]  But we can't recognize it because it's not a truck coming over a hill, you know, with 15 cannibals in the back that are planning to butcher you and your son.
[00:42:22.029 --> 00:42:43.662]  It is a scientific corporate board that analyzes future trends and that tracks everything we're doing to where they can not just predict the future in mass movement or individual movement now with Google NSA type software, but they can also guide the future and create false trends through the Madison Avenue PR machine.
[00:42:43.962 --> 00:42:46.544]  And so we're losing our human destiny.
[00:42:46.604 --> 00:42:49.406]  We're losing our connection to the land.
[00:42:50.187 --> 00:42:52.984]  We're losing everything that makes us human.
[00:42:54.056 --> 00:43:02.798]  I mean, it is a horrific thing to have all these government textbooks and documents that we cover on the show where they admit they're poisoning the water, they're poisoning the food.
[00:43:03.058 --> 00:43:06.419]  Sperm counts are down by over 80% in the Western world.
[00:43:06.659 --> 00:43:09.380]  To know that HIV was a genetically engineered bioweapon.
[00:43:10.120 --> 00:43:13.921]  To know that they are purposefully adding mercury to the corn syrup.
[00:43:14.261 --> 00:43:22.183]  To know that they're feeding GMO crops to animals that is causing them to become sterile and it's passing on these chemical toxins to humans.
[00:43:22.223 --> 00:43:23.043]  To know that the
[00:43:23.943 --> 00:43:40.479]  uh... bt corn that grows its own natural pesticide is wiping out the bees and then all the studies it's causing massive organ failure in lab rats folks that is even much more horrific than this nightmare dystopic film that is perfectly presented one spectrum of human collapse
[00:43:41.520 --> 00:43:47.741]  And it also has some global warming propaganda in it about the atmosphere collapsing.
[00:43:47.901 --> 00:44:00.404]  But what's strange is NASA just put out a report this week saying that they've seen the greatest atmospheric collapse in the last hundred years of recorded history in 2008 and 2009.
[00:44:01.084 --> 00:44:03.805]  But NASA was actually honest and said it's because the sun
[00:44:04.665 --> 00:44:19.180]  became uh... semi-dormant and was not putting off any coriolis uh... solar flares and so that the earth itself has actually cool in the last decade it was heating up uh... and at that cooling trend
[00:44:19.821 --> 00:44:27.306]  And that ionizing radiation that forms cloud nuclei has not been there in the last decade, and so the atmosphere began collapsing.
[00:44:27.346 --> 00:44:29.648]  Thank God the sun just flared back up.
[00:44:30.128 --> 00:44:35.091]  We now know that giant asteroids hit the Earth conservatively every few hundred thousand years.
[00:44:35.472 --> 00:44:38.514]  And it's the same with megavolcanoes, like the one in Yellowstone.
[00:44:38.974 --> 00:44:42.836]  We know it's not happening every 10 or 15 million years like scientists previously thought.
[00:44:43.477 --> 00:44:49.441]  We know that the sun is not stable, that it cools off and heats up.
[00:44:50.342 --> 00:44:58.196]  We know that we are living on a tiny little blue-green jewel floating through space way out in the boondocks.
[00:44:59.078 --> 00:45:01.141]  And then when you read the globalist plans...
[00:45:02.403 --> 00:45:08.727]  Where they openly want to destroy the family and basically mechanize humanity and turn us into basically biological androids.
[00:45:09.127 --> 00:45:17.872]  You realize that the threat in the short term isn't asteroids, it's not global warming, but that it is the elite with their open-air genetic engineering.
[00:45:17.912 --> 00:45:29.639]  I mean, I just saw last week a major university study with this new salmon they've approved that within controlled conditions they did tests and that the genetically engineered chimera, it's a cross species, it's only part fish,
[00:45:30.698 --> 00:45:45.750]  Extincted the other salmon within 40 generations and that's 40 generations in the open sea We know that they've for over a decade have part spider part goat chimera creatures genetic Mutations that create body armor in their milk.
[00:45:45.810 --> 00:45:49.133]  We know that the major GMO companies aren't just coming out with eight
[00:45:49.813 --> 00:45:50.794]  We're good to go.
[00:46:09.187 --> 00:46:17.332]  And they write about this, and the establishment, in articles written by Bill Joy and others, have openly discussed the fact of, do the elites even need humanity?
[00:46:17.812 --> 00:46:19.753]  Or are we garbage that has to be taken out?
[00:46:20.333 --> 00:46:29.739]  And you read the official United Nations plans to reduce the world population by at least 80%, and you realize that this entire world government, in their own words, is being built as a kill grid.
[00:46:29.759 --> 00:46:36.603]  And what's crazy is, it's so horrific, even though it's publicly available information, the average person can't face it.
[00:46:38.553 --> 00:46:41.214]  Once you've seen The Road, you'll understand what I'm about to say.
[00:46:41.595 --> 00:46:43.135]  But it totally resonated.
[00:46:43.516 --> 00:46:44.636]  We all know Veritas.
[00:46:44.736 --> 00:46:46.877]  We know truth because it's something that was already in us.
[00:46:47.337 --> 00:46:56.362]  And we see it as self-evident when another fellow human being has experienced and thought the same thoughts you're having, but just from a different perspective.
[00:46:56.382 --> 00:46:59.464]  And that these men and women could come together and make this film.
[00:46:59.484 --> 00:47:01.605]  That this author could write this book.
[00:47:02.165 --> 00:47:02.566]  I don't know.
[00:47:13.706 --> 00:47:20.791]  It lets you understand how important goodness is, and love, and honor, and family, and self-defense.
[00:47:21.372 --> 00:47:22.513]  Are you with the good guys?
[00:47:23.093 --> 00:47:24.354]  Or are you with the bad guys?
[00:47:24.414 --> 00:47:33.881]  And do you carry that fire inside you, that even as we're becoming nihilistic and more and more evil, and even as people look around them and say, everybody else is evil, I'm gonna be evil.
[00:47:34.702 --> 00:47:37.123]  It's saying, no, I'm going to carry the fire in myself.
[00:47:37.283 --> 00:47:38.044]  I'm going to be good.
[00:47:38.224 --> 00:47:39.585]  I'm going to try to be pure.
[00:47:39.685 --> 00:47:40.765]  I'm going to try to be loving.
[00:47:41.046 --> 00:47:42.806]  I'm going to try to be honorable.
[00:47:42.927 --> 00:47:45.388]  It doesn't mean any of us are perfect, but you're striving.
[00:47:45.848 --> 00:47:48.370]  You're carrying that fire inside of you.
[00:47:49.010 --> 00:48:00.116]  And so I salute the filmmakers, and I salute everybody else who sees this film and is touched by it, because this is truly the greatest masterwork in filmmaking that I have ever seen.
[00:48:02.259 --> 00:48:04.640]  Okay, that's my review of the road.
[00:48:04.720 --> 00:48:07.681]  If you want to send that out to folks, because it has a lot of key issues laced in it.
[00:48:08.441 --> 00:48:10.022]  It's the road, an allegory for life.
[00:48:10.722 --> 00:48:12.183]  Just search that term and you'll find it.
[00:48:12.783 --> 00:48:14.164]  An allegory for life, the road.
[00:48:14.804 --> 00:48:15.784]  Okay, here's some news.
[00:48:15.804 --> 00:48:18.946]  I'm going to come back and get into two pulled from plane over 9-11 video.
[00:48:19.386 --> 00:48:24.888]  This gets into the hysteria and mind control and the attack on any free speech of any type.
[00:48:26.920 --> 00:48:27.260]  U.S.
[00:48:27.400 --> 00:48:29.461]  forces step up Pakistan presence.
[00:48:30.221 --> 00:48:33.483]  The Washington Wall Street Journal reports.
[00:48:33.643 --> 00:48:35.384]  The Wall Street Journal, not the Washington Post.
[00:48:36.564 --> 00:48:39.085]  And it just shows how these wars are all being expanded everywhere.
[00:48:39.725 --> 00:48:41.286]  Just like Vietnam started with advisers.
[00:48:41.946 --> 00:48:43.087]  That's how this is starting.
[00:48:43.567 --> 00:48:51.490]  The Jerusalem Post reports, Navy braces for Lebanese flotilla set to try to break the blockade in the next week.
[00:48:51.810 --> 00:48:55.632]  The flotilla of 13 ships, and of course they've
[00:48:56.206 --> 00:49:00.930]  Had a big war with Lebanon three and a half years ago, so more escalations there.
[00:49:01.471 --> 00:49:02.952]  UK admits using D.U.M.
[00:49:03.312 --> 00:49:09.358]  ammunition in Iraq to put a uranium deadly for those that get shot with it and those that also use it.
[00:49:14.409 --> 00:49:16.671]  Iran's government's calling for harsh responses.
[00:49:16.711 --> 00:49:22.056]  Anybody that tries to board their ships in the Persian Gulf, so that's escalating the provocations on that front.
[00:49:22.076 --> 00:49:34.166]  Of course, the last few days you've heard all the media talking about Congress, of any institution in the United States, has the lowest approval rating of any institution and that it's continuing into freefall.
[00:49:34.767 --> 00:49:39.070]  That's because Congress goes against the Constitution, the Bill of Rights, and the will of the people.
[00:49:39.531 --> 00:49:41.673]  It's an illegitimate criminal group, on average.
[00:49:42.393 --> 00:49:49.938]  The majority of these people are a bunch of global stooges in there just helping carry out the bank robbery of the American people.
[00:49:49.958 --> 00:49:53.100]  So there is a major awakening taking place on that front.
[00:49:53.501 --> 00:49:54.601]  There is some good news.
[00:49:54.801 --> 00:49:57.003]  Dems pulled plug on climate bill.
[00:49:57.643 --> 00:49:59.444]  Now they claimed this a few months ago, but now...
[00:50:00.365 --> 00:50:03.387]  The campaigning is getting so heavy that it looks like it may be true.
[00:50:03.467 --> 00:50:08.011]  Biden announced today that their legislative agenda is over.
[00:50:08.531 --> 00:50:13.935]  They've gotten their new financial dictatorship passed in the name of reform and that now the campaigning must begin.
[00:50:15.543 --> 00:50:18.123]  And of course they're using the race card right now on both sides.
[00:50:18.384 --> 00:50:22.744]  Republicans and Democrats are having race war volleys in the political arena.
[00:50:24.004 --> 00:50:25.885]  But Dems pulled the plug on the climate bill.
[00:50:25.905 --> 00:50:29.205]  Senate Democrats pulled the plug on the climate legislation yesterday.
[00:50:29.545 --> 00:50:37.967]  Pushing the issue off into an uncertain future ahead of midterm elections where President Obama's party is girding for a drumming.
[00:50:39.427 --> 00:50:43.508]  But leaked G20 documents show carbon tax is still high on Globalist's list.
[00:50:44.514 --> 00:50:52.491]  That's from the Corbett Report, linked up at PrisonPlanet.com and InfoWars.com, so they're going to try to pass that at your city, county, and state level.
[00:50:53.292 --> 00:50:55.337]  We'll come back and into some other key news straight ahead.
[00:50:55.357 --> 00:50:55.757]  Stay with us.
[00:51:01.277 --> 00:51:05.558]  We all know that the Berkey water purification systems are the most trusted name in water filtration.
[00:51:05.898 --> 00:51:13.420]  As an authorized Berkey dealer for over four years and serving thousands of satisfied customers, the Berkey Guy offers amazing specials for Berkey water systems.
[00:51:13.680 --> 00:51:28.483]  The revolutionary Berkey light systems include a set of self-sterilizing and re-cleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and removes harmful chemicals such as herbicides and pesticides.
[00:51:28.783 --> 00:51:38.088]  Order the Berkey Light System today, complete with two black Berkey elements for only $209, and the Berkey Guy will include three Sport Berkey water bottles and ship everything to you free of charge.
[00:51:38.308 --> 00:51:44.971]  That's right, three Sport Berkey water bottles and free shipping, an $87 value, yours free, but only for a limited time.
[00:51:45.251 --> 00:51:46.932]  Just call the Berkey Guy at 1-877-886-3653 now to order.
[00:51:46.952 --> 00:51:48.633]  That's 1-877-886-3653, or order online now at GoBerkey.com.
[00:51:48.653 --> 00:51:49.454]  That's GoBerkey.com today!
[00:52:00.785 --> 00:52:05.647]  The question is, where should the American people draw their line in the sand?
[00:52:05.748 --> 00:52:06.528]  What have we got?
[00:52:06.748 --> 00:52:08.869]  A republic or a monarchy?
[00:52:09.209 --> 00:52:09.950]  A republic.
[00:52:10.210 --> 00:52:12.791]  It's based on a constitution which protects minority rights.
[00:52:12.851 --> 00:52:14.772]  Not democracy, not mob rule.
[00:52:15.112 --> 00:52:17.033]  Two wolves and a sheep voting on what's for dinner.
[00:52:17.133 --> 00:52:18.414]  So they think they own our land?
[00:52:18.834 --> 00:52:19.955]  They think they own our water?
[00:52:20.155 --> 00:52:20.535]  Children?
[00:52:20.755 --> 00:52:21.535]  Our education?
[00:52:21.876 --> 00:52:22.496]  Our money?
[00:52:22.696 --> 00:52:26.358]  We have to define who we are and what we will tolerate.
[00:52:26.718 --> 00:52:31.344]  Somebody's gonna ask you what you did during the Patriot Uprising.
[00:52:31.685 --> 00:52:32.506]  We have the facts.
[00:52:32.706 --> 00:52:33.828]  We have the Constitution.
[00:52:33.868 --> 00:52:34.749]  We have the Bill of Rights.
[00:52:34.789 --> 00:52:35.610]  We have common law.
[00:52:35.670 --> 00:52:37.933]  Knowledge is power, ladies and gentlemen.
[00:52:38.194 --> 00:52:41.979]  And I'm so excited to be able to offer you Don't Tread on Me, Rise of the Republic.
[00:52:42.079 --> 00:52:46.862]  Tyranny is upon us, but liberty and the sleeping giant that is the American people is rising.
[00:52:47.022 --> 00:52:48.402]  A new tool in the Info War.
[00:52:48.523 --> 00:52:49.363]  Don't tread on me.
[00:52:49.603 --> 00:52:56.467]  Order it at InfoWars.com or PrisonPlanet.com or call toll free 888-253-3139 and support independent patriotic liberty films.
[00:53:00.970 --> 00:53:04.151]  Hounded by debt collectors with phone calls and letters?
[00:53:04.511 --> 00:53:06.352]  Thinking of calling a debt relief company?
[00:53:06.812 --> 00:53:07.212]  Don't!
[00:53:07.672 --> 00:53:10.693]  Greedy lawyers and debt companies charge thousands.
[00:53:11.114 --> 00:53:18.236]  Why pay when you can get their solution absolutely free with New York Times best-selling author Herb K.'
[00:53:18.216 --> 00:53:19.877]  's number one debt secret.
[00:53:20.197 --> 00:53:23.858]  The how-to on stopping the calls without paying the debt companies.
[00:53:24.258 --> 00:53:27.001]  Yes, free for a very limited time.
[00:53:27.422 --> 00:53:34.450]  Here's Herb K. Don't get ripped off by credit repair companies when I can give you the information you need to do it yourself for free.
[00:53:34.790 --> 00:53:35.771]  Herb K was right.
[00:53:35.971 --> 00:53:39.015]  His free information helped me stop the calls and settle my debt.
[00:53:39.155 --> 00:53:40.035]  What do you have to lose?
[00:53:40.436 --> 00:53:41.376]  Stop the calls now.
[00:53:41.636 --> 00:53:43.377]  Get out of debt and have more money.
[00:53:43.617 --> 00:53:44.198]  Get Herb K.'
[00:53:44.138 --> 00:53:46.899]  's number one debt secret absolutely free now.
[00:53:46.919 --> 00:53:47.239]  Call 800-405-7850.
[00:53:47.259 --> 00:53:47.900]  That's 800-405-7850.
[00:53:47.920 --> 00:53:47.960]  800-405-7850.
[00:53:47.980 --> 00:53:49.180]  He's the T-Rex of political talk.
[00:53:49.481 --> 00:53:51.121]  Alex Jones on the GCN Radio Network.
[00:54:09.286 --> 00:54:11.768]  This next story illustrates so many things.
[00:54:11.848 --> 00:54:13.690]  It shows the fear, the hysteria.
[00:54:14.090 --> 00:54:16.492]  It's government invoked of 9-11 attacks.
