[00:00:03.733 --> 00:00:06.276]  I'm Paul Craig Roberts.
[00:36:06.095 --> 00:36:08.737]  This is a devastating social situation.
[00:36:08.857 --> 00:36:20.143]  It has the possibility and the potential of destroying the society and the political order.
[00:36:22.064 --> 00:36:25.066]  They're not giving any attention to this.
[00:36:26.807 --> 00:36:36.117]  Apparently, the authorities think that they can create a whole bunch of money to overcome the financial crisis and then they can step in and take it all back out.
[00:36:37.628 --> 00:36:42.813]  So it's a very serious situation and receives no attention, no debate.
[00:36:42.993 --> 00:36:45.996]  I mean, I'm talking about from the government authorities.
[00:36:46.816 --> 00:36:47.997]  There are no hearings.
[00:36:49.018 --> 00:36:50.620]  The financial press avoids it.
[00:36:51.521 --> 00:36:56.385]  You could say that Goldman Sachs has run the treasury since the Clinton administration.
[00:36:57.830 --> 00:37:09.876]  You had one Goldman Sachs CEO who was Secretary of the Treasury and with Bush you had another Goldman Sachs CEO who was Secretary of the Treasury.
[00:37:11.037 --> 00:37:18.761]  And now with Obama we have a protege of Goldman Sachs as Secretary of the Treasury.
[00:37:21.604 --> 00:37:39.104]  We have all the testimony about how Goldman Sachs convinced the Securities and Exchange Commission not to require the investment banks to have reserves so that their leverage could just go up and up and up.
[00:37:40.592 --> 00:37:58.020]  So you could say who's running the policy are interests whose short-term interest is enriched at the expense of the long-term interest of the country.
[00:37:59.471 --> 00:38:08.115]  Now whether they know that or not, or whether their time horizon is just very short, it's this year's bonus.
[00:38:10.236 --> 00:38:11.717]  And at all costs.
[00:38:13.698 --> 00:38:18.460]  And we're a superpower, and we're full of hubris.
[00:38:19.501 --> 00:38:23.202]  And everybody will bail us out and do what we want, and why do we have to worry about it?
[00:38:23.222 --> 00:38:24.103]  We're getting it now.
[00:38:25.569 --> 00:38:28.033]  It could be that sort of a mentality, you know.
[00:38:29.215 --> 00:38:29.595]  I don't know.
[00:38:29.856 --> 00:38:35.545]  When was it that the Romans realized that they were finished, you know?
[00:38:38.012 --> 00:39:04.288]  When, along the long decline that they went through, did they finally, or did they think the whole time, it's just some kind of setback, we're the world's power, we're the world's superpower, nobody can field an army like ours, or supply it, or they don't have administrative systems, these barbarians can't even maintain a siege on a city because they have no supply apparatus.
[00:39:05.989 --> 00:39:09.031]  They're similar to the kinds of things you hear people say about the United States.
[00:39:09.171 --> 00:39:14.514]  Why, you know, we don't have to worry because we're the top dog and blah, blah, blah.
[00:39:14.934 --> 00:39:17.476]  So, it could just keep people blind.
[00:39:17.516 --> 00:39:18.657]  Hubris can blind you.
[00:39:19.932 --> 00:39:25.636]  When I sit and think about it, and I say, you know, when we were there, could anything like this have happened?
[00:39:25.736 --> 00:39:28.218]  And you say, no.
[00:39:28.518 --> 00:39:30.920]  But again, you know, Reagan was way back.
[00:39:33.262 --> 00:39:34.603]  Things change.
[00:39:38.783 --> 00:39:51.213]  The United States had a large middle class and it was possible in the United States for people to rise up and that's how the middle class grew.
[00:39:51.974 --> 00:40:01.542]  And it was based on good manufacturing jobs which were high productivity jobs because of the technology and capital with which Americans worked.
[00:40:02.102 --> 00:40:04.785]  So they produced a lot so you could pay them a lot.
[00:40:05.726 --> 00:40:07.248]  And it was based on education.
[00:40:07.688 --> 00:40:17.181]  And we have all these huge numbers of colleges and universities and a very large percentage of people who went through university.
[00:40:18.022 --> 00:40:21.426]  Now, when you take the jobs that those people
[00:40:22.407 --> 00:40:43.933]  used to go into, and you move them offshore, or you have them fulfilled by foreigners who send in the work over the internet, or you discharge your own workforce and bring in foreigners on work visas, then you have ended the ability of people to rise.
[00:40:43.993 --> 00:40:49.895]  You have destroyed the value of an education because the jobs that people
[00:40:50.842 --> 00:40:52.963]  We're used to taking are no longer there for them.
[00:40:53.003 --> 00:40:57.004]  They've been moved offshore, filled with foreigners on work visas.
[00:40:57.664 --> 00:41:01.965]  And so you undermine the strength of your own society.
[00:41:02.025 --> 00:41:05.166]  And that's what we've done.
[00:41:05.246 --> 00:41:06.886]  Now, why did this happen?
[00:41:07.226 --> 00:41:08.366]  It's a result of two things.
[00:41:08.606 --> 00:41:10.787]  One, the collapse of world socialism.
[00:41:11.707 --> 00:41:16.348]  When the Soviet Union collapsed, the whole notion of socialism collapsed.
[00:41:17.289 --> 00:41:18.349]  China gave it up.
[00:41:19.821 --> 00:41:21.002]  India gave it up.
[00:41:22.323 --> 00:41:35.991]  So suddenly the vast underutilized populations in India and China were available to American capital or any first world capital.
[00:41:36.552 --> 00:41:42.676]  Previously an American company couldn't go into China and produce for the American market.
[00:41:42.696 --> 00:41:46.818]  The Chinese wouldn't hear about it and you couldn't do it in India either.
[00:41:47.359 --> 00:41:48.659]  This opened up the
[00:41:50.080 --> 00:41:56.983]  There are extreme numbers of Indians and Chinese to work for American firms.
[00:41:57.063 --> 00:42:08.787]  And American firms said, hey, look, if we move from Illinois or Michigan or wherever to China, we can hire labor at a tiny fraction of the cost.
[00:42:09.386 --> 00:42:12.028]  Plus, we don't have other problems.
[00:42:12.048 --> 00:42:16.770]  There's less regulation, the government's not on our back all the time, the unions and blah blah.
[00:42:16.811 --> 00:42:21.934]  So, the collapse of world socialism was important.
[00:42:21.994 --> 00:42:25.316]  The second thing that was important was the rise of the high-speed internet.
[00:42:26.476 --> 00:42:35.779]  Because the high-speed internet lets intellectual work, lets engineering work, software work, design work, even radiology.
[00:42:36.139 --> 00:42:42.321]  You know, the hospitals send the CAT scans or the MRIs to India to be read.
[00:42:43.294 --> 00:42:52.157]  Because they do it for $20 and they don't have to pay the American trained doctors to do this.
[00:42:52.197 --> 00:43:07.283]  So all sorts of intellectual work that used to provide good jobs, really comfortable salaries, good careers for Americans can now be done anywhere in the world sitting on the internet.
[00:43:09.238 --> 00:43:13.061]  And then the remaining jobs that are still here.
[00:43:14.562 --> 00:43:21.728]  The corporations have learned they can bring people in on work visas and supplant their own workforce.
[00:43:22.548 --> 00:43:26.752]  And they don't have any obligations to these people on work visas.
[00:43:26.792 --> 00:43:29.113]  They don't have any pension obligations.
[00:43:29.153 --> 00:43:31.475]  They don't have any career obligations.
[00:43:32.256 --> 00:43:32.576]  And so
[00:43:34.418 --> 00:43:40.682]  It's a way to greatly increase the profits of firms by minimizing labor costs.
[00:43:41.483 --> 00:43:42.764]  So that's what made it possible.
[00:43:42.824 --> 00:43:44.125]  Now, what pushed for it?
[00:43:44.905 --> 00:43:45.706]  Well, Wall Street.
[00:43:47.107 --> 00:43:53.972]  Wall Street pushed the firms to enhance shareholder value.
[00:43:54.453 --> 00:43:56.114]  That is, to drive up the share price.
[00:43:58.266 --> 00:44:04.713]  And you drive up the share price by driving up profits, and you drive up profits by driving down labor costs.
[00:44:05.855 --> 00:44:10.360]  And so the pressure from Wall Street on firms, and also from takeovers.
[00:44:12.419 --> 00:44:22.904]  There are all sorts of shareholder activists who would descend on a firm and say, we can run this firm better than the current management.
[00:44:25.025 --> 00:44:32.388]  We're going to, vote for us, take us, make us the management, get rid of the old management, we're going to do better.
[00:44:32.408 --> 00:44:37.049]  That's another reason for them to move their production offshore, because profits go up.
[00:44:38.851 --> 00:44:49.533]  And then you had Congress, which in its great unwisdom passed a law that an executive of a corporation
[00:44:51.227 --> 00:44:54.910]  Their pay, their salary, was capped at a million dollars a year.
[00:44:56.252 --> 00:45:04.420]  And if you paid them more than that, it could not be treated as a business expense and deducted from profits.
[00:45:05.641 --> 00:45:08.964]  Unless it was performance-based.
[00:45:10.265 --> 00:45:14.069]  And performance-based, again, means did profits grow?
[00:45:15.802 --> 00:45:22.828]  So the whole system then gave the incentive to the managers to move as much offshore as possible.
[00:45:23.748 --> 00:45:29.073]  And once it started, of course, Walmart then told all of its suppliers, meet the Chinese price.
[00:45:30.174 --> 00:45:36.679]  These are the things that destroyed the prospects for the middle class.
[00:45:36.759 --> 00:45:41.262]  And of course, by taking away the value of an education,
[00:45:42.243 --> 00:45:56.446]  You know, sooner or later people are going to realize, what am I paying all these tens of thousands of dollars for an education when I get a job as a waitress or a bartender or temp or hospital orderly?
[00:45:58.547 --> 00:45:59.807]  This doesn't make sense.
[00:45:59.847 --> 00:46:03.388]  How am I going to pay off these student loans?
[00:46:04.761 --> 00:46:05.462]  What is going on?
[00:46:05.542 --> 00:46:16.011]  So, at some point, when this realization hits, the universities won't have any clients because you can't get anywhere.
[00:46:17.373 --> 00:46:19.635]  There are all sorts of software engineers.
[00:46:20.095 --> 00:46:22.718]  They come out, they get graduated, and there's no jobs.
[00:46:23.879 --> 00:46:26.961]  There's nowhere for them to work because their jobs are offshore.
[00:46:28.894 --> 00:46:33.376]  Oh, they're filled and the work comes in on the internet.
[00:46:33.976 --> 00:46:36.718]  This is a very serious thing.
[00:46:37.198 --> 00:46:43.921]  How do you save the middle class when the jobs that they occupy are dwindling?
[00:46:47.054 --> 00:47:07.205]  I think Pat Buchanan was right that NAFTA and all that was simply a way for the large American companies to dump their American workforces and all the responsibilities that came with them and to rely on foreigners.
[00:47:07.505 --> 00:47:09.166]  It also, of course, broke the unions.
[00:47:09.886 --> 00:47:15.309]  I mean, the unions were essentially wiped out because of the industrial jobs.
[00:47:16.670 --> 00:47:17.190]  They're gone.
[00:47:17.411 --> 00:47:25.016]  So, there were probably many motives of that sort behind it.
[00:47:25.817 --> 00:47:38.847]  And it shows the inability for governmental leaders to, and even those who are serving their own interests, to realize what the unintended consequences are of what they're doing.
[00:47:40.091 --> 00:47:45.474]  See, in the end, all of this destroys the American market for the offshored goods.
[00:47:46.374 --> 00:47:56.880]  Because when you lay off your workers, and you make the goods with, say, Chinese, and you bring them back in here to sell them to people, well, the workers are laid off.
[00:47:56.900 --> 00:47:57.620]  Where they got any money?
[00:47:59.981 --> 00:48:05.204]  When you divorce a significant percentage of your population,
[00:48:06.752 --> 00:48:13.435]  If you divorce their incomes from the production of the goods and services that they consume, they can't buy them.
[00:48:14.875 --> 00:48:28.080]  The net effect, you know, over the longer period of time of what these people have done, the corporations, the government, is destroy the American consumer market.
[00:48:30.621 --> 00:48:33.022]  And this can get destroyed even faster
[00:48:34.304 --> 00:48:35.585]  You see, we're always bidding up on China.
[00:48:35.605 --> 00:48:35.665]  Why?
[00:48:35.685 --> 00:48:38.266]  You've got your currency undervalued.
[00:48:38.286 --> 00:48:39.946]  Raise the value of your currency.
[00:48:40.387 --> 00:48:43.428]  Well, is that what you want to tell somebody?
[00:48:43.448 --> 00:48:45.709]  That you're heavily dependent on imports from China?
[00:48:45.729 --> 00:48:48.450]  Push up your prices!
[00:49:01.903 --> 00:49:06.964]  You see, there'll come a time when Americans walk into Walmart and they think they've walked into Neiman Marcus.
[00:49:10.585 --> 00:49:11.326]  You see what I'm saying?
[00:49:13.546 --> 00:49:19.828]  The minute the dollar declines to the Chinese currency, wow!
[00:49:20.408 --> 00:49:21.509]  Prices are going to rise.
[00:49:22.789 --> 00:49:25.170]  People don't have incomes already.
[00:49:25.250 --> 00:49:26.470]  How are they going to pay these prices?
[00:49:29.187 --> 00:49:33.189]  So, just the complete absurdity of the whole thing.
[00:49:33.209 --> 00:49:42.533]  I mean, it's really an absurd situation that we have gotten in, and it shows a complete failure of leadership.
[00:49:44.033 --> 00:49:49.216]  Politically, intellectually, business-wise, and the people themselves.
[00:49:49.256 --> 00:49:51.757]  They just, they don't pay any attention.
[00:49:51.817 --> 00:49:52.997]  Who knows about this?
[00:49:53.137 --> 00:49:54.598]  It's the laid-off people who know about this.
[00:49:55.799 --> 00:49:56.920]  The ones who are laid off.
[00:49:57.901 --> 00:50:00.464]  Everybody else is somewhere else.
[00:50:02.086 --> 00:50:03.087]  How bad can it get?
[00:50:04.769 --> 00:50:05.570]  It can get worse.
[00:50:07.692 --> 00:50:09.454]  And it will get worse.
[00:50:09.894 --> 00:50:17.923]  And it's also the reason why the traditional stimulus programs to deal with unemployment don't work.
[00:50:20.356 --> 00:50:44.526]  You see, in the post-war, post-World War II period, recessions were generally engineered by the Federal Reserve in order to cool down labor demands for higher wages, because they thought that was inflationary, and they would, anytime the economy got booming, they'd just turn off the money, cause a recession, let things cool down, and they'd start the money back, and things would pick back up.
[00:50:44.586 --> 00:50:49.208]  Well, the jobs were still there, so the factories could call the workers back to work.
[00:50:50.738 --> 00:50:51.579]  Jobs aren't there anymore.
[00:50:53.180 --> 00:50:57.724]  So, to say, hey, here's easy credit.
[00:50:58.084 --> 00:51:01.807]  Look, we've got historically low interest rates.
[00:51:03.148 --> 00:51:06.491]  We've got historically high budget deficits.
[00:51:07.451 --> 00:51:14.317]  Both of these things are considered to be major stimuli to the economy.
[00:51:15.532 --> 00:51:16.573]  And yet nothing's happening.
[00:51:19.195 --> 00:51:19.996]  Nothing is happening.
[00:51:20.396 --> 00:51:20.936]  And why?
[00:51:21.037 --> 00:51:23.278]  Because the jobs aren't there.
[00:51:26.481 --> 00:51:32.846]  Certainly over the course of its history, the Federal Reserve has caused a lot of problems.
[00:51:32.926 --> 00:51:36.809]  For example, right after it was created, it caused the Great Depression.
[00:51:37.790 --> 00:51:38.771]  It didn't do it on purpose.
[00:51:40.273 --> 00:51:46.395]  But it failed in its responsibility to be the lender of last resort to the banks.
[00:51:46.595 --> 00:51:56.879]  And when the banks were failing because of runs on the banks, and the inability to call in loans fast enough to pay off depositors,
[00:51:59.661 --> 00:52:09.648]  It was the responsibility of the Federal Reserve to get up car loans of cash and rush over to the bank and deliver it so they could pay off the customers and stop the runs.
[00:52:09.708 --> 00:52:15.211]  And as the banks failed, the money supply shrank.
[00:52:16.152 --> 00:52:22.014]  You know, every time a bank failed, in those days, there was no FDIC, no guaranteed deposits.
[00:52:22.654 --> 00:52:27.415]  So when a bank failed, the money supply shrank by the amount of the deposits in the bank.
[00:52:29.456 --> 00:52:32.517]  So, there were a lot of bank failures, so the money supply was shrinking.
[00:52:33.912 --> 00:52:41.056]  And the Federal Reserve did take expansionary actions.
[00:52:41.216 --> 00:52:45.918]  They just never took them enough to offset the shrinkage.
[00:52:48.220 --> 00:52:56.604]  They misjudged or they didn't know what they were doing or something, but the net effect was the supply money shrank.
[00:52:59.016 --> 00:53:01.078]  You know, by 25%, by a third.
[00:53:01.979 --> 00:53:08.606]  Well, if the supply of money shrinks, you can't maintain the same level of purchases and employment.
[00:53:10.310 --> 00:53:20.957]  And so when you shrink the supply of money, you shrink sales, you shrink employment, you get unemployment, you get falling gross national product.
[00:53:21.897 --> 00:53:22.778]  And that's what happened.
[00:53:23.939 --> 00:53:32.764]  And the entire decade of the 30s was troubles, serious troubles for people whose whole lives were disrupted.
[00:53:34.225 --> 00:53:38.768]  And it was because the Fed failed to do what it was established for.
[00:53:40.427 --> 00:53:55.087]  Now, so either this means that there's not enough competence to go with the power, or there's not enough accountability.
[00:53:56.485 --> 00:53:59.026]  To be sure that they're doing the right thing.
[00:54:00.167 --> 00:54:02.368]  Maybe they're too independent.
[00:54:02.408 --> 00:54:11.432]  Maybe there needs to be additional levels of oversight so that these kinds of mistakes don't happen.
[00:54:12.193 --> 00:54:15.894]  And since the end of World War II, we've had the opposite problem.
[00:54:17.595 --> 00:54:20.537]  Instead of shrinking money supply, they've let it grow too fast.
[00:54:21.237 --> 00:54:22.758]  And so we've had inflation.
[00:54:23.818 --> 00:54:25.119]  There's enormous inflation.
[00:54:26.579 --> 00:54:27.500]  Over my lifetime.
[00:54:28.840 --> 00:54:29.320]  Enormous.
[00:54:30.701 --> 00:54:36.164]  And that means the Federal Reserve is conducting policy inappropriately.
[00:54:37.825 --> 00:54:42.387]  They're not, they weren't established to create inflation.
[00:54:44.088 --> 00:54:50.171]  You see, if you've got 3, 4, 5, 6 percent inflation year after year after year, it compounds.
[00:54:51.712 --> 00:54:53.953]  And the value of the dollars ends up
[00:54:55.495 --> 00:54:55.895]  Worthless.
[00:54:57.236 --> 00:54:59.317]  You can be very critical of the Fed.
[00:54:59.337 --> 00:55:05.681]  You can say it's done far more harm than good.
[00:55:06.382 --> 00:55:11.485]  The reason they made it independent was they didn't trust the government not to manipulate it.
[00:55:14.107 --> 00:55:22.212]  But you can't trust the government, that's for sure, but you can't trust anybody with unaccountable power.
[00:55:24.338 --> 00:55:26.659]  So you have the same problem.
[00:55:29.419 --> 00:55:41.622]  And I think what it really comes down to is anytime you have unaccountable power, then you have a greater range for misbehavior, a greater range for mistakes that go unrecognized and uncorrected.
[00:55:44.503 --> 00:56:05.178]  This is a cost for the system and it becomes an even greater cost if the currency is a fiat currency that itself is not limited by some amount of precious metal, gold or silver or limited in some way.
[00:56:07.920 --> 00:56:12.264]  When the currency becomes essentially unlimited by anything
[00:56:13.384 --> 00:56:16.927]  Except the need to print it.
[00:56:18.168 --> 00:56:27.854]  It's clear the tremendous amount of bank reserves that they've created are not finding their way from the banks into an expansion of the money supply.
[00:56:28.035 --> 00:56:30.256]  It's simply they're sitting on the reserves.
[00:56:31.417 --> 00:56:37.061]  But if the Fed's creating money in another way, which is printing it so the government can pay its bills,
[00:56:39.471 --> 00:56:45.838]  Then that money is, sooner or later, got to find its way into prices.
[00:56:48.201 --> 00:56:50.183]  And the more unemployment there is,
[00:56:51.601 --> 00:56:59.764]  The quicker it'll find its way into prices because there's less goods to absorb the money so it drives them up.
[00:57:00.764 --> 00:57:16.069]  The Federal Reserve published in April of 2008 that the existing money supply by which they make currency and circulation and checking accounts was 1.4 trillion.
[00:57:17.470 --> 00:57:19.991]  That was the money supply in spring of 08.
[00:57:23.197 --> 00:57:30.879]  Now, the budget deficit in 2009, a year later, is $1.4 trillion.
[00:57:33.320 --> 00:57:43.843]  If they had to print $1.4 trillion to pay that deficit, the money supply would have doubled in one year.
[00:57:45.903 --> 00:57:46.104]  Right?
[00:57:47.204 --> 00:57:51.225]  Next year, they say the deficit is going to be $1.4 trillion.
[00:57:53.012 --> 00:58:01.437]  If they had to print the money in 2010 to cover the budget deficit, the money supply would have tripled in two years.
[00:58:03.038 --> 00:58:12.044]  If something like this happens, that they have to print these huge sums of money, inflation is going to start up.
[00:58:12.865 --> 00:58:18.128]  And look at the enormous reserves in the banking system that are there
[00:58:19.787 --> 00:58:22.728]  To be drawn on to fuel the inflation.
[00:58:23.809 --> 00:58:30.992]  Once prices start rising, then if real estate prices go up, then people's homes are out of trouble.
[00:58:32.312 --> 00:58:37.055]  That's one way to get rid of the real estate crisis, is to inflate away the value of the mortgage debt.
[00:58:38.595 --> 00:58:40.976]  Once that starts, the banks will be lending everywhere.
[00:58:42.257 --> 00:58:48.520]  And so you would have a tremendous ability for a massive inflation, and a long-lived one.
[00:58:48.580 --> 00:58:49.420]  And how would you stop it?
[00:58:52.051 --> 00:58:59.393]  The only way these things have ever been stopped is they just say, okay, that currency no longer exists.
[00:59:00.113 --> 00:59:01.093]  We're creating a new one.
[00:59:02.234 --> 00:59:04.954]  One new dollar is equal to a hundred trillion old dollars.
[00:59:06.074 --> 00:59:10.135]  These are all implications of what is going on.
[00:59:11.816 --> 00:59:15.797]  And when the implications of what you're doing are so dire, you should stop!
[00:59:19.278 --> 00:59:19.838]  But we don't.
[00:59:21.263 --> 00:59:21.884]  We don't stop.
[00:59:22.624 --> 00:59:31.612]  The Afghan war, at a minimum, it's just an out-of-pocket expenses, it's $100 billion a year.
[00:59:33.394 --> 00:59:46.546]  Now, if you then count the incurred medical care for the troops for the rest of their life, the cost of replacing all the equipment that gets blown up,
[00:59:48.041 --> 00:59:56.543]  The loss of $100 billion of resources for better uses, the cost of the war is huge.
[00:59:56.923 --> 00:59:59.223]  We're not in a position we can afford in such war.
[01:00:01.124 --> 01:00:06.685]  Particularly when we have to borrow it and then pay the interest on $100 billion to the Chinese.
[01:00:08.866 --> 01:00:10.506]  It's not sensible.
[01:00:12.725 --> 01:00:16.773]  And the things that we do are not sensible.
[01:00:16.853 --> 01:00:21.582]  I can't think of anything that the United States government does that's sensible.
[01:00:22.925 --> 01:00:24.949]  I can't think of any policy that's working.
[01:00:27.267 --> 01:00:33.936]  Remember, lovers of liberty, these video interviews have all been exclusive, and they're going to be archived at PrisonPlanet.TV.
[01:00:34.196 --> 01:00:37.941]  Please download them, burn them to disk, and give them to everyone you know.
[01:00:38.441 --> 01:00:39.543]  Upload them to YouTube.
[01:00:39.863 --> 01:00:44.269]  This information is vital not just to our free republic, but to the future of free humanity.
