[00:00:07.276 --> 00:00:08.583]  We are simulcasting.
[00:37:18.623 --> 00:37:30.309]  The only thing that they're trying to avoid right now, though, I do believe that martial law would be a great way in which, well, if there was an uprising or revolt or revolution,
[00:37:31.354 --> 00:37:33.096]  That was not well planned.
[00:37:48.328 --> 00:37:56.014]  They're just trying to avoid people coming out with the 250 million guns that are in the homes of America to overthrow this movement.
[00:37:56.074 --> 00:38:00.717]  But they believe right now they're in control and there's absolutely nothing that can be done.
[00:38:01.158 --> 00:38:07.582]  Nothing that can stop this global takeover and the amassing of global power into the hands of just a few people.
[00:38:08.723 --> 00:38:15.268]  They really do think America and the world is done and this is a scientific dictatorship.
[00:38:15.448 --> 00:38:16.469]  It's really happening.
[00:38:17.534 --> 00:38:18.575]  I don't think so.
[00:38:35.171 --> 00:38:49.457]  And I think that's happening not just because the public's awake and angry and active, Reverend Manning, but because police, military, bureaucrats, people who are in there seeing this, they're quietly not going along with it.
[00:38:49.497 --> 00:38:50.818]  They're leaking information.
[00:38:50.858 --> 00:38:51.839]  They're saying no.
[00:38:53.099 --> 00:38:58.181]  And I mean, I think we're in very, very dark times, but at the same time,
[00:39:01.488 --> 00:39:16.203]  Well, you know, I think what you just—I'm very much aware of what you stated, how clear that is, that people within the military, within the police, within the—and within the structure of the government recognize what is happening.
[00:39:16.443 --> 00:39:18.185]  They have not been made a part of it.
[00:39:18.425 --> 00:39:20.047]  They will not be made a part of it.
[00:39:20.886 --> 00:39:25.310]  And for those reasons, a part of the process could be slowing down.
[00:39:26.811 --> 00:39:33.317]  I at one time thought that perhaps they may have lost interest in using Obama as a front man.
[00:39:33.337 --> 00:39:39.683]  The Copenhagen failure caused me to think a little bit, but I didn't have any conclusive evidence.
[00:39:40.282 --> 00:39:45.545]  That perhaps they thought that they would slow down on him and perhaps pick another person to be the leader of this group.
[00:39:45.945 --> 00:40:01.174]  But the other thing is that, you know, I'm not sure that the American people understand—well, what I would say is that perhaps what you're discussing right now we probably ought not to discuss.
[00:40:02.893 --> 00:40:14.180]  Because there are a large number of people within the military who have been made aware of all of the conspiracies that are happening and this global takeover and we might be putting them in jeopardy at some point.
[00:40:14.601 --> 00:40:15.481]  Well that's just it.
[00:40:15.501 --> 00:40:17.783]  I mean, that's just it.
[00:40:18.383 --> 00:40:23.487]  If you expose the program, which we've done with the alternative media, which is why they want to shut down and curtail the web,
[00:40:24.227 --> 00:40:24.927]  And free speech.
[00:40:25.828 --> 00:40:32.030]  If you expose them and we're telling the truth, even if people don't wake up now, as it unfolds, they will wake up.
[00:40:32.831 --> 00:40:34.632]  Because it's almost like prophecy.
[00:40:34.912 --> 00:40:40.014]  We have their game plan, and you lay it out beforehand, and then it happens as we say.
[00:40:40.794 --> 00:40:42.175]  That really gets people's attention.
[00:40:42.195 --> 00:40:49.378]  And I think that's what myself and many others, and you, over the decades, getting the truth out, is devastating to them.
[00:40:49.398 --> 00:40:50.979]  Because I say it every day because it's so true.
[00:40:52.296 --> 00:40:55.097]  Lies have to be reapplied constantly.
[00:40:56.578 --> 00:40:58.199]  Constantly have to be reapplied.
[00:40:58.679 --> 00:40:59.499]  Over and over again.
[00:40:59.539 --> 00:41:02.861]  But the truth just burns through the lies.
[00:41:03.461 --> 00:41:05.102]  And so we've only got to wake somebody up.
[00:41:05.122 --> 00:41:06.763]  We've only got to show them how they've been lied to.
[00:41:07.935 --> 00:41:10.276]  And then they've opened their eyes to the larger fraud.
[00:41:11.437 --> 00:41:30.889]  Well, you know, where we're standing, if you look at what's happening in Europe and how Europe is being co-opted, and how they've lost all their sense of democracy and freedom of speech, and the last bastion, of course, here in America,
[00:41:32.610 --> 00:41:35.234]  We were indeed the ideal.
[00:41:35.294 --> 00:41:46.507]  We were the city on a hill, if you will, in terms of democracy, freedom of speech, and the best kind of government and patriots of people interaction.
[00:41:47.307 --> 00:41:49.667]  That has all been curtailed now.
[00:41:50.448 --> 00:41:59.249]  The problem is that we've got a large number of people in America who actually believe that it should have been curtailed, and they voted for it in this recent election with Obama.
[00:41:59.809 --> 00:42:11.471]  And as you made mention of the fellow Dice, I think was his name, in the earlier segment, that Californians are actually voting or believing that freedom of speech should be curtailed to some degree.
[00:42:12.531 --> 00:42:16.572]  What has happened is that there has been such a mind-washing
[00:42:17.521 --> 00:42:21.364]  People have nothing, so they're an empty vessel to be filled.
[00:42:21.424 --> 00:42:23.545]  Let's go to some phone calls before we run out of time here.
[00:42:23.565 --> 00:42:25.767]  You've been gracious to spend this time with us.
[00:42:25.847 --> 00:42:28.669]  Pat in Ohio, you're on the air with Dr. Manning.
[00:42:28.769 --> 00:42:29.149]  Go ahead.
[00:42:47.526 --> 00:42:50.227]  Hi, Alex and Reverend Manny.
[00:42:50.567 --> 00:42:50.847]  Hello.
[00:42:52.667 --> 00:42:56.188]  I agree with a lot of what you're saying about President Bush.
[00:42:56.788 --> 00:42:57.548]  I mean, Obama.
[00:42:58.369 --> 00:42:58.949]  Same person.
[00:43:00.469 --> 00:43:01.209]  Yeah, it is.
[00:43:01.629 --> 00:43:11.012]  But I think you've been a little too harsh when you say that when you call for the execution of him, if he's found guilty of lying about his birth certificate.
[00:43:12.052 --> 00:43:14.893]  Sure, he should go to jail or whatever, but to be executed?
[00:43:14.913 --> 00:43:16.433]  No, even though it may be a law.
[00:43:17.020 --> 00:43:18.381]  I think that's a little too harsh.
[00:43:18.821 --> 00:43:21.563]  If anybody needs to be executed, it should be President Bush.
[00:43:21.623 --> 00:43:23.584]  I mean, considering what he did on 9-11.
[00:43:23.884 --> 00:43:25.965]  He was involved in the 9-11 event.
[00:43:26.286 --> 00:43:29.247]  Him and Vice President Cheney.
[00:43:29.628 --> 00:43:33.910]  Well, I'm not going to sit here and call for that.
[00:43:33.970 --> 00:43:40.774]  I don't want anything to happen to those guys because they're high-level puppets and that'll turn the whole system into a victim when it's the victimizer.
[00:43:41.175 --> 00:43:42.696]  But, Pat, I appreciate your call.
[00:43:42.716 --> 00:43:44.777]  Let me get a comment from Dr. Manning on that.
[00:43:45.506 --> 00:43:52.010]  Well, if the question is about capital punishment, that you would be adverse to that, then I can certainly appreciate it.
[00:43:52.930 --> 00:44:10.701]  But if it's simply about the severity of the crime, I think that the issue of the birth certificate may be the doorway, but the severity of the crime, what the illegal status has done, and the number of people that have been injured as a result of him coming to power in an illegal way,
[00:44:11.161 --> 00:44:25.932]  Might be a way you would want to consider that, because if he's created great injury and been able to launch more wars and create more deaths, then you may think and may reconsider and say, well, it might be worth execution at that point.
[00:44:26.232 --> 00:44:34.158]  And then the other thing is that founding fathers established that so that people would understand that fidelity to this nation is absolutely critical.
[00:44:34.398 --> 00:44:38.421]  Do not betray this nation under any circumstance, or your life is at risk.
[00:44:39.704 --> 00:44:41.265]  Let's talk to Julio in Illinois.
[00:44:41.325 --> 00:44:42.406]  Julio, welcome.
[00:44:43.287 --> 00:44:45.469]  Alex Jones, Dr. Manning, Freedom Fighters.
[00:44:45.509 --> 00:44:46.950]  How are you this afternoon, gentlemen?
[00:44:47.350 --> 00:44:48.071]  Good to talk to you.
[00:44:48.691 --> 00:44:50.653]  Good to talk to you.
[00:44:50.753 --> 00:44:52.254]  I praise you for what you're doing right now.
[00:44:52.354 --> 00:44:53.655]  Quick comment then to my question.
[00:44:54.036 --> 00:44:55.317]  Startpage.com, everybody.
[00:44:55.337 --> 00:44:56.878]  Please read Alternative Futures for 2025.
[00:44:57.218 --> 00:45:00.181]  They have this thing called Delavish Travels.
[00:45:00.241 --> 00:45:01.341]  Pretty much a prelude.
[00:45:01.582 --> 00:45:05.605]  It was April 96, a prelude to what's going on currently in Haiti.
[00:45:06.335 --> 00:45:09.337]  My question, you guys are talking about a protest, what we need to do.
[00:45:09.818 --> 00:45:12.840]  Everyone needs to know that we need to be peaceful in these actions.
[00:45:12.960 --> 00:45:14.781]  I just got done with my sociology class.
[00:45:15.121 --> 00:45:17.743]  My professor, God bless his name, he's a Christian, I believe.
[00:45:18.103 --> 00:45:19.324]  Everything is happening for a reason.
[00:45:19.364 --> 00:45:20.625]  He talked about Dr. King.
[00:45:20.765 --> 00:45:21.866]  I re-saw his speech.
[00:45:22.186 --> 00:45:25.549]  In the beginning he talked about, he is collecting a debt.
[00:45:25.889 --> 00:45:28.831]  Talking about the Constitution and how we are granted this freedom.
[00:45:29.266 --> 00:45:31.526]  We need to have a march on Wall Street.
[00:45:31.887 --> 00:45:39.108]  Everyone knows that the criminal offshore bank known as the Federal Reserve are looting us high and dry right in front of our faces.
[00:45:39.128 --> 00:45:40.588]  Let me move on to his comments.
[00:45:40.608 --> 00:45:41.349]  We're about to go to break.
[00:45:41.809 --> 00:45:47.950]  Clearly, I believe in identifying the bankers as the real government, the real criminals, and bypassing the puppet presidents.
[00:45:47.990 --> 00:45:48.670]  Your take on that?
[00:45:49.190 --> 00:45:52.971]  The Bible states, the borrower is the servant of the lender.
[00:45:53.051 --> 00:45:57.172]  He who controls the money controls all of the honey.
[00:46:00.065 --> 00:46:02.327]  Well, he controls the money, controls the world, quite frankly.
[00:46:03.888 --> 00:46:05.029]  So we go after the banks?
[00:46:06.350 --> 00:46:06.831]  Absolutely.
[00:46:07.972 --> 00:46:10.634]  The Federal Reserve, I think, not so much the banks.
[00:46:11.174 --> 00:46:14.317]  They are certainly a target, no doubt about it, and a very visible one.
[00:46:14.969 --> 00:46:16.370]  I mean the mega-banking structure.
[00:46:16.390 --> 00:46:17.910]  Sure, I don't mean your Mayberry Bank.
[00:46:17.950 --> 00:46:19.011]  You should support that, yeah.
[00:46:19.371 --> 00:46:20.191]  Yeah, absolutely.
[00:46:20.511 --> 00:46:20.911]  Absolutely.
[00:46:21.291 --> 00:46:32.736]  But the Federal Reserve, I think most people are unaware of how insidious the Federal Reserve is, how it was founded, what it does, and how it manipulates world governments.
[00:46:33.176 --> 00:46:39.458]  It manipulates, if you will, the growth of products and services and other nations.
[00:46:39.718 --> 00:46:41.319]  It must be exposed and dethroned.
[00:46:42.483 --> 00:46:47.785]  We're going to come back, take three quick calls in the last segment with Reverend Manning, Isaac, Tracy, and Mark.
[00:46:47.825 --> 00:46:56.108]  Stand by, everyone, right to you after this break and the final segment with our guest and a big news blitz coming up at the bottom of the hour.
[00:46:56.128 --> 00:46:56.628]  Stay with us.
[00:46:58.064 --> 00:47:05.567]  Aaron Aqua dot com is your one stop shop for some of the most affordable air and water purification systems available on the market today.
[00:47:05.587 --> 00:47:09.888]  Aaron Aqua dot com knows exactly what doesn't belong in our air and our water.
[00:47:10.089 --> 00:47:14.070]  And they know exactly how to help you rid your home or office of these harmful toxins.
[00:47:14.410 --> 00:47:18.932]  Did you know that your skin actually absorbs more chlorine while you shower than from the water you drink?
[00:47:19.152 --> 00:47:22.833]  Aaron Aqua dot com can help you eliminate dangerous chlorine from your water.
[00:47:22.853 --> 00:47:27.215]  Aaron Aqua dot com carries atmospheric water generators, glass water bottles,
[00:47:27.515 --> 00:47:28.095]  We're good to go.
[00:47:59.332 --> 00:48:02.979]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:48:03.379 --> 00:48:06.365]  This is our last chance to not relive history.
[00:48:06.605 --> 00:48:08.028]  As we're finishing off this agenda...
[00:48:08.729 --> 00:48:11.370]  They'll be pulling the rug from underneath Americans at home.
[00:48:11.390 --> 00:48:17.592]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:48:17.772 --> 00:48:22.814]  I think it's incumbent upon all of us as American citizens to pay attention.
[00:48:23.334 --> 00:48:32.938]  For the Republic identifies the enemies of our nation, the criminal offshore cartel, hell-bent on destroying sovereignty and on its ashes constructing world government.
[00:48:33.078 --> 00:48:35.179]  Tim Geithner, Bernanke, they're arsonists!
[00:48:35.419 --> 00:48:36.759]  They're asking for more matches!
[00:48:37.019 --> 00:48:39.280]  And the Congress is saying, who do we make the check out to?
[00:48:39.480 --> 00:48:41.300]  Today seems like nobody does care.
[00:48:41.320 --> 00:48:46.361]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:48:46.741 --> 00:48:51.523]  Get your copy of Fall of the Republic on DVD at InfoWars.com.
[00:48:51.763 --> 00:48:55.844]  Or watch it online right now in super high quality at PrisonPlanet.tv.
[00:48:58.624 --> 00:48:59.464]  Gold isn't for you?
[00:48:59.665 --> 00:49:04.987]  Ted Anderson, President of Midas Resources, one of the world's premier gold and precious metal investing firms.
[00:49:05.187 --> 00:49:05.608]  I get it.
[00:49:05.728 --> 00:49:15.052]  You wouldn't buy gold if you believed that the government is doing a great job, that the Fed will stop handing out trillions of dollars like bailout candy, that Social Security would be there for you.
[00:49:15.352 --> 00:49:16.493]  That's not what's happening.
[00:49:16.753 --> 00:49:24.999]  You might even pass on gold if the stimulus package wouldn't fuel inflation, or that the dollar wouldn't lose value, or that your retirement would be secure.
[00:49:25.239 --> 00:49:28.501]  If all looks rosy to you, then now is not the time to buy gold.
[00:49:28.621 --> 00:49:32.704]  For the realists, there have never been more sobering reasons to diversify with gold.
[00:49:32.884 --> 00:49:34.465]  Since 2001, the U.S.
[00:49:34.505 --> 00:49:37.727]  dollar index has tanked 30%, while gold has risen 300%.
[00:49:38.448 --> 00:49:42.050]  Right now, savvy investors are adding gold to their portfolios.
[00:49:42.250 --> 00:49:42.970]  You should too.
[00:49:43.150 --> 00:49:44.131]  Find out what they know.
[00:49:44.311 --> 00:49:47.533]  Call us and I'll send you 10 reasons why gold will do very well, free.
[00:49:47.553 --> 00:49:47.593]  800-686-2237.
[00:49:47.613 --> 00:49:47.893]  800-686-2237.
[00:49:47.953 --> 00:49:48.133]  That's 800-686-2237.
[00:49:48.173 --> 00:49:48.333]  Hello.
[00:49:48.353 --> 00:49:50.354]  At OfTheField.com, we strive to empower you with wild food preparedness.
[00:49:50.614 --> 00:49:52.595]  We get lots of amazing positive feedback, most of which
[00:50:10.202 --> 00:50:12.863]  What would people like you have to say about the wild food experience?
[00:50:13.203 --> 00:50:17.144]  It's inspiring for many who are affected by the recent downturn of the economy.
[00:50:17.304 --> 00:50:21.225]  I already knew a bit about foraging and edibles, but you take it to a whole new level.
[00:50:21.345 --> 00:50:23.885]  A thousand thanks to you for all that great knowledge.
[00:50:24.145 --> 00:50:25.066]  It was empowering.
[00:50:25.166 --> 00:50:29.027]  When I was in the Navy, I went through a couple of quick land survival classes.
[00:50:29.167 --> 00:50:31.947]  Thank you for being an inspiration and for all the work that you do.
[00:50:31.987 --> 00:50:34.708]  I really appreciate the depth and detail of the information.
[00:50:34.728 --> 00:50:35.588]  Thank you so much.
[00:50:35.808 --> 00:50:38.569]  Much love and respect to you from all of us here in the boonies.
[00:50:39.409 --> 00:50:42.070]  Knowledge is power, and that power brings peace.
[00:50:42.790 --> 00:50:45.791]  Folks, thanks for letting us help you get back to basics.
[00:50:46.211 --> 00:50:49.611]  Read all of the testimonials at ofthefield.com.
[00:50:49.792 --> 00:50:56.993]  You can order online for you and your loved ones, or call 1-888-51-EAT-FREE to share in the secret.
[00:51:01.014 --> 00:51:04.975]  Let's move quickly to the call's final segment with Reverend Manning.
[00:51:04.995 --> 00:51:06.696]  Let's talk to Isaac in Colorado.
[00:51:06.876 --> 00:51:07.696]  Isaac, you're on the air.
[00:51:07.736 --> 00:51:08.056]  Welcome.
[00:51:08.601 --> 00:51:25.412]  Gentlemen, I wanted to get Reverend Manning's take on the Romans chapter 13 thing with the whole FEMA clergy response team thing they're trying to push on all these... Reverend, I'm sure you're aware that covertly we got the documents four years ago, Butch Pa got them, but two years after they admitted they've secretly hired
[00:51:26.536 --> 00:51:32.383]  Tens of thousands of preachers to covertly teach Romans 13, give up your guns, go to the FEMA camp.
[00:51:32.463 --> 00:51:34.225]  We have preachers on TV admitting this.
[00:51:37.029 --> 00:51:38.571]  Is that your question in total, Isaac?
[00:51:39.284 --> 00:51:42.025]  Yeah, yeah, pretty much how he would respond to something like that.
[00:51:42.506 --> 00:51:52.791]  Well, first of all, I was not one of them, but secondly, any preacher who is paid to promote a particular gospel is no longer a preacher.
[00:51:53.691 --> 00:51:55.572]  He's no longer a servant of the Lord.
[00:51:55.952 --> 00:52:03.776]  But that understanding the government going after, asking preachers to do that, and them acquiescing to it, yes, I'm sure they've done it.
[00:52:04.316 --> 00:52:06.399]  I don't think they've been very effective, though.
[00:52:07.380 --> 00:52:09.402]  I think that's what has happened over the last few years.
[00:52:09.822 --> 00:52:17.330]  More people have applied for and gotten actual permits to purchase guns, and America is armed to the teeth right now.
[00:52:17.671 --> 00:52:19.493]  That was a failed policy, if you ask me.
[00:52:19.853 --> 00:52:23.417]  America instinctively knew day one that Obama was pure evil.
[00:52:25.316 --> 00:52:32.982]  America instinctively knew, the part of America that has a soul, instinctively knew that Obama was pure evil day one.
[00:52:33.402 --> 00:52:34.063]  Exactly.
[00:52:34.323 --> 00:52:34.844]  Exactly.
[00:52:35.604 --> 00:52:35.985]  They did.
[00:52:36.005 --> 00:52:51.657]  I mean, within their NOAA, which I say spiritually, the soul, they sensed that something was wrong, that they knew that this man was not right, and began to defend themselves and protect their homes, and to protect this nation as well.
[00:52:53.254 --> 00:52:57.337]  Yeah, the New World Order is in trouble, but it's still moving forward, and the battle is joined.
[00:52:57.377 --> 00:53:00.780]  The final big battles unfolding right now here in the United States.
[00:53:01.140 --> 00:53:05.523]  The rest of the world's... Well, I would think that the New World Order recognizes that they've got a bit of a problem.
[00:53:05.583 --> 00:53:06.864]  Somewhere or another, something happened.
[00:53:07.204 --> 00:53:13.489]  Copenhagen has caused me to think that they've got a bit of a problem, but they're in no way anywhere near defeated.
[00:53:13.549 --> 00:53:15.731]  I can tell you that now, and anyone who thinks that they are... Yes.
[00:53:16.611 --> 00:53:23.036]  We've had some victories, we've wounded the dragon, but we've shown he's not invincible, but he's certainly not that hurt.
[00:53:23.676 --> 00:53:24.697]  Appreciate the call, Isaac.
[00:53:24.757 --> 00:53:26.418]  Tracy in New Mexico, you're on the air.
[00:53:27.879 --> 00:53:31.982]  Hey Alex, Doctor, nice to get on.
[00:53:32.502 --> 00:53:45.551]  Alex, you said it perfectly, that the American people, the ones that have souls and know right from wrong, knew from the very beginning that this guy was the worst sort of bad news that we could possibly have thrust on us.
[00:53:46.770 --> 00:53:53.076]  And now we find ourselves, I think the last thing you said, it may be slowed down, but it's still moving forward.
[00:53:53.216 --> 00:53:55.057]  I hate that saying.
[00:53:57.339 --> 00:54:02.964]  So at this point, do we continue to do everything that we've already done?
[00:54:02.984 --> 00:54:04.545]  We know it's not going to work?
[00:54:05.326 --> 00:54:10.290]  Or do we organize something that is a little bit out of the box?
[00:54:12.840 --> 00:54:16.506]  At least has more of a chance of working because... Well, I mean, let me be clear.
[00:54:16.586 --> 00:54:17.327]  It is working.
[00:54:17.367 --> 00:54:18.849]  They're failing on every front.
[00:54:19.169 --> 00:54:22.554]  The problem is they've got the power, and so they just keep going.
[00:54:22.914 --> 00:54:27.220]  But more and more of the punches they throw are failing, and...
[00:54:29.520 --> 00:54:30.861]  The answer is sunlight.
[00:54:30.921 --> 00:54:32.281]  The answer is an awakening.
[00:54:32.401 --> 00:54:45.426]  Going to every hill and mountain, every valley, and letting the people know that the enemy had net the gates, it's in the gates, and this is real, and the Republican Tea Party-oid takeover isn't going to save us.
[00:54:46.306 --> 00:54:47.787]  But again, it's a manifestation.
[00:54:48.107 --> 00:54:53.489]  Just like the Brown being elected in Massachusetts isn't a total victory, but it's a message
[00:54:54.329 --> 00:54:56.111]  Just like the purchasing of guns is a message.
[00:54:56.611 --> 00:54:56.891]  I don't know.
[00:54:56.951 --> 00:54:59.634]  I feel in my gut we're really, really having victories.
[00:55:00.054 --> 00:55:00.615]  Reverend Manning?
[00:55:01.425 --> 00:55:08.231]  I'm convinced we're having victories, and not only that, I'm convinced that we're winning battles, and I'm convinced that we're going to ultimately win the war.
[00:55:08.351 --> 00:55:09.432]  I'm confident of that.
[00:55:10.373 --> 00:55:13.115]  I will give my word to anyone who thinks it's worth anything.
[00:55:13.515 --> 00:55:14.936]  We will win this war.
[00:55:15.377 --> 00:55:24.925]  And to put it philosophically, I mean, I could go over the strategies that you outline so well every day, Alex, but let me just put it in the context of what you said about 20 minutes ago.
[00:55:25.825 --> 00:55:28.887]  You said that lies have to be applied every day.
[00:55:28.987 --> 00:55:36.430]  They have to get up every day and find new strategies or the strength to apply a lie while the truth is constant.
[00:55:36.930 --> 00:55:38.611]  And that's the thing that's on our side.
[00:55:38.671 --> 00:55:40.872]  That is the paradigm of the battles.
[00:55:41.452 --> 00:55:43.173]  We're out of time for calls.
[00:55:43.313 --> 00:55:47.376]  I'll continue with your calls coming up after I cover some more news.
[00:55:47.416 --> 00:55:48.877]  But I do appreciate your spirit.
[00:55:48.897 --> 00:55:50.698]  I appreciate... I can feel your courage.
[00:55:50.718 --> 00:55:51.299]  My discernment.
[00:56:10.393 --> 00:56:19.278]  Tells me, you know, that we need to protect you, Pastor Manning, and that you understand that you have to step up with the courage of what you're doing.
[00:56:20.499 --> 00:56:25.542]  And we will be praying for you, my friend, and I appreciate you coming on with us.
[00:56:25.922 --> 00:56:27.683]  Otla.org is the website.
[00:56:28.044 --> 00:56:28.604]  God bless you.
[00:56:28.964 --> 00:56:30.625]  God bless you, and I will rest in that, Alex.
[00:56:30.645 --> 00:56:32.246]  Thank you so very much for those very kind words.
[00:56:32.426 --> 00:56:32.687]  Thank you.
[00:56:32.707 --> 00:56:33.767]  We'll talk off-air soon.
[00:56:33.807 --> 00:56:34.728]  I'll call you in the next few days.
[00:56:35.984 --> 00:56:36.565]  Thank you, Pastor.
[00:56:37.165 --> 00:56:39.248]  We'll be back with the big news blitz of information.
[00:56:40.209 --> 00:56:42.091]  These are the times that try men's souls.
[00:56:42.952 --> 00:56:45.334]  Make no mistake, we're living in history right now.
[00:56:48.317 --> 00:56:49.258]  We're on the march.
[00:56:49.719 --> 00:56:51.321]  The empire's on the run.
[00:56:52.242 --> 00:56:54.945]  Alex Jones and the GCN Radio Network.
[00:56:58.206 --> 00:57:00.807]  Hello, this is Alex Jones with some important questions.
[00:57:01.208 --> 00:57:06.170]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:57:06.550 --> 00:57:08.271]  My answer would be all I can get.
[00:57:08.591 --> 00:57:13.414]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:57:13.594 --> 00:57:14.554]  How much do you want?
[00:57:14.774 --> 00:57:15.515]  When do you want it?
[00:57:15.895 --> 00:57:17.496]  Now or after the battle starts?
[00:57:17.796 --> 00:57:18.596]  When will you need it?
[00:57:18.856 --> 00:57:20.917]  Can you buy it without proper identification?
[00:57:21.058 --> 00:57:22.158]  Will there be any food?
[00:57:22.398 --> 00:57:23.699]  Will it make your children sick?
[00:57:24.019 --> 00:57:28.983]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[00:57:29.184 --> 00:57:32.367]  You wipe out all these problems if you have a good food supply.
[00:57:32.767 --> 00:57:36.270]  Food is your ammunition to fight for your freedom and your life.
[00:57:36.590 --> 00:57:37.571]  How much will you need?
[00:57:37.831 --> 00:57:38.432]  We don't know.
[00:57:38.712 --> 00:57:39.633]  How much do you want?
[00:57:39.833 --> 00:57:40.574]  All you can get.
[00:57:40.754 --> 00:57:41.555]  I'm Alex Jones.
[00:57:41.835 --> 00:57:44.598]  I want all of you good guys to live to fight another day.
[00:57:44.899 --> 00:57:46.641]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[00:57:46.661 --> 00:57:47.582]  Again that number 1-800-409-5633.
[00:57:57.455 --> 00:57:58.455]  What's your home worth?
[00:57:58.615 --> 00:58:00.556]  How can you compare local real estate agents?
[00:58:00.736 --> 00:58:03.477]  And how do you get MLS listings for the entire country?
[00:58:03.777 --> 00:58:11.299]  If you're thinking of buying a home to take advantage of a tax credit or selling your house, you first need to see an incredible website called HomeGain.com.
[00:58:11.479 --> 00:58:14.920]  HomeGain.com will help you find a realtor to buy or sell a home.
[00:58:15.140 --> 00:58:17.262]  It's so easy, and best of all, it's free!
[00:58:17.602 --> 00:58:25.628]  At HomeGain.com, you can compare realtors anonymously, receive customized proposals, see consumer reviews, then select the best realtor for you.
[00:58:25.869 --> 00:58:31.453]  Go to HomeGain.com and get an instant home value estimate, view comparable homes, and check out street views.
[00:58:31.733 --> 00:58:41.381]  HomeGain.com has an A-plus rating with the Better Business Bureau and contains a wealth of information, like their home improvement tool that helps you determine which home improvements to make to increase your home's value.
[00:58:41.621 --> 00:58:44.683]  See the top 12 home improvements right now at HomeGain.com.
[00:58:44.783 --> 00:58:47.625]  That's H-O-M-E-G-A-I-N dot com.
[00:58:47.765 --> 00:58:55.830]  Look for Max, the Orange Home Gain Gorilla, to help you find a realtor or with any other real estate needs you might have at HomeGain.com, your real estate connection.
[00:58:56.909 --> 00:59:00.891]  This is Alex Jones and I want to tell you about the Ecola Blue Atmospheric Water Generator.
[00:59:01.011 --> 00:59:03.753]  It produces pure drinking water right from the humidity in the air.
[00:59:03.873 --> 00:59:05.134]  No, this isn't science fiction.
[00:59:05.154 --> 00:59:05.834]  It's very real.
[00:59:05.974 --> 00:59:08.095]  I know because I use one every day in my own home.
[00:59:08.216 --> 00:59:09.736]  And it's available right now to you.
[00:59:09.877 --> 00:59:14.199]  Because you know exactly where your water comes from with Ecola Blue, you'll know what's in your cup.
[00:59:14.339 --> 00:59:16.700]  Clean, great tasting water without all the pollutants.
[00:59:16.921 --> 00:59:22.664]  Get your family off the grid today by ordering your own Ecola Blue Atmospheric Water Generator for your home or business.
[00:59:22.924 --> 00:59:27.645]  Their best-seller, the Ecolablue 28, produces up to 7 gallons of water every day.
[00:59:27.705 --> 00:59:30.446]  The Ecolablue 28 is easy to use and economical.
[00:59:30.526 --> 00:59:33.167]  Generate your own pure water from the humidity in the air.
[00:59:33.247 --> 00:59:40.409]  This system is free of chemicals and uses a multi-stage filtration system, including reverse osmosis, carbon filters, and ultraviolet lights.
[00:59:40.709 --> 00:59:44.392]  Order now and claim your water independence today by calling a Coloblue at 1-800-691-6043.
[00:59:44.432 --> 00:59:44.672]  That's 1-800-691-6043.
[00:59:44.692 --> 00:59:46.373]  Or visit a Coloblue on the web at www.ecoloble.com today.
[01:00:21.927 --> 01:00:27.149]  You know, I watched my film, Fall of the Republic.
[01:00:27.269 --> 01:00:39.415]  I watched my film, The Obama Deception, and I'm just so proud to have made these documentary films and so honored to have this amazing team here in the office that worked with me and made this possible.
[01:00:42.116 --> 01:00:46.818]  If every American would sit down and watch Fall of the Republic, we would defeat the New World Order.
[01:00:47.118 --> 01:00:48.519]  There's no doubt that would wake up
[01:00:49.784 --> 01:00:56.669]  Sixty, seventy percent of the people that saw it, conservatively, and they would understand the entire game plan, and it'd be over for the New World Order.
[01:00:59.171 --> 01:01:12.861]  If the public had any idea of the peril they're in, and how they've been robbed, and what's going on, and where this is leading and going, I know you as an audience know this, and I go to you time and time again, and I say, carry the truth to the people.
[01:01:12.981 --> 01:01:13.502]  Educate them.
[01:01:13.522 --> 01:01:19.066]  That's why you can download the film at PrisonPlanet.tv in high quality, make discs,
[01:01:20.362 --> 01:01:24.148]  Most DVD players sold the last four or five years play DivX.
[01:01:24.288 --> 01:01:27.733]  We have a DivX download that's really good quality, almost as good as regular DVD.
[01:01:28.053 --> 01:01:35.084]  It burns to regular cheap 20-cent CDs that'll play on most DVD players and all computers, all modern computers.
[01:01:36.462 --> 01:01:41.165]  We have all the other different downloads at PrisonPlanet.tv, the shows in higher quality.
[01:01:41.645 --> 01:01:57.774]  We advertise and link to the films free on Infowars.com to the great folks that have posted on their channels at YouTube, like ChangeTheChannel, in pretty good quality.
[01:01:59.055 --> 01:02:00.316]  Is that Pearls Before Swine?
[01:02:00.336 --> 01:02:00.976]  I don't think it is.
