[00:00:02.152 --> 00:00:04.660]  I'm good.
[00:27:14.116 --> 00:27:20.018]  And they weren't using complex words and verbal prose, written prose, to show off.
[00:27:20.558 --> 00:27:21.958]  This was the language.
[00:27:22.239 --> 00:27:23.539]  They were into inventors.
[00:27:23.579 --> 00:27:28.721]  The rock stars of that age that made this country so great were inventors.
[00:27:29.221 --> 00:27:30.301]  They were astronomers.
[00:27:30.641 --> 00:27:31.662]  They were scientists.
[00:27:31.702 --> 00:27:33.242]  They were trailblazers.
[00:27:33.282 --> 00:27:34.403]  They were explorers.
[00:27:35.263 --> 00:27:39.044]  And they were people like firemen, also, who would go into a burning building to save children.
[00:27:39.464 --> 00:27:40.745]  That's who they built up.
[00:27:41.345 --> 00:27:45.246]  Sports, just 60, 70 years ago, was something for children.
[00:27:46.046 --> 00:27:52.568]  And you would go watch your children play, and it was for their own health and to teach them aggressiveness and team spirit.
[00:27:53.188 --> 00:28:02.471]  Sports were always promoted through warlike societies, even going back to Greece, of course, with their Olympics, to develop more stamina for war.
[00:28:03.484 --> 00:28:10.907]  And so we had the Boy Scouts to teach boys how to camp, how to keep their packs together, how to be able to be self-sufficient in the wild for war.
[00:28:11.007 --> 00:28:12.708]  That was the admitted statement.
[00:28:12.728 --> 00:28:16.810]  We had sports so our boys would be strong and ready for war.
[00:28:17.410 --> 00:28:17.730]  Okay?
[00:28:18.030 --> 00:28:19.951]  Now it's turned into something completely different.
[00:28:20.011 --> 00:28:22.532]  It has become the ritualized war.
[00:28:23.192 --> 00:28:23.673]  So instead of
[00:28:24.893 --> 00:28:30.056]  Business being war, as it is with the Japanese, sports itself is war.
[00:28:30.596 --> 00:28:41.782]  But then the men dress up like clowns, they go and get drunk, and they sit there and yell and scream, and live through the team that's playing, instead of being real men themselves.
[00:28:42.022 --> 00:28:47.925]  And then there's the whole issue of, if you know how the world really works, and you're informed about geopolitical developments,
[00:28:49.446 --> 00:28:50.527]  You do better in the stock market.
[00:28:50.547 --> 00:28:51.548]  You do better in investments.
[00:28:51.948 --> 00:28:52.969]  You do better in business.
[00:28:52.989 --> 00:28:53.950]  You do better in life.
[00:28:54.630 --> 00:28:57.873]  The world's a complex place, and if you're trying to be informed, it's hard.
[00:28:58.073 --> 00:28:59.834]  But if you don't care, you're gonna be a slave.
[00:29:01.375 --> 00:29:03.677]  They helped to create a New World Order.
[00:29:03.757 --> 00:29:05.939]  We are part of a New World Order.
[00:29:05.959 --> 00:29:08.861]  A New World Order based upon collective action.
[00:29:09.282 --> 00:29:14.025]  Invisible Empire is a damning indictment of the globalists through their own words and documents.
[00:29:14.386 --> 00:29:18.589]  The New World Order really is a tool for addressing a new world of possibilities.
[00:29:18.889 --> 00:29:21.212]  It means all the world under their control.
[00:29:21.232 --> 00:29:23.756]  The United Nations would take over America.
[00:29:24.116 --> 00:29:26.699]  The Trilateral Commission would control the world.
[00:29:27.040 --> 00:29:34.650]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[00:29:34.969 --> 00:29:40.231]  I believe first of all that we now need nothing short of a world constitution for the global financial system.
[00:29:40.351 --> 00:29:43.152]  Global governance with the establishment of the G20.
[00:29:43.212 --> 00:29:46.634]  So it's going to be an inner ruling elite and then everyone else.
[00:29:46.894 --> 00:29:47.814]  And I got news for you.
[00:29:47.954 --> 00:29:49.275]  You're everyone else.
[00:29:49.315 --> 00:29:50.315]  Invisible Empire.
[00:29:50.795 --> 00:29:58.599]  Secure your copy today at InfoWars.com or PrisonPlanet.com or watch it online in the highest quality at PrisonPlanet.tv.
[00:30:01.305 --> 00:30:02.906]  Hello friends, this is Alex Jones.
[00:30:02.946 --> 00:30:05.769]  You've heard me talk about Calden 5 Star Soaps for years.
[00:30:06.329 --> 00:30:11.253]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[00:30:11.553 --> 00:30:14.716]  You can buy factory direct, shipped via UPS right to your door.
[00:30:14.996 --> 00:30:17.318]  Check them out on the web at 5starsoap.com.
[00:30:17.938 --> 00:30:18.819]  Or call 800-340-7091.
[00:30:21.481 --> 00:30:22.422]  Take my word for it.
[00:30:22.622 --> 00:30:24.944]  Once you've used pure soap, you won't buy anything else.
[00:30:25.285 --> 00:30:31.490]  Since 1947, Calvin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[00:30:31.790 --> 00:30:33.192]  Buy American and stay clean.
[00:30:33.292 --> 00:30:36.475]  As well as support InfoWars, visit 5starsoap.com today.
[00:30:36.595 --> 00:30:36.975]  Or call 1-800-340-7091.
[00:30:36.995 --> 00:30:38.336]  Well, Marty, what do you have to say?
[00:30:41.607 --> 00:30:48.853]  As founder and owner for over 63 years, satisfaction is guaranteed on W Dirtback.
[00:30:49.533 --> 00:30:53.657]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[00:30:53.677 --> 00:30:54.477]  Thank you!
[00:31:01.021 --> 00:31:05.885]  The question is, where should the American people draw their line in the sand?
[00:31:05.985 --> 00:31:06.766]  What have we got?
[00:31:06.986 --> 00:31:09.108]  A republic or a monarchy?
[00:31:09.428 --> 00:31:10.169]  A republic.
[00:31:10.429 --> 00:31:13.031]  It's based on a constitution which protects minority rights.
[00:31:13.091 --> 00:31:14.993]  Not democracy, not mob rule.
[00:31:15.353 --> 00:31:17.255]  Two wolves and a sheep voting on what's for dinner.
[00:31:17.375 --> 00:31:18.656]  So they think they own our land?
[00:31:19.056 --> 00:31:20.177]  They think they own our water?
[00:31:20.378 --> 00:31:20.778]  Children?
[00:31:20.998 --> 00:31:21.779]  Our education?
[00:31:22.099 --> 00:31:22.720]  Our money?
[00:31:22.940 --> 00:31:26.603]  We have to define who we are and what we will tolerate.
[00:31:26.943 --> 00:31:31.568]  Somebody's gonna ask you what you did during the Patriot Uprising.
[00:31:31.908 --> 00:31:32.749]  We have the facts.
[00:31:32.949 --> 00:31:34.050]  We have the Constitution.
[00:31:34.110 --> 00:31:34.991]  We have the Bill of Rights.
[00:31:35.011 --> 00:31:35.832]  We have common law.
[00:31:35.892 --> 00:31:38.154]  Knowledge is power, ladies and gentlemen.
[00:31:38.414 --> 00:31:42.198]  And I'm so excited to be able to offer you Don't Tread on Me, Rise of the Republic.
[00:31:42.298 --> 00:31:47.080]  Tyranny is upon us, but liberty and the sleeping giant that is the American people is rising.
[00:31:47.260 --> 00:31:48.620]  A new tool in the Info War.
[00:31:48.760 --> 00:31:49.581]  Don't tread on me.
[00:31:49.841 --> 00:31:56.703]  Order it at InfoWars.com or PrisonPlanet.com or call toll free 888-253-3139 and support independent patriotic liberty films.
[00:32:00.825 --> 00:32:05.046]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:32:05.366 --> 00:32:05.966]  Number 1.
[00:32:06.286 --> 00:32:09.427]  New climate legislation could easily double or triple your electric bill.
[00:32:09.707 --> 00:32:10.267]  Number 2.
[00:32:10.567 --> 00:32:15.109]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:32:15.449 --> 00:32:15.909]  It's true.
[00:32:16.209 --> 00:32:20.750]  Total government control of electricity in the name of smart grid technology is coming.
[00:32:21.070 --> 00:32:21.610]  Number 3.
[00:32:21.890 --> 00:32:25.191]  In some areas of the country, the power grid is dangerously overloaded.
[00:32:25.491 --> 00:32:29.172]  And now, new socialist legislation is only compounding the problem.
[00:32:29.392 --> 00:32:29.933]  Number 4.
[00:32:30.193 --> 00:32:32.555]  Dangerous weather is always a threat to local grids.
[00:32:32.955 --> 00:32:36.338]  Every year, thousands of families lose their power from weather-related outages.
[00:32:36.638 --> 00:32:36.839]  Number 5.
[00:32:37.419 --> 00:32:41.342]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:32:41.563 --> 00:32:46.327]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:32:46.607 --> 00:32:50.651]  You can get more information at www.mysolarbackup.com.
[00:32:50.791 --> 00:32:52.373]  That's mysolarbackup.com.
[00:32:52.573 --> 00:32:54.655]  Remember, the government doesn't own the sun.
[00:32:54.815 --> 00:32:57.418]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:32:57.438 --> 00:33:03.364]  Coast to coast.
[00:33:03.745 --> 00:33:05.166]  Direct from Austin.
[00:33:05.787 --> 00:33:09.010]  You're listening to the Alex Jones Broadcasting Network.
[00:33:18.803 --> 00:33:23.506]  Your calls are coming up in the next segment on this live Sunday broadcast.
[00:33:26.808 --> 00:33:47.860]  I'm interspersed in very important news throughout the rest of the transmission, but I wanted to finish up with why I'm harping on distractions and issues of little or no significance, like these gladiatorial bread and circus diversions that the establishment corporate media shovels down our psyches.
[00:33:50.501 --> 00:33:53.162]  I'm in a fight against false reality.
[00:33:53.323 --> 00:34:08.451]  I'm in a fight against the fantasy world that has been basically conjured and invoked and projected into our society with increasing intensity in the last hundred years.
[00:34:10.185 --> 00:34:11.125]  You can see the graph.
[00:34:11.165 --> 00:34:24.308]  The more TV we watch, the more sports we watch as a society, the dumber we get, the lower the test scores, the more bankruptcy, the more we see families breaking up, people becoming poor, people having no future.
[00:34:26.528 --> 00:34:37.490]  The establishment, the ruling class, openly say that they want you diverted and obsessed with things that don't matter so they can go on and control the destiny of humanity.
[00:34:39.002 --> 00:34:49.165]  You're only alive once, and your children are only alive once, and your family name, who you are as an individual and as a family, is under assault.
[00:34:49.785 --> 00:34:52.966]  The family is being dismantled in this nation and worldwide.
[00:34:53.566 --> 00:34:57.847]  Our industry is being dismantled by design via the United Nations.
[00:34:57.867 --> 00:35:02.148]  That's their stated policy that I cover in my film, Endgame, Blueprint for Global Enslavement.
[00:35:04.349 --> 00:35:05.709]  This is so diabolical.
[00:35:06.903 --> 00:35:07.824]  This is so horrible.
[00:35:07.884 --> 00:35:19.074]  I remember over a decade ago talking about the chemicals they add to plastic that aren't even needed that reduce fertility and increase the risk of cancer.
[00:35:19.375 --> 00:35:21.016]  Now it's finally in the AP.
[00:35:21.316 --> 00:35:22.718]  It's finally in Fox News.
[00:35:23.138 --> 00:35:24.279]  It's finally on the news.
[00:35:24.820 --> 00:35:26.721]  But people still continue to drink it.
[00:35:27.122 --> 00:35:32.567]  You can't find gum at the store that doesn't have aspartame in it.
[00:35:34.199 --> 00:35:36.654]  I mean, 15 years ago, they admitted on 60 Minutes.
[00:35:38.387 --> 00:35:49.876]  In fact, I have a 10-minute clip of that, we'll play later if we have time, but it's up on InfoWars.com regardless, if you want to go watch it, where they admit it causes cancer and brain damage in the studies, in its approval.
[00:35:50.216 --> 00:35:58.723]  It was, the FDA refused its approval three separate times until they got an FDA head in, who then went to work for the company that developed it after he approved it.
[00:35:59.403 --> 00:36:00.804]  And they know it's toxic.
[00:36:01.145 --> 00:36:02.526]  They know it's addictive.
[00:36:02.786 --> 00:36:04.467]  They know it causes brain damage.
[00:36:04.968 --> 00:36:06.389]  They know it causes cancer.
[00:36:07.363 --> 00:36:08.849]  I mean, that is a big issue.
[00:36:08.869 --> 00:36:12.683]  People say, why are you so upset if I get off work and go home and watch a football game?
[00:36:14.244 --> 00:36:17.665]  Well, if our country wasn't going to hell in a handbasket, it wouldn't be such a problem.
[00:36:18.165 --> 00:36:19.525]  But we're in trouble.
[00:36:19.565 --> 00:36:26.546]  I mean, if your house was burning down and you were sitting there watching a football game while rafters were falling in on you, I would be angry with you.
[00:36:26.866 --> 00:36:28.266]  And it's basically the same thing.
[00:36:28.406 --> 00:36:30.747]  Our society is falling apart.
[00:36:31.507 --> 00:36:36.668]  And our ancestors had to fight and struggle to have the little bit of liberty we've got today.
[00:36:37.068 --> 00:36:42.309]  As Thomas Jefferson said, even if you fight and struggle and do everything you can for liberty,
[00:36:43.209 --> 00:36:46.411]  In almost every case in history, societies lose to tyranny.
[00:36:46.811 --> 00:37:00.778]  But if you're not aware, and you're not informed, and you don't know how city and county and state and federal government work, and you don't know that globalism is a foreign corporate takeover of governments, so they can loot the population through the power of government, you are a sitting duck.
[00:37:00.818 --> 00:37:01.298]  You're like a...
[00:37:03.134 --> 00:37:06.977]  Basically like a sheep that's had its legs cut off and has been tied to a stake.
[00:37:07.278 --> 00:37:09.039]  I mean, the wolves are going to come in and eat it.
[00:37:09.399 --> 00:37:10.881]  It doesn't have a prayer.
[00:37:11.381 --> 00:37:12.642]  We don't have a prayer.
[00:37:12.742 --> 00:37:29.717]  And it's just so disgusting to watch full-grown adults and the governor of Ohio and the mayor of Cleveland begging and pleading for LeBron James to stay with them and having 4,000 people show up at a LeBron James appreciation event and he wasn't even going to show up to the last 10 minutes.
[00:37:31.397 --> 00:37:33.238]  Then the team called him and said, you better get down here.
[00:37:34.399 --> 00:37:42.103]  And in national news, on CNN, Fox, ESPN, everywhere, it was, what will LeBron James' decision be?
[00:37:43.504 --> 00:37:46.505]  And of course it was to go to Miami, where there's no income tax.
[00:37:47.666 --> 00:37:48.947]  Of course it was to go to Florida.
[00:37:49.407 --> 00:37:53.629]  Of course he wasn't staying in Ohio with an income tax, or going to Chicago, or going to New York.
[00:37:55.030 --> 00:37:56.171]  He doesn't care about you.
[00:37:56.211 --> 00:37:58.532]  You're a schmuck who goes and buys these $300, $400 tickets,
[00:38:01.431 --> 00:38:05.172]  The United States is collapsing and the media is worshipping LeBron James.
[00:38:05.452 --> 00:38:07.213]  They are setting the agenda.
[00:38:08.773 --> 00:38:13.555]  And I've seen the statistical breakdowns of the OJ Simpson trial and all the rest of it.
[00:38:13.875 --> 00:38:21.077]  After a while it gets low ratings but the media still pushes it because they want you to be fed on a steady diet of
[00:38:22.765 --> 00:38:26.227]  Lacey Peterson and Lindsay Lohan.
[00:38:26.267 --> 00:38:34.032]  They want you to know all about Lindsay Lohan, all about Mel Gibson, and nothing about the Bill of Rights and Constitution.
[00:38:34.192 --> 00:38:44.518]  Nothing about the fact that the health care plan was written by the insurance companies and it raises taxes and actually cuts Medicare and Medicaid and doesn't cover people with pre-existing conditions.
[00:38:46.530 --> 00:38:48.537]  The Republicans lied about what it really did.
[00:38:48.899 --> 00:38:49.942]  They called it socialism.
[00:38:49.963 --> 00:38:50.565]  It wasn't even that.
[00:38:50.585 --> 00:38:51.307]  It was a rip-off.
[00:38:51.669 --> 00:38:52.793]  It was a transfer of wealth.
[00:38:53.919 --> 00:38:55.721]  By the big banks and on the insurance companies.
[00:38:55.901 --> 00:38:58.704]  And the Democrats lied about what it was and said it was a free handout.
[00:38:59.044 --> 00:39:06.271]  You think they're going to give a bunch of dumbed-down idiots that go paint themselves up like clowns and only care about the World Cup and basketball?
[00:39:06.531 --> 00:39:07.913]  You think they care about you?
[00:39:08.233 --> 00:39:10.295]  You think you've got any future acting like an idiot?
[00:39:10.515 --> 00:39:16.521]  You think you can just go through life not being involved in society and not being informed and you're not going to get burned?
[00:39:16.561 --> 00:39:17.462]  You're not going to get hurt?
[00:39:20.131 --> 00:39:21.471]  We've got to set our priorities.
[00:39:21.491 --> 00:39:28.394]  We've got to decide whether we want to try to fix our society, and then it's such a horrible situation, we may not be able to.
[00:39:29.334 --> 00:39:30.735]  Or whether you want to be a total slave.
[00:39:31.155 --> 00:39:31.875]  It's that simple.
[00:39:33.016 --> 00:39:40.118]  Now the good news is, it was only 5% that won the war against the British in this country, and it's going to be 5% that are going to win the Info War again.
[00:39:40.378 --> 00:39:42.219]  We've got a lot more than 5% today.
[00:39:42.799 --> 00:39:47.361]  When InfoWars.com and PrisonPlanet.com, and I'm just one guy out here fighting the New World Order, there's many others,
[00:39:48.232 --> 00:39:50.649]  ...are receiving millions and millions of visitors a week.
[00:39:51.516 --> 00:40:01.103]  When videos that I post to YouTube are receiving millions of views apiece, I can spend five minutes, make a video, within a couple weeks, a million people have watched it.
[00:40:01.584 --> 00:40:03.926]  Sometimes within a day, a million have watched it.
[00:40:04.406 --> 00:40:06.107]  That is threatening the system.
[00:40:06.508 --> 00:40:07.989]  And people are starting to wake up.
[00:40:08.009 --> 00:40:09.690]  They're starting to value real issues.
[00:40:09.950 --> 00:40:12.172]  They're starting to rediscover what made America great.
[00:40:12.432 --> 00:40:13.753]  And that is threatening the system.
[00:40:14.354 --> 00:40:18.457]  And so that's why they're coming out with this police state and trying to shut down the internet.
[00:40:21.360 --> 00:40:24.780]  But really what this sports culture does and what this Hollywood culture does...
[00:40:25.942 --> 00:40:30.104]  Is it teaches people to be spectators and to live vicariously through others.
[00:40:30.805 --> 00:40:36.988]  And that's why in every study we look at, people talk about being so empty and so hollow and so uncreative.
[00:40:37.569 --> 00:40:39.390]  Ladies and gentlemen, I am so fulfilled.
[00:40:39.850 --> 00:40:46.614]  My mind is so full of ideas and renaissance and understanding that I can hardly sleep at night.
[00:40:46.674 --> 00:40:50.736]  My life is so wonderful and so good because I'm fighting against tyranny.
[00:40:51.957 --> 00:40:54.240]  I'm following in my ancestors' footsteps.
[00:40:54.681 --> 00:41:02.471]  Our species, just 6-7,000 years ago, was in little ragtag hunter-gatherer bands on the verge of starvation.
[00:41:02.751 --> 00:41:04.414]  Just surviving was victory.
[00:41:07.077 --> 00:41:08.219]  And once you understand
[00:41:11.445 --> 00:41:13.467]  That life is about being informed.
[00:41:13.767 --> 00:41:15.308]  And life is about being involved.
[00:41:15.609 --> 00:41:16.770]  You will become fulfilled.
[00:41:17.490 --> 00:41:25.517]  And while we're busy focused on the World Cup and Spain winning by one point today, and while we're obsessed with LeBron James, look at these headlines.
[00:41:26.497 --> 00:41:28.898]  Senate bill would make airport body scanners mandatory.
[00:41:29.239 --> 00:41:32.100]  TSA has already said that they're going to make them mandatory.
[00:41:32.160 --> 00:41:33.401]  It does record your genitals.
[00:41:33.761 --> 00:41:34.942]  They are scanning children.
[00:41:35.202 --> 00:41:36.102]  They are saving it.
[00:41:36.122 --> 00:41:41.886]  There have been airport workers where they make fun of the size of their organs, and then they get in fistfights and people go to jail.
[00:41:42.166 --> 00:41:44.507]  They are recording it, but they lied to you and said they weren't.
[00:41:44.767 --> 00:41:46.348]  Then they said there was no cancer risk.
[00:41:46.628 --> 00:41:51.151]  Turns out it's 20 to 50 times, depending on which machine, worse than what they originally said.
[00:41:53.783 --> 00:41:54.403]  Here's another one.
[00:41:54.603 --> 00:42:02.085]  All over the country they're putting it in grocery stores, thumbprints, face scans and breathalyzers and swiping your ID to get wine or beer.
[00:42:02.885 --> 00:42:05.346]  They don't just trust the clerk to swipe your license now.
[00:42:05.626 --> 00:42:07.427]  You're being trained for a cashless society.
[00:42:07.907 --> 00:42:08.307]  Look at this.
[00:42:08.407 --> 00:42:11.488]  Biometric entry planned for California State Park.
[00:42:11.828 --> 00:42:12.848]  You must thumbprint
[00:42:15.194 --> 00:42:17.355]  And swipe a license to be able to get into the park.
[00:42:17.795 --> 00:42:19.176]  This is the beast society.
[00:42:19.396 --> 00:42:25.218]  This is so they can track and control everything you do and tax everything you do and not let you escape the taxation grid.
[00:42:25.718 --> 00:42:28.819]  And it's designed to bankrupt you and make you dependent on government.
[00:42:29.019 --> 00:42:30.060]  This is domestication.
[00:42:30.300 --> 00:42:30.980]  This is happening.
[00:42:35.029 --> 00:42:40.834]  Continuing, academics, politicians, pending global treaty threatens free internet, fundamental rights.
[00:42:40.934 --> 00:42:42.515]  The world government has been formed.
[00:42:42.795 --> 00:42:52.763]  They're openly coming after your internet freedom because they know people are waking up and there's been a pendulum swing against all this dumbed down brainwashing and against the mainstream media.
[00:42:52.963 --> 00:42:56.826]  So government, big corporations and mainstream media want to shut down freedom on the web.
[00:42:57.086 --> 00:43:00.269]  We'll cover this after we take phone calls, get into the economy and a lot more.
[00:43:01.328 --> 00:43:02.029]  Listen up, folks.
[00:43:02.069 --> 00:43:02.829]  This is important.
[00:43:03.010 --> 00:43:03.810]  Alex Jones here.
[00:43:04.111 --> 00:43:12.258]  Now you can get free shipping on the storable, easy-to-fix, delicious food from efoodsdirect.com from July 4th through July 14th.
[00:43:12.478 --> 00:43:18.044]  We have looming evacuations in the Southeast, unemployment insurance running out, and predictions of huge inflation.
[00:43:18.304 --> 00:43:20.286]  So we all need to get as much food as we can.
[00:43:20.606 --> 00:43:23.610]  Every one of you needs to buy as much storable food as possible.
[00:43:23.770 --> 00:43:28.716]  This is the perfect time to do just that with eFoodsDirect and take advantage of their free shipping special.
[00:43:28.956 --> 00:43:38.628]  When you order from eFoodsDirect.com from July 4th through July 14th, every dollar you spend will buy the food and eFoodsDirect will pay for the shipping in the continental United States.
[00:43:39.108 --> 00:43:49.017]  This is Alex Jones wishing you and your family true independence this 4th of July with great food and free shipping through July 14th from efoodsdirect.com.
[00:43:49.177 --> 00:43:52.340]  You can order on the website efoodsdirect.com or simply call 800-409-5633.
[00:43:52.380 --> 00:43:54.502]  That's 800-409-5633 or on the web at efoodsdirect.com forward slash ship free.
[00:44:02.165 --> 00:44:07.887]  The Fall of America and the Western World is an all-new 10-hour documentary and survival guide rolled into one.
[00:44:08.607 --> 00:44:13.048]  In this film, you will see the reasons why our government is failing and what you can do to prepare.
[00:44:13.848 --> 00:44:27.392]  Featuring Dr. Paul Craig Roberts, Joseph Farah, David Icke, Naomi Wolf, G. Edward Griffin, Doug McIntyre, Mark Crispin Miller, Mickey Z, Doug Casey, David McElhaney, and myself, Alex Jones.
[00:44:28.172 --> 00:44:32.614]  Protect yourself and get the tools you need to protect your family from these difficult times.
[00:44:33.215 --> 00:44:42.819]  The Fall of America and the Western World at www.thefallofamerica.net or click on the banners at infowars.com and prisonplanet.com.
[00:44:43.419 --> 00:44:48.562]  Again that website www.thefallofamerica.net or call 800-655-1577.
[00:44:48.582 --> 00:44:50.803]  Prepare yourself and the ones you love today.
[00:44:50.863 --> 00:44:51.383]  fallofamerica.net
[00:45:02.486 --> 00:45:06.107]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:45:06.447 --> 00:45:14.568]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:45:15.308 --> 00:45:19.349]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:45:19.929 --> 00:45:30.751]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:45:31.391 --> 00:45:40.399]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless loyal silver with the Silver Lungs Generator.
[00:45:40.900 --> 00:45:45.964]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:45:46.345 --> 00:45:53.511]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:45:53.831 --> 00:45:56.574]  That's www.SilverLungs.com.
[00:46:00.433 --> 00:46:04.439]  Alex Jones here with urgent information concerning TrendsResearch.com.
[00:46:04.920 --> 00:46:11.830]  The Trends Journal distills the voluminous ongoing research of the Trends Research Institute into a concise, readily accessible form.
[00:46:12.391 --> 00:46:15.856]  By tracking 300 separately defined domestic and international trends,
[00:46:16.437 --> 00:46:20.741]  The Trends Journal establishes the connections that others fail to see or misinterpret.
[00:46:20.961 --> 00:46:28.167]  Gerald Salente's Trends Journal allows you to anticipate change, recognize the implications, and take protective strategies.
[00:46:28.828 --> 00:46:36.034]  Individual readers from every walk of life can put the Trends Journal Trends Forecast and Trends Analysis to practical use.
[00:46:36.594 --> 00:46:39.156]  Extra information to keep you well informed throughout the year.
[00:46:39.397 --> 00:46:46.423]  When any current event of major social, economic, or political significance occurs, Trends Journal notifies its subscribers of their implications.
[00:46:46.923 --> 00:46:50.887]  When you subscribe to the Trends Journal, you'll also receive Trends Alerts.
[00:46:51.187 --> 00:46:53.028]  Visit TrendsResearch.com today.
[00:46:53.349 --> 00:46:55.350]  That's TrendsResearch.com.
[00:46:55.651 --> 00:46:57.152]  Subscribe to the Trends Journal.
[00:46:57.512 --> 00:46:59.254]  This information is too important to wait.
[00:47:02.185 --> 00:47:05.047]  Coast to coast, direct from Austin.
[00:47:05.788 --> 00:47:09.070]  You're listening to the Alex Jones Broadcasting Network.
[00:47:09.090 --> 00:47:19.038]  Okay, we're going to your phone calls, and I'm going to cover this more next hour.
[00:47:19.839 --> 00:47:22.381]  But people say, well, what's an example of being informed?
[00:47:22.861 --> 00:47:24.162]  How does that make you more free?
[00:47:25.208 --> 00:47:38.639]  Well, three separate times in the last five years, the state of Texas tried to enforce illegal, under federal and state law, transfers of major existing highways
[00:47:39.679 --> 00:47:44.723]  to Centra of Spain, a Spanish company that came in and bought off the legislature.
[00:47:45.544 --> 00:48:05.960]  This is going all over the country, but here in Austin and in Texas, they came into the Capitol, bought them off, and three times people filed suit, they've had demonstrations, they've protested, they've pointed out the law, and they haven't been able to put a toll road on Mopac, the second busiest road in Texas, and on I-35, and on 183 North, and on 290.
[00:48:10.051 --> 00:48:14.325]  I would not be able to get to my office every day without paying at least five dollars.
[00:48:15.322 --> 00:48:16.902]  And that's how they're going to, quote, start.
[00:48:17.263 --> 00:48:18.963]  And we've got plenty of money from the gas tax.
[00:48:19.043 --> 00:48:19.843]  I've looked at the numbers.
[00:48:20.363 --> 00:48:22.284]  They're just looting us.
[00:48:23.224 --> 00:48:28.966]  Because if the public isn't informed and isn't involved, why shouldn't foreign corporations come in and take over existing roads?
[00:48:29.246 --> 00:48:31.907]  It's illegal to put a toll road on an existing road.
[00:48:32.507 --> 00:48:44.470]  But Kirk Watson, the former Austin mayor, who is a state senator, the guy that took tens of thousands of acres under the SOS plan from private property owners claiming it would be a nature preserve, turned around and built things on it,
[00:48:45.612 --> 00:48:47.473]  And he's now trying to spearhead this again.
[00:48:47.493 --> 00:48:51.176]  And if people are informed and involved, we'll beat them the fourth time.
[00:48:51.416 --> 00:48:53.098]  And yes, they'll come back again the fifth time.
[00:48:53.578 --> 00:48:55.099]  But these people should be investigated.
[00:48:55.339 --> 00:48:57.281]  They shouldn't be able to do this over and over again.
[00:48:58.622 --> 00:48:59.422]  Here's another example.
[00:49:00.503 --> 00:49:02.544]  Utah is doing eminent domain.
[00:49:02.665 --> 00:49:04.806]  Over 80% of their state is federal.
[00:49:05.527 --> 00:49:08.489]  And under federal law, the feds
[00:49:09.744 --> 00:49:16.469]  Aren't supposed to be able to have basically any property in this country, except for the District of Columbia and federal courthouses.
[00:49:16.809 --> 00:49:31.359]  But the feds grabbed the property in the last 70 years across the West, and the states were supposed to be able to then go and take it from them whenever they wanted it, and citizens were supposed to be able to, quote, go squat on it and stake a claim and get property.
[00:49:32.019 --> 00:49:35.142]  Another great engine of freedom and wealth is land.
[00:49:36.002 --> 00:49:40.487]  And people forgot about their liberties, they forgot about their freedoms, they forgot about the law.
[00:49:41.368 --> 00:49:49.217]  But now they've rediscovered it and Utah is taking large portions of the land back and it's going to the citizens.
[00:49:49.237 --> 00:49:50.158]  80 plus percent.
[00:49:50.719 --> 00:49:52.581]  Over 90 percent of Nevada is federal.
[00:49:54.138 --> 00:49:57.202]  Like there's the headline, Utah plans to take U.S.
[00:49:57.363 --> 00:49:59.486]  land through eminent domain.
[00:49:59.806 --> 00:50:00.267]  Beautiful.
[00:50:00.567 --> 00:50:03.371]  Another example of people waking up and getting involved.
[00:50:03.792 --> 00:50:04.753]  Here's another example.
[00:50:05.475 --> 00:50:06.276]  House spokesman.
[00:50:08.439 --> 00:50:09.580]  And I've got another headline here.
[00:50:10.280 --> 00:50:13.522]  Obama spokesman says Democrats could lose House.
[00:50:14.163 --> 00:50:16.064]  Oh, they're going to lose it for sure, and probably the Senate.
[00:50:16.744 --> 00:50:29.212]  Now, if we are informed and go, wait a minute, every time the Republicans get back in, they sell us out again, we've got to make sure that true patriots get elected who are anti-globalist, pro-America, then this takeover of the House can be real.
[00:50:29.573 --> 00:50:37.298]  And because the public is becoming informed, every incumbent, every pro-establishment Republican or Democrat is losing in these primaries and in special elections.
