# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:13.279 --> 00:00:17.519]  The Alex Jones Network is tomorrow's news today.
[00:23:55.440 --> 00:24:11.360]  But again, from the left and some of the super ultra, kind of like Israel mouthpiece right wing, they want American people to shut up and to basically take whatever talking points Netanyahu puts out and say that that's MAGA.
[00:24:11.440 --> 00:24:12.639]  That is not MAGA.
[00:24:14.480 --> 00:24:15.599]  And that's important to add.
[00:24:15.759 --> 00:24:25.920]  So I want to play her and also want to play a clip here from one of Trump's big billionaire supporters who's been pretty smart in the past, also said some dumb things in the past.
[00:24:26.240 --> 00:24:29.119]  But he had a lot of concerns and said, just take a breath, go slow.
[00:24:29.279 --> 00:24:30.799]  I'm not saying don't attack Iran.
[00:24:31.119 --> 00:24:43.039]  There are a lot of bad angles here because if they block the straight of hormones or they over respond, we're going to go to full war and that will create inflation and that will derail the economic plan.
[00:24:43.360 --> 00:24:44.559]  But so far it hasn't.
[00:24:44.720 --> 00:24:46.240]  So that's good.
[00:24:47.200 --> 00:24:48.880]  So we'll play that clip as well.
[00:24:48.960 --> 00:24:49.920]  We'll play these back to back here.
[00:24:50.079 --> 00:24:50.720]  They are.
[00:24:51.599 --> 00:24:55.599]  I will add Natasha Bertrand of CNN, who has done this in the past.
[00:24:55.759 --> 00:25:07.119]  In 2020, it was Natasha Bertrand who had 51 intelligence analysts falsely lie to her, but she still put it on paper for some reason, that the Hunter Biden laptop story was Russian disinformation.
[00:25:07.440 --> 00:25:08.960]  We all know that's not true, right?
[00:25:09.039 --> 00:25:10.000]  We can all agree on that now.
[00:25:10.160 --> 00:25:12.319]  That was a lie from the intelligence community.
[00:25:12.639 --> 00:25:22.480]  Also in 2020, this same reporter, Natasha Bertrand, wrote that a top Intel agency ruled out the man-made lab leak theory of the coronavirus origins.
[00:25:22.799 --> 00:25:24.559]  Again, the president was right about that.
[00:25:24.880 --> 00:25:29.759]  This reporter wrote a lie from the intelligence community to seek a narrative she wanted to prove.
[00:25:30.079 --> 00:25:30.720]  And guess what?
[00:25:30.880 --> 00:25:32.160]  We now know that's the truth.
[00:25:32.480 --> 00:25:36.720]  Also, in 2024, Bertrand pushed the suckers and losers hoax.
[00:25:36.799 --> 00:25:43.200]  She also pushed the find people hoax, which was taking the president's words purposely out of context.
[00:25:43.519 --> 00:25:51.119]  And then last October, and I believe this is notable, Natasha Bertrand published an article in Politico from the intelligence agency.
[00:25:51.440 --> 00:25:59.840]  She said that John Ratcliffe was speaking without any evidence when he said Iran was attempting to undermine President Trump's presidential campaign.
[00:26:00.240 --> 00:26:02.640]  And then we, of course, found out that was absolutely true.
[00:26:02.880 --> 00:26:10.960]  In fact, the Biden administration declassed an Intel report which said they had high confidence that Iran had done exactly what Ratcliffe alleged.
[00:26:11.119 --> 00:26:14.559]  They did run an influence campaign to hurt President Trump's candidacy.
[00:26:14.799 --> 00:26:18.000]  In fact, we know the Iranians tried to take President Trump's life.
[00:26:18.319 --> 00:26:26.400]  And so this is a reporter who has been unfortunately used by people who dislike Donald Trump in this government to push fake and false narratives.
[00:26:26.640 --> 00:26:28.400]  She should be ashamed of herself.
[00:26:29.359 --> 00:26:32.240]  Well, we should be ashamed of ourselves with anything she says.
[00:26:33.759 --> 00:26:38.720]  Now, here's Chapat Palapatiya on the success so far.
[00:26:40.079 --> 00:26:54.559]  I think that this has been probably the most important week, and I would almost say most important few months in U.S. politics in 30 or 40 years.
[00:26:54.880 --> 00:27:02.000]  And the reason is that it starts to converge a bunch of things together that I think are really worth putting on the table.
[00:27:02.319 --> 00:27:13.839]  So from my perspective, I think what President Trump has done is almost single-handedly bring back the United States as the global superpower.
[00:27:14.000 --> 00:27:15.920]  And I would put that in all caps.
[00:27:16.240 --> 00:27:18.000]  So what does it mean to be a superpower?
[00:27:18.160 --> 00:27:22.000]  I've said this several times, but just to be slightly redundant.
[00:27:22.319 --> 00:27:27.440]  In order to be a superpower, I think you need to have three things, but they work in a hierarchy.
[00:27:27.759 --> 00:27:30.559]  The first is that you need to have technical supremacy.
[00:27:30.880 --> 00:27:40.240]  And then from that technological supremacy, you need to establish and project economic supremacy and military supremacy.
[00:27:40.559 --> 00:27:46.240]  So if you look at the first one, you saw a tactical demonstration of technological supremacy with the B-2 bombers.
[00:27:46.559 --> 00:27:56.559]  But taking a more general step back, if you look at the largest companies in the world, who are the ones that are actually driving the world forward, these are all American companies.
[00:27:56.799 --> 00:28:02.960]  I think these last few months, you've seen America firing on all cylinders technologically.
[00:28:03.599 --> 00:28:08.240]  Economically, at the same time, you now have the stock market back at all-time highs.
[00:28:08.559 --> 00:28:16.000]  You have interest rates incredibly starting to compress, even in the absence of the Federal Reserve willing to act on data.
[00:28:16.319 --> 00:28:18.880]  So you're projecting economic supremacy.
[00:28:19.200 --> 00:28:24.480]  And then these last few weeks, frankly, have been a pretty clear-cut case of military supremacy.
[00:28:24.720 --> 00:28:32.559]  And so I think what's pretty simple now is like the U.S. is essentially telling the world our words carry weight again.
[00:28:32.720 --> 00:28:34.480]  We're going to shape the global order.
[00:28:34.799 --> 00:28:42.640]  Countries will now have to calibrate their actions around what the U.S. is willing to tolerate and what it isn't willing to tolerate.
[00:28:42.960 --> 00:28:47.839]  And in the case of Iran, the president made those lines, I think, really crystal clear.
[00:28:48.079 --> 00:28:51.519]  He warned them 100 times where the line was.
[00:28:51.839 --> 00:28:52.880]  And he was clear.
[00:28:53.119 --> 00:28:54.480]  You cannot build nuclear weapons.
[00:28:54.640 --> 00:29:01.759]  And when the line was crossed, and look, I think the CNNs of the world want to debate that the line wasn't crossed.
[00:29:01.920 --> 00:29:04.880]  All I can tell you is I don't know because I don't have access to the intel.
[00:29:05.039 --> 00:29:13.039]  I believe what he and Tulsi Gabbard and J.D. Vance and Marco Rubio and Pete Hegseth are saying is that they crossed the line.
[00:29:13.360 --> 00:29:18.240]  And then he showed that he will use decisive military force when that happens.
[00:29:18.400 --> 00:29:19.920]  But then here's what's crazy.
[00:29:20.000 --> 00:29:22.319]  And this is where I think you become a real superpower.
[00:29:22.559 --> 00:29:24.319]  It's what happens after.
[00:29:24.880 --> 00:29:30.480]  Once you cross the line, you notice that he doesn't try to humiliate or dominate Iran.
[00:29:30.640 --> 00:29:33.759]  He tells Iran that he wants them to stabilize themselves.
[00:29:34.079 --> 00:29:37.440]  He told them that he wants to see them trading oil with China.
[00:29:37.759 --> 00:29:45.279]  He wants to see them improving the lives of their people because he realizes that a stable Iran is a stable Middle East.
[00:29:45.440 --> 00:29:47.279]  So I think it's really amazing.
[00:29:47.440 --> 00:29:59.200]  And then the fact that he was able to bring Israel and Iran, who's been on the verge of some kind of conflict for decades, and broker a ceasefire, it's a really important moment, I think, in American history.
[00:29:59.360 --> 00:30:11.680]  I really do think that if you look at my little framework, it is the closest thing for us to being able to say that we are truly a clear-cut, singular, hegemon global superpower again.
[00:30:11.839 --> 00:30:13.599]  And that's really exciting.
[00:30:14.240 --> 00:30:16.559]  Now, I want to be very clear.
[00:30:16.880 --> 00:30:20.720]  I don't want the United States to be a military empire, but I want it to have peace restraint.
[00:30:20.880 --> 00:30:22.480]  I did not want these attacks on Iran.
[00:30:22.559 --> 00:30:24.960]  And it remains to be seen how this is going to turn out.
[00:30:25.599 --> 00:30:30.720]  That said, so far, Trump's plan is working.
[00:30:31.279 --> 00:30:37.680]  The question is, will the Lakudniks let Netanyahu or some of their surrogates stage attacks, blaming on the Iranians?
[00:30:38.000 --> 00:30:43.360]  Or are the Iranians crazy enough, even though they've run up the white flag so far to launch terror attacks, which they've said they have cells.
[00:30:43.440 --> 00:30:44.880]  I know they have cells.
[00:30:45.200 --> 00:30:48.559]  And they've made threats publicly in the last month, said they would do that.
[00:30:48.880 --> 00:30:50.639]  So that's a very dangerous situation.
[00:30:50.799 --> 00:30:52.720]  They're also saying we're going to enrich up to weapons grade.
[00:30:52.880 --> 00:30:53.440]  We don't care.
[00:30:53.680 --> 00:30:55.279]  We're doing whatever we want.
[00:30:55.840 --> 00:30:57.759]  So they're very still belligerent.
[00:30:58.480 --> 00:31:08.319]  I mean, so far, this has gotten the last round of war between Israel and Iran to stop, but we're not in the final act here.
[00:31:08.400 --> 00:31:10.000]  We're not in the final round.
[00:31:10.639 --> 00:31:12.960]  So I want Trump to succeed.
[00:31:13.519 --> 00:31:14.639]  I need Trump to succeed.
[00:31:14.799 --> 00:31:15.599]  So do you.
[00:31:16.480 --> 00:31:20.880]  And what the last speaker was getting into is totally true.
[00:31:21.200 --> 00:31:22.639]  He didn't add the part about trade.
[00:31:22.960 --> 00:31:24.079]  And Trump said this.
[00:31:24.400 --> 00:31:40.480]  This wasn't just about taking the power of the World Trade Organization away that China basically controls and ending our long surrender to globalism and deindustrialization and impoverishment and really hurting our basic sovereignty if we can't even take care of ourselves industrially and energy-wise.
[00:31:41.440 --> 00:31:47.119]  He also got a lot of cultural and political concessions from these countries that's still ongoing through this.
[00:31:47.200 --> 00:31:54.400]  So the U.S. still had all the cards, but the CFR and other globalists had said the American century was over, the Chikom century was beginning.
[00:31:55.119 --> 00:31:59.360]  And really, the U.S. is roaring back right now.
[00:32:00.000 --> 00:32:02.079]  And the BRICS is in trouble.
[00:32:02.799 --> 00:32:06.799]  And if Trump continues to be successful with his economic plan, we will succeed.
[00:32:07.119 --> 00:32:09.200]  But the economy is in trouble.
[00:32:09.360 --> 00:32:11.119]  We inherited a disaster.
[00:32:11.440 --> 00:32:12.480]  And it's not just our economy.
[00:32:12.559 --> 00:32:16.160]  It's all the major economies because of debt and because of overprinting of money.
[00:32:16.480 --> 00:32:24.799]  And that's why I'm so concerned about a protracted war with Iran because of all the energy issues and what it will cause there.
[00:32:25.759 --> 00:32:31.680]  And now Trump wants a Gaza ceasefire, but Israel's intensified and says it's turned its attention to Gaza again and to Lebanon.
[00:32:31.759 --> 00:32:32.799]  They've been bombing Lebanon.
[00:32:33.119 --> 00:32:44.400]  So the issue here is that Israel, as you saw on the day of the ceasefire, intensifying bombings, Trump got really pissed off and famously said, Well, I'm mad at Iran, but I'm really mad at Israel.
[00:32:44.720 --> 00:32:47.599]  And both sides have been killing each other forever in war.
[00:32:47.759 --> 00:32:49.440]  They don't know what the fuck they're doing.
[00:32:49.759 --> 00:32:55.519]  And so Trump legitimately, pragmatically wants to end these wars, Ukraine and Iran, Israel.
[00:32:55.839 --> 00:32:59.359]  He legitimately is doing the best job he can.
[00:32:59.519 --> 00:33:00.640]  So I respect that.
[00:33:00.799 --> 00:33:01.839]  I appreciate that.
[00:33:02.160 --> 00:33:02.880]  And I know that.
[00:33:02.960 --> 00:33:03.839]  It's clear.
[00:33:04.480 --> 00:33:07.440]  What he says is what he does and is what he means.
[00:33:08.960 --> 00:33:15.839]  But again, I will not apologize ever for pointing out the dangers and the pitfalls that we're still not out of.
[00:33:16.079 --> 00:33:17.279]  And I want this to succeed.
[00:33:17.920 --> 00:33:19.359]  Let's be clear about that.
[00:33:19.920 --> 00:33:28.000]  So I want to look at this mayoral Democrat primary winner.
[00:33:28.240 --> 00:33:29.359]  Does Morse come out on him?
[00:33:29.440 --> 00:33:30.400]  He's even worse than I thought.
[00:33:30.559 --> 00:33:31.279]  I mean, this guy.
[00:33:31.599 --> 00:33:34.559]  And I've got a whole folder on who's behind him.
[00:33:35.200 --> 00:33:39.519]  And it's Bernie Sanders, and it's really the core of what the Democrat Party is now.
[00:33:39.680 --> 00:33:40.720]  You know, there's two wings of it.
[00:33:40.880 --> 00:33:46.000]  One trying to reform, at least in rhetoric, and act like they're not so anti-American and evil and dangerous.
[00:33:46.160 --> 00:33:48.240]  And the other that's like, no, we want to overthrow the country.
[00:33:48.480 --> 00:33:49.440]  We hate capitalism.
[00:33:49.519 --> 00:33:50.799]  We hate white people.
[00:33:51.119 --> 00:33:53.759]  And he's literally calling for higher taxes on white people.
[00:33:53.920 --> 00:33:58.559]  I mean, it's just, it's all as if white people statistically have all the money.
[00:33:58.720 --> 00:34:00.559]  I mean, yeah, if you add the billionaires in, they do.
[00:34:00.799 --> 00:34:14.159]  But out of the top 10 wealthiest groups per capita by race, seven of them are Asian, the first seven, and then whites are eight, and then it goes down from that, Hispanics, blacks, and others.
[00:34:14.239 --> 00:34:18.159]  So it's just this lie that white people are all daddy warbucks.
[00:34:18.239 --> 00:34:22.480]  I mean, go drive around any city or any town and just look at your average white person.
[00:34:23.760 --> 00:34:24.320]  They're not rich.
[00:34:24.480 --> 00:34:36.239]  I mean, it's just, it's total class envy, cloud and pivot liberation theology that's been promoted by the big foundations, by the CIA, by the universities.
[00:34:36.400 --> 00:34:45.760]  That's the establishment wants us all fighting with each other and wants to cut off the resources and then offer the solution of the great reset, which is cloud and pivot.
[00:34:46.400 --> 00:34:50.800]  Collapse the society so you can bring in your communist utopia, which we always know is a nightmare.
[00:34:50.960 --> 00:34:52.000]  And it's not a failed system.
[00:34:52.159 --> 00:34:54.400]  Communism is a totalitarian lie.
[00:34:54.960 --> 00:34:59.199]  The communists that rule communism, they do very well.
[00:34:59.760 --> 00:35:04.400]  But again, notice the globalists never let all the countries go communist, the BlackRock Consortium.
[00:35:04.639 --> 00:35:09.840]  They have communist client states with enslaved populations, and then the generals and ruling class are filthy rich.
[00:35:10.800 --> 00:35:12.639]  And then everybody else is poor.
[00:35:12.880 --> 00:35:13.920]  And they call it communism.
[00:35:14.000 --> 00:35:14.800]  It's not even communism.
[00:35:14.960 --> 00:35:20.880]  It's a kleptocratic, monopolistic new class system masquerading as something of the people.
[00:35:21.519 --> 00:35:45.760]  And because of the brainwashing in public schools, in private schools, in the colleges that the establishments wanted across the world in the West, the average young person, many of them, really believes socialism and communism is their only hope, which is obviously like a mouse still going and getting killed in a mousetrap because it doesn't understand why the cheese is free.
[00:35:49.119 --> 00:35:52.320]  The mouse doesn't know why the cheese is free.
[00:35:53.519 --> 00:35:54.320]  It is a trap.
[00:35:54.719 --> 00:35:55.840]  It is not a failed system.
[00:35:56.000 --> 00:35:57.599]  A mousetrap is not a failed system.
[00:35:58.880 --> 00:36:00.079]  Its job is not feeding mice.
[00:36:00.480 --> 00:36:02.480]  Its job is killing mice.
[00:36:04.079 --> 00:36:06.079]  And that has to be understood.
[00:36:06.960 --> 00:36:21.760]  How communism was created, what the Senate reports in the 50s and 70s found, what the scholars showed, Anthony Sutton, that the feudal system was collapsing, the empires were in trouble in the 1880s.
[00:36:22.719 --> 00:36:31.119]  And so they commissioned a bunch of new ideologies to try to con the serfs, meaning slaves, white slaves all over Europe, back on the land.
[00:36:32.639 --> 00:36:35.679]  So it's a big, big deal.
[00:36:35.920 --> 00:36:42.719]  So I want to show some of these clips and get into this here today with you.
[00:36:43.039 --> 00:36:53.360]  And then I want to talk about the real problems society faces and cultural and population collapse and more straight ahead.
[00:36:53.679 --> 00:36:57.679]  But first, again, I go on Steve Banner, I go on all these shows.
[00:36:57.760 --> 00:36:59.440]  I say, congratulations being the globalist.
[00:36:59.599 --> 00:37:00.559]  Congratulations.
[00:37:01.119 --> 00:37:02.559]  InfoWars being saved.
[00:37:03.199 --> 00:37:06.159]  And I don't spend a lot of our time covering this so people think, hey, we're still on air.
[00:37:06.239 --> 00:37:07.119]  We've won.
[00:37:07.440 --> 00:37:10.559]  No, it's like a boxing match or actually win a boxing match.
[00:37:10.639 --> 00:37:15.519]  You got to then challenge the challengers for your title.
[00:37:15.840 --> 00:37:17.360]  You got to defend your title.
[00:37:17.679 --> 00:37:20.880]  And so this is an ongoing long-term fight, just like with Trump.
[00:37:21.199 --> 00:37:22.800]  He's still under attack.
[00:37:23.440 --> 00:37:28.559]  Now, he's definitely winning himself, but I am heavily targeted.
[00:37:28.639 --> 00:37:29.840]  My operation is heavily targeted.
[00:37:30.079 --> 00:37:31.840]  I cannot stay on air without you.
[00:37:32.079 --> 00:37:33.840]  So we're doing a fundraiser.
[00:37:34.159 --> 00:37:36.559]  And if you don't support us, they will win.
[00:37:37.039 --> 00:37:38.320]  It is that simple.
[00:37:38.639 --> 00:37:40.079]  Here's the breakdown.
[00:37:41.599 --> 00:37:50.320]  InfoWars has only survived these insanely intense deep state attacks against us because of you.
[00:37:50.639 --> 00:37:53.280]  And InfoWars is not out of the woods yet.
[00:37:55.199 --> 00:38:04.400]  I'm here to report to all of my fellow Americans and InfoWarriors and lovers of liberty and freedom around the world about the current state of InfoWars.
[00:38:04.720 --> 00:38:10.159]  Recently, when I've gone on Steve Bannon's show and many others, they say, congratulations, Alex.
[00:38:10.480 --> 00:38:14.480]  You beat the Democrats in the deep state attempt to shut down InfoWars.
[00:38:14.800 --> 00:38:17.920]  Alex Jones, the deep state tried to shut you down and they failed.
[00:38:18.079 --> 00:38:19.440]  Where do people go to get your show?
[00:38:19.519 --> 00:38:21.280]  Where do they get you on social media, sir?
[00:38:21.840 --> 00:38:24.159]  Well, we're still fighting, but we're still here winning in court now.
[00:38:24.239 --> 00:38:24.960]  They're very panicked.
[00:38:25.360 --> 00:38:36.400]  And I liken this to back in 2018 when Tyson Fury was fighting Deontay Wilder, and he got knocked down.
[00:38:36.559 --> 00:38:42.800]  They almost ended the fight, but he got back up, kept fighting, and then the fight was a draw.
[00:38:43.039 --> 00:38:50.079]  Then he came back in two more fights and won each one against him, continuing to be the world champion.
[00:38:50.400 --> 00:38:54.559]  So this isn't just like a 12 or 15 round heavyweight boxing match.
[00:38:54.880 --> 00:38:57.679]  The Deep State's been trying to take me off the air forever.
[00:38:58.000 --> 00:38:58.800]  It's come out in court.
[00:38:59.039 --> 00:39:01.440]  The CIA and FBI have organized the lawsuits.
[00:39:01.519 --> 00:39:08.480]  They had corrupt judges find me guilty and then put on show trials, literally produced by HBO.
[00:39:08.800 --> 00:39:11.199]  This is a marathon, not a sprint.
[00:39:11.440 --> 00:39:13.360]  And we cannot do it without you.
[00:39:13.599 --> 00:39:14.320]  I will never give up.
[00:39:14.400 --> 00:39:15.039]  I will never back down.
[00:39:15.119 --> 00:39:16.000]  I will never sell out.
[00:39:16.320 --> 00:39:22.559]  We are out there reaching tens of millions of people today and causing major problems for the globalists and their agenda.
[00:39:22.800 --> 00:39:26.000]  That's why they've said publicly, they want me off the air.
[00:39:26.159 --> 00:39:34.559]  And all their fake rig lawsuits were not about money, but about attempting to take this populist war horse of truth off the air.
[00:39:34.880 --> 00:39:48.159]  I ask that with your verdict, you not only take Alex Jones' platform that he talks about away, I ask that you make certain he can't rebuild the platform.
[00:39:48.480 --> 00:39:49.599]  That's what matters.
[00:39:49.920 --> 00:39:51.039]  That is punishment.
[00:39:51.280 --> 00:39:52.480]  That is deterrence.
[00:39:52.800 --> 00:39:55.519]  But we will be at it as long as it takes.
[00:39:55.840 --> 00:40:05.599]  And if you're out there right now and you're one of Alex Jones' audience members and you're considering giving him money, I just want you to know that based on the jury's verdict today, it's not a very good bet.
[00:40:05.920 --> 00:40:07.599]  But the money is not even really the question for me.
[00:40:08.000 --> 00:40:12.960]  The question is, will this suit be successful at stopping him from being on the national stage?
[00:40:13.280 --> 00:40:16.800]  But the family's attorney says the money is not what matters most.
[00:40:17.119 --> 00:40:21.840]  What would such a ruling mean for the families of the Sandy Hook victims?
[00:40:22.079 --> 00:40:28.559]  What they're hoping to achieve is the most amount of accountability that the legal system can deliver.
[00:40:28.880 --> 00:40:34.000]  And money is just one component of that and not the most important component of it.
[00:40:34.320 --> 00:40:38.480]  It takes money to win wars and InfoWars is right at the tip of the spear.
[00:40:38.800 --> 00:40:47.119]  So for myself and my family, I'm firing the bat signal and humbly asking for your support now at defendalexjones.com.
[00:40:47.360 --> 00:40:58.880]  So when you support my operation, when you support my family who's under attack, you are protecting my six, my flank that the enemy is coming in after to distract and divert me and hope that I give up.
[00:40:59.199 --> 00:41:00.159]  We're winning the battles.
[00:41:00.320 --> 00:41:03.280]  We have not yet won the war, but we will.
[00:41:03.599 --> 00:41:05.119]  InfoWars is so important.
[00:41:05.440 --> 00:41:06.400]  You are the InfoWars.
[00:41:06.480 --> 00:41:07.519]  You are the Paul Revere's.
[00:41:07.599 --> 00:41:09.199]  Thanks for keeping me on the air all these years.
[00:41:09.440 --> 00:41:10.960]  We've all changed the world together.
[00:41:11.280 --> 00:41:12.800]  And I just want to thank all the viewers and listeners.
[00:41:12.880 --> 00:41:13.440]  I want to thank the crew.
[00:41:13.519 --> 00:41:14.239]  I want to thank my family.
[00:41:14.480 --> 00:41:30.079]  Of course, I want to thank God, number one, for giving me the will and the providence and working through you and touching your hearts to continue to spread the word, to continue to buy the products to alexjonestor.com that support the broadcast and to donate at defendalexjones.com.
[00:41:30.400 --> 00:41:31.360]  The ball is in your court.
[00:41:31.440 --> 00:41:34.320]  I humbly ask for your aid and comfort in this fight.
[00:41:34.639 --> 00:41:35.298]  Thank you so much.
[00:41:35.298 --> 00:41:41.419]  Thank you.
[00:41:41.440 --> 00:41:46.239]  Next level Foundational Energy, one of our best sellers, sold out for many, many months.
[00:41:46.480 --> 00:41:54.400]  It's now finally back in stock, but it's only available at realalxjones.com, the sister site of thealexjonstore.com.
[00:41:54.559 --> 00:41:57.840]  And then all the proceeds go for our legal defense and for the Alex Jones Network.
[00:41:58.159 --> 00:41:59.199]  There's the backup system.
[00:41:59.519 --> 00:42:00.559]  This is a fan favorite.
[00:42:00.639 --> 00:42:02.719]  It's got the highest quality methyl folate.
[00:42:02.880 --> 00:42:04.800]  It is the breakdown of folic acid.
[00:42:05.039 --> 00:42:10.480]  A lot of people can't process folic acid properly, but methyl folate, everybody can process.
[00:42:10.639 --> 00:42:11.760]  It is the breakdown of that.
[00:42:12.000 --> 00:42:13.519]  It is exclusively available.
[00:42:13.760 --> 00:42:17.440]  Finally, back in stock at realalixjones.com.
[00:42:17.599 --> 00:42:22.480]  And also exclusively there, another fan favorite, cleans out your blood, so good for your whole body cardiovascular system.
[00:42:22.719 --> 00:42:27.199]  Nitric boost, exclusively available now at realalxjones.com.
[00:42:27.360 --> 00:42:35.199]  I got to tell you, this methylfolate, next level of financial energy, does incredible things when taken with ultra-methylene blue, but be careful.
[00:42:35.440 --> 00:42:36.800]  They're really strong together.
[00:42:36.880 --> 00:42:40.000]  It cleans out your cells, incredible energy, no letdown.
[00:42:40.159 --> 00:42:41.440]  It is next level.
[00:42:41.760 --> 00:42:52.639]  Real leadership, the essence of leadership is showing people how it's done so that they understand it's the right way and getting them to adopt it.
[00:42:52.960 --> 00:42:57.119]  And being a leader means you go against the tide when the tide is wrong.
[00:42:57.360 --> 00:42:59.760]  You go against the crowd when the crowd is wrong.
[00:43:00.079 --> 00:43:03.920]  You go against the establishment when the establishment is degenerate and sick.
[00:43:04.239 --> 00:43:14.719]  And then by example and by confidence and by will and by strength, then the timid join you because then it costs nothing to be a patriot, quote the great Mark Twain.
[00:43:15.039 --> 00:43:20.000]  In the beginning, the patriot is a scarce man, hated, feared, and scorned.
[00:43:20.320 --> 00:43:29.679]  But in time when his cause succeeds, the timid join him because then it cost nothing to be a patriot.
[00:43:30.000 --> 00:43:36.320]  The patriot is a scarce man, hated, feared, scorned.
[00:43:36.639 --> 00:43:50.159]  But in time, when his cause succeeds, the timid join him because then it cost nothing to be a patriot.
[00:43:50.480 --> 00:43:55.199]  And when you commit to something worthy and good, it is not a weight.
[00:43:55.679 --> 00:43:56.559]  It is everything.
[00:43:57.039 --> 00:43:59.440]  It is your greatest strength.
[00:43:59.760 --> 00:44:04.079]  It becomes your soul to risk your life for freedom.
[00:44:04.400 --> 00:44:12.000]  It's what God forged you in his mind as he created your soul before he even put you in your mother's womb.
[00:44:12.289 --> 00:44:48.298]  He knew you.
[00:44:48.320 --> 00:44:52.079]  Well, I'm the upper upper class high society.
[00:44:52.960 --> 00:44:56.800]  God's gift to ballroom notoriety.
[00:44:57.440 --> 00:45:01.599]  And I always fill my ballroom, the events never small.
[00:45:02.239 --> 00:45:06.559]  The social pages say I've got the biggest balls of all.
[00:45:07.199 --> 00:45:11.199]  I've got big balls, I've got big balls.
[00:45:11.440 --> 00:45:15.360]  And such big balls, and I've got two big balls.
[00:45:15.920 --> 00:45:20.159]  And he's got big balls, and she's got big balls.
[00:45:20.480 --> 00:45:24.320]  But we've got the big balls of balls of all.
[00:45:25.199 --> 00:45:29.440]  These are some of the insane priorities that that organization has been spending money on.
[00:45:29.679 --> 00:45:33.440]  $1.5 million to promote gays, lesbians, and trans in Jamaica.
[00:45:33.760 --> 00:45:40.480]  $2 million to strengthen trans-led organizations to deliver gender-affirming health care in Guatemala.
[00:45:40.800 --> 00:45:44.800]  $43 million on a gas station in Afghanistan that had no customers.
[00:45:45.119 --> 00:45:47.920]  $20 million for Iraqi Sesame Street.
[00:45:48.239 --> 00:45:51.760]  $4.5 million to combat disinformation in Kazakhstan.
[00:45:52.079 --> 00:45:55.920]  Over $6 million for men who have sex with men in South Africa.
[00:45:56.159 --> 00:45:58.800]  $2 million for Moroccan pottery classes.
[00:45:59.119 --> 00:46:02.000]  $2 million for sex changes in Guatemala.
[00:46:02.320 --> 00:46:05.760]  $47,000 for a transgender opera in Colombia.
[00:46:06.079 --> 00:46:09.280]  $17 million to promote inclusion in Vietnam.
[00:46:09.519 --> 00:46:12.239]  $32,000 for a transgender comic book in Peru.
[00:46:12.480 --> 00:46:17.440]  $8 million to teach Sri Lankan journalists how to avoid binary gendered language.
[00:46:17.679 --> 00:46:20.559]  $300 million to Reuters to attack Elon Musk.
[00:46:20.800 --> 00:46:24.400]  $2 million for sex changes and LGBT activism in Guatemala.
[00:46:24.719 --> 00:46:28.800]  Billions to the corporate media to attack Trump and run the fake impeachment propaganda.
[00:46:28.960 --> 00:46:32.159]  $330 million to help Afghanis grow crops.
[00:46:32.719 --> 00:46:33.119]  Crops.
[00:46:33.920 --> 00:46:37.840]  $122 million of the USAID money was given to terrorists.
[00:46:38.079 --> 00:46:39.599]  These people are lunatics.
[00:46:42.079 --> 00:46:43.760]  No one elected Big Balls.
[00:46:44.079 --> 00:46:46.880]  Big B-A-L-L-S Sigballs here.
[00:46:47.440 --> 00:46:48.239]  Big balls.
[00:46:52.400 --> 00:47:02.950]  Personally, I voted for big balls.
[00:47:02.960 --> 00:47:13.360]  We now take you live to the Central Texas Command Center in the heart of the Resistance, rallying Patriots Worldwide.
[00:47:13.380 --> 00:47:34.960]  guitar solo Welcome back, ladies and gentlemen.
[00:47:35.039 --> 00:47:37.519]  This is my Saturday Transmission.
[00:47:39.039 --> 00:47:46.400]  So, Sorhan or Sauron Mamdani has got people really upset.
[00:47:47.039 --> 00:47:50.960]  We'll be doing a lot more deep dives on him in the near future because I'm even adding more research to it.
[00:47:51.039 --> 00:47:52.639]  My crew's been really helping me.
[00:47:52.960 --> 00:48:00.719]  100% globalist, Soros, New World Order, BlackRock, communist revolution.
[00:48:00.880 --> 00:48:08.480]  Their answer to the economic collapse they've engineered is to try to stop Trump from fixing it and stabilizing the world.
[00:48:08.719 --> 00:48:13.119]  And Trump said not just boosting our energy, but everybody's energy that will literally create peace.
[00:48:13.280 --> 00:48:17.360]  That's what happens when people have plenty of money and plenty of energy.
[00:48:17.679 --> 00:48:21.519]  And they are running these Islamicists and others all over the country.
[00:48:21.840 --> 00:48:25.360]  And Bernie Sanders is right in the middle of it.
[00:48:25.679 --> 00:48:31.119]  So I'm going to just give you a first look at some of that here in just a moment.
[00:48:32.639 --> 00:48:37.519]  But again, the good news is you've got a bunch of Democrats coming out against him and Eric Adams.
[00:48:37.840 --> 00:48:41.199]  And you've got all these Democrats even on CNN MSNBC saying he's horrible.
[00:48:41.360 --> 00:48:42.559]  Communism is terrible.
[00:48:42.880 --> 00:48:44.320]  Socialism is terrible.
[00:48:44.639 --> 00:48:50.400]  And even though they don't mean that, the fact is they're having to say that because they know they've totally lost their asses.
[00:48:52.000 --> 00:48:55.840]  So again, it's more benchmarks of the great awakening that's happening.
