[00:00:01.320 --> 00:00:03.700]  Other networks lie to you about what's happening now.
[00:25:07.180 --> 00:25:08.799]  Maybe you could have told me this yesterday!
[00:25:09.740 --> 00:25:11.000]  And I care about you so much.
[00:25:12.400 --> 00:25:13.519]  I care about you too.
[00:25:14.819 --> 00:25:16.099]  And I love you so much.
[00:25:17.230 --> 00:25:21.309]  I want to stay with you and keep growing our relationship, if you'll let me.
[00:25:22.890 --> 00:25:24.029]  We'll talk about it.
[00:25:25.470 --> 00:25:26.450]  Let's circle back.
[00:25:29.809 --> 00:25:32.390]  I love you.
[00:25:34.390 --> 00:25:36.930]  I know that the connection we have is so real.
[00:25:37.400 --> 00:25:42.339]  The connection we have is so real, and I believe you have to alter and humiliate you in front of everyone in the world on national television.
[00:25:42.579 --> 00:25:43.640]  So close to my heart.
[00:25:43.980 --> 00:25:46.779]  Making this decision, my mind is telling me I can't.
[00:25:47.000 --> 00:25:51.019]  And this guy, he basically just said that he was apolitical and didn't have an opinion on certain matters.
[00:25:51.099 --> 00:25:53.559]  And so she decides to humiliate him in front of the entire country.
[00:25:56.640 --> 00:26:01.700]  I mean, it's just so disgusting.
[00:26:06.569 --> 00:26:08.970]  The ALC is coming out and saying that Republicans are the problem here.
[00:26:09.049 --> 00:26:12.230]  That guy just let himself get walked all over on the altar and said, can we still try to work it out?
[00:26:12.890 --> 00:26:15.289]  The response to let's take a break is, right?
[00:26:15.769 --> 00:26:20.769]  The response to a woman when she says, I think we should take a break or should we take a break is, no, it's over.
[00:26:21.230 --> 00:26:29.509]  Because if you have any semblance of doubt, then I don't want to be in this relationship with you whatsoever at all because all a relationship is about, all a marriage is about is commitment.
[00:26:29.710 --> 00:26:31.789]  And if you're having doubts about commitment, then we're done.
[00:26:31.789 --> 00:26:32.410]  I'm moving on.
[00:26:33.720 --> 00:26:35.640]  That would be the right wing approach.
[00:26:35.700 --> 00:26:40.160]  That would be the conservative approach, the traditional American approach to what just happened to that man.
[00:26:40.259 --> 00:26:41.200]  And I'm not bashing the man.
[00:26:41.299 --> 00:26:41.940]  I'm sure he's a great guy.
[00:26:42.000 --> 00:26:42.660]  In fact, I can just tell.
[00:26:42.740 --> 00:26:43.619]  I know that he's a great guy.
[00:26:43.740 --> 00:26:45.779]  But he made the total wrong call with the way that he handled that.
[00:26:45.839 --> 00:26:49.200]  And I think he was just trying to be a gentleman, and I think he's heartbroken and confused, and he was ambushed.
[00:26:49.279 --> 00:26:49.920]  I get it.
[00:26:50.019 --> 00:26:50.759]  No fault of his.
[00:26:50.880 --> 00:26:51.420]  He'll be fine.
[00:26:51.420 --> 00:26:52.119]  He'll figure it out.
[00:26:52.180 --> 00:26:53.319]  He's figuring it out the hard way.
[00:26:53.940 --> 00:26:55.700]  But this is what leftism does.
[00:26:56.259 --> 00:26:58.740]  This is what the cult of globalism does.
[00:26:58.960 --> 00:27:02.299]  This is what MKUltra does, which is why we're fighting back.
[00:27:03.210 --> 00:27:05.890]  At InfoWars with TheAlexJonesStore.com.
[00:27:06.009 --> 00:27:13.509]  By making fun of the leftists while fighting for our bodies, our minds, and even our very bones, we've launched a new product called MKUltra.
[00:27:13.670 --> 00:27:26.750]  We call it MKUltra because it's loaded with magnesium and vitamin K, and we're fighting back against the psychological operation against all individuals, all sovereign nations, all sovereign individuals by the deep state like MKUltra.
[00:27:26.890 --> 00:27:29.210]  So get MKUltra right now at TheAlexJonesStore.com.
[00:27:29.328 --> 00:27:32.048]  magnesium and vitamin K keeps the globalists away.
[00:27:32.048 --> 00:27:39.068]  Welcome back to the Alex Jones Show.
[00:27:39.089 --> 00:27:42.349]  Ladies and gentlemen, I am Chase Geiser, your host for the next three and a half hours.
[00:27:42.470 --> 00:27:44.029]  Alex Jones is in studio.
[00:27:44.170 --> 00:27:47.029]  I'm not sure if he's going to come on air or not, but I know he's around.
[00:27:47.730 --> 00:27:51.809]  We will be joined by Ian Carroll in the final hour of this transmission at 7 p.m.
[00:27:51.970 --> 00:27:53.089]  Central in two and a half hours.
[00:27:56.170 --> 00:28:06.309]  And we talked in the last segment about the audacity of the leftists always blaming Trump and Republicans and conservatives and patriots and those who just believe in individual liberty or Western values or Christian values.
[00:28:07.079 --> 00:28:11.940]  For everything wrong, when we know that it's really the globalists who are responsible for everything wrong with this country.
[00:28:12.119 --> 00:28:19.279]  It's the leftists, the political class, who is willing to sell out the American people for the sake of their own colleagues, for lack of a better term.
[00:28:20.000 --> 00:28:22.539]  Co-conspirators, I think, is probably the most accurate.
[00:28:22.960 --> 00:28:26.900]  Stacey Abrams being among the largest of them.
[00:28:27.859 --> 00:28:36.119]  Stacey Abrams admits the $2 billion Joe Biden's EPA gave her was used to buy votes of people in Georgia by purchasing them new appliances.
[00:28:37.019 --> 00:28:42.420]  MSNBC does their best to whitewash this, but can't hide the huge pile of fraudulent spending Abrams facilitated.
[00:28:42.519 --> 00:28:45.920]  Well, at least she didn't spend it at Kentucky Fried Chicken like I originally thought.
[00:28:46.259 --> 00:28:59.839]  Let's watch clip number 88. One of the ironies of the attack on you, and I'm gonna play what he did, was that my understanding is that the program at the source of this whole thing is a program to lower costs for people.
[00:29:00.000 --> 00:29:01.440]  Do I have that top line correct?
[00:29:01.859 --> 00:29:03.740]  You have it absolutely right.
[00:29:04.190 --> 00:29:16.869]  Okay, so I'm gonna play what he had to say, and then I'm gonna ask you to explain what the program is that was such an obvious, ludicrous laugh line for the Republicans there.
[00:29:16.950 --> 00:29:17.309]  Take a listen.
[00:29:18.930 --> 00:29:30.269]  $1.9 billion to recently created decarbonization of Holmes Committee headed up, and we know she's involved.
[00:29:30.269 --> 00:29:33.109]  Just at the last moment, the money was passed over.
[00:29:33.819 --> 00:29:36.460]  By a woman named Stacey Abrams.
[00:29:36.619 --> 00:29:37.599]  Have you ever heard of her?
[00:29:38.980 --> 00:29:41.559]  Okay, so what is this organization?
[00:29:41.559 --> 00:29:44.039]  What is your relation to it, and what does it do?
[00:29:45.660 --> 00:29:51.960]  In 2023 and 2024, I led a program called Vitalizing DeSoto.
[00:29:52.160 --> 00:29:59.859]  We worked in a tiny town in South Georgia to demonstrate that by replacing energy inefficient...
[00:30:00.059 --> 00:30:03.039]  Appliances with efficient appliances, you can lower your cost.
[00:30:03.200 --> 00:30:04.519]  And in fact, we accomplished that.
[00:30:05.000 --> 00:30:10.680]  For 75% of the community, they got appliances that are lowering their bills right now.
[00:30:10.859 --> 00:30:15.900]  We had one woman who saw her electric bill cut in half from $180 to $98.
[00:30:16.500 --> 00:30:17.599]  That's what we delivered.
[00:30:17.779 --> 00:30:32.440]  And based on that program, a coalition of organizations, famous organizations, came together and said to the- EPA, if we can do this here, we can do this for millions more Americans.
[00:30:32.720 --> 00:30:37.039]  Let us invest the money of America in lowering the cost for Americans.
[00:30:37.259 --> 00:30:39.599]  And the EPA said, okay, great, go for it.
[00:30:40.579 --> 00:30:41.819]  Well, there you have it, folks.
[00:30:43.400 --> 00:30:46.720]  And look, this is not- Stacey Abrams didn't invent this scheme.
[00:30:46.839 --> 00:30:52.099]  This has basically been the scheme of leftism and basically communism ever since Karl Marx started writing the Communist Manifesto.
[00:30:52.400 --> 00:31:07.099]  The idea is that you promise everybody in the world everything, and that you promise that you're gonna take it from a wealthy minority that has no representation in terms of the voice of the people because they're such a small group proportionally to the rest of the people that are suffering so much.
[00:31:07.599 --> 00:31:13.900]  And through promising them everything, they will do a revolution for you, and then you kill all the revolutionaries and don't give anyone anything at all.
[00:31:14.620 --> 00:31:21.160]  That's basically the fundamental premise of collectivism, of leftism, of globalism, Marxism, communism, whatever you want to call it, socialism.
[00:31:21.420 --> 00:31:28.339]  They have to keep changing the name of what it is because after it happens, so many millions upon millions of people die that they have to totally rebrand it.
[00:31:28.740 --> 00:31:30.500]  Let me tell you what democratic socialism is.
[00:31:31.000 --> 00:31:31.579]  Bernie Sanders.
[00:31:31.960 --> 00:31:35.039]  As if it's any different than just straight up Marxism or communism.
[00:31:36.079 --> 00:31:39.599]  And we saw this with the Obama phone as soon as the crew lets me know they found it.
[00:31:39.619 --> 00:31:47.150]  Clip 13. The Obamaphone was another example of this, just buying people or giving people something in exchange for support or votes.
[00:31:47.269 --> 00:31:48.849]  This is something that's illegal at the state level.
[00:31:48.849 --> 00:31:53.589]  I have worked on state level campaigns in my career.
[00:31:54.269 --> 00:32:01.130]  2016, I supported the classy Nathan Massey to be a representative in the state house of Tennessee.
[00:32:01.490 --> 00:32:04.529]  He ran against Bo Mitchell in Nashville.
[00:32:05.099 --> 00:32:06.599]  And he was an awesome candidate.
[00:32:06.819 --> 00:32:11.500]  And Bo Mitchell's campaign was giving out pizza outside of the polling station.
[00:32:11.500 --> 00:32:15.579]  You're not allowed to give gifts to people as they're voting with your campaign shirt on.
[00:32:15.680 --> 00:32:17.299]  It's like abundantly, it's blatantly illegal.
[00:32:17.440 --> 00:32:20.799]  You can't exchange goods for support.
[00:32:20.799 --> 00:32:22.140]  But that's what the leftists do.
[00:32:22.380 --> 00:32:23.900]  And it's exactly what Obama did too.
[00:32:23.980 --> 00:32:27.000]  Look at this clip, 13. Obama!
[00:32:27.180 --> 00:32:28.279]  You got Obama phone?
[00:32:28.299 --> 00:32:31.940]  Yes, everybody in Cleveland, low minority, got Obama phone.
[00:32:32.078 --> 00:32:34.437]  Keep Obama in president, you know.
[00:32:34.437 --> 00:32:35.898]  He gave us a phone.
[00:32:35.917 --> 00:32:36.917]  He gave you a phone.
[00:32:36.917 --> 00:32:38.278]  Ohio was a major swing state.
[00:32:38.278 --> 00:32:39.318]  You sign up.
[00:32:39.408 --> 00:32:40.959]  You on full stamps.
[00:32:40.959 --> 00:32:42.138]  You on social security.
[00:32:42.138 --> 00:32:43.758]  You got low income.
[00:32:43.758 --> 00:32:44.578]  You disability.
[00:32:44.578 --> 00:32:45.618]  I have a question.
[00:32:45.618 --> 00:32:47.378]  Okay, what's wrong with Romney again?
[00:32:47.378 --> 00:32:49.148]  Romney, he sucks.
[00:32:49.158 --> 00:32:53.558]  Yeah, the only thing I agree with that woman was she was right about Romney too.
[00:32:53.558 --> 00:32:54.058]  Thank you.
[00:32:54.058 --> 00:32:55.437]  Thank you.
[00:32:55.440 --> 00:33:00.019]  So you got Stacey Abrams admitting that, and that's what the entire function of USAID was.
[00:33:00.160 --> 00:33:02.900]  That's what the function of all these NGOs is.
[00:33:03.920 --> 00:33:06.400]  You use the NGOs to take federal money.
[00:33:06.539 --> 00:33:11.759]  You pay everybody exorbitant salaries who's on the board of directors or leadership positions at these non-profits.
[00:33:12.579 --> 00:33:15.900]  You give them a name like American Hope.
[00:33:17.079 --> 00:33:18.440]  Throw hope in there somewhere.
[00:33:19.180 --> 00:33:20.160]  Paths to hope.
[00:33:20.500 --> 00:33:21.500]  Road to hope.
[00:33:22.559 --> 00:33:24.599]  They get billions upon billions of dollars.
[00:33:24.779 --> 00:33:27.579]  I mean, Elon Musk even came out and said George Soros was a genius at this.
[00:33:28.250 --> 00:33:42.630]  You spin up a nonprofit, you fund it the first $2 million, you leverage that $2 million to get another $1 billion in funding, and then you lobby the hell out of the government, and you get even more funding from the federal government, and all that money just goes out to all the special interests.
[00:33:42.809 --> 00:33:49.210]  You buy 100,000 copies of Hillary Clinton's book, you buy another 100,000 copies of Gavin Newsom's memoir, which is supposedly coming out in May.
[00:33:49.289 --> 00:33:50.349]  Don't even get me started on that.
[00:33:53.210 --> 00:33:55.910]  You give them to organizations like what Stacey Abrams...
[00:33:56.089 --> 00:33:58.369]  Created, and then they buy everybody appliances.
[00:33:58.369 --> 00:34:00.089]  They collect all their contact information.
[00:34:00.089 --> 00:34:02.589]  They say, remember who got you the appliances and remember to vote.
[00:34:02.730 --> 00:34:03.490]  It's bribery.
[00:34:03.690 --> 00:34:04.670]  It's just indirect bribery.
[00:34:04.849 --> 00:34:05.529]  It's a loophole.
[00:34:05.670 --> 00:34:09.909]  It's probably illegal explicitly, but it's certainly unethical at the highest levels.
[00:34:12.090 --> 00:34:19.829]  And this is someone who claims that her race was stolen from her, but simultaneously claims that you're a fascist if you believe in election fraud.
[00:34:21.349 --> 00:34:47.010]  This is somebody who, like Beto O'Rourke here in Texas, Just loses and loses and lies and lies and demonstrates weakness after weakness and corruption after corruption and sellout after sellout and then goes on MSNBC to her and her 17 listeners plus the 8 million people that we just showed the clip and has the audacity to say that there was nothing wrong about taking $2 billion of federal money so they could buy votes by purchasing people appliances.
[00:34:51.789 --> 00:34:58.329]  We got another clip here, 21. The View host, Sonny Hostin, says Democrats must be willing to fight or die to defeat Trump.
[00:34:58.530 --> 00:35:05.789]  There are a litany of videos that have come out in the last week of leftist after leftist after leftist saying that it's time to kill Trump.
[00:35:05.889 --> 00:35:20.469]  Let's watch clip number 21. A list of the ten?
[00:35:20.630 --> 00:35:21.530]  Do you want to hear their names?
[00:35:21.630 --> 00:35:22.190]  Yes, I do.
[00:35:23.389 --> 00:35:24.750]  Why go after them, too?
[00:35:24.889 --> 00:35:25.829]  Go after the Republicans.
[00:35:26.110 --> 00:35:30.750]  Because they don't know how to fight and be part of an opposition party.
[00:35:31.469 --> 00:35:33.949]  Representative Green gave them the example.
[00:35:34.150 --> 00:35:36.610]  The Democrats are not meeting the moment.
[00:35:36.929 --> 00:35:39.550]  It is very clear that Medicaid is on the table.
[00:35:39.670 --> 00:35:41.630]  It is very clear that Social Security is on the table.
[00:35:41.769 --> 00:35:43.210]  It is very clear that people will die.
[00:35:43.530 --> 00:35:47.809]  The baby boomers, the civil rights generation, they knew what they had to do.
[00:35:47.869 --> 00:35:48.550]  They were willing to...
[00:35:48.639 --> 00:35:50.380]  Fight and die for their rights.
[00:35:50.579 --> 00:35:54.380]  This generation of Congress, they are not meeting the moment.
[00:35:54.639 --> 00:35:56.079]  This is an existential crisis.
[00:35:57.699 --> 00:36:03.300]  And also, I might point out, some of them are from the most liberal states like New York, Hawaii, California.
[00:36:03.820 --> 00:36:04.840]  They should be ashamed of themselves.
[00:36:04.980 --> 00:36:06.599]  They should have all walked out with them.
[00:36:08.820 --> 00:36:09.780]  Here's a question.
[00:36:09.960 --> 00:36:15.360]  Where was all this talk about decorum from Republicans when Marjorie Taylor Greene was screaming at Biden?
[00:36:16.599 --> 00:36:17.119]  Okay.
[00:36:18.330 --> 00:36:19.909]  All right, now, you want to hear what they are?
[00:36:19.969 --> 00:36:20.389]  I'm gonna read them.
[00:36:20.710 --> 00:36:24.809]  Amy Berra, Ed Case, Jim Costa, Lauren Gillen, Jim Himes.
[00:36:25.010 --> 00:36:25.750]  Jim Himes.
[00:36:26.010 --> 00:36:27.230]  I would never have thought that.
[00:36:27.610 --> 00:36:31.469]  Chrissy Houlihan, Marcy Kaptur, Jared Moskowitz.
[00:36:31.690 --> 00:36:31.849]  What?
[00:36:32.170 --> 00:36:32.309]  Yeah.
[00:36:32.750 --> 00:36:36.329]  Marie Glusenkamp-Perez from Washington and Tom Suozzi.
[00:36:36.570 --> 00:36:45.889]  I think, respectfully, though, there's a lot of people who saw the outburst differently, including Democrats, which was, if you're going to protest and be an opposition party, do it with intentionality and make sure it works.
[00:36:46.050 --> 00:36:50.110]  Holding up signs, it's protesting, like, are they being advised by people who use, like, windows?
[00:36:50.159 --> 00:36:51.360]  It's the most...
[00:36:52.339 --> 00:36:53.139]  Outdated, inconsistent.
[00:36:53.139 --> 00:36:54.059]  We're talking about Green.
[00:36:54.139 --> 00:37:04.679]  But to his point, I get his point on Medicaid, but this mandate point, if Democrats are gonna keep arguing, we only lost by X million of votes, that is not the winning message you guys think that it is.
[00:37:04.699 --> 00:37:05.519]  He doesn't have a mandate.
[00:37:05.960 --> 00:37:08.599]  Can I just tell you what Swazi said, why he voted?
[00:37:08.599 --> 00:37:10.539]  How many votes do you win by to have a mandate?
[00:37:10.780 --> 00:37:11.139]  This is Swazi.
[00:37:11.659 --> 00:37:13.219]  He's a New York guy, by the way.
[00:37:13.340 --> 00:37:17.360]  Both parties must hold themselves to the same standards we expect from the other side.
[00:37:17.679 --> 00:37:20.619]  See, they're going to a gunfight with a knife, as they say.
[00:37:21.420 --> 00:37:23.019]  Therein lies the problem, you see.
[00:37:23.360 --> 00:37:25.659]  I like civility in Congress.
[00:37:25.679 --> 00:37:30.920]  And I think that when you are in Congress, we are not at a WWE wrestling match.
[00:37:31.059 --> 00:37:32.659]  This is not the House of Commons.
[00:37:32.800 --> 00:37:34.000]  This is the U.S. Capitol.
[00:37:34.159 --> 00:37:36.579]  The problem is that this is not happening in a vacuum.
[00:37:36.800 --> 00:37:43.579]  We all remember when Joe Wilson, the Republican congressman, stood up against Barack Obama giving a State of the Union and called him a liar.
[00:37:43.699 --> 00:37:44.039]  Said you lie.
[00:37:44.800 --> 00:37:48.460]  We saw Marjorie Taylor Greene, Lauren Boebert, the...
[00:37:48.599 --> 00:37:53.639]  Congressional hearings lately have devolved into shouting matches that are shameful.
[00:37:54.159 --> 00:38:03.219]  And frankly, like you, I have a really hard time being lectured by Republicans who are trying to whitewash and rewrite history.
[00:38:03.360 --> 00:38:08.980]  Because if you didn't stand up against Donald Trump's party- And they just go on in this nag fest.
[00:38:09.179 --> 00:38:13.219]  I guess I understand exactly why nobody listens to The View.
[00:38:17.500 --> 00:38:19.460]  Look, any normal healthy man loves women.
[00:38:19.840 --> 00:38:29.760]  But one of the main reasons that you get married, other than that you want to have children and share your life with somebody that you trust, that you share values with, it's because you only want to really deal with one woman your whole life.
[00:38:29.840 --> 00:38:31.320]  Being single is such a pain in the ass.
[00:38:32.199 --> 00:38:37.599]  The betrayal and the discovering the hard way that somebody's a bad person and the time that it takes and the money that's wasted.
[00:38:38.319 --> 00:38:40.280]  And it's just a mess being single.
[00:38:40.460 --> 00:38:43.079]  One of the reasons I got married is because I only wanted to deal with one woman.
[00:38:43.219 --> 00:38:46.420]  But when you watch The View, you gotta deal mentally, psychologically.
[00:38:46.460 --> 00:38:50.639]  You have to cope with all five of them up there, and it's just so absolutely exhausting.
[00:38:50.699 --> 00:38:55.519]  But this is just the first of a series of clips of people calling for the death of Donald Trump.
[00:38:55.579 --> 00:39:00.820]  And this isn't the first time that it's happened, but it definitely happens in phases and waves.
[00:39:01.289 --> 00:39:21.570]  It's not something that's consistently iterated over the course of all of the years or the months that we've been talking about Donald Trump since 2016. It's like a big push right before the 2016 election and then another big one right before 2018 and another big one right before 2020. And then a couple of big ones between 2020 and 2024. It's part of a campaign.
[00:39:21.769 --> 00:39:26.349]  Otherwise, it would be spread like butter evenly across all media over all time.
[00:39:26.469 --> 00:39:27.489]  But it hits and bumps.
[00:39:27.550 --> 00:39:29.170]  And this week, there was just like half a dozen of them.
[00:39:29.289 --> 00:39:33.389]  Let's show you clip number 65. Another liberal woman calling for the death of President Trump.
[00:39:33.630 --> 00:39:33.989]  Let's watch.
[00:39:37.010 --> 00:39:40.690]  Listen, someone just needs to do it.
[00:39:40.809 --> 00:39:43.269]  Someone just needs to get it done.
[00:39:45.480 --> 00:39:46.639]  Someone just needs to do it.
[00:39:48.500 --> 00:39:52.760]  And I'm not usually pro doing it, but someone just needs to do it.
[00:39:54.260 --> 00:39:55.420]  Someone needs to get it done.
[00:39:56.820 --> 00:40:02.440]  Here's Joe Walsh in clip number 69, spreading dangerous misinformation and incitement as well.
[00:40:02.539 --> 00:40:05.900]  Let's watch clip number 69. I've had the pleasure of interviewing Joe Walsh.
[00:40:06.079 --> 00:40:07.099]  Nice enough guy.
[00:40:08.099 --> 00:40:09.059]  Total dumbass.
[00:40:10.039 --> 00:40:12.019]  And I hate saying anything bad about him.
[00:40:12.400 --> 00:40:16.019]  Because he was very kind and polite to me, and we had a personal interaction.
[00:40:16.019 --> 00:40:19.440]  I try to avoid maligning anyone who's been kind to me.
[00:40:20.079 --> 00:40:23.960]  But he's one of the biggest dumbasses I've ever met or interacted with in my entire life.
[00:40:24.119 --> 00:40:27.920]  My jaw dropped at the fact that he was a congressman from Chicago at one point in time.
[00:40:28.059 --> 00:40:33.059]  Let's watch clip number 69. It's too easy to have fun with this.
[00:40:33.260 --> 00:40:38.079]  But Michael, this is scary shit, pardon me, on a Sunday morning.
[00:40:38.599 --> 00:40:40.019]  And Lindsey Graham there.
[00:40:40.300 --> 00:40:43.699]  A United States Senate, you don't joke about that.
[00:40:43.880 --> 00:40:44.039]  Right.
[00:40:44.559 --> 00:40:46.539]  Trump's what, 78, 79 years old?
[00:40:46.679 --> 00:40:50.019]  I have no doubt that if Trump could, he would try to run again.
[00:40:50.320 --> 00:40:53.579]  I think, Michael, the biggest failure of all of us.
[00:40:53.840 --> 00:40:56.599]  During this Trump era has been the failure of imagination.
[00:40:57.059 --> 00:41:01.219]  We haven't just, we have not imagined how bad- He's like off-brand Jeffrey Epstein.
[00:41:01.420 --> 00:41:03.739]  He tried to overthrow an American election four years ago.
[00:41:03.900 --> 00:41:06.900]  I have no doubt that he could- So he tried to overthrow an election.
[00:41:07.079 --> 00:41:07.900]  He would run again.
[00:41:08.019 --> 00:41:18.840]  He would try to steal the election in 2028. They're coming out now trying to say he's gonna be a dictator from 2028 to 2032. This is implicitly incitement, all in the context of the fact that they're always trying to blame Iran for everything.
[00:41:18.940 --> 00:41:20.559]  They want a war with Iran so bad.
[00:41:21.360 --> 00:41:25.000]  Lindsey Graham's pussy is so wet for a war with Iran.
[00:41:25.260 --> 00:41:32.079]  That's why Lindsey Graham was so eager, so easily swayed from supporting Zelensky.
[00:41:32.440 --> 00:41:47.480]  Keep in mind, when Zelensky blew it the other day, in that conversation with Rubio and J.D. Vance and Donald Trump, when he totally humiliated himself and embarrassed himself by coming undressed or just improperly dressed, underdressed, might as well have come undressed.
[00:41:47.699 --> 00:41:50.179]  Wouldn't be the first time he'd been undressed on national television.
[00:41:50.559 --> 00:41:52.679]  Brought a little player piano with him for his tiny little wiener.
[00:41:54.239 --> 00:41:55.940]  He shows up and embarrasses himself.
[00:41:56.119 --> 00:41:59.340]  And immediately after that, Zelensky comes out and speaks to the press.
[00:41:59.780 --> 00:42:00.280]  Not Zelensky.
[00:42:00.599 --> 00:42:06.119]  Lindsey Graham comes out and speaks to the press wearing a tie with the Ukrainian flag colors on it.
[00:42:06.179 --> 00:42:08.320]  So he thought the conversation was going to go wonderfully.
[00:42:08.980 --> 00:42:12.539]  He was all dressed for it, literally wearing his little Ukrainian colors.
[00:42:13.800 --> 00:42:17.739]  He comes out and he says, I am absolutely stunned and appalled.
[00:42:18.110 --> 00:42:19.670]  At how Zelensky behaved.
[00:42:19.849 --> 00:42:23.250]  And I am so proud of President Donald Trump for standing up to America.
[00:42:23.650 --> 00:42:27.670]  And Alex and I were in the backup studio about ready to do a Saturday broadcast.
[00:42:28.070 --> 00:42:31.849]  And we're like, that's unbelievable that Lindsey Graham has now abandoned Zelensky.
[00:42:31.949 --> 00:42:33.849]  Because Lindsey Graham forever has loved war.
[00:42:33.969 --> 00:42:40.889]  I mean, if you look at pictures or footage from his office, he's got a big placard where he's shaking hands with George Bush and some major war legislation that he passed.
[00:42:40.969 --> 00:42:43.110]  And it's got the pen that was used to sign it in the glass case.
[00:42:43.210 --> 00:42:47.329]  I mean, he's just so proud of the police state, of this neoconservative movement that he's launched.
[00:42:48.900 --> 00:42:52.360]  Facilitated, endorsed, supported, catalyzed, however you want to frame it.
[00:42:53.159 --> 00:43:00.639]  And my first thought was, uh-oh, there must be another war lined up because Lindsey Graham doesn't give up on war so easily.
[00:43:00.780 --> 00:43:01.320]  He loves it.
[00:43:01.340 --> 00:43:02.179]  He loves the kickback.
[00:43:02.199 --> 00:43:03.940]  He loves the military-industrial complex.
[00:43:04.000 --> 00:43:07.400]  He loves the money that he gets from our allies when there's a major conflict.
[00:43:07.599 --> 00:43:10.639]  He's wanted war with Iran ever since before 9-11.
[00:43:10.880 --> 00:43:14.840]  He's wanted war with Iran ever since 1995. People started talking about how it was going to happen.
[00:43:16.799 --> 00:43:24.380]  And Lindsey Graham comes out, abandons Zelensky, and within like a week, it's like we're on the cusp of war with Iran.
[00:43:24.539 --> 00:43:24.679]  Boom!
[00:43:24.800 --> 00:43:25.300]  Makes sense.
[00:43:25.900 --> 00:43:26.480]  Nailed it.
[00:43:27.099 --> 00:43:34.920]  That's why Lindsey Graham was so eager to just drop the ball in Ukraine, because we're going to have to just allocate all the same resources we've been spending in Ukraine for this major conflict with Iran.
[00:43:34.920 --> 00:43:36.360]  That's what's going to happen next.
[00:43:36.360 --> 00:43:37.280]  This war is over.
[00:43:37.440 --> 00:43:37.980]  On to the next.
[00:43:38.099 --> 00:43:39.619]  We've got a next gig lined up.
[00:43:39.679 --> 00:43:42.440]  This is clip number 70. Iran literally tried to assassinate Donald Trump.
[00:43:42.559 --> 00:43:43.119]  Let's watch that.
[00:43:45.340 --> 00:43:54.600]  It's Iran and their proxies who threaten to retaliate against you and your team by killing you guys for taking out Soleimani.
[00:43:54.600 --> 00:44:01.369]  Well, they haven't done that, and that would be a terrible thing for them to do now.
[00:44:01.380 --> 00:44:02.219]  Not because of me.
[00:44:02.440 --> 00:44:04.699]  If they did that, they would be obliterated.
[00:44:05.199 --> 00:44:06.059]  That would be the end.
[00:44:06.119 --> 00:44:07.119]  I've left instructions.
[00:44:07.719 --> 00:44:10.260]  If they do it, they get obliterated.
[00:44:10.599 --> 00:44:11.739]  There won't be anything left.
[00:44:12.710 --> 00:44:14.469]  And they shouldn't be able to do it.
[00:44:14.570 --> 00:44:16.510]  And Biden should have said that, but he never did.
[00:44:16.690 --> 00:44:18.789]  I don't know why, lack of intelligence, perhaps.
[00:44:19.190 --> 00:44:20.449]  But he never said it.
[00:44:21.909 --> 00:44:29.250]  If that happens to a leader, or close to a leader, frankly, if you had other people involved also.
[00:44:29.590 --> 00:44:34.510]  Yeah, and they're trying and trying and trying to link Iran to the death of Trump because they're trying to kill him again.
[00:44:36.119 --> 00:44:41.679]  Alex Jones has been sounding the alarm on this for many months, years really, but especially in the last six months.
[00:44:42.139 --> 00:44:45.360]  Surface to air missiles, surface to air missiles, surface to air missiles, surface to air missiles.
[00:44:45.480 --> 00:44:46.500]  He said it over and over again.
[00:44:46.780 --> 00:44:48.019]  A million bajillion times.
[00:44:48.019 --> 00:44:49.239]  We have a promo somewhere of it.
[00:44:49.320 --> 00:44:50.119]  Maybe the crew can find it.
[00:44:50.179 --> 00:44:50.579]  It's not important.
[00:44:52.579 --> 00:44:56.539]  And what they want is they want to kill Trump because they're globalists and leftists.
[00:44:56.639 --> 00:44:58.380]  And then they want to blame Iran for it.
[00:44:58.460 --> 00:44:59.800]  So A, they get away with it.
[00:44:59.860 --> 00:45:04.800]  And B, they can justify this massive war with Iran for a litany of reasons.
[00:45:05.179 --> 00:45:16.679]  That support our national security apparatus' political agenda, its Machiavellian, utilitarian agenda of sacrificing the lives and rights of innocent people for the sake of some greater goal they deem justifies these massive crimes against humanity.
[00:45:18.519 --> 00:45:24.599]  The only reason we have conflict with Iran is because the dollar is a lie and we constantly freeze all of their money.
[00:45:25.599 --> 00:45:34.480]  And so they do everything they can to conspire behind our backs to subvert the dollar as the global reserve currency, because as long as the dollar is the global reserve currency, we're going to be able to squeeze all their bank accounts.
[00:45:34.619 --> 00:45:35.420]  Yes, they hate us.
[00:45:35.840 --> 00:45:37.239]  Yes, they do hate the infidels.
[00:45:37.360 --> 00:45:38.739]  Yes, they do hate Israel and the Jews.
[00:45:39.000 --> 00:45:39.800]  Yes, they're bigoted.
[00:45:39.980 --> 00:45:42.659]  Yes, 40% of their population is married to its first or second cousin.
[00:45:42.860 --> 00:45:45.000]  Yes, they're violent, mentally ill, terrible people.
[00:45:45.139 --> 00:45:47.440]  But the reason they hate us is because of blowback.
[00:45:47.579 --> 00:45:48.880]  Ron Paul has said it a million times.
[00:45:48.880 --> 00:45:51.119]  It's because we always screw with them.
