# Transcription model: large-v3
[00:00:27.980 --> 00:00:30.780]  InfoWars. InfoWars.
[00:50:33.409 --> 00:50:36.469]  You've got the Mark Carney's now who are leading Canada.
[00:50:36.570 --> 00:50:38.789]  86% support from the leftist party.
[00:50:38.849 --> 00:50:41.010]  Only 150,000 Canadians allowed to vote for him.
[00:50:41.010 --> 00:50:41.809]  Now he's running Canada.
[00:50:41.929 --> 00:50:43.150]  He's from the Bank of England.
[00:50:43.289 --> 00:50:45.409]  He's from the Bank of Canada.
[00:50:45.590 --> 00:50:47.510]  He's from the International Bank of Settlements.
[00:50:47.550 --> 00:50:51.789]  He went to Oxford and I think Harvard.
[00:50:51.929 --> 00:50:55.429]  So he was Ivy League here and then Royal League, whatever the hell you call it in England.
[00:50:56.159 --> 00:51:00.900]  This is a man who's never worked with his own hands in his life, never made anything, and I know he's tough.
[00:51:00.960 --> 00:51:04.659]  He runs his little marathons and he believes in fitness and stuff, but this is a paper pusher.
[00:51:04.719 --> 00:51:12.679]  I mean, these are people who deal in the exploitation of other people's productivity, who try to trade and bet on who's going to be most productive without themselves being productive.
[00:51:13.480 --> 00:51:24.639]  And we've created an entire culture around that where we spend like $50,000 I'm told for Fauci to give a speech at some college this week, he was paid 50 grand to speak at some college this week.
[00:51:24.699 --> 00:51:34.579]  What the hell has that guy ever done other than inoculate millions upon millions of people with poison and give an entire generation of Americans AIDS through contaminated medicine while getting away with it?
[00:51:35.679 --> 00:51:36.699]  Paper pushers.
[00:51:36.920 --> 00:51:40.699]  What has this political class done other than push paper?
[00:51:40.780 --> 00:51:42.780]  At least Donald Trump built buildings.
[00:51:42.980 --> 00:51:44.960]  What's more real than a building?
[00:51:45.059 --> 00:51:47.320]  Even Ayn Rand herself said there was nothing more beautiful.
[00:51:47.920 --> 00:51:55.119]  In the world than the New York City skyline because it was a testament to what man could accomplish through capitalism.
[00:51:55.219 --> 00:51:58.599]  She's talking about New York City in the 50s, 40s, 30s when she came over.
[00:51:59.079 --> 00:52:09.619]  After the Soviets ransacked her father's pharmacy and took everything from her family, she came over here as a staunch capitalist and she knew that those who build things are the only people who matter.
[00:52:09.699 --> 00:52:10.699]  And that's what Donald Trump does.
[00:52:10.800 --> 00:52:15.300]  Not only does he build buildings, not only does he make deals, but now he's building back America.
[00:52:15.360 --> 00:52:16.980]  He's making America great again.
[00:52:17.079 --> 00:52:18.500]  And these tariffs are just the first step.
[00:52:18.579 --> 00:52:23.619]  And I'm glad he's doing it now because now we have time to heal from the initial pain of a recovery.
[00:52:23.659 --> 00:52:25.000]  Right now we're in physical therapy.
[00:52:25.920 --> 00:52:28.539]  You get a surgery because you need a surgery to get better.
[00:52:29.000 --> 00:52:32.659]  And after the surgery, for a little while, you feel worse than before the surgery.
[00:52:32.940 --> 00:52:38.119]  Your knee's bothering you a little bit before the surgery, so you get a knee replacement immediately after the surgery.
[00:52:38.360 --> 00:52:40.980]  You're actually having a harder time getting around than before the surgery.
[00:52:41.039 --> 00:52:46.380]  Then you go to physical therapy, and it's painful, and you work it out, and then you're running marathons again.
[00:52:46.659 --> 00:52:48.179]  Then you're better than you ever were.
[00:52:48.239 --> 00:52:50.940]  Your new knee's better than the one you were even born with in some cases.
[00:52:51.989 --> 00:52:54.750]  That's what we're experiencing right now with this trade war.
[00:52:54.849 --> 00:53:06.409]  These tariffs have the initial pain of a surgery, a necessary life-saving surgery, and we're going through the physical therapy as we figure out how to source products from Mexico or from India or domestically.
[00:53:06.940 --> 00:53:08.639]  And prices are going to go up for a little while.
[00:53:08.780 --> 00:53:20.380]  But in the end, when we get through this economic therapy that we're going through, we are going to be much better off than we were before, and we will have prevented an inevitable disaster when the Chinese demographic implosion is complete.
[00:53:20.539 --> 00:53:23.159]  Folks, Harrison Smith is joining me on the other side of this break.
[00:53:23.239 --> 00:53:25.500]  In the meantime, go to TheAlexJonesStore.com.
[00:53:26.559 --> 00:53:28.219]  Ultramethylene Blue is flying off the shelves.
[00:53:28.380 --> 00:53:32.320]  We ordered so many bottles, and we're worried that we're not going to have enough.
[00:53:32.440 --> 00:53:35.820]  So the best way to ensure that you will always get it is to subscribe.
[00:53:36.559 --> 00:53:41.760]  You can cancel your subscription anytime, even if you just buy it as a subscription and then cancel it right away, you can.
[00:53:41.940 --> 00:53:43.480]  You get 50% off when you subscribe.
[00:53:43.639 --> 00:53:45.019]  It's the cheapest way to get it by far.
[00:53:45.440 --> 00:53:49.559]  Plus, it ensures that you'll always get your bottle every month, even if we're out of stock to the general public.
[00:53:49.659 --> 00:53:57.280]  So please, go to the alicejonesstore.com right now, subscribe for 50% off to Ultra Methylene Blue, experience the benefits, all while keeping InfoWars on the air.
[00:53:57.340 --> 00:53:59.420]  Stay with us for Harrison Smith joining me on the other side.
[00:53:59.539 --> 00:54:02.579]  I want to make a massive announcement right now.
[00:54:03.699 --> 00:54:05.679]  And I'm so blown away by this.
[00:54:06.219 --> 00:54:15.280]  This is the most exciting thing, quote, supplement-wise, I've ever done in decades in my career, in my research.
[00:54:15.519 --> 00:54:20.519]  Okay? Now, decades ago, we looked at selling you methylene blue.
[00:54:20.679 --> 00:54:23.139]  The problem is you couldn't get pharmaceutical grade.
[00:54:23.340 --> 00:54:24.960]  It was something nobody knew about.
[00:54:25.119 --> 00:54:28.860]  Now, because the world's awakened to it, there's a bunch of pharmaceutical grade makers of it.
[00:54:28.940 --> 00:54:33.300]  My doctors, medical doctors, clinics all over the state said, you need to get on methylene blue.
[00:54:33.789 --> 00:54:34.750]  Told me how to buy it online.
[00:54:34.989 --> 00:54:37.210]  Be sure to get USP, which means pharmaceutical grade.
[00:54:38.150 --> 00:54:39.170]  I take it here and there.
[00:54:39.630 --> 00:54:41.110]  Feels like you're plugged into electricity.
[00:54:42.050 --> 00:54:43.750]  It gives you really clean energy.
[00:54:43.909 --> 00:54:44.889]  And I thought, yeah, this is great.
[00:54:44.989 --> 00:54:46.829]  Robert F. Kennedy Jr. is the HHS head.
[00:54:46.909 --> 00:54:47.710]  He talks about how great it is.
[00:54:47.750 --> 00:54:48.730]  He takes a whole bunch of it.
[00:54:49.210 --> 00:54:55.190]  So, we've had the new Methylene Blue in, now available at the AlexJonesStore.com for about a week.
[00:54:55.269 --> 00:54:56.210]  And I already had mine.
[00:54:56.449 --> 00:54:58.050]  And I'm like, yeah, I'm sure it's all USP.
[00:54:58.070 --> 00:54:58.590]  I'm sure it's great.
[00:54:59.130 --> 00:55:00.750]  I'm like, oh yeah, I'll remember to take mine.
[00:55:00.829 --> 00:55:02.130]  It was just another brand my doctor recommended.
[00:55:02.670 --> 00:55:15.289]  And then yesterday at about 3 o'clock, I'm watching them shoot B-roll for our new Methylene Blue that's from one of the top makers in the United States that supplies the big box stores that have it and sell it for $10 more than we do.
[00:55:15.409 --> 00:55:16.429]  It's a big bottle too.
[00:55:17.070 --> 00:55:18.570]  Ultra Methylene Blue.
[00:55:18.690 --> 00:55:20.889]  The highest grade strength USP.
[00:55:20.969 --> 00:55:24.550]  I take a dropper and put it in my iced tea.
[00:55:24.710 --> 00:55:25.650]  I drink it.
[00:55:26.079 --> 00:55:27.219]  And I'm not a placebo guy.
[00:55:27.280 --> 00:55:27.699]  I'm like, okay.
[00:55:27.920 --> 00:55:32.400]  Before I figure out, you know, the one my doctor told me to get, I'm sure, we'll see if it's as good.
[00:55:32.619 --> 00:55:53.599]  Fifteen minutes later, I feel my hair on my body standing up and I feel actually an electric current in my, through my fingers in my hands and running up my back and I start, I'll be honest, I start itching and I go take my shirt off and look in the mirror because I'm itching and My skin wasn't like hives.
[00:55:53.599 --> 00:55:54.199]  It wasn't a rash.
[00:55:54.380 --> 00:55:56.360]  My skin turned red.
[00:55:56.940 --> 00:55:58.119]  Not bright red, but red.
[00:55:58.639 --> 00:55:59.380]  I already got...
[00:55:59.380 --> 00:56:01.320]  You know, I tan easily.
[00:56:01.360 --> 00:56:03.340]  There's a little bit of Native American in me, so I've always got a little bit of a tan.
[00:56:03.420 --> 00:56:05.519]  Anyways, even though I'm not getting any sun, I've still got a little bit of a tan.
[00:56:05.679 --> 00:56:06.340]  But it was like...
[00:56:06.340 --> 00:56:07.260]  It was like glowing.
[00:56:07.500 --> 00:56:07.940]  I was like, what the...
[00:56:07.940 --> 00:56:09.519]  And Chase Guy was like, yeah.
[00:56:10.139 --> 00:56:11.440]  Yeah, and he looks like a mad scientist.
[00:56:11.500 --> 00:56:12.599]  I'll be taking a lot of it.
[00:56:12.599 --> 00:56:13.079]  His hair's like...
[00:56:13.079 --> 00:56:14.860]  And I'm like, okay, okay.
[00:56:15.639 --> 00:56:32.659]  And then I just, I mean, I swear to, I swear, okay, you know, for the support of God, I'm just saying, I swear on my children, okay, do not take the full dose, because I drank half the glass, put it down, was busy, forgot to drink the rest, and didn't drink the other half.
[00:56:33.800 --> 00:56:39.340]  I'm still sitting here this morning, because I'm sitting around here doing work when I drink it, and it's insane.
[00:56:39.420 --> 00:56:43.260]  So, it would take hours to go in to why it's so amazing.
[00:56:43.739 --> 00:56:45.460]  And later in the broadcast, I'll cover the big news.
[00:56:45.500 --> 00:56:46.380]  I'm going to go over it.
[00:56:46.400 --> 00:56:48.000]  But it is just beyond spectacular.
[00:56:48.639 --> 00:56:51.320]  And by the way, we're going to have one that comes out that isn't flavored.
[00:56:51.460 --> 00:56:52.380]  The guys thought it was great.
[00:56:52.480 --> 00:56:53.559]  It's all natural, organic.
[00:56:53.699 --> 00:56:58.179]  It's just pure vanilla and mint from the mint plant.
[00:56:58.360 --> 00:56:59.460]  Oil, essential oil in it.
[00:56:59.920 --> 00:57:00.960]  So it doesn't taste bad.
[00:57:01.019 --> 00:57:01.739]  It actually tastes good.
[00:57:02.059 --> 00:57:06.920]  This is the purest, strongest, and the only one out there that has natural, delicious flavoring in it.
[00:57:07.079 --> 00:57:09.440]  We got the best methylene blue, hands down.
[00:57:10.079 --> 00:57:16.639]  I was already told it was the top firm, supplies to the medical centers, where it's not prescription, but doctors everywhere have been telling me to get on it for years.
[00:57:17.539 --> 00:57:20.480]  And there was so many attacks and systems on it.
[00:57:20.860 --> 00:57:22.980]  I just, you know, we're a big target on it.
[00:57:23.119 --> 00:57:26.780]  But as soon as HHS came out, had endorsed it and all this stuff, it's everywhere now.
[00:57:27.159 --> 00:57:28.260]  I'm like, okay, get us the best.
[00:57:28.320 --> 00:57:28.760]  And we got it.
[00:57:29.219 --> 00:57:31.679]  And boy, I tell you, if we can get enough of it, it's going to solve our issues.
[00:57:31.860 --> 00:57:32.900]  Funding will only be able to expand.
[00:57:33.199 --> 00:57:36.400]  A third of what we got just sold out in the last hour.
[00:57:36.699 --> 00:57:40.239]  So... I had a feeling about this because I told you what it did and that's all true.
[00:57:40.639 --> 00:57:42.559]  So I've taken another Methylene Blue and it had a good effect.
[00:57:42.659 --> 00:57:47.980]  This other stuff that says it's USP, that means pharmaceutical grade, must not be.
[00:57:49.000 --> 00:57:50.900]  I mean, this is unbelievable.
[00:57:51.519 --> 00:57:55.800]  Get your Ultra Methylene Blue now at TheAlexJonesStore.com while you can.
[00:57:59.519 --> 00:58:01.460]  Are you a panicking PBD?
[00:58:03.579 --> 00:58:05.739]  No, I'm just happy the fact that he's up.
[00:58:06.360 --> 00:58:07.880]  Coming through on the promises that he made.
[00:58:07.960 --> 00:58:09.000]  People have to realize this.
[00:58:09.079 --> 00:58:13.280]  A lot of people are like, well, he's trying to make the economy drop and lose all this money.
[00:58:13.340 --> 00:58:22.840]  Since 1988, when he was on Oprah Winfrey, he talked about the fact that America wasn't negotiating properly on our behalf, on tax pay, on us citizens.
[00:58:23.019 --> 00:58:24.260]  They weren't doing a good job at it.
[00:58:24.340 --> 00:58:25.579]  He's been saying this for a long time.
[00:58:25.639 --> 00:58:26.500]  It's been 37 years.
[00:58:26.639 --> 00:58:30.500]  And when he campaigned, he specifically said his favorite word is terror.
[00:58:30.659 --> 00:58:32.079]  How many times did he say it?
[00:58:32.219 --> 00:58:34.000]  Over and over and over again.
[00:58:34.039 --> 00:58:35.320]  So the people that are surprised.
[00:58:35.800 --> 00:58:36.639]  What's going on?
[00:58:36.679 --> 00:58:39.760]  Should be a little bit stepping back and pausing and taking the time out.
[00:58:39.840 --> 00:58:41.559]  I will give you one thing for us to be thinking about.
[00:58:41.679 --> 00:58:45.519]  Back in 1996, Nancy Pelosi has given a speech.
[00:58:45.820 --> 00:58:54.039]  She's talking about the fact that how unfair it is for China to be charging us 35% on tariffs while we're only charging 2%.
[00:58:54.039 --> 00:59:03.579]  And how the fact that their 2% that they pay only made 170,000 jobs in America, but our 35% helped China create 10 million jobs.
[00:59:03.699 --> 00:59:05.420]  How unfair of this this is.
[00:59:05.769 --> 00:59:06.670]  That sounded right.
[00:59:06.909 --> 00:59:07.969]  She made sense.
[00:59:08.150 --> 00:59:14.989]  Except they couldn't execute until a guy like Trump showed up where he knows how to negotiate and he's saying, no, we're not playing this game.
[00:59:15.110 --> 00:59:19.090]  My biggest thing is watching how this negotiation with China is going to take place.
[00:59:19.409 --> 00:59:20.630]  I have a feeling.
[00:59:21.079 --> 00:59:25.099]  They're soon going to be knocking on the door saying, let's figure out a deal here, but I don't know how long that's going to take.
[00:59:25.440 --> 00:59:34.159]  So do you think he's going about it in the right way by taking on the entire world all at once instead of going at each individual nation?
[00:59:34.559 --> 00:59:40.699]  And do you think these deals are going to be cut bilaterally or one big, beautiful deal at Mar-a-Lago?
[00:59:42.679 --> 00:59:47.880]  No, I think he's doing it the right way because you're steering the pot to see who's going to be the first.
[00:59:48.159 --> 00:59:49.619]  50 people are calling us.
[00:59:49.929 --> 00:59:51.150]  Vietnam already agreed.
[00:59:51.329 --> 00:59:52.889]  Another country already called.
[00:59:52.969 --> 00:59:57.369]  There has to be a spirit of competition and urgency where everybody's moving.
[00:59:57.429 --> 01:00:01.190]  If he does it methodical, one by one by one, one could slow it down.
[01:00:01.250 --> 01:00:07.369]  And on top of that, if you don't do it fast now collectively, midterms around the corner, then what happens with midterms?
[01:00:07.429 --> 01:00:13.050]  So then that's going to be a bloodbath at midterms if they're not executing this accordingly in a very urgent manner.
[01:00:13.150 --> 01:00:14.389]  I think they're doing it the right way.
[01:00:14.449 --> 01:00:17.829]  If we're going to do it, the last thing you want to do is one by one by one.
[01:00:17.909 --> 01:00:19.369]  Just take the whole thing off.
[01:00:19.630 --> 01:00:20.389]  Let's negotiate.
[01:00:20.570 --> 01:00:21.690]  It's going to be nasty.
[01:00:21.769 --> 01:00:22.489]  It's going to be ugly.
[01:00:22.590 --> 01:00:23.329]  It's going to be painful.
[01:00:23.469 --> 01:00:33.389]  But if we can get through the season, everything and the way deals have been done with other countries, it's going to be a whole new standard, which is good for the American people.
[01:00:33.570 --> 01:00:38.989]  Do other countries know that, that Trump's up against the clock with the midterms so they can wait him out?
[01:00:41.250 --> 01:00:42.269]  Absolutely they do.
[01:00:42.349 --> 01:00:43.150]  Of course they do.
[01:00:43.230 --> 01:00:46.590]  But you've got to realize, there's all these leverage cards that you have.
[01:00:47.130 --> 01:00:49.070]  Trump is just starting with tariffs, right?
[01:00:49.130 --> 01:00:51.530]  It could be military.
[01:00:52.989 --> 01:00:53.690]  That's right.
[01:00:54.030 --> 01:00:59.889]  Military is the last resort we want to go to, but Trump has so many directions to go with.
[01:00:59.889 --> 01:01:03.070]  Protection deals and armament shipments, that kind of stuff.
[01:01:03.190 --> 01:01:06.349]  I'm not saying we nuke Vietnam if they don't do the deal.
[01:01:08.070 --> 01:01:13.550]  No, but what I would say is if I'm negotiating with Japan, this is what I would say.
[01:01:13.920 --> 01:01:16.019]  We've had a military base with you all these years.
[01:01:16.059 --> 01:01:17.639]  That's why we owe you a trillion dollars.
[01:01:17.880 --> 01:01:19.420]  We may need to cut that out.
[01:01:19.500 --> 01:01:22.579]  And hey, we're going to pull our military out and don't ask us for protection.
[01:01:22.820 --> 01:01:25.119]  All the leverage is on our side.
[01:01:25.280 --> 01:01:28.619]  The biggest one that I'm watching closely is China.
[01:01:28.820 --> 01:01:39.179]  And the thing I'm most interested in long term is to see how this negotiation with C.K. Hutchinson and the two ports at the Panama Canal, how is that going to be tied in?
[01:01:39.199 --> 01:01:43.039]  If they can figure out a way to get all of these deals done together.
[01:01:43.569 --> 01:01:48.989]  He may need to write Art of the Deal 2, because the way he's doing this negotiation, people are going to want to read it.
[01:01:49.110 --> 01:01:53.230]  Right. You throw the TikTok thing in there with China, you got a pretty big one.
[01:01:53.349 --> 01:02:01.610]  And I just wanted to follow up on something, because we mocked you for sending my wife a onesie, which I thought was kind of funny because she's young, but...
[01:02:02.000 --> 01:02:03.139]  You've made up for it.
[01:02:03.219 --> 01:02:05.800]  Your staff has now sent Georgina, my daughter.
[01:02:05.880 --> 01:02:06.800]  Oh, my God.
[01:02:06.940 --> 01:02:08.579]  We got more than just this.
[01:02:08.619 --> 01:02:09.739]  Just let the audience know.
[01:02:09.860 --> 01:02:11.019]  They emptied the warehouse.
[01:02:11.739 --> 01:02:13.059]  We got the humidors.
[01:02:13.059 --> 01:02:15.480]  It's putting the Fox shop to shame.
[01:02:15.760 --> 01:02:18.360]  So thank you, and thanks to your great staff.
[01:02:20.019 --> 01:02:21.219]  Well, that's Chris.
[01:02:21.719 --> 01:02:24.000]  Leo, everybody at vtmerch.com.
[01:02:24.119 --> 01:02:25.179]  They're doing a great job.
[01:02:25.300 --> 01:02:26.480]  I'm glad you got your gift.
[01:02:29.980 --> 01:02:32.800]  Alright folks, we'll be right back on the other side of this one minute break.
[01:02:32.840 --> 01:02:34.280]  I got Harrison Smith in studio.
[01:02:35.210 --> 01:02:36.250]  We've got so much to cover.
[01:02:36.309 --> 01:02:42.670]  We're going to talk about the tariffs, the trade wars that are going on right now, artificial intelligence, everything on the desk in terms of breaking news.
[01:02:42.769 --> 01:02:46.909]  Stay with us and don't forget we're going to have more reports from Alex Jones throughout the broadcast.
[01:02:47.130 --> 01:02:47.530]  Stay with us.
[01:02:47.580 --> 01:02:48.570]  One minute.
[01:02:48.570 --> 01:02:50.550]  All right, folks, I am Chase Geiser, your host today.
[01:02:50.550 --> 01:02:52.230]  Alex Jones is with Tucker Carlson today.
[01:02:52.230 --> 01:02:53.809]  He'll be back in studio tomorrow.
[01:02:53.809 --> 01:02:55.809]  So I am going to be your host throughout the broadcast.
[01:02:55.809 --> 01:03:04.710]  However, Alex has been sending in a litany of reports and we will be broadcasting original new content from Alex Jones throughout the remaining transmission.
[01:03:04.719 --> 01:03:06.519]  I am joined by the esteemed Harrison Smith.
[01:03:06.860 --> 01:03:08.880]  Harrison, it's always an honor and a pleasure to be with you.
[01:03:08.940 --> 01:03:10.380]  I really enjoy our time together on air.
[01:03:10.480 --> 01:03:11.199]  What's going on, man?
[01:03:11.920 --> 01:03:13.219]  Thanks for having me.
[01:03:13.300 --> 01:03:16.380]  A ton of stuff is going on, as you've been covering.
[01:03:16.460 --> 01:03:19.639]  Obviously, China is the big topic of discussion today, the tariffs.
[01:03:19.840 --> 01:03:20.940]  I think it's going well.
[01:03:21.039 --> 01:03:22.900]  I think it's going extremely well for Trump.
[01:03:23.389 --> 01:03:30.110]  You're not worried about your Amazon purchases going up in price because of these 400% tariffs on China that are going to come through?
[01:03:30.469 --> 01:03:31.469]  No, I'm not.
[01:03:31.550 --> 01:03:33.250]  I'm not actually worried about that, no.
[01:03:33.409 --> 01:03:42.289]  I tell you what, if all the prices of everything go up 400% on Amazon, but I have no income tax requirement, I'm happy.
[01:03:42.510 --> 01:03:44.369]  Sort of break even.
[01:03:44.769 --> 01:04:00.690]  Yeah, no, I think it's going to be a little bit painful at the beginning, but, you know, I keep pointing out, Trump gave this interview somewhat recently, it was probably only a week ago or so, and he's asked about the stock market, and he says, stop looking at the stock market, stop looking at it,
[01:04:00.730 --> 01:04:08.030]  it doesn't really matter, which is so strange for Trump to say, since he has always touted his stock market gains as a massive success.
[01:04:08.309 --> 01:04:11.880]  But what he said was, We in America deal quarter to quarter.
[01:04:12.239 --> 01:04:14.199]  China's over there planning for 100 years.
[01:04:14.300 --> 01:04:15.420]  They're planning a century ahead.
[01:04:15.659 --> 01:04:17.579]  We're worried about our returns next week.
[01:04:17.639 --> 01:04:18.920]  That's not a way you build a country.
[01:04:19.000 --> 01:04:21.860]  And he said, I'm trying to build the foundation of a strong country.
[01:04:22.239 --> 01:04:24.139]  And that does seem to be what he's doing.
[01:04:24.280 --> 01:04:27.139]  And, you know, honestly, there was this article.
[01:04:27.219 --> 01:04:29.280]  I just had it from Forbes.
[01:04:29.659 --> 01:04:32.500]  It's funny the way they're trying to report this is almost as if.
[01:04:33.380 --> 01:04:34.780]  As if this is a bad thing.
[01:04:34.960 --> 01:04:37.079]  But it says these donors gave big to Trump.
[01:04:37.159 --> 01:04:38.139]  They just lost billions.
[01:04:38.360 --> 01:04:45.860]  And they're admitting that, you know, the people really hurt by Liberation Day or affected by these tariffs are the billionaires.
[01:04:45.860 --> 01:04:47.199]  They're the one percent of the one percent.
[01:04:47.199 --> 01:04:50.680]  They're the top most, you know, the people with the most money in the stock market.
[01:04:50.680 --> 01:04:51.769]  They're the ones losing out.
[01:04:51.949 --> 01:04:55.980]  This is really a very populist agenda Trump is pursuing.
[01:04:55.980 --> 01:05:02.010]  It is the best possible thing that could be done to actually fulfill some of the things that Trump detractors want.
[01:05:02.219 --> 01:05:05.710]  You know, they hate billionaires because they're socialist more.
[01:05:05.719 --> 01:05:07.900]  Billionaires. Just are jealous, I guess.
[01:05:08.039 --> 01:05:09.340]  I don't hate billionaires.
[01:05:09.360 --> 01:05:13.400]  I don't think billionaires' mere existence is an act of unfairness.
[01:05:13.400 --> 01:05:15.980]  Right, nobody's poor because somebody's rich, unless it's George Soros.
[01:05:16.059 --> 01:05:30.139]  Yeah, I don't hold any grudges for these people, but I do recognize the damaging effects that inequality has on this country and the diminishing or largely eradicated middle class in this country that has been our source of power for so long is being diminished and eradicated.
[01:05:30.219 --> 01:05:31.739]  So, I, you know...
[01:05:31.949 --> 01:05:33.150]  I'm happy for this, but it's funny.
[01:05:33.250 --> 01:05:40.530]  They're trying to basically say, well, it's bad that these billionaires are losing money because it shows that Trump is betraying his friends.
[01:05:40.670 --> 01:05:41.750]  And it's like, what do you people want?
[01:05:41.809 --> 01:05:42.690]  Well, they're not even losing money.
[01:05:42.789 --> 01:05:44.269]  You only lose the money if you sell.
[01:05:44.730 --> 01:05:48.550]  They're holding their stocks and they'll bounce back when the supply chain is reverted.
[01:05:48.750 --> 01:05:51.510]  And actually, I want to show a clip, E.E., Elephant, Elephant.
[01:05:51.530 --> 01:05:53.789]  It's the Marco Rubio clip in a second, guys.
[01:05:54.460 --> 01:05:59.059]  But it's funny because, just like you said, we have AOC wearing the eat the rich dress.
[01:05:59.340 --> 01:06:02.719]  Right. We've got the leftists talking about billionaires paying their fair share.
[01:06:02.780 --> 01:06:04.900]  Elizabeth Warren has said it countless disgusting times.
[01:06:04.980 --> 01:06:06.320]  Bernie Sanders has said it countless times.
[01:06:06.460 --> 01:06:10.440]  And Amy Klobuchar is coming out and bitching about these tariffs.
[01:06:10.840 --> 01:06:16.179]  And I look up, Ankurak, who her largest donors are, Wells Fargo, Comcast.
[01:06:16.260 --> 01:06:22.619]  She's got 17 billionaire donors, which is more than any other Democrat except for Hillary Clinton, Joe Biden, and Kamala Harris.
[01:06:23.249 --> 01:06:27.588]  So she is like the number one funded Democrat by the billionaire political class elite.
[01:06:27.599 --> 01:06:31.758]  And they're talking about eating the rich and the billionaires paying their fair share.
[01:06:31.758 --> 01:06:38.548]  But the reason they hate these tariffs is because it's impacting the Wells Fargo's in the finance department and in the billionaire class.
[01:06:38.597 --> 01:06:42.419]  But I want to show this clip because it's exactly what you were saying, Harrison, from Marco Rubio.
[01:06:42.419 --> 01:06:49.489]  This was actually the most impressed that I've ever been with Marco Rubio because we remember the debates with him and Trump in 2016.
[01:06:50.159 --> 01:06:53.059]  And Trump made the hilarious quips about how he's always sweat.
[01:06:53.059 --> 01:06:55.948]  Marco Rubio is always sweating and it's not exactly a poker face.
[01:07:00.150 --> 01:07:01.570]  So you see those.
[01:07:01.710 --> 01:07:04.269]  And then I saw this and I was like, holy shit, this guy is a powerhouse.
[01:07:04.329 --> 01:07:07.789]  I just didn't know it because he allowed himself to get branded as a pussy.
[01:07:08.230 --> 01:07:08.789]  Here's EE.
[01:07:08.949 --> 01:07:09.289]  Let's watch.
[01:07:10.119 --> 01:07:11.500]  Their economies are not crashing.
[01:07:11.599 --> 01:07:16.400]  Their markets are reacting to a dramatic change in the global order in terms of trade.
[01:07:16.679 --> 01:07:18.380]  And so what happens is pretty straightforward.
[01:07:18.739 --> 01:07:30.219]  If you're a company and you make a bunch of your products in China and all of a sudden shareholders or people that play the stock market realize that it's going to cost a lot more to produce in China, your stock is going to go down.
[01:07:30.519 --> 01:07:39.429]  But ultimately, the markets, as long as they know what the rules are going to be moving forward and as long as that's set and you can sustain where you're going to be, the markets We'll adjust.
[01:07:40.070 --> 01:07:44.409]  Businesses around the world, including in trade and global trade, they just need to know what the rules are.
[01:07:44.449 --> 01:07:46.809]  Once they know what the rules are, they will adjust to those rules.
[01:07:47.210 --> 01:07:49.909]  So I don't think it's fair to say economies are crashing.
[01:07:50.030 --> 01:07:57.329]  Markets are crashing because markets are based on the stock value of companies who today are embedded in modes of production that are bad for the United States.
[01:07:57.510 --> 01:08:03.010]  We have to be a country to think we're the largest consumer market in the world, and yet the only thing we export is services.
[01:08:03.309 --> 01:08:04.508]  And we need to stop that.
[01:08:04.510 --> 01:08:07.090]  We need to get back to a time where a country that can make things.
[01:08:07.099 --> 01:08:09.510]  And to do that, we have to reset the global order of trade.
[01:08:09.510 --> 01:08:11.370]  First thing is to leave it the way it is forever.
[01:08:11.370 --> 01:08:12.789]  I mean, this just can't continue.
[01:08:12.789 --> 01:08:15.170]  We can't continue to be a country that doesn't make things.
[01:08:15.170 --> 01:08:18.090]  We have to be able to make things to provide jobs for Americans.
[01:08:18.090 --> 01:08:19.890]  That's it.
[01:08:19.890 --> 01:08:20.529]  It's that simple.
[01:08:20.529 --> 01:08:21.760]  China is an example.
[01:08:21.789 --> 01:08:23.079]  I mean, it's outrageous.
[01:08:23.090 --> 01:08:24.389]  I mean, they don't consume anything.
[01:08:24.389 --> 01:08:29.909]  All they do is export and flood and distort markets in addition to all the tariffs and barriers they put in place.
[01:08:30.090 --> 01:08:37.829]  So the president rightly has concluded that the current status of global trade is bad for America and good for a bunch of other people.
[01:08:37.829 --> 01:08:38.769]  And he's going to reset it.
[01:08:38.769 --> 01:08:39.810]  And he's absolutely right to do.
[01:08:45.920 --> 01:08:46.720]  In reality, yeah.
[01:08:46.739 --> 01:08:47.899]  Yeah, the economy isn't crashing.
[01:08:48.000 --> 01:08:51.180]  Maybe the stock market is for like a day, but they're not the same thing.
[01:08:51.260 --> 01:08:56.500]  And especially since between 2020 and 2024, 40% of all dollars ever printed were printed.
[01:08:56.859 --> 01:08:59.340]  And when those dollars are printed, they go into the banks.
[01:08:59.460 --> 01:09:24.800]  And when the banks don't have businesses to loan that money to or other investment opportunities or mortgages, I heard something in my ear.
[01:09:28.020 --> 01:09:29.239]  Okay, let's go to Alex Jones.
[01:09:29.340 --> 01:09:30.920]  He's calling in with some breaking news.
[01:09:31.260 --> 01:09:33.180]  Alex Jones, you are live on the air.
[01:09:33.238 --> 01:09:34.018]  How are you today, sir?
[01:09:34.018 --> 01:09:36.157]  I'm fine.
[01:09:36.157 --> 01:09:40.747]  Now, I'm in a bad Internet space right now.
[01:09:40.778 --> 01:09:46.558]  By about 30 minutes, I'll be back in the city here in Florida, so I'll be able to make a connection via Zoom.
[01:09:46.569 --> 01:09:48.710]  ...from the road before I fly back to Austin.
