# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: e88e4929dc3fcfc98d92524c7c7cd4d1
[00:00:07.759 --> 00:00:08.240]  Christmas.
[00:56:12.560 --> 00:56:15.600]  Then, you know, you take an invasion and killing your industry.
[00:56:15.920 --> 00:56:18.800]  So nobody now anymore able to produce textile.
[00:56:19.040 --> 00:56:21.600]  And now what's going on with the automotive industry?
[00:56:21.840 --> 00:56:25.520]  Yes, of course, it should be, you know, carefully planned, carefully done.
[00:56:25.840 --> 00:56:35.680]  And if it's a mutual beneficial cooperation and beneficial trade with both countries, whether it's China and America or China and Russia, benefits.
[00:56:35.920 --> 00:56:44.640]  You know, don't forget there is also India there, you know, sitting and waiting their turn to be a huge world superpower with industrial might.
[00:56:44.800 --> 00:56:51.680]  You know, this definitely, there is a lot of this space for everybody, but we need to have a fair condition.
[00:56:52.000 --> 00:56:56.960]  We need to stop these globalists to play all the countries against each other.
[00:56:57.280 --> 00:57:03.600]  We need to stop them to manipulate basically, you know, financial system.
[00:57:03.920 --> 00:57:16.000]  We need to stop them destroying and poisoning with their big pharma, you know, our children and our food supplies and our drug supplies and medicine.
[00:57:16.320 --> 00:57:20.240]  Then everything will go normally because there is, you know, guess what?
[00:57:20.480 --> 00:57:30.160]  Entire humanity has a common sense, which is exactly the same, whether it's for Russians, whether it's for Americans, whether it's for normal Germans, French, or absolutely.
[00:57:30.720 --> 00:57:34.320]  We all have aligned common goals as pro-humanity.
[00:57:34.400 --> 00:57:35.440]  I know you've been here for an hour.
[00:57:35.600 --> 00:57:36.240]  This is so powerful.
[00:57:36.640 --> 00:57:39.600]  Five more minutes because I want to take a few more calls with Vickerboot.
[00:57:39.840 --> 00:57:40.519]  got to get a website.
[00:57:40.680 --> 00:57:45.719]  I know you're a regional leader and all that stuff, but man, it's always going to happen because you're definitely...
[00:57:45.719 --> 00:57:45.820]  It's coming.
[00:57:45.960 --> 00:57:46.759]  It's coming also.
[00:57:47.280 --> 00:57:47.520]  We love it.
[00:57:47.600 --> 00:57:48.800]  We'll be right back in two minutes.
[00:57:49.360 --> 00:57:50.240]  So I'm not giving up.
[00:57:50.320 --> 00:57:51.120]  I'm not going away.
[00:57:51.360 --> 00:57:54.000]  If they shut us down, I got the Ali Shows Network.
[00:57:54.080 --> 00:57:54.400]  I don't own.
[00:57:54.560 --> 00:57:55.120]  I'm going over there.
[00:57:55.280 --> 00:57:56.000]  You finance it.
[00:57:56.080 --> 00:57:56.640]  You paid for it.
[00:57:56.960 --> 00:57:57.440]  Your support.
[00:57:57.680 --> 00:58:00.480]  I'm just telling you, here's the weird paradox.
[00:58:00.800 --> 00:58:02.160]  I thought we'd be shut down last year.
[00:58:02.320 --> 00:58:04.640]  I thought we'd be shut down two months ago.
[00:58:05.760 --> 00:58:09.680]  The receiver won't let us order new product over at InfoWars.com.
[00:58:09.920 --> 00:58:11.920]  So we're in this paradox now where we're winning.
[00:58:12.240 --> 00:58:15.920]  And now they're like, well, you actually open in the middle of next year now and all this stuff.
[00:58:16.160 --> 00:58:18.640]  And there's no money because people believe it was going to shut down.
[00:58:18.800 --> 00:58:19.680]  Plus, there's no product.
[00:58:19.760 --> 00:58:22.080]  But I convinced the receiver.
[00:58:22.400 --> 00:58:27.600]  I said, can we at least make fundraising posters, which are very low cost, have a high markup?
[00:58:27.680 --> 00:58:28.880]  People know it's an investment.
[00:58:29.280 --> 00:58:30.320]  Just keep us on the aircraft.
[00:58:30.880 --> 00:58:31.520]  Yeah, you can do that.
[00:58:31.760 --> 00:58:35.840]  I can just tell you, we need your support right now at InfoWarshore.com.
[00:58:36.080 --> 00:58:37.920]  Three posters I designed.
[00:58:38.080 --> 00:58:38.800]  Well, two I designed.
[00:58:38.880 --> 00:58:39.920]  Rob is on the other one.
[00:58:40.240 --> 00:58:42.880]  Defend the West, famous Crusader King.
[00:58:43.360 --> 00:58:48.560]  Make no peace with evil because he do like text still image you mean and it is the bestseller.
[00:58:48.640 --> 00:58:56.880]  It's uh I've only begun to fight John Paul Jones and it's InfoWars 1997 to 2026.
[00:58:57.520 --> 00:59:02.640]  And yeah, you can buy unstarred for $25, big posters, glossy YouTube, or you get it for $100.
[00:59:03.040 --> 00:59:04.240]  You're like, God, that's huge markup.
[00:59:04.320 --> 00:59:05.280]  Yeah, it's a fundraiser.
[00:59:05.520 --> 00:59:08.960]  Like when commies give NPR 200 bucks for a ball cap, costs 15 bucks.
[00:59:09.120 --> 00:59:09.760]  That's the whole point.
[00:59:10.000 --> 00:59:11.120]  We're actually winning right now.
[00:59:11.280 --> 00:59:12.720]  I don't want to count Shannon's Flutter hatch.
[00:59:12.960 --> 00:59:13.920]  It's not the Democrats.
[00:59:14.000 --> 00:59:15.680]  It's not the DOJ holdovers.
[00:59:15.840 --> 00:59:16.800]  They're going to shut us down.
[00:59:17.120 --> 00:59:25.200]  If you don't go get these posters and you don't support us, and I'm not bitching, I'm just telling you, let's say you got to do it, then you'll be the ones that shut us down.
[00:59:25.520 --> 00:59:26.400]  This is a marathon.
[00:59:26.480 --> 00:59:28.400]  So please support us in FourShore.com.
[00:59:28.480 --> 00:59:29.200]  I need the money right now.
[00:59:29.280 --> 00:59:30.480]  It's like a Star Trek Rathicon.
[00:59:30.560 --> 00:59:31.920]  He goes, I need warp speed in three minutes.
[00:59:32.000 --> 00:59:32.480]  We're all dead.
[00:59:32.720 --> 00:59:33.120]  Scotty.
[00:59:34.080 --> 00:59:36.640]  I need warp speed in three minutes or we're all dead.
[00:59:37.280 --> 00:59:39.680]  And you guys have got us out of this over and over and over again.
[00:59:39.840 --> 00:59:40.800]  And me, I'm not giving up.
[00:59:40.960 --> 00:59:43.418]  We need to keep pushing because we've got their ass.
[01:00:14.000 --> 01:00:16.960]  You can run on for a long time.
[01:00:17.280 --> 01:00:18.080]  Well, run on.
[01:00:18.240 --> 01:00:19.520]  Heidi Defender of the Republic.
[01:00:19.600 --> 01:00:23.360]  I've seen her stuff for over a year, but I tell you, she just nails it.
[01:00:23.680 --> 01:00:25.040]  She knows what she's talking about.
[01:00:25.360 --> 01:00:28.000]  And she did a great breakdown of the color revolution that's going on.
[01:00:28.320 --> 01:00:32.720]  Notice Hex has been proven that he didn't order the second strike, but it was already default.
[01:00:33.040 --> 01:00:35.200]  It's been proven that he did anything wrong with Signal Gate, but they don't care.
[01:00:35.360 --> 01:00:36.000]  They just roll forward.
[01:00:36.080 --> 01:00:37.840]  It's all part of the undermining of the military.
[01:00:38.240 --> 01:00:40.720]  The president ahead of the big move, the false flag.
[01:00:41.040 --> 01:00:45.760]  Now that the CIA, the good elements, warned Jesse Waters last week.
[01:00:46.000 --> 01:00:49.600]  When you see Fox News saying they're getting ready to stage false flags, blame Trump for an overthrow.
[01:00:49.920 --> 01:00:52.800]  I mean, the good news is it shows how far we've come.
[01:00:53.120 --> 01:00:54.720]  Thanks to all you spreading the word.
[01:00:55.040 --> 01:00:58.240]  People really get out of the cow at the cabbage now.
[01:00:58.560 --> 01:01:01.760]  And once you get to that point of knowledge, evil doesn't have power anymore.
[01:01:01.920 --> 01:01:03.600]  It's like sunshine.
[01:01:03.920 --> 01:01:07.120]  So here's her report on the ongoing color revolution.
[01:01:07.200 --> 01:01:09.440]  We'll go to break, come back with her to cover the waterfront.
[01:01:09.760 --> 01:01:13.920]  Also, the press conference with Kash Patel and Pam Bondi just begun.
[01:01:14.000 --> 01:01:18.960]  We'll pop into that with the pipe bomber suspect arrested.
[01:01:19.280 --> 01:01:20.000]  Here's a report.
[01:01:20.320 --> 01:01:26.000]  You've now probably heard political experts over and over refer to the fact that what we're witnessing is a color revolution.
[01:01:26.320 --> 01:01:26.960]  And they're right.
[01:01:27.280 --> 01:01:28.480]  And let me explain why.
[01:01:28.800 --> 01:01:35.120]  A color revolution is a communist globalist playbook to take over a country without tanks actually rolling down Main Street.
[01:01:35.360 --> 01:01:40.160]  It's how they flipped places like Serbia, Georgia, Ukraine, and they tried to flip a dozen others.
[01:01:40.320 --> 01:01:42.960]  The same exact playbook every single time.
[01:01:43.280 --> 01:01:44.320]  This is how they do it.
[01:01:44.480 --> 01:01:48.480]  One, they demonize the leader of the people who they actually voted for.
[01:01:48.800 --> 01:01:53.120]  Two, they flood the country with chaos like riots, open borders, economic pain.
[01:01:53.440 --> 01:01:57.360]  Three, they weaponize the courts, the media, and big tech to finish him off.
[01:01:57.680 --> 01:02:02.560]  And four, they install a puppet who sells the country out to China and the UN.
[01:02:02.880 --> 01:02:03.920]  And that's not theory.
[01:02:04.080 --> 01:02:04.880]  That's the manual.
[01:02:05.040 --> 01:02:09.520]  They opened it on us in the United States the day Donald Trump won in 2016.
[01:02:09.840 --> 01:02:12.720]  And here's how they ran it on us step by step.
[01:02:13.040 --> 01:02:24.240]  From 2016 to 2020, they gave us the Russia collusion hoax, FBI spying, two fake impeachments, and Tifa burning cities while CNN called it fiery but mostly peaceful.
[01:02:24.480 --> 01:02:27.200]  And the goal was to make you hate the guy you voted for.
[01:02:27.520 --> 01:02:40.160]  In 2020, we had 2 a.m. ballot dumps, boarded up windows, 51 Intel agents lying about Hunter's laptop, Zuckerberg dropping $400 million to help count votes in Democrat cities.
[01:02:40.480 --> 01:02:45.840]  And the goal there was to steal the election while calling you a conspiracy theorist for noticing.
[01:02:46.080 --> 01:02:50.560]  From 2021 to 2024, we had Joe Biden opening the border on day one.
[01:02:50.880 --> 01:03:00.800]  12 million plus illegals, military-age men from China and Venezuela and all over the world, free flights, free hotels, free EBT cards, all on your dime.
[01:03:01.040 --> 01:03:04.480]  Cities collapse, crime explodes, schools and hospitals break.
[01:03:04.720 --> 01:03:08.560]  The goal to make Americans feel like strangers in their own country.
[01:03:08.880 --> 01:03:15.600]  Then from 2021 to 2025, 91 felony charges, mar-a-lago-raided gag orders, mug shots.
[01:03:15.920 --> 01:03:17.520]  They didn't want to just beat Trump.
[01:03:17.680 --> 01:03:21.920]  They wanted to break him and every future patriot who dares to run.
[01:03:22.160 --> 01:03:23.840]  Look at what they did to Charlie Kirk.
[01:03:24.080 --> 01:03:26.480]  That is a textbook color revolution.
[01:03:26.800 --> 01:03:34.560]  But on November 5th, 2024, the American people looked this Marxist coup dead in the eye and said, not today.
[01:03:34.880 --> 01:03:41.520]  312 electoral votes, popular vote landslide, the biggest Hispanic and black Republican turnout ever.
[01:03:41.840 --> 01:03:46.320]  We pulled off the greatest peaceful counter revolution in world history.
[01:03:46.640 --> 01:03:48.080]  But the deep state isn't done.
[01:03:48.400 --> 01:03:57.440]  The same snakes who funded BLM riots, Ukraine coup, and Arab Spring still sit in the FBI, CIA, big tech, and the universities.
[01:03:57.680 --> 01:04:02.320]  They'll try again in 2026 or in 2028, but now you know the game.
[01:04:02.640 --> 01:04:15.760]  Every time you see another mostly peaceful riot, sudden experts all using the same scripted words, a new crisis two weeks before an election, you're watching the Color Revolution playbook live on American soil.
[01:04:16.080 --> 01:04:18.160]  Never forget what they tried to do to us.
[01:04:18.480 --> 01:04:20.080]  Back mass deportations.
[01:04:20.400 --> 01:04:22.320]  If we have no border, we have no country.
[01:04:22.640 --> 01:04:26.800]  Protect every America first fighter willing to swing the axe on the swamp.
[01:04:27.120 --> 01:04:28.480]  Teach your kids the truth.
[01:04:28.800 --> 01:04:31.200]  Communism didn't die in 1991.
[01:04:31.440 --> 01:04:34.320]  It just dyed its hair purple and moved to Washington.
[01:04:34.640 --> 01:04:36.960]  This is still the United States of America.
[01:04:37.280 --> 01:04:42.080]  We are still the home of the brave, and the brave do not bow to color revolutions.
[01:04:42.400 --> 01:04:54.480]  Recognize what is happening, stare it in the face, speak out against it, and then we finish taking our country back, one closed border, one drain swamp, and one restored republic at a time.
[01:04:54.800 --> 01:04:59.040]  We need to support our president in taking all necessary measures.
[01:05:00.560 --> 01:05:05.040]  Challenging all of you to support the broadcast, keep us on air while you get great products.
[01:05:05.120 --> 01:05:06.000]  And it's a win-win.
[01:05:06.240 --> 01:05:06.880]  We need funds.
[01:05:07.200 --> 01:05:08.080]  We are in the red.
[01:05:08.240 --> 01:05:10.160]  And we've got to be able to continue our legal battles.
[01:05:10.400 --> 01:05:12.880]  We've got to be able to continue to buy a new product going in the future.
[01:05:13.040 --> 01:05:16.800]  We've got to continue with the funding to build the Alex Jones backup network in case they're able to shut us down.
[01:05:17.040 --> 01:05:18.000]  I cannot do it without you.
[01:05:18.160 --> 01:05:22.880]  So now is the time to go to thealejonstore.com and do your final grip of shopping there.
[01:05:23.040 --> 01:05:27.120]  Anywhere in the United States, if you order it by Friday, you will get it before Christmas.
[01:05:27.440 --> 01:05:29.200]  So get your orders in now.
[01:05:29.440 --> 01:05:38.560]  Do your Christmas shopping with us, but really give yourself the gift of health with our creatine gummies, the highest quality type of creatine, five milligrams that's a daily serving per coming.
[01:05:38.800 --> 01:05:40.000]  Huge container of them.
[01:05:40.160 --> 01:05:40.800]  Such a great deal.
[01:05:40.960 --> 01:05:42.480]  This is the best creatine out there.
[01:05:42.720 --> 01:05:45.760]  There's so many other great products and a whole bunch of other sales and deals.
[01:05:45.840 --> 01:05:52.320]  You can become a subscriber right now on any product, canceling time and it reorders every month and get 50% off all future orders.
[01:05:52.559 --> 01:06:00.179]  The widest selection of t-shirts, hoodies, ball caps, sweaters, many of them limited edition at thealexjonesstore.com.
[01:06:00.340 --> 01:06:09.958]  The front lines of the information war.
[01:06:10.219 --> 01:06:11.860]  It's Alex Jones.
[01:06:20.000 --> 01:06:22.320]  Now we got a really smart lady on with us.
[01:06:22.640 --> 01:06:28.720]  For the rest of the hour, Katie Defender of the Republic, real Defender 45 on X, but they're in the middle of the press conference.
[01:06:28.800 --> 01:06:30.160]  Ever she leaves, we'll get to more of it.
[01:06:30.480 --> 01:06:33.840]  I mean, I'll just tell you, I don't buy this at all.
[01:06:34.160 --> 01:06:38.480]  Nobody I know inside or outside the FBI is buying it, this pipe bomber thing.
[01:06:38.960 --> 01:06:42.240]  We have all this information come out after four plus years of suppression.
[01:06:42.880 --> 01:06:48.400]  For the first four years, Kyle Serafin writes, the FBI had their thumbs, you know where.
[01:06:49.520 --> 01:06:52.560]  For nine months, the new FBI had their thumbs, you know where.
[01:06:54.880 --> 01:06:58.880]  And then, number three, Steve Baker, USA, breaks the story three weeks ago.
[01:06:59.200 --> 01:07:01.520]  Four, CBS News debunks the story with puppies.
[01:07:01.680 --> 01:07:02.880]  Turns out to be made up.
[01:07:03.760 --> 01:07:06.960]  Literally, the woman's playing with puppies, so she couldn't be there.
[01:07:07.280 --> 01:07:10.640]  Alibi five, CBS News breaks the arrest story.
[01:07:10.960 --> 01:07:12.640]  Is it going to be some schizophrenic?
[01:07:12.880 --> 01:07:16.880]  It is like an anarchist nutball that's completely out of his mind.
[01:07:17.520 --> 01:07:19.680]  They sure move fast to find the pipe bomber.
[01:07:20.320 --> 01:07:23.280]  Once this all came out, doesn't look good.
[01:07:23.600 --> 01:07:24.960]  I haven't watched the press conference yet.
[01:07:25.040 --> 01:07:26.160]  It's ongoing.
[01:07:26.640 --> 01:07:29.760]  And just go to X. Everybody will have the best excerpts out of this.
[01:07:30.080 --> 01:07:32.000]  But I'm wondering where to get more deer in the headlights.
[01:07:32.160 --> 01:07:35.520]  Looks like Bongino and Patel look like they're political prisoners.
[01:07:35.840 --> 01:07:37.200]  And again, I want them to do good.
[01:07:37.360 --> 01:07:38.720]  I want to believe in them.
[01:07:39.040 --> 01:07:43.760]  It's just, I'm not going to sit here and pee on you and tell you it's raining.
[01:07:44.400 --> 01:07:48.160]  So this is pretty shocking stuff.
[01:07:48.480 --> 01:07:50.000]  Let's see what Pam Bonnie's saying.
[01:07:52.880 --> 01:07:54.320]  Good afternoon.
[01:07:54.960 --> 01:07:56.080]  Good afternoon.
[01:07:56.400 --> 01:08:10.960]  As you all know now, early this morning, Brian Cole Jr. was arrested and charged with placing the pipe bombs at the RNC and the DNC on January 5th, 2021.
[01:08:11.280 --> 01:08:11.920]  He has been charged with the market.
[01:08:12.080 --> 01:08:13.440]  The body language is not excited.
[01:08:14.880 --> 01:08:18.640]  The body language is we are in deepest because we joined the Democrats in the cover-up.
[01:08:18.880 --> 01:08:19.360]  This investigation is a very important thing.
[01:08:19.440 --> 01:08:20.960]  I'm just telling you, the body language ain't good.
[01:08:22.240 --> 01:08:23.280]  And Perino is a great lady.
[01:08:23.440 --> 01:08:24.800]  She's not looking too happy either.
[01:08:25.120 --> 01:08:27.280]  And there could be more charges to come.
[01:08:27.440 --> 01:08:30.560]  We'll let our U.S. attorney discuss that shortly.
[01:08:31.200 --> 01:08:35.520]  This was the work of multiple agencies working together.
[01:08:35.840 --> 01:08:40.400]  This morning's operation was carried out safely and successfully.
[01:08:40.720 --> 01:08:46.800]  We know that there are so many issues when you're issuing search warrants.
[01:08:47.120 --> 01:08:48.640]  Dangerous things can happen.
[01:08:48.880 --> 01:08:55.200]  And this was carried out safely and securely, thanks to all of the people standing around me.
[01:08:55.520 --> 01:08:57.760]  They have worked tirelessly on this.
[01:08:58.080 --> 01:09:05.120]  Today's arrest happened because the Trump administration has made this case a priority.
[01:09:05.440 --> 01:09:16.960]  The total lack of movement on this case in our nation's capital undermined the public trust of our enforcement agencies.
[01:09:17.280 --> 01:09:28.400]  This cold case languished for four years until Director Patel and Deputy Director Bongino came to the FBI.
[01:09:29.360 --> 01:09:36.080]  The FBI, along with U.S. Attorney Pierrow and all of our prosecutors, no, no one wanted to talk about it.
[01:09:36.240 --> 01:09:41.920]  We were told shut up until the Blaze broke their story and then instant movement.
[01:09:42.480 --> 01:09:47.360]  The FBI with the Biden administration for four long years.
[01:09:48.320 --> 01:09:49.120]  Let me be clear.
[01:09:49.280 --> 01:09:50.560]  There was no new tip.
[01:09:50.880 --> 01:09:52.640]  There was no new witness.
[01:09:53.200 --> 01:10:07.760]  Just good, diligent police work and prosecutorial work, working as a team, along with ATF, Capitol Police, Metropolitan Police Department, and of course, the FBI.
[01:10:08.320 --> 01:10:12.720]  We are working every day to restore the public's trust.
[01:10:13.040 --> 01:10:18.080]  We hope that today is a significant step towards that progress.
[01:10:18.400 --> 01:10:23.520]  We'll share more information when we can and when it unfolds.
[01:10:23.840 --> 01:10:36.640]  I cannot stress enough how hard Director Patel and Deputy Director Bongino have worked for months to make our nation's capital safer and to make our country safer.
[01:10:37.120 --> 01:10:39.520]  I'd like to introduce now Director Patel.
[01:10:41.760 --> 01:10:43.200]  Thank you, General.
[01:10:44.480 --> 01:10:56.320]  When you attack American citizens, when you attack our institutions of legislation, when you attack our nation's capital, you attack the very being of our way of life.
[01:10:56.640 --> 01:11:02.320]  And this FBI and this Department of Justice stand here to tell you that we will always refute it and combat it.
[01:11:02.640 --> 01:11:04.000]  We will provide the safest country.
[01:11:06.160 --> 01:11:07.280]  Let's go to the tidbits.
[01:11:07.360 --> 01:11:09.600]  X will grab all the most important stuff out.
[01:11:10.160 --> 01:11:12.160]  I'm just speechless at this point.
[01:11:13.360 --> 01:11:20.160]  I mean, you know, if you're going to cover up the pipe bombing, because it was the Democrats and all the rest of it, you're trying to protect the agency.
[01:11:20.240 --> 01:11:22.000]  So just shut up about it.
[01:11:23.520 --> 01:11:28.400]  Meanwhile, member O data dump one on Epstein stuff.
[01:11:28.480 --> 01:11:30.400]  The minute we got, I go, this is all old.
[01:11:31.360 --> 01:11:33.120]  And then listeners are mad at me going, you're sure?
[01:11:33.200 --> 01:11:33.920]  You're sure it's old?
[01:11:34.080 --> 01:11:35.760]  Yeah, I'm sure it's old.
[01:11:36.080 --> 01:11:54.480]  James O'Keefe yesterday, back in May, put out the stuff the Democrats just put out of inside Epstein's lair in the Caribbean at Little Pito Island, but they blacked out the names and stuff on the walls and on the phone.
[01:11:54.640 --> 01:11:56.320]  So they covered up.
[01:11:57.200 --> 01:11:59.840]  Where's the White House exposing that with their messaging?
[01:12:00.160 --> 01:12:03.520]  They got the old, another torture chair like they got all those other facilities.
[01:12:03.840 --> 01:12:10.800]  All right, I apologize to our guests for making her hold during this, but she can obviously speak to this.
[01:12:11.920 --> 01:12:16.160]  Kaidi, Defender of the Republic, on X at Real Defender 45.
[01:12:16.480 --> 01:12:21.920]  She is a force behind defender of the Republic and New Jersey-based political influencer and American First Advocate.
[01:12:22.240 --> 01:12:28.720]  She serves as the New Jersey Director of the Conservative Caucus, Preacher Latinos for American First and National Advisor to America First Veterans.
[01:12:28.880 --> 01:12:37.760]  Through her viral social media presence, she exposes corruption, defends constitutional values, mobilizes communities to protect the Republic, defender of the republic, not online.
[01:12:38.080 --> 01:12:40.000]  So we got a lot of subjects to get into.
[01:12:40.160 --> 01:12:44.560]  The color revolution we're in the middle of, Soros, other issues are happening.
[01:12:44.880 --> 01:12:46.640]  But just first off, big picture.
[01:12:46.720 --> 01:12:48.560]  What do you make of this pipe bomber thing?
[01:12:49.120 --> 01:12:53.360]  What do you make of the whole Islam going into its expansion phase?
[01:12:53.680 --> 01:12:56.080]  How would you grade the Trump administration 11 months in here?
[01:12:56.400 --> 01:12:57.760]  But I'm always impressed with your reports.
[01:12:57.920 --> 01:13:00.720]  Thank you so much for coming on and spending your time with us.
[01:13:01.040 --> 01:13:02.240]  Thanks for having me, Alex.
[01:13:02.320 --> 01:13:02.720]  It's funny.
[01:13:02.880 --> 01:13:06.240]  I did watch a little bit of that press conference before you just played it there.
[01:13:06.560 --> 01:13:24.400]  And listening to Pam Bondi saying that she wants to restore the trust that the public has in the FBI and the DOJ is interesting because the rest of that press conference played like a situation where they're just giving each other kudos and saying, look how great this person is.
[01:13:24.560 --> 01:13:28.080]  Look how great Pam Bondi is and Kash Patel.
[01:13:28.160 --> 01:13:31.360]  And, you know, that's the problem is that it's nails on a chalkboard.
[01:13:31.520 --> 01:13:33.120]  It's nails on a chalkboard.
[01:13:33.760 --> 01:13:36.240]  I mean, don't they know people don't like that?
[01:13:37.200 --> 01:13:38.000]  We're tired of it.
[01:13:38.080 --> 01:13:38.880]  We just want the truth.
[01:13:38.960 --> 01:13:43.600]  And if you want to restore trust, give us some things without us having to pressure you into it.
[01:13:43.840 --> 01:13:48.080]  If the Blaze hadn't put out their reporting today, probably never would have happened.
[01:13:48.400 --> 01:13:53.200]  And the fact that the public feels that way is not restoring trust whatsoever.
[01:13:53.520 --> 01:13:55.120]  Well, I mean, I need Trump to succeed.
[01:13:55.200 --> 01:14:02.240]  He's night and day to pray the Democrats, but being in a cult and just agreeing with him only helps the dirty elements in there stay in control.
[01:14:02.480 --> 01:14:06.320]  What is your overall gray of the Trump administration this far in?
[01:14:06.400 --> 01:14:07.840]  And what do you really like?
[01:14:08.080 --> 01:14:08.960]  What are you concerned about?
[01:14:09.520 --> 01:14:12.880]  And what's your gut level prognosis on the midterms, everything that's happening?
[01:14:13.200 --> 01:14:13.760]  Absolutely.
[01:14:13.920 --> 01:14:16.080]  I think President Trump is the man that we needed.
[01:14:16.400 --> 01:14:22.320]  The problem is, is that the people don't understand that the president is just the face of an administration.
[01:14:22.640 --> 01:14:23.360]  He's one man.
[01:14:23.520 --> 01:14:24.480]  He cannot do everything.
[01:14:24.720 --> 01:14:37.680]  So all of these people that are just saying, oh, the administration is doing great without looking at who's behind him, who's blocking him from doing what he needs to get done, who is causing the issues within his administration.
[01:14:38.000 --> 01:14:41.440]  The fact that people think that that is impossible bothers me.
[01:14:41.680 --> 01:14:48.160]  And right now, when it comes to the reasons we voted for this president, I am definitely not giving him an A here.
[01:14:48.480 --> 01:14:50.560]  There are way too many things that need to be done.
[01:14:50.880 --> 01:14:53.120]  A lot of questionable things that are happening.
[01:14:53.440 --> 01:14:57.680]  The endorsements that are coming out of this administration are extremely questionable.
[01:14:58.000 --> 01:15:04.960]  And the people that live in these states where these odd endorsements are coming from this administration are questioning why is this happening?
[01:15:05.280 --> 01:15:12.320]  And I can tell you, we really need to dig into the Susie Wiles and the Chris Lasavitas of this administration.
[01:15:12.560 --> 01:15:13.600]  Why are they doing this?
[01:15:13.920 --> 01:15:21.200]  And if we're not questioning what's happening around the president, then we're just as responsible for the problems that we're living through.
[01:15:22.160 --> 01:15:23.360]  Well, you're absolutely right.
[01:15:23.520 --> 01:15:24.880]  In fact, let's go there first.
[01:15:25.920 --> 01:15:27.920]  Since you mentioned, let's get into the questionable endorsements.
[01:15:28.160 --> 01:15:30.240]  People go, well, Lindsey Graham votes for Trump now.
[01:15:30.480 --> 01:15:32.640]  He'd be easy to primary and get a real Patriot in.
[01:15:32.960 --> 01:15:36.880]  Okay, but he's actually, Trump is endorsing people because I know he'll admit this.
[01:15:37.200 --> 01:15:38.160]  He's got a lot going on.
[01:15:38.320 --> 01:15:39.280]  He doesn't know each race.
[01:15:39.440 --> 01:15:40.000]  He's going off.
[01:15:40.080 --> 01:15:41.040]  Who's advising him?
[01:15:41.360 --> 01:15:46.880]  You've got some of these recommendations, some of these endorsements.
[01:15:46.960 --> 01:15:48.400]  Let's talk about some of these.
[01:15:49.040 --> 01:15:51.840]  Well, so I just, I live in New Jersey.
[01:15:52.160 --> 01:15:55.760]  I just saw a catastrophe happened within our state.
[01:15:56.080 --> 01:15:57.920]  And it started in the primaries.
[01:15:58.160 --> 01:16:10.080]  We had a true populist candidate who is an America First guy who's been in politics involved in all of the America First initiatives since before MAGA was a thing.
[01:16:10.400 --> 01:16:14.000]  And the true informed voters, Patriots supported him.
[01:16:14.320 --> 01:16:19.360]  He was the guy who supported the president from the day he went down the escalator.
[01:16:19.680 --> 01:16:26.800]  And somehow the president ends up endorsing a guy who called him a charlatan, who said he was an embarrassment.
[01:16:27.120 --> 01:16:29.760]  And it was very, it was crazy to watch.
[01:16:29.920 --> 01:16:34.160]  And it was, you know, a lot of the people in New Jersey were very upset with the president for doing that.
[01:16:34.480 --> 01:16:37.120]  And then there were people who were saying, you just never know why.
[01:16:37.440 --> 01:16:38.160]  I know why.
[01:16:38.480 --> 01:16:39.680]  It was Kellyanne Conway.
[01:16:39.760 --> 01:16:40.560]  It was Susie Wiles.
[01:16:40.640 --> 01:16:41.840]  It was Chris La Savita.
[01:16:42.000 --> 01:16:43.840]  These people don't care about New Jersey.
[01:16:44.000 --> 01:16:45.680]  They care about their paychecks.
[01:16:45.760 --> 01:16:48.000]  They care about the lobbying that they do.
[01:16:48.240 --> 01:16:49.200]  And that's the issue.
[01:16:49.680 --> 01:16:54.320]  I'm tired of giving away our country to people who are self-serving.
[01:16:55.040 --> 01:16:58.560]  These things affect my children, our families, our future.
[01:16:58.880 --> 01:17:05.360]  And at the end of the day, the president needs to get his house in order so that we can move forward in the right direction.
[01:17:06.000 --> 01:17:06.560]  Absolutely.
[01:17:06.720 --> 01:17:07.680]  And that's not anti-Trump.
[01:17:07.760 --> 01:17:09.040]  That's pro-Trump, pro-America.
[01:17:09.280 --> 01:17:11.600]  So let's talk about color revolution.
[01:17:11.840 --> 01:17:12.800]  You nailed it.
[01:17:13.120 --> 01:17:20.080]  And now, since you put that out a few days ago, all these hoaxes against Hegseth fail, but they'll just move on to the next hoax, the next hoax.
[01:17:20.160 --> 01:17:30.560]  So if they can take down Hegseth, they can then take down Trump, obviously with some fake impeachment for war crimes, elaborating on color revolutions and how we counter this one that's happening right now.
[01:17:30.880 --> 01:17:31.280]  Thank you.
[01:17:31.440 --> 01:17:34.320]  And I actually wanted to go back to something you said earlier in your show.
[01:17:34.480 --> 01:17:35.440]  I happened to catch it.
[01:17:35.760 --> 01:17:41.360]  You mentioned Ted Gunderson, which is funny because when you first played my video, you said I was a liberal.
[01:17:41.600 --> 01:17:43.040]  I actually, I was a Democrat.
[01:17:43.280 --> 01:17:47.760]  And the reason for that is I was 18 years old when 9-11 happened.
[01:17:48.080 --> 01:17:52.240]  And to me, I always knew the government was questionable.
