# Transcription model: large-v3-turbo, custom faster_whisper
[00:00:15.470 --> 00:00:17.250]  Tomorrow's news today.
[00:25:47.700 --> 00:25:48.859]  Great for your iodine.
[00:25:49.220 --> 00:25:51.359]  Great for your thyroid because of the iodine.
[00:25:51.849 --> 00:25:55.250]  Your thyroid being responsible for detoxing in your own body.
[00:25:55.390 --> 00:26:02.349]  This is like the cellular version of an X3 or the cellular version of a CMOS gummy or capsule.
[00:26:02.769 --> 00:26:11.910]  Where while those empower your thyroid's ability to detox your body and just clean everything out, this will actually go in at the cellular level and clean out your cells themselves.
[00:26:12.710 --> 00:26:20.049]  And if you're somebody who got the vaccine because you fell for it or because you had to or because you were unconscious and somebody forced you to do it, whatever.
[00:26:21.040 --> 00:26:23.099]  This will help detox the spike protein.
[00:26:23.180 --> 00:26:29.440]  If you're somebody that had COVID and you feel like maybe you had some symptoms of long COVID, this will help detox the spike protein associated with that.
[00:26:29.539 --> 00:26:30.559]  It's just incredible for your help.
[00:26:30.640 --> 00:26:34.720]  But like I'm saying, it's not just about detoxifying the spike protein.
[00:26:34.940 --> 00:26:37.660]  This ultimate life force right here at the alwaysjonesstore.com.
[00:26:37.660 --> 00:26:39.240]  You subscribe, you get 50% off.
[00:26:39.400 --> 00:26:40.160]  Lock yours in.
[00:26:40.259 --> 00:26:41.200]  So even if it sells out.
[00:26:41.529 --> 00:26:42.509]  You'll always get it.
[00:26:42.650 --> 00:26:58.210]  This is the best way in conjunction, especially, I think, with the Ultimate CMOS Gummies, to just ensure that your body is a powerhouse of purification, where you're able to just purge all that is rot and evil and bad and toxic from your cells, from your thyroid, from your blood.
[00:26:59.470 --> 00:27:03.029]  To establish total health dominance in your life.
[00:27:03.170 --> 00:27:03.670]  So check it out.
[00:27:03.970 --> 00:27:07.650]  It's Ultimate Life Force, formulated for the bioengineered world.
[00:27:07.789 --> 00:27:09.150]  Triple action spike protein detox.
[00:27:09.369 --> 00:27:11.210]  Get it now at thealexjonesstore.com.
[00:27:11.230 --> 00:27:15.369]  And don't just get it because it's amazing for your cells and your blood and detoxifying the spike protein.
[00:27:15.589 --> 00:27:26.250]  Get it because by getting it, you're supporting this operation, Alex Jones Infowars, which are absolutely essential in the information war to fight for freedom of speech.
[00:27:26.640 --> 00:27:27.440]  Freedom of thought.
[00:27:27.579 --> 00:27:28.420]  Freedom itself.
[00:27:28.680 --> 00:27:29.779]  Frankly, humanity itself.
[00:27:29.920 --> 00:27:31.420]  Stay with us for more news on the other side.
[00:27:35.420 --> 00:27:42.279]  you You guys ever done heroin in a convertible on the way to picking up your boss's wife?
[00:27:43.460 --> 00:27:44.140]  Me neither.
[00:27:46.180 --> 00:27:48.099]  Ladies and gentlemen, this is The Alex Jones Show.
[00:27:48.240 --> 00:27:51.500]  I am Chase Geiser, your host, for the next one hour and 24 minutes.
[00:27:52.599 --> 00:27:53.160]  All right.
[00:27:54.030 --> 00:28:03.509]  We're going to talk about the SpaceX development, how it ties into the Saudi thing, how it ties into the dollar, the AI wars, and the space wars that are going to unfold over the course of the 21st century.
[00:28:04.349 --> 00:28:14.990]  If you thought the technological advancements and the conflicts of the 20th century were impressive, World War I, World War II, Vietnam, you name it, every conflict you can possibly imagine happened in the last 100 years.
[00:28:14.990 --> 00:28:16.750]  My grandfather fought in World War II.
[00:28:16.970 --> 00:28:19.029]  My great-grandfather fought in World War I in France.
[00:28:21.699 --> 00:28:29.740]  Many of us Americans can just go back to every war and identify a family member who participated in one way or the other, especially if we've been here for a hundred years, because all the wars seem to have really happened then.
[00:28:33.119 --> 00:28:38.440]  It's nothing, nothing, nothing compared to what's about to happen.
[00:28:39.660 --> 00:28:41.859]  And so just let me put some pieces together for you.
[00:28:43.079 --> 00:28:50.660]  We've got Trump going to Saudi Arabia, bringing Sam Altman, who's the CEO of OpenAI, which is ChatGPT's company.
[00:28:52.490 --> 00:28:59.890]  He brings with him Elon Musk, who owns, I believe, 56% of XAI.
[00:29:01.190 --> 00:29:03.309]  Of course, the CEO of SpaceX.
[00:29:04.109 --> 00:29:17.690]  And he brings the CEO, whose name escapes me, of NVIDIA, which makes all of the groundbreaking chips that have the computational power to process the massive amounts of data and information used by AI tools.
[00:29:19.079 --> 00:29:26.940]  Why is he bringing these AI moguls to Saudi Arabia to negotiate an economic deal with a country that's completely dependent on oil?
[00:29:28.599 --> 00:29:31.700]  Like 85% of its economy or something is dependent on oil.
[00:29:32.000 --> 00:29:33.980]  What does oil have to do with AI?
[00:29:35.740 --> 00:29:39.078]  Then he announces the establishment of the Golden Dome.
[00:29:39.078 --> 00:29:40.999]  And people just assume...
[00:29:44.880 --> 00:29:50.240]  It's like, oh, Israel gets the Iron Dome, but we're going to get the Golden Dome because we're in America's golden age.
[00:29:50.339 --> 00:29:59.400]  No, it's the Golden Dome because solar receptors in space are golden to receive the golden power of the golden sun.
[00:30:01.000 --> 00:30:11.980]  And then after he announces the Golden Dome, he immediately signs executive order after executive order after executive order, loosening regulations, catalyzing the development of nuclear power.
[00:30:12.419 --> 00:30:26.500]  Claiming that these nuclear facilities isolated from the rest of the grid in the United States of America are going to be used to power these artificial intelligence facilities, which are set up to be established in Texas, Tennessee, other kind of remote areas in the United States of America.
[00:30:30.400 --> 00:30:38.099]  And independently, all of these stories make sense on their own, but then you realize that they're intimately connected because they happen in such proximity with one another.
[00:30:40.439 --> 00:30:45.559]  What Trump did was he went over to Saudi Arabia and he said, look, you got two choices in the 21st century.
[00:30:47.240 --> 00:30:52.039]  You can either work for China or you can work for the United States of America because oil is going away.
[00:30:53.180 --> 00:30:55.839]  And when oil goes away, it's going to subvert your entire economy.
[00:30:56.000 --> 00:30:57.160]  You can look at the history of the crown prince.
[00:30:57.259 --> 00:31:01.299]  Ever since 2015, he's established a plan for Saudi Arabia.
[00:31:01.480 --> 00:31:05.240]  I think it's called Vision 2030 or something like that.
[00:31:05.440 --> 00:31:07.039]  Can't remember the exact name of his plan.
[00:31:07.529 --> 00:31:17.730]  But the whole objective of this crown prince, who I do actually believe is very smart, is to diversify Saudi Arabia's economy away from oil because he sees the writing on the wall.
[00:31:17.849 --> 00:31:18.549]  He's a young guy.
[00:31:18.670 --> 00:31:21.089]  He understands that oil is not the future.
[00:31:21.130 --> 00:31:21.730]  It is the present.
[00:31:23.500 --> 00:31:27.500]  And we have alternative energy methods that are absolutely astounding.
[00:31:27.660 --> 00:31:40.660]  The main reason they have not been released to the public is because if they were admitted or announced or explicitly stated to be true, it would totally disrupt all of the traditional energy markets prematurely and then cause the dollar to collapse.
[00:31:41.019 --> 00:31:46.380]  It's the reason that the globalists have been advocating for environmentalism and green energy so much.
[00:31:47.839 --> 00:32:05.019]  Because they have been trying to catalyze and cause the collapse of the dollar prematurely so they could usher in a central bank digital currency and then dominate, control the world, conglomerate all political power under the central bank digital currency by controlling all the transactions and financial decisions of every person in the entire world, not just people in the United States of America or third world countries.
[00:32:05.779 --> 00:32:15.599]  So they've been weaponizing environmentalism, climate change, talking about the importance of depopulation, trying to collapse the dollar every way, shape and form by overspending, overleveraging.
[00:32:16.819 --> 00:32:20.079]  Creating instability, allowing the Chinese to establish the Belt and Road Initiative.
[00:32:20.240 --> 00:32:21.079]  I mean, you just name it.
[00:32:21.319 --> 00:32:25.880]  The globalists have been trying to collapse the dollar for at least 20 or 30 years, really ramping it up recently.
[00:32:26.160 --> 00:32:34.799]  The closer we get to collapsing, the faster they go in terms of their efforts to bring it down because they want to establish the central bank digital currency.
[00:32:34.799 --> 00:32:44.480]  It's why they put Mark Carney in as the Prime Minister of Canada because he loves CBDCs and he simultaneously says that we need to keep 70% of all fossil fuels or carbon in the ground.
[00:32:45.960 --> 00:32:47.480]  What do those two have to do with each other?
[00:32:47.619 --> 00:32:54.259]  Oh, if the demand for oil goes away, then the dollar collapses because the dollar is dependent on oil being traded in its denominations.
[00:32:55.019 --> 00:32:56.039]  It's very simple.
[00:32:59.160 --> 00:33:03.900]  But what Trump did was he goes to Saudi Arabia and he says, alright, you invest in this with us.
[00:33:05.119 --> 00:33:19.359]  The United States of America in the 21st century is going to be able, through its technology, to provide infinite energy for To itself and the world.
[00:33:19.900 --> 00:33:23.980]  And they'll license it to various nations.
[00:33:26.480 --> 00:33:36.740]  And what oil was to the dollar in the 20th century, space energy will be to the dollar in the 21st century.
[00:33:39.220 --> 00:33:44.339]  He's literally subverting oil, which has been the cause of every war that we've been in since World War II.
[00:33:45.869 --> 00:33:51.450]  And he's doing it in a way that will not cause the collapse of the dollar.
[00:33:52.069 --> 00:33:57.809]  Which is something, until maybe weeks or days ago, I thought potentially impossible.
[00:33:59.710 --> 00:34:03.609]  So the Saudis say, alright, we'll invest your $600 billion up to a trillion dollars.
[00:34:03.710 --> 00:34:04.730]  We'll give you an airplane.
[00:34:06.210 --> 00:34:14.590]  And we'll buy in and invest in this alternative energy from space to save our people and our economy from total collapse.
[00:34:15.619 --> 00:34:16.860]  As you establish this.
[00:34:17.239 --> 00:34:24.579]  Then he announces the Golden Dome, which is to be a space-based missile defense system.
[00:34:25.519 --> 00:34:46.519]  Because as the ocean was the new frontier of the 20th or the 19th century, the dominant frontier of the 20th and the 19th centuries, where every conflict that we'd been in intimately involved the ocean, most of them caused by something that happened in the ocean, whether it was Pearl Harbor, whether it was the sinking of that ship in World War I. We're always getting involved over something oceanic.
[00:34:46.760 --> 00:34:47.579]  Now it's space.
[00:34:47.739 --> 00:34:51.760]  That's why China is like, oh, don't establish a golden dome because space is the new high ground.
[00:34:52.179 --> 00:34:57.699]  Just like in that scene from Star Wars where Obi-Wan Kenobi says to Anakin Skywalker, he says, don't do it, Anakin.
[00:34:57.880 --> 00:34:58.760]  I have the high ground.
[00:35:01.599 --> 00:35:11.079]  If the Chinese understand anything beyond just duplicating or copycatting the developments, innovations, Of Western civilizations.
[00:35:11.079 --> 00:35:13.579]  They understand the rules and the art of war.
[00:35:13.860 --> 00:35:16.500]  They understand that he who has the high ground has the advantage.
[00:35:16.679 --> 00:35:23.179]  I mean, how many different stories have you heard about a few men on the high ground holding off thousands of men on the ground from the Alamo?
[00:35:25.619 --> 00:35:27.400]  Going all the way back to Bunker Hill?
[00:35:28.340 --> 00:35:28.659]  Damn it.
[00:35:30.840 --> 00:35:38.519]  But the thing that they're not admitting, because they don't want to disrupt the oil markets prematurely, is that this Golden Dome serves two functions.
[00:35:38.559 --> 00:35:39.000]  Yes.
[00:35:39.920 --> 00:35:47.500]  It can be a massive missile defense system because it basically encompasses, surrounds the Earth like a literal dome.
[00:35:48.219 --> 00:36:04.099]  And it can beam or blast or zap anything that happens beneath it because it's the high ground looking in like God looks on the Earth or like some mystic woman looks on a globe, a crystal ball.
[00:36:04.300 --> 00:36:05.679]  This is what the Golden Dome becomes.
[00:36:05.780 --> 00:36:06.619]  So it's surveillance.
[00:36:06.920 --> 00:36:07.780]  It's Internet.
[00:36:08.559 --> 00:36:10.840]  Its defense and its energy all at the same time.
[00:36:11.798 --> 00:36:13.298]  And it occurred to me that this might be true.
[00:36:13.298 --> 00:36:14.498]  And then I looked into it.
[00:36:14.518 --> 00:36:15.939]  Now I firmly believe it's true.
[00:36:15.939 --> 00:36:24.139]  Where what they do is these satellites, SpaceX currently producing, I believe, 120 satellites, either a week or a month.
[00:36:24.199 --> 00:36:26.439]  I can't remember the name off the top or the number off the top of my head.
[00:36:26.439 --> 00:36:33.398]  Cost them $10 to $50 per kilogram to get it into space now because of their methods of flying.
[00:36:42.650 --> 00:36:54.949]  Now what they do is they send these satellites up in this golden array with solar sensors on the back of them that are constantly 24-7 absorbed solar energy without any interference.
[00:36:54.949 --> 00:37:01.389]  No weather interference, no cloud interference, no blockage whatsoever, no atmospheric blockage.
[00:37:01.659 --> 00:37:02.840]  Or fragmentation whatsoever.
[00:37:03.139 --> 00:37:05.840]  I mean, it's just sun to satellite directly.
[00:37:05.840 --> 00:37:07.820]  It's almost like a line in connection.
[00:37:09.420 --> 00:37:17.659]  Then they convert that solar power in space to microwaves that they can beam down as specific as like to an individual.
[00:37:17.980 --> 00:37:25.199]  So they can literally smite you from space right where you are as an individual.
[00:37:25.199 --> 00:37:25.739]  That accurate.
[00:37:26.800 --> 00:37:31.380]  Or what they can do is send down these microwaves to rectennas on the surface of the planet.
[00:37:31.519 --> 00:37:33.840]  These rectennas then convert the energy into the grid.
[00:37:34.000 --> 00:37:46.480]  Even China and Japan are bragging about the fact that they believe that they themselves are going to be able to power a million homes from outer space using this space-based solar power.
[00:37:46.659 --> 00:37:48.900]  S-B-S-P.
[00:37:49.739 --> 00:37:52.559]  You're going to hear that a lot over the years.
[00:37:52.699 --> 00:37:54.340]  But you heard it here first.
[00:37:55.929 --> 00:37:58.210]  Unless you've been paying attention and you heard it somewhere else first.
[00:37:58.389 --> 00:38:02.670]  I'm not saying that we're making this up or that we've discovered it first, but you had to dig to see it before.
[00:38:02.849 --> 00:38:05.909]  You had to be really into space or energy or alternative energy.
[00:38:05.909 --> 00:38:12.610]  You had to be in the deep corners of the podcast world to listen to murmurings about this weapon technology, this directed energy weapons technology.
[00:38:12.610 --> 00:38:16.909]  I'm sure that many of you have done that because that's just the nature of our astoundingly impressive audience.
[00:38:17.949 --> 00:38:23.949]  But in terms of wide-scale reach, you've heard about space-based solar power first on this platform.
[00:38:24.809 --> 00:38:39.909]  In connection with the Golden Dome, in connection with SpaceX, in connection with the AI wars, you heard about it first here on this platform before you heard about it on the MSNBCs, on the CNNs, and the New York Times, and the Wall Street Journal, and the Fox News, and any of these other mainstream media outlets.
[00:38:45.170 --> 00:38:47.750]  And so what's going to happen with this Golden Dome?
[00:38:48.210 --> 00:38:57.590]  We are going to have a way to power the United States of America basically for free forever and frankly the rest of the world for free forever.
[00:38:57.809 --> 00:39:07.289]  And for such a long time we've known this technology existed whether it was from space-based solar power or whether it was from zero-point energy through alternative means of physics that have been classified by the military-industrial complex.
[00:39:07.579 --> 00:39:12.128]  But we couldn't release it to the public because the economy, the dollar, was based off of the trade of oil.
[00:39:12.128 --> 00:39:18.327]  And if we eradicated the demand for oil, then we would eradicate the demand for the dollar, which would cause total global economic collapse.
[00:39:34.940 --> 00:39:46.860]  and Elon Musk and SpaceX, you can see that through our technology being the most dominant, the outer edge, the sole source of this energy, we have a monopoly on energy now.
[00:39:47.099 --> 00:39:50.039]  That's going to manifest over the course of the next 10 or 20 or 30 years.
[00:39:50.219 --> 00:39:55.079]  And that monopoly on energy is going to allow us to save the dollar and control basically the world.
[00:39:57.719 --> 00:39:59.559]  It's checkmate, if it plays out.
[00:39:59.659 --> 00:40:05.400]  I mean, the only way to really stop it from happening is an assassination or a series of bad administrations that just don't understand it.
[00:40:06.719 --> 00:40:10.480]  And I struggle with it because this level of power, I don't know if we're spiritually capable of it.
[00:40:11.659 --> 00:40:13.380]  I don't know if we're mature enough for it.
[00:40:13.690 --> 00:40:21.750]  I don't know if I want any one government to be able to just zap anybody from outer space out of nowhere with a heightened targeted beam of microwaves.
[00:40:21.969 --> 00:40:23.030]  It makes me uncomfortable.
[00:40:23.829 --> 00:40:35.610]  But I'd certainly rather it be the United States of America than the CCP that has this capability, or NATO that has this capability, or the United Nations that has this capability, or the World Economic Forum that has this capability, or Russia that has this capability, so I'm all for it.
[00:40:36.559 --> 00:40:38.519]  And it might end up being the death of us all.
[00:40:38.679 --> 00:40:40.960]  It might end up being the eradication of freedom whatsoever.
[00:40:40.960 --> 00:40:47.400]  It's more important now than ever that we protect our rights because the extent to which our government is powerful is about ready to exponentially grow.
[00:40:47.719 --> 00:40:53.980]  I mean, if you thought we were dominant over the course of the last 100 years, just wait until you see what we accomplish over the course of the next 100 years.
[00:40:54.460 --> 00:41:01.300]  And anybody who opposes this Golden Dome or this alternative mode of energy, you know that they're bought out by either the globalists or the CCP.
[00:41:02.239 --> 00:41:03.880]  Our competitors have bought them out.
[00:41:05.119 --> 00:41:17.019]  But the reason Trump came out and said that it was going to be nuclear power that powered these artificial intelligence facilities is because it's too early to announce the fact that we're going to establish infinite energy and fossil fuels are going to mean nothing over the course of the next 100 years.
[00:41:17.500 --> 00:41:18.559]  It's too early to admit that.
[00:41:18.639 --> 00:41:19.880]  It's too disruptive to admit that.
[00:41:20.000 --> 00:41:32.980]  And plus, we don't want the Chinese to explicitly know, or at least don't want to explicitly admit to them, that we have alternative energy, basically infinite energy, frankly, a monopoly on all energy, the way energy is going to be created and consumed, harnessed and consumed over the course of the next 100 years.
[00:41:34.719 --> 00:41:37.179]  So we say, it's going to be nuclear power.
[00:41:37.380 --> 00:41:39.139]  We've got these micro-nuclear facilities.
[00:41:39.300 --> 00:41:51.619]  You've got the Bill Gates' just pandering around in their sweater vests, their soulless embodiment of just a demonic plague upon the face of the earth as they advocate for vaccines but infect the minds of millions with the most malicious of diseases that has ever been spread among men.
[00:41:52.739 --> 00:41:55.219]  The disease called bullshit.
[00:41:56.940 --> 00:42:00.019]  And wokeism and globalism and leftism and lies.
[00:42:02.059 --> 00:42:09.239]  They all want a piece of this, and they're so stupid, they actually think that it's going to be nuclear power that powers the 21st century.
[00:42:10.599 --> 00:42:17.739]  When we're so far beyond that, nuclear powers of the 1950s, not the 2050s, I thought you were supposed to be a futurist, Bill Gates.
[00:42:17.940 --> 00:42:24.639]  I thought you were on the cutting edge of operating systems, and you brought third-world countries to prominence through their ability to offer remote work.
[00:42:24.719 --> 00:42:25.420]  Hello, thank you.
[00:42:25.480 --> 00:42:26.420]  Come again, call again.
[00:42:26.940 --> 00:42:28.340]  All because of Bill Gates.
[00:42:31.949 --> 00:42:38.110]  But through their own hubris, they have allowed themselves to just sit idly by as the world flew past them.
[00:42:38.170 --> 00:42:41.809]  They have allowed the days to fly by like wild horses over the hills.
[00:42:42.010 --> 00:42:56.909]  They have sat in their idleness, in their bunkers, as they build their bunkers, as they build their literal submarine bases like the Zuckerbergs, and they just let the world fly by as they do their little panels and their little organizations and their little demonstrations.
[00:42:58.429 --> 00:43:04.070]  How about the benefits of whatever vaccine they're pushing, whatever technology they're pushing, whatever process they're pushing.
[00:43:04.210 --> 00:43:13.869]  I mean, you've got Bill Gates talking about the importance of blocking out the sun right now after he spent a litany of years lecturing us on man-made climate change being a problem.
[00:43:13.869 --> 00:43:16.150]  He's now advocating for man-made climate change.
[00:43:16.250 --> 00:43:17.429]  You want to block out the sun?
[00:43:17.550 --> 00:43:20.050]  I'm talking about a movement that wants to harness the sun.
[00:43:20.210 --> 00:43:21.489]  You want to cancel the sun?
[00:43:21.610 --> 00:43:24.650]  I want to wrap my fingers around it and control the sun.
[00:43:27.400 --> 00:43:42.659]  While he puts a giant shield over the planet that would really just culminate in an ice age, in global cooling, the likeness of which we'd never seen before, which would be the total mass starvation of the population of the planet Earth, just like what we saw during the Dark Ages when it was just a few degrees cooler than it is now.
[00:43:43.559 --> 00:43:47.420]  Everyone's dying of plague and disease because diseases live better in colder climates.
[00:43:48.059 --> 00:43:50.278]  And there's famine after famine all over the place.
[00:43:50.278 --> 00:43:54.278]  There are those who would put...
[00:43:59.570 --> 00:44:03.570]  But through their protection, we would wind up weakened and brittle.
[00:44:03.929 --> 00:44:08.710]  And then there are those who say, why don't we just harness the sun?
[00:44:10.869 --> 00:44:16.550]  Rather than leaning in to darkness, why don't we lean into the light?
[00:44:16.789 --> 00:44:18.989]  Out of darkness, into light.
[00:44:19.250 --> 00:44:21.630]  From the darkness, toward the light.
[00:44:23.159 --> 00:44:29.840]  It's almost poetic the extent to which Bill Gates and these other globalists are trying to put us in literal darkness by blocking the sun.
[00:44:29.980 --> 00:44:45.760]  And then you have a president of the United States, a populist president, who says, how about a golden dome that harnesses the sun and makes it perpetual day the world over through infinite energy that will allow us to have no incentive to go to war with anyone ever again.
[00:44:46.179 --> 00:44:47.019]  Total peace.
[00:44:48.139 --> 00:44:49.320]  Of course there'll be problems.
[00:44:49.480 --> 00:44:50.460]  We'll still be fallen.
[00:44:50.679 --> 00:44:52.139]  I'm not saying it's a utopia.
[00:44:53.480 --> 00:45:07.579]  But a monopoly on free energy that could simultaneously save the dollar, which has been the greatest threat to our national security, and the planet, and render all of the globalists moot?
[00:45:07.960 --> 00:45:10.900]  And render all of the leftists moot?
[00:45:11.539 --> 00:45:14.300]  And all of the environmentalists moot?
[00:45:16.420 --> 00:45:21.619]  I mean, guys, I didn't believe in the 4D chess claims of the first administration.
[00:45:23.779 --> 00:45:26.239]  But I believe even the 4-D chess claim to this administration.
[00:45:26.820 --> 00:45:29.380]  And it's not even because Trump is a genius or anything.
[00:45:29.440 --> 00:45:30.340]  I think he's a brilliant man.
[00:45:30.360 --> 00:45:33.800]  But it's because this time he has surrounded himself with brilliant men like Musk.
[00:45:33.980 --> 00:45:35.159]  And look, I'm scared about it.
[00:45:36.360 --> 00:45:37.519]  Neuralink terrifies me.
[00:45:37.940 --> 00:45:39.599]  Autonomous vehicles terrify me.
[00:45:39.699 --> 00:45:41.099]  Artificial intelligence terrifies me.
[00:45:41.819 --> 00:45:43.099]  I use it all the time.
[00:45:43.300 --> 00:45:44.280]  I understand it.
[00:45:44.460 --> 00:45:47.159]  I'm not in some dogmatic way opposed to it.
[00:45:47.239 --> 00:45:50.179]  Just, oh no, we're not supposed to create another intelligence.
[00:45:51.119 --> 00:45:54.000]  I'm not just coming out of it just because intuitively I'm uncomfortable with it.
[00:45:54.139 --> 00:45:59.500]  I understand that if you allow all the streetlights to be controlled by artificial intelligence, that maybe that's a problem.
[00:45:59.719 --> 00:46:05.300]  I understand that if you allow all of the electricity to be controlled by artificial intelligence, especially if it's centralized, that's a problem.
[00:46:05.500 --> 00:46:09.219]  If you allow all the vehicles to be operated by artificial intelligence, that's a problem.
[00:46:09.219 --> 00:46:21.570]  If artificial intelligence scans all of your data, all of your bank records, controls the stock market, controls everything about everything that you do digitally in the world, and then frankly, everything that happens physically in the world as well, through autonomous vehicles and autonomous robotic behavior,
[00:46:26.630 --> 00:46:40.730]  I don't like the fact that we're going to have infinite energy and infinite information and it's all going to be literally physically wired into our brains through things like Neuralink, which at first are going to be so miraculous in their accomplishments for us, allowing for us to walk if we have been paralyzed.
[00:46:41.829 --> 00:46:44.969]  Fighting things like dementia or ADD or autism.
[00:46:45.929 --> 00:46:53.570]  By literally changing the infrastructure and rewiring the very nature of our brain itself, I mean, there are going to be miraculous accomplishments achieved using this technology.
[00:46:53.710 --> 00:46:55.849]  But then, all right, what if it hijacks everything too?
[00:46:56.639 --> 00:47:01.199]  What if instead of autonomous vehicles, we have autonomous NPCs controlled by the grid?
[00:47:01.340 --> 00:47:15.599]  Or there's subliminal marketing or advertising that's allowed to be injected directly into your brain so you're not just perceiving it with your eyes or hearing it with your ears, but you're just experiencing it intuitively in your own consciousness, like the little voice that tells you what you should or should not do and whether it's right or wrong.
[00:47:15.800 --> 00:47:22.300]  Instead, it's an advertiser or it's a corporate elite or it's a globalist government or it's the CCP with its own people saying the party is the best.
[00:47:22.480 --> 00:47:25.780]  The party is the best over and over again, like you're some kind of schizophrenic, only they control the voices.
[00:47:27.360 --> 00:47:28.400]  I'm worried about it.
[00:47:30.900 --> 00:47:45.280]  And maybe it is an instance of Boromir versus Saruman, where Saruman and the Lord of the Rings, I'm going to show this clip in a moment, just totally sold out to evil, yielded to evil, thought evil was dominant, good, and ultimately going to win.
[00:47:45.380 --> 00:47:46.239]  That's one level.
[00:47:46.360 --> 00:47:48.900]  But then there's the Boromirs who had every good intentions.
[00:47:49.000 --> 00:47:50.320]  Maybe Musk is like a Boromir.
[00:47:50.819 --> 00:47:54.579]  Where he wants to save Gondor and he thinks that he needs the ring in order to do it.
[00:47:54.639 --> 00:47:59.400]  That he needs the same power that evil seeks in order to keep evil from wielding that power against men.
[00:47:59.500 --> 00:48:00.199]  Let's watch this scene.
[00:48:00.199 --> 00:48:09.920]  ���� None of us should wander alone.
[00:48:11.800 --> 00:48:12.900]  You least of all.
[00:48:14.079 --> 00:48:15.500]  So much depends on you.
[00:48:17.780 --> 00:48:27.139]  Frodo?
[00:48:27.150 --> 00:48:28.329]  I know why you seek solitude.
[00:48:29.989 --> 00:48:30.789]  You suffer.
[00:48:30.949 --> 00:48:31.909]  I see it day by day.
[00:48:34.250 --> 00:48:35.929]  Are you sure you do not suffer needlessly?
[00:48:39.050 --> 00:48:40.389]  There are other ways, Frodo.
[00:48:41.769 --> 00:48:43.230]  Other paths that we might take.
[00:48:43.449 --> 00:48:44.650]  I know what you would say.
[00:48:45.550 --> 00:48:48.469]  And it would seem like wisdom, but for the warning in my heart.
[00:48:49.849 --> 00:48:50.250]  Warning?
[00:48:51.369 --> 00:48:52.070]  Against what?
[00:48:53.079 --> 00:48:54.619]  We're all afraid, Frodo.
[00:48:55.340 --> 00:49:00.719]  But to let that fear drive us to destroy what hope we have, don't you see this madness?
[00:49:01.440 --> 00:49:02.960]  There is no other way.
[00:49:04.739 --> 00:49:07.960]  I ask only for the strength to defend my people.
[00:49:09.699 --> 00:49:11.239]  If you would but lend me the ring.
[00:49:11.440 --> 00:49:11.599]  No.
[00:49:13.039 --> 00:49:14.139]  Why do you recoil?
[00:49:14.300 --> 00:49:15.000]  I am no thief.
[00:49:15.239 --> 00:49:17.239]  You are not yourself.
[00:49:17.239 --> 00:49:22.509]  What chance do you think you would have?
[00:49:22.510 --> 00:49:23.230]  They will find you.
[00:49:24.110 --> 00:49:25.690]  They will take the ring.
[00:49:26.750 --> 00:49:29.469]  And you will beg for death before the end.
[00:49:33.090 --> 00:49:33.610]  Go!
[00:49:34.969 --> 00:49:37.489]  It is not your save by unhappy chance.
[00:49:37.730 --> 00:49:38.769]  It could have been mine.
[00:49:39.130 --> 00:49:40.190]  It should be mine.
[00:49:40.429 --> 00:49:41.429]  Give it to me!
[00:49:41.429 --> 00:49:43.229]  Give it to me!
[00:49:43.229 --> 00:49:43.729]  No!
[00:49:43.729 --> 00:49:44.728]  Give it to me!
[00:49:44.728 --> 00:49:45.228]  No!
[00:49:45.228 --> 00:49:54.729]  I see your mind.
[00:49:54.729 --> 00:49:57.429]  You will take the rations, Sauron!
[00:49:57.429 --> 00:49:59.759]  You will betray us!
[00:49:59.929 --> 00:50:03.929]  You go to your death, and the death of us all!
[00:50:03.929 --> 00:50:05.429]  Curse you!
[00:50:05.429 --> 00:50:06.429]  Curse you!
[00:50:06.429 --> 00:50:07.909]  And all our blinks!
[00:50:07.929 --> 00:50:09.869]  Oh no!
[00:50:09.929 --> 00:50:17.429]  Oh no!
[00:50:18.209 --> 00:50:20.869]  I snap like that if I haven't had a cigarette in a day.
[00:50:23.019 --> 00:50:24.239]  Then I immediately realize.
[00:50:28.659 --> 00:50:29.420]  Alright, folks.
[00:50:29.760 --> 00:50:36.400]  I wanted to show you that clip because I honestly think that we're experiencing the story of Lord of the Rings right now.
[00:50:37.000 --> 00:50:41.360]  Instead of Lord of the Rings, it's Lord of Energy, which is the ring.
[00:50:41.360 --> 00:50:42.099]  It's ultimate power.
[00:50:42.639 --> 00:50:44.420]  Every civilization has been powered by energy.
[00:50:44.719 --> 00:50:50.260]  He who dominated energy in one form or the other dominated commerce, everything else, the lives of their own people, the lives of other people.
[00:50:50.420 --> 00:50:52.139]  It's the definition of whether you can expand or not.
[00:50:52.179 --> 00:50:57.800]  We have the globalists who are trying to take over the world or at least subvert the United States from its own national sovereignty.
[00:50:58.000 --> 00:51:05.199]  We have the CCP and others who are trying to subvert the United States from its own national sovereignty so they can have total economic and energy dominance into the future.
[00:51:05.550 --> 00:51:12.309]  We know that they don't care about the environment because they want to sacrifice the entire population of the planet so they can subjugate it on the globalist side.
[00:51:12.409 --> 00:51:21.050]  Or the CCP just wants to totally destroy the planet in the name of manufacturing dominance as it steals all of our innovations for the sake of its own dominance in manufacturing for the 21st century.
