[00:00:01.320 --> 00:00:03.700]  Other networks lie to you about what's happening now.
[00:56:53.840 --> 00:56:56.940]  Just because you know about it and I know about it, doesn't mean everybody does.
[00:56:57.460 --> 00:56:58.000]  Thank God.
[00:56:58.119 --> 00:57:02.360]  A lot more people know now than before because Elon Musk is absolutely savaging these demons.
[00:57:03.059 --> 00:57:06.840]  And Keira Starmer, who for 15 years oversaw it as the head of CPS and protected it all.
[00:57:08.239 --> 00:57:09.679]  And the whole Jimmy Savelle thing.
[00:57:09.820 --> 00:57:11.860]  So that's coming up next segment.
[00:57:12.400 --> 00:57:36.980]  I need you to go to Real Alex Jones on X and share that link on your email list, your text message list on X and say, you know, the top pedophile hunter who has exposed government involvement and even children having their organs harvested after they're, quote, used up, Andrew Bridgen is joining us.
[00:57:37.309 --> 00:57:41.329]  Coming up in just a few minutes.
[00:57:43.839 --> 00:57:45.579]  This is so critical.
[00:57:45.588 --> 00:58:00.149]  Fierce anti-globalist firebrand and former MP Andrew Bridgen joins Alex Jones to raise the alarm over pedo rings in the UK and EU.
[00:58:00.149 --> 00:58:03.859]  Yeah, that's powerful, but I didn't write that.
[00:58:05.579 --> 00:58:06.699]  When the crew did, that's fine.
[00:58:06.880 --> 00:58:08.800]  I mean, it needs to be...
[00:58:08.800 --> 00:58:30.320]  Top pedophile, top UK pedophile hunter, former member of parliament, Andrew Bridgen, joins Alex Jones to cover the latest on Elon Musk's war against international pedophile rings now in total collapse.
[00:58:30.739 --> 00:58:33.079]  Here's a clip of him talking about how they murder the children.
[00:58:33.300 --> 00:58:33.980]  Go ahead, here it is.
[00:58:34.360 --> 00:58:44.599]  There's something wrong in our Parliament when I'm attacking a Labour MP who I believe is a paedophile, and I'm getting flack from my own party.
[00:58:45.039 --> 00:58:45.980]  There's something wrong.
[00:58:46.880 --> 00:58:52.820]  How many people, how many of the MPs would you say in Parliament do you think would be off that?
[00:58:53.119 --> 00:58:54.000]  I've no idea.
[00:58:54.619 --> 00:58:58.619]  I've no idea, but we certainly had a bad record round here.
[00:58:58.619 --> 00:59:00.880]  I'm thinking about in Leicester, I mean, Janna.
[00:59:01.449 --> 00:59:05.250]  I mean, pedophilia has been rampant in Leicester.
[00:59:06.429 --> 00:59:10.489]  I remember that we had the Lord Janna case.
[00:59:10.650 --> 00:59:12.130]  He had been the MP there, remember?
[00:59:12.409 --> 00:59:12.989]  Yes, yes.
[00:59:13.530 --> 00:59:13.530]  Yes.
[00:59:14.030 --> 00:59:20.369]  Died mysteriously of dementia just before his hearing of facts.
[00:59:21.530 --> 00:59:23.989]  And how many other people would there have been connected?
[00:59:24.570 --> 00:59:28.309]  You know, I've passed details.
[00:59:29.519 --> 00:59:34.719]  Of people who are engaged in child trafficking into the UK. Names.
[00:59:35.280 --> 00:59:36.219]  Names of all those.
[00:59:36.260 --> 00:59:37.400]  They've gone to the government.
[00:59:37.820 --> 00:59:38.539]  Nobody wants to act.
[00:59:39.260 --> 00:59:40.800]  Nobody wants to act about it.
[00:59:43.099 --> 00:59:45.500]  How big is this?
[00:59:45.719 --> 00:59:46.280]  It's big.
[00:59:46.639 --> 00:59:47.239]  How many?
[00:59:47.820 --> 00:59:49.179]  Hundreds and hundreds and hundreds.
[00:59:49.940 --> 00:59:51.079]  How are they getting them in?
[00:59:51.599 --> 00:59:52.380]  Or is that...
[00:59:52.380 --> 00:59:53.179]  I don't...
[00:59:53.179 --> 00:59:57.659]  They're flying them into small airports that haven't got fences around them.
[00:59:58.639 --> 01:00:01.639]  Lots of them in the UK. Yeah, lots of small airfields.
[01:00:01.739 --> 01:00:03.099]  You have a little biplane.
[01:00:03.260 --> 01:00:12.739]  I gave the government the names of the people and the name of the company they're laundering the money through, where the children were being taken to have their photographs taken.
[01:00:13.019 --> 01:00:14.480]  They thought they were going to go to school.
[01:00:14.940 --> 01:00:16.320]  These were for selling them.
[01:00:17.380 --> 01:00:19.500]  Selling them to pedophiles.
[01:00:20.900 --> 01:00:21.340]  Nothing.
[01:00:21.619 --> 01:00:24.980]  It's gone to MI5, it's gone to the National Crime Agency.
[01:00:25.079 --> 01:00:25.579]  No one will act.
[01:00:25.960 --> 01:00:29.820]  And then when you see the names, when you see the names, you see why.
[01:00:31.300 --> 01:00:32.159]  The names?
[01:00:32.420 --> 01:00:33.639]  The names of people.
[01:00:34.159 --> 01:00:34.980]  They are...
[01:00:34.980 --> 01:00:38.619]  They are no names.
[01:00:39.219 --> 01:00:43.780]  And so they're taking these children to who knows where and they're doing who knows what to them.
[01:00:43.780 --> 01:00:52.480]  Well, I'm told that they used them in the sex trade for about three years and then they're worn out and then they organ harvest them.
[01:00:55.530 --> 01:00:56.610]  No one's interested.
[01:00:57.289 --> 01:00:58.670]  No one wants to talk about it.
[01:00:58.789 --> 01:01:00.389]  I want to talk about lots of things.
[01:01:00.389 --> 01:01:11.388]  Ladies and gentlemen, I have followed Andrew Bridgen for at least 15 years.
[01:01:11.388 --> 01:01:20.550]  And And he's been one of the best pro-freedom, pro-human members of parliament on record, in my view, in the last hundred years.
[01:01:20.869 --> 01:01:22.610]  He's a former four-term British.
[01:01:23.460 --> 01:01:26.900]  Politician who served as a member of parliament from Northwest.
[01:01:28.599 --> 01:01:33.800]  I guess that's Lynn Cheshire Shire from 2010-2024.
[01:01:34.099 --> 01:01:37.980]  A vocal advocate for the rights of the vaccine injured.
[01:01:38.219 --> 01:01:43.079]  Andrew became a prominent figure in challenging the UK government's narrative on COVID-19 vaccines.
[01:01:43.820 --> 01:01:47.039]  Andrew's political career saw him win with an overwhelming majority.
[01:01:47.400 --> 01:01:48.619]  And it goes through that.
[01:01:48.839 --> 01:01:55.939]  And then, of course, then he was expelled out of the Conservative Party in 23 for exposing the COVID tyranny.
[01:01:55.939 --> 01:02:08.038]  In a time of political opposition to government policies and COVID-19 vaccines were rare, Andrew stood out as a thorn in the side of the Conservative Party as a true advocate for transparency, accountability, and health of the public.
[01:02:08.058 --> 01:02:09.409]  Thank you.
[01:02:09.420 --> 01:02:13.699]  And his full political reform focuses on five realms.
[01:02:14.039 --> 01:02:15.260]  Enforce immigration law.
[01:02:17.000 --> 01:02:19.280]  Call time on the insanity of net zero.
[01:02:19.440 --> 01:02:35.349]  The carbon taxes protect children from All right.
[01:02:35.670 --> 01:02:50.070]  What I want to do here is try to give him the floor as much as possible because he's got a lot of knowledge and he's also briefed the European Parliament as well on a whole host of key issues.
[01:02:50.510 --> 01:02:55.170]  But I want to focus for most of the first interview on where we are.
[01:02:55.369 --> 01:03:00.170]  It's been well known for, ever since I was, before I was on the air, that the UK has been run by pedophiles.
[01:03:00.349 --> 01:03:03.769]  And the Labor Party is really at the heart of it, but it goes into the other parties as well.
[01:03:04.230 --> 01:03:07.550]  And Jimmy Savelle being protected, the BBC, even killing kids.
[01:03:07.710 --> 01:03:09.329]  I mean, it's horrible.
[01:03:09.769 --> 01:03:13.150]  And he would even abuse kids on TV in front of everyone hiding in plain view.
[01:03:13.610 --> 01:03:17.269]  He would go rape kids in hospitals and reportedly kill them as well.
[01:03:18.279 --> 01:03:22.400]  Because that's how they can get away with it and say they died of natural causes or died of something in the hospital.
[01:03:23.260 --> 01:03:29.739]  So, this rabbit hole is deep, it's horrible, and it's something we have to face.
[01:03:29.940 --> 01:03:37.800]  Now, they've already been in deep trouble for a long time, and people have been really angry, and the Islamic grooming gangs and the government protecting them has really brought this to a head.
[01:03:38.179 --> 01:03:41.699]  Of course, they've thrown Tommy Robinson in prison for that, for exposing it.
[01:03:41.900 --> 01:03:44.519]  But now, Elon Musk supercharging it.
[01:03:44.800 --> 01:03:53.059]  And going back to the history of it and all the latest developments, Akira Starmer is saying a national emergency, a national security threat because Elon is exposing him.
[01:03:53.079 --> 01:03:56.019]  Well, it is a threat to their crime syndicate, to their pedophile ring.
[01:03:56.199 --> 01:04:07.659]  And we know not just the CIA, Mossad, MI6, classically involved using it to control people and Ghislaine Maxwell's father being heavily involved.
[01:04:08.340 --> 01:04:10.940]  So this is their control system.
[01:04:11.309 --> 01:04:13.429]  And it's coming down around the world.
[01:04:13.469 --> 01:04:16.190]  And the EU has declared an emergency against Moscow for exposing it.
[01:04:16.329 --> 01:04:18.090]  And France is heavily run by it.
[01:04:18.210 --> 01:04:18.949]  It came out in Germany.
[01:04:19.070 --> 01:04:20.050]  30,000 plus children.
[01:04:20.210 --> 01:04:25.010]  Placed with pedophiles for decades by the government on purpose to create a new civilization.
[01:04:25.570 --> 01:04:28.349]  And the transgenderism is all part of that.
[01:04:28.550 --> 01:04:30.989]  They can't openly get you to accept them having sex with children.
[01:04:31.050 --> 01:04:32.170]  Well, how about cutting their genitals off?
[01:04:32.349 --> 01:04:37.610]  It's about the state and these cults having access to your child's development and destroying their innocence.
[01:04:38.710 --> 01:04:40.809]  So I'd like him to...
[01:04:40.809 --> 01:04:49.489]  Go wherever you like it first, introduce himself here to tens of millions that are watching, but also then give us his view on where this fight is.
[01:04:49.670 --> 01:04:51.610]  It looks like the bad guys are in complete collapse.
[01:04:51.750 --> 01:04:52.489]  I don't know what they're going to do.
[01:04:53.030 --> 01:05:02.650]  They hit the panic button calling for Musk arrest, basically, anti-terrorism investigations, and what he thinks the public can do.
[01:05:03.000 --> 01:05:11.139]  To finally bring these people to justice and that would unravel the entire globalist system because this is right at the heart of their control program.
[01:05:12.139 --> 01:05:22.860]  And then we can expand into the transgenderism and into the medical tyranny and the UN and how it's all interconnected because I've watched his work and read his work and know he's super smart and dead on.
[01:05:22.980 --> 01:05:23.760]  It can teach us a lot.
[01:05:24.480 --> 01:05:28.320]  So if he could first just describe the moment in history we are.
[01:05:29.279 --> 01:05:41.980]  How these operations work, and then obviously the big viral interview he did that Musk and others boosted, where he gets out of the fact that MI6 knows, won't do anything, flying kids in, using them up, and then harvesting their organs.
[01:05:42.900 --> 01:05:46.579]  This is just horrible information, but we have to expose it.
[01:05:46.659 --> 01:05:50.000]  It's very positive to admit it's happening, and so we can stop it.
[01:05:50.119 --> 01:05:53.539]  I know it's horrific on the surface, and of course, it's a horrific axe.
[01:05:53.880 --> 01:05:58.139]  But admitting it is very positive to mean that we can stop it.
[01:05:58.719 --> 01:06:01.440]  So, Andrew, thank you so much for joining us today.
[01:06:01.699 --> 01:06:06.500]  You can start wherever you like, but you've heard where I would like to see you go when you're ready.
[01:06:07.699 --> 01:06:08.559]  Thank you, Alex.
[01:06:08.739 --> 01:06:10.219]  Thank you for having me on your program.
[01:06:10.599 --> 01:06:20.780]  Well, clearly, the UK is being rocked at the moment by revelations and we've been made a disgrace around the world by the fact that there's been...
[01:06:21.769 --> 01:06:31.269]  Well, over 250,000 working-class white girls have been raped by Muslim rape gangs over the last few decades.
[01:06:33.769 --> 01:06:40.690]  And there's been no appetite at the top in the police or in politics to deal with this issue.
[01:06:40.969 --> 01:06:50.610]  One man who has brought this to light and spoken about it for many, many years, he's currently in solitary confinement.
[01:06:51.539 --> 01:06:58.159]  In a prison in the UK, a high security prison in the UK for breach of a civil court order.
[01:06:59.559 --> 01:07:03.360]  That's how keen the establishment are to silence Tommy Robinson.
[01:07:04.599 --> 01:07:08.800]  And the fact is that this has been going on in the UK for a very long time.
[01:07:09.260 --> 01:07:18.739]  When I first got into politics to try and make things better for where I was brought up and where I live in northwest Leicestershire.
[01:07:19.150 --> 01:07:24.869]  I was introduced quite early on in my career to a former policeman called John Wedger.
[01:07:25.050 --> 01:07:29.590]  He'd worked in vice in the Metropolitan Police in London for years.
[01:07:30.389 --> 01:07:39.809]  And he'd uncovered that children were being taken from children's homes in the UK and prostituted at the weekend.
[01:07:39.969 --> 01:07:45.309]  They were returning to the children's homes, often under the influence of drugs.
[01:07:45.869 --> 01:07:49.329]  And often with terrible venereal diseases.
[01:07:49.670 --> 01:07:52.070]  And the people at the homes were doing nothing about it.
[01:07:52.150 --> 01:08:04.570]  He investigated this more and more, and he wrote a report which he sent to his superiors, pointing out that child prostitution in London had not been investigated for decades.
[01:08:04.869 --> 01:08:06.130]  He was threatened.
[01:08:06.389 --> 01:08:09.030]  He was told to withdraw the report.
[01:08:09.869 --> 01:08:13.190]  He was removed from the force on false pretenses.
[01:08:13.760 --> 01:08:15.800]  He was a single father.
[01:08:15.940 --> 01:08:20.279]  They threatened to take his children into care, and we know what they meant by that.
[01:08:20.439 --> 01:08:28.380]  But he's stuck by his guns and stuck by his oath to uphold the law and protect the weak and the vulnerable.
[01:08:28.859 --> 01:08:33.500]  And his story struck a chord with me.
[01:08:33.579 --> 01:08:40.920]  I then met a man I regard as, despite the smears that have been put on him.
[01:08:41.239 --> 01:08:50.060]  He's probably, I think, one of the most honest, straight, naively straight police officers I ever met.
[01:08:50.220 --> 01:08:57.899]  And he'd joined the police force at 16, and he'd risen to be Chief Constable, the top police officer in the county of Wiltshire.
[01:08:58.239 --> 01:09:09.680]  And he was chosen to lead a post-mortem investigation into allegations against the former Prime Minister, Edward Heath, of paedophilia.
[01:09:10.109 --> 01:09:12.630]  There were 30-odd victims all over the country.
[01:09:12.630 --> 01:09:27.130]  They didn't want all the police forces looking at it, so they decided to choose Wiltshire to head up that investigation into a former Prime Minister of the UK, allegations of paedophilia and child abuse against young boys.
[01:09:28.449 --> 01:09:37.149]  The reason that Wiltshire got the job was because Salisbury, where Edward Heath had lived and been an MP, that was in the county of Wiltshire.
[01:09:37.890 --> 01:09:38.470]  Mike?
[01:09:38.970 --> 01:09:46.250]  He recruited the top 20-odd detectives who'd just retired in the UK from all over the country.
[01:09:46.789 --> 01:09:49.210]  He wanted them to be untouchable.
[01:09:49.449 --> 01:10:02.289]  So they came out of retirement on a two-year contract to interview all the alleged victims all over the country to do with the alleged abuse by Edward Heath, the Prime Minister of the UK, in the 70s.
[01:10:03.890 --> 01:10:16.470]  I went and saw Mike, and I said to him, Are you going to do a proper job on this if this is high profile and a lot of good could come from transparency and the truth?
[01:10:17.010 --> 01:10:18.710]  And Mike said he was.
[01:10:18.949 --> 01:10:23.810]  And I said, you do realise that the establishment will come for you if you do a proper job on this.
[01:10:24.489 --> 01:10:26.050]  And he didn't think they would.
[01:10:26.170 --> 01:10:27.369]  He said, I've been tasked to do a job.
[01:10:27.390 --> 01:10:28.109]  I'm going to do it.
[01:10:28.329 --> 01:10:29.329]  And he did it.
[01:10:29.430 --> 01:10:31.609]  And it was a two-year investigation.
[01:10:31.460 --> 01:10:34.249]  They interviewed the alleged victims.
[01:10:34.249 --> 01:10:36.349]  The victims didn't know each other.
[01:10:36.349 --> 01:10:37.710]  They were from all over the country.
[01:10:37.710 --> 01:10:39.789]  They didn't know of each other's identity.
[01:10:39.829 --> 01:10:41.050]  They never met each other.
[01:10:41.050 --> 01:10:57.690]  And several of the victims, alleged victims, came out with the same bizarre story, Alex, that the former prime minister, Edward Heath, had actually abused them using a metallic extension to his hand.
[01:10:58.690 --> 01:11:15.630]  And that and lots of other evidence that was collated by this team of 20 of the best detectives the country had were all placed into a report that, There were two reports done, one with all the evidence and one for the public.
[01:11:16.029 --> 01:11:20.430]  Now, there's no way that any court could try Edward Heath for paedophilia.
[01:11:20.550 --> 01:11:21.109]  He was dead.
[01:11:21.369 --> 01:11:22.470]  He couldn't defend himself.
[01:11:23.350 --> 01:11:34.270]  The strongest recommendation that Wiltshire Police could come to after a two-year investigation was that were Edward Heath alive, He would be arrested.
[01:11:34.369 --> 01:11:46.149]  On the evidence that they'd gathered, he would have been arrested and charged with, and interviewed under caution, charged with paedophilia.
[01:11:46.829 --> 01:11:48.949]  That was in his final report.
[01:11:49.010 --> 01:11:54.750]  The report was absolutely attacked, even before it was produced.
[01:11:55.500 --> 01:11:58.119]  Because obviously the Home Office had had drafts.
[01:11:58.199 --> 01:12:05.119]  They knew which direction this investigation was going and what the conclusions inevitably would have to be with regard to Edward Heath.
[01:12:05.680 --> 01:12:10.359]  And the attack started on Mike Veal and his team before the report was even published.
[01:12:10.420 --> 01:12:14.800]  I tried to defend him as best I could in the media and in Parliament.
[01:12:15.020 --> 01:12:17.420]  But the onslaught was unbelievable.
[01:12:17.800 --> 01:12:22.880]  And Mike Veal was accused of leaking the report to me.
[01:12:23.279 --> 01:12:25.760]  Which is interesting because you can't leak a report you own.
[01:12:25.819 --> 01:12:27.020]  He was socialising it.
[01:12:28.960 --> 01:12:35.840]  He was accused of lots and lots of different things and no investigations were ever completed.
[01:12:35.840 --> 01:12:39.300]  He had these pending investigations over his head for many, many years.
[01:12:39.439 --> 01:12:51.699]  He lost his job as Chief Constable and he's been hounded ever since, mainly by people who were in Parliament and now in the House of Lords at the same time.
[01:12:52.359 --> 01:12:53.640]  As Edward Heath.
[01:12:54.699 --> 01:13:03.260]  Because if a former Prime Minister of the country could have been a paedophile and it was covered up, then anything is possible.
[01:13:03.760 --> 01:13:11.880]  And I'm inclined to believe that paedophilia has not been investigated in the UK for many, many years.
[01:13:12.159 --> 01:13:16.180]  And the reason for that is because the rot goes right to the top.
[01:13:16.100 --> 01:13:19.559]  And that was my experience in Parliament.
[01:13:19.559 --> 01:13:23.260]  I raised concerns about a number of individuals.
[01:13:23.260 --> 01:13:37.590]  It was always passed to the police, to the National Crime Agency, and it involved senior politicians, very senior police officers, and nothing was ever done about it.
[01:13:37.600 --> 01:13:48.560]  And last year, I was approached by a source with information about child trafficking into the UK, and it would appear that...
[01:13:48.569 --> 01:13:57.289]  You know, it's an explanation for why certain people are so keen on having these wars around the world because it's a huge opportunity for child trafficking.
[01:13:59.149 --> 01:14:17.090]  The source had got detailed names of the people involved on the ground, where the children were being brought in, where they were being taken, where the photographs were being taken, and the name of a company and its directors who were believed to be instrumental.
[01:14:17.600 --> 01:14:30.699]  In laundering the money and perhaps receiving the funds from the paedophiles who are buying these poor children who have been brought into the UK. And the source had taken this information quite rightly to the police.
[01:14:31.239 --> 01:14:32.340]  Nothing was done.
[01:14:32.680 --> 01:14:38.319]  They'd taken it to MI5 and nothing was done.
[01:14:38.800 --> 01:14:45.819]  They'd taken it to the National Crime Agency and mysteriously...
[01:14:46.060 --> 01:15:03.359]  Within two days of dropping the file with the National Crime Agency, their LinkedIn profile was visited and investigated by someone who worked at the company that was named in the file that's been sent to the National Crime Agency.
[01:15:03.359 --> 01:15:04.479]  Meaning they were tipped off.
[01:15:04.720 --> 01:15:07.560]  And sir, we can go into the next hour as long as you can go.
[01:15:07.680 --> 01:15:09.439]  And I know you've been fighting this so hard.
[01:15:09.479 --> 01:15:11.500]  You're just covering a few of these cases.
[01:15:11.640 --> 01:15:13.279]  And I want you to have the time to do that.
[01:15:14.609 --> 01:15:17.649]  And explaining this, everything you say is on record, by the way.
[01:15:18.229 --> 01:15:36.970]  Folks, it's admitted that Jeffrey Epstein decades ago was going to the war zones of Kosovo and Serbia and buying 9- and 10-year-old girls, bringing them back, sex-slaving them, and then they were operating at 18, 20 years old as stewardesses and as the minders of the younger girls.
[01:15:36.970 --> 01:15:39.729]  This is an industrial-level operation.
[01:15:39.529 --> 01:15:48.689]  And then his girlfriend or wife, Gisling Maxwell, her dad has come out as one of the top managers of the blackmail pedophile operations for MI6 and Mossad.
[01:15:48.689 --> 01:15:50.089]  And it just goes on and on.
[01:15:50.089 --> 01:15:55.279]  And now you're talking about Ukraine and it's come out there, organ harvesting, sex trafficking, bringing kids in.
[01:15:55.349 --> 01:15:58.888]  I want you to go into details of that here and you talking to MI6 and them doing nothing.
[01:15:58.888 --> 01:16:00.789]  But this is just incredible.
[01:16:00.789 --> 01:16:03.429]  Then we've got Jimmy Savelle, which is on record.
[01:16:03.429 --> 01:16:06.189]  It's just give us your 35,000 foot view.
[01:16:06.340 --> 01:16:12.939]  From what we see, it's pedophile networks, not just in the UK. That's one of the most known thoroughbred cases of it.
[01:16:13.060 --> 01:16:14.760]  It looks like the epicenter.
[01:16:14.899 --> 01:16:16.300]  But this is everywhere.
[01:16:16.539 --> 01:16:25.159]  And to see world leaders come after Musk when he has just flamethrowed them with the record is very damning.
[01:16:26.380 --> 01:16:34.420]  Well, we know now there's more money involved in illegal child trafficking than there is in drugs.
[01:16:35.079 --> 01:16:37.680]  It appears there are far fewer convictions.
[01:16:38.319 --> 01:16:56.720]  And ultimately, I think it's the glue that holds the self-proclaimed elites around the world together, because once they're involved in paedophilia or profiting from child trafficking, it's the ultimate blackmail.
[01:16:57.039 --> 01:16:58.680]  There's no way out of the club for them.
[01:16:58.739 --> 01:17:00.100]  They all have to go down together.
[01:17:00.439 --> 01:17:04.680]  And that's what's going on around the world at the moment.
[01:17:04.680 --> 01:17:05.500]  And hopefully...
[01:17:05.720 --> 01:17:27.039]  With a change of administration in the United States and some proper investigations, which are not going on in the UK. And I sent, because the source had come to me and said, I've been to MI5, and the source had got all of the phone calls recorded with MI5, with the National Crime Agency, with the local police force.
[01:17:27.859 --> 01:17:32.359]  I sent the file with all the information to senior politicians.
[01:17:32.359 --> 01:17:40.109]  I sent it to the then Leader of the House, who's a very senior politician.
[01:17:40.369 --> 01:17:49.510]  I also sent it to the Lord Chancellor, who's a politician, supposedly the representative of the judiciary in the government.
[01:17:50.130 --> 01:17:55.729]  And eventually, all I got back was take it to the police.
[01:17:55.850 --> 01:18:02.470]  When I pointed out that this had already been to the police, and it had been to MI5, there actually was an MI5 officer.
[01:18:02.800 --> 01:18:07.220]  Who was very sympathetic and realized how important this evidence was.
[01:18:08.039 --> 01:18:10.220]  And he tried to push it.
[01:18:10.619 --> 01:18:12.279]  He was removed from the service.
[01:18:12.579 --> 01:18:14.500]  That's how deep the corruption runs.
[01:18:15.119 --> 01:18:19.920]  And your own party removed you, though you were very popular, so they're definitely defending this.
[01:18:20.800 --> 01:18:26.619]  Pulling back here, though, how would you describe the state of the pedophile control rings right now?
[01:18:27.050 --> 01:18:30.670]  I mean, I see them in a state of basically burning down.
[01:18:30.829 --> 01:18:33.189]  I mean, I don't see how they get out of this now.
[01:18:34.189 --> 01:18:35.750]  I'd like to think so.
[01:18:35.850 --> 01:18:44.250]  You'll obviously be aware that you never get anyone convicted in the UK of paedophilia and be alive, because they are rings.
[01:18:44.390 --> 01:18:45.930]  They're all linked into each other.
[01:18:46.050 --> 01:18:56.029]  So the only sign that they're generally exposed in the UK is after they're dead, as with one of the most prolific paedophiles, Jimmy Savile, who was...
[01:18:57.039 --> 01:19:19.180]  Rubbing shoulders with political elites, the royalty, the BBC. And, you know, even a few last year, we had Hugh Edwards, the highest paid newsreader at the BBC, was found guilty of buying £2,000 worth of horrendous child abuse images.
[01:19:20.739 --> 01:19:23.260]  And, OK, he lost his job.
[01:19:23.539 --> 01:19:24.539]  But he...
[01:19:24.510 --> 01:19:33.949]  Didn't even get a custodial prison sentence for procuring and probably sharing horrendous child images.
[01:19:34.210 --> 01:19:38.649]  Well, you've had members of the House of Lords arrested for sex with children and the rest of it.
[01:19:38.729 --> 01:19:48.229]  So when I see the headlines with dozens and dozens and dozens and dozens last year or so of Labour Party members at every level caught, including the former defence minister.
[01:19:48.640 --> 01:19:52.359]  Trying to have sex with children, producing child porn, distributing, you name it.
[01:19:52.560 --> 01:19:54.960]  And of course, then they have the histories of covering it up.
[01:19:55.300 --> 01:20:00.739]  And Starmer as the head of the CPS, being their guardian angel.
[01:20:03.159 --> 01:20:06.159]  Starmer, is Starmer just their guardian?
[01:20:06.159 --> 01:20:10.520]  Or is there any intel that he's also involved?
[01:20:12.060 --> 01:20:18.039]  There's a lot of questions and basically a media blackout around Starmer's private life.
[01:20:18.540 --> 01:20:27.000]  There's a lot of questions around his relationship with Lord Ali in the House of Lords, who's been very generous to him, letting him have his flat.
[01:20:29.180 --> 01:20:36.819]  Starmer said it was so his son could study for his GCSEs unhindered and uninterrupted.
[01:20:36.899 --> 01:20:37.979]  Well, it's interesting.
[01:20:38.180 --> 01:20:44.319]  He would have had to have been the most keen student ever because he stayed at the flat for six weeks after the exams.
[01:20:45.079 --> 01:20:47.140]  It's all lies.
[01:20:47.550 --> 01:21:08.670]  Alex, even in my own constituency of North West Leicestershire, 10 years ago, I uncovered that the Labour Party's leader of their group of councillors, a man called Tom Nielsen, he was running drug parties from his house for children.
[01:21:09.109 --> 01:21:16.510]  I reported it to the council and said that I'd heard there were reports of antisocial behaviour around these drug parties.
[01:21:16.920 --> 01:21:20.439]  I was assured by the chief executive of the council that none of this was true.
[01:21:21.319 --> 01:21:23.020]  I still reported to the police.
[01:21:23.239 --> 01:21:25.739]  Six weeks later, Nielsen's house was raided.
[01:21:26.279 --> 01:21:35.220]  He was manufacturing and selling drugs to children, and on his laptop were over 3,000 images of child abuse.
[01:21:35.520 --> 01:21:37.300]  That was in my own constituency.
[01:21:37.819 --> 01:21:44.060]  The chief executive of the council had lied to me, and she resigned the week after, in disgrace.
[01:21:47.250 --> 01:21:52.550]  As you said, they've got their networks control, most of the courts and police, but still...
[01:21:52.550 --> 01:21:55.050]  By the way, Nielsen didn't go to prison.
[01:21:55.250 --> 01:21:58.050]  Despite all of that, he didn't go to prison.
[01:22:00.069 --> 01:22:06.069]  But Tommy Robinson's whole journey in and out of prison starts with exposing exactly this.
[01:22:06.850 --> 01:22:07.409]  Yes.
[01:22:07.710 --> 01:22:15.029]  And that's the resistance from the top between the police, the judiciary and the politicians to...
[01:22:15.260 --> 01:22:19.899]  Keep this issue pressed down, under wraps, under control.
[01:22:20.319 --> 01:22:22.500]  And Tommy is a big threat to that.
[01:22:23.020 --> 01:22:26.659]  And I've stood alongside Tommy Robinson for a long time.
[01:22:27.359 --> 01:22:29.260]  Tommy's many things, but he's not a racist.
[01:22:29.260 --> 01:22:30.460]  He's not far right.
[01:22:31.399 --> 01:22:34.640]  But he is a thorn in the side to the establishment.
[01:22:36.899 --> 01:22:38.359]  Well, he's a real life hero.
[01:22:40.140 --> 01:22:40.880]  He is indeed.
[01:22:41.119 --> 01:22:42.300]  I told him, don't come back.
[01:22:42.439 --> 01:22:43.239]  They're going to put you in prison.
[01:22:43.340 --> 01:22:45.100]  He said, no, this will expose them.
[01:22:45.199 --> 01:22:45.960]  This will save children.
[01:22:46.180 --> 01:22:50.180]  I'm ready to go 18 months in solitary confinement that would break almost anybody.
[01:22:50.479 --> 01:22:52.180]  I mean, he is the real deal.
[01:22:52.460 --> 01:22:53.460]  A real man.
[01:22:54.779 --> 01:22:55.340]  He is.
[01:22:55.460 --> 01:22:59.539]  I'm hoping to visit him at the end of next month, if not before.
[01:23:00.020 --> 01:23:03.659]  And there's going to be a big rally on February the 1st in London.
[01:23:04.259 --> 01:23:08.239]  Which is to get Tommy Robinson out of solitary confinement.
[01:23:08.500 --> 01:23:13.840]  He's gone to prison for 18 months for an issue in the civil court.
[01:23:14.020 --> 01:23:15.779]  It's pretty much unprecedented.
[01:23:16.239 --> 01:23:18.199]  That had to do with exposing pedophile rings.
[01:23:18.539 --> 01:23:23.359]  We'll be right back with our special guest, Andrew Bridgen.
[01:23:23.720 --> 01:23:26.079]  And we've only scratched the surface.
[01:23:26.239 --> 01:23:27.520]  We're going deep when we come back.
[01:23:27.720 --> 01:23:28.539]  Stay with us.
[01:23:28.800 --> 01:23:33.020]  Ladies and gentlemen, the limited edition Trump victory.
[01:23:33.579 --> 01:23:36.939]  2024. Battle for the Republic coin just came in.
[01:23:37.100 --> 01:23:38.520]  There's only 4,000.
[01:23:38.659 --> 01:23:41.060]  This is a piece of history, and it funds the Infowar.
[01:23:41.180 --> 01:23:42.180]  A total 360 win.
[01:23:44.260 --> 01:23:56.720]  On one side of the coin with Trump defiantly and Butler fight, fight, fight and the ongoing battle for the republic and winning that strategic battle against the globalists.
[01:23:56.720 --> 01:24:09.949]  On the other side commemorating his inauguration on January 20th, 2025 on our ongoing defense of retaking our republic from the globalists.
[01:24:09.760 --> 01:24:23.800]  So again, it is the battle for the Republic, Trump victory, historic coin, commemorating the victory of 2024 over the deep state and the corporate media and securing the victory in 2025 and the inauguration.
