# Transcription model: large-v3-turbo
[00:00:05.099 --> 00:00:06.759]  You're now entering.
[00:35:51.469 --> 00:35:54.989]  Right. And the reason you want to work for Donald Trump.
[00:35:55.920 --> 00:35:58.019]  As he looks at me and goes, sure.
[00:35:59.639 --> 00:36:03.900]  You realize the President of the United States said if you balance the budget, sure.
[00:36:04.219 --> 00:36:05.480]  And he's not lying.
[00:36:05.719 --> 00:36:06.440]  He's not kidding.
[00:36:06.760 --> 00:36:08.260]  He's like...
[00:36:08.260 --> 00:36:17.179]  We got three things in 1913 on December 23rd at 11.55 at night.
[00:36:18.219 --> 00:36:19.760]  Everybody was out of the House and Senate.
[00:36:19.900 --> 00:36:20.719]  There were three senators.
[00:36:20.940 --> 00:36:21.900]  It's in the history books.
[00:36:22.659 --> 00:36:25.059]  Had fellow reserve experts on countless times like...
[00:36:25.579 --> 00:36:30.880]  The great G.R. Griffin, three senators passed the Federal Reserve Act.
[00:36:31.780 --> 00:36:37.840]  But in the day before that, when there was only 10 or 11 senators there, or earlier in that day, or was it the 22nd?
[00:36:37.900 --> 00:36:39.000]  It was the 23rd they passed Federal Reserve Act.
[00:36:39.159 --> 00:36:53.679]  But in the day before that, they were able to finagle with the states that hadn't even really ratified it, the amendments to take senators from the states.
[00:36:54.329 --> 00:37:00.610]  House members were popular elected since 1789 when our country was officially set up.
[00:37:00.690 --> 00:37:06.190]  Took all those years from the end of the war to actually get it done in the Bill of Rights and the rest of it in the Constitution.
[00:37:07.829 --> 00:37:17.909]  And they gave us the Federal Reserve Act.
[00:37:18.130 --> 00:37:20.090]  They gave us the income tax.
[00:37:21.650 --> 00:37:31.869]  And They took the senators with the amendment, it was the 16th, and moved them to D.C., popular elected, so they could become their own little imperium.
[00:37:34.849 --> 00:37:37.949]  So, this is a big deal.
[00:37:38.650 --> 00:37:45.630]  To be able to take our country back, we need to abolish the Federal Reserve.
[00:37:45.909 --> 00:37:47.269]  We're getting very close.
[00:37:47.610 --> 00:37:51.869]  It was a distant dream 20 years ago with Ron Paul, 30 years ago with G. Ever Griffin.
[00:37:52.159 --> 00:37:52.880]  40 years ago.
[00:37:54.360 --> 00:37:55.679]  And now it's here.
[00:37:56.719 --> 00:37:59.280]  And now getting rid of the IRS is here.
[00:37:59.639 --> 00:38:02.159]  And we need to get the senators back.
[00:38:02.320 --> 00:38:07.260]  But if we have a constitutional convention, they can change the whole constitution during that, so it's very, very dangerous.
[00:38:07.500 --> 00:38:11.199]  But it still would be good to get the senators back to the legislature.
[00:38:11.400 --> 00:38:20.719]  You elect the legislature, and then your legislature, your state, is super powerful because if a senator doesn't vote the way the legislature wants, they recall them.
[00:38:21.530 --> 00:38:27.670]  Like, Davey Crockett was a senator, famously, before he came here and got killed in Texas at the Alamo.
[00:38:27.909 --> 00:38:30.010]  And they kept recalling him.
[00:38:30.150 --> 00:38:31.269]  It was Tennessee.
[00:38:33.050 --> 00:38:35.210]  So, it's happening, ladies and gentlemen.
[00:38:35.349 --> 00:38:37.010]  This is a real revolution.
[00:38:38.150 --> 00:38:41.170]  It's extremely, extremely exciting.
[00:38:42.090 --> 00:38:46.250]  And more and more Democrats are turning into Republicans.
[00:38:46.670 --> 00:38:49.349]  Bill Maher is going to go to the White House now.
[00:38:50.019 --> 00:38:55.219]  And have a friendly discussion with Trump because he realizes his listeners and viewers understand that.
[00:38:55.539 --> 00:39:03.159]  He understands a lot of even the big corporations that know they have to get in line because Trump's already gotten $8 trillion investment coming into the U.S. $2 trillion of it already got here.
[00:39:03.719 --> 00:39:06.139]  He got a couple more trillion just on Friday.
[00:39:06.659 --> 00:39:10.300]  As you know from the UAA, Saudi Arabia, Johnson& Johnson, all of it.
[00:39:10.360 --> 00:39:11.320]  It's actually over $2 trillion.
[00:39:11.420 --> 00:39:15.199]  So it's over $8 trillion now in just the last 60 days.
[00:39:15.710 --> 00:39:19.949]  Now, about $2 trillion has been taken out, record level, out of the U.S. stock market into the EU stock market.
[00:39:20.869 --> 00:39:26.750]  But more and more, even mainline analysts say, looks like Trump's going to be successful.
[00:39:28.469 --> 00:39:33.710]  There still may be a big correction.
[00:39:34.289 --> 00:39:35.829]  They are trying to crash the market.
[00:39:35.949 --> 00:39:39.449]  The whole Soros globalist arm, the whole NATO arm is still doing that.
[00:39:39.510 --> 00:39:41.349]  But this is such an exciting time to be alive.
[00:39:41.730 --> 00:39:44.110]  Now, I want to play a special report here.
[00:39:45.349 --> 00:39:49.989]  And then I'm going to come back and move very quickly through the geopolitical information.
[00:39:51.409 --> 00:39:53.269]  And I know a lot of people are like, why do we care about NATO?
[00:39:53.409 --> 00:39:55.329]  Well, it cares about us trying to drag us into nuclear war.
[00:39:55.789 --> 00:40:01.989]  But it's emblematic of the fall of the globalists because all they have left is the EU and the British Commonwealth systems.
[00:40:02.369 --> 00:40:05.030]  And without the U.S. backing all of that, it's over.
[00:40:05.309 --> 00:40:11.510]  And then what new power alliances and combinations form is very, very important.
[00:40:11.570 --> 00:40:13.050]  And they're now admitting...
[00:40:13.050 --> 00:40:15.650]  Geopolitically, what I've been telling you for decades is the system.
[00:40:16.150 --> 00:40:32.570]  And that the geopolitical rearrangement that I have said is the most advantageous for everybody, for freedom and justice and peace and security and innovation and expansion, is the new power combination I'm going to talk about once I hit this, then I'll get into the huge developments on the border,
[00:40:32.889 --> 00:40:35.130]  the biggest yet, and so much more.
[00:40:35.190 --> 00:40:36.929]  But I want to air this report I shot.
[00:40:38.769 --> 00:40:41.329]  And it's about seven minutes long, and it's...
[00:40:41.500 --> 00:40:43.619]  Most of you'll say, we know this, Alex.
[00:40:43.780 --> 00:40:46.780]  But again, does everybody else know this?
[00:40:46.940 --> 00:40:49.460]  And do you really understand how front and center it is?
[00:40:49.679 --> 00:40:53.000]  It's one thing to know you should exercise and eat healthy.
[00:40:53.099 --> 00:40:53.699]  It's another thing to do it.
[00:40:54.260 --> 00:41:01.719]  It's one thing to know you need to bring your kids upright and warn them and inform them and train them and make them be hardworking.
[00:41:02.000 --> 00:41:03.639]  It's another thing to make them do it.
[00:41:04.719 --> 00:41:07.300]  It's another thing to know you need to get seven hours sleep on average.
[00:41:07.480 --> 00:41:08.699]  It's another thing to actually get it done.
[00:41:10.880 --> 00:41:12.320]  When I lecture you, I'm lecturing myself.
[00:41:12.719 --> 00:41:28.840]  We have to understand the urgency, the historical crossroads, the great turning that's happening that the globalists thought they would use to bring in their total dystopian control and had planned for decades to do, and instead it's all backfiring on them because you are recognized, this audience, this family of activists.
[00:41:29.569 --> 00:41:33.369]  Are recognized for popularizing what's really going on and informing people worldwide.
[00:41:33.769 --> 00:41:37.329]  And for decades they just ignored us and laughed at us and had articles in the New York Times saying, Jones is crazy.
[00:41:37.489 --> 00:41:38.610]  There's no new world order.
[00:41:38.690 --> 00:41:39.590]  There's no corporate government.
[00:41:39.769 --> 00:41:40.789]  There's no global government.
[00:41:40.909 --> 00:41:41.730]  There's no globalism.
[00:41:42.590 --> 00:41:49.449]  Now you have them defending globalism on CNN and the New York Times and the Republicans all saying, you know, the globalists are the enemy.
[00:41:49.690 --> 00:41:56.329]  That doesn't mean all those Republicans are good, but at least we've got it on the table, the different competing worldviews we've got.
[00:41:57.000 --> 00:42:05.280]  So I want to talk about the end of the globalist system, whether they like it or not, and the different ways that can unfold, because we're getting deep into it now.
[00:42:05.380 --> 00:42:08.539]  I mean, we're not in the beginning of the end of the globalists.
[00:42:08.659 --> 00:42:09.599]  That's been the last few years.
[00:42:10.000 --> 00:42:11.920]  We're in the accelerated decline of them.
[00:42:11.980 --> 00:42:13.719]  And I've said, I don't know how fast it'll happen.
[00:42:15.260 --> 00:42:24.619]  It tends to take years for this to really play out, but things are moving so fast on every front, because again, the big population, the speed of information, the speed of goods traveling.
[00:42:25.710 --> 00:42:34.190]  The technology accelerating so fast that it's a very exciting time, but also a very, very dangerous time.
[00:42:34.309 --> 00:42:46.809]  But this is the time for women that are, you know, into hanging out with their friends and watching sitcoms and, you know, think politics is stupid or kind of buy into New York Times CNN garbage to wake up and get informed.
[00:42:47.389 --> 00:42:48.670]  It's time for men.
[00:42:48.969 --> 00:42:54.050]  They just see politics as a hobby, and okay, with conservative friends, they say they're conservatives.
[00:42:54.389 --> 00:42:57.969]  With liberals, they say they're liberals, but they really don't do anything and don't count.
[00:42:58.489 --> 00:43:01.289]  That is such a dangerous lifestyle to live.
[00:43:01.869 --> 00:43:03.949]  And also, it's not invigorating.
[00:43:04.090 --> 00:43:13.269]  And for the average man out there, or woman, do you have any idea if you only care about money, how much money you can make knowing how the world really works?
[00:43:13.329 --> 00:43:17.110]  I mean, if I wanted to be a stock investor, I would be extremely successful.
[00:43:17.869 --> 00:43:24.449]  I've publicly picked stocks, done that, but I'm not involved because if I focused on that, I would focus on it too much because anything I do, I want to do really good.
[00:43:24.570 --> 00:43:31.150]  But just with what I know, general knowledge, and also dialed in, you call it insider trading, but it's not even that.
[00:43:31.210 --> 00:43:32.250]  I just know all this stuff.
[00:43:32.710 --> 00:43:33.650]  It's insane.
[00:43:35.989 --> 00:43:38.309]  So people perish for lack of knowledge.
[00:43:38.449 --> 00:43:42.170]  People become extremely wealthy and successful and empowered with knowledge.
[00:43:43.130 --> 00:43:51.780]  And so knowledge isn't some heavy lifting, You know, dirty thing like cleaning out the garage or doing your laundry.
[00:43:53.039 --> 00:43:54.239]  I like doing my laundry.
[00:43:54.380 --> 00:43:55.260]  I like actually cooking.
[00:43:55.340 --> 00:44:00.659]  Those are fun, mindless, you know, people don't actually like work like that.
[00:44:01.119 --> 00:44:02.019]  I love gardening.
[00:44:02.159 --> 00:44:03.159]  I love mowing the yard.
[00:44:03.440 --> 00:44:04.320]  I never have time to do it.
[00:44:04.360 --> 00:44:05.940]  It's a hard company to do it, but I like it.
[00:44:07.639 --> 00:44:12.000]  But my point is, is that why don't you just get a respirator to breathe?
[00:44:12.820 --> 00:44:14.320]  I mean, you know, is breathing hard?
[00:44:15.360 --> 00:44:16.360]  Is living hard?
[00:44:16.480 --> 00:44:17.219]  Is doing the right thing hard?
[00:44:17.320 --> 00:44:22.119]  No. The wages of not being informed and strong is death.
[00:44:23.519 --> 00:44:33.300]  So here is a report, Cybertruck breakdown, and it's more than us just announcing that next month's thing is going to be the Cybertruck giveaway.
[00:44:34.199 --> 00:44:36.139]  That's just a minute of the seven minutes.
[00:44:36.260 --> 00:44:42.739]  It's really about the philosophy of this, that when I work 18 hours a day to fight tyranny, when I...
[00:44:42.739 --> 00:44:45.599]  Research and engage and work hard.
[00:44:45.730 --> 00:44:47.550]  It is empowering.
[00:44:47.550 --> 00:44:48.690]  It is invigorating.
[00:44:49.110 --> 00:44:50.510]  It is amazing.
[00:44:51.269 --> 00:44:55.630]  And it's just opened up the synapses in my mind.
[00:44:56.070 --> 00:44:57.510]  It has done so many things.
[00:44:57.670 --> 00:44:59.329]  It is a blessing to fight tyranny.
[00:44:59.489 --> 00:45:01.610]  It is a blessing to be persecuted by evil.
[00:45:02.389 --> 00:45:11.750]  Because it's only under that pressure that you find out who you really are and it makes you learn and it makes you discover and it makes you be engaged.
[00:45:12.380 --> 00:45:15.380]  Just like physical exercise, but for the mind and the soul.
[00:45:15.699 --> 00:45:17.260]  And all of you know that.
[00:45:17.480 --> 00:45:19.519]  So are you acting on it?
[00:45:20.099 --> 00:45:20.940]  In general?
[00:45:22.099 --> 00:45:23.940]  Alright, here is the breakdown.
[00:45:24.119 --> 00:45:24.960]  I'm going to come back with all the news.
[00:45:25.059 --> 00:45:25.440]  Stay with us.
[00:45:27.219 --> 00:45:31.139]  As most of you know, there's major changes happening across the planet.
[00:45:31.260 --> 00:45:33.940]  There's a major pro-human revolution happening.
[00:45:34.199 --> 00:45:37.139]  And one of the biggest reasons that's happening is...
[00:45:37.519 --> 00:45:44.280]  People broke the spell from the big corporate woke system, from the BlackRock UN brainwashing system.
[00:45:44.659 --> 00:45:46.960]  The neoliberal world order is dead.
[00:45:47.280 --> 00:45:51.820]  And that's because humanity started calling them on their blood and saying, you're not the moral authority.
[00:45:51.940 --> 00:45:53.079]  You don't tell us how to think.
[00:45:53.179 --> 00:45:54.000]  You don't tell us what to do.
[00:45:54.380 --> 00:45:56.079]  You've got it out for us on record.
[00:45:56.219 --> 00:45:59.460]  You want to make us a bunch of slaves and cut the carbon and make us eat bugs.
[00:46:00.170 --> 00:46:10.610]  And their biggest tool in the past 50 years in the West is attacking companies with wokeism, with political correctness, and boycotting them and shutting them down and going after individuals.
[00:46:10.610 --> 00:46:14.610]  And then the last eight, nine years, deplatforming and debanking and lawfare.
[00:46:14.889 --> 00:46:20.449]  But despite all that, humanity awoken and said,"Fuck you." Well, that's why.
[00:46:20.920 --> 00:46:35.780]  Their fight to take down Tesla and try to take down Elon Musk, Trump's biggest supporter and supporting freedom all over the world and the pro-populist peaceful revolution taking place in Latin America, Asia, Europe, Africa, all over the place, Eastern Europe.
[00:46:36.219 --> 00:46:40.880]  That's why we have to rally behind Elon Musk because he's fighting for us.
[00:46:41.039 --> 00:46:48.340]  When we stand up for the champions who are powerful and smart and strong fighting for us, we stand up for ourselves.
[00:46:48.750 --> 00:46:50.989]  And I know when you hear me say that, you go, well, of course everybody knows that.
[00:46:51.369 --> 00:46:54.110]  Yeah, but do you really act on that?
[00:46:54.389 --> 00:46:56.969]  Do you understand that it's not a little side issue?
[00:46:57.150 --> 00:46:58.150]  It's everything.
[00:46:58.650 --> 00:47:12.710]  The left, with their big corporate money and all their stolen trillions of our taxpayer money in America alone, the Doge has proven way worse than we even thought, and I thought it was bad and knew it was bad, is absolutely falling apart right now.
[00:47:12.849 --> 00:47:13.929]  And it is.
[00:47:14.199 --> 00:47:23.840]  Because the people woke up, because you got motivated, because you donated and supported Trump, because you voted, because you spoke up, because you didn't care about being censored and attacked, and you had the truth on your side.
[00:47:24.199 --> 00:47:28.940]  But we've only won a major series of battles, and we are winning the overall war.
[00:47:29.079 --> 00:47:35.760]  But if we believe that everything's taken care of, and well, you know, Musk is over there, and he's rich, he's powerful, he's okay.
[00:47:36.039 --> 00:47:37.579]  That's a lie, ladies and gentlemen.
[00:47:37.940 --> 00:47:39.039]  And then another level.
[00:47:39.389 --> 00:47:45.550]  The globalists, after Trump eight years ago, openly said in thousands of news articles and TV programs that I was the big enemy.
[00:47:45.889 --> 00:47:50.489]  Because we did have the biggest English-speaking audience, not just news, but period, in the world at that time.
[00:47:50.650 --> 00:47:52.030]  Bigger than Rogan's ever been.
[00:47:52.070 --> 00:47:53.469]  And I'm not in competition with Rogan.
[00:47:53.590 --> 00:47:56.269]  It was recognized billions of views.
[00:47:56.619 --> 00:48:00.099]  On YouTube and other platforms and Facebook a month of my show alone.
[00:48:00.320 --> 00:48:04.260]  And my reporters, Owen, was getting hundreds of millions of views a day!
[00:48:04.579 --> 00:48:05.360]  Paul Watson!
[00:48:05.639 --> 00:48:09.219]  And we were growing and hiring more reporters and building the Infowars network.
[00:48:09.219 --> 00:48:10.199]  And then they came in.
[00:48:11.250 --> 00:48:16.090]  And took us off everything except talk radio and sued me and had rigged court cases.
[00:48:16.190 --> 00:48:19.250]  But because of your support, we hung on.
[00:48:19.369 --> 00:48:20.230]  We stayed on air.
[00:48:20.449 --> 00:48:22.429]  So my fate is tied to Musk.
[00:48:22.610 --> 00:48:24.010]  His fate is tied to mine.
[00:48:24.170 --> 00:48:25.269]  His fate is tied to you.
[00:48:25.389 --> 00:48:26.349]  We're all tied to Trump.
[00:48:26.489 --> 00:48:30.150]  This is a real revolution, but it takes support.
[00:48:30.309 --> 00:48:31.750]  It takes money to do it.
[00:48:31.949 --> 00:48:34.030]  That's why, as a symbol of this.
[00:48:34.670 --> 00:48:49.090]  We went and bought the most awesome Cybertruck, had it wrapped in 1776, the Alex Jones edition, and are going to raffle this off for a lucky winner coming up next month at thealexjonesstore.com.
[00:48:49.269 --> 00:48:52.070]  Now, will getting this truck and raffling it off save the world?
[00:48:52.269 --> 00:48:55.210]  No. But all of us doing...
[00:48:55.210 --> 00:48:56.610]  For me, you know, a big thing.
[00:48:56.610 --> 00:48:57.570]  For Musk, a small thing.
[00:48:57.570 --> 00:48:58.430]  For a lot of you, a big thing.
[00:48:58.639 --> 00:49:00.260]  All of this adds up.
[00:49:00.539 --> 00:49:05.099]  All these little things and middle-sized things and big things add up, and it's that fight.
[00:49:05.239 --> 00:49:08.260]  We're in that intense fight, that battle of inches.
[00:49:08.559 --> 00:49:12.260]  And right now, we're way ahead of them for the first time in modern history.
[00:49:12.960 --> 00:49:16.639]  That's why it's so important that everyone understand that...
[00:49:16.639 --> 00:49:18.199]  Our ideas are superior.
[00:49:18.199 --> 00:49:19.499]  Our ideas are between humanity.
[00:49:19.829 --> 00:49:22.530]  Our ideas are unstoppable if we simply defend them.
[00:49:22.610 --> 00:49:25.230]  And yes, people have started to do that and realize that.
[00:49:25.650 --> 00:49:26.849]  That's why it's so important.
[00:49:27.389 --> 00:49:34.929]  For all of you to support President Trump and all of you to support independent local businesses and independent real media that is now bigger than the corporate dying media.
[00:49:35.230 --> 00:49:47.110]  And you notice the bad guys recognize that we've been the most effective and really woke people up to build the platform and to build the runway and to build the foundation for this incredible relaunch and architecture of the new renaissance.
[00:49:47.369 --> 00:49:50.449]  And the tyrants are in so much trouble, but they're launching their counteroffensive.
[00:49:50.869 --> 00:49:56.949]  If you recognize that it's been my work and my crew's work and our guest work and the films and the shows and I'm working seven days a week.
[00:49:56.949 --> 00:49:59.329]  Most days 15, 16 hours a day.
[00:49:59.329 --> 00:50:01.329]  Some days 20 hours, 24 hours.
[00:50:01.949 --> 00:50:05.469]  And it's paid off because good trumps evil.
[00:50:05.949 --> 00:50:08.329]  Because truth trumps lies.
[00:50:08.570 --> 00:50:11.230]  And because I bet on humanity because I know you're just like me.
[00:50:11.389 --> 00:50:12.389]  So commit.
[00:50:12.889 --> 00:50:17.449]  With whoever you decide to commit, whether it's one group or a hundred Patriot groups, get involved yourself.
[00:50:17.610 --> 00:50:18.389]  Start your own organization.
[00:50:18.610 --> 00:50:24.250]  And the simplest thing to do is to become a VIP member for $30 a month at TheAlexStore.com.
[00:50:24.409 --> 00:50:25.409]  Cancel any time.
[00:50:25.409 --> 00:50:28.829]  You get special deals, special offerings, special sales.
[00:50:29.090 --> 00:50:32.650]  You get $40 to spend each month in the store for $30.
[00:50:33.050 --> 00:50:35.170]  So if you're going to support it all, you've got to do it.
[00:50:35.269 --> 00:50:39.630]  And then, by being a member, it reminds you that you're part of this community.
[00:50:39.869 --> 00:50:42.150]  Regardless of whether you support or not, I'm committed.
[00:50:43.469 --> 00:50:49.869]  But when you realize that when you support us with a proven track record of wrecking the globalists, unlike anyone in the long term...
[00:50:50.480 --> 00:50:54.900]  And building the foundation for where we are right now, you're not doing something for me.
[00:50:55.019 --> 00:50:56.079]  You're doing it for you.
[00:50:56.280 --> 00:51:01.500]  You're not giving something up when you get game-changing, highest-quality supplements that enrich your life and make you healthier and better.
[00:51:01.679 --> 00:51:07.539]  You're not giving something up when you get the widest selection out there, a Patriot apparel, and wear it, and have an adventure meeting all these great people.
[00:51:07.800 --> 00:51:10.719]  Or the collectible knives and other things that are at TheAlexandScore.com.
[00:51:10.880 --> 00:51:18.460]  You are investing in your future and investing in humanity at a time when we are turning the tide and...
[00:51:18.460 --> 00:51:24.080]  Everything I've talked about for decades is now being accepted as the real political paradigm of the world.
[00:51:24.269 --> 00:51:25.010]  I was right.
[00:51:25.150 --> 00:51:41.150]  I was vindicated because I'd studied history, and I interviewed all the experts, and I read what the Globals were planning, and I saw that all their old plans they had, 56 years ago, they got done in the last 20 years, and now they've got the horrible depopulation and the post-human world and this fucking nightmare set up for us.
[00:51:42.070 --> 00:51:43.690]  This is the key.
[00:51:43.949 --> 00:51:45.650]  This is the time to press the attack.
[00:51:46.159 --> 00:51:47.119]  I need your support.
[00:51:47.300 --> 00:51:48.360]  The ball's in your court.
[00:51:48.559 --> 00:51:56.440]  But whatever you do, understand that the spell is broken and letting these tyrants know that we don't follow their words and their cult programming and their systems anymore.
[00:51:56.559 --> 00:52:03.960]  Because not only are they not the moral authority, they are proven evil cult members, death cult sickos that want us to be their slaves.
[00:52:04.099 --> 00:52:05.980]  And to them, I say, fuck you!
[00:52:06.539 --> 00:52:15.880]  You fucked around and found out and we've only begun to fight and your reign of terror is coming to an end and you think all your swatting and all your terrorism and all your burning shit down scares us.
[00:52:16.179 --> 00:52:18.119]  All your doings waking up humanity.
[00:52:18.679 --> 00:52:36.280]  These are their death throes right now and I'm just blessed and honored to be seeing this victory because even we weren't having this quick of a victory and this huge success, I would still keep fighting because it's a spiritual decision that you make that actually chooses where your destiny and your eternal And where your energy resonates,
[00:52:36.780 --> 00:52:38.880]  it truly is the journey being the destination.
[00:52:39.249 --> 00:52:46.519]  So take your desk in your hand now, and whatever you do, redouble your efforts in the Infowar, because we're winning, and it's time to finish these terrorists off.
[00:52:46.519 --> 00:52:59.938]  There's a lot of amazing T-shirt designs out there, but this is an art masterpiece, and boy, does it send a message.
[00:52:59.938 --> 00:53:01.269]  Elon Musk with a chainsaw.
[00:53:01.278 --> 00:53:03.648]  *Loud music*
[00:53:03.659 --> 00:53:04.719]  And then this.
[00:53:04.940 --> 00:53:06.139]  Selling out fast.
[00:53:06.380 --> 00:53:10.440]  Learn about all this and more at realalexjones.com.
[00:53:10.559 --> 00:53:13.259]  Funding the second American Revolution worldwide.
[00:53:13.259 --> 00:53:18.959]  The American Revolution worldwide.
[00:53:18.960 --> 00:53:24.500]  Get your limited edition Gulf of America shirt at realalexjones.com.
[00:53:24.760 --> 00:53:30.320]  And the limited edition Spartan trench warfare knife.
[00:53:32.019 --> 00:53:36.480]  Engraved with the Spartan and the words, tip of the sphere, the legendary M4 is on the other side.
[00:53:37.079 --> 00:53:37.880]  This is high quality.
[00:53:38.099 --> 00:53:38.739]  This is powerful.
[00:53:39.079 --> 00:53:43.758]  Find this and more Patriot apparel and other incredible supplements at realalixjones.com.
[00:53:54.090 --> 00:53:57.289]  All right, we are live at 1225 Central Standard Time.
[00:53:57.429 --> 00:54:03.030]  We've got a lot of other news and some really hilarious stuff coming up at the end of the broadcast in about an hour.
[00:54:04.030 --> 00:54:08.369]  But again, thank you for joining us on this live March 22nd, 2025 transmission.
[00:54:08.949 --> 00:54:17.849]  Remember, if you're watching at X at Real Alex Jones, share that live feed on your email list, your text message, share it on X. Hey, Alex Jones is on air, breaking major news.
[00:54:18.010 --> 00:54:18.610]  Tune in now.
[00:54:18.750 --> 00:54:19.949]  See the forbidden transmission.
[00:54:20.369 --> 00:54:21.389]  You're the real power.
[00:54:21.550 --> 00:54:22.289]  You're the Paul Revere.
[00:54:22.429 --> 00:54:24.030]  Share the links now, and I salute you and thank you.
[00:54:25.130 --> 00:54:25.650]  All right.
[00:54:29.369 --> 00:54:31.130]  Let's plow into more of the news.
[00:54:31.829 --> 00:54:40.730]  So, NATO was set up at the end of World War II, along with the European Union, via the OECD that was the Marshall Plan Corporation that the central bank set up.
[00:54:40.889 --> 00:54:44.309]  And it's come out in even the new JFK documents that Trump released.
[00:54:44.469 --> 00:54:45.050]  It wasn't all of them.
[00:54:45.170 --> 00:54:45.769]  They lied.
[00:54:45.969 --> 00:54:46.369]  He didn't lie.
[00:54:47.409 --> 00:54:56.269]  Trump's all pissed off about it because they held back about a third of the 20% that he didn't release five years ago in his last year of his administration.
[00:54:56.710 --> 00:55:00.510]  But in the ones we did get, there's a lot of amazing stuff.
[00:55:00.510 --> 00:55:02.090]  And I've got Roger Stone coming on Monday.
[00:55:02.309 --> 00:55:03.849]  We're going to be getting into a lot of that.
[00:55:04.670 --> 00:55:07.869]  But in there is the OECD.
[00:55:08.480 --> 00:55:16.659]  Making a deal with the CIA when Kennedy wasn't giving them money for narcotics trafficking and things, that they were going to do their narcotics trafficking and put the money into the OECD.
[00:55:17.139 --> 00:55:20.360]  So it's a big deal, the Organization of Economic Cooperative Development.
[00:55:20.639 --> 00:55:32.599]  And so NATO has said publicly for a decade they need a war with Russia to legitimize their expansion and continued existence, and that NATO's been expanding all over the world as the UN global government police force.
[00:55:32.980 --> 00:55:42.050]  But before it was Europe, what was left of the British Empire, and the new American Empire, That set up the globalist order, the big dominant world system with the dollar at the center of it.
[00:55:42.469 --> 00:55:46.289]  But that system was getting rid of America's freedom, Europe's freedom, doing all this.
[00:55:46.389 --> 00:55:49.130]  So we've had a revolution here, and we're changing that.
[00:55:49.190 --> 00:55:52.829]  And people are trying to have a revolution in Europe, New Zealand, Australia, Canada.
[00:55:53.730 --> 00:55:56.809]  And in most places, the patriots are winning, but they're canceling elections.
[00:55:56.809 --> 00:55:58.630]  They're arresting the people that win the presidencies.
[00:55:58.809 --> 00:56:03.210]  In places like Romania, they're now saying they'll do it if there's an election they don't like in Poland.
[00:56:03.210 --> 00:56:04.969]  I've got articles on that I'll show you in a moment.
[00:56:06.110 --> 00:56:15.429]  So all the globalists have left is what's left of the British Empire, the corrupt EU with horrible demographics and the worst financial numbers in the world other than China.
[00:56:15.969 --> 00:56:18.170]  And now it's admitted that the EU...
[00:56:18.679 --> 00:56:31.920]  When the U.S. started pulling away from China 15 years ago, because China double-crossed the globalist deal, that the China would have all the rare earth minerals, all the major manufacturing, sell it through globalist middlemen, not cut them out, and not expand into the South China Sea, much less the whole world.
[00:56:32.260 --> 00:56:34.119]  Well, starting about 20 years ago, they started double-crossing.
[00:56:34.199 --> 00:56:43.239]  But 15 years ago, you saw the China pivot, where it was no longer the Middle East that was the excuse for weapons expenditures and wars and bombing and money laundering.
[00:56:43.840 --> 00:56:46.139]  And they shifted to Ukraine.
[00:56:47.069 --> 00:56:55.190]  And that being the money laundering operation and starting a war with Russia and with encircling China, who I'm no fan of, but they were breaking with the globalists.
[00:56:55.289 --> 00:56:57.170]  And now Xi Jinping says, have three kids or more.
[00:56:57.389 --> 00:57:01.849]  We'll pay you to have kids, not kill your second kid with the one-child policy.
[00:57:02.489 --> 00:57:05.530]  So Xi Jinping talks about the New World Order, the globalists.
[00:57:05.610 --> 00:57:12.349]  He's not with them, but he's using the same globalist system they taught them of the social credit score, the total surveillance, the police state.
[00:57:13.190 --> 00:57:15.250]  So the globalists really started...
[00:57:16.360 --> 00:57:23.179]  Falling apart 14, 13, 10 years ago to now because their plan fell apart.
[00:57:23.440 --> 00:57:30.880]  And then the public woke up to eating the bugs, being enslaved, not having mobility, 15-minute cities, agenda 2030.
[00:57:31.280 --> 00:57:41.679]  And so we were here exposing it, others were exposing it, Brexit, all that, more and more heat on the EU being unelected, being set up as a trade deal, the commission, the parliament being ceremonial.
[00:57:42.239 --> 00:57:46.139]  And now because they're canceling elections and things, it's forcing it all out in the open.
[00:57:46.719 --> 00:57:49.460]  So they're declining culturally, financially.
[00:57:50.079 --> 00:57:57.300]  And Trump is ending the 80 plus percent that the U.S. funds of the Ukraine proxy hybrid war.
[00:57:57.699 --> 00:57:59.619]  And it wasn't 50 percent we were funding NATO.
[00:57:59.679 --> 00:58:09.400]  Now we learn it's over 70. And so when Trump pulled the funds and said we're not going to do it, they said three weeks ago and had their emergency meeting in Paris, oh yeah, we've got the funding, but they didn't agree.
[00:58:10.250 --> 00:58:12.369]  And then last week they said, well, it all fell apart.
[00:58:13.369 --> 00:58:21.050]  And now they're admitting this is the end of NATO, and they're saying five to ten years to rebuild their military.
[00:58:21.929 --> 00:58:25.230]  But then when it comes to doing any funding, to even start that, there's no funding.
[00:58:27.070 --> 00:58:31.510]  So they can try to pull money out of the stock market to crash it here and then come back and buy it up, but that's not going to work.
[00:58:31.630 --> 00:58:33.670]  It'll just rebound, even if they're able to do that.
[00:58:33.769 --> 00:58:35.489]  But it looks like they're failing at that.
[00:58:36.199 --> 00:58:39.920]  And all the put options they put in the last few months for the middle of March, which we've now passed.
