# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: a23bf4b0a482f14c0e2864bd70b6756b
[00:00:03.040 --> 00:00:04.240]  It's Sunday night.
[00:37:35.599 --> 00:37:35.840]  Okay.
[00:37:36.320 --> 00:37:43.280]  It's not that just it's a population replete with criminals who are stealing from everybody they can.
[00:37:43.599 --> 00:37:46.400]  Within their own community, they don't even lock their doors.
[00:37:46.720 --> 00:37:48.079]  They don't steal from each other.
[00:37:48.400 --> 00:37:50.079]  They don't scam each other.
[00:37:50.960 --> 00:37:55.920]  So understand when they're running these billion-dollar scams, it's not like they're scamming their own people.
[00:37:56.159 --> 00:37:57.200]  They know exactly what they're doing.
[00:37:57.280 --> 00:37:58.159]  They're scamming you.
[00:37:58.480 --> 00:38:00.640]  They're scamming the non-Somali people.
[00:38:00.960 --> 00:38:05.200]  They're scamming America and Americans, and they know that, which is why they do it.
[00:38:05.440 --> 00:38:07.119]  They don't scam themselves.
[00:38:07.440 --> 00:38:15.119]  This isn't a matter of just a low trust population coming into an area and just committing crimes against everybody.
[00:38:15.440 --> 00:38:16.400]  No, it's a community.
[00:38:16.559 --> 00:38:20.559]  It's a population unified, cohesive.
[00:38:22.800 --> 00:38:28.559]  One block together conspiring to scam everybody else.
[00:38:29.760 --> 00:38:33.599]  Listen, I'm going to say this, and I'm going to say it loud and clear.
[00:38:33.920 --> 00:38:38.400]  We don't care that Somalians are being deported.
[00:38:38.960 --> 00:38:41.039]  They're not our concern.
[00:38:41.680 --> 00:38:45.680]  See, I don't have no hate for nobody, right?
[00:38:46.000 --> 00:38:55.599]  Well, I do understand that we have groups over here or groups that inspire to come to America that don't like black Americans.
[00:38:55.920 --> 00:39:00.240]  Because, see, we the great people of society.
[00:39:00.559 --> 00:39:06.079]  So when they come over here, they already have some type of disdain towards us.
[00:39:06.400 --> 00:39:08.000]  And we ain't did nothing to these people.
[00:39:08.320 --> 00:39:09.920]  See, I've been to Minnesota.
[00:39:10.240 --> 00:39:16.880]  And when I was in Minnesota visiting my son, because he live up there, man, these Somalians are everywhere and they rude.
[00:39:17.200 --> 00:39:18.640]  They act like you're not there.
[00:39:18.800 --> 00:39:21.599]  When you speak to them, they look at you like you foreign.
[00:39:21.920 --> 00:39:24.240]  And I'm like, man, you in my country.
[00:39:24.480 --> 00:39:25.920]  Why are you looking all stank?
[00:39:26.320 --> 00:39:27.519]  So get them out, Trump.
[00:39:27.599 --> 00:39:28.079]  Yeah, get them.
[00:39:29.280 --> 00:39:34.559]  Now, if you've studied human psychology, what do you do to a group you're going to abuse and rob?
[00:39:34.720 --> 00:39:35.920]  You demonize them.
[00:39:36.559 --> 00:39:42.960]  And if you're a pirate slaver culture tribe, these aren't, this isn't Somalis.
[00:39:43.840 --> 00:39:46.559]  These are the ruling slave masters.
[00:39:47.519 --> 00:39:50.639]  When you do that, everybody else is scum and sub-human.
[00:39:50.880 --> 00:39:53.920]  That's how you allow yourself to kill everybody and treat everybody like crap.
[00:39:54.240 --> 00:39:58.480]  But under Christianity, whether you believe in God or not, we believe God made us all.
[00:39:58.559 --> 00:40:00.320]  You judge people by how they act.
[00:40:00.639 --> 00:40:03.519]  And then that unifies and builds great civilizations.
[00:40:03.840 --> 00:40:07.280]  In Africa, the most successful countries and groups are Christian.
[00:40:08.240 --> 00:40:12.480]  And then they always get invaded and taken over by non-Christians, Muslims, you name it.
[00:40:13.119 --> 00:40:15.519]  Real Christianity works.
[00:40:16.480 --> 00:40:19.119]  And it transcends the race and all this crap.
[00:40:19.760 --> 00:40:21.760]  And that's what the globalists want to get rid of it.
[00:40:23.680 --> 00:40:30.079]  So, yeah, they're here telling you I'm the captain now because we have literally brought in the ruling mafia of Somalia.
[00:40:30.400 --> 00:40:31.599]  Remember the movie Captain Phillips?
[00:40:31.679 --> 00:40:32.619]  It's a true story or it's a club.
[00:41:14.160 --> 00:41:15.440]  We pushed the ship too hard.
[00:41:15.680 --> 00:41:16.480]  We're off the grid.
[00:41:16.720 --> 00:41:19.680]  You see, they use real ruling class Somalis for this movie.
[00:41:20.240 --> 00:41:21.039]  Unlike Black On Down.
[00:41:21.599 --> 00:41:25.680]  Captain, no one gets hurt if you don't play no game.
[00:41:27.680 --> 00:41:28.960]  The ship's broken.
[00:41:29.519 --> 00:41:30.000]  We had to go.
[00:41:30.400 --> 00:41:31.680]  Nobody gets hurt.
[00:41:32.320 --> 00:41:33.119]  Easy.
[00:41:34.559 --> 00:41:35.039]  Hey!
[00:41:36.960 --> 00:41:37.920]  Look at me, sure.
[00:41:38.640 --> 00:41:39.519]  Look at me, sure.
[00:41:39.679 --> 00:41:40.500]  I'm the captain now.
[00:41:45.278 --> 00:41:59.349]  Here's a Somali's protesting Trump right now in Somalia.
[00:42:00.000 --> 00:42:01.360]  Let's go back to that clip earlier.
[00:42:01.440 --> 00:42:02.880]  You talk about I'm the captain now.
[00:42:03.440 --> 00:42:14.159]  Imagine the arrogance here that somebody would be this arrogant and say we're going to rule you.
[00:42:14.480 --> 00:42:15.840]  There's only 200,000 Somalis.
[00:42:15.920 --> 00:42:16.720]  But that's the attitude.
[00:42:16.960 --> 00:42:26.320]  That's the attitude you got to have to run slaves and kidnap and murder and pirate everybody, including other Africans.
[00:42:26.960 --> 00:42:30.640]  And then I got one guy talking in Somali, but I'll read over it saying similar things.
[00:42:30.800 --> 00:42:32.000]  This came out today.
[00:42:32.880 --> 00:42:36.640]  So go ahead and air clip 22 and clip 8 back to back here there.
[00:42:38.240 --> 00:42:44.400]  My biggest fear in life is that this man may never witness our full takeover.
[00:42:44.720 --> 00:42:47.039]  Yes, he may never witness that.
[00:42:47.360 --> 00:42:51.920]  He already witnessed our partial takeover, our little success in America.
[00:42:52.240 --> 00:42:58.960]  And he's the reason actually I know that the community in America is thriving.
[00:43:00.240 --> 00:43:01.119]  He's how I know.
[00:43:01.280 --> 00:43:05.200]  It's like he's how we measure our progress.
[00:43:07.119 --> 00:43:08.079]  Somebody messed up.
[00:43:08.240 --> 00:43:08.640]  I know it.
[00:43:08.880 --> 00:43:10.960]  Somebody fucked up the plan.
[00:43:11.599 --> 00:43:13.360]  If he tweeted, I know.
[00:43:14.240 --> 00:43:14.720]  I know.
[00:43:14.960 --> 00:43:16.400]  We're doing the right things.
[00:43:16.640 --> 00:43:18.320]  Yes, that's how I know.
[00:43:18.960 --> 00:43:22.000]  So he's old and sick, I know.
[00:43:22.480 --> 00:43:28.000]  He may not witness our full takeover, but I promise you that his sons will witness.
[00:43:28.320 --> 00:43:30.640]  This guy's been brought up from birth that he is your ruler.
[00:43:32.160 --> 00:43:35.360]  We came to exist in this country.
[00:43:35.680 --> 00:43:37.920]  And then he says, you know, you white people conquered this country.
[00:43:38.000 --> 00:43:38.720]  It wasn't a country then.
[00:43:39.440 --> 00:43:40.559]  And now we're going to conquer you.
[00:43:40.640 --> 00:43:41.600]  He says it's the right to conquer.
[00:43:41.680 --> 00:43:42.720]  No, he says a right to conquer.
[00:43:42.800 --> 00:43:43.440]  He's just a pirate.
[00:43:43.519 --> 00:43:44.720]  He says, I have a right to conquer.
[00:43:46.320 --> 00:43:47.120]  And we're not leaving.
[00:43:48.000 --> 00:43:49.120]  We're not going back.
[00:43:49.440 --> 00:43:50.480]  What do you mean, go back?
[00:43:50.800 --> 00:43:51.840]  You should go back first.
[00:43:52.160 --> 00:43:54.160]  You see, if you come first, you go first.
[00:43:54.720 --> 00:43:55.280]  See?
[00:43:55.920 --> 00:43:56.880]  Just like you.
[00:43:58.720 --> 00:44:01.120]  Tell me how you own this land.
[00:44:01.360 --> 00:44:03.600]  Explain to the world how this land became.
[00:44:04.000 --> 00:44:06.480]  You guys see this video from a Somali immigrant.
[00:44:06.559 --> 00:44:07.840]  He's telling us what's what.
[00:44:10.800 --> 00:44:12.400]  Somalis are all over the society media.
[00:44:12.960 --> 00:44:16.000]  They team up at manga and make America great again, which is Team of Trump.
[00:44:17.360 --> 00:44:17.920]  They're humiliated.
[00:44:18.160 --> 00:44:19.360]  Let them fight continue.
[00:44:19.519 --> 00:44:20.400]  Keep fighting this way.
[00:44:20.960 --> 00:44:21.760]  Minnesota is ours.
[00:44:21.920 --> 00:44:22.640]  America is ours.
[00:44:23.280 --> 00:44:23.920]  Well, there you have it.
[00:44:24.000 --> 00:44:24.960]  They've taken Minnesota.
[00:44:25.120 --> 00:44:26.800]  They're going to take out the rest of America, too.
[00:44:27.039 --> 00:44:29.840]  And you have got to admire the confidence, right?
[00:44:30.480 --> 00:44:36.880]  That is a lot of bravado, especially when you consider that none of that confidence or bravado helped them to take Somalia.
[00:44:37.200 --> 00:44:39.039]  And just a quick tip here, Sport.
[00:44:39.680 --> 00:44:50.960]  If you don't have what it takes to take out a couple of strung-out warlords, you do not want to dabble with rural America because we got a lot of country boys and veterans that, quite frankly, they've been itching to get back into it.
[00:44:51.600 --> 00:44:53.360]  All right, that's a classic good old boy thing.
[00:44:53.440 --> 00:44:58.160]  And I'm not trying to be mean to this guy, but the day I see you in blue helmets, it's all over.
[00:44:58.480 --> 00:45:13.920]  The Somali ruling slave party is only one little piece of what the Clintons call the broken coalition, where they get all these broken up, controlled groups that hate America, that are organized and controlled, and then suck off everything, commit all this crime, and defund the police and bring society down.
[00:45:14.240 --> 00:45:15.920]  So we're in deep trouble.
[00:45:16.240 --> 00:45:20.400]  No, it won't be the Somalis that ever rule us, but it'll be the globalists collapsing us.
[00:45:21.680 --> 00:45:24.000]  So, oh, good old boys take you out.
[00:45:24.160 --> 00:45:24.960]  Don't you worry.
[00:45:25.760 --> 00:45:34.480]  Yeah, while you are out in the country, and while just like Texas, and I love Texas, my family's Texas as it gets.
[00:45:35.360 --> 00:45:37.360]  And I go out and see family, and they're all veterans and everything.
[00:45:37.600 --> 00:45:39.200]  It's like, well, they'll never get Texas.
[00:45:39.440 --> 00:45:45.840]  We're two inches away because of the fraud and the gerrymandering and all of it from losing the damn state.
[00:45:46.480 --> 00:45:52.320]  California used to be redder than Texas.
[00:45:53.600 --> 00:45:56.079]  But they got control and took over with fraud.
[00:45:57.600 --> 00:46:01.120]  So this overconfidence is killing us.
[00:46:02.079 --> 00:46:04.160]  Yeah, obviously the Somalis are going to take over.
[00:46:04.400 --> 00:46:09.120]  It just shows what the left will bring in here, and it's got people's attention.
[00:46:09.440 --> 00:46:12.160]  Now they've discovered 8 billion they stole.
[00:46:14.079 --> 00:46:16.560]  Billions of it sent back to terror groups.
[00:46:18.160 --> 00:46:23.200]  And you know, Nick Fuente says, it was like, well, I think Islam's a threat in Europe, but not here.
[00:46:23.519 --> 00:46:27.039]  If they get five, six, seven percent and vote in a block with Democrats, they win.
[00:46:27.120 --> 00:46:29.360]  Same thing with socialists in Europe.
[00:46:30.000 --> 00:46:33.840]  And they donate most of their money into their political machine for power.
[00:46:34.720 --> 00:46:40.000]  So the average American, whether they're black or white or whatever, isn't really involved in politics, doesn't donate money, doesn't get engaged.
[00:46:40.320 --> 00:46:40.800]  They do.
[00:46:42.960 --> 00:46:44.320]  And they're a major game changer.
[00:46:44.400 --> 00:46:46.560]  And the average Muslim has six kids.
[00:46:47.840 --> 00:46:50.000]  The average person in the West, like 1.5.
[00:46:50.960 --> 00:46:53.760]  Two adults, 1.5 kids on average.
[00:46:55.039 --> 00:46:58.960]  And they say, I'm having a bunch of kids, putting them all on welfare because I'm taking over.
[00:47:00.560 --> 00:47:05.120]  So the good old boy saying, we got the guns, Somali tried.
[00:47:05.440 --> 00:47:10.240]  And, you know, Nick, who I'm not saying is a bad guy, but he wants to focus only on Israel.
[00:47:10.560 --> 00:47:14.000]  And so because, oh, wait, we can't have people worrying about Islam.
[00:47:14.320 --> 00:47:15.519]  It's only got to be about Israel.
[00:47:15.680 --> 00:47:21.280]  I got big problems with Israel, but I don't have a singular tunnel vision on it.
[00:47:23.520 --> 00:47:30.400]  Like Christian Zionists that worship it and think you got to do everything whoever's in power in Israel says, or people that only talk about Israel.
[00:47:30.560 --> 00:47:35.840]  I'm going to talk about communist China and all the stuff it's doing domestically to us and how they could take down 200 million of our phones.
[00:47:36.000 --> 00:47:38.800]  They caught the Sims Center in New York.
[00:47:38.960 --> 00:47:40.480]  People are like, I post a video about it.
[00:47:40.640 --> 00:47:41.840]  What are you doing covering with Israel?
[00:47:42.160 --> 00:47:44.480]  What are you doing covering for the rest of the world?
[00:47:46.960 --> 00:47:51.120]  I cover all the issues: the threat of AI, fentanyl, all of it.
[00:47:51.280 --> 00:47:52.480]  We cover it all.
[00:47:54.960 --> 00:47:58.080]  But you've got to look at all the major pieces.
[00:47:58.400 --> 00:48:00.240]  Now, I started getting into Elon Musk.
[00:48:00.320 --> 00:48:09.680]  This is so important with the EU openly trying to run our speech, literally coming after the American people in thousands of ways.
[00:48:10.640 --> 00:48:11.760]  Internet ID, all of it.
[00:48:11.920 --> 00:48:13.040]  And Musk is battling them.
[00:48:13.200 --> 00:48:15.040]  He didn't just get in this fight now, though.
[00:48:15.120 --> 00:48:17.440]  They just fight him 140 million euros.
[00:48:17.760 --> 00:48:24.880]  Plus, when the EU is funding all these attacks on Trump through NGOs, Musk stood up to it.
[00:48:24.960 --> 00:48:27.600]  And Musk put out Friday, hey, Trump, I stood up for you, stand up for me.
[00:48:27.920 --> 00:48:29.120]  Stand up to this.
[00:48:29.760 --> 00:48:33.280]  And if the EU can censor Musk, they can censor all of us.
[00:48:33.920 --> 00:48:36.320]  They're taking on our lead elephant.
[00:48:36.960 --> 00:48:40.160]  And Musk said the litmus test is: is somebody for free speech or aren't they?
[00:48:40.400 --> 00:48:41.920]  Bad guys are against free speech.
[00:48:42.160 --> 00:48:43.280]  Good guys are for it.
[00:48:43.600 --> 00:48:52.000]  And other than Trump and Musk, and I'm certainly junior to them, which is great.
[00:48:52.320 --> 00:48:54.640]  Being the top dog is dangerous.
[00:48:56.560 --> 00:49:03.920]  But we're recognized by the globalists and the CIA and all of them as the main progenitor of the resistance worldwide, not just here.
[00:49:04.720 --> 00:49:06.640]  And they want us off the air.
[00:49:08.240 --> 00:49:09.360]  So I need your backing.
[00:49:09.440 --> 00:49:10.800]  I need your word of mouth and your prayer.
[00:49:10.960 --> 00:49:12.480]  The bad guys fear this message.
[00:49:12.720 --> 00:49:13.520]  That's because it's accurate.
[00:49:13.600 --> 00:49:14.480]  It's over the target.
[00:49:14.640 --> 00:49:16.000]  Share the feeds.
[00:49:16.960 --> 00:49:27.840]  And pray for the broadcast and support it financially while getting great products that work great, which is a symbiotic relationship, a win-win, a 360 win, a non-zero sum game.
[00:49:28.480 --> 00:49:35.200]  The very best supplements, the widest selection of Patriot Barrel, and so much more at thealxjonstore.com.
[00:49:36.160 --> 00:49:40.320]  Tomorrow night, the biggest sale we're going to have this Christmas ends.
[00:49:41.280 --> 00:49:51.680]  Buy any supplement, the ultramethylene blue, the shilogy, the bovine colostrum, all of its the best, the very best turmeric, all of its proven private labels of top brands at lower prices.
[00:49:52.640 --> 00:49:54.320]  We're not reinventing the wheel here.
[00:49:54.960 --> 00:49:57.920]  Buy any supplement, get any other supplements free.
[00:49:58.000 --> 00:50:00.320]  Now, why is that different from buy one, get one free before?
[00:50:00.400 --> 00:50:01.600]  Which are already great.
[00:50:02.880 --> 00:50:06.400]  You can buy a $20 supplement and get a $40 one free.
[00:50:06.720 --> 00:50:09.600]  You can buy a $30 supplement and get a $45 one free.
[00:50:10.480 --> 00:50:13.840]  And these have the very best ingredients, the highest quality, the very best.
[00:50:14.080 --> 00:50:15.280]  Shilogy will change your life.
[00:50:15.440 --> 00:50:15.920]  We've got the best.
[00:50:16.080 --> 00:50:18.560]  Iris CMOS will change your life.
[00:50:18.640 --> 00:50:19.360]  We have the best.
[00:50:19.680 --> 00:50:22.320]  Our spike protein, cardiovascular detox is incredible.
[00:50:22.400 --> 00:50:23.440]  It's so good for your whole body.
[00:50:23.760 --> 00:50:25.520]  We have the best formula, hands down.
[00:50:25.760 --> 00:50:27.040]  Ultimate Life Force.
[00:50:28.000 --> 00:50:32.000]  It's all there at theAlexJonesStore.com.
[00:50:32.240 --> 00:50:38.560]  Please make the simple decision to not spend all the gas money and fight the crowds and go to malls and do all this stuff.
[00:50:39.200 --> 00:50:42.720]  Give your family a bottle of ultramethylene blue.
[00:50:42.960 --> 00:50:47.680]  Give your brother, your sister, your grandma, your grandpa, your son, your daughter, get a bottle of turmeric.
[00:50:47.920 --> 00:50:49.840]  Ours is 95%, the strongest out there.
[00:50:49.920 --> 00:50:51.440]  The regular turmeric works great, 4%.
[00:50:52.160 --> 00:50:52.480]  Yeah.
[00:50:54.640 --> 00:50:55.360]  It's all there.
[00:50:55.520 --> 00:50:56.720]  We have the best bovine colostrum.
[00:50:56.800 --> 00:50:58.880]  Everybody does for your skin, your hair, your whole body.
[00:50:59.120 --> 00:50:59.840]  We've got the best.
[00:51:00.160 --> 00:51:04.720]  First two weeks of the milk a cow puts out are a super nutrient of supernutrients.
[00:51:04.800 --> 00:51:07.840]  Ours is 2,000 milligrams per scoop, the strongest out there.
[00:51:09.040 --> 00:51:10.960]  Give the gift to your family.
[00:51:11.280 --> 00:51:14.880]  Now, if you give them ultramethylene blue, you got to give them a card and say, listen, check with your physician.
[00:51:15.280 --> 00:51:16.000]  Have drug interactions.
[00:51:16.160 --> 00:51:16.960]  This is powerful.
[00:51:17.200 --> 00:51:19.760]  It detoxifies your mitochondria, gives you engine energy.
[00:51:20.080 --> 00:51:22.720]  But be careful because you're giving them a firecracker.
[00:51:23.040 --> 00:51:23.520]  All right.
[00:51:25.680 --> 00:51:31.040]  My point is: do your Christmas shopping, get it done, don't waste a bunch of money and time.
[00:51:31.360 --> 00:51:35.280]  Fund the defense of the future and your liberty and your freedom and all this collectively.
[00:51:35.360 --> 00:51:36.240]  Keep us on the air.
[00:51:36.560 --> 00:51:38.160]  Oh, yeah, ultra-methylene red just came back in.
[00:51:38.240 --> 00:51:38.720]  Limited shipment.
[00:51:38.800 --> 00:51:39.360]  Oh, forgot about that.
[00:51:39.440 --> 00:51:40.320]  Wow, nobody's got that.
[00:51:40.640 --> 00:51:41.600]  That is insanely good.
[00:51:41.840 --> 00:51:42.960]  Take an hour to get into it all.
[00:51:43.120 --> 00:51:44.480]  Get ultra methylene red.
[00:51:45.120 --> 00:51:47.920]  It turbocharges methylene blue or goes great by itself.
[00:51:48.240 --> 00:51:53.600]  We got creatine super nano concentrated gummies in creatine, incredible.
[00:51:53.680 --> 00:51:57.520]  We got the best and so much more at theologyshipstore.com.
[00:51:57.680 --> 00:51:58.640]  Thanks for your support.
[00:51:58.960 --> 00:52:00.160]  You aren't just helping us.
[00:52:00.240 --> 00:52:01.200]  You are the info war.
[00:52:01.440 --> 00:52:03.360]  Hour number two, straight ahead.
[00:52:04.560 --> 00:52:06.560]  My hip and the right to arrest.
[00:52:06.800 --> 00:52:09.760]  I'm the guy who's a boss on this highway.
[00:52:10.080 --> 00:52:12.800]  So watch out what you're doing when you're driving my way.
[00:52:13.120 --> 00:52:15.360]  If you break the law, you'll hear from me.
[00:52:15.520 --> 00:52:17.680]  I know I'm a working for the state.
[00:52:17.840 --> 00:52:19.600]  I'm the highway patrol.
[00:52:20.880 --> 00:52:22.800]  All right, I want to finish yellow with some of the Islam stuff.
[00:52:23.680 --> 00:52:25.840]  It's hard to because I got literally hundreds of other incredible clips.
[00:52:27.040 --> 00:52:30.240]  Just know this: Elon Omar went into Congress six years ago with zero money.
[00:52:30.320 --> 00:52:31.840]  She's worth 30 million we know of now.
[00:52:32.080 --> 00:52:34.400]  And I bet my right arm it's 100 million.
[00:52:34.720 --> 00:52:36.240]  Now that's a pirate.
[00:52:37.200 --> 00:52:38.480]  And she's got this attitude.
[00:52:38.560 --> 00:52:40.080]  And she's here to, she's like the Joker.
[00:52:40.160 --> 00:52:43.920]  She's here to take us down and everybody else around her.
[00:52:44.880 --> 00:52:50.640]  I mean, you think running slave pits and kidnapping rings and pirate operations and murder for hire got to be nice people.
[00:52:51.600 --> 00:52:55.840]  You don't be part of that unless you think it's your right and everybody else's animals.
[00:53:00.000 --> 00:53:06.640]  Now, here's the head of the Muslim Brotherhood a few years ago.
[00:53:07.280 --> 00:53:19.600]  Qatar Al Jazeera boss Wada Kanfar openly bragging about the plan to take down America and the West.
[00:53:19.680 --> 00:53:20.320]  Here it is.
[00:53:21.280 --> 00:53:34.560]  Every civilization has its own model, and the Western one has reached its final stages and it is collapsing at this moment in time in every aspect.
[00:53:35.120 --> 00:53:40.800]  And other civilizations like Muslims or Chinese or whoever could participate in building this new Mudel.
[00:53:40.960 --> 00:53:42.960]  West has been declining, China has been rising.
[00:53:43.200 --> 00:53:46.000]  A new challenge to the Western order has been presented.
[00:53:46.320 --> 00:53:59.440]  We need to take full advantage because you should remember when the international order is cracking and weakened, the people in the margin have much better opportunity to relocate themselves and to readjust the balance of power regionally and internationally.
[00:53:59.680 --> 00:54:00.640]  And this is our moment.
[00:54:00.880 --> 00:54:02.400]  I think they are much more weaker than us.
[00:54:02.640 --> 00:54:08.480]  The United States of America and its allies with China and its allies is coming, which I think it is.
[00:54:09.360 --> 00:54:12.320]  It means there are cracks in the world order.
[00:54:12.640 --> 00:54:14.400]  And therefore, yes, we need to prevent.
[00:54:14.640 --> 00:54:24.160]  You should remember that the Ottoman Empire, when it existed, actually did control the passages to Europe from land and the sea.
[00:54:24.480 --> 00:54:28.000]  And the Europeans could not really breathe during the 8th century.
[00:54:28.320 --> 00:54:32.000]  How to establish the Islamic state?
[00:54:32.320 --> 00:54:38.320]  Islam aims to achieve certain goals and take over other civilizations.
[00:54:38.880 --> 00:54:41.280]  Conquer these two civilizations.
[00:54:41.600 --> 00:54:43.760]  You're going to be in charge of this land.
[00:54:43.920 --> 00:54:47.120]  That Islamic civilization is going to be supreme.
[00:54:47.280 --> 00:54:50.400]  The time will come that you will destroy the two biggest superpowers.
[00:54:50.480 --> 00:54:51.120]  We need to organize.
[00:54:51.280 --> 00:54:52.000]  We need to come together.
[00:54:52.080 --> 00:54:52.800]  We need to be united.
[00:54:53.040 --> 00:54:54.400]  We know what America plans.
[00:54:58.800 --> 00:55:00.320]  You stupid people can't see this coming.
[00:55:00.400 --> 00:55:03.760]  So we got a Muslim lieutenant governor in the state of Virginia.
[00:55:04.080 --> 00:55:06.160]  Got a Muslim attorney general in Minnesota.
[00:55:06.400 --> 00:55:09.440]  You got a Mandami that took over New York City.
[00:55:09.680 --> 00:55:11.280]  Step by step, bit by bit.
[00:55:11.520 --> 00:55:13.760]  I think they said we got 89 Muslims elected.
[00:55:13.920 --> 00:55:17.920]  We got like four in Congress right now, and about 95% of them are all Democrats.
[00:55:18.000 --> 00:55:20.160]  You might have found them Republicans sparks out here there.
[00:55:20.240 --> 00:55:24.640]  But of all of the elected Muslim officials in America, about 95% of them are Democrats.
[00:55:24.720 --> 00:55:30.720]  And the Muslims hate as a religion and as a culture, they hate the policies of the Democratic Party.
[00:55:31.040 --> 00:55:32.080]  Y'all see where this is going?
[00:55:32.240 --> 00:55:36.560]  They're using the Democratic Party as a weapon to destroy their enemies.
[00:55:37.200 --> 00:55:41.280]  They're voting to put together a lethal weapon to destroy their enemies.
[00:55:41.520 --> 00:55:49.440]  It's like if you got, you know, pests, bo weevils, something your garden, you're going to vote to get a pesticide to kill them all.
[00:55:50.000 --> 00:55:51.120]  Pesticide's not for you.
[00:55:51.360 --> 00:55:53.760]  Pesticide is for them, for your pests.
[00:55:54.000 --> 00:55:56.320]  You're going to vote for a police force to get the drug dealers out.
[00:55:56.480 --> 00:56:00.400]  You're going to vote for ICE to come in and get the daggum illegal.
[00:56:00.560 --> 00:56:01.280]  ICE is not for us.
[00:56:01.440 --> 00:56:02.080]  ICE is for them.
[00:56:02.240 --> 00:56:03.360]  That's how the Democrats see the Democrats.
[00:56:03.520 --> 00:56:05.440]  That's how the Muslims see the Democratic Party.
[00:56:05.760 --> 00:56:09.200]  As their own private security force to destroy Christians in the United States of America.
[00:56:09.360 --> 00:56:09.920]  Boy, that's smart.
[00:56:10.080 --> 00:56:11.040]  That's diabolical, man.
[00:56:11.200 --> 00:56:18.400]  And they come in and they use their money to give to this party to destroy their enemies inside of the United States of America.
[00:56:19.680 --> 00:56:21.760]  I want, I've seen this stuff for over a decade.
[00:56:21.840 --> 00:56:23.440]  I want Vince Ellison arm.
[00:56:25.200 --> 00:56:31.200]  But I got to tell you, from all the clips I've been seeing for months, it's black people really getting it.
[00:56:31.520 --> 00:56:32.000]  And you know why?
[00:56:32.160 --> 00:56:36.080]  Because it's black people in traditional black areas that are being encroached on by the Somalis.
[00:56:36.400 --> 00:56:38.000]  And the Somalis won't give them the time of day.
[00:56:38.240 --> 00:56:41.200]  Won't even talk to them, won't give them a job, treat them like crap.
[00:56:41.520 --> 00:56:42.800]  Because they're not even Somalis.
[00:56:42.880 --> 00:56:47.040]  They're the slave party clan, literal slavers.
[00:56:47.280 --> 00:56:48.640]  It's still legal there.
[00:56:49.600 --> 00:56:51.440]  They hate black people even though they're black.
[00:56:54.160 --> 00:56:54.400]  All right.
[00:56:54.480 --> 00:57:03.920]  I want to shift gears into Elon Musk, the EU-NATO, how that ties in to Russia and the war and where all that is going.
[00:57:05.120 --> 00:57:11.920]  Now, when President Trump first got into office nine years ago, he said, why are we paying for half of NATO?
[00:57:12.240 --> 00:57:17.120]  And then later he got audits and found out we're paying 75%.
[00:57:21.920 --> 00:57:23.680]  Okay, I get the old Soviet Union.
[00:57:24.160 --> 00:57:25.520]  I get the Cold War.
[00:57:25.840 --> 00:57:29.280]  We made deals in 91 that NATO wouldn't expand any.
[00:57:32.160 --> 00:57:37.440]  And then all NATO's done is expand up to Russia's borders and start all these wars.
[00:57:41.280 --> 00:57:53.120]  And then I saw the deputy head of the EU Commission in a clip I got just yesterday saying, Russia for hundreds of years has attacked Europe hundreds of times, and Russia has never been attacked by Europe.
[00:57:55.360 --> 00:57:59.040]  And I'm sitting there going, what was Napoleon Bonaparte?
[00:58:00.000 --> 00:58:01.840]  What was Adolf Hitler?
[00:58:02.160 --> 00:58:05.600]  But again, they're talking to their constituents that they think are complete morons.
[00:58:05.680 --> 00:58:07.280]  You're like, what's up with Elon Musk?
[00:58:08.800 --> 00:58:24.080]  At the end of World War II, the old power elites of Europe were in deep trouble, but they made a deal with the British Empire that had officially kind of merged into the U.S. Empire and Bretton Woods.
[00:58:24.160 --> 00:58:25.600]  This is all in mainline history books.
[00:58:25.840 --> 00:58:28.480]  Not really on history channel, but it's PhD level stuff.
[00:58:30.000 --> 00:58:35.360]  And they set the Bilderberg group to be an intermediary between the old European elite, the British Empire, and the U.S.
[00:58:36.640 --> 00:58:38.160]  And it kind of merged their systems.
[00:58:38.480 --> 00:58:47.120]  And they had on the shelf a 10-nation plan that was going to expand out to 25 that a guy named Adolf Elois Hitler created.
[00:58:48.000 --> 00:58:53.520]  And it was called the European Union with the blue flag and the gold stars and all of it.
[00:58:54.160 --> 00:58:58.960]  And yeah, Hitler pretty much invented the modern highways and the Volkswagen and the ballistic missile.
[00:58:59.600 --> 00:59:01.920]  And he relaunched the Olympics.
[00:59:02.080 --> 00:59:03.280]  He drew the Olympic sign.
[00:59:03.520 --> 00:59:08.720]  I mean, Hitler was in a lot of ways a very bad guy and actually did murder a bunch of people and won a global nomination.
[00:59:08.880 --> 00:59:11.040]  But it is crazy how many ideas he had.
[00:59:11.120 --> 00:59:12.800]  He got people to implement.
[00:59:13.680 --> 00:59:15.520]  And the EU is one of those evil plans.
[00:59:15.680 --> 00:59:17.680]  And he wanted to put Edward VIII.
[00:59:18.640 --> 00:59:19.760]  This is mainline history.
[00:59:19.840 --> 00:59:20.560]  Look this up.
