# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:04.320 --> 00:00:10.160]  It's Saturday, August 2nd, 2025.
[00:24:17.519 --> 00:24:24.400]  Trump doesn't really understand how our nuclear navy works and what their plan of operation is.
[00:24:24.720 --> 00:24:31.519]  As for Medvedev, it's true he's a former Russian president, a former prime minister, in fact, always subordinate to Vladimir Putin.
[00:24:31.759 --> 00:24:38.160]  Right now, the position he holds is equivalent to deputy national security advisor in the United States.
[00:24:38.320 --> 00:24:46.400]  And it's just really very ill-advised to have the president responding to somebody like that, whatever they're tweeting on, whatever subject.
[00:24:46.640 --> 00:24:50.160]  Even if somebody should respond to him, it shouldn't be the president.
[00:24:50.560 --> 00:25:12.720]  But more fundamentally, what Trump may not be understanding here, and which the Kremlin could be misreading, is how the ballistic missile nuclear submarines that we have operate and how they function and serve basically as our second strike capability in the event of a nuclear war.
[00:25:15.200 --> 00:25:17.280]  And that's another old lie.
[00:25:18.240 --> 00:25:21.440]  Oh, we've got to have more submarines in case they sneak attack us.
[00:25:22.240 --> 00:25:25.280]  Oh, we've got to have space-based weapons in case they sneak attack us.
[00:25:25.360 --> 00:25:27.600]  They're for sneak attacks.
[00:25:28.240 --> 00:25:30.400]  And of course, they're also in case you get snug attack.
[00:25:31.040 --> 00:25:34.240]  It's like you can use a gun to go on offense or defense.
[00:25:35.440 --> 00:25:40.960]  I mean, I can use my fist to crumple up a piece of paper and throw it in the trash can, or I can ball my fist and punch somebody in the nose.
[00:25:41.360 --> 00:25:45.920]  It's like I'm sure Bolton does understand how all this works.
[00:25:46.080 --> 00:25:54.000]  He's just trying to pretend that Mediev hasn't been getting other countries to say we're going to give nukes to Iran and making escalatory statements.
[00:25:54.320 --> 00:25:56.560]  And he's on the main council.
[00:25:56.880 --> 00:26:01.600]  And I'm not even saying I agree with Trump, but I know why he did it.
[00:26:03.120 --> 00:26:11.840]  So we don't need to hear from Mr. Nuclear War, Mr. Wants the War with Iran and Russia and everybody else.
[00:26:12.000 --> 00:26:15.680]  We don't need to hear from you, Mr. Warmonger, about how Trump doesn't know what he's doing.
[00:26:15.840 --> 00:26:20.080]  We elected Trump, not the monopoly man.
[00:26:20.960 --> 00:26:23.520]  So that's that.
[00:26:24.800 --> 00:26:29.120]  Now, I have a little correction to make.
[00:26:31.040 --> 00:26:41.680]  Yesterday, I didn't really make a mistake, but I didn't understand because I was reading articles quickly as they were coming out, and I was confused with the nature out of the show.
[00:26:41.760 --> 00:26:47.040]  I went and looked it up, did some research, and then walked in to eat lunch, late lunch in the break room.
[00:26:47.120 --> 00:26:58.160]  And we had Fox on and they had Kudlow on, who's really smart, former top economic advisor to Trump.
[00:26:58.800 --> 00:26:59.760]  And he was explaining it.
[00:26:59.840 --> 00:27:01.760]  So this is very exciting news.
[00:27:02.320 --> 00:27:10.000]  My mistake was I just saw Fed board chairs resigning.
[00:27:10.560 --> 00:27:13.680]  And I guess the news got it wrong with saying regional.
[00:27:14.160 --> 00:27:20.400]  I thought, well, those just do the functions with the Treasury, but they don't have the board power, the private Federal Reserve that's in New York.
[00:27:20.480 --> 00:27:21.600]  That's the real Federal Reserve.
[00:27:21.680 --> 00:27:25.600]  The other stuff's just administrative.
[00:27:26.560 --> 00:27:30.480]  And so the Federal Reserve Act of 1913 puts them in.
[00:27:30.640 --> 00:27:32.640]  Only Congress could repeal that.
[00:27:32.960 --> 00:27:36.320]  And the president cannot fire the head of the Newark Fed.
[00:27:36.880 --> 00:27:41.440]  Just when his term's over, he can appoint who he wants, but then it has to be approved by the Congress.
[00:27:41.520 --> 00:27:52.400]  So there is a little bit of checks and balances on it, but there's never been these big fights with the Federal Reserve because it's basically what the globalists have been in control of our country off and on since 1913.
[00:27:52.880 --> 00:27:59.200]  And it's key, it's at the top of the pyramid of control to nationalize it or repeal it and take control of it.
[00:27:59.360 --> 00:28:06.320]  Lincoln started issuing U.S. dollars for a brief time, even before this central bank got his head blown off.
[00:28:06.640 --> 00:28:12.240]  Kennedy reissued the Lincoln notes about a month before he got killed, put out a whole bunch of them.
[00:28:12.560 --> 00:28:16.720]  They only put out, what was it, $5 billion in $5 bills, got his head blown off.
[00:28:17.360 --> 00:28:20.400]  So when you go up against the Federal Reserve, you're going up against the top of the pyramid.
[00:28:20.640 --> 00:28:22.000]  It's Rothschild-owned.
[00:28:22.320 --> 00:28:26.480]  There's never been an audit of it, but when it's being set up, they had to give the numbers, like 80-something percent Rothschild-owned.
[00:28:27.120 --> 00:28:36.640]  And so when you see European Central Bank that's private or the UK Central Bank, it's private, and the shareholders are, the Rothschilds are the majority shareholder on record of those.
[00:28:36.960 --> 00:28:43.200]  So Powell is just on the board of the Federal Reserve whose stock is owned by the very same central bankers.
[00:28:43.280 --> 00:28:44.720]  It's the same group.
[00:28:45.040 --> 00:28:51.120]  And, you know, you got the Warburgs and others as functionaries that were there would be over the Germans and then over us over here.
[00:28:51.520 --> 00:28:54.960]  It's like literally playing both sides of it in World War I, World War II.
[00:28:55.280 --> 00:29:00.960]  That goes into Brown Brother Harriman and Prescott Bush and that bank and all the hidden Nazi money into World War II.
[00:29:01.120 --> 00:29:02.800]  And this is all on record stuff.
[00:29:03.120 --> 00:29:15.040]  So you need to understand that they've given interest rates to the EU and made it the place to go invest and won't give us interest rate cuts, even though they're in more debt than us and in much worse shape.
[00:29:15.360 --> 00:29:17.040]  And China's had interest rate cuts for themselves.
[00:29:17.200 --> 00:29:18.480]  They're way worse shape.
[00:29:18.800 --> 00:29:23.040]  So all the economic indicators are cut interest rates help one or two points at least.
[00:29:23.360 --> 00:29:25.120]  And Powell's saying, no, no, no, no, no.
[00:29:25.360 --> 00:29:30.720]  Well, I scanned it and saw Trump saying, hey, make the move.
[00:29:31.040 --> 00:29:35.200]  He needs to resign or he needs to cut rates or you need to vote him off the board.
[00:29:35.680 --> 00:29:40.400]  I didn't realize these are people on the New York Fed and a bunch of others.
[00:29:41.120 --> 00:29:51.360]  And so Cudlow broke down the fact that he rechecked the laws in the Federal Reserve Charter and that he believes that Trump is correct and can do this.
[00:29:51.920 --> 00:29:54.480]  So Trump is really outmaneuvering them.
[00:29:55.040 --> 00:30:03.520]  And Powell could be gone as early as next month because now two of the other board members are resigning.
[00:30:04.640 --> 00:30:08.480]  So this is great.
[00:30:09.120 --> 00:30:14.480]  I mean, Trump is even taking the Federal Reserve that nobody's been able to stand up to.
[00:30:14.800 --> 00:30:16.400]  I mean, Kennedy tried.
[00:30:17.200 --> 00:30:19.680]  There was another permutation of it in Lincoln's Day.
[00:30:20.160 --> 00:30:28.080]  But too late, Powell should design just like Adriana Cugler and Biden appointee resigned.
[00:30:28.160 --> 00:30:32.320]  She knew he was doing the wrong thing on interest rates.
[00:30:32.480 --> 00:30:34.000]  He should resign also.
[00:30:35.440 --> 00:30:39.760]  There's another one that was set to resign on, they're saying Monday, but it doesn't kick in for like a month.
[00:30:39.840 --> 00:30:42.960]  So we're looking at September.
[00:30:44.160 --> 00:30:45.920]  The question is: will it be too little, too late?
[00:30:46.000 --> 00:30:48.160]  Because you're already seeing what it's doing to the economy.
[00:30:48.480 --> 00:31:00.000]  Also, you had the same lady at the Bureau of Statistics or the Department of Labor put out totally fake numbers for Biden that were proven to be the worst fraud numbers ever, saying there were more job creations there were.
[00:31:00.320 --> 00:31:08.640]  And then now she put out what were believed to be under numbers that were from the other private groups that look at it.
[00:31:08.880 --> 00:31:11.680]  They thought there was actually more job increases than what she said.
[00:31:12.320 --> 00:31:15.760]  She then comes out Thursday and says, no, no, no, it's worse than I thought.
[00:31:16.720 --> 00:31:17.920]  It's worse than I thought.
[00:31:18.480 --> 00:31:19.680]  We lost even more jobs.
[00:31:19.840 --> 00:31:25.600]  And Trump said, I don't know the truth, but I want real economists and I want real people to go in there.
[00:31:25.920 --> 00:31:28.800]  And I want those numbers looked at because they have those numbers.
[00:31:29.440 --> 00:31:31.840]  So Trump fires labor statistics chief.
[00:31:32.480 --> 00:31:34.400]  Bad job numbers rigged, dangerous moves.
[00:31:34.480 --> 00:31:36.240]  President demands only good news.
[00:31:36.800 --> 00:31:41.600]  No, this woman is a quantified fraud, part of the same globalist operation trying to sink the economy.
[00:31:41.920 --> 00:31:50.560]  No one with half a brain is denying that the globalists are trying to sabotage the economy.
[00:31:53.280 --> 00:32:02.560]  Now that Trump's tariffs are working, now you've got the federal courts running around saying they want to try to override the tariffs.
[00:32:02.800 --> 00:32:09.680]  But the appellate court got smart after the Supreme Court slapped down these Article III judges and all the other crap they've been doing.
[00:32:10.320 --> 00:32:13.840]  So they went ahead and said, we're not going to rule on this and punted it to the Supreme Court.
[00:32:15.760 --> 00:32:21.280]  And so while that emergency thing is going on, it's holding off the implementation of the tariffs kicking in.
[00:32:21.440 --> 00:32:24.080]  But most of the countries that matter have already capitulated.
[00:32:24.400 --> 00:32:27.600]  So, and now it's $500 million that's come in, way more than they thought.
[00:32:27.680 --> 00:32:30.000]  I mean, this is really working.
[00:32:31.600 --> 00:32:38.880]  And now a bunch of Article III judges got together, as you know, Thursday and put a letter out that came out Friday just saying we're worried Trump's racist, Trump's mean, Trump's back.
[00:32:39.760 --> 00:32:43.280]  So now they're not even trying to do all their fake rulings.
[00:32:43.600 --> 00:32:47.600]  They're just doing a struggle session pouty pot time.
[00:32:47.920 --> 00:32:57.200]  Though some other Obama judges have come out and now tried to override Congress that actually controls the purse and passed the law to cut the money to public broadcasting and NPR.
[00:32:58.160 --> 00:33:05.680]  And so the judge last Thursday, as you know, ordered the money to still be sent, ordered it to still be sent.
[00:33:05.920 --> 00:33:08.880]  Congress didn't apportion it in the spending bills.
[00:33:10.880 --> 00:33:22.720]  So, I mean, now these judges think they're not just the president, but now they are the legislative branch.
[00:33:23.600 --> 00:33:25.120]  And it just gets crazier and crazier.
[00:33:25.280 --> 00:33:30.400]  Now, the corporation of public broadcasting says that it's closing its doors.
[00:33:30.720 --> 00:33:32.320]  They announced that Friday.
[00:33:32.960 --> 00:33:36.480]  And that's a big slush fund, CIA front group set up in the 60s.
[00:33:37.440 --> 00:33:42.240]  And it does fund thousands of PBS and NPR stations around the country, partially.
[00:33:42.720 --> 00:33:50.320]  But how this works is they have government funds that come in, and then those are administered to the NGOs.
[00:33:50.480 --> 00:33:54.800]  And most of it just goes back to other NGOs that are owned by the same people and groups.
[00:33:55.120 --> 00:34:02.800]  And then you have one of the top three involved, the corporation public broadcasting, that basically just administers the money that goes out.
[00:34:03.120 --> 00:34:08.000]  That's why they told Congress only a few percentage comes from corporation for public broadcasting.
[00:34:08.160 --> 00:34:10.400]  Yeah, but they administer almost all the other money.
[00:34:10.480 --> 00:34:19.760]  So that's a technical manipulation because only certain money gets held by them, but they then traffic cop it with the NGOs and the government money.
[00:34:20.000 --> 00:34:24.160]  And it's a spider web of garbage.
[00:34:25.360 --> 00:34:32.720]  And I shot a report on this actually last night in the car sent to Rob Dewey to, I didn't ask him to do a fancy job.
[00:34:32.800 --> 00:34:34.000]  He's a super fancy job.
[00:34:34.480 --> 00:34:36.400]  I forgot to have you guys get that.
[00:34:36.719 --> 00:34:39.679]  It's on X posted about seven o'clock last night.
[00:34:40.719 --> 00:34:50.159]  And I explain that I just mentioned the Annenberg Foundation is in the top three.
[00:34:51.119 --> 00:34:56.000]  And again, the money goes in to the Corporation Public Broadcasting and a few of their holding groups.
[00:34:56.320 --> 00:34:59.920]  It then gets paid to other NGOs that pay it back to the Annenberg.
[00:35:01.199 --> 00:35:02.079]  And then they keep most of it.
[00:35:02.159 --> 00:35:03.840]  And Annenberg's just one of them.
[00:35:04.159 --> 00:35:10.079]  But the Annenberg Foundation is involved in all the transgender stuff and all the DEI, just all the brainwashing you see.
[00:35:10.960 --> 00:35:13.679]  And they're involved in Drag Queen story time funding.
[00:35:13.760 --> 00:35:15.039]  I mean, they're really evil.
[00:35:15.360 --> 00:35:23.519]  And just as a microcosm, they raised over $100 million for the Palisades fire.
[00:35:23.840 --> 00:35:27.920]  And then six months in, everybody calls them.
[00:35:28.559 --> 00:35:31.360]  And even mainstream news calls them and says, well, nobody's gotten a dollar.
[00:35:31.440 --> 00:35:33.920]  And they said, silly, silly kids.
[00:35:36.480 --> 00:35:37.760]  What's wrong with you?
[00:35:38.639 --> 00:35:39.920]  You know, silly rabbit.
[00:35:40.000 --> 00:35:42.159]  You want tricks, tricks is for kids.
[00:35:42.240 --> 00:35:43.920]  Well, they said, silly rabbit.
[00:35:44.240 --> 00:35:45.840]  That money goes to NGOs.
[00:35:46.079 --> 00:35:54.719]  And people looked at them and it was DEI, transgenderism, just, you know, general brainwashing.
[00:35:55.039 --> 00:35:58.400]  And that's just the 30, 40% maximum.
[00:35:58.719 --> 00:36:02.639]  If you look at Annenberg, it actually goes to their communist New World Order satanic causes.
[00:36:02.880 --> 00:36:10.880]  Most of it just loops around into thousands of other NGOs that their husbands, their wives, their cousins, all of them work at, and they just hog all the money.
[00:36:11.199 --> 00:36:18.559]  So the little bit of money that goes out is for bad causes, but most of it stays back for them just to steal it all.
[00:36:19.199 --> 00:36:21.440]  And so he just heard me say Annenberg.
[00:36:22.400 --> 00:36:26.079]  He looks it up and does some great newscast clips and stuff about that.
[00:36:26.240 --> 00:36:28.240]  And again, I'm not singling out Annenberg.
[00:36:28.320 --> 00:36:30.320]  It would take literally thousands of these groups.
[00:36:30.480 --> 00:36:35.280]  It was actually a million, 500,000 NGOs, 90 plus percent are Democrat, globalist.
[00:36:35.840 --> 00:36:37.280]  There's over 300 big ones.
[00:36:37.440 --> 00:36:42.639]  I mean, it's just no, but see, AI with Go is able to figure all this out.
[00:36:43.119 --> 00:36:44.960]  They're stealing trillions a year.
[00:36:45.119 --> 00:36:45.440]  Okay.
[00:36:46.720 --> 00:36:53.599]  And you'll have people that are on the boards of hundreds of these, and they live in palaces and have private jets and just everything.
[00:36:53.920 --> 00:37:00.880]  And then when you look at the families that own and run all these big NGO clearinghouses, they're the oldest, richest families in America and the world.
[00:37:00.960 --> 00:37:02.480]  A lot of them are European.
[00:37:03.119 --> 00:37:05.199]  A lot of the Chinese rich have gotten involved in it.
[00:37:05.360 --> 00:37:09.119]  I mean, it is just, this is the swamp.
[00:37:09.440 --> 00:37:10.960]  You think D.C. is a swamp.
[00:37:11.039 --> 00:37:11.920]  Oh, it's a clearinghouse.
[00:37:12.000 --> 00:37:13.760]  No, it's everywhere.
[00:37:14.079 --> 00:37:22.159]  And so that's why you go to Michaels to buy some paints for your kids, or you go to Target, or you go anywhere.
[00:37:22.239 --> 00:37:23.599]  You go to gas stations.
[00:37:24.559 --> 00:37:26.239]  And they say, would you like to give money for kids?
[00:37:26.400 --> 00:37:27.519]  Would you like to give money for veterans?
[00:37:27.599 --> 00:37:29.119]  We'd like to give money for fire victims.
[00:37:30.000 --> 00:37:31.679]  And you see it everywhere.
[00:37:32.320 --> 00:37:41.039]  And what's sad is in almost every case, none of it was the last number I saw something like $8 million raised by him personally.
[00:37:41.119 --> 00:37:42.159]  I guess it was like $40 something billion.
[00:37:42.239 --> 00:37:47.199]  I looked up again by the one foundation that Tony Blair and Bono run from U2.
[00:37:47.760 --> 00:37:51.519]  And since they set that up in the 90s, it's raised over $40 billion.
[00:37:52.720 --> 00:37:54.800]  And they give 1.2% of it.
[00:37:54.960 --> 00:37:57.440]  And that's after people got mad a decade ago and said you're giving nothing.
[00:37:57.519 --> 00:37:58.960]  They said, okay, we'll give 1.2.
[00:38:01.199 --> 00:38:03.840]  So imagine, oh, we have starving Africans.
[00:38:03.920 --> 00:38:04.720]  Oh, give us money.
[00:38:04.880 --> 00:38:06.320]  And they're all there playing international TV.
[00:38:06.480 --> 00:38:07.199]  Everybody feels good.
[00:38:07.280 --> 00:38:08.480]  You send your money in.
[00:38:10.000 --> 00:38:20.320]  And you get nothing except, well, we'll send publications and teachers literally to the African country to teach your sons they're really girls.
[00:38:20.960 --> 00:38:21.760]  You want some aid?
[00:38:21.920 --> 00:38:23.679]  We'll teach your son how to be a sissy.
[00:38:26.239 --> 00:38:30.960]  So you cannot make up how evil these snot-nosed creatures are.
[00:38:31.599 --> 00:38:34.800]  And so every time I'm at a store, it's everywhere now.
[00:38:35.039 --> 00:38:36.239]  Would you like to give money for the kids?
[00:38:36.400 --> 00:38:37.119]  Give money for that.
[00:38:37.440 --> 00:38:41.360]  And I just look at them and I go, no, that money doesn't go to that.
[00:38:41.679 --> 00:38:42.800]  And well, we're just supposed to ask.
[00:38:42.880 --> 00:38:43.599]  We're just supposed to ask.
[00:38:43.760 --> 00:38:45.519]  Or it'll ask when you've all seen it.
[00:38:45.679 --> 00:38:47.039]  I'll tell you about it.
[00:38:47.599 --> 00:38:53.760]  And, you know, I've given to charity someone I had more money and I knew how to study it.
[00:38:54.239 --> 00:39:03.039]  I had a family that worked pretty high level with the Salvation Army, like great uncles and stuff, who'd been wealthy and given their money to them.
[00:39:03.280 --> 00:39:10.639]  And back then, 95% of the money Salvation Army actually went to help poor people, food, shelters, lead people to Christ.
[00:39:10.960 --> 00:39:14.480]  If you went to cities around the country, the main group helping homeless was Salvation Army.
[00:39:14.639 --> 00:39:16.800]  Now it's all the globalist NGOs that steal most of the money.
[00:39:16.960 --> 00:39:20.320]  But even they, Salvation Army, are only giving like 70% now.
[00:39:20.639 --> 00:39:23.199]  And then they're in all the wokeism and leftism and stuff.
[00:39:23.360 --> 00:39:30.960]  So it's charity starts at home, folks, and it's a real problem that charity is an important thing in society.
[00:39:31.840 --> 00:39:33.840]  And basically it's all a racket now.
[00:39:34.640 --> 00:39:35.600]  It's all a general.
[00:39:36.240 --> 00:39:39.039]  Most of the aid you give to the Red Cross, they just keep.
[00:39:39.680 --> 00:39:40.320]  Did you know that?
[00:39:40.559 --> 00:39:44.640]  Now, sure, you volunteer for it and go hand out blankets and stuff, but that's just the front.
[00:39:45.280 --> 00:39:46.960]  That's not what it's really doing.
[00:39:47.600 --> 00:39:57.760]  So that's a long explanation, but let NPR, let PBS with all their crap, let them operate without taxpayer money and see how long they can.
[00:39:57.920 --> 00:39:58.559]  No, they can't.
[00:39:58.800 --> 00:40:04.240]  But the stuff they put on TV and the things they produce, the cheap shows.
[00:40:04.880 --> 00:40:07.680]  You know, they would raise billions for Sesame Street every year.
[00:40:08.000 --> 00:40:12.480]  You think it costs that to have those lowly produced puppet programs?
[00:40:12.800 --> 00:40:13.039]  No.
[00:40:14.800 --> 00:40:19.200]  You notice in the last decade, there's hardly any new shows on there other than news propaganda.
[00:40:19.840 --> 00:40:23.680]  And it's because they're so cheap, they won't even produce the cheap shows anymore.
[00:40:25.519 --> 00:40:31.120]  So first and foremost, they're a money laundering rip-off operation.
[00:40:32.000 --> 00:40:34.160]  And then they're a propaganda operation.
[00:40:34.480 --> 00:40:46.000]  And anytime you watch PBS, just type in Annenberg Foundation, you'll see, brought to you by the Annenberg Foundation and Microsoft and the Corporation for Public Broadcasting.
[00:40:46.320 --> 00:40:48.079]  That's the three main groups.
[00:40:48.720 --> 00:40:52.320]  Nova brought to you by the Bill and Melinda Gates Foundation.
[00:40:52.640 --> 00:40:56.800]  And that's because they give the money and then they launder it back to themselves.
[00:40:57.120 --> 00:40:58.000]  Look it up.
[00:40:58.640 --> 00:41:02.640]  So Bill Gates, oh, I'm going to give hundreds of billions of dollars in the next 20 years to charity.
[00:41:02.960 --> 00:41:05.680]  That's how he keeps it tax-free and gives it back to himself.
[00:41:07.280 --> 00:41:15.519]  And then the charity is a little bit of money is going and buying off your government and regulators who then buy his poison shots.
[00:41:15.840 --> 00:41:18.880]  So you pay him with your tax money for him to kill your ass.
[00:41:19.680 --> 00:41:21.360]  Pretty smart little gremlin.
[00:41:22.000 --> 00:41:28.160]  Here's my report last night on the Corporation for Public Broadcasting shutting down.
[00:41:29.680 --> 00:41:36.720]  Just a few hours, the Corporation for Public Broadcasting, set up during the 1960s, announced they're ceasing operations.
[00:41:36.880 --> 00:41:39.680]  They're one of the funders of NPR and PBS.
[00:41:40.559 --> 00:41:49.440]  But then in congressional testimony a few months ago, they said only 1% of NPR and PBS money comes from the Corporation for Public Broadcasting.
[00:41:49.760 --> 00:41:55.200]  But now NPR and PBS say they might have to shut down some of their operations because of it.
[00:41:55.519 --> 00:41:56.960]  So what is the truth?
[00:41:57.600 --> 00:42:07.039]  The truth is, look at the Annenberg Foundation, one of the main funders of NPR and PBS locally, but also the Corporation for Public Broadcasting.
[00:42:07.360 --> 00:42:14.400]  It raised over $100 million in a Palisades fire relief and is given zero money and says nobody's getting any of the money.
[00:42:14.720 --> 00:42:21.519]  It's all hundreds and hundreds of NGOs just in that network that raise money and then give it back to themselves.
[00:42:21.840 --> 00:42:28.720]  FireAid, that star-studded concert that raised $100 million for wildfire victims.
[00:42:29.039 --> 00:42:30.720]  But where did all that money go?
[00:42:30.960 --> 00:42:34.640]  Investigative journalist Sue Pasco has been digging for answers.
[00:42:34.960 --> 00:42:40.960]  A reader sent me a little note and said, I've never seen any fire aid money.
[00:42:41.360 --> 00:42:43.920]  How do I apply for fire aid money?
[00:42:44.240 --> 00:42:46.160]  And I thought, well, you know, I've never thought about that.
[00:42:46.400 --> 00:42:50.000]  There's 12,000 people, basically, 12,000 homes gone.
[00:42:50.240 --> 00:42:52.079]  Those people probably want to know where the money is.
[00:42:52.400 --> 00:42:54.480]  This will be an easy task to find out.
[00:42:55.120 --> 00:42:57.360]  So I contacted the Annenberg.
[00:42:58.240 --> 00:42:59.280]  They never responded.
[00:42:59.600 --> 00:43:04.720]  And the Annenberg Foundation, because they are overseeing the wildfire funds, yes.
[00:43:05.039 --> 00:43:06.640]  So I emailed them several times.
[00:43:06.800 --> 00:43:07.680]  They never responded.
[00:43:07.920 --> 00:43:09.120]  I called them several times.
[00:43:09.280 --> 00:43:10.800]  They never responded.
[00:43:11.120 --> 00:43:16.960]  And finally, it was like almost two weeks later, a woman got back to me and she said, oh, I'm sorry for the delay.
[00:43:17.200 --> 00:43:19.519]  The person you need to speak to is Chris Wallace.
[00:43:19.680 --> 00:43:23.200]  He's a media spokesperson for Wildfire Funds.
[00:43:23.519 --> 00:43:28.720]  So I contacted Chris and I said, you know, victims want to know when they can get their money.
[00:43:29.039 --> 00:43:30.800]  Seems like a very simple question.
[00:43:31.120 --> 00:43:33.360]  He said, basically, they don't.
[00:43:33.600 --> 00:43:40.640]  All this money are going to nonprofits and the nonprofits will take care of making sure the money's distributed.
[00:43:40.960 --> 00:43:48.880]  So I looked at the, initially they gave $50 million to about 120 nonprofits.
[00:43:49.200 --> 00:43:55.600]  And I looked at these nonprofits and one of them said, we help mobile home parks.
[00:43:55.920 --> 00:44:00.240]  And there were two mobile home parks in the Palisades, all low income.
[00:44:00.560 --> 00:44:02.400]  And so I contacted the people there.
[00:44:02.720 --> 00:44:04.400]  They had never received any money.
[00:44:04.640 --> 00:44:06.160]  They had never heard of that.
[00:44:06.480 --> 00:44:11.200]  When you go through, I would urge everyone to just go to the nonprofits that are listed.
[00:44:11.280 --> 00:44:16.160]  If you want a good laugh, I mean, one of the nonprofits cleans preschool bathrooms.
[00:44:16.480 --> 00:44:18.079]  Well, after the fire, who knows?
[00:44:18.240 --> 00:44:20.640]  Maybe there is a preschool bathroom that needs cleaning.
[00:44:20.880 --> 00:44:21.120]  Yeah.
[00:44:21.600 --> 00:44:26.160]  In other words, a lot of these nonprofits are ancillary, if you will.
[00:44:26.400 --> 00:44:27.519]  That's a nice way of saying it.
[00:44:28.000 --> 00:44:33.599]  So they can say, oh, we're giving away 80% of what we get, but then it comes back to them through the other groups that they give to them.
[00:44:33.840 --> 00:44:34.880]  So they give to all these groups.
[00:44:34.960 --> 00:44:35.840]  They give to all those groups.
[00:44:36.079 --> 00:44:36.960]  It's a giant scam.
[00:44:37.039 --> 00:44:39.119]  Then they have a little fundraiser, the rest of it.
[00:44:39.440 --> 00:44:41.920]  And NPR gets 500 million of taxpayer money.
[00:44:42.159 --> 00:44:43.440]  It goes on and on.
[00:44:43.760 --> 00:44:46.800]  These groups are elitist owned.
[00:44:47.760 --> 00:44:50.320]  They are anti-free speech.
[00:44:50.639 --> 00:44:52.320]  And they have almost no viewers now.
[00:44:52.639 --> 00:44:57.280]  Now, there have been some good shows on PBS, don't get me wrong, Nova, Frontline, you name it.
[00:44:57.599 --> 00:45:00.880]  But over the years, they've gotten more and more political, and it's a joke.
[00:45:01.199 --> 00:45:02.960]  So I like diversity in media.
[00:45:03.280 --> 00:45:07.760]  But at the end of the day, it's foundation, CIA, globalists run media, and it's a fraud.
[00:45:08.079 --> 00:45:13.840]  And so let NPR, let PBS, nationally and locally, stand on its own.
[00:45:14.400 --> 00:45:17.039]  And the NPR had propaganda in it 10 years ago, 20 years ago.
[00:45:17.280 --> 00:45:18.320]  But you tune into it now.
[00:45:18.480 --> 00:45:20.639]  It is just unforgivable garbage.
[00:45:20.719 --> 00:45:24.880]  You have the head of NPR saying recently, well, telling the truth's not always the best thing to do.
[00:45:25.199 --> 00:45:33.679]  In our normal lives, these contentious conversations tend to erupt over disagreement about what the truth actually is.
[00:45:34.000 --> 00:45:38.800]  But the people who write these articles, they're not focused on the truth.
[00:45:39.119 --> 00:45:44.400]  They're focused on something else, which is the best of what we can know right now.
[00:45:45.360 --> 00:45:52.159]  And after seven years of working with these brilliant folks, I've come to believe that they are onto something.
[00:45:52.480 --> 00:46:04.400]  That perhaps for our most tricky disagreements, seeking the truth and seeking to convince others of the truth might not be the right place to start.
[00:46:05.039 --> 00:46:15.440]  In fact, our reverence for the truth might be a distraction that's getting in the way of finding common ground and getting things done.
[00:46:15.760 --> 00:46:20.079]  So the New York Times saying, maybe we should raise the Constitution.
[00:46:21.599 --> 00:46:24.159]  Anybody that says investigate is wrong.
[00:46:24.480 --> 00:46:27.519]  Anybody telling you not investigate wants you to be in a cult.
[00:46:27.840 --> 00:46:30.559]  You should always investigate anything and everything everybody says.
[00:46:30.880 --> 00:46:32.880]  Carol Reagan says trust but verify.
[00:46:33.199 --> 00:46:35.280]  If they say don't investigate, you're in a cult.
[00:46:35.440 --> 00:46:36.880]  I'll try to get you in a cult.
[00:46:37.199 --> 00:46:41.199]  So I don't think NPR and PBS are gone yet, but everybody's already tuned out of them already.
[00:46:41.280 --> 00:46:42.880]  It's like Colbert getting canceled.
[00:46:42.960 --> 00:46:43.760]  He has also viewers.
[00:46:43.840 --> 00:46:46.400]  He canceled himself to become a government mouthpiece.
[00:46:46.719 --> 00:46:51.599]  These people have a way of taking care of themselves, and it's good riddance to all of them.
[00:46:51.920 --> 00:46:52.639]  That's my take.
[00:46:52.880 --> 00:46:53.440]  Thanks for watching.
[00:46:53.519 --> 00:46:54.880]  Follow me on X-Rail Ox Jones.
[00:46:55.119 --> 00:47:03.280]  We've got plenty of support for viewers to stay on air and expand, but we've got the Democrat law firm trying to shut us down because they can't compete with populist truth.
[00:47:03.599 --> 00:47:05.199]  And they can't compete with you in your word of mouth.
[00:47:05.360 --> 00:47:06.800]  So false on X-Railox Jones.
[00:47:07.920 --> 00:47:08.559]  All right.
[00:47:10.159 --> 00:47:16.559]  Now I want to hit the DOJ and the other agencies are going on, starting on the warpath.
[00:47:16.639 --> 00:47:21.199]  They're accelerating the criminal investigations and firing people and removing security clearances more.
[00:47:21.280 --> 00:47:22.880]  I'm seeing some good signs there.
[00:47:23.199 --> 00:47:25.199]  I'm not holding my breath.
[00:47:25.519 --> 00:47:26.320]  I don't want to hit that.
[00:47:26.480 --> 00:47:30.639]  And I want to look at some of the other fraud, the global warming fraud that's important.
[00:47:31.920 --> 00:47:37.519]  And then I want to look at Palantir and what it's up to here today.
[00:47:39.360 --> 00:47:51.039]  But speaking of funding, you heard me just say there that we have plenty of funding, except the Democrats are constantly suing us.
[00:47:51.360 --> 00:47:52.480]  And so we've done the math.
