# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:30.000 --> 00:00:32.320]  InfoWars, tomorrow's news.
[00:44:39.760 --> 00:44:47.360]  It's beyond a railroad driven right into the prison, beyond railroading, beyond kangaroos as a jury.
[00:44:48.559 --> 00:44:50.639]  So you saw all that.
[00:44:50.880 --> 00:44:54.239]  And now they say, I mean, they're on, the lawyers are up.
[00:44:54.320 --> 00:44:55.760]  They're saying, take him off the air.
[00:44:55.920 --> 00:44:58.000]  Have a judgment so big he can never be on the air again.
[00:44:58.159 --> 00:45:02.480]  And scare anyone else that ever tries to be alternative facts.
[00:45:03.360 --> 00:45:06.079]  We're going to use him as the model to shut everybody else down.
[00:45:06.400 --> 00:45:11.760]  And then the new talking point everywhere is Alex Jones was never under attack.
[00:45:12.000 --> 00:45:15.039]  In fact, nobody ever tried to take a populist or conservative speech.
[00:45:15.199 --> 00:45:16.960]  Trump wasn't shot.
[00:45:17.280 --> 00:45:19.760]  They never tried to put him in prison.
[00:45:21.360 --> 00:45:24.159]  So it's bigger than me and bigger than Infowars.
[00:45:25.119 --> 00:45:28.159]  So I need your support at thealxjonesstore.com.
[00:45:28.239 --> 00:45:38.159]  You get incredible products, but it is a protest against tyranny and it's in defense of your own future and your own safety when you support this broadcast.
[00:45:38.480 --> 00:45:39.920]  I don't take donor money.
[00:45:40.239 --> 00:45:46.400]  I don't take very many sponsors because they got to be really good for me to take them.
[00:45:47.039 --> 00:45:48.000]  I got to vet them.
[00:45:50.000 --> 00:45:53.920]  I direct sale to you great things that I know you're going to love that are going to enrich your life.
[00:45:54.239 --> 00:45:59.840]  I need all of you that have sat on the fence and ever gone and got any of our products to go to the alexonstore.com.
[00:46:00.159 --> 00:46:01.360]  But just here's an example.
[00:46:02.559 --> 00:46:06.000]  This is just a clip.
[00:46:06.960 --> 00:46:15.840]  Without even looking yesterday, I love to read comments and I saw in a bunch of my videos this and other things being posted as a bot operation, a talking point.
[00:46:17.039 --> 00:46:19.519]  Nobody ever tried to shut him down.
[00:46:20.400 --> 00:46:22.719]  Nobody ever did dirty tricks.
[00:46:23.599 --> 00:46:26.400]  The U.S. trustee from the Justice Department, you know, well, Trump runs that.
[00:46:26.480 --> 00:46:27.679]  No, he's still appointed.
[00:46:28.000 --> 00:46:29.119]  It goes back to Biden.
[00:46:30.480 --> 00:46:35.679]  Sued my parents last week, alleging they've got all this hidden money, even though they already have the accounting.
[00:46:35.760 --> 00:46:43.440]  I know it's not true, to further bankrupt them and run headlines about how I'm hiding money and I'm a crook.
[00:46:45.920 --> 00:46:47.039]  But I'm not under attack.
[00:46:47.199 --> 00:46:48.880]  So here's just a short clip and I'm going to move on.
[00:46:49.440 --> 00:46:51.199]  But this is the gaslighting.
[00:46:51.280 --> 00:46:51.679]  Here it is.
[00:46:52.880 --> 00:46:53.599]  I know what happened.
[00:46:53.840 --> 00:46:54.800]  I know what happened, Walter.
[00:46:54.960 --> 00:46:55.199]  You got to.
[00:46:55.440 --> 00:46:56.000]  Hold on, Mason.
[00:46:56.079 --> 00:46:57.519]  Mason, let me tell you something real quick.
[00:46:57.840 --> 00:46:58.480]  Hold on, Mason.
[00:46:58.639 --> 00:46:59.519]  Mason, you've been speaking a lot.
[00:46:59.599 --> 00:47:00.000]  Hold on, Dave.
[00:47:00.079 --> 00:47:00.239]  Go ahead.
[00:47:00.400 --> 00:47:00.559]  Hold on.
[00:47:00.639 --> 00:47:01.119]  Hold on, Dave.
[00:47:01.360 --> 00:47:03.679]  Look, I know you said you're an Alex fan, right?
[00:47:03.840 --> 00:47:08.239]  I'm going to tell you, about five years ago, I was listening to Alex Jones for like a week straight.
[00:47:08.400 --> 00:47:10.239]  It was more than an hour a day, right?
[00:47:10.400 --> 00:47:11.440]  More than an hour a day.
[00:47:11.760 --> 00:47:15.360]  My entire basement is filled with storable food, okay?
[00:47:15.840 --> 00:47:21.039]  So just dial down a little bit on Alex Jones and get into different spaces.
[00:47:21.360 --> 00:47:23.199]  And I'm telling you, it's not ending yet.
[00:47:23.440 --> 00:47:24.559]  I don't know when it's going to end.
[00:47:24.639 --> 00:47:27.840]  It's probably going to end, but it's not as close as this sounds like it's not.
[00:47:28.079 --> 00:47:30.800]  Listen, I love, there's a great video.
[00:47:31.039 --> 00:47:38.719]  There's a great video out there of somebody when it's like the first week they started listening to Alex Jones and it shows them and they've got like, they bought the water faucet cleaner.
[00:47:39.039 --> 00:47:45.199]  And then it's like by the end of the week, they have like the super male Vitality 4 or whatever the hell his current one is.
[00:47:45.519 --> 00:47:49.679]  And then by the end of that week, he's got like his whole house has been reconverted into like shit.
[00:47:50.000 --> 00:47:50.960]  It's the greatest video ever.
[00:47:53.039 --> 00:47:56.320]  My favorite thing, my favorite thing about Alex Jones, though, is not even that.
[00:47:56.639 --> 00:48:01.840]  It's that I think he's been telling everybody that he's going to be taken off the air for like 20 years now.
[00:48:02.159 --> 00:48:03.039]  And no one knows it.
[00:48:03.199 --> 00:48:03.920]  Like everyone is.
[00:48:04.639 --> 00:48:05.599]  He's getting taken off.
[00:48:06.079 --> 00:48:06.880]  Well, listen, everybody.
[00:48:07.119 --> 00:48:08.000]  This is his last broadcast.
[00:48:08.559 --> 00:48:12.639]  I'm telling you right now, I have been listening to this dude for many, many, many years.
[00:48:13.119 --> 00:48:16.079]  He has been saying that every day for 20 years.
[00:48:16.159 --> 00:48:16.719]  And I love it.
[00:48:16.880 --> 00:48:18.320]  It's the funniest thing everyone's like.
[00:48:18.800 --> 00:48:20.000]  Emergency broadcast.
[00:48:20.480 --> 00:48:22.559]  The FBI is entering the room.
[00:48:22.719 --> 00:48:24.719]  I am sleeping in the studio.
[00:48:25.039 --> 00:48:26.639]  They're going to carry me out of here.
[00:48:27.360 --> 00:48:28.159]  This is going to happen.
[00:48:28.480 --> 00:48:29.920]  The FBI is in the bathroom.
[00:48:30.400 --> 00:48:31.119]  They're literally here.
[00:48:34.000 --> 00:48:34.239]  That's right.
[00:48:34.880 --> 00:48:36.719]  You got to get the methylene blue today.
[00:48:37.039 --> 00:48:37.360]  Today.
[00:48:38.400 --> 00:48:40.239]  Walter, he's on par.
[00:48:40.400 --> 00:48:45.599]  He's on par of being taken off the air as much as the Iranians have been trying to get a nuclear weapon for the last 30 years.
[00:48:46.159 --> 00:48:46.939]  Yeah, it's pretty accurate.
[00:48:46.939 --> 00:48:47.919]  Paying Cash Patel.
[00:48:47.919 --> 00:48:49.679]  How have they been doing that?
[00:48:52.559 --> 00:48:56.159]  So I didn't have five grand juries try to indict me in the news.
[00:48:56.400 --> 00:48:59.599]  I didn't have to testify in front of the fake J6 committee trying to put me in prison.
[00:48:59.920 --> 00:49:01.840]  I didn't have all these national security investigations.
[00:49:02.079 --> 00:49:05.840]  I didn't have the FBI testify that they ran the fake lawsuits against me in Connecticut.
[00:49:06.159 --> 00:49:10.400]  I don't have the CIA undercover admitting they ran it on video, which we do.
[00:49:10.719 --> 00:49:12.800]  They didn't put Owen in prison for no reason.
[00:49:13.119 --> 00:49:14.320]  They didn't persecute anybody.
[00:49:14.639 --> 00:49:16.400]  The globalists didn't shoot Trump.
[00:49:16.719 --> 00:49:20.079]  They're not trying to start a giant war, which they've already started a bunch of them.
[00:49:20.320 --> 00:49:21.679]  None of that's true.
[00:49:22.000 --> 00:49:25.360]  And, oh, the FDA now admits fluoride lowers your IQ, gives you cancer.
[00:49:25.599 --> 00:49:29.360]  How dare I sell high-quality filters that cut it all out?
[00:49:29.519 --> 00:49:31.599]  I mean, I am a horrible person.
[00:49:32.559 --> 00:49:34.400]  They all sell whatever they sell.
[00:49:34.719 --> 00:49:38.960]  But when I sell good stuff in t-shirts saying Gulf of America, I'm a fraud.
[00:49:39.119 --> 00:49:41.199]  When I sell methylene bluet, I'm bad.
[00:49:43.360 --> 00:49:45.199]  Absolutely insane.
[00:49:45.760 --> 00:49:51.840]  When I've had people try to come kill me in the Austin Police Department over the years, arrest nuts.
[00:49:51.920 --> 00:49:55.760]  When my reporter gets killed, you know, all of this, everything's wonderful.
[00:49:56.079 --> 00:49:56.960]  Everything's fine.
[00:49:57.199 --> 00:50:06.320]  When I was there on J6 trying to stop people going in the building and the Wall Street Journal said I was telling people to go in the building, no, I've never been under any attack in my lifetime.
[00:50:06.639 --> 00:50:26.880]  We didn't have the Southern Property Law Center put an infiltrator in here who for a year hacked into the surveillance cameras in the building that are in the hallways and doorways trying to find something incriminating on me and finally put out me walking around at midnight by myself with my shirt off, smoking a cigarette with a bottle of vodka in my hand because I slept here that night.
[00:50:27.199 --> 00:50:28.480]  That's what you got.
[00:50:29.760 --> 00:50:36.239]  And PIs and infiltrators and sex operatives and the FBI trying to set me up.
[00:50:36.559 --> 00:50:37.840]  All of that's gone on.
[00:50:38.079 --> 00:50:40.239]  And Global is trying to hire me.
[00:50:40.720 --> 00:50:42.000]  And everything that's gone on.
[00:50:42.159 --> 00:50:55.679]  And the Democrat lawyers in Connecticut at the mediations in Texas and Connecticut openly saying to my lawyers and me, we want him to stop doing what he does politically and we'll drop all this.
[00:50:56.239 --> 00:50:57.679]  This is such a scandal.
[00:50:57.840 --> 00:50:59.760]  This is so legendary.
[00:51:00.400 --> 00:51:01.599]  And you heard them, though.
[00:51:01.840 --> 00:51:03.840]  There's nobody trying to take your speech.
[00:51:04.079 --> 00:51:05.679]  There's nobody shipping in fentanyl.
[00:51:05.840 --> 00:51:08.079]  There's nobody shipping and kidnap kids.
[00:51:08.159 --> 00:51:09.199]  Of course, they are on record.
[00:51:09.519 --> 00:51:10.880]  There's nothing bad happening.
[00:51:10.960 --> 00:51:12.159]  There's not crime in the street.
[00:51:12.320 --> 00:51:14.079]  They didn't defund the police.
[00:51:14.400 --> 00:51:16.079]  They didn't do all this stuff.
[00:51:16.400 --> 00:51:19.360]  They didn't say, oh, he's a criminal in his bankruptcy.
[00:51:19.440 --> 00:51:20.800]  We know he's hiding hundreds of millions.
[00:51:20.960 --> 00:51:22.000]  He's going to prison.
[00:51:22.320 --> 00:51:23.679]  And then everything I said was true.
[00:51:24.000 --> 00:51:25.119]  The New York Times had a report.
[00:51:25.280 --> 00:51:28.880]  He never had big assets and he has meager assets.
[00:51:29.840 --> 00:51:32.239]  All of what I said was true.
[00:51:34.800 --> 00:51:45.679]  I took 99% of the money came into this place and I dumped it into trying to expand and fight the globalists and fight off all these legal attacks that have been going on for decades, but intensified the last seven years.
[00:51:46.000 --> 00:52:04.239]  They filed six months ago in federal court, pull it up, Bloomberg reported on it, that they spent $323 million suing me, Paul Weiss law firm, that confessed to quote illegal activity and lawfare against Trump.
[00:52:07.280 --> 00:52:08.559]  That's who's attacking me.
[00:52:08.880 --> 00:52:10.000]  But you heard them.
[00:52:10.639 --> 00:52:16.960]  That's the ultimate gaslighting to be savaging us, to be coming after us, to be doing all of this.
[00:52:19.199 --> 00:52:23.920]  And then say, no, nobody's trying to shut him up.
[00:52:24.559 --> 00:52:27.039]  Even though there have been tens of thousands of articles in them everywhere.
[00:52:27.119 --> 00:52:27.920]  We want him off the air.
[00:52:28.000 --> 00:52:28.480]  We can't wait.
[00:52:28.559 --> 00:52:32.000]  Put that son of a bitch in prison, indict him, put him in jail.
[00:52:32.239 --> 00:52:36.719]  And then grand jury after grand jury, federal and state, Leticia James, all of them.
[00:52:37.039 --> 00:52:39.920]  And my lawyers are like, well, don't tell people this is going on.
[00:52:40.000 --> 00:52:42.960]  Just respond to the grand jury and answer their questions and blah, blah, blah, blah, blah.
[00:52:43.039 --> 00:52:51.679]  And go here and fly there and talk to this and have the U.S. Justice Department come depose me five, six times and hand me paperwork and say, if you say one thing wrong, we're indicting you.
[00:52:51.760 --> 00:52:52.559]  Here's the U.S. code.
[00:52:52.639 --> 00:52:54.400]  Read that into the camera.
[00:52:55.039 --> 00:52:56.480]  But there was nothing going on.
[00:52:56.639 --> 00:52:58.159]  The crew just has seen me for years.
[00:52:58.480 --> 00:53:03.199]  Half the time they deposed me there in a conference room about 30 yards, 20 yards away.
[00:53:03.519 --> 00:53:09.519]  My crew's here when the armed security shows up with no warrant because the U.S. trustee, the last one the judge fired, said, throw us out of the building.
[00:53:09.599 --> 00:53:10.719]  And I say, no, where's your warrant?
[00:53:10.800 --> 00:53:11.679]  I'm calling the police.
[00:53:12.000 --> 00:53:13.440]  The crew all saw that.
[00:53:13.760 --> 00:53:15.599]  They all know how real it is.
[00:53:16.480 --> 00:53:21.440]  They all know about the illegal alien crime waves and the death and the destruction and the robberies and everything.
[00:53:21.679 --> 00:53:23.840]  They all know about the inflation.
[00:53:24.480 --> 00:53:28.000]  But you guys want to sit here and gaslight the American people that they're not under attack.
[00:53:28.239 --> 00:53:34.960]  The reason Trump's under attack, the reason I'm under attack is because we're Americans and we tell the truth and we're standing in the way of the globalists.
[00:53:35.039 --> 00:53:37.039]  They got to get through us to get to you.
[00:53:37.599 --> 00:53:52.559]  So if you want to back the future and you want to stand against people that hate this broadcast above everything else but Trump, and if you want to stand against their next stage terror attacks and their next pandemics and their next wars, then you keep me in the fight and you're the ones that will decide that.
[00:53:52.880 --> 00:53:53.679]  I need your prayers.
[00:53:53.760 --> 00:53:54.800]  I need your word of mouth.
[00:53:55.119 --> 00:53:59.840]  And I need you to go to the yellowstone store.com and energize me.
[00:54:04.639 --> 00:54:07.599]  I'm in a deep state, toe-to-toe legal battle with the Democratic Party.
[00:54:07.679 --> 00:54:08.800]  I'm finally starting to win.
[00:54:09.039 --> 00:54:10.559]  They're trying to shut us down constantly.
[00:54:10.719 --> 00:54:11.679]  You've seen all the dirty tricks.
[00:54:11.760 --> 00:54:12.400]  It's all coming out.
[00:54:12.480 --> 00:54:13.440]  We're on the major offense.
[00:54:13.599 --> 00:54:15.119]  We got huge stuff we're about to file.
[00:54:15.199 --> 00:54:16.559]  They'll blow everything else you've seen away.
[00:54:16.800 --> 00:54:17.840]  But I need support.
[00:54:18.159 --> 00:54:25.440]  And so all I got to do is convince you to back an organization that promotes world peace, justice, sovereignty, freedom, health freedom.
[00:54:25.599 --> 00:54:30.639]  And you see all the victories we've had together that's under enemy attack because they know we're damaging them with the truth.
[00:54:30.880 --> 00:54:36.480]  So A, you're backing something that done really good work, our crew, the guest, all of us together, that's worthy of your support.
[00:54:36.719 --> 00:54:41.679]  And then it's really great products that work great because I don't want to sell you something once and it doesn't work.
[00:54:41.920 --> 00:54:44.079]  Our methylene blue is game changing.
[00:54:44.400 --> 00:54:46.320]  Our Irish Seamos, game-changing.
[00:54:46.480 --> 00:54:47.599]  Our Chilogy, the best.
[00:54:47.760 --> 00:54:50.400]  Our turmeric, beyond anybody else is so strong.
[00:54:50.639 --> 00:54:51.280]  We have the best.
[00:54:51.440 --> 00:54:52.800]  We have the best gut cleanse.
[00:54:52.880 --> 00:54:55.440]  We have the best green superfood, audible human.
[00:54:55.679 --> 00:54:57.920]  We have the best prebiotic.
[00:54:58.159 --> 00:55:01.119]  We have the best detox blood cleaner that everybody needs.
[00:55:01.440 --> 00:55:02.400]  Ultimate Life Force.
[00:55:02.559 --> 00:55:03.679]  So good for everything else, your body.
[00:55:03.840 --> 00:55:06.079]  We have it all at thealuxhostore.com.
[00:55:06.239 --> 00:55:11.039]  And it's Mel Gibson and Robert F. Kennedy Jr. and scientists and everybody about methylene blue.
[00:55:11.119 --> 00:55:12.159]  And we've got the best.
[00:55:12.400 --> 00:55:14.159]  Here's Joe Rogan recently talking about it.
[00:55:14.480 --> 00:55:17.920]  You were just telling me that you had a brain disease.
[00:55:18.239 --> 00:55:20.639]  And you, what did you do to fix it?
[00:55:20.960 --> 00:55:23.679]  I found this guy as a functional medicine guy.
[00:55:24.000 --> 00:55:26.719]  And he got me on methylene blue.
[00:55:27.039 --> 00:55:30.400]  And that instantly stopped everything.
[00:55:30.719 --> 00:55:31.280]  I'd take it.
[00:55:31.440 --> 00:55:31.599]  Okay.
[00:55:31.840 --> 00:55:32.000]  Yeah.
[00:55:32.239 --> 00:55:33.360]  I take it every day as well.
[00:55:33.840 --> 00:55:35.360]  And RFK Jr. told me about it.
[00:55:35.599 --> 00:55:37.119]  Yeah, man, it's fantastic.
[00:55:37.440 --> 00:55:43.440]  And so this guy's injecting in 1890, injects these rats with it, and then does an autopsy on these things.
[00:55:44.000 --> 00:55:48.239]  And their brain, their brainstem, every single nerve is blue.
[00:55:48.559 --> 00:55:53.119]  So he discovered this methylene blue has an affinity for neuronal tissue.
[00:55:53.440 --> 00:55:56.960]  So he says, well, it's sucking into neurons and working in the body.
[00:55:57.119 --> 00:55:59.039]  So we started putting it in humans.
[00:55:59.599 --> 00:56:06.079]  And we found out it's an MAOI, which helps with depression and anxiety and all kinds of life stress and stuff.
[00:56:06.400 --> 00:56:14.159]  It is so incredible that it acts as an electron donor to mitochondria, especially your neuronal mitochondria.
[00:56:14.719 --> 00:56:20.960]  So it helps you produce more ATP and it helps you get rid of this stuff called reactive oxygen species.
[00:56:21.039 --> 00:56:24.079]  So you have an oxygen molecule that should have two hydrogens on it.
[00:56:24.239 --> 00:56:28.400]  And like your body's job is to convert stuff into water so you can pee it out.
[00:56:28.720 --> 00:56:36.079]  So if you get an oxygen molecule, it's got four, five, one, it's a reactive oxygen, which we call free radicals.
[00:56:36.400 --> 00:56:42.000]  So methylene blue goes in there and balances a lot of those things out in your brain and your nervous system.
[00:56:42.320 --> 00:56:44.800]  So it is a miracle.
[00:56:45.039 --> 00:56:46.559]  It's been proven for 100 years.
[00:56:46.880 --> 00:56:49.119]  It's one of the most well-proven drugs out there.
[00:56:49.440 --> 00:56:51.440]  The strongest medical grade methylene blue.
[00:56:51.519 --> 00:56:52.239]  And this is what I'm on.
[00:56:52.400 --> 00:56:55.039]  Total mitochondria cleaning, next level energy.
[00:56:55.280 --> 00:56:56.559]  This is amazing.
[00:56:56.880 --> 00:56:57.760]  And you want to know what I'm on?
[00:56:57.840 --> 00:56:59.360]  Iris Seymour Shilogy.
[00:56:59.599 --> 00:57:00.720]  This right here, look at that.
[00:57:00.960 --> 00:57:02.400]  That is power.
[00:57:05.920 --> 00:57:06.960]  I'm on intermittent fasting.
[00:57:07.039 --> 00:57:08.400]  I'm eight at three o'clock today.
[00:57:09.360 --> 00:57:12.320]  And I stopped eating crap food, stopped drinking.
[00:57:12.480 --> 00:57:14.159]  That's what I'm on right there, baby.
[00:57:14.480 --> 00:57:16.400]  This is medical grade, but we don't sell as a drug.
[00:57:16.480 --> 00:57:17.280]  It is a supplement.
[00:57:17.519 --> 00:57:22.079]  And you need to talk to your physician before you take it because you're on certain drugs and stuff like SSRIs, very bad interactions.
[00:57:22.239 --> 00:57:24.800]  Do your research, talk to your physician or healthcare provider before you take it.
[00:57:25.119 --> 00:57:38.079]  And finally, we have a giant sale, the biggest ever on methylene blue, a free bottle of the liquid or the same liquid in capsules with vitamin C that accelerates it in the cells free when you buy one bottle of the liquid or the capsules.
[00:57:38.400 --> 00:57:40.559]  And those are already discounted on top of it.
[00:57:40.720 --> 00:57:43.519]  And if you sign up for auto ship and a subscriber, it never runs out.
[00:57:43.599 --> 00:57:44.480]  They hold it back for you.
[00:57:44.639 --> 00:57:48.079]  And as long as you want to stay a subscriber, one click on your profile, you can cancel any time for no cost.
[00:57:48.239 --> 00:57:52.720]  You will get it for 50% off in perpetuity of the liquid or the capsules or both.
[00:57:52.880 --> 00:57:55.760]  So be sure now's the time to buy thealxhostore.com.
[00:57:55.840 --> 00:57:59.280]  We're running this until next Sunday, the biggest sale ever, battling the deep state.
[00:57:59.360 --> 00:58:00.639]  And I'm so thankful you've kept us in the fight.
[00:58:00.720 --> 00:58:01.440]  And so is the crew.
[00:58:01.599 --> 00:58:02.559]  Thank you.
[00:58:04.800 --> 00:58:07.440]  All right, ladies and gentlemen, let me tell you what's going on here.
[00:58:08.719 --> 00:58:12.848]  I have a little bit more to say about Iran, and then I'm going to shut it down because...
[00:58:20.960 --> 00:58:26.400]  I'm really glad the crew alerted me to something that I'm going to be covering.
[00:58:27.039 --> 00:58:35.920]  At least by the moment the animation on it for a long time because it's a big deal.
[00:58:36.159 --> 00:58:40.320]  And I was already aware of this group.
[00:58:40.559 --> 00:58:47.920]  And then when I was given this information, I was like, oh, that's it.
[00:58:51.039 --> 00:58:57.760]  I've talked to a lot of people in Homeland Security and a lot of people in the military and intelligence.
[00:58:58.079 --> 00:59:09.920]  And they've been telling me for about three months that the chatter they're told by their superiors who want to get them ready is look for something big on July 4th.
[00:59:12.400 --> 00:59:14.960]  Now, will that be an Iranian sleeper cell or a false flag?
[00:59:15.119 --> 00:59:18.960]  Will that be a bunch of illegal aliens protesting, getting shot?
[00:59:19.119 --> 00:59:21.199]  They've been really pre-programming that.
[00:59:22.800 --> 00:59:26.000]  Will it be a bioweapon release?
[00:59:28.559 --> 00:59:44.320]  Now, the globalists love to have tabletop exercise drills building up to an attacks they've launched in the past, both terroristic with bombs, airplanes, but also bioweapons.
[00:59:45.199 --> 00:59:47.119]  That's COVID.
[00:59:47.760 --> 00:59:55.679]  They love to have a drill a year before and then right before of what they're going to execute.
[00:59:55.760 --> 00:59:56.880]  So they have the talking points ready.
[00:59:57.039 --> 00:59:57.840]  And so they get caught with it.
[00:59:57.920 --> 01:00:01.039]  They just go, oh, no, that's our drill that matches exactly what happens.
[01:00:01.280 --> 01:00:02.719]  Think of Nintend 201.
[01:00:03.599 --> 01:00:07.920]  Well, we got a new one for a bioattack on July 4th in America.
[01:00:08.159 --> 01:00:09.119]  Stay with us.
[01:00:09.440 --> 01:00:16.800]  We now take you live to the heart of the battle against the globalist as we rally humanity to awaken from its slumber.
[01:00:17.039 --> 01:00:19.920]  This is the Great Awakening, the answer to the Great Reset.
[01:00:20.239 --> 01:00:28.960]  I'm your host, Alexander Emerick Jones, coming to you from deep in the heart of Texas, Austin, transmitting the message of 1776 worldwide.
[01:00:31.119 --> 01:00:35.039]  All right, I want to finish up on Iran and what's going on there and happening.
[01:00:35.119 --> 01:00:36.719]  Move quickly with a bunch of clubs.
[01:00:37.280 --> 01:00:55.519]  Then I'm going to get into what has a very high potential to be the next 9-11, the next COVID, the next staged globalist event, the next Disease X. That's at the bottom of the hour.
[01:00:56.480 --> 01:00:58.880]  The National Blueprints for Biodefense.
[01:00:59.360 --> 01:01:07.599]  Some very nasty ombres running it that I track back to the beginning of the project, 2004 on this one.
[01:01:08.800 --> 01:01:11.599]  So get ready for that.
[01:01:13.199 --> 01:01:29.599]  And I wish I would have known about this particular report that's a key report and has all the earmarks of a battle plan, a rollout plan earlier, but thanks to the crew and folks getting that to us.
[01:01:30.239 --> 01:01:33.679]  So sent a chill up my spine when I read it.
[01:01:34.880 --> 01:01:35.920]  So that's coming up.
[01:01:36.239 --> 01:01:39.440]  And then War of Loomer.
[01:01:39.760 --> 01:01:45.280]  And then Errol Musk, Father of Elon Musk, fourth hour.
[01:01:46.239 --> 01:01:46.480]  Okay.
[01:01:49.599 --> 01:01:51.519]  So quick summation.
[01:01:52.159 --> 01:01:56.159]  The 12-day war, as it's being now called, was really a 600-day war.
[01:01:56.320 --> 01:02:09.039]  Israel has taken out 95%, I would dead reckon, and they've put out similar numbers, but of the proxy forces of Iran, Hezbollah, and others in the Middle East.
[01:02:09.679 --> 01:02:10.960]  And Israel wants regime change.
[01:02:11.039 --> 01:02:12.000]  That's what this is all about.
[01:02:12.320 --> 01:02:16.400]  Trump said he was against that, did some lip service, maybe he was for it, then backed off of it, as you know.
[01:02:16.639 --> 01:02:19.760]  They got really mad when Israel kept bombing and breaking the ceasefire.
[01:02:20.719 --> 01:02:24.800]  But really what's emerged out of this is all the hype that the sleeper cells are going to hit.
[01:02:25.039 --> 01:02:26.320]  And Iran has said they might do it.
[01:02:26.400 --> 01:02:27.760]  So if it happens, they're a suspect.
[01:02:28.079 --> 01:02:30.800]  But you also got to ask who stands to gain from that.
[01:02:30.880 --> 01:02:32.079]  And that's pretty obvious.
[01:02:32.400 --> 01:02:42.639]  And you have these big Israeli-connected Microsoft think tech PR firms in the last three weeks saying, censor anybody when terror attacks happens that says false flags, they're bots, take them down.
[01:02:42.960 --> 01:02:46.159]  They've got big tech prepared to do that so they can control the narrative.
[01:02:46.320 --> 01:02:47.920]  That's a very bad sign they're doing that.
[01:02:48.079 --> 01:03:02.000]  That means that points towards people that would stand to gain from that because if there's a big 9-11 style event or a bunch of little events that add up to it, there's going to be massive pressure to obliterate Iran and send in boots on the ground.
[01:03:02.320 --> 01:03:05.119]  And that'll make Iraq look like a walk in the park.
[01:03:05.440 --> 01:03:07.519]  So very ominous.
[01:03:10.079 --> 01:03:15.199]  And now you've got behind the scenes, the Israel lobby.
[01:03:15.599 --> 01:03:18.079]  I wasn't doing it publicly, but its surrogates are.
[01:03:18.159 --> 01:03:20.960]  And you've got the mullah saying, oh, you didn't get our nuclear material.
[01:03:21.199 --> 01:03:21.840]  Ha, ha ha.
[01:03:22.320 --> 01:03:25.840]  Whether that's true or not, certainly it did knock back the production.
[01:03:27.039 --> 01:03:28.559]  And two of the sites are obliterated.
[01:03:28.639 --> 01:03:29.840]  The other one's heavily damaged.
[01:03:30.559 --> 01:03:31.840]  The evidence is clear.
[01:03:32.159 --> 01:03:37.119]  But Trump's not lying when he says we took out their sites, but that doesn't mean you got the stuff that was in them.
[01:03:37.280 --> 01:03:39.280]  As I kept saying, when nobody else was, that'd be a big issue.
[01:03:39.360 --> 01:03:40.000]  And now it's a big scandal.
[01:03:40.079 --> 01:03:42.320]  Now there's congressional hearings this week.
[01:03:43.199 --> 01:03:47.679]  Today, in the Senate, tomorrow, in the House, they're making a huge deal out of it.
[01:03:48.639 --> 01:03:51.280]  And then there's just more pressure for regime change.
[01:03:51.840 --> 01:03:58.480]  And now the numbers are coming in, and the assessments are that it's actually unified Iran to a greater extent, capitalizing on rare unity.
[01:03:58.559 --> 01:04:04.559]  Iran's supreme leader sends a defiant message to Trump, says that Iran has defeated the U.S. and Israel.
[01:04:04.720 --> 01:04:06.079]  That's not true.
[01:04:06.960 --> 01:04:10.000]  Israel had defanged them to a great extent.
[01:04:10.880 --> 01:04:35.199]  But visually, the image of a bunch of craters all over Israel and high-rises burnt out and government buildings blown up is a visual propaganda victory for the Iranians.
[01:04:35.519 --> 01:04:38.320]  And now the White House is not on its domestic agenda or any of that.
[01:04:38.400 --> 01:04:42.720]  Now it's just constantly defending, you know, oh, this is a fake leak.
[01:04:42.800 --> 01:04:43.679]  This is disinfo.
[01:04:43.840 --> 01:04:46.400]  And now the CI has come out and said, yes, it's not true.
[01:04:47.280 --> 01:04:48.079]  It's certainly not true.
[01:04:48.239 --> 01:04:49.679]  This knocked back their program months.
[01:04:49.840 --> 01:04:52.960]  I mean, their ongoing program has been damaged for years.
[01:04:53.280 --> 01:04:54.639]  But the EB is overwhelming.
[01:04:54.800 --> 01:04:56.159]  They already have bomb gray material.
[01:04:56.320 --> 01:04:59.920]  That's why Israel wants regime change.
[01:05:01.199 --> 01:05:23.599]  So the other big issue coming out of this is Jack Pesobic and people like Steve Bannon, Turk Harlson and myself, and MTT rightly saying, look, we're not anti-Israel.
[01:05:23.760 --> 01:05:24.559]  Preface it with that.
[01:05:24.800 --> 01:05:28.800]  But we're anti-President Netanyahu of America.
[01:05:29.039 --> 01:05:30.800]  And the Israeli papers bragging, we're a superpower.
[01:05:30.880 --> 01:05:31.760]  We run America's military now.
[01:05:32.000 --> 01:05:32.719]  So we're a superpower.
[01:05:32.880 --> 01:05:36.559]  You know, lots of arrogant statements I showed you yesterday.
[01:05:36.880 --> 01:05:38.320]  And that's just not right.
[01:05:39.199 --> 01:05:41.039]  And we don't want regime change.
[01:05:41.119 --> 01:05:42.320]  That's not our policy.
[01:05:42.639 --> 01:05:43.519]  So it's a big deal.
[01:05:43.760 --> 01:05:46.719]  So it's a good thing that Americans are really getting this.
