[00:00:00.110 --> 00:00:06.719]  It's Friday.
[00:57:55.460 --> 00:57:59.380]  And now they have high-level agents saying, no, we have the videos, we have the audio, we have the files.
[00:57:59.519 --> 00:58:00.179]  They've destroyed them.
[00:58:00.260 --> 00:58:00.679]  We have them.
[00:58:02.059 --> 00:58:04.019]  Can you imagine what's going on in there right now?
[00:58:04.179 --> 00:58:05.360]  She sent the letter out yesterday.
[00:58:05.360 --> 00:58:06.539]  She said, I want it 8 a.m.
[00:58:06.579 --> 00:58:06.760]  here.
[00:58:07.119 --> 00:58:08.179]  Reported they're already flying.
[00:58:08.780 --> 00:58:19.969]  Masses of it back to D.C. And the same unit that staged the Governor Whitmer kidnapping, Ran J6, we now know, and Trump's on that.
[00:58:20.130 --> 00:58:22.969]  And now it's mainstream news that the FBI was working with crooks.
[00:58:24.190 --> 00:58:26.809]  Remember Comey said, oh yeah, Trump will be dead soon.
[00:58:26.869 --> 00:58:28.949]  How dare him say we're going to kill him soon, a month before they try to kill him.
[00:58:29.449 --> 00:58:43.650]  So Comey's signaling his people, and Comey is one of the ringleaders, and as Brad is one of the ringleaders, in the ongoing rolling deep state soft coups we've been seeing that led up to the attempted physical coups and taking Trump off the ballot in the states and stealing the election.
[00:58:43.650 --> 00:58:46.210]  It's all the same group, and he's a field marshal.
[00:58:46.650 --> 00:58:51.590]  And his daughter runs all the big CIA pedo cover-up operations.
[00:58:52.510 --> 00:58:55.849]  Epstein, Diddy, Ghislaine Maxwell, on, on, on.
[00:58:55.989 --> 00:58:57.469]  She's over the files.
[00:58:58.570 --> 00:59:00.989]  And who else is over the files?
[00:59:02.789 --> 00:59:06.610]  The acting deputy director there.
[00:59:09.530 --> 00:59:12.289]  And that's all coming out now.
[00:59:12.610 --> 00:59:14.289]  James Dennehy.
[00:59:16.049 --> 00:59:18.309]  Who said a few weeks ago, we put the headline up.
[00:59:20.389 --> 00:59:24.469]  He said, we are dug in and we are the resistance.
[00:59:25.510 --> 00:59:26.750]  They didn't fire him right away.
[00:59:26.829 --> 00:59:28.570]  They're like, here's a little more rope, son.
[00:59:28.889 --> 00:59:30.170]  Let that fish run out.
[00:59:32.710 --> 00:59:36.429]  And now, oh, they're all getting indicted.
[00:59:36.769 --> 00:59:42.610]  You just saw Trump flamethrow and J.D. Vance got in on it.
[00:59:42.710 --> 00:59:44.150]  It was like a...
[00:59:44.269 --> 00:59:45.929]  Political firing squad.
[00:59:50.670 --> 00:59:52.010]  America's surrender is over.
[00:59:52.230 --> 00:59:58.329]  And the minute we psychologically and spiritually decided to resist, we had total victory.
[00:59:58.489 --> 00:59:59.889]  Our enemies are a joke.
[01:00:01.050 --> 01:00:02.869]  Fauci, all of them are going to prison.
[01:00:04.449 --> 01:00:05.809]  This is a real war.
[01:00:05.929 --> 01:00:06.889]  This is a real revolution.
[01:00:07.070 --> 01:00:09.750]  This is 1776 Part 2. Now, our guests, I'm going to him.
[01:00:10.449 --> 01:00:12.130]  I believe this is his first interview.
[01:00:13.289 --> 01:00:20.570]  He came to me months before, highly decorated Green Beret, decades in the military, Army, and said, listen, I got approached by the feds.
[01:00:20.670 --> 01:00:24.949]  They're trying to recruit me, just like they did Randy Weaver, former Green Beret, to infiltrate groups.
[01:00:25.110 --> 01:00:25.710]  He said no.
[01:00:26.050 --> 01:00:28.070]  They killed his wife.
[01:00:28.170 --> 01:00:29.070]  You know the rest of it.
[01:00:30.390 --> 01:00:32.250]  Rest in peace, Randy, good friend of mine.
[01:00:32.250 --> 01:00:46.140]  And the same thing with Jeremy Brown.
[01:00:46.150 --> 01:00:52.869]  He gets the video of them coming to his house, wanting him to go set people up on J6. He goes all over the media, warns people.
[01:00:53.050 --> 01:00:55.230]  He comes to Austin, comes on my show.
[01:00:57.909 --> 01:01:01.110]  We go to J6. We're looking for provocateurs.
[01:01:01.210 --> 01:01:04.690]  We're not thinking it would be with the police themselves and FBI. He's there.
[01:01:04.789 --> 01:01:06.110]  He saves a lady, all that.
[01:01:06.329 --> 01:01:10.030]  They charge him later by setting him up with hand grenades and all the rest of it.
[01:01:10.150 --> 01:01:10.909]  That's been proven to be a fraud.
[01:01:11.289 --> 01:01:12.630]  But because he wasn't...
[01:01:12.539 --> 01:01:15.019]  Actually charged for J6. It was overlooked by Trump.
[01:01:15.179 --> 01:01:16.099]  Trump got him out.
[01:01:16.780 --> 01:01:18.420]  He got out a few days ago.
[01:01:18.659 --> 01:01:19.920]  I believe this is his first interview.
[01:01:20.199 --> 01:01:22.880]  But the reason I mention all this is it's all interconnected.
[01:01:23.400 --> 01:01:25.400]  This guy needs to be in front of Congress.
[01:01:26.460 --> 01:01:28.780]  I wonder if Trump can draft him back in the administration.
[01:01:29.099 --> 01:01:34.199]  I know they have been taking whistleblowers from the military that were patriots and promoting them.
[01:01:34.980 --> 01:01:38.880]  Trump's looking for real men and women that have got what it takes is proven.
[01:01:39.880 --> 01:01:41.039]  And so...
[01:01:41.939 --> 01:01:45.599]  He did what Randy Weber did.
[01:01:45.860 --> 01:01:47.539]  He said, I'm not going to go set people up.
[01:01:47.619 --> 01:01:48.380]  So they set him up.
[01:01:49.920 --> 01:01:51.179]  And it's all on record.
[01:01:51.179 --> 01:01:56.639]  So he's a critical witness of the FBI that we know was there, that Director Ray lied about to Congress.
[01:01:56.639 --> 01:02:00.440]  We now know broke in and they had staged the rest of them and high-fied after that.
[01:02:00.619 --> 01:02:10.219]  We know all that, but this guy is as important as the cops and the fake pipe bomber, or more important because he has the videos, he has the evidence, he warned before it happened.
[01:02:10.730 --> 01:02:13.050]  He tried to stop January 6th.
[01:02:13.329 --> 01:02:15.449]  So Jeremy, I appreciate you coming on.
[01:02:15.610 --> 01:02:16.769]  It's a historic moment.
[01:02:17.409 --> 01:02:20.690]  United States Special Forces Master Sergeant retired Jeremy Brown.
[01:02:22.409 --> 01:02:27.389]  Pardon federal whistleblower recently released after 1,245 days as a political prisoner.
[01:02:27.630 --> 01:02:28.369]  He was a hostage.
[01:02:31.050 --> 01:02:33.329]  Master Sergeant retired Jeremy Brown.
[01:02:34.380 --> 01:02:48.219]  Was denied bond for 15 months before being falsely convicted and sentenced to 87 months in federal prison for espionage and stolen military explosives using fake implanted evidence, which the FBI laboratory confirmed through DNA, carbon fiber, and dog hair samples that did not match him.
[01:02:49.519 --> 01:02:53.940]  Master Sergeant Retired Jeremy Brown publicly predicted this legal targeting of him.
[01:02:54.260 --> 01:02:56.099]  From day one, he denied the government's charges.
[01:02:56.679 --> 01:03:05.139]  Friends and supporters who have followed and attended his Soviet-style show trial vehemently deny the legitimacy of his conviction, no kidding, and demand his immediate release, which has now been released.
[01:03:05.559 --> 01:03:08.059]  No Americans should be subjected to illegal surveillance by their government.
[01:03:08.280 --> 01:03:15.000]  Law enforcement should not be operating illegal spy networks, and all government surveillance should meet the constitutional requirement.
[01:03:15.289 --> 01:03:17.909]  Of a warrant instead on the basis of probable cause.
[01:03:18.030 --> 01:03:20.590]  But he's really an expert on the big picture.
[01:03:20.730 --> 01:03:24.030]  So I want him to say whatever he wants about what happened, J6, where that's going.
[01:03:24.150 --> 01:03:28.090]  Has he been called by Kash Patel and others to come in as a key witness to Congress as well?
[01:03:28.789 --> 01:03:31.610]  Have the agents that were doing this, they need to be arrested.
[01:03:32.250 --> 01:03:39.869]  Obviously, big picture, because he was way ahead of things, you know, on J6, and how he would quantify where we are today.
[01:03:40.170 --> 01:03:44.210]  Mr. Brown at Free Jeremy Brown on X, JeremyBrownDefense.com.
[01:03:44.960 --> 01:03:45.760]  Whoisjeremybrown.com.
[01:03:46.000 --> 01:03:46.980]  God bless you, brother.
[01:03:47.119 --> 01:03:49.519]  We're so proud of you and so glad you're out of there.
[01:03:49.739 --> 01:03:53.360]  I appreciate you holding while I was recapping, but I mean, we're living in history.
[01:03:53.840 --> 01:04:03.119]  First off, go wherever you want, but how would you, I respect your opinion, you're very well-traveled and street smart.
[01:04:03.360 --> 01:04:05.360]  How would you quantify where we are right now?
[01:04:05.480 --> 01:04:22.480]  Because I politically, geopolitically, but more importantly, spiritually, and it always matches what I see in the info, but at a gut level, I feel like, What Trump just did to Zelensky just accelerated the overall victory trajectory and is just incredible.
[01:04:22.699 --> 01:04:23.019]  Go ahead.
[01:04:24.079 --> 01:04:27.579]  Well, Alex, I want to thank you for having me back on the show again.
[01:04:27.940 --> 01:04:41.320]  It has really been an honor to be able to work with Infowars on this story from the very beginning from Brandon Gray breaking the story on just another channel, which you can find at band.video.
[01:04:42.909 --> 01:04:48.949]  Yeah, I mean, the reality is, like you said, this is 1776-level stuff.
[01:04:49.309 --> 01:04:59.969]  You have tyranny run amok with a populace that is pretty much unawares, and there's a very, very small percentage of us that are more than aware.
[01:05:00.150 --> 01:05:11.929]  And so I've said all along that I would never accept a pardon unless it was accompanied with a nomination to be the director of the FBI. Unfortunately, Kash Patel has that job now.
[01:05:12.110 --> 01:05:13.909]  But, you know, Trump's been known to fire guys.
[01:05:14.030 --> 01:05:22.710]  And so I will have my resume standing by whenever the president really wants to clean out the FBI. And I've already got a new name for it.
[01:05:22.789 --> 01:05:36.170]  But the most popular aspect of my imprisonment was my D.C. Gulag-issued Abolish the FBI tennis shoes that I wore around while I was five months in the D.C. Gulag here near the end.
[01:05:36.829 --> 01:05:39.909]  Yeah, there is a war between good and evil.
[01:05:40.670 --> 01:05:42.269]  And that war is raging.
[01:05:42.409 --> 01:05:45.269]  It is by no means even close to over.
[01:05:45.369 --> 01:05:53.150]  In fact, I've assured everyone that this is merely the end of phase two, which phase one was the coup attempt.
[01:05:53.530 --> 01:05:55.730]  Phase two was the framing of me.
[01:05:55.869 --> 01:06:01.590]  And now phase three will be our legal counterstrike against these deep state actors.
[01:06:01.590 --> 01:06:04.150]  And I do not judge victory.
[01:06:04.619 --> 01:06:24.820]  In dollars, I will judge victory in how many visits I'm able to make to Comey, to Ray, to Mark Milley, who I believe was, in his own words, referred to January 6th before it happened as the American Reichstag.
[01:06:25.000 --> 01:06:30.500]  And this was testified to by Colonel Earl Matthews in front of one of the subcommittee hearings.
[01:06:30.679 --> 01:06:31.360]  And so...
[01:06:31.579 --> 01:06:37.760]  It is clear that what their intent was to do was to basically have the American Reichstag.
[01:06:38.039 --> 01:06:48.940]  They wanted to create an event that they could then claim domestic terrorism so that they could then round up whoever they wanted to, and that's exactly what they did.
[01:06:48.800 --> 01:06:55.960]  But now we see the tides of the tides are turning in a direction towards liberty.
[01:06:55.960 --> 01:06:59.440]  But we are very, very far from a total victory.
[01:06:59.440 --> 01:07:02.330]  But this has been a victory in a battle.
[01:07:02.340 --> 01:07:12.639]  I agree with you, but I don't want people to get, you know, slow down because that makes that'll make it a lot quicker and a lot less destructive.
[01:07:13.000 --> 01:07:19.820]  But every trajectory, every possible combination I've looked into, the globalists are so exposed now, not just here, but worldwide.
[01:07:20.000 --> 01:07:21.139]  Freedom's exploding everywhere.
[01:07:21.610 --> 01:07:23.489]  The public's knowledge base is exponential.
[01:07:23.610 --> 01:07:25.809]  They have been defeated in the future.
[01:07:26.030 --> 01:07:28.809]  The question is, what is the path to their total defeat?
[01:07:28.969 --> 01:07:36.530]  There's some really nasty, you know, potential close to civilizational ending events if we don't accelerate this.
[01:07:36.650 --> 01:07:46.309]  So when I say we're absolutely winning, people understand that's the truth in my view, but we have to understand it's still extremely dangerous and we have to triple our efforts.
[01:07:47.030 --> 01:07:47.590]  Right.
[01:07:47.869 --> 01:07:56.030]  And what I tell my supporters, Alex, Is that we should adopt the phrase, that's not good enough.
[01:07:56.230 --> 01:08:04.110]  No matter what they do, we should tell them that that's not good enough until we return to absolute liberty.
[01:08:04.329 --> 01:08:05.969]  I mean, I'm not a Republican.
[01:08:05.969 --> 01:08:06.909]  I'm not a Democrat.
[01:08:06.929 --> 01:08:11.170]  I'm an American, and I am a liberty absolutist.
[01:08:11.349 --> 01:08:18.710]  And so, no matter what they claim is the fix today that they run on Fox News or whatever.
[01:08:19.079 --> 01:08:29.079]  Look, my reply is that's not good enough until we are back to where we were, you know, the day after our Constitution was ratified.
[01:08:29.239 --> 01:08:33.779]  Because the day after our Constitution was ratified was the day that they began to attack it.
[01:08:33.859 --> 01:08:34.979]  And that's just the way it is.
[01:08:35.079 --> 01:08:37.060]  I mean, evil never takes a day off.
[01:08:37.600 --> 01:08:40.060]  Good likes to celebrate small victories.
[01:08:40.420 --> 01:08:44.779]  But we cannot let up, and we need to make our battle cry.
[01:08:45.020 --> 01:08:46.619]  That's not good enough.
[01:08:48.119 --> 01:08:48.479]  Absolutely.
[01:08:50.640 --> 01:08:54.920]  Tell us about when you got the word that you were getting out, how that happened, how your family's doing.
[01:08:55.579 --> 01:09:07.039]  I mean, it's not about vengeance, but those FBI guys that took part in trying to set you up, or were they just the minions up the chain who decided to set you up and put you in prison because you wouldn't go set up fellow Americans?
[01:09:08.319 --> 01:09:15.960]  Well, I mean, I think we learned after the Nazis in World War II that there is no excuse that I was just following orders, right?
[01:09:17.659 --> 01:09:21.159]  You know, there were four previous false releases.
[01:09:21.979 --> 01:09:36.500]  And so, obviously, at the time that the case manager came to let me know that it was time to leave, you know, I continually told everyone, I will not believe it until I'm standing outside the prison.
[01:09:36.500 --> 01:09:39.939]  And four times, I was proven to be right.
[01:09:40.079 --> 01:09:42.159]  But yeah, I guess the fifth time is the charm, Alex.
[01:09:44.220 --> 01:09:46.000]  How are you treated in the gulag?
[01:09:47.820 --> 01:09:50.760]  You know, the gulag for me was not that bad.
[01:09:50.840 --> 01:09:58.520]  Look, what people don't realize about my situation is that I spent 20 years in special operations, 17 years as a green brain.
[01:09:58.819 --> 01:10:06.880]  I'm actually a graduate of survival, evasion, resistance, and escape, which is a word I couldn't say when I was in prison, but I can say that now.
[01:10:07.260 --> 01:10:12.079]  And so, look, I was specially selected and well-trained to be in this situation.
[01:10:12.079 --> 01:10:14.800]  So, you know, for me...
[01:10:14.960 --> 01:10:18.779]  I managed my environment knowing what my environment was.
[01:10:18.920 --> 01:10:26.500]  And so, you know, one of the things that you do in captivity is you humanize yourself to your captors.
[01:10:26.680 --> 01:10:30.420]  And so you say thank you for everything.
[01:10:30.560 --> 01:10:38.500]  No matter how rude they are to you, no matter what, you create a persona that you're a human.
[01:10:38.500 --> 01:10:39.539]  You're not just an inmate.
[01:10:39.579 --> 01:10:40.500]  You're not just a criminal.
[01:10:40.699 --> 01:10:43.699]  And so I feel like I was very successful in doing that.
[01:10:43.949 --> 01:10:49.270]  So I did not have the experience of the harsh treatment that a lot of J6ers did.
[01:10:49.449 --> 01:10:55.189]  And so, you know, that's their story, and they should definitely tell it, because I will tell you this.
[01:10:55.329 --> 01:10:58.310]  You're not treated like a human as an inmate.
[01:10:58.449 --> 01:11:01.310]  You're treated as less than human, right?
[01:11:01.409 --> 01:11:02.329]  And so...
[01:11:02.060 --> 01:11:08.460]  I don't doubt for one second that there were horrific instances, but again...
[01:11:08.460 --> 01:11:11.899]  Sure, let's go back to your training, though, because I've been through it, but I've read a lot of history about it.
[01:11:12.760 --> 01:11:16.300]  I'm not putting words in your mouth, but from my perspective, you understand this is a war.
[01:11:16.380 --> 01:11:17.640]  This is the second American Revolution.
[01:11:18.140 --> 01:11:19.260]  You are a patriot.
[01:11:19.600 --> 01:11:20.920]  This is an evil system.
[01:11:21.140 --> 01:11:27.039]  You understand the whole country's under attack, and you understand that this is the price of being an American and being a man and being honorable.
[01:11:27.529 --> 01:11:34.470]  And so you understood that you're the good guy, the system is bad, and so it didn't break your will.
[01:11:34.649 --> 01:11:36.890]  Seems like you got even stronger going through this.
[01:11:36.930 --> 01:11:37.890]  Is that an accurate assessment?
[01:11:38.989 --> 01:11:41.829]  Well, absolutely, and of course I was disappointed.
[01:11:42.069 --> 01:11:47.489]  I never believed that I would be released other than winning an appeal, right?
[01:11:47.630 --> 01:11:51.569]  So mentally, I was convinced that my freedom wouldn't come until May.
[01:11:51.829 --> 01:11:55.170]  My appeal is actually scheduled for next week.
[01:11:55.170 --> 01:11:56.729]  I'm here with my appeal.
[01:11:57.039 --> 01:11:59.420]  Attorney at a pizza place celebrating.
[01:11:59.859 --> 01:12:05.659]  And so we're hoping to find out today that the 11th Circuit is throwing out the case, which is the path for me.
[01:12:05.760 --> 01:12:09.340]  The case will be, I will be, I will have my conviction overturned.
[01:12:09.359 --> 01:12:11.859]  So it will be as if it never happened, right?
[01:12:12.039 --> 01:12:18.279]  And so, you know, it's a surreal situation.
[01:12:18.859 --> 01:12:26.119]  And, you know, the thing is that you have the agents that probably, maybe they believe that they were doing the right thing.
[01:12:26.359 --> 01:12:29.659]  And maybe they believed that I would see it.
[01:12:29.800 --> 01:12:35.619]  But see, unfortunately for them, I've read the Constitution and I knew that what they were doing was illegal.
[01:12:36.319 --> 01:12:38.319]  By the way, we're not just saying they set you up.
[01:12:38.460 --> 01:12:39.960]  It would take an hour to go over it all.
[01:12:40.100 --> 01:12:41.159]  They all got caught.
[01:12:41.359 --> 01:12:42.020]  I mean, it was ridiculous.
[01:12:42.039 --> 01:12:45.500]  Just like in the fake Whitmer kidnapping, they got caught running all that.
[01:12:45.640 --> 01:12:47.199]  I mean, they literally...
[01:12:47.199 --> 01:12:52.479]  Do you know specifically or any idea who planted the hand grenades, who planted the secret disc and all that crap?
[01:12:53.469 --> 01:12:58.250]  No, and these types of operations are designed that you'll never know, right?
[01:12:58.630 --> 01:13:00.890]  This is what gives them the cover.
[01:13:01.409 --> 01:13:04.289]  Compartmentalized operations are designed like onions.
[01:13:04.289 --> 01:13:07.689]  They are designed in layers and everything.
[01:13:08.750 --> 01:13:11.609]  This is where the term conspiracy theories come from, right?
[01:13:11.909 --> 01:13:16.029]  The closer you get to the truth, the more that they're going to try to destroy you.
[01:13:16.210 --> 01:13:17.069]  In fact...
[01:13:17.020 --> 01:13:28.260]  There was a Washington Post article written about me, which I fully believe the FBI leaked to them in order to call me a conspiracy theorist because they knew that I had the recording.
[01:13:28.260 --> 01:13:38.699]  So they preemptively attacked my character and defamed me on January 13th in a Washington Post article calling me by name a conspiracy theorist.
[01:13:38.859 --> 01:13:41.180]  Now, at that time, I had no voice.
[01:13:41.460 --> 01:13:44.479]  And again, to recap, the most important thing in my view here is...
[01:13:44.729 --> 01:13:50.050]  You are the most critical witness on J6 of the premeditated setup of Patriots.
[01:13:50.069 --> 01:14:06.409]  For those that don't know, because the only part we got caught on tape, well, most of it, recap, they tried to get you to go in with all your training, just like Randy Weber, that all came out, to set people up coming up on J6, and you ran around warning people, including coming to my studio to warn us.
[01:14:07.270 --> 01:14:07.710]  Right.
[01:14:07.890 --> 01:14:08.789]  That's right, Alex.
[01:14:08.909 --> 01:14:12.989]  And I have the confidential human source reports.
[01:14:13.369 --> 01:14:22.569]  From the meeting that I held with the Florida Oath Keepers on November 22nd of 2020, where I warned them that they were about to be targeted for destruction.
[01:14:22.850 --> 01:14:31.050]  And so from that meeting, that's when they approached me and asked me to provide them information on groups that I was associated with.
[01:14:31.310 --> 01:14:34.670]  Because no doubt they had an operative already at that meeting.
[01:14:35.569 --> 01:14:36.529]  No, two.
[01:14:36.890 --> 01:14:40.909]  They had two confidential human sources in that meeting in November.
[01:14:41.109 --> 01:14:42.630]  So my question is...
[01:14:42.590 --> 01:14:59.409]  And we know that there were other confidential human source reports, part of my discovery, from as early as April 2020. So why were the Oath Keepers infiltrated by the FBI's Joint Terrorism Task Force when they had not even been accused of a crime, much less committed any crime?
[01:14:59.569 --> 01:15:02.029]  Well, the reason is because they were the patsies.
[01:15:02.449 --> 01:15:08.350]  The Oath Keepers and the Proud Boys were the designed patsies for the American Reichstag.
[01:15:08.350 --> 01:15:08.729]  Well, that's right.
[01:15:08.810 --> 01:15:11.689]  I've told all the stories I know, and a lot of them I'm not allowed to say.
[01:15:12.140 --> 01:15:22.760]  It was a massive operation even in Austin trying to set up mainline Trump groups by the FBI ahead of J6. And it was, they were also trying to set us up.
[01:15:23.460 --> 01:15:26.800]  And, well, it just goes on from there.
[01:15:27.000 --> 01:15:29.140]  But this was a massive operation.
[01:15:29.140 --> 01:15:32.960]  And I was so busy just trying to get, you know, fighting to show the election fraud.
[01:15:32.960 --> 01:15:39.020]  And I was so busy having all these other rallies in the half million in D.C. I didn't imagine the total stand-down and the setup they would do.
[01:15:39.119 --> 01:15:43.180]  And they even told Trump to have me lead the group so they could set me up that came out.
[01:15:43.300 --> 01:15:48.640]  And now we've learned that they've had an open case since 2013 on me as a national security threat.
[01:15:48.640 --> 01:15:52.500]  We got all the documents to put me in prison.
[01:15:52.899 --> 01:15:59.079]  And it just shows the massive energy the federal government's had trying to get the populist...
[01:15:59.279 --> 01:16:04.020]  I'm going to call myself right-wing like you, just a populist, common sense of loyal Americans trying to turn us into terrorists.
[01:16:04.100 --> 01:16:06.220]  And they failed, and now they're exposed.
[01:16:07.640 --> 01:16:10.600]  Well, you know, to them, we are terrorists, right?
[01:16:10.680 --> 01:16:18.479]  Because even the founders said, you know, I think it was Sam Adams that said, if this be treason, then let's make the most of it, right?
[01:16:18.600 --> 01:16:20.460]  Because to the tyrant...
[01:16:20.460 --> 01:16:22.720]  We are domestic terrorists, right?
[01:16:22.880 --> 01:16:24.300]  Because they're the tyrant, right?
[01:16:24.460 --> 01:16:28.239]  But it's just like, you know, they claim that the Oath Keepers were anti-government.
[01:16:28.300 --> 01:16:31.020]  No, we're pro-constitutional government, right?
[01:16:31.199 --> 01:16:32.979]  That's their problem, right?
[01:16:33.180 --> 01:16:36.260]  They have a democracy, and we know that we're a republic.
[01:16:36.260 --> 01:16:44.220]  And so, you know, they can call us whatever names that they want, but we have the paper document to back up what we're saying, because...
[01:16:44.109 --> 01:16:51.750]  As I challenge in my open letter to the American people, I said, if they find the word democracy in the Constitution, I'll surrender.
[01:16:52.130 --> 01:16:54.789]  But I can certainly find the word liberty there.
[01:16:56.010 --> 01:16:56.529]  Incredible.
[01:16:57.090 --> 01:16:58.289]  Is this your first interview?
[01:16:59.810 --> 01:17:01.850]  This is my first interview out of jail.
[01:17:01.989 --> 01:17:07.109]  I did call into a group in Florida about five minutes, but this is my first...
[01:17:07.940 --> 01:17:09.039]  Formal interview, Alex.
[01:17:09.439 --> 01:17:11.079]  I don't know how much time you have.
[01:17:11.279 --> 01:17:15.819]  I'd like to do a little 35,000-foot thing with you on just the state of the battle for the republic.
[01:17:16.100 --> 01:17:17.300]  We're living in history here.
[01:17:17.460 --> 01:17:19.479]  And then have you add any other key points you'd like.
[01:17:21.119 --> 01:17:22.479]  So can you do about 10 more minutes with us?
[01:17:23.539 --> 01:17:24.739]  We can do 10 more minutes.
[01:17:25.579 --> 01:17:26.979]  I'll make you this deal, Alex.
[01:17:27.079 --> 01:17:30.300]  I'll do 10 more minutes if you allow me to bring my appellate attorney on.
[01:17:30.640 --> 01:17:38.000]  And give him a shout-out because he is one of the great Americans and his team that is all standing here now.
[01:17:38.199 --> 01:17:38.579]  Absolutely.
[01:17:38.899 --> 01:17:39.159]  Absolutely.
[01:17:39.500 --> 01:17:40.159]  Stay right there.
[01:17:40.380 --> 01:17:44.500]  Jeremy Brown, former political president and hostage to the deep state, now free.
[01:17:44.739 --> 01:17:45.460]  We'll be right back.
[01:17:45.539 --> 01:17:47.079]  And we have the huge, biggest Trump news ever.
[01:17:47.199 --> 01:17:47.640]  Stay with us.
[01:17:49.979 --> 01:17:50.640]  All right.
[01:17:50.760 --> 01:17:51.479]  Any other guests?
[01:17:51.619 --> 01:17:52.380]  They would have been canceled.
[01:17:52.600 --> 01:17:55.699]  But Jeremy Brown is a great patriot and a...
[01:17:56.000 --> 01:18:04.079]  Former J6 political hostage who is the critical witness, out of all the other incredible witnesses and proof, of J6 being totally staged.
[01:18:04.220 --> 01:18:07.319]  They came to him to infiltrate and help stage stuff.
[01:18:07.399 --> 01:18:12.619]  He went around and warned everybody because of his decades of special operations experience.
[01:18:12.880 --> 01:18:15.979]  And he's, I gotta say, I know a lot of these smart guys, but he's one of the smartest.
[01:18:16.399 --> 01:18:20.560]  And he came and warned me, and I listened to some of them that walked right into the trap.
[01:18:20.720 --> 01:18:23.180]  And he was there on J6 warning people just like I was.
[01:18:23.539 --> 01:18:23.979]  Okay?
[01:18:24.740 --> 01:18:28.199]  But I didn't realize how big or bad it was going to be.
[01:18:28.920 --> 01:18:31.140]  And then they came and set him up, put him in prison.
[01:18:31.600 --> 01:18:33.000]  He's not been released by Trump.
[01:18:33.479 --> 01:18:37.960]  But I told you how big this was with Zelensky last hour.
[01:18:38.100 --> 01:18:42.039]  And we're going to play the whole eight-minute exchange after Jeremy leaves us.
[01:18:43.020 --> 01:18:44.159]  Zelensky stormed out.
[01:18:44.340 --> 01:18:45.739]  They canceled any other meetings.
[01:18:46.000 --> 01:18:49.159]  And Trump just said this, a statement from President Donald John Trump.
[01:18:49.659 --> 01:18:53.159]  We had a very meaningful meeting, it was, in the White House today.
[01:18:53.420 --> 01:18:54.279]  Very real, wasn't it?
[01:18:54.619 --> 01:19:00.239]  Much was learned that could never be understood without conversation, under such fire and pressure.
[01:19:01.079 --> 01:19:03.659]  It's amazing what comes out through emotion.
[01:19:03.920 --> 01:19:07.640]  And Trump manipulated him into this way, tried to piss him off, saying, oh, your little clown outfit.
[01:19:07.899 --> 01:19:18.239]  And I have determined, Trump's incredible, I have determined that President Zelensky is not ready for peace if America is involved, because he feels our involvement gives him a big advantage in negotiations.
[01:19:18.680 --> 01:19:19.600]  I don't want advantage.
[01:19:19.600 --> 01:19:20.279]  I want peace.
[01:19:20.460 --> 01:19:24.560]  He disrespected the United States of America in his cherished Oval Office.
[01:19:24.560 --> 01:19:26.800]  He can come back when he is ready for peace.
[01:19:27.300 --> 01:19:32.800]  And 85% of the war is funded by the U.S. This is international shockwaves.
[01:19:32.960 --> 01:19:34.859]  The old corrupt globalist order is over.
[01:19:35.340 --> 01:19:38.600]  They may do a nuclear false flag tomorrow and blame Russia.
[01:19:38.840 --> 01:19:40.500]  I mean, that's the only moves left they've got.
[01:19:41.380 --> 01:19:44.739]  And God bless Trump.
[01:19:45.020 --> 01:19:46.000]  This is so real.
[01:19:46.199 --> 01:19:47.359]  Trump's 100% real.
[01:19:47.869 --> 01:19:50.229]  I already know that from all the political angles, and I know it in the spirit.
[01:19:50.810 --> 01:19:53.229]  And this is a real revolution.
[01:19:53.930 --> 01:19:55.590]  After Jeremy leaves us, we're going to play it.
[01:19:55.670 --> 01:20:06.109]  It is the most epic thing ever because, you know, international relations and just everything, and Trump calling their hoax and not giving them any political power, not putting them in a position, you know, that they dictate.
[01:20:06.329 --> 01:20:07.810]  It breaks the spell.
[01:20:08.890 --> 01:20:12.649]  And this is truth-destroying lie.
[01:20:13.029 --> 01:20:15.329]  True leadership destroying fraud.
[01:20:15.909 --> 01:20:17.109]  Authenticity trumping.
[01:20:17.960 --> 01:20:18.239]  Counterfeit.
[01:20:19.460 --> 01:20:26.239]  Now, I want to go to our guest so he can finish up his points, but I want his take on this, any other key areas, and then we'll talk to his lawyer.
[01:20:26.380 --> 01:20:29.779]  And who knows, the bad guys get back in, they're going to just kill me for sure, so I don't even need a lawyer.
[01:20:29.880 --> 01:20:32.699]  But I need plenty of good lawyers, but the Fed's always trying to throw me in jail.
[01:20:32.819 --> 01:20:36.159]  But, you know, so actually, it's not a favor to have him on.
[01:20:36.199 --> 01:20:37.439]  I want to talk to a great lawyer.
[01:20:37.520 --> 01:20:39.939]  You know, he did a great job for you, so we'll introduce him in a minute.
[01:20:40.020 --> 01:20:44.239]  But Jeremy Brown, former Green Beret, special operations, you know, 20 years in the military.
[01:20:44.760 --> 01:20:45.399]  Really smart.
[01:20:45.560 --> 01:20:46.140]  You called it all.
[01:20:46.279 --> 01:20:46.960]  Thank God for you.
[01:20:47.079 --> 01:20:50.819]  And I want to get you on as a regular guest when we get our new owners and we get refunded.
