# Transcription model: large-v3-turbo
[00:00:00.000 --> 00:00:01.260]  It's really, really bad.
[00:16:22.370 --> 00:16:23.450]  It's his number, Tucker Carlson.
[00:16:25.350 --> 00:16:26.590]  They had his number.
[00:16:26.690 --> 00:16:27.169]  It was the real number.
[00:16:27.950 --> 00:16:32.610]  And I noticed for a couple days, I was getting weird texts from Tucker asking me questions and stuff.
[00:16:32.730 --> 00:16:34.730]  And I didn't call him because I'm busy.
[00:16:35.350 --> 00:16:37.009]  We talked quite a bit here and there.
[00:16:37.090 --> 00:16:39.649]  But the point is, I was like, no, Tucker, that's a weird question.
[00:16:39.789 --> 00:16:40.850]  But I was going to call him.
[00:16:41.690 --> 00:16:44.169]  At the CPA meeting, hey, call me right now.
[00:16:44.450 --> 00:16:44.730]  Text.
[00:16:44.870 --> 00:16:46.210]  I was like, I got to go out of this meeting.
[00:16:46.870 --> 00:16:47.789]  So I go out of the meeting.
[00:16:48.679 --> 00:16:51.440]  I'm in the hallway, and he goes, hey, it's me, it's Tucker, and it's his voice.
[00:16:51.519 --> 00:16:52.000]  I go, hey, what's up?
[00:16:52.000 --> 00:16:53.299]  He goes, can you talk right now?
[00:16:53.340 --> 00:16:53.779]  And I said, yeah.
[00:16:53.860 --> 00:16:55.200]  And it wasn't a soundboard, it was AI.
[00:16:55.620 --> 00:16:56.940]  And I said, hey, how's your wife and kids?
[00:16:57.059 --> 00:16:58.059]  Oh, you know, they're great.
[00:16:58.100 --> 00:16:59.679]  We're going to be back up in Maine or whatever.
[00:17:00.519 --> 00:17:01.720]  And I'm like, okay, this is Tucker.
[00:17:01.879 --> 00:17:03.000]  I mean, AI's that fast.
[00:17:03.080 --> 00:17:03.860]  We kind of paused for a second.
[00:17:04.000 --> 00:17:05.299]  I go, this sounds like AI, though.
[00:17:05.599 --> 00:17:07.700]  It sounded like Tucker, but it was a little off.
[00:17:08.099 --> 00:17:10.200]  And next, I go, listen, this is a prank.
[00:17:10.200 --> 00:17:10.740]  This is AI.
[00:17:11.039 --> 00:17:13.680]  He goes, no, Alex, I want to suck your titties like we did before.
[00:17:13.680 --> 00:17:14.599]  I want to have sex with you.
[00:17:14.819 --> 00:17:16.420]  And I said, that's it, and they hung up.
[00:17:16.900 --> 00:17:18.299]  Then I called Tucker.
[00:17:18.680 --> 00:17:22.720]  A comedian in Canada that night said, I did it.
[00:17:22.779 --> 00:17:24.400]  I bought Tucker's number.
[00:17:24.460 --> 00:17:25.839]  You can do that with sites online.
[00:17:26.119 --> 00:17:26.859]  I called him.
[00:17:26.940 --> 00:17:27.519]  I spoofed it with AI.
[00:17:27.519 --> 00:17:28.299]  I'm going to release it tomorrow.
[00:17:29.480 --> 00:17:31.259]  Tucker's people called the government up there.
[00:17:31.500 --> 00:17:32.759]  They called the police.
[00:17:32.960 --> 00:17:34.799]  They had law firms contact him.
[00:17:34.819 --> 00:17:35.880]  He never aired it.
[00:17:36.119 --> 00:17:44.920]  But if a comedian in Canada can have the number of Tucker and AI and fake it all, imagine what the police are getting.
[00:17:45.340 --> 00:17:47.079]  So this is the danger of technology.
[00:17:47.079 --> 00:17:53.000]  It has a lot of positives, but people tend to think that the government's omnipresent and all-powerful.
[00:17:53.119 --> 00:17:55.559]  It has a lot of powerful systems, but it's just people like us.
[00:17:55.599 --> 00:17:58.579]  And the more complex it gets, the more you've got to have specialists, okay?
[00:17:58.740 --> 00:17:59.980]  We have a bunch of specialists here.
[00:18:00.099 --> 00:18:01.480]  There's only a few people that know how to run everything.
[00:18:01.660 --> 00:18:03.019]  I don't think anybody knows how to run everything.
[00:18:03.180 --> 00:18:05.119]  Maybe CJ and Wes.
[00:18:05.259 --> 00:18:07.680]  But the point is, is that...
[00:18:07.681 --> 00:18:11.961]  I understand management and complex systems because we run something that's complex.
[00:18:11.961 --> 00:18:13.581]  Nothing compared to an aircraft carrier.
[00:18:13.910 --> 00:18:15.170]  Nothing compared to a nuclear submarine.
[00:18:15.589 --> 00:18:18.130]  Nothing compared to a fighter bomber.
[00:18:18.390 --> 00:18:19.670]  Nothing compared to the NSA.
[00:18:19.849 --> 00:18:23.529]  Nothing compared to all of that that Trump is trying to deal with right now.
[00:18:23.630 --> 00:18:24.329]  So pray for Trump.
[00:18:24.529 --> 00:18:24.990]  We're winning.
[00:18:25.170 --> 00:18:25.990]  The enemy's panicked.
[00:18:26.069 --> 00:18:26.650]  They know they're losing.
[00:18:26.750 --> 00:18:27.670]  Harrison, I love you.
[00:18:27.829 --> 00:18:28.769]  I love the crew.
[00:18:28.990 --> 00:18:30.630]  This has driven us closer together than ever.
[00:18:30.990 --> 00:18:31.869]  I'm so mission-oriented.
[00:18:31.869 --> 00:18:33.710]  Sometimes I don't thank you or appreciate you guys enough.
[00:18:33.710 --> 00:18:36.849]  I apologize to you because this is the crux of the fight.
[00:18:36.930 --> 00:18:38.069]  And we've all just got to...
[00:18:38.250 --> 00:18:39.490]  Know that we can't do it ourselves.
[00:18:39.529 --> 00:18:40.430]  We've got to give it to God.
[00:18:40.430 --> 00:18:44.529]  Because I get so mad at myself that I can't stop these people quick enough that I get pissed.
[00:18:44.589 --> 00:18:46.450]  And it comes across to the viewers and listeners.
[00:18:46.549 --> 00:18:49.269]  I was screaming at callers yesterday, and I wasn't screaming at them to be mean.
[00:18:49.970 --> 00:18:51.589]  We're in real battle mode.
[00:18:51.589 --> 00:18:52.450]  So I love everyone.
[00:18:52.569 --> 00:18:53.710]  I'm thankful to everyone.
[00:18:53.890 --> 00:18:55.210]  And I'm thankful to viewers and listeners.
[00:18:55.450 --> 00:18:56.109]  Share this report.
[00:18:56.250 --> 00:18:57.109]  We'll take this and clip it out.
[00:18:57.230 --> 00:18:59.890]  We'll post it on X. Real Alex shows on Harrison and Owens.
[00:19:00.109 --> 00:19:00.690]  Share it.
[00:19:00.849 --> 00:19:03.789]  You're the Paul Revere so people know what's happening and why it's happening.
[00:19:03.950 --> 00:19:05.329]  They're turning up and escalating the heat.
[00:19:05.829 --> 00:19:07.210]  They had a major civil unrest.
[00:19:07.329 --> 00:19:12.329]  They're going to bill as a racial civil war in their own Podesta battle documents, August 2020.
[00:19:12.589 --> 00:19:14.309]  And again, four months ago, they put them back out again.
[00:19:14.509 --> 00:19:15.549]  We had their battle plan.
[00:19:15.710 --> 00:19:16.509]  They're that arrogant.
[00:19:17.470 --> 00:19:20.569]  Even if they can't immediately find all the swatters, they found the MTGs, but took a year.
[00:19:20.650 --> 00:19:23.950]  They're in prison now in D.C. Trying to get her killed 15 times or more.
[00:19:24.609 --> 00:19:25.710]  15, I remember, I think more happened.
[00:19:27.569 --> 00:19:29.750]  So, understand that...
[00:19:29.750 --> 00:19:33.891]  The NGOs paying for this, the NGOs taking down Tesla, are pushing the terror.
[00:19:33.920 --> 00:19:36.279]  They're the racketeers on top of it, organized crime.
[00:19:36.420 --> 00:19:37.980]  They can and should be indicted.
[00:19:38.119 --> 00:19:39.839]  So no excuses, Kash Patel.
[00:19:40.079 --> 00:19:41.420]  No excuses, Pam Bondi.
[00:19:41.579 --> 00:19:44.279]  I want indictments of Soros, Soros.
[00:19:44.599 --> 00:19:45.900]  Alexander Soros runs Antifa.
[00:19:45.940 --> 00:19:47.299]  We had the documents a decade ago.
[00:19:47.460 --> 00:19:50.480]  I want them indicted for organized crime racketeering now.
[00:19:50.859 --> 00:19:52.000]  Do it now.
[00:19:52.319 --> 00:19:54.839]  Because they're trying to send the message to all their leftist operatives.
[00:19:54.880 --> 00:19:56.200]  See, we can do this with impunity.
[00:19:56.440 --> 00:19:58.140]  It's also about making us think.
[00:19:58.509 --> 00:19:59.930]  They're powerful, which they're not.
[00:20:00.069 --> 00:20:03.230]  But they will become more powerful the longer they're not punished.
[00:20:03.509 --> 00:20:04.730]  This is survival mode.
[00:20:04.890 --> 00:20:05.849]  Do it now.
[00:20:06.109 --> 00:20:07.089]  Thank you for your support.
[00:20:07.410 --> 00:20:08.569]  Harrison, take over.
[00:20:08.670 --> 00:20:10.490]  God bless you and your family and Owen and his family.
[00:20:10.589 --> 00:20:11.009]  God bless you.
[00:20:11.569 --> 00:20:14.650]  I'm telling you, it worked for me and it worked great for you.
[00:20:15.130 --> 00:20:18.730]  Take your first thing in the morning and you be so hard.
[00:20:19.170 --> 00:20:21.210]  You can run through a football field.
[00:20:21.410 --> 00:20:22.170]  I'm telling you, man.
[00:20:22.509 --> 00:20:23.529]  Through a brick wall.
[00:20:23.789 --> 00:20:25.250]  It just gets you so excited.
[00:20:26.029 --> 00:20:26.450]  Hype.
[00:20:27.700 --> 00:20:33.440]  And when your girl come home, you just tear that ass up all night long.
[00:20:33.660 --> 00:20:34.740]  Chase, why do you look so uncomfortable?
[00:20:35.039 --> 00:20:35.680]  I'm not.
[00:20:35.779 --> 00:20:37.339]  This is the most joy I've felt all day.
