# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.240 --> 00:00:02.240]  It's Saturday morning.
[00:18:18.960 --> 00:18:19.680]  So are they, really?
[00:18:20.240 --> 00:18:21.680]  More important things to be doing.
[00:18:22.000 --> 00:18:25.039]  But I can only keep fighting because of your support.
[00:18:25.600 --> 00:18:28.559]  And I'm just as big a target as people like Charlie Kirk.
[00:18:28.640 --> 00:18:31.279]  And I say that just to point out the obvious: that I'll never back down.
[00:18:31.360 --> 00:18:31.920]  I'll never give in.
[00:18:32.079 --> 00:18:32.960]  I'm totally committed to this.
[00:18:33.039 --> 00:18:34.079]  I'm doing exactly what I want to do.
[00:18:34.240 --> 00:18:35.600]  Thank you for your prayers.
[00:18:35.920 --> 00:18:38.240]  But understand, we're your warriors fighting out there.
[00:18:38.400 --> 00:18:39.600]  They've got to get through us to get to you.
[00:18:39.680 --> 00:18:41.360]  As Trump always says, they're not after me.
[00:18:41.519 --> 00:18:42.720]  They're trying to get me to get to you.
[00:18:42.880 --> 00:18:43.519]  You understand that?
[00:18:43.600 --> 00:18:43.920]  This is real.
[00:18:44.000 --> 00:18:45.039]  This isn't a Netflix show.
[00:18:45.920 --> 00:18:46.720]  It's not some theater.
[00:18:46.799 --> 00:18:47.680]  It's not LARPing.
[00:18:48.000 --> 00:18:49.680]  This is the real deal.
[00:18:50.320 --> 00:18:50.480]  Okay?
[00:18:51.039 --> 00:18:52.799]  And the good news is the public's waking up.
[00:18:53.120 --> 00:18:54.880]  So, infowars.com forward slash show.
[00:18:55.200 --> 00:18:57.519]  Share our internal video feeds, everybody.
[00:18:57.920 --> 00:19:03.600]  Share it on your email, share it in a text message, share the live feed on X. If you aren't on X, get on there at Rollox Jones.
[00:19:03.840 --> 00:19:05.840]  And just, I want to thank Elon Musk for all he's done.
[00:19:06.160 --> 00:19:07.680]  All the stuff people don't know about behind the scenes.
[00:19:07.759 --> 00:19:08.640]  I'm trying to kill him.
[00:19:09.440 --> 00:19:11.120]  He's as big a target as Trump.
[00:19:12.000 --> 00:19:13.599]  That rift between them is coming back together.
[00:19:13.680 --> 00:19:14.640]  That's so good.
[00:19:15.279 --> 00:19:17.519]  Elon did get screwed over by people in the administration.
[00:19:17.680 --> 00:19:20.880]  Overall, he's the MVP that took Trump over the top.
[00:19:21.120 --> 00:19:22.320]  Very thankful for Elon Musk.
[00:19:22.559 --> 00:19:23.680]  And we just need to be more thankful.
[00:19:23.920 --> 00:19:25.039]  And I'm very thankful for all of you.
[00:19:25.120 --> 00:19:26.559]  So thank you so much, and God bless you.
