# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.000 --> 00:00:01.040]  He's like, yeah, kid.
[00:29:14.799 --> 00:29:16.559]  Do you feel like Trump's got you back?
[00:29:17.599 --> 00:29:18.559]  Well, that's the final thing.
[00:29:18.639 --> 00:29:20.240]  And I appreciate the time, Sean, to say.
[00:29:20.639 --> 00:29:22.559]  Trump is a very busy man.
[00:29:24.960 --> 00:29:29.839]  And Trump is trying to stop nuclear war and secure the border and get the economy going, all that.
[00:29:30.159 --> 00:29:40.319]  That said, when I was getting censored in 2017, 18, 19, taking off everything and sued everything, and so were Trump supporters across the board.
[00:29:40.639 --> 00:29:42.159]  But I was the main lead elephant.
[00:29:42.559 --> 00:29:53.839]  They admit they came up the first had the biggest show in the world, not as political, biggest English meeting show in the world, about 50 million, 6 million a day on record on average on every, you know, every 35 to 36 million on iTunes.
[00:29:53.920 --> 00:29:56.160]  You know, it was just total dominance.
[00:29:56.480 --> 00:30:01.519]  And when they took me off everything, I could get Trump on the phone.
[00:30:01.599 --> 00:30:02.160]  Oh, yeah, you're great.
[00:30:02.240 --> 00:30:03.039]  We're looking into it.
[00:30:03.360 --> 00:30:05.680]  But he really didn't lift a finger.
[00:30:06.000 --> 00:30:09.039]  But also, what was he supposed to do with Congress and all the rest of it?
[00:30:09.360 --> 00:30:19.440]  Well, he could have gone after big tech and taken away some of their protections because they're supposed to be nonpartisan of the sections and be a utility, not editors.
[00:30:19.759 --> 00:30:24.799]  And only if something's illegal, calling for violence or child porn or are they supposed to take it down?
[00:30:25.200 --> 00:30:29.519]  That's how it was pre-2016, 17, 18, was the internet was open and free like that.
[00:30:30.400 --> 00:30:31.519]  And so Trump didn't do anything.
[00:30:31.680 --> 00:30:38.240]  They noticed when he got taken off everything on January 6th, because the videos he posted that day, get out of the Capitol.
[00:30:38.400 --> 00:30:39.440]  I told you, go peaceful.
[00:30:39.759 --> 00:30:41.759]  You know, this is a setup.
[00:30:42.079 --> 00:30:43.279]  That's when they banned him off.
[00:30:43.680 --> 00:30:44.480]  And then they said the news.
[00:30:44.559 --> 00:30:45.599]  Trump is saying attack.
[00:30:45.839 --> 00:30:46.880]  Trump was saying attack.
[00:30:47.360 --> 00:30:50.400]  So that's why they had to censor so they could misrepresent what he said.
[00:30:50.720 --> 00:30:52.880]  So Trump got to experience what that's like.
[00:30:53.200 --> 00:30:57.039]  And if Trump has been saying, why are not people not being indicted quick enough?
[00:30:57.360 --> 00:30:58.319]  This is all cut and dry.
[00:30:58.400 --> 00:30:59.200]  We have all the documents.
[00:30:59.519 --> 00:31:02.000]  Why is it Brennan and Clapper and all of them been indicted?
[00:31:02.319 --> 00:31:14.960]  And the answer is, Mr. President, that your first admin, all you had was General Flynn and Steve Bannon, who they immediately came in and took out, and who Comey admits he went and illegally targeted.
[00:31:15.039 --> 00:31:15.680]  He brags about it.
[00:31:15.839 --> 00:31:17.440]  You pull up Comey, brags.
[00:31:17.519 --> 00:31:26.079]  Well, I'm the one that didn't have the authority, but I still went in and just did it and sent sex operatives in to try to have sex with the Republicans to get them to say they were Russians.
[00:31:26.240 --> 00:31:28.480]  Even hot women couldn't get them to just pillow talk.
[00:31:28.799 --> 00:31:29.440]  It's just not true.
[00:31:29.680 --> 00:31:33.279]  I mean, but that's what you do in the CIA because that's what he was doing that with them.
[00:31:34.160 --> 00:31:36.240]  And so all of this.
[00:31:36.559 --> 00:31:46.960]  And then Trump brings in a Southern District of New York thoroughbred Democrat golden boy who they inserted for him to be his lawyer in criminal stuff and lost all the cases for him.
[00:31:47.279 --> 00:31:49.519]  But Todd Blanche is really good at glazing him.
[00:31:49.839 --> 00:31:54.240]  I mean, you know, I don't think he's giving Trump literal blowjobs, but he's giving him spiritual ones.
[00:31:54.880 --> 00:31:58.000]  And so now he's in there.
[00:31:58.319 --> 00:32:00.079]  What's a spiritual bullet?
[00:32:01.279 --> 00:32:02.480]  The point is he knows how to strike.
[00:32:02.880 --> 00:32:04.640]  Whatever's going on, Trump has this.
[00:32:04.799 --> 00:32:06.880]  I mean, Bill Barr, the documents came out three months ago.
[00:32:07.039 --> 00:32:10.799]  We already knew this, who was former CIA and attorney general twice.
[00:32:11.120 --> 00:32:13.840]  He comes in as Trump's buddy when nobody would do anything.
[00:32:14.079 --> 00:32:16.480]  And then, of course, does nothing, then says no, Trump lost the election.
[00:32:16.559 --> 00:32:17.360]  Trump's a piece of crap.
[00:32:17.599 --> 00:32:25.519]  We now learn he went and got the indictments and was coordinating with the Democrats and the White House and Biden and Fannie Willis and Letitia James, all of them.
[00:32:25.599 --> 00:32:26.480]  It's all been released.
[00:32:26.799 --> 00:32:29.920]  The documents, the undercover video, all of it.
[00:32:30.480 --> 00:32:41.840]  So Barr, while he's attorney general sabotaging Trump, and then after trying to put him in prison and quarterbacking it, and now Bill Barr 2.0, this Todd Blanche.
[00:32:42.400 --> 00:32:53.759]  It's pretty apparent from watching the news today, violent criminals are not going away anytime soon, and you need to have somebody watching your back, whether that's you personally, your family, your friends, or your business.
[00:32:54.000 --> 00:33:02.160]  Iconic Security is our premier personal protection firm founded by a former Navy SEAL, a former Secret Service agent, and a former U.S. attorney.
[00:33:02.400 --> 00:33:11.120]  With over 60 years of combined military, law enforcement, and intelligence experience, we deliver unmatched, discreet security tailored to your needs.
[00:33:11.360 --> 00:33:18.720]  From executive protection and secure nights out to residential patrols, event security, cyber threat defense, and expert consulting.
[00:33:18.960 --> 00:33:22.000]  Iconic ensures your safety with precision and care.
[00:33:22.319 --> 00:33:25.519]  No shortcuts, no drama, just peace of mind.
[00:33:25.840 --> 00:33:30.319]  Visit iconicsecurity.com to build your custom protection plan today.
[00:33:30.640 --> 00:33:33.920]  Iconic security, because your safety is non-negotiable.
[00:33:34.160 --> 00:33:37.360]  A link to the website can be found in the description of this podcast.
[00:33:37.680 --> 00:33:40.400]  Thank you for your time and stay safe out there.
[00:33:41.039 --> 00:33:48.079]  I'm being told everywhere is sabotaging things and we've seen evidence, but now we have the evidence because he said Alex Jones is fringe.
[00:33:49.200 --> 00:33:52.319]  It's like saying, well, these people are black, so they don't have their civil rights.
[00:33:52.799 --> 00:33:55.279]  Oh, but I'm an evil white Trump supporter.
[00:33:55.599 --> 00:33:58.799]  I've been supporting Trump when he first announced.
[00:33:59.119 --> 00:34:00.400]  I've gone through all this hell.
[00:34:00.480 --> 00:34:01.039]  I'm not French.
[00:34:01.200 --> 00:34:05.599]  The American people, what I represent is the dominant majority now.
[00:34:06.160 --> 00:34:06.880]  Everybody knows that.
[00:34:07.039 --> 00:34:08.559]  Populists are winning all over the world.
[00:34:08.880 --> 00:34:11.199]  Everything I talked about 30 years ago is household names.
[00:34:11.519 --> 00:34:11.760]  Everything.
[00:34:11.920 --> 00:34:12.720]  I'm not trying to brag.
[00:34:12.800 --> 00:34:15.280]  No, Todd Blanch knows I'm not French.
[00:34:15.519 --> 00:34:16.639]  You are French.
[00:34:16.960 --> 00:34:18.320]  You are the establishment.
[00:34:18.639 --> 00:34:20.400]  You are the Chelchescu.
[00:34:20.720 --> 00:34:20.960]  Okay.
[00:34:21.519 --> 00:34:23.440]  You are the Kim Jong-il or Kim Jong-un.
[00:34:23.760 --> 00:34:24.880]  You are the Ziji Ping.
[00:34:25.519 --> 00:34:32.079]  And so, bottom line, you come out and say, no, we're going to let the DOJ persecute people.
[00:34:32.239 --> 00:34:35.599]  We're going to go have the DOJ create lawsuits and have FBI just create lawsuits.
[00:34:35.840 --> 00:34:37.199]  We're going to go run this with the media.
[00:34:37.280 --> 00:34:48.880]  We're going to destroy what was the biggest talk show news show in the world, which has been come back now number three, but despite all the censorship, with just Joe Rogan and Tucker Carlson ahead of me.
[00:34:49.120 --> 00:34:50.400]  And it's not about who's number one.
[00:34:50.720 --> 00:34:53.040]  Believe me, I wish it was more people who understood all this, which is.
[00:34:53.280 --> 00:34:56.560]  Oh, Tucker Carlson's apologized to me and said that everything I said was right.
[00:34:56.640 --> 00:34:58.800]  And now he's basically Alex Jones 2.0.
[00:34:58.960 --> 00:35:01.840]  Oh, Joe Rogan says Alex Jones is around about effing everything.
[00:35:02.160 --> 00:35:04.560]  I've known Joe 26, 27 years, but he was like, ah, come on.
[00:35:05.120 --> 00:35:05.680]  He believed part of it.
[00:35:05.760 --> 00:35:06.960]  Now he's like, oh, my God, it's all true.
[00:35:07.200 --> 00:35:18.240]  So, see, you thought you got Alex Jones, Jack Smith, 2.0, Bill Barr, 3.0, Todd Blanche.
[00:35:18.320 --> 00:35:19.120]  No, you didn't.
[00:35:19.440 --> 00:35:28.720]  So no matter what you do to me, the sick, beautiful irony of this is even if you guys kill me or put me in prison or whatever you do, you can't stop a signal because now Alex Jones is everywhere.
[00:35:28.800 --> 00:35:29.519]  It's like Spartacus.
[00:35:29.680 --> 00:35:30.880]  We're all Alex Jones now.
[00:35:31.200 --> 00:35:31.519]  Okay.
[00:35:31.760 --> 00:35:52.480]  And the truth is, I only popularized what the former head of the FBI in Los Angeles taught me, what the former head of Air Force Weapons Development taught me, what my uncle, who was in black ops all over Central and South America, I ran Contra, you name that, Southeast Asia before that, everything he taught me, everything that all these amazing people taught me when I was a child and a teenager and then an adult.
[00:35:52.800 --> 00:35:54.640]  So the truth is I didn't discover all this.
[00:35:54.800 --> 00:35:55.680]  I didn't, I know.
[00:35:56.000 --> 00:36:04.560]  I simply got on air when I was 19 and already had the background and then was able to get syndicated and successful by the time I was 21.
[00:36:04.800 --> 00:36:11.200]  And then I got to be interfaced with all the top brains, the Anthony Suttons that ran the Frank Church committee hearings on the deep state.
[00:36:11.519 --> 00:36:15.680]  All of them, the G. Edward Griffins, the Ron Pauls, all of them, all of them.
[00:36:16.160 --> 00:36:20.800]  All the inside experts from Reagan, all the head of the Department of Education, Charlotte Isaby.
[00:36:20.960 --> 00:36:29.920]  I got to sit there with thousands of all the best people we've got, seven days a week, interviewing them, researching, traveling, being sent documents by them.
[00:36:30.240 --> 00:36:42.560]  And that's why, that's why I've been proven right because all I did was take what all these people that didn't have media and were doing conferences and writing books and trying to warn people and going to Congress and trying to get them to listen.
[00:36:42.880 --> 00:36:48.240]  That Congressman Larry McDonald, the Democrat who was super hardcore and was going to win the presidency, so they killed his ass.
[00:36:48.800 --> 00:36:52.480]  The John Burch Society, William F. Jasper, all these people.
[00:36:52.800 --> 00:37:01.680]  So I stood on their shoulders, but I was able to take this giant brain trust and put it out in an interesting, I guess, entertaining way.
[00:37:01.760 --> 00:37:03.920]  I wasn't trying to, but that's just how it happened.
[00:37:04.400 --> 00:37:06.400]  And so none of the credit goes to me.
[00:37:06.720 --> 00:37:08.720]  It goes to all the people's shoulders I stand on.
[00:37:09.039 --> 00:37:11.680]  But now they were the core.
[00:37:11.840 --> 00:37:14.080]  I was the next big wave, blasted out.
[00:37:14.240 --> 00:37:16.000]  And now this new wave's 100 times bigger.
[00:37:16.080 --> 00:37:16.800]  I'm getting chills.
[00:37:16.960 --> 00:37:17.840]  And it's just everywhere.
[00:37:18.480 --> 00:37:22.960]  Theo Vaughn, all the top, 90% of the top comics, the movie stars, all of them.
[00:37:23.920 --> 00:37:26.480]  I get calls by all the, you name it.
[00:37:27.200 --> 00:37:29.360]  All the top music producers, directors, all of them.
[00:37:29.440 --> 00:37:30.240]  They're all listeners.
[00:37:30.320 --> 00:37:30.720]  They all know.
[00:37:30.800 --> 00:37:32.000]  They all listened decades ago.
[00:37:32.320 --> 00:37:34.960]  It's all a big secret fight club.
[00:37:35.520 --> 00:37:37.200]  This is fight club for real.
[00:37:37.520 --> 00:37:38.000]  You understand?
[00:37:38.640 --> 00:37:39.840]  And it's not some commie thing.
[00:37:39.920 --> 00:37:42.400]  We're going to blow up corporations and put smiley faces on it.
[00:37:42.480 --> 00:37:46.480]  We're going to peacefully, nonviolently take down the globalists with intellectual truth and will.
[00:37:46.720 --> 00:37:49.280]  And then if we get attacked physically, we will defend ourselves.
[00:37:49.840 --> 00:37:53.200]  But this is victory, and the globalists are fucked.
[00:37:53.520 --> 00:37:54.320]  I love it.
[00:37:55.280 --> 00:37:56.560]  Man, he's really letting me land here.
[00:37:59.039 --> 00:38:00.800]  What's crazy is it's even crazier than that.
[00:38:00.880 --> 00:38:02.080]  I mean, you can't make this shit up.
[00:38:02.400 --> 00:38:06.160]  And the thing is, the adventure of this, it's not been fun being persecuted.
[00:38:06.480 --> 00:38:08.320]  My dad was having heart problems.
[00:38:08.640 --> 00:38:19.280]  He's had open heart surgery a few months ago and came through pretty good, but he didn't want to tell my mom he's having really bad heart problems when he was like 60, 61 or so, because he managed a whole bunch of dental offices under super stress.
[00:38:19.600 --> 00:38:21.920]  And he was like, oh, I'm managing dental offices in Dallas.
[00:38:22.480 --> 00:38:26.880]  He was actually up there having heart stuff done, for whatever reason, neurotic about not freaking my mom out.
[00:38:27.840 --> 00:38:29.760]  And I said, Dad, come to work for me.
[00:38:30.000 --> 00:38:31.680]  I'm sick of just selling people supplements.
[00:38:31.840 --> 00:38:32.400]  I want to have the best.
[00:38:32.560 --> 00:38:41.920]  He'd been involved in some supplement development and he'd been involved with the military because you can fast-track drugs to market like SAVs and things for over-the-counter through the military.
[00:38:42.160 --> 00:38:42.880]  So he'd done that before.
[00:38:43.039 --> 00:38:45.040]  I said, I want you to come to FDA compliance.
[00:38:45.360 --> 00:38:46.800]  I want you to launch a supplement company.
[00:38:46.960 --> 00:38:47.920]  I'll finance it.
[00:38:48.480 --> 00:38:52.160]  And I said, and then you could take care of yourself and stop working 70 hours a week.
[00:38:52.480 --> 00:39:00.560]  So the reason I'm doing the backstory is he comes in 15, 16 years ago, and we start my supplement company.
[00:39:02.000 --> 00:39:03.120]  It's his supplement company.
[00:39:03.440 --> 00:39:06.800]  And so he always just got a little percentage of it to do that.
[00:39:07.120 --> 00:39:12.960]  He's obviously financing everything and running the network and all that, but he would produce it and then we would buy it from him because that's how the lawyers said do it.
[00:39:13.039 --> 00:39:14.480]  You know, you split stuff up.
[00:39:15.680 --> 00:39:21.200]  Well, that was set up seven, eight, nine years before I ever got sued.
[00:39:21.840 --> 00:39:24.400]  Well, they come in and look at the gross numbers of the company.
[00:39:24.480 --> 00:39:27.039]  Some years selling $50 million, $60 million of supplements.
[00:39:27.200 --> 00:39:28.240]  Doesn't mean that's all profit.
[00:39:28.560 --> 00:39:32.080]  And then they look at my company selling it and they would like double the number, even though it's the same number.
[00:39:32.320 --> 00:39:34.080]  They go, my God, $100 million.
[00:39:34.400 --> 00:39:38.400]  Then they look at my personal tax returns and go, another, he made $150 million this year.
[00:39:38.559 --> 00:39:39.440]  They knew it wasn't true.
[00:39:39.760 --> 00:39:40.960]  So they're putting this out in the news.
[00:39:41.119 --> 00:39:43.519]  Jones makes $150 million a year personally.
[00:39:43.840 --> 00:39:46.639]  Then it's a number they've tripled, and that's the gross number.
[00:39:47.280 --> 00:39:51.599]  And so then when they then sue me, they sue my dad.
[00:39:51.920 --> 00:39:54.079]  And they say in the news, he's a criminal.
[00:39:54.400 --> 00:39:55.519]  He's hiding all this money.
[00:39:55.599 --> 00:39:56.720]  My dad's like a Boy Scout.
[00:39:58.960 --> 00:40:01.680]  And so, I mean, these are like old-time Texas people.
[00:40:02.079 --> 00:40:03.440]  In fact, I think everybody was like this growing up.
[00:40:03.760 --> 00:40:05.519]  These are like fossils or something.
[00:40:06.639 --> 00:40:08.000]  They're not non-sophisticated.
[00:40:08.079 --> 00:40:09.760]  They're just good people, man.
[00:40:10.320 --> 00:40:15.200]  And the point is, I mean, the big secret is my parents have given so much to charity.
[00:40:15.280 --> 00:40:16.720]  They never talk about all this taking care of.
[00:40:17.039 --> 00:40:17.840]  These are good people.
[00:40:18.160 --> 00:40:20.480]  They live in a modest house, all this stuff.
[00:40:20.800 --> 00:40:24.320]  And they sue them, call them criminals, all this stuff.
[00:40:24.960 --> 00:40:33.360]  And then in the bankruptcy, the bankruptcy for the DOJ sues them, five, four or five auditors, millions and millions that might add mortgages, double mortgages.
[00:40:33.680 --> 00:40:37.200]  I didn't know he was about to lose his house until earlier this year.
[00:40:37.840 --> 00:40:42.559]  Totally maxed out, borrowing money from family that he'd get money to over the years, borrowed money from my sister.
[00:40:42.720 --> 00:40:43.840]  I mean, gone.
[00:40:44.000 --> 00:40:45.360]  I mean, they have nothing.
[00:40:46.000 --> 00:40:52.960]  And then he has another heart attack, and his lawyers are telling him, hey, and they go, we're filing more suits.
[00:40:53.039 --> 00:40:55.519]  Right after heard he had a heart attack, they sued two days later again.
[00:40:56.000 --> 00:40:56.639]  So they're like wolves.
[00:40:58.240 --> 00:41:00.960]  And while they're like, we're victim Phil, he's talking to you.
[00:41:01.039 --> 00:41:02.079]  You know, raising $300 million.
[00:41:02.559 --> 00:41:12.160]  And then you go to the trials and court hearings and they're just going like, like looking at you like that, the lawyers, because they know they're bad that they have to hate and humanize who they're doing it to.
[00:41:12.800 --> 00:41:22.160]  So my point of telling that story is, is that they've been claiming there's all this massive money and all of this incredible stuff and all these lies.
[00:41:22.480 --> 00:41:24.079]  And now go back to the articles, just type in them.
[00:41:24.160 --> 00:41:25.519]  Jones hiding hundreds of millions.
[00:41:25.840 --> 00:41:28.079]  The lawyers, he's going to go to jail in this bankruptcy.
[00:41:28.240 --> 00:41:29.119]  We know we're going to find it.
[00:41:29.200 --> 00:41:31.039]  They have the IRS audit for a year and a half.
[00:41:31.280 --> 00:41:32.640]  They go, we don't normally ever see this.
[00:41:32.800 --> 00:41:34.880]  4.3 million overpaid the last five years.
[00:41:35.200 --> 00:41:37.840]  Here's your 4.3 million right of the bankruptcy to them.
[00:41:38.160 --> 00:41:41.760]  Then they use that 4.3 million to hire more forensic firms.
[00:41:42.079 --> 00:41:49.200]  Then they have PIs following us around, bumping our employees and going, hey, we can give you a lot of money if you can tell us you raped some women.
[00:41:49.840 --> 00:41:57.920]  And then I got to get, I got to get to get security, who I don't even have money for anymore, just out of goodness of their heart to surveil them, record them, catch them.
[00:41:58.159 --> 00:41:59.360]  We go report to the FBI.
[00:41:59.519 --> 00:42:00.000]  Nothing's done.
[00:42:00.240 --> 00:42:12.320]  They sent international British intelligence cutouts through a Dubai security firm under full infiltration surveillance for one year at least, two years ago.
[00:42:13.119 --> 00:42:24.400]  So, I mean, we're talking intelligence agencies, black ops, total attacks, Paul Weiss law firm, $323 million, just raining hell down, which shows how pathetic they are.
[00:42:24.720 --> 00:42:30.960]  They wanted to shut me up, steal my identity, demonize me, raise money off of me, wear my skin, destroy my parents, all the rest of it.
[00:42:31.519 --> 00:42:39.039]  So, yeah, other than my dad, you know, having aorta surgery and a bunch of other stuff, and obviously this contributing to it.
[00:42:39.360 --> 00:42:43.039]  And we're just like, you know, you know, please, he can't be deposed right now.
[00:42:43.119 --> 00:42:43.920]  He just had a heart attack.
[00:42:44.079 --> 00:42:45.039]  And it's like, oh, really?
[00:42:45.200 --> 00:42:45.920]  More lawsuits.
[00:42:46.079 --> 00:42:46.159]  Yeah.
[00:42:46.400 --> 00:42:47.920]  I mean, just like wolves.
[00:42:48.960 --> 00:42:50.880]  But my parents are not mad.
[00:42:51.039 --> 00:42:52.640]  They're actually closer to me than ever.
[00:42:52.960 --> 00:42:54.000]  They just pray about it.
[00:42:54.320 --> 00:43:06.559]  But to watch them persecute my parents and again, say it's all a fraud and to say all this stuff when all my, I went and got my dad and got him involved in a supplement company because I knew he was good at it and I didn't want him to kill himself, working himself to death.
[00:43:06.880 --> 00:43:10.320]  And then they sue seven, eight years after it's set up and profitable.
[00:43:10.400 --> 00:43:12.720]  And they say it's a fraud and they say I'm hiding money.
[00:43:13.039 --> 00:43:16.480]  And then they have the four or five outside audits, IRS audit, all of it.
[00:43:16.559 --> 00:43:17.680]  I'm proven completely truthful.
[00:43:17.920 --> 00:43:27.360]  And strangely enough, the New York Times for once told the truth last year and they go, it turns out Alex Jones has a modest, what's the exact quote?
[00:43:27.519 --> 00:43:28.559]  It's a subheadline.
[00:43:29.039 --> 00:43:32.480]  Turns out Alex Jones has modest assets.
[00:43:32.640 --> 00:43:36.720]  And they go on to say, turns out he never really had more than a few million dollars in the bank.
[00:43:37.039 --> 00:43:44.320]  And I had like 127 acre thing out in the middle of nowhere, farm to go shoot on, and then a four-bedroom house with a little pool.
[00:43:44.400 --> 00:43:45.039]  I mean, I don't care.
[00:43:45.519 --> 00:43:48.880]  I mean, I drive a, you know, I drive the car I like.
[00:43:49.680 --> 00:43:55.519]  Drive like a, so my point is they thought doing all this to me would make me shut up.
[00:43:55.840 --> 00:43:59.680]  And now the way God works is it's Treisand effects and it's made even bigger.
[00:43:59.840 --> 00:44:04.240]  So the Supreme Court is given all of this with absolute proof.
[00:44:04.559 --> 00:44:08.159]  My lawyers and other lawyers have never seen anything like this, just the naked rape of justice.
[00:44:08.400 --> 00:44:09.280]  And they didn't even look at it.
[00:44:09.440 --> 00:44:10.400]  They said, we're not even looking at it.
[00:44:10.640 --> 00:44:10.880]  Fuck.
[00:44:11.119 --> 00:44:12.960]  Because it's the same elitism.
[00:44:13.840 --> 00:44:15.760]  Alex Jones is French.
[00:44:16.400 --> 00:44:20.720]  Because they're the establishment, Republican and Democrat in their bubble, the leadership.
[00:44:21.039 --> 00:44:22.880]  We got a beachhead of Republicans of populism.
[00:44:22.960 --> 00:44:24.960]  So it's, you know, we're reforming them.
[00:44:25.119 --> 00:44:26.000]  The Democrats are getting worse.
[00:44:26.159 --> 00:44:27.039]  Republicans are getting better.
[00:44:27.360 --> 00:44:29.039]  But still, full of neoconrad.
[00:44:29.840 --> 00:44:32.720]  And they literally think they're the elite.
[00:44:33.119 --> 00:44:37.199]  This Todd Blanche guy, all these people, they think being with the power structure is why they're powerful.
[00:44:37.440 --> 00:44:38.880]  And it was in the past.
[00:44:39.199 --> 00:44:43.840]  It's like if you're working for Hitler from 1933 to 1944 or so, you're in charge.
[00:44:44.079 --> 00:44:45.199]  Not by 45.
[00:44:45.360 --> 00:44:45.920]  It's not good.
[00:44:46.079 --> 00:44:46.240]  Yeah.
[00:44:46.480 --> 00:44:47.760]  You're in the bunker now.
[00:44:48.079 --> 00:44:54.559]  And so I'm the equivalent of like the Russian army coming from the east and the Allies, you know, you know, you know, coming from the west.
[00:44:54.800 --> 00:44:58.159]  And two weeks before, you know, Berlin falls and Hitler's in the bunker.
[00:44:58.480 --> 00:45:01.840]  And these guys are literally going, oh, we don't want to help that guy.
[00:45:02.159 --> 00:45:03.039]  He's fringe.
[00:45:05.519 --> 00:45:11.199]  Meanwhile, meanwhile, they put out videos attacking the ABC and his CNN.
[00:45:11.280 --> 00:45:12.079]  And you'll see it on YouTube.
[00:45:12.240 --> 00:45:14.720]  100 viewers, 1,000 viewers.
[00:45:14.960 --> 00:45:16.320]  Their lawyers go out and lie about me.
[00:45:16.400 --> 00:45:18.559]  And then you'll like 2,000 viewers if they're lucky.
[00:45:19.039 --> 00:45:19.920]  No one's no one.
[00:45:20.079 --> 00:45:21.440]  Meanwhile, I talk about it.
[00:45:21.599 --> 00:45:23.119]  20 million views, 10 million views.
[00:45:23.360 --> 00:45:27.519]  Everybody, when they had the show trials, even they had to kill the comments on YouTube.
[00:45:27.599 --> 00:45:30.400]  It's like 98% were against them because they could see it was rigged.
[00:45:30.639 --> 00:45:32.480]  So see, they've got their bubble.
[00:45:32.639 --> 00:45:33.599]  They've got their little world.
[00:45:33.760 --> 00:45:38.480]  They've got their little shrinking island as the water rises.
[00:45:38.800 --> 00:45:45.280]  And I just want them to back off America and the world and get out of the way of prosperity.
[00:45:45.599 --> 00:45:48.000]  Your carbon taxes, your Paris Accord is dead.
[00:45:48.320 --> 00:45:50.720]  Your transgender program is being banned in Europe.
[00:45:50.800 --> 00:45:52.400]  In the UK, it's going to get banned here.
[00:45:52.720 --> 00:45:54.400]  You're losing on every front.
[00:45:54.720 --> 00:45:57.679]  All you can do is extend this out and make it worse for yourself and everybody else.
[00:45:57.920 --> 00:45:58.720]  Surrender now.
[00:45:59.039 --> 00:46:01.599]  And I said, I want to just say this: you lose.
[00:46:01.920 --> 00:46:02.400]  I win.
[00:46:02.559 --> 00:46:03.199]  America wins.
[00:46:03.280 --> 00:46:04.079]  Humanity wins.
[00:46:04.400 --> 00:46:06.559]  And I have just been blessed by all of this.
[00:46:06.880 --> 00:46:08.800]  Other than them torturing my parents.
[00:46:09.440 --> 00:46:10.159]  And that's why they do it.
[00:46:10.240 --> 00:46:11.280]  They're like, oh, he doesn't care.
[00:46:11.599 --> 00:46:12.159]  We'll get them.
[00:46:12.720 --> 00:46:16.559]  Well, my mother, this got really bad about two years ago.
[00:46:16.720 --> 00:46:17.360]  She said, grab it.
[00:46:17.440 --> 00:46:19.760]  And she's not an aggressive person, but she's got a history degree.
[00:46:19.840 --> 00:46:20.559]  She's very smart.
[00:46:20.880 --> 00:46:24.159]  She goes, I want you to come home with your shielder on it.
[00:46:24.240 --> 00:46:25.280]  That's a Spartan thing.
[00:46:25.519 --> 00:46:25.840]  Hell yeah.
[00:46:26.320 --> 00:46:29.519]  So you don't stop and we don't back down.
[00:46:29.760 --> 00:46:35.840]  Yeah, I can't imagine they thought that they would still, you would still be standing strong after this amount of time.
[00:46:36.000 --> 00:46:36.639]  I'm stronger.
[00:46:36.880 --> 00:46:37.039]  Yeah.
[00:46:37.599 --> 00:46:38.960]  Because I know you're evil.
[00:46:39.039 --> 00:46:41.840]  I mean, I loved in Connecticut when he goes, Have you, you know, you know about the Godfather?
[00:46:42.400 --> 00:46:43.760]  You know, the movie, The Mafia.
[00:46:44.079 --> 00:46:45.679]  I went, yeah, Mario Puzzo's, you know.
[00:46:46.000 --> 00:46:47.840]  I'm like, that's a great story about.
[00:46:49.039 --> 00:46:53.119]  He was going to go speak at a college, Mario Puzzo, who'd never written anything, never done anything.
[00:46:53.199 --> 00:46:56.159]  And he just hung around as Italian in New York and actually knew all the real mobs.
[00:46:56.320 --> 00:46:58.400]  He put a fiction thing out on back shooting with real people.
[00:46:58.559 --> 00:46:59.280]  He just changed the names.
[00:46:59.519 --> 00:47:01.840]  It's actually a documentary, literally.
[00:47:02.159 --> 00:47:07.599]  And he writes it and he's going to go speak at a top college on UCLA or something on screenwriting.
[00:47:07.920 --> 00:47:09.920]  And you pull this up, the stories of interviews.
[00:47:10.240 --> 00:47:20.960]  And they say to him, they say, so they wanted to go address the whole class of writers and film students on how to screenwrite.
[00:47:21.119 --> 00:47:24.720]  So he goes to the bookstore to buy the best-selling book on screenwriting.
[00:47:25.039 --> 00:47:28.720]  And the whole thing's about the Godfather script and Mario Puzzo.
[00:47:28.960 --> 00:47:29.599]  He didn't know that.
[00:47:30.240 --> 00:47:32.800]  But the funny thing is, you know what the Godfather is, Sonny?
[00:47:32.960 --> 00:47:35.920]  And I'm like, yeah, I'm like, yeah, the Mario Puzzo book.
[00:47:36.079 --> 00:47:37.119]  He goes, no, no, the movie.
[00:47:37.440 --> 00:47:40.320]  You know, the Godfather, the Mafia, you know what that is?
[00:47:40.639 --> 00:47:42.240]  And I'm like, oh, do I know what it is?
[00:47:42.320 --> 00:47:44.079]  You know what the real mafia is, jackass?
[00:47:44.480 --> 00:47:46.320]  Anyways, and so called good people.
[00:47:47.519 --> 00:47:48.559]  Did you mess with long enough?
[00:47:48.639 --> 00:47:49.199]  You find out?
[00:47:50.000 --> 00:47:51.679]  But the point was, he's like, well, that's who we are.
[00:47:51.760 --> 00:47:52.720]  And you're going to lose no matter what.
[00:47:53.039 --> 00:47:53.519]  So I'm going to talk.
[00:47:53.679 --> 00:47:55.280]  But the point was, he's like, yeah, kid.
[00:47:55.599 --> 00:47:56.960]  Once you learn we're thugs.
[00:47:57.280 --> 00:47:59.840]  Once you learn we're crooks, you're going to go piss on yourself.
[00:48:00.159 --> 00:48:02.400]  No, it's why I'm waging war on you.
