# Transcription model: large-v3-turbo, custom faster_whisper
[00:00:15.050 --> 00:00:15.509]  Alright, everybody.
[00:19:46.960 --> 00:19:52.119]  That way, fucking dumb kids who are 17 that don't know any better can just quit.
[00:19:52.299 --> 00:19:59.160]  You really have to sell a war if military is just like pay less shoes and you go, fuck it, I don't want to work here anymore.
[00:19:59.500 --> 00:20:02.420]  Then you have to sell a war if you don't own them like slaves.
[00:20:02.640 --> 00:20:03.440]  And you know what?
[00:20:03.440 --> 00:20:06.180]  And then we get the people who just want to...
[00:20:06.300 --> 00:20:07.880]  You do settle more, man.
[00:20:07.880 --> 00:20:09.080]  Shut up.
[00:20:09.160 --> 00:20:11.229]  Shut up.
[00:20:17.460 --> 00:20:19.400]  Let's just go with it.
[00:20:20.578 --> 00:20:37.148]  The point is war is good because as long as people who kind of want to go kill other people are going to kill other people who kind of want to kill other people, you're killing all the right people and opening up some pretty important parking spaces that we desperately need.
[00:20:37.158 --> 00:20:45.739]  Because people who kind of want to kill other people are the last people that I want to party with because I get mouthy when I drink.
[00:20:50.980 --> 00:20:52.960]  It fucking clears out some of the dead weight.
[00:20:53.539 --> 00:20:54.960]  Fight over Antarctica.
[00:20:55.359 --> 00:21:07.019]  We call it Manifest Destiny, but we'll do it on 12-man teams, on a paintball field with real weapons, and we'll put it on pay-per-view so it can generate its own revenue, and you can sell jerseys, yeah.
[00:21:07.509 --> 00:21:08.390]  Fucking Johnson!
[00:21:08.609 --> 00:21:09.410]  Private Johnson!
[00:21:09.650 --> 00:21:12.089]  A very white private in my scenario.
[00:21:14.869 --> 00:21:16.950]  He's a really good one of AK-47.
[00:21:16.950 --> 00:21:18.349]  Get him off the bench, man.
[00:21:18.369 --> 00:21:19.529]  He should be a winner, man.
[00:21:23.829 --> 00:21:24.869]  Word's all stupid.
[00:21:26.430 --> 00:21:27.230]  Terrorism bad.
[00:21:27.849 --> 00:21:30.109]  And Saddam had weapons of mass destruction.
[00:21:30.309 --> 00:21:31.250]  That's against the rules.
[00:21:31.390 --> 00:21:31.890]  What rules?
[00:21:32.029 --> 00:21:32.750]  It's a fucking war.
[00:21:32.970 --> 00:21:34.290]  fight it or get out, faggot.
[00:21:34.290 --> 00:21:34.910]  Yeah.
[00:21:34.910 --> 00:21:37.589]  And out before the fuck you get upset.
[00:21:37.589 --> 00:21:41.800]  I faggot is not, I don't use that with any homosexual...
[00:21:46.670 --> 00:21:50.569]  I'll do it with two fingers and my eyes closed, just to prove I'm in no offense.
[00:21:50.910 --> 00:21:55.109]  It's not a homosexual word, but it's a really powerful word and I hate to lose it.
[00:21:55.410 --> 00:21:58.450]  You know, just faggot, faggot, faggot.
[00:21:59.230 --> 00:22:00.390]  It's got some strength.
[00:22:00.970 --> 00:22:02.250]  It's like cunt, you know.
[00:22:03.279 --> 00:22:05.720]  Cunt is way better if you use it on a guy.
[00:22:06.000 --> 00:22:08.099]  Dude, you're a fucking cunt, you know?
[00:22:09.680 --> 00:22:12.079]  It's like calling a redneck a nigger.
[00:22:12.319 --> 00:22:14.400]  I get confused.
[00:22:18.740 --> 00:22:23.000]  There ain't no rules to a war.
[00:22:24.680 --> 00:22:25.680]  Unless it's a game.
[00:22:25.880 --> 00:22:28.400]  Unless we're doing it on paintball fields and it's got rules.
[00:22:28.599 --> 00:22:30.039]  And you can have your Geneva Convention.
[00:22:30.259 --> 00:22:31.799]  If it's an actual war, there's no rules.
[00:22:31.880 --> 00:22:33.119]  There's rules to boxing.
[00:22:33.240 --> 00:22:34.859]  Ain't no rules to a fucking street fight.
[00:22:35.079 --> 00:22:35.400]  Right?
[00:22:35.500 --> 00:22:36.039]  There's a difference.
[00:22:36.119 --> 00:22:37.480]  If it's a game, we'll have rules.
[00:22:40.000 --> 00:22:41.420]  We have a Geneva Convention.
[00:22:41.619 --> 00:22:43.559]  If you don't have rules, why not make it like Scrabble?
[00:22:43.740 --> 00:22:44.539]  No one gets killed.
[00:22:44.680 --> 00:22:46.180]  They can't hurt people.
[00:22:46.799 --> 00:22:48.279]  How's that for a Geneva Convention?
[00:22:49.200 --> 00:22:50.299]  That's a battle of wits.
[00:22:50.440 --> 00:22:51.019]  It's Jeopardy.
[00:22:51.380 --> 00:22:51.740]  Alright.
[00:22:52.980 --> 00:22:54.339]  Do we have a Geneva?
[00:22:54.579 --> 00:22:55.259]  Isn't it sick?
[00:22:55.339 --> 00:22:56.579]  We have rules for war?
[00:22:57.079 --> 00:23:03.140]  A guy sat down at one point going, we're going to kill each other by the hundreds of thousands, not ourselves, just poor people's children.
[00:23:03.359 --> 00:23:04.180]  We're going to do that.
[00:23:04.440 --> 00:23:05.160]  Why don't we do it?
[00:23:05.279 --> 00:23:07.319]  Let's make up some rules and make it civilized.
[00:23:07.420 --> 00:23:09.180]  Can you hit him in the face with a garden rake?
[00:23:10.119 --> 00:23:10.960]  Okay, okay.
[00:23:11.200 --> 00:23:12.420]  Hit him in the face with a garden rake.
[00:23:12.500 --> 00:23:15.440]  What about, what if you mace the guy?
[00:23:15.539 --> 00:23:16.579]  No, that's chemical weapons.
[00:23:16.660 --> 00:23:17.660]  That fight like a fairy.
[00:23:18.000 --> 00:23:19.019]  No chemical weapons.
[00:23:19.160 --> 00:23:22.160]  What are we, so nation of gurneys?
[00:23:22.160 --> 00:23:23.160]  Right?
[00:23:23.160 --> 00:23:27.839]  Does that make sense?
[00:23:27.850 --> 00:23:28.470]  What?
[00:23:30.650 --> 00:23:31.269]  Midgets?
[00:23:31.829 --> 00:23:33.390]  That's how I heard is midgets.
[00:23:33.630 --> 00:23:34.190]  See?
[00:23:34.369 --> 00:23:36.329]  See friendly heckling, finally.
[00:23:38.789 --> 00:23:40.390]  Don't get all that said.
[00:23:40.710 --> 00:23:47.210]  And it's good to let some steam off, because again, you did spend five days.
[00:23:47.869 --> 00:23:49.650]  Working at something that you don't like.
[00:23:49.750 --> 00:23:52.210]  And I know you have some anger about that, but that's not us.
[00:23:52.329 --> 00:23:54.690]  Fucking go in Monday morning and quit doing that.
[00:23:56.690 --> 00:23:59.069]  You don't have to be a funny fan of God.
[00:23:59.269 --> 00:24:00.390]  You can do something else.
[00:24:02.690 --> 00:24:05.329]  Fucking work five days to enjoy two.
[00:24:05.630 --> 00:24:08.250]  I don't know if you gamble, but them shit odds.
[00:24:09.609 --> 00:24:11.329]  Five days to enjoy two.
[00:24:11.849 --> 00:24:15.390]  Three and a half should be your match and at least fucking break even, right?
[00:24:15.769 --> 00:24:16.809]  That's good in Vegas.
[00:24:17.130 --> 00:24:26.809]  Even a shit Indian casino that hell-bent on revenge against a white man still pays 80% on their slots, but you're getting two out of seven and happy about it.
[00:24:26.950 --> 00:24:29.369]  I love that fucking blue-collar mentality.
[00:24:29.549 --> 00:24:32.069]  Oh, we're a hard-working blue-collar people.
[00:24:32.230 --> 00:24:32.930]  Do you enjoy it?
[00:24:33.029 --> 00:24:38.390]  Fucking hate every second I'm alive, but I'm proud that I'm a hard-working male.
[00:24:39.019 --> 00:24:42.640]  You build shit you can't afford for people you hate.
[00:24:44.880 --> 00:24:50.079]  And if you're the guy who does find a way out of the grind, they vilify you.
[00:24:50.220 --> 00:24:51.240]  They go, look at that guy.
[00:24:51.319 --> 00:24:54.140]  He ain't never done one fucking hard day's work in his life.
[00:24:55.440 --> 00:24:56.440]  Learn from him.
[00:24:57.299 --> 00:24:58.339]  He's a genius.
[00:24:59.740 --> 00:25:01.559]  Buy him a drink and a hot tip.
[00:25:03.359 --> 00:25:06.420]  Them Mexicans is coming up and stealing our jobs.
[00:25:06.519 --> 00:25:07.220]  Give it to them.
[00:25:07.710 --> 00:25:09.470]  They left an open bedroom in Mexico.
[00:25:09.470 --> 00:25:10.829]  It's really nice down there.
[00:25:10.970 --> 00:25:12.029]  You vacationed there, right?
[00:25:12.430 --> 00:25:14.250]  Don't be around there for a while.
[00:25:14.849 --> 00:25:15.849]  Mexico wants your job.
[00:25:16.029 --> 00:25:16.349]  Give it to them.
[00:25:16.430 --> 00:25:18.049]  Say, yeah, I work at fucking Cellular One.
[00:25:18.190 --> 00:25:20.190]  We're fucking low on car charges.
[00:25:20.329 --> 00:25:21.190]  You start Saturday.
[00:25:21.349 --> 00:25:22.069]  I'll be at your plane.
[00:25:22.250 --> 00:25:22.349]  Bye.
[00:25:24.349 --> 00:25:25.910]  Person exchange program.
[00:25:27.130 --> 00:25:28.170]  I don't want to work.
[00:25:28.250 --> 00:25:29.250]  Work is bad.
[00:25:31.930 --> 00:25:34.829]  I make, uh, if you, like, build, uh, what?
[00:25:35.109 --> 00:25:35.509]  Cars.
[00:25:36.680 --> 00:25:41.480]  Build a car, you shouldn't get $24 plus benefits to build a car.
[00:25:41.640 --> 00:25:43.980]  If you build a car, you should get a car.
[00:25:46.880 --> 00:25:47.400]  What?
[00:25:48.279 --> 00:25:49.400]  Oh, thank you, sir.
[00:25:54.220 --> 00:25:55.339]  Say sorry.
[00:25:55.599 --> 00:25:57.359]  I yelled at Alex Jones.
[00:25:57.680 --> 00:25:58.920]  Alex, hey, I'm sorry.
[00:25:59.079 --> 00:25:59.880]  I yelled back.
[00:26:00.200 --> 00:26:03.279]  But it got your fucking bander up and that's good.
[00:26:03.720 --> 00:26:14.969]  Thank you.
[00:26:14.990 --> 00:26:19.710]  You come to a live show and you just get the shit you saw on Last Comic Standing, only you're closer.
[00:26:20.009 --> 00:26:20.829]  What the fuck is that?
[00:26:22.210 --> 00:26:23.529]  You want a little bit of chaos.
[00:26:25.869 --> 00:26:27.769]  That's why you want to win the war on drugs?
[00:26:27.769 --> 00:26:29.430]  I'll tell you how you have to do it.
[00:26:29.529 --> 00:26:30.799]  You have to attack the source.
[00:26:32.898 --> 00:26:38.028]  No, no, I'm talking about attacking the source of the drug problem, which is not the growers and the suppliers.
[00:26:38.028 --> 00:26:42.518]  It's the people who are responsible for making life so absolutely...
[00:26:51.140 --> 00:27:10.660]  Whoever's responsible for TGI Fridays and Ashton Kutcher and Last Comic Standing and PT Cruisers and Eight Simple Rules for raping my stepchild and roughing the passer penalty.
[00:27:10.910 --> 00:27:17.829]  And Vin Diesel and whoever made it so fucking dull that you're working five to enjoy two.
[00:27:18.309 --> 00:27:21.049]  I love that blue collar rhetoric.
[00:27:22.230 --> 00:27:25.170]  People who talk about prison like it's a good thing.
[00:27:26.250 --> 00:27:26.849]  Right?
[00:27:26.849 --> 00:27:35.210]  You know the guy, the They got fucking three square meals brought to them.
[00:27:35.289 --> 00:27:36.710]  They got cable television.
[00:27:37.009 --> 00:27:39.690]  That sounds a pretty good goddamn deal if you ask me.
[00:27:40.160 --> 00:27:41.740]  That's because you're a fucking loser.
[00:27:42.240 --> 00:27:48.099]  You've never thought past fucking cable TV and a frozen dinner for a life.
[00:27:49.240 --> 00:27:55.640]  Maybe that's what we should sentence prisoners to is your cruel and unusual lifestyle.
[00:27:57.039 --> 00:28:08.900]  Maybe that, for the egregious crime of assault and battery, I sentenced you to 15 to 25 years swing shift at the United Parcels Service.
[00:28:09.519 --> 00:28:11.279]  No, but you're older!
[00:28:13.668 --> 00:28:19.558]  Don't you be in contempt of my court, son, or I will give you two children with crooked teeth to boot.
[00:28:19.558 --> 00:28:25.888]  I will give you two children.
[00:28:25.900 --> 00:28:32.540]  The whole prison system is so fucked and people like, they talk about Abu Ghraib, like that's a bad thing.
[00:28:32.540 --> 00:28:37.370]  How about you get a fucking few Polaroids down on your regular fucking...
[00:28:39.000 --> 00:28:39.779]  Huntsville here?
[00:28:40.059 --> 00:28:40.559]  What's here?
[00:28:41.140 --> 00:28:41.440]  Yeah.
[00:28:42.920 --> 00:28:44.059]  Like, prison's good.
[00:28:44.420 --> 00:28:45.559]  Like, prison's helping.
[00:28:46.819 --> 00:28:50.619]  Well, that boy, he stole my car stereo.
[00:28:50.839 --> 00:28:52.680]  I've been sending him to jail for six months.
[00:28:52.720 --> 00:28:53.519]  He'll learn a lesson.
[00:28:53.660 --> 00:28:55.180]  You give him fucking six months in prison.
[00:28:55.220 --> 00:28:56.339]  Oh, yeah, he'll learn a lesson.
[00:28:56.500 --> 00:28:57.740]  Is that going to help us?
[00:28:58.500 --> 00:28:58.940]  Yeah.
[00:28:59.180 --> 00:29:00.080]  What's the first lesson?
[00:29:00.080 --> 00:29:06.590]  How to make some fucking bad bathtub gin and a vat of warm fucking water with orange rinds and fucking...
[00:29:24.420 --> 00:29:29.880]  making scream who's got the ugly pussy while he pisses all over him.
[00:29:29.880 --> 00:29:31.140]  What lesson is he learning?
[00:29:40.819 --> 00:29:42.559]  Is that working for you, revenge head?
[00:29:45.880 --> 00:29:49.400]  Abu Ghraib, that fucking prison abuse over there pales.
[00:29:49.480 --> 00:29:50.859]  They just have pictures of it.
[00:29:53.220 --> 00:29:56.140]  Abu Ghraib, I'm not saying it's fucking good.
[00:29:56.858 --> 00:29:59.558]  Is Lindy England hot to anybody?
[00:29:59.558 --> 00:30:01.947]  Come on, a little bit of...
[00:30:04.460 --> 00:30:18.400]  Now they're court-martialing her, and that makes it even harder to get a girl to fucking strap electrodes to your genitals while you're standing in a box and masturbating your fucking limp lunch in front of the camera.
[00:30:19.799 --> 00:30:20.319]  Yeah.
[00:30:21.940 --> 00:30:22.960]  Bad hecklers.
[00:30:23.868 --> 00:30:25.858]  Get a writer.
[00:30:25.858 --> 00:30:29.378]  I don't mind your heckle, just make it funny or...
[00:30:29.458 --> 00:30:38.390]  Attack the stage like that girl I need a little fuckin' Because last night I was wide awake and everyone was offering me blow.
[00:30:38.609 --> 00:30:39.509]  And I'm like, I don't need blow.
[00:30:39.690 --> 00:30:41.589]  But tonight I really could have used a bump.
[00:30:41.730 --> 00:30:44.710]  Because I was trying to sleep on Xanax all day.
[00:30:44.849 --> 00:30:46.430]  And there's no bumps to be had.
[00:30:46.529 --> 00:30:50.690]  But a little adrenaline when a fucking scary chick rushes the stage.
[00:30:52.230 --> 00:30:53.529]  It's a natural high.
[00:30:56.190 --> 00:30:57.950]  Abu Ghraib.
[00:31:00.839 --> 00:31:01.519]  Our boot grade?
[00:31:01.920 --> 00:31:03.480]  Safe word.
[00:31:03.660 --> 00:31:04.420]  That's all you need?
[00:31:04.599 --> 00:31:04.880]  Really?
[00:31:05.460 --> 00:31:08.059]  At that point, that's where the language barrier comes in.
[00:31:08.160 --> 00:31:09.940]  Isn't it time we picked one language?
[00:31:10.099 --> 00:31:16.480]  If we get cell phones and email and jet planes, it's a real, there is a new world order without the government.
[00:31:16.640 --> 00:31:18.819]  We're all talking, let's all pick one language.
[00:31:18.920 --> 00:31:19.380]  How about that?
[00:31:19.519 --> 00:31:20.119]  I don't give a fuck.
[00:31:20.319 --> 00:31:25.420]  Put every language in a bingo ball hopper and pick one so I know what the fuck everyone else is saying.
[00:31:26.000 --> 00:31:28.180]  One language and start teaching it.
[00:31:29.309 --> 00:31:30.630]  Our language is our heritage.
[00:31:30.849 --> 00:31:32.390]  What are you going to fucking buy with heritage?
[00:31:32.690 --> 00:31:34.730]  I'm trying to get across town in a fucking cab.
[00:31:35.089 --> 00:31:39.650]  I'm trying to negotiate a reasonably priced fucking handjob from a Costa Rican girl.
[00:31:39.910 --> 00:31:40.930]  I don't need heritage.
[00:31:41.210 --> 00:31:42.970]  I need a fucking language in common.
[00:31:43.710 --> 00:31:47.450]  Maybe if they had a safe word over in Abu Ghraib, maybe they would have stopped.
[00:31:47.609 --> 00:31:49.730]  Maybe that was what Lindy England was all about.
[00:31:49.809 --> 00:31:55.470]  Just a little dominatrix in training so she doesn't have to re-up for the fucking long term for the next war.
[00:31:58.829 --> 00:31:59.890]  You need a safe word.
[00:32:00.029 --> 00:32:05.930]  Sure, fucking put a hood on me and give me the electrodes and make me stand on the box and yank for the camera.
[00:32:05.930 --> 00:32:16.349]  But, you know, when you put the inflatable butt plug in my ass, you can only hit the bulb so many times before I yell blue dolphin and then we take it out and we shower off and we start from scratch.
[00:32:16.348 --> 00:32:34.907]  Remember, they're doing that for our freedom.
[00:32:34.907 --> 00:32:37.567]  That's what it takes, stacking unwashed.
[00:32:37.579 --> 00:32:44.759]  Naked Iraqi men flashing in fucking very homoerotic poses for a Polaroid and then saving those Polaroids.
[00:32:44.839 --> 00:32:45.619]  Thank you very much.
[00:32:46.200 --> 00:32:53.339]  Saving those Polaroids and passing them around like mementos, like a fucking gay Sean Cassidy poster and then putting them online.
[00:32:53.599 --> 00:32:57.819]  If they're doing that, it's your freedom to enjoy that beer, Mr. Loudy Mouth.
[00:32:58.119 --> 00:32:59.000]  Yeah, you better respect.
[00:33:01.240 --> 00:33:02.200]  Booyah, kasha!
[00:33:02.660 --> 00:33:05.839]  Booyah, kasha!
[00:33:08.930 --> 00:33:09.450]  Respect.
[00:33:10.069 --> 00:33:10.589]  Respect.
[00:33:11.390 --> 00:33:12.950]  Can I smoke one of your cigarettes?
[00:33:13.170 --> 00:33:13.970]  Suck your cock.
[00:33:16.230 --> 00:33:17.490]  Truck stop rules.
[00:33:19.650 --> 00:33:20.910]  That's truck stop rules.
[00:33:21.109 --> 00:33:21.450]  That's correct.
[00:33:22.589 --> 00:33:25.289]  I was not smoking because I didn't have cigarettes.
[00:33:25.750 --> 00:33:27.670]  Because that fucking young Jamie Kilstein.
[00:33:27.829 --> 00:33:28.609]  Jamie, over there.
[00:33:29.089 --> 00:33:29.789]  Come here.
[00:33:29.910 --> 00:33:31.069]  Come on up, Jamie Kilstein.
[00:33:32.329 --> 00:33:36.410]  This kid came down to work for $25 a night without accommodations.
[00:33:38.990 --> 00:33:39.710]  From Jersey.
[00:33:40.029 --> 00:33:40.950]  No, he doesn't need a cigarette.
[00:33:41.088 --> 00:33:42.969]  What he needs is a place to stay.
[00:33:42.979 --> 00:33:47.807]  'Cause I'm kicking him out of my hotel room'cause every now and then a guy likes to yank.
[00:33:47.807 --> 00:34:00.269]  So if anyone would put, I'm selling the, Combination package that I'll be out there like a whore in a red light district selling after the show.
[00:34:00.390 --> 00:34:04.569]  But you can get one free if you just put up young Jamie Kilstein for a night.
[00:34:04.769 --> 00:34:05.609]  And you know what?
[00:34:05.690 --> 00:34:10.630]  He'd appreciate it if it was a girl, and he'll try to hit on you, but he's really bad at it.
[00:34:10.630 --> 00:34:15.219]  Because I took him to the Yellow Rose last night, and he's one of those defeatist, like...
[00:34:18.829 --> 00:34:22.130]  He might hit on you, but it's not going to be good.
[00:34:22.389 --> 00:34:24.989]  He's not fucking knocking balls out of the park.
[00:34:26.929 --> 00:34:28.630]  He's funny and he's adorable.
[00:34:28.789 --> 00:34:30.710]  You can make him do dishes and stuff.
[00:34:30.929 --> 00:34:33.329]  I make him fucking do some horrible things.
[00:34:36.389 --> 00:34:38.489]  I make him carry my bags.
[00:34:38.489 --> 00:34:39.789]  He's going to sell my CDs.
[00:34:40.550 --> 00:34:42.050]  I'm always lying to him this morning.
[00:34:42.050 --> 00:34:49.690]  and we're in the shower and he's sucking my dick and I...
[00:34:49.699 --> 00:35:01.340]  I used to have a joke that went kind of like then it wasn't that He's in the shower and he's scrubbing my back.
[00:35:01.500 --> 00:35:02.039]  That's what it was.
[00:35:04.360 --> 00:35:05.559]  Let's go!
[00:35:07.559 --> 00:35:09.199]  Go, go, oh yeah, go.
[00:35:09.400 --> 00:35:10.119]  See him out there.
[00:35:10.119 --> 00:35:13.690]  He'll be selling my DVDs, and if you want one...
[00:35:16.639 --> 00:35:17.980]  Get him the fuck out of here.
[00:35:20.280 --> 00:35:21.019]  Shut up.
[00:35:22.400 --> 00:35:22.900]  Alright.
[00:35:23.300 --> 00:35:24.039]  What else?
[00:35:26.539 --> 00:35:27.980]  I had a girl say this.
[00:35:30.440 --> 00:35:31.719]  I'm going to use it again.
[00:35:35.320 --> 00:35:37.739]  I'm running for president in 2008.
[00:35:40.079 --> 00:35:41.639]  Alex, will you be behind me?
[00:35:42.829 --> 00:35:45.929]  It's going to be a half-goof, but it's going to be more serious than goof.
[00:35:46.889 --> 00:35:48.969]  I need a health care plan.
[00:35:49.170 --> 00:35:51.750]  I really need help on the economy.
[00:35:51.909 --> 00:35:52.889]  I don't know dick about.
[00:35:52.909 --> 00:36:09.789]  I mean, I can't  math fucking  any money I have a plan where we can just replace currency worldwide with a simple system of blowjobs and cheeseburgers.
[00:36:10.320 --> 00:36:11.360]  Really, what else do you need?
[00:36:11.519 --> 00:36:12.579]  Do you need the fucking money?
[00:36:12.739 --> 00:36:14.159]  And money doesn't do anything for you.
[00:36:14.219 --> 00:36:15.059]  It's a piece of paper.
[00:36:16.039 --> 00:36:17.940]  Armageddon comes, but blowjobs and cheese.
[00:36:18.820 --> 00:36:20.400]  Sir, how much for that ottoman?
[00:36:20.500 --> 00:36:21.579]  I'll suck your dick for it.
[00:36:21.659 --> 00:36:23.739]  And you go, I just came, but fuck, I'm hungry.
[00:36:24.159 --> 00:36:24.280]  Right?
[00:36:24.900 --> 00:36:25.260]  What else?
[00:36:25.760 --> 00:36:30.440]  There's kinks in the system that Hindus, for instance, they don't want the meat.
[00:36:31.159 --> 00:36:32.159]  It's not perfect.
[00:36:32.420 --> 00:36:35.159]  But I have most of the other platforms down.
[00:36:38.360 --> 00:36:39.440]  War we've covered.
[00:36:39.579 --> 00:36:42.599]  What other issues, serious issues, do you care about?
[00:36:42.659 --> 00:36:43.559]  I'll tell you my platform.
[00:36:44.239 --> 00:36:46.280]  I hope they didn't chuck that chick out who yelled.
[00:36:47.219 --> 00:36:47.840]  Did they?
[00:36:48.019 --> 00:36:49.280]  She probably left on her own.
[00:36:49.360 --> 00:36:51.420]  She didn't seem like she was sexually midget.
[00:36:52.260 --> 00:36:53.960]  I'm talking about serious issues.
[00:36:55.199 --> 00:36:55.639]  Abortion?
[00:36:58.360 --> 00:37:00.860]  I'll get to gay marriage next, but abortion first?
[00:37:01.679 --> 00:37:02.119]  Abortion?
[00:37:03.260 --> 00:37:05.079]  And Alex, maybe you're with me on this.
[00:37:05.369 --> 00:37:08.070]  I believe that a fetus is a living thing.
[00:37:10.530 --> 00:37:12.909]  But no, but so is a genital ward.
[00:37:13.230 --> 00:37:16.230]  If it's going to irritate you for life, burn it off.
[00:37:16.389 --> 00:37:17.150]  That's what I say.
[00:37:17.570 --> 00:37:17.909]  Right?
[00:37:19.630 --> 00:37:24.429]  Bladder cancer is alive and growing just the way God made it in your grandpa.
[00:37:24.730 --> 00:37:25.329]  But you know what?
[00:37:25.489 --> 00:37:32.269]  Until you put a fucking blue bonnet on that and send me a fucking card at Easter with an Olin Mills fucking picture.
[00:37:32.469 --> 00:37:33.429]  No, fuck you.
[00:37:37.579 --> 00:37:40.239]  I had my first abortion about a year and a half ago.
[00:37:42.380 --> 00:37:43.659]  My wife had it.
[00:37:44.940 --> 00:37:46.360]  I paid for it.
[00:37:46.699 --> 00:37:49.320]  It's not the kind of thing you go Dutch on.
[00:37:51.460 --> 00:37:52.699]  I'll get this one, honey.
[00:37:52.940 --> 00:37:54.500]  You just hit the tip, okay?
[00:37:54.500 --> 00:37:55.500]  Okay?
[00:37:55.500 --> 00:38:11.030]  You know, it's fucking horrible, but the most horrible thing, not the, you know, look at Like, anything fucking medically.
[00:38:11.309 --> 00:38:12.909]  We don't give a shit about the kid.
[00:38:13.030 --> 00:38:16.150]  We care about fucking parking and not sitting in fucking horrible traffic.
[00:38:16.389 --> 00:38:18.110]  And that's what, yeah, babies do.
[00:38:18.230 --> 00:38:20.369]  There's enough babies out there already.
[00:38:21.479 --> 00:38:27.679]  But the problem with abortion, it's one of those things that they treat you like such shit.
[00:38:33.300 --> 00:38:39.500]  Because it's an abortion, it's dirty and shameful, and they know you're not going to say shit about it, so they can treat you like this.
[00:38:39.500 --> 00:38:40.659]  It's like dildos, right?
[00:38:41.300 --> 00:38:45.559]  They're legal in some fucking counties in this state.
[00:38:47.360 --> 00:38:51.260]  Sorry, that was a story maybe I figured you heard about more.
[00:38:51.380 --> 00:38:53.539]  The lady got busted for having dildo parties.
[00:38:53.760 --> 00:38:54.980]  That was Harris County, wasn't it?
[00:38:57.260 --> 00:38:57.900]  I'm not in Houston.
[00:38:58.059 --> 00:38:58.460]  I'm in Austin.
[00:38:58.679 --> 00:38:58.820]  Whatever.
[00:39:01.739 --> 00:39:02.519]  Shut up.
[00:39:02.900 --> 00:39:04.840]  I've had a long day and a lot to drink.
[00:39:04.980 --> 00:39:06.739]  The point is, dildos are legal.
[00:39:07.039 --> 00:39:09.000]  Dildos are like abortion where they're legal.
[00:39:09.639 --> 00:39:11.519]  Say you want to go down and get a dildo tonight.
[00:39:11.639 --> 00:39:16.338]  You go down to the smud shop and you pick out a fucking top shelf, big blue fucking wiggler.
[00:39:16.338 --> 00:39:19.818]  And you get all excited and you take it home.
[00:39:19.818 --> 00:39:21.338]  But you take it home and it doesn't...
[00:39:22.760 --> 00:39:27.340]  The fucking adjustable net doesn't quite reach the fucking happy spot.
[00:39:27.719 --> 00:39:36.179]  And the blue rubber fucking rabbit doesn't, you know, diddle your clitoris because you're from Nigeria.
[00:39:36.400 --> 00:39:38.820]  And they've cut that off with a rusty tin can or something.
[00:39:39.400 --> 00:39:42.280]  The point is, if it doesn't work, what are you going to do?
[00:39:42.400 --> 00:39:43.300]  Bring it back?
[00:39:44.420 --> 00:39:54.820]  No, you had to get half fucking liquored up on some fucking Shiner Box just to walk into that joint, much less stop by Monday morning on your way to your accountant's job in your business.
[00:39:54.820 --> 00:39:56.789]  I had some problems with this.
[00:39:56.789 --> 00:39:57.950]  Can I talk to him?
[00:39:57.950 --> 00:39:59.570]  This didn't fit quite.
[00:40:04.219 --> 00:40:05.239]  Who are you going to call?
[00:40:05.360 --> 00:40:06.559]  The Better Business Bureau?
[00:40:09.230 --> 00:40:10.130]  The rights, don't I?
[00:40:10.250 --> 00:40:16.730]  Yeah, I try to find a thing that fitted my vagina to make me climax, and I think they bamboozled me.
[00:40:16.869 --> 00:40:19.610]  No, they're going to freaking walk out in shame and take it.
[00:40:19.949 --> 00:40:21.690]  And abortion is the same thing.
[00:40:21.829 --> 00:40:23.349]  They can treat you like absolute shit.
[00:40:23.449 --> 00:40:30.650]  They know I'm not going to walk back into a crowded abortion clinic with my crying wife and slap my hand down on the floor.
[00:40:30.769 --> 00:40:33.250]  Mike goes, this is the worst abortion I have ever had.
[00:40:33.309 --> 00:40:34.329]  I want to see your manager.
[00:40:34.570 --> 00:40:35.590]  You bring your manager.
[00:40:35.730 --> 00:40:37.610]  You call this an abortion, my friend?
[00:40:37.789 --> 00:40:38.550]  This is the worst.
[00:40:42.920 --> 00:40:43.840]  My friend's about this.
[00:40:44.900 --> 00:40:48.139]  You have lost a very valuable customer today, my friend.
[00:40:48.440 --> 00:40:51.360]  I'm cutting up my priority club membership card.
[00:40:55.380 --> 00:41:01.559]  And before you get fucking creepy on me, just keep in mind, I mean, we had an abortion for a reason.
[00:41:01.760 --> 00:41:03.699]  It's not like it was frivolous.
[00:41:03.800 --> 00:41:07.239]  It wasn't because we weren't responsible enough to have a child.
[00:41:07.239 --> 00:41:11.639]  It's not because we weren't financially ready to take care of a child.
[00:41:11.639 --> 00:41:20.157]  The reason that we had the abortion is because I really needed to see what it felt like to kill a baby.
[00:41:20.188 --> 00:41:25.679]  So don't fucking judge me and sit out there like a higher than that.
[00:41:25.679 --> 00:41:27.188]  Right?
[00:41:34.340 --> 00:41:34.960]  No!
[00:41:36.059 --> 00:41:37.159]  How about that?
[00:41:37.320 --> 00:41:38.559]  No one gay marriage!
[00:41:38.820 --> 00:41:39.679]  Fuck you!
[00:41:40.179 --> 00:41:40.820]  And guess what?
[00:41:40.960 --> 00:41:41.659]  Straight marriage?
[00:41:42.220 --> 00:41:42.710]  No!
[00:41:43.039 --> 00:41:43.949]  Fuck you!
[00:41:43.990 --> 00:41:47.619]  Marriage should not be a legal institution!
