[00:00:00.069 --> 00:00:00.450]  Free!
[00:25:01.274 --> 00:25:05.896]  And it really is, not only Orwellian, but it's kind of...
[00:25:07.097 --> 00:25:09.279]  An Alice in Wonderland type of thing.
[00:25:09.339 --> 00:25:10.620]  So many different aspects to it.
[00:25:11.040 --> 00:25:11.801]  Look at this article.
[00:25:11.901 --> 00:25:17.005]  Judge orders the NSA to stop destroying evidence for the third time.
[00:25:17.545 --> 00:25:21.028]  See, when you give them that kind of power, they're not going to listen to anybody.
[00:25:21.048 --> 00:25:24.511]  If they're going to violate the Constitution, don't you think they'll violate a judge's order?
[00:25:25.231 --> 00:25:35.135]  Now, this is a judge that has asked the National Security Agency to stop destroying surveillance records that could be used to challenge the legality of its spying programs in court.
[00:25:35.675 --> 00:25:44.418]  Now, this is a lawsuit that's being brought by the Electronic Frontier Foundation, EFF, so they're asking the NSA, don't destroy these records.
[00:25:44.658 --> 00:25:47.139]  We are going to be using them as part of a trial.
[00:25:47.439 --> 00:25:51.341]  So the NSA comes back with this kind of Kafkaesque reply, and they say, well,
[00:25:52.342 --> 00:26:03.053]  Uh, we can't do that because, um, if we, if we didn't hold these records, we could have a loss of access to lawfully collected signals intelligence information.
[00:26:03.694 --> 00:26:03.974]  Okay?
[00:26:03.994 --> 00:26:05.016]  Now think about that.
[00:26:05.236 --> 00:26:11.363]  They're saying, we, we can't retain these records because we don't want to lose information.
[00:26:12.219 --> 00:26:13.239]  That's essentially what they're saying.
[00:26:13.499 --> 00:26:24.362]  So the EFF said in a statement late Thursday, says, how can the preservation of intercepted communications cause a, quote, loss of access to lawfully collected signals intelligence information?
[00:26:25.002 --> 00:26:29.323]  That information will remain accessible even though it is being preserved.
[00:26:29.783 --> 00:26:30.023]  Right?
[00:26:30.523 --> 00:26:34.424]  So they're saying we can't preserve it because we could lose it if we preserve it.
[00:26:35.025 --> 00:26:35.565]  Not true.
[00:26:35.625 --> 00:26:36.365]  As a matter of fact,
[00:26:37.125 --> 00:26:49.053]  In the crazy war on drugs here in Texas, and of course this is where much of the destruction of our Constitution into a police state, into a surveillance state began decades ago.
[00:26:49.774 --> 00:26:53.216]  We have an article here from Forbes.com.
[00:26:53.316 --> 00:27:06.465]  Cops in Texas seize millions by policing for profit, and they point out that in a recent decision, a Texas Supreme Court justice compared the act of civil forfeiture to Alice in Wonderland and Kafka.
[00:27:07.065 --> 00:27:15.208]  Because what's happening in civil forfeiture is that they're charging inanimate objects with crimes even though the owners are never charged with anything.
[00:27:15.868 --> 00:27:22.571]  They essentially charge the inanimate objects and of course the inanimate objects have no civil liberties because of course they're not people.
[00:27:23.231 --> 00:27:24.911]  But you have these cases of the U.S.
[00:27:24.931 --> 00:27:27.012]  versus Learjet, or the U.S.
[00:27:27.032 --> 00:27:32.053]  versus 1999 Camaro, or whatever it is that they're coming after.
[00:27:33.213 --> 00:27:41.395]  And they point out that in just one county, Tarrant County, Texas, the district attorney's office seized $3.5 million, plus 250 cars, 440 computers, in just fiscal year 2013.
[00:27:41.495 --> 00:27:44.056]  That's about 10% of their budget they got by stealing property.
[00:27:52.938 --> 00:27:55.539]  Without charging even a person with a crime.
[00:27:55.559 --> 00:27:58.600]  In other words, they didn't find anybody guilty of a crime.
[00:27:58.620 --> 00:28:04.802]  They didn't even charge anyone with a crime, but they confiscated the property and charged the property with a crime.
[00:28:05.243 --> 00:28:07.303]  And we've seen this going on since the early 90s.
[00:28:07.823 --> 00:28:10.164]  Now even Forbes is taking notice of this.
[00:28:10.224 --> 00:28:13.886]  It used to be something that only obscure libertarian journals talked about.
[00:28:13.926 --> 00:28:17.567]  So at least we're making some headway when we've got mainstream articles talking about it.
[00:28:18.007 --> 00:28:19.568]  But they also point out that most of this
[00:28:20.228 --> 00:28:21.749]  went to salaries.
[00:28:22.030 --> 00:28:31.258]  They had $660,000 in cash used and $426,000 in cash to pay salaries.
[00:28:31.718 --> 00:28:39.585]  And of course they only gave $53,000 to six non-profits that would benefit victims or prosecution efforts.
[00:28:39.605 --> 00:28:43.308]  So most of this money is going to the police department.
[00:28:43.929 --> 00:28:46.291]  And in Tampa we had a case where some
[00:28:47.552 --> 00:28:56.696]  Cops went in and totally trashed a guy's truck when he wasn't even there because they asserted that they smelled marijuana, or a canine smelled it.
[00:28:57.036 --> 00:29:06.041]  So he comes back to his truck, he finds it absolutely totally broken into and trashed with a note from a cop saying, we thought we smelled something funny so we went after your truck.
[00:29:07.362 --> 00:29:09.483]  And now they're saying, that's nothing unusual.
[00:29:09.543 --> 00:29:10.304]  We'll be right back.
[00:29:10.324 --> 00:29:12.546]  This is Scottish John for InfoWars.com.
[00:29:12.646 --> 00:29:19.172]  I know that most of you here in this commercial already know about the New World Order, eugenics, and all the other issues covered here at InfoWars.
[00:29:19.352 --> 00:29:21.954]  The question is, do your friends and family know?
[00:29:22.134 --> 00:29:23.896]  If not, then I want to know why.
[00:29:24.076 --> 00:29:26.298]  Oh, I know it's tough to talk about this with some people.
[00:29:26.398 --> 00:29:30.542]  They might call you names, or they just want to talk about sports, or soap operas.
[00:29:30.842 --> 00:29:31.863]  I say, so what?
[00:29:32.023 --> 00:29:34.004]  There's a battle going on out there right now.
[00:29:34.224 --> 00:29:37.346]  The ammunition is information, and the soldiers are you.
[00:29:37.587 --> 00:29:41.709]  It's time to transform your game from passive listener to active participant.
[00:29:41.849 --> 00:29:47.593]  We from Scotland have had our skin in this game for the greater part of the last thousand years, and I'm still fighting.
[00:29:47.693 --> 00:29:50.735]  If we don't all stand up right now, we're gonna lose everything.
[00:29:50.935 --> 00:29:52.637]  The Info War is worldwide.
[00:29:52.757 --> 00:29:56.879]  Tell your friends about Info Wars and let them know that Info Wars doesn't print bull.
[00:29:57.080 --> 00:30:00.682]  It's real journalism and news backed up by documented facts.
[00:30:00.782 --> 00:30:07.851]  Step up and take your friends and family to InfoWars.com, PrisonPlanet.tv and PlanetInfoWars.com.
[00:30:08.031 --> 00:30:09.493]  The truth will set them free!
[00:30:11.164 --> 00:30:12.244]  In the near future.
[00:30:12.505 --> 00:30:16.666]  When you realize how fake it all is, the football, the basketball.
[00:30:17.006 --> 00:30:18.027]  Security alert.
[00:30:18.227 --> 00:30:19.967]  This is Homeland Security.
[00:30:20.248 --> 00:30:20.848]  Analysis.
[00:30:21.108 --> 00:30:21.768]  InfoWars.
[00:30:21.848 --> 00:30:23.789]  Building independent media operations.
[00:30:23.829 --> 00:30:28.791]  You let the worst people get controlled and tell us that we are the ones responsible.
[00:30:28.831 --> 00:30:29.751]  Crime Directive.
[00:30:29.851 --> 00:30:31.292]  Discredit Alex Jones.
[00:30:31.412 --> 00:30:34.193]  Jones is the wildly popular conspiracy theorist.
[00:30:34.253 --> 00:30:37.314]  A popular conspiracy theory talk show called InfoWars.
[00:30:37.494 --> 00:30:39.655]  Alex Jones is now in an Austin jail.
[00:30:39.855 --> 00:30:41.296]  These people are assaulting us.
[00:30:41.316 --> 00:30:43.538]  Targeting of patriots engaged.
[00:30:44.138 --> 00:30:45.799]  They are never going to stop.
[00:30:46.099 --> 00:30:50.002]  They're never going to deviate from their program until we stop them.
[00:30:50.162 --> 00:30:53.324]  Block free iPhone ads at Infowars.com.
[00:30:53.765 --> 00:30:56.386]  Block free podcast and video feed.
[00:30:57.087 --> 00:30:57.827]  Imperative.
[00:30:58.087 --> 00:31:00.089]  Destroy Britain's Minute TV.
[00:31:00.109 --> 00:31:04.532]  You gotta set your eye on the enemy, not worry about what propaganda they put out.
[00:31:04.812 --> 00:31:06.153]  Intellectually, it's begun.
[00:31:06.193 --> 00:31:06.934]  You can feel it.
[00:31:09.682 --> 00:31:10.482]  I don't know what it is.
[00:31:10.722 --> 00:31:12.463]  Ralph just won't pay any attention to me.
[00:31:12.583 --> 00:31:16.524]  When he comes home from work, all he ever does is play video games and go to sleep.
[00:31:16.704 --> 00:31:17.944]  It's like I don't even exist.
[00:31:18.304 --> 00:31:20.125]  Oh, Betty, that's just awful.
[00:31:20.245 --> 00:31:21.445]  Does this seem familiar?
[00:31:21.625 --> 00:31:24.206]  If the answer to this question is yes, then listen carefully.
[00:31:24.226 --> 00:31:29.547]  Toxic pesticides, GMO foods and additives, BPA plastics, contaminated water supplies,
[00:31:29.767 --> 00:31:34.672]  Many of these toxic additives are deliberately engineered to attack and weaken human masculinity.
[00:31:34.812 --> 00:31:37.315]  It's part of the eugenics population control movement.
[00:31:37.515 --> 00:31:37.976]  Look it up.
[00:31:38.216 --> 00:31:44.883]  If men are more interested in online gaming than they are in their wives, a serious population crisis is soon to follow.
[00:31:45.063 --> 00:31:50.186]  Energize the man in your life with Super Male Vitality from InfoWarsLife.com.
[00:31:50.346 --> 00:32:01.191]  It's designed to aid the body in ways that help invigorate your natural systems without artificial testosterone, completely free of GMOs, harmful additives, gluten, and is made right here in the USA.
[00:32:01.331 --> 00:32:05.973]  Get your Super Male Vitality right now at InfoWarsLife.com or call 1-888-253-3139.
[00:32:09.435 --> 00:32:13.439]  A chemical spill contaminating the water supply in nine West Virginia counties.
[00:32:13.479 --> 00:32:17.583]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[00:32:17.843 --> 00:32:21.247]  What are the health effects of having these drugs in our drinking water?
[00:32:21.507 --> 00:32:24.390]  It's forced medical treatment without the consent of residents.
[00:32:24.530 --> 00:32:31.857]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[00:32:32.097 --> 00:32:35.758]  On average, the county says it sprays with the glyphosate at least once a week.
[00:32:36.018 --> 00:32:40.280]  Few filters cut out the glyphosate that is found in water supplies worldwide.
[00:32:40.420 --> 00:32:46.381]  Remove pesticides, herbicides, chloramines, hydrofluorosilicic acid, sodium hexafluorosilicate.
[00:32:46.401 --> 00:32:50.183]  Fluoride is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[00:32:50.343 --> 00:32:52.884]  It is our responsibility to protect our families.
[00:32:53.084 --> 00:32:54.444]  The establishment's not going to do it.
[00:32:54.584 --> 00:32:55.804]  It's time to take action.
[00:32:55.944 --> 00:32:57.605]  It's time to filter our water.
[00:32:57.765 --> 00:33:04.931]  Visit Infowarsstore.com and use promo code WATER to get 10% off their entire family of incredible products.
[00:33:05.151 --> 00:33:09.034]  Or call toll free 888-253-3139.
[00:33:11.116 --> 00:33:12.277]  Coast to Coast.
[00:33:12.637 --> 00:33:14.018]  Direct from Austin.
[00:33:14.699 --> 00:33:17.921]  You're listening to the Alex Jones Broadcasting Network.
[00:33:25.638 --> 00:33:30.605]  He aligns himself with the truth, and it's time for you to choose a side.
[00:33:30.965 --> 00:33:33.249]  You're listening to Alex Jones.
[00:33:35.285 --> 00:33:36.765]  Welcome back to the Alex Jones Show.
[00:33:36.865 --> 00:33:37.585]  I'm David Knight.
[00:33:37.645 --> 00:33:41.246]  Now, Alex is going to be joining us in the next hour, at the top of the hour.
[00:33:41.706 --> 00:34:01.830]  At the bottom of the hour, we're going to take your calls about what he has to say, because we're going to be talking about the planned implosion of our economy and how the latest incidents of children in uncontrolled amounts coming across the border, how that endangers them, and what it's going to do to our economy.
[00:34:01.850 --> 00:34:03.490]  And Alex is going to break that down for you.
[00:34:03.510 --> 00:34:04.330]  But before we get to that,
[00:34:05.253 --> 00:34:12.340]  I want to remind you that this hour of the Alex Jones Show is brought to you by Survival Shield X2, one of our new products.
[00:34:12.400 --> 00:34:20.248]  Much stronger than regular Survival Shield, through a unique manufacturing process that utilizes iodine sources from deep within the earth.
[00:34:20.828 --> 00:34:29.699]  A unique new process uses high purity grade of iodine from more than 7,000 feet below the Earth's surface, far below the Fukushima wave of radiation.
[00:34:30.119 --> 00:34:37.288]  Now it's extracted from an ancient salt solution that yields a powerful and uncontaminated 650 micrograms of iodine per single drop.
[00:34:37.848 --> 00:34:51.711]  Tested with radiation readings of the labs to ensure freedom from Fukushima radiation, it's developed proprietary technology to create nascent iodine, and it continues to pioneer our products in potency, quality, and purity.
[00:34:51.771 --> 00:34:53.731]  That's available at Infowarslife.com.
[00:34:54.371 --> 00:34:59.572]  You can go to Infowarsstore.com to get to there, or you can go directly to Infowarslife.com.
[00:34:59.612 --> 00:35:03.133]  And our phone number is 888-253-3139.
[00:35:03.933 --> 00:35:07.074]  Protect yourself, protect your family, and support our operation here.
[00:35:08.001 --> 00:35:21.896]  Now just before the break we were talking about this case in Florida where this man comes back to his truck and he finds it's totally been vandalized and all he finds is this little handwritten note from the police saying that they thought they smelled something funny.
[00:35:22.137 --> 00:35:26.621]  He says, I come from outside, I jump in the truck and the whole thing's been torn apart inside.
[00:35:27.262 --> 00:35:28.543]  Wires have been yanked out.
[00:35:29.024 --> 00:35:30.525]  The paneling had some scratches on it.
[00:35:31.046 --> 00:35:41.816]  One could think that it was a burglar who had been inside his truck, writes the Yahoo article here, but he says it was police and Heller did not know it was because, knew that because they left a note saying what they did.
[00:35:41.876 --> 00:35:49.823]  They said that a canine officer thought that he smelled something, so that gave them reason to trash his truck.
[00:35:49.843 --> 00:35:50.143]  He says,
[00:35:51.124 --> 00:35:52.425]  It's used for his business.
[00:35:52.865 --> 00:35:54.206]  It's his whole life savings.
[00:35:54.406 --> 00:35:57.188]  It's his marketing tool, as well as his transportation.
[00:35:57.569 --> 00:36:00.050]  He promotes his product, which is air horns.
[00:36:00.391 --> 00:36:02.112]  He said nothing was working.
[00:36:02.392 --> 00:36:04.093]  All of the electronics were ripped out.
[00:36:04.133 --> 00:36:08.636]  And of course, they didn't charge him with anything, because they didn't find any marijuana.
[00:36:08.677 --> 00:36:10.078]  They just did it on suspicion.
[00:36:10.758 --> 00:36:15.802]  Now, when they complained about it, the Tampa Police Department said, well, the search is legal, but it's not typical.
[00:36:16.684 --> 00:36:17.544]  No, it's not legal.
[00:36:18.104 --> 00:36:18.685]  It's not legal.
[00:36:18.945 --> 00:36:26.946]  The Fourth Amendment says that if you want to search somebody's person, place, property, you get an order from the judge to do so.
[00:36:27.066 --> 00:36:31.948]  You go before a judge before you break and enter, whether that's a car or a house.
[00:36:32.708 --> 00:36:34.788]  What if they started doing that to houses?
[00:36:34.828 --> 00:36:35.909]  I'm sure they will.
[00:36:36.289 --> 00:36:37.909]  We get no-knock raids from SWAT teams.
[00:36:37.969 --> 00:36:41.110]  People get killed regularly because of those no-knock raids.
[00:36:41.710 --> 00:36:45.491]  We need to get upset about this because, you know what, it's not just this fellow's truck
[00:36:46.611 --> 00:36:47.652]  It's our rights.
[00:36:47.913 --> 00:36:49.414]  Our rights are property as well.
[00:36:49.955 --> 00:36:52.838]  It's not just that his truck was trashed and destroyed.
[00:36:53.259 --> 00:37:00.547]  We have rights, those fundamental rights, those God-given rights that are specifically recognized and
[00:37:01.548 --> 00:37:15.515]  Restrictions are put on the government to keep them from destroying these rights that we possess as human beings and yet our government routinely is destroying and trashing those rights just like they broke in and destroyed this guy's truck.
[00:37:15.575 --> 00:37:20.378]  Now of course this is on Yahoo and it was in the odd news section.
[00:37:21.158 --> 00:37:22.581]  I wish it was odd news.
[00:37:22.621 --> 00:37:25.287]  I wish it was something that was really unusual.
[00:37:25.688 --> 00:37:26.911]  No, it's not unusual.
[00:37:26.991 --> 00:37:27.933]  It's just illegal.
[00:37:28.214 --> 00:37:31.440]  It's just the opposite of what the Tampa Police Department said.
[00:37:32.836 --> 00:37:35.857]  Now, as I mentioned, Alex is going to be joining us at the top of the hour.
[00:37:37.077 --> 00:37:42.679]  He's going to talk about what's going on with the larger picture of what we see happening.
[00:37:42.719 --> 00:37:55.943]  But there were a couple of articles that came out on Drudge's last week that I think put together, they really show a pattern of behavior that we've been talking about for a long time, that the Bilderberg Group and others have been talking about for a long time.
[00:37:56.883 --> 00:38:01.244]  The first one here, 37.2% are not in the labor force.
[00:38:01.584 --> 00:38:03.965]  It remains at a 36-year high.
[00:38:04.025 --> 00:38:08.227]  This is 92 million people that are not working right now.
[00:38:08.307 --> 00:38:11.087]  Now, of course, they'd like to play games with these unemployment figures.
[00:38:11.127 --> 00:38:18.590]  They say that if you're without a job for a certain period of time, you've just dropped out of the labor force and we're not going to include you anymore in that.
[00:38:19.770 --> 00:38:29.113]  That's, and then of course they're also constantly, every quarter, revising the unemployment figures, always doing so in a way to make it look as if things are trending up.
[00:38:29.573 --> 00:38:42.657]  This is a story from cnsnews.com, and they point out that this is the lowest labor force participation that we have right now in 36 years at no time during the presidencies of Ronald Reagan,
[00:38:43.277 --> 00:38:44.338]  George H.W.
[00:38:44.378 --> 00:38:52.843]  Bush, Bill Clinton, or George W. Bush did such a small percentage of the civilian, non-institutional population hold a job or seek one.
[00:38:53.323 --> 00:38:58.987]  They say that when Obama took office in 2009, that number was at 65.7 percent.
[00:38:59.527 --> 00:39:02.629]  At the beginning of his second term, it had dropped from 65.7 to 63.6, and now it is at 62.8 percent.
[00:39:02.689 --> 00:39:03.050]  So, why is it?
[00:39:10.174 --> 00:39:12.116]  That we don't have employment.
[00:39:12.476 --> 00:39:13.317]  Why is it dropping?
[00:39:13.857 --> 00:39:14.858]  Well, there's a lot of reasons.
[00:39:15.019 --> 00:39:17.221]  One of them is, of course, Obamacare.
[00:39:17.241 --> 00:39:31.233]  Obamacare is making all businesses, especially the smaller businesses where most of the job growth comes from, they're making them very much afraid to hire people because of the added costs that are going to come with each employee.
[00:39:31.914 --> 00:39:59.104]  They have reduced the number of hours to define what a full-time employee is, raised the cost of insurance for people, and if you don't want to, so of course they're not hiring people and not giving them as many hours, taking them down so that they are part-time employees, and if you as an individual want to opt out of this because you don't want to pay more to the insurance companies to get less coverage, and that's what's happening because it was the insurance companies that wrote this.
[00:39:59.764 --> 00:40:03.827]  This is not being done for the benefit of the individuals out there.
[00:40:03.867 --> 00:40:09.490]  This is something's being done for the benefit of these large insurance companies that donated so much money to the politicians.
[00:40:09.871 --> 00:40:25.661]  But if you want to opt out of that, there's an article on Roll Call back on June 6th that said that there's going to be, they're estimating, that it's going to be an additional four billion dollars in revenue for the government just from taxing people who opt out of the system.
[00:40:26.471 --> 00:40:34.556]  Now the headline that was on the roll call article I think was pretty amazing because they called it the shrinking Obamacare individual mandate.
[00:40:35.456 --> 00:40:37.197]  There's nothing shrinking about that.
[00:40:37.578 --> 00:40:44.542]  What shrunk was there's nothing shrinking about his mandates and why should we be having presidential mandates about how we
[00:40:45.582 --> 00:40:46.884]  What kind of health insurance we have?
[00:40:46.904 --> 00:40:49.126]  Of course, we've said this over and over again, but here's the thing.
[00:40:49.166 --> 00:41:06.364]  The Congressional Budget Office went through and said, well, we think that it's going to be not six million people who would rather pay a tax than to pay these confiscatory insurance premiums that are being mandated on them by the insurance companies and their puppets in the government.
[00:41:06.920 --> 00:41:12.142]  You know, forcing young single males to buy maternity insurance, that type of thing.
[00:41:12.542 --> 00:41:15.543]  Insurance that you don't need, insurance that you can't use.
[00:41:16.183 --> 00:41:21.184]  And then paying more for your deductibles, paying several times what you were before in premiums.
[00:41:21.725 --> 00:41:26.166]  They think that the number of people that are going to opt out of that is dropping from six million to four million.
[00:41:26.186 --> 00:41:29.447]  So the headline they put in here is the shrinking Obamacare individual mandate.
[00:41:29.467 --> 00:41:31.047]  There's nothing about the mandate that's shrinking.
[00:41:31.307 --> 00:41:32.908]  It's just their particular estimate.
[00:41:33.328 --> 00:41:36.369]  But now they're still estimating that it's going to be $4 billion in revenue.
[00:41:36.409 --> 00:41:46.131]  So if they're estimating that 4 million people are going to opt out and they're going to get an additional $4 billion in revenue, that's about $1,000 per person on average.
[00:41:46.791 --> 00:41:53.213]  And of course Obama said he wasn't going to raise taxes on anybody that was making less than $250,000 a year.
[00:41:54.753 --> 00:41:57.616]  And he said, you're not going to see any form of tax increase.
[00:41:57.657 --> 00:42:04.104]  Not your income tax, not your payroll tax, not your capital gains tax, not any of your taxes.
[00:42:04.144 --> 00:42:06.907]  And he said that multiple times, as we pointed out.
[00:42:06.947 --> 00:42:09.791]  So, there's a lot about just the Obamacare.
[00:42:10.331 --> 00:42:10.671]  We're good.
[00:42:30.939 --> 00:42:32.800]  Go to America with your child.
[00:42:33.000 --> 00:42:34.661]  You won't be turned away.
[00:42:34.741 --> 00:42:36.962]  That's what the mothers are telling the reporters.
[00:42:37.382 --> 00:42:41.384]  And of course they're coming into Texas, they're coming into Arizona.
[00:42:41.404 --> 00:42:44.425]  Arizona actually is getting the overflow of Texas.
[00:42:44.526 --> 00:42:46.426]  Most of them are coming into Texas.
[00:42:46.627 --> 00:42:51.389]  And the Arizona governor, Jan Brewer, said she was disturbed on Friday and outraged.
[00:42:51.989 --> 00:42:58.613]  After she was told by the federal government that they're going to be, in her words, dumping immigrants on them, a thousand children right away.
[00:42:58.633 --> 00:43:04.977]  We're going to be back, we're going to have more information on this, and we're going to break down what it's going to do to break down our country.
[00:43:04.997 --> 00:43:08.259]  You can't have a welfare state and open borders at the same time.
[00:43:08.559 --> 00:43:09.160]  We'll be right back.
[00:43:10.063 --> 00:43:20.447]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[00:43:20.727 --> 00:43:22.588]  Guess what else is in the halogen family?
[00:43:22.788 --> 00:43:23.488]  Fluoride!
[00:43:23.688 --> 00:43:25.269]  Ladies and gentlemen, Alex Jones here.
[00:43:25.609 --> 00:43:31.911]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:43:32.171 --> 00:43:36.955]  It's the good halogen on the periodic table, and the results are on record.
[00:43:37.095 --> 00:43:43.220]  Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[00:43:43.420 --> 00:43:45.582]  Bottom line, iodine is important.
[00:43:45.842 --> 00:43:48.464]  Unbound, clean, in a glycerin base.
[00:43:48.764 --> 00:43:52.167]  Nascent iodine was the answer for myself and my family.
[00:43:52.267 --> 00:43:56.870]  You will find survival shield Nascent Iodine exclusively at Infowarslife.com.
[00:43:57.691 --> 00:44:02.499]  InfoWars Life Survival Shield Nascent Iodine isn't just for emergencies.
[00:44:02.799 --> 00:44:03.841]  I take it every day.
[00:44:04.001 --> 00:44:06.865]  That's InfoWarsLife.com or call toll free 888-253-3139.
[00:44:10.063 --> 00:44:12.465]  This is Scottish John for InfoWars.com.
[00:44:12.565 --> 00:44:19.069]  I know that most of you here in this commercial already know about the New World Order, eugenics, and all the other issues covered here at InfoWars.
[00:44:19.249 --> 00:44:21.871]  The question is, do your friends and family know?
[00:44:22.031 --> 00:44:23.812]  If not, then I want to know why.
[00:44:23.992 --> 00:44:26.214]  Oh, I know it's tough to talk about this with some people.
[00:44:26.294 --> 00:44:30.437]  They might call you names, or they just want to talk about sports, or soap operas.
[00:44:30.757 --> 00:44:31.777]  I say, so what?
[00:44:31.917 --> 00:44:33.918]  There's a battle going on out there right now.
[00:44:34.138 --> 00:44:37.239]  The ammunition is information, and the soldiers are you.
[00:44:37.499 --> 00:44:41.620]  It's time to transform your game from passive listener to active participant.
[00:44:41.760 --> 00:44:47.442]  We from Scotland have had our skin in this game for the greater part of the last thousand years, and I'm still fighting.
[00:44:47.602 --> 00:44:50.643]  If we don't all stand up right now, we're gonna lose everything.
[00:44:50.843 --> 00:44:52.524]  The Info War is worldwide.
[00:44:52.644 --> 00:44:56.785]  Tell your friends about Info Wars and let them know that Info Wars doesn't print bull.
[00:44:56.985 --> 00:45:00.566]  It's real journalism and news backed up by documented facts.
[00:45:00.686 --> 00:45:07.775]  Step up and take your friends and family to InfoWars.com, PrisonPlanet.tv, and PlanetInfoWars.com.
[00:45:07.935 --> 00:45:09.557]  The truth will set them free.
[00:45:09.837 --> 00:45:10.658]  I don't know what it is.
[00:45:10.878 --> 00:45:12.601]  Ralph just won't pay any attention to me.
[00:45:12.741 --> 00:45:16.686]  When he comes home from work, all he ever does is play video games and go to sleep.
[00:45:16.886 --> 00:45:18.127]  It's like I don't even exist.
[00:45:18.448 --> 00:45:20.250]  Oh Betty, that's just awful.
[00:45:20.390 --> 00:45:21.591]  Does this seem familiar?
[00:45:21.771 --> 00:45:24.372]  If the answer to this question is yes, then listen carefully.
[00:45:24.493 --> 00:45:34.819]  Toxic pesticides, GMO foods and additives, BPA plastics, contaminated water supplies, many of these toxic additives are deliberately engineered to attack and weaken human masculinity.
[00:45:34.959 --> 00:45:37.440]  It's part of the eugenics population control movement.
[00:45:37.660 --> 00:45:38.141]  Look it up.
[00:45:38.361 --> 00:45:45.025]  If men are more interested in online gaming than they are in their wives, a serious population crisis is soon to follow.
[00:45:45.225 --> 00:45:50.348]  Energize the man in your life with Super Male Vitality from InfoWarsLife.com.
[00:45:50.488 --> 00:46:01.353]  It's designed to aid the body in ways that help invigorate your natural systems without artificial testosterone, completely free of GMOs, harmful additives, gluten, and is made right here in the USA.
[00:46:01.493 --> 00:46:06.115]  Get your Super Male Vitality right now at InfoWarsLife.com or call 1-888-253-3139.
[00:46:09.737 --> 00:46:17.622]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[00:46:17.862 --> 00:46:19.943]  All the major networks are state-run.
[00:46:20.083 --> 00:46:22.724]  We are partnering this year with the NFL.
[00:46:22.785 --> 00:46:26.907]  The NFL has become a political weapon against the Second Amendment, and pushes Obamacare.
[00:46:27.207 --> 00:46:30.369]  MSNBC tells us that our children belong to the state.
[00:46:30.389 --> 00:46:37.673]  We have to break through our kind of private idea that kids belong to their parents, or kids belong to their families, and recognize that kids belong to whole communities.
[00:46:37.833 --> 00:46:41.956]  It is more important than ever to realize that we are not the alternative media.
[00:46:42.137 --> 00:46:43.858]  We are the true media.
[00:46:43.958 --> 00:46:46.540]  The establishment dinosaur press is dying.
[00:46:46.640 --> 00:46:50.283]  We are in an information war, and we are losing that war.
[00:46:50.403 --> 00:46:54.527]  Join us at InfoWarsNews.com and PrisonPlanet.tv.
[00:46:54.747 --> 00:46:57.629]  Members can share their memberships with up to 11 people.
[00:46:57.709 --> 00:47:02.073]  By subscribing, you will literally be buying war bonds in the Info War.
[00:47:02.353 --> 00:47:03.094]  We're good to go.
[00:47:28.334 --> 00:47:32.245]  Leading a frontal assault on the lies of the New World Order.
[00:47:32.846 --> 00:47:36.596]  It's Alex Jones on the GCN Radio Network.
[00:47:39.258 --> 00:47:40.638]  Welcome back to the Alex Jones Show.
[00:47:40.718 --> 00:47:41.419]  I'm David Knight.
[00:47:41.479 --> 00:47:52.682]  Now, Alex is going to be joining us in the next hour to talk about what I've just begun to talk about, and that is the dumping of illegal aliens into the United States by the Obama administration.
[00:47:52.702 --> 00:47:54.003]  That's essentially what's happening.
[00:47:54.623 --> 00:48:07.287]  Now, there was an article on Fox News about Governor Jan Brewer, governor of Arizona's reaction to the fact that so many illegal children, illegal alien children, are being brought to her state just
[00:48:08.180 --> 00:48:12.323]  This weekend, a thousand are expected to be brought from Texas to her state.
[00:48:12.343 --> 00:48:13.704]  But why are they coming in?
[00:48:13.764 --> 00:48:20.268]  Well, they're coming in because they're being told in Central and South America, take your children to the United States, they won't refuse you.
[00:48:20.348 --> 00:48:24.351]  So these parents are bringing their children in and essentially abandoning many of them.
[00:48:24.791 --> 00:48:27.353]  A very dangerous situation for them.
[00:48:28.754 --> 00:48:36.699]  Before people say that we're racist or xenophobic, I want to point out that this is something they've been doing to the third world for a very long time.
[00:48:38.620 --> 00:48:46.885]  Something that the World Bank and the IMF fund, the World Bank under Robert McNamara, basically was imploding the economies of Central and South America.
[00:48:46.945 --> 00:48:51.048]  Much of the Third World is under his oversight of the World Bank.
[00:48:51.268 --> 00:48:55.291]  What they did was they shifted from loaning money to countries right after World War II.
[00:48:57.592 --> 00:49:03.177]  To build their infrastructure, they switched to a situation where they were encouraging them to create a welfare state.
[00:49:04.017 --> 00:49:05.899]  Essentially, consumerism.
[00:49:06.239 --> 00:49:07.340]  Money that they couldn't pay back.
