[00:00:00.069 --> 00:00:01.609]  Threat to America.
[00:40:07.513 --> 00:40:08.213]  And that's key.
[00:40:09.213 --> 00:40:11.793]  And all I know is that's what Dr. Grubb's research and others show.
[00:40:12.154 --> 00:40:13.274]  All I know is it works for me.
[00:40:13.294 --> 00:40:14.734]  I mean, anybody that's seen me in person,
[00:40:16.650 --> 00:40:21.883]  Knows that you can see it on television as well, but I still stay up late and work really hard.
[00:40:23.166 --> 00:40:24.587]  But I've lost a ton of weight.
[00:40:24.627 --> 00:40:25.808]  I'm just losing more, more, more.
[00:40:26.308 --> 00:40:28.450]  I keep having to buy pant sizes going down.
[00:40:28.810 --> 00:40:30.531]  My pants are falling off of me right now.
[00:40:31.052 --> 00:40:35.235]  I've gone to that phase where, you know, there's just no fat on my chest, arms and shoulders.
[00:40:35.255 --> 00:40:37.136]  And it's just now drooping down.
[00:40:37.156 --> 00:40:42.400]  Uh, I got to like 275 pounds and I'm down like 220 pounds.
[00:40:42.440 --> 00:40:43.241]  It's just amazing.
[00:40:43.721 --> 00:40:44.322]  But I should be about 180.
[00:40:44.482 --> 00:40:52.908]  And so I've got that point just where there's like this, you know, this, this, this belly, but it's just hanging now and just, you know, he starts getting soft and just like evaporating.
[00:40:54.400 --> 00:40:56.101]  And I've been working out less than I used to.
[00:40:56.121 --> 00:41:10.030]  I mean, I used to go on like six, seven mile hike a couple days a week, swim two miles, and just changing my diet a little bit and taking some supplements, some of the InfloresHealth.com products.
[00:41:10.050 --> 00:41:11.811]  I lost about 25, 30 pounds.
[00:41:12.492 --> 00:41:14.753]  And then I kind of gained some of it back, not working out.
[00:41:14.813 --> 00:41:20.817]  And then I just, it's amazing what getting TruNation Iodine, Survival Shield X2 in my body has done.
[00:41:21.940 --> 00:41:24.442]  When you purchase the products, it funds the whole operation.
[00:41:24.802 --> 00:41:26.204]  But these really are groundbreaking.
[00:41:26.244 --> 00:41:26.964]  Take the challenge.
[00:41:26.984 --> 00:41:28.025]  You've heard the rave reviews.
[00:41:28.365 --> 00:41:30.207]  Get a bottle of Super Female for your wife.
[00:41:30.567 --> 00:41:33.309]  Get a bottle of Super Male for your husband, or vice versa.
[00:41:33.730 --> 00:41:34.430]  Try it out.
[00:41:35.872 --> 00:41:43.018]  I'll warn you, this is all certified, you know, good, what they call FDA grass, meaning it's things that are known to be safe.
[00:41:43.598 --> 00:41:43.838]  But it's
[00:42:06.581 --> 00:42:08.667]  These are not joke products.
[00:42:08.987 --> 00:42:12.858]  We want to have things that are so good, people come back over and over again.
[00:42:12.878 --> 00:42:13.780]  It's a win-win.
[00:42:15.367 --> 00:42:20.390]  Infowarslife.com or 888-253-3139.
[00:42:21.972 --> 00:42:23.833]  Also, purified water is essential.
[00:42:24.313 --> 00:42:39.143]  We have the ProPure G2 entire family, the Clearly Filtered and other brands of high-quality filters that have the highest ratings for cutting out and reducing or completely removing, depending on the toxin, at the most affordable prices.
[00:42:39.643 --> 00:42:41.765]  They're also very simple to use and portable.
[00:42:43.024 --> 00:42:48.788]  Infowarsstore.com, Infowarslife.com, or 888-253-3139.
[00:42:49.208 --> 00:42:51.550]  And again, thank you for your support.
[00:42:51.910 --> 00:42:58.295]  Thank you for spreading the word about the broadcast, showing that we can promote the truth and justice and reality and free market systems.
[00:42:59.716 --> 00:43:00.076]  All right.
[00:43:05.279 --> 00:43:05.720]  Headline.
[00:43:07.241 --> 00:43:08.742]  Infowars.com.
[00:43:08.902 --> 00:43:10.103]  General McErnie.
[00:43:11.633 --> 00:43:13.176]  We helped build ISIS.
[00:43:14.097 --> 00:43:17.944]  Weapons from Benghazi ended up in the hands of Islamic State radicals.
[00:43:19.026 --> 00:43:24.595]  Paul Joseph Watson, during an appearance on Fox News,
[00:43:25.868 --> 00:43:38.824]  General Thomas McInerney acknowledged that the United States helped build ISIS as a result of the group obtaining weapons from Benghazi consulate in Libya, which was attacked by jihadists in September 2012.
[00:43:40.305 --> 00:43:44.530]  I had Lieutenant Colonel Schaefer, who ran Black Op operations against Al Qaeda,
[00:43:45.555 --> 00:43:45.855]  I think?
[00:44:17.483 --> 00:44:19.365]  Tosh Plumlee and others, you've heard him on air.
[00:44:21.087 --> 00:44:22.929]  Google Tosh Plumlee, he's like ultra-famous.
[00:44:24.391 --> 00:44:32.140]  To the point of, from Iran-Contra hearings, church hearings, that he still flies CIA aircraft in secret operations.
[00:44:32.440 --> 00:44:34.202]  He's been doing it since the late 50s.
[00:44:34.703 --> 00:44:36.825]  That's the kind of characters there are out there from Texas.
[00:44:37.306 --> 00:44:37.906]  He's from Texas.
[00:44:38.700 --> 00:44:46.585]  I mean, he's done interviews while he's in a C-130, loaded with weapons, about to fly to the Middle East, and you go, well, why is he even allowed to operate if he's been a whistleblower twice?
[00:44:46.845 --> 00:44:54.729]  Because there's the light side of the whole operation that is mad about what's going on, and he legitimately has his job.
[00:44:55.430 --> 00:44:57.691]  And he's only gone public when it's treason.
[00:44:58.772 --> 00:45:01.213]  I mean, is it treason to give Stinger missiles to Al-Qaeda?
[00:45:04.415 --> 00:45:07.337]  He was told that by a high-level NATO official and an Army official.
[00:45:12.119 --> 00:45:16.561]  And I've basically been told that they're going to blow my head off if I keep interviewing people like Tosh Plumlee.
[00:45:16.581 --> 00:45:18.201]  Well, look, I mean, I get on the highway every day.
[00:45:18.221 --> 00:45:19.201]  I could die in a car wreck.
[00:45:20.122 --> 00:45:21.162]  I could have a stroke today.
[00:45:21.182 --> 00:45:24.143]  I mean, I'm not afraid to die.
[00:45:24.243 --> 00:45:25.464]  I don't look forward to it.
[00:45:26.184 --> 00:45:35.887]  I don't want to die, but I don't want to live as a slave in a country where our government is run by criminals that arm Al Qaeda so they can run around chopping people's heads off.
[00:45:36.908 --> 00:45:39.088]  And then you can use the Al Qaeda threat to take our freedoms.
[00:45:39.668 --> 00:45:40.789]  What I'm getting at here
[00:45:44.392 --> 00:45:54.699]  Is that it's a fact that if there is an Al-Qaeda attack in the next week, week and a half, or there is one in Europe or one six months or a year from now, they're saying it's imminent right now.
[00:45:54.719 --> 00:45:55.699]  I don't know if that's true or not.
[00:45:57.120 --> 00:45:59.182]  I know these jihadis are a real grip.
[00:45:59.322 --> 00:46:00.302]  I know they're out of their minds.
[00:46:00.663 --> 00:46:02.143]  I know there's hundreds of thousands of them.
[00:46:02.984 --> 00:46:09.188]  And I know that it was in the London Telegraph yesterday and other publications that they let them fly around Europe.
[00:46:09.428 --> 00:46:13.591]  They let them operate on Twitter and Facebook because they're a secret army of the globalists.
[00:46:15.149 --> 00:46:15.890]  So here's the deal.
[00:46:16.270 --> 00:46:18.152]  You're going to let Al Qaeda fly around and stuff?
[00:46:18.312 --> 00:46:22.396]  You're going to let me fly without putting me in a naked body scanner and grabbing my genitals.
[00:46:22.756 --> 00:46:23.797]  I've had enough of this.
[00:46:24.758 --> 00:46:25.679]  It's a fraud.
[00:46:27.580 --> 00:46:28.421]  It's a joke.
[00:46:29.722 --> 00:46:31.304]  And I'm not putting up with it anymore.
[00:46:31.784 --> 00:46:34.467]  I want my Bill of Rights and Constitution back right now.
[00:46:36.288 --> 00:46:38.450]  And the American people should be so upset about this.
[00:46:38.911 --> 00:46:41.032]  DHS says the number one enemy is who?
[00:46:42.381 --> 00:46:45.243]  You're a new lister, just search engine what I'm saying, you'll have mainstream news.
[00:46:45.823 --> 00:46:46.563]  Washington Post.
[00:46:46.923 --> 00:46:49.925]  Homeland Security stands by terror designation.
[00:46:50.926 --> 00:46:54.107]  Homeland Security stands behind Patriots as number one threat.
[00:46:56.789 --> 00:46:59.390]  Founding fathers would not be welcome in today's army.
[00:47:00.771 --> 00:47:02.111]  Fox News after we broke it.
[00:47:03.012 --> 00:47:04.112]  DOD training manual.
[00:47:04.153 --> 00:47:06.714]  Extremist founding fathers would not be welcome in today's army.
[00:47:07.074 --> 00:47:09.215]  You can read the official Department of Defense training manual.
[00:47:09.495 --> 00:47:10.496]  It's not even secret!
[00:47:12.751 --> 00:47:17.773]  Obviously, these are the bad guys trying to teach our military the founders wouldn't be welcome in our military.
[00:47:18.933 --> 00:47:20.874]  Well, that shows what our military is being turned into.
[00:47:25.496 --> 00:47:28.417]  Our government promotes open socialism and communism now.
[00:47:28.817 --> 00:47:30.058]  The borders are wide open.
[00:47:32.299 --> 00:47:38.481]  Fort Hood soldiers were told that Christians, Tea Partiers, a radical terror threat that could be court-martialed for it.
[00:47:38.841 --> 00:47:41.182]  After we broke the document, Fox News picked it up.
[00:47:42.671 --> 00:47:43.752]  We did a Part 2 article.
[00:47:43.952 --> 00:47:45.693]  In fact, click on that blue link for TV viewers.
[00:47:46.733 --> 00:47:47.473]  Fox News.
[00:47:48.554 --> 00:47:54.217]  And Fox News had a headline like, well, maybe, does Army consider Christians Tea Party a terror threat?
[00:47:54.777 --> 00:47:56.278]  Then you read it and it says that.
[00:47:56.318 --> 00:47:57.498]  It says you'll be court-martialed.
[00:47:59.520 --> 00:48:04.082]  Since when can you not be an evangelical Christian or give money to the Tea Party?
[00:48:05.011 --> 00:48:12.736]  But see, they're on MSNBC promoting, saying, Democrats, if you want free handouts and goodies, you better give money to the Democratic Party.
[00:48:13.036 --> 00:48:15.178]  Blue collar people, you better give money to the Democratic Party.
[00:48:15.458 --> 00:48:18.520]  They fundraise for the Democrats on MSNBC.
[00:48:20.921 --> 00:48:23.843]  But then, you want to be a pro-life group, just promoting don't kill babies?
[00:48:24.103 --> 00:48:26.065]  We're going to come shut you down and take your tax exemption.
[00:48:27.100 --> 00:48:28.821]  Oh, you're a Christian group?
[00:48:28.841 --> 00:48:29.502]  You're a Patriot group?
[00:48:29.742 --> 00:48:31.883]  We're going to audit every Tea Party group out there.
[00:48:32.063 --> 00:48:33.924]  Well, that's meant to intimidate you.
[00:48:34.225 --> 00:48:36.126]  But it's also meant so you can't organize.
[00:48:36.206 --> 00:48:38.267]  I mean, this is a takeover.
[00:48:38.887 --> 00:48:43.510]  And I've cut my teeth attacking Republican neocons and warmongers and the rest of them.
[00:48:43.991 --> 00:48:46.272]  The point is, is that you've got the globalists.
[00:48:46.332 --> 00:48:47.873]  It's bad enough to only have two big parties.
[00:48:48.173 --> 00:48:50.755]  They're whacking the Republican Party right now.
[00:48:51.946 --> 00:48:58.050]  And John Boehner's double dealing, making deals, playing golf with Obama, selling us out.
[00:48:58.090 --> 00:49:00.091]  It's all a big, sick joke!
[00:49:01.912 --> 00:49:03.453]  It's not enough to get rid of Eric Cantor.
[00:49:04.233 --> 00:49:08.656]  We've got to get rid of every one of these fake Republicans, and we could save this country.
[00:49:10.297 --> 00:49:19.763]  That's why the entire power structure for the 2014 elections, Republican-Democratic leadership, has everything they've got, all their big political guns, pointed directly
[00:49:21.491 --> 00:49:21.751]  I think?
[00:49:39.656 --> 00:49:46.019]  McInerney clip admitting that our government helped give missiles to Al-Qaeda.
[00:49:46.059 --> 00:49:46.459]  Here it is.
[00:49:46.879 --> 00:49:49.580]  Two different things, in the Ukraine and in Syria.
[00:49:50.320 --> 00:49:54.462]  Syria, we backed, I believe, in some cases, some of the wrong people.
[00:49:55.082 --> 00:49:58.023]  And not in the right part of the Free Syrian Army.
[00:49:58.083 --> 00:49:59.564]  That's a little confusing to people.
[00:50:00.044 --> 00:50:05.187]  So I've always maintained and go back quite some time that we were backing the wrong types.
[00:50:05.527 --> 00:50:15.772]  I think it's going to turn out maybe this weekend in a new special that Brett Baier is going to have Friday that's going to show some of those weapons from Benghazi ended up in the hands of ISIS.
[00:50:16.232 --> 00:50:17.713]  So we helped build ISIS.
[00:50:17.793 --> 00:50:23.496]  Now there's a danger there, and I'm with you, but in the Ukraine we need to show support
[00:50:24.216 --> 00:50:38.386]  In Iraq, against Syria, and in Iraq, we need to show support that we're going to go and take down, I believe, take down ISIS, and we can do that without boosting Bashar al-Assad.
[00:50:38.446 --> 00:50:41.829]  I've never heard such deceptive spin right there.
[00:50:42.730 --> 00:50:45.572]  We need to show support against Syria, ISIS.
[00:50:47.774 --> 00:50:55.502]  See, they create ISIS, arm them, protect them, try to bring down Assad with them, and now, oh, we need to attack Syria to get ISIS.
[00:50:55.542 --> 00:50:56.843]  They're going to attack Assad.
[00:50:58.144 --> 00:51:00.506]  I mean, this is just, it's just incredible what they get away with.
[00:51:01.462 --> 00:51:05.104]  Clean water at home, clean water at the office, clean water on the go.
[00:51:05.364 --> 00:51:11.287]  The Berkey Guy has a Berkey water filtration model for anywhere you are and one that fits any budget.
[00:51:11.627 --> 00:51:14.428]  Thousands of satisfied customers can't be wrong.
[00:51:14.768 --> 00:51:19.010]  For free shipping within the US, go to GoBerkey.com or call 877-886-3653.
[00:51:19.030 --> 00:51:19.230]  That's 877-886-3653.
[00:51:19.250 --> 00:51:20.711]  Helping thousands prepare since 2005.
[00:51:20.891 --> 00:51:21.231]  GoBerkey.com.
[00:51:30.998 --> 00:51:33.619]  Do you ever feel like you live in an alternate universe?
[00:51:34.079 --> 00:51:37.600]  As the stock market hits new highs, the middle class are dying.
[00:51:38.200 --> 00:51:40.960]  Manipulated financial markets and economic figures.
[00:51:41.240 --> 00:51:42.421]  Chaos on our border.
[00:51:42.861 --> 00:51:44.901]  China and Russia bypassing the dollar.
[00:51:45.381 --> 00:51:46.942]  Life is getting ready to change.
[00:51:47.302 --> 00:51:49.942]  You need to prepare to thrive in the new economy.
[00:51:50.343 --> 00:51:53.503]  Go to babyboomerbackupplan.com or call 888-507-8789.
[00:51:53.523 --> 00:51:53.923]  That's 888-507-8789.
[00:52:00.845 --> 00:52:03.406]  Hi folks, Alex Jones here with some important information.
[00:52:03.686 --> 00:52:08.528]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:52:08.788 --> 00:52:16.670]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:52:16.910 --> 00:52:21.232]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:52:21.432 --> 00:52:25.253]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:52:25.413 --> 00:52:31.114]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:52:31.354 --> 00:52:34.135]  It is rare to find companies who practice what they preach.
[00:52:34.515 --> 00:52:39.736]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[00:52:39.896 --> 00:52:47.998]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:52:48.058 --> 00:52:48.239]  That's 866-229-0927.
[00:52:54.600 --> 00:52:56.942]  Do business with someone who shares your values.
[00:52:57.223 --> 00:52:59.965]  BuyPatriotsupply.com slash Alex.
[00:53:00.366 --> 00:53:06.471]  This is an announcement for all people who want to take a risk-free challenge to whiten their teeth in five minutes.
[00:53:06.672 --> 00:53:12.097]  By calling now, you can whiten your teeth in five minutes using clinically proven power swabs.
[00:53:12.357 --> 00:53:18.723]  This risk-free challenge is for people whose smile has been yellowed by coffee, tea, red wine, or smoking.
[00:53:18.883 --> 00:53:19.684]  The power swabs
[00:53:19.804 --> 00:53:23.766]  The Power Swabs 5 Minute Challenge is available by responding to this advertisement.
[00:53:23.947 --> 00:53:25.668]  If lines are busy, try again.
[00:53:25.868 --> 00:53:30.731]  Because the Power Swabs 5 Minute Challenge is exclusive, it's not available in drugstores.
[00:53:30.931 --> 00:53:37.034]  Power Swabs was formulated by Dr. Martin Ginegar and whitens teeth with a patented tooth detergent and whitening agent.
[00:53:37.195 --> 00:53:42.017]  It's so effective, we challenge you to try it for 5 minutes to see how white your smile could be.
[00:53:42.278 --> 00:53:43.178]  Get it risk-free.
[00:53:43.258 --> 00:53:43.538]  Dial 1-800-281-6805.
[00:53:43.558 --> 00:53:43.819]  That's 1-800-281-6805.
[00:53:49.562 --> 00:53:53.308]  Transform your smile into a wow, you look great smile.
[00:53:53.328 --> 00:53:53.608]  Dial 1-800-281-6805.
[00:53:53.628 --> 00:53:53.889]  That's 1-800-281-6805.
[00:54:32.288 --> 00:54:33.548]  Sing and cry.
[00:54:34.269 --> 00:54:34.869]  Valhalla!
[00:54:34.909 --> 00:54:40.611]  Love the name Valhalla.
[00:54:40.631 --> 00:54:44.092]  If I had another daughter, maybe I'd name her Valhalla.
[00:54:44.952 --> 00:54:45.953]  Valhalla Jones.
[00:54:45.973 --> 00:54:49.614]  What do you guys think of that name for a girl?
[00:54:52.193 --> 00:54:52.713]  It'd be Val.
[00:54:52.773 --> 00:54:54.715]  They'd think her name was Valerie.
[00:54:56.536 --> 00:54:57.917]  Buckley likes the name Valhalla.
[00:54:57.937 --> 00:54:58.237]  You do?
[00:54:59.618 --> 00:55:00.019]  He likes it.
[00:55:00.239 --> 00:55:00.559]  I love it.
[00:55:02.220 --> 00:55:04.222]  Valhalla Gudur Damarong Jones.
[00:55:07.464 --> 00:55:09.265]  Let's get serious here, ladies and gentlemen.
[00:55:11.047 --> 00:55:15.850]  Venezuelan Socialist Party swaps God for Chavez prayer.
[00:55:16.791 --> 00:55:20.814]  And I knew that in some of the old Soviet republics, they would have children
[00:55:22.085 --> 00:55:48.317]  I know Cuba did this, and I talked to refugees from Venezuela, and a computer programmer that we had did some freelance work for us as well, whose parents ran a school in Venezuela, and when the government nationalized it, they basically just made them work for basically free, or they would just take it away from them, that you would set milk in front of the little kids, and cereal in the morning, well first you'd have the kids all sit down in first period, and start a school,
[00:55:49.833 --> 00:55:52.975]  And say, all right, pray to Jesus for milk and cereal.
[00:55:54.276 --> 00:56:00.700]  Oh, Jesus, please give me milk and cereal.
[00:56:01.200 --> 00:56:02.701]  Open your eyes, there's no milk and cereal.
[00:56:03.302 --> 00:56:04.503]  This is when Chavez was alive.
[00:56:06.104 --> 00:56:10.366]  Then they would pray to Chavez to give them milk and cereal, and there would be milk and cereal.
[00:56:10.687 --> 00:56:11.927]  They would then pray for their lunch.
[00:56:12.808 --> 00:56:13.668]  There would be lunch.
[00:56:15.009 --> 00:56:17.051]  And so the children learned that the state was God.
[00:56:19.906 --> 00:56:21.087]  Well, this is in Reuters now.
[00:56:22.408 --> 00:56:27.432]  Venezuelan Socialist Party swaps God for Chavez in new prayer.
[00:56:30.874 --> 00:56:34.217]  It'd be better to pray to the sun if you want to be a pagan, instead of praying to Chavez.
[00:56:34.257 --> 00:56:35.698]  At least the sun actually gives you life.
[00:56:37.059 --> 00:56:38.180]  People don't even think about the sun.
[00:56:39.608 --> 00:56:51.654]  A member of Venezuela's Socialist Party has rolled out a variation of the classic Christian Lord's Prayer to implore beloved late leader Hugo Chavez for protection from the evils of capitalism.
[00:56:53.695 --> 00:56:56.976]  Well, the only evil of capitalism is you become so wealthy your kids become spoiled brats.
[00:56:58.357 --> 00:56:58.977]  Here's the prayer.
[00:56:58.997 --> 00:57:07.922]  Our Chavez who art in heaven, the earth, the sea, and who delegates, red-shirted delegate Maria Estrella
[00:57:09.178 --> 00:57:15.460]  recited on Monday at the PSUV Party Congress, continuing with the blasphemous prayer.
[00:57:15.800 --> 00:57:16.900]  Hallowed be thy name.
[00:57:17.260 --> 00:57:21.301]  May your legacy come to us so we can spread it to people here and elsewhere.
[00:57:22.062 --> 00:57:26.543]  Give us your light to guide us every day, she said in front of an image of Chavez.
[00:57:26.603 --> 00:57:27.383]  I'm gonna vomit.
[00:57:28.503 --> 00:57:31.104]  Lead us not into temptation of capitalism.
[00:57:31.564 --> 00:57:37.706]  Deliver us from the evil of oligarchy, like the crime of contraband, because ours is the homeland.
[00:57:38.939 --> 00:57:40.861]  The peace and life forever and ever.
[00:57:41.261 --> 00:57:41.661]  Amen!
[00:57:41.761 --> 00:57:42.522]  Viva Chavez!
[00:57:42.622 --> 00:57:44.143]  She exclaimed, to applause!
[00:57:45.484 --> 00:57:49.868]  Though Chavez died of cancer in 2013, he remains omnipresent in Venezuela.
[00:57:50.248 --> 00:57:52.410]  His photos plastered all over capital Caracas.
[00:57:53.091 --> 00:58:03.559]  State TV frequently airs excerpts of his famous lengthy speeches and supporters sometimes don earrings or pendants with an artistic black and white rendition of his eyes.
[00:58:03.800 --> 00:58:04.080]  Oh man.
[00:58:05.896 --> 00:58:14.738]  And again, it's not the well-to-do, or the artisans, or all the great people of Latin America that have jobs that are being fed on by communists down there that are moving up here.
[00:58:16.139 --> 00:58:20.400]  It's all the just dumbed-down socialists that want a free ride handout.
[00:58:20.840 --> 00:58:25.421]  Don't care their standard of living has clearly gone down in the last 17 years of Chavezian rule.
[00:58:25.441 --> 00:58:27.362]  For 16 years.
[00:58:29.367 --> 00:58:31.449]  And it's all just a complete fraud and a joke.
[00:58:32.050 --> 00:58:35.472]  And the government people live in giant command bases with helicopters totally rich.
[00:58:36.373 --> 00:58:39.516]  And they're running around robbing and destroying the middle class so the country's collapsing.
[00:58:39.696 --> 00:58:41.297]  And they can't even keep the electricity on.
[00:58:41.598 --> 00:58:43.159]  Communism doesn't deliver.
[00:58:43.619 --> 00:58:45.021]  Communism doesn't deliver.
[00:58:45.501 --> 00:58:46.962]  Communism is death.
[00:58:47.102 --> 00:58:49.104]  Communism is run by offshore bankers!
[00:58:51.266 --> 00:59:01.408]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO, organic, super male vitality formula.
[00:59:01.808 --> 00:59:07.829]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:59:08.269 --> 00:59:10.509]  I jump out of bed ready to fight these criminals every day.
[00:59:10.609 --> 00:59:13.670]  I look forward to waking up and taking my super male vitality.
[00:59:13.710 --> 00:59:20.571]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWars Life.
[00:59:21.071 --> 00:59:24.573]  The government's Department of Homeland Security is buying up loads of ammo.
[00:59:24.733 --> 00:59:28.696]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:59:29.016 --> 00:59:30.457]  Can you put two and two together?
[00:59:30.777 --> 00:59:38.361]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:59:38.642 --> 00:59:39.502]  But for how long?
[00:59:39.782 --> 00:59:46.046]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:59:46.426 --> 00:59:49.248]  Infidel Body Armor just won't quit.
[00:59:54.201 --> 00:59:56.106]  Waging war on corruption.
[00:59:56.567 --> 00:59:59.374]  Alex Jones on the GCN Radio Network.
[01:00:07.270 --> 01:00:11.434]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:12.095 --> 01:00:12.896]  You want answers?
[01:00:13.676 --> 01:00:14.577]  Well, so does he.
[01:00:15.218 --> 01:00:18.842]  He's Alex Jones on the GCN Radio Network.
[01:00:19.422 --> 01:00:23.486]  And now, live from Austin, Texas, Alex Jones.
[01:00:33.914 --> 01:00:42.216]  Alright, I'm going to open the phones up right now to get your take on General McInerney admitting that the West helped build Al-Qaeda, ISIS.
[01:00:43.796 --> 01:00:48.957]  Sotloff video found by a group responsible for releasing fake Osama Bin Laden video previously.
[01:00:48.977 --> 01:00:51.238]  James Foley worked under U.S.
[01:00:51.398 --> 01:00:52.518]  aid, a known U.S.
[01:00:52.558 --> 01:00:55.479]  intelligence front, was more than just a journalist.
[01:00:57.489 --> 01:01:01.712]  Reporter groped by TSA on the way to the border, while border is wide open.
[01:01:02.232 --> 01:01:07.956]  Coming up, top expert warns of inevitable Fukushima disaster in California with reactors on fault lines.
[01:01:07.976 --> 01:01:11.359]  30 million Americans on antidepressants.
[01:01:11.539 --> 01:01:14.981]  21 other facts about America's endless pharmacological nightmare.
[01:01:16.783 --> 01:01:17.063]  U.S.
[01:01:17.143 --> 01:01:20.865]  allies have staged exercise in West Ukraine as battles rage in the east.
[01:01:21.286 --> 01:01:23.988]  Russia's strategic nuclear forces to hold major exercises.
[01:01:26.346 --> 01:01:30.148]  And judges are releasing the illegals saying come back to court in four years.
[01:01:30.168 --> 01:01:36.931]  What do you think about praying to Hugo Chavez in Reuters?
[01:01:37.271 --> 01:01:38.931]  That's some of the news I've already hit.
[01:01:42.713 --> 01:01:45.934]  We've got Jennifer Lawrence calls for probe and to leak nude photos.
[01:01:46.054 --> 01:01:47.255]  Apple investigates app.
[01:01:48.395 --> 01:01:50.596]  It's on a cloud, Jennifer Lawrence.
[01:01:51.116 --> 01:01:54.218]  You put your naked photos up on a server.
[01:01:54.977 --> 01:01:57.480]  That wasn't natively on your phone.
[01:01:59.262 --> 01:02:02.947]  It's bad enough to put it on your home computer or something, where somebody can get in and get it.
[01:02:03.227 --> 01:02:11.378]  If you don't want naked photos out there, get a regular camera with the memory card and view it on a tablet or something, not hooked to the internet.
[01:02:14.343 --> 01:02:16.224]  I don't know how else to explain this to people.
[01:02:16.604 --> 01:02:18.424]  Let's probe it!
[01:02:19.604 --> 01:02:22.965]  What are you going to think when they start taxing us by the mile in the next two years?
[01:02:23.266 --> 01:02:24.726]  That's now been announced and is official.
[01:02:25.166 --> 01:02:26.286]  This stuff's all real.
[01:02:27.427 --> 01:02:29.307]  Denying it doesn't make it go away.
[01:02:29.567 --> 01:02:33.188]  That's why I just want to get all the dirt out there, let people know what's going on.
[01:02:33.548 --> 01:02:35.329]  Not trying to be negative, it's very positive.
[01:02:36.800 --> 01:02:38.082]  It's like Lansing Aboyle.
[01:02:38.643 --> 01:02:43.009]  Or if you've got an infected toothy jerukinal, you know, getting the tooth fixed.
[01:02:43.610 --> 01:02:46.875]  We need to admit we've got a big pus-filled root.
[01:02:48.477 --> 01:02:48.998]  Get in there.
[01:02:49.018 --> 01:02:51.261]  And clean it out.
[01:02:51.922 --> 01:02:52.764]  Or pull that tooth.
[01:02:55.575 --> 01:03:06.620]  And I just physically, socially, spiritually feel the big rotting tooth and the big abscess in our cultural jaw, and I want that sucker out of there!
[01:03:07.620 --> 01:03:15.724]  Doesn't mean everything's going to be perfect, doesn't mean we won't get another political toothache down the road.
[01:03:17.022 --> 01:03:39.329]  But we need to get that big, scrofulous-filled, pus-filled, new-older tooth out of there, or the disease will rot into the entire jaw, get into the sinus, and we will get some type of bacterial meningitis of the political brain, which we already have, and then we'll be in a coma, and then the kidneys will fail, and the whole society's going to go down.
[01:03:41.530 --> 01:03:45.931]  And the globalists have decided they're going to just perch on the dead body and somehow get sustenance out of that.
[01:03:49.011 --> 01:03:51.972]  I'm using this analogy because I think it makes sense.
[01:03:52.352 --> 01:03:55.393]  Toll-free number to join us on the waterfront.
[01:03:55.433 --> 01:03:56.193]  Wide open phones.
[01:03:56.233 --> 01:03:56.993]  First-time callers.
[01:03:57.333 --> 01:03:58.194]  Long-time callers.
[01:03:58.574 --> 01:04:00.454]  Any subject you want to raise, just be ready.
[01:04:00.874 --> 01:04:01.234]  Focus.
[01:04:01.254 --> 01:04:02.215]  We don't screen your calls.
[01:04:02.535 --> 01:04:03.415]  Have your point ready.
[01:04:03.435 --> 01:04:03.535]  800-259-9231.
[01:04:03.555 --> 01:04:03.615]  800-259-9231.
[01:04:03.655 --> 01:04:06.236]  Remember Jamie Foxx?
[01:04:14.838 --> 01:04:15.759]  He prayed to Obama.
[01:04:15.799 --> 01:04:18.662]  He said, thank God, thank Obama for everything.
[01:04:19.062 --> 01:04:19.943]  Our Lord and Savior.
[01:04:20.283 --> 01:04:21.624]  Barack Obama, Barack Obama.
[01:04:22.125 --> 01:04:23.146]  Maybe I'm an extremist.
[01:04:23.166 --> 01:04:26.228]  Maybe it's racist that I don't pray to Hugo Chavez.
[01:04:29.091 --> 01:04:30.212]  I just can't get over the prayer.
[01:04:30.572 --> 01:04:31.754]  Hallowed be thy name.
[01:04:32.094 --> 01:04:35.097]  May your legacy come to us so we can spread it to the people here and elsewhere.
[01:04:35.517 --> 01:04:37.399]  Give us your light to guide us every day.
[01:04:38.905 --> 01:04:40.347]  Lead us not into temptation.
