[00:00:00.109 --> 00:00:00.550]  Big Brother!
[00:43:26.321 --> 00:43:27.083]  It's a clear sky.
[00:43:27.103 --> 00:43:28.425]  There's not even fake clouds.
[00:43:28.525 --> 00:43:30.669]  It's just complete blueness and it's warm.
[00:43:30.689 --> 00:43:30.749]  Err.
[00:43:32.681 --> 00:43:34.182]  How about you, Nicholas?
[00:43:34.622 --> 00:43:35.062]  Refreshed.
[00:43:35.082 --> 00:43:37.003]  It was really good to get some good sleep last night.
[00:43:37.363 --> 00:43:40.004]  We doubled up on sleeping bags, so we actually stayed pretty warm.
[00:43:40.024 --> 00:43:40.705]  It wasn't too bad.
[00:43:40.765 --> 00:43:42.385]  Got some face masks from supporters.
[00:43:42.405 --> 00:43:43.326]  It was really nice.
[00:43:43.986 --> 00:43:44.246]  All right.
[00:43:44.346 --> 00:43:54.410]  I want to have Josh, who's out there, or is it John Bowne with you, pan around and show the crowd that's behind you, because I heard them cheering earlier.
[00:43:54.430 --> 00:43:58.752]  And tell folks to cheer for getting the deadly poison out of our water.
[00:43:59.072 --> 00:43:59.953]  Come on, folks!
[00:44:00.013 --> 00:44:00.513]  Yeah!
[00:44:01.333 --> 00:44:18.246]  That's awesome and again I hear a lot of trucks honking we need more people to show up down there and everybody needs to be down there tomorrow at 1230 is when we need people to come out as well against fluoride and who's this young man?
[00:44:18.647 --> 00:44:20.328]  I've got a thought criminal right here.
[00:44:20.928 --> 00:44:26.593]  This is Alex Cobb and he might be giving little Jones a run for his money in his show of patriotism here.
[00:44:26.993 --> 00:44:30.636]  Why do you want to let the world know what's wrong with fluoride?
[00:44:32.313 --> 00:44:38.637]  Because we don't want our pets drinking poison.
[00:44:41.998 --> 00:44:42.419]  Exactly.
[00:44:42.459 --> 00:44:45.620]  Hey, that's a good angle with the trendies explaining that it really hurts animals.
[00:44:45.960 --> 00:44:50.223]  Because the trendies hate humans, but if we explain it's being done to dogs and cats, now that's an idea.
[00:44:50.283 --> 00:44:50.583]  Go ahead.
[00:44:51.043 --> 00:44:51.824]  Let's see your sign.
[00:44:55.606 --> 00:44:57.267]  He's got his little homemade sign that says,
[00:44:58.646 --> 00:45:00.007]  There's poison in our water!
[00:45:00.407 --> 00:45:02.388]  We don't want our pets to drink poison!
[00:45:03.129 --> 00:45:08.272]  And this guy actually just schooled me and he recited some of the Bill of Rights.
[00:45:08.312 --> 00:45:09.432]  He gave me my amendments.
[00:45:10.453 --> 00:45:11.214]  Doing his thing.
[00:45:11.254 --> 00:45:12.554]  Guys, why are you out here?
[00:45:13.575 --> 00:45:15.316]  What do you think about the poison in tap water?
[00:45:15.796 --> 00:45:16.577]  I think it's horrible.
[00:45:17.603 --> 00:45:19.024]  We're being forcibly medicated.
[00:45:19.125 --> 00:45:20.326]  It's just absolutely horrible.
[00:45:20.346 --> 00:45:21.367]  I don't know why they're doing it.
[00:45:21.907 --> 00:45:24.390]  I mean... Because they love us?
[00:45:24.670 --> 00:45:26.191]  Because they love you.
[00:45:26.712 --> 00:45:27.893]  They hate us, actually.
[00:45:28.333 --> 00:45:29.294]  They hate humanity.
[00:45:29.815 --> 00:45:34.019]  It's... I mean, there's Harvard studies that have proven that it's lowering our IQs.
[00:45:34.079 --> 00:45:36.481]  It's giving us all sorts of cancers.
[00:45:36.701 --> 00:45:37.602]  I don't know why it's in there.
[00:45:37.622 --> 00:45:39.624]  I mean... Who can explain to us?
[00:45:39.784 --> 00:45:41.305]  I want to have a conversation with...
[00:45:42.705 --> 00:45:45.267]  The city council members, why aren't they out here talking to us?
[00:45:45.908 --> 00:45:49.391]  They haven't answered any questions about why there's Florida in the water.
[00:45:49.411 --> 00:45:50.392]  You know, that's a good idea.
[00:45:50.452 --> 00:45:59.059]  I think everybody should stay out there until noon and then it's your city, it's your city council, you should all go into the city building and try to go to their offices and talk to them.
[00:45:59.139 --> 00:46:06.626]  Leanne, you could pop in at the bottom of the next hour, you and John Bowne, and you could go in and demand to talk to Mayor Lee Leffingwell.
[00:46:07.262 --> 00:46:07.742]  Exactly.
[00:46:07.802 --> 00:46:15.346]  Well, the City Council, they're quite aware that these guys are out here, that they're on day nine of their hunger strike, and they're pretty much just put their blinders up.
[00:46:15.386 --> 00:46:20.808]  They don't want to draw any attention to the fact that people in America are on a hunger strike.
[00:46:20.868 --> 00:46:22.109]  I mean, that is unheard of.
[00:46:22.149 --> 00:46:27.151]  It's just like when the guy self-emulated on the lawn.
[00:46:27.571 --> 00:46:29.893]  Emulation, I think is the word.
[00:46:29.913 --> 00:46:30.673]  I can't even say it.
[00:46:31.195 --> 00:46:35.258]  And the mainstream media was like, oh, some guy just set himself on fire at the D.C.
[00:46:35.318 --> 00:46:36.099]  Memorial today.
[00:46:36.239 --> 00:46:37.540]  No, this is real.
[00:46:37.600 --> 00:46:39.161]  People in America are getting tired.
[00:46:39.501 --> 00:46:41.963]  It doesn't matter how much fluoride you put in our water.
[00:46:42.003 --> 00:46:43.584]  You're not going to make us all docile.
[00:46:43.624 --> 00:46:44.605]  We're not going to sit around.
[00:46:44.625 --> 00:46:45.906]  We're not going to take it anymore.
[00:46:45.926 --> 00:46:48.008]  This is what we need to show these people.
[00:46:49.549 --> 00:46:51.090]  Have you seen the warning label?
[00:46:54.717 --> 00:46:56.078]  Have you seen the warning label?
[00:46:56.538 --> 00:46:57.979]  Hey, wait a minute!
[00:46:58.019 --> 00:47:03.881]  That's how they shut down a lot of the things in Tennessean places whenever they're sick and tired of trying to raise taxes.
[00:47:04.141 --> 00:47:12.805]  We should ask all the truck drivers on I-35 and everybody else, I know you're getting gouged, you can barely afford the gas, they got police checkpoints, a white glove inspecting you.
[00:47:12.825 --> 00:47:15.946]  We need all the truckers, everybody else to go drive around the
[00:47:18.027 --> 00:47:26.349]  City headquarters, the city hall, to drive around Cesar Chavez and La Vaca in circles honking their horns until five o'clock.
[00:47:26.969 --> 00:47:30.610]  Even if you're on the other side of town, folks, just come do it randomly at different times.
[00:47:30.890 --> 00:47:32.490]  Do four or five circles honking.
[00:47:32.790 --> 00:47:33.851]  Let's do it right now.
[00:47:34.251 --> 00:47:40.052]  Everybody start driving around in circles honking around the building to let the criminals inside know
[00:47:40.492 --> 00:47:49.399]  We're not going to put up with them paying mafia groups to put $1,100,000 a year of deadly poison in the water from Communist China.
[00:47:49.419 --> 00:47:50.560]  Go ahead, Leanne McAdoo.
[00:47:52.001 --> 00:47:52.461]  Exactly.
[00:47:52.481 --> 00:47:59.407]  We are paying $800,000 a year for the city of Austin to put hydrofluorosilicic acid... Well, they must have lowered the price.
[00:47:59.427 --> 00:48:00.187]  Well, that's a deal then.
[00:48:01.542 --> 00:48:07.046]  I feel like we're paying them to only put 0.7 parts per million in the water and not any more.
[00:48:07.686 --> 00:48:14.230]  If you look at the warning label, for those on the radio, we've actually tweeted this out at the InfoWars reports.
[00:48:14.270 --> 00:48:16.092]  If you're on Twitter, you can see the warning label.
[00:48:16.492 --> 00:48:17.613]  It says, Poison!
[00:48:17.673 --> 00:48:18.773]  It's got the skull and bones.
[00:48:18.834 --> 00:48:19.934]  Do not take internally.
[00:48:20.034 --> 00:48:22.256]  Avoid contact with skin, eyes, mouth, clothing.
[00:48:22.296 --> 00:48:23.156]  Avoid breathing.
[00:48:23.637 --> 00:48:26.178]  Use rubber gloves, respirators, all that.
[00:48:26.238 --> 00:48:28.380]  And then up here in the small print in the corner,
[00:48:28.900 --> 00:48:30.902]  Directions for water fluoridation.
[00:48:31.463 --> 00:48:31.763]  What?
[00:48:32.263 --> 00:48:33.605]  That is insane!
[00:48:33.885 --> 00:48:34.946]  How do they get away with it?
[00:48:34.966 --> 00:48:39.050]  Well, they say don't swallow any of the toothpaste or call poison control immediately.
[00:48:39.070 --> 00:48:41.172]  Then it becomes obvious it's a poison.
[00:48:41.272 --> 00:48:45.837]  Only take a little bit every day, so you'll quietly die later and no one will know why.
[00:48:46.972 --> 00:48:54.400]  Exactly, and there are groups that are working here to try and get the city to put a warning label on the water, and that's one good first step.
[00:48:54.780 --> 00:48:56.562]  But this is an election year.
[00:48:56.642 --> 00:49:05.251]  This is a time for people to really take a stand and let our representatives know that if they are not actually representing us, we're going to get them out of there.
[00:49:05.291 --> 00:49:06.112]  We're voting them out.
[00:49:06.172 --> 00:49:07.093]  And I totally agree.
[00:49:07.153 --> 00:49:09.454]  And again, this is bigger than Austin, bigger than the U.S.
[00:49:09.774 --> 00:49:15.037]  In Europe, in Canada, in Australia, they're removing the fluoride out of the water in major cities.
[00:49:15.397 --> 00:49:21.400]  Then the feds are coming in and paying millions of dollars in lobbying, in the case of Tampa, to put the fluoride back in.
[00:49:21.480 --> 00:49:22.921]  Now they're voting to remove it again.
[00:49:23.241 --> 00:49:26.823]  The battle goes back and forth, but resistance is victory.
[00:49:27.083 --> 00:49:30.905]  Tell folks I want to hear their victory roar against those criminals inside there!
[00:49:36.638 --> 00:49:39.119]  All right, pan around.
[00:49:39.159 --> 00:49:40.839]  More people are starting to show up out there.
[00:49:41.239 --> 00:49:42.940]  What are there, about 20 people out there, Leigh Ann?
[00:49:43.460 --> 00:49:44.600]  I'd say there are about 30 now.
[00:49:44.640 --> 00:49:49.602]  We've actually got some people passing out flyers on opposite corners so we can hit up all the cars.
[00:49:50.182 --> 00:49:51.562]  It's kind of a five-way.
[00:49:51.582 --> 00:49:53.003]  You're engaging in First Amendment?
[00:49:53.023 --> 00:49:53.983]  That should be banned.
[00:49:54.043 --> 00:49:54.763]  How dare you?
[00:49:54.983 --> 00:49:56.203]  That's what we're doing out here.
[00:49:56.303 --> 00:50:01.425]  We are addressing, redressing our grievances.
[00:50:02.321 --> 00:50:06.463]  Yeah, I want big trucks driving in circles around there, laying on their horns.
[00:50:07.263 --> 00:50:17.608]  And if people do this all day, just truck drivers, as you come down by downtown, do five circles, if you're on I-35 anywhere, and citizens, you name it, drive in circles around there.
[00:50:17.908 --> 00:50:20.189]  Let's start honking and then let's do it all tomorrow.
[00:50:20.429 --> 00:50:30.073]  Let's converge at 12.30 noon with your cars to drive for at least 10 minutes around it, honking to let the scum inside know that we're aware of their criminal activities.
[00:50:30.649 --> 00:50:35.595]  And it's so encouraging to all of our listeners that are driving by, people that are slowly trickling in.
[00:50:35.655 --> 00:50:39.841]  It is so encouraging when you're standing out here, nine days of a hunger strike.
[00:50:40.361 --> 00:50:44.366]  At first it started out, you too, you know, they were just sitting here, you know, by themselves.
[00:50:44.446 --> 00:50:45.608]  And you ran into them, Leigh-Anne.
[00:50:45.988 --> 00:50:47.289]  Yeah, and now look at this.
[00:50:47.369 --> 00:50:48.890]  The crowd is slowly growing.
[00:50:48.950 --> 00:51:03.940]  It's only going to encourage these guys who are planning on being out here on a hunger strike until the 23rd of January so that they can go to the first City Council meeting and bring this up, which I'm pretty sure the City Council plans on trying to ignore this and not bring it up.
[00:51:03.960 --> 00:51:04.221]  Sure, sure.
[00:51:04.321 --> 00:51:06.222]  I want to talk to more of the people when we come back.
[00:51:06.522 --> 00:51:08.043]  How dare her say fluoride's bad?
[00:51:08.083 --> 00:51:08.844]  Radiation's good too.
[00:51:10.191 --> 00:51:11.832]  Introducing Pro-1.
[00:51:12.092 --> 00:51:15.593]  All of your filtration in one system, portable, on-the-go.
[00:51:15.733 --> 00:51:20.134]  No more do you have two or three filters to just reduce sodium fluoride.
[00:51:20.294 --> 00:51:26.256]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:51:26.376 --> 00:51:37.159]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:51:37.379 --> 00:51:43.683]  It is the only one that does it and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:51:43.863 --> 00:52:00.852]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:52:01.173 --> 00:52:05.535]  Get your Pro-Pure with the new Pro-1 filters today at Infowarstore.com.
[00:52:05.775 --> 00:52:07.696]  We're by calling 888-253-3139.
[00:52:10.316 --> 00:52:16.478]  Ladies and gentlemen, America is more dangerous than ever with 9 million property crimes last year.
[00:52:16.918 --> 00:52:18.899]  Crimes are happening every day.
[00:52:19.399 --> 00:52:22.080]  Be proactive and protect your home and family.
[00:52:22.420 --> 00:52:27.101]  Simply Safe Home Security System helps guard against criminals, thugs, and thieves.
[00:52:27.501 --> 00:52:32.863]  Listen, SimpliSafe is the absolute best alarm system and company in America today.
[00:52:33.183 --> 00:52:33.984]  Here's why.
[00:52:34.244 --> 00:52:36.525]  We offer a 60-day money-back guarantee.
[00:52:36.845 --> 00:52:42.067]  It's affordable, no contracts to sign, and is built with the latest wireless technology.
[00:52:42.387 --> 00:52:48.150]  SimpliSafe protects the ones you love the most, even if a criminal cuts your power and phone lines.
[00:52:48.430 --> 00:52:53.112]  When you order today, you'll receive a 10% discount along with a free keychain remote.
[00:52:53.312 --> 00:52:53.772]  Don't wait!
[00:52:53.972 --> 00:52:55.973]  This offer is only valid through January 31st.
[00:52:56.533 --> 00:53:00.982]  Just take advantage of this special discount offer at GetSimplySafe.com.
[00:53:01.263 --> 00:53:03.327]  That's GetSimplySafe.com.
[00:53:03.527 --> 00:53:07.556]  Protect your home and family now at GetSimplySafe.com.
[00:53:09.446 --> 00:53:12.048]  Get the Ultimate Knife at the Ultimate Price!
[00:53:12.268 --> 00:53:13.830]  The Fox Karambit Knife!
[00:53:13.930 --> 00:53:15.531]  Finally available in the US!
[00:53:15.611 --> 00:53:19.755]  The Fox Karambit Knife opens with one hand faster than you can pull a handgun!
[00:53:19.875 --> 00:53:23.838]  For utility, for defense, and for way less than other knives of this caliber!
[00:53:23.898 --> 00:53:26.020]  Go to TheUltimateKnife.com!
[00:53:26.080 --> 00:53:28.001]  Truly the best knife you will ever own!
[00:53:28.122 --> 00:53:30.944]  And only available at TheUltimateKnife.com!
[00:53:31.084 --> 00:53:33.506]  Use promo code RADIO at checkout for free shipping!
[00:53:33.606 --> 00:53:36.068]  Get the Ultimate Knife at the Ultimate Price!
[00:53:36.428 --> 00:53:37.749]  At TheUltimateKnife.com!
[00:53:40.131 --> 00:53:44.033]  Plant a healthy garden easy and fast with OrganicaSeed.com.
[00:53:44.413 --> 00:53:54.819]  Easy because OrganicaSeed.com offers one of the largest online selections of organic, heirloom, non-hybrid, and untreated seeds, as well as tobacco and cotton seeds at low prices.
[00:53:55.159 --> 00:53:56.940]  Go to OrganicaSeed.com.
[00:53:57.180 --> 00:54:01.742]  Spelled O-R-G-A-N-I-C-A Seed.com.
[00:54:02.082 --> 00:54:03.563]  OrganicaSeed.com.
[00:54:03.923 --> 00:54:06.585]  Remember, OrganicaSeed is healthy seed.
[00:54:14.054 --> 00:54:15.515]  All right, folks.
[00:54:15.675 --> 00:54:16.796]  We are back live.
[00:54:43.388 --> 00:54:49.371]  And we've got the crew down there on the streets here in Austin, Texas, where we broadcast from worldwide.
[00:54:49.731 --> 00:54:53.193]  Leanne McAdoo and John Bowne are down there reporting.
[00:54:53.913 --> 00:54:57.315]  She'll be back on tomorrow at 12.30 Central.
[00:54:57.335 --> 00:54:59.236]  More trucks and cars are driving around honking.
[00:54:59.576 --> 00:55:03.218]  More people are showing up surrounding the building handing out flyers.
[00:55:04.318 --> 00:55:08.239]  And of course they're down there in record cold temperatures here in Austin, Texas.
[00:55:08.259 --> 00:55:13.200]  There's a hunger strike going on and folks staying out there 24 hours a day to draw attention.
[00:55:14.160 --> 00:55:27.403]  Now the people inside the building know if we ever expose that eugenics never ended and is ongoing with forced medication with a deadly poison to brain damage us and give us cancer, then the whole house of cards falls that they were a nanny state that loved us.
[00:55:27.843 --> 00:55:30.343]  No, they're authoritarian dirtbag scum.
[00:55:31.183 --> 00:55:32.364]  Leanne, any other points?
[00:55:32.424 --> 00:55:33.804]  And who's this gentleman you're standing with?
[00:55:34.537 --> 00:55:43.479]  Well, first of all, I think it's ridiculous that people are still looking to the mainstream media and to the government to give us the official count on the radiation poisoning.
[00:55:43.539 --> 00:55:46.480]  I mean, they are actively poisoning our drinking water.
[00:55:46.540 --> 00:55:54.282]  Do we really expect that they're going to tell us about how deadly the radiation is, that we're going to be Geiger countering on the beach in California in a day?
[00:55:54.722 --> 00:55:55.462]  It's ridiculous.
[00:55:56.616 --> 00:55:58.617]  I'm standing here with Scottish John.
[00:55:59.077 --> 00:56:00.258]  Hello Alex, how you doing pal?
[00:56:00.278 --> 00:56:02.099]  Oh hey, how you doing buddy?
[00:56:02.139 --> 00:56:02.899]  I've met you before.
[00:56:02.919 --> 00:56:07.981]  But here, in the land of the free and home of the brave, I didn't come to live as a slave.
[00:56:08.382 --> 00:56:17.526]  And those magnificent seven deadly sins, with their fat fluoride free butts on that bench in City Hall, need to leave town and take the fluoride with them.
[00:56:17.906 --> 00:56:18.606]  End of message.
[00:56:18.666 --> 00:56:19.567]  All the best to you pal.
[00:56:19.867 --> 00:56:21.729]  Hey, Leanne, I want you to get his name and number.
[00:56:21.769 --> 00:56:23.470]  I've run into him four or five times over the years.
[00:56:23.490 --> 00:56:25.032]  I want that guy to cut ads for us.
[00:56:25.532 --> 00:56:27.514]  You cannot ignore that great accent.
[00:56:28.074 --> 00:56:29.475]  I've heard him all day.
[00:56:29.495 --> 00:56:30.376]  That's wonderful.
[00:56:31.277 --> 00:56:32.098]  And here's Eric.
[00:56:32.138 --> 00:56:32.778]  Look at this guy.
[00:56:32.798 --> 00:56:37.963]  He's got his filtered water and his nascent iodine.
[00:56:39.004 --> 00:56:40.385]  That's a terrorist right there.
[00:56:41.246 --> 00:56:42.387]  He is a terrorist.
[00:56:43.456 --> 00:56:44.417]  Eric, why are you out here?
[00:56:44.818 --> 00:56:50.964]  Just to remind and, you know, support everybody that we're under attack and, you know, it's time to stand up and, you know, get this fluoride.
[00:56:51.164 --> 00:56:55.208]  Especially from our kids, it's our future and, you know, everybody for that matter.
[00:56:55.809 --> 00:56:59.232]  And detox ourselves, and that's what I'm using, this nason iodine.
[00:56:59.713 --> 00:57:01.214]  Wow, we even got product placement.
[00:57:01.234 --> 00:57:01.935]  Well, thank you, brother.
[00:57:01.975 --> 00:57:02.376]  God bless you.
[00:57:02.396 --> 00:57:03.637]  That's how we fund the operation.
[00:57:03.937 --> 00:57:04.478]  Dangerous!
[00:57:04.518 --> 00:57:05.680]  He's a free thinker.
[00:57:05.880 --> 00:57:07.443]  That's very, very dangerous.
[00:57:07.463 --> 00:57:07.984]  Incredible!
[00:57:08.004 --> 00:57:15.696]  Well, tell folks, great job from me, Leanne, and we're going to be back with you tomorrow at 12.30 in the middle of the show, and the crowd will only build.
[00:57:15.716 --> 00:57:18.841]  Thank you so much, Leanne McAdoo and John Bowne for InfoWars.com.
[00:57:20.188 --> 00:57:20.828]  Yeah!
[00:57:21.569 --> 00:57:23.670]  All right, pan around, show the folks that are gathering there.
[00:57:23.690 --> 00:57:26.371]  There's more folks behind right there.
[00:57:26.411 --> 00:57:29.673]  He'll pan around towards the back, towards the other side.
[00:57:30.113 --> 00:57:32.654]  And they got people going around the building and cars driving around.
[00:57:32.694 --> 00:57:35.115]  Honk, you want to see a lot more people out there tomorrow at 1230.
[00:57:35.796 --> 00:57:38.997]  But they were saying people are coming down there continually giving them support.
[00:57:39.358 --> 00:57:40.498]  So, wonderful job.
[00:57:40.558 --> 00:57:41.178]  Thank you all.
[00:57:41.719 --> 00:57:48.002]  And again, folks, if we ever get people caring about what's happening, if we ever force the issue, we're going to turn the entire tide.
[00:57:49.244 --> 00:57:54.713]  We are already getting fluoride taken out of hundreds of towns, dozens and dozens of major cities in the U.S.
[00:57:54.773 --> 00:57:55.074]  alone.
[00:57:55.835 --> 00:57:56.396]  It's happening.
[00:57:57.337 --> 00:57:57.918]  It's happening.
[00:57:59.008 --> 00:58:00.429]  And lawsuits are being filed.
[00:58:00.449 --> 00:58:02.071]  You name it, we are taking action.
[00:58:02.431 --> 00:58:15.141]  Briefly, speaking of fluoride, we developed the nascent iodine with five other things like shilajit and other stuff that is known to draw fluoride heavy metals out of the body and to block radioactive isotopes going into the glands.
[00:58:15.562 --> 00:58:22.568]  And that's what the fluoride shield in the double the size bottle than the survival shield is at InfoWarsLife.com.
[00:58:22.628 --> 00:58:23.749]  We will sell out today.
[00:58:24.569 --> 00:58:29.430]  Of the nascent iodine survival shield that we have, but more comes in in a few weeks.
[00:58:29.450 --> 00:58:32.731]  You can still order it and then it'll ship out as soon as it comes in.
[00:58:32.791 --> 00:58:38.293]  But if you want the survival shield or the fluoride shield, that's also how we fund a lot of our operation here while helping folks.
[00:58:38.313 --> 00:58:39.013]  It's a win-win.
[00:58:39.313 --> 00:58:47.716]  Infowarslife.com or call toll-free 888-253-3139 and check out our Patriot Blend Mexican Coffee.
[00:58:47.736 --> 00:58:51.597]  Thank you for listening to GCN.
[00:58:53.955 --> 00:58:56.237]  Visit GCNlive.com today.
[00:58:59.180 --> 00:59:04.566]  In the last 50, why does the United States spend the largest percentage of GDP in the world on healthcare?
[00:59:04.706 --> 00:59:07.689]  Why do we have the highest cancer rates on the planet?
[00:59:07.849 --> 00:59:13.075]  The highest rates of diabetes, autism, and every other major disease.
[00:59:13.395 --> 00:59:14.977]  It all comes down to one thing.
[00:59:15.317 --> 00:59:16.638]  We are what we eat.
[00:59:16.958 --> 00:59:21.280]  Our food is devoid of nutrition and processed with poisons and additives.
[00:59:21.620 --> 00:59:25.622]  Our water is filled with toxic poisons and Big Pharma runoff.
[00:59:25.842 --> 00:59:28.183]  All of this has been engineered by design.
[00:59:28.403 --> 00:59:34.326]  We can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs.
[00:59:34.626 --> 00:59:37.368]  To learn more, visit InfoWarsHealth.com.
[00:59:37.588 --> 00:59:44.411]  The site is literally packed with audio and video featuring top health professionals who don't bow down to Big Pharma.
[00:59:44.651 --> 00:59:50.474]  The fight against the New World Order starts with you, and you can't stand against the machine of your sick, tired, and obese.
[00:59:50.694 --> 00:59:56.637]  When you visit Infowarshealth.com, be sure and check out the catalog, with nearly 400 life-changing products.
[00:59:56.877 --> 00:59:59.418]  And get free shipping when you sign up for AutoShip.
[01:00:03.000 --> 01:00:04.941]  Waging war on corruption.
[01:00:05.401 --> 01:00:08.143]  Alex Jones, on the GCM Radio Network.
[01:00:14.887 --> 01:00:15.507]  Big Brother.
[01:00:16.188 --> 01:00:17.228]  Mainstream media.
[01:00:17.969 --> 01:00:19.069]  Government cover-ups.
[01:00:19.729 --> 01:00:20.530]  You want answers?
[01:00:21.310 --> 01:00:22.251]  Well, so does he.
[01:00:22.851 --> 01:00:26.493]  He's Alex Jones on the GCN Radio Network.
[01:00:27.053 --> 01:00:31.115]  And now, live from Austin, Texas, Alex Jones.
[01:00:41.480 --> 01:00:43.803]  Alright, we're now into our number two.
[01:00:44.864 --> 01:00:58.141]  We've got Dr. Busby joining us at the start of the next segment to get into the five-fold radiation increase being picked up and confirmed by California Health Departments.
[01:00:59.082 --> 01:01:03.324]  That is coming up at the start of the next segment.
[01:01:03.364 --> 01:01:14.070]  When he leaves us at about 40 after or so, I will then get into the Obamacare news, the smartphone news, that it's been proven in studies to be interrupting your sleep.
[01:01:15.331 --> 01:01:16.572]  And I'm going to explain how it's doing that.
[01:01:17.032 --> 01:01:20.414]  Not just the texting or the messages coming in, buzzing and waking you up.
[01:01:20.874 --> 01:01:23.536]  I noticed this years ago and so put the phone out of the room or turned it off.
[01:01:24.557 --> 01:01:35.223]  But it's also when the towers are checking with it, peeing, it's sending in microwave radiation enough to actually stimulate the brain and to disrupt your sleep patterns.
[01:01:35.243 --> 01:01:37.164]  That's what wireless is doing as well.
[01:01:37.544 --> 01:01:39.045]  And we're just hammered by it.
[01:01:39.665 --> 01:01:40.365]  At every level.
[01:01:40.405 --> 01:01:46.268]  So we're going to be looking into that and the record cold temperatures all across the United States.
[01:01:47.028 --> 01:01:49.149]  This story I've mentioned, but I want to get into this now.
[01:01:49.309 --> 01:01:52.531]  MSNBC pundit calls on Obama to govern by decree.
[01:01:52.551 --> 01:01:55.912]  They're already governing by decree with banker bailouts and wars.
[01:01:57.333 --> 01:01:58.893]  Carbon taxes and all the rest of it.
[01:01:59.473 --> 01:02:03.174]  Academic who compared Eric Holder to Moses demands a raft of executive orders.
[01:02:03.854 --> 01:02:13.917]  MSNBC pundit Michael Eric Dyson has called on Obama to dispense with the obstructionist Congress and instead pursue his agenda via an aggressive raft of executive orders.
[01:02:14.357 --> 01:02:15.397]  Well, you can't do that.
[01:02:16.397 --> 01:02:17.557]  But he is already doing that.
[01:02:17.737 --> 01:02:24.839]  So, remember Obama five years ago would say, now I gotta follow the law, I can't do whatever I want, and boy I wish I didn't have to, I'll do whatever I have to.
[01:02:26.243 --> 01:02:29.452]  And if they can set the precedent, Obama will leave office probably.
[01:02:30.214 --> 01:02:32.179]  But the precedent will be set.
[01:02:34.249 --> 01:02:38.853]  To be able to have presidents basically be dictators.
[01:02:39.514 --> 01:02:42.536]  And that's what's being done here, so here is a clip of that.
[01:02:43.137 --> 01:02:50.363]  This president has the bully pulpit, he has the will of the American people, so many of us who stand behind him, and I think that he's got a trudge forward.
[01:02:50.403 --> 01:03:01.373]  Now it's true that this do-nothing obstructionist Congress on the one hand can tie his hand, but there are enough executive orders he can achieve on one hand, and also getting out there rallying the troops, so to speak.
[01:03:01.773 --> 01:03:09.396]  Using the brilliant oratorical skills he has to be able to enliven, edify, and encourage American citizens to go to the polls.
[01:03:10.357 --> 01:03:14.759]  Rally the idiot supporters who went and tried to sign up in the exchanges.
[01:03:15.799 --> 01:03:25.583]  And it's so expensive that... Well, number one, you can't even sign up most of the time, but if you can, it's double, triple, quadruple, or five times the cost in some cases.
[01:03:26.624 --> 01:03:29.865]  Rally the idiot troops who've already been absolutely bamboozled.
[01:03:31.069 --> 01:03:34.312]  And again, I'm not saying John McCain would have been good, or even Mitt Romney.
[01:03:34.352 --> 01:03:39.716]  The point is, is that the selected one that the establishment wanted was Obama.
[01:03:40.077 --> 01:03:42.238]  The media, the big banks, the mega elite.
[01:03:42.959 --> 01:03:48.183]  Because he could push the bull more, create more division, bamboozle his supporters better.
[01:03:49.124 --> 01:03:55.590]  While he does every horrible thing that you could ever imagine across the board.
[01:03:56.966 --> 01:03:59.629]  And it just gets worse and worse and worse.
[01:04:00.069 --> 01:04:02.672]  And, you know, they just want you to go pay the fee.
[01:04:03.052 --> 01:04:04.614]  Pay the $5,000 a year.
[01:04:04.654 --> 01:04:05.815]  It's even more for a family.
[01:04:06.676 --> 01:04:07.977]  That's why they don't even let you sign up.
[01:04:07.997 --> 01:04:09.639]  They're just going to take it out of your bank account anyways.
[01:04:10.500 --> 01:04:17.788]  All this law really did was act as a smokescreen for insurance companies to force you to buy their product and be able to collude to charge you whatever they want.
[01:04:18.615 --> 01:04:22.116]  But obviously you've got to opt out of it because it's nothing but a data mining scam.
[01:04:22.396 --> 01:04:24.217]  There's an article up on InfoWars.com.
[01:04:24.277 --> 01:04:28.258]  Drudge, I've opted out of Obamacare for life.
[01:04:28.718 --> 01:04:34.880]  NewsHound says he would rather pay the tax than get government-mandated health insurance.
[01:04:35.661 --> 01:04:43.863]  Well, I've experienced that when you actually get the insurance, then you're charged more and put at the back of the bus.
[01:04:44.483 --> 01:04:45.844]  Because you're known as a moron.
[01:04:47.128 --> 01:04:49.450]  I mean, that's how this whole system works.
[01:04:49.510 --> 01:04:56.295]  It is a tax, ruled by the Supreme Court, transferred to the predominantly offshore mafia banks.
[01:04:56.955 --> 01:04:57.736]  And you're like, man, that's bold.
[01:04:57.756 --> 01:04:59.617]  Well, of course it's bold.
