[00:00:00.293 --> 00:00:05.795]  Last night on my orders, America's armed forces began strikes against ISIL targets in Syria.
[00:26:28.291 --> 00:26:29.654]  Thank you.
[00:26:38.676 --> 00:26:40.716]  We help the communities with HUD money.
[00:26:41.217 --> 00:26:45.737]  But doesn't this money come with strings attached to it?
[00:26:46.818 --> 00:26:47.718]  Strings attached?
[00:26:47.958 --> 00:26:51.959]  As in what kind of development is subsidized or supported?
[00:26:51.979 --> 00:26:53.519]  Well, it was all local grown.
[00:26:54.019 --> 00:26:58.200]  When we went to East Natick or to Connecticut, those communities weren't that
[00:26:58.880 --> 00:27:00.782]  We're eligible for CDGB money.
[00:27:00.862 --> 00:27:03.243]  It was the neighbors that came and said, we want a sidewalk.
[00:27:03.504 --> 00:27:04.504]  We want better drainage.
[00:27:04.665 --> 00:27:05.385]  And that's what we did.
[00:27:05.465 --> 00:27:16.934]  But this plan, in order to access some... Oakland Beach, East David... With Roadmap RI, will this plan require that communities adhere to HUD standards in order to take some of that money?
[00:27:16.954 --> 00:27:17.935]  Well, there's some standards.
[00:27:18.135 --> 00:27:19.576]  I mean, you can't waste the money.
[00:27:19.836 --> 00:27:24.379]  It has to be spent according to WISE parameters.
[00:27:25.700 --> 00:27:29.101]  There's some good government standards.
[00:27:29.121 --> 00:27:29.401]  No, no, no.
[00:27:29.421 --> 00:27:31.522]  The courts have ruled on behalf of property taxpayers over and over again.
[00:27:31.542 --> 00:27:32.062]  On private property.
[00:27:32.102 --> 00:27:32.642]  Over and over again.
[00:27:32.682 --> 00:27:32.902]  I know.
[00:27:32.922 --> 00:27:34.963]  I've dealt with zoning at the local level for many, many years.
[00:27:48.186 --> 00:27:52.487]  Private property issues in the courts are very strong on protecting private property as they continue.
[00:27:52.587 --> 00:27:53.068]  Will continue to be.
[00:27:53.088 --> 00:27:56.549]  Are you saying that story about the handicapped ramp at the lady's house?
[00:27:56.569 --> 00:27:58.389]  I don't know yet, I don't know.
[00:27:58.469 --> 00:28:00.450]  The bike ramp went right in front of somebody's house.
[00:28:00.530 --> 00:28:08.292]  I suppose there's some... I don't want to refute I think it's Mr. Stenhouse's story, but it seemed not common to what I've heard.
[00:28:11.233 --> 00:28:13.355]  Are you surprised at the vocal opposition today?
[00:28:34.770 --> 00:28:40.396]  Yes, because we've worked so hard to have public input over the last 18 months.
[00:28:40.876 --> 00:28:42.037]  A lot of outreach.
[00:28:42.738 --> 00:28:43.939]  As you heard, some testimony.
[00:28:44.300 --> 00:28:48.804]  I heard about it, I came out, I participated, I was welcomed immediately into the dialogue.
[00:28:49.665 --> 00:28:53.209]  So, of course, they're here today, and that's good.
[00:28:53.829 --> 00:28:55.711]  Expressing their opinion, so on we go.
[00:28:56.051 --> 00:28:57.873]  Governor, why do you think people are against this plan?
[00:28:58.313 --> 00:28:59.635]  There's some against it and some for it.
[00:29:00.015 --> 00:29:04.279]  I was very happy to hear those that are expressing their opinions.
[00:29:04.319 --> 00:29:05.280]  We're a lot in favor.
[00:29:05.680 --> 00:29:07.402]  I'm sure if you were here, you heard those also.
[00:29:07.502 --> 00:29:09.404]  Is this not a violation of the Constitution, sir?
[00:29:09.544 --> 00:29:10.224]  In the domain?
[00:29:10.264 --> 00:29:11.125]  Yes, it is, sir.
[00:29:11.245 --> 00:29:11.926]  It's treason.
[00:29:12.827 --> 00:29:14.488]  Then there'd be lawyers taking us to court.
[00:29:14.748 --> 00:29:15.689]  No, this is treason, sir.
[00:29:15.709 --> 00:29:17.471]  This is Agenda 21 by the United Nations.
[00:29:17.491 --> 00:29:18.172]  We are onto this.
[00:29:19.856 --> 00:29:20.877]  That's high treason, sir.
[00:29:22.558 --> 00:29:26.300]  That's the Governor of Rhode Island, folks.
[00:29:26.940 --> 00:29:30.282]  These people here are supporting high treason against the Constitution of the United States.
[00:29:31.262 --> 00:29:32.943]  Private property rights are trying to distinct.
[00:29:39.025 --> 00:29:41.866]  We the people, Governor, not we the officials.
[00:29:41.886 --> 00:29:46.446]  We the people.
[00:29:46.846 --> 00:29:48.107]  The Constitution comes first.
[00:29:48.167 --> 00:29:50.667]  We will not comply with the rule of Macquarie Island.
[00:29:50.807 --> 00:29:54.088]  How are you an investigative reporter and challenging him about we the people?
[00:29:54.908 --> 00:29:56.948]  Because this is pure unconstitutional, ma'am.
[00:29:56.988 --> 00:29:58.329]  What's unconstitutional about it?
[00:29:58.349 --> 00:29:59.029]  Eminent don't name.
[00:29:59.229 --> 00:29:59.929]  I mean, do you not know?
[00:29:59.949 --> 00:30:03.130]  There's nothing in the plan that talks about Eminent don't name.
[00:30:03.150 --> 00:30:05.030]  There's a lot in the plan that talks about that.
[00:30:05.450 --> 00:30:07.071]  That's a good thing.
[00:30:07.191 --> 00:30:11.894]  So I plan to vote in favor of the plan.
[00:30:12.435 --> 00:30:17.238]  So with that, I'll take a motion to approve the plan.
[00:30:17.258 --> 00:30:20.000]  Mr. Flores, Mervyn, you have a motion?
[00:30:20.020 --> 00:30:26.864]  Mr. Chairman, I make a motion to adopt the state of Rhode Island draft roadmap, Rhode Island economic development plan.
[00:30:27.184 --> 00:30:28.225]  That's moving to the future.
[00:30:29.133 --> 00:30:30.234]  Motion's been made.
[00:30:30.354 --> 00:30:31.815]  Is there a second on the motion?
[00:30:31.835 --> 00:30:35.016]  Director Lewis seconds the motion to approve the plan.
[00:30:35.116 --> 00:30:38.038]  Is there any further discussion from the Council at this time?
[00:30:39.359 --> 00:30:41.020]  Hearing none, I will call the roll.
[00:30:42.532 --> 00:30:45.974]  And Rhode Island has just witnessed today the birth of Agenda 21.
[00:30:46.795 --> 00:30:54.360]  Agenda 21 is the action plan to destroy your sovereignty, and that is your personal sovereignty and your national sovereignty.
[00:30:54.721 --> 00:31:03.327]  This is the green mask, the environmental mask, because if you are terrified that you're killing the planet, you will be willing to accept any restriction.
[00:31:03.707 --> 00:31:04.627]  Hold on, you understand?
[00:31:04.647 --> 00:31:08.030]  We are not going to comply by rule of law.
[00:31:08.070 --> 00:31:09.231]  We will not comply.
[00:31:09.331 --> 00:31:09.531]  Until 1776.
[00:31:09.571 --> 00:31:10.932]  This man is really an activist.
[00:31:11.232 --> 00:31:13.533]  No, I'm just doing my job.
[00:31:29.943 --> 00:31:33.086]  We don't trust the government.
[00:31:33.126 --> 00:31:33.726]  We're tired.
[00:31:33.786 --> 00:31:39.351]  I tell you what, you're not representing all of the voters in your area.
[00:31:39.391 --> 00:31:45.737]  Because I tell you what, when you get up and you say you represent the people in Southeast Iowa, you don't get a gift.
[00:31:54.404 --> 00:31:57.667]  When the pensions of the old people... I'm 77, my brother is 73.
[00:31:57.707 --> 00:32:01.271]  When you go in, and because of a puddle, Hudson wants to come in.
[00:32:01.351 --> 00:32:04.193]  A puddle, or standing water for 40 days, or a pond.
[00:32:04.213 --> 00:32:05.014]  They need that pond.
[00:32:05.094 --> 00:32:06.596]  You've got a lot to learn.
[00:32:06.676 --> 00:32:10.559]  And I tell you what, I'm gonna be there to teach you.
[00:32:17.646 --> 00:32:21.269]  My book, Behind the Green Mask, is a great way to educate yourself.
[00:32:21.509 --> 00:32:23.991]  You want to give this information to your legislators.
[00:32:24.271 --> 00:32:26.393]  Let them know about this if they don't know.
[00:32:26.693 --> 00:32:34.139]  And if they aren't willing to refuse to go along with the federal grants, with the plans, with the projects, then take them out.
[00:32:34.499 --> 00:32:35.660]  Remove them from office.
[00:32:35.920 --> 00:32:36.981]  And do this locally.
[00:32:43.848 --> 00:32:50.237]  Were you thinking the elf on a shelf was just a playful way to get your kids to behave in the days leading up to Christmas?
[00:32:50.597 --> 00:32:51.638]  Well, think again.
[00:32:51.959 --> 00:32:57.646]  According to a digital tech professor, you're actually conditioning your kids to accept the surveillance state.
[00:32:58.227 --> 00:32:58.648]  Think about it.
[00:32:58.968 --> 00:33:10.499]  He's always watching your kids, he reports back to a higher authority, he'll dole out goodies if they behave, and if not, their name goes on the no-fly, er, the naughty list.
[00:33:10.859 --> 00:33:16.184]  Are you teaching your kids that you're the boss, or some unseen authority is the boss?
[00:33:16.644 --> 00:33:28.867]  In her recently published paper titled, Who's the Boss?, Laura Pinto says the idea of the doll reporting back to Santa each night sets up children for dangerous, uncritical acceptance of power structures.
[00:33:29.407 --> 00:33:34.909]  It teaches kids that it's okay to be spied on and you shouldn't have any expectation of privacy.
[00:33:35.549 --> 00:33:43.954]  Now, considering the fact that children have been told for years that Santa's making a list and checking it twice, Pinto's probably just being paranoid.
[00:33:44.334 --> 00:33:48.316]  But this kind of conditioning behavior isn't unique to the elf on the shelf.
[00:33:48.536 --> 00:33:53.519]  We've seen blatant conditioning like this in cartoons like Disney's Shutterbug Time.
[00:33:53.979 --> 00:33:58.902]  Camera-equipped ladybugs spy on kids and then report back to a central authority.
[00:33:59.702 --> 00:34:09.410]  This introduction to the new totalitarian society is benign, though, because the snooper is just a cute little ladybug who only spies because she loves you.
[00:34:09.711 --> 00:34:17.417]  This is, of course, predictive programming to get your children to accept the coming drone surveillance state, which we warned you about in 2007.
[00:34:17.557 --> 00:34:27.485]  DARPA researchers were working on injecting computer chips into moth pupa and then hatching them into sophisticated cyborg moths, literal shutterbugs.
[00:34:28.326 --> 00:34:40.752]  Now, if you aren't aware, predictive programming is a technique that's based on planting ideas and concepts in the brains of viewers so that they'll seem normal and more easily accepted when they actually happen.
[00:34:41.012 --> 00:34:45.374]  The Vigilant Citizen took an in-depth look at iconic 80s cartoon G.I.
[00:34:45.434 --> 00:34:48.936]  Joe and found a strange case of predictive programming.
[00:34:49.456 --> 00:34:50.276]  In the first G.I.
[00:34:50.316 --> 00:34:53.578]  Joe episode ever aired, titled Pyramid of Darkness,
[00:34:54.218 --> 00:34:59.641]  Cobra seeks to take control of the world by shutting down the power grid of the Northern Hemisphere.
[00:35:00.042 --> 00:35:11.729]  Other episode plots include the replacement of the US dollar, confiscating citizens' gold, and the usage of mind control on civilians and MKUltra in the entertainment business.
[00:35:12.329 --> 00:35:13.390]  Cobra is real!
[00:35:13.790 --> 00:35:15.271]  You can call it whatever you want!
[00:35:16.587 --> 00:35:18.488]  Cobra is in control of America!
[00:35:18.988 --> 00:35:22.971]  I am Supreme Cobra Commander!
[00:35:23.631 --> 00:35:28.434]  You call your petty bureaucrats officials and authorities?
[00:35:28.954 --> 00:35:35.158]  You will kneel before Cobra or face my wrath!
[00:35:35.178 --> 00:35:38.660]  Resistance to tyrants is obedience to God.
[00:35:39.200 --> 00:35:40.961]  It's Alex Jones.
[00:35:51.613 --> 00:35:52.895]  Well, that's it for our show tonight.
[00:35:52.935 --> 00:35:57.162]  Be sure to stop by PrisonPlanet.tv where you can get a full year for $29.95.
[00:35:57.462 --> 00:36:00.728]  That is a great offer to share with your friends and family.
[00:36:01.088 --> 00:36:05.195]  Well, I'm Jakari Jackson from the InfoWars Command Center and we'll see you again tomorrow night.
[00:36:11.212 --> 00:36:16.999]  In the past decade, we have witnessed unparalleled scientific discoveries in the area of health.
[00:36:17.460 --> 00:36:27.172]  But no one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:36:27.492 --> 00:36:31.255]  DNA Force is one of the most expensive formulas to produce.
[00:36:31.796 --> 00:36:36.479]  Some of the ingredients in DNA Force are $12,000 a kilogram.
[00:36:36.860 --> 00:36:43.085]  We are using the coveted, patented, only American source of PQQ, CoQ10, and more.
[00:36:43.405 --> 00:36:45.687]  You want the best that's out there at the lowest price anywhere?
[00:36:46.347 --> 00:36:48.789]  Well, we're bringing you a total win-win.
[00:36:49.189 --> 00:36:54.674]  The ultimate value, cutting-edge, trailblazing game-changer that also supports the info war.
[00:36:55.114 --> 00:37:01.783]  We have produced a limited run of DNA Force and it will take up to 12 weeks to produce more once we sell out.
[00:37:02.123 --> 00:37:06.910]  Secure your DNA Force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:37:06.930 --> 00:37:08.351]  DNA Force from InfoWarsLife.
[00:37:14.011 --> 00:37:17.937]  You are watching the InfoWars Nightly News, which airs 7 p.m.
[00:37:17.997 --> 00:37:20.481]  Central at InfoWarsNews.com.
[00:37:20.701 --> 00:37:27.572]  Members can share their passcodes with up to 11 other people, and your support is helping us defend liberty worldwide.
