[00:00:00.009 --> 00:00:02.093]  Host, direct from Austin.
[00:42:27.927 --> 00:42:32.589]  Wall-climbing gecko robot could scuttle in space.
[00:42:33.010 --> 00:42:35.171]  See, the decision is humans aren't going to space.
[00:42:36.112 --> 00:42:40.494]  Robots are going to space and the elite and Google believe they're going to merge with the machines.
[00:42:40.634 --> 00:42:41.654]  I don't know if that's true or not.
[00:42:41.954 --> 00:42:42.634]  That's their goal.
[00:42:43.755 --> 00:42:46.596]  They have set the course for our world and our planet.
[00:42:46.676 --> 00:42:47.936]  Is that something you want?
[00:42:48.357 --> 00:42:56.199]  Do you want to just, just, just, just seed the entire future to them so you can go watch NFL football?
[00:42:57.040 --> 00:43:01.722]  And again, it's the same wall scuttling robots that have the dual use as combat bots.
[00:43:02.282 --> 00:43:03.422]  And this is what you're seeing.
[00:43:03.522 --> 00:43:05.343]  I was told by Marines, high level,
[00:43:06.638 --> 00:43:07.578]  If Colonel's high level.
[00:43:09.059 --> 00:43:15.961]  That they had killer robots better than what you see in the movie Terminator 15 years ago.
[00:43:17.101 --> 00:43:24.563]  And then I, years later, saw some of what he told me about actually declassified partially.
[00:43:28.085 --> 00:43:31.145]  I was told they're gonna roll out microwave guns on the backs of Humvees.
[00:43:31.486 --> 00:43:32.546]  Couple years later that came out.
[00:43:33.228 --> 00:43:36.853]  I was told, and then later he said, and then there's stuff even more crazy.
[00:43:39.176 --> 00:43:44.543]  I was told... It doesn't even matter.
[00:43:46.445 --> 00:43:48.468]  And the issue is, this is not to keep us safe.
[00:43:48.949 --> 00:43:49.910]  This is pointed at us.
[00:43:50.856 --> 00:43:54.157]  This is pointed at controlling civilization and society.
[00:43:54.517 --> 00:43:56.838]  You know, there is some good news, though, in the culture war.
[00:43:56.858 --> 00:43:58.758]  And we're going to go to your phone calls.
[00:43:59.338 --> 00:44:06.400]  Television blackouts possible in three NFL playoff cities this weekend because they can't sell the tickets.
[00:44:06.980 --> 00:44:09.781]  And then you know if they don't sell the tickets, there's a blackout.
[00:44:10.421 --> 00:44:15.323]  And then all the narcissist football players are begging people to buy the tickets.
[00:44:15.363 --> 00:44:16.523]  Let me explain something to you.
[00:44:18.055 --> 00:44:20.236]  The country's in a depression by design.
[00:44:20.296 --> 00:44:22.017]  Agenda 21 is the name of the game.
[00:44:22.197 --> 00:44:23.737]  Bankrupt is by design for control.
[00:44:24.558 --> 00:44:32.381]  A. B. People that do have money are boycotting you because of the TSA genital groping at the games.
[00:44:32.401 --> 00:44:37.983]  And because of the anti-gun Obamacare promotion.
[00:44:38.324 --> 00:44:45.987]  When you've got Obama, who symbolizes a government with a 6% approval rating, as your mascot and not Hank Williams Jr.
[00:44:48.317 --> 00:44:49.998]  You're going to turn people off.
[00:44:50.659 --> 00:44:52.500]  And so herein lies the secret.
[00:44:53.041 --> 00:45:00.387]  If we culturally steal ourselves, I don't mean steal like take something away, like steal, make ourselves stoic and strong.
[00:45:02.388 --> 00:45:12.357]  If we realize the system's corrupt and boycott everything that's anti-liberty, promote everything that is liberty, we will take America back just like we did with the Duck Dynasty fight.
[00:45:13.758 --> 00:45:17.341]  When Roe v. Wade went through in 73, because nobody could see an ultrasound,
[00:45:18.342 --> 00:45:18.942]  Now we have them.
[00:45:20.143 --> 00:45:24.665]  The majority of people in this country were pro-abortion.
[00:45:25.205 --> 00:45:28.567]  Today every poll shows it's flipped.
[00:45:28.587 --> 00:45:30.688]  65, 70, even higher with young people are against it.
[00:45:30.968 --> 00:45:36.771]  We're winning the culture war despite everything the system is doing.
[00:45:37.371 --> 00:45:38.952]  And it's the same thing with the NFL.
[00:45:42.918 --> 00:45:49.721]  And they just hope we all become decadent and decide the way you get ahead, and that's the message of the Wolf of Wall Street, is by screwing people.
[00:45:50.521 --> 00:46:02.145]  And it doesn't matter, you know, if you screw people, you'll still win in the end, and it's fun, and it's cute, and it's good, and the FBI is good.
[00:46:02.445 --> 00:46:09.868]  They came and stopped Leonardo DiCaprio's character, who we've looked into,
[00:46:11.932 --> 00:46:20.757]  And of course, he actually went after a billionaire in Alabama and screwed him, and that's why the FBI was told to go after him, was because he went after an insider.
[00:46:20.777 --> 00:46:21.998]  He screwed rich people.
[00:46:22.418 --> 00:46:26.821]  He targeted rich people, and not poor people.
[00:46:27.181 --> 00:46:30.843]  If you target poor people with penny stocks, or the general public, that's fine.
[00:46:31.103 --> 00:46:34.785]  You don't target, like the Wolf of Wall Street did, rich people.
[00:46:36.226 --> 00:46:39.148]  And I was sitting there watching the movie last night with Weldon and Gucci Arty,
[00:46:40.828 --> 00:46:43.572]  And at the end I said, watch, I haven't followed his story.
[00:46:43.592 --> 00:46:44.173]  I know something about it.
[00:46:44.634 --> 00:46:45.375]  Let's go look it up.
[00:46:45.455 --> 00:46:46.537]  He targeted rich people.
[00:46:47.563 --> 00:46:48.944]  And they sick the FBI on him.
[00:46:49.145 --> 00:46:52.608]  Because you could steal a trillion dollars and the FBI would do nothing.
[00:46:52.869 --> 00:46:55.091]  They're told who they can go after by the Justice Department.
[00:46:55.711 --> 00:46:56.913]  It's literally run by these people.
[00:46:57.473 --> 00:47:07.183]  And we went and looked it up and there it was in mainline news articles that he went after a billionaire globalist and Alabama banker and basically ripped him off for 25 mil.
[00:47:07.203 --> 00:47:10.126]  And they said, you give me that money back or it's over.
[00:47:11.459 --> 00:47:14.241]  The Wolf of Wall Street told him to take a hike, and he saw what happened.
[00:47:15.001 --> 00:47:15.902]  So that's how this works.
[00:47:15.942 --> 00:47:20.886]  That's the rules with the globalists, is you only screw the little guys.
[00:47:21.266 --> 00:47:22.727]  You don't touch the big guys.
[00:47:23.727 --> 00:47:24.788]  It's mafia rules.
[00:47:25.629 --> 00:47:28.151]  And that's how this stuff operates.
[00:47:29.251 --> 00:47:31.153]  You know, it's a true story with Bo Dietl involved in it.
[00:47:31.173 --> 00:47:32.253]  Bo Dietl even plays himself.
[00:47:32.333 --> 00:47:32.834]  It's amazing.
[00:47:34.560 --> 00:47:36.721]  And that's how the world really works, ladies and gentlemen.
[00:47:36.821 --> 00:47:40.502]  I've been taken up to the top of the mountain many times.
[00:47:40.642 --> 00:47:41.742]  That's what the establishment does.
[00:47:42.462 --> 00:47:44.023]  And told, the public are idiots.
[00:47:44.183 --> 00:47:45.123]  They don't want your help.
[00:47:46.683 --> 00:47:47.944]  They would tear you apart in a minute.
[00:47:47.984 --> 00:47:50.524]  They're worse than we are as the establishment.
[00:47:50.564 --> 00:47:51.985]  At least we run things to control it.
[00:47:52.705 --> 00:47:55.566]  And you should join us if you want to try to influence things and have any power.
[00:47:56.926 --> 00:48:00.267]  Because, you know, we're not all bad and we want you to be part of this.
[00:48:00.347 --> 00:48:02.828]  And people say, well, why don't you say who did that?
[00:48:03.789 --> 00:48:04.590]  It's happened many times.
[00:48:04.610 --> 00:48:08.696]  You know, if I do that as a journalist, then I won't have people contact me that way.
[00:48:08.937 --> 00:48:09.878]  They don't do it anymore.
[00:48:09.898 --> 00:48:15.306]  It's been many, many years since I've been offered to sell out to the New World Order.
[00:48:16.593 --> 00:48:22.578]  I mean, I've been contacted by some high-powered folks, and they said if you, you know, just back off a little, you're going to be more successful than all the rest of it.
[00:48:22.598 --> 00:48:24.640]  But, I mean, I'm way past that, folks.
[00:48:25.200 --> 00:48:28.122]  I'm way past ever even being able to think about compromising any.
[00:48:28.162 --> 00:48:35.709]  I mean, I realize that this system's coming down, and this system's pure evil, and I, spiritually, don't want to be connected to it in any way.
[00:48:36.772 --> 00:48:37.792]  Now, nobody's perfect.
[00:48:37.812 --> 00:48:38.713]  Corruption's everywhere.
[00:48:38.973 --> 00:48:42.013]  And you could literally kill yourself trying to, you know, be like Jesus.
[00:48:42.074 --> 00:48:45.354]  But I'm a man, and I'm not perfect, but I morally try to be good.
[00:48:45.715 --> 00:49:00.119]  And there's a difference between trying to be morally good, trying to be accurate, trying to be right, controlling your more worldly cunning side, even though you want to defeat people that have done wrong things to you, and turning the other cheek, which I found is very successful.
[00:49:00.419 --> 00:49:04.640]  If you can turn the other cheek, and the fight doesn't really matter, that always turns out better.
[00:49:06.028 --> 00:49:08.251]  Now, if someone corners you, it's a different situation.
[00:49:08.271 --> 00:49:11.254]  We're going to go to break, come back to your calls in this segment, the next segment.
[00:49:12.135 --> 00:49:13.657]  Then I'm going to get into U.S.
[00:49:13.697 --> 00:49:21.085]  Justice Department, speaking of them, opposes block on Obamacare contraception mandate, is basically trying to order the Supreme Court to back off on that.
[00:49:21.666 --> 00:49:25.870]  Huge news on the 200-year debt bubble we've now reached for the London Telegraph.
[00:49:27.040 --> 00:49:28.080]  And a lot more.
[00:49:28.220 --> 00:49:30.301]  And some more good news.
[00:49:30.321 --> 00:49:33.642]  70 new anti-abortion laws OK'd in 22 states.
[00:49:34.123 --> 00:49:35.063]  Second most ever.
[00:49:35.483 --> 00:49:36.443]  People are taking action.
[00:49:37.404 --> 00:49:40.225]  Flower Mound Mayor declares 2014 Year of the Bible.
[00:49:41.225 --> 00:49:42.786]  I got a bunch of other culture war news.
[00:49:42.826 --> 00:49:44.626]  Duck Dynasty releases its own line of guns.
[00:49:44.966 --> 00:49:48.208]  See, we take over the economy with what we do.
[00:49:49.868 --> 00:49:51.489]  We vote with our dollars.
[00:49:51.529 --> 00:49:54.510]  You vote with the globalists, you support them, you destroy yourself.
[00:49:56.052 --> 00:50:09.583]  Now ladies and gentlemen, speaking of that, we have the best products out there for health, wellness, information warfare, second amendment, you name it, InfoWarsStore.com for the books, the videos, the t-shirts.
[00:50:10.003 --> 00:50:17.449]  InfoWarsLife.com is where you find the survival shield, nascent iodine, proprietary.
[00:50:17.589 --> 00:50:20.191]  Now the government just bought 14 million dosages of the
[00:50:22.228 --> 00:50:24.810]  Bound kind of garbage iodine that's still better than nothing.
[00:50:25.130 --> 00:50:26.111]  We sell that as well.
[00:50:28.113 --> 00:50:37.921]  But the point is, we have the proprietary survival shield, pure nascent iodine, at the lowest price at Infowarslife.com.
[00:50:38.461 --> 00:50:44.946]  And we also have, in a two ounce bottle, twice the size, the fluoride shield that has the nascent iodine in it as well.
[00:50:45.747 --> 00:50:50.091]  But also five other key ingredients known to detoxify the fluoride, heavy metals,
[00:50:51.212 --> 00:50:52.072]  Boring, you name it.
[00:50:52.452 --> 00:50:53.813]  Infowarslife.com.
[00:50:54.193 --> 00:50:57.314]  And the good news is we've got plenty of a fluoride shield.
[00:50:57.694 --> 00:51:03.255]  We're about to sell out of the Infowarslife survival shield pure nascent iodine.
[00:51:03.515 --> 00:51:06.496]  So better get your order in right now at Infowarslife.com or 888-253-3139.
[00:51:09.975 --> 00:51:11.615]  Introducing Pro-1.
[00:51:11.876 --> 00:51:15.376]  All of your filtration in one system, portable, on-the-go.
[00:51:15.516 --> 00:51:19.958]  No more do you have two or three filters to just reduce sodium fluoride.
[00:51:20.078 --> 00:51:26.079]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:51:26.199 --> 00:51:37.002]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:51:37.182 --> 00:51:43.484]  It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:51:43.684 --> 00:51:58.390]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands.
[00:51:58.610 --> 00:52:04.297]  American gardeners and fellow patriots make the right choice with your money, time, and your family food supply.
[00:52:14.991 --> 00:52:20.015]  Choose 100% pure heirloom seeds in the Survival Seed Vault from MyPatriotsupply.com.
[00:52:20.195 --> 00:52:20.996]  Why spend more?
[00:52:21.156 --> 00:52:28.922]  The Survival Seed Vault from MyPatriotsupply.com is only $37.95 and includes 20 varieties of pure, hearty, easy to grow heirloom seeds.
[00:52:29.202 --> 00:52:29.682]  Yes, only $37.95.
[00:52:29.742 --> 00:52:30.723]  That's 70% less than our competitors.
[00:52:33.345 --> 00:52:36.526]  You could buy three Survival Seed Vaults for less than one of theirs.
[00:52:36.746 --> 00:52:43.248]  The Survival Seed Vault from MyPatriotSupply.com includes detailed planting and seed-saving instructions and ships same day.
[00:52:43.388 --> 00:52:46.029]  Plus, all orders over $49 ship free.
[00:52:46.209 --> 00:52:51.891]  MyPatriotSupply.com is American-owned by patriots like you, passionate about freedom and preparedness.
[00:52:52.091 --> 00:52:54.933]  Call now, 866-229-0927.
[00:52:55.253 --> 00:52:58.815]  That's 866-229-0927.
[00:52:59.335 --> 00:53:03.958]  Or discover more emergency preparedness items when you order at MyPatriotSupply.com.
[00:53:04.118 --> 00:53:05.099]  Choose the original.
[00:53:05.219 --> 00:53:08.761]  Choose the Survival Seed Vault at MyPatriotSupply.com.
[00:53:09.511 --> 00:53:12.953]  Do you need push-button heat with no batteries, no microwave, and no cords?
[00:53:13.274 --> 00:53:14.454]  Introducing Hot Shots!
[00:53:14.795 --> 00:53:18.577]  A must-have heat source for any cold weather activity, aches and pains, and more.
[00:53:18.877 --> 00:53:23.480]  Hot Shots reusable heat packs come in many sizes and provide hours of soothing heat.
[00:53:23.700 --> 00:53:24.741]  Yes, reusable!
[00:53:24.961 --> 00:53:26.142]  With a lifetime warranty.
[00:53:26.322 --> 00:53:27.483]  Don't be left out in the cold.
[00:53:27.723 --> 00:53:32.266]  Call 916-214-6943 or visit ReusableHeat.com.
[00:53:32.526 --> 00:53:33.087]  Hot Shots.
[00:53:33.347 --> 00:53:36.169]  Instant, portable, reusable heat anytime, anywhere.
[00:53:36.409 --> 00:53:37.770]  That's ReusableHeat.com.
[00:53:38.806 --> 00:53:43.947]  Did you know that organic sulfur can cleanse and defend your body against the poisons we're exposed to each day?
[00:53:44.387 --> 00:53:53.890]  Organic sulfur crystals from SulfurDefense.com help by forcing oxygen and nutrition into your cells while eliminating heavy metals, contaminants, and damaging radiation.
[00:53:54.390 --> 00:53:59.611]  Defend yourself and family from toxic assault with one of the most critical and essential minerals available today.
[00:53:59.891 --> 00:54:02.091]  Order online at SulfurDefense.com.
[00:54:02.392 --> 00:54:03.492]  That's SulfurDefense.com.
[00:54:03.612 --> 00:54:04.172]  Or call 800-593-6273.
[00:54:11.993 --> 00:54:20.068]  There must be some kind of way out of here.
[00:54:21.757 --> 00:54:25.759]  Get the Joker to the thief.
[00:54:25.840 --> 00:54:29.361]  There's too much confusion.
[00:54:29.381 --> 00:54:31.002]  I can't get no relief.
[00:54:31.202 --> 00:54:34.284]  I remember my uncle who died today.
[00:54:34.304 --> 00:54:38.186]  He would call me every few weeks and send me a letter.
[00:54:38.246 --> 00:54:41.368]  He says, you ought to play Jimi Hendrix along the Watchtower.
[00:54:41.428 --> 00:54:42.629]  This is recommended by him.
[00:54:42.649 --> 00:54:44.370]  Been on the show for about 16, 17 years.
[00:54:44.450 --> 00:54:46.571]  Even that very audiophile you're hearing.
[00:54:49.753 --> 00:54:52.915]  And he recommended that Bob Dylan song you heard earlier, I guess.
[00:54:53.295 --> 00:54:59.079]  It's funny, today we're kind of going in the computer into stuff that was put there many years ago and transferred over in automation.
[00:54:59.779 --> 00:55:07.545]  We're playing automated music today, and it's funny that it's the playlist that my uncle put together.
[00:55:07.725 --> 00:55:10.146]  Alright folks, we are back live.
[00:55:10.166 --> 00:55:12.348]  They listen to this stuff over in Vietnam flying helicopters.
[00:55:15.114 --> 00:55:17.655]  Let's go to your phone calls, ladies and gentlemen.
[00:55:17.735 --> 00:55:19.836]  Ken in Illinois, you're on the air.
[00:55:19.896 --> 00:55:20.357]  Go ahead.
[00:55:21.597 --> 00:55:22.358]  God bless, Alex.
[00:55:22.398 --> 00:55:23.198]  This is an honor.
[00:55:24.179 --> 00:55:28.061]  I was a real estate analyst at Tony Resco's bank in Chicago.
[00:55:29.201 --> 00:55:35.004]  Barack Obama was literally a crook when he was a senator three years before he was elected president.
[00:55:35.744 --> 00:55:36.685]  Oh yeah, that all came out.
[00:55:36.725 --> 00:55:37.605]  They're total gangsters.
[00:55:37.625 --> 00:55:38.086]  Yeah, go ahead.
[00:55:39.046 --> 00:55:39.286]  Right.
[00:55:40.047 --> 00:55:43.008]  Tony Resco's doing a ten and a half year stretch right now.
[00:55:43.068 --> 00:55:44.749]  He's about three and a half years into it.
[00:55:45.253 --> 00:55:47.153]  So he's in the joint for a long time.
[00:55:48.074 --> 00:55:52.135]  Uh, Resco paid $625,000 for land that was worth only half a million.
[00:55:52.855 --> 00:55:57.576]  And then on that same day, Obama, from the same cellar, bought the mansion next door.
[00:55:58.116 --> 00:56:02.557]  No, I know, that even came out in news, but you're saying you worked at the bank and saw all that.
[00:56:02.917 --> 00:56:14.680]  Yeah, no, uh, Resco went to jail basically for the exact same stuff Obama was doing, and they were two ponies in the stable for Governor or Senator El Presidente, uh, by Axelrod.
[00:56:16.445 --> 00:56:16.705]  Right.
[00:56:16.865 --> 00:56:18.947]  And Rod Blagojevich is all in the middle of it.
[00:56:18.967 --> 00:56:20.447]  He's doing a big stretch.
[00:56:20.868 --> 00:56:21.148]  14 years.
[00:56:21.348 --> 00:56:24.110]  Rod Blagojevich is in Colorado right now for 14 years.
[00:56:25.270 --> 00:56:28.212]  The FBI met with me about Obama.
[00:56:29.313 --> 00:56:32.335]  And there was possibly a grand jury against Obama.
[00:56:33.255 --> 00:56:35.036]  Obama could be in the clink right now.
[00:56:35.416 --> 00:56:39.139]  He really literally could be in prison right now as opposed to living in the White House.
[00:56:40.059 --> 00:56:42.821]  And that's what I met with the FBI about.
[00:56:43.499 --> 00:56:48.527]  He took a $125,000 kickback from a guy who's in prison right now.
[00:56:50.472 --> 00:56:53.373]  Well, I know a lot of that came out, and you sound credible.
[00:56:53.593 --> 00:56:56.293]  And again, I'm not saying all the FBI agents are bad themselves.
[00:56:56.314 --> 00:57:05.336]  They try to do investigations and they get blocked, like on Fast and Furious, by the guy involved in it, Attorney General Eric Holder.
[00:57:06.076 --> 00:57:11.297]  I'm thinking of John P. Holdren, another guy in the White House running all sorts of nasty operations.
[00:57:12.198 --> 00:57:14.978]  I mean, it's well known that Chicago's total mafia run.
[00:57:16.259 --> 00:57:17.399]  Where is all this going now?
[00:57:19.929 --> 00:57:31.337]  Well, I was interviewed by Jerome Corsi, and the Washington Times, and several other sources, and there's really not much other than I have a Key Tam lawsuit against the bank.
[00:57:32.138 --> 00:57:39.763]  They were running a massive regulatory scheme to defraud the FDIC, and it's much bigger.
[00:57:39.803 --> 00:57:49.510]  A lot of these bank collapses that you're seeing were intentional looting of the banks, including Resco's Bank, and Obama had to know
[00:57:50.191 --> 00:57:51.993]  What was going on at Resco's bank?
[00:57:52.113 --> 00:57:55.075]  Resco was his best friend, essentially.
[00:57:55.496 --> 00:57:56.336]  Him and his wife.
[00:57:56.477 --> 00:57:59.719]  That's right, and Resco did get, what is it, ten and a half years.
[00:58:00.100 --> 00:58:01.761]  There it is in the Chicago Sun-Times.
[00:58:02.482 --> 00:58:04.343]  I'm glad you called in about that subject.
[00:58:04.784 --> 00:58:12.731]  People go watch a movie like The Wolf of Wall Street that they say is incredibly accurate, down to the smallest details, and they go, how could someone be that wild and crazy?
[00:58:14.012 --> 00:58:16.295]  This guy's a good guy compared to these sharks.
[00:58:16.735 --> 00:58:17.596]  From what I've studied, no.
[00:58:18.437 --> 00:58:21.000]  The Wolf of Wall Street got burned because he went after big guys.
[00:58:21.360 --> 00:58:22.822]  And I'm not defending him, he's a monster.
[00:58:23.142 --> 00:58:27.207]  But compared to these people, I mean, they're involved in everything, folks.
[00:58:27.507 --> 00:58:30.190]  They get money off the kids that get taken by CPS.
[00:58:30.911 --> 00:58:31.691]  All over the country.
[00:58:32.212 --> 00:58:34.133]  That money goes to the big orphanage groups.
[00:58:34.633 --> 00:58:36.494]  They literally are kidnappers.
[00:58:36.514 --> 00:58:37.834]  The government is criminal.
[00:58:38.355 --> 00:58:41.676]  You may live in a county or city that's not totally criminal, but it will be soon.
[00:58:42.317 --> 00:58:43.377]  That's what tyranny's about.
[00:58:43.857 --> 00:58:46.579]  Global corporate mafia is taking over.
[00:58:50.400 --> 00:58:53.802]  Thank you for listening to GCN.
[00:58:53.822 --> 00:58:55.783]  Visit GCNlive.com today.
[00:58:59.634 --> 00:59:01.255]  Introducing Pro-1.
[00:59:01.515 --> 00:59:05.037]  All of your filtration in one system, portable, on-the-go.
[00:59:05.177 --> 00:59:09.579]  No more do you have two or three filters to just reduce sodium fluoride.
[00:59:09.719 --> 00:59:15.702]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:59:15.822 --> 00:59:26.607]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:59:26.807 --> 00:59:33.129]  It is the only one that does it and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:59:33.289 --> 00:59:50.235]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:59:50.595 --> 00:59:57.557]  Get your Pro-Pure with the new Pro-1 filters today at infowarestore.com or by calling 888-253-3139.
[00:59:57.677 --> 01:00:04.658]  Waging war on corruption.
[01:00:05.079 --> 01:00:07.999]  Alex Jones on the GCM Radio Network.
[01:00:14.641 --> 01:00:15.241]  Big Brother.
[01:00:15.951 --> 01:00:16.971]  Mainstream media.
[01:00:17.712 --> 01:00:18.852]  Government cover-ups.
[01:00:19.512 --> 01:00:20.293]  You want answers?
[01:00:21.073 --> 01:00:21.953]  Well, so does he.
[01:00:22.614 --> 01:00:26.235]  He's Alex Jones on the GCN Radio Network.
[01:00:26.795 --> 01:00:30.877]  And now, live from Austin, Texas, Alex Jones.
[01:00:43.755 --> 01:00:45.096]  Let's talk to Hank in Illinois.
[01:00:45.116 --> 01:00:46.357]  Another call from Illinois.
[01:00:46.758 --> 01:00:47.598]  You're on the air, Hank.
[01:00:49.200 --> 01:00:50.501]  Uh, hello, Mr. Jones.
[01:00:50.521 --> 01:00:51.121]  How are you doing?
[01:00:51.462 --> 01:00:52.042]  Pretty good, brother.
[01:00:52.062 --> 01:00:52.863]  What's on your mind today?
[01:00:53.984 --> 01:00:54.404]  Oh, nothing.
[01:00:54.464 --> 01:00:57.527]  I just wanted to thank you for all the stuff you've done to wake everybody up.
[01:00:57.587 --> 01:01:05.614]  And another thing is, my father, about a year ago, he still is the chief of security in a major courthouse out here.
[01:01:06.214 --> 01:01:09.057]  And I told him to go to Infowars.com.
[01:01:09.557 --> 01:01:10.278]  Three weeks later,
[01:01:11.364 --> 01:01:15.305]  The whole courthouse was taken over by Homeland Security, and that's who he works for now.
[01:01:15.325 --> 01:01:17.246]  I was just wondering if you had knowledge about that, sir.
[01:01:18.467 --> 01:01:23.548]  Well, I know that the feds are pretty much outright federalizing county, city, states.
[01:01:24.089 --> 01:01:28.050]  If they can get the county and the city to go along with it, and the state to stand down, they completely take it over.
[01:01:29.250 --> 01:01:31.091]  And in areas they control, they're doing that.
[01:01:32.051 --> 01:01:33.492]  And then, you have to remember,
[01:01:34.594 --> 01:01:39.396]  The Feds themselves are run by the offshore globalists, so this is an occupation.
[01:01:39.436 --> 01:01:41.597]  But no, I was not aware of your particular area.
[01:01:43.257 --> 01:01:43.377]  Oh.
[01:01:44.338 --> 01:01:45.958]  Alright, well, I appreciate it.
[01:01:45.978 --> 01:01:49.259]  I just didn't know if I was a conspiracy theorist or not.
[01:01:50.500 --> 01:01:54.781]  I thank you, sir, and everybody should listen to Alex Jones.
[01:01:55.062 --> 01:01:55.442]  Thank you.
[01:01:55.622 --> 01:01:55.842]  Bye.
[01:01:56.182 --> 01:01:56.942]  Thanks a lot, buddy.
[01:01:57.302 --> 01:01:58.523]  He kind of said that like Hank Hill.
[01:01:58.943 --> 01:02:01.184]  Everybody should listen to Alex Jones.
[01:02:02.079 --> 01:02:04.560]  Let's talk to another caller here.
[01:02:04.580 --> 01:02:08.843]  Let's talk to Lauren who loves Obamacare.
[01:02:08.903 --> 01:02:10.744]  Lauren in California, go ahead.
[01:02:11.645 --> 01:02:13.626]  Hi Alex, thank you for taking my call.
[01:02:13.726 --> 01:02:19.749]  My husband and I are some of those people who have lost their health insurance due to ObozoCare.
[01:02:20.130 --> 01:02:25.453]  We both had policies that were affordable that had, you know, a $12,000 premium, now the
[01:02:27.674 --> 01:02:29.474]  And they don't care, that's fine.
[01:02:29.534 --> 01:02:34.955]  Now they'll just come after your bank account and garnish your wages and take your tax refund, as they're now announcing.
[01:02:34.995 --> 01:02:37.416]  Doesn't that sound like Affordable Care Act to you?
[01:02:55.009 --> 01:02:55.509]  Of course not.
[01:02:55.730 --> 01:02:59.653]  Yeah, you know, and so we just take responsibility for our health.
[01:03:00.094 --> 01:03:02.236]  We do the nascent iodine you have.
[01:03:02.276 --> 01:03:03.177]  It's a great product.
[01:03:03.217 --> 01:03:04.398]  Thank you so much for it.
[01:03:05.098 --> 01:03:09.382]  And we see a chiropractor once a month and I have not been sick in over 20 years.
[01:03:10.263 --> 01:03:12.885]  Well, I tell you, they're trying to shut down supplements this year.
[01:03:12.925 --> 01:03:14.445]  They've announced that just across the board.
[01:03:14.465 --> 01:03:17.907]  They've already done it to a great extent in Europe under Codex Alimentarius.
[01:03:18.588 --> 01:03:20.389]  They are going after the chiropractors.
[01:03:20.409 --> 01:03:25.352]  They're going after even clinics that have medical doctors that are staying outside the system.
[01:03:26.460 --> 01:03:27.680]  It is a total takeover.
[01:03:27.700 --> 01:03:34.923]  I mean, we saw a case in Texas, it was in the news, where Humana went up 539% on a family.
[01:03:35.323 --> 01:03:37.023]  My dad's premiums have now doubled.
[01:03:38.404 --> 01:03:41.505]  Mine have gone way up with Blue Cross Blue Shield.
[01:03:41.545 --> 01:03:43.586]  I need to do a piece on that, showing my own insurance.
[01:03:44.446 --> 01:03:47.787]  And it's just such a loving thing they did for us.
[01:03:48.887 --> 01:03:49.908]  Actually, it's totally sick.
[01:03:49.928 --> 01:03:51.068]  Do you think they can get away with this?
[01:03:52.262 --> 01:03:52.442]  No.
[01:03:52.923 --> 01:03:55.084]  No, I think there's a major revolution coming.
[01:03:55.704 --> 01:04:01.649]  And the interesting thing is I work part-time at a hospital and nobody there is happy.
[01:04:01.849 --> 01:04:03.250]  And I talk to the little people.
[01:04:03.410 --> 01:04:04.891]  I don't talk to the head honchos.
[01:04:05.231 --> 01:04:08.834]  I talk to the little people because they're my friends.
[01:04:08.854 --> 01:04:10.054]  And they're not happy.
[01:04:10.375 --> 01:04:13.317]  They're always in their insurance and they are hospital staff.
[01:04:14.039 --> 01:04:18.281]  Well, you know what the Obama administration, MSNBC, and a professor yesterday said.
[01:04:18.301 --> 01:04:19.842]  They said that's because you're racist.
[01:04:21.063 --> 01:04:24.945]  I mean, if you're white, you're the reason Obamacare isn't working.
[01:04:25.005 --> 01:04:31.228]  So do you want to apologize for people not being able to get surgery and stuff because it's your fault?
[01:04:31.248 --> 01:04:32.229]  Nope.
[01:04:33.049 --> 01:04:33.589]  Not my fault.
[01:04:34.370 --> 01:04:40.673]  I know it isn't your fault, and that's how crazy it is that they then arrogantly blame us and say it's our fault.
[01:04:40.993 --> 01:04:42.094]  Thank you for the call, Lauren.
[01:04:43.346 --> 01:05:07.443]  Alright, Raider, Sean, Wesley, Steve, and many others, your calls are coming up, but for about 45 minutes we're going to have Charlotte Iserby on to talk about Common Core and the brainwashing that's going on, and then we'll continue with the latest battles over abortion, and then what's happening with the Second Amendment.
[01:05:09.674 --> 01:05:12.397]  Alex Jones here with a message to fellow freedom lovers.
[01:05:12.697 --> 01:05:17.523]  The prognosis for the entire planetary economic system runs from bad to worse.
