[00:00:00.149 --> 00:00:01.469]  Okay, he just got to the phone.
[00:29:20.325 --> 00:29:20.906]  That was me.
[00:29:20.906 --> 00:29:23.367]  I hope that you'd send me a copy of it, too.
[00:29:23.367 --> 00:29:28.250]  It was totally omitted from his speech, and he said, so help me God, and that's not even part of the oath of office.
[00:29:28.250 --> 00:29:29.411]  So help me God.
[00:29:29.411 --> 00:29:29.851]  I see.
[00:29:29.851 --> 00:29:31.152]  Well, he added that and took it out.
[00:29:31.152 --> 00:29:32.113]  So he's writing his own oath.
[00:29:32.506 --> 00:29:36.109]  But these police officers out there, if they don't take an oath of office, they're a fraud.
[00:29:36.109 --> 00:29:39.692]  If they do, under their own designations, they're terrorists.
[00:29:39.692 --> 00:29:41.313]  They have to be outraged at that.
[00:29:41.313 --> 00:29:45.436]  By that, he's talking about the FBI training manuals where it says, Defenders of the U.S.
[00:29:45.436 --> 00:29:47.618]  Constitution against the U.N.
[00:29:47.618 --> 00:29:48.499]  are terrorists.
[00:29:48.499 --> 00:29:50.020]  Thank you, Michael.
[00:29:50.020 --> 00:29:52.001]  The FBI brochure.
[00:29:52.001 --> 00:29:57.766]  Alex, let me say to our brothers and sisters in uniform real quick, I'm a Vietnam War veteran,
[00:29:58.676 --> 00:30:04.518]  And I've been in law enforcement many, many years, and I just want to say to our brothers and sisters listening, H.L.
[00:30:04.518 --> 00:30:14.742]  Mencken said it best when he said, to die for an idea is unquestionably noble, but how much more noble it would be if men died for ideas that were true.
[00:30:14.742 --> 00:30:23.886]  I'm asking you, brothers and sisters in uniform, don't die for lies and fraud put upon you by these globalists in office.
[00:30:24.426 --> 00:30:37.316]  There's truth out there, and you can get it from Alex Jones, to all his tapes and videos and so forth, or you can get it by contacting your own brothers and sisters in uniform up here at Aidan Abbott Police Military Newsletter.
[00:30:37.316 --> 00:30:41.059]  Alright, let's, one or two more calls and we've got another guest coming on.
[00:30:41.059 --> 00:30:44.502]  Chris in California, quickly, you're on the air with Jack McClam.
[00:30:44.502 --> 00:30:46.403]  Yes, thanks Alex.
[00:30:46.403 --> 00:30:51.687]  I'm a former sergeant in the Marine Corps, and I used to work out at the Urban Training Center.
[00:30:51.687 --> 00:30:53.589]  And what they did, not only did they have foreign
[00:30:54.187 --> 00:30:58.030]  Like you've said before, foreign troops training with them and FBI.
[00:30:58.030 --> 00:30:59.251]  Training to take our guns!
[00:30:59.251 --> 00:31:00.351]  I have them on tape.
[00:31:00.351 --> 00:31:01.492]  Well, I don't know.
[00:31:01.492 --> 00:31:04.514]  I never saw that part, but uh... How many years ago was this?
[00:31:04.514 --> 00:31:05.335]  Uh, the police.
[00:31:05.335 --> 00:31:07.096]  How many years ago was this?
[00:31:07.096 --> 00:31:08.217]  Oh, very recently.
[00:31:08.217 --> 00:31:10.978]  Okay, well I've got... Have you seen Police Day 2000?
[00:31:10.978 --> 00:31:11.479]  No, I haven't.
[00:31:11.479 --> 00:31:13.320]  Well, I've got footage of them admitting it's for domestic.
[00:31:13.320 --> 00:31:14.301]  Go ahead.
[00:31:14.301 --> 00:31:19.164]  But, uh, they also... Getting... The Marines getting full riot gear.
[00:31:19.164 --> 00:31:20.585]  Which is very interesting.
[00:31:20.585 --> 00:31:22.927]  And they do this training about monthly.
[00:31:22.927 --> 00:31:23.287]  And they...
[00:31:24.130 --> 00:31:29.218]  You riot training against other Marines who pretend, you know, they're the rioters and they basically beat them down and everything.
[00:31:29.218 --> 00:31:33.745]  It's good training, but the worry part for me is, why would Marines...
[00:31:34.682 --> 00:31:38.564]  You need to know that kind of riot control for a foreign war.
[00:31:38.564 --> 00:31:39.865]  No, look, it's admitted.
[00:31:39.865 --> 00:31:42.506]  They're saying, get rid of Posse Comitatus.
[00:31:42.506 --> 00:31:45.047]  They've said it's for domestic action.
[00:31:45.047 --> 00:31:47.128]  Jack, comments to what Chris just said.
[00:31:47.128 --> 00:31:55.252]  Yes, we have just literally hundreds of brothers and sisters in uniform contacting us today and telling us the training they're undergoing.
[00:31:55.252 --> 00:31:56.813]  They're being specific.
[00:31:56.813 --> 00:32:00.375]  It's for internal riot control in this nation today.
[00:32:02.182 --> 00:32:04.364]  So, I mean, there you have it, Chris.
[00:32:04.364 --> 00:32:05.364]  Anything else?
[00:32:05.364 --> 00:32:06.225]  No, that's it.
[00:32:06.225 --> 00:32:07.366]  Well, I appreciate your call.
[00:32:07.366 --> 00:32:09.007]  God bless you for being a concern.
[00:32:09.007 --> 00:32:10.788]  One last call for Jack McClam.
[00:32:10.788 --> 00:32:11.589]  Scott in Florida.
[00:32:11.589 --> 00:32:11.929]  Go ahead.
[00:32:11.929 --> 00:32:15.031]  You're on the air.
[00:32:15.031 --> 00:32:15.852]  Go ahead, Scott.
[00:32:15.852 --> 00:32:18.114]  You're on the air.
[00:32:18.114 --> 00:32:18.534]  All right.
[00:32:18.534 --> 00:32:19.715]  Maybe Scott isn't there anymore.
[00:32:21.289 --> 00:32:22.109]  Alright, we lost Scott.
[00:32:22.109 --> 00:32:23.449]  I can't go to anybody else.
[00:32:23.449 --> 00:32:29.491]  Jack McClam, thank you for joining us, and I hope to get you back up in the future, and I hope we can expose the globalist terrorist paradigms.
[00:32:29.491 --> 00:32:33.912]  We can back them off and have time to wake up more folks and get a reprieve on this, but you may be right.
[00:32:33.912 --> 00:32:37.052]  It may be inevitable, as Gary Hart says, and I appreciate you joining us.
[00:32:37.052 --> 00:32:40.493]  Okay, brother, and listen, thanks so much for what you're doing for our country.
[00:32:40.493 --> 00:32:41.313]  We love you up here.
[00:32:41.313 --> 00:32:43.474]  Well, thank you, Jack.
[00:32:43.474 --> 00:32:45.114]  I really appreciate you joining us.
[00:32:45.114 --> 00:32:45.554]  God bless.
