[00:00:00.249 --> 00:00:00.910]  It protects your family.
[00:28:49.830 --> 00:28:55.935]  But he's told me over and over and over again about the foreign governments and the international groups that are just
[00:28:56.255 --> 00:28:57.115]  No planning on the destruction?
[00:28:57.115 --> 00:28:59.656]  Yeah, this friend of mine was in Afghanistan the year before 9-11.
[00:28:59.656 --> 00:29:00.016]  It was in 2000.
[00:29:00.016 --> 00:29:00.916]  They sent him into
[00:29:13.960 --> 00:29:14.880]  I don't think so.
[00:29:34.426 --> 00:29:38.088]  Sir, that's not even your claim or opinion.
[00:29:38.088 --> 00:29:39.088]  44,000 U.S.
[00:29:39.088 --> 00:29:45.611]  troops were massed into Tajikistan and Uzbekistan the month before 9-11.
[00:29:45.611 --> 00:29:53.774]  18,000 British troops and Bush had the launch orders to invade Afghanistan on his desk two days before 9-11.
[00:29:53.774 --> 00:29:57.936]  Comments, Doug?
[00:29:57.936 --> 00:29:59.397]  It was preordained.
[00:29:59.397 --> 00:30:00.637]  That's the only thing I can say.
[00:30:04.088 --> 00:30:08.371]  Even before the military gets involved, the CIA is involved.
[00:30:08.371 --> 00:30:13.816]  The military only gets involved about a year or two after the CIA has been in the country.
[00:30:13.816 --> 00:30:18.840]  And again, Iraq is a good example.
[00:30:18.840 --> 00:30:29.288]  If you think that these sorts of Phoenix-type operations that are going on in Afghanistan and Iraq right now just started,
[00:30:29.918 --> 00:30:30.699]  You're wrong.
[00:30:30.699 --> 00:30:32.720]  These things have been going on for years.
[00:30:32.720 --> 00:30:37.983]  They've had CIA and others in Iraq all along.
[00:30:37.983 --> 00:30:43.147]  Since the end of the war in 1991, they've been there all along.
[00:30:43.147 --> 00:30:46.389]  I mean, they were there through the Kurds, they were there through the South.
[00:30:46.389 --> 00:30:53.633]  They were there training in the 70s and the 80s training Saddam's torture forces at Fort Benning.
[00:30:53.633 --> 00:30:55.134]  Thanks for the call.
[00:30:55.134 --> 00:30:56.715]  Yeah, Mike, go ahead.
[00:30:56.715 --> 00:30:57.636]  Frequency in the shortwave?
[00:30:59.086 --> 00:31:00.227]  Which frequency?
[00:31:00.227 --> 00:31:04.208]  Well, when you're broadcasting, I'm trying to get more people to listen to the show who can't get it on a radio station.
[00:31:04.208 --> 00:31:06.869]  So if you're on a shortwave radio, are you at all?
[00:31:06.869 --> 00:31:10.571]  Yes, I'm on global shortwave during the day from 11 to 2 at 12.172.
[00:31:10.571 --> 00:31:10.611]  12.172.
[00:31:10.611 --> 00:31:10.771]  And 93.20.
[00:31:10.771 --> 00:31:10.891]  93.20.
[00:31:10.891 --> 00:31:12.732]  And at night from 9 to midnight at 5.085.
[00:31:12.732 --> 00:31:13.372]  Okay.
[00:31:13.372 --> 00:31:13.652]  And 68.90.
[00:31:13.652 --> 00:31:14.612]  Thanks for the call.
[00:31:14.612 --> 00:31:14.833]  Okay.
[00:31:14.833 --> 00:31:14.953]  Sure.
[00:31:23.945 --> 00:31:24.687]  Good to hear from you.
[00:31:24.687 --> 00:31:26.071]  Very interesting points.
[00:31:26.071 --> 00:31:29.520]  Leslie in Virginia, thanks for holding her on the air.
[00:31:29.520 --> 00:31:30.743]  Thanks for taking the call.
[00:31:31.429 --> 00:31:33.189]  I just wanted to make two points.
[00:31:33.189 --> 00:31:35.650]  One on Madeleine Albright.
[00:31:35.650 --> 00:31:41.491]  I think that's just part of the Clinton-Bush combo team when she made that announcement.
[00:31:41.491 --> 00:31:47.112]  For folks that don't know, tell them what the announcement was.
[00:31:47.112 --> 00:31:50.033]  You go ahead and articulate that.
[00:31:50.033 --> 00:31:54.194]  Well, it just came out on Fox yesterday that she said that
[00:31:55.127 --> 00:32:01.549]  They've already got Bin Laden and they're going to roll him out before the election and I've already been hearing that for almost two years from people.
[00:32:01.549 --> 00:32:03.669]  I agree, I agree, absolutely.
[00:32:03.669 --> 00:32:16.833]  Yes, in my opinion it is to make for Hillary's grand announcement that she wants to run for president because if you've been following this, Alex, you'll be noticing how Hillary's been getting so much attention.
[00:32:16.833 --> 00:32:24.015]  It was just amazing how Nikki Tinsley, who's the Inspector General for the EPA, who is still there, Clinton, appointing
[00:32:24.575 --> 00:32:26.836]  Yeah, you know what day-to-day is.
[00:32:26.836 --> 00:32:30.196]  And there she is being interviewed with Hillary.
[00:32:30.196 --> 00:32:33.897]  And like their adversaries, it was such a fuss.
[00:32:33.897 --> 00:32:37.758]  And then also she gets all this coverage in Afghanistan.
[00:32:37.758 --> 00:32:41.019]  And that'll be a great way to Balkanize us.
[00:32:41.019 --> 00:32:49.861]  Hillary will continue the agenda, Bush will continue the agenda, but it'll all get us in our liberal conservative camps having Hillary and Wesley Clark running against Bush Cheney.
[00:32:49.861 --> 00:32:50.781]  Promise to that, Doug.
[00:32:51.201 --> 00:32:55.803]  It doesn't matter whether Hillary Clinton's the president or George Bush is the president.
[00:32:55.803 --> 00:32:57.903]  They're both just puppets on strings.
[00:32:57.903 --> 00:33:04.046]  Absolutely, and I just wanted to leave this with you by President Truman on his take of the CIA.
[00:33:04.046 --> 00:33:04.446]  He said,
[00:33:05.126 --> 00:33:12.768]  I never had any thought when I set up the CIA that it would be injected into peacetime cloak and dagger operations.
[00:33:12.768 --> 00:33:24.251]  Some of the complications and embarrassment that I think we have experienced are in part attributable to the fact that this quiet intelligence arm of the President has been so removed from its intended role
[00:33:25.272 --> 00:33:26.592]  I have a bad cold today, Alex.
[00:33:26.592 --> 00:33:27.233]  I apologize.
[00:33:27.233 --> 00:33:28.474]  Thank you for the call, Leslie.
[00:33:28.474 --> 00:33:29.875]  You did a great job.
[00:33:29.875 --> 00:33:33.957]  Next up is John, and John, I believe, is calling from Texas or Tennessee?
[00:33:33.957 --> 00:33:34.718]  Texas.
[00:33:34.718 --> 00:33:35.498]  Go ahead, sir.
[00:33:35.498 --> 00:33:36.859]  Hi, Doug and Alex.
[00:33:36.859 --> 00:33:37.760]  How are you guys doing?
[00:33:37.760 --> 00:33:39.361]  Good.
[00:33:39.361 --> 00:33:44.705]  Alex, I just sent you a press release that I came across.
[00:33:44.705 --> 00:33:50.268]  I'm real happy that Congressman Ron Paul has come out against H.R.
[00:33:50.268 --> 00:33:53.771]  2417, but this press release kind of shocked me because
[00:33:54.481 --> 00:34:05.070]  It mentioned it's from the Bush-Cheney 2004 campaign and it announces Ron Paul as a honorary co-chairman of the Bush-Cheney 2004 Texas leadership team.
[00:34:05.070 --> 00:34:17.180]  So I wanted to get... Yeah, I mean, honorary... I mean, Ron Paul, all he does is speak out against Bush, so they just... I mean, if you're a Republican congressman, you're on the Republican re-election team.
[00:34:17.859 --> 00:34:21.721]  Right, I would hope that he could counter that with something though, publicly.
[00:34:21.721 --> 00:34:25.643]  Well, look, Bush has already targeted Paul last election and tried to get him out of there.
[00:34:25.643 --> 00:34:27.864]  They targeted Senator Bob Smith successfully.
[00:34:27.864 --> 00:34:29.846]  They're targeting Jan Credo.
[00:34:29.846 --> 00:34:33.988]  And, you know, this is keep your friends close, your enemies closer.
[00:34:33.988 --> 00:34:35.909]  But I wasn't aware of that.
[00:34:35.909 --> 00:34:38.690]  Yeah, I sent you the press release.
[00:34:38.690 --> 00:34:40.291]  Okay, Doug, comments?
[00:34:40.291 --> 00:34:42.733]  Yeah, maybe he'll do something like Jesse Ventura did.
[00:34:42.733 --> 00:34:44.313]  Just go off on his own.
[00:34:44.313 --> 00:34:46.535]  You know, this two-party system.
[00:34:48.523 --> 00:34:50.964]  It was a show game.
[00:34:50.964 --> 00:35:02.951]  And really, it would be nice if we dispensed with this two-party system in the United States and at least had a third party of people, the majority of the people in this country.
[00:35:02.951 --> 00:35:04.311]  We don't have a second party.
[00:35:07.580 --> 00:35:09.862]  Yeah, they're both the same party, yeah.
[00:35:09.862 --> 00:35:11.683]  Yeah, I mean, it's a bunch of corporate criminals.
[00:35:11.683 --> 00:35:12.964]  They're not free market.
[00:35:12.964 --> 00:35:14.065]  They'll work with fascists.
[00:35:14.065 --> 00:35:15.386]  They'll work with communists.
[00:35:15.386 --> 00:35:20.610]  Just like Carol Quigley said at Georgetown, Bill Clinton's mentor, they are an organized crime syndicate.
[00:35:20.610 --> 00:35:21.991]  Anything else, John?
[00:35:21.991 --> 00:35:23.512]  No, I just wanted to mention that.
[00:35:23.512 --> 00:35:34.880]  I hope that Ron Paul comes out and, you know, and makes a statement about that because, you know, it is misleading to a lot of people when they see his name attached to the Bush-Cheney campaign.
[00:35:35.609 --> 00:35:39.633]  All right, well usually when you hear honorary that means he's not doing anything in the campaign.
[00:35:39.633 --> 00:35:41.214]  They probably just stuck his name on there.
[00:35:41.214 --> 00:35:42.315]  I hope so.
[00:35:42.315 --> 00:35:44.137]  Yeah, well that would get him a lot of votes in Texas.
[00:35:44.137 --> 00:35:45.618]  He's very popular.
[00:35:45.618 --> 00:35:47.880]  The book is The Phoenix Program.
[00:35:47.880 --> 00:35:50.282]  The website is douglasvalentine.com.
[00:35:50.282 --> 00:35:54.626]  We're going to hit a few final calls, get a few final comments from our guests for the next segment.
[00:35:54.626 --> 00:35:56.148]  Like I said, I'm going to have to have Doug back on
[00:35:57.392 --> 00:36:09.839]  We're not so squeezed for time to really get into details of how this infrastructure works, but I think you got an idea with the TIPS program and having to have an ID card to have a job, and they've said they're going to have troops in the factories.
[00:36:09.839 --> 00:36:14.601]  I mean, this is a hellish system they're building, and the biggest growth of the federal government...
[00:36:28.280 --> 00:36:30.664]  Waging war on corruption.
[00:36:30.664 --> 00:36:34.810]  Alex Jones on the GCN Radio Network.
[00:36:34.810 --> 00:36:40.158]  If you want to learn more, if you want to fight the tyranny, if you want to engage in the information fight against the New World Order,
[00:36:40.942 --> 00:36:46.686]  Then get Police State 3, Total Enslavement, Masters of Terror, 9-11, Road to Tyranny, Matrix of Evil.
[00:36:46.686 --> 00:36:47.827]  Those are great films.
[00:36:47.827 --> 00:36:51.349]  The book, Order Out of Chaos, I published that Paul Watson wrote.
[00:36:51.349 --> 00:36:53.410]  My book, 9-11, Descent into Tyranny.
[00:36:53.410 --> 00:36:54.191]  Get them.
[00:36:54.191 --> 00:36:55.392]  Give them to friends and family.
[00:36:55.392 --> 00:36:56.452]  Make copies of the films.
[00:36:56.452 --> 00:36:58.033]  Air them on Axis Television.
[00:36:58.033 --> 00:37:00.775]  Give them to public officials and opinion makers.
[00:37:00.775 --> 00:37:03.477]  Infowars.com or PrisonPlanet.com to order.
[00:37:04.187 --> 00:37:04.667]  Don't wait.
[00:37:04.667 --> 00:37:05.768]  Be part of history, folks.
[00:37:05.768 --> 00:37:07.069]  Take control of your destiny.
[00:37:07.069 --> 00:37:07.810]  1-888-253-3139.
[00:37:07.810 --> 00:37:12.593]  Or just write to me, Alex Jones, at 3001 South Lamar, Suite 100, Austin, TX 78704.
[00:37:12.593 --> 00:37:13.293]  Or again, 888-253-3139.
[00:37:13.293 --> 00:37:16.115]  We're trying to take two final calls from Walter and Rich.
[00:37:31.085 --> 00:37:32.746]  Sorry, that's all we have time for.
[00:37:32.746 --> 00:37:34.748]  Our guest is Douglas Valentine.
[00:37:34.748 --> 00:37:35.708]  DouglasValentine.com.
[00:37:35.708 --> 00:37:37.549]  He's written a lot of great books.
[00:37:37.549 --> 00:37:38.970]  You need to get them.
[00:37:38.970 --> 00:37:43.173]  One of them, of course, is The Phoenix Program.
[00:37:43.173 --> 00:37:45.775]  Any other ways for folks to get the books other than the website?
[00:37:45.775 --> 00:37:47.616]  I know they've been in bookstores as well.
[00:37:47.616 --> 00:37:47.896]  Sure.
[00:37:47.896 --> 00:37:54.881]  You can just go to Barnes & Noble or your local bookstore and they'll order a copy for you if they don't have one on the shelf.
[00:37:54.881 --> 00:37:59.424]  It's so easy nowadays for a bookstore to order a book.
[00:37:59.904 --> 00:38:02.466]  And also... I know a full library.
[00:38:02.466 --> 00:38:03.166]  Absolutely.
[00:38:03.166 --> 00:38:07.348]  And also, you know, it's got to be frustrating here to have so much info and not have time to get it all out.
[00:38:07.348 --> 00:38:08.869]  We'll have you back on.
[00:38:08.869 --> 00:38:11.811]  Let's talk to Walter in Pennsylvania.
[00:38:11.811 --> 00:38:13.051]  Go ahead, sir.
[00:38:13.051 --> 00:38:13.912]  Hi, Alex.
[00:38:13.912 --> 00:38:14.372]  Hello.
[00:38:14.372 --> 00:38:16.774]  We've got a new one that's happening up here.
[00:38:16.774 --> 00:38:22.137]  You cannot move from your house, sell your house and move without filing for a moving permit.
[00:38:22.137 --> 00:38:26.319]  You don't file for a moving permit, you're taking a court and fine and there's jail time.
[00:38:27.156 --> 00:38:31.958]  And through federal zoning, the zoning is federally funded and implemented locally.
[00:38:31.958 --> 00:38:35.100]  It's a wonderful form of tyranny for the globalists.
[00:38:35.100 --> 00:38:43.063]  Comments to kind of living in this Sovietized slash fascist system through petty laws, Doug?
[00:38:43.063 --> 00:38:47.225]  Well, I didn't know about that.
[00:38:47.225 --> 00:38:54.749]  I keep learning about new things every day, and that's just incredible that you have to actually file, or else you get in prison.
[00:38:56.347 --> 00:38:58.608]  That's what's foreboding.
[00:38:58.608 --> 00:39:03.470]  That's what's looming on the horizon with just about everything.
[00:39:03.470 --> 00:39:06.451]  From that, you know, soon there'll be national ID cards.
[00:39:06.451 --> 00:39:10.553]  There'll just be intrusions into every area of our life.
[00:39:10.553 --> 00:39:15.095]  Well, Doug, our driver's licenses are already by fiat, a national ID card.
[00:39:15.095 --> 00:39:16.876]  Anything else there, Walter?
[00:39:16.876 --> 00:39:17.976]  Yeah, people are scared.
[00:39:17.976 --> 00:39:18.956]  They won't talk now.
[00:39:18.956 --> 00:39:20.497]  People won't talk up here.
[00:39:20.497 --> 00:39:22.718]  I'm up in Carbon County, cold cracker country.
[00:39:23.314 --> 00:39:24.258]  They won't talk now.
[00:39:24.258 --> 00:39:25.222]  They're afraid.
[00:39:25.222 --> 00:39:26.809]  Are we men or mice?
[00:39:26.809 --> 00:39:27.572]  Thanks for the call.
[00:39:28.949 --> 00:39:31.071]  Let's talk to Rich in Texas.
[00:39:31.071 --> 00:39:32.032]  Last caller, go ahead.
[00:39:32.032 --> 00:39:32.532]  Okay.
[00:39:32.532 --> 00:39:33.072]  Hey, Alex.
[00:39:33.072 --> 00:39:34.313]  What's going on, man?
[00:39:34.313 --> 00:39:34.874]  Nothing much.
[00:39:34.874 --> 00:39:36.375]  You're on the air.
[00:39:36.375 --> 00:39:36.715]  No, no.
[00:39:36.715 --> 00:39:37.996]  Hey, listen.
[00:39:37.996 --> 00:39:43.821]  Talking about that control deal on businesses, you know, I drive this dump truck, and I tell you, I can't understand it.
[00:39:43.821 --> 00:39:45.262]  We're in the D.O.T.
[00:39:45.262 --> 00:39:46.403]  then, but what the D.P.
[00:39:46.403 --> 00:39:48.364]  has got to do with pulling you over at any time.
[00:39:48.364 --> 00:39:49.465]  They start checking your truck out.
[00:39:49.465 --> 00:39:55.650]  You know, I've paid a lot of money on this, because they'll always find something wrong with your truck, and there's nothing wrong with it.
[00:39:55.650 --> 00:39:57.552]  They're feeding on the commerce.
[00:39:58.314 --> 00:39:59.815]  Yeah, you've done that before.
[00:39:59.815 --> 00:40:01.296]  You already did that about years ago.
[00:40:01.296 --> 00:40:03.137]  Yeah, I did a TV show about it.
[00:40:03.137 --> 00:40:08.800]  And another issue is people calling us communist or anti-government.
[00:40:08.800 --> 00:40:14.242]  What about Lord Bush entertaining the Chinese Prime Minister and putting them?
[00:40:14.242 --> 00:40:16.123]  People can't get the message by now.
[00:40:16.123 --> 00:40:16.704]  I hear you.
[00:40:16.704 --> 00:40:18.525]  Great, great, great points.
[00:40:18.525 --> 00:40:20.186]  We're out of time.
[00:40:20.186 --> 00:40:22.407]  Folks, call me back tonight, 9 to midnight.
[00:40:22.407 --> 00:40:24.268]  Back tomorrow, 11 to 2 central.
[00:40:24.268 --> 00:40:26.249]  Doug Valentine, thanks for coming on, sir.
[00:40:26.949 --> 00:40:27.669]  Take care, Alex.
